Lionel Messi,利昂内尔·梅西
Samuele Papi,萨穆埃莱·帕皮
Orazio Fagone,奥拉齐奥·法戈内
Lidia Trettel,利迪娅·特雷特尔
Fabio Carta,法比奥·卡尔塔
Orlando Sirola,奥兰多·西罗拉
Cesare Pinarello,切萨雷·皮纳雷洛
Cesare Romiti,切萨莱·罗米蒂
Cesare Maria De Vecchi,切萨雷·马里亚·德韦基
Michele Andreolo,米凯莱·安德烈奥洛
Walter Bressan,沃爾特·布雷桑
Massimo Brambilla,马西莫·布兰比拉
Romano Sgheiz,罗马诺·斯盖伊兹
Luke McLean,盧克·麥克林
Manlio Di Rosa,曼利奥·迪罗萨
Tommaso Lequio di Assaba,托马索·莱奎奥·迪阿萨巴
Maurizio Margaglio,毛里齐奥·马尔加利奥
Giancarlo Primo,贾恩卡洛·普里莫
Monica De Gennaro,莫妮卡·德真纳罗
Aldo Olivieri,阿尔多·奥利维耶里
Carlo Silipo,卡洛·西利波
Roberto Pinotti,羅伯托·彼諾提
Salvatore Morale,萨尔瓦托雷·莫拉莱
Franco Nones,佛朗哥·诺内斯
Leone Frollo,莱昂内·弗罗洛
Sante Gaiardoni,桑特·加亚尔多尼
Cristian Zorzi,克里斯蒂安·佐尔齐
José Graziano da Silva,若泽·格拉齐亚诺·达席尔瓦
Jacopo Sala,雅科波·薩拉
Peter Bradley-Fulgoni,彼得·巴特里-富高尼
Paolo Thaon di Revel (1888-1973),保罗·伊尼亚齐奥·马里亚·塔翁·迪雷韦尔
Enrico Perucconi,恩里科·佩鲁科尼
Enrico Porro,恩里科·波罗
Paolo Pizzo,保罗·皮佐
Piero D'Inzeo,皮耶罗·丁泽奥
Ignazio La Russa,伊尼亞齊奧·拉魯薩
Vittorio Ambrosio,維托里奧·安布羅西奧
Loris Malaguzzi,洛里斯·马拉古齐
Tullio Regge,图利奥·雷吉
Luca Parmitano,卢卡·帕尔米塔诺
Luca Marin,盧卡·馬林
Luciana Ottaviani,卢西亚娜·奥特塔维亚妮
Gianni Pittella,詹尼·皮泰拉
Danilo Avelar,達尼洛·費南多·阿維拉爾
Mara Cagol,玛格丽塔·卡戈尔
Maurizia Cacciatori,毛里齐娅·卡恰托里
Walter Magnifico,瓦尔特·马尼菲科
Adriano Giannini,阿德里亞諾·吉安尼尼
Giovanni Lanfranco (pallavolista),乔瓦尼·兰弗兰科
Sébastien Corchia,塞巴斯蒂安·科齊亞
Paolo Mazza,保罗·马扎
Giangiacomo Feltrinelli,詹贾科莫·菲尔特里内利
Enzo Sacchi,恩佐·萨基
Simon Laner,西蒙·蘭納
Giulio De Stefano,朱利奥·德斯特凡诺
Fabrizio Cacciatore,法比里西奥·卡恰托雷
Pier Giacomo Pisoni,皮埃尔·贾科莫·皮索尼
Antonio Bruna,安东尼奥·布鲁纳
Giancarlo Brusati,贾恩卡洛·布鲁萨蒂
Roberto Muzzi,罗伯托·穆齐
Raffaele Bendandi,拉法埃萊·本丹迪
Renzo Burini,伦佐·布里尼
Luigi Burlando,路易吉·布兰多
Sergio Bianchetto,塞尔焦·比安凯托
Giancarlo De Carlo,吉卡洛·德·卡洛
Giuseppe Rotunno,朱塞佩·罗通诺
Paolo Gentiloni,保羅·真蒂洛尼
Piero Pasinati,皮耶罗·帕西纳蒂
Karl Brunner,卡尔·布伦纳
Francesco Benussi,弗蘭西斯科·貝努西
Simone Bentivoglio,西蒙尼·本蒂沃利奥
Gabriele Salviati,加布里埃莱·萨尔维亚蒂
Roberto Innocenti,羅伯托·英諾桑提
Gottlieb Taschler,戈特利布·塔施勒
Giulio Tononi,朱利奧·托諾尼
Giuseppe Gentile,朱塞佩·真蒂莱
Felice Berardo,费利切·贝拉尔多
Tommaso Rinaldi (tuffatore),托馬索·里納爾迪
Marco Capuano,馬爾科·卡普亞諾
Gianluca Caprari,詹盧卡·卡普拉里
Giovanni Angelo Becciu,若望·安傑洛·貝丘
Franco Giorgetti,佛朗哥·焦尔杰蒂
Eros Poli,埃罗斯·波利
Ermanno Pignatti,埃尔曼诺·皮尼亚蒂
Kurt Brugger,库尔特·布鲁格
Ermes Muccinelli,埃尔梅斯·穆奇内利
Antonino Bernardini,安东尼诺·贝尔纳迪尼
Giacinto Brandi,贾钦托·布兰迪
Paolo Viganò,保罗·维加诺
Amos Cardarelli,阿莫斯·卡尔达雷利
Luigi Carpaneda,路易吉·卡尔帕内达
Caterina Bosetti,卡泰丽娜·博塞蒂
Elisabetta Dami,伊丽莎白·达米
Gianluca Farina,詹卢卡·法里纳
Gilberto Noletti,吉尔贝托·诺莱蒂
Fernando Atzori,费尔南多·阿措里
Giulio Cappelli,朱利奥·卡佩利
Gaetano Kanizsa,盖塔诺·卡尼萨
Gino Cappello,吉诺·卡佩洛
Riccardo Carapellese,里卡尔多·卡拉佩莱塞
Giordano Turrini,焦尔达诺·图里尼
Alex Liddi,亚历克斯·利迪
Mario Moretti,马里奥·莫雷蒂
Simone Venier,西莫内·韦涅尔
Stefano Carobbi,斯特凡诺·卡罗比
Ernesto Formenti,埃内斯托·福尔门蒂
Filippo Coarelli,菲利波·科尔利
Giacomo Mari,贾科莫·马里
Gian Carlo Wick,吉安·卡罗·威克
Guglielmo Del Bimbo,古列尔莫·德尔宾博
Vincenzo Grifo,温琴佐·格里福
Corrado Dal Fabbro,科拉多·达尔法布罗
Flavio Anastasia,弗拉维奥·阿纳斯塔西亚
Jessica Tomasi,杰茜卡·托马西
Lorenzo Insigne,洛倫佐·因西涅
Renato Curcio,雷纳托·库尔乔
Peter Clemenza,彼特·克莱门扎
Andrea Bertolacci,安德烈亞·貝爾托拉奇
Ferruccio Valcareggi,费鲁乔·瓦尔卡雷吉
Gianni Bonichon,詹尼·博尼雄
Stefano Lucchini,斯特法諾·盧基尼
Giuseppe Volpi,朱塞佩·沃爾庇
Gianni Lonzi,詹尼·隆齐
Giovanni Francini,乔瓦尼·弗兰奇尼
Giuseppe Beghetto,朱塞佩·贝盖托
Francesco Molinari,弗朗切斯科·莫利納里
Salvatore Masiello,薩爾瓦托雷·馬塞洛
Alessandro Gazzi,亞歷山德羅·加齊
Ivano Fontana,伊瓦诺·丰塔纳
Thomas Prugger,托马斯·普鲁格
Alberto Orlando,阿尔贝托·奥兰多
Nicola Piovani,尼古拉·皮奥瓦尼
Gino Rossetti,吉诺·罗塞蒂
Marcello Bartalini,马尔切洛·巴尔塔利尼
Mauro De Mauro,毛罗·德·毛罗
Franco Sancassani,佛朗哥·圣卡萨尼
Gianni Ghidini,詹尼·吉迪尼
Giorgio Morbiato,乔治·莫尔比亚托
Alessio Sartori,阿莱西奥·萨尔托里
Giovanni Gozzi,乔瓦尼·戈齐
Sergio Cervato,塞尔焦·切尔瓦托
Carlo Biagi,卡洛·比亚吉
Alessandro Morbidelli,亞歷山德羅·莫比代利·(天文學家)
Mario Paci,梅百器
Gustavo Marzi,古斯塔沃·马尔齐
Luciano De Paolis,卢恰诺·德保利斯
Gianluca Tiberti,詹卢卡·蒂贝蒂
Pasquale Domenico Rocco,帕斯夸莱·罗科
Giovanni Jona-Lasinio,乔瓦尼·约纳-拉西尼奥
Marco Aurelio Fontana,马尔科·奥雷利奥·丰塔纳
Simone Parodi,西蒙尼·帕羅蒂
Valerio Cassani,瓦莱里奥·卡萨尼
Giorgio Ursi,乔治·乌尔西
Ilaria Bianchi,伊拉里娅·比安基
Nino Benvenuti,尼诺·本韦努蒂
Michele Mastromarino,米凯莱·马斯特罗马里诺
Giovanni Tubino,乔瓦尼·图比诺
Luigi Contessi,路易吉·孔泰西
Marco Fabbri,马尔科·法布里
Giuseppe Casari,朱塞佩·卡萨里
Mirco Di Tora,米爾科·迪托拉
Giuseppe Tonani,朱塞佩·托纳尼
Guido De Filip,圭多·德菲利普
Emmanuel Cascione,埃曼努埃爾·卡西奥内
Giovanni Reggio,乔瓦尼·雷焦
Carlo Costigliolo,卡洛·科斯蒂廖洛
Renato Barbieri,雷纳托·巴尔别里
Renato Bracci,雷纳托·布拉奇
Domenico Matteucci,多梅尼科·马泰乌奇
Vittorio Cioni,维托里奥·乔尼
Mario Balleri,马里奥·巴莱里
Giovanni Scher,乔瓦尼·斯凯尔
Giovanni Plazzer,乔瓦尼·普拉泽尔
Enrico Garzelli,恩里科·加尔泽利
Dino Barsotti,迪诺·巴尔索蒂
Roberto Vestrini,罗伯托·韦斯特里尼
Francesco Gargano,弗朗切斯科·加尔加诺
Manuela Secolo,曼努埃拉·塞科洛
Maicol Verzotto,麥科·韋爾佐托
Marco D'Altrui,马尔科·达尔特鲁伊
Antonio Ghiardello,安东尼奥·吉亚尔代洛
Francesco Cossu,弗朗切斯科·科苏
Gianmarco Tamberi,吉安馬科·坦貝里
Tommaso Benvenuti,托馬索·本維努提
Mino Raiola,米诺·拉伊奥拉
Marco Villa,马尔科·维拉
Mario Ghella,马里奥·盖拉
Giuseppe Abbagnale,朱塞佩·阿巴尼亚莱
Romolo Bizzotto,罗莫洛·比佐托
Giancarlo Cornaggia-Medici,贾恩卡洛·科尔纳贾-梅迪奇
Anna Casagrande,安娜·卡萨格兰德
Riccardo Nowak,里卡尔多·诺瓦克
Tommaso Maestrelli,托马索·马埃斯特雷利
Ennio Falco,恩尼奥·法尔科
Mara Navarria,玛拉·纳瓦里亚
Francesco De Piccoli,佛朗哥·德皮科利
Franco Brienza,弗朗科·布里恩扎
Paolo Ferrero,保罗·费雷罗
Umberto Panerai,翁贝托·帕内拉伊
Roldano Simeoni,罗尔达诺·西梅奥尼
Alberto Alberani,阿尔贝托·阿尔贝拉尼
Liliana Segre,莉莉安娜·塞格雷
Francesco Montenegro,方濟各·蒙泰尼格羅
Roberto De Zerbi,罗伯托·德泽尔比
Marcello Miani,马尔切洛·米亚尼
Pia Carmen Lionetti,皮娅·廖内蒂
Claudio Pollio,克劳迪奥·波利奥
Michela Quattrociocche,米凯拉·夸特罗乔凯
Vincenzo Mangiacapre,温琴佐·曼贾卡普雷
Aimone di Savoia-Aosta (1967),埃莫恩王子·(阿普利亚公爵)
Ruggero Maregatti,鲁杰罗·马雷加蒂
Riccardo Cazzola,里卡多·卡佐拉
Emidio Cavigioli,埃米迪奥·卡维焦利
Francesco Janich,弗朗切斯科·亚尼奇
Francesco Esposito,弗朗切斯科·埃斯波西托
Giancarlo Cella,贾恩卡洛·切拉
Pierluigi Cera,皮耶路易吉·切拉
Giuseppe Petrocchi,若瑟·彼得羅基
Giuseppe Ogna,朱塞佩·奥尼亚
Valerio Aspromonte,瓦莱里奥·阿斯普罗蒙特
Bianca Del Carretto,比安卡·德尔卡雷托
Renato Traiola,雷纳托·特拉伊奥拉
Roberto Colombo (calciatore),羅伯托·科倫波
Giovanni Steffè,乔瓦尼·斯泰费
Patrizio Bertelli,帕崔茲奧·伯特利
Franco Gandini,佛朗哥·甘迪尼
Marco Ferrante (calciatore),马尔科·费兰特
Carlo di Borbone-Due Sicilie,卡洛·(两西西里)
Yang Min,杨敏·(1963年)
Nicolò Cherubin,尼古洛·切魯賓
Lorenzo Baldisseri,老楞佐·巴爾迪塞利
Alberto Pellegrino,阿尔贝托·佩莱格里诺
Remo Girone,雷莫·吉隆
Anna Vania Mello,安娜·瓦尼亚·梅洛
Michele Camporese,米凱萊·坎波雷塞
Luca Banti,卢卡·班蒂
Giancarlo Guerrini,贾恩卡洛·圭里尼
Alberto Pigaiani,阿尔贝托·皮加亚尼
Matías Vecino,马蒂亚斯·贝西诺
Renato De Sanzuane,雷纳托·德圣祖阿内
Piero Campelli,皮耶罗·坎佩利
Guido Santin,圭多·桑廷
Angelo Binaschi,安杰洛·比纳斯基
Emanuela Pierantozzi,埃马努埃拉·皮耶兰托齐
Lucia Peretti,露西娅·佩雷蒂
Luciano Bruno,卢恰诺·布鲁诺
Giorgio Rossano,乔治·罗萨诺
Baldo Baldi,巴尔多·巴尔迪
Giorgio Bocchino,乔治·博基诺
Lucidio Sentimenti,卢奇迪奥·森蒂门蒂
Paolo Bianco,保羅·比安科
Alice Mizzau,爱丽丝·米扎乌
Maurizio Felugo,毛里齐奥·费卢戈
Nicola Franceschina,尼古拉·弗兰切斯基纳
Gildo Siorpaes,吉尔多·西奥派斯
Federico Roman,费代里科·罗曼
Angelo Arcidiacono,安杰洛·阿尔奇迪亚科诺
Daniele Capelli,達尼埃萊·卡佩里
Gianni Comandini,詹尼·科曼迪尼
Luca Agamennoni,卢卡·阿加门诺尼
Arconovaldo Bonacorsi,阿爾科諾瓦爾多·博納科西
Riccardo Perpetuini,里卡多·佩普圖尼
Alberto Frison,阿爾貝托·弗里森
Bruno Boni (canottiere),布鲁诺·博尼
Angelo Scuri,安杰洛·斯库里
Simone Raineri,西莫内·拉伊内里
Angelo Bruno,安傑洛·布魯諾
Marco Marin,马尔科·马林·(击剑运动员)
Giorgio Anglesio,乔治·安格莱西奥
Mario Aldo Montano,马里奥·阿尔多·蒙塔诺
Annapia Gandolfi,安娜皮娅·甘多尔菲
Giorgio Pellini,乔治·佩利尼
Mario Tullio Montano,马里奥·图利奥·蒙塔诺
Carlo Montano,卡洛·蒙塔诺
Giuliano Nostini,朱利亚诺·诺斯蒂尼
Andrea Cipressa,安德烈亚·奇普雷萨
Gianfranco Dalla Barba,詹弗兰科·达拉·巴尔巴
Aldo Montano (1910),阿尔多·蒙塔诺·(1910年)
Giorgio Chiavacci,乔治·基亚瓦奇
Andrea Consigli,安德烈亚·孔西利
Matteo Rivolta,馬特奧·里沃爾塔
Antonio Rozzi,安東尼奧·羅斯
Mattia Pesce,馬提亞·佩齊
Daniele Gilardoni,达尼埃莱·吉拉尔多尼
Salvatore Todisco,萨尔瓦托雷·托迪斯科
Sergio Zardini,塞尔焦·扎尔迪尼
Beniamino Bonomi,贝尼亚米诺·博诺米
Gaia Bassani Antivari,加亚·巴萨尼·安蒂瓦里
Jessica Rossi,杰西卡·罗西
Dario Dentale,达里奥·登塔莱
David Sassoli,大卫·萨索利
Andrea Benelli,安德烈亚·贝内利
Catello Amarante (canottiere 1979),卡泰洛·阿马兰特·(1979年)
Roberto Tozzi,罗伯托·托齐
Deni Fiorentini,德尼·菲奥伦蒂尼
Giovanni Battista Coletti,乔瓦尼·巴蒂斯塔·科莱蒂
Gianluca Comotto,詹盧卡·科莫托
Gianmarco Pozzecco,詹马尔科·波泽科
Alessia Gennari,阿莱西娅·真纳里
Alessandro Zanni,亞歷山德羅·贊尼
Lorenzo Tonelli,洛倫佐·托内利
Paolo Conti (calciatore 1950),保罗·孔蒂
Antonio Spallino,安东尼奥·斯帕利诺
Stefano Simoncelli (schermidore),斯特凡诺·西蒙切利
Attilio Calatroni,阿蒂利奥·卡拉特罗尼
Dino Urbani,迪诺·乌尔巴尼
Vittorio Lucarelli,维托里奥·卢卡雷利
Gildo Arena,吉尔多·阿雷纳
Salvatore Amitrano,萨尔瓦托雷·阿米特拉诺
Rosalba Forciniti,罗萨尔芭·福尔奇尼蒂
Andrea De Nicolao,安德烈亚·德尼古劳
Achille Polonara,阿切列·波羅納拉
Nicolò Melli,尼古洛·梅利
Irene Vecchi,伊雷妮·韦基
Gregorio Paltrinieri,格雷戈里奧·帕特里尼耶里
Luigi Cantone,路易吉·坎托内
Luigi Cambiaso,路易吉·坎比亚索
Valentino Gallo,瓦伦蒂诺·加洛
Matteo Aicardi,马泰奥·艾卡尔迪
Giacomo Pastorino,贾科莫·帕斯托里诺
Alfredo Rota,阿尔弗雷多·罗塔
Simona Gioli,西蒙娜·姬奧莉
Salvatore Gionta,萨尔瓦托雷·琼塔
Maria Gabriella di Savoia,薩伏依的瑪麗亞·加布里埃拉
Aldo Ghira,阿尔多·吉拉
Marcello Catalano (naturalista),马尔切洛·卡塔拉诺
Nicola Rigoni,尼古拉·里戈尼
Luigi Garzi,路易吉·加尔齐
Andrea Branzi,安德烈亚·布兰齐
Andrea Caianiello,安德烈亚·卡亚涅洛
Renato Palumbo,雷纳托·帕伦博
Mikelangelo Loconte,米開朗基羅·樂孔特
Pietro Ivanov,佩塔尔·伊万诺夫
Aurelio Menegazzi,奥雷利奥·梅内加齐
Vittorio Lucchetti,维托里奥·卢凯蒂
Pietro Annoni,彼得罗·安诺尼
Latino Galasso,拉蒂诺·加拉索
Cesare Rossi (canottiere),切萨雷·罗西
Giliante D'Este,吉利安特·德斯特
Pietro Freschi,彼得罗·弗雷斯基
Giuseppe Crivelli (canottiere),朱塞佩·克里韦利
Vittorio Marcelli,维托里奥·马尔切利
Tommaso Costantino,托马索·科斯坦蒂诺
Matteo Viola,馬特奧·維奧拉
Renzo Morigi,伦佐·莫里吉
Alessandro D'Ottavio,亚历山德罗·多塔维奥
Alessio Di Mauro (tennista),阿萊西奧·迪·毛羅
Luigina Giavotti,路易吉娜·贾沃蒂
Renzo Rosso (imprenditore),伦佐·罗索
Peter Gschnitzer,彼得·克施尼策尔
Giovanni Invernizzi (canottiere),乔瓦尼·因韦尔尼齐
Umberto Trippa,翁贝托·特里帕
Franco Faggi,佛朗哥·法吉
Elio Morille,埃利奥·莫里莱
Riccardo Saponara,里卡尔多·萨波纳拉
Ippolito Sanfratello,伊波利托·圣弗拉泰洛
Luigi Roncaglia,路易吉·龙卡利亚
Luigi Maiocco,路易吉·马约科
Federico Viviani,費德里科·維維亞尼
Mauro Roman,毛罗·罗曼
Marina Sciocchetti,玛丽娜·肖凯蒂
Gianfranco Contri,詹弗兰科·孔特里
Luigi Sartor,路易吉·萨尔托尔
Quirino Majorana,奎里诺·马约拉纳
Giacomo Losi,贾科莫·洛西
Loris Facci,洛里斯·法奇
Alejandro Giammattei,亚历杭德罗·贾马特
Giuseppe D'Altrui,朱塞佩·达尔特鲁伊
Benedicta Boccoli,本尼迪克塔·波科利
Giovanni Mangiante,乔瓦尼·曼詹特
Andrea Cinciarini,安德烈·辛西亞里尼
Serafino Mazzarocchi,塞拉菲诺·马扎罗基
Ettore Bellotto,埃托雷·贝洛托
Alfredo Gollini,阿尔弗雷多·戈利尼
Stefano Ticci,斯特凡诺·蒂奇
Fernando Bonatti,费尔南多·博纳蒂
Mauro Checcoli,毛罗·凯科利
Filippo Bottino,菲利波·博蒂诺
Angelo Turconi,安杰洛·图尔科尼
Niccolò Gitto,尼科洛·吉托
Massimo Volta,馬西莫·沃爾塔
Diego Alonso,迭戈·阿隆索
Annalisa Minetti,安娜丽莎·米内蒂
Marino Morettini,马里诺·莫雷蒂尼
Sergio Padt,塞爾吉奧·帕特
Mario Genta,马里奥·真塔
Mario Majoni,马里奥·马约尼
Luigi Meroni,路易吉·梅罗尼
Felice Fanetti,费利切·法内蒂
Romolo Catasta,罗莫洛·卡塔斯塔
Michele Tito (atleta),米凯莱·蒂托
Gino Rossi (bobbista),吉诺·罗西·(雪车运动员)
Ezio Gamba,埃齐奥·甘巴
Geminio Ognio,杰米尼奥·奥尼奥
Russell Teibert,羅素·泰拔
Ruggero Verroca,鲁杰罗·韦罗卡
Mario Vallotto,马里奥·瓦洛托
Virginio Pizzali,维尔吉尼奥·皮扎利
Alessandro Natta,阿雷桑德罗·纳塔
Marco Belotti,馬爾科·貝羅蒂
Dante Rossi (pallanuotista),丹特·罗西
Maurizio Carnino,毛里齐奥·卡尔尼诺
Damiano Pippi,达米亚诺·皮皮
Michele Mian,米凯莱·米安
Giulio Iellini,朱利奥·耶利尼
Giorgio Puia,乔治·普亚
Fabio Rossitto,法比奥·罗西托
Alex Righetti,亚历克斯·里盖蒂
Alessandro Abbio,亚历山德罗·阿比奥
Giulio Toniolatti,朱利奧·托尼奧拉蒂
Giuseppe Della Valle,朱塞佩·德拉瓦莱
Roberto Brunamonti,罗伯托·布鲁纳蒙蒂
Marco Müller,马可·穆勒
Eraldo Pizzo,埃拉尔多·皮佐
Gianfranco Marzolla,詹弗兰科·马尔佐拉
Sergio Della Pergola,塞爾吉奧·德拉·佩爾戈拉
Oreste Capuzzo,奥雷斯特·卡普佐
Mauro Zuliani,毛罗·祖利亚尼
Mauro Numa,毛罗·努马
Sante Spigarelli,桑特·斯皮加雷利
Davide Rummolo,达维德·鲁莫洛
Giuseppe Sabadini,朱塞佩·萨巴迪尼
Patrizio Sala,帕特里齐奥·萨拉
Gennaro Sardo,詹納羅·薩爾多
Carlo Mattrel,卡洛·马特雷尔
Spartaco Landini,斯帕尔塔科·兰迪尼
Virginia Giorgi,维尔吉尼娅·乔治
Leandro Remondini,莱安德罗·雷蒙迪尼
Ezio Roselli,埃齐奥·罗塞利
Franco Tognini,佛朗哥·托尼尼
Angelo Vicardi,安杰洛·维卡尔迪
Orlando Polmonari,奥兰多·波尔莫纳里
Anna Tanzini,路易莎·坦齐尼
Ambrogio Levati,安布罗焦·莱瓦蒂
Mostro di Firenze,佛羅倫薩怪獸
Pasquale Gravina,帕斯夸莱·格拉维纳
Giovanni Fanello,乔瓦尼·法内洛
Giuseppe Giacone,乔瓦尼·贾科内
Enrico Gilardi,恩里科·吉拉尔迪
Manuela Leggeri,曼努埃拉·莱杰里
Renato Vallanzasca,雷纳托·瓦伦卡斯扎
Marco Meoni,馬爾科·梅奧尼
Giuseppe Moro,朱塞佩·莫罗
Serena Ortolani,塞雷娜·奥尔托拉尼
Oreste Moricca,奥雷斯特·莫里卡
Gonzalo García,岡薩羅·加西亞
Maria Francesca di Savoia,薩伏依的瑪麗亞·法蘭西絲卡
Marco Bonamico,马尔科·博纳米科
Osvaldo Fattori,奥斯瓦尔多·法托里
Comunardo Niccolai,科穆纳尔多·尼古拉
Romeo Sacchetti,罗密欧·萨凯蒂
Massimo Tamburini,馬西莫·坦布里尼
Edoardo Garzena,爱德华多·加尔泽纳
Stefano Gentile,斯特法諾·根特爾
Amleto Frignani,阿姆莱托·弗里尼亚尼
Achille Piccini,阿基莱·皮奇尼
Leonardo Costagliola,莱奥纳尔多·科斯塔廖拉
Tomas Ress,托馬斯·萊斯
Marco Zanchi,马尔科·赞基
Andrea Gardini,安德烈·加蒂尼
Luigi Mannelli (pallanuotista),路易吉·曼内利
Ferdinando De Giorgi,费尔迪南多·德乔治
Virgilio Felice Levratto,维尔吉利奥·莱夫拉托
Benito Rigoni,贝尼托·里戈尼
Frédéric François,弗雷德里克·弗朗索瓦
Jiří Kovář,吉日·科瓦爾
Daniele Archibugi,丹尼尔·阿尔基布吉
Stefano Tempesti,斯特凡诺·滕佩斯蒂
Fabio Dal Zotto,法比奥·达尔佐托
Carlo Orlandi (pugile),卡洛·奥兰迪
Paul Hildgartner,保罗·希尔德加特纳
Pieralberto Carrara,皮耶拉尔贝托·卡拉拉
Wilfried Huber,维尔弗里德·胡贝尔
Pier Luigi Pizzaballa,皮耶路易吉·皮扎巴拉
Roberto Galia,罗伯托·加利亚
Renato Mocellini,雷纳托·莫切利尼
Carlo Rancati,卡洛·兰卡蒂
Ottorino Quaglierini,奥托里诺·夸列里尼
Umberto Bonadè,翁贝托·博纳德
Paolo Angioni,保罗·安焦尼
Andrea Marrazzi,安德烈亚·马拉齐
Mario Checcacci,马里奥·凯卡奇
Antonio Allocchio,安东尼奥·阿洛基奥
Pietro Bianchi (sollevatore),彼得罗·比安基·(举重运动员)
Enzo Bartolini,恩佐·巴尔托利尼
Adriano Frassinelli,阿德里亚诺·弗拉西内利
Paola Croce,保拉·克罗切
Sandro Gamba,山德罗·甘巴
Alessandro Melli,亚历山德罗·梅利
Renato Villalta,雷纳托·维拉尔塔
Renzo Vecchiato,伦佐·韦基亚托
Marino Perani,马里诺·佩拉尼
Marco Bracci,馬爾科·布拉奇
Chiara Caselli,基娅拉·卡塞利
Elisa Casanova,埃莉萨·卡萨诺瓦
Nicola Pasini,尼古拉·帕西尼
Mario Magnozzi,马里奥·马尼奥齐
Taismary Agüero,泰斯瑪麗·阿古路
Stefano Carozzo,斯特凡诺·卡罗佐
Carolina Costagrande,卡罗琳娜·科斯塔格兰德
Margherita Granbassi,玛格丽塔·格兰巴西
Fabio Maj,法比奥·马伊
Giuseppe Bognanni,朱塞佩·博尼安尼
Elia Luini,埃利亚·卢伊尼
Indre Sorokaite,因德雷·索罗凯特
Iacopo La Rocca,伊亞高普·拿洛卡
Joseph Lanza,約瑟夫·蘭扎
Oreste Grossi,奥雷斯特·格罗西
Gino Sopracordevole,吉诺·索普拉科尔代沃莱
Cencio Mantovani,琴乔·曼托瓦尼
Nicola Sartori,尼古拉·萨尔托里
Diana Pizzavini,黛安娜·皮扎维尼
Carlo Mornati,卡洛·莫尔纳蒂
Lavinia Gianoni,拉维尼娅·贾诺尼
Ines Vercesi,伊内斯·韦尔切西
Lorenzo Carboncini,洛伦佐·卡尔邦奇尼
Rita Vittadini,丽塔·维塔迪尼
Carolina Tronconi,卡罗琳娜·特龙科尼
Luigina Perversi,路易吉娜·佩尔韦西
Nino Bibbia,尼诺·比比亚
Davide Succi,戴維·蘇西
Zeffiro Furiassi,泽菲罗·富里亚西
Michele Maffei,米凯莱·马费伊
Leonardo Pettinari,莱奥纳尔多·佩蒂纳里
Fabio Sciacca,法比奧·夏卡
Vincenzo Cuccia,温琴佐·库恰
Yuri Confortola,尤里·孔福爾托拉
Davide Bonora,达维德·博诺拉
Laura Milani,劳拉·米拉尼
Spartaco Bandinelli,斯帕尔塔科·班迪内利
Davide Manenti,达维德·马嫩蒂
Gastone Pierini,加斯托内·皮耶里尼
Ennio Mattarelli,恩尼奥·马塔雷利
Giuseppe Ravano,朱塞佩·拉瓦诺
Germana Malabarba,杰尔马娜·马拉巴尔巴
Simona Rinieri,西蒙娜·里涅里
Franco Bertinetti,佛朗哥·贝尔蒂内蒂
Giovanni Canova,乔瓦尼·卡诺瓦
Marcello Bertinetti,马尔切洛·贝尔蒂内蒂·(1885年)
Matteo Martino,馬特奧·馬爾提諾
Pietro Figlioli,彼得罗·菲廖利
Blu (artista),Blu
Attilio Giovannini,阿蒂利奥·焦万尼尼
Andrea Sartoretti,安德烈·薩托萊蒂
Edoardo Gori,埃德拉多·戈里
Elena Vallortigara,埃莱娜·瓦洛尔蒂加拉
Luca de Meo,盧卡·德·梅奧
Luca Cantagalli,盧卡·坎塔加利
Lorenzo Cittadini,洛倫佐·西塔迪尼
Luciano Orquera,盧奇亞諾·奧奎拉
Luigi Busà,路易吉·布萨
Samuel Pizzetti,薩謬埃爾·皮澤蒂
Pierino Fanna,彼得罗·凡纳
Cristhian Stuani,克里斯蒂安·斯圖亞尼
Luca Sacchi,卢卡·萨基
Paola Paggi,保拉·帕吉
Valentino Degani,瓦伦蒂诺·德加尼
Felice Gasperi,费利切·加斯佩里
Giovanni Giacomazzi,乔瓦尼·贾科马齐
Stefano Desideri,斯特凡诺·德西代里
Enrico Rivolta,恩里科·里沃尔塔
Silvio Pietroboni,西尔维奥·彼得罗博尼
Enea Zuffi,埃内亚·祖菲
Vittorio Emanuele di Savoia-Aosta,维托里奥·埃曼努埃莱·(都灵伯爵)
Gonzalo Canale,貢薩羅·卡納萊
Andrea Lo Cicero,安德烈·洛切萊羅
Guido Vincenzi,圭多·温琴齐
Francesco Rizzo,弗朗切斯科·里佐
Sigisfredo Mair,西格弗里德·迈尔
Luigi Samele,路易吉·薩梅萊
Rino Ferrario,里诺·费拉里奥
Iolanda Margherita di Savoia,薩伏依的約蘭達公主
Giorgio Avola,乔治·阿沃拉
João Pedro,若昂·佩德羅·(1992年)
Giovanni Scatturin,乔瓦尼·斯卡图林
Primo Magnani,普里莫·马尼亚尼
Pierpaolo Ferrazzi,皮耶尔保罗·费拉齐
Arnaldo Carli,阿纳尔多·卡利
Ercole Olgeni,埃尔科莱·奥尔杰尼
Valerio Perentin,瓦莱里奥·佩伦廷
Ruggero Ferrario,鲁杰罗·费拉里奥
Stefano Sollima,斯特法諾·索利瑪
Carlo Cavagnoli,卡洛·卡瓦尼奥利
Francesco Cattalinich,弗拉内·卡塔利尼奇
Giovanni Delise,乔瓦尼·德利塞
