Massachusetts,マサチューセッツ州
Parrot Records,パロット・レコード
Space Center Houston,スペースセンター・ヒューストン
The Many Adventures of Winnie the Pooh (attraction),プーさんの冒険
Finding Nemo Submarine Voyage,ファインディング・ニモ・サブマリン・ヴォヤッジ
Ohio State Buckeyes,オハイオステート・バックアイズ
Vanity Fair (American magazine 1913–1936),バニティ・フェア・(1913年創刊のアメリカ合衆国の雑誌)
"Chappaqua, New York",チャパクア
Cinder River,シンダー川
Claire's,クレアーズ
CZW Best of the Best,ベスト・オブ・ザ・ベスト
Fraunces Tavern,フランシス・タバーン
Toyota Arena,トヨタ・アリーナ
Interactive Advertising Bureau,Interactive・Advertising・Bureau
WCBS-TV,WCBS-TV
Cengage Group,センゲージラーニング
"London, Kentucky",ロンドン・(ケンタッキー州)
NEXRAD,NEXRAD
UFC Fight Night: Marquardt vs. Palhares,UFC・Fight・Night:・Marquardt・vs.・Palhares
UFC Live: Sanchez vs. Kampmann,UFC・Live:・Sanchez・vs.・Kampmann
79th Street station (IRT Broadway–Seventh Avenue Line),79丁目駅・(IRTブロードウェイ-7番街線)
Black Liberation Army,黒人解放軍
BMW Championship (PGA Tour),BMW選手権
Screen Actors Guild Award for Outstanding Performance by an Ensemble in a Comedy Series,全米映画俳優組合賞アンサンブル賞・(コメディシリーズ)
VPL Research,VPLリサーチ
Hermitage Hotel,ザ・ハーミテージ・ホテル
"Gantt, South Carolina",ガント・(サウスカロライナ州)
Geography of California,カリフォルニア州の地理
Naismith College Player of the Year,ネイスミス・カレッジ最優秀選手賞
Ukrainian Orthodox Church of the USA,在米国ウクライナ正教会
37th Primetime Emmy Awards,第37回プライムタイム・エミー賞
Lehigh Valley IronPigs,リーハイバレー・アイアンピッグス
UFC 10,UFC・10
UFC 60,UFC・60
UFC 62,UFC・62
UFC 65,UFC・65
UFC 66,UFC・66
UFC 76,UFC・76
UFC 86,UFC・86
UFC 88,UFC・88
UFC 90,UFC・90
Ultimate Ultimate 1996,Ultimate・Ultimate・1996
Utah Symphony,ユタ交響楽団
"Beulah, Michigan",ビューラ・(ミシガン州)
"Lansing, Illinois",ランシング・(イリノイ州)
Newark–World Trade Center,ニューアーク-ワールド・トレード・センター線
Lockheed L-2000,ロッキード・L-2000
Rogers Locomotive and Machine Works,ロジャーズ・ロコモティブ・ワークス
DC Comics,DCコミックス
Cotillion Records,コティリオン・レコード
Idaho's 2nd congressional district,アイダホ州第2選挙区
Okanagan language,オカナガン語
Dinosaur (Disney's Animal Kingdom),ダイナソー・(アトラクション)
Disney animators' strike,ディズニーアニメーターのストライキ
Gadget's Go Coaster,ガジェットのゴーコースター
Houston Film Critics Society,ヒューストン映画批評家協会
Northeastern State University,ノースイースタン州立大学
San Jose Diridon station,サンノゼ・ディリドン駅
Sony Open in Hawaii,ソニーオープン・イン・ハワイ
United States Post Office Department,アメリカ合衆国郵政省
William F. Walsh Regional Transportation Center,シラキュース駅・(アムトラック)
Yonkers station,ヨンカーズ駅
United States Army Ordnance Training Support Facility,アメリカ陸軍兵器博物館
Arista Networks,アリスタネットワークス
Atlantic League of Professional Baseball,アトランティックリーグ
Ayres Corporation,エアーズ・コーポレーション
"Dentsville, South Carolina",デンツビル・(サウスカロライナ州)
Green Bay–Austin Straubel International Airport,オースチン・ストローベル国際空港
Hōlei Sea Arch,ホレイ・シーアーチ
Major League Baseball Players Association,メジャーリーグベースボール選手会
Mono Basin,モノ盆地
Philadelphia Athletics (1890–1891),フィラデルフィア・アスレチックス・(1890-1891年)
Sioux Falls Regional Airport,スーフォールズ地域空港
Vermilion Bay (Louisiana),ヴァーミリオン湾
Battle of Red Bank,レッドバンクの戦い
Mickey's Toontown,トゥーンタウン
National Socialist Party of America v. Village of Skokie,アメリカ国家社会党対スコーキー村事件
Pelham Bay Park,ペラム・ベイ・パーク
Peter Pan's Flight,ピーターパン空の旅
The New Breed (ECW),ニュー・ブリード
United States presidential primary,アメリカ合衆国大統領予備選挙
Whitewater Bay,ホワイトウォーター湾
68th Street–Hunter College station,68丁目-ハンター・カレッジ駅
IND Sixth Avenue Line,IND6番街線
Red Summer,赤い夏
Battle of New Bern,ニューバーンの戦い・(南北戦争)
155th meridian west,西経155度線
39th Primetime Emmy Awards,第39回プライムタイム・エミー賞
Double Helix Games,Double・Helix・Games
The WELL,WELL
UFC 127,UFC・127
UFC 81,UFC・81
2009 Los Angeles Film Critics Association Awards,第35回ロサンゼルス映画批評家協会賞
Airman's Medal,エアマンズメダル
FBI Academy,FBIアカデミー
Greater Nevada Field,エーシズ・ボールパーク
New York Film Critics Online Awards 2009,第9回ニューヨーク映画批評家オンライン賞
Apple Push Notification service,Apple・Push・Notification・Service
Dugway Proving Ground,ダグウェイ実験場
Durham Bulls Athletic Park,ダーラム・ブルズ・アスレチック・パーク
Erie Triangle,エリー・トライアングル
Faubourg Marigny,フォーバーグ・マリニー
Fort Eustis,フォート・ユースティス
Isidoro García Stadium,エスタディオ・イシドーロ・ガルシア
RatPac Entertainment,ラットパック＝デューン・エンターテインメント
Sonic Youth Recordings,ソニック・ユース・レコーディング
Joffrey Ballet,ジョフリー・バレエ
Millennium High School (New York City),ミレニアム・ハイスクール・(ニューヨーク市)
Mohican language,マヒカン語
Detroit Falcons (basketball),デトロイト・ファルコンズ
Indiana Alley Cats,インディアナ・アレイキャッツ
"Pikeville, Kentucky",パイクビル・(ケンタッキー州)
"Between, Georgia",ビトウィーン・(ジョージア州)
Maine State House,メイン州会議事堂
USS Lamprey,ランプレイ・(潜水艦)
United States men's national wheelchair basketball team,車いすバスケットボール男子アメリカ合衆国代表
Bryce Canyon Airport,ブライス・キャニオン空港
Liberty Bell Classic,リバティ・ベル・クラシック
List of airports in the Northern Mariana Islands,北マリアナ諸島の空港の一覧
National Board of Review Awards 1930,ナショナル・ボード・オブ・レビュー賞・(1930年)
National Board of Review Awards 1937,ナショナル・ボード・オブ・レビュー賞・(1937年)
National Board of Review Awards 1939,ナショナル・ボード・オブ・レビュー賞・(1939年)
National Board of Review Awards 2006,ナショナル・ボード・オブ・レビュー賞・(2006年)
Knights Stadium,ナイツ・スタジアム
"Lake View, Chicago",レイク・ビュー・(シカゴ)
Liberty Bowl,リバティボウル
Zoo Entertainment (record label),ズー・エンタテインメント
Los Angeles County Sheriff's Department,ロサンゼルス郡保安局
Mellon Financial,メロン・フィナンシャル
Warner Bros.-Seven Arts,ワーナー・ブラザース＝セヴン・アーツ
Wild Samoans,ワイルド・サモアンズ
Wrigley Field (Los Angeles),ロサンゼルス・リグレー・フィールド
"Forest Grove, Oregon",フォレストグローヴ・(オレゴン州)
Sidwell Friends School,シドウェル・フレンズ・スクール
"Harrison, New York",ハリソン・(ニューヨーク州)
Trident Volcano,トライデント山・(アメリカ合衆国)
"Vale, Oregon",ヴェイル・(オレゴン州)
"Wren, Oregon",レン・(オレゴン州)
Maoist Internationalist Movement,毛沢東主義国際運動
UFC on Fox: Diaz vs. Miller,UFC・on・FOX・3
Climate of California,カリフォルニア州の気候
Miami Majesty,マイアミ・マジェスティ
New Jersey Institute of Technology,ニュージャージー工科大学
North Bay (San Francisco Bay Area),ノースベイ・(サンフランシスコ・ベイエリア)
Promise Keepers,プロミス・キーパーズ
Saban Capital Group,サバン・キャピタル・グループ
"San Juan, New Mexico",サンフアン・(ニューメキシコ州)
Tacoma Narrows,タコマナローズ
University of Central Oklahoma,セントラル・オクラホマ大学
Child sexual abuse accusations against Michael Jackson,マイケル・ジャクソンの1993年の性的虐待疑惑
The Coca-Cola Company,ザ・コカ・コーラ・カンパニー
Ford C. Frick Award,フォード・C・フリック賞
Mannatech,マナテック
Price–Anderson Nuclear Industries Indemnity Act,プライス・アンダーソン法
Sutter Health Park,ラリー・フィールド
Institute of Design at the Illinois Institute of Technology,ニュー・バウハウス
Detroit Police Department,デトロイト市警察
Golden Oak Ranch,ディズニー・ゴールデン・オークランチ
Montana State Capitol,モンタナ州会議事堂
"Rogers Park, Chicago",ロジャーズ・パーク
Venezuelans,ベネズエラ人
1903 Major League Baseball season,1903年のメジャーリーグベースボール
7th Street/Metro Center station,7th・ストリート/メトロセンター駅
Los Angeles Fire Department,ロサンゼルス市消防局
Louise M. Slaughter Rochester Station,ロチェスター駅
Isotopes Park,アイソトープス・パーク
300 save club,300セーブクラブ
KGMB,KGMB
PBS Kids,PBS・Kids
ArtCenter College of Design,アート・センター・カレッジ・オブ・デザイン
Ed Sullivan Theater,エド・サリヴァン・シアター
Inter Island Airways,インターアイランド・エアウェイズ
Presbyterian Church in the United States of America,アメリカ合衆国長老教会
Parabola GNU/Linux-libre,Parabola・GNU/Linux-libre
King Kamehameha I Day,カメハメハ・デー
Dollar diplomacy,ドル外交
Warren Spahn Award,ウォーレン・スパーン賞
Under Secretary of State for Public Diplomacy and Public Affairs,アメリカ合衆国国務次官（公共外交・広報担当）
Investment Company Act of 1940,投資会社法
IX Corps (Union Army),第9軍団・(北軍)
List of American films of 2010,2010年のアメリカ合衆国の映画作品一覧
NBC Studios (New York City),NBCスタジオ
Oakmont Country Club,オークモントカントリークラブ
"United States Secretary of Health, Education, and Welfare",アメリカ合衆国保健教育福祉長官
Oklahoma Sooners,オクラホマ・スーナーズ
Sheaffer,シェーファー・(企業)
The Tetris Company,ザ・テトリス・カンパニー
WINS (AM),WINS・(AM)
1996 Pilot Pen International,1996年パイロット・ペン・インターナショナル
Legislative Assembly of Puerto Rico,立法議会・(プエルトリコ)
Christmas Bullet,クリスマス・ブレット
New Mexico State Capitol,ニューメキシコ州会議事堂
North Dakota State Capitol,ノースダコタ州会議事堂
Nanosys,Nanosys
St. John Cemetery (Queens),セント・ジョンズ墓地
Washington Street (Manhattan),ワシントン・ストリート・(マンハッタン)
Regional Bell Operating Company,地域ベル電話会社
2003 American League Division Series,2003年のアメリカンリーグディビジョンシリーズ
2004 American League Division Series,2004年のアメリカンリーグディビジョンシリーズ
2008 Major League Baseball draft,2008年のMLBドラフト
2009 Pulitzer Prize,2009年ピューリッツァー賞
Bainbridge Island Japanese American Exclusion Memorial,ベインブリッジ島日系アメリカ人排除記念碑
Baltusrol Golf Club,バルタスロールゴルフクラブ
"Barren Island, Brooklyn",バレン島
Baton Rouge Ladies Invitational,バトンルージュ・レディース・インビテーショナル
Battery Park Underpass,バッテリーパークアンダーパス
Battle of Piedmont,ピードモントの戦い
Battle of White Oak Swamp,ホワイトオーク湿地の戦い
Bellaire station,ベルエア駅・(LIRR)
"Bellton, West Virginia",ベルトン・(ウェストバージニア州)
Belmont Park station,ベルモントパーク駅・(LIRR)
"Benson Tower (Portland, Oregon)",ベンソン・タワー・(オレゴン州ポートランド)
Bienen School of Music,ビーネン音楽院
Bingham Medal,ビンガム・メダル
Clipper card,クリッパーカード
John Scott Medal,ジョン・スコット賞
Miller v. California,ミラー対カリフォルニア州事件
Mission Accomplished speech,任務完了演説
"Monsters, Inc. Laugh Floor",モンスターズ・インク・ラフフロアー
Navy Pier,ネイビー・ピア
Operation Garden Plot,ガーデンプロット計画
Public Company Accounting Oversight Board,公開企業会計監視委員会
Trenton Thunder,トレントン・サンダー
1991–92 Chicago Bulls season,1991-92シーズンのシカゴ・ブルズ
Harvard University Herbaria,ハーバード大学標本館
Ling-Temco-Vought,リング・テムコ・ボート
"No Name, Colorado",ノーネーム・(コロラド州)
UFC 133,UFC・133
UFC 139,UFC・139
ALCO RSC-2,アルコRSC-2形ディーゼル機関車
Allen Street,アレン・ストリート
Hearst Television,ハースト・テレビジョン
Petersburg Railroad,ピーターズバーグ鉄道
1982 Major League Baseball season,1982年のメジャーリーグベースボール
SpaceX CRS-4,スペースX・CRS-4
TuneIn,TuneIn・Radio
Willowbrook/Rosa Parks station,ウィローブルック/ロサパーク駅
1971 National League Championship Series,1971年のナショナルリーグチャンピオンシップシリーズ
1982 National League Championship Series,1982年のナショナルリーグチャンピオンシップシリーズ
1983 American League Championship Series,1983年のアメリカンリーグチャンピオンシップシリーズ
1991 American League Championship Series,1991年のアメリカンリーグチャンピオンシップシリーズ
T-Mobile US,T-Mobile・US
USS K-3 (SS-34),K-3・(潜水艦)
USS Ling,リング・(潜水艦)
USS Manta (SS-299),マンタ・(潜水艦)
USS Queenfish (SS-393),クイーンフィッシュ・(潜水艦)
USS Spot,スポット・(潜水艦)
USS Tang (SS-306),タング・(SS-306)
USS Cusk,カスク・(潜水艦)
USS Clamagore,クラマゴア・(潜水艦)
USS K-4,K-4・(潜水艦)
1997 American League Division Series,1997年のアメリカンリーグディビジョンシリーズ
1998 IMSA GT Championship,1998年のIMSA・GT選手権
1st Annual NFL Honors,第1回NFLオナーズ
"1st Battalion, 12th Marines",第12海兵連隊第1大隊
Truist Field,BB%26Tボールパーク
Battle of Amelia Springs,アメリア・スプリングスの戦い
Battle of Globe Tavern,グローブタバンの戦い
Battle of Groton Heights,グロトンハイツの戦い
Battle of Gully Hole Creek,ガリー・ホール・クリークの戦い
Battle of Spencer's Ordinary,スペンサーズオーディナリーの戦い
Maxim (magazine),マクシム・(雑誌)
Midland International Air and Space Port,ミッドランド国際空港
Tydings–McDuffie Act,フィリピン独立法
Walt Disney Travel Company,ウォルト・ディズニー・トラベル・カンパニー
Woodward Stakes,ウッドワードステークス
IBM Somers Office Complex,IBMソーマーズ事業所
1961 Goldsboro B-52 crash,1961年ゴールズボロ空軍機事故
Reflexive Entertainment,Reflexive・Entertainment
Twenty-cent piece (United States coin),20セント硬貨・(アメリカ合衆国)
1914 Major League Baseball season,1914年のメジャーリーグベースボール
1916 Democratic National Convention,1916年民主党全国大会
1919 Major League Baseball season,1919年のメジャーリーグベースボール
1933 Major League Baseball All-Star Game,1933年のMLBオールスターゲーム
1936 Major League Baseball season,1936年のメジャーリーグベースボール
1941 Major League Baseball season,1941年のメジャーリーグベースボール
1941 New York Film Critics Circle Awards,第7回ニューヨーク映画批評家協会賞
1942 New York Film Critics Circle Awards,第8回ニューヨーク映画批評家協会賞
1943 Major League Baseball season,1943年のメジャーリーグベースボール
1947 New York Film Critics Circle Awards,第13回ニューヨーク映画批評家協会賞
1951 National League tie-breaker series,1951年のナショナルリーグ優勝決定プレイオフ
1969 New York Film Critics Circle Awards,第35回ニューヨーク映画批評家協会賞
1971 IMSA GT Championship,1971年のIMSA・GT選手権
1976 New York Film Critics Circle Awards,第42回ニューヨーク映画批評家協会賞
1978 American League East tie-breaker game,1978年のアメリカンリーグ東地区優勝決定プレイオフ
1981 Major League Baseball draft,1981年のMLBドラフト
1981 New York Film Critics Circle Awards,第47回ニューヨーク映画批評家協会賞
1985 Major League Baseball draft,1985年のMLBドラフト
1990 New York Film Critics Circle Awards,第56回ニューヨーク映画批評家協会賞
1995 New York Film Critics Circle Awards,第61回ニューヨーク映画批評家協会賞
Chrystie Street,クリスティ・ストリート
Cucamonga Valley,クカモンガ・バレー
Goucher College,ガウチャー大学
New York Medical College,ニューヨーク医科大学
Open Road Films,オープン・ロード・フィルムズ
Wistar Institute,ウィスター研究所
Montana's at-large congressional district,モンタナ州全州選挙区
Puʻukoholā Heiau National Historic Site,プウコホラ・ヘイアウ
1100 Wilshire,1100ウィルシャー
14th Street station (PATH),14丁目駅・(パストレイン)
180th Street–Bronx Park station,180丁目-ブロンクス・パーク駅
1908 Democratic National Convention,1908年民主党全国大会
Thirteenth Avenue (Manhattan),13番街
USS Diodon,ディオドン・(潜水艦)
Benihana,紅花・(飲食業)
EVMC/Fort Norfolk station,EVMC/フォート・ノーフォーク駅
Binky (polar bear),ビンキー
Blandford Street station,ブランドフォード・ストリート駅・(MBTA)
Bombardment of Fort Stevens,フォート・スティーブンス砲撃
Brandywine School,ブランデーワイン派
Breeders' Cup Dirt Mile,ブリーダーズカップ・ダートマイル
Clearwire,クリアワイア
Clement L. Hirsch Stakes,クレメント・L・ハーシュステークス
Cooper River (South Carolina),クーパー川・(サウスカロライナ州)
Core Four,コア4
Crested Butte Mountain Resort,クレステッド・ビュート・マウンテン・リゾート
Crime in Oregon,オレゴン州における犯罪
2007 Los Angeles Film Critics Association Awards,第33回ロサンゼルス映画批評家協会賞
Stock Exchange Luncheon Club,ストック・エクスチェンジ・ランチョン・クラブ
USS Trigger (SS-564),トリガー・(SS-564)
Russian Fort Elizabeth,エリザベス要塞
1902 Major League Baseball season,1902年のメジャーリーグベースボール
TVU Networks,TVUプレーヤー
UFC 151,UFC・151
Abiomed,アビオメッド
Abrams Falls Trail,アブラムズ・フォールズ・トレイル
"Ackerville, Alabama",アッカーヴィル・(アラバマ州)
Advanced Tactical Fighter,先進戦術戦闘機計画
AeroTrain (Washington Dulles International Airport),エアロトレイン・(ワシントン・ダレス国際空港)
Air Park-Dallas Airport,エア・パーク・ダラス空港
ALCO DL-109,アルコDL-109型ディーゼル機関車
Battle of Fort Ridgely,リッジリー砦の戦い
Battle of Machias (1777),第二次マチャイアスの海戦
Battle of Marion,マリオンの戦い
"Beaumont-Wilshire, Portland, Oregon",ボーモント＝ウィルシャー・(ポートランド)
Go for Broke Monument,日系人部隊記念碑
Governor of Michigan,ミシガン州知事
HSC-12,第12ヘリコプター海上戦闘飛行隊・(アメリカ海軍)
HSC-21,第21ヘリコプター海上戦闘飛行隊・(アメリカ海軍)
Picatinny Arsenal,ピカティニー・アーセナル
528th Sustainment Brigade (United States),第528維持旅団
63rd Street Tunnel,63丁目トンネル
73rd Air Division,第73爆撃団
A1W reactor,A1W・(原子炉)
Accreditation Council for Graduate Medical Education,ACGME
Air Materiel Command,空軍兵站軍団
"Alder, Oregon",アルダー・(オレゴン州)
Alfred G. Vanderbilt Handicap,アルフレッド・G・ヴァンダービルトハンデキャップ
Altoona Transportation Center,アルトゥーナ駅
American Accounting Association,アメリカ会計学会
American Association of Professional Baseball,アメリカン・アソシエーション・(独立リーグ)
American Diabetes Association,アメリカ糖尿病協会
American Kickboxing Academy,アメリカン・キックボクシング・アカデミー
American League Park,アメリカン・リーグ・パーク
Anaheim University,アナハイム大学
Anniston station,アニストン駅
Blue Line (San Diego Trolley),ブルーライン・(サンディエゴ・トロリー)
Blue Waters,Blue・Waters
Bluespec,Bluespec
BoltBus,ボルトバス
Bonney Gull,ボニー・ガル
Borden Classic,ボーデン・クラシック
Botanical Garden station (Metro-North),ボタニカル・ガーデン駅・(ニューヨーク州)
Boys Town (organization),少年の町
BRAIN Initiative,ブレイン・イニシアチブ
Brewster station,ブルースター駅
California Department of Forestry and Fire Protection,カリフォルニア州森林保護防火局
California statistical areas,カリフォルニア州の都市圏の一覧
Calvin Theological Seminary,カルヴィン神学校
Rocky Mountain Metropolitan Airport,ジェフコ空港
Cigar Mile Handicap,シガーマイルハンデキャップ
City Parks Foundation,シティ・パークス財団
CockyBoys,CockyBoys
Colonial Downs,コロニアルダウンズ競馬場
Coney Island hot dog,コニードッグ
Courthouse Square,コートハウス・スクエア
Coyote (chassis),コヨーテ・(シャシー)
List of statistical areas in Colorado,コロラド州の都市圏の一覧
Audi Field,アウディ・フィールド
Culpeper station,カルペパー駅
Curves International,カーブス
EALC,東アジア研究科
Eighteenth Air Force,第18空軍・(アメリカ軍)
American Baptist Association,米国バプテスト連盟
American Federation of Information Processing Societies,米国情報処理学会連合会
American Society of Landscape Architects Medal,ASLAメダル
Santa Anita Sprint Championship,サンタアニタスプリントチャンピオンシップステークス
Archie Bray Foundation for the Ceramic Arts,アーチブレイ財団
Ardmore station (Pennsylvania),アードモア駅・(ペンシルベニア州)
Arkansas statistical areas,アーカンソー州の都市圏の一覧
"Arlington Heights, Portland, Oregon",アーリントン・ハイツ・(ポートランド)
"Arnold Creek, Portland, Oregon",アーノルド・クリーク・(ポートランド)
Arnold Engineering Development Complex,アーノルド技術開発センター
"Ashcreek, Portland, Oregon",アッシュクリーク・(ポートランド)
Ashfork-Bainbridge Steel Dam,アッシュ・フォーク・ダム
Ashley Municipal Airport,アシュリー市営空港
Asian Film Festival of Dallas,ダラスアジアン映画祭
Assistant Secretary of State for African Affairs,アメリカ合衆国国務次官補（アフリカ担当）
Auburn Doubledays,オーバーン・ダブルデイズ
Brunswick Maine Street Station,ブランズウィック・メイン・ストリート駅
Buffalo Blues,バッファロー・ブルース
Bumbershoot,バンバーシュート
Buxton School (Massachusetts),ボクストン・スクール
CME Group Tour Championship,CMEグループ・ツアー選手権
E Line (Los Angeles Metro),ロサンゼルス郡都市圏交通局E線
Dymo Corporation,ダイモ
Atlantic Records 40th anniversary,アトランティック・レコード40周年コンサート
Daifukuji Soto Zen Mission,大福寺・(ハワイ州)
DailyMed,Daily・Med
Darien station,デリエン駅
Dean %26 DeLuca,ディーン・アンド・デルーカ
John D. Dingell Transit Center,ジョン・D・ディンゲル・トランジット・センター
EEMBC,EEMBC
Engine Yard,Engine・Yard
"Esplanade Avenue, New Orleans",エスプラネード・アベニュー
Faith Theological Seminary,フェイス神学校
Family Caregiver Alliance,家族介護人同盟
Fargo-Moorhead RedHawks,ファーゴ・ムーアヘッド・レッドホークス
Hamilton Pool Preserve,ハミルトンプール
Harpers Ferry station,ハーパーズ・フェリー駅
Harrah's %26 The Linq station,ハラーズ/ザ・リンク駅
Hattiesburg station,ハッティズバーグ駅
Haverhill station (Massachusetts),ヘイブリル駅・(マサチューセッツ州)
Havre station,ハバー駅
Hawaii Nui Brewing Company,ハワイヌイビール会社
Hawaii Superferry,ハワイ・スーパーフェリー
Hawaii Theatre,ハワイ・シアター
Hawks Nest Tunnel disaster,ホークス・ネストトンネル災害
HealthLine,ヘルスライン
Prelude to the attack on Pearl Harbor,日米交渉
Farmingdale station,ファーミングデール駅
First Lady Stakes,ファーストレディステークス
Hilo High School,ヒロ高等学校
IRT Sixth Avenue Line,IRT6番街線
IZotope,IZotope
Strikeforce: Barnett vs. Kharitonov,Strikeforce:・Barnett・vs.・Kharitonov
Casco Bay,カスコ湾
Cass Lake (Minnesota),カス湖・(ミネソタ州)
Cathedral Church of Saint Andrew (Honolulu),セントアンドリューズ大聖堂・(ホノルル)
"Central Library (Portland, Oregon)",中央図書館・(オレゴン州ポートランド)
Centralia station (Illinois),セントラリア駅
Chambers Bay,チェンバーズ・ベイ・ゴルフコース
Charleston Municipal Auditorium,チャールストン市立公会堂
Cherry Valley massacre,チェリーバレー虐殺
Chicago North Shore and Milwaukee Railroad,シカゴ・ノースショアー・アンド・ミルウォーキー鉄道
Chicken Soup for the Soul,こころのチキンスープ
"Chickering Hall (Boston, 1901)",チッカリング・ホール・(ボストン、1901年開場)
Defense Finance and Accounting Service,アメリカ国防予算経理局
Del Mar Oaks,デルマーオークス
Del Mar racetrack,デルマー競馬場
Delaware Handicap,デラウェアハンデキャップ
Delaware statistical areas,デラウェア州の都市圏の一覧
Delta Flight Museum,デルタ航空博物館
Democratic Party of Georgia,ジョージア民主党
Detroit Department of Transportation,デトロイト市交通局
Diving horse,ダイビング・ホース
Dogface (military),ドッグフェイス・(軍隊)
Donn Handicap,ドンハンデキャップ
Dover Transportation Center,ドーバー・トランスポーテーション・センター
Downtown Honolulu,ダウンタウン・ホノルル
Fab@Home,Fab@Home
FBI National Security Branch,連邦捜査局国家保安部
BMT Franklin Avenue Line,BMTフランクリン・アベニュー線
Capital Area Multimodal Gateway,キャピタル・エリア・マルチモーダル・ゲートウェイ
East Williston station,イースト・ウィリストン駅
Edward Mooney House,エドワード・ムーニー・ハウス
Emblem of New Hampshire,ニューハンプシャー州の標章
Employee Retirement Income Security Act of 1974,エリサ法
"Fire Station No. 1 (Roanoke, Virginia)",消防署第一号・(バージニア州ロアノーク)
First inauguration of Calvin Coolidge,1923年カルビン・クーリッジ大統領就任式
Fordham station,フォードハム駅
Forego Stakes,フォアゴーステークス
Fort Negley,フォート・ネグリー
Frisco RoughRiders,フリスコ・ラフライダーズ
Fulton station,フルトン駅
Second inauguration of Dwight D. Eisenhower,1957年ドワイト・D・アイゼンハワー大統領就任式
Holiday Magic,ホリディマジック
Holley Performance Products,ホーリー・パフォーマンス・プロダクツ
Los Alamitos Futurity,ロスアラミトスフューチュリティ
Institute for Dynamic Educational Advancement,Institute・for・Dynamic・Educational・Advancement
Internet Sacred Text Archive,インターネット・セイクリッド・テキスト・アーカイブ
Invicta Watch Group,インビクタ・(時計メーカー)
Galesburg station (Amtrak),ゲイルズバーグ駅
Gamely Stakes,ゲイムリーステークス
Georgia statistical areas,ジョージア州の都市圏の一覧
Girard incident,ジラード事件
Glen Cove station,グレンコーブ駅
"Del Rio, Florida",デル・リオ・(フロリダ州)
Huntsville Hospital Tram System,ハンツビル病院トラム・システム
"Marylhurst, Oregon",メリルハースト・(オレゴン州)
St. George Terminal,セント・ジョージ・ターミナル
Thunderbird School of Global Management,サンダーバード国際経営大学院
Trinity Evangelical Divinity School,トリニティ神学校
United States House Committee on Foreign Affairs,アメリカ合衆国下院外交委員会
Waterloo Regional Airport,ウォータールー地方空港
Belmont Derby,ベルモントダービーインビテーショナルステークス
Irvington station (Metro-North),アービントン駅
Micronesia Mall,マイクロネシアモール
Rawlings (company),ローリングス
Joseph Schlitz Brewing Company,シュリッツ・(ビール)
Keeneland,キーンランド競馬場
USS Halfbeak,ハーフビーク・(潜水艦)
Crossway,グッド・ニュース・パブリッシャーズ
Gold Coast Historic District (Chicago),ゴールド・コースト歴史地区・(シカゴ)
Goldman Band,ゴールドマン・バンド
Governor of Nebraska,ネブラスカ州知事
Great Kills station,グレート・キルズ駅
Great Lakes Maritime Academy,グレートレイク海事大学
"Greenberry, Oregon",グリーンベリー・(オレゴン州)
Greenville station (South Carolina),グリーンビル駅・(サウスカロライナ州)
Gridiron Club,グリディロン・クラブ
Ground Round,グランド・ラウンド
Guam Organic Act of 1950,グアム自治法
J. Press,J.プレス
Gotee Records,ゴーテー・レコード
State University of New York at Geneseo,ニューヨーク州立大学ジェネセオ校
Uptown New Orleans,アップタウン・(ニューオーリンズ)
USS Cero (SS-225),セロ・(潜水艦)
USS Marlin (SS-205),マーリン・(SS-205)
USS Paddle,パドル・(潜水艦)
USS Trigger (SS-237),トリガー・(SS-237)
USS Tullibee (SS-284),タリビー・(ガトー級潜水艦)
Kawakita v. United States,川北対合衆国事件
"Consulate General of Japan, Houston",在ヒューストン日本国総領事館
"Royal Street, New Orleans",ロイヤル・ストリート・(ニューオーリンズ)
USS Redfin,レッドフィン・(潜水艦)
KDDI Mobile,KDDIモバイル
UFC 160,UFC・160
Jersey Shore BlueClaws,ジャージーショア・ブルークロウズ
Lake Cataouatche,カタウアッチ湖
Lake DeForest,デフォレスト湖
List of buildings in the Johnson Space Center,ジョンソン宇宙センター内の建物一覧
List of closed New York City Subway stations,ニューヨーク市地下鉄の廃止駅一覧
List of New York City Subway stations in Manhattan,マンハッタンのニューヨーク市地下鉄駅の一覧
Little Rock Union Station,リトルロック・ユニオン駅
Kalgin Island,カルギン島
Kapiʻolani Community College,カピオラニ・コミュニティーカレッジ
Kauffman Fellows Program,Kauffman・Fellows・Program
Kirtland Formation,カートランド累層
Klamath Community College,クラマス・コミュニティ・カレッジ
MyPlate,マイプレート
Lafayette Theatre (Suffern),ラファイエット劇場
Lake Placid Airport,レークプラシッド空港
Larchmont station,ラーチモント駅
Law school in the United States,ロー・スクール・(アメリカ合衆国)
Malden Mills,ポーラテック
Marine Corps Air Station Tustin,アメリカ海兵隊タスティン航空基地
Military Airlift Command,軍事空輸軍団
Military Aviation Museum,軍事航空博物館
Lincoln station (Illinois),リンカーン駅・(イリノイ州)
Linguistic Society of America,アメリカ言語学会
List of Arizona Diamondbacks seasons,アリゾナ・ダイヤモンドバックスの年度別成績一覧
Mad Catz,マッドキャッツ・(企業)
Majestic Tree Hound,マジェスティック・ツリー・ハウンド
MapR,マップアール
"Municipal Stadium (Kansas City, Missouri)",カンザスシティ・ミュニシパル・スタジアム
Napa Valley Wine Train,ナパバレー・ワイントレイン
Naperville station,ネイパービル駅
