衛德明,ヘルムート・ウィルヘルム
陶鲁笳,陶魯笳
彭涛,彭涛
万鄂湘,万鄂湘
万古蟾,万古蟾
王宝强,ワン・バオチャン
王宾 (足球运动员),王賓
刘福连,劉福連
刘善本,劉善本
王登平,王登平
李永泰,李永泰
陈希,陳希
杜恒岩,杜恒岩
杜金才,杜金才
高虎城,高虎城
何毅亭,何毅亭(zh)
黄树贤,黄樹賢
吴桂贤,呉桂賢
张体学,張体学
江拥辉,江擁輝
王宏坤,王宏坤
陈求发,陳求発
魏亮,魏亮
王教成,王教成
许达哲,許達哲
何香凝,何香凝
钱正英,銭正英
周本顺,周本順
朱福熙,朱福熙
赵宗岐,趙宗岐
郑卫平,鄭衛平
刘鹤,劉鶴
李建华,李建華
罗常培,羅常培
张瑀,張瑀
周乃翔,周乃翔
王效明,王効明
王绍南,王紹南
李沁,李沁
吕丽萍,呂麗萍
陈坊仁,陳坊仁
陶汉章,陶漢章
袁子钦,袁子欽
郑维山,鄭維山
陶勇,陶勇
韩振纪,韓振紀
白庆琳,白慶琳
白百何,白百何
张文东,張文東
朱厚泽,朱厚沢
邓子恢,鄧子恢
徐特立,徐特立
周建南,周建南
杨易辰,楊易辰
赵寿山,趙寿山
崔乃夫,崔乃夫
李泽民,李沢民
李际均,李際均
乔传秀,喬伝秀
申纪兰,申紀蘭
王侠,王俠
陈健,陳健
陈破空,陳破空
陈建斌,陳建斌
斓曦,斕曦
苏毅然,蘇毅然
張璐,張璐
李小林,李小林
万茜,レジーナ・ワン
吴静一,呉静一
邬靖靖,鄔靖靖
杨净如,楊淨如
张歆艺,チャン・シンイー
何亞男,何亜男
何彥霓,何彦霓
刘芳 (演员),劉芳 (女優)
姜鸿,姜鴻
张定涵,張定涵
載洵,載洵
黄丽满,黄麗滿
刘慧,劉慧
龙潜,竜潜
曹慶澤,曹慶澤
杨晖,楊暉
于權伸,于権伸
劉西堯,劉西尭
汪洋,汪洋
赵以良,趙以良
侯书军,候書軍
沈金龙,沈金龍
魏金山,魏金山
张序三,張序三
古力娜扎,グーリーナーザー
毕淑敏,畢淑敏
程津培,程津培
陈文新,陳文新
陈昊苏,陳昊蘇
朱旭,朱旭
朱文,朱文
尚長榮,尚長栄
沈傲君,沈傲君
郭京飞,郭京飛
陈数,陳数
陈文浩,陳文浩
陈楸帆,陳楸帆
徐洪猛,徐洪猛
杜景臣,杜景臣
沈滨义,沈浜義
常宝华,常宝華
王元,王元
張儷,張儷
張燊悅,ニコラ・チョン
張齡心,張齢心
成泰燊,成泰燊
袁姗姗,袁姍姍
金巧巧,ジン・チャオチャオ
陳蕾,陳蕾
马兴瑞,馬興瑞
孙思敬,孫思敬
田中 (中将),田中
杨蓉,楊蓉
毛曉彤,毛暁彤
热依扎·阿里木江,レイザ
蔣依依,蒋依依
吳春桃,呉春桃
王珞丹,王珞丹
陈璧君,陳璧君
刘清扬,劉清揚
朱旦华,朱旦華
汪家镠,汪家鏐
蔡长松,蔡長松
迟子建,遅子建
邱会作,邱会作
彭述之,彭述之
谭平山,譚平山
雒树刚,雒樹剛
邹家华,鄒家華
王进喜,王進喜
刘维新,周興 (1905年)
南萍,南萍
范培培,范培培
冯远征,馮遠征
馬力,馬力
师昌绪,師昌緒
蘇曉康,蘇暁康
罗援,羅援
刘广智,劉広智
叶选宁,葉選寧
杨运,楊運
雷腾龙,雷騰龍
楊受成,アルベット・ヨン
邵震中,邵震中
唐闻生,唐聞生
田长春,田長春
谭非翎,譚非翎
铁流,鉄流
陶华碧,陶華碧
刘明祖,劉明祖
陳俊樂,陳俊楽
蔡启瑞,蔡啓瑞
曹忠,曹忠 (起業家)
孙建国,孫建国
孙悦,孫悦
孙梦泉,孫梦泉
孙瑞彬,孫瑞彬
曹星如,レックス・ツォ
楚春秋,徐貴祥
刘居英,劉居英
薛驹,薛駒
李力安,李力安
陈际瓦,陳際瓦
陈文清,陳文清
干以胜,干以勝
张军,張軍
李玉赋,李玉賦
汤晶媚,湯晶媚
涂黎曼,塗黎曼
田聪明,田聡明
童坦君,童坦君
孙飞虎,孫飛虎
孙孚凌,孫孚凌
郭力文,郭力文
李新良,李新良
鄧力群,鄧力群
张全景,張全景
阎明复,閻明復
孫大午,孫大午
成克杰,成克傑
程维高,程維高
盛中国,盛中国
冯克安,フォン・ハクオン
丰立祥,豊立祥
傅兴国,傅興国
傅自应,傅自応
傅艺伟,傅芸偉
时越,時越
杨士秋,楊士秋
高狄,高狄
桂世镛,桂世鏞
柯蓝,柯藍
贾陶,賈陶
芮杏文,芮杏文
赵林,趙林
吴仁宝,呉仁宝
焦若愚,焦若愚
侯长安,侯長安
肖怀远,肖懐遠
金道铭,金道銘
李国英,李国英
杜宪,杜憲
段奕宏,ドアン・イーホン
董彦,董彦
陳加玲,チャーリン・チェン
戴娇倩,戴嬌倩
戴旭,戴旭
金启孮,愛新覚羅啓孮
厉以宁,厲以寧
唐军,唐軍
纪登奎,紀登奎
董浩,董浩
邓家贵,鄧家貴
邓莎,鄧莎
鄂栋臣,鄂棟臣
李啟淦,李啟淦
陈垣,陳垣
陈宝国,陳宝国
孫明揚,孫明揚
陈冬 (官员),陳冬
陈家林,陳家林
陈廷嘉,陳廷嘉
陈思思 (歌手),陳思思
方天丰,方天豊
樊金龙,樊金竜
范锐平,范銳平
管华诗,管華詩
程镕时,程鎔時
陈建生,陳建生
王众孚,王衆孚
熊复,熊復
谷建芬,谷建芬
刘连满,劉連満
刘霞 (举重运动员),劉霞 (重量挙げ選手)
童瑶,トン・ヤオ
陈雷 (制片人),陳雷
陳耕,陳耕
谭仲池,譚仲池
谭照华,譚照華
陶大宇,マイケル・タオ
陶文铨,陶文銓
陶明伦,陶明倫
叶叔华,葉叔華
朱葉玉如,葉玉如
叶祖新,葉祖新
郑斯林,鄭斯林
谷牧,谷牧
唐金龙,唐金竜
丁聲樹,丁声樹
樊恭烋,樊恭烋
废名,廃名
戈麦,戈麦
唐奕,唐奕
李家超,李家超
陶晞晦,陶晞晦
傅德辉,傅徳輝
吴玉良,呉玉良
张群山,張群山
张铁生,張鉄生
冯乃超,馮乃超
彭發,ダニー・パン
錢理群,理群 銭
石平 (评论家),石平
陈君石,陳君石
唐敖庆,唐敖慶
屠光绍,屠光紹
文潔若,文潔若
车荣福,車栄福
令谷,令谷
劉剛 (民運人士),劉剛
刘秉彦,劉秉彦
刘辉山,劉輝山
王伯昭,王伯昭
王媞,王媞
王宝山,王宝山
王晨星,王晨星
孙志刚,孫志剛
张研农,張研農
杨志明,楊志明
梁滨,梁浜
罗笑虎,羅笑虎
陶泽如,陶澤如
陶金,陶金
谭家军,譚家軍
谭凯,譚凱
谭卓,譚卓
凯墨·索南旺堆,ケメイ・ソナムワンデイ
戴金星,戴金星
邓家佳,鄧家佳
董卿,董卿
丁小强,丁小強
夏笳,夏笳
郭凡,郭凡
郭甜茜,郭甜茜
吕志先,呂志先
王千源,王千源
王小谟,王小謨
汪见虹,汪見虹
王传君,王伝君
许勤,許勤
杨伯峻,楊伯峻
阎步克,閻歩克
包贝尔,バオ・ベイアル
區諾軒,區諾軒
华黎明,華黎明
葛修润,葛修潤
葛剑雄,葛剣雄
郭劍橋,郭剣橋
顾诵芬,顧誦芬
關曉彤,関暁彤
单丹娜,単丹娜
南派三叔,南派遣
卢功勋,盧功勲
卢强,盧強
卢永根,盧永根
恭碩良,ジョペンティノ・コート・リモティギュー
管軼,管軼
贡米 (艺人),貢米
郭小莊,郭小荘
郭晓东,郭暁東
郭珍霓,郭珍霓
杨晋华,楊晉華
杨晨 (1991年出生),楊晨
杨槱,楊槱
杨芙清,楊芙清
黃碧雲,黄碧雲
關山,クワン・サン
鄭家純,鄭家純
王鸥,王鷗
蓝天野,藍天野
魏宗万,魏宗万
王汝南,王汝南
王立平,王立平
王素毅,王素毅
王绶琯,王綬琯
温铁军,温鉄軍
王佛松,王佛松
王军民,王軍民
郝会龙,郝会竜
海子,海子
何思源,何思源
黃寶生,黄宝生
徐冠华,徐冠華
薛中锐,薛中鋭
杨钫涵,楊鈁涵
林乎加,林乎加
林保全,林保全
何康,何康
何炅,何炅
王恩哥,王恩哥
王军涛,王軍涛
王家楨 (外交),王家楨
唐浩明,唐浩明
王怡,王怡
王晓,王暁
王晓东 (湖北),王曉東
侯斌,侯斌
海清,海清
韩磊,韓磊
贺美英,賀美英
龚建华,龔建華
龚正,龔正
龚武生,龔武生
王克英,王克英
胡兵,胡兵
吴昕,呉昕
吴靖平,呉靖平
蒋劲夫,蒋勁夫
周国平,周国平
嵇文甫,嵆文甫
柯華,柯華
柳雲龍,柳雲龍
柴璐,柴璐
梁伟棠,梁偉棠
刘思齐,劉思斉
劉敬楨,劉敬楨
胡蓉 (漫画家),胡蓉
胡衡华,胡衡華
贺军科,賀軍科
王祥云,王祥雲
王晋康,王晋康
魏明伦,魏明倫
刘仙洲,劉仙洲
廖靜文,廖静文
强世功,強世功
高明,高明
耿乐,耿楽
何綺玲,エレイン・ホー
侯耀华,侯耀華
黄觉,黄覚
林少華,林少華
林志刚,林志剛
王娜,王娜
王小丫,王小丫
张芝联,張芝聯
张维庆,張維慶
严纯华,厳純華
游本昌,游本昌
杨正午,楊正午
杨德中,楊徳中
杨汝岱,楊汝岱
杨光 (演员),楊光
吴南生,呉南生
吴基传,呉基伝
尹赞勋,尹贊勛
张伟,張偉
吴恒权,呉恒権
黃洋達,ウォン・ヨンタト
樓南光,ビリー・ロウ
欧广源,欧広源
海陸,海陸
游德馨,游徳馨
滕一龍,滕一竜
纪连海,紀連海
蔣曉松,蒋暁松
金毓峑,金毓峑
吴越,呉越
吴承康,呉承康
伍芳,伍芳
吴连枝,吴连枝
梁嘉恆,梁嘉恒
徐泽洲,徐沢洲
徐翠翠,徐梵渓
徐莹,徐瑩
徐俐,徐俐
江珊,チャン・シャン
江龙,江龍
汤素兰,湯素蘭
汪苏泷,汪蘇瀧
孟宏伟,孟宏偉
李方华,李方華
李金泉,李金泉
高阳,高陽 (陸上選手)
鄭弘,鄭弘
欧阳泽华,欧陽沢華
武维华,武維華
武韬,武韜
段志强,段志強
母其弥雅,ムチミヤ
葉渭渠,葉渭渠
郝平,郝平
钱逸泰,銭逸泰
阎立,閻立
熊召政,熊召政
牛萌萌,牛萌萌
王世伟,王世偉
王丹凤,王丹鳳
黃天頤,ティニー・ウォン
黃宏生,黄宏生
黃樹棠,ウォン・シートン
谢超英,謝超英
黄旭华,黄旭華
黄道伟,黄道偉
謝飛,謝飛
邢佳栋,邢佳棟
辛灏年,辛灝年
薛范,薛范
许又声,許又声
许嵩,許嵩
许还幻,シュー・ホアンホアン
曾庆存,曽慶存
汤黎路,湯黎路
刘毓滨,劉毓濱
刘菁,劉菁
宋涛,宋濤
王选 (社会活动家),王選
靳尚谊,靳尚誼
鞠萍,鞠萍
姜斯宪,姜斯憲
孙咸泽,孫鹹澤
嚴以敬,阿虫
于再清,ツァイチン・ユー（于再清）
宋彬彬,宋彬彬
王志安,王志安
肖序常,肖序常
李菁,李菁
江一燕,江一燕
麦家,麦家
晋鹏翔,晋鵬翔
毛江森,毛江森
江泽慧,江沢慧
喻恩泰,喩恩泰
喻红秋,喻紅秋
杨东奇,楊東奇
华学明,華学明
華以剛,華以剛
海霞,海霞
夏培肃,夏培粛
姚錦成,姚錦成
孔祥明,孔祥明
葛守仁,アーネスト・S・クー
柯蓝,柯藍
郭曉婷,郭暁ティン
郭达,郭達
唐韦星,唐韋星
杨晓渡,楊暁渡
杨泰波,楊泰波
杨燕怡,楊燕怡
杨紫,アンディ・ヤン
杨雪,楊雪
韩善续,韓善續
柳海光,柳海光
陆婉珍,陸婉珍
杨明娜,楊明娜
杨童舒,楊童舒
葉桂,葉桂
李家俊,李家俊
姚迪,姚笛
姚本輝,姚本輝
袁潔瑩,フェニー・ユン
于和伟,于和偉
张友尚,張友尚
张存浩,張存浩
宋雪林,宋雪林
张伯礼,張伯禮
张佳宁,張佳寧
季强,季强
孫藝洲,孫芸洲
宋洋,宋洋
于小含,于小含
王怀远,王懐遠
王思齐,王思斉
余少群,余少群
于谦,于謙
陆熙炎,陸熙炎
陈能宽,陳能寛
陈吉宁,陳吉寧
陈学亨,陳学亨
杨鲁豫,楊魯豫
楊士海,楊士海
楊國強 (中國企業家),楊国強
王嘉男,王嘉男
王娜,王娜
敬一丹,敬一丹
景俊海,景俊海
蒋作斌,蔣作斌
蒋大为,蒋大為
孙志军,孫志軍
孙曼霁,孫曼霽
金漢,金漢
金长征,金長征
鍾發,チュン・ファト
應勇,応勇
康辉,康輝
王广基,王広基
潘建伟,潘建偉
潘汉典,潘漢典
沈果孙,沈果孫
张嘉益,張嘉譯
李东学,李東学
李成儒,李誠儒
王宁,王寧
陳家樂,カルロス・チャン
王晶 (演员),王晶
王梦恕,王夢恕
陆大道,陸大道
陶澍,陶澍
陈德亮,陳徳亮
陈德荣,陳徳栄
陈懿,陳懿
王保安,王保安
王国发,王国発
王大中,王大中
王大为,王大為
陳赫,陳赫
王春雨,王春雨
张小白,張小白
张希,張希
张弥曼,張弥曼
阎维文,閻維文
陆东福,陸東福
詹瑞文,ジム・チム・スイマン
计春华,計春華
红线女,ホン・シンノイ
张继禹,張継禹
张雨浦,張雨浦
陈洁 (演员),陳潔
陈羽凡,陳羽凡
方國珊,クリスティーン・フォン
方守贤,方守賢
邹正,鄒正
郑天庸,鄭天庸
郑恺,チェン・カイ
鄭永剛,鄭永剛
赵子琪,趙子琪
尹文英,尹文英
尼玛卓玛,尼瑪卓瑪
岳云鹏,岳雲鵬
陸佑楣,陸佑楣
张子枫,張子楓
李梓萌,李梓萌
李秀领,李秀領
李锦斌,李錦斌
梁步庭,梁歩庭
梁晓声,梁暁声
廖凡,廖凡
刘伟国,劉偉国
刘仪伟,リウ・イーウェイ
刘忠德,劉忠徳
刘纯燕,劉純燕
刘佳,劉佳
刘威葳,劉威葳
袁木,袁木
闫学晶,閆学晶
阳宝华,陽宝華
王正谱,王正譜
王清宪,王清憲
王煜輝,王煜輝
李小萌 (主持人),李小萌
李代沫,李代沫
吕晓禾,呂暁禾
吕中,呂中
丁愷蒂,ケディ
乐玉成,楽玉成
李学鹏,李学鵬
竹學葉,竹學葉躱媽媽事件
臧金生,臧金生
刘世振,劉世振
刘东辉,劉東輝
刘国中,劉国中
刘夫生,劉夫生
刘娜萍,劉娜萍
查全性,查全性
鄭志剛,鄭志剛
鄭浩南,マーク・チェン
张新枫,張新楓
陈钢,陳鋼
崔亚东,崔亜東
王群,王群
颜妮,顔妮
张壮,張壮
张峻宁,張峻寧
张彤 (演员),張トン
戴英禄,戴英禄
房興耀,房興耀
文圣常,文聖常
李幼斌,リー・ヨウピン
李树斌,李樹斌
李赫,李赫
李颖,李頴
連笑,連笑
练束梅,練束梅
张檬,張檬
张涛,張涛
林苑,ジア・リン
楼阳生,楼陽生
李靖飞,李靖飛
林武,林武
陈金彪,陳金彪
陈韬,陳韜
陳啟宗 (恆隆),陳啓宗
陳嘉鋭,陳嘉鋭
周绪红,周緒紅
周锋锁,周鋒鎖
张光荣,張光栄
张剑飞,張剣飛
祖峰,祖峰
秦华孙,秦華孫
刘应明,劉応明
刘志忠,劉志忠
刘敏涛,劉敏涛
刘昆,劉昆
张宝文,張寶文
张俐娜,張俐娜
郑张尚芳,鄭張尚芳
刘赐贵,劉賜貴
劉永,トニー・リュウ
劉細良,劉細良
曾春蕾,曾春蕾
马伯庸,馬伯庸
韩栋,韓棟
韩永文,韓永文
韩玉臣,韓玉臣
潘蕾,潘蕾
熊清泉,熊清泉
彭小莲,彭小蓮
徐则臣,徐則臣
徐加爱,徐加愛
徐镜人,徐鏡人
怀进鹏,懐進鵬
李安泽,李安沢
李思思,李思思
李新华,李新華
李晖 (湖南),李暉
陳邦柱,陳邦柱
当年明月,当年明月
励小捷,勵小捷
释传印,伝印
呂志和,呂志和
廖国勋,廖国勛
周扬,周揚
周涛,周濤
周琦,周琦
张立,張立
张耀华,張耀華
雷军,雷軍
鲁俊 (浙江),魯俊
黎小田,マイケル・ライ
郭小雯,郭小雯
张昌尔,張昌爾
张瑶,張瑶
张硕辅,張碩輔
徐性初,徐性初
姜帆,姜帆
梁静,リャン・ジン
李进军,李進軍
劉園園,劉園園
赵庆刚,趙慶剛
紀大偉,紀大偉
罗俊,羅俊
謝楠,ローラー・シェイ
张璇,張璇
曾宝宝,曽宝宝
張晉,マックス・チャン
王麗坤,王麗坤
田雄,田雄
申联彬,申聯彬
白云,白雲
羽翹,エヴァ・ユーキウ
拉苏荣,拉蘇栄
李佳璘,李佳璘
李依晓,李依暁
李修平,李修平
李喆,李哲
刘筠,劉筠
刘美含,劉美含
刘金国,劉金国
刘铁男,劉鉄男
劉強東,劉強東
张译,張譯
张鑫森,張鑫森
張嘉倪,張嘉倪
罗永浩,羅永浩
胡英,胡英
臧天朔,臧天朔
罗强,羅強
蓝天,藍天
连岳,連岳
郎永淳,郎永淳
陆树铭,陸樹銘
英达,英達
莫之许,莫之許
華路雲,ローワン・ヴァーティ
李维嘉,李維嘉
鲁健,魯健
梅方,梅方
莫怀戚,莫懐戚
章立凡,章立凡
章锐夫,章銳夫
赵一德,趙一徳
赵丽娟,趙麗娟
赵晓岚,趙暁嵐
闻世震,聞世震
马良行,馬良行
丛斌,叢斌
丛珊,叢珊
东方闻樱,東方聞櫻
汪小菲,汪小菲
王垚,王尭
李洱,李洱
谢家麟,謝家麟
孟泰龄,孟泰齢
毛伟明,毛偉明
马原,馬原
宋健,宋健
王岗,ワン・ガン
张国伟,張国偉
张琰琰,張棪琰
曹文轩,曹文軒
茅临生,茅臨生
茅威涛,茅威濤（マオ・ウェイタオ）
闵春晓,閔春暁
马勇,馬勇
肖建华,肖建華
叶青,葉青
杨立新,楊立新
葉篤正,叶笃正
平可夫,平可夫
平亚丽,平亜麗
潘虹,潘虹
齐·宝力高,チ・ボラグ
乔羽,喬羽
秦海璐,秦海璐
何毓琦,何毓琦
何華超,トニー・ホー
何郝炬,何郝炬
艾力更·依明巴海,アルケン・イミルバキ
苏达金,蘇達金
倪震,倪震
马瑞芳,馬瑞芳
钮茂生,鈕茂生
倪大宏,倪大紅
年芸,年芸
乃依木·亚森,乃依木・亜森
丁学东,丁学東
罗清宇,羅清宇
聂春玉,聶春玉
朱军,朱軍
朱治宏,朱治宏
乔任梁,喬任梁
卿渐伟,卿漸偉
爱新觉罗·启骧,愛新覚羅啓驤
邱晓华,邱暁華
齊溪,斉渓
齐扎拉,シザラ
齐玉,斉玉
齐续春,斉続春
齐芳,斉芳
郑振涛,鄭振濤
郑铮,鄭錚
郑强,劉強
闞清子,闞清子
陆元九,陸元九
黎子流,黎子流
黎春華,黎春華
龙志毅,龍志毅
鲁佳,魯佳
黃山怡,キャンディー・ウォン
马志明,馬志明
蔡达峰,蔡達峰
蔣欣,蒋欣
薛其坤,薛其坤
马伊琍,マー・イーリー
麥當傑,麦当傑
曹馨月,曹馨月
曾毅,曾毅
张光北,張光北
郑榕,鄭榕
赵振起,趙振起
何沄伟,何雲偉
潘粤明,パン・ユエミン
潘君骅,潘君驊
孙可,孫可
李崇银,李崇銀
李庆忠,李慶忠
马勇霞,馬勇霞
刘若庄,劉若庄
保剑锋,保剣鋒
陳僖儀,陳僖儀
马识途,馬識途
高德占,高徳占
高梓淇,高梓淇
刘棣怀,劉棣懐
戴玉强,戴玉強
许宁生,許寧生
许罗德,許羅徳
蓝绍敏,藍紹敏
蔡明,蔡明
郑亚旗,鄭亜旗
钟南山,鐘南山
马振川,馬振川
古遠清,古遠清
常馨月,常馨月
曹云金,曹雲金
曹又尹,曹又尹
郑正扬,鄭正揚
牛文元,牛文元
牛根生,牛根生
欧阳常林,歐陽常林
欧阳斌,欧陽斌
丽凤,レイファン
朱启祯,朱啓禎
朱海仑,朱海侖
朱迅,朱迅
张亚东 (音乐人),張亞東
刘再复,劉再復
刘奇,劉奇
刘昌明,劉昌明
呂佩玉,ルー・ペイユ
周冰倩,シュー・ピンセイ
俞大绂,兪大紱
于梅玲,于梅玲
付夢妮,付夢妮
任洪斌,任洪斌
孙国祥,孫国祥
孙艺,孫芸
赵柯,趙柯
任泉,任泉
任志强,任志強
任新民,任新民
傅明,傅明
李洪涛,李洪濤
李清 (部長),李清 (1920年)
俞珊,兪珊
俞鴻,兪鴻
倪坚,倪堅
李保田,李保田
李成瑞,李成瑞
谢华安,謝華安
谢芳,謝芳
李亚飞,李亜飛
李兰娟,李蘭娟
姚珏,姚珏（ジュエ・ヤオ））
小松,小松
申毛毛,申毛毛
許智明,許智明
孙腾宇,孫騰宇
宋佳 (1962年),宋佳 (1962年生)
虞梦,虞夢
黄明,黄明
黄龙云,黄龍雲
楊志剛,楊志剛
戴春榮,戴春栄
曾涛,曾濤
冯仲云,馮仲雲
冯定,馮定
李维光,李維光
李耕涛,李耕涛
李若星,李若星
李范五,李范五
李贤玉,李賢玉
沈红光,沈紅光
党毅飞,党毅飛
冯仑,馮侖
冯士筰,馮士筰
赵其国,趙其国
趙麗穎,趙麗穎
辜胜阻,辜勝阻
胡若佛,胡也佛
芈昱廷,芈昱廷
张军,張軍
张凤翙,張鳳翽
张刚毅,張剛毅
郁秀,郁秀
凌子风,凌子風
賀一誠,賀一誠
刘可清,劉可清
刘大刚,劉大剛
李易峰,李易峰
李晟,李晟
郦波,酈波
郭志,郭志
郭志坚,郭志堅
劉平平,劉平平
郑树森,鄭樹森
郑爽,鄭爽
文雋,マンフレッド・ウォン
吴建平,呉建平
馬鳳圖,馬鳳図
熊克武,熊克武
薛篤弼,薛篤弼
饶子和,饒子和
孙清云,孫清雲
任泉生,任泉生
张鸿铭,張洪銘
刘永坦,劉永坦
吕君昌,吕君昌
刘炳森,劉炳森
刘瑞玉,劉瑞玉
刘瑶章,劉瑶章
杜滋龄,杜滋齢
杨仁选,楊仁選
郑兰荪,鄭蘭蓀
郑岩,鄭岩
郑怀兴,鄭懐興
郑敏,鄭敏
顧水如,顧水如
马向华,馬向華
鹿钟麟,鹿鍾麟
黄有福,黄有福
尼格买提·热合曼,ニグメット・ラクスマン
列斯肯,フォティー・レスキン
刘云辉,劉雲輝
屠守锷,屠守鍔
张博树,張博樹
张国淦,張国淦
常宝堃,常宝堃
常晨晨,常晨晨
常香玉,チャン・シャンユィー
李红,李紅
李纯青,李純青
虞悰,虞悰
许章润,許章潤
杨坤,楊坤
刘达,劉達
刘道平,劉道平
刘醒龙,劉醒龍
刘钧,劉鈞
刘振立,劉振立
刘敦桢,劉敦楨
刘新生,劉新生
容庚,容庚
程小青,程小青
尚红,尚紅
李连达,李連達
杜润生,杜潤生
赵汀阳,趙汀陽
车晓,車暁
杨弘远,楊弘遠
朱永嘉,朱永嘉
李必湖,李必湖
李營,李営
杨官璘,楊官璘
都本基,都本基
鄧文翬,鄧文翬
錢仲聯,銭仲聯
陈晓,陳暁
陈刚,陳剛
陈砾,陳礫
李秋喜,李秋喜
李谷一,李穀一
邱国洪,邱国洪
卢作孚,盧作孚
张星烺,張星烺
卢沙野,盧沙野
王玉璞,王玉璞
田诚阳,田誠陽
石立善,石立善
李爽,李爽
刘春,劉春
刘格平,劉格平
刘正,劉正
劳春燕,労春燕
黃子韜,タオ
吴祖光,呉祖光
吴自良,呉自良
吴芝圃,呉芝圃
吴虹飞,呉虹飛
呂赫若,呂赫若
包惠僧,包恵僧
严恺,厳愷
侯宝林,侯宝林
张执一,張執一
张政,張政
张文秋,張文秋
张明,張明
呙俐,咼俐
周一良,周一良
周厚健,周厚健
刘东风,劉東風
廖沫沙,廖沫沙
杨凯生,楊凱生
杨嘉墀,楊嘉墀
杨廷宝,楊廷宝
张胜友,張勝友
张茜,張茜
张轸,張軫
张迅,張迅
张金涛,張金涛
张难先,張難先
童书业,童書業
陈芳允,陳芳允
张春霖,張春霖
杨洪林,楊洪林
杨潞,楊潞
杨晓波,楊暁波
杨树达,楊樹達
杨立铭,楊立銘
杨紫彤,アシュレー・ヤン
杨雪梅,楊雪梅
鹿晗,鹿晗
司徒美堂,司徒美堂
关天朗,関天朗
丁善德,丁善徳
張學森,張学森
任雪层,任雪層
苏丽慧,蘇麗慧
陈静文,陳静文
桑晨,桑晨
梁信軍,梁信軍
梁华,梁華
叶浅予,葉浅予
朱启钤,朱啓鈐
万籁鸣,万籟鳴
彭明权,彭明权
于品海,ユー・パン・ホイ
张寿臣,張寿臣
张岱年,張岱年
张彤 (外交官),張彤
刘雅鸣,劉雅鳴
刘雷,劉雷
刘鸿亮,劉鴻亮
刚强,剛強
张燮飞,張燮飛
张瑞杰,張瑞杰
张皓若,張皓若
吴光辉,吳光輝
吴克泰,呉克泰
吴刚,呉剛
吴奇伟,呉奇偉
伍献文,伍献文
但昭义,但昭義
何华章,何華章
丁惠康,丁恵康
乐珈彤,樂珈彤
乔诗语,喬詩語
汤用彤,湯用彤
裴昌会,裴昌会
熊秉坤,熊秉坤
吴政隆,呉政隆
吴文藻,呉文藻
吴晓东,呉暁東
薛松,薛松
張文順,張文順
張寶華,シャロン・チョン
張立,張立
張雪迎,張雪迎
张茅,張茅
向达,向達
柳哲生,柳哲生
柳诒徵,柳詒徴
唐艺昕,唐藝昕
孟寧友,孟寧友
李建唐,李建唐
张琦,張琦
黄绍华,黄紹華
云布龙,雲布龍
周瘦鹃,周痩鵑
徐三庚,徐三庚
徐增平,徐増平
徐德明,徐徳明
吴海燕,吴海燕
吴淞笙,呉淞笙
樊锦诗,樊錦詩
吕继宏,呂継宏
吳笈孫,呉笈孫
於之莹,於之瑩
金杨,金揚
周震鳞,周震麟
周骏,周駿
周鲸文,周鯨文
和良辉,和良輝
唐仰杜,唐仰杜
唐兰,唐蘭
章乃器,章乃器
徐芝纶,徐芝綸
孔铉佑,孔鉉佑
孙伏园,孫伏園
江庸,江庸
江涛 (天文学家),江濤
白文奇,白文奇
晓河,zh:晓河
景延广,景延広
曹天钦,曹天欽
張元濟,張元済
汪玉,汪玉
汪胡桢,汪胡楨
汪芫,汪芫
汪闻韶,汪聞韶
施存统,施存統
毛恺,毛愷
毛昭晰,毛昭晰
毛齐华,毛斉華
孙健,孫健
汪俊,汪俊
汪建熙,汪建熙
許冠武,スタンリー・ホイ
邓之诚,鄧之誠
彭順,オキサイド・パン
马毓泉,馬毓泉
格日勒其木格·黑鹤,黒鶴・格日勒其木格
胡小石,胡小石
季冠霖,チー・グァンリン
欒巴,欒巴
正珠尔扎布,ジョンジュルジャブ
段文凝,段文凝
洪永安,洪永安
洪深,洪深
秉志,秉志
裕容齡,容齢
何维,何魏
余光生,余光生
徐辉,徐輝
徐邦达,徐邦達
徐静波,徐静波
徐飞洪,徐飛洪
忍 (羌),忍
恽子强,惲子強
惠浴宇,恵浴宇
战菁一,戦菁一
戴念慈,戴念慈
赵佩茹,趙佩茹
戴耀廷,戴耀廷
戴金益,戴金益
拉乌达热·土丹旦达,トゥプテン・タンダル
佟晓玲,佟曉玲
邵占维,邵佔維
孙立平,孫立平
王迪,王迪
钱崇澍,錢崇澍
吴京安,呉京安
苏青,蘇青
孔令华,孔令華
王伟,王偉
曾呈奎,曾呈奎
曾喆,曽喆
姚广,姚広
闫安,閻安
涂长望,涂長望
刘结一,劉結一
陈叔通,陳叔通
韩建铎,韓建鐸
徐新 (足球运动员),徐新
張益唐,張益唐
朱雨玲,朱雨玲
黃順興,黄順興
姚星彤,姚星彤
高雲翔,高雲翔
姚雪垠,姚雪垠
姜克實,姜克實
姜椿芳,姜椿芳
溫雄飛,温雄飛
许勇,許勇
孙绳武,孫繩武
朱元鼎,朱元鼎
张艺兴,レイ
吴原春,呉原春
学诚法师,学誠
孫茜,孫茜
孫蘭峰,孫蘭峰
安家瑶,安家瑶
孙志辉,孫志輝
孙楷第,孫楷第
孙毓敏,孫毓敏
姚笛,姚笛
