"Мигунова, Елена Сергеевна",옐레나 미구노바
"Сарабьянов, Дмитрий Владимирович",드미트리 사라비야노프
Михаил Викторович Панов,미하일 파노프
"Снытко, Валериан Афанасьевич",발레리안 스닛코
Николай Николаевич Парийский,니콜라이 파리스키
Юрий Николаевич Парийский,유리 파리스키
Сергей Алексеевич Рябков,세르게이 럅코프
"Соболев, Виктор Викторович",빅토르 소볼레프
"Поспелов, Игорь Гермогенович",이고리 포스펠로프
Иван Паршин,이반 파신
Сергей Иванович Паршин,세르게이 파틴
Андрей Николаевич Савельев,안드레이 사벨리예프
Иван Юрьевич Почекин,이반 포체킨
"Починок, Александр Петрович",알렉산드르 포치노크
"Паулавичюс, Альгирдас Ромуальдович",알기르다스 파울라비추스
Сергей Пархоменко,세르게이 파르호멘코
Татьяна Терёшина,타티아나 테레시나
"Соловьёв, Василий Иванович (сценарист)",바실리 솔로비요프
"Соловьёв, Виктор Юрьевич",빅토르 솔로비프
"Севостьянов, Григорий Николаевич",그리고리 세보스티야노프
"Сейранян, Александр Паруйрович",알렉산드르 세이라냔
Елена Терлеева,옐레나 테레 예바
Алёна Свиридова,알레나 스비리도바
Александра Владимировна Савельева,알렉산드라 사벨 예바
Владимир Геннадиевич Соловьёв,블라디미르 솔로비요프
"Соловьёв, Иван Владимирович",이반 솔로비요프
Иосиф Игоревич Пригожин,이오시프 프리고진
"Тимакова, Наталья Александровна",나탈리야 티마코바
"Прохватыло, Ольга Борисовна",올가 프로흐바틸로
"Тимофеев, Николай Стагоранович",니콜라이 티모 페 예프
Андрей Сергеевич Семёнов,안드레이 세르게예비치 세묘노프
Дарья Сагалова,다리야 사갈로바
"Прохоров, Гелиан Михайлович",겔리안 프로호로프
Валерий Приёмыхов,발레리 프리이어코브
Пётр Михайлович Семак,표트르 세마크
"Фомина, Мария Александровна",마리야 포미나
Елена Фомина,옐레나 포미나
Игорь Рувимович Тихомиров,이고리 티호미로프
Любовь Павловна Тихомирова,류보비 티호미로바
Александр Владимирович Числов,알렉산드르 치슬로프
"Титов, Александр Вениаминович",알렉산드르 티토프
"Сочнева, Екатерина Александровна",예카테리나 소치네바
Людмила Петровна Сенчина,리 우드 밀라 세 치나
Алина Сергеева,알리나 세르게이바
Сергей Васильевич Соседов,세르게이 소세도프
"Тихвинский, Сергей Леонидович",세르게이 티흐빈스키
Ольга Фонда,올가 폰다
Константин Анатольевич Чуйченко,콘스탄틴 추이첸코
"Сретенский, Генрих Генрихович",겐리흐 스레텐스키
Марьяна Тимофеевна Спивак,마리야나 스피바크
Эльвира Зурабовна Тодуа,옐비라 토두아
Ревекка Марковна Фрумкина,레베카 프룸키나
"Тишков, Валерий Александрович",발레리 티시코프
Олег Фомин,올렉 포민
Сергей Чонишвили,세르게이 초니시빌리
"Чудинов, Пётр Константинович",표트르 추디노프
"Чудодеев, Юрий Владимирович",유리 추도데예프
Алексей Георгиевич Чумаков,알렉세이 추마 코프
"Тлякодугов, Рамзес Арсенович",람제스 틀랴코두고프
Владимир Алексеевич Толоконников,블라디미르 토로코니코프
Лилия Михайловна Толмачёва,릴리아 톨마 체바
"Толмачёва, Татьяна Александровна",타티야나 톨마초바
Даниил Спиваковский,다니엘 스 피바코프스키
Анна Старшенбаум,안나 스타 센 바움
Пётр Фёдоров,표트르 표도로프
Олег Павлович Фёдоров,올리거 페도로
"Токарев, Николай Петрович",니콜라이 토카레프
Ирина Петровна Токмакова,이리나 토크마코바
"Сергун, Игорь Дмитриевич",이고리 세르군
Радий Фаритович Хабиров,라디 하비로프
"Сибагатуллина, Полина Рашитовна",폴리나 시바가툴리나
Сибиряки,시베리아인
"Чёрный, Горимир Горимирович",고리미르 초르니
"Шагин, Антон Александрович",안톤 샤긴
"Стеблин-Каменский, Иван Михайлович",이반 스테블린카멘스키
Галина Константиновна Стаханова,갈리나 스타하노바
Алиса Геннадьевна Хазанова,알리사 카자노바
Роза Вакильевна Хайруллина,로자 하이룰리나
Илья Юрьевич Шакунов,일리야 샤쿠노프
Мария Шалаева,마리야 샬라예바
Александр Порфирьевич Торшин,알렉산드르 토르신
Гарик Харламов,가리크 카라모프
Ирина Ильинична Тонева,이리나 토 네바
Зинаида Максимовна Шарко,지나이다 샤르코
Иван Сергеевич Стебунов,이반 스테브노프
Максим Анатольевич Топилин,막심 토필린
Евгений Рубенович Симонов,예브게니 시모노프
"Степченко, Олег Анатольевич",올레그 스텝첸코
"Стефанцов, Александр Николаевич",알렉산드르 스테판초프
"Третьяков, Владимир Евгеньевич",블라디미르 트레티야코프
"Синицын, Ростислав Александрович",로스티슬라프 시니친
Анатолий Васильевич Торкунов,아나톨리 토르쿠노프
Андрей Игоревич Харитонов,안드레이 하리토노프
"Шаранова, Татьяна Александровна",타티야나 샤라노바
"Стырикович, Михаил Адольфович",미하일 스티리코비치
Евгений Алексеевич Стычкин,예브게니 스턱킨
Маргарита Симоновна Симоньян,마르가리타 시모냔
Яна Александровна Троянова,야나 트로야노바
Анна Александровна Хилькевич,안나 킬케비치
"Сироткина, Марта Александровна",마르타 시롯키나
"Трухин, Михаил Николаевич",미하일 트루힌
Нина Сергеевна Шацкая,니나 샤츠카야
"Студилина, Янина Сергеевна",야니나 스투딜리나
Денис Шведов,데니스 시베도프
"Стёпушкин, Геннадий Николаевич",겐나디 스티오푸쉬킨
Екатерина Анатольевна Скулкина,예카테리나 스쿨키나
"Субботин, Андрей Измайлович",안드레이 수보틴
"Скоромный, Андрей Михайлович",안드레이 스코롬니
Александр Олегович Стриженов,알렉산드르 스트리제노프
Любовь Васильевна Стриженова,류보비 스트리제노바
Марианна Александровна Стриженова,마리안나 스트리제노바
Екатерина Владимировна Стриженова,예카테리나 스트리제노바
"Стриженова, Наталья Олеговна",나탈리야 스트리제노바
Тутта Ларсен,투타 라르센
Леонид Шварцман,레오니트 시바르츠만
Александр Евсеевич Хинштейн,알렉산드르 힌쉬테인
Сергей Евгеньевич Супонев,세르게이 수포네프
"Хржановский, Илья Андреевич",일리야 흐르자놉스키
Ольга Васильевна Тумайкина,올가 투마이키나
"Угаров, Валерий Михайлович",발레리 우가로프
"Хохлов, Алексей Ремович",알렉세이 호흘로프
Александр Викторович Тютин,알렉산드르 타이틴
Ольга Сутулова,올가 수투로바
Маргарита Суханкина,마가리타 스탄 키나
"Сурдин, Владимир Георгиевич",블라디미르 수르딘
Максим Александрович Суханов,막심 수하노프
Руслан Хаджисмелович Цаликов,루슬란 찰리코프
"Урлашов, Евгений Робертович",예브게니 우를라쇼프
Ксения Игоревна Суркова,크세니야 수코바
"Уразбаев, Эльдор Магоматович",옐도르 우라즈바예프
"Шикшина, Светлана Валерьевна",스베틀라나 식시나
Нина Николаевна Усатова,니나 우사토바
Ольга Дмитриевна Ульянова,올가 울리야노바
"Сёмин, Константин Викторович",콘스탄틴 쇼민
"Смирнов, Илья Сергеевич",일리야 스미르노프
Светлана Устинова,스페틀라나 유스티노바
Никита Сергеевич Хрущёв,니키타 흐루쇼프
"Сябитова, Роза Раифовна",로자 샤비토바
Андрей Игоревич Смоляков,안드레이 스모 야코프
"Цепов, Роман Игоревич",로만 체포프
Альберт Никифорович Тавхелидзе,알베르트 타브헬리제
Антон Олегович Табаков,안톤 타바 코프
Александра Олеговна Табакова,알렉산드라 타바 코바
"Тайманов, Искандер Асанович",이스칸데르 타이마노프
Ян Юрьевич Цапник,얀 트삽닉
Юрий Алексеевич Цурило,유리 트리로
"Эм, Юрий Павлович",유리 엄
"Цыпленков, Денис Иванович",데니스 시플렌코프
Виктор Михайлович Суходрев,빅토르 수호드레프
Андрей Александрович Чадов,안드레이 차도프
Виктор Федотов,빅토르 페도토프
Ярослав Чеважевский,야로슬라브 체바제프스키
Андрей Федорцов,안드레이 페도르츠프
"Фахрутдинов, Тагир Мухаремович",타기르 파흐루트디노프
"Чердынцев, Борис Александрович",보리스 체르딘체프
Марина Гавриловна Федункив,마리나 페드 커브
Вячеслав Иванович Шпорт,뱌체슬라프 시포르트
Евгений Ташков,예브게니 타시코프
Анна Георгиевна Тараторкина,안나 타라 토르 키나
Георгий Георгиевич Тараторкин,게오르기 타라토르킨
"Федькин, Юрий Николаевич",유리 페디킨
Феофан (Ким),테오파니스 김
Екатерина Шпица,카테리나 시피차
Владас Ласицкас,블라다스 라시츠카스
Наталья Николаевна Фатеева,나탈리아 파테에바
Маргарита Шубина,마가리타 슈비나
Мария Васильевна Шукшина,마리아 슈크시나
"Черноусько, Феликс Леонидович",펠릭스 체르노우시코
"Чернова, Людмила Александровна",류드밀라 체르노바
"Шумякина, Татьяна Анатольевна",타티야나 슈먀키나
"Шульжевский, Эдуард Иванович",에드 슐츠베프스키
Хельга Филиппова,헬가 필리포바
Антонина Николаевна Шуранова,안토니나 슈라노바
"Флоринская-Буданова, Александра Евгеньевна",알렉산드라 플로린스카야
Георгий Эмильевич Юнгвальд-Хилькевич,게오르기 윤그발트힐케비치
"Яблонский, Дмитрий Альбертович",드미트리 야블론스키
"Чернышенко, Дмитрий Николаевич",드미트리 체르니셴코
"Яшина, Екатерина Юрьевна",예카테리나 야시나
Павел Алексеевич Чинарёв,파벨 차이나우프
Анна Борисовна Чиповская,안나 치폽스카야
Екатерина Козырева,예카테리나 코지레바
Владимир Владимирович Якушев,블라디미르 야쿠셰프
Анна Львовна Яновская,안나 야노브스카야
"Градович, Евгений Павлович",예브게니 그라도비치
Леонид Исаакович Ярмольник,레오 니드 야모 놀크
Максим Орешкин,막심 오레시킨
Этери Георгиевна Тутберидзе,에테리 투트베리제
"Забияко, Наталья Александровна",나탈리야 자비야코
Гордей Олегович Горшков,고르데이 고르시코프
Александр Яценко,알렉산드르 야첸코
Игорь Ясулович,이고리 야술로비치
Андрей Васильев,안드레이 바실리예프
"Мещерякова, Наталья Алексеевна",나탈리야 메셰라코바
Николай Валерьевич Дуров,니콜라이 두로프
Андрей Северный,안드레이 세버니
Александр Аршинов,알렉산드르 아르시노프
Анна Данилина,안나 다닐 리나
Анна Требунская,안나 트레분스카야
Олег Германович Артемьев,올렉 아르테몌프
"Матвиенко, Игорь Григорьевич",이호르 마트비옌코
Антон Константинович Заболотный,안톤 자볼로트니
Александр Анатольевич Фёдоров,알렉산드르 표도로프
"Криворучко, Александр Юрьевич",알렉산드르 크리보루치코
Сергей Викторович Чемезов,세르게이 체메조프
Артём Чигвинцев,아르템 치그빈테프
Ирина Шарипова,이리나 샤리포바
"Рыжиков, Сергей Николаевич",세르게이 리지코프
"Есенина, Елена Сергеевна",엘레나 예 센나
"Стёпкин, Юрий Викторович",유리 스툡킨
Евгения Дмитриевна Любич,제니아 루빅
"Елизарова, Екатерина Игоревна",카티아 엘리자로바
Юлия Олеговна Самойлова,율리야 사모일로바
Иван Евгеньевич Новосельцев,이반 노보셀체프
Хабибулло Абдусаматов,하비불로 압두사마토프
Татьяна Усова,타티야나 우소바
"Глейхенгауз, Даниил Маркович",다닐 글레이헨가우스
"Данг, Лев Шонович",당반럼
Ирина Васильевна Полякова,이리나 폴랴코바
"Акатьев, Алексей Николаевич",알렉세이 아카티예프
"Овчинин, Алексей Николаевич",알렉세이 옵치닌
Алексей Николаевич Щиголев,알렉세이 쉬골레프
Дарья Попова,다리야 포포바
Далер Адьямович Кузяев,달레르 쿠자예프
"Вараксин, Кирилл Александрович",키릴 바락신
Ксения Кахнович,크세니야 카흐노비치
Валентина Восток,발렌티나 보스토크
Валентина Ивахненко,발렌티나 이바흐넨코
Евгений Иванов,예브게니 이바노프
"Сурженко, Роман Игоревич",로만 수르젠코
"Бабурин, Егор Константинович",예고르 바부린
"Артемьева, Мария Эдуардовна",마리야 아르테미예바
Виктор Коул,빅터 콜
Гарий Петрович Гаврилов,가리 가브릴로프
Игорь Петрович Дементьев,이고리 데멘티예프
"Кушанашвили, Отар Шалвович",오타르 쿠샤나슈빌리
Виктор Доценко,빅토르도 츠코
"Жиров, Евгений Николаевич",에브게니 지로프
"Семёнов-Прозоровский, Никита Юрьевич",니키타 프로조롭스키
Юрий Александрович Газинский,유리 가진스키
"Реутов, Олег Александрович",올레크 레우토프
"Ганиева, Зиба Паша кызы",지바 가니예바
"Гедуев, Аниуар Борисович",아니우아르 게두예프
"Тоом, Яна Игоревна",야나 톰
Даниэл Кузьмин,다니엘 쿠즈민
Владимир Комаров,블라디미르 코마로프
Елена Артемьевна Ливанова,옐레나 리바노바
Юрий Владимирович Лодыгин,유리 로디긴
"Ким, Алексей Эдуардович",김 알렉세이
Владимир Лаптев,블라디미르 랍테프
"Соловьёв, Михаил Николаевич",미하일 솔로비오프
"Боровский, Борис Маркович",보리스 보롭스키
"Тихвинская, Мария Световна",마리야 티흐빈스카야
Михаил Сергеевич Коляда,미하일 콜야다
Полина Максимова,폴리나 막시모바
"Ваганов, Евгений Александрович",예브게니 바가노프
Александр Сергеевич Головин,알렉산드르 골로빈
"Жовнирский, Владислав Владимирович",블라디슬라프 조브니르스키
"Глазовский, Никита Фёдорович",니키타 글라좁스키
"Бурдин, Сергей Николаевич",세르게이 부르딘
Анна Уколова,안나 우쿨로바
Алёна Олеговна Фалалеева,알료나 팔랄레예바
"Востросаблин, Борис Александрович",보리스 보스트로사블린
Светлана Крючкова,스베트라나 크리우치코바
Роман Васьянов,로만 바시야노프
"Митрюшкин, Антон Владимирович",안톤 미트류시킨
Олеся Железняк,올레샤 젤레즈냐크
"Кудрявцева, Яна Алексеевна",야나 쿠드랍체바
"Аравина, Анастасия Александровна",아나스타시야 아라비나
Эдвард Сноуден,에드워드 스노든
"Давыдов, Денис Алексеевич",데니스 다비도프
Константин Фам,콘스탄틴 패밀리
"Тищенко, Евгений Андреевич",예브게니 티셴코
Варвара Флинк,바르바라 플린크
Валерий Николаевич Фальков,발레리 팔코프
Макар Запорожский,마카르 자포로스키
Святослав Подгаевский,스브야토슬라브 포드가에브스키
Лев Наумович Шеврин,레프 셰브린
"Ахмеднабиев, Ахмеднаби Омардибирович",아흐메드나비 아흐메드나비예프
Маргарита Мамун,마가리타 마문
"Иванов, Валерий Васильевич",발레리 이바노프
"Устинова, Дарья Константиновна",다리야 우스티노바
Андрей Геннадьевич Карлов,안드레이 카를로프
Сокити Нисияма,니시야마 소키치
Павел Сергеевич Могилевец,파벨 모길레베츠
Екатерина Леонова,에 카테리나 레오노바
Евгения Армановна Медведева,에브게니야 메드베데바
"Сватковская, Дарья Дмитриевна",다리야 스밧콥스카야
"Ковалёва, Наталья Сергеевна",나탈리아 코발레바
Анатолий Иванович Ведерников,아나톨리 베데르니코프
Екатерина Рыболовлева,예카테리나 리볼로블레바
"Антипова, Юлия Валерьевна",율리야 안티포바
"Солдатова, Александра Сергеевна",알렉산드라 솔다토바
Александр Владимирович Бычков,알렉산더 비치코프
Алексей Андреевич Миранчук,알렉세이 미란추크
"Мудранов, Беслан Заудинович",베슬란 무드라노프
"Титова, Мария Павловна",마리야 티토바
"Лемешева, Мария Сергеевна",마리아 레메 세바
Прохор Шаляпин,프로코르 샬리아핀
"Шейдаев, Рамиль Теймурович",라밀 셰이다예프
Юлия Павловна Проскурякова,율리야 프로 스키야 코바
"Мелькумов, Сергей Георгиевич",세르게이 멜쿠모프
"Шубенкова, Наталья Михайловна",나탈리야 슈벤코바
"Федякина, Лидия Васильевна",리디야 페댜키나
"Рамонов, Сослан Людвикович",소슬란 라모노프
Николай Олюнин,니콜라이 올류닌
Александра Колясева,알렉산드라 콜랴세바
"Пшеничнова, Надежда Николаевна",나데즈다 프셰니치노바
Сергей Валерьевич Аксёнов,세르게이 악쇼노프
"Царнаев, Тамерлан Анзорович",타메를란 차르나예프
Мигран Эдикович Арутюнян,미흐란 하루튜냔
"Березовский, Денис Валентинович",데니스 베레좁스키
Трегубов Никита Михайлович,니키타 트레구보프
Наталья Владимировна Поклонская,나탈리아 포클론스카야
"Герелло, Василий Георгиевич",바실리 게렐로
Михаил Михайлович Котюков,미하일 코튜코프
"Хачанов, Карен Абгарович",카렌 하차노프
"Базилевич, Оксана Олеговна",옥사나 바질레비치
"Ким, Марина Евгеньевна",마리나 김
"Асадулин, Олег Равильевич",올레그 아사둘린
Ангелина Николаевна Туренко,안겔리나 투렌코
Василий Владимирович Ладюк,바실리 라디욱
"Губарев, Павел Юрьевич",파벨 구바레프
"Кремер, Илья Семёнович",일리야 크레메르
Елена Николаевна Петрова,엘레나 페트로바
"Яковлева, Диана Алексеевна",디아나 야코블레바
Надежда Викторовна Сергеева,나데즈다 세르게예바
Натали Джоя,나탈리 지오이아
Михаил Викторович Попков,미하일 폽코프
"Перепеличный, Александр Юрьевич",알렉산드르 페레펠리치니
"Судариков, Алексей Александрович",알렉세이 수다리코프
Айо Христофорович Бенес,아이조 베네스
Пётр Павленский,표트르 파블렌스키
Александр Юрьевич Бородай,알렉산드르 보로다이
Иван Касперский,이반 카스퍼스키
Лайла Третиков,라일라 트레티코프
Абдулрашид Булачевич Садулаев,아브둘라시트 사둘라예프
Малком,마우콩
Елена Анатольевна Шульман,옐레나 슐만
"Ангарская, Надежда Викторовна",나데즈다 안가르스카야
Виталик Бутерин,비탈리크 부테린
Елена Петровна Шарапова,옐레나 샤라포바
Юрий Викторович Шарапов,유리 샤라포프
"Лазарев, Алексей Викторович",알렉세이 라자레브
Паулина Андреева,파울리나 안드레예바
Андрей Рублёв,안드레이 루블료프
"Конашенков, Игорь Евгеньевич",이고르 코나셴꼬브
"Малофеев, Александр Дмитриевич",알렉산드르 말로페예프
Тимур Марселевич Сафин,티무르 사핀
"Овчинникова, Александра Павловна",알렉산드라 옵친니코바
Виктор Хориняк,빅토르 호리냑
"Неборонов, Владимир Иванович",블라디미르 네보로노프
Юлия Октаевна Ахмедова,율리야 아흐메도바
Евгений Владимирович Рукавицын,예브게니 루카비친
"Санкин, Тимур Владимирович",티무르 산킨
Надежда Сысоева,나데즈다 시소예바
"Шикшин, Илья Валерьевич",일리야 식신
Елена Борщёва,옐레나 보르시요바
"Казинская, Кристина Тарасовна",크리스티나 카틴스카야
Владислав Артемьев,블라디슬라프 아르테미예프
Алекс Озеров,알렉스 오제로프
"Мурина, Елена Борисовна",옐레나 무리나
Саша Лусс,사샤 루스
"Стрелков, Игорь Иванович",이고리 기르킨
Денис Владимирович Пушилин,데니스 푸쉴린
"Сухоруков, Анатолий Петрович",아나톨리 수호루코프
"Жидков, Николай Петрович",니콜라이 짓코프
Дмитрий Исхакович Мустафин,드미트리 이스하코비치 무스타핀
Екатерина Григорьева,케이트 그리고리예바
Аслан Казбекович Карацев,아슬란 카라체프
"Арбузов, Борис Андреевич",보리스 아르부조프
Сергей Викторович Дудаков,세르게이 두다코프
Ильзат Тоглокович Ахметов,일자트 아흐메토프
Алёна Шишкова,알레나 쉬스코바
Александра Бортич,알렉산드라 보르티치
Кирилл Алексеевич Алексеенко,키릴 알렉센코
Давит Гочаевич Чакветадзе,다비트 차크베타제
Илья Щербинин,일리아 스케르빈
Юлия Рыжанова,율리야 리자노바
"Сафаралиев, Гаджимет Керимович",가지메트 사파랄리예프
Катерина Владимировна Тихонова,카테리나 티호노바
Владимир Спиридонович Путин,블라디미르 스피리도노비치 푸틴
Мария Ивановна Путина,마리야 푸티나
Зеленская Елена Эмильевна,엘레나 젤렌스카야
"Трегуб, Илона Владимировна",일로나 트레구프
"Мурашов, Руслан Николаевич",루슬란 무라쇼프
Богданов Виктор Иванович,빅토로 보그다노프
"Дашидоржиева, Туяна Норполовна",투야나 다시도르지예바
"Бивол, Дмитрий Юрьевич",드미트리 비볼
Антон Михайлович Чупков,안톤 춥코프
"Мкртчян, Маргарита Гегамовна",마르가리타 므크르찬
Олег Анатольевич Навальный,올레크 나발니
Кристина Пименова,크리스티나 피메노바
Екатерина Сергеевна Аввакумова,예카테리나 아바쿠모바
"Рылов, Евгений Михайлович",예브게니 릴로프
"Семёнов, Сергей Викторович",세르게이 세묘노프
Сергей Бида,세르게이 비다
Хасан Магометович Халмурзаев,하산 할무르자예프
"Халмурзаев, Хусейн Магометович",후세인 할무르자예프
"Русакова, Дарья Николаевна",다샤 루사코바
"Рашидов, Гаджимурад Газиганович",가지무라트 라시도프
"Прокопьев, Сергей Валерьевич",세르게이 프로코피예프
Абдулманап Магомедович Нурмагомедов,아브둘마나프 누르마고메도프
Екатерина Семенчук,예카테리나 세멘트츄크
Shena?,안나 슐리나
"Тимонин, Александр Андреевич",알렉산드르 티모닌
"Николаев, Сергей Николаевич",세르게이 니콜라예프
Гаэль Ондуа,가엘 온두아
Леонид Полищук,레오니트 폴리슈크
"Поисеев, Руслан Александрович",루슬란 포이세예프
"Починок, Наталья Борисовна",나탈리야 포치노크
"Бабинцева, Александра Ивановна",알렉산드라 바빈체바
"Ларин, Владислав Владимирович",블라디슬라프 라린
"Игуменова, Светлана Юрьевна",스베틀라나 이구메노바
Денис Хорошко,데니스 코로 쇼코
Александр Светаков,알렉산드르 스베타코프
Гордей Колесов,고르데이 콜레소브
Иван Жвакин,이반 즈바킨
Инга Лепс,잉가 랩스
"Мельников, Леонид Васильевич",레오니트 멜니코프
"Абакарова, Патимат Серажутдиновна",파티마트 아바카로바
"Золотов, Юрий Константинович",유리 졸로토프
Станислав Соловкин,스타니슬라프 솔롭킨
Зинаида Дмитриевна Белых,지나이다 벨리흐
"Левиев, Лев Бинзумович",레프 레비 예프
"Лазарева, Анна Николаевна",안나 라자레바
Денис Николаевич Вороненков,데니스 보로넨코프
Вита Сидоркина,비타 시도르키나
Валерия Кауфман,발레리 카우프만
Мария Владимировна Воронцова,마리야 보론초바
"Никишов, Евгений Владимирович",예브게니 니키쇼프
Эмилия Эдгардовна Слабунова,예밀리야 슬라부노바
"Андрусенко, Вячеслав Дмитриевич",뱌체슬라프 안드루센코
Илья Беляков,일리야 벨랴코프
Крэйвен-охотник,아나 크라비노프
"Мацегора, Александр Иванович",알렉산드르 마체고라
Гузель Шамилевна Яхина,구젤 야히나
Кристиан Костов,크리스티안 코스토프
"Якобсон, Владимир Аронович",블라디미르 야콥손
Владислав Игоревич Мирзоев,블라디슬라프 미르조예프
Вячеслав Юрьевич Чепурченко,뱌체슬라프 체푸르첸코
Соня Белоусова,소냐 벨로우소바
Дмитрий Страхов,드미트리 스트라호프
Азамат Мусагалиев,아자마트 무사갈리예프
Даниил Воробьёв,다니엘 보로로비요프
Мария Владимировна Захарова,Maria Zakharova
Даниил Сергеевич Медведев,다닐 메드베데프
Геннадий Константинович Черкасов,겐나디 체르카소프
"Каловелонис, Марк Георгиевич",마르코스 칼로벨로니스
Фёдор Борисович Успенский,표도르 우스펜스키
Евгений Викторович Пригожин,예브게니 프리고진
Настя Стен,나스탸 스텐
Михаил Александрович Сергачёв,미하일 세르가초프
"Евлоев, Муса Гиланиевич",무사 예블로예프
Алексей Алексеевич Петрухин,알렉세이 페트루킨
Юлия Павлова,리야 파블로바
Дмитрий Евгеньевич Попко,드미트리 폽코
Юлдус Бахтиозина,율두스 박시지나 (Uldus Bakhtiozina)
Юлия Николаевна Топольницкая,율리야 토폴니츠카야
"Хорохорина, Наталья Николаевна",나탈리야 호로호리나
Александра Романовна Поспелова,알렉산드라 포스펠로바
Егор Александрович Рыков,예고르 리코프
"Конкина, Анастасия Александровна",아나스타시야 콘키나
Елена Летучая,엘레나 레트차야
Илья Викторович Найшуллер,일리야 나이슐레르
Даша Чаруша,다샤 차루샤
Зелимхан Хаджиев,젤림한 하지예프
Сергей Иванович Фургал,세르게이 푸르갈
Ильдар Ильдусович Дадин,일다르 다딘
"Непряева, Наталья Михайловна",나탈리야 네프랴예바
"Цехомский, Николай Викторович",니콜라이 체홈스키
"Галкин, Антон Сергеевич",안톤 갈킨
Игорь Валентинович Коробов,이고리 코로보프
Кирилл Николаевич Шамалов,키릴 샤말로프
Ирина Анатольевна Горбачёва,이리나 고르바초바
"Межецкая, Дарья Евгеньевна",다리야 메제츠카야
Татьяна Митюшина,타냐 미투시나
Валерий Шикшин,발레리 식신
Светлана Николаевна Французова,스베틀라나 프란추조바
"Лейкина, Полина Алексеевна",폴리나 레이키나
Заурбек Казбекович Сидаков,자우르베크 시다코프
Антон Андреевич Миранчук,안톤 미란추크
"Гнетнев, Константин Васильевич",콘스탄틴 그네트네프
Леонид Борисович Марголин,레오니드 마골린
Нателла Вагифовна Крапивина,나텔라 크라피비나
"Калаушин, Борис Матвеевич",보리스 칼라우신
Вера Константиновна Панфилова,베라 판필 로바
"Бобылёв, Владимир Александрович",블라디미르 보빌료프
"Горьков, Сергей Николаевич",세르게이 고르코프
Алина Ильназовна Загитова,알리나 자기토바
Тамерлан Башаев,타메를란 바샤예프
Дмитрий Игоревич Шишкин,드미트리 쉬스킨
Максим Голополосов,막심 골로폴로소프
"Баранов, Вячеслав Сергеевич",뱌체슬라프 바라노프
Иван Филиппович Янковский,이반 얀콥스키
Павел Сиваков,파벨 시바코프
Александр Александрович Большунов,알렉산드르 볼슈노프
Зиничев Евгений Николаевич,예브게니 지니체프
Илья Мэддисон,일리야 매디슨
"Родченков, Григорий Михайлович",그리고리 롯첸코프
Александр Александрович Стародубец,알렉산드르 스타로두베츠
"Евдокимов, Анатолий Григорьевич",아나톨리 예브도키모프
"Кудашова, Татьяна Алексеевна",타티야나 미니나
Анастасия Решетова,아나스타샤 레시토바
Роман Алексеевич Евгеньев,로만 예브게니예프
"Журавская, Екатерина Всеволодовна",예카테리나 주랍스카야
Олег Васильевич Матыцин,올레크 마티친
Борис Александрович Чернышов,보리스 체르니쇼프
Юрий Михайлович Хованский,유리 호반스키
Карпова Надежда Алексеевна,나데즈다 카르포바
Екатерина Дмитриевна Александровская,예카테리나 알렉산드롭스카야
Кристина Грикайте,크리스 그리카이테
Рада Никитична Аджубей,라다 아주베이
"Емелин, Сергей Александрович",세르게이 예멜린
"Бутурлина, Анна Владимировна",안나 부투를리나
Антон Андреевич Алиханов,안톤 알리하노프
"Рыбаков, Владимир Юрьевич",블라디미르 리바코프
"Субботина, Нина Николаевна",니나 수보티나
"Ляпунов, Кирилл Игоревич",키릴 랴푸노프
"Мшвидобадзе, Роберт Николаевич",로베르트 므시미도바제
"Лаппинагов, Аслан Аланович",아슬란 라피나고프
"Хубецов, Алан Джемалович",알란 후베초프
"Храмцов, Максим Сергеевич",막심 흐람초프
"Швыткин, Юрий Николаевич",유리 시빗킨
Анна Зак,안나 자크
Митя Алешковский,드미트리 알레시콥스키
Манижа,마니자
"Болтенко, Андрей Александрович",안드레이 볼튼코
Ангелина Данилова,안젤리나 다닐로바
Виктория Валериевна Абрамченко,빅토리야 아브람첸코
"Занкишиев, Казбек Кубадиевич",카즈베크 잔키시예프
Илья Прусикин,일리야 프루시킨
Дмитрий Уткин,드미트리 웃킨
Рудольф Шуман,초안:루돌프 슈만
Павел Николаевич Грудинин,파벨 그루디닌
Заур Угуев,자우르 우구예프
Артем Аншелес,아르 템샬레
Tatarka,타타르카
Дмитрий Ремович Хохлов,드미트리 호흘로프
Геннадий Валериевич Жидко,겐나디 짓코
Анна Станиславовна Щербакова,안나 셰르바코바
Екатерина Самсонов,예카테리나 삼소노프
Эльдар Джарахов,옐다르 자라호프
Юрий Викторович Шефлер,유리 셰플레르
BadComedian,예브게니 바제노프
Александр Иратов,알렉산드르이 라토 프
Денис Кензо,데니스 켄조
Евгений Георгиевич Бондаренко,예브게니 본다렌코
"Неведрова, Натали Алексеевна",나탈리 네베드로바
Георгий Валентинович Албуров,게오르기 알부로프
Фархад Фаткуллин,파르하트 팟쿨린
"Азарх, Юлия Семёновна",율리아 세미요노프나 아자르흐
"Соколов, Дмитрий Григорьевич",드미트리 소콜로프
Надиршах Мугадович Хачилаев,나디르 하칠라예프
Егор Дмитриевич Клинаев,에고 클리네프
Нина Роландовна Добрушина,니나 도브루시나
Мария Валерьевна Бутина,마리야 부티나
Константин Килимник,콘스탄틴 킬림니크
