党委书记,党委員会の責任者
莲花路站,蓮花路駅
康樂及文化事務署,康楽及文化事務署
食物環境衞生署,食物環境衛生署
百色右江机场,百色巴馬空港
阿尔山伊尔施机场,アルシャン伊爾施空港
加格达奇机场,ジャグダチ空港
金平路站,金平路駅
呼兰河,呼蘭河
新民晚报,新民晩報
小米集團,Xiaomi
329国道,G329国道
327国道,G327国道
321国道,G321国道
徽城镇,徽城鎮
辉发河,輝発河
惠州抽水蓄能電站,恵州揚水発電所
中华人民共和国户籍制度,中華人民共和国の戸籍制度
临澧县,臨澧県
临武县,臨武県
桂阳县,桂陽県
阳东区,陽東区
選舉事務處,選挙事務処
衞生防護中心,衛生防護中心
中華人民共和國國籍法,中華人民共和国国籍法
南山海上观音圣像,南山海上観音聖像
四色牌,四色牌
开元寺,開元寺 (福州市)
西安方济各主教座堂,西安聖フランシスコ大聖堂
圣弥爱尔大教堂,聖ミカエル大聖堂 (青島)
聖約翰座堂,聖ヨハネ座堂 (香港)
中央汇金投资有限责任公司,中央匯金投資公司
帽子山核電站,彭沢原子力発電所
東涌,東涌
矮寨大桥,矮寨大橋
深港西部通道,深港西部通道
巴斯光年 (遊樂設施),バズ・ライトイヤー
中國與聯合國關係,中国と国際連合
香港公園,香港公園
兴安盟,ヒンガン盟
北京大学红楼,北京新文化運動記念館
大理大学,中国大理大学
武汉航空,武漢航空
河北北方学院,河北北方学院
四川美术学院,四川美術学院
舟山島架空電纜,舟山島送電線
322国道,G322国道
衡南县,衡南県
武平县,武平県
衡东县,衡東県
南靖县,南靖県
碧螺春,碧螺春
和田机场,ホータン空港
库车龟兹机场,クチャ空港
2011年喀什暴力恐怖袭击事件,2011年カシュガル連続殺傷事件
长兴岛,長興島
八一足球俱樂部,八一足球隊
阳西县,陽西県
汉寿县,漢寿県
石门县,石門県
延吉人民体育场,延吉人民体育場
潁河,潁河
武氏祠,武氏祠
漕宝路站,漕宝路駅
中华人民共和国公安部,中華人民共和国公安部
珠海万山海洋开发试验区,万山海洋開発試験区
珠海高新技术产业开发区,珠海国家高新技術産業開発区
木尕拉镇,ムガッラ鎮
天水圍,天水囲
中國猶太人,中国のユダヤ人
江苏沙钢集团,江蘇沙鋼集団
蛇口工业区,蛇口工業区
白苗语,白苗語
绿苗语,緑苗語
北部土语,北部黔東苗語
广州龙狮,龍獅籃球倶楽部
琉球館,琉球館
南島中學,南島中学
车尔臣河,チャルチャン川
第18届亚洲田径锦标赛,2009年アジア陸上競技選手権大会
2015年世界花式滑冰錦標賽,2015年世界フィギュアスケート選手権
渭滨区,渭浜区
海思半导体有限公司,HiSilicon
政務司司長,香港特別行政区政務司司長
娄星区,婁星区
靖州苗族侗族自治县,靖州ミャオ族トン族自治県
沿滩区,沿灘区
榕城区,榕城区
陈留镇,陳留鎮
中国原子能科学研究院,中国原子能科学研究院
招商輪船,招商局能源運輸
中非关系,アフリカと中国の関係
2010年冬季残奥会中国代表团,2010年バンクーバーパラリンピックの中国選手団
成都地铁,成都地下鉄
佛山地铁,仏山地下鉄
大连地铁,大連地下鉄
荔城区,茘城区
上杭县,上杭県
松溪县,松渓県
松潘县,松潘県
临夏县,臨夏県
麒麟区,麒麟区
105国道,G105国道
111國道,G111国道
106国道,G106国道
104国道,G104国道
101国道,G101国道
227国道,G227国道
206国道,G206国道
永登县,永登県
祁东县,祁東県
芦淞区,蘆淞区
中山陵,中山陵
中农镇,中農鎮
中国地理标志产品,中国地理標示産品
中华人民共和国民用航空业,中華人民共和国の航空
中国煤炭工业,中国の石炭
上海对外经贸大学,上海対外経貿大学
翠湖站,翠湖駅
6Y2型电力机车,中国国鉄6Y2型電気機関車
2010年亞洲電影大獎,第4回アジア・フィルム・アワード
步步高,歩歩高
梳士巴利道,ソールズベリー道路
反右运动,反右派闘争
呼兰路站,呼蘭路駅
中国人民解放军军衔,中国人民解放軍の階級
路政署,路政署
商務及經濟發展局,商務及経済発展局
秦咸阳城,咸陽宮
拉珈语,ラギャ語
迪士尼好萊塢酒店,ディズニー・ハリウッド・ホテル
迪士尼小镇,ディズニータウン
东莞台商大厦,東莞台商大厦
東林書院,東林学院
中华人民共和国专利法,中華人民共和国専利法
澳門金沙,サンズ・マカオ
虎门镇,虎門鎮
荣威,栄威
江苏省苏州中学,蘇州中学
兴海县,興海県
鲁甸县,魯甸県
同德县,同徳県
北海福成机场,北海福成空港
天津开发区导轨电车1号线,天津開発区導軌電車1号線
龙华中路站,龍華中路駅
水红铁路,水紅線
苏州大学,蘇州大学
中国国际贸易中心,中国国際貿易センター
察尔汗盐湖,チャルハン塩湖
罗子沟镇,羅子溝鎮
長虹,長虹
GCL-Poly,GCL-Poly
厦门金龙旅行车有限公司,廈門金龍旅行車
盈科拓展集團,盈科拓展集団
中国人民政治协商会议全国委员会副主席,中国人民政治協商会議全国委員会副主席
威爾斯親王醫院,公立プリンス・オブ・ウェールズ病院
花都区体育中心,花都体育場
中国精神疾病分类方案与诊断标准,中国精神障害分類と診断基準
西藏自治区监狱,ラサ刑務所
中国返回式卫星,返回式衛星
哈密盆地,ハミ盆地
香港三育書院,香港復臨学校
北京航空航天大学体育馆,北京航空航天大学体育館
塔城机场,チョチェク空港
香洲区,香洲区
溆浦县,ジョ浦県
新疆独立运动,東トルキスタン独立運動
申威,申威微架構
士课街教堂,ハルビン聖アレクセーエフ教会
中国花样滑冰协会,中国フィギュアスケート協会
攻擊,サイバー攻撃
香港JW萬豪酒店,JWマリオット・ホテル香港
寶翠園,宝翠園
汉中城固机场,漢中城固空港
加茂語,チャマオ語
锦江乐园,錦江楽園
桃源县,桃源県
龙湖区,竜湖区
桑植县,桑植県
首都机场高速公路,首都機場高速路
抚远东极机场,撫遠東極空港
辽宁省图书馆,遼寧省図書館
香港迪士尼樂園鐵路,香港ディズニーランド鉄道
香港迪士尼樂園酒店,香港ディズニーランド・ホテル
黄姚镇,黄姚鎮
打結的槍,発射不能の銃
八大部,八大部
雅鲁藏布江,ヤルツァンポ川
303国道,G303国道
220国道,G220国道
328国道,G328国道
325国道,G325国道
302国道,G302国道
310国道,G310国道
311国道,G311国道
324国道,G324国道
225国道,G225国道
第29届奥林匹克运动会组织委员会,北京オリンピック大会組織委員会
贵阳龙洞堡国际机场,貴陽龍洞堡国際空港
寧波櫟社國際機場,寧波櫟社国際空港
扶风县,扶風県
山丹县,山丹県
双江拉祜族佤族布朗族傣族自治县,双江ラフ族ワ族プーラン族タイ族自治県
平武县,平武県
仁寿县,仁寿県
福泉市,福泉市
中国科学院高能物理研究所,中国科学院高エネルギー物理研究所
陆海国际中心,陸海国際センター
崇基學院,崇基学院
新亞書院,新亜書院
聯合書院,聯合書院
2010年京藏高速公路严重交通堵塞,G110国道大渋滞
律政中心,律政中心
環球大廈,環球大厦
哈尔滨飞机工业集团有限责任公司,哈爾浜飛機製造公司
上山下乡运动,上山下郷運動
沙田馬場,沙田競馬場
龙漕路站,竜漕路駅
国家会议中心,北京国家会議センター
譽·港灣,譽・港湾
商州区,商州区
新龙县,新竜県
上水站,上水駅
火炭站,火炭駅
旺角東站,旺角東駅
太子站,太子駅
艾马克,アイマク
科尔沁蒙古语,ホルチン・モンゴル語
弘法寺 (深圳),弘法寺
北京当代MOMA,リンクド・ハイブリッド
2007 大獎賽中國站,2007年中国杯
2005中國盃,2005年中国杯
2088年4月21日日食,2088年4月21日の日食
2030年6月1日日食,2030年6月1日の日食
呼和浩特白塔国际机场,呼和浩特白塔国際空港
歼-5,J-5
南宁吴圩国际机场,南寧呉圩国際空港
中国中央电视台新闻频道,CCTV-新聞
民政總署大樓,民政総署大楼
上海动物园,上海動物園
伯多祿五世劇院,ドン・ペドロ5世劇場
康家语,康家語
特等站,特等駅
乳扇,ルーシャン
天津市南开中学,天津市南開中学
江苏省扬州中学,江蘇省揚州中学
东喜马拉雅高山灌丛和草甸,東ヒマラヤ高山灌木草原帯
湘乡市第一中学,湘郷市第一中学
湖南省长沙市第一中学,湖南省長沙市第一中学
鄠邑区,鄠邑区
秀英区,秀英区
灞桥区,灞橋区
淮安涟水机场,淮安漣水空港
港澳客輪碼頭,マカオ・フェリー・ターミナル
瘦西湖,痩西湖
利舞臺廣場,利舞台広場
2010年舟曲泥石流灾害,舟曲土石流災害
兰州中川机场,蘭州中川空港
西双版纳嘎洒机场,シーサンパンナ・ガサ空港
央然康日峰,ヤングラ
昆明地铁,昆明地下鉄
武汉地铁,武漢地下鉄
拉巴池,ラグバ・プール
上海越剧院,上海越劇院
克东镇,克東鎮
兴文县,興文県
甘孜县,甘孜県
宁洱哈尼族彝族自治县,寧洱ハニ族イ族自治県
海底隧道,香港海底トンネル
澳門文化,マカオの文化
國際廣場,アイ・スクエア
大唐街道,大唐鎮
未央區,未央区
修文县,修文県
七里河区,七里河区
息烽县,息烽県
哈尔滨圣·索菲亚教堂,聖ソフィア大聖堂
湟水河,湟水
黄花镇,黄花鎮
花山岩画,花山壁画
格尔登寺,キルティ・ゴンパ
207国道,G207国道
奧林匹克體育中心-運動場,澳門運動場
明報,明報
北京工业大学,北京工業大学
济阳区,済陽県
香港體育學院,香港体育学院
2008年夏季残奥会轮椅网球比赛,2008年北京パラリンピックの車いすテニス競技
太和县,太和県
贵德县,貴徳県
盘龙区,盤竜区
富民县,富民県
肃南裕固族自治县,粛南ユグル族自治県
禄劝彝族苗族自治县,禄勧イ族ミャオ族自治県
乌当区,烏当区
山頂纜車,ピークトラム
中国空间站工程,天宮計画
2002年汤姆斯杯和尤伯杯羽毛球赛,トマス杯&ユーバー杯2002
澳門電訊,マカオテレコム
滇红,滇紅
中央音乐学院,中央音楽学院
上海音乐学院,上海音楽学院
2013 大獎賽中國站,2013年中国杯
中不邊界,ブータン・中国国境
中国－哈萨克斯坦边界,中国・カザフスタン国境
中国－吉尔吉斯斯坦边界,中国＝キルギス国境
澳門地理,マカオの地理
何厚鏵,何厚カ
未央宫,未央宮
香港一級歷史建築列表,香港一級歴史建築の一覧
白仓镇,白倉鎮
中华人民共和国知识产权法,中国の知的財産権問題
粤港澳大湾区城际铁路,珠三角城際快速軌道交通
谢集镇,謝集鎮
谢集镇,謝集鎮
1號幹線,香港1号幹線
榆中县,楡中県
双流区,双流区
南明区,南明区
龙华区,竜華区
湖南第一师范学院,湖南第一師範学院
扎陵湖,ギャリン湖
温榆河,温楡河
玫瑰聖母堂,聖ドミニコ教会
山东博物馆,山東博物館
华清池,華清池
华南师范大学附属中学,華南師範大学附属中学
北京大学附属中学,北京大学附属中学
澤豐站,沢豊駅
农业展览馆站,農業展覧館駅
河北农业大学,河北農業大学
中国阿含·桐山杯,阿含・桐山杯中国囲棋快棋公開戦
爱河,愛河 (丹東市)
爱国街道,愛国街道
復星國際,復星国際
上汽通用五菱,上汽通用五菱汽車
南京长江大桥,南京長江大橋
南昌站,南昌駅
淮上区,淮上区
龙子湖区,竜子湖区
烈山区,烈山区
下祿豐組,下禄豐層
鑽石山站,鑽石山駅
鄂爾多斯沙漠,オルドス地方
藏,ツァン
筲箕灣,ソウ箕湾
巴尔鲁克山,バルルク山
北运河,北運河
万年寺,万年寺
佐丹奴,ジョルダーノ
大元帅,中華人民共和国大元帥
俄罗斯驻上海总领事馆,在上海ロシア総領事館
沙基慘案,沙基事件
洪桥街道,洪橋鎮
中國東方航空5210號班機空難,中国東方航空5210便墜落事故
万州五桥机场,万州五橋空港
阜阳机场,阜陽西関空港
齐齐哈尔三家子机场,チチハル三家子空港
瞿塘峡,瞿塘峡
鑽石山,鑽石山
中华人民共和国行政区划代码,中華人民共和国行政区画代碼
金鐘（東）巴士總站,金鐘（東）公共運輸交匯處
新华镇,新華鎮
新华镇,新華鎮
新华镇,新華鎮
新华镇,新華鎮
迪欣湖活動中心,インスピレーションレーク
澳門新福利公共汽車,澳門新福利公共汽車
日土镇,ルトク
黄埔大桥,黄埔大橋
中国环境,中国の環境問題
中国奴隶制,中国の奴隷制
交易廣場,交易廣場
衡山路站,衡山路駅
汉中路站,漢中路駅
延长路站,延長路駅
石龙路站,石竜路駅
汶水路站,汶水路駅
通河新村站,通河新村駅
喜靈洲,喜霊洲
會展中心站,会展中心駅
云岩区,雲岩区
开阳县,開陽県
皋兰县,皐蘭県
阿尔卡特,アルカテル
新华镇,新華鎮
雅麗氏何妙齡那打素醫院,アリス何妙齡ネザーソール病院
華潤雪花啤酒,雪花ビール
中欧关系,中華人民共和国と欧州連合の関係
AcFun,AcFun
四川盆地常绿阔叶林,四川盆地常緑広葉樹林
长江平原常绿林,長江平原常緑樹林
清镇市,清鎮市
花溪区,花渓区
寻甸回族彝族自治县,尋甸回族イ族自治県
恭城瑶族自治县,恭城ヤオ族自治県
贡井区,貢井区
梅江区,梅江区
兴宾区,興賓区
汕头外砂机场,汕頭外砂空港
合肥骆岗国际机场,合肥駱崗国際空港
合和中心,ホープウェル・センター
中建岛,トリトン島
中国南极昆仑站,崑崙基地
中国香港圣殿,中国香港神殿
紅磡,紅磡
虎门大桥,虎門大橋
澳門人口,マカオの人口統計
中國的稱號,中国の名称
宜良县,宜良県
元谋县,元謀県
春秋航空,春秋航空
旌阳区,旌陽区
揭西县,掲西県
秀峰区,秀峰区
田阳区,田陽区
柴灣,柴湾
2008年胶济铁路列车相撞事故,山東省列車衝突事故
北桥站,北橋駅
全聚德,全聚徳
五四广场,五四広場
北京东站,北京東駅
花園道三號,シティバンクタワー
玛那山口,マナ峠
迷離大宅,ミスティック・マナー
中国女子排球联赛,中国バレーボールリーグ
大塘镇,大塘鎮
韶关站,韶関駅
北京北站,北京北駅
源深体育中心体育场,上海浦東源深体育場
中华门,中華門
西水坡遗址,西水坡遺跡
世纪金源购物中心,華南MALL
公路自行车赛场,公道コース
梅窩,梅窩
中央电视台电视文化中心火灾,中央電視台電視文化センター火災
水語,スイ語
九龍東,九龍東
伊利沙伯中學,伊利沙伯中学
翡翠台,翡翠台
中华人民共和国国务院总理,国務院総理
江苏省泰州中学,泰州中学
瑷珲镇,璦琿鎮
爱联站,愛聯駅
香港的空氣汙染,香港の大気汚染
香港機場管理局,香港空港管理局
机场东站,機場東駅
深圳地铁11号线,深圳地下鉄11号線
金鐘,金鐘
樟木镇,ダム鎮
卫河,衛河
建国门,建国門
海心沙,海心沙島
二沙島,二沙島
颍州区,潁州区
萧县,蕭県
谢家集区,謝家集区
任法融,任法融
吉木乃镇,ジェミナイ鎮
中华人民共和国名誉主席,中華人民共和国名誉主席
全国人民代表大会常务委员会副委员长,全国人民代表大会常務委員会副委員長
中阿邊界,アフガニスタン＝中国国境
中国－缅甸边界,中緬国境
中国塔吉克斯坦边界,中国＝タジキスタン国境
中越邊界,中越国境
保險界,保険 (職能団体枠)
漁農界,漁業・農業
太古城,太古城
汲水門大橋,汲水門大橋
香港濕地公園,香港湿地公園
中华人民共和国国防委员会,中華人民共和国国防委員会
广州松日足球俱乐部,広州松日足球俱楽部
根河,根河 (河川)
大辽河,大遼河
大兴善寺,大興善寺
中国印钞造币集团有限公司,中国印鈔造幣総公司
中国生物圈保护区网络,中国生物圏保護区ネットワーク
中海石油化學,中海石油化学
中远海运控股股份有限公司,中遠海運控股股份有限公司
中国国际象棋甲级联赛,中国チェスリーグ
中央广播电视总台总部大楼,中央広播電視総台本部ビル
中国土木工程集团公司,中国土木行程集団有限公司
中國通信服務,中国通信服務
中国国际贸易促进委员会,中国国際貿易促進委員会
中国残疾人联合会,中国障害者連合会
昂嘎站,アンガ駅
中国－安哥拉关系,アンゴラと中華人民共和国の関係
安海镇,安海鎮
安河桥北站,安河橋北駅
安华桥站,安華橋駅
科大讯飞,科大訊飛
沈阳铁西新区体育场,瀋陽鉄西新区体育中心
香港輕鐵,軽鉄
澳門科學館,マカオ科学館
惠州平潭机场,恵州平潭空港
谋智中国,Mozilla China
嘉模堂區,嘉模堂区
湘桥区,湘橋区
兴业县,興業県
古蔺县,古藺県
廻龙镇,廻竜鎮
会龙镇,会竜郷
中國婦女,中華人民共和国の女性
中國國家京劇院,中国国家京劇院
国家行政学院,国家行政学院
中國北方航空6901號班機空難,中国北方航空6901便墜落事故
中國西北航空2119號班機空難,中国西北航空2119便離陸失敗事故
中国国核海外铀资源开发公司,中国国家核海外ウラン資源開発公司
中國西北航空2303號班機空難,中国西北航空2303便墜落事故
中国药科大学,中国薬科大学
中國電力國際發展,中国電力国際発展有限公司
靖西市,靖西市
永福县,永福県
田东县,田東県
路氹國際體育綜合體,マカオ東アジア競技大会体育館
中华人民共和国道路交通安全法,中華人民共和国道路交通安全法
广东省人民政府,広東省人民政府
甘河,甘河
克什克腾世界地质公园,ヘシグテン世界地質公園
銀圍站,銀囲駅
深圳北站,深圳北駅
澳門教育,マカオの教育
北京特大桥,北京特大橋
南京人化石地点,南京古猿人洞
聖老楞佐堂,聖ローレンス教会
龙泉驿足球场,成都竜泉駅足球場
深圳湾体育中心,深圳湾体育中心
英东体育场,英東体育場
關閘,ボーダーゲート
格尔木机场,ゴルムド空港
昆明拓東體育場,昆明拓東体育場
广佛地铁,広佛地下鉄
澳門漁人碼頭,マカオ・フィッシャーマンズ・ワーフ
池州九华山机场,池州九華山空港
上海共青国家森林公园,上海共青森林公園
中国石油大学（北京）,中国石油大学
中华门,中華門
粤汉铁路,粤漢線
三通,三通
龙马潭区,竜馬潭区
银海区,銀海区
武宣县,武宣県
港南区,港南区
春運,春運
重庆白市驿机场,重慶白市駅空港
屯門公路,屯門公路
个园,个園
苏州中心广场,蘇州中心広場
梅县客家足球俱乐部,梅県客家足球倶楽部
淄博市体育中心体育场,淄博市体育中心
容县,容県
泸县,瀘県
象山区,象山区
中华全国工商业联合会,中華全国工商業連合会
梅关古道,梅関古道
亚马逊中国,アマゾン中国
珍珠滩瀑布,珍珠灘瀑布
美國國際學校,アメリカ国際学校（香港）
淘大花園,アモイ・ガーデンズ
清西陵,西陵
吳縣,呉県
荷里活廣場,荷里活広場
幸會史迪仔,スティッチ・エンカウンター
光明日报,光明日報
德瑞國際學校,ドイツ国際学校（香港）
漢基國際學校,漢基国際学校
会龙镇,会竜鎮
東華三院甲寅年總理中學,東華三院甲寅年総理中学
会龙镇,会竜鎮
会龙镇,会竜鎮
化德县,化徳県
太仆寺旗,タイブス旗
海南区,海南区
乌拉特前旗,ウラド前旗
荣县,栄県
茂港区,茂港区
金平区,金平区
中国－老挝边界,中国＝ラオス国境
中尼邊界,中国＝ネパール国境
仫佬语,ムーラオ語
毛南语,マオナン語
中國港灣工程有限責任公司,中国港湾工程
中国历史地理信息系统,中国歴史地理情報システム
中港城,中港城
中国现代国际关系研究院,中国現代国際関係研究院
中国劳动关系学院,中国労働関係学院
国展站,国展駅
中国法学会,中国法学会
交通运输部海事局,海事局（CMSA; 海巡)
中国医科大学,中国医科大学
蒙城县,蒙城県
肃北蒙古族自治县,粛北モンゴル族自治県
莒南县,莒南県
顺丰航空,順豊航空
苗语川黔滇次方言,ミャオ語
老山小轮车赛场,老山BMX場
和記港口集團,ハチソン・ポート・ホールディングス
林西县,林西県
准格尔旗,ジュンガル旗
苏尼特右旗,ソニド右旗
乌拉特后旗,ウラド後旗
布尔津喀纳斯机场,カナス空港
巴林右旗,バイリン右旗
土默特右旗,トゥムド右旗
克什克腾旗,ヘシグテン旗
灌阳县,灌陽県
乌达区,ウダ区
丰镇市,豊鎮市
察哈尔右翼前旗,チャハル右翼前旗
深圳体育场,深圳体育場
深圳世界大学生运动会体育中心,深圳大運中心
济南奥林匹克体育中心,済南オリンピックスポーツセンター
九龍灣公園,九龍湾公園
怀化芷江机场,芷江空港
新源那拉提机场,那拉提機場
招商地產,招商局地産控股
洛陽欒川鉬業,洛陽欒川モリブデン
中国移动多媒体广播,CMMB
中国黄金集团有限公司,中国黄金集団
同三高速公路,同三高速道路
228国道,G228国道
陕西省体育场,陝西省体育場
上海体育馆,上海体育館
金龙联合汽车,金龍客車
中共中央统一战线工作部,中国共産党中央統一戦線工作部
安山镇,安山鎮
怀玉山,懐玉山脈
云台山 (江苏),雲台山 (江蘇省)
上海当代艺术馆,上海当代芸術館
辽宁省博物馆,遼寧省博物館
曲阜师范大学,曲阜師範大学
周恩来邓颖超纪念馆,周恩来鄧穎超記念館
独龙江－恩梅江,ンマイ川
安徽九方足球俱乐部,安徽九方足球倶楽部
安徽卫视,安徽衛視
安徽财经大学,安徽財経大学
安徽理工大学,安徽理工大学
安徽中医药大学,安徽中医薬大学
皖赣铁路,皖贛線
香港動漫電玩節,C3 in hong kong
安靖站,安靖駅
临城县,臨城県
安沙镇,安沙鎮
鞍山西站,鞍山西駅
鞍山道站,鞍山道駅
安顺站,安順駅
黄果树机场,安順黄果樹空港
安市城,安市城
蚁族,蟻族
中国反日情绪,中国の反日感情
安亭北站,安亭北駅
邳州市,邳州市
三台县,三台県
平江区,平江区
机场南站,機場南駅
阿克赛钦湖,アクサイチン湖
阿拉营镇,阿拉営鎮
新华乡,新華郷
新华乡,新華郷
别发洋行,別發洋行
长城马拉松,万里の長城マラソン
成吉思汗陵,チンギス・ハーン陵
上汽大通,上汽大通汽車
香港建築,建築
亞皆老街,亜皆老街
在華亞美尼亞人,中国のアルメニア人
香港中文大學文物館,香港中文大学文物館
阿扎镇,阿扎鎮
金阊区,金閶区
上海大学,上海大学
通州区,通州区
金城江区,金城江区
港口区,港口区
科尔沁左翼中旗,ホルチン左翼中旗
2002年亞洲運動會中國代表團,2002年アジア競技大会中国選手団
2006年亞洲運動會中國代表團,2006年アジア競技大会中国選手団
保利集团,保利集団
和谐1D型电力机车,中国国鉄HXD1D型電気機関車
建設型蒸汽機車,中国国鉄建設型蒸気機関車
ND2型柴油机车,ND2型ディーゼル機関車
華潤置地,華潤置地
中国南方航空3943号班机空难,中国南方航空3943便墜落事故
关东半岛,関東半島
中古关系,中華人民共和国とキューバの関係
俄罗斯驻哈尔滨总领事馆,在ハルビンロシア総領事館
廣九直通車,広九直通列車
揭东区,掲東区
西区,西区
四子王旗,四子王旗
大行政区,大行政区
楊枝甘露,楊枝甘露
昆仑山隧道,昆侖山トンネル
广州中医药大学,広州中医薬大学
二東山,二東山
恩平市,恩平市
河南蒙古族自治县,河南モンゴル族自治県
灵川县,霊川県
中国人民解放军建军纪念日,中国人民解放軍建軍記念日
光棍节,光棍節
香港大學李嘉誠醫學院,香港大学李嘉誠医学院
滘頭街道,滘頭街道
龙头山古墓群,龍頭山古墓群
安达站,安達駅
安德里北街站,安徳里北街駅
安達臣道,安達臣道
安定门街道,安定門街道
安定门站,安定門駅
曲下镇,チーシア
银川河东机场,銀川河東国際空港
赤峰路站,赤峰路駅
宝杨路站,宝楊路駅
淮海路,淮海路
參合陂之戰,参合陂の戦い
延安西路站,延安西路駅
禾洞镇,禾洞鎮
中苏友谊万岁奖章,中ソ友誼万歳奨章
中不關係,中国とブータンの関係
抗美援朝纪念馆,抗米援朝記念館
瀛洲,瀛州
临桂区,臨桂区
泸州老窖,瀘州老窖
2008年夏季残奥会火炬接力,2008年北京パラリンピックの聖火リレー
大池镇,大池鎮
谢鸡镇,謝鶏鎮
辽河油田,遼河油田
太山镇,太山鎮
副阶周匝,裳階
青洲,青洲
内蒙古方言,南部モンゴル語群
凌云县,凌雲県
罗城仫佬族自治县,羅城モーラオ族自治県
盐边县,塩辺県
中國東方航空5398號班機空難,中国東方航空5398便着陸失敗事故
中华民族园,中華民族園
中國出口信用保險公司,中国輸出信用保険公司
中国文学艺术界联合会,中国文学芸術界連合会
中国金融期货交易所,中国金融期貨交易所
中国飞龙专业航空,中国飛龍専業航空
中国地质调查局,中国地質調査局
中國通用航空2755號班機空難,中国通用航空7552便墜落事故
亞洲國際博覽館,アジアワールド・エキスポ
亞洲空運中心,亜洲空運中心
亚细亚号列车,あじあ号
苏州丝绸博物馆,蘇州絲綢博物館
安托山站,安托山駅
安香乡,安香郷
安阳东站,安陽東駅
蠡口站,蠡口駅
安州镇,安州鎮
安贞门站,安貞門駅
二纬路站,二緯路駅
传祺,トランプチ
长沙国际金融中心,長沙IFSタワーT1
2011年世界田径锦标赛中国代表团,2011年世界陸上競技選手権大会中国選手団
中华人民共和国在世界田径锦标赛上的成绩,世界陸上競技選手権大会中国選手団
吉祥遍至口和本续,吉祥遍至口和本続
柯士甸道,柯士甸道
香港澳洲國際學校,オーストラリア国際学校（香港）
中澳关系,中豪関係
艾維特航空324號班機空難,アビエント・アビエーション324便離陸失敗事故
一汽轎車,一汽轎車
錦綉花園,錦銹花園
防川村,防川村
方村镇,方村鎮
中國-印尼關係,中国とインドネシアの関係
中日韩自由贸易协定,日中韓自由貿易協定
中华人民共和国与基里巴斯关系,中華人民共和国とキリバスの関係
中國－老撾關係,中国とラオスの関係
中國－立陶宛關係,リトアニアと中国の関係
河东街道,河東街道
中國乒乓球公開賽,中国オープン
广州大剧院,広州大劇院
延安二十里堡机场,延安二十里堡空港
上海交响乐团,上海交響楽団
河东镇,河東鎮
仁慈堂大樓,仁慈堂
辽宁工业大学,遼寧工業大学
满福街道,河東鎮
中国－埃塞俄比亚关系,中華人民共和国とエチオピアの関係
中国－马来西亚关系,中国とマレーシアの関係
中國－尼泊爾關係,中国とネパールの関係
中荷關係,中国とオランダの関係
中国－新西兰关系,中華人民共和国とニュージーランドの関係
中国－尼日利亚关系,中国とナイジェリアの関係
中國－紐埃關係,ニウエと中国の関係
国务院组成部门,国務院組成部門
保安司,マカオ保安庁
稅務局,税務局
密云水库,密雲水庫
摩拉門青峰,モラメンチン
中國南方航空3456號班機空難,中国南方航空3456便墜落事故
中國建築國際,中国建築国際集団
中华老字号,中華老字号
中移铁通有限公司,中国鉄通
中國水務集團,中国水務集団
西华师范大学,西華師範大学
中国青年政治学院,中国青年政治学院
缙云山,縉雲山
金佛山,金仏山
清源山,清源山
武功山,武功山
紇升骨城,五女山城
西岭雪山,西嶺雪山
巴仑台镇,巴侖台鎮
邦达错,邦達錯
白鹿泉乡,白鹿泉郷
白马镇,白馬鎮
白马关,白馬関要塞
若尼峰,ルオニイ
白沙镇 (长沙县),白沙鎮
白沙镇,白沙鎮
白沙沱长江大桥,白沙陀長江大橋
浪卡子镇,ランチャーツ
国家预防腐败局,国家預防腐敗局
动物园站,動物園駅
阿根廷驻华大使馆,在中華人民共和国アルゼンチン大使館
匈牙利驻华大使馆,在中華人民共和国ハンガリー大使館
印度駐華大使館,在中華人民共和国インド大使館
波兰驻华大使馆,在中華人民共和国ポーランド大使館
京通快速路,京通快速道路
中国国家青年足球队,U-20サッカー中華人民共和国代表
中国国家女子少年足球队,U-17サッカー中華人民共和国女子代表
中國－塞浦路斯關係,中国とキプロスの関係
中国－吉布提关系,ジブチと中華人民共和国の関係
金山铁路,金山鉄路
温州医科大学,温州医科大学
中航技进出口有限责任公司,中航技進出口
华侨城集团公司,華僑城集団
庚戌新军起义,庚戌新軍起義
百楼镇,百楼郷
巴地语,パディ語
衡山路,衡山路
塔克敦巴什帕米尔,タグドゥンバシ・パミール
民族饭店,民族飯店
將軍澳中心,将軍澳中心
抵制日货,日本製品不買運動
紙餡包子虛假新聞事件,段ボール肉まん
中华人民共和国金融体制,中国の金融システム
中國足球聯賽系統,中国サッカーのリーグ構成
中国工业化,中国の工業化
中華人民共和國在美國的情報活動,アメリカにおける中国のスパイ活動
青松站,青松駅
趙聿修紀念中學,趙聿修紀念中学
2013年中国大奖赛,2013年中国グランプリ
青年冠軍方程式,フォーミュラ・マスターズ・チャイナ
北京天文馆,北京天文館
香港仔運動場,香港仔運動場
南区足球会,南区足球会
中国中钢集团公司,中国中鋼集団
芳村区,芳村区
芳村站,芳村駅 (広州市)
方集镇 (阜南县),方集鎮
北京地鐵房山線,北京地下鉄房山線
粉嶺／上水新市鎮,粉嶺・上水ニュータウン
粉嶺公立學校,粉嶺公立学校
翻身站,翻身駅
花樣年,花様年
泰山乡,泰山郷
陌南镇,陌南鎮
