Paris,パリ
Saint-Jean-sur-Reyssouze,サン＝ジャン＝シュル＝レスーズ
Corbon,コルボン
Vert-Saint-Denis,ヴェル＝サン＝ドニー
Croissy-Beaubourg,クロワシー＝ボブール
Auverland,オーバーランド (自動車メーカー)
Tour de France 1976,ツール・ド・フランス1976
European Telecommunications Standards Institute,欧州電気通信標準化機構
Chézy-en-Orxois,シェジー＝アン＝オルソワ
Saint-Germain-sur-Renon,サン＝ジェルマン＝シュル＝ルノン
Rignieux-le-Franc,リニュ・ル・フラン
Juvincourt-et-Damary,ジュヴァンクール＝エ＝ダマリー
Pirajoux,ピラジュー
Saint-Jouin-de-Marnes,サン＝ジュアン＝ド＝マルヌ
Syndicat national de l'édition phonographique,全国音楽出版組合
La Tombe,ラ・トンブ
Le Croisic,ル・クロワジック
Levier,レヴィエ
Saint-Jean-les-Deux-Jumeaux,サン＝ジャン＝レ＝ドゥ＝ジュモー
Charmes-sur-l'Herbasse,シャルム＝シュル＝レルバス
cyclisme aux Jeux olympiques d'été de 1924,1924年パリオリンピックの自転車競技
Thomery,トメリ
Saint-Généroux,サン＝ジェネルー
SNCF CC 6500,CC6500形
Simple dames des Internationaux de France 2007,2007年全仏オープン女子シングルス
Luz-Saint-Sauveur,リュス＝サン＝ソヴァール
Tour de France 1981,ツール・ド・フランス1981
Saint-Hilaire-Peyroux,サンティレール＝ペルー
Fourdrain,フルドレン
Montfort-le-Gesnois,モンフォール＝ル＝ジェスノワ
Double dames des Internationaux de France 2011,2011年全仏オープン女子ダブルス
Fontaine-lès-Clercs,フォンテーヌ＝レ＝クレール
Castillon,カスティヨン
Lichères,リシェール
Chéry-lès-Pouilly,シェリー＝レ＝プイィ
Rebais,ルベー
Saint-Georges-sur-Loire,サン＝ジョルジュ＝シュル＝ロワール
Hargicourt,アルギクール
César du meilleur acteur dans un second rôle,セザール賞助演男優賞
César du meilleur court-métrage,セザール短編映画賞
César du meilleur montage,セザール賞編集賞
Saint-Nizier-le-Bouchoux,サン＝ニジエ＝ル＝ブシュー
Pont-de-Vaux,ポン＝ド＝ヴォー
Cofidis,コフィディス
Noisiel,ノワジエル
César des meilleurs décors,セザール美術賞
César du meilleur scénario original ou adaptation,セザール賞脚本賞
César du meilleur son,セザール賞 最優秀録音賞
César des meilleurs costumes,セザール衣裳デザイン賞
César du meilleur film étranger,セザール賞 外国語映画賞
La Capelle,ラ・カペル
César du meilleur acteur,セザール賞主演男優賞
Montpensier,モンパンシエ
Reyrieux,レリュー
Sermoyer,セルモワイエ
Château-Landon,シャトー＝ランドン
Lescheroux,レシェルー
Charly-sur-Marne,シャルリー＝シュル＝マルヌ
1re cérémonie des César,第1回セザール賞
11e cérémonie des César,第11回セザール賞
15e cérémonie des César,第15回セザール賞
35e cérémonie des César,第35回セザール賞
Mouchamps,ムーシャン
Les Gets,レ・ジェ
Chaîne varisque,ヘルシニア造山運動
Sandrans,サンドラン
Maincy,マンシー
Largny-sur-Automne,ラニー＝シュル＝オトンヌ
Thorens-Glières,トラン＝グリエール
Morillon,モリヨン
Saint-Trivier-sur-Moignans,サン＝トリヴィエ＝シュル＝モワナン
Crécy-sur-Serre,クレシー＝シュル＝セール
Montaigu,モンテギュ (ヴァンデ県)
La Mothe-Achard,ラ・モット＝アシャール
Joyeux,ジョワイユ
Rubelles,ルビーエ
Sallanches,セロンシ
Pizay,ピゼ
Torcieu,トルシュー
Jeuxey,ジュセ
Percey-le-Grand,ペルセ＝ル＝グラン
Montracol,モントラコル
Méthode Levallois,ルヴァロワ技法
Groupe des Six,フランス6人組
Montbron,モンブロン
Saint-Georges-de-Didonne,サン＝ジョルジュ＝ド＝ディドンヌ
Les Déserts,レ・デゼール
Sainte-Olive,サント＝オリーブ
Pranzac,プランザック
Malbouhans,マルボワン
Étrépagny,エトレパニー
Priay,プリエ
César de la meilleure adaptation,セザール脚色賞
César du meilleur film documentaire,セザール最優秀ドキュメンタリー賞
Licy-Clignon,リシー＝クリニョン
Servignat,セルヴィニャ
Ronchamp,ロンシャン (オート＝ソーヌ県)
Couvron-et-Aumencourt,クヴロン＝エ＝オマンクール
La Côte-Saint-André,ラ・コート＝サン＝タンドレ
Festival de Cannes 2012,第65回カンヌ国際映画祭
Saint-Hippolyte,サン＝イポリト
Beaurepaire,ボールペール
1er régiment de hussards parachutistes,第1驃騎兵落下傘連隊
Mouthe,ムート
Creuse,クルーズ川
Charmes,シャルム (エーヌ県)
tennis aux Jeux olympiques d'été de 1900,1900年パリオリンピックのテニス競技
Lacaune,ラコーヌ
Chasseneuil-du-Poitou,シャスヌイユ＝デュ＝ポワトゥー
Leury,ルリー
Blesmes,ブレム
Bruyères-sur-Fère,ブリュイエール＝シュル＝フェール
championnat de France de football National,フランス全国選手権
Authon-du-Perche,オトン＝デュ＝ペルシュ
Fontaine-lès-Vervins,フォンテーヌ＝レ＝ヴェルヴェン
La Bouteille,ラ・ブテイユ
Caussols,コソル
Brancourt-en-Laonnois,ブランクール＝アン＝ラノワ
Bure-les-Templiers,ビュル＝レ＝タンプリエ
Ancienville,アンシアンヴィル
Jouaignes,ジュエーニュ
Rumilly,リミュリー
Foreste,フォレスト
Brie,ブリー
Saint-Martin-de-Ré,サン＝マルタン＝ド＝レ
Couhé,クエ
Andon,アンドン
Aubigny-en-Laonnois,オービニー＝アン＝ラオノワ
Barzy-sur-Marne,バルジー＝シュル＝マルヌ
Bouconville-Vauclair,ブコンヴィル＝ヴォクレール
Breny,ブレニー
Internationaux de France de tennis 2003,2003年全仏オープン
Simple dames des Internationaux de France 2010,2010年全仏オープン女子シングルス
Parti de gauche,左翼党
Archon,アルション
Tossiat,トシア
Le Film d'art,フィルム・ダール
stade Gilbert-Brutus,スタッド・ジルベール・ブルテュー
Lerzy,レルジー
Dzaoudzi,ザウジ
Frans,フラン
Hartennes-et-Taux,アルテンヌ＝エ＝トー
Bouresches,ブレッシュ
Coaraze,コアラーズ
Paris-Roubaix 1966,パリ〜ルーベ1966
Serrières-sur-Ain,セリエール＝シュル＝アン
Valeins,ヴァルアン
Esclauzels,エスクロゼル
Grand Prix moto de France 2007,2007年のフランスグランプリ
Laniscourt,ラニスクール
Leuilly-sous-Coucy,ルイー＝スー＝クシー
Wy-dit-Joli-Village,ウィ＝ディ＝ジョリ＝ヴィラージュ
Simple messieurs des Internationaux de France 2002,2002年全仏オープン男子シングルス
Marlieux,マルリユー
Barisis-aux-Bois,バリシ＝オー＝ボワ
Sainte-Euphémie,サント＝エウフェミ
Stenay,ストゥネ
Saint-André-de-Corcy,サン＝タンドレ＝ド＝コルシー
Landouzy-la-Cour,ランドゥジー＝ラ＝クール
Saint-André-d'Huiriat,サン＝タンドレ＝デュイリア
Bichancourt,ビシャンクール
Les Échos,レ・ゼコー
La Villedieu-en-Fontenette,ラ・ヴィルデュー＝アン＝フォントネット
Beuvardes,ブーヴァルド
Levergies,ルヴェルジー
Fougerolles,フジュロル
La Madeleine,ラ・マドレーヌ
Sulignat,シュリニャ
Montpellier Handball,モンペリエ・ハンドボール
Cormeilles-en-Parisis,コルメイユ＝ザン＝パリジ
Vigneux-sur-Seine,ヴィニュー＝シュル＝セーヌ
Lesquielles-Saint-Germain,レスキエル＝サン＝ジェルマン
Saint-Martin-du-Mont,サン＝マルタン＝デュ＝モン
Bray-Saint-Christophe,ブレー＝サン＝クリストフ
Jeantes,ジャント
Euronext,ユーロネクスト
Saint-Calais,サン＝カレ
La Hérie,ラ・エリ
Bruyères-et-Montbérault,ブリュイエール＝エ＝モンベロー
Besmé,ベメ
Mons-en-Barœul,モン＝ザン＝バルール
Housset,ウセ
Flaxieu,フラキュー
Lempire,ランピール
Laval-en-Laonnois,ラヴァル＝アン＝ラオノワ
Laffaux,ラフォー
Brochant,ブロシャン駅
Verrières-de-Joux,ヴェリエール・ド・ジュー
Guémené-Penfao,ゲムネ＝パンフォ
Tour de France 1972,ツール・ド・フランス1972
Bagneux,バニュー
Fonsomme,フォンソム
Saint-Didier-de-Formans,サン＝ディディエ＝ド＝フォルマン
Bancigny,バンシニー
Happencourt,アパンクール
Lhuys,リュイ
Replonges,ルプロンジュ
duché de Normandie,ノルマンディー公国
Tour de France 1971,ツール・ド・フランス1971
Tour de France 1970,ツール・ド・フランス1970
Bézu-le-Guéry,ベズー＝ル＝ゲリー
Francilly-Selency,フランシリー・セランシー
République solidaire,共和国連帯
Lougres,ルーグレ
Jumencourt,ジュマンクール
Double messieurs des Internationaux de France 2011,2011年全仏オープン男子ダブルス
Itancourt,イタンクール
Haramont,アラモン
Maripasoula,マリパスラ
La tâche,ラ・ターシュ
stade Henri-Jooris,スタッド・ヴィクトル・ブケイ
Prompsat,プロンプサ
Haution,オーシオン
Brissy-Hamégicourt,ブリッシー＝アメジクール
Réserve de biosphère transfrontière des Vosges du Nord-Pfälzerwald,北ヴォージュ・プフェルツァーヴァルト生物圏保護区
Allemant,アルマン
Ligue des patriotes,愛国者同盟
Bieuxy,ビュクシー
Étaules,エトール
Vilaine,ヴィレーヌ川
Double mixte des Internationaux de France 2009,2009年全仏オープン混合ダブルス
Tour du Haut-Var 2002,ツール・デュ・オー・ヴァル2002
Juvigny,ジュヴィニー
Caisse des Dépôts et Consignations,預金供託金庫
Lasson,ラッソン
Saint-Étienne-du-Bois,サン＝テティエンヌ＝デュ＝ボワ
Liesse-Notre-Dame,リエス＝ノートル＝ダム
forêt de Paimpont,ブロセリアンドの森
Internationaux de France de tennis 2000,2000年全仏オープン
Simple messieurs des Internationaux de France 2006,2006年全仏オープン男子シングルス
Internationaux de France de tennis 1981,1981年全仏オープン
Internationaux de France de tennis 1985,1985年全仏オープン
Internationaux de France de tennis 1976,1976年全仏オープン
Internationaux de France de tennis 1991,1991年全仏オープン
luge aux Jeux olympiques de 1992,1992年アルベールビルオリンピックのリュージュ競技
Goudelancourt-lès-Pierrepont,グドランクール＝レ＝ピエルポン
Internationaux de France de tennis 1982,1982年全仏オープン
Internationaux de France de tennis 1984,1984年全仏オープン
Internationaux de France de tennis 1999,1999年全仏オープン
Seyne,セーヌ
Le Charmel,ラ・シャルメル
Holnon,オルノン
Marigny,マリニー
peintre officiel de la Marine,フランス国防省海軍公認画家(フランスwiki)
Banque populaire,バンク・ポピュレール
Canapville,カナップヴィル
La Chapelle-sur-Chézy,ラ・シャペル＝シュル＝シェジー
Neuville-sur-Ain,ヌーヴィル＝シュル＝アン
Internationaux de France de tennis 1986,1986年全仏オープン
Raiatea,ライアテア島
grande école,グランゼコール
Mézériat,メゼリア
Bergues-sur-Sambre,ベルグ＝シュル＝サンブル
Le Plantay,ル・プランテ
Harcigny,アルシニー
musée de l'Œuvre Notre-Dame,ルーヴル・ノートルダム美術館
Les Autels,レ・ゾテル
Genouilleux,ジュヌイユー
Dhuizel,デュイゼル
Foissiat,フォワシア
Craonnelle,クラオネル
Courmont,クールモン
moulin de la Galette,ムーラン・ド・ラ・ギャレット
Mouvement Région Savoie,サヴォワ地域運動
mont Beuvray,モン・ボーヴレ
Trenitalia France,テッロ
sommet du G7 1982,第8回先進国首脳会議
SNCF B 81500,B81500電車
Festival de Cannes 1953,第6回カンヌ国際映画祭
Festival de Cannes 1947,第2回カンヌ国際映画祭
Connigis,コニジ
Parcieux,パルシュー
Courmelles,クールメル
Haute randonnée pyrénéenne,ピレネー高地遊歩道
Monestier,モネスティエ
Portrait du Dr Gachet avec branche de digitale,医師ガシェの肖像
Condé-sur-Suippe,コンデ＝シュル＝スィップ
Dolignon,ドリニョン
Danizy,ダニジー
Chaillevois,シャユヴォワ
Clairfontaine,クレールフォンテーヌ
Internationaux de France de tennis 1988,1988年全仏オープン
pont transbordeur de Rochefort,ロシュフォール運搬橋
Joze,ジョズ
Gibercourt,ジベルクール
Chierry,シェリー
Chermizy-Ailles,シェルミジー＝アイユ
Tournoi de tennis de Strasbourg (WTA 2012),2012年ストラスブール国際
Simple dames des Internationaux de France 1980,1980年全仏オープン女子シングルス
Dagny-Lambercy,ダニー＝ランベルシー
Internationaux de France de tennis 1990,1990年全仏オープン
Tour d'Italie 1998,ジロ・デ・イタリア 1998
Saint-Genis-sur-Menthon,サン＝ジュニ＝シュル＝モントン
Fossoy,フォッソワ
Drom,ドローム
Bucilly,ブシリー
Cuiry-lès-Iviers,クイリー＝レ＝ジヴィエ
Chevennes,シェベンヌ
Boué,ブエ
Grande roue de Paris,ラ・グラン・ルー
Essigny-le-Petit,エシニー＝ル＝パティ
Dohis,ドイ
Chivy-lès-Étouvelles,シビー＝レ＝ゼトゥーベル
Simple dames des Internationaux de France 1990,1990年全仏オープン女子シングルス
Festival de Cannes 1973,第26回カンヌ国際映画祭
Festival de Cannes 1952,第5回カンヌ国際映画祭
Chézy,シェジー
Alaincourt,ランクール
Besson,ベッソン
Beautor,ボートール
Riec-sur-Bélon,リエック＝シュル＝ベロン
Versailleux,ヴェルサイユー
Chaudun,ショーダン
Touquin,トゥカン
Crouy,クルイ
Barneville-la-Bertran,バルヌヴィル＝ラ＝ベルトラン
Brissay-Choigny,ブリッセー＝ショワニー
abbaye de Cîteaux,シトー修道院
Dampleux,ダンプリュー
Dallon,ダロン
bataille de l'Artois,第三次アルトワ会戦
Étaves-et-Bocquiaux,エタブ＝エ＝ボクォー
Pin,ピン
Chivres-en-Laonnois,シブール＝アン＝ラオノワ
Cilly,シリー
Essigny-le-Grand,エシニー＝ル＝グラン
Cys-la-Commune,シス＝ラ＝コミューン
Bretagne,ブルターニュ
Crécy-au-Mont,クレシー＝オー＝モン
Ceinture alpine,アルプス・ヒマラヤ造山帯
Courcelles-sur-Vesle,クールセル＝シュル＝ヴェル
Cuffies,クッフィー
R101,R101
Dorengt,ドラン
Châtillon-sur-Oise,シャティヨン＝シュル＝オワーズ
Cuiry-lès-Chaudardes,クイリー＝レ＝ショーダルド
Paris Saint-Germain Handball,パリ・サンジェルマン・ハンドボール
Le Boudin,ル・ブーダン
Cuiry-Housse,クイリー＝ウス
Chevresis-Monceau,シェブレシ＝モンソー
Courtrizy-et-Fussigny,クルトリジー＝エ＝フュシニー
université Montpellier-II,モンテペルリエ第2大学
Oiron,オワロン
Châtillon-lès-Sons,シャティヨン＝レ＝ソン
Crouttes-sur-Marne,クルット＝シュル＝マルヌ
finale de la Coupe UEFA 1995-1996,UEFAカップ 1995-96 決勝
Étampes-sur-Marne,エタンプ＝シュル＝マルヌ
Sevenans,セヴナン
Clermont-les-Fermes,クレルモン＝レ＝フェルム
La Colle-sur-Loup,ラ・コル＝シュル＝ルー
Tahaa,タハア島
cathédrale Saint-Étienne de Cahors,カオール大聖堂
Tour de France 1957,ツール・ド・フランス1957
Politique étrangère de la France,政治的
Chacrise,シャクリーズ
Montdragon,モンドラゴン
Monestiés,モネスティエ
Condren,コンドラン
Étrépilly,エトレピー
Saint-Martin-du-Var,サン＝マルタン＝デュ＝ヴァール
Tour de France 1949,ツール・ド・フランス1949
Cuisy-en-Almont,キュイジー＝アン＝アルモン
Braye,ブレー川
Chézy-sur-Marne,シェジー＝シュル＝マルヌ
Plougrescant,プルグレスカン
lycée Condorcet,リセ・コンドルセ
Domptin,ドンタン
Tour de France 1964,ツール・ド・フランス1964
Chartèves,シャルテーブ
Festival de Cannes 1974,第27回カンヌ国際映画祭
Neuvelle-lès-la-Charité,ヌヴェル＝レ＝ラ＝シャリテ
Grand Prix de la montagne du Tour de France,マイヨ・ブラン・ア・ポワ・ルージュ
Clacy-et-Thierret,クラシー＝エ＝ティエレ
Diors,ディオール
finale de la Ligue des champions de l'UEFA 1999-2000,UEFAチャンピオンズリーグ 1999-20000 決勝
Buire,ビュイル
Tour de France 1933,ツール・ド・フランス1933
Paris-Nice 2011,パリ〜ニース2011
Celles-sur-Aisne,セル＝シュル＝エーヌ
Cerny-en-Laonnois,セルニー＝アン＝ラオノワ
Lignéville,リーニュヴィル
Le Mesnil-Herman,ル・メニル＝エルマン
Fontenelle,フォンテネル
Journal des savants,ジュルナル・デ・サバン
Chavonne,シャヴォン
Norolles,ノロル
Vignoble du Sud-Ouest,フランス南西部のワイン
Mogneneins,モネナン
Commes,コム (カルヴァドス県)
Vésines,ヴェジーヌ
Céreste-en-Luberon,セレスト
Clamecy,クラムシー
combiné nordique aux Jeux olympiques de 1992,1992年アルベールビルオリンピックのノルディック複合競技
Valrhona,ヴァローナ
Colligis-Crandelain,コリジ＝クランドラン
Thoissey,トワッセ
Cerizy,セリジー
Saint-Étienne-sur-Reyssouze,サン＝テティエンヌ＝シュル＝レスーズ
championnats du monde de patinage artistique 1971,1971年世界フィギュアスケート選手権
Marie,マリー
Saint-Étienne-de-Boulogne,サン＝テティエンヌ＝ド＝ブローニュ
circuit Bugatti,ブガッティ・サーキット
Houlgate,ブゼナル
DAMS,DAMS
Saint-Cyr-sur-Menthon,サン＝シル＝シュル＝モントン
lac de Saint-Ferréol,サン・フェレオール貯水池
Vescours,ヴェスクール
tennis aux Jeux olympiques d'été de 1924,1924年パリオリンピックのテニス競技
Séez,セー (サヴォワ県)
Petit-Croix,プティ＝クロワ
Championnat de France masculin de volley-ball,フランス・バレーボールリーグ
Internationaux de France de tennis 2004,2004年全仏オープン
Épinay-sur-Odon,エピネ＝シュル＝オドン
université Montpellier-I,モンペリエ第1大学
Saint-Basile,サン＝バジール
pic de Saint-Barthélemy,サン・バルテルミー山
Bayard Presse,バヤール・プレス
natation aux Jeux olympiques d'été de 1924,1924年パリオリンピックの競泳競技
escrime aux Jeux olympiques d'été de 1900,1900年パリオリンピックのフェンシング競技
Dampierre,ダンピエール
Festival de Cannes 1992,第45回カンヌ国際映画祭
boxe aux Jeux olympiques d'été de 1924,1924年パリオリンピックのボクシング競技
Eutelsat,ユーテルサット
Amiens SC,アミアンSC
Lanvin,ランバン
Saint-Louet-sur-Seulles,サン＝ルエット＝シュル＝ソル
Cerny-lès-Bucy,セルニー＝レ＝ブシー
Caillouël-Crépigny,カイユエル＝クレピニー
Paris-Roubaix 1953,パリ〜ルーベ1953
Saint-Dalmas-le-Selvage,サン・ダルマス・ル・セルバージ
bataille de Château-Thierry,シャトー＝ティエリの戦い (1814年)
Grand Paris Express,グラン・パリ・エクスプレス
Paris-Roubaix 2011,パリ〜ルーベ2011
Le Kremlin-Bicêtre,ル・クレムラン＝ビセートル駅
prix Goncourt des lycéens,高校生のゴンクール賞
Femmes de Tahiti,タヒチの女たち
chambre de commerce internationale,国際商業会議所
îles Australes,オーストラル諸島
Esson,エッソン
Internationaux de France de tennis 1998,1998年全仏オープン
Boucheron,ブシュロン
Falicon,ファリコン
Matra Sports,マトラ
Hermès,エルメス
Douchy,ドゥシー
base aérienne 102 Dijon-Longvic,ディジョン＝ロングヴィック空軍基地
En avant Guingamp,EAギャンガン
Confrançon,コンフランソン
FC Rouen,FCルーアン
Andelain,アンドラン
Chalandry,シャランドリー
Sainte-Marguerite-des-Loges,サント＝マルグリット＝デ＝ロッジュ
Vezet,ヴゼ
Bussiares,ブジャール
Druillat,ドリュイヤ
Pomerol,ポムロール
Le Mesnil-au-Grain,ル・メニル＝オー＝グラン
élection présidentielle française de 1981,1981年フランス大統領選挙
Cleyzieu,クレイジュー
Corveissiat,コルヴェシア
Peyrieu,ペリュー
Rossillon,ルシヨン
Cruzilles-lès-Mépillat,クルジル＝レ＝メピヤ
Saint-Maximin-la-Sainte-Baume,サン＝マクシマン＝ラ＝サント＝ボーム
Chivres-Val,シブール＝バル
Courmangoux,クルマングー
Étréaupont,エトレオポン
troupes coloniales françaises,フランス植民地軍
Cutry,クトリー
Prades,プラード
Maisoncelles-sur-Ajon,メゾンセル＝シュル＝アジョン
Chaudardes,ショーダルド
Kering,ケリング
circuit Paul-Armagnac,ノガロ・サーキット
observatoire de Besançon,ブザンソン天文台
Saint-Omer,サントメール
Notre-Dame-de-Livaye,ノートル＝ダム＝ド＝リヴァイユ
Chéry-Chartreuve,シェリー＝シャルトルーブ
Bucy-lès-Pierrepont,ブシー＝レ＝ピエールポン
Martigny,マルティニー
Longvillers,ロンヴィレール
Celles-lès-Condé,セル＝レ＝コンド
Manerbe,マネルブ
Seloncourt,セロンクール
Charly,シャルリー
Saint-Martin-aux-Chartrains,サン＝マルタン＝オ＝シャルトラン
Banos,バノス
Contescourt,コンテスクール
Cugny,クニー
grand prix de la critique,ACBD批評グランプリ
Landes-sur-Ajon,ランド＝シュル＝アジョン
Étouvelles,エトゥヴェル
Cabardès,カバルデス
Croix-Fonsomme,クロワ＝フォンソーム
Étreillers,エトレイエ
Saint-Avertin,サン＝タヴェルタン
Ciron,シロン川
Chérêt,シェレ
Deuillet,ドゥイエ
Orge,オルジュ川
Fierville-Bray,フィエヴィル＝ブレイ
Monestier,モネスティエ
musée national de l'Automobile,ミュルーズ国立自動車博物館
Poule de Bresse,ブレス鶏
Bernot,ベルノ
Caulaincourt,コーレンクール
Dommiers,ドミエ
Bonneil,ボネイ
Billy-sur-Ourcq,ビリー＝シュル＝オルク
Nuku-Hiva,ヌクヒバ
bataille de Castillon,カスティヨンの戦い
Monteille,モンテイユ
Dravegny,ドラヴニー
théâtre de la Gaîté,ゲイテ劇場
Bidart,ビダルテ
Sainte-Marie,サント＝マリー (ドゥー県)
Beugneux,ブニュー
Boncourt,ボンクール (エーヌ県)
Simple dames des Internationaux de France 1998,1998年全仏オープン女子シングルス
Voujeaucourt,ヴォージョクール
TiJi,ティジ
Désandans,デザンダン
Semondans,セモンダン
Essarois,エサロワ
Lois scélérates,極悪法
Saint-Agnan-le-Malherbe,サン＝タニャン＝ル＝マレルブ
Cuirieux,クィリュー
Union générale des israélites de France,在仏ユダヤ人総連合
prix Lumières du meilleur acteur,リュミエール男優賞
Les Sybelles,シベル
Autremencourt,オトゥルモンクール
Lehaucourt,レオクール
Chaourse,シャウルス
saut à ski aux Jeux olympiques de 1924,1924年シャモニー・モンブランオリンピックのスキージャンプ競技
Coyolles,コワイヨル
Azy-sur-Marne,アジー＝シュル＝マルヌ
Saint-Ouen-du-Mesnil-Oger,サン＝トゥーアン＝デュ＝メニル＝オジェ
CC 92000,イギリス国鉄クラス92電気機関車
Laigny,レニー
Issarbe,イザルブ
Cahus,キャユ
Berthenicourt,ベルテニクール
boulevard périphérique de Paris,ペリフェリック
Bosmont-sur-Serre,ボモン＝シュル＝セール
Brasles,ブラル
grand prix du Festival de Cannes,カンヌ国際映画祭 審査員特別グランプリ
Le Cailar,ル・カイヤール
Tour de France 1922,ツール・ド・フランス1922
Tour de France 1951,ツール・ド・フランス1951
Tour de France 1950,ツール・ド・フランス1950
Hautevesnes,オートヴェン
Var,ヴァール川 (フランス)
Laissey,レセ
escrime aux Jeux olympiques d'été de 1924,1924年パリオリンピックのフェンシング競技
Fluquières,フルキエール
Franqueville,フランクヴィル
Fresnes-en-Tardenois,フレネ＝アン＝タルドノワ
Hinacourt,イナクール
Fieulaine,フィウレン
Tour de France 1911,ツール・ド・フランス1911
Tour de France 1913,ツール・ド・フランス1913
Flavigny-le-Grand-et-Beaurain,フラヴィニー＝ル＝グラン＝エ＝ボーレン
Landifay-et-Bertaignemont,ランディフェ＝エ＝ベルテーニュモン
Lesdins,レデン
Jujurieux,ジュジュリュー
Montsec,モンセック
Vernoux,ヴェルヌー
Lesges,レジュ
Festival de Cannes 1998,第51回カンヌ国際映画祭
Le Montellier,ル・モンテリエ
Fontaine-Uterte,フォンテーヌ＝ユテール
luge aux Jeux olympiques de 1968,1968年グルノーブルオリンピックのリュージュ競技
Longevelle-sur-Doubs,ロンジェヴェーレ＝スール＝ドゥー
Leschelle,レシェル
Gouhenans,グウナン
Villars-sous-Écot,ヴィラール＝スー＝エコ
Paris Plages,パリ・プラージュ
Fontaine-Notre-Dame,フォンテーヌ＝ノートル＝ダム
Fresnes-sous-Coucy,フレネ＝スー＝クシー
Ligue nationale de rugby,リーグ・ナシオナル・ド・リュグビー
Lanchy,ランシー
Héricourt,エリクール
Homblières,オンブリエール
Noé,ノエ
Pointe du Lac,ポワント・デュ・ラック駅
Matra Simca MS670,マトラ・MS670
Petit-Bourg,プティ＝ブール
Saint-Aubin-sur-Mer,サントーバン＝シュル＝メール
Le Vieux-Marché,ル・ヴュー=マルシェ
Beuchat International,ブッシャー・インターナショナル
Brenelle,ブレネル
Vaux-sur-Somme,ヴォー＝シュル＝ソンム
Le Moule,ル＝ムル
Biache-Saint-Vaast,ビアシュサンヴァースト
Biron,ビロン
Opio,オピオ
Ergué-Gabéric,エルゲ＝ガベリック
Coatréven,コアトレヴァン
Isle,イール川
Périgord,ペリゴール
Beure,ブール
Malicorne,マリコルヌ
Blanzy-lès-Fismes,ブランジー＝レ＝フィム
Bois-lès-Pargny,ボワ＝レ＝パルニー
La Rotonde,ラ・ロトンド
Aulnois-sous-Laon,オルノワ＝ス＝ラオン
château de Billy,ビリー城
Administration municipale en Inde française,フランス領インドの行政区画
Berlise,ベルリズ
Commissariat à l'énergie atomique et aux énergies alternatives,原子力・代替エネルギー庁
Erquy,エルキ
bataille de Vouillé,ヴイエの戦い
Beuvron,ブーヴロン
Barzy-en-Thiérache,バルジー＝アン＝ティエラシュ
Berles-au-Bois,ベルル＝オ＝ボワ
pont de Recouvrance,ルクヴランス橋
Bézu-Saint-Germain,ベズー＝セン＝ジェルメン
Coupe d'Océanie de football 2000,OFCネイションズカップ2000
musée d'art moderne et d'art contemporain de Nice,ニース近現代美術館
Suisse normande,スイス・ノルマン
Corvisart,コルヴィサルト駅
parc de Belleville,ベルヴィル公園
Service de la protection,警衛部
Bertricourt,ベルトリクール
Billy-sur-Aisne,ビリー＝シュル＝エーヌ
porte Saint-Martin,サン・マルタン門
Fraispertuis-City,フレペルチュイ・シティ
palais Bourbon,ブルボン宮殿
Double mixte des Internationaux de France 2012,2012年全仏オープン混合ダブルス
Double messieurs des Internationaux de France 2012,2012年全仏オープン男子ダブルス
Potez,ポテ
Fresnoy-le-Grand,フレノワ＝ル＝グラン
Précy,プレシー
Valdahon,ヴァルダオン
circuit d'Albi,アルビ・サーキット
Chaussée d'Antin - La Fayette,ショセ・ダンタン＝ラ・ファイエット駅
Provence Rugby,ペイ・デクスRC
Armor Lux,Armorlux
chemin de Fer du Mont-Cenis,モン・スニ鉄道
Rhodia,ローディア
Maisons-du-Bois-Lièvremont,メゾン・デュ・ボワ・リェブレモン
Double dames des Internationaux de France 2012,2012年全仏オープン女子ダブルス
Tour de France 1921,ツール・ド・フランス1921
Fuissé,フュイッセ
Margival,マルジバル
Rive gauche,リヴ・ゴーシュ
Harris Interactive,ハリス・インタラクティブ
Isle,イル (オート＝ヴィエンヌ県)
Louâtre,ルアトル
Saint-André-le-Bouchoux,サン＝タンドレ＝ル＝ブシュー
Hiva-Oa,ヒバオア島
Galaxie,ギャラクシー・アンネヴィル
Leyssard,レイサール
Rouvray-Sainte-Croix,ルヴレ
Andrest,アンドレスト
Standard Athletic Club,スタンダードAC
Saint-Sulpice,サン＝シュルピス
Paris-Roubaix 2012,パリ〜ルーベ2012
Saint-Jean-sur-Veyle,サン＝ジャン＝シュル＝ヴェル
Montjoie-le-Château,モンジョワ＝ル＝シャトー
château d'Ermenonville,エルムノンビル城
Energy Cities,エネルギー・シティーズ
château de Vizille,ヴィジーユに自らが所有する城館
Prix Lumières du meilleur film,リュミエール賞 作品賞
Seillonnaz,セイヨナ
Mandriva,Mandriva
Les Centristes,中道党
Communautés de l'Arche,ラルシュ共同体
Macouria,マッコーリア
Saint-Marcel,サン＝マルセル
Montreuil-aux-Lions,モントルイユ＝オー＝リオン
Mareuil-en-Dôle,マルユ＝アン＝ドール
Saint-Nizier-le-Désert,サン＝ニジエ＝ル＝デゼール
Ville-du-Pont,ヴィーユ・デュ・ポン
Béthancourt-en-Vaux,ベタンクール＝アン＝ヴォー
Montandon,モンタンドン
Angers-Saint-Laud,アンジェ・サン＝ロー方面
