Figueras,피게레스
Ciudades y Gobiernos Locales Unidos,세계지방정부연합
Copa Intercontinental 2002,2002년 인터콘티넨털컵
Segunda División de España 2012-13,세군다 디비시온 2012-13
Escuela Técnica Superior de Arquitectura de Barcelona,바르셀로나 건축학교
Estación de Ópera,오페라역
Fuente de Cibeles,시벨레스 분수
Bando sublevado,국민파
Ruta europea E801,유럽 고속도로 801호선
Jamón de España,하몬
Museo de Bellas Artes de Sevilla,세비야 미술관
Calçot,칼소트
Botillo,보텔루
Copa de campeones de Ferias,인터시티스 페어스컵 트로피 플레이오프
Vuelo 11 de Avianca,아비앙카 항공 011편 추락 사고
Isla de Ons,온스섬
Iglesia de Santo Tomé (Toledo),산토 토메 교회
Ñora,뇨라고추
División de Honor de béisbol,스페인 디비젼 데 호너
Estadio de Atocha,에스타디오 데 아토차
Anexo:Distritos de Madrid,마드리드의 구
Costa Dorada (España),도라다 해안
Elecciones generales de España de 1936,1936년 스페인 총선거
Estación de Alcorcón,알코르콘 센트랄역
Universidad Abierta de Cataluña,카탈루냐 오베르타 대학교
Serie 112 de Renfe,렌페 112급
Estación de Ventilla,벤티야역
Organización territorial de España,스페인의 행정 구역
Selección femenina de fútbol sub-17 de España,스페인 여자 U-17 축구 국가대표팀
Meridiano cero,본초 자오선
Telediario,텔레디아리오
Partido Carlista (1971),카를로스당 (1971년)
Rayo Vallecano de Madrid (femenino),라요 바예카노 페메니노
Estación de Alsacia,알사시아역
Estación de Avenida de Europa,아베니다 데 에우로파역
Estación de Antonio Saura,안토니오 사우라역
Estación de Bélgica,벨히카역
Estación de Berna (Metro Ligero de Madrid),베르나역
Estación de Baunatal,바우나탈역
Estación de Blasco Ibáñez,블라스코 이바녜스역
Estación de Somosaguas Centro,소모사과스 센트로역
Estación de Somosaguas Sur,소모사과스 수르역
Pichela,탱커드
Estación de Aravaca,아라바카역
Estación de Campus de Somosaguas,캄푸스 데 소모사과스역
Estación de Colonia de los Ángeles,콜로니아 데 로스 앙헬레스역
Estación de Pozuelo Oeste,포수엘로 오에스테역
Estación de Prado del Rey,프라도 델 레이역
Anexo:Uniforme del Real Madrid Club de Fútbol,레알 마드리드 CF 유니폼 역사
Estación de Chueca,추에카역
Estación de Ciudad de la Imagen,시우다드 데 라 이마헨역
Estación de Ciudad del Cine,시우다드 델 시네역
Copa Presidente FEF de 1941-47,코파 프레시덴테 FEF
Estación de Cocheras (Metro Ligero de Madrid),코체라스역
Copa del Rey de fútbol 1976-77,코파 델 레이 1976-77
Copa del Generalísimo de fútbol 1971-72,코파 델 헤네랄리시모 1971-72
Copa del Generalísimo de fútbol 1963-64,코파 델 헤네랄리시모 1963-64
Copa del Generalísimo de fútbol 1969-70,코파 델 헤네랄리시모 1969-70
Copa del Generalísimo de fútbol 1970-71,코파 델 헤네랄리시모 1970-71
Copa del Generalísimo de fútbol 1974-75,코파 델 헤네랄리시모 1974-75
Copa del Generalísimo de fútbol 1973-74,코파 델 헤네랄리시모 1973-74
Copa del Generalísimo de fútbol 1964-65,코파 델 헤네랄리시모 1964-65
Copa del Generalísimo de fútbol 1962-63,코파 델 헤네랄리시모 1962-63
Copa del Generalísimo de fútbol 1948-49,코파 델 헤네랄리시모 1948-49
Estación de Delicias (Metro de Madrid),델리시아스역
Copa del Rey de fútbol 1977-78,코파 델 레이 1977-78
Copa del Rey de fútbol 1978-79,코파 델 레이 1978-79
Copa del Rey de fútbol 1987-88,코파 델 레이 1987-88
Copa de la Liga de Primera División 1985,코파 데 라 리가 1985
Copa del Rey de fútbol 1984-85,코파 델 레이 1984-85
Copa de la Liga de Primera División 1984,코파 데 라 리가 1984
Copa de la Liga de Primera División 1983,코파 데 라 리가 1983
Estación de Puerta de Boadilla,푸에르타 데 보아디야역
Estación de Prado del Espino,프라도 델 에스피노역
Estación de Montepríncipe,몬테프린시페역
Estación de Cantabria,칸타브리아역
Estación de Ventorro del Cano,벤토로 델 카노역
Estación de Retamares,레타마레스역
Estación de Nuevo Mundo,누에보 문도역
Estación de Boadilla Centro,보아디야 센트로역
Estación de Siglo XXI,시글로 XXI역
Estación de Infante Don Luis,인판테 돈 루이스역
Estación de Ferial de Boadilla,페리알 델 보아디야역
Estación de José Isbert,호세 이스베르트역
Anexo:Edificios más altos de España,스페인의 마천루 목록
Estación de Prado de la Vega,프라도 데 라 베가역
Sociedad anónima deportiva,스포츠 공개 유한 법인
Levante Unión Deportiva (femenino),레반테 UD 페메니노
Segunda División de España 1987-88,세군다 디비시온 1987-88
Bizcaya,클루브 비스카야
Estadio Municipal de Ipurúa,에스타디오 무니시팔 데 이푸루아
Stradivarius (Inditex),스트라디바리우스 (브랜드)
Acueducto de los Milagros,밀라그로스 수도교
Grandeza de España,스페인의 대귀족
Palacio de Buenavista (Madrid),부에나비스타궁 (마드리드)
Estación de Palas de Rey,팔라스 데 레이역
Plaza de toros de Vista Alegre (Bilbao),비스타 알레그레 투우장
Estación de Hospital del Henares,오스피탈 델 에나레스역
Reino de Trinacria,트리나크리아 왕국
Zarangollo,사랑고요
Estación de Ronda de la Comunicación,론다 데 라 코무니카시온역
Final de la Copa del Rey de fútbol 1976-77,1977 코파 델 레이 결승전
Anexo:Gran Premio de España de 2013,2013년 스페인 그랑프리
Ermita de la Virgen del Puerto (Madrid),비르헨델푸에르토 교회
Supercopa de España de Fútbol 1992,수페르코파 데 에스파냐 1992
Supercopa de España de Fútbol 1991,수페르코파 데 에스파냐 1991
Supercopa de España de Fútbol 1993,수페르코파 데 에스파냐 1993
Supercopa de España de Fútbol 2005,수페르코파 데 에스파냐 2005
Supercopa de España de Fútbol 1994,수페르코파 데 에스파냐 1994
Supercopa de España de Fútbol 2004,수페르코파 데 에스파냐 2004
Supercopa de España de Fútbol 2001,수페르코파 데 에스파냐 2001
Supercopa de España de Fútbol 1996,수페르코파 데 에스파냐 1996
Estación de Álvarez de Villaamil,알바레스 데 비야밀역
Circo de los Muchachos,벤포스타
Selección de fútbol de Menorca,메노르카 축구 국가대표팀
Coalición de la guerra del Golfo,걸프 전쟁의 다국적 연합군
Ouigo,OUIGO
Talgo AVRIL,탈고 아브릴
Estación de La Almudena,라 알무데나역
Estación de La Gavia,라 가비아역
Estación de La Fortuna,라 포르투나역
Estación de Virgen del Cortijo,비르헨 델 코르티호역
Carros de combate del Ejército de Tierra español,스페인의 전차
Final de la Copa del Rey de fútbol 2008-09,2009 코파 델 레이 결승전
Estación de Las Rosas,라스 로사스역
Estación de Las Suertes,라스 수에르테스역
Línea 2 (Metro Ligero de Madrid),마드리드 경전철 2호선
Línea 3 (Metro Ligero de Madrid),마드리드 경전철 3호선
Estación de Manoteras,마노테라스역
Casino Internacional Tibidabo,카지노 인터내셔널 티비다보
Final de la Copa del Rey de fútbol 2001-02,2002 코파 델 레이 결승전
Final de la Copa del Rey de fútbol 2009-10,2010 코파 델 레이 결승전
Final de la Copa del Rey de fútbol 2004-05,2005 코파 델 레이 결승전
Estación de Marqués de la Valdavia,마르케스 데 라 발다비아역
Estación de María Tudor,마리아 투도르역
Trashumancia,이목 (목축)
Estación de Mirasierra,미라시에라역
Liga Nacional de Fútbol Profesional,스페인 프로축구연맹
Centro Cultural Coreano en España,주스페인 한국문화원
Club Ciclista de San Sebastián,클루브 시클리스타 데 산세바스티안
Antena 3 Noticias,안테나 3 노티시아스
Estadio de Nervión,에스타디오 데 네르비온
Gastronomía de Aragón,아라곤 요리
Club Atlético de Madrid (femenino),아틀레티코 마드리드 페메니노
Museo Nacional de Artes Decorativas,국립 장식미술관 (마드리드)
Cumbre Ibérica,이베리아 정상회담
Palacio de Villahermosa (Madrid),비야에르모사궁
IGBM,마드리드 표준 주가 지수
Cerámica almagra,적황토기 문화
Potaje,포타주
Fútbol base del Real Madrid Club de Fútbol,라 파브리카
Copa Eva Duarte 1946-47,코파 에바 두아르테 1947
Guiri,기리 (멸칭)
Sevilla Fútbol Club (femenino),세비야 FC 페메니노
Campo de la Victoria,캄포 데 라 레이나 빅토리아
Asociación Deportiva Mérida,메리다 AD
Bosque mediterráneo del suroeste de la península ibérica,서남이베리아 지중해성 경엽수혼합림
Arroz bomba,봄바쌀
Castillo de Matrera,마트레라성
Columna de Hierro,철의 칼럼
Copa Eva Duarte 1947-48,코파 에바 두아르테 1948
Copa de los Campeones de España,코파 데 로스 캄페오네스 데 에스파냐
Copa Eva Duarte 1949-50,코파 에바 두아르테 1950
Copa Eva Duarte 1948-49,코파 에바 두아르테 1949
Copa de la Liga de Primera División 1986,코파 데 라 리가 1986
Plaza de la Reina,레이나 광장
Esquerra Republicana de Catalunya-Catalunya Sí,카탈루냐 공화좌파당-예 카탈루냐
Estación de Dos Castillas (Metro Ligero de Madrid),도스 카스티야스역
Estación de Paco de Lucía,파코 데 루시아역
Denominación de origen protegida Jabugo,하부고 햄
Hipódromo de la Castellana,이포드로모 데 라 카스테야나
Iglesia de los Santos Justo y Pastor (Toledo),로스산토스후스토이파스토르 교회
Igalia,이갈리아
Instituto de Arquitectura Avanzada de Cataluña,IAAC
Real Betis Balompié (femenino),레알 베티스 페미나스
Real Madrid Club de Fútbol Juvenil,레알 마드리드 후베닐
Primera División de España 2013-14,라리가 2013-14
Universidad Politécnica de Cartagena,카르타헤나 공과대학교
Anexo:Entrenadores campeones de la Primera División de España,라리가 우승 감독 목록
Inmigración coreana en España,재스페인 한국인
Banco Santander,산탄데르 은행
Lorca Fútbol Club (2003),로르카 FC
Tomate de pera,플럼토마토
Pringá,프링가
Primera Federación Femenina,프리메라 페데라시온 페메니나
Derecho de acceso a Internet,인터넷 접속권
Categoría:Fútbol en España por temporada,분류:스페인의 축구 시즌
Categoría:Temporadas de la Primera División de España,분류:라리가 시즌
Categoría:Temporadas de la Segunda División de España,분류:세군다 디비시온 시즌
Relaciones España-Uruguay,스페인-우루과이 관계
Elecciones generales de España de 2015,2015년 스페인 총선거
España en los Juegos Olímpicos de Sochi 2014,2014년 동계 올림픽 스페인 선수단
Categoría:Piragüismo en los Juegos Olímpicos de Barcelona 1992,분류:1992년 하계 올림픽 카누
Sporting Club de Huelva,스포르팅 데 우엘바
Basílica de Nuestra Señora de la Cabeza,카베사의 동정 마리아 성지
Categoría:Emigrantes andorranos hacia España,분류:안도라에서 스페인으로 이민간 사람
Estación de La Granja (Metro de Madrid),라 그랑하역
Valencia Club de Fútbol (femenino),발렌시아 CF 페메니노
Consorcio Regional de Transportes de Madrid,CRTM
Copa de Oro «Argentina»,코파 데 오로 아르헨티나
Categoría:Misiones diplomáticas en España,분류:스페인 주재 공관
Museo Nacional de Arqueología Subacuática,국립 수중 고고학 박물관
Los Caracoles,로스 카라콜레스
Monasterio de Santa María (Montederramo),몬테데라모 수도원
Relaciones entre España y Francia,스페인-프랑스 관계
Estación de Leganés Central,레가네스 센트랄역
Estación de Coslada Central,코슬라다 센트랄역
Estación de Fuenlabrada Central,푸엔라브라다 센트랄역
Línea XYZ,XYZ 방어전
Real Academia Española,스페인 왕립 학술원
Astore,아스토레
Museum Jorge Rando,호르헤 란도 미술관
Copa del Rey de fútbol 2013-14,코파 델 레이 2013-14
Podemos,포데모스 (스페인)
Fútbol Club Barcelona Juvenil "A",FC 바르셀로나 후베닐 A
Segunda División de España 2013-14,세군다 디비시온 2013-14
International Champions Cup 2013,2013 인터내셔널 챔피언스컵
Supercopa de España de Fútbol 2013,수페르코파 데 에스파냐 2013
Liga Europa de la UEFA 2014-15,2014-15년 UEFA 유로파리그
Dictadura de Francisco Franco,프랑코 정권
Vía Catalana hacia la Independencia,카탈루냐 독립의 길
Final de la Copa del Rey de fútbol 2012-13,2013 코파 델 레이 결승전
Copa Mundial de Fútbol de 2030,2030년 FIFA 월드컵
Rosellón,루시용
Madrid Club de Fútbol Femenino,마드리드 CFF
Primera División de España 2014-15,라리가 2014-15
Accidente ferroviario de Santiago de Compostela,산티아고데콤포스텔라 열차 탈선 사고
Intempo,인템포
Ortiz (apellido),오르티스
Iberojet (aerolínea),이벨롭 항공
Mormedi,모르메디
Selección de fútbol de Madrid,마드리드주 축구 대표팀
Airbus Defence and Space,에어버스 디펜스 앤드 스페이스
Liga Europa de la UEFA 2015-16,2015-16년 UEFA 유로파리그
Vox (partido político),Vox (정당)
Final de la Copa del Rey de fútbol 2013-14,2014 코파 델 레이 결승전
Primera División de España 2015-16,라리가 2015-16
Sopa de habas,누에콩 수프
Epidemia de ébola de 2014-2016,서아프리카 에볼라 유행
Segunda División de España 2009-10,세군다 디비시온 2009-10
Supercopa de España de Fútbol 2014,수페르코파 데 에스파냐 2014
Estación de Fuente de la Mora,푸엔테 데 라 모라역
Segunda División de España 2014-15,세군다 디비시온 2014-15
Manos de cerdo,족발 (부위)
Copa del Rey de fútbol 2014-15,코파 델 레이 2014-15
Supercopa de España de Fútbol 2015,수페르코파 데 에스파냐 2015
Ruta europea E903,유럽 고속도로 903호선
Proceso participativo sobre el futuro político de Cataluña de 2014,2014년 카탈루냐 독립 국민투표
España en los Juegos Olímpicos de Río de Janeiro 2016,2016년 하계 올림픽 스페인 선수단
Copa Mundial de Baloncesto Femenino de 2018,2018년 FIBA 여자 농구 월드컵
Categoría:Edificios y estructuras de Palma de Mallorca,분류:팔마데마요르카의 건축물
Final de la Copa del Rey de fútbol 2014-15,2015 코파 델 레이 결승전
Rivalidad Cristiano-Messi,메호대전
Segunda División de España 2015-16,세군다 디비시온 2015-16
Aeropuerto de Valencia,발렌시아 공항
Fortaleza del Castro,카스트로 요새
Supercopa de España de Fútbol 2016,수페르코파 데 에스파냐 2016
Club Deportivo Colunga,CD 콜룽가
Copa del Rey de fútbol 2015-16,코파 델 레이 2015-16
Campo del Retiro,티로 델 피촌
Final de la Copa del Rey de fútbol 2015-16,2016 코파 델 레이 결승전
Anexo:Gran Premio de España de 2016,2016년 스페인 그랑프리
Relaciones Corea del Sur-España,대한민국-스페인 관계
Elecciones generales de España de 2016,2016년 스페인 총선거
Primera División de España 2016-17,라리가 2016-17
G2 Esports,G2 e스포츠
Parques nacionales de España,스페인의 국립공원 목록
Relaciones España-Guinea-Bisáu,기니비사우-스페인 관계
Unidas Podemos,연합 포데모스
Segunda División de España 2016-17,세군다 디비시온 2016-17
Copa del Rey de fútbol 2016-17,코파 델 레이 2016-17
Clasificación de Asia para los Juegos Olímpicos de Barcelona 1992,1992년 하계 올림픽 축구 아시아 지역 예선
Copa del Generalísimo de fútbol 1975-76,코파 델 헤네랄리시모 1975-76
Promoción de ascenso a Primera División de España,라리가 플레이오프전
Primera División de España 2017-18,라리가 2017-18
Estadio de Torrero,에스타디오 데 토레로
Referéndum de independencia de Cataluña de 2017,2017년 카탈루냐 독립 국민투표
Final de la Liga de Campeones de la UEFA 2018-19,2019 UEFA 챔피언스리그 결승전
Final de la Copa del Rey de fútbol 2016-17,2017 코파 델 레이 결승전
Level,레벨 (항공사)
España en los Juegos Olímpicos de Pyeongchang 2018,2018년 동계 올림픽 스페인 선수단
Estadio Johan Cruyff,에스타디 요한 크라위프
Copa del Rey de fútbol 2017-18,코파 델 레이 2017-18
Segunda División de España 2017-18,세군다 디비시온 2017-18
Supercopa de España de Fútbol 2017,수페르코파 데 에스파냐 2017
Atentados de Cataluña de 2017,2017년 바르셀로나 테러
España en los Juegos Olímpicos de Tokio 2020,2020년 하계 올림픽 스페인 선수단
Operación Anubis,아누비스 작전
Declaración unilateral de independencia de Cataluña de 2017,카탈루냐 독립선언
Copa del Rey de fútbol 2018-19,코파 델 레이 2018-19
Final de la Copa del Rey de fútbol 2017-18,2018 코파 델 레이 결승전
Elecciones generales de España de abril de 2019,2019년 4월 스페인 총선거
Primera División de España 2018-19,라리가 2018-19
Supercopa de España de Fútbol 2018,수페르코파 데 에스파냐 2018
Segunda División de España 2018-19,세군다 디비시온 2018-19
Final de la Copa del Rey de fútbol 2018-19,2019 코파 델 레이 결승전
Copa Eva Duarte 1950-51,코파 에바 두아르테 1951
Copa del Rey de fútbol 2019-20,코파 델 레이 2019-20
Extinction Rebellion,멸종에의 반란
PortAventura Park,포르트아벤투라
Supercopa de España de fútbol 2020,수페르코파 데 에스파냐 2019-20
Primera División de España 2019-20,라리가 2019-20
Segunda División de España 2019-20,세군다 디비시온 2019-20
Elecciones generales de España de noviembre de 2019,2019년 11월 스페인 총선거
Más País,마스 파이스
Pandemia de COVID-19,코로나19 범유행
Pandemia de COVID-19 en España,스페인의 코로나19 범유행
Elecciones generales de España de 2023,2023년 스페인 총선거
Primera División de España 2020-21,라리가 2020-21
Final de la Copa del Rey de fútbol 2019-20,2020 코파 델 레이 결승전
Pandemia de COVID-19 en Europa,유럽의 코로나19 범유행
Supercopa de España de fútbol 2021,수페르코파 데 에스파냐 2020-21
Copa del Rey de fútbol 2020-21,코파 델 레이 2020-21
Final de la Liga Europa de la UEFA 2021-22,2022 UEFA 유로파리그 결승전
Segunda División de España 2020-21,세군다 디비시온 2020-21
Real Madrid Club de Fútbol (femenino),레알 마드리드 페메니노
Segunda Federación,세군다 페데라시온
Tercera Federación,테르세라 페데라시온
Primera Federación,프리메라 페데라시온
Supercopa de España de fútbol 2022,수페르코파 데 에스파냐 2022
Final de la Copa del Rey de fútbol 2020-21,2021 코파 델 레이 결승전
Segunda División de España 2021-22,세군다 디비시온 2021-22
Team Heretics,팀 헤레틱스
Batalla de Trocadero,트로카데로 전투
Primera División de España 2021-22,라리가 2021-22
Villarreal Club de Fútbol (femenino),비야레알 CF 페메니노
Copa del Rey de fútbol 2021-22,코파 델 레이 2021-22
RM Castilla (femenino),레알 마드리드 B 페메니노
"Palencia Club de Fútbol, S.A.D.",팔렌시아 CF
Primera División de España 2022-23,라리가 2022-23
Final de la Copa del Rey de fútbol 2021-22,2022 코파 델 레이 결승전
Copa del Rey de fútbol 2022-23,코파 델 레이 2022-23
KOI,코이 (e스포츠)
Supercopa de España de fútbol 2023,수페르코파 데 에스파냐 2023
Brote de mpox de 2022-2023,2022~2023년 엠폭스 유행
Frente Obrero (España),노동자전선 (스페인)
Segunda División de España 2022-23,세군다 디비시온 2022-23
Anexo:Gran Premio de España de 2023,2023년 스페인 그랑프리
Copa del Rey de fútbol 2023-24,코파 델 레이 2023-24
Primera División de España 2023-24,라리가 2023-24
Final de la Copa del Rey de fútbol 2022-23,2023 코파 델 레이 결승전
