Deutschland,ドイツ
DTM-Saison 2010,2010年のドイツツーリングカー選手権
Königsfeld (Oberfranken),ケーニヒスフェルト・(オーバーフランケン)
Institut für Mikrobiologie der Bundeswehr,連邦軍微生物学研究所
Spangdahlem Air Base,シュパングダーレム空軍基地
Blaupunkt,ブラウプンクト
Grafenrheinfeld,グラーフェンラインフェルト
Rosenberg (Baden),ローゼンベルク・(バーデン)
Flughafen Dresden,ドレスデン空港
Murr (Gemeinde),ムル
Aurachtal,アウラハタール
Internationale Filmfestspiele Berlin 2012,第62回ベルリン国際映画祭
Vertrag von Xanten,クサンテン条約
Audi R18,アウディ・R18
Kunsthalle Bremen,ブレーメン美術館
Kabinett Schwerin von Krosigk,ルートヴィヒ・シュヴェリン・フォン・クロージク内閣
Basilika Vierzehnheiligen,十四聖人のバシリカ聖堂
Berliner Stadtbahn,ベルリン市街線
BMW N55,BMW・N55エンジン
BMW N57,BMW・N57エンジン
Pollhagen,ポルハーゲン
Baur Karosserie- und Fahrzeugbau,バウア・(コーチビルダー)
SPV (Unternehmen),SPV・(企業)
BSV Rehden,BSVシュヴァルツ＝ヴァイス・レーデン
Ritterhude,リッターフーデ
Tour de France 2000,ツール・ド・フランス2000
Ausbau- und Neubaustrecke Karlsruhe–Basel,カールスルーエ・-・バーゼル高速線
Deutsches Rotes Kreuz,ドイツ赤十字社
Glienicker Brücke,グリーニッケ橋
Trio (Band),トリオ・(バンド)
Odeon (Plattenlabel),オデオンレコード
Krombacher Brauerei,クロンバッハ
Focke-Wulf Fw 58,Fw・58・(航空機)
U-21-Fußball-Europameisterschaft 2004,UEFA・U-21欧州選手権2004
Elternvertretung,PTA
Nidda (Fluss),ニッダ川
Bombardier Traxx,TRAXX
Hochschule für Musik und Theater München,ミュンヘン音楽・演劇大学
Hannover Rück,ハノーバー再保険
"General der Infanterie (Dienststellung, Bundeswehr)",歩兵大将・(ドイツ)
S-Bahn Hamburg,ハンブルクSバーン
Schlacht bei Hohenlinden,ホーエンリンデンの戦い
Großer Tiergarten,ティーアガルテン
Europastraße 26,E26号線
Rednitz,レドニッツ川
BMW V12 LMR,BMW・V12・LMR
BMW S 1000 RR,BMW・S1000RR
BOMAG,ボーマク
Bahnhof München Ost,ミュンヘン東駅
Wiesmann (Unternehmen),ヴィーズマン
Kirchheim (Hessen),キルヒハイム・(ヘッセン)
Britische Streitkräfte in Deutschland,在独イギリス軍
Weltmeisterschaften der Rhythmischen Sportgymnastik 1997,1997年世界新体操選手権
Kocher (Fluss),コッハー川
Fliegerhorst Hohn,ホーン航空基地
Bahnstrecke Wels–Passau,ヴェルス・-・パッサウ線
Deutsche Rugby-Union-Nationalmannschaft,ラグビードイツ代表
Fußball-Bundesliga 1994/95,ドイツ・ブンデスリーガ1994-1995
Fußball-Bundesliga 1998/99,ドイツ・ブンデスリーガ1998-1999
Recht Deutschlands,ドイツ法
Steinerne Brücke,石橋・(レーゲンスブルク)
Oberbaumbrücke,オーバーバウム橋
FC Viktoria Köln,FCヴィクトリア・ケルン
Bionade,ビオナーデ
Piranha Bytes,Piranha・Bytes
Miele,ミーレ
Bundestagswahl 1949,1949年ドイツ連邦議会選挙
Berliner Vertrag (1926),ベルリン条約・(1926年)
Focke-Wulf Fw 62,Fw・62・(航空機)
Olympische Winterspiele 1994/Teilnehmer (Deutschland),1994年リレハンメルオリンピックのドイツ選手団
Varta AG,ファルタ
Babelsberg,バーベルスベルク
Bach-Archiv Leipzig,ライプツィヒ・バッハ資料財団
Nordische Skiweltmeisterschaften 1987,1987年ノルディックスキー世界選手権
Internationale Gesellschaft für Neue Musik,国際現代音楽協会
Bahnstrecke Augsburg–Buchloe,アウクスブルク・-・ブーフローエ線
Dialekte in Baden,バーデン語
FC Oberneuland,FCオーバーノイラント
Balda,バルダ・(ドイツの企業)
Deutsche Tourenwagen-Masters 2003,2003年のドイツツーリングカー選手権
Europäisches Laboratorium für Molekularbiologie,欧州分子生物学研究所
Exzellenzcluster „Asien und Europa im globalen Kontext“,クラスター・オブ・エクセレンス「グローバルな文脈におけるアジアとヨーロッパ」
Fußball-Bundesliga 1996/97,ドイツ・ブンデスリーガ1996-1997
Auto Technisches Spezialzubehör,ATSホイールズ
Bahnstrecke Bebra–Fulda,ベーブラ・-・フルダ線
Elisabethkirche (Marburg),聖エリザベート教会・(マールブルク)
IFA (Messe),国際コンシューマ・エレクトロニクス展
Gothaer Waggonfabrik,ゴータ車両製造
Bahnstrecke Buchloe–Memmingen,ブーフローエ・-・メミンゲン線
Warwick (Unternehmen),ワーウィック・(楽器メーカー)
Bahnstrecke Dortmund–Hamm,ドルトムント-ハム線
Bahnstrecke Chomutov–Vejprty/Reitzenhain,137号線・(チェコ)
Bahnstrecke Cheb–Oberkotzau,アシュ・-・オーバーコツァウ線
Bahnstrecke Homburg–Neunkirchen,ノインキルヒェン・-・ルートヴィヒスハーフェン線
Bahnstrecke Karlsruhe–Mühlacker,カールスルーエ・-・ミュールアッカー線
Bahnstrecke Karlovy Vary–Johanngeorgenstadt,142号線・(チェコ)
Bahnstrecke Kißlegg–Hergatz,キスレク・-・ヘルガッツ線
Internationale Luft- und Raumfahrtausstellung Berlin,ベルリン国際航空宇宙ショー
Bahnstrecke Duisburg–Dortmund,デュースブルク-ドルトムント線
Beachvolleyball-Weltmeisterschaft 2005,2005年ビーチバレーボール世界選手権
Bahnstrecke Frankfurt Süd–Aschaffenburg,フランクフルト・-・アシャッフェンブルク線
Bahnstrecke Leipzig–Großkorbetha,ライプツィヒ・-・グロースコルベータ線
Bahnstrecke Liberec–Zittau,リベレツ・-・ツィッタウ線
Bahnstrecke Leipzig–Probstzella,ライプツィヒ・-・プローブストツェラー線
Bahnstrecke Leipzig–Hof,ライプツィヒ・-・ホーフ線
Bahnstrecke Leipzig–Dresden,ライプツィヒ–ドレスデン線
Bahnstrecke Leutkirch–Memmingen,ロイトキルヒ・-・メミンゲン線
Azaleen- und Rhododendronpark Kromlau,ロドーデンドロンパーク・クロムラウ
Bahnstrecke München–Simbach,ミュンヘン・-・ジムバッハ線
Bahnstrecke Neckarelz–Osterburken,モースバッハ・-・ヴュルツブルク線
Bahnstrecke Nürnberg–Irrenlohe,ニュルンベルク・-・シュヴァンドルフ線
Barmherzige Brüder vom hl. Johannes von Gott,聖ヨハネ病院修道会
Bahnstrecke Neustrelitz–Warnemünde,ノイシュトレーリッツ-ヴァーネミュンデ線
Bahnstrecke Nürnberg–Crailsheim,ニュルンベルク・-・クライルスハイム線
Deutscher Immunologie-Preis,ドイツ免疫学会賞
Bahnhof Düsseldorf Flughafen,デュッセルドルフ空港駅
Bahnhof Dresden-Neustadt,ドレスデン%3Dノイシュタット駅
Avantis,アヴァンティス
Bahnstrecke Halle–Cottbus,ハレ・-・グーベン線
Bahnstrecke Landshut–Plattling,ランツフート・-・アイゼンシュタイン線
Belagerung von Philippsburg (1676),フィリップスブルク包囲戦・(1676年)
Belagerung von Kaiserswerth (1702),カイザースヴェルト包囲戦・(1702年)
Bahnstrecke Węgliniec–Roßlau,ヴェングリニェツ・-・ロースラウ線
Bahnstrecke Rumburk–Sebnitz,083号線・(チェコ)
Bahnstrecke Schnabelwaid–Bayreuth,シュナーベルヴァイト・-・バイロイト線
Bellaphon Records,ベラフォン・レコード
Bahnstrecke Mainz–Mannheim,マインツ・-・マンハイム線
Beethoven-Denkmal (Bonner Münsterplatz),ベートーヴェン記念碑
BEMO Modelleisenbahnen,ベモ・(鉄道模型)
Bahnstrecke Riesa–Chemnitz,リーザ・-・ケムニッツ線
Bahnhof Lehrte,レールテ駅
Bahnstrecke Plzeň–Furth im Wald,プルゼニ・-・フルト・イム・ヴァルト線
Bahnstrecke Plauen–Cheb,プラウエン・-・ヘブ線・(ドイツ)
Bahnstrecke Schwandorf–Furth im Wald,シュヴァンドルフ・-・フルト線
Bahnstrecke Trebnitz–Leipzig,ツェルプスト・-・ライプツィヒ線
Bahnstrecke Treuchtlingen–Würzburg,トロイヒトリンゲン・-・ヴュルツブルク線
Brenntag,ブレンターク
Internationale Mathematische Union,国際数学連合
Berufsbildungswerk,職業訓練学校・(BBW)
Bezirk von Berlin,ベルリンの行政区
Karsbach,カルスバッハ
Basic Income Earth Network,ベーシックインカム地球ネットワーク
Freistaat Lippe,リッペ自由州
Oberleitungsbus Potsdam,ポツダム・トロリーバス
Straßenbahn Augsburg,アウクスブルク市電
Uniwheels,ユニホイールズ
Super-Tourenwagen-Cup 1998,1998年のドイツ・スーパーツーリング選手権
Straßenbahn Bremen,ブレーメン市電
Berufliches Gymnasium,実業高等学校
Budenheim,ブーデンハイム
Die vier Apostel,四人の使徒
Lorinser (Unternehmen),ロリンザー
Kell am See,ケル・アム・ゼー
Berlin Rebels,ベルリン・レーベルズ
Goldhofer,ゴールドホッファー
Fuggerei,フッガーライ
Universität Konstanz,コンスタンツ大学
Universität Ulm,ウルム大学
Das Große Jüngste Gericht,最後の審判・(ルーベンス)
Bahnstrecke Köln–Duisburg,ケルン-デュースブルク線
Berlitz Sprachschulen,ベルリッツ・コーポレーション
Super-Tourenwagen-Cup 1996,1996年のドイツ・スーパーツーリング選手権
Straßenbahn München Baureihe P,ミュンヘン市電P形電車
Covestro,コベストロ
Bayerische Akademie der Schönen Künste,バイエルン美術アカデミー
Messerschmitt-Bölkow-Blohm,メッサーシュミット・ベルコウ・ブローム
Gleiss Lutz,グライス・ルッツ法律事務所
Super-Tourenwagen-Cup 1997,1997年のドイツ・スーパーツーリング選手権
Welterbe in Deutschland,ドイツの世界遺産
Motorsport Arena Oschersleben,モートルシュポルト・アリーナ・オッシャースレーベン
Bayerische PtL 2/2,王立バイエルン邦有鉄道PtL2/2型蒸気機関車
Vilmorin (Unternehmen),ヴィルモラン
Team Kolles,コデワ
Mannheim Business School,マンハイム・ビジネス・スクール
Händel-Festspiele Halle,ハレ・ヘンデル音楽祭
Panzergrenadierbrigade 1,第1装甲擲弾兵旅団・(ドイツ連邦陸軍)
Waggonfabrik Uerdingen,DUEWAG
Internationale Händel-Festspiele Göttingen,ゲッティンゲン・ヘンデル音楽祭
Galopprennbahn Hamburg-Horn,ハンブルク競馬場
Max-Planck-Institut für extraterrestrische Physik,マックス・プランク地球外物理学研究所
Münchner Opernfestspiele,ミュンヘン・オペラ・フェスティバル
Meissener Porzellan,マイセン・(陶磁器)
Deutschland Tour 2008,ドイツ・ツアー2008
Bereitschaft (DRK),赤十字救急法救急員
Waffensystemkommando der Luftwaffe,空軍兵器システム集団
G8-Gipfel in Köln 1999,第25回主要国首脳会議
Heeresflugplatz Fritzlar,フリッツラー陸軍飛行場
Schnellfahrstrecke Wendlingen–Ulm,ヴェンドリンゲン・-・ウルム高速線
Straßenbahn Darmstadt,ダルムシュタット市電
NDR Radiophilharmonie,ハノーファー北ドイツ放送フィルハーモニー管弦楽団
Evangelische Kirche in Mitteldeutschland,中部ドイツ福音主義教会
Kinderstraßenbahn Frankfurt am Main,フランクフルト・アム・マイン子供路面電車
Gems TV,GSTV
Oberleitungsbus Esslingen am Neckar,エスリンゲン・アム・ネッカー・トロリーバス
Westside Xtreme Wrestling,ウエストサイド・エクストリーム・レスリング
WDR Funkhausorchester,ケルン放送管弦楽団
Heeresflugplatz Bückeburg,ビュッケブルク陸軍飛行場
CDU Baden-Württemberg,ドイツキリスト教民主同盟・バーデン＝ヴュルテンベルク州支部
U-20-Fußball-Weltmeisterschaft der Frauen 2010,2010・FIFA・U-20女子ワールドカップ
Schnellfahrstrecke Hannover–Würzburg,ハノーファー-ヴュルツブルク高速線
Borussia Dortmund II,ボルシア・ドルトムント・II
Friedrich-Ebert-Stiftung,フリードリヒ・エーベルト財団
Fliegerhorst Faßberg,ファスベルク陸軍飛行場
Volleyball-Europameisterschaft der Männer 2003,2003年バレーボール男子欧州選手権
Sachtler,ザハトラー
Bitterfeld,ビターフェルト
Get Physical Music,ゲット・フィジカル・ミュージック
Reichsparteitagsgelände,ナチ党党大会会場
Xetra,クセトラ
Wormatia Worms,ヴォルマティア・ヴォルムス
Krauss-Maffei,クラウス＝マッファイ
Deutsche Physikalische Gesellschaft,ドイツ物理学会
Europastraße 34,E34号線
Hapag-Lloyd,ハパックロイド
Tour de France 1970,ツール・ド・フランス1970
Tour de France 1971,ツール・ド・フランス1971
Bund der Vertriebenen,追放者連盟
Olympische Sommerspiele 1972/Badminton,1972年ミュンヘンオリンピックのバドミントン競技
Rotring,ロットリング
Marienbrücke (Neuschwanstein),マリエン橋
Dywidag,ディビダーク
VfB Oldenburg,VfBオルデンブルク
Duquesne-Spionagering,デュケインのスパイ網
Jagst,ヤクスト川
Bergstraße,ベルクシュトラーセ
Europastraße 251,E251号線
Braunes Haus,褐色館
G8-Gipfel in Heiligendamm 2007,第33回主要国首脳会議
KSV Hessen Kassel,KSVヘッセン・カッセル
SSV Reutlingen 05,SSVロイトリンゲン
Modern Dance,モダンダンス
Deutsche Tourenwagen-Meisterschaft 1987,1987年のドイツツーリングカー選手権
Deutsche Produktionswagen-Meisterschaft 1985,1985年のドイツツーリングカー選手権
Altana,アルタナ
Fußball-Weltmeisterschaft 2006/Gruppe B,2006・FIFAワールドカップ・グループB
Beutelsbacher Konsens,ボイテルスバッハ合意
Wendelstein (Berg),ヴェンデルシュタイン山
SV Meppen,SVメッペン
Tour de France 1964,ツール・ド・フランス1964
Alpidischer Gebirgsgürtel,アルプス・ヒマラヤ造山帯
HanseYachts,ハンゼヨット
Carl Rönisch,レーニッシュ
Gebr. Alexander Mainz,アレキサンダー・(楽器メーカー)
Liste der Fußballspieler von Borussia Dortmund,ボルシア・ドルトムントの選手一覧
Silberner Bär/Bester Darsteller,銀熊賞・(男優賞)
Nobiskrug,ノビスクルーク
Kunsthochschule für Medien Köln,ケルン・メディア芸術大学
Catch Wrestling Association,キャッチ・レスリング・アソシエーション
Lloyd Werft Bremerhaven,ロイド・ヴェルフト
Solingen Alligators,ゾーリンゲン・アリゲーターズ
Neubaustrecke Erfurt–Leipzig/Halle,エアフルト-ライプツィヒ/ハレ高速線
Kreidler,クライドラー
Putzmeister,プツマイスター
Straßenbahn Halle (Saale),ハレ市電
Tour de France 2002,ツール・ド・フランス2002
Schlösser und Parks von Potsdam und Berlin,ポツダムとベルリンの宮殿群と公園群
Tetra (Unternehmen),テトラ・(ペット用品メーカー)
Mozartfest Würzburg,ヴュルツブルク・モーツァルト音楽祭
Liste der börsennotierten deutschen Unternehmen,ドイツの企業一覧
Flughafen Rostock-Laage,ロストック＝ラーゲ空港
Big Band der Bundeswehr,連邦軍ビッグバンド
JMT,JMTレコード
"Max-Planck-Institut zur Erforschung von Kriminalität, Sicherheit und Recht",マックス・プランク犯罪・安全と法研究所
Magdeburger Telemann-Festtage,マグデブルク・テレマン音楽祭
Meininger Hofkapelle,マイニンゲン宮廷楽団
Max-Planck-Institut für demografische Forschung,マックス・プランク人口研究所
Bahnstrecke Hochstadt-Marktzeuln–Probstzella,ホッホシュタット・-・プロブストツェラ線
Sick (Unternehmen),ジック
Panzerbrigade 21,第21装甲旅団・(ドイツ連邦陸軍)
Bunker Fuchsbau,フックスバウ掩蔽壕
Westbahn (Württemberg),西部線・(ヴュルテンベルク)
FEV,FEV
ThyssenKrupp Bilstein,ビルシュタイン
III. Korps (Bundeswehr),第3軍団・(ドイツ連邦陸軍)
Gelehrtenschule des Johanneums,ヨハネウム学院
Friedhof Bogenhausen,ボーゲンハウゼン墓地
Fliegerhorst Diepholz,ディープホルツ航空基地
Fliegerhorst Holzdorf,ホルツドルフ航空基地
DB-Baureihe 420,西ドイツ国鉄420形電車
Hamburger Bürgermilitär,ハンブルク市民軍
Intermot,インターモト
Botanischer Garten Gießen,ギーセン植物園
Hardtbahn,ハルト線
Kanzlei des Führers,総統官房
Yorck von Wartenburg (Adelsgeschlecht),ヨルク・フォン・ヴァルテンブルク家
Rheinbundakte,ライン同盟規約
Straßenbahn Rostock,ロストック市電
DB-Baureihe 612 (1998),レギオスウィンガー
Hamburg Dungeon,ハンブルク・ダンジョン
Fliegerhorst Wunstorf,ヴンストルフ航空基地
Luftbewegliche Brigade 1,第1航空機動旅団・(ドイツ連邦陸軍)
Christi-Auferstehungs-Kathedrale,ハリストス復活大聖堂・(ベルリン)
Panzerbrigade 3,第3装甲旅団・(ドイツ連邦陸軍)
Traum Schallplatten,トラウム
Universität Kassel,カッセル大学
Führungsstab des Heeres,陸軍指揮幕僚監部
Sto,シュトー
Weinbau in Deutschland,ドイツワイン
Wörnitz,ヴェルニッツ川
Moselstrecke,モーゼル線
Taunus-Eisenbahn,タウヌス線
Spezialisierte Einsatzkräfte Marine,海軍専門任務部隊
Untouchables Paderborn,パーダーボルン・アンタッチャブルス
Jägerregiment 1,第1猟兵連隊・(ドイツ連邦陸軍)
Bahnstrecke Halle–Hann. Münden,ハレ・-・ハン・ミュンデン線
Frankfurt-Bebraer Eisenbahn,フランクフルト・-・ゲッティンゲン線
Bahnstrecke Großheringen–Saalfeld,グロースヘリンゲン・-・ザールフェルト線
Goethes Wohnhaus,ゲーテの旧宅
Humboldt-Forschungspreis,フンボルト賞
Die Deutsche Kreditwirtschaft,ドイツ中央金融信用委員会
Paninternational-Flug 112,パンインターナショナル112便墜落事故
Die Verspottung Christi,キリストの嘲弄・(グリューネヴァルト)
Hinterkaifeck,ヒンターカイフェック事件
Feddersen Wierde,フェダーゼン・ヴィールデ
Hamo,HAMO
LF1 Zaunkönig,LF-1・(航空機)
Karl Schuke Berliner Orgelbauwerkstatt,カール・シュッケ・ベルリン・オルガン製作所
Magura,マグラ・(メーカー)
Columba-Altar,コルンバの三連祭壇画
Division Schnelle Kräfte,特殊作戦師団・(ドイツ連邦陸軍)
Stadtbahn Karlsruhe,カールスルーエ・シュタットバーン
Bonn Capitals,ボン・キャピタルズ
Philosophenweg (Heidelberg),哲学者の道
Max-Planck-Institut für Geistiges Eigentum,マックス・プランク知的財産法・競争法・租税法研究所
GmbH %26 Co. KG,有限合資会社
Heeresversuchsanstalt Peenemünde,ペーネミュンデ陸軍兵器実験場
Straßenbahn Plauen,プラウエン市電
Hamburg Ballett,ハンブルク・バレエ団
Carl Zeiss Meditec,カールツァイスメディテック
Feurich Klavier- und Flügelfabrikation,フォイリッヒ
Schulen des Heeres,陸軍学校・(ドイツ連邦陸軍)
Nomos Glashütte,ノモス・グラスヒュッテ
Evangelische Landeskirche in Baden,バーデン福音主義州教会
Landschaftsverband,地域連合
Brainlab,Brainlab
Kurhaus Baden-Baden,クアハウス・(バーデン＝バーデン)
Museum für Ostasiatische Kunst (Köln),ケルン市立東洋美術館
Höchster Porzellanmanufaktur,ヘキスト陶磁器工房
Wergo,ヴェルゴ
Luftlandebrigade 26,第26空挺旅団・(ドイツ連邦陸軍)
Luftlandebrigade 31,第31空挺旅団・(ドイツ連邦陸軍)
Free Software Foundation Europe,Free・Software・Foundation・Europe
Silberstraße,銀街道
Eider-Kanal,アイダー運河
Hochschule Pforzheim,プフォルツハイム大学
Stedingerkrieg,シュテディンガー十字軍
U-19-Fußball-Europameisterschaft der Frauen 2003,UEFA・U-19女子選手権2003
Hazet,ハゼット
Thüringer Landtag,テューリンゲン州議会
Panzerlehrbrigade 9,第9装甲教導旅団・(ドイツ連邦陸軍)
Bahnstrecke Halle–Bebra,ハレ・-・ベーブラ線
Friedrich Deckel,フリードリヒ・デッケル
Personenaufzug Bad Schandau,バート・シャンダウ・エレベーター
Straßenbahn Naumburg,ナウムブルク市電
Tempodrom,テンポドローム
Fußball-Europameisterschaft der Frauen 1995,UEFA欧州女子選手権1995
Main-Lahn-Bahn,マイン＝ラーン線
Tischtennisweltmeisterschaft 1969,第30回世界卓球選手権
Rheinischer Städtebund,ライン都市同盟
Senckenberg Gesellschaft für Naturforschung,ゼンケンベルク自然史協会
Brauerei Schumacher,シューマッハ・(醸造所)
Brauerei S. Riegele,リーゲレ
Bundesstraße 511,ドイツ連邦道路511号線
Willem van Heythuysen,剣を持ってポーズをとるウィレム・ファン・ヘイトゥイセン
Breisgau-S-Bahn,ブライスガウSバーン
Krämerbrücke,クレーマー橋
Evangelische Landeskirche in Württemberg,ヴュルテンベルク福音主義州教会
Generalinspekteur der Bundeswehr,連邦軍総監・(ドイツ)
Technisches Verwaltungsgebäude der Hoechst AG,ヘキスト染色工場
Mainz Athletics,マインツ・アスレチックス
Straßenbahn Mainz,マインツ市電
TÜV Süd,テュフズード
Liebenzeller Mission,リーベンゼラ・ミッション
Borussia Düsseldorf,ボルシア・デュッセルドルフ
Blohm %26 Voss BV 138,ブローム・ウント・フォス・BV・138
Blohm %26 Voss BV 141,BV・141・(航空機)
Tour de France 1953,ツール・ド・フランス1953
Setra,ゼトラ
Quaero,Quaero
Internationale Camera Actiengesellschaft,イカ・(企業)
Ernemann,エルネマン
Museum Georg Schäfer,ゲオルク・シェーファー美術館
Division Luftbewegliche Operationen,航空機動作戦師団・(ドイツ連邦陸軍)
Nassauische Staatsbahn,ナッサウ邦有鉄道
Evangelisch-Lutherische Landeskirche Sachsens,ザクセン福音ルター派州教会
Intercity (Deutschland),インターシティ・(ドイツ)
Heise Gruppe,ハインツ・ハイス
Synthesis,Synthesis・(雑誌)
Laeiszhalle,ライスハレ
Hochschule für Musik und Theater Rostock,ロストック音楽・演劇大学
Harting (Unternehmen),ハーティング
Hachez,ハシェ
Heeresamt,陸軍局
Heeresführungskommando,陸軍指揮司令部
Porsche 935,ポルシェ・935
Kirchliche Hochschule Wuppertal,ヴッパータール・ベーテル神学大学
International Blind Sports Federation,国際視覚障害者スポーツ連盟
Chor des Bayerischen Rundfunks,バイエルン放送合唱団
Internationale Maifestspiele,ヴィースバーデン五月音楽祭
WFV-Pokal,WFVポカール
Inspekteur des Heeres,陸軍総監・(ドイツ)
Dauer 962 LM,ダウアー・962LM
Straßenbahn Schwerin,シュヴェリーン市電
Gelbe Seiten,タウンページ
Deutsches Architekturmuseum,ドイツ建築博物館
Theodor-Haecker-Preis,テオドール・ヘッカー賞
Bosniaken,ボシュニャク人
Straßenbahn Halberstadt,ハルバーシュタット市電
Franziskaner (OFM),小さき兄弟会
"Niels Juel (Schiff, 1923)",ニールス・ユール・(海防戦艦)
Blutwunder von Walldürn,ヴァルデュルンの聖体の奇跡
Blutmai,血のメーデー事件・(ドイツ)
Reichelsheim (Odenwald),ライヒェルスハイム・(オーデンヴァルト)
FC Bayern München II,FCバイエルン・ミュンヘンII
Universelles Leben,ユニバーサル・ライフ
Marineschule Mürwik,ミュルヴィク海軍兵学校
Panzergrenadierbrigade 30,第30装甲擲弾兵旅団・(ドイツ連邦陸軍)
Deutsche Mystik,ドイツ神秘主義
Opel Senator,オペル・セネター
Sedo,Sedo
Buckenhof,ブッケンホーフ
Schiedmayer,シードマイヤー
Bundestagswahlkreis Berlin-Marzahn – Hellersdorf,ベルリン＝マルツァーン＝ヘラースドルフ選挙区
Bundestagswahlkreis Berlin-Treptow – Köpenick,ベルリン＝トレプトウ＝ケーペニック選挙区
Bundestagswahlkreis Berlin-Lichtenberg,ベルリン＝リヒテンベルク選挙区
Bundesstraße 428,ドイツ連邦道路428号線
Bundesstraße 427,ドイツ連邦道路427号線
Groß-Rohrheim,グロース＝ロールハイム
Europawahl in Deutschland 1994,1994年欧州議会議員選挙・(ドイツ)
Bundestagswahlkreis Offenburg,オッフェンブルク選挙区
Eduard Meier (Schuhhaus),エドワード・メイヤー
Bundeswehrkrankenhaus,連邦軍病院
Bundestagswahlkreis Saarbrücken,ザールブリュッケン選挙区
Bundestagswahlkreis Saarlouis,ザールルイ選挙区
Bundestagswahlkreis Vorpommern-Rügen – Vorpommern-Greifswald I,フォアポンメルン＝リューゲン・-・フォアポンメルン＝グライフスヴァルトI選挙区
Chemnitzer Modell,ケムニッツ・モデル
Die Elster auf dem Galgen,絞首台の上のカササギ
Sennebogen,ゼンネボーゲン
Deutsche Tourenwagen-Masters 2005,2005年のドイツツーリングカー選手権
Deutsche Orientbank,ドイツ・オリエントバンク
Christusbewegung „Lebendige Gemeinde“,生ける信徒共同体
Burhave,ブラーヴェ
Deutsche Tourenwagen-Meisterschaft 1989,1989年のドイツツーリングカー選手権
Deutsche Tourenwagen-Meisterschaft 1992,1992年のドイツツーリングカー選手権
Deutsche Tourenwagen-Meisterschaft 1988,1988年のドイツツーリングカー選手権
Deutsche Tourenwagen-Meisterschaft 1990,1990年のドイツツーリングカー選手権
Deutsche Tourenwagen-Meisterschaft 1993,1993年のドイツツーリングカー選手権
Deutsche Tourenwagen-Masters 2001,2001年のドイツツーリングカー選手権
Deutsche Tourenwagen-Masters 2002,2002年のドイツツーリングカー選手権
Deutsche Tourenwagen-Meisterschaft 1994,1994年のドイツツーリングカー選手権
Deutsche Tourenwagen-Masters 2004,2004年のドイツツーリングカー選手権
Internationale Filmfestspiele Berlin 2013,第63回ベルリン国際映画祭
C. A. Steinheil %26 Söhne,C・A・シュタインハイル%26ゼーネ
DIN-Norm,ドイツ工業規格
Europawahl in Deutschland 1999,1999年欧州議会議員選挙・(ドイツ)
DIN 41612,DIN・41612
Giro d’Italia 1973,ジロ・デ・イタリア・1973
Schwerer Panzerspähwagen,Sd・Kfz・232
Spiel des Jahres,ドイツ年間ゲーム大賞
DTM-Saison 2011,2011年のドイツツーリングカー選手権
Coburger Landesstiftung,コーブルク州立財団
Messerschmitt Me 410,Me・410
Cologne Cardinals,ケルン・カージナルス
Olympische Winterspiele 1936/Skispringen,1936年ガルミッシュ・パルテンキルヘンオリンピックのスキージャンプ競技
Carl-Friedrich-Gauß-Preis,ガウス賞
Dallmayr,ダルマイヤー
Rembrandt und Saskia im Gleichnis vom verlorenen Sohn,売春宿の放蕩息子
DR-Baureihe 06,ドイツ国鉄06形蒸気機関車
DKW F 102,DKW・F102
Daimler Truck,ダイムラー・トラック
Industrial Workers of the World,世界産業労働組合
Deutsche Gesellschaft für Natur- und Völkerkunde Ostasiens,オーアーゲー・ドイツ東洋文化研究協会
Coudenhove-Kalergi-Plakette,クーデンホーフ＝カレルギー章
Cothenius-Medaille,コテニウス・メダル
Wirtschaftsspionage,産業スパイ
Berliner Siegesparade 1945,1945年ベルリン戦勝記念パレード
Call a Bike,コール・ア・バイク
Happy Science,幸福の科学
Ägypter (Volk),エジプト民族
Deutsche Grenzpolizei,ドイツ国境警察
Schwere SS-Panzer-Abteilung 101,第101SS重戦車大隊
Deutsche Fußballolympiamannschaft,U-23サッカードイツ代表
Internationale Union für Geodäsie und Geophysik,国際測地学・地球物理学連合
Deutsche Raumfahrt,ドイツの宇宙開発
Deutsches Literaturinstitut Leipzig,ライプツィヒ・ドイツ文学研究所
HERA (Teilchenbeschleuniger),HERA・(加速器)
Teamviewer Remote,TeamViewer
Deutscher Bundeswehrverband,ドイツ連邦軍協会
Dom-Brauerei,ドム・ケルシュ
Olympische Winterspiele 1998/Teilnehmer (Deutschland),1998年長野オリンピックのドイツ選手団
Deutsche Ostasienmission,普及福音教会
Deutsche Wohnen,ドイチェ・ヴォーネン
Deutsches Zentrum für barrierefreies Lesen,ドイツ視覚障害者中央図書館
Deutscher Ethikrat,ドイツ倫理委員会
Eutiner Festspiele,オイティン音楽祭
Deutscher Hängegleiterverband,DHV
Deutsche Alpenstraße,ドイツ・アルペン街道
Dorfkirche Pankow,古パンコウ福音書記者教区教会
Land (Deutschland),ドイツの地方行政区分
Vonovia,ヴォノヴィア
Sumte,ズムテ
Domtreppenfegen,ドームトレッペンフェーゲン
Deutsche Blindenstudienanstalt,ブリスタ
Dieffenbachstraße,ディーフェンバッハ通り
Altstadt von Regensburg mit Stadtamhof,レーゲンスブルクの旧市街とシュタットアムホーフ
Novoflex,ノボフレックス
Deutscher Musikautor*innenpreis,ドイツ音楽作家賞
Bibliothek des Jahres,Library・of・the・Year
Eschenbach Optik,エッシェンバッハ光学
