Silbo gomero,シルボ
Club de Rugby El Salvador,CRエル・サルバドール
Parlamento de Galicia,ガリシア自治州議会
Club de Fútbol Talavera de la Reina,CFタラベラ・デ・ラ・レイナ
Bahía de Chingudi,チングディ湾
Bahía de Santander,サンタンデール湾
Hermanos Álvarez Quintero,アルバレス・キンテーロ兄弟
Isozaki Atea,イソザキ・アテア
Grupos de Operaciones Especiales (España),特殊作戦集団・(スペイン陸軍)
Vuelo 118 de Aviaco,アビアコ航空118便墜落事故
Rabo de cerdo,豚テール
Animadrid,マドリード国際アニメーション映画祭
Andy y Lucas,アンディ%26ルーカス
Semana Internacional de Cine de Valladolid,バリャドリッド国際映画祭
Clásica de San Sebastián 2012,クラシカ・サンセバスティアン2012
Río Urumea,ウルメア川
Copa La Manga,ラ・マンガ・カップ
Torre Sevilla,トーレ・セビリア
Plaza de toros de Sevilla,マエストランサ闘牛場
Autorretrato con un amigo,友人との自画像
Barça TV,バルサTV
Anexo:Clubes de fútbol de España,スペインのサッカークラブ一覧
Adoración de los Magos (El Bosco),東方三博士の礼拝の三連祭壇画・(ボス)
Ducado de Veragua,ベラグア公爵領
Club de Fútbol Badalona Futur,UEリャゴステラ
Liga Femenina de baloncesto,リーガ・フェミニーナ・バロンセスト
Selección de fútbol de Cantabria,サッカーカンタブリア代表
Somatén,Sometent
Marbella Fútbol Club,マルベジャFC
Texas (Nueva España),スペイン領テキサス
Español aragonés,アラゴン方言
Club de Futbol Gavà,CFガバ
Monasterio de San Millán de la Cogolla,サン・ミジャンのユソ修道院とスソ修道院
Dorna Sports,ドルナスポーツ
Estación de Cebreros,セブレロス局
Club de Fútbol Rayo Majadahonda,CFラージョ・マハダオンダ
Batalla de Montjuic (1705),ムンジュイックの戦い・(1705年)
Horchata,オルチャータ
Batalla de Marbella,マルベラの海戦
Txindoki,チンドキ
Alternativa Galega de Esquerda,アルテルナティーバ・ガレーガ・デ・エスケルダ
Carnaval de Lanz,ミエル・オチン
Batalla de Ilerda,イレルダの戦い
Batalla de Cartagena (1758),カルタヘナの海戦・(1758年)
España durante la Segunda Guerra Mundial,第二次世界大戦下のスペイン
Caras de Bélmez,ベルメスの顔
Volotea,ボロテア
Estadio Nuevo Mirandilla,エスタディオ・ヌエボ・ミランディージャ
Jersey oro,マイヨ・ロホ
Sitio de Valencia de Alcántara,バレンシア・デ・アルカンタラの戦い
Radio Nacional de España,ラジオ・ナシオナル・デ・エスパーニャ
Ecce Homo de Borja,この人を見よ・(エリアス・ガルシア・マルティネス)
Jardines de Can Artigas,アルティガス庭園
Casa Botines,カサ・ボティネス
Universidad de Oviedo,オビエド大学
Estradiote,ストラディオット
Fuerza Marítima Europea,欧州海洋部隊
Selección de fútbol de Aragón,サッカーアラゴン州代表
Academia de las Artes y las Ciencias Cinematográficas de España,スペイン映画芸術科学アカデミー
Batalla del vino,聖フェリセス・デ・ビリビオの巡礼祭
Selección de fútbol sub-17 de España,U-17サッカースペイン代表
Elecciones generales de España de 1989,1989年スペイン総選挙
Selección femenina de voleibol de España,バレーボールスペイン女子代表
Club Deportivo Guijuelo,CDギフエロ
Real Club Celta de Vigo Fortuna,セルタ・デ・ビーゴB
Elecciones generales de España de 1977,1977年スペイン総選挙
Club Voleibol Tenerife,CVテネリフェ
Aitzgorri,アイスコリ
Área metropolitana de San Sebastián,サン・セバスティアン都市圏
Títulos reales y nobiliarios de España,スペイン貴族
Museo del Ferrocarril de Cataluña,カタルーニャ鉄道博物館
Campeonato Mundial de Gimnasia Rítmica de 1993,1993年世界新体操選手権
Batalla del cabo Cherchel,シェルシェル岬沖海戦
Superliga Femenina de Voleibol,スペイン女子バレーボールリーグ
Gran Premio de la Comunidad Valenciana de 2005,2005年のバレンシアグランプリ
Campeonato Mundial de Gimnasia Rítmica de 1975,1975年世界新体操選手権
Campeonato Mundial de Gimnasia Rítmica de 2001,2001年世界新体操選手権
Club Atlético Voleibol Murcia 2005,CAVムルシア2005
Campeonato Mundial de Gimnasia Rítmica de 1985,1985年世界新体操選手権
Campeonato Mundial de Gimnasia Rítmica de 1998,1998年世界新体操選手権
Alcázar de Jerez de la Frontera,アルカサル・(ヘレス・デ・ラ・フロンテーラ)
Vuelta a España 2013,ブエルタ・ア・エスパーニャ2013
Bisaurín,ビサウリン山
Campeonato de España de patinaje sobre hielo,スペインフィギュアスケート選手権
Gran Premio de Cataluña de Motociclismo de 2002,2002年のカタルーニャグランプリ
Gran Premio de la Comunidad Valenciana de 2003,2003年のバレンシアグランプリ
Gran Premio de la Comunidad Valenciana de 2004,2004年のバレンシアグランプリ
Anexo:Conflictos hispano-marroquíes,モロッコにおける植民地戦争の一覧
McDonald's Championship FIBA-NBA,マクドナルド選手権
Gran Premio de España de Motociclismo de 2005,2005年のスペイングランプリ・(ロードレース)
"Ministerio de Asuntos Exteriores, Unión Europea y Cooperación",外務・欧州連合・協力省
Gran Premio de España de Motociclismo de 2002,2002年のスペイングランプリ・(ロードレース)
Club Baloncesto Granada,CBグラナダ
Moncayo,モンカヨ
Gran Premio de España de Motociclismo de 2004,2004年のスペイングランプリ・(ロードレース)
Gran Premio de España de Motociclismo de 2003,2003年のスペイングランプリ・(ロードレース)
Club de Fútbol Sporting Mahonés,CFスポルティング・マオネス
Sherco,シェルコ
Salamanca Club de Fútbol UDS,サラマンカCF・UDS
Hortaleza,オルタレサ
Selección de fútbol de Extremadura,サッカーエストレマドゥーラ州代表
Alianza Popular,国民同盟・(スペイン)
Feria de Abril,フェリア・デ・アブリル
Mugaritz,ムガリッツ
Brigada «Rey Alfonso XIII» II de La Legión,第2外人部隊旅団
Brigada «Guadarrama» XII,第12機甲歩兵旅団
Brigada «Galicia» VII,第7空中機動軽歩兵旅団
Brigada «Extremadura» XI,第11機械化歩兵旅団
Gran Premio de la Comunidad Valenciana de 2002,2002年のバレンシアグランプリ
Selección de fútbol de Navarra,サッカーナバラ州代表
Cuenca de Pamplona,クエンカ・デ・パンプローナ
Códice de Roda,ロダ写本
Universidad de Mondragón,モンドラゴン大学
Universidad Abierta de Cataluña,カタルーニャ・オベルタ大学
Parque Casilda Iturrizar,ドニャ・カシルダ・イトゥリサル公園
Base Aérea de Torrejón de Ardoz,トレホン・デ・アルドス空軍基地
Comarca de San Sebastián,ドノスティアルデア
Ictíneo II,イクティネオII
Serie 112 de Renfe,レンフェ112系
Telediario,テレディアリオ
Fira Barcelona,フィラ・デ・バルセロナ
Estación de Orense,オウレンセ・エンパルメ駅
Candidatura de Madrid a los Juegos Olímpicos de 2016,マドリードオリンピック構想
Candidatura de Madrid a los Juegos Olímpicos de 2020,2020年マドリードオリンピック構想
Presidente de la Junta de Comunidades de Castilla-La Mancha,カスティーリャ＝ラ・マンチャ自治州首相
Sitio de Barcelona (1706),バルセロナ包囲戦・(1706年)
Elecciones al Parlamento de Galicia de 2001,2001年ガリシア自治州議会選挙
Navas de Tolosa,ナバス・デ・トロサ
Elecciones al Parlamento de Galicia de 2005,2005年ガリシア自治州議会選挙
Partido de los Socialistas de Galicia-PSOE,ガリシア社会主義者党
El Rocío,エル・ロシーオ
Palacio Chávarri,チャバリ宮殿
Catedral de Santa María (Vitoria),サンタ・マリア・デ・ビトリア大聖堂
Zutik,スティク
Azkuna Zentroa,アスクナ・セントロア
Euskotren,バスク鉄道
Basílica de Nuestra Señora de Begoña,ベゴニャ教会
Gran Vía de Don Diego López de Haro,ドン・ディエゴ・ロペス・デ・アロ大通り
Marlins Puerto de la Cruz,テネリフェ・マーリンズ
Europa Press,ヨーロッパ・プレス
Entrevista de Hendaya,アンダイエ会談
Estrella (Renfe),エストレーリャ
Consejo de Ministros (España),Category:スペインの内閣
Mantecadas de Astorga,マンテカーダ
Villa de Vallecas,ビリャ・デ・バリェカス
Montesa (motocicletas),モンテッサ・ホンダ
Liga Nacional de Fútbol Americano,リーガ・ナシオナル・デ・フットボル・アメリカーノ
Catedral de Tudela,トゥデラ大聖堂
Catedral del Buen Pastor (San Sebastián),サン・セバスティアン大聖堂
Embalse de Ullíbarri-Gamboa,ウリバリ＝ガンボア貯水池
Funicular de Archanda,アルチャンダ・ケーブルカー
Funicular de Igueldo,イゲルド・ケーブルカー
Alvarado I,アルバラド太陽熱発電所
Central solar Extresol,エストゥレソル太陽熱発電所
Gemasolar,ヘマソラール
Sierra de Andía,アンディア山地
Festival Internacional de Cine de Gijón,ヒホン国際映画祭
La Voz de Galicia,ラ・ボス・デ・ガリシア
Puerto de Ferrol,フェロル港
Selva de Irati,イラティの森
Atlético Sanluqueño Club de Fútbol,アトレティコ・サンルケーニョCF
Spantax,スパンタックス
Parque nacional de Monfragüe,モンフラグエ国立公園
Elecciones al Parlamento de Galicia de 1997,1997年ガリシア自治州議会選挙
Federación Regional Española de la AIT,国際労働者協会スペイン地域連盟
Diurno (Renfe),ディウルノ
Esquerra Unida del País Valencià,バレンシア国左翼連合
Estadio Municipal de Ipurúa,エスタディオ・ムニシパル・デ・イプルーア
Estación de Ronda,ロンダ駅
Río Sar,サル川
División territorial de España en 1833,1833年スペイン地方行政区分再編
Montes de León,レオン山地
Instituto Gallego de Estadística,ガリシア統計局
Gaelco Multimedia,ガエルコ
Ciudad Deportiva de Paterna,シウダ・デポルティーバ・デ・パテルナ
Estación de Atxuri,ビルバオ＝アチュリ駅
Arte rupestre del arco mediterráneo de la península ibérica,イベリア半島の地中海沿岸の岩絵
Anexo:Montañas de España,スペインの山の一覧
Partido Socialista de Andalucía (2001-2011),アンダルシーア社会党
Estación de Irún,イルン駅
Club de Futbol Pobla de Mafumet,CFポブラ・ダ・マフメート
Estación de Ávila,アビラ駅
Margarita Salas,マルガリータ・サラス
Estadio Municipal de El Plantío,エスタディオ・エル・プランティオ
Getxo Rugby Taldea,ゲチョ・アルテアRT
Marismas del Guadalquivir,ラス・マリスマス
Río Salazar,サライツ川
Ministerio de Vivienda (España),住宅省・(スペイン)
Concierto Andaluz,アンダルシア協奏曲
Santuario de Aránzazu,アランツァス聖堂
Sporting Atlético,スポルティング・アトレティコ
Panchineta,パンチネタ
Basket Navarra Club,バスケット・ナバーラ・クラブ
Donostia Arena 2016,イジュンベ闘牛場
Fernán Caballero (Ciudad Real),フェルナン・カバジェーロ
Anexo:Concurso Internacional de Música Maria Canals,マリア・カナルス・バルセロナ国際音楽演奏コンクール
Cueva de Santimamiñe,サンティマミニェ洞窟
Concurso Internacional de Piano José Iturbi,バレンシア国際ピアノコンクール・イトゥルビ賞
Sociedad anónima deportiva,ソシエダ・アノニマ・デポルティーバ
Mejorada del Campo,メホラーダ・デル・カンポ
Ministerio del Interior (España),内務省・(スペイン)
Venezolanos,ベネズエラ人
Sierra de Aralar,アララール山地
Renfe Avant,アバント・(列車)
Estadio Francisco Artés Carrasco,エスタディオ・フランシスコ・アルテス・カラスコ
Anexo:Torneo de Valencia 2010 (individual masculino),2010年バレンシア・オープン500シングルス
Mileurista,トウィックスター
Museo de Arte Contemporáneo del País Vasco-Artium Museoa,アルティウム
Partido Comunista de Galicia,ガリシア共産党
Anexo:Torneo de Valencia 2010 (dobles masculino),2010年バレンシア・オープン500ダブルス
Cortes de Castilla-La Mancha,カスティーリャ＝ラ・マンチャ自治州議会
Premios Gaudí,ガウディ賞
Tratado de Aranjuez (1777),アランフエス条約・(1777年)
Partido Socialista Popular (España),人民社会党・(スペイン)
IZAR,イサル
Vuelo 11 de Avianca,アビアンカ航空011便墜落事故
Derbi barcelonés,バルセロナダービー
Casco Viejo (Bilbao),カスコ・ビエホ・(ビルバオ)
Torre Iberdrola,イベルドローラ・タワー
Carrera aérea París-Madrid (1911),1911年のパリ・マドリード間レース
El Liberal (Madrid),エル・リベラル
Anova-Irmandade Nacionalista,アノーバ＝イルマンダーデ・ナショナリスタ
Selección de fútbol de las Islas Baleares,サッカーバレアレス諸島代表
Esquerda Unida,ガリシア統一左翼
Estadio de A Malata,エスタディオ・デ・ア・マラタ
Ministerio de Agricultura (España),農業漁業食料省
Anexo:Distritos de Madrid,マドリードの行政区
Domus (La Coruña),ア・コルーニャ人間科学館
Rayo Cantabria,ラージョ・カンタブリア
O Parrulo Fútbol Sala,オ・パルロ・フェロルFS
Tríptico Werl,ウェルル祭壇画
Atentado de la T4,2006年マドリード＝バラハス空港爆弾事件
Museo Vasco del Ferrocarril,バスク鉄道博物館
Isla de Ons,オンス島
Toma de Menorca (1708),メノルカ島の占領
Universidad Rovira i Virgili,ルビーラ・イ・ビルジーリ大学
Doña Juana la Loca,狂女フアナ
Elecciones al Parlamento de Galicia de 1989,1989年ガリシア自治州議会選挙
Derbi gallego,ガリシア・ダービー
Sierra de Urbasa,ウルバサ山地
Derbi vasco,バスクダービー
Elecciones al Parlamento de Galicia de 1993,1993年ガリシア自治州議会選挙
Derbi canario,カナリア諸島ダービー
Elecciones al Parlamento de Galicia de 1981,1981年ガリシア自治州議会選挙
Elecciones al Parlamento de Galicia de 1985,1985年ガリシア自治州議会選挙
Tratado de Madrid (1801),マドリード条約・(1801年)
División de Honor de béisbol,ディビシオン・デ・オノール・デ・ベイスボル
Unió Esportiva Santboiana,UEサンボイアナ
Cinco Naciones Femenino 2001,2001年女子ファイブ・ネイションズ・チャンピオンシップ
Partido Socialista del País Valenciano,バレンシア国社会党
Fútbol Club Barcelona (voleibol),CVバルセロナ
Anexo:Temporada 2012-13 del Club Atlético de Madrid,2012-13・アトレティコ・マドリード
Club Baloncesto Clavijo,CBクラビホ
Meridiano cero,本初子午線
TOPO (San Sebastián),メトロ・ドノスティアルデア
Meridiano internacional de referencia del IERS,IERS基準子午線
Estadio de Atocha,エスタディオ・デ・アトーチャ
OK Liga,OKリーガ
Universidad Pública de Navarra,ナバーラ州立大学
Deporte en España,スペインのスポーツ
Puente de María Cristina,マリア・クリスティーナ橋
Base Aérea de Armilla,アルミーリャ空軍基地
La infanta María Teresa de España,マリア・テレサ王女・(ベラスケスの絵画)
Ducado de Franco,フランコ公爵
Rayo Vallecano de Madrid (femenino),ラージョ・バジェカーノ・フェメニーノ
Torneo de Mallorca,マヨルカ選手権
Serie 446 de Renfe,レンフェ446系電車
Serie 447 de Renfe,レンフェ447系電車
Levante Unión Deportiva (femenino),レバンテUD・(女子)
Base Aérea de Alcantarilla,アルカンタリーリャ空軍基地
Orfeón Donostiarra,オルフェオン・ドノスティアラ
Patrimonio del mercurio: Almadén e Idrija,水銀の遺産アルマデンとイドリヤ
Partido Socialista Obrero Español de la Comunidad de Madrid,マドリード社会労働党
Diana y Calisto (Rubens),ディアナとカリスト・(ルーベンス)
Pichela,ビアマグ
Lhardy,ラルディ
Línea 3 (Metrovalencia),3号線・(メトロバレンシア)
Elecciones al Parlamento Europeo de 1994 (España),1994年欧州議会議員選挙・(スペイン)
Elecciones al Parlamento Europeo de 1989 (España),1989年欧州議会議員選挙・(スペイン)
Elecciones al Parlamento Europeo de 1987 (España),1987年欧州議会議員選挙・(スペイン)
Vichy Catalán,ヴィッチーカタラン
Copa Ibérica de fútbol,コパ・イベリカ
Heraldo de Aragón,エラルド・デ・アラゴン
Iglesia de San Antón (Bilbao),サン・アントン教会
Teatro Arriaga,アリアーガ劇場
Asedio de San Sebastián,サン・セバスティアン包囲戦
Península de La Magdalena,マグダレーナ半島
Peña Telera,テレラ山
Enseñanza universitaria en España,スペインの大学
Puente de San Antón (Bilbao),サン・アントン橋
Gestamp Automoción,ゲシュタンプ・オートモシオン
Plaza de toros de Vista Alegre (Bilbao),ビスタ・アレグレ闘牛場
Arroz caldoso,カルドソ
Barquillo,バルキージョ
Txuri-urdin,チュリ・ウルディン・(曲)
Pueblo asturiano,アストゥリアス人
Restaurante Sant Pau,レストラン・サンパウ
Iraurgi Saski Baloia,イラウギSB
Línea 2 (Metrovalencia),2号線・(メトロバレンシア)
Anexo:Trayectoria del Athletic Club,アスレティック・ビルバオの年度別成績一覧
Tratado de El Pardo (1761),エル・パルド条約・(1761年)
Carros de combate del Ejército de Tierra español,スペインの戦車
Cordillera Prebética,プレベティコ山系
Vuelta al País Vasco 2013,バスク一周2013
Trashumancia,移牧
Elecciones al Parlamento Europeo de 2004 (España),2004年欧州議会議員選挙・(スペイン)
Quincena Musical de San Sebastián,サン・セバスティアン音楽週間
Natación en los Juegos Olímpicos de Barcelona 1992 – 200 metros braza femenino,1992年バルセロナオリンピックの競泳競技・女子200m平泳ぎ
Río Oyarzun,オイアルツン川
Base Aérea de Zaragoza,サラゴサ空軍基地
Anexo:Presentaciones de España para el Óscar a la mejor película internacional,アカデミー国際長編映画賞スペイン代表作品の一覧
Club Deportivo Onda,CDオンダ
Puente Nuevo (Murcia),ヌエボ橋・(ムルシア)
Estación de Sitges,シッチェス駅
Anexo:Etapas de la Vuelta a España 2008,ブエルタ・ア・エスパーニャ2008各ステージ結果
Combate de Cartagena (1798),1798年7月15日の海戦
Akaoni Studio,アカオニ・スタジオ
Liga Nacional de Fútbol Profesional,リーガ・デ・フトボル・プロフェシオナル
Gran Premio de España de Motociclismo de 2008,2008年のスペイングランプリ・(ロードレース)
Anexo:Himnos de las Comunidades autónomas de España,スペインの自治州歌
Asador Etxebarri,アサドール・エチェバリ
Grandeza de España,グランデ
Club Atlético de Madrid (femenino),アトレティコ・マドリード・フェメニーノ
Retrato de caballero (Carpaccio),若い騎士の肖像
Plaza Alta (Algeciras),アルタ広場・(アルヘシラス)
Anexo:Gran Premio de España de 2013,2013年スペイングランプリ
Volta a Cataluña 2013,カタルーニャ一周2013
Añorga Kirol eta Kultur Elkartea,アニョルガKKE
Elecciones a las Cortes Valencianas de 1983,1983年バレンシア州議会選挙
Museo de Lérida,リェイダ博物館
Carmelitas de la Caridad de Vedruna,愛徳カルメル修道会
Batalla de Fuengirola,フエンヒローラの戦い
Iglesia de San Miguel Arcángel (Estella),聖ミゲル教会・(エステーリャ)
Jarramplas,ハランプラ
Batalla de los Collejares,コレハレスの戦い
González Byass,ゴンサレス・ビアス
Brasil vs. Italia (Copa Mundial de Fútbol de 1982),イタリア・VS・ブラジル・(1982・FIFAワールドカップ)
Selección de fútbol de Menorca,サッカーメノルカ島代表
Cueto (Cantabria),クエト
"La Anunciación (El Greco, etapa italiana)",受胎告知・(エル・グレコ、ティッセン＝ボルネミッサ美術館)
Tratado de Aranjuez (1752),アランフエス条約・(1752年)
Uni Girona Club de Bàsquet,ウニ・ジローナCB
Tratado de Aranjuez (1780),アランフエス条約・(1780年)
Club Deportivo Palencia Cristo Atlético,CDパレンシア・クリスト・アトレティコ
Club Deportivo Arenteiro,CDアレンテイロ
Concurso Internacional de Piano Compositores de España,CIPCE
Potaje,ポタージュ
Derbi de Andalucía Oriental,東アンダルシア・ダービー
Anexo:Comparativa de periódicos de España,スペインの新聞
Festival Internacional de Santander,サンタンデール音楽祭
Museo Nacional de Artes Decorativas,国立装飾美術館・(スペイン)
Regimiento Acorazado «Córdoba» n.º 10,第10機械化歩兵旅団
Deportivo Alavés "B",デポルティーボ・アラベスB
Energía eólica en España,スペインの風力発電
El Portil,エル・ポルティル・イ・ヌエボ・ポルティル
Lanzamiento de cabra,聖なるヤギ投げ
Gastronomía de Castilla y León,カスティーリャ・イ・レオン料理
Selección de fútbol de Castilla y León,サッカーカスティーリャ・レオン州代表
Adoración del nombre de Jesús (Monasterio de El Escorial),イエスの御名の礼拝
Ducado de Suárez,スアレス公爵
Tratado de Madrid (1667),マドリード条約・(1667年)
Premios Cinematográficos José María Forqué,フォルケ賞
Unió Esportiva Olot,UEオロト
Airbus A319 MPA,A319・MPA
Grupo de los Ocho (España),スペイン8人組
Real Sociedad de Fútbol (femenino),レアル・ソシエダ・フェメニーノ
Marquesado del Valle de Oaxaca,バジェ・デ・オアハカ侯爵
Inmaculada Concepción (Capilla Oballe),無原罪の御宿り・(エル・グレコ、トレド)
Gran Premio de Madrid,マドリード大賞
Ouigo,Ouigo
"Bautismo de Cristo (El Greco, Retablos del Hospital Tavera)",キリストの洗礼・(エル・グレコ、トレド)
ARIES XXI,イエベス40m電波望遠鏡
Ribera Navarra Fútbol Sala,リベラ・ナバーラFS
Estadio Cerro del Espino,エスタディオ・セロ・デル・エスピノ
Apoteosis de santo Tomás de Aquino (Zurbarán),聖トマス・アクィナスの神格化
Arroz bomba,ボンバ米
Bioparc Fuengirola,フエンヒローラ生物園
Huevos a la flamenca,フラメンカエッグ
Agrupación Deportiva Ceuta Fútbol Club,ADセウタFC
Asociación Deportiva Mérida,ADメリダ
Referéndum para la aprobación del Estatuto de Núria,1931年カタルーニャ自治法住民投票
Premio Jaén,国際ピアノコンクール・ハエン賞
Defensa de Cádiz contra los ingleses,カディスの防衛
Derbi castellano y leonés,デルビ・カステリャレオネス
Dúo Sacapuntas,ドゥオ・サカプンタス
Tholos de El Romeral,エル・ロメラル遺跡
Cordero asado,子羊のロースト
Carrera de San Jerónimo,サン・ヘロニモ通り
Anexo:Entrenadores del Club Atlético de Madrid,アトレティコ・マドリードの監督一覧
Crucifixión (Juan de Flandes),キリストの磔刑・(フアン・デ・フランデス)
Estación de Manzanares,マンサナーレス駅
Elecciones al Parlamento Europeo de 2014 (España),2014年欧州議会議員選挙・(スペイン)
Lechazo de Castilla y León,カスティーリャ・イ・レオンの乳飲み子羊
Lloma de Betxí,ヨマデベッチ
Linares Deportivo,リナーレス・デポルティーボ
Unidad de Operaciones Especiales (España),UOE
Unidad Especial de Intervención (Guardia Civil),UEI
Festival de Málaga,マラガ映画祭
Marquesado de Villaverde,ビリャベルデ侯爵
Masacre de Puerto Hurraco,プエルト・ウラコの虐殺
Premios Fundación BBVA Fronteras del Conocimiento,BBVA・Foundation・Frontiers・of・Knowledge・Award
Museo del Bonsái (Marbella),盆栽博物館・(マラガ県)
Pico Tres Mares,トゥレスマレス山
Pintura barroca de España,スペイン黄金時代美術
Primera División de España 2013-14,リーガ・エスパニョーラ2013-2014
Pepito de ternera,ペピート
Puente Viejo (Abarán),ビエホ橋・(アバラン)
Retrato del cardenal Tavera,枢機卿フアン・パルド・デ・タベーラの肖像
Sección de Voleibol del Real Madrid Club de Fútbol,レアル・マドリード・ボレイボル
Partido Popular de Andalucía,アンダルシーア国民党
Saturno (Rubens),我が子を食らうサトゥルヌス・(ルーベンス)
Teide (A-11),テイデ・(補給艦)
Universidad Politécnica de Cartagena,カルタヘナ工科大学
Selección de fútbol de Castilla-La Mancha,サッカーカスティーリャ・ラ・マンチャ州代表
"La Sagrada Familia con santa Ana (El Greco, Hospital de Tavera)",聖家族・(エル・グレコ、タベーラ施療院)
Inmigración japonesa en España,日系スペイン人
Valle 1 y Valle 2,バジェ太陽熱発電所
Tratado de París (14 de agosto de 1879),パリ条約・(1879年8月14日)
Tratado de París (21 de agosto de 1879),パリ条約・(1879年8月21日)
Vista y plano de Toledo,トレドの景観と地図
Anexo:Futbolistas del Club Atlético de Madrid,アトレティコ・マドリードの選手一覧
Mezquita (banda),メズキータ
CFS Jumilla,CFSフミーリャ
Estación de Salamanca,サラマンカ駅
The Rain in Spain,スペインの雨
Parque de la Florida,フロリダ公園
Universidad Camilo José Cela,カミーロ・ホセ・セラ大学
Talgo XXI,レンフェ355系気動車
Gastronomía de la provincia de Segovia,セゴビア料理
Casa de Vargas,バルガス家
Museo del Romanticismo (Madrid),ロマン主義博物館・(マドリード)
Museo Nacional y Centro de Investigación de Altamira,アルタミラ国立博物館研究センター
Unión Deportiva Las Palmas Atlético,UDラス・パルマス・アトレティコ
Lorca Fútbol Club (2003),ロルカFC
Equipos españoles de fútbol en competiciones internacionales,欧州カップ戦におけるラ・リーガのクラブ
La Mancha (vino),ラ・マンチャ・(DO)
Puente de la Constitución de 1812,1812年憲法橋
Plaza de toros de Zaragoza,サラゴサ闘牛場
Puente de La Salve,サルベ橋
Estación de Medina del Campo,メディナ・デル・カンポ駅
Real Sociedad de Fútbol "C",レアル・ソシエダC
Anexo:Estadísticas del Athletic Club,アスレティック・ビルバオの記録と統計
Real Valladolid Club de Fútbol Promesas,レアル・バリャドリード・プロメサス
Banco Santander,サンタンデール銀行
Base Aérea de Talavera,タラベラ・ラ・レアル空軍基地
Anexo:Trayectoria del Valencia Club de Fútbol,バレンシアCFの年度別成績一覧
Sociedad Deportiva Tarazona,SDタラソナ
España en los Juegos Olímpicos de Sochi 2014,2014年ソチオリンピックのスペイン選手団
Teatro español del Siglo de Oro,スペイン黄金世紀演劇
Santa Margarita (Tiziano),聖マルガリタ・(ティツィアーノ)
Escanciar,エスカンシアール
Ruta europea E902,E902号線
Almudín de Játiva,ラルモディ博物館
Selección femenina de rugby 7 de España,7人制ラグビー女子スペイン代表
Selección masculina de rugby 7 de España,7人制ラグビー男子スペイン代表
Elecciones generales de España de 2015,2015年スペイン総選挙
Colisión de 1983 en Barajas,マドリード・バラハス空港地上衝突事故
Hospital de Górliz,ゴルリス病院
Derbi asturiano,アストゥリアス・ダービー
Diario de Navarra,ディアリオ・デ・ナバーラ
Categoría:Misiones diplomáticas en España,Category:在スペイン外国公館
Museo del Traje (Madrid),服飾博物館
Estación de Bríncola,ブリンコラ駅
Categoría:Temporadas de la Primera División de España,Category:リーガ・エスパニョーラ・シーズン
Instalaciones de Lezama,インスタラシオネス・デ・レサマ
Club de Fútbol Internacional de Madrid,インテルナシオナル・デ・マドリード
Palacio de Ibaigane,イバイガネ
Castillo de Ampudia,アンプディア城
Pacto Democrático por Cataluña,カタルーニャ民主協定
ElDiario.es,エル・ディアリオ
Elecciones a la Asamblea Regional de Cantabria de 1987,1987年カンタブリア自治州議会選挙
Partido Popular de la Comunidad de Madrid,マドリード国民党
Frente Atlético,フレンテ・アトレティコ
Fútbol Club Barcelona (béisbol),FCバルセロナ・ベイスボル
Club Recreativo Granada,クルブ・レクレアティーボ・グラナダ
Hispavox,イスパボックス
San Inazio Beisbol Elkartea,サン・イナシオBE
Selecta Visión,セレクタ・ビシオン
Museo Nacional de Cerámica y Artes Suntuarias González Martí,ゴンサーレス・マルティ国立陶器・装飾芸術博物館
Siroco (S-72),シロコ・(潜水艦)
Elecciones al Parlamento Vasco de 2001,2001年バスク自治州議会選挙
Anexo:Premio Nacional de Cinematografía,スペイン映画国民賞
Elecciones a la Asamblea Regional de Cantabria de 1983,1983年カンタブリア自治州議会選挙
RCR Arquitectes,RCRアルキテクタス
Clásica de San Sebastián 2013,クラシカ・サンセバスティアン2013
Saicus Air,サイカス・エア
Fiesta de San Juan,聖ヨハネの前夜祭
Relaciones España-Japón,日西関係史
STOXX Europe 600,ストックス欧州600指数
Centro histórico de Córdoba,コルドバ歴史地区
Lechazo asado (cordero lechal),乳飲み子羊のロースト
CD Hielo Bipolo,CDイエロ・ビポロ
Anexo:Jugadores con más partidos del Athletic Club,アスレティック・ビルバオの選手一覧
Ciudad vieja de Salamanca,サラマンカの旧市街
Estación de Deba,デバ駅
Río Estepona,エステポナ川
Río Barbadún,バルバドゥン川
Real Academia Española,レアル・アカデミア・エスパニョーラ
Río Butrón,ブトロン川
Río Altube,アルトゥベ川
Rosellón,ルシヨン
Vía Catalana hacia la Independencia,カタルーニャ独立への道
Santuario de San Andrés de Teixido,サント・アンドレ・デ・テイシド礼拝堂
Anexo:Gran Premio de España de 2014,2014年スペイングランプリ
Anexo:Gran Premio de España de 1989,1989年スペイングランプリ
Accidente ferroviario de Santiago de Compostela,サンティアゴ・デ・コンポステーラ列車脱線事故
Chana (juego),チャナ・(スポーツ)
Presidente de la Generalidad Valenciana,バレンシア州首相
Podemos,ポデモス
Anexo:Temporada 2013-14 del Club Atlético de Madrid,2013-14・アトレティコ・マドリード
Euskal Irrati Telebista,EITB
Epidemia de ébola de 2014-2016,2014年の西アフリカエボラ出血熱流行
Intempo,レジデンシャル・イン・テンポ
Liga Europa de la UEFA 2014-15,UEFAヨーロッパリーグ・2014-15
Cerámica de Manises,マニセス・(陶磁器)
Falange Española,ファランヘ党
