Россия,러시아
Комендантский проспект (станция метро),코멘단츠키 프로스펙트역
140-й меридиан восточной долготы,동경 140도
90-й меридиан восточной долготы,동경 90도
Койлуото,코일루오토섬
Всесоюзный референдум о сохранении СССР,1991년 소련 국민투표
142-й меридиан восточной долготы,동경 142도
Екатеринбург-Пассажирский,예카테린부르크역
Московский международный кинофестиваль 1979,제11회 모스크바 국제 영화제
Государственный фонд кинофильмов Российской Федерации,고스필모폰드
141-й меридиан восточной долготы,동경 141도
Аймак,아이막
"Киевская (станция метро, Арбатско-Покровская линия)",키옙스카야역 (아르바츠코 포크롭스카야선)
"Украина (гостиница, Москва)",호텔 우크라이나 (모스크바)
Проспект Большевиков (станция метро),프로스펙트 볼셰비코프역
Дзержинская линия,제르진스카야선
Елизаровская,옐리자롭스카야역
Старая Деревня (станция метро),스타라야 데레브냐역
Улица Дыбенко (станция метро),울리차 디벤코역
Крестовский остров (станция метро),크레스톱스키 오스트로프역
Ломоносовская,로모노솝스카야역
Алроса (авиакомпания),알로사 항공
Бийск (аэропорт),비스크 공항
Матросская тишина (следственный изолятор),마트로스카야 티시나 감옥
Следственный комитет Российской Федерации,러시아 연방수사위원회
Российско-белорусская граница,러시아-벨라루스 국경
Щёлковская,숄콥스카야역
Крылатское (станция метро),크릴라츠코예역
"Пионерская (станция метро, Москва)",피오네르스카야역 (모스크바 지하철)
Водный стадион (станция метро),보드니 스타디온역
Каховская (станция метро),카홉스카야역
"Строгино (станция метро, Арбатско-Покровская линия)",스트로기노역
Бабушкинская (станция метро),바부시킨스카야역
"Алексеевская (станция метро, Москва)",알렉세옙스카야역
Красногвардейская (станция метро),크라스노그바르데이스카야역
Сретенский бульвар (станция метро),스레텐스키 불바르역
Славянский бульвар (станция метро),슬라뱐스키 불바르역
Калужская (станция метро),칼루시스카야역
Баррикадная,바리카드나야역
Улица 1905 года (станция метро),울리차 1905 고다역
Царицыно (станция метро),차리치노역
"Студенческая (станция метро, Москва)",스투덴체스카야역 (모스크바 지하철)
Медведково (станция метро),메드베드코보역
"Площадь Революции (станция метро, Москва)",플로샤디 레볼류치역
Удельная (станция метро),우델나야역
"Курская (станция метро, Арбатско-Покровская линия)",쿠르스카야역 (아르바츠코 포크롭스카야선)
Правительство Москвы,모스크바의 정부
Измайловское (муниципальный округ),이즈마일롭스코예 자치구
Шорт-трек на зимних Олимпийских играх 2014,2014년 동계 올림픽 쇼트트랙
150-й меридиан восточной долготы,동경 150도
110-й меридиан восточной долготы,동경 110도
170-й меридиан восточной долготы,동경 170도
Азиатский маршрут AH4,아시안 하이웨이 4호선
Российско-северокорейские отношения,러시아-조선민주주의인민공화국 관계
Сборная России по бейсболу,러시아 야구 국가대표팀
Бой при Хонканиеми,혼카니에미 전투
160-й меридиан восточной долготы,동경 160도
Коми-Пермяцкий округ,코미페르먀크 자치구
Азиатский маршрут AH8,아시안 하이웨이 8호선
"Арсенал (футбольный клуб, Тула)",FC 아르세날 툴라
Европейский маршрут E93,유럽 고속도로 93호선
Административно-территориальное деление Московской области,모스크바주의 행정 구역
Марксистская (станция метро),마륵시스츠카야역
Измайловская,이즈마일롭스카야역
"Автозаводская (станция метро, Москва)",압토자보츠카야역 (자모스크보레츠카야선)
"Рижская (станция метро, Калужско-Рижская линия)",리시스카야역
"Октябрьская (станция метро, Калужско-Рижская линия)",옥탸브리스카야역 (칼루시스코 리시스카야선)
Варшавская (станция метро),바르샵스카야역
Административно-территориальное деление Ставропольского края,스타브로폴 변경주의 행정 구역
"Арбатская (станция метро, Арбатско-Покровская линия)",아르바츠카야역 (아르바츠코 포크롭스카야선)
"Ленинский проспект (станция метро, Москва)",레닌스키 프로스펙트역 (모스크바 지하철)
"Ботанический сад (станция метро, Москва)",보타니체스키 사트역 (칼루시스코 리시스카야선)
Большой Екатерининский дворец,예카테리나궁
"Братиславская (станция метро, Москва)",브라티슬랍스카야역
ВЭБ Арена,VEB 아레나
Сила Сибири,시베리아의 힘
Лазурная (бухта),라주르나야만
Войска воздушно-космической обороны,러시아 항공우주 방위군
Реформа Вооружённых сил России (2008—2020),2008년 러시아 군사개혁
Выборы во Всероссийское учредительное собрание,1917년 러시아 총선
Авангард красной молодёжи,적색청년전위대
Паанаярви (национальный парк),파나얘르비 국립공원
Русскоязычные,러시아어권
Лаврентьевская летопись,로렌시아 연대기
Улица Скобелевская (станция метро),울리차 스코벨렙스카야역
Европейский маршрут E125,유럽 고속도로 125호선
"Площадь Ленина (станция метро, Новосибирск)",플로샤디 레니나역 (노보시비르스크 지하철)
Осколки (острова),오스콜키섬
Остров Робертсона,로베르트소나섬
Буревестник (аэропорт),부레베스트니크 공항
Солнечное затмение 1 июня 2030 года,2030년 6월 1일 일식
Солнечное затмение 20 апреля 2061 года,2061년 4월 20일 일식
Vitek,Vitek
Московский международный кинофестиваль 1987,제15회 모스크바 국제 영화제
Московский международный кинофестиваль 1989,제16회 모스크바 국제 영화제
Московский международный кинофестиваль 1991,제17회 모스크바 국제 영화제
Московский международный кинофестиваль 1993,제18회 모스크바 국제 영화제
Московский международный кинофестиваль 1995,제19회 모스크바 국제 영화제
Московский международный кинофестиваль 1999,제21회 모스크바 국제 영화제
Московский международный кинофестиваль 2000,제22회 모스크바 국제 영화제
Московский международный кинофестиваль 2001,제23회 모스크바 국제 영화제
Московский международный кинофестиваль 2002,제24회 모스크바 국제 영화제
Московский международный кинофестиваль 2004,제26회 모스크바 국제 영화제
Московский международный кинофестиваль 2005,제27회 모스크바 국제 영화제
Московский международный кинофестиваль 2006,제28회 모스크바 국제 영화제
Мастер спорта России международного класса,국제급 러시아 체육 명인
11-я армия ВВС и ПВО,제11 항공 및 방공군
Московский международный кинофестиваль 1997,제20회 모스크바 국제 영화제
Московский международный кинофестиваль 2003,제25회 모스크바 국제 영화제
АС-12,러시아 잠수함 로샤리크
102-я российская военная база,러시아 제102 군사기지
Московский международный кинофестиваль 2007,제29회 모스크바 국제 영화제
18-я пулемётно-артиллерийская дивизия,제18기관총포병사단
Лыжное двоеборье на зимних Олимпийских играх 2014,2014년 동계 올림픽 노르딕복합
Московский международный кинофестиваль 2008,제30회 모스크바 국제 영화제
Московский международный кинофестиваль 2009,제31회 모스크바 국제 영화제
Московский международный кинофестиваль 2010,제32회 모스크바 국제 영화제
Московский международный кинофестиваль 2011,제33회 모스크바 국제 영화제
Московский международный кинофестиваль 2012,제34회 모스크바 국제 영화제
Ржаной хлеб,호밀빵
4-я гвардейская армия ВВС и ПВО,제4항공및방공군
Bork,Bork
Прыжки с трамплина на зимних Олимпийских играх 2014,2014년 동계 올림픽 스키점프
Московский международный кинофестиваль 1961,제2회 모스크바 국제 영화제
Административно-территориальное деление Камчатского края,캄차카 변경주의 행정 구역
Административно-территориальное деление Краснодарского края,크라스노다르 변경주의 행정 구역
Административно-территориальное деление Астраханской области,아스트라한주의 행정 구역
Russia Beyond,Russia Beyond
Административно-территориальное деление Магаданской области,마가단주의 행정 구역
Административно-территориальное деление Красноярского края,크라스노야르스크 변경주의 행정 구역
Административно-территориальное деление Ямало-Ненецкого автономного округа,야말로네네츠 자치구의 행정 구역
Административно-территориальное деление Ненецкого автономного округа,네네츠 자치구의 행정 구역
Посольство Республики Корея в России,주러시아 대한민국 대사관
Атака на информационную систему,사이버 공격
Биробиджан I,비로비잔역
Барановский (станция),바라놉스키역
Благовещеньев день,주님 탄생 예고 대축일
Аэроэкспресс,아에로 익스프레스
Беломорская (станция метро),벨로모르스카야역
Боровское шоссе (станция метро),보롭스코예 쇼세역
Большой Москворецкий мост,볼쇼이 모스크보레츠키 다리
Бутырская (станция метро),부티르스카야역
ВСМ Москва — Казань,모스크바-카잔 고속철도
ВСМ Москва — Санкт-Петербург,모스크바-상트페테르부르크 고속철도
Вертолёты России,러시안 헬리콥터스
Верхние Лихоборы (станция метро),베르흐니예 리호보리역
Восточный военный округ,동부군관구
Выборы в Государственную думу Российской империи II созыва,1907년 1월 러시아 총선
Выборы в Государственную думу Российской империи III созыва,1907년 10월 러시아 총선
Выборы в Государственную думу Российской империи IV созыва,1912년 러시아 총선
Владивосток (порт),블라디보스토크항
Владивосток (станция),블라디보스토크역
Высокоскоростные железные дороги в России,러시아의 고속철도
Горное (Итуруп),고르나에 (쿠릴스키군)
Герб Екатеринбурга,예카테린부르크의 문장
Герб Перми,페름의 문장
"Дмитриева, Оксана Генриховна",옥사나 드미트리예바
"Дворников, Александр Владимирович",알렉산드르 드보르니코프
"Деловой центр (станция метро, Большая кольцевая линия)",델로보이 첸트르역 (볼샤야 콜체바야선)
Дельта Дона,마이오티스늪
Демиховский машиностроительный завод,데미호보 차량 공장
Дальневосточный завод «Звезда»,즈베즈다 조선소
Государственный академический университет гуманитарных наук,국립 인문 연구 대학교
Дальневосточный государственный университет путей сообщения,국립 극동 교통 대학교
Десна (приток Пахры),데스나강 (파흐라강의 지류)
Дунайская (станция метро),두나이스카야역
Дом на Мосфильмовской,하우스 오브 모스필무브스카야
Жулебино (станция метро),줄레비노역
"Знание (издательство, Санкт-Петербург)",즈나니예
Залив Академии,아카데미만
Закон о запрете пропаганды ЛГБТ в России,동성애 선전 금지법
Зимняя Универсиада 2019,2019년 동계 유니버시아드
Институт марксизма-ленинизма (Москва),소비에트연방공산당 중앙위원회부설 마르크스-레닌주의 연구원
"Институт криптографии, связи и информатики","암호화, 통신 및 컴퓨터 과학 연구원"
Иркутск-Пассажирский,이르쿠츠크역
Кинбурнский полуостров,킨부른반도
Киров (станция),키로프역
Некрасовская линия,네크라솝스카야선
"Колос (футбольный клуб, Краснодар)",FC 콜로스 크라스노다르
Кашкулакская пещера,카시쿨락스카야 동굴
Коммунисты России,러시아의 공산주의자들
Лухмановская,루흐마놉스카야역
Косино (станция метро),코시노역
Космос-3М,코스모스-3M
Омский завод транспортного машиностроения,옴스크트란스마시
Котельники (станция метро),코텔니키역
Кочкильдино,코치킬디노
Кутузовская (станция МЦК),쿠투좁스카야역 (모스크바 중앙 순환선)
Лермонтовский проспект (станция метро),레르몬톱스키 프로스펙트역
Ломоносовский проспект (станция метро),로모노솝스키 프로스펙트역
Лефортово (станция метро),레포르토보역
Лахта-центр,라흐타 센터
Манежная площадь (Санкт-Петербург),마네즈나야 광장 (상트페테르부르크)
"Министерство цифрового развития, связи и массовых коммуникаций Российской Федерации",러시아 통신언론부
Министерство сельского хозяйства Российской Федерации,러시아 농업부
Медаль «За укрепление боевого содружества» (Минобороны России),군사 협력 강화 메달
Мексикано-российские отношения,러시아-멕시코 관계
"Михайловка (Михайловский район, Приморский край)",미하일롭카
Московский институт электроники и математики,모스크바 전자 수학 연구원
Центральный автовокзал (Москва),모스크바 중앙 버스 터미널
НЕФАЗ,넵테캄스크 자동차 공장
"Мичуринский проспект (станция метро, Солнцевская линия)",미추린스키 프로스펙트역 (칼리닌스코 솔른쳅스카야선)
Нижегородская (станция метро),니제고로츠카야역 (모스크바 지하철)
Национальный исследовательский центр эпидемиологии и микробиологии имени Н. Ф. Гамалеи,가말레야 국립 전염병 및 미생물학 센터
Зенит (станция метро),노보크레스톱스카야역
"Савёловская (станция метро, Большая кольцевая линия)",사뵬롭스카야역 (볼샤야 콜체바야 선)
Новопеределкино (станция метро),노보페레델키노역
Некрасовка (станция метро),네크라솝카역
Н035 Ирбис,Irbis-E
Новикомбанк,노비콤은행
Новый Диск,노비 디스크
Око (комплекс небоскрёбов),OKO
"Носов, Дмитрий Юрьевич",드미트리 노소프
Ночные волки,밤의 늑대들
Морской (муниципальный округ),모르스코이 자치구
Окская (станция метро),옥스카야역
Окружная (станция метро),오크루즈나야역 (류블린스코 드미트롭스카야선)
Орловская правда,오를롭스카야 프라브다
Осетинская кухня,오세티야 요리
Острова Среднего,스레드네고섬
Омск-Пассажирский,옴스크역
Озёрная (станция метро),오조르나야역
Отрада (Кунашир),오트라다 (사할린주)
Паралимпийский комитет России,러시아 패럴림픽 위원회
Ягляярви,애글래호
"Песков, Дмитрий Сергеевич",드미트리 페스코프
Павловский район (Санкт-Петербург),파블롭스키구 (상트페테르부르크)
Толвоярви (озеро),톨바호
Паромная переправа Ванино — Холмск,바니노-홀름스크 철도연락선
Перевальное (Крым),페레발노예
Волгоград Арена,볼고그라드 아레나
Площадь Гагарина (станция МЦК),플로샤디 가가리나역
Перемышль (Калужская область),페레미실
Пермь II,페름역
Петровский парк (станция метро),페트롭스키 파르크역
Проспект Славы (станция метро),프로스펙트 슬라비역
Посольство Абхазии в России,주러시아 압하지야 대사관
Посольство Австрии в России,주러시아 오스트리아 대사관
Раменки (станция метро),라멘키역
Посольство Таджикистана в России,주러시아 타지키스탄 대사관
Росгосстрах,로스고스스트라흐
Посольство Украины в России,주러시아 우크라이나 대사관
Российские автомобильные дороги,러시아 고속도로
Р-29РМУ2.1,R-29RMU2 라이네르
Российский государственный социальный университет,러시아 국립 사회 대학교
РУСАДА,러시아 반도핑 기구
Российско-узбекистанские отношения,러시아-우즈베키스탄 관계
Рейдово,레이다바
Дворец Путина,푸틴 궁전
Российское социалистическое движение,러시아 사회주의 운동
Россия (поезд),로시야호
Российско-южнокорейские отношения,한러 관계
Раздольное (Приморский край),라즈돌노예
Румянцево (станция метро),루먄체보역
Русский музей фотографии,러시아 사진 박물관
Русский крест (демография),러시안 크로스
Саларьево (станция метро),살라리예보역
Улица Дмитриевского (станция метро),울리차 드미트리옙스코고역
Селигерская (станция метро),셀리게르스카야역
Транспортный коридор Север — Юг,국제남북운송회랑
Северный речной вокзал,북부강 터미널
Славное (Сахалинская область),시베토로촌
Солнцево (станция метро),솔른체보역
Ростов Арена,로스토프 아레나
Солидарность Самара Арена,사마라 아레나
Ростех Арена,칼리닌그라드 스타디움
Нижний Новгород (стадион),니즈니노브고로드 스타디움
Стахановская (станция метро),스타하놉스카야역
"Спартак-2 (футбольный клуб, Москва)",FC 스파르타크-2 모스크바
Судебная система Российской Федерации,러시아의 사법제도
Тайшет (станция),타이셰트역
Сухой Лог (месторождение),수호이 로그 광산
Терехово (станция метро),테레호보역
Тюмень (станция),튜멘역
"Беговая (станция метро, Санкт-Петербург)",베고바야역 (상트페테르부르크 지하철)
Тугурский залив,투구르스키만
Угольная (станция),우골나야역
Улан-Удэ (станция),울란우데역
Ховрино (станция метро),호브리노역
Ульянка (муниципальный округ),울랸카 자치구
"Народное Ополчение (станция метро, Большая кольцевая линия)",나로드노에 오폴체니예역
Федеральная антимонопольная служба,연방반독점원
Федеральная служба по интеллектуальной собственности,연방지적재산원
"Юго-Восточная (станция метро, Москва)",유고 보스토츠나야역
Федеральный университет,러시아의 연방대학교
Уссурийск (станция),우수리스크역
Фонвизинская,폰비진스카야역
Фонд борьбы с коррупцией,반부패 재단
Фрунзенская набережная,프룬젠스카야 강변도로
Наш дом — Россия,우리 집 러시아
"Хинштейн, Александр Евсеевич",알렉산드르 힌시테인
ЦСКА (станция метро),TsSKA역
Россети,로세티 (기업)
Хасан (станция),하산역
Хорошёвская (станция метро),호로시욥스카야역
Чита II,치타역
Чёрный дельфин,흑돌고래 교도소
Чемпионат мира по конькобежному спорту на отдельных дистанциях 2013,2013년 세계 종목별 스피드스케이팅 선수권 대회
Локомотив (станция МЦК),로코모티프역
ЭД4,RZD ED4
Яндекс Диск,얀덱스 디스크
"Электрозаводская (станция метро, Большая кольцевая линия)",옐렉트로자보츠카야역 (볼샤야 콜체바야선)
Шелепиха (станция метро),셸레피하역 (볼샤야 콜체바야선)
Южно-Сахалинск (станция),유즈노사할린스크역
Мордовия Арена,모르도비야 아레나
Южный речной вокзал,남부강 터미널
Sky Express (Россия),스카이 익스프레스
Шушары (станция метро),슈샤리역
Шикотанское землетрясение (1994),홋카이도 동쪽 해역 지진
Землетрясение на Камчатке (1959),1959년 캄차카 지진
Землетрясения на Курилах (1963),1963년 쿠릴 열도 지진
Падение метеорита Челябинск,2013년 첼랴빈스크 운석 낙하
Коломна (муниципальный округ),콜롬나 자치구
Орловско-Брянская операция,브랸스크 전투
Битва у Корсакова,코르사코프 해전
"Деловой центр (станция метро, Солнцевская линия)",델로보이 첸트르역 (칼리닌스코 솔른쳅스카야선)
Постоянные члены Совета Безопасности ООН,유엔 안전 보장 이사회 상임이사국
Федерация фигурного катания на коньках России,러시아 피겨스케이팅 연맹
Матч за звание чемпиона мира по шахматам 2014,2014년 세계 체스 선수권 대회
Ороки,윌타인
Министерство экономического развития Российской Федерации,러시아 경제개발부
Монгольские народы,몽골족
Северо-Корейское течение,북한한류
Краскинское городище,크라스키노 토성
Южные Курилы,홋포 지역
Дом дружбы между российским и японским народами,일본인과 러시아인 우호의 집
Звезда (телеканал),즈베즈다 (방송)
Калашников (компания),칼라시니코프 콘체른
Российско-таджикистанские отношения,러시아-타지키스탄 관계
Самоубийства в России,러시아의 자살
ЮТэйр Карго,유테이르 카고
Клязьма,클랴지마강
Сайга (река),사이가강
Чемпионат России по футболу 2013/2014,러시아 프리미어리그 2013-14
Московский международный кинофестиваль 2013,제35회 모스크바 국제 영화제
Тюменский государственный университет,튜멘 국립대학교
Азиатский маршрут AH30,아시안 하이웨이 30호선
Мировой суд (Россия),치안법원 (러시아)
Военная академия имени М. В. Фрунзе,미하일 프룬제 군사 대학
Тосно (футбольный клуб),FC 토스노
Кёрлинг на зимних Олимпийских играх 2014 (женщины),2014년 동계 올림픽 컬링 여자
Замок Шаакен,샤켄성
Катастрофа Boeing 737 в Казани,타타르스탄 항공 363편 추락 사고
Аврора (авиакомпания),오로라 (항공사)
Н036 Белка,벨카 (레이더)
Битцевский парк (станция метро),비쳅스키 파르크역
Лесопарковая (станция метро),레소파르코바야역
Россия сегодня,로시야 시보드냐
Фигурное катание на зимних Олимпийских играх 2014 — одиночное катание (мужчины),2014년 동계 올림픽 피겨스케이팅 남자 싱글
Республика Крым,크림 공화국
Крымский федеральный округ,크림 연방관구
Фигурное катание на зимних Олимпийских играх 2014 — одиночное катание (женщины),2014년 동계 올림픽 피겨스케이팅 여자 싱글
Церемония закрытия зимних Олимпийских игр 2014,2014년 동계 올림픽 폐막식
Русский ирредентизм,러시아 민족통일주의
Силы специальных операций Российской Федерации,특수작전부대 (러시아)
Российско-украинская война,러시아-우크라이나 전쟁
Российская оккупация Крыма,러시아의 크림반도 점령
Антивоенные протесты в России (2014),2014년 러시아 반전 시위
Аннексия Крыма Российской Федерацией,러시아의 크림반도 합병
"Авиамоторная (станция метро, Большая кольцевая линия)",아비아모토르나야역 (볼샤야 콜체바야선)
Вежливые люди,리틀 그린 맨
"Минская (станция метро, Москва)",민스카야역
Мнёвники (станция метро),므뇨브니키역
Ахмат Тауэр,아크맛 타워
Зюзино (станция метро),주지노역
Донецкая Народная Республика,도네츠크 인민공화국
Мемориал жертвам депортации 1944 года (Грозный),1944년 국외 추방 희생자를 위한 기념관
Добролёт (авиакомпания),도브로렛 항공
Народное ополчение Донбасса,연합 노보로시야군
"Кунцевская (станция метро, Большая кольцевая линия)",쿤쳅스카야역 (볼샤야 콜체바야선)
"Проспект Вернадского (станция метро, Большая кольцевая линия)",프로스펙트 베르나츠코보역 (볼샤야 콜체바야선)
Рассказовка (станция метро),라스카좁카역
"Новаторская (станция метро, Большая кольцевая линия)",노바톨스카야역
Breakthrough Prize,브레이크스루 상
Луганская Народная Республика,루간스크 인민공화국
Московский международный кинофестиваль 2014,제36회 모스크바 국제 영화제
Карелия (футбольный клуб),FC 카렐리아 페트로자보츠크
"Бородай, Александр Юрьевич",알렉산드르 보로다이
Говорово (станция метро),고보로보역
Ангара-1.2ПП,안가라-1.2pp
Санкции против России (2014),러시아-우크라이나 전쟁 중 국제 제재
Катастрофа в Московском метрополитене (2014),2014년 모스크바 지하철 탈선 사고
114-я отдельная гвардейская мотострелковая бригада,보스토크 대대
Россия на летних Олимпийских играх 2016,2016년 하계 올림픽 러시아 선수단
Азиатский маршрут AH64,아시안 하이웨이 64호선
Сахалин (хоккейный клуб),PSK 사할린
Сияние Севера,북극광 파이프라인
Sputnik,스푸트니크 (뉴스 통신사)
Чемпионат мира по шорт-треку 2015,2015년 세계 쇼트트랙 선수권 대회
Победа (авиакомпания),포베다 항공
Валютный кризис в России (2014—2015),2014~2015년 러시아 경제 위기
Национальный центр управления обороной Российской Федерации,국가국방관리센터
Технополис «Москва» (в районе Печатники),테크노폴리스 모스크바
Объединённая вагонная компания,연합화차회사
Турецкий поток,터키스트림
Убийство Бориса Немцова,보리스 넴초프 피살 사건
ВСМ Пекин — Москва,모스크바-베이징 고속철도
Белоярский (аэропорт),벨로야르스크 공항
Чемпионат мира по тхэквондо 2015,2015년 세계 태권도 선수권 대회
Президентские выборы в России (2018),2018년 러시아 대통령 선거
Герб Челябинска,첼랴빈스크의 문장
Выборы в Государственную думу (2016),2016년 러시아 의회선거
Гайдаровский форум,가이다르 포럼
Объединённое стратегическое командование «Северный флот»,북극합동전략사령부
Давыдково (станция метро),다빗코보역
Аминьевская (станция метро),아미니옙스카야역
Воронцовская (станция метро),보론촙스카야역
"Мичуринский проспект (станция метро, Большая кольцевая линия)",미추린스키 프로스펙트역 (볼샤야 콜체바야선)
"Захарова, Мария Владимировна",마리야 자하로바
Fancy Bear,팬시베어
Стрешнево (станция МЦК),스트레시네보역
Балтийская (станция МЦК),발티스카야역 (모스크바 중앙 순환선)
Коптево (станция МЦК),콥테보역
Чемпионат Европы по шорт-треку 2016,2016년 유럽 쇼트트랙 선수권 대회
Посейдон (подводный аппарат),포세이돈 드론
Северный морской путь,북극해 항로
Новохохловская (станция МЦК),노보호흘롭스카야역
Cozy Bear,코지 베어
Чемпионат мира по конькобежному спорту на отдельных дистанциях 2016,2016년 세계 종목별 스피드스케이팅 선수권 대회
Катастрофа Boeing 737 в Ростове-на-Дону,플라이두바이 981편 추락 사고
Лужники (станция МЦК),루즈니키역
Панфиловская (станция МЦК),판필롭스카야역
Зорге (станция МЦК),조르게역
Нижегородская (станция МЦК),니제고로츠카야역 (모스크바 중앙 순환선)
Москва-Сити (станция МЦК),델로보이 첸트르역 (모스크바 중앙 순환선)
Library Genesis,라이브러리 제네시스
Хорошёво (станция МЦК),호로시요보역
Автозаводская (станция МЦК),압토자보츠카야역 (모스크바 중앙 순환선)
Ботанический сад (станция МЦК),보타니체스키 사트역 (모스크바 중앙 순환선)
Измайлово (станция МЦК),이즈마일로보역
Дубровка (станция МЦК),두브롭카역 (모스크바 중앙 순환선)
Sci-Hub,Sci-Hub
Ростокино (станция МЦК),로스토키노역
Бульвар Рокоссовского (станция МЦК),불바르 로코솝스코보역 (모스크바 중앙 순환선)
Угрешская (станция МЦК),우그레시스카야역
Крымская (станция МЦК),크림스카야역
Шелепиха (станция МЦК),셸레피하역 (모스크바 중앙 순환선)
Верхние Котлы (станция МЦК),베르흐니예 코틀리역
Соколиная Гора (станция МЦК),소콜리나야 고라역
МиГ-41,미코얀 PAK DP
Росгвардия,러시아 국민위병
ЗИЛ (станция МЦК),ZIL역
"Коммунарка (станция метро, Сокольническая линия)",콤무나르카역
Мир (платёжная система),미르 (결제 시스템)
Континентальная лига по League of Legends,리그 오브 레전드 컨티넨탈 리그
Wildberries,Wildberries
Российская лунная программа,루나 글로브
Лихоборы (станция МЦК),리호보리역
Окружная (станция МЦК),오크루즈나야역 (모스크바 중앙 순환선)
Московское центральное кольцо,모스크바 중앙 순환선
Белокаменная (станция МЦК),벨로카멘나야역
Владыкино (станция МЦК),블라디키노역 (모스크바 중앙 순환선)
Шоссе Энтузиастов (станция МЦК),쇼세 옌투지아스토프역 (모스크바 중앙 순환선)
Андроновка (станция МЦК),안드로놉카역
Восточный экономический форум,동방경제포럼
Прокшино (станция метро),프록시노역
Ольховая (станция метро),올호바야역
Финал Кубка конфедераций 2017,2017년 FIFA 컨페더레이션스컵 결승전
Филатов Луг,필라토프 루크역
Олимпийские спортсмены из России на зимних Олимпийских играх 2018,2018년 동계 올림픽 러시아 출신 선수단
Катастрофа Ту-154 под Сочи,2016년 러시아 국방부 투폴레프 Tu-154 추락 사고
Зимние Всемирные военные игры 2017,2017년 동계 세계 군인 체육 대회
Теракт в Петербургском метрополитене (2017),2017년 상트페테르부르크 지하철 폭탄 테러
Преследование ЛГБТ в Чечне,체첸의 동성애자 반대 숙청
Чемпионат России по футболу 2017/2018,러시아 프리미어리그 2017-18
Президентские выборы в России (2024),2024년 러시아 대통령 선거
FEDOR,표도르 (로봇)
Мост Дружбы (Приморье),조선-러시아 우정의 다리
Выборы в Государственную думу (2021),2021년 러시아 의회선거
Чемпионат мира по футболу 2018. Группа B,2018년 FIFA 월드컵 B조
Финал чемпионата мира по футболу 2018,2018년 FIFA 월드컵 결승전
Чемпионат мира по футболу 2018. Группа A,2018년 FIFA 월드컵 A조
Чемпионат мира по футболу 2018. Группа E,2018년 FIFA 월드컵 E조
Чемпионат мира по футболу 2018. Группа D,2018년 FIFA 월드컵 D조
Чемпионат мира по футболу 2018. Группа C,2018년 FIFA 월드컵 C조
Чёртовы Ворота,악마의 문 동굴
Эвенкийская мифология,에벤크 신화
"Швыткин, Юрий Николаевич",유리 시빗킨
Русское имперское движение,러시아 제국운동
ЧВК «Вагнер»,바그너 그룹
Алиса (голосовой помощник),앨리스 (가상 비서)
Морская пехота Российской Федерации,러시아 해군 보병
Катастрофа Ан-148 в Подмосковье,사라토프 항공 703편 추락 사고
Аэропорт Кневичи (станция),크네비치역
Чемпионат мира по футболу 2018. Плей-офф,2018년 FIFA 월드컵 결선 토너먼트
Чемпионат мира по футболу 2018. Группа F,2018년 FIFA 월드컵 F조
Чемпионат мира по футболу 2018. Группа H,2018년 FIFA 월드컵 H조
Чемпионат мира по футболу 2018. Группа G,2018년 FIFA 월드컵 G조
Пожар в торговом центре «Зимняя вишня»,케메로보 쇼핑몰 화재
Россия будущего,미래러시아당
Кинжал (авиационный ракетный комплекс),Kh-47M2 킨잘
Генеральное консульство США во Владивостоке,주블라디보스토크 미국 총영사관
Сочи (футбольный клуб),PFC 소치
Чемпионат России по футболу 2018/2019,러시아 프리미어리그 2018-19
Футбольный матч Испания — Россия (2018),러시아 대 스페인 (2018년 FIFA 월드컵)
Инцидент в Керченском проливе,2018년 케르치 해협 사건
С-70 «Охотник»,수호이 S-70 아호트니크-B
Взрыв в жилом доме в Магнитогорске,2018년 마그니토고르스크 아파트 붕괴 사고
Восток — 2018,보스토크 2018
Гран-при России 2020 года,2020년 러시아 그랑프리
Ракетные войска стратегического назначения Российской Федерации,전략 로켓군
Небанковская кредитная организация,네오뱅크
Аварийная посадка A321 под Жуковским,우랄 항공 178편 불시착 사고
One Tower,원 타워
Чемпионат России по футболу 2019/2020,러시아 프리미어리그 2019-20
Катастрофа SSJ 100 в Шереметьеве,아에로플로트 1492편
Московский международный кинофестиваль 2019,제41회 모스크바 국제 영화제
Пандемия COVID-19,코로나19 범유행
Лесные пожары в Сибири (2019),2019년 시베리아 산불
Чемпионат России по футболу 2020/2021,러시아 프리미어리그 2020-21
Распространение COVID-19 в России,러시아의 코로나19 범유행
Летняя Универсиада 2023 (Россия),2023년 FISU 하계 세계 대학 경기 대회
Общероссийское голосование по поправкам к Конституции России,2020년 러시아 국민투표
Заявление о прекращении огня в Нагорном Карабахе (2020),2020년 나고르노카라바흐 휴전 협정
Разлив дизельного топлива в Норильске,노릴스크 경유 유출 사고
Новые люди (партия),새로운 사람들
Чемпионат России по футболу 2021/2022,러시아 프리미어리그 2021-22
Московский международный кинофестиваль 2020,제42회 모스크바 국제 영화제
Азиатский маршрут AH9,아시안 하이웨이 9호선
Массовое убийство в гимназии № 175,카잔 학교 총기 난사 사건
КовиВак,코비박 코로나19 백신 (러시아)
Мужское государство,남자의 국가
Протесты в поддержку Алексея Навального (2021),2021년 러시아 시위
Список недружественных государств (Россия),비우호국 목록
Взрыв на шахте «Листвяжная» (2021),리스트뱌즈나야 탄광 화재
