Stefano Cerioni,斯特凡诺·切廖尼
Luigi Cinque,路易吉·五
Marco Galli,马尔科·加利
Marco Falaschi,馬爾科·法拉斯奇
Marco Fainello,马尔科·法伊内罗
Mario Sperone,马里奥·斯皮罗内
Mario Trebbi,马里奥·特雷比
Mirko Petrini,米尔科·佩特里尼
Ermavilo,埃尔马维洛
Matteo Mecacci,马提欧·梅卡奇
Mario Russo,马里奥·鲁索
Marco Liorni,马可·廖尔尼
Mirko Taccola,米尔科·塔科拉
Luigi Castagnola,路易吉·卡斯塔尼奥拉
Matteo Zanotti,马泰奥·萨诺蒂
Mario Sesti,馬里歐·塞斯蒂
Matteo Zennaro,马泰奥·曾纳罗
Matteo Musumeci,马泰奥·穆蘇梅齊
Marco Mancosu,马尔科·曼科苏
Matteo Trevisan,马泰奥·特雷维桑
Marisa Jossa,玛莉莎·乔萨
Marco Martani,馬可·馬坦尼
Marco Morandi,马尔科·莫兰迪
Luigi Cimara,路易吉·西马拉
Mark Strukelj,马克·图利奥·斯特鲁凯利
Marco Negri,马尔科·内格里
Marco Martinelli,马尔科·马丁内利
Monica Bonetto,莫妮卡·博内托
Monica Setta,莫妮卡·塞塔
Martina Miceli,马丁娜·米切利
Maurizia Paradiso,毛里奇亚·帕拉迪索
Maurizio Abbatino,毛里齐奥·阿巴蒂诺
Maurizio Acerbo,毛里齐奥·阿切尔博
Monica Vullo,莫妮卡·武洛
Luigi Di Costanzo,路易吉·迪科斯坦佐
Mariolina Sattanino,Mariolina Sattanino
Modesto Valle,莫德斯托·瓦莱
Marta Iacopini,玛塔·亚科皮尼
Marta Mangiucca,玛塔·曼吉卡
Moreno Longo,莫雷諾·隆戈
Moreno Morello,莫雷诺·莫雷洛
Mario Verdone,马里奥·韦尔东
Mario Zucca,马里奥·朱卡
Mascia Musy,马西娅·穆西
Marco Gelardini,马可·杰拉尔迪尼
Monica Ward,莫妮卡·沃德
Morena Salvino,莫雷纳·萨尔维诺
Massimiliano Benvenuto,马西米利亚诺·本韦努托
Massimiliano Bruno,马西米连诺·布鲁诺
Massimiliano Camaiti,马西米利亚诺·卡马蒂
Morgana Forcella,摩根纳·福尔切拉
Martina Carraro,玛蒂娜·卡拉罗
Marta Rezoagli,玛尔塔·雷佐阿利
Marta Zoffoli,玛塔·佐菲利
Luigi De Laurentiis,小路易吉·代·羅倫提斯
Nadia Rinaldi,娜迪亚·里纳尔迪
Nadia Toffa,娜迪亚·托法
Martina Caironi,玛蒂娜·凯罗尼
Myriam Catania,米里亚姆·卡塔尼亚
Massimiliano Irrati,馬西米利亞諾·伊拉提
Massimiliano Lotti,马西米利亚诺·洛蒂
Monica Leofreddi,莫妮卡·莱奥弗雷德迪
Nando Bruno,南多·布魯諾
Luigi Impastato,路易吉·印帕斯塔多
Maurizio Aiello,毛里齐奥·愛羅
Luigi Giorgi,路易吉·喬爾吉
Maurizio Battista,毛里齐奥·巴蒂斯塔
Massimiliano Ferrati,Massimiliano Ferrati
Marco Onorato,马可·昂诺拉托
Maurizio Beretta,毛里齐奥·贝雷塔
Massimiliano Medda,马西米利亚诺·梅德达
Massimiliano Vado,马西米利亚诺·瓦多
Massimiliano Varrese,马西米利亚诺·瓦雷塞
Maurizio Calvesi,毛里齐奥·凯尔维斯
Massimiliano Finazzer Flory,马西米利亚诺·菲纳泽尔·弗洛里
Nanda Primavera,南达·普里马维拉
Marco Ponti,马可·庞蒂
Marco Predolin,马可·普雷多林
Monica Maggioni,莫妮卡·马焦尼
Marco Salvador,马可·萨尔瓦多
Massimiliano Ferretti,马西米利亚诺·费雷蒂
Nanni Svampa,南妮·桑帕
Marco Rossi,马可·罗西
Massimiliano Alto,马西米利亚诺·阿尔图
Massimiliano Civica,马西米利亚诺·奇维察
Maurizio D'Ancora,莫里齊奧·達科拉
Marco Quaglia,马可·夸利亚
Marco Romano (schermidore),马尔科·罗马诺
Massimiliano Pazzaglia,马西米利亚诺·帕扎格利亚
Massimiliano Virgilii,马西米利亚诺·禾志利
Nanni Baldini,南尼·巴尔迪尼
Marco Pagani,马尔科·帕加尼
Natale Ciravolo,纳塔莱·西拉沃洛
Maurizio Fabrizio,毛里齊奧·法布里佐
Narciso Pezzotti,纳西索·佩佐蒂
Maurizio Galimberti,毛里濟奧•加林伯蒂
Maurizio Geri,毛里齐奥·杰里
Maurizio Crozza,莫里奇奥·克罗扎
Nando Dalla Chiesa,南多·达拉·基耶萨
Orazio Rancati,奥拉齐奥·兰卡蒂
Massimo Bartolini,马西莫·巴尔托利尼
Massimo Castagna,马西莫·卡斯塔尼亚
Massimo Bitossi,马西莫·比托西
Massimo Cerofolini,马西莫·切罗福利尼
Natale Tulli,纳塔莱·图里
Natale Massara,納塔萊·馬薩拉
Patrizia Pellegrino,帕特丽琪娅·佩莱格里诺
Oreste Mattirolo,奧雷斯泰·馬蒂羅洛
Massimo Colaci,馬西莫·科拉奇
Maurizio Lastrico,毛里齐奥·拉斯特里科
Maurizio Gucci,墨里奇奧·古馳
Maurizio Mattioli,毛里齐奥·马蒂奥利
Maurizio Merluzzo,莫里齐奥·梅尔卢扎索
Patrizia Scianca,帕特里齐亚·锡楚安卡
Massimo Cavaliere,马西莫·卡瓦列雷
Massimo Ciavarro,马西莫·恰瓦罗
Orlando Mezzabotta,奥兰多·梅扎博塔
Orsetta De Rossi,奥尔塞塔·德罗西
Peppe Lanzetta,佩普·兰泽塔
Oretta Fiume,奥蕾塔·阜姆
Massimo Bulla,马西莫·布拉
Massimo De Francovich,马西莫·代·弗兰科维奇
Maurizio Lupi,毛里齐奥·卢皮
Patrizia Rossetti,帕特里齐·亚罗塞蒂
Patrizia Salmoiraghi,Patrizia Salmoiraghi
Nello Mascia,內洛·馬西亞
Massimo De Santis,马西莫·代·聖提斯
Nduccio,Nduccio
Oscar Mammì,奧斯卡·馬米
Patrizio Marone,帕特里齐奥·马龙
Peter Marcias,彼得·马西亚斯
Massimo Foschi,马西莫·福斯基
Massimo Costantini,马西莫·科斯坦蒂尼
Massimo Di Benedetto,马西莫·迪贝内代托
Maurizio Marchetti,毛里齐奥·马尔凯蒂
Patrizia Mottola,帕特里齐亚·莫托拉
Nello Greco,塞巴斯蒂亚诺·格雷科
Nello Riviè,内勒·里维耶
Massimo Giacomini,馬西莫·加科米尼
Massimo Gramellini,马西莫·格拉梅利尼
Pier Angelo Conti-Manzini,皮耶尔·安杰洛·孔蒂·曼齐尼
Orio Scaduto,奥里奥·斯卡杜托
Nello Governato,内洛·戈韦尔纳托
Nerina Montagnani,內里娜·蒙塔尼亞尼
Phil Mer,菲尔·梅尔
Philip Mangano,菲利普·曼加諾
Maurizio Millenotti,莫里吉奧·米倫納提
Osvaldo Ramous,奥斯瓦尔多·拉莫斯
Nico Pepe,尼科·佩佩
Maurizio Trombini,毛里齐奥·特隆比尼
Maurizio Rapotec,毛里齐奥·拉波特克
Massimo Cosmelli,马西莫·科斯梅利
Nerio Alessandri,内里奥·亚历山大
Massimo Guglielmi,马西莫·古列尔米
Otello Santelli,奥拉齐奥·圣泰利
Pier Giacomo Castiglioni,皮埃爾·賈科莫·卡斯蒂廖尼
Massimo Lodolo,马西莫·洛多洛
Osiride Pevarello,奥西里德·佩瓦雷洛
Pier Paolo Capponi,皮尔·保罗·卡波尼
Pier Paolo Lucchetta,皮耶尔·保罗·卢凯塔
Nicola Bartolini Carrassi,瑞安·卡拉西
Nicola Badalucco,尼古拉·巴达卢科
Nicola Chiaromonte,尼古拉·喬洛蒙蒂
Pieraldo Ferrante,皮拉尔多·费兰特
Niccolò Senni,尼科洛·森尼
Niccolò Accursio Di Leo,阿库尔西·狄·莱奥
Pier Luigi Giani,皮埃尔·路易吉·吉亚尼
Pierangelo Vignati,皮耶兰杰洛·维尼亚蒂
Niccolò Figari,尼科洛·菲加里
Nicola Carraro,尼古拉·卡拉罗
Maurizio Sarri,毛里齊奧·薩里
Maurizio Scattorin,莫里吉奥·斯卡托林
Ottavio Zoppi,Ottavio Zoppi大将
Ottavio Tazzi,奥塔维奥·塔齐
Nick Gentile,尼古拉·秦梯利
Maurizio Scaparro,毛里齐奥·斯卡帕罗
Nicola Costantino,尼古拉·科斯坦蒂诺
Maurizio Stirpe,毛里奇奥·斯蒂尔佩
Ottavio Jemma,奧塔維奧·杰馬
Oxana Corso,奥克萨娜·科尔索
Pierluigi Corallo,皮耶路易吉·科拉洛
Nicola Pignataro,尼古拉·皮尼亚塔罗
Piero Poli,皮耶罗·波利
Nicola Lagioia,尼可拉·拉吉歐亞
Nicola Lapenta,尼古拉·拉彭塔
Piero Rebaudengo,皮耶罗·雷包登戈
Piero Guarino,皮耶罗·瓜里诺
Piero Maccarinelli,皮耶罗·麦卡里内利
Nicola Granieri,尼古拉·格拉涅里
Nicola Guaglianone,尼古拉·瓜利亚诺内
Piero Natoli,皮耶罗·纳托利
Nicola Pistoia,尼古拉·皮斯托亞
Ottorino Flaborea,奥托里诺·弗拉博雷亚
Pamela Prati,帕梅拉·普拉蒂
Pierluigi Diaco,皮尔鲁吉·迪亚科
Mauro Mandolini,毛罗·曼多利尼
Pierluigi Cappello,皮埃盧維·卡佩洛
Mauro Cerioni,毛罗·切廖尼
Nicola Nocella,尼古拉·诺切拉
Mauro Marcheselli,毛罗·马尔切塞利
Pamela Pezzutto,帕梅拉·佩祖托
Pierluigi Zappacosta,皮耶路易吉·札帕科斯塔
Pierluigi Concutelli,皮尔路易吉·孔库泰利
Pierluigi Chicca,皮耶路易吉·基卡
Nicola Pende,尼古拉·彭德
Pamela Camassa,帕梅拉·卡马萨
Pamela Petrarolo,帕梅拉·彼得雷罗洛
Nicola Porro,尼古拉·波洛
Piero Pirelli,皮耶罗·皮雷利
Piero Vida,皮耶罗·维达
Piero Portaluppi,皮埃羅·波爾塔盧皮
Piero Schlesinger,皮耶罗·施莱辛格
Mauro Milanese,毛罗·米兰内斯
Mauro Gavotto,毛羅·加沃托
Mauro Gravina,毛罗·格拉维纳
Mauro Graiani,毛罗·格莱亚尼
Nicola Tesini,尼古拉·特西
Piero Brega,皮耶罗·布雷加
Pietra Montecorvino,皮埃特拉·蒙特科维诺
Paola Bizzarri,葆拉·比扎里
Mauro Scoccimarro,史科哥馬諾
Mauro Serio,毛罗·塞里奥
Nicola Siri,尼科拉·西里
Pietro Bontempo,彼得·本托姆
Mauro Marino,毛罗·马里诺
Mauro Ermanno Giovanardi,毛罗·埃尔曼诺·焦瓦纳尔迪
Paola Comencini,葆拉·科门奇尼
Paola D'Arienzo,保拉·达里恩佐
Piero Schivazappa,皮耶羅·斯基瓦扎帕
Mauro Bergonzi,毛罗·贝尔贡齐
Nicolas Viola,尼古拉斯·維奧拉
Nicolò Rode,尼科洛·罗德
Max Pisu,马克斯·皮苏
Max Tortora,马克斯·托尔托拉
Paola Della Pasqua,保拉·德拉·帕卡
Piero Anversa,皮耶罗·安韦萨
Pierpaolo Cristofori,皮耶尔保罗·克里斯托福里
Melania Corradini,梅拉尼娅·科拉迪尼
Melania Grego,梅拉尼娅·格雷戈
Pietro De Francisci,彼得羅·德·弗朗西里
Piero Tellini,皮耶洛·泰里尼
Paola Giannetti,保拉·詹内蒂
Paola Montenero,保拉·蒙特内罗
Paola Quattrini,保拉·夸特里尼
Nicoletta Caselin,尼科莱塔·卡塞林
Nicoletta Costa,尼科莱塔·科斯塔
Renato Novara,雷纳托·诺瓦拉
Paola Tiziana Cruciani,保拉·蒂齐亚娜·科努西亚
Paola Tovaglia,保拉·托瓦格利亚
Paola Valentini,保拉·瓦伦蒂尼
Paola Minaccioni,帕拉·迈纳克西奥尼
Piero Tiberi,皮耶罗·蒂贝里
Melissa,梅麗莎·奇門蒂
Max Croci,马克斯·克罗奇
Mavi Felli,马维·费利
Pietro Castellitto,彼得羅·卡斯特里托
Michael Reale,富尔维奥·瑞爾·狄·维尔吉利奥
Paolo Baratta,保罗·巴拉特
Micaela Pignatelli,米卡埃拉·皮尼亚泰利
Michael Cadeddu,迈克尔·卡迪杜
Michela Roc,米凯拉·罗克
Paola Turci,保拉·图尔奇
Renato Sarti,雷纳托·萨蒂
Memè Perlini,梅梅·佩里尼
Menotti,梅諾提
Max Laudadio,马克斯·劳达迪奥
Michela Brunelli,米切拉·布鲁内里
Paolo Baroni,保罗·巴罗尼
Paola Protopapa,保拉·普罗托帕帕
Nina Torresi,妮娜·托雷西
Renato Mieli,雷纳托·米利
Paolo Barelli,保罗·巴雷利
Paola Marella,保拉·马雷拉
Pietro Ghislandi,皮特罗·格希兰迪
Pietro Marcello,皮耶卓·馬切洛
Paolo Carnera,保羅·卡尼拉
Renzo Bariviera,伦佐·巴里维耶拉
Paola Perego,帕乌拉‧佩雷戈
Paola Pitti,保拉·皮蒂
Paolo Buglioni,保罗·布格利奥尼
Paolo Bernardini,保罗·贝尔纳迪尼
Renato Romano,雷納托·羅馬諾
Metis Di Meo,梅蒂斯·迪梅奥
Pietro Genuardi,彼得罗·热纳尔迪
Paolo Cellammare,保罗·塞拉梅尔
Michelangelo Tommaso,米开朗基罗·托马索
Paolo Buonvino,帕奧羅·布昂維諾
Paolo Caiazzo,保罗·卡亚佐
Paolo Calabresi,保罗·卡拉布雷西
Michelangelo Frammartino,米开朗基罗·弗兰马汀诺
Michele Antonioli,米凯莱·安东尼奥利
Nino Pagot,尼諾·帕戈特
Renato Sellani,雷纳托·瑟拉尼
Michela Cescon,米雪拉·塞尚
Michela Andreozzi,米切拉·安德烈莉齐
Renzo Ranuzzi,伦佐·拉努齐
Renzo Ricci,伦佐·里奇
Michela Miti,米凯拉·米蒂
Renzo Marignano,伦佐·马里尼亚诺
Michele Alhaique,米歇尔·阿海奎
Renzo Ulivieri,倫佐·烏利維耶里
Nino Dal Fabbro,尼诺·达尔·法布罗
Paolo Conticini,保罗·康蒂奇尼
Pietro Leone,彼得罗·莱昂内
Paolo Briguglia,保罗·布里古力亚
Nora Orlandi,諾拉·奧蘭迪
Noémi Tóth,托特·诺埃米
Pietro Ragusa,皮耶罗·拉库萨
Paolo Budinich,保羅·布迪尼克
Nino Scardina,尼诺·斯卡迪纳
Michele Cesari,米凯莱·切萨里
Paolo De Santis,保罗·德桑蒂斯
Pietro Santin,伯多祿·山蒂
Michele Conti,米歇尔·孔蒂
Riccardo Cervi,里卡多·塞爾維
Riccardo Brun,里卡多·布伦
Nunzia Schiano,纳齐亚·施基诺
Paolo Calissano,保罗·卡里萨诺
Novella Schiesaro,诺韦拉·斯基耶萨罗
Novello Novelli,诺韦洛·诺韦利
Pietro Secchia,彼得罗·塞恰
Pietro Sarubbi,彼得罗·萨鲁比
Paolo Cananzi,保罗·坎南扎
Paolo Canevari,保罗·卡内瓦里
Paolo Franchi,保罗·弗兰奇
Michele Gesualdi,米切莱·杰苏阿尔迪
Michele Fedrizzi,邁克·費德里茲
Olga Solbelli,歐嘉·索貝莉
Pietro Ubaldi,皮特罗·波第
Michele Nappi,米凯莱·纳皮
Michele Kalamera,米歇尔·卡拉梅拉
Paolo Frascatore,保羅·弗拉斯卡托雷
Michele Gammino,米凯莱·甘米诺
Olivia Manescalchi,奥利维亚·曼斯卡奇
Olivier Collarini,奥利维耶·科拉里尼
Oleg Antonov,奧列格·安東諾夫
Olga Bisera,欧嘉·布赖尔斯
Riccardo Donna,里卡多·多娜
Olinto Cristina,奥林托·克里斯蒂娜
Omar Galanti,奥马尔·加兰蒂
Oliviero Beha,奧利維羅·貝
Oliviero Corbetta,奥利维耶罗·科尔贝塔
Oliviero Dinelli,奥利维罗·迪尼利
Riccardo De Filippis,里卡多·代·德菲利皮斯
Olimpia Di Nardo,奥林匹亚·迪·纳多
Pif,皮弗
Riccardo De Magistris,里卡尔多·德马吉斯特里斯
Pina Picierno,皮纳·皮切尔诺
Michele Miranda,米凱萊·米蘭達
Massimo D'Antona,马西莫·德安托纳
Pina Cei,皮娜·切伊
Riccardo Dei Rossi,里卡尔多·代罗西
Riccardo Guarino,瑞卡爾多·瓜里諾
Paolo Kessisoglu,保罗·凯西什奥卢
Michele Pasinato,米凯莱·帕西纳托
Paolo Limiti,保羅·利米蒂
Paolo Lombardi,保罗·隆巴迪
Selvaggia Lucarelli,塞尔瓦吉亚·卢卡雷利
Selvaggia Quattrini,塞尔瓦吉亚·奎特里尼
Sebastiano Somma,塞瓦斯蒂诺·萨默
Michele Plastino,米歇尔·普拉斯蒂诺
Sebastiano Vinci,塞巴斯蒂安·芬奇
Riccardo Niseem Onorato,尼西姆·奥诺拉托
Paolo Malco,保罗·马尔科
Riccardo Leonelli,里卡多·莱昂内利
Riccardo Lombardo,里卡尔多·隆巴多
Paolo Marchese,保罗·马尔凯塞
Serena Garitta,塞雷娜·加里塔
Serena Rossi,塞雷娜·罗西
Pino Insegno,皮诺·因塞格诺
Serena Autieri,赛琳娜·奥代瑞
Serena Dandini,塞雷娜·丹迪尼
Serena Clerici,塞雷娜·克莱里奇
Paolo Mazzarelli,保罗·马扎雷利
Paolo Maria Scalondro,保罗·玛丽亚·塞隆德罗
Roberto Zibetti,罗伯托·齐贝蒂
Sergio Bardotti,塞尔吉奥·巴多蒂
Rocco Sabelli,洛克·萨贝利
Riccardo Montanaro,里卡多·蒙塔纳罗
Riccardo Peroni,里卡多·佩罗尼
Rocco D'Assunta,洛克·迪阿松塔
Rocco B. Commisso,羅科·科米索
Pino Pirovano,皮诺·皮罗瓦诺
Pino Calabrese,皮诺·卡拉布雷斯
Riccardo Moraschini,里卡多·莫拉斯奇尼
Paolo Migone,保罗·米贡
Pina Tufano,朱塞平娜·图法诺
Serena Verdirosi,塞雷娜·韦尔迪罗西
Sergio Bassi,塞尔焦·巴西
Pippo Barzizza,皮波·巴齐扎
Riccardo Tempestini,里卡尔多·滕佩斯蒂尼
Paolo Piffarerio,保罗·皮法雷里奥
Riccardo Sessa,谢飒
Pippo Pattavina,皮波·帕塔维纳
Pippo Starnazza,皮波·斯塔尔纳扎
Rodolfo Baldini,鲁道夫·巴尔迪尼
Paolo Petruccioli,保罗·佩特鲁奇
Rodolfo Bigotti,鲁道夫·比格蒂
Roby Zucchi,罗比·祖基
Riccardo Zinna,里卡多·辛纳
Riccardo Polizzy Carbonelli,里卡多·波莉齐·卡本利
Paolo Romano,保罗·罗马诺
Rodolfo Laganà,鲁道夫·拉加纳
Sergio Bustric,赛尔乔·比尼·布斯特里克
Riccardo Risaliti,里卡多·里萨利蒂
Rodolfo Corsato,鲁道夫·科萨托
Rodrigo D'Erasmo,羅德里戈·德拉斯莫
Riccardo Rossi,里卡尔多·罗西
Rinaldo Petrignani,里纳尔多·彼得里尼亚尼
Primo Baran,普里莫·巴兰
Nadir Minotti,納德爾·米諾迪
Paolo Ruffini,保祿·魯菲尼
Mauro Coruzzi,普拉蒂内特
Plinio Fernando,普利尼奥·费尔南多
Rodolfo Sonego,鲁道夫·索内戈
Paolo Sesana,保罗·塞萨纳
Riccardo Salvino,里卡多·薩爾維諾
Sergio Fenoaltea,芬诺提
Paolo Silvio Mazzoleni,保罗·马佐莱尼
Sergio Friscia,塞尔吉奥·弗里西亚
Rinaldo Ruatti,里纳尔多·鲁阿蒂
Paolo Ragosa,保罗·拉戈萨
Rolando Maran,罗兰多·马兰
Sergio Fiorentini,塞尔吉奥·费奥伦蒂尼
Paolo Taggi,帕奥罗·塔吉
Paolo Stringara,保罗·斯特林加拉
Paolo Zamboni,保羅·贊博尼
Primo Reggiani,普里莫·瑞吉安尼
Paolo Vittori,保罗·维托里
Paolo Ruffini,保罗·鲁菲尼
Paolo Tramezzani,保罗·特拉梅扎尼
Paolo Valeri,保罗·瓦莱里
Paolo Vivio,保罗·维维奥
Rinaldo Roggero,里纳尔多·罗杰罗
Rachele Bruni,拉凯莱·布鲁尼
Paolo Vecchi,保罗·韦基
Rolando Ravello,罗兰多·拉维洛
Rafael Tolói,拉斐尔·特洛伊
Raffaelangelo Palazzi,柏长青
Sergio Mattarella,塞尔焦·马塔雷拉
Pasquale Barra,帕斯夸莱·巴拉
Romina Mondello,罗敏娜·曼德罗
Pasquale Anselmo,帕斯夸莱·安塞尔莫
Paolo Triestino,保罗·特里斯蒂诺
Sergio Marelli,塞尔焦·马雷利
Pascal Persiano,帕斯卡·佩尔西亚诺
Sergio Lucchetti,塞尔吉奥·卢切蒂
Sergio Los,塞尔吉奥·洛斯
Romeo Ricciuti,李秋迪
Paolo Todeschini,保罗·托德斯齐尼
Paolo Torrisi,保罗·托里西
Romeo Romanutti,罗密欧·罗马努蒂
Romano Garagnani,罗马诺·加拉尼亚尼
Pasquale Finicelli,帕斯夸莱·菲尼切利
Rita Pelusio,丽塔·佩卢西奥
Rita Rusić,莉达·鲁斯可
Rita Savagnone,丽塔·萨维格诺
Sergio Ferriani,塞尔焦·费里亚尼
Sergio Montanari,塞尔吉奥·蒙塔纳里
Sergio Mocellini,塞尔焦·莫切利尼
Roberta Triggiani,Roberta Triggiani
Raffaele Amato,拉菲爾·阿馬托
Pasquale Mari,帕斯夸莱·马利
Romano Albani,羅馬諾·阿爾巴尼
Raffaele Fallica,拉斐尔·法里卡
Pasquale Hamel,帕斯夸莱·哈梅尔
Sergio Perticaroli,塞尔焦·佩尔蒂卡罗利
Roberto Accornero,罗伯托·阿科内罗
Roberta Castoldi,罗伯塔·卡斯托尔迪
Rino Serri,里諾·塞里
Rita Guarino,丽塔·瓜里诺
Roan Johnson,罗恩·约翰逊
Sergio Pugliese,塞爾吉奧·普格利塞
Sergio Pierattini,塞尔吉奥·皮耶拉蒂尼
Roberta Pinotti,羅貝塔·皮諾蒂
Roberto Bisacco,羅伯托·比薩科
Roberta Garzia,罗伯塔·加西亚
Roberta Giarrusso,罗伯塔·吉拉鲁索
Roberta Greganti,罗伯塔·格雷根蒂
Rosa Pianeta,罗莎·皮亚内塔
Raffaele Masto,拉法埃莱·马斯托
Sergio Salvati,塞爾吉奧·薩爾瓦蒂
Robert Rietti,勞勃·雷亞提
Roberta Beta,罗伯塔·贝塔
Sergio Tramonti,塞尔吉奥·特拉蒙蒂
Sergio Troiano,塞尔吉奥·特洛亚诺
Roberta Lanfranchi,罗伯塔·兰富兰奇
Roberta Lena,洛柏塔·莉娜
Pasquale Rodomonti,帕斯夸莱·罗多蒙蒂
Roberta Nanni,罗伯塔·南尼
Stefano Travaglia,斯蒂法諾·特拉瓦利亞
Stefano Tummolini,斯蒂法諾·圖莫里尼
Stefano Zuffi,史特弗諾·祖菲
Roberta Capua,罗伯塔·卡普阿
Roberto Bocchi,罗伯托·博奇
Roberto Bomprezzi,罗伯托·邦普雷齐
Sergio Spina,塞尔吉奥·斯皮纳
Rosanna Vaudetti,蘿珊娜·沃德蒂
Roberta Bianconi,罗伯塔·比安科尼
Rosalba Bongiovanni,罗莎巴·邦乔万尼
Rosalia Maggio,蘿莎莉雅·馬喬
Rosabell Laurenti Sellers,罗莎贝尔·劳伦蒂·塞勒斯
Roberto Casalino,魯貝托·卡薩利諾
Stelvio Rosi,斯泰尔维奥·罗西
Stefano Veneruso,斯蒂法諾·韋尼魯索
Roberto Cinquini,罗伯托·辛奎尼
Stella Carnacina,斯特拉·卡纳西娜
Raffaella Bergé,拉法利亚·贝格
Raffaella De Carolis,拉斐尔·德·卡洛里斯
Stefano Viali,斯蒂法诺·维亚利
Stefano Verderi,斯特凡诺·韦尔德里
Roberto Calcaterra,罗伯托·卡尔卡泰拉
Stella Musy,玛丽亚·斯特拉·穆西
Rosaria Renna,罗萨里亚·瑞纳
Susanna Fassetta,苏珊娜·法塞塔
Susanna Nicchiarelli,苏珊娜·尼基亚雷利
Susanna Messaggio,苏珊娜·梅萨焦
Pasquale Scimeca,帕斯夸莱·辛美卡
Rosario Rampanti,拉姆潘蒂
Sharon Gusberti,沙龙·古斯伯蒂
Susanna Ronconi,苏珊娜·隆科尼
Rosaria De Cicco,罗萨里亚·代·迪希科
Rosita Toros,羅西塔·托羅什
Susy Laude,苏西·劳德
Rosaria Aiello,罗萨里娅·阿耶洛
Roberto Brunetti,羅伯托·布魯內蒂
Roberto D'Amico,罗伯托·达米科
Walter Valdi,瓦尔特·瓦尔迪
Raffaella Ponzo,拉法埃拉·庞诺
Raffaella Rea,拉法埃拉·雷亚
Raffaella Manieri,拉法埃拉·马涅利
Silvano Basagni,西尔瓦诺·巴萨尼
Roberto Draghetti,罗伯托·德拉格蒂
Roberto Della Casa,罗伯托·德拉·卡萨
Roberto Cenci,罗伯托·琴奇
Roberto Cenni,罗伯托·塞尼
Roberto Ceriotti,罗伯托·塞里奥蒂
Roberto Certomà,罗伯托·切尔托马
Raimondo Manzini,拉伊蒙多·曼齊尼
Pasquale Schiattarella,帕斯奎爾·斯基亞塔拉
Raffaele Pisu,拉斐尔·皮塑
Raffaele Pucino,拉斐爾·普奇諾
Roberto Farnesi,罗伯特·弗尼斯
Roberto Dell'Acqua,罗伯托·戴尔阿夸
Rossella Drudi,罗塞拉·德拉迪
Susanna Bonfiglio,苏珊娜·邦菲利奥
Roberto Infascelli,罗伯托·英法斯凯利
Roberto Ferraris,罗伯托·费拉里斯
Roberto Ferrari (schermidore),罗伯托·费拉里 (击剑运动员)
Silvana Fallisi,锡尔弗纳·法利斯
Silvana Fantini,西尔瓦娜·范蒂尼
Ramona Dell'Abate,雷蒙娜·戴尔阿巴特
Rossano Rubicondi,罗萨诺·鲁比康迪
Raimondo Crociani,雷蒙多·克魯西尼
Red Canzian,莱德·坎齐安
Remo Remotti,雷莫·雷莫蒂
Roberto La Barbera,罗伯托·拉巴尔贝拉
Ruben Maria Soriquez,鲁本·玛丽亚·索丽克斯
Teo Mammucari,特奥·马默卡里
Rossella Falk,蘿塞拉·福克
Teresa Mannino,特蕾莎·曼尼诺
Ruben Rigillo,鲁本·里吉洛
Teddy Reno,特迪·里諾
Raniero Nicolai,拉涅罗·尼古拉
Teo Teocoli,特奥·特科利
Red Ronnie,莱德·罗尼
Renato Bosatta,雷纳托·博萨塔
Tania Di Mario,塔尼娅·迪马里奥
Roberto Lovati,羅伯托·洛瓦蒂
Remo Capitani,雷莫·卡皮塔尼
Roberto Gianviti,罗伯托·吉安维蒂
Tarcisio Stramare,塔尔奇西奥·斯特拉马雷
Raul Cremona,劳尔·克雷莫纳
Tata Giacobetti,塔塔·贾科贝蒂
Roberto Gervaso,罗伯托·格瓦索
Rossella Brescia,萝塞拉·布雷西亚
Ruggero Grieco,格里埃科
Tatti Sanguineti,塔蒂·桑吉内蒂
Thomas Trabacchi,托马斯·特拉巴齐
Thony,托尼
Renato Balestrero,雷纳托·巴莱斯特雷罗
Roberto Giachetti,羅伯托賈凱諦
Rudy Zerbi,鲁迪·泽尔比
Silvia Hsieh,謝嘉宜
Silvia Rocca,西尔维亚·罗卡
Silvia Todeschini,西尔维娅·托代斯基尼
Roberto Narducci,羅伯托·納爾杜奇
Roberto Nicolosi,羅伯托·尼科洛西
Silvia Bosurgi,西尔维娅·博苏尔吉
Rufo Emiliano Verga,鲁福·埃米利亚诺·韦尔加
Tilde Corsi,蒂尔德·科西
Tino Carraro,提諾·卡拉羅
Roberto Paci Dalò,罗伯托·帕奇·达洛
Valerio Staffelli,瓦莱里奥·斯塔法利
Teresa Frassinetti,特雷莎·弗拉西内蒂
Roberto Missiroli,罗伯托·米西罗利
Roberto Manzi,罗伯托·曼齐
Valerio Binasco,瓦莱里奥·比纳斯科
Silvia Verdone,西尔维亚·韦尔东
Teresa De Sio,特雷莎·德·西约
Valerio Mazzola,瓦萊里歐·馬佐拉
Valerio Merola,瓦莱里奥·梅罗拉
Roberto Parodi,罗伯托·帕罗迪
Silvio Baracchini,西尔维奥·巴拉基尼
Valerio Foglia Manzillo,瓦莱里奥·福利亚·曼萨约
Salvatore Adduce,萨尔瓦多举出
Thomas Fabbiano,托馬斯·法比亞諾
Roberto Masciarelli,罗伯托·马夏雷利
