Hebe Camargo,赫柏·卡马戈
Éldis Fernando Damasio,艾迪斯·費蘭度·達馬斯奧
Cacá Diegues,卡洛斯·迭格斯
Cândido Rondon,坎迪多·龍東
Thiago Lacerda,蒂亚戈·拉塞尔达
José Luis dos Santos Pinto,施辛奴
Gabriel Vasconcellos Ferreira,加布里埃尔·瓦斯康塞洛斯·费雷拉
Alexandro Alves do Nascimento,亚历山德罗·阿尔维斯·多·纳西门托
Tássio Maia dos Santos,塔西奥
Leandro Machado,萊昂德羅·馬查多
Sérgio Farias,塞尔吉奥·法里亚斯
Ricardo Maurício,里卡多·毛里西奥
Mauro Refosco,毛罗·莱福斯科
José Alves de Sà Trindade,若瑟·阿爾韋斯-德-薩-特林達德
Henri Castelli,亨利·卡斯泰利
Martha Overbeck,玛莎·奥弗贝克
Heloísa Helena,赫洛伊萨·海伦娜
José Graziano,若泽·格拉齐亚诺·达席尔瓦
Carmo Dalla Vecchia,卡尔默·达拉·维奇亚
libaneses-brasileiros,黎巴嫩裔巴西人
Wallace Oliveira dos Santos,华莱士·奥利维拉·多斯桑托斯
Benjamin Insfran,本杰明·因斯福兰
Aloísio Lorscheider,類思·洛爾沙伊德爾
Obina,奥比纳
Maicon Marques Bitencourt,马尔干·马基斯
Jacob Palis,雅各布·帕里斯
Fogo,烈火
Alan Osório da Costa Silva,阿兰·奥索里奥·达·科斯塔·席尔瓦
José Macia,荷西·馬西亞
Farès Maakaroun,法里斯·馬卡倫
João Saldanha,若昂·薩爾達尼亞
Cuca,库卡
Viola,維歐拉
Elias Mendes Trindade,埃里亚斯·门德斯·特林达德
Fernanda de Freitas,费尔南达·德·弗雷塔斯
Arnaldo Baptista,阿纳尔多·巴蒂斯塔
Adalberto Pereira dos Santos,阿達爾維托·杜斯·桑托斯
Yasmin Cury,雅斯敏·库里
Adiel de Oliveira Amorim,艾迪爾·達·奧利華拉·艾莫林
Zé Mario,泽·马里奥
Mario Caldato Jr.,小馬力歐·卡爾達托
Marco Maia,馬爾科·馬亞
Bianca Comparato,比安卡·孔帕拉托
Nikão,尼康
João Olavo Souza,若奧·索薩
Welinton,韦林顿·索萨·席尔瓦
Cecília Meireles,塞西莉亚·梅雷莱斯
Fernando Francisco Reges,費蘭度·列謝斯
Romero Jucá,羅梅羅·茹卡
Angélica,安赫丽卡
Christine Fernandes,克里斯蒂娜·费尔南德斯
Angelo Benedicto Sormani,安哲羅·索爾曼尼
Marcos Venâncio de Albuquerque,马科斯·维纳西奥·德·阿布奎克
Jair Rosa Pinto,雅伊尔·达罗萨·平托
Jean Raphael Vanderlei Moreira,Jean (足球選手)
Marcus Vinicius Vieira de Souza,馬庫斯·文尼休斯
Lily Safra,莉莉·萨夫拉
Jonathan Cícero Moreira,乔纳森·莫雷拉
Guilherme Alvim Marinato,马里纳图
Carlos Carmelo de Vasconcelos Motta,卡洛斯·卡梅洛·瓦斯康切洛斯·莫塔
Danilo Fernando Avelar,達尼洛·費南多·阿維拉爾
Eduardo Paes,愛德華多·佩斯
Guinga,吉加
Edmar Bernardes dos Santos,埃德马尔
Flávio Saretta,弗拉維奧·薩雷塔
Jaime de Barros Câmara,雅各伯·德·巴羅斯·卡馬拉
Dadeus Grings,達德烏斯·格林格斯
Ísis Valverde,伊斯·巴尔韦德
José Aldo,何塞·奥尔多
Alexandre Pires,亚历山德雷·皮雷斯
João Inácio Júnior,尤安·纳西奥·莒尼奥尔
Paulo Vitor Barreto de Souza,巴列圖
Dadá Maravilha,达里奥
Sebastião de Bourbon e Bragança,西班牙和葡萄牙的塞巴斯蒂安
Pedro Rocha,佩德羅·羅沙
Alex Teixeira,阿列克斯·特谢拉
Zeca Baleiro,泽卡·巴尔鲁
Daniel Dias,丹尼尔·迪亚斯
Bia Krieger,比阿·克里格
Marcelo Moretto de Souza,馬塞洛·莫雷托
Carol Gattaz,卡洛·蓋塔茲
Antônio Maria,Antônio Maria de Araújo Morais
Caio Junqueira,凯奥·朱尼克拉
Carlos Saldanha,卡洛斯·沙尔丹哈
André Felipe Ribeiro de Souza,安德烈
Natália Lage,娜塔莉亚·奇
Luís de Orléans e Bragança,路易斯
Telmário de Araújo Sacramento,甸尼爾
Mário Sérgio Santos Costa,马里尼奥·塞尔吉奥·桑托斯·科斯塔
Nádia Lippi,纳迪亚·里皮
Fernanda Vasconcellos,佛兰达·瓦康塞洛斯
Sheron Menezzes,谢伦·梅内泽斯
Antônio Anastasia,安东尼奥·阿纳斯塔西亚
Nicola Siri,尼科拉·西里
Nicole Puzzi,妮可·波奇
Caio Bonfim,卡约·邦芬
Aldo Rebelo,阿尔多·雷贝洛
Armando Figueira Trompowsky de Almeida,阿曼多·費圭·Trompowsky·德·阿爾梅達
Alison Cerutti,艾利森·切魯蒂
Miguel Nicolelis,米格爾·妮可利斯
Carla Marins,卡拉·马林斯
Beto Richa,贝托·莉查
Geovanna Tominaga,格奥瓦娜·托明加
André Ramalho Silva,安德烈·拉马略·席尔瓦
Walter Hugo Khouri,沃尔特·雨果·克霍里
Jean Wyllys,让·威利斯
Arduíno Colassanti,阿尔杜伊诺·科拉桑蒂
André Luciano da Silva,安德烈·盧西亞諾·達·席爾瓦
Norival Pereira da Silva,諾利法·佩雷拉·達席爾瓦
Felipe Augusto Santana,菲臘比·辛坦拿
Arlindo Chinaglia,阿林多·基納利亞
André Lima,安德雷·利马
Julia Bacha,茱莉亚·巴查（Julia Bacha）
Medeiros e Albuquerque,梅德罗斯·阿尔布科克
Luciano Caldas Bivar,卢西亚诺·比瓦尔
Epaminondas Gomes dos Santos,伊巴米濃達多斯·桑托斯
Gilberto Oliveira Souza Junior,吉尔伯托·奥利维拉·苏扎·朱尼尔
Jean Ferreira Narde,吉恩·费雷拉·纳尔德
Otávio Edmilson da Silva Monteiro,奥塔维奥·埃德米尔森·达·席尔瓦·蒙特罗
Marilena Chauí,玛丽莲娜·德·索萨·乔伊
Werner Eduardo Schünemann,沃纳·许迺曼
Cléber Santana,克莱伯·桑塔纳
Jefferson de Oliveira Galvão,謝佛遜·德·奧利韋拉·加爾旺
Olímpio Mourão Filho,奥林匹奥· 穆罗·菲洛
Patrícia Medrado,派翠西亚·梅德拉多
Nathalie Moellhausen,娜塔莉·莫尔豪森
Nanda Costa,南达·科斯塔
Wendel Geraldo Maurício e Silva,文德尔·热拉尔多
Weligton Robson Pena de Oliveira,維列頓
Paulo Santos,保罗·桑托斯
Fernando Menegazzo,費蘭度·文歷加素
André Nascimento,安德烈·納西門托
Cláudio Correia e Castro,克劳迪奥·科雷亚·ê·卡斯特罗
Cláudia Raia,克劳迪娅·拉亚
Claudia Leitte,克劳迪娅·莱特
Tato Gabus Mendes,塔托·加布斯·门德斯
Auricélio Neres Rodrigues,奥里塞罗·内里斯·罗德里格斯
Cláudia Monteiro,克勞迪婭·蒙泰羅
Daiane Menezes Rodrigues,达亚妮
Edinaldo Gomes Pereira,艾迪纳尔多·戈麦斯·佩雷拉
Athos Bulcão,阿多斯·布爾康
Reinaldo Rosa dos Santos,雷納爾多·羅薩·多斯桑托斯
Claudinei Alexandre Aparecido,克劳迪内・亚历山大・阿帕雷西多
Loalwa Braz,拉娃·布拉茲
Fábio Assunção,法比奧·阿松桑
Rafael Pires Monteiro,拉斐尔·皮雷斯·蒙特罗
Júlio Botelho,朱利奧·博特爾奧
Rafael Tolói,拉斐尔·特洛伊
Cleo Pires,利奥·皮雷斯
Juliana Imai,茱莉安娜·今井
Ronaldo Nazário,罗纳尔多
Pia Maria de Orléans e Bragança,皮婭·瑪麗亞公主
Pedro Bial,佩德罗·比亚
Roberto Burle Marx,罗伯托·布雷·马克思
Paulo César Tinga,廷加
Daniele Hypólito,达涅莱·伊波利托
Ewerthon Henrique de Souza,埃韦顿
Elzo Aloísio Coelho,埃尔佐·科尔霍
Eder Luís de Carvalho,艾德·巴亚诺
Renan Dal Zotto,雷南·達爾·佐托
Leonardo Ulrich Steiner,良納·烏爾里什-斯特內爾
Alano Maria Pena,阿拉諾·瑪利亞·佩納
Daniela Thomas,丹妮拉·湯瑪士
Carlos Kaiser,卡洛斯·凯泽
Elizabeth Savalla,伊丽莎白·萨瓦拉
Benedita da Silva,贝内迪塔·达席尔瓦
Paulo Moura,保罗·莫拉
Betty Lago,貝蒂·拉戈
Marcos Júnior,馬科斯·儒尼奧爾
Luca Kumahara,卡羅琳·熊原
Cleiton Silva,克萊頓·席爾瓦
Dória,多瑞亞
Tony Kanaan,托尼·卡納安
Alberto Valerio,阿尔贝托·瓦莱里奥
Anfilogino Guarisi,古爾里西
Diego Clementino,迭戈·克莱门蒂诺
Dina Sfat,迪娜·斯法特
Pedro Américo,佩德罗·阿梅里科
Thiago Pereira,蒂亞戈·佩雷拉
Daniel Carvalho,丹尼爾·卡華路
Cristiano da Silva,基斯坦奴·達施華
Di Ferrero,迭戈·费雷罗
Samuel Rosa Gonçalves,萨穆埃尔·罗莎·贡萨尔维斯
Rolando Ferreira,罗兰多·费雷拉
Romeu Cambalhota,羅梅烏·伊凡傑利斯塔
Rodrigo Souza Silva,羅德里格·席爾瓦
Bete Mendes,贝特·门德斯
Kaká,卡卡
Zezeh Barbosa,泽泽·巴尔博萨
Alexandre Tombini,亚历山大·汤比尼
Douglas Silva Bacelar,道格拉斯·席尔瓦·巴塞拉尔
Ricardo Vilana,列卡度高美斯
Ricardo Otacilio Emerson,雷纳多·奥塔西留斯·埃莫森
Thaila Ayala,泰拉·埃亚拉
Danielle Winits,丹妮尔·温特斯
Marlui Miranda,玛露伊·米兰达
Roseli de Belo,罗塞莉
Gauss Moutinho Cordeiro,高斯·穆蒂尼奧·科德羅
Eduardo Campos,爱德华多·坎波斯
Dick Farney,迪克·法尼
Alexandre Guimarães,亚历山德拉·吉马良斯
Bruna Linzmeyer,布鲁纳·林斯迈耶
Josimar Rodrigues Souza Roberto,祖斯馬·洛迪古斯·蘇沙·羅拔圖
Héctor Babenco,海科特·巴班克
Caco Ciocler,卡科·乔克勒
Bruno Gissoni,布鲁诺·吉索尼
Kátia Lund,卡提亞·蘭德
Rogério Sganzerla,罗杰里奥·斯甘泽
Bianca Bin,比安卡·本
Walter Henrique da Silva,沃尔特·亨里克·达·席尔瓦
Bruna Benites,布鲁娜·索雷斯
Roberta Silva Ratzke,羅貝塔·哈茲奇
Bruno Medeiros Grassi,布鲁诺·格拉斯
Bruno Henrique Corsini,布鲁诺·恩里克
Daniela Alves,達妮艾拉·利馬達妮艾拉·利馬
Bruno Alexandre Rodrigues,般奴·阿歷山大·洛迪古斯
Edílson da Silva Ferreira,埃迪尔森
Wilson Piazza,维尔森·皮亚扎
Rodrigo Caio,諾迪高卡奧
Raica Oliveira,拉伊卡·奧利維拉
Bruno Suzuki,布鲁诺·铃木
Bruno César Pereira da Silva,布鲁诺·席尔瓦
José Freire Falcão,若澤·弗雷萊·法爾考
Eusébio Oscar Scheid,欧瑟伯·奥斯卡·沙伊德
Henrique Meirelles,恩里克·梅尔雷斯
Mayra Aguiar,梅拉·阿吉亞爾
Bruno Peres,般奴·佩雷斯
Raymundo Damasceno Assis,雷蒙多·達瑪森諾·阿西斯
Alfredo Ceschiatti,阿爾弗雷多·切斯基亞蒂
Rorion Gracie,洛爾昂·格雷西
Rosaly Lopes,羅莎莉·洛佩兹
Marcelo Nascimento da Costa,馬塞尼奧
Sérgio Mota (futebolista),塞尔吉奥·莫塔
Ricardo Bueno,里卡多·布埃诺
Bruno Meneghel,布鲁诺·梅内格尔
Tonho Gil,托尼奥·吉尔
Bruna Ferraz,布魯娜·費拉斯
Irene Ravache,伊雷内·拉瓦谢
Felipe Folgosi,费利佩·福尔戈西
Felipe Lima,费利佩·利马
Marieta Severo,玛丽埃塔·塞韦罗
Rodrigão (futebolista),罗德里戈·费尔南德斯·阿弗雷恩
Kléberson Davide,克莱贝松·达维德
Felipe Campanholi Martins,費利佩·馬丁斯
Melo Viana,費爾南多·德·梅洛·維亞納
Fernanda Paes Leme,费尔南达·佩斯·莱玛
Aldo Pagotto,阿爾多·德西洛·帕格托
Paulo Maluf,保羅·馬魯夫
Bráulio Mantovani,布罗里欧·曼托伐尼
Roger Gracie,羅傑·格雷西
Fernanda Lima,费尔南达·利马
Estácio Coimbra,埃施塔西奧·科英布拉
Geraldo Majella Agnelo,蓋拉爾多·馬熱拉·阿涅洛
Marcelo Serrado,马塞卢·塞拉多
Gabriel Braga Nunes,加布列尔·布拉加·努内斯
Sidney Colônia Cunha,西德尼·科洛尼亞·庫尼亞
Walter Lima Júnior,小沃尔特·利马
Antônio Rodrigo Nogueira,安東尼奧·羅德里戈·諾蓋拉
Tainá Müller,泰娜·毛勒
Ana Beatriz Nogueira,安娜·貝琪茲·諾奎拉
Beth Goulart,贝丝·古拉特
Fernando Flávio Marques de Almeida,费尔南多·弗拉维奥·马克思·德阿尔梅达
Carlos Adriano de Sousa Cruz,卡洛斯·阿德里亚诺·索萨·克鲁斯
Fernando Lopes Alcântara,費蘭度·盧比斯·艾簡泰拿
Fiuk,菲利普·加瓦
Leila Diniz,莱拉·迪尼兹
Fabiano Peçanha,法比亚诺·佩萨尼亚
Carlos Eduardo de Oliveira Alves,卡洛斯·愛德華多·德·奧利維拉·阿爾維斯
Yan,揚·克萊頓·德·利馬·拉澤拉
Rosana dos Santos Augusto,罗萨娜
Renê Júnior,雷内·儒尼奥尔
Tatiana Salem Levy,塔蒂亚娜·塞勒姆·利维
Fernando Haddad,費爾南多·阿達
Fernando Rees,费尔南多·雷斯
Suely Rolnik,苏利·罗尔尼克
Yan Gomes,揚·戈麥斯
José Claudinei Georgini,何塞·克勞迪內·格奧爾基尼
Fernando Fernandes,费尔南多·费尔南德斯·帕多瓦
Sonia Rubinsky,桑妮雅·魯賓斯基
Sávio Oliveira do Vale,萨维奥
Fernando Camilo Farias,卡米洛
Everton Ribeiro,埃韦顿·里贝罗
XRS Land,薛西斯二世·代·奥利维拉
Thiago Braz,蒂亚戈·布拉兹
Flávio Barros,法維奧·巴路士·蘇沙
Antônio Olinto,安東尼奧·奧林托
Carlos Honorato,卡洛斯·奥诺拉托
Renato Ribeiro Calixto,雷纳托·里贝罗·卡利斯托
Francisco Dias Velho,弗朗西斯科·迪亞斯·韋略
Tarso Genro,塔索·杰内罗
Silviano Brandão,西爾維亞諾·布蘭當
Eduardo Braga,爱德华多·布拉加
Leandro Rodrigues,李安杜
Wagner Renan Ribeiro,瓦格纳·赫南·里贝罗
Carlos Wizard Martins,卡洛斯·韦泽·马丁斯
Alexandra Aikhenvald,A. 艾肯瓦尔德
Ismäel Alvariza,伊斯梅爾·阿爾瓦里薩
Huỳnh Kesley Alves,Huỳnh Kesley Alves
Carlos Machado,卡洛斯·馬查多
Gabriela Alves,加布里埃拉·阿尔维斯
Luan Garcia Teixeira,卢安·加西亚·特谢拉
Fernando Pimentel,费尔南多·达玛塔·皮门特尔
Gilles Gaston Granger,吉勒斯-加斯顿·格兰杰
Pedro Labatut,皮埃爾·拉巴杜
Guina,罗伯托·加仑
Carlos de Campos,卡洛斯·德·坎波斯
Ben Goertzel,本·格策尔
Cássio van den Berg,卡西奥·范登贝格
Vicente Amorim,维森特·阿莫林姆
Leandson Dias da Silva,利安臣·迪亞斯·達·施華
Tales Schutz,泰利·史高斯
Pedro Carlos de Orléans e Bragança,佩德罗·卡洛斯
Cauã Reymond,卡瓦·雷蒙德
Mika Someya,染谷美佳
Gracindo Júnior,格拉辛多·朱尼奥尔
João Carlos Martins,若昂·卡洛斯·马丁斯
João Geraldo Kuhlmann,若昂·杰拉尔多·库尔曼
José Gildeixon Clemente de Paiva,何塞·吉尔迪克昂·克萊門特·德派瓦
Carmem de Oliveira,卡门·德·奥利维拉
Gabriela Guimarães,加布里埃拉·桂馬萊絲
Oscar Oiwa,大岩奥斯卡尔
Zé Carioca,泽·卡里奥卡
Francisco Sousa dos Santos,奇奎尼奥
Othon Bastos,奥顿·巴斯托斯
Manoel Alencar do Monte,曼努埃爾·阿倫卡爾·蒙特
Weverson Leandro Oliveira Moura,莱安德罗
José Cristiano de Souza Júnior,朱尼奥·保利斯塔
Guilherme Finkler,吉列尔梅·芬克勒
Casimiro Montenegro Filho,帕特里克·菲尔霍
Flávio Teixeira,弗拉维奥·特谢拉
Carlos Alberto Gomes Kao Yien,卡洛斯·阿尔贝托·戈梅斯·高冉
Sino-brasileiros,巴西华人
Rossana Ghessa,罗莎娜·格萨
Fábio Marcelo de Oliveira,法比奥·马塞洛·德·奥利维拉
Grazi Massafera,格拉日丽·马萨费拉
Maria Aparecida Souza Dias,西蒂尼娅
Cláudio Botelho,克劳迪奥·博特略
Clodoaldo de Oliveira,奧利韋拉 (足球運動員)
Marco Nanini,马科·纳尼尼
Christian Lindell,克里斯蒂安·林戴爾
Cláudia Cepeda,克劳迪亚·塞佩達
Christianne Oliveira,克里斯蒂安妮·奥利维拉
Christina Oiticica,克里斯蒂娜·奧伊蒂西卡
Andrei Frascarelli,安德烈·弗拉斯卡雷利
André Mattos,安德瑞·马托斯
Marisa Letícia Lula da Silva,馬利薩·萊蒂西亞·魯拉·達席爾瓦
Caetano Izzo,卡埃塔諾·伊佐
Afrodísio Xavier Camargo,賽維爾·卡馬戈
Valdir Mamede,瓦爾迪爾·馬梅德
Charles Dias,查里斯戴亞斯
Thaís de Campos,塔伊斯·代·坎波斯
Charles Oliveira,查尔斯·奥利维拉
Aloísio dos Santos Gonçalves,阿洛伊西奥·多斯桑托斯·贡萨尔维斯
Rafael de Orléans-Bragança,拉斐尔
Hudson de Souza,乌森·索萨
Maitê Proença,玛依黛·普罗恩萨
Paolla Oliveira,宝拉·奥利维亚
Renata Aparecida da Costa,雷娜塔
Rodrigo Lombardi,罗德里戈·隆巴迪
Paloma Bernardi,帕洛玛·贝纳尔迪
João Maria de Orléans e Bragança,若昂·馬利亞
Imigração italiana no Brasil,意大利裔巴西人
Isac Felix da Silva,伊萨克·费利克斯·达席尔瓦
Bruna Marquezine,布魯娜·馬爾科辛
Ciro Pessoa,西罗·佩索阿
Renan Calheiros,雷南·卡列罗斯
Heberty Fernandes de Andrade,赫贝蒂
Júnior Urso,儒尼奥尔·乌索
Demerson Bruno Costa,德默森·布鲁诺·科斯塔
Criolo,克里奥洛
Marco Aurélio Mello,马可·奥雷利奥·莫罗
Luiz Fux,路易斯·富克斯
brasileiros asiáticos,巴西亚洲人
Geovane Batista de Faria,吉奥万·巴蒂斯塔·德·法里亚
Geraldo Del Rey,热拉尔多·德尔·雷伊
Augusto César Lima,奥古斯托·利马
Genivaldo Francisco dos Santos,杰瑞瓦多·弗兰西斯科·多斯·桑托斯
George Arias,乔治·阿里亚斯
Ronan Carolino Falcão,路蘭·卡路連奴·法卡奧
Gerson Fraga Vieira,謝臣·韋拉
Detinho,迪天奴
Maria Luísa Mendonça,玛丽亚·路易萨·门多萨
Ademar José Tavares Júnior,艾迪馬·泰華利斯·祖利亞
Jackson Antunes,杰克逊·安东尼
Cláudya,克劳迪娅
Cléber António Oliveira,克莱伯·安东尼奥·德·奥利维拉
Pará,帕拉
Cristiano Alves Pereira,基斯坦奴·艾維斯·彭利拿
Geuvânio Silva,格乌瓦尼奥
Nicette Bruno,尼斯特·布鲁诺
Selton Mello,謝爾頓·梅洛
Gilbert Burns,吉尔伯特·伯恩斯
John Neschling,約翰·內西林
Claiton Machado dos Santos,克莱顿
Orlando de Azevedo Viana,奧蘭多·皮戈·德歐魯
Oswaldo Ponte Aérea,奧斯瓦爾多·陶里薩諾
Gilcimar Chaves Caetano,贺西马
Daniel Dutra Silva,丹尼尔·杜特拉·达席尔瓦
Cássio Magalhaes Fernandes,卡西奥·马加尔维斯·费尔南德斯
Glaydson,基臣
Andréia dos Santos,迈孔
Pedro Amorim Duarte,佩德羅·阿莫林
Cílio André Souza,施利奧·蘇沙
Dado Dolabella,达多·多拉贝拉
Licínio Azevedo,利西尼奥·阿泽韦多
Célio Ferreira dos Santos,施利奧·費利拿·杜斯·山度士
Júlio Redecker,儒利歐·雷戴克
Micael Borges,迈克尔·博尔赫斯
Gui Lin,林桂
Éder Lima dos Santos,艾德·利馬
Ary Fontoura,阿里·丰图拉
Domingos de Oliveira,多明戈斯·德·奥利维拉
Denilson Costa,丹尼臣·哥斯達
Denilson Martinho Gabionetta,德尼尔森·加比奥内塔
Cosme da Silva Campos,科斯梅·达席尔瓦·坎波斯
Guilherme Costa Marques,吉列尔梅·科斯塔·马尔克斯
Serginho Groisman,塞尔吉尼奥·格罗斯曼
Daniel Matsunaga,丹尼尔·松永
Danival,丹尼瓦爾·德奧利維拉
Chiquinho Carlos,齐奎尼奥·卡洛斯
Eduardo Fernandes Amorim,爱德华多·阿莫里姆
Chana Masson,沙娜·马松
Jéssica Pauletto,傑西卡·保萊託
Zezé Polessa,泽泽·波莱莎
Gustavo Papa,古斯亞禾·沙拔·馬田斯
Leon Hirszman,里昂·海爾茲曼
Fabíula Nascimento,法比乌娜·那西门托
Guilherme de Almeida Prado,吉列尔梅·代·阿尔梅达·普拉多
Danilo Dias,迪亞斯
Ramon Lopez de Freitas,拉蒙·盧比斯
Débora Lyra,德博拉·利拉
Marina Ruy Barbosa,玛丽娜·辉·巴尔博萨
Danildo José São Pedro Accioly Filho,达尼尔多·阿奇奥利
Daniela Lavender,丹妮拉·拉文达
Daniel Orzechowski,丹尼爾·奧謝霍夫斯基
Daniel Paulista,丹尼尔·保利斯塔
Daniel Ribeiro,丹尼爾·里貝羅
Manabu Mabe,间部学
Guta Stresser,古塔·斯特雷瑟
Guto Ferreira,古托·费雷拉
Diego Lopes,迭戈·洛佩斯
Gilson Domingos Rezende Agostinho,吉奧森
Deize Tigrona,德兹·蒂格罗纳
Danton Mello,丹通·梅罗
Henrique Eduardo Alves,恩里克·爱德华多·阿尔维斯
Poliana Okimoto,史蒂夫·休伊特
Hadybala,哈德森
Regina Silveira,雷吉娜·西尔维拉
Emerson Luiz de Castro Silva,愛默生·卡斯特羅
Fiorella Mattheis,菲奥雷拉·马蒂娅斯
Vander Luiz Silva Souza,范德
Maria Maya,玛丽亚·玛雅
Flávio Canto,弗拉维奥·坎托
João Luiz Ramires Vieira,若昂·路易斯·拉米雷斯·维埃拉
Danielson Ferreira Trindade,丹尼爾臣·費利拿·泰尼達迪
Sophie Charlotte,索菲·夏洛特
João Gilberto Noll,若昂·吉爾伯托·諾爾
Hamilton de Souza,卡拉卡
Natanael de Souza Santos Junior,纳塔纳尔·德索萨·桑托斯·儒尼奥尔
João Amazonas,若昂·阿马佐纳斯
Henrique Guimarães,恩里克·吉马良斯
Cristina Ortiz,克里斯蒂娜·奥尔蒂斯
David Aparecido da Silva,戴维·达·席尔瓦
Ewerton José Almeida Santos,艾華頓·荷西
Romero Lubambo,羅米洛·盧本博
Diego Carlos,迪亞高·卡路士
Fábio Noronha de Oliveira,奧利華拉
Fátima Noya,法蒂玛·诺亚
Diogo Barbosa Mendanha,迪奥戈·巴尔博萨
Edson Silva,迪多
Jonas Sulzbach,乔纳斯·苏尔茨巴赫
Djair Baptista Machado,馬查度
Eliseu dos Santos,艾丽苏·多斯·桑托斯
Diogo Santos Rangel,迪奧高
Dorielton,多利 (足球运动员)
Jumar,胡马尔
Boris Vassilievich Skvortsov,鲍里斯·瓦西里耶维奇·斯科沃佐夫
Herlison Caion de Sousa Ferreira,卡隆
Abraão de Morais,阿布拉昂·德赖斯
Gaia Bermani Amaral,加伊雅·伯曼妮·阿玛罗
Gentil Cardoso,真蒂尔·卡尔多索
Wando,吉奥瓦尼奥·邦芬·索布里尼奥
Henrique Andrade Silva,軒歷基·安達迪·施華
Juliana Baroni,茱莉安娜·芭若妮
Djalma Guimarães,贾尔马·吉马良斯
Dom La Nena,唐·拉·尼娜
Abraham Palatnik,亚伯拉罕·帕拉特尼克
Adilson dos Santos Souza,阿迪尔森·多斯桑托斯·索萨
Katiuscia Canoro,卡蒂乌西亚·卡诺罗
Douglas Grolli,道格拉斯·格羅利
Dyanfres Douglas Chagas Matos,迪扬夫雷斯·道格拉斯·沙加斯·马托斯
Helder Barbalho,埃尔德·巴尔巴略
Phellipe Haagensen,菲利佩·哈根森
Aderbar dos Santos Neto,阿德巴爾·梅洛·多斯·桑托斯·內托
Edgar Aldrighi Júnior,伊特加·艾特列基·祖利亞
Glover Teixeira,格洛佛·特谢拉
Affonso Romano de Sant'Anna,阿方索·罗马诺·德·桑塔安娜
Françoise Forton,弗朗索瓦·福尔东
Kaio Felipe Gonçalves,凯奥·费利佩·贡萨尔维斯
Drussyla Costa,德呂西拉·科斯塔
Giancarlo Dias Dantas,賈恩卡洛·迪亞斯·丹塔斯
Francisco Pereira Passos,弗朗西斯科·佩雷拉·帕索斯
Coreano-brasileiros,韓裔巴西人
Manoel de Barros,曼努埃爾·德·巴羅斯
Wilma de Faria,威爾瑪·德法里亞
Marcelo Freixo,马塞洛·弗雷索
Ismaily Gonçalves dos Santos,伊斯梅利·貢薩爾維斯·多斯·桑托斯
Ivan Reis,伊恩·里斯
Júlio Campos,茹利奥·坎波斯
Kevin Alves,凱文·阿爾維斯
Edmar Figueira,埃德马·菲盖拉
Jefferson Nascimento,杰斐逊 ·纳西门托
Picoli,伊迪馬·安東尼奧·比高利
Stênio Júnior,斯泰尼奥·儒尼奥尔
Ladislau Netto,拉迪斯劳·德·索扎·梅洛·内托
Johnathan,乔纳森·阿帕雷西多·达席尔瓦
Lais Ribeiro,萊絲·瑞貝羅
Jader Barbalho,雅德爾·巴爾巴略
Jaime de Almeida,海梅·德阿爾梅達
Edson Barboza zika,埃德森·巴博萨
Edson Tavares,塔瓦雷斯
Juliana Moreira,朱丽安娜·莫雷拉
José Francisco de Morais,若泽·弗朗西斯科·德·莫赖斯
Laudir de Oliveira,勞迪爾·德·奧利維拉
Laura Pigossi,劳拉·皮戈西
Antônio de Alcântara Machado,阿爾坎塔拉馬查多
Aldir Blanc,阿尔迪尔·布兰克
Rafael dos Anjos,拉斐尔·多斯·安霍斯
Alessandro Padovani Celin,沙恩
Alessandro Ferreira Leonardo,辛祖
Jorge Luiz Frello Filho,若日尼奥
Leandro Carrijo da Silva,莱安德罗·卡里若
Leandro Assumpção,莱昂德罗·阿松桑
Lucas Nogueira,盧卡斯·諾蓋拉
Nelson Ned,内尔松·内德
Hélio José de Souza Gonçalves,艾里奧
Leandro Netto,莱昂德罗·内托
Leandro Padovani Celin,莱昂德罗·帕多瓦尼·切林
Ronaldo Moraes da Silva,罗纳尔多·莫赖斯
Igor Sartori,伊戈尔·萨尔托里
Edson Lobato,埃德森·洛巴托
Alexandro Fernandes Chavieri,阿歷士·費蘭迪斯
Isabel Fillardis,伊莎贝尔·菲迪斯
Isabelle Drummond,伊莎贝拉·德鲁蒙德
Mariah Buzolin,瑪麗亞·布佐林
Leonardo Medeiros,莱昂纳多·梅德罗斯
Fladimir da Cruz Freitas,歷高
Lidi Lisboa,莉迪·利斯博亚
Tatá Werneck,塔塔·韦内克
Aloizio Mercadante,阿洛伊齐奥·梅尔卡丹特阿
Alexandre Gallo,加路
Ronaldo Lemos,羅納多·雷蒙斯
Alexandra Nascimento,亚历山德拉·纳西门托
Lua Blanco,卢瓦纳·布兰科
Letícia Wierzchowski,莱蒂西娅·维日霍夫斯基
Alexandré Pölking,亚历山大·波尔金
"Eleonora, Princesa de Ligne",埃莉諾亞 (利涅王妃)
Eleílson Farias de Moura,埃雷尔森
Paulo César Fonseca Nunes,施薩
Alexandre Chan,亚历山大·陈
Marcelo Picchi,马塞洛·皮基
Louis Chirillo,路易斯·基里洛
Lucas Silva Borges,卢卡斯.席尔瓦
Alex Maranhão,亚历山德罗·卡瓦略·洛佩斯
Nando Carneiro,南多·卡内罗
Luciano Quadros da Silva,盧斯安奴·昆杜斯·達·施華
Luciano Ratinho,卢西亚诺·拉蒂尼奥
