Dudon de Saint-Quentin,聖·昆汀杜多
Albert Gaudry,阿尔贝·戈德里
Charles Bordes,夏尔·博尔德
Charles Bozon,夏尔·博宗
Paul Vergès,保羅·韋爾熱斯
Jacques Faty,雅克·法蒂
Albert Wolsky,艾伯特·沃斯基
Charles Angrand,夏尔·安格朗
Charles-Arthur Gonse,查尔斯·阿瑟·贡塞
Robinet Testard,羅比內·特斯塔德
Alain Bombard,阿兰·邦巴尔
Jérôme Golmard,熱羅姆·戈爾馬
Jean-Baptiste Carrier,让-巴蒂斯特·卡里耶
Théophile-Malo de La Tour d'Auvergne-Corret,泰奥菲勒·科雷·德·拉图尔多韦涅
Olivier V de Clisson,奥利维耶·德·克利松
Pierre Bec,皮埃尔·贝克
Albert Rust,阿尔贝·吕斯特
Alfred Grandidier,阿尔弗德·格朗迪迪尔
Thomas Dossevi,托马·多瑟维
Charles Barbier de Meynard,夏尔·巴尔比耶·德·梅纳尔
Bernard Farcy,伯納德·法西
Charles de Montblanc,查理・蒙布朗
Charles Denner,查尔斯·丹纳
Sébastien Lifshitz,塞巴斯蒂安·利夫施兹
Jean-Victor Audouin,让-维克托·奥杜安
Guillaume-Thomas Raynal,纪尧姆-托马·雷纳尔
Gérard Jugnot,杰拉尔·朱诺
Achille Devéria,阿希尔·德微理亚
Félix-Jacques Moulin,菲利克斯·雅克·牟林
Albert Lamorisse,艾尔伯特·拉摩里斯
Pierre Gaxotte,皮埃尔·加克索特
Charles Fechter,查爾斯·菲奇特
Charles-Alphonse Du Fresnoy,夏尔·阿尔方斯·杜·弗雷诺瓦
Bernard Borderie,贝尔纳·博尔德里
Fabrice Colas,法布里斯·科拉
Jean Charles Abbatucci,让·夏尔·阿巴图奇
Bernard Tapie,伯納德·塔比
Thierry Dusserre,蒂埃里·迪塞尔
Maurice de Sully,叙利的莫里斯
Jean Ier de Dreux,若望一世 (德勒)
Guillaume Raoux,紀堯姆·拉烏
Mercadier,麥卡迪耶
Alexis Thérèse Petit,亚历克西·泰雷兹·珀蒂
Pascal Laugier,巴斯卡·劳吉尔
Robert Hue,罗伯特·休
Bernadette Perrin-Riou,貝爾納黛特·佩連-里烏
Charles Chamberland,夏尔·尚贝兰
François-Joseph Luigi Loir,路易吉·卢瓦尔
Kader Mangane,孟根尼
Oscar Temaru,奧斯卡·特馬魯
Philippe Cousteau,菲利浦·庫斯托
Claude Abbes,克勞德·阿貝斯
Charles Dancla,查爾斯·丹克拉
Charles Dantzig,夏尔·当齐格
Hélie de Talleyrand-Périgord,埃利·德·塔列朗-佩里戈尔
Georges Leygues,乔治·莱格
Joël Le Theule,若埃尔·勒特勒
Jean Pecquet,吉恩·佩奎特
Bernard Aubertin,贝尔纳·奥贝坦
Pierre Louis-Dreyfus,皮耶爾·路易斯-德瑞弗斯
Marc Dolez,马克·多莱
Maurice Ohana,莫里斯·奥哈纳
Samson François,桑松·弗朗索瓦
Bernard Julia,伯納德·朱利亞
Éric Renaud,埃里克·雷诺
Bernard-René Jordan de Launay,贝尔纳-勒内·茹尔当·德·洛奈
Bernard Alane,伯纳德·阿兰
Bernard Accoyer,贝尔纳·阿科耶
Josselin Ouanna,若瑟蘭·歐安納
Pierre Augustin Dangeard,皮埃尔·奥古斯丁·丹格尔德
Pierre-Christian Taittinger,皮埃尔-克里斯蒂安‧泰坦热
Bernard Barsi,伯爾納鐸·巴爾西
Daniel Schlumberger,丹尼尔·施伦贝格尔
David Gruby,大卫·格鲁比
Noël Coypel,諾埃爾·科佩爾
Alberto Cavalcanti,奧伯托·卡非肯提
Philippe Candeloro,菲利普·坎德罗罗
Henri Guérin,亨利·介朗
Charles I de Créquy,夏尔一世·德·布朗什福尔·德·克雷基
Joseph Souham,约瑟夫·苏昂
Bernard Campan,貝赫·恭朋
Bernard Chiarelli,貝爾納·查雷利
Charles Enderlin,查尔斯·恩德林
Christian-Jaque,克里斯汀－傑克
Marcel Bigeard,馬賽爾·比雅爾
Ferdinand Arnodin,費迪南德·阿諾丁
Ishak Belfodil,伊沙克·贝尔福迪
Bernard Loiseau,貝爾納·盧瓦索
Bernard Stasi,贝尔纳·斯塔西
Bernard Maurey,貝爾納·莫雷
Bernard Morin,伯纳德·莫兰
Adeline Hazan,阿德丽娜·阿藏
Charles Gayarré,查尔斯·加亚尔
Charles Gide,查尔斯·纪德
Michel Andrieux,米歇尔·安德里厄
Jules-Henri Desfourneaux,儒勒·亨利·迪佛諾
Charles de France,查爾斯·德·瓦盧瓦 (德貝里公爵)
Bernard Stiegler,贝尔纳·斯蒂格勒
Ricciotto Canudo,里乔托·卡努杜
Bernard Lacoste,貝爾納·拉科斯特
Bernard Natan,伯納德·納坦
Yvon Le Roux,勒魯
Aleksandar Petrović,亞歷山大·派翠維奇
Bernard Zitzermann,伯纳德·齐策曼
Jimmy Vicaut,吉米·維考特
Julien Boutter,朱利安·布特
Jacques Joseph Moreau,雅克-約瑟夫·莫羅
Georges d'Amboise,喬治·昂布瓦斯
Vincent Moon,温什特莫和呐呐塞纳斯
Henri Cazalis,亨利·卡扎利斯
Jean de Dreux,布賴訥的熱翰
Charles II d'Albret,夏爾二世
Charles II d'Amboise de Chaumont,查理二世
Charles-Irénée Castel de Saint-Pierre,夏尔-伊雷内·卡斯特尔·德·圣皮埃尔
Jean-Baptiste Reboul,讓-巴蒂斯特·雷布爾
Prosper Guéranger,普罗斯佩尔·盖朗热
Jean-Luc Lagarce,让-吕克·拉加尔斯
Charles Grandmougin,夏尔·格朗穆然
Francis Huster,弗朗索瓦·乌斯特
Stanley Pons,斯坦利·庞斯
Hugues IX le Brun,呂西尼昂的休九世
Germain Louis Chauvelin,热尔曼·路易·肖夫兰
Alphonse de Brienne,布列訥的阿爾方斯
Sylvain Guintoli,西尔万·甘托利
Jean-Baptiste Duroselle,讓-巴蒂斯特·杜羅塞爾
Pierre de Margerie,马士理
Robert IV d'Artois,欧伯爵阿图瓦的罗贝尔四世
Jean Decety,让·德赛迪
Raymond Bellot,雷蒙·貝洛
Jean Baptiste Denis,让-巴蒂斯特·德尼
Paul Héroult,保罗·埃鲁
Patrick Ollier,帕特里克·奥利耶
Julien Boisselier,朱利安·波义塞利尔
Dominique-Alexandre Godron,亚历山大·戈德龙
Olivier Ayache-Vidal,奥利维·阿雅什·维达尔
Jean Lemierre,让·勒梅尔
Richard Morris Hunt,理查德·莫里斯·亨特
Louis Frémaux,路易·弗雷莫
Luc Jacquet,洛·積昆徹
Louis II de Vendôme,路易二世·德·波旁-旺多姆
Bernard d'Espagnat,勃納德·德斯帕拿特
Bernardino Drovetti,納迪諾·德羅韋蒂
Francis Renaud,法朗西斯·瑞纳德
Jacques-Émile Blanche,雅克-埃米爾·布蘭奇
Ilias Bey Vrioni,伊利亚斯·贝伊·弗里奥尼
Raymond Léopold Bruckberger,雷蒙德·莱奥波德·布鲁克贝格
Charles Joseph Minard,查理斯·明拿得
Léonard Duphot,马蒂兰-莱昂纳尔·迪福
Robert Herbin,罗伯特·赫宾
René Belletto,雷内·贝莱托
Jean-Baptiste Martin,吉恩-巴蒂斯特·馬丁
Bernard Saisset,贝尔纳·塞瑟
Bernard Sarrette,伯納德·沙雷特
Henri Ponsot,亨利·庞索
Tijani Belaïd,贝勒伊德
Frédéric Cuvillier,弗雷德里克·屈维利耶
François Victor Masséna,弗朗索瓦·维克托·马塞纳
Albert Féraud,亞博·費侯
Jacky Ido,傑基·伊多
Xavier Huillard,哈维尔·希尔拉德
Charles Faroux,夏尔·法鲁
Charles Henri Marie Flahault,夏尔·弗拉奥
François Flameng,弗朗索瓦·弗拉芒
Gaston Billotte,加斯東·比洛特
Charles Longuet,沙爾·龍格
Mathieu Faivre,马修·费弗尔
Bernon,伯爾諾 (修道院長)
Pierre Daix,皮埃尔·戴克斯
Vaitiare Bandera,瓦蒂雷·班德拉
Raoul Thiercelin,拉乌尔·蒂埃瑟兰
Bertrand Mertz,贝尔特朗·梅尔茨
Maurice Grammont,莫里斯·格拉蒙
Bruno Martini,布鲁诺·马蒂尼
Léonce Bénédite,萊昂斯·班內蒂特
Neeskens Kebano,内斯肯斯·基巴奴
Edgar Grospiron,埃德加·格罗斯皮龙
Edmond Locard,埃德蒙·洛卡德
Hippolyte Pixii,波利特·皮克西
Louis Mermaz,路易·梅尔马兹
Charles Marie Benjamin Rouget,夏尔·马里·邦雅曼·鲁热
Ernest Labrousse,埃内斯特·拉布鲁斯
Charles-Louis Lavigne,夏尔·拉维涅
Charles Lebouc,夏尔·勒布
Bertrand Renouvin,貝特朗·勒努萬
Jean-Pierre Cot,让-皮埃尔·科特
Bertrand Herz,博特纳德·赫兹
Jean Aurenche,让·奥朗什
Bertrand Marchand,伯特兰·马尚
Philippe Hinschberger,菲利普·辛施伯格
Charles Girault,夏尔·吉罗
Charles Gondouin,夏尔·贡杜安
Robert Wlérick,罗伯特·沃莱里克
Eugène Houdry,尤金·胡德里
Bertrand-François Mahé de La Bourdonnais,貝特朗-弗朗索瓦·馬埃·德·拉布爾多內
Louis Joxe,路易·若瑟
Nicolas-Sylvestre Bergier,尼古拉斯-西尔维斯特·贝吉尔
Olivier Girault,奥利维耶·吉罗
Henri d'Arbois de Jubainville,亨利·达尔布瓦·德·朱班维尔
Jean-Jacques Marcel,让-雅克·马塞尔
Charlotte Kady,夏洛特·卡迪
Jean-Michel Monin,让-米歇尔·莫南
Robert Fraisse,勞勃·佛賴斯
Pierre Hohenberg,皮埃尔·奥昂贝格
Steve Missillier,史蒂夫·米希利爾
Charles Thévenin,夏尔·泰弗南
Bertrand de Jouvenel,貝特朗德·約弗內爾
Bertrand du Pouget,贝特朗·杜·普吉特
Cédric Pineau,塞德里克·皮诺
commissaire Maigret,梅格雷探长
Sébastien Puygrenier,塞巴斯蒂安·普伊格雷尼尔
Kevin Lafrance,凯文·拉弗朗斯
Grégoire Michonze,格里高利·米宗泽
Steve Savidan,斯蒂夫·薩維丹
Jean-Baptiste Lebas,让-巴蒂斯特·勒巴
Georges Huisman,喬治·於斯曼
François II de Nevers,法蘭索瓦二世
Jean Hardouin,让·哈杜安
Georges-Henri Pingusson,乔治-亨利·潘居松
Joost van Vollenhoven,约斯特·范福伦霍芬
Joseph Vendryes,约瑟夫·房德里耶斯
Joseph Dréher,约瑟夫·德勒埃
Michel Garicoïts,米歇爾·加里科伊茨
Pierre Joxe,皮埃尔·若克斯
Charles Nicolas Fabvier,查尔斯·尼古拉斯·法维尔
Charles Nègre,夏爾·內格
Charles Payraudeau,查爾斯·佩羅多
Laurent Batlles,洛朗·巴特萊斯
François Lemoyne,弗朗索瓦·勒穆瓦纳
Matthieu Rosset,馬修·羅塞特
Jean Mistler,讓·米斯特萊
Matthieu Ricard,馬修·李卡德
Ernest Daudet,歐內斯特·都德
Georges Mathieu,乔治·马修
Charles Mathieu Isidore Decaen,查尔斯·马修·伊西多尔·德加
Pierre Maubant,羅伯多祿
Laurent Sagart,沙加尔
Jacques Ier de Châtillon,沙蒂永的雅各
Gaston II de Foix-Candale,加斯頓二世 (富瓦-坎代爾)
Jean Becquerel,让·贝克勒尔
Françoise Mouly,弗朗索瓦茲·莫利
Pierre Michon,皮埃尔·米雄
Charles Poulenard,夏尔·普勒纳尔
Marc Seguin,馬克·塞甘
Jean Piot,让·皮奥
Thierry Meyssan,泰瑞·梅萨恩
Christian Noyer,克里斯蒂安・努瓦耶
Gibelin de Sabran,阿爾勒的基伯連
Jules Supervielle,苏佩维埃尔
Henri II de Lorraine-Guise,吉斯公爵亨利二世
Jean-Pierre Norblin de La Gourdaine,扬·皮奥特尔·诺布林
Romain Brégerie,罗曼·布雷热里
Roger de Piles,罗热·德·皮勒
Luc-Julien-Joseph Casabianca,呂克-朱利安-約瑟夫．卡薩比安卡
Conrad Malte-Brun,康拉德·马尔特-布兰
Ernest Vessiot,厄内斯特·维苏特
Edmond Richard,埃德蒙·理查德
François Laruelle,弗朗索瓦·拉吕埃勒
Hubert Latham,休伯特·莱瑟姆
Brahim Asloum,卜拉欣·阿斯鲁姆
Charles de Bovelles,夏里·德波维尔
Charles de Clèves,夏爾二世 (尼維爾)
Philippe Grenier,菲利普·格勒尼耶
Alexandre Azaria,亞歷山大·阿澤利亞
Jérôme Napoléon Charles Bonaparte,熱羅姆·拿破崙·夏爾·波拿巴
François de Paule de Bourbon-Siciles,弗朗西斯王子，特拉帕尼伯爵
Guillaume Musso,紀優·穆索
Alain Poiré,艾倫·寶爾
Jean-Baptiste Boyer-Fonfrède,让-巴蒂斯特·布瓦耶-丰弗雷德
Gilles Sunu,吉利斯·蘇努
Charles Rostaing,夏尔·罗斯坦
Christian Audigier,克里斯汀·奥迪吉耶
Jean Huré,让·于雷
Charles de Gaulle,夏尔·戴高乐
Charles de Gontaut-Biron,夏尔·德·贡托-比龙
Lazare-Lévy,拉萨尔·莱维
Victor de Fay de La Tour-Maubourg,维克多·德·拉图尔-莫布尔
Charles Xavier Thomas de Colmar,查爾斯·賽維爾·湯瑪斯
Amédée Thubé,阿梅代·蒂贝
Jean Pelet,让·珀莱
Charles de Souancé,查爾斯·德·蘇安塞
François-René Duchâble,弗朗索瓦-雷內·杜莎波勒
Émile Blanchard,埃米尔·布兰查德
Charles Étienne Brasseur de Bourbourg,夏尔·埃蒂安·布拉瑟尔·德布尔布尔格
Charles d'Angoulême,"查理·德·瓦盧瓦,昂古萊姆公爵"
Jean-Pierre Bacri,让-皮埃尔·巴克里
Billy Ketkeophomphone,比利·克特克奥丰丰
Paul Teste,保羅˙泰斯特
Jean-Claude Decaux,讓-克洛德·德科
Jacques Dynam,雅克·迪南
Désiré-Émile Inghelbrecht,德斯瑞-艾米·安格爾布雷什特
Gérard Brach,謝勒·巴治
Thierry Mugler,蒂埃里·米格莱尔
Charles Dunoyer,查尔斯·迪诺耶尔
Charles Dupin,夏尔·迪潘
Godefroy Engelmann,戈德弗罗伊·恩格曼
David Perry,戴维·佩里
Brantôme,布朗托姆 (法国作家)
Alexandre Astruc,亚历山大·阿斯楚克
Chaval,（筆名Chaval）
Stephen Pichon,華盛
Catherine Rivet,凯瑟琳·铆钉
Jean-Paul Penin,让-保尔·佩内
Pascal Barré,帕斯卡尔·巴雷
Fabrice Guy,法布里斯·居伊
Charles Bossut,夏尔·博叙
Gérard de Vaucouleurs,熱拉爾·佛科留斯
Jacky Hénin,雅奇·埃南
Serge Dassault,塞爾日·達梭
Michel Bouquet,米歇尔·布凯
Jean-François Berruyer,贝吕耶
Charles-Michel de L'Épée,查尔斯-米歇尔·德·里皮
Patrick Mboma,柏特歷·麥保馬
Samuel Le Bihan,塞缪尔·勒·比汉
Louis Thomassin,路易斯·托马森
Hubert Henry,赫伯特·约瑟夫·亨利
Ernest Lavisse,歐內斯特·拉維斯
Jean-Marie Bockel,让-马里·博克尔
René Huyghe,勒内·于格
François-Emmanuel Guignard de Saint-Priest,弗朗索瓦-埃马纽埃尔·吉尼亚尔
Claude Bolling,克勞德·波林
Cino Del Duca,奇諾•德爾•杜卡
Yannick Ponsero,杨尼克·庞瑟罗
Jean-François Regnard,让-弗朗索瓦·勒尼亚尔
Charles Blondin,查理·布隆丹
Thomas Regnaudin,托馬斯·萊高汀
Charles Vildrac,查爾斯·維爾德拉克
Gustave Lanson,居斯塔夫·朗松
Philippe Berthelot,菲利普·贝特洛
Charles Athanase Walckenaer,查爾斯·佩爾蒂·瓦爾克納爾
Isaac La Peyrère,伊萨克·德·拉·培伊埃尔
Charles-Joseph Natoire,夏尔-约瑟夫·纳图瓦尔
SebastiAn,塞巴斯汀
Jean Grave,跟簡·格雷夫
Philippe Djian,菲立普·狄雍
Jean-Baptiste Bourguignon d'Anville,让-巴蒂斯特·布吉尼翁·安维尔
Albert Memmi,阿爾貝·梅米
Léon Werth,莱昂·韦尔特
Cheng Yu-tung,鄭裕彤
Chevalier de Beauregard,舍瓦利耶·德·博勒加德
Jean Cabannes,让·卡巴纳
Siméon-François Berneux,張敬一
Patrick Barré,帕特里克·巴雷
Serge Akakpo,阿卡波
Tahar Rahim,塔哈·拉希姆
Jean-François de Saint-Lambert,让-弗朗索瓦·德·圣朗贝尔
Jean Ier de Chalon,沙隆伯爵約翰一世
Philippe Duplessis-Mornay,莫爾奈的菲力浦
Bonaventure Des Périers,博纳旺蒂尔·德佩里耶
Antoine Compagnon,安托万·孔帕尼翁
Henri Lavedan,H. 拉弗当
Armand Salacrou,阿尔芒·萨拉克罗
Michel Ferracci-Porri,米歇尔·费拉奇-波里
Siméon Frank,謝苗·弗蘭克
Patrick Balkany,帕特里克·巴爾卡尼
Édouard Lockroy,愛德華·洛可羅伊
Luigi Giafferi,路易吉·贾费里
Gustave Léon Niox,古斯塔夫·萊昂·尼奧克斯
Jérôme Thomas,热罗姆·托马
Jacques d'Albon de Saint-André,雅克·德伯恩·德·圣安德烈
Nicolas Edme Restif de La Bretonne,尼古拉斯-額得畝·嘞剔浮
Henri Ier de La Trémoille,亨利·德·拉特雷穆耶
Jean-Cyril Spinetta,让-西里尔·斯皮内塔
Frédéric de Falloux du Coudray,弗雷德里克·杜法盧·庫德雷
Paul d'Albert de Luynes,保祿·迪亞爾伯·德·呂訥
Christian Gion,克里斯蒂安·吉翁
Christian Begyn,克里斯蒂安·贝金
Paul Bert,保羅·貝特
Mikaël Cherel,米卡·切尔
Charles Thays,卡洛斯·泰斯
Charles de La Cerda,夏爾·德·拉·切爾達
Charles-Émile Bouillevaux,夏尔·艾米尔·布意孚
Christian Marquand,克里斯丁·馬爾況
François-Hubert Drouais,弗朗索瓦-于贝尔·德鲁埃
Jean-Pierre Amat,让-皮埃尔·阿马
Georges Limbour,乔治·兰布尔
Charles Pinot Duclos,Ch.P. 杜克洛
Christian Millau,克里斯蒂安·米洛
Gérald Mossé,巫斯義
Pierre-Esprit Radisson,皮埃尔-艾斯普利特·拉迪逊
Damien Boisseau,达米安·布瓦索
Soheil Ayari,索埃伊·阿雅里
Roger Hanin,罗杰·哈宁
Serge Maury,塞尔日·莫里
François Baroin,弗朗索瓦·巴鲁安
Henri Lemoine,亨利·勒莫万
Kavinsky,卡明斯基
Laurent Ulrich,老楞佐·于爾里克
Stéphane Ortelli,士提反·柯德利
Élisabeth de Savoie-Carignan,薩伏依的瑪麗亞·埃莉莎貝塔
Jérémy Stinat,傑里米·斯蒂納特
François de Créquy,弗朗索瓦·德·克雷基
Louis Claude Cadet de Gassicourt,路易斯·克勞德·卡戴特·德伽西科特
Jean Colombe,让·科龙比
Jean Rouaud,让·鲁奥
Denis Guedj,鄧尼‧蓋奇
Nicolas Hulot,尼古拉·于洛
Christiane Olivier,克里斯蒂安·奥利维尔
Albert Samain,阿尔贝·萨曼
Louis-Marie Prudhomme,路易-马里·普吕多姆
Maurice Farman,莫里斯·法曼
Guillaume Nicloux,紀洛姆·尼克婁
Jacques Laurent,塞西爾·聖-勞倫
Gaston Amson,加斯东·安松
Thibaut Fauconnet,蒂博特·法克尼特
Christine de France,克里斯汀.瑪麗
Saphir Taïder,萨菲尔·泰德尔
Édouard Dubar,杜巴尔
Édouard de Castelnau,爱德华·德·卡斯泰尔诺
Érasme-Louis Surlet de Chokier,埃拉斯姆-路易·叙尔莱·德·绍基耶
Christian Fouchet,克里斯蒂安·富歇
Jean Dutourd,讓·杜圖爾
Jean-Pierre Chevènement,吉恩-皮尔·舍夫尼门特
Paul Passy,保羅·帕西
Théodore Monbeig,彭茂美
Jean-Michel Couve,让-米歇尔·库夫
Alfred Lemaire,萊梅爾
Christine Ockrent,克里斯蒂娜·奥克伦
Jean Vercoutter,尚·韋寇
Didier Eribon,迪迪埃·埃里蓬
Michel Giacobini,米歇爾·賈科比尼
Pierre Brasseur,皮埃尔·布拉瑟
Christian Plaziat,克里斯蒂安·普拉齐亚
Eran Zahavi,扎哈維
Marie-Joseph Chénier,马里-约瑟夫·谢尼埃
Christian Poveda,克里斯蒂安·波维达
Léon-Gontran Damas,莱昂-贡特朗·达马斯
Gaby Charroux,加比·沙鲁
Christophe André,克里斯多夫·安德烈
Christophe,克里斯托夫
Jean-Baptiste Oudry,让-巴蒂斯特·乌德里
Alexandre Jardin,亚历山大·雅尔丹
Albéric Magnard,阿尔伯里克·马尼亚尔
Kad Merad,凯德·麦拉德
Yves Allégret,伊夫·阿勒格莱特
Pierre Jonquères d'Oriola,皮埃尔·容凯尔·多里奥拉
Roland Pidoux,罗兰·皮杜
Christophe Capelle,克里斯托夫·卡佩勒
Alexander Brailowsky,亚历山大·布雷洛夫斯基
Alfred Lévy,阿尔弗雷德·莱维
Daniel Liénard de Beaujeu,丹尼爾·列納德·德·博耶
Daniel Marot,丹尼爾·馬羅特
Maurice Lœwy,莫里茨·洛威
Joseph-Alphonse Adhémar,約瑟夫·阿德馬
Michaël Youn,迈克尔·扬
Sylvestre-François Lacroix,西爾維斯特·弗朗索瓦·拉克爾華
Pierre-Frédéric Sarrus,皮埃爾·弗雷德里克·薩呂
Marcel Brillouin,瑪赫賽勒·布里淵
Pierre André de Suffren,皮埃爾·安德烈·德·敘弗朗
Pierre Antoine Delalande,皮埃尔·安托万·德拉朗德
Christophe Bigot,克里斯托夫·比戈
Ronald Pognon,罗纳德·波尼翁
Georges Hébert,乔治·埃贝尔
Michel Guérard,米歇爾·蓋拉德
Christophe Bouchut,克里斯托夫·布舒
Jean-Marie Dayot,讓-馬里·達約
Oronce Fine,奧文斯·菲內
Simon Plouffe,西蒙·普勞夫
Clémence Saint-Preux,克莱曼斯·圣·皮瑞
Gabriel Hanot,加布里埃尔·亚诺
Jean-Pierre Cyprien,让-皮埃尔·西普里安
Émile Gagnan,埃米尔·加格南
Jean-Louis Aubert,让-路易·奥贝尔
Louis Laloy,路易·拉卢瓦
Barbara Tissier,巴尔巴拉·提希尔
Albert Robida,亞伯特·羅比達
Ludovic Genest,吕多维克·热内
Jean-Baptiste Marchand,讓-巴蒂斯特·馬尚
Michel Corrette,米歇尔·科雷特
Jacques-Louis Lions,雅克-路易·利翁
Arnaud Montebourg,阿诺·蒙特布尔
Marc-Antoine Mathieu,马克-安托万·马蒂厄
Henri Cohen,亨利·科恩 (數論家)
Gustave Le Gray,雷·格瑞
Nabil Lasmari,纳比勒·拉斯马里
Jean-Baptiste Thierrée,讓－巴提斯特·狄艾里
Frédérick Tristan,弗雷德里克·特里斯坦
Lionnel Luca,利昂内尔·卢卡
Olivier Delaitre,奥利维尔·德拉瓦特
Sébastien Vaillant,塞巴斯蒂安·瓦扬
Renan Luce,雷南·卢斯
Leos Carax,莱奥斯·卡拉克斯
Jean-Michel Papillon,讓-米歇爾·帕皮隆
Guillaume aux Blanches Mains,白手威廉
Louis Augustin Guillaume Bosc,路易·奥古斯丁·纪尧姆·博斯克
Denys Affre,丹尼士·奧古斯特·阿弗爾大主教
Henri Tomasi,亨利·托馬西
Catherine de Foix,富瓦的凱瑟琳 (坎達萊伯爵夫人)
Bruno Marie-Rose,布鲁诺·马里-罗斯
Gonzalve de Bourbon,岡薩洛
Georges Carpentier,乔治斯·卡彭蒂尔
Simon Pagenaud,西蒙·佩格诺德
Bouchard d'Avesnes,阿凡斯內的布夏德
Henri Wallon,亨利·瓦隆
Clara Dupont-Monod,克拉拉·杜邦-莫諾
Clément Lefert,克萊蒙特·萊菲爾特
Jean-Marc Ferreri,費雷里
Raymond Vahan Damadian,雷蒙德·達馬蒂安
René Vautier,勒內·沃捷
Albert Corey,阿爾伯特·科里
Henri Chrétien,亨利·雅克·克雷蒂安
Jean-Joseph Languet de Gergy,让-约瑟夫·朗盖·德·热尔吉
Kostas Axelos,科斯塔斯·埃克斯羅斯
Alain Digbeu,阿兰·迪格布
Tristan Vautier,特里斯坦·沃捷
André Pascal,安德烈·帕斯卡
Georg Hackenschmidt,乔治·哈肯施密克
Jean de Brienne,布里埃纳的约翰二世
Dominique Sarron,多米尼克·萨龙
Hervé Schneid,哈夫·史奈德
Bernard Chevallier,贝尔纳·舍瓦利耶
Maurizio Lazzarato,毛里齐奥·拉扎拉托
Christophe Kempé,克里斯托夫·肯佩
Christophe Looten,克里斯托夫·洛滕
Michel Croz,米歇尔·克罗
Prosper Menière,普罗斯珀·梅尼埃
Gérard Mestrallet,热拉尔·梅斯特拉莱
Henri Hérouin,亨利·埃鲁安
Erté,埃特
Jocelyn Quivrin,若瑟兰·基夫兰
Damien Éloi,达米安·埃洛瓦
Yves Ciampi,伊夫·錢皮
Evry Schatzman,葉夫裡·沙茨曼
David Skrela,大衛·斯克爾拉
Jean de Hautefeuille,让·德·奥特弗耶
Pierre Cahuzac,皮埃尔·卡于扎克
Grand Corps Malade,格蘭·科普斯·馬拉德
Mohammad Ali Mojtahedi,穆罕默德·阿里·莫伊塔赫迪
Henri Laurens,亨利·劳伦斯
Victorin Lurel,维克托兰·吕雷尔
Pierre Mondy,皮爾·蒙迪
Anne-Charlotte de Lorraine,洛林的安妮·夏洛特
Michel Ciment,米歇尔·西蒙
Ousmane N'Doye,恩多伊
Olivier Gruner,奧利佛·葛魯納
Maxime Guyon,紀仁安
Egutu Oliseh,艾古杜·奧利殊
Diego Buñuel,迭戈·布努埃尔
François d'Escoubleau de Sourdis,方濟各·德·蘇爾迪斯
Jean-Paul Rouve,让-保罗·卢弗
Christophe Maé,克里斯托弗·马埃
Christophe Arleston,克里斯托弗·阿尔列斯通
Serge Latouche,塞尔日·拉图什
Jérôme Pétion de Villeneuve,热罗姆·佩蒂翁·德·维尔纳夫
Joseph Hippolyte Guibert,約瑟夫·伊波利特·吉伯特
Frédéric Pietruszka,弗雷德里克·彼得鲁斯卡
Mathieu Demy,马修·德米
Frédéric Oudéa,弗雷德里克·乌代亚
Darry Cowl,达里·考尔
Louis Delluc,路易·德吕克
Vadim Schneider,瓦迪姆·施内德
Ferdinand de Mayenne,費迪南多·貢扎加
André Prévost,安德烈·普雷沃
Guy de Montfort,比戈爾伯爵蓋伊·德孟福爾
Christophe Gans,基斯杜菲·簡斯
George du Maurier,乔治·杜穆里埃
Louis Armand Ier de Bourbon-Conti,孔蒂王子
Jacques Curie,雅克·居里
Pierre-Joseph Amoreux,皮埃尔-约瑟夫·阿莫勒
Jean-Pierre Marielle,尙-皮爾·馬里歐
Thomas Piketty,湯瑪斯·皮克提
Ramirdus d'Esquerchin,坎布拉的拉米杜
Geoffroy IV d'Anjou,若弗魯瓦四世
Éric Poujade,埃里克·布热德
David Michel,大卫·米歇尔
Jean-Pierre Franque,讓-皮埃爾·弗蘭克
Laurent Wauquiez,洛朗·沃基耶
Jean-Marie Louvel,让-马里·卢韦尔
Octave Feuillet,奥克塔夫·费耶
Claude Jacques Lecourbe,克洛德·勒古布
David Charvet,大卫·查维特
Claude-Antoine Prieur-Duvernois,克洛德·安托万，普里厄-迪韦努瓦伯爵
Claude-Christophe Gourdan,查尔斯·克劳德·克里斯托弗·戈登
Hippolyte Carnot,伊波利特·卡諾
Jean de Clermont,让·德·克莱蒙特
Claude Rostain,克劳德·罗斯坦
Charles-Henri Sanson,夏爾·亨利·桑松
David Berton,大卫·伯顿
Paul Veyne,保罗·韦纳
Victor de Broglie,克洛德-维克托·德布罗伊
David Chassé,大卫·亨德里克·沙塞
Francis Perrin,弗朗西斯·佩蘭
Alfred N'Diaye,阿弗瑞德·恩迪亞耶
Jean Cugnot,让·屈尼奥
Pierre Puiseux,皮埃尔·皮瑟
Géraldine Danon,傑拉丁·達農
Nicolas Zourabichvili,尼古拉斯·祖拉比奇维利
Constance de France,圖盧茲伯爵夫人康斯坦絲
Denis Frayssinous,德尼·弗雷西努
Mabrouk El Mechri,马布鲁克·埃尔·梅奇
Louis Feuillade,路易·弗亚德
Claude Aubriet,克洛德·奥布里耶
Gérard James,傑瑞德·詹姆士
Bruno Delbonnel,布魯諾·戴波內爾
Claude Fauchet,克洛德·福謝
Georges Franju,乔治·弗朗瑞
