Douglas Adams,ダグラス・アダムズ
"Lawrence Dundas, 1st Marquess of Zetland",ローレンス・ダンダス・(初代ゼットランド侯爵)
Zed Bias,ゼッド・バイアス
Jonathan Obika,ジョナサン・オビカ
William Buick,ウィリアム・ビュイック
Tom Odell,トム・オデール
King Krule,キング・クルール・(ミュージシャン)
Zayn Malik,ゼイン・マリク
Stuart Armstrong,スチュアート・アームストロング
Leopold Wharton,レオポルド・ワートン
Les Allen,レス・アレン
Harry Styles,ハリー・スタイルズ
Lawrence Atkinson,ローレンス・アトキンソン
Louis de Soissons,ルイ・ドゥ・ソワソン
Michael Roll (pianist),マイケル・ロール
"Billy Jones (footballer, born 1987)",ビリー・ジョーンズ・(1987年生のサッカー選手)
Bill Doran (motorcyclist),ビル・ドラン
Richard Sakwa,リチャード・サクワ
Robert Freeman (photographer),ロバート・フリーマン
Rosie Swale-Pope,ロージー・スウェイル・ポープ
Konni Zilliacus,コンニ・ジリアクス
Marjorie Reeves,マージョリ・リーヴス
Mark Falco,マーク・ファルコ
Barry Andrews (musician),バリー・アンドリューズ
Ben Mee,ベン・ミー
Basil Cameron,ベイジル・キャメロン
Tony Bellew,トニー・ベリュー
Brian Jacks,ブライアン・ジャックス
Brian Hopper,ブライアン・ホッパー
"William Palmer, 2nd Earl of Selborne",ウィリアム・パーマー・(第2代セルボーン伯爵)
Matt Ritchie,マット・リッチー
Matthew Hartmann,マシュー・ハートマン
Michael Cox (academic),マイケル・コックス・(政治学者)
Sergey Brilyov,セルゲイ・ブリリョフ
Bob McIntyre (motorcyclist),ボブ・マッキンタイヤ
Ann Cleeves,アン・クリーヴス
Geoffrey Boycott,ジェフリー・ボイコット
Caitlin Blackwood,ケイトリン・ブラックウッド
Michael Morrison (footballer),マイケル・モリソン
Michael Roberts (historian),マイケル・ロバーツ・(歴史家)
Sammy Lee (footballer),サミー・リー
Nathaniel Mendez-Laing,ナサニエル・メンデス＝ラング
Arthur Hilton,アーサー・ヒルトン
Cecil Pinsent,セシル・ピンセント
Anthony Taylor (referee),アンソニー・テイラー・(サッカー審判員)
Enid Stamp Taylor,イーニッド・スタンプ・テイラー
Mike England,マイク・イングランド
Lee Murray,リー・マーレイ
Mona Hammond,モナ・ハモンド
William Chandless,ウィリアム・チャンドレス
Stuart J. Russell,スチュアート・ラッセル
Ryan Mason,ライアン・メイソン
Kell Brook,ケル・ブルック
Jonathan Trott,ジョナサン・トロット
"Chris Armstrong (footballer, born 1971)",クリス・アームストロング
Rosamund John,ロザマンド・ジョン
Norman Parkinson,ノーマン・パーキンソン
Glen Luchford,グレン・ルックフォード
Genevieve Gaunt,ジュヌヴィエーヴ・ゴーント
Barrie Gilbert,バリー・ギルバート
Mollie Phillips,モリー・フィリップス
Nick Love,ニック・ラヴ
Sharon Rendle,シャロン・レンドル
Nick Fyffe,ニック・ファイフ
Caucher Birkar,コーチェル・ビルカー
Vera Volkova,ヴェラ・ヴォルコワ
"John Nevill, 5th Marquess of Abergavenny",ジョン・ネヴィル・(第5代アバーガヴェニー侯爵)
Christopher Morrison,ミンク・(映画監督)
Natalia Gorbenko,ナタリア・ゴルベンコ
Derek Gregory,デレク・グレゴリー
Iain Hamilton Grant,イアン・ハミルトン・グラント
Colin Falkland Gray,コリン・フォークランド・グレイ
Robert Firth (footballer),ロバート・ファース
Daniel Lafferty,ダニエル・ラファーティ
Colin Thurston,コリン・サーストン
Colin Moulding,コリン・モールディング
Conor McLaughlin,コナー・マクラフリン
Colin MacCabe,コリン・マッケイブ
David Young Cameron,デイヴィッド・ヤング・キャメロン
Craig Forsyth,クレイグ・フォーサイス
Johnny Flynn,ジョニー・フリン
James Allison (motorsport),ジェイムズ・アリソン
Harry Mattick,ハリー・マティック
Loddiges family,ロッディジーズ家
Al Koran,アル・コーラン
George Groves (boxer),ジョージ・グローブス
Erich Gruenberg,エリック・グリューエンバーグ
Peter Barakan,ピーター・バラカン
Ruth Gipps,ルース・ギップス
Adam Forshaw,アダム・フォーショー
Ray Freeman,レイ・フリーマン
Agnes Jekyll,アグネス・ジキル
Jack Llewelyn Davies,ジャック・ルウェリン・デイヴィス
Benjamin Frith,ベンジャミン・フリス
Nicholas Higham,ニコラス・ハイアム
Tiffany Zahorski,ティファニー・ザホースキ
Alicia Spinnet,アリシア・スピネット
Ronnie Henry,ロニー・ヘンリー
Rachel Goswell,レイチェル・ゴスウェル
Professor Hershel Layton,エルシャール・レイトン
Yinka Shonibare,インカ・ショニバレ
Martin Edwards (author),マーティン・エドワーズ
Nicholas Straussler,ニコラス・ストラウスラー
Harold Shukman,ハロルド・シュクマン
"Serena Armstrong-Jones, Countess of Snowdon",セレナ・アームストロング＝ジョーンズ
"Oliver Franks, Baron Franks",オリヴァー・フランクス
Jeremy Allison,ジェレミー・アリソン
Kate Firth,ケイト・ファース
David Gandy,デヴィッド・ギャンディ
David Markham,デヴィッド・マーカム
Dave McAuley,デーブ・マコーリー
Dr. Thorndyke,ジョン・イヴリン・ソーンダイク
Peter Stevens (car designer),ピーター・スティーブンズ・(自動車デザイナー)
Alfred Yarrow,アルフレッド・ヤーロウ
Alan Bloom,アラン・ブルーム・(園芸家)
Alan Blyth,アラン・ブライス
"Edward Windsor, Lord Downpatrick",エドワード・ウィンザー・(ダウンパトリック男爵)
J. J. Colledge,J.J.カレッジ
Robert Harold Compton,ロバート・ハロルド・コンプトン
Lee Jordan (Harry Potter),リー・ジョーダン
Dan Potts (footballer),ダン・ポッツ
Robert Kazinsky,ロバート・カジンスキー
Robert Loe,ロバート・ロー
Richard Hull (writer),リチャード・ハル
Adebayo Akinfenwa,アデバヨ・アキンフェンワ
Richard Barry Parker,バリー・パーカー
Gareth Evans (filmmaker),ギャレス・エヴァンス
Robbie Kay,ロビー・ケイ
Hugh B. Cave,ヒュー・B・ケイヴ
Philip Tagg,フィリップ・タグ
A. M. Burrage,A・M・バレイジ
A. E. Coppard,A・E・コッパード
William Michael Herbert Greaves,ウィリアム・グリーブス
Gary Hume,ゲイリー・ヒューム
Erin Richards,エリン・リチャーズ
Nira Park,ナイラ・パーク
Rob Harper,ロブ・ハーパー
Diane Wei Liang,ダイアン・ウェイ・リャン
Thea King,シア・キング
Alan Glazier,アラン・グレイザー
Alan Evans,アラン・エヴァンズ
Annie Lorrain Smith,アニー・ローレン・スミス
Terry Etim,テリー・エティム
Lady Amelia Windsor,アメリア・ウィンザー
Lady Marina Windsor,マリナ・ウィンザー
Rodolphus Lestrange,ロドルファス・レストレンジ
Scott Arfield,スコット・アーフィールド
Stephen Coombs,スティーヴン・クームズ
Robert Cooper (diplomat),ロバート・クーパー
Alan Morrison (racing driver),アラン・モリソン・(レーシングドライバー)
Sacha Gervasi,サーシャ・ガヴァシ
George Moncur,ジョージ・モンカー
Teddy Lupin,テディ・リーマス・ルーピン
Sergei Skripal,セルゲイ・スクリパリ
Hugo Weasley,ヒューゴ・ウィーズリー
Alan Knott,アラン・ノット
Sam Lowes,サム・ロウズ
Robert Cohen (cellist),ロバート・コーエン
Bryony Coles,ブライアニ・コールズ
Raymond Cohen,レイモンド・コーエン
Stuart Dallas,スチュアート・ダラス
"Alan Irvine (footballer, born 1962)",アラン・アーバイン
Aled Davies (rugby union),アレッド・デーヴィス
Actress (musician),アクトレス
Simon Rumley,サイモン・ラムリー
Abi Morgan,アビ・モーガン
Rose Weasley,ローズ・ウィーズリー
Lily Luna Potter,リリー・ルーナ・ポッター
Steve Paterson,スティーブン・パターソン
Aaron Phipps,アーロン・フィップス
Aaron McCusker,アーロン・マカスカー
Aaron Shingler,アーロン・シングラー
Alan Macfarlane,アラン・マクファーレン
Dominic Lieven,ドミニク・リーベン
Anatol Lieven,アナトール・リーヴェン
Adrian William Moore,エイドリアン・ムーア
Theodore Cressy Skeat,セオドア・クレッシー・スキート
Taylor Mackenzie,テイラー・マッケンジー
Terry Chambers,テリー・チェンバーズ
Alec Ogilvie,アレクサンダー・オジルビー
Alan Sharp,アラン・シャープ
Alan Rudkin,アラン・ラドキン
Steve Mattin,スティーブ・マッティン
Margaret Anne Marshall,マーガレット・マーシャル
Sean Morrison (footballer),ショーン・モリソン・(サッカー選手)
Cameron Lancaster,キャメロン・ランカスター
Adam Devlin,アダム・デヴリン
Bridget O'Connor,ブリジット・オコナー
Alex Hassell,アレックス・ハッセル
Adrian Hodges,エイドリアン・ホッジス
Adam Reach,アダム・リーチ
Arthur Morrison,アーサー・モリスン
Alex Boyé,アレックス・ボエ
Alex Binnie (tattoo artist),アレックス・ビニー
Alex Pritchard,アレックス・プリチャード
Alex Paterson,アレックス・パターソン
Alex Goode,アレックス・グッド
Allen J. Scott,アレン・J・スコット
Robin Atkin Downes,ロビン・アトキン・ダウンズ
Marc Hynes,マーク・ハインズ
"Adam Webster (footballer, born 1995)",アダム・ウェブスター
Adam Watson,アダム・ワトソン
Adela Maddison,アディーラ・マディソン
Aden Flint,エイデン・フリント
June Thomson,ジューン・トムスン
Peter J. Taylor,ピーター・テイラー・(地理学者)
Ivor Newton,アイヴァー・ニュートン
John Nash (artist),ジョン・ナッシュ・(画家)
David O'List,デヴィッド・オリスト
Peter Twiss,ピーター・ツィス
Ada Roe,エイダ・ロー
Percy Whitlock,パーシー・ウィットロック
R. D. Wingfield,R・D・ウィングフィールド
Alex McSweeney,アレックス・マクスウィーニー
Adrian Street,エイドリアン・ストリート
Adam Roberts (scholar),アダム・ロバーツ・(政治学者)
Michael Oliver (referee),マイケル・オリヴァー
Ronald Pickup,ロナルド・ピックアップ
Julius Francis,ジュリアス・フランシス
L. Jonathan Cohen,ローレンス・ジョナサン・コーエン
Paul Stewart (racing driver),ポール・スチュワート・(レーサー)
"Alexander Fraser, 20th Lord Saltoun",アレグザンダー・フレイザー・(第20代ソルトーン卿)
"Alexander Fraser, 19th Lord Saltoun",アレグザンダー・フレイザー・(第19代ソルトーン卿)
Geoffrey Lewis (scholar),ジェフリー・ルイス
Ronald Smith (musician),ロナルド・スミス
Rebecca Stephens (singer),ベッキ・ピペット
Samuel Chatto,サミュエル・チャット
"James Gascoyne-Cecil, 4th Marquess of Salisbury",ジェイムズ・ガスコイン＝セシル・(第4代ソールズベリー侯爵)
Alton Thelwell,アルトン・セルウェル
"Alexander Fermor-Hesketh, 3rd Baron Hesketh",アレクサンダー・ファーマー＝ヘスケス・(第3代ヘスケス男爵)
Stuart Piggott,スチュアート・ピゴット
Alexander Biggam,アレクサンダー・ビガム
"Alec Hardinge, 2nd Baron Hardinge of Penshurst",アレグザンダー・ハーディング・(第2代ペンズハーストのハーディング男爵)
"Alexander Macdonald, 7th Baron Macdonald",アレグザンダー・マクドナルド・(第7代マクドナルド男爵)
Antoinette Sibley,アントワネット・シブリー
Anton Blackwood,アントン・ブラックウッド
Kate Perugini,ケート・ペルジーニ
Arnold Rowntree,アーノルド・スティーヴンソン・ラウントリー
Art Wood,アート・ウッド
Arnold Weinstock,アーノルド・ウェインストック
Derek Reid,デレク・リード
Keith Remfry,キース・レムフリー
Alexandra Moen,アレクサンドラ・モーエン
"Alexandra Hamilton, Duchess of Abercorn",アレグザンドラ・ハミルトン・(アバコーン公爵夫人)
Andre Gray,アンドレ・グレイ
"Alexander Stewart, 6th Earl of Galloway",アレクサンダー・ステュアート・(第6代ギャロウェイ伯爵)
Arthur Comyns Carr,アーサー・S・コミンズ・カー
"William Forbes-Sempill, 19th Lord Sempill",ウィリアム・フォーブス＝センピル
Amy Manson,エイミー・マンソン
"Archibald Kennedy, 4th Marquess of Ailsa",アーチボルド・ケネディ・(第4代エイルザ侯爵)
Andy Yiadom,アンディー・イアダム
Angela Little (academic),アンジェラ・リトル・(教育学者)
"Alfred FitzRoy, 8th Duke of Grafton",アルフレッド・フィッツロイ・(第8代グラフトン公爵)
"Arthur Gore, 7th Earl of Arran",アーサー・ゴア・(第7代アラン伯爵)
"Archibald Kennedy, 3rd Marquess of Ailsa",アーチボルド・ケネディ・(第3代エイルザ侯爵)
Alfred Mitchell-Innes,アルフレッド・ミッチェル＝イネス
Andrew Hall (rugby union),アンドリュー・ジョン・アンダーソン・ホール
"Andrew Bruce, 11th Earl of Elgin",アンドルー・ブルース・(第11代エルギン伯爵)
Alfred Ernest Wileman,アルフレッド・ワイルマン
Alfred Hui,許廷鏗
Angie Le Mar,アンジー・ル・マール
"Angus Kennedy, 6th Marquess of Ailsa",アンガス・ケネディ・(第6代エイルザ侯爵)
Algernon Talmage,アルジャーノン・タルマージ
Sylvia Payne,シルヴィア・ペイン
Andrew Jennings,アンドリュー・ジェニングス
Andrew Gamble,アンドリュー・ギャンブル
Andrew Green (Formula One),アンドリュー・グリーン
Anna Brewster,アンナ・ブリュースター
Arthur Mapp,アーサー・マップ
Barney Hoskyns,バーニー・ホスキンス
Alice Arnold (broadcaster),アリス・アーノルド
Alice Coleman,アリス・コールマン
A. M. Williamson,アリス・マリエル・ウィリアムソン
Barry Douglas,バリー・ダグラス・(サッカー選手)
Barry Evans (actor),バリー・エバンス
Barry Hills,バリー・ヒルズ
Shadia Mansour,シャディア・マンスール
Basil Eugster,バジル・ユーグスター
Andrew Orlowski,アンドリュー・オーロウスキー
"Basil Hamilton-Temple-Blackwood, 4th Marquess of Dufferin and Ava",バジル・ハミルトン＝テンプル＝ブラックウッド・(第4代ダファリン侯爵)
Alison Brooks,アリソン・ブルックス
Ash Amin,アッシュ・アミン
Andy Barcham,アンディ・バーチャム
Andy Booth,アンディー・ブース
Arthur Wilkinson,アーサー・ウィルキンソン
"Barry Yelverton, 3rd Viscount Avonmore",バリー・イェルヴァートン・(第3代アヴォンモア子爵)
Anthony Inglis (conductor),アンソニー・イングリス
Ben Hills,ベン・ヒルズ
Stella Ross-Craig,ステラ・ロス＝クレイグ
Bel Powley,ベル・パウリー
Bee Wilson,ビー・ウィルソン
Arthur Somervell,アーサー・サマヴェル
"Sir Arthur Young, 1st Baronet",アーサー・スチュワート・レスリー・ヤング
Arthur Stockdale Cope,アーサー・ストックデイル・コープ
Ashley Miller (screenwriter),アシュリー・エドワード・ミラー
Anthony Crolla,アンソニー・クローラ
Belinda Bauer (author),ベリンダ・バウアー・(作家)
Ash Palmer,アシュリー・パーマー・(1992年生のサッカー選手)
Ben Stokes,ベン・ストークス
Stephen Clemence,スティーブン・クレメンス
"Ben Davies (footballer, born 1995)",ベン・デイヴィス・(1995年生のサッカー選手)
Ben Davis (cinematographer),ベン・デイヴィス・(撮影監督)
Ben Richards (writer),ベン・リチャーズ
"Anthony Vivian, 5th Baron Vivian",アンソニー・ヴィヴィアン・(第5代ヴィヴィアン男爵)
Aubrey Powell (designer),オーブリー・パウエル
"Aubrey FitzClarence, 4th Earl of Munster",オーブリー・フィッツクラレンス・(第4代マンスター伯爵)
Neil Taylor (guitarist),ニール・テイラー・(ギタリスト)
Imogen Cooper,イモージェン・クーパー
Andy Cunningham (footballer),アンディ・カニンガム
Anthony Halstead,アンソニー・ハルステッド
Anthony Gustav de Rothschild,アンソニー・グスタフ・ド・ロスチャイルド
Ayşe Tezel,アイス・テゼル
Ben Ryan (rugby union),ベン・ライアン
Bryant Baker,ブライアント・ベイカー
Bill Eyden,ビル・エイデン
Bruce Smith (musician),ブルース・スミス・(ミュージシャン)
Bruce Lansbury,ブルース・ランズベリー
Barbara Judge,バーバラ・ジャッジ
Augustus Newman,オーガスタス・チャールズ・ニューマン
Augustus Legge,オーガスタス・レッグ
Barbara Leonie Picard,バーバラ・レオニ・ピカード
Bryan Keith-Lucas,ブライアン・キース＝ルーカス
Dan Evans (tennis),ダニエル・エバンス
Bill Price (record producer),ビル・プライス
Rodger Bain,ロジャー・ベイン
Carl Frampton,カール・フランプトン
Bobby Thomson,ボビー・トムソン
Carol Grimes,キャロル・グライムス
C. Walter Hodges,ウォルター・ホッジス
Caroline Blakiston,キャロライン・ブラキストン
Charles Richard Fairey,チャールズ・フェアリー
Charlotte Bill,シャーロット・ビル
Ronnie Lee,ロニー・リー
Bradley Dack,ブラッドリー・ダック
Callum Wilson,カラム・ウィルソン・(イングランドのサッカー選手)
Catherine Cusack,キャサリン・キューザック
Bram Tchaikovsky,ブラム・チャイコフスキー
Brendan Galloway,ブレンダン・ギャロウェイ
Campbell Forsyth,キャンベル・フォーサイス
Amanda Feilding,アマンダ・フィールディング
Charles Rumney Samson,チャールズ・サムソン
Charles Rycroft,チャールズ・ライクロフト
Billy Robinson,ビル・ロビンソン
Cecil Aronowitz,セシル・アロノヴィッツ
Chris Wilder,クリス・ワイルダー
Brian Cookson,ブライアン・クックソン
Brian Clarke,ブライアン・クラーク・(美術家)
Cecil Roberts,セシル・ロバーツ
Charlie Fletcher,チャーリー・フレッチャー
Charlie Daniels (footballer),チャーリー・ダニエルズ・(サッカー選手)
Cerrie Burnell,ケリー・バーネル
Charlene von Saher,チャーリーン・ヴォン・サヘア
Charles W. J. Withers,チャールズ・W・J・ウィザース
"Cecil Harmsworth, 1st Baron Harmsworth",セシル・ハームズワース・(初代ハームズワース男爵)
Cecil Heywood,セシル・ヘイウッド
"Charles Beauclerk, 11th Duke of St Albans",チャールズ・ボークラーク・(第11代セント・オールバンズ公)
Charli XCX,チャーリー・XCX
"Charlie Taylor (footballer, born 1993)",チャーリー・テイラー・(サッカー選手)
Charles Curtis (botanist),チャールズ・カーティス・(植物学者)
Christopher Busby,クリストファー・バズビー
Christopher Brocklebank-Fowler,クリストファー・ブロックルバンク＝ファウラー
Christopher J. Hill,クリストファー・ヒル・(政治学者)
Christopher Howarth,クリス・ハワース
Christopher Landon (screenwriter),クリストファー・ランドン
Christopher Malcolm,クリストファー・マルコム
Ceolwald of Wessex,チェオルワルド
Cedda,チェッダ
Charles Evans (Royal Navy officer),チャールズ・エヴァンス・(イギリス海軍)
Christopher Thorne,クリストファー・ソーン・(歴史家)
Gwendoline Lycett,グウェンドリン・ライセット
Claude Grahame-White,クロード・グラハム＝ホワイト
Christopher Norris (critic),クリストファー・ノリス
Charles Eaton (RAAF officer),チャールズ・イートン・(王立オーストラリア空軍士官)
"Charles Douglas-Home, 13th Earl of Home",チャールズ・ダグラス＝ヒューム・(第13代ヒューム伯爵)
Brian McBride (businessman),ブライアン・マクブライド・(実業家)
Brian McLean,ブライアン・マックリーン
Charles Haslewood Shannon,チャールズ・シャノン
Colin McMillan,コリン・マクミラン
"Colin Marshall (footballer, born 1984)",コリン・マーシャル
Colin Horsley,コリン・ホースリー
Colin Furze,コリン・ファーズ
Bristol Museum %26 Art Gallery,ブリストル市立博物館・美術館
"Brinsley Le Poer Trench, 8th Earl of Clancarty",ブリンズリー・ル・プア・トレンチ・(第8代クランカーティ伯爵)
Chris Hodgetts,クリス・ホジェッツ
Charles Francis Massy Swynnerton,チャールズ・スウィナートン
Clark Datchler,クラーク・ダッチェラー
Chris Eaton (British musician),クリス・イートン
Chris Eubank Jr,クリス・ユーバンク・ジュニア
Christopher Seaman,クリストファー・シーマン
Clayton Donaldson,クレイトン・ドナルドソン
"Chris Jones (footballer, born 1956)",クリス・ジョーンズ・(サッカー選手)
Charles Medlam,チャールズ・メドラム
Brian Weske,ブライアン・ウェスク
Charles Venn,チャッキー・ヴェン
Brian Muir (sculptor),ブライアン・ミュアー
Charles Eric Maine,チャールズ・エリック・メイン
Clara Novello Davies,クララ・ノヴェロ・デイヴィス
"Charles Kennedy, 5th Marquess of Ailsa",チャールズ・ケネディ・(第5代エイルザ侯爵)
"Charles Kay-Shuttleworth, 5th Baron Shuttleworth",チャールズ・ケイ＝シャトルワース・(第5代シャトルワース男爵)
Connor Goldson,コナー・ゴールドソン
Britt Allcroft,ブリット・オールクロフト
Roxanna Panufnik,ロクサンナ・パヌフニク
Charles Lloyd-Pack,チャールズ・ロイド＝パック
Chris Glen,クリス・グレン・(ミュージシャン)
Chris Munro,クリス・ムンロ
Conrad Leach,コンラッド・リーチ
Conor Townsend,コナー・タウンゼント
Connor Ripley,コナー・リプリー
David Bowes-Lyon,デイヴィッド・ボーズ＝ライアン
Charles Hugh Alison,チャールズ・ヒュー・アリソン
Clive Wilson,クライヴ・ウィルソン
Craig Shakespeare,クレイグ・シェイクスピア
David Campbell (clarinetist),デヴィッド・キャンベル・(クラリネット奏者)
"David Carnegie, 4th Duke of Fife",デイヴィッド・カーネギー・(第4代ファイフ公爵)
David Cargill (alpine skier),デビッド・カーギル・(スキー選手)
David Clements (figure skater),デヴィッド・クレメンツ
Clifford Bax,クリフォード・バックス
Cliff Balsom,クリフ・バルソン
Colin Allen,コリン・アレン
Mary Cornwall Legh,コンウォール・リー
Cory Allen (rugby union),コリー・アレン・(ラグビー選手)
Dan Bentley (footballer),ダニエル・ベントレー
Colin Cherry,コリン・チェリー
David Burke (botanist),デビッド・バーク・(プラント・ハンター)
David Brown (musicologist),デイヴィッド・ブラウン・(音楽学者)
Daniel Pemberton,ダニエル・ペンバートン
David Cunningham (musician),デヴィッド・カニンガム
Dennis Stewart (judoka),デニス・スチュワート
Chris Steele-Perkins,クリス・スティール＝パーキンス
Crispin Gray,クリスピン・グレイ
Cyril Chadwick,シリル・チャドウィック
Cyril Smith (pianist),シリル・スミス
"Denzil Holles, 3rd Baron Holles",デンジル・ホリス・(第3代ホリス男爵)
David Slinn,デイヴィッド・アーサー・スリン
Danny Batth,ダニー・バス
"David Mitford, 2nd Baron Redesdale",デイヴィッド・フリーマン＝ミットフォード・(第2代リーズデイル男爵)
"David Nicolson, 4th Baron Carnock",デイヴィッド・ニコルソン・(第4代カーノック男爵)
David Newman (political geographer),デヴィッド・ニューマン・(地理学者)
Dadie Rylands,デイディ・ライランズ
David Punter,デイヴィッド・パンター
Derek Longmuir,デレク・ロングミュアー
Danny Ings,ダニー・イングス
"Dermot Chichester, 7th Marquess of Donegall",ダーモット・チチェスター・(第7代ドニゴール侯爵)
Darryll Holland,ダリル・ホランド
David Wiggins,デイヴィッド・ウィギンズ
David Howells,デイビッド・ハウエルズ
David Reynolds (historian),デイヴィッド・レイノルズ・(歴史学者)
David Wood (philosopher),デヴィッド・ウッド
Cyrus Christie,サイラス・クリスティ
Dale Stephens (footballer),デール・スティーブンス
Diana Yukawa,ダイアナ湯川
Darren Barker,ダレン・バーカー
David Thomas (bass),デヴィッド・トーマス
Daryl Runswick,ダリル・ランズウィック
Derry Mathews,デリー・マシューズ
David Wanklyn,デイヴィッド・ワンクリン
Dan Norton,ダン・ノートン
Dave Formula,デイヴ・フォーミュラ
Dean Allmark,ディーン・オールマーク
Dean Austin,ディーン・オースティン
Dickon Edwards,ディコン・エドワーズ
Dan Burn,ダン・バーン
David Leigh (swimmer),デイヴィッド・ウィリアム・リー
Darren Stephenson,ダレン・ステファンソン
Dorothy Eady,オンム・セティ
Davy Knowles,デイビー・ノウルズ
David Lloyd-Jones (conductor),デーヴィッド・ロイド＝ジョーンズ
David Lyon (sociologist),デイヴィッド・ライアン
David MacMillan,デイヴィッド・マクミラン
David Hunt (actor),デヴィッド・ハント・(俳優)
Eds Chesters,エズ・チェスターズ
Dominic Colenso,ドミニク・コレンソ
Dominic Day,ドミニク・デイ
Declan Gallagher,デクラン・ギャラガー
Declan John,デクラン・ジョン
Doug Boyle,ダグ・ボイル
Dave Gregory (musician),デイヴ・グレゴリー
Doreen Carwithen,ドリーン・カーウィゼン
Dean Parrett,ディーン・パレット
David Abercrombie (linguist),デイヴィッド・アバークロンビー
Dino Morelli,ディーノ・モレッリ
Deborah Levy,デボラ・レヴィ
Graham Simpson (musician),グラハム・シンプソン
David McAlmont,デヴィッド・マッカルモント
Dod Procter,ドッド・プロクター
Douglas Berneville-Claye,ダグラス・バーナヴィル＝クレイ
Dom Dwyer,ドム・ドワイヤー
Paul Thompson (musician),ポール・トンプソン・(ミュージシャン)
Denis Bernard (British Army officer),デニス・バーナード・(英国陸軍将校)
Edward Fleming,エドワード・ラッセルス・フレミング
Earl Carpenter,アール・カーペンター
E. V. Lucas,E・V・ルーカス
E. Harold Davies,エドワード・ハロルド・デイヴィス
Edward Gardner (conductor),エドワード・ガードナー
Edward Hall (director),エドワード・ホール・(演出家)
"Edward Bruce, 10th Earl of Elgin",エドワード・ブルース・(第10代エルギン伯爵)
Donald Macintyre (Royal Navy officer),ドナルド・マッキンタイア・(イギリス海軍)
Dwight Gayle,ドワイト・ゲイル
Emma Rigby,エマ・リグビー
"Eric Ashby, Baron Ashby",エリック・アシュビー
Dugald Christie (missionary),ドゥガルド・クリスティー
Edward Cadbury,エドワード・キャドバリー
Edward Carey (novelist),エドワード・ケアリー
Frances Barber,フランシス・バーバー
Eric Lomax,エリック・ローマクス
Duncan Weir,ダンカン・ウィアー
Florian Pilkington-Miksa,フロリアン・ピルキントン・ミクサ
Eddie Howe,エディ・ハウ
E. E. Speight,アーネスト・エドウィン・スペート
Eric Fenby,エリック・フェンビー
Eric Faulkner,エリック・フォークナー
F. B. Meyer,フレデリック・ブロザートン・マイヤー
Frederick Brown (artist),フレデリック・ブラウン・(画家)
Ed Dunlop,エドワード・ダンロップ
Eaton Faning,イートン・ファニング
David Bintley,デヴィッド・ビントレー
Eda Kersey,イダ・カーシー
Edward J. Miers,エドワード・ジョン・マイヤーズ
Eon (musician),イオン・(ミュージシャン)
Ed Skrein,エド・スクライン
Francis Kelly (British Army officer),フランシス・ケリー・(イギリス陸軍)
Francis Wheatley (painter),フランシス・ウィートリー
"John Stanley, 18th Earl of Derby",エドワード・スタンリー・(第18代ダービー伯爵)
Frederick Hawksworth,フレデリック・ホークスワース
Frederick Hall (painter),フレデリク・ホール
Edith Vogel,エディト・フォーゲル
Frederick Ernest Weiss,フレデリック・アーネスト・ワイス
Frederick Gibberd,フレデリック・ギバード
"Francis Rodd, 2nd Baron Rennell",フランシス・ロッド・(第2代レネル男爵)
Edward Neville Syfret,エドワード・サイフレット
Edward Naylor,エドワード・ネイラー
Eileen Colwell,アイリーン・コルウェル
Eileen Ash,アイリーン・アッシュ
Edwin John Butler,エドウィン・ジョン・バトラー
Edwin Richfield,エドウィン・リッチフィールド
Edwin McClellan,エドウィン・マクレラン
Frank Elliott (actor),フランク・エリオット・(俳優)
Black Angus Campbell,ワイルド・アンガス
G. P. Wells,ジョージ・フィリップ・ウェルズ
Gareth Holgate,ガレス・ホルゲート
Edward Whitaker Gray,エドワード・ウィテーカー・グレイ
"Ernest Greenhill, 1st Baron Greenhill",アーネスト・グリーンヒル・(初代グリーンヒル男爵)
Ernest Procter,アーネスト・プロクター
Frank Goldsmith,フランク・ゴールドスミス
Fritz von Runte,フリッツ・フォン・ルンテ
Ernest Lush,アーネスト・ラッシュ
Ernest Kennaway,アーネスト・ケナウェイ
Eli Walker,エリ・ウォーカー
Ernest Barker,アーネスト・バーカー
"Erskine Nicolson, 3rd Baron Carnock",アースキン・ニコルソン・(第3代カーノック男爵)
Estella Canziani,エステラ・カンツィアーニ
Richard Winsor,リチャード・ウィンザー
Gareth Baber,ガレス・バーバー
Gareth Anscombe,ガレス・アンスコム
Elfyn Evans,エルフィン・エバンス
Gail McKenna,ゲイル・マッケンナ
Frederick William Elwell,フレデリック・ウィリアム・エルウェル
Frank Buglioni,フランク・ブグリオーニ
Gareth Malone,ギャレス・マローン
George Baldock,ジョージ・バルドック
"Elizabeth Killigrew, Viscountess Shannon",エリザベス・キリグリュー・(シャノン子爵夫人)
Elizabeth Ferrars,エリザベス・フェラーズ
Fred Hockley,フレッド・ホックレー
Ethan Russell,イーサン・ラッセル
George E. Studdy,ジョージ・アーネスト・スタディ
Eunan O'Kane,ユーナン・オケイン
Frankie Armstrong,フランキー・アームストロング
Gary Bakewell,ゲイリー・ベイクウェル
Gary Avis,ゲイリー・エイビス
Gary Ayles,ゲイリー・アイルズ
Ellie Harrison (journalist),エリー・ハリソン
Elliot Lee,エリオット・リー
Ellic Howe,エリック・ハウ
Gary Mackay-Steven,ゲイリー・マッケイ＝スティーヴン
