"Фоменко, Анатолий Тимофеевич",阿纳托利·季莫费耶维奇·福缅科
"Попов, Евгений Георгиевич",叶夫根尼·格奥尔基耶维奇·波波夫
"Ковенчук, Георгий Васильевич",格奥尔吉·瓦西列维奇·科维丘克
"Ахаимова, Лилия Игоревна",莉莉婭·阿哈伊莫娃
"Сухарев, Иван Константинович",伊万·苏哈列夫
"Толкачёва, Мария Юрьевна",玛丽亚·托尔卡切娃
"Нордман, Эдуард Болеславович",爱德华·诺德曼
"Червоткин, Алексей Александрович",阿列克谢·切尔沃特金
"Осипов, Игорь Владимирович",伊戈爾·奧西波夫
"Федотов, Иван Дмитриевич",伊万·费多托夫
"Сафиуллин, Роман Ришатович",羅曼·薩菲烏林
"Махачев, Ислам Рамазанович",伊斯兰姆·马哈切夫
"Доржиев, Цырен-Даши Эрдынеевич",策凌达什·额尔德尼诺维奇·道尔吉耶夫
"Иванюженков, Борис Викторович",鲍里斯·伊万纽任科夫
"Ануфриев, Евгений Александрович",叶夫根尼·阿努夫里耶夫
"Халмурзаев, Хасан Магометович",哈桑·哈尔穆尔扎耶夫
"Христораднов, Юрий Николаевич",尤里·赫里斯托拉德诺夫
"Соловкин, Станислав Александрович",斯坦尼斯拉夫·索洛夫金
"Авдеев, Михаил Юрьевич",米哈伊尔·尤里耶维奇·阿夫杰耶夫
"Агаев, Ваха Абуевич",瓦哈·阿加耶夫
"Абакарова, Патимат Серажутдиновна",帕季玛特·阿巴卡罗娃
"Иванюк, Илья Дмитриевич",伊利亚·伊万纽克
"Чакветадзе, Давит Гочаевич",达维特·恰克韦塔泽
"Матвеенко, Александр Макарович",亚历山大·马特维延科
"Гильмутдинов, Динар Загитович",迪纳尔·吉利穆季诺夫
"Ларин, Владислав Владимирович",弗拉迪斯拉夫·拉林
"Беседа, Сергей Орестович",谢尔盖·贝塞达
"Кенин, София",索菲亞·科寧
"Бахметьев, Виталий Викторович",维塔利·巴赫梅季耶夫
"Лазарева, Анна Николаевна",安娜·拉扎列娃
"Опёнышева, Арина Павловна",阿林娜·奥片内舍娃
"Пахомов, Даниил Павлович",丹尼尔·帕霍莫夫
"Школьников, Алексей Михайлович",阿列克谢·什科利尼科夫
"Ридзик, Сергей Сергеевич",謝爾蓋·里濟克
"Гурулёв, Андрей Викторович",安德烈·古鲁廖夫
"Езубов, Алексей Петрович",阿列克谢·叶祖博夫
"Пименова, Кристина Руслановна",克里斯蒂娜·皮缅诺娃
"Ишемгулов, Амир Минниахметович",阿米尔·伊舍姆古洛夫
"Вороненков, Денис Николаевич",杰尼斯·沃罗年科夫
"Воронцова, Мария Владимировна",玛丽亚·弗拉基米罗芙娜·沃龙佐娃
"Моисеев, Николай Александрович",尼古拉·亚历山德罗维奇·莫伊谢耶夫
"Рашидов, Гаджимурад Газигандович",加吉穆拉德·拉希多夫
"Краснов, Игорь Викторович",伊戈爾·克拉斯諾夫
"Шуйский, Иван Васильевич Скопа",伊凡·瓦西里耶维奇·斯科平-叔伊斯基
"Ющенко, Александр Андреевич",亚历山大·尤先科
"Благонравов, Александр Александрович",亚历山大·布拉贡拉沃夫
"Каменский, Сергей Игоревич",謝爾蓋·卡緬斯基
"Москвичев, Евгений Сергеевич",叶夫根尼·莫斯克维切夫
"Федяев, Павел Михайлович",帕维尔·费佳耶夫
"Панков, Николай Васильевич",尼古拉·瓦西里耶维奇·潘科夫
"Савельев, Дмитрий Владимирович",德米特里·弗拉基米罗维奇·萨韦利耶夫
"Савельев, Дмитрий Иванович",德米特里·伊万诺维奇·萨韦利耶夫
"Блинкова, Анна Владимировна",安娜·布林科娃
"Александров, Иван Петрович (политик)",伊万·彼得罗维奇·亚历山德罗夫
"Захарова, Мария Владимировна",玛丽亚·扎哈罗娃
"Семёнов, Сергей Викторович",谢尔盖·谢苗诺夫
"Синельщиков, Юрий Петрович",尤里·西涅利希科夫
Антоний (Севрюк),安东尼·(塞甫留克)
"Козловский, Станислав Александрович",斯坦尼斯拉夫·亚历山德罗维奇·科兹洛夫斯基
"Прокудин, Павел Николаевич",帕維爾·普羅庫金
"Ефимов, Виталий Борисович",维塔利·鲍里索维奇·叶菲莫夫
"Мельников, Иван Валерьевич",伊万·瓦列里耶维奇·梅利尼科夫
"Калинская, Анна Николаевна",安娜·卡林斯卡娅
"Шлейхер, Никита Дмитриевич",尼基塔·施莱赫尔
"Ильиных, Кристина Алексеевна",克里斯季娜·伊利内赫
"Каловелонис, Марк Георгиевич",马科斯·卡洛维洛尼斯
"Добровольская, Яна Денисовна",扬娜·多布罗沃利斯卡娅
"Максимов, Александр Александрович (депутат)",亚历山大·亚历山德罗维奇·马克西莫夫·(政治人物)
"Рылов, Евгений Михайлович",叶夫根尼·雷洛夫
"Константинова, Екатерина Игоревна",叶卡捷琳娜·康斯坦丁诺娃
"Пригожин, Евгений Викторович",叶夫根尼·普里戈任
"Цурская, Полина Игоревна",波林娜·楚爾斯卡婭
"Пономарёв, Юрий Иванович",尤里·伊万诺维奇·波诺马廖夫
"Миранчук, Антон Андреевич",安東·米蘭丘克
"Костов, Кристиан",克里斯蒂安·科斯托夫
"Кадырова, Аймани Несиевна",阿赫玛尼·卡德罗娃
"Скриванов, Дмитрий Станиславович",德米特里·斯克里瓦诺夫
"Камнев, Павел Иванович",帕维尔·卡姆涅夫
"Коробов, Игорь Валентинович",伊戈爾·科羅博夫
"Шамалов, Кирилл Николаевич",基里尔·沙马洛夫
"Юдин, Андрей Дмитриевич",安德烈·德米特里耶维奇·尤金
"Татаренко, Александр Юрьевич",亞歷山大·塔塔連科
"Ибрагимов, Магомед Идрисович",穆罕默德·伊德里索维奇·易卜拉欣莫夫
"Дашидоржиева, Туяна Норполовна",图亚娜·达希多尔日耶娃
"Мазепин, Никита Дмитриевич",尼基塔·马泽平
"Нугуманова, Елизавета Игоревна",伊莉莎維塔·努古曼諾娃
"Найшуллер, Илья Викторович",伊利亞·奈舒勒
"Фаррахов, Айрат Закиевич",艾拉特·法拉霍夫
"Голубева, Елизавета Сергеевна",伊丽莎白·戈卢别娃
"Розвал, Яков Борисович",雅科夫·鲍里索维奇·罗兹瓦尔
"Князев, Александр Владимирович (химик)",亚历山大·克尼亚泽夫
"Саидов, Ибрагим Магомедсаидович",易卜拉欣·赛义多夫
"Валенчук, Олег Дорианович",奥列格·瓦连丘克
"Камнев, Георгий Петрович",格奥尔基·卡姆涅夫
"Ефимова, Алиса Борисовна",阿莉萨·叶菲莫娃
"Рабая, Екатерина Борисовна",叶卡捷琳娜·拉巴娅
"Попков, Александр Евгеньевич",亚历山大·波普科夫
"Медведев, Даниил Сергеевич",丹尼爾·梅德韋傑夫
"Голядкина, Марина Сергеевна",玛丽娜·戈利亚德金娜
"Терентьева, Наталья Михайловна",纳塔利娅·涅普里亚耶娃
"Андрусенко, Вячеслав Дмитриевич",维亚切斯拉夫·安德鲁先科
"Сирант, Сергей Юрьевич",谢尔盖·塞朗
"Белых, Ирина Викторовна",伊琳娜·别雷赫
"Башаев, Тамерлан Таусович",塔梅爾蘭·巴沙耶夫
"Борисов, Юрий Александрович",尤里·亞歷山德羅维奇·鮑里索夫
"Козловская, Инеса Бенедиктовна",伊涅莎·科兹洛夫斯卡娅
"Павлова, Яна Владимировна",亚娜·帕夫洛娃
"Пинский, Виктор Витальевич",维克托·平斯基
"Муллакаева, Дарья Васильевна",达里娅·穆拉卡耶娃
"Кукушкина, Алина Ильинична",愛琳娜·伊莉茵妮奇娜·庫庫什金娜
"Садовников, Александр Сергеевич",亚历山大·萨多夫尼科夫
"Боярский, Сергей Михайлович",谢尔盖·博亚尔斯基
"Щапов, Михаил Викторович",米哈伊尔·夏波夫
"Матыцин, Олег Васильевич",奧雷格·麥斯汀
"Пригода, Кирилл Геннадьевич",基里尔·普里戈达
"Калинина, Виктория Викторовна",維多利亞·卡麗妮娜
"Чижов, Сергей Викторович",谢尔盖·奇若夫
"Пилипенко, Ольга Васильевна",奥莉加·皮利片科
"Мархаев, Вячеслав Михайлович",维亚切斯拉夫·马尔哈耶夫
"Володин, Никита Андреевич",尼基塔·沃洛金
"Скляр, Геннадий Иванович",根纳季·斯克利亚尔
"Гамзатова, Айна Заирбековна",阿尼亞·伽姆扎托娃
"Мишина, Анастасия Викторовна",阿納斯塔西婭·米希娜
"Петров, Александр Петрович (политик)",亚历山大·彼得罗维奇·彼得罗夫·(政治人物)
"Масленников, Владимир Анатольевич",弗拉基米尔·马斯连尼科夫
"Бацарашкина, Виталина Игоревна",维塔利娜·巴察拉什金娜
"Ефременкова, Екатерина Олеговна",叶卡捷琳娜·叶夫列缅科娃
"Довгалюк, Михаил Джаванширович",米哈伊尔·多夫加柳克
"Аджубей, Рада Никитична",拉达·尼基季奇娜·赫鲁晓娃
"Дмитриев, Юрий Алексеевич",尤里·德米特里耶夫
"Умаханов, Ильяс Магомед-Саламович",伊利亚斯·乌马哈诺夫
"Мизинцев, Михаил Евгеньевич",米哈伊尔·米津采夫
"Малагич, Эмина Асимовна",埃米娜·马拉吉奇
"Родченков, Григорий Михайлович",格里戈里·罗德琴科夫
"Игнатов, Виктор Александрович (политик)",维克托·伊格纳托夫
"Шварцман, Роберт Михайлович",罗伯特·施瓦茨曼
"Москвителев, Николай Иванович",尼古拉·莫斯克维捷列夫
"Караулова, Юлианна Юрьевна",尤里安娜·尤里耶夫娜·卡拉烏洛娃
"Демченко, Иван Иванович",伊万·杰姆琴科
"Квитко, Анастасия",安娜塔西亞·克維特科
"Белик, Дмитрий Анатольевич",德米特里·别利克
"Каплина, Юлия Владимировна",尤利婭·卡普里娜
"Козловский, Дмитрий Эдуардович",德米特里·科兹洛夫斯基
"Бойкова, Александра Игоревна",亚历山德拉·博伊科娃
"Кравченко, Денис Борисович",丹尼斯·克拉夫琴科
"Скабеева, Ольга Владимировна",歐嘉·斯卡貝耶娃
"Ольшанский, Александр Юрьевич",亚历山大·奥利尚斯基
"Минина, Татьяна Алексеевна",塔蒂亞娜·米寧娜
"Тарасевич, Григорий Аркадьевич",格里戈里·塔拉谢维奇
"Александрова, Екатерина Евгеньевна",葉卡捷琳娜·亞歷山德羅娃
"Евлоев, Муса Гиланиевич",穆萨·叶夫洛耶夫
"Бублик, Александр Станиславович",亞歷山大·巴伯里克
"Попко, Дмитрий Евгеньевич",德米特里·波普科
"Губанова, Анастасия Витальевна",阿納斯塔西亞·古巴諾娃
"Загитова, Алина Ильназовна",阿麗娜·扎吉托娃
"Константинова, Станислава Андреевна",斯坦尼斯拉娃·康斯坦丁諾娃
"Самсонова, Людмила Дмитриевна",柳德米拉·萨姆索诺娃
"Качанова, Дарья Дмитриевна",达里娅·卡恰诺娃
"Ламейкин, Дмитрий Викторович",德米特里·拉梅伊金
"Соломатина, Татьяна Васильевна",塔季扬娜·索洛马京娜
"Харук, Олег Васильевич",奥列格·哈鲁克
"Тимофеева, Ольга Леонидовна",奥莉加·列昂尼多芙娜·季莫费耶娃
"Николаев, Николай Петрович (депутат)",尼古拉·彼得罗维奇·尼古拉耶夫
"Лебедев, Евгений Викторович (политик)",叶夫根尼·维克托罗维奇·列别杰夫
"Чалов, Фёдор Николаевич",費奧多爾·查羅夫
"Прокопчук, Александр Васильевич",亞歷山大·普羅科普丘克
"Чепа, Алексей Васильевич",阿列克谢·切帕
"Казанков, Сергей Иванович",谢尔盖·卡赞科夫
"Альшевских, Андрей Геннадьевич",安德烈·阿利舍夫斯基赫
"Туров, Артём Викторович",阿尔乔姆·图罗夫
"Шеремет, Михаил Сергеевич",米哈伊尔·舍列梅特
"Муравьёв, Владимир Александрович",弗拉基米尔·穆拉维约夫
"Пантелеев, Сергей Михайлович",谢尔盖·潘捷列耶夫
"Монгуш, Сайдаш Бегзиевич",赛达什·蒙古什
"Фургал, Сергей Иванович",謝爾蓋·富爾加爾
"Шувалов, Вадим Николаевич",瓦季姆·舒瓦洛夫
"Шипенко, Клим Алексеевич",克里姆·斯彭科
"Иванов, Максим Анатольевич",马克西姆·阿纳托利耶维奇·伊万诺夫
"Александровская, Екатерина Дмитриевна",叶卡捷琳娜·亚历山德罗夫斯卡娅
"Парфёнов, Денис Андреевич",丹尼斯·帕尔菲奥诺夫
"Колесников, Олег Алексеевич",奥列格·科列斯尼科夫
"Осадчий, Николай Иванович",尼古拉·奥萨奇
"Николаева, Виктория Викторовна",维多利亚·尼古拉耶娃
"Власов, Василий Максимович",瓦西里·弗拉索夫
"Тутова, Лариса Николаевна",拉里莎·图托娃
"Афанасьев, Виктор Васильевич (дирижёр)",维克托·瓦西里耶维奇·阿法纳西耶夫
"Кузнецова, Анна Юрьевна",安娜·库兹涅佐娃
"Поляшов, Владислав Сергеевич",弗拉季斯拉夫·波利亚绍夫
"Кулешова, Анастасия Николаевна",阿纳斯塔西娅·库列绍娃
"Спицов, Денис Сергеевич",丹尼斯·斯皮佐夫
"Якимушкин, Иван Андреевич",伊萬·亞基穆什金
"Потапова, Анастасия Сергеевна",安娜斯塔西亞·波塔波娃
"Сидаков, Заурбек Казбекович",扎乌尔別克·西达科夫
"Чернышов, Борис Александрович",鲍里斯·切尔内绍夫
"Свищёв, Дмитрий Александрович",德米特里·斯维晓夫
"Савченко, Олег Владимирович",奥列格·弗拉基米罗维奇·萨夫琴科
"Каменева, Мария Андреевна",玛丽亚·卡梅涅娃
"Далалоян, Артур Грачьевич",阿尔图尔·达拉洛扬
"Ланкин, Дмитрий Сергеевич",德米特里·兰金
"Стояновский, Олег Владиславович",奥列格·斯托亚诺夫斯基
"Гусев, Дмитрий Геннадьевич",德米特里·根纳季耶维奇·古谢夫
"Гетта, Антон Александрович",安东·格塔
"Большунов, Александр Александрович",亚历山大·博利舒诺夫
"Вековищев, Михаил Дмитриевич",米哈伊尔·韦科维谢夫
"Бондаренко, Елена Вениаминовна",叶连娜·韦尼阿米诺芙娜·邦达连科
"Дзюба, Виктор Викторович",维克托·久巴
"Решетников, Максим Геннадьевич",馬克西姆·列舍特尼科夫
"Самодурова, Софья Вячеславовна",索菲亞·薩莫杜羅娃
"Емелин, Сергей Александрович",谢尔盖·叶梅林
"Ткачёв, Алексей Николаевич",阿列克谢·特卡乔夫
"Кушнарёв, Виталий Васильевич",维塔利·库什纳廖夫
"Данилова, Ангелина Сергеевна",安吉丽娜·丹妮洛娃
"Куринный, Алексей Владимирович",阿列克谢·库林内
"Авдеев, Александр Александрович",亚历山大·亚历山德罗维奇·阿夫杰耶夫
"Колесников, Климент Андреевич",克利门特·科列斯尼科夫
"Миронова, Светлана Игоревна",斯韋特蘭娜·米羅諾娃
"Мартиросов, Роллан Гургенович",罗兰·马尔季罗索夫
"Угуев, Заур Ризванович",绍尔·乌古耶夫
"Макрогузова, Надежда Алексеевна",娜杰日达·马克罗古佐娃
"Вяткин, Дмитрий Фёдорович",德米特里·维亚特金
"Будуев, Николай Робертович",尼古拉·布杜耶夫
"Белоусов, Вадим Владимирович",瓦季姆·别洛乌索夫
"Блоцкий, Владимир Николаевич",弗拉基米尔·布洛茨基
"Бидонько, Сергей Юрьевич",谢尔盖·比东科
"Щербакова, Анна Станиславовна",安娜·謝爾巴科娃
"Коган, Александр Борисович",亚历山大·鲍里索维奇·科甘
"Сизикова, Яна Дмитриевна",亚纳·西济科娃
"Романов, Михаил Валентинович",米哈伊尔·瓦连京诺维奇·罗曼诺夫
"Фаткуллин, Фархад Наилевич",法哈德·法特库林
"Ураков, Николай Николаевич",尼古拉·乌拉科夫
"Рубчинский, Гоша",戈沙·鲁布钦斯基
"Межиев, Салах Митаевич",萨拉赫·梅日耶夫
"Лукашик, Александр Петрович",亞歷山大·盧卡希克
"Косторная, Алёна Сергеевна",阿廖娜·科斯托娜婭
"Раевский, Владимир Абрамович",弗拉基米尔·阿布拉莫维奇·拉耶夫斯基
"Оргеева, Марина Эдуардовна",玛丽娜·奥尔格耶娃
"Бессараб, Светлана Викторовна",斯韦特兰娜·别萨拉布
"Артамонов, Михаил Владимирович",米哈伊爾·阿爾塔莫諾夫
"Гарин, Олег Владимирович",奥列格·弗拉基米罗维奇·加林
"Бифов, Анатолий Жамалович",阿纳托利·比福夫
"Свинцов, Андрей Николаевич",安德烈·斯温佐夫
"Балагов, Кантемир Артурович",卡特米爾·巴拉戈夫
"Латыпов, Эдуард Ратмилевич",愛德華·拉特波夫
"Фадина, Оксана Николаевна",奥克萨娜·法金娜
"Пасечник, Леонид Иванович",列昂尼德·帕谢奇尼克
Face,Face
"Макиев, Зураб Гайозович",祖拉布·马基耶夫
"Трусова, Александра Вячеславовна",亞歷山德拉·特魯索娃
"Ерёмин, Сергей Васильевич (депутат)",谢尔盖·叶廖明
"Паненкова, Дарья Сергеевна",達里婭·潘娜科娃
"Пайкин, Борис Романович",鲍里斯·派金
"Цымбал, Николай Андреевич",尼古拉·齐姆巴尔
"Игольников, Михаил Сергеевич",米哈伊尔·伊戈利尼科夫
"Грудинин, Павел Николаевич",帕维尔·尼古拉耶维奇·格鲁季宁
"Сосновский, Владимир Тимофеевич",弗拉基米尔·索斯诺夫斯基
"Сидоров, Василий Сергеевич",瓦西里·谢尔盖耶维奇·西多罗夫
"Швыткин, Юрий Николаевич",尤里·什维特金
"Навальная, Юлия Борисовна",尤利娅·纳瓦利纳娅
"Кумин, Вадим Валентинович",瓦季姆·库明
"Мазикин, Валентин Петрович",瓦连京·马济金
"Храмцов, Максим Сергеевич",馬克西姆·赫拉姆佐夫
"Богусевич, Полина Сергеевна",波琳娜·博格塞維奇
"Сорина, Татьяна Андреевна",塔季揚娜·索里娜
"Новолодская, Мария Юрьевна",瑪麗亞·諾沃洛茨卡婭
"Мартьянова, Марта Валерьевна",玛尔塔·马尔季亚诺娃
"Князева, Анастасия Павловна",阿纳斯塔西娅·克尼亚泽娃
"Уткин, Дмитрий Валерьевич",德米特里·乌特金
"Грачёва, Варвара Андреевна",瓦尔瓦拉·格拉切娃
"Гринёв, Владислав Сергеевич",弗拉季斯拉夫·格里尼奥夫
"Ян, Пётр Евгеньевич",彼得·严
"Беляева, Екатерина Константиновна",叶卡捷琳娜·别利亚耶娃
"Дэвис, Диана Сергеевна",季阿娜·戴维斯
"Резцова, Кристина Леонидовна",克里斯季娜·雷茲佐娃
"Асапов, Валерий Григорьевич",瓦列里·阿萨波夫
"Пискарёв, Василий Иванович",瓦西里·皮斯卡廖夫
"Сайфуллаева, Нигина Хафизовна",妮基娜·哈菲佐夫娜·沙夫伊瓦
"Казакевич, Ирина Владимировна",伊琳娜·卡扎克維奇
"Кусайко, Татьяна Алексеевна",塔季扬娜·库赛科
"Байгускаров, Зариф Закирович",扎里夫·拜古斯卡罗夫
"Жидко, Геннадий Валериевич",根纳季·日德科
"Бутина, Мария Валерьевна",瑪麗亞·布京娜
"Мизинов, Василий Витальевич",瓦西利·米济诺夫
"Малютин, Мартин Владимирович",马丁·马柳京
"Сорокина, Анна Вадимовна",安娜·索羅金
"Комар, Полина Дмитриевна",波利娜·科马尔
"Устинов, Иван Лаврентьевич",伊万·乌斯季诺夫
"Старшинов, Михаил Евгеньевич",米哈伊尔·斯塔尔希诺夫
"Позднякова, София Станиславовна",索菲娅·波兹尼亚科娃
"Найфонов, Артур Эдикович",阿尔图尔·奈福诺夫
"Бессарабов, Даниил Владимирович",丹尼尔·别萨拉博夫
"Кремлёв, Умар Назарович",乌马尔·纳扎罗维奇·克莱姆列夫
"Трофимов, Сергей Сергеевич",謝爾蓋·特羅菲莫夫
"Когогина, Альфия Гумаровна",阿尔菲娅·科戈金娜
"Германова, Ольга Михайловна",奥莉加·格尔马诺娃
"Галлямов, Александр Романович",亞歷山大·加利亞莫夫
"Лапин, Александр Павлович",亞歷山大·拉平
"Квитка, Иван Иванович",伊万·克维特卡
"Шолохов, Александр Михайлович",亚历山大·肖洛霍夫
Лайк Настя,像娜斯佳
"Геккиев, Заур Далхатович",绍尔·格基耶夫
"Костенко, Наталья Васильевна",纳塔利娅·科斯坚科
"Валиева, Камила Валерьевна",卡米拉·瓦莉娃
"Куракова, Екатерина Андреевна",叶卡捷琳娜·库拉科娃
"Олейников, Игорь Юльевич",伊戈尔·尤里耶维奇·奥列伊尼科夫
"Раевский, Александр Евгеньевич (японист)",亞歷山大·拉耶夫斯基
"Ларионова, Татьяна Петровна",塔季扬娜·拉里奥诺娃
"Богуславский, Ирек Борисович",伊列克·博古斯拉夫斯基
"Валеев, Эрнест Абдулович",埃内斯特·瓦列耶夫
"Лавриненко, Алексей Фёдорович",阿列克谢·拉夫里年科
"Азимов, Рахим Азизбоевич",拉希姆·阿齐莫夫
"Исламов, Дмитрий Викторович",德米特里·伊斯拉莫夫
"Кавинов, Артём Александрович",阿尔乔姆·卡维诺夫
"Козловский, Александр Николаевич (политик)",亞歷山大·尼古拉耶維奇·科茲洛夫斯基
"Пракатень, Анна Витальевна",安娜·普拉卡岑
"Догаев, Ахмед Шамханович",艾哈迈德·多加耶夫
"Марков, Андрей Павлович",安德烈·帕夫洛维奇·马尔科夫
"Марченко, Евгений Евгеньевич",叶夫根尼·叶夫根尼耶维奇·马尔琴科
"Кузьмин, Михаил Владимирович",米哈伊尔·弗拉基米罗维奇·库兹明
"Казаков, Виктор Алексеевич",维克托·阿列克谢耶维奇·卡扎科夫
"Якубовский, Александр Владимирович",亚历山大·亚库博夫斯基
"Канаев, Алексей Валерианович",阿列克谢·卡纳耶夫
"Голунов, Иван Валентинович",伊万·格鲁诺夫
"Смирнова, Анастасия Андреевна",阿納斯塔西婭·斯米爾諾娃
"Селиверстов, Виктор Валентинович",维克托·谢利维奥尔斯托夫
"Ситников, Алексей Владимирович",阿列克谢·弗拉基米罗维奇·西特尼科夫
"Фомин, Николай Максимович (инженер)",尼古拉·福明
"Галашина, Анастасия Валерьевна",阿纳斯塔西娅·加拉申娜
"Черноусова, Маргарита Сергеевна",玛加丽塔·切尔诺乌索娃
"Карлов, Георгий Александрович",格奥尔基·卡尔洛夫
"Фролова, Тамара Ивановна",塔玛拉·弗罗洛娃
"Петров, Вячеслав Анатольевич",维亚切斯拉夫·彼得罗夫
"Терентьев, Александр Васильевич (лыжник)",亚历山大·瓦西里耶维奇·捷连季耶夫·(滑雪运动员)
"Калиматов, Махмуд-Али Макшарипович",马哈茂德-阿里·卡利马托夫
"Черноусов, Артём Анатольевич",阿爾喬姆·切爾諾烏索夫
"Тен, Сергей Юрьевич",谢尔盖·郑
"Резанцев, Яков Владимирович",雅科夫·列贊采夫
"Круглова, Юлия Андреевна",尤莉亞·濟科娃
"Кармазина, Раиса Васильевна",赖莎·卡尔马津娜
"Сипягин, Владимир Владимирович",弗拉基米尔·西皮亚金
"Авксентьева, Сардана Владимировна",萨尔达娜·阿夫克先季耶娃
"Леонов, Сергей Дмитриевич",谢尔盖·列昂诺夫
"Аиткулова, Эльвира Ринатовна",埃尔薇拉·艾特库洛娃
"Кондратюк, Марк Валерьевич",馬克·孔德拉秋克
"Яхнюк, Сергей Васильевич",谢尔盖·亚赫纽克
"Гирёв, Иван Александрович",伊万·吉廖夫
"Ильясов, Нияз Анварович",尼亞茲·伊利亞索夫
"Коков, Казбек Валерьевич",卡兹别克·科科夫
"Мозалёв, Андрей Михайлович",安德烈·莫扎列夫
"Васькина, Дарья Андреевна",达里娅·瓦斯金娜
"Каргинов, Сергей Генрихович",谢尔盖·卡尔吉诺夫
"Листунова, Виктория Викторовна",維多利亞·麗絲圖諾娃
"Сычевой, Андрей Иванович",安德烈·西切沃伊
"Вачнадзе, Вахтанг Дмитриевич",瓦赫坦·瓦奇纳泽
"Петрунин, Николай Юрьевич",尼古拉·彼得鲁宁
"Мустафин, Ульфат Мансурович",乌尔法特·穆斯塔芬
"Халили, Карим (биатлонист)",賽義德·卡里穆拉·哈利利
"Кучера, Станислав Роберт",斯坦尼斯拉夫·库切拉
"Абакаров, Хизри Магомедович",希兹里·阿巴卡罗夫
"Разин, Альберт Алексеевич",阿尔贝特·拉津
"Таймазова, Мадина Андреевна",马季娜·泰马佐娃
"Цоков, Олег Юрьевич",奥列格·佐科夫
"Кочиев, Роберт Иванович",罗伯特·科奇耶夫
"Колесник, Андрей Иванович",安德烈·科列斯尼克
"Минаков, Андрей Дмитриевич",安德烈·米纳科夫
Big Baby Tape,Big·Baby·Tape
"Алиев, Ильдар Хайдарович",伊利达尔·阿利耶夫
"Вторыгина, Елена Андреевна",叶连娜·弗托雷金娜
"Благов, Виктор Дмитриевич",维克托·布拉戈夫
"Михайлов, Сергей Петрович",谢尔盖·彼得罗维奇·米哈伊洛夫
"Усачёва, Дарья Романовна",達里婭·烏薩奇娃
"Шкатова, Ангелина Анатольевна",安格林娜·什卡托娃
"Уразова, Владислава Сергеевна",弗拉迪斯拉娃·烏拉佐娃
"Хромых, Майя Владиславовна",瑪婭·赫羅米克
Моргенштерн,摩根施特恩
"Куликова, Галина Вениаминовна",加林娜·库利科娃
"Осипова, Елена Александровна",艾蓮娜·奧西波娃
"Гоцанюк, Юрий Михайлович",尤里·戈察纽克
"Муштаков, Виктор Алексеевич",维克托·穆什塔科夫
"Мажуга, Александр Георгиевич",亚历山大·马茹加
"Веденеева, Екатерина Олеговна",叶卡捷琳娜·韦杰涅耶娃
"Григоренко, Дмитрий Юрьевич",德米特里·尤里耶维奇·格里戈连科
"Березина, Анастасия Игоревна",阿纳斯塔西娅·别列济娜
"Смирнов, Юрий Мстиславович",尤里·斯米尔诺夫
"Соболев, Виктор Иванович",维克托·伊万诺维奇·索博列夫
"Полуянова, Наталия Владимировна",纳塔利娅·波卢亚诺娃
"Герасимов, Виталий Петрович",維塔利·格拉西莫夫
"Трошев, Андрей Николаевич",安德烈·特罗舍夫
"Стрелюхин, Александр Михайлович",亚历山大·斯特列柳欣
"Новиков, Владимир Ильич (депутат)",弗拉基米尔·伊里奇·诺维科夫
"Рахимова, Камилла Станиславовна",卡米拉·拉希莫娃
"Кирпичникова, Анастасия Дмитриевна",阿纳斯塔西娅·基尔皮奇尼科娃
"Удальцова, Анастасия Олеговна",阿纳斯塔西娅·乌达利佐娃
Kizaru,基扎魯
"Марков, Евгений Владимирович",叶夫根尼·弗拉基米罗维奇·马尔科夫
"Поляков, Александр Алексеевич",亚历山大·阿列克谢耶维奇·波利亚科夫
"Терентьев, Александр Васильевич (депутат)",亚历山大·瓦西里耶维奇·捷连季耶夫·(政治人物)
"Котов, Павел Вячеславович",帕维尔·科托夫
"Пашков, Владимир Игоревич",弗拉基米尔·帕什科夫
Лана (певица),拉娜
Энди Картрайт,安迪·卡特赖特
"Ивлиев, Константин Алексеевич",康斯坦丁·伊夫利耶夫
"Бурлаков, Сергей Владимирович",谢尔盖·布尔拉科夫
"Сидоркова, Ирина Антоновна",伊琳娜·西多尔科娃
"Агаев, Бекхан Вахаевич",别克汉·阿加耶夫
"Турмов, Геннадий Петрович",根纳季·图尔莫夫
"Чимаев, Хамзат Хизарович",哈姆扎特·奇马耶夫
"Ильиных, Владимир Алексеевич",弗拉基米尔·伊利内赫
"Маганов, Равиль Ульфатович",拉维尔·马加诺夫
"Кабышев, Сергей Владимирович",谢尔盖·卡贝舍夫
"Славина, Ирина Вячеславовна",伊琳娜·斯拉维娜
"Львова-Белова, Мария Алексеевна",玛丽亚·利沃娃-别洛娃
"Свистунов, Аркадий Николаевич",阿尔卡季·斯维斯图诺夫
"Оглоблина, Юлия Васильевна",尤利娅·奥格洛布林娜
"Степанова, Вероника Сергеевна",韋羅妮卡·斯捷潘諾娃
"Андреева, Эрика Александровна",埃丽卡·安德烈耶娃
"Тимофеева, Мария Глебовна",玛丽亚·季莫费耶娃
"Захарян, Арсен Норайрович",阿爾森·扎哈里安
"Тарасенко, Феликс Петрович",费利克斯·彼得罗维奇·塔拉先科
"Разворотнева, Светлана Викторовна",斯韦特兰娜·拉兹沃罗特涅娃
"Нуриев, Марат Абдулхаевич",马拉特·努里耶夫
