Beijing,北京
Zhabur Cocha,扎布错查
Zhabujinxiong,扎布金雄
Zachaparma Co,扎叉巴玛错
Chag Caka,扎察卡
Chaggarsang,扎嘎桑
Zhagudajiu,扎古达久
Chaggyada,扎加达
Chaggyagoinba,扎加贡巴
Za Lhai,扎莱
Zhalai Guole,扎莱果勒
Chaglunggarmo Lhai,扎龙嘎毛莱
Zari Co,扎日错
Zhangnai Cuo,张乃错
Zham Kou’an,樟木口岸
Zhelu Cuo,折鲁错
Zhiro Co,直若错
Zhongporawar,仲勃惹亚
Chongsar,仲萨
Chubu,竹布
Zhugrima,朱日玛
Zhuqu Cuo,祝曲错
Zhoinna Lhaiqung,准那莱穹
Zhunza Laiqin,准杂莱钦
Zhoima Langco,卓玛朗错
Naidong,乃东
Ritingbu,日挺布
Rongbodiu,绒不丢
Rumco Gainma,容错更玛
Rongqung,容琼
Rousha Kaolai,柔刹考莱
Ruba Co,如巴错
Sabag Lhai,萨巴莱
Salung,萨隆
Sasaipu,萨赛普
Saigangjialongduo,赛岗加隆多
Sainagluma,赛纳鲁玛
Saipeng,赛朋
Saiqiong Lai,赛琼莱
Sigyagnyin,赛亚宁
Nanji,南际
Wucuodi,吴厝地
Dongkeng,东坑
Zhangdukeng,张都坑
Yudi,余地
Zhangkeng,张坑
Dadinei,大地内
Waibanling,外半岭
Shanfang,山坊
Yangcuoshan,洋厝山
Lingxu,岭许
Xiamengkeng,下猛坑
Huangshakeng,黄沙坑
Qiankeng,前坑
Fengtou,峰头
Huodongzhai,火栋寨
Dongbian,东边
Hechangkeng,河长坑
Chadi,茶地
Jishang,际上
Dabushang,大布上
Licuo,李厝
Shanfang,山坊
Fuji,福际
Jiaosu,蕉宿
Lisongshudun,里松树墩
Yangmingshang,杨名上
Huanglan,黄岚
Nanshanbei,南山背
Wangyuan,王源
Xiakeng,下坑
Shangzhuang,上庄
Lankeng,岚坑
Genzhukeng,根竹坑
Luojiafeng,罗家峰
Linghou,岭后
Nanle,南仂
Waigang,外岗
Najiaoqiu,纳角丘
Huangling,黄岭
Maling,马岭
Huangniushi,黄牛石
Wulikeng,无力坑
Yangji,洋际
Yanshan,演山
Kehu,可湖
Waizhubu,外竹埠
Daping,大坪
Shanghu,上湖
Hongshantou,洪山头
Shanfang,山坊
Kuishan,魁山
Yangkeng,洋坑
Shangdayuan,上大元
Niuling,牛岭
Lingtou,岭头
Shangxinlinghou,上新岭后
Huaxi,桦溪
Tabian,塔边
Shakengtou,沙坑头
Zhangcuo,张厝
Songcuo,宋厝
Gaokeng,高坑
Qi’an,旗岸
Chiwei,池尾
Hengkeng,横坑
Guxikeng,古西坑
Xiayuanyang,下元洋
Yedi,叶地
Xinkeng,新坑
Hongcuoke,洪厝窠
Bankeng,半坑
Xiajuyang,下居洋
Miling,密岭
Fengshuke,枫树窠
Lianjiafang,连家坊
Chadunqiu,茶墩丘
Zhangshang,帐上
Liaojialing,廖家岭
Shuangkeng,双坑
Xinquankeng,新泉坑
Beikeng,北坑
Shuangwoli,双窝哩
Dakengtou,大坑头
Qingshikeng,青石坑
Tujiashan,涂家山
Daba,大坝
Yangmei’ao,杨梅凹
Huangtulei,黄土垒
Yaluokeng,鸭罗坑
Kengweicao,坑尾槽
Jinjiling,金鸡岭
Gekeng,葛坑
Huangnikeng,黄泥坑
Doukeng,兜坑
Laoqiankeng,老茜坑
Yangmeikeng,杨梅坑
Tonggengliao,桐耕寮
Shanglong,上垄
Kengyuan,坑源
Guan’aoli,官坳里
Liudi,留地
Choukeng,稠坑
Shankengli,山坑里
Xinwu,新屋
Changyuankeng,长源坑
Yeyuankeng,叶源坑
Laohuku,老虎窟
Niuzhai,牛寨
Zhujia’ao,朱家坳
Xiaxiaokeng,下小坑
Changsheng,长嵊
Fengmenling,枫门岭
Tiejiashan,铁甲山
Shiniuzhang,石牛嶂
Shangshan,上山
Lixikeng,里西坑
Dapingtou,大坪头
Heshuikou,合水口
Longtan,龙潭
Like,里窠
Shanglihu,上鲤湖
Xiangshipai,响石排
Denglongsheng,灯垅嵊
Aoxia,坳下
Longtan,龙潭
Xiekengyuan,谢坑源
Hantan,罕坛
Zhugusheng,猪牯嵊
Shanguling,上茹岭
Shanxia,山下
Dalingtou,大岭头
Chensikeng,陈思坑
Dakeng,大坑
Yanbeilong,岩背垄
Wangjiashan,王家山
Hongzhong,虹钟
Majie,马街
Nanyang,南阳镇
Dongjiang,东江镇
Chengjiao,姚寨
Jiwopao,鸡窝泡
Chendian Chi,沉淀池
Nabusilai Hu,那布斯来湖
Nan Hu,南湖
Jiulangkeng,旧郎坑
Shuipingxia,水坪峡
Banshan,半山
Yangcuo,洋厝
Gaoshantou,高山头
Gongkeng,拱坑
Xishan,西山
Houwanchang,后湾厂
Zhuokeng,卓坑
Xiyunshi,西云室
Shangshanyan,上山岩
Xiatingkeng,下庭坑
Yangmeiping,杨梅坪
Yeping,叶坪
Lingdou,岭兜
Pingyang,坪阳
Xinlingtou,新岭头
Banshan,半山
Caoyang,草洋
Dongshan,董山
Xingtou,兴头
Linkeng,林坑
Chiliantang,池连堂
Longtai,龙台
Hualin,桦林
Quchi,曲尺
Dalijia Hu,大力加湖
Tiananmen Square,天安门广场
Zari,马及墩
Marmang,麻麻门巴民族乡
Beijing National Aquatics Center,国家游泳中心
Nara Yumco,拿日雍错
Chêm Co,沉错
Oriental Pearl Tower,东方明珠塔
Jokhang,大昭寺
Drepung,哲蚌寺
Wurulung,乌鲁龙
Gaoqiangtun,高强
Natingtun,那廷
Dalatun,打腊屯
Long’ai,龙爱
Guanglitun,厂里
Weihoutun,辉后
Huiguantun,辉贯
Xinwujitun,新屋基
He’antun,河岸
Longshancun,陇山
Longxiatun,陇虾屯
Onyar,温亚尔
Qiongwusikumu,琼吾斯库木
Akekumuqi,阿克库木奇
Majiagou,马家庄
Yajie,夹姐
Gacha,卡差
Rebuxi,日阿布喜
Duorele,夺拉勒
Duobuga Burile,夺巴嘎尔波日勒
Shubu Renabu,苏布日阿纳波
Gega,格嘎
Jiamugabu,甲孟嘎尔挝
Shuregabu,苏布日阿嘎波
Gongmudale,贡母达勒
Zhibure,纸不日阿
Reyale,日阿亚勒
Birele,排日阿勒
Songduo Qingbule,松多铅波勒
Zhanile,扎尼勒
Xiaoqiongle,消穷勒
Ga’erqiongle,嘎尔迥勒
Lenabu,勒那布
Longbama Buguo,聋玛麻里果
Langqudesa,朗秋得洒
Yueregongma,约惹贡玛
Zalari,扎腊日阿
Nakamaru,那嘎玛如
Gachamaru,卡扎玛入
Duobu Nazong,爹波那宗
Subure,苏日阿
Seresongzong,色日阿松宗
Nakawa’e,那嘎阿勒
Legaru,勒嘎如
Langzhabai,郎扎柏
Buruole,布弄勒
Sezuo,色佐
Zhibure,织布日阿
Naremangbu,那日阿忙波
Nieda,聂达
Niedanazong,念它郎宗
Niwobaile,尼沃百勒
Lumusongduo,鲁南松布多
Jiamading,甲玛顶
Redidi,日阿得得
E’wen,娥恩
Woqiong,俄穷
Redenglangzhe,热瞪朗着
Shule,书不勒
Gailongle,改隆勒
Puke Chawule,普卡叉巫勒
Dagele,达革勒
Ricuomaru,日左玛肉
Duobuwole,夺坡沃勒
Nongcha’erla,弄库尔罗
Leduosha,列杜贾
Quguoxiala,穷果雅拉
Tugale,沱那勒
Jiaqiong,甲琼
Jiacuo,甲木错
Biqionglong,笔邛勒
Seqingdong,色勒终
Meiba’er Gongre,门巴共日阿
Zare,砸日阿
Seridong,赛日终
Nakasejiao,那咔色觉
Tulajiao,吐拉觉
Sairejiji,赛勒杰杰
Naka,纳嘎
Tangle,塘勒
Gonglegabu,滚赖嘎波
Balale,巴拉赖
Abangle,阿邦勒
Tuozong’awa,脱木庄阿瓦
Bica,巴萨
Rese,染赛尔
Chailong,柴隆
Guboke Cuo,古波克错
Chala Songba,查拉松巴
Dalong,达龙
Qiangma,姜玛
Semagonggong,色玛公公
Duobuzare,道抱沙赖
Kuo’erduo,库尔朵
Dangbusangbu,当布桑布
Quqing,丘昌
Saseri,萨色日
Qionggatule,琼嘎吐勒
Zimuni,测木尼
Resang,热朗
Diuma,德玛
Bianguoyueqing,托波俄杰
Gusujiangma,棍苏强玛
Mujiale,矛家勒
Jiadingpu,甲登波
Rerang,日阿让
Woruole,俄若勒
Jiajigong,加久
Yangmure,央木日阿
Bangqing,帮穷
Rexijiama,热希甲玛
Qiemadui,响玛木堆
Rebujie,热布杰
Chuangba,除嘎
Gaiboduisa,改波堆萨
Dare,打热
Zangle,正勒
Dianzi,德子
Gurujiemu,故鲁甲
Bare,巴热
Wengbu Tongtong,翁布洞东
Jiarexisa,加日阿喜桑
Geikuole,金果勒
Xiachaleqing,吓萨尔列布迁
Sangqiongle,桑琼勒
Legongma,列贡玛
Gangre,岗热勒
Zongwozhale,宗厄扎勒
Lazhiduobu,拉孜得布
Jiguo’erguo,给果固
Zhongmuxisa,钟木西沙
Wumudong,汪东
Tuzuigongma,吐罪贡玛
Bijia,毕岩
Zhuore,卓热
Gazha,客喳
Jibuqing,吉布庆
Nicha,尼查
Dinggongle,邓公勒
Duore,夺惹日阿
Paqiongle,怕穷勒
Lejibu,来吉无
Ganmusangle,嘎姆桑勒
Langqionggunle,朗琼滚勒
Qielong,别弄
Zhaqiong,扎穷
Duoboworuo,夺波俄若
Zhaduosheru,扎夺色如
Gaile,干勒
Worima,鄂日阿
Lanmule,那木勒
Aleleqing,阿勒勒清
Gaidebu Rika,格代日阿
Rezelongma,日地罗玛
Xinyare,新呀日阿
Gaibanaqiong,各巴勒穷
Duobuwobu,董波俄波
Maiduo,门多
Zhaimu Cuo,宅姆错
Yakemi Cuo,亚克米错
Langqionglin Cuo,朗琼林错
Dugei Cuo,杜给错
Jiuma Cuo,久玛错
Kongburong Cuo,孔布绒错
Luowanggua Cuo,罗王瓜错
Kalie Cuo,卡裂错
Guo Cuo,果错
Chuangyaolamu,床么拉木
Zharewu,扎日阿乌
Sase,沙色
Rejuema Butu,日阿觉玛布吐
Suokangyongma,索杠涌玛
Longbu,龙布
Gansangduola,革弄多日阿
Kangqiongle,康穷勒
Bangjietile,帮加提勒
Rezha,日阿扎
Cuogeling,错戈勒
Remenle,日阿们勒
Nuguore,鲁果日阿
Xiaozhangbale,消文巴勒
Yanyaonalangle,烟么那朗勒
Chirele,赤日阿勒
Rebuxie,日阿布些
Pukanmuqiong,普坎母穷
Zhuogongbure,卓共补热
Reqiongle,日阿穷勒
Rega’ermu,日阿嘎尔木
Longwogamu,隆沃嘎母
Yaqiong,亚穷
Pulesongba,甫勒松波
Diwubojia,滴波加
Ayao’erji,阿么耳给
Tangle,汤勒
Rongna,绒纳
Niandu,领都
Rexile,日阿不席勒
Quqiongle,曲琼勒
Ma’erkuke,玛耳哥可
Lajiangnuma,腊个江弄玛
Redingle,日阿丁勒
Quzhenqingle,曲赤前勒
Zididuole,则堤多勒
Zhakudama,扎公达玛
Gebamadong,格巴麦冬
Sangdiwu,桑帝
Qujiangting,曲江登
Naduoqionga,纳朵穷芽
Tangdegaile,汤底格里
Zigeworu,者给娃若
Cabudiwu,茶布底薄
Ruxiubushada,如旭沙达
Awasongba,日阿哇宋巴
Duoqie,达奈
Aiyong Cuo,埃永错
Ayong Cuo,阿永错
Kesaike,克赛克
Aiwuzaile,艾吾再勒
Kuoxiyuzi,阔西于孜
Kageleke Bailedi,喀格勒克拜勒地
Cuolule Cuo,错鲁勒错
Gayaosangle,嘎么桑勒
Kunchuke Cuo,昆楚克错
Kahu Cuo,喀湖错
Zhapu Cuo,扎普错
Chamu Cuo,查木措
Talimu Hu Yanglin Ziran Baohuqu,塔里木湖杨林自然保护区
Baibing Cuo,白冰错
Tashi Kule,塔什库勒
Mengyao,猛么
Duorangchayao,朵让岔么
Gangyaolega,杠么勒嘎
Baqian Cuo,捌千错
Donggu Cuo,洞古错
Guneijiao Cuo,古内脚错
Ciga’eryao,次嘎耳么
Qionglangyaoding,穷郎么定
Geyaonale,戈么那勒
Yangyaori’a,央么日阿
Ba’eryaole,巴尔么勒
Zhuoyaole,卓么勒
Mengyaole,梦么勒
Yaonongchajiale,么弄查加勒
Aqikekule,阿其克库勒
Mang Cuo,芒错
Longjue Cuo,龙觉错
Yake Cuo,亚克错
Yongbo Cuo,涌波错
Quedan Cuo,确旦错
Jionggayaole,窘嘎么勒
Quse’erding,曲色尔丁
Zhaga’erleqing,扎嘎尔勒尖
Boyaole,波么勒
Kongyaoda,孔么达
Bumu Cuo,布木错
Zongxiong Cuo,宗雄错
Lubu Cuo,芦布错
Rebang Cuo,热帮错
Beidacun,大村
Puxiya,普西亚
Kekaishi’er,克开什尔
Kawake,喀瓦克
Kangqishi,康其什
Bageqi,巴格其
Maxuete,麻雪特
Detang,德堂
Zhebu,折布
Sale,萨勒
Guoxiong,郭雄
Eweiqi,俄伟其
Yule,玉勒
Zhonghe,中河
Erdaowancun,二道湾子
Ala,阿拉
Miaorgou Senlin Gongyuan,庙尔沟森林公园
Longbao Cuo,隆宝错
Nianjie Cuo,年结错
Saiyong Cuo,赛永错
Xialu,下路
Caohui,回龙场
Xinmin,新民
Changlong,长龙乡
Pingshan,坪山
Shi’an,石安镇
Daguan,大观镇
Yinping,荫平镇
Jindai,金带镇
Bishan,叶家湾
Huilong,回龙
Mingda,明达
Lirang,礼让
Xinsheng,新盛
Wenhua,螺蛳店
Baohe,何家场
Shuanglongchang,双龙场
Huwei,大池
Sanba,仙女湖
Wuping,磨刀洞
Pingkai,平凯镇
Zhongling,马路口
Guanzhuang,官庄镇
Banxi,板溪乡
Qingquan,清水乡
Wanmu,屯上
Tushi,涂市
Gaoyan,高燕
Fengling,谭家祠堂
Tongcheng,通城
Liangping,花栗树
Longxi,长溪河
Dashu,大树镇
Fenhe,汾河镇
Caotang,草堂镇
Jiagao,万家嘴
Wuma,五马乡
Fengping,庙坝
Baiquan,白泉
Manyue,满月乡
Baiqiao,幺店子
Baihe,白鹤
Gaoqiao,高桥
Tianhe,天和
Sanhuikou,大石包
Yihe,义和镇
Jinfeng,金峰
Changsha,长沙
Nanmen,南门镇
Wushan,巫山
Nanya,南雅镇
Xiongjia,熊家
Gaoliang,高粱
Shuanghekou,双河口
Tai’an,太安镇
Luotian,罗田
Ganning,甘宁镇
Tiekuang,铁匠沟
Nantuo,南沱
Qingxi,清溪
Yihe,义和
Dandu,但渡
Haitang,海棠
Shiyan,石堰
Jiangnan,新场
Tianfu,天府
Dongyang,东阳
Longfeng,龙凤
Shuangfeng,双凤镇
Laitan,上涞滩
Diaoyucheng,钓鱼城
Qunli,群力镇
Longshi,龙石
Gaoping,青龙场
Zhifeng,智凤
Tongqiao,通桥
Longji,高龙场
Guchang,古昌镇
Qingsheng,火烧店
Yongrong,永兴场
Weilong,围龙镇
Sanhe,新场
Zhengyang,正阳街道
Zhoubai,舟白街道
Shaba,和尚堡
Heixi,黑溪镇
Zhongtang,中塘
Xiaochang,小厂乡
Longxi,龙溪
Xintian,新田
Longshe,龙射
Changtan,长滩乡
Lianhe,联合
Damoujia,大牟家
Anmu Cuo,安目错
Huanghai,黄海
Shengshanyaosai,胜山要塞国家森林公园
Anwen,安稳镇
Nantong,南桐
A’erjin Shan,阿尔金山
Kengtouqian,坑头底
Niri’a Cuogai,尼日阿错改
Ga’e’en Cuonama,尕鄂恩错纳玛
Zhamu Cuo,扎木错
Cuodarima,错达日玛
Shanghai International Circuit,上海奥迪国际赛车场
Daocheng,道成
Nanzhushan,铁村
Alashankou,阿拉山口
Qiongtuokayi,琼托阔依
Liangshui Ziran Baohuqu,凉水
Xiaolonghu Pao,龙虎泡
Yamenxi Paozi,牙门喜泡
Xiwangjia Wopu,西王家窝棚
Dawo,大窝
Ehaoling,峨毫队
Xichuan,西川
Sihetun Wopu,四合屯窝棚
Qijiabuzicun,祁家堡子村
Quanzhou,泉州港
Wudalianchi,五大连池
Zhakou,闸口社区
Sanpaishan,上村
Bazhong,巴中
Piqiang Deng’ang’e,皮羌登昂额
Kala Tuoruke,喀拉吐尔阿克
Bazha’erkuole,巴扎尔阔勒
Kalatuo,喀拉阔
Tamu,塔木
Xiao’er Yutuoke,硝尔乌托克
Kaipuhe’erding Qiate,开普台尔恰特
Kulutukuole,库鲁吐阔勒
Jieleduwei,捷力代外
Kuoshiyutuo,科西玉代克
Bailong Pao,白龙泡
Erlücun,尔站
Mi’erkai Agezi,灭尔开昂子
Bozi’adi’er,博扎迪尔
Gulebage,古勒巴格
Qiete Aigele,皆得阿格热
Kashi Kaladake,卡什卡尔达克
Yangtake,央塔克乡牧场
Kala Tuoruke,喀拉托如克
Kezile Bieyite,克孜勒别依特
Aqsal Ëghizi,阿克塞尔
Mazadala,麻扎达拉
Wuyibike,无依别克
Kuleke,科落克
Juyisi,居依斯
Yidala,依达热
Haidai’er Youlete,亥呆尔久特
Laipai’erte,勒排尔提
Yisikesu,依斯克苏
Aigerimu Jianggale,艾格日木江尕勒
Taledi Kule,塔勒德库勒
Shailahexi,夏拉合西
Kuoshi Aigele,科西依格力
Suorulong,索罗龙
Niezai Tashi Zemozi,乃扎塔麻扎
Kaisaike,开色克
Yilenishi Tuwei,依格尼希提
Sha’er Bilie,萨尔别勒
Suketieke,苏格铁克
Yigezi Yige’er,乌尊伊格尔
Queruishi,曲日西
Kugnaisi Aigele,东亚
Ao’erman,乌鲁曼
Ruodalezi,哈买子
Duni Aigele,都尼厄格勒
Sukema,苏库马
Bogere,博吾劳
Yingchang,关东村营场
Hailuoping,海螺坪
Daping,大坪
Shejingbei,蛇径背
Kanasi Hu,喀纳斯湖
Akekule Hu,阿克库勒湖
Shaya Xian Gongye Jizhong Qu,沙雅县工业集中区
Kalakule Hu,喀拉库勒湖
Qiongbulake,琼布拉克
Weiwu'eryuqiwen,玉其温
Zhuhai,竹海
Shihao,石壕镇
Xikoucun,溪口村
Guikengcun,桂坑村
Shangpingcun,上平村
Changkengcun,菖坑
Yutiancun,玉田
Xiaolongfengcun,小龙逢村
Huanglicun,皇历
Wutong Yangcun,梧桐洋村
Gupingcun,谷坪
Keshan Shezucun,柯山畲族村
Xukengcun,许坑
Shangzhencun,上珍
Shifucun,仕福村
Tianping,田坪
Yuhucun,堰尾
Chendouqi,陈头岐
Dongshan,东山
Xiangyuncun,祥云
Hefeng’an,和枫垵
Wuyuancun,吾园村
Wanglicun,王里村
Xinglongcun,兴隆村
Caoyangcun,曹杨村
Gaoyangou,高崖沟
Jianlicun,建立村
Xihancun,西韩村
Xiliucun,西留
Sanxucun,三徐
Fuxiacun,阜下
Dazhaicun,大寨
Xizicun,惜字村
Weihuicun,魏迴村
Luo’ancun,洛安村
Shanlicun,山里村
Koujiacun,寇家
Siqiancun,寺前村
Tianyingcun,田营村
Dapocun,达家坡
Bailiangcun,白良
Xiaozhicun,小秩
Xishicun,西石村
Xilicun,西里村
Qindu Qu,秦都
Weicheng Qu,渭城区
Wenjiacun,文家村
Dongzhangcun,东张
Nanhecun,南贺
Beihecun,北贺
Yinchang,印长村
Changxingcun,长兴村
Chenmacun,陈马村
Sanyicun,三义
Xilongcun,西龙
Bilicun,庇李
Beishecun,北舍
Xijiangcun,西江村
Jinlicun,新里
Baqiao Qu,灞桥区
Weiyang Qu,未央区
Xincheng Qu,新城区
Yanta Qu,雁塔
Lianhu Qu,莲湖
Zhuwangcun,朱王村
Jiaotan,蛟潭
Dadongxi,大东溪
Shibikeng,石壁坑
Xizaiyuan,溪仔源
Meixicun,梅溪
Ershikeng,二十坑
Changkengtian,长坑田
Taozaikeng,桃仔坑
Lishancun,黎山村
Longkangcun,龙康
Xiacun Bancun,下村坂
Ailinghou,矮岭后
Kengyuantou,坑源头
Wenkengcun,山谷
Shangliaozaikeng,上寮仔坑
Neiliao,内寮
Nuanzhoucun,暖洲
Shuifeng,水丰
Xipucun,西埔村
Changrongcun,长荣
Donghushan,东湖村
Jingkengcun,菁坑
Gaoshuling,高树岭
Huangpingcun,黄坪村
Sanbaishe,三百畲
Luojiashan,罗家山
Xiaosangcun,小桑
Zhangfangcun,张坊
Qingshuidicun,清水地村
Donghuangkeng,东黄坑
Zhongluocun,忠洛
Dakeng,大坑
Ailing,矮岭
Shangchangban,上长坂
Dakecun,大窠
Hongxingcun,大路后
Lianhecun,仓坪
Dakeng,大坑
Yingfengling,英峰岭
Nanshanzhai,南山寨
Banlinghu,半岭湖
Dalong Fengcun,大龙逢村
Huangjingshan Shezucun,黄景山畲族村
Jinfengkeng,进峰坑
Qiongkoucun,琼口村
Zhaowencun,昭文
Chiyuancun,池园村
De’ancun,德山
Xiakengcun,下坑
Horinger Xian,和林格尔
Yunxing,云兴
Zunhua Xian,遵化
Zhu’erduohecun,珠尔多河村
Zhuozi Xian,卓资
Zhuolu Xian,涿鹿县
Zhujiawancun,朱家湾
Zhouyingzicun,周营子
Mishan,密山
Zhennan,镇南种羊场
Zhenlai Xian,镇赉
Zhengxiangbai Qi,正镶白
Zhenglan Houtoucun,正兰后头村
Zhenglan Qi,正蓝旗
Zheng’an,正安
Zhenbianchengcun,镇边城村
Zhengbianbu,正边堡
Zhaozhou Xian,肇州
Zhaoyuan Xian,肇源县
Zhaoshuncun,赵顺
Zhaojialiangcun,赵家梁村
Zhaodong Shi,肇东
Zhangwu Xian,彰武县
Zhangweicun,张维村
Zhangshanying,张山营
Zhangbei Xian,张北县
Zhangbei,张北
Zhailingcun,窄岭
Zalantun Shi,扎兰屯市
Yuyingzicun,于营子
Yushu Shi,榆树市
Yuquan,玉泉
Dongyulincun,东榆林村
Youzhoucun,幽州村
Youyi Xian,友谊县
Yongning,永宁
Yongji Xian,永吉县
Yongjiabucun,永嘉堡村
Yonghedian,永和店
Yong’anbucun,永安堡
Yi Xian,义县
Yitong Manzu Zizhixian,伊通
Yingpancun,营盘村
Dashiqiao City,大石桥
Yimin Sumu,伊敏苏木
Yilong,依龙
Yilan Xian,依兰县
Yilaha,伊拉哈镇
Yi’an Xian,依安县
Yi’an,依安县
Yanwodao,燕窝岛
Yanshou Xian,延寿县
Yanshou,延寿
Yanqing Xian,延庆县
Yanqing,延庆镇
Yanji Shi,延吉市
Yanjiang,沿江满族达斡尔族乡
Yanjiabucun,阎家堡
Lufangcun,禄坊村
Dagang Dao,大冈岛
Yinyuanchongcun,银源冲村
Tankoucun,坦口
Wutiancun,伍田村
Yaozicun,鹞子
Xihucun,西胡
Nanbeicun,南北村
Nanlingcun,南陵
Huluocun,胡罗村
Shangdancun,上旦村
Guazhaocun,瓜赵村
Nanzhangcun,南张
Shuangmiaocun,双庙
Yangmucun,杨母村
Dapaicun,大牌村
Mulucun,牧鹿
Nanyangcun,南阳
Gongshencun,功神村
Xiaozhaicun,小寨村
Beiwucun,北吴村
Wangyucun,王禹村
Bianzicun,便子村
Wangducun,王都
Zhangzecun,张则村
Liyoucun,李游村
Nanliucun,南留
Shimingcun,史名村
Beizhangcun,北张村
Zhoubiancun,周便村
Lidaocun,礼道
Zhaoyicun,赵一村
Longguocun,龙过村
Wu’ercun,吴耳
Guogongsi,郭公寺
Beihanzhaizi,北韩
Nanhancun,南韩
Chenliangcun,陈良村
Chenwangcun,陈王村
Magancun,马干村
Doumacun,豆马村
Liuweicun,留位村
Chenqiancun,陈阡村
Danancun,大南村
Ximiaocun,西苗村
Baiwangcun,白王村
Yangyuan Xian,阳原县
Yangsha Pao,洋沙泡
Yangmucun,杨木村
Yangmenbucun,阳门堡
Maoqitun,毛祁屯
Yanggao Xian,阳高
Longquan,龙泉
Yalu,雅鲁
Yakeshi Shi,牙克石
Yagoucun,鸦沟村
Yabuli,亚布力镇
Xunke Xian,逊克
Xueshuiwencun,雪水温
Xuanhua Xian,宣化县
Xixiang Dabucun,西厢大堡村
Xiwangshancun,西望山
Xiuyan Manzu Zizhixian,岫岩
Xi Ujimqin Qi,西乌珠穆沁旗
Xituchengcun,西土城村
Xiping,西坪
Xinying,辛营村
Xintunzicun,新屯子村
Xinshengcun,新胜村
Xinmin Shi,新民市
Xinmiaocun,新庙村
Xinlitun,新立屯
Xinhecun,新合村
Xingzhoucun,兴洲
Xingrenbucun,兴仁堡村
Xinglong Xian,兴隆县
Xinglongcun,兴隆村
Xinghe Xian,兴和县
Xingdongcun,兴东
Xingcheng Shi,兴城市
Xin’e,新鄂鄂伦春族
Xindian,大山
Gucheng,古城镇
Xinbocun,新拨村
Xinbin Manzu Zizhixian,新宾满族自治县
Xin Barag Zuoqi,新巴尔虎左旗
Xin’anzhencun,新安镇村
Ximu,析木镇
Xilinhot Shi,锡林浩特市
Xilinhecun,细鳞河
Xilin Gol,Xilin Gaole
Xiji,西集
Xi Hu,西湖
Xifeng Xian,西丰
Xi Damiaocun,西大庙
Xichengcun,西城村
Xicheng,阳原
Xiatun,下屯村
Yushucun,榆树村
Xiaotangshan,小汤山
Shahecun,沙河村
Xiaohenancun,小河南
Xiaogujiacun,小姑家
Xiaochengzi,小城子
Xiaobaicun,小白
Chaoyangcun,朝阳村
Xiangshuicun,响水村
Xianghuang Qi,镶黄旗
Xiafangshencun,下房身村
Xiadouyingcun,下斗营村
Xiachengzi,下城子镇
Wuyuan Xian,五原
Wushijiacun,五十家
Wulaying,乌拉营村
Wudaoyingzicun,五道营子村
Wudaogoucun,五道沟村
Wudalianchi Shi,五大连池市
Wuchuan Xian,武川县
Wuchang Shi,五常
Weihe,苇河
Weiguang,伟光
Weichang Manzu Mengguzu Zizhixian,围场满族蒙古族自治县
Weichang,围场
Wanquan,万全县
Wangyingzicun,王营子
Wangqing Xian,汪清
Wangqingmen Chaoxiancun,旺清门朝鲜村
Wangkui Xian,望奎县
Wangjiadian,王家店
Urad Qianqi,乌拉特
Urad Houqi,乌拉特
Ulanhot Shi,乌兰浩特市
Tuquan Xian,突泉
Tumen Shi,图们市
Tumd Zouqi,土默特左旗
Tumd Youqi,土默特
Tudingcun,土顶村
Tuchengtoucun,土城头
Tongyu Xian,通榆县
Horqin Qu,科尔沁区
Tongjiang Shi,同江
Tongjiangkoucun,通江口
Tonghua Xian,通化
Tonghe Xian,通河
Tonghe,通河
Togtoh Xian,托克托县
Tieli Shi,铁力
Tieling Xian,铁岭县
Diaobingshan Shi,调兵山
Tianzhen Xian,天镇县
Yuquan,玉泉
Tianjiazhuangcun,田家庄村
Tianbaoshancun,天宝山村
Fu’an,福安
Ta’xi,塔溪
Tashancun,他山村
Taonan Shi,洮南市
Tangyuan Xian,汤原县
Tangyuan,汤原县
Taipinggoucun,太平村
Taipingbucun,太平堡村
Taiping,太平
Tailai Xian,泰来县
Taibus Qi,太仆寺旗
Tai’an Xian,台安
Tahe Xian,塔河县
Sunwu Xian,孙吴县
Sunwu,孙吴
Suizhong Xian,绥中县
Suizhong,绥中
Suiyang,绥阳
Suiling,绥棱
Beilin Qu,北林区
Suifenhe Shi,绥芬河
Suibin Xian,绥滨县
Sui’anzhancun,绥安站村
Sonid Zuoqi,苏尼特左旗
Sonid Youqi,苏尼特右旗
Songnen Pingyuan,松嫩平原
Songhuajiangcun,松花江村
Siziwang Qi,四子王旗
Sipingcun,四平村
Sijitong,四季通
Sihai,四海
Shunyi,顺义区
Shulecun,舒乐河
Shulan Shi,舒兰
Shuiquancun,水泉村
Shuidao,水道
Shuangyang Qu,双阳区
Shuangshucun,双树
Shuangmiaozicun,双庙子村
Shuangliao Shi,双辽市
Shuangjingzicun,双井子
Shuanghe Dagang,双河大岗
Shuanghe,双河镇
Shuanghecun,双河村
Shuangcheng,双城
Shuangchacun,双岔村
Shuaiwanzicun,甩湾子村
Shizhuzicun,石柱子村
Shizhangzicun,时杖子村
Shizhan,十站
Shixialicun,石匣里村
Shiwuhaocun,十五号村
Shiyan,石岩镇
Shisizhan,十四站
Shisanzhan,十三站
Shirencun,石人村
Shimiaozicun,石庙子
Shimencun,石门
Shilipingcun,十里坪村
