Portugal,葡萄牙
televisão digital terrestre em Portugal,葡萄牙數碼地面電視
Constituição portuguesa de 1911,1911年葡萄牙憲法
São Roque,圣洛克（丰沙尔）
língua gestual portuguesa,葡萄牙语手语
Canhão da Nazaré,納扎雷峽谷
Seleção Portuguesa de Futebol Sub-19,葡萄牙19歲以下國家足球隊
Grande Prémio de Portugal de 1987,1987年葡萄牙大獎賽
Grande Prémio de Portugal de 1988,1988年葡萄牙大獎賽
Grande Prémio de Portugal de 1990,1990年葡萄牙大獎賽
Arcos de Valdevez,阿爾庫什迪瓦爾德維什
Matrículas de automóveis em Portugal,葡萄牙車輛註冊號牌
Ponte da Barca,蓬蒂達巴爾卡
Estádio Municipal de Chaves,曼努埃爾·布蘭科·特謝拉體育場
Futebol Clube de Pedras Rubras,佩德魯布拉斯足球會
Custóias,Custóias
Sequeiró,Sequeirô
Futebol Clube do Porto B,波圖足球會B隊
Canal do Faial,法亚尔-皮库水道
Regicídio de 1908,里斯本弑君事件
São Mamede de Coronado,São Mamede de Coronado
Roda dos Alimentos,食物平衡輪
Sete Maravilhas de Portugal,葡萄牙七大奇迹
Senhora da Hora,Senhora da Hora
Tougues,Tougues
"Ajuda, Salvador e Santo Ildefonso",Ajuda. Salvador e Santo Ildefonso
Nazaré,納扎雷
Estação Ferroviária de Vilar Formoso,維拉爾福莫索車站
FOX Portugal,FOX葡萄牙
Caxinas,卡西納斯
Lobão,Lobão (Santa Maria da Feira)
Ministério da Administração Interna,內務部 (葡萄牙)
Melgaço,梅爾加蘇
Valença,瓦倫薩
Ordem da Instrução Pública,公共教育文職功績勳章
Rio Mau,Rio Mau
Confederação Geral do Trabalho (Portugal),全國工會聯盟
Escola Alemã de Lisboa,德意志学校
Confederação Geral dos Trabalhadores Portugueses — Intersindical Nacional,葡萄牙总工会－全国工团
Miradouro Sophia de Mello Breyner Andresen,恩宠观景台
Destacamento de Ações Especiais,特別行動分隊
Transferência da corte portuguesa para o Brasil,葡萄牙皇室遷移至巴西
Praia da Luz,普拉亞·達·盧什
Vilamoura,維拉摩拉
história de Portugal,葡萄牙歷史
Fundação para a Ciência e a Tecnologia,葡萄牙科學與技術基金
Cidade Fronteiriça e de Guarnição de Elvas e as suas Fortificações,埃尔瓦斯的驻军边境城镇及其防御工事
Parque Natural do Litoral Norte,北部沿海自然公園 (葡萄牙)
Grupo de Operações Especiais (Portugal),特别行动小组
Copa do Mundo FIFA de Futebol de Areia de 2015,2015年沙灘足球世界盃
Linha de Sintra,辛特拉线
Basílica da Estrela,埃什特雷拉圣殿
Castelo de Guimarães,吉马良斯城堡
Rates,Rates
Gião,Gião (Santa Maria da Feira)
Guisande,吉桑德 (圣玛丽亚达费拉)
Arquidiocese de Évora,天主教埃武拉總教區
Copa Algarve 2008,2008年阿爾加維盃
fronteira Espanha–Portugal,葡萄牙-西班牙边境
Casa dos Bicos,尖石宫
RTP1,葡萄牙廣播電視公司第一台
Vale Frechoso,Vale Frechoso
Seixo de Manhoses,Seixo de Manhoses
Turismo em Portugal,葡萄牙觀光
Santuário do Bom Jesus do Monte,山上仁慈耶稣朝圣所
A Viagem do Glorioso,格洛廖索號航行
Hinduísmo em Portugal,葡萄牙印度教
Caldas de São Jorge,Caldas de São Jorge
Canedo,Canedo (Santa Maria da Feira)
Cartaz (licença),卡特茲
Vilar do Monte,Vilar do Monte
Rio de Onor,Rio de Onor
Rio Frio,Rio Frio
Portugal nos Jogos Paralímpicos de Verão de 2008,2008年夏季殘奧會葡萄牙代表團
Batalha de São Mamede,圣马梅德战役
Estádio da Luz,盧斯球場
Embaixada da Ucrânia em Lisboa,烏克蘭駐葡萄牙大使館
Grande Prémio de Portugal de 1991,1991年葡萄牙大獎賽
Grande Prémio de Portugal de 1992,1992年葡萄牙大獎賽
Espargo,Espargo
lista de jornais e revistas de Portugal,葡萄牙报纸列表
Pico da Vara,瓦拉峰
Embaixada da Rússia em Lisboa,俄羅斯駐葡萄牙大使館
Sortes,Sortes
Santa Cruz,圣克鲁什
Ministro dos Negócios Estrangeiros,外交部部長 (葡萄牙)
Praia de Porto Dinheiro,丁赫羅港
relações entre Portugal e Ucrânia,葡萄牙－烏克蘭關係
relações entre Portugal e Reino Unido,英葡關係
relações entre Estados Unidos e Portugal,葡萄牙－美國關係
Comandos (Exército Português),葡萄牙陸軍突擊隊
Unidade de Aviação Ligeira do Exército,葡萄牙陸軍輕航空隊
Ordem dos Advogados Portugueses,葡萄牙律師公會
Código Penal Português,葡萄牙共和国刑法
Campeonato Distrital,葡萄牙区锦标赛
Ministério da Saúde,葡萄牙衛生部
Ministério da Defesa Nacional,葡萄牙国防部
"Ministério das Obras Públicas, Transportes e Comunicações",葡萄牙公共设施、交通及通讯部
Ministério das Finanças,財政部 (葡萄牙)
Ministério da Justiça,葡萄牙司法部
Partido Trabalhista Português,葡萄牙劳动党
Santa Comba de Vilariça,Santa Comba de Vilariça
cultura de Portugal,葡萄牙文化
Torre,托雷峰
história de Portugal,葡萄牙歷史
lista de bandeiras de Portugal,葡萄牙旗幟列表
Clube Oriental de Lisboa,里斯本奧利安圖足球會
Serra do Caldeirão,卡爾德隆山脈
desporto em Portugal,葡萄牙體育
Valtorno,瓦莱-迪托尔努
Uva,乌瓦
Vale de Gouvinhas,瓦莱-迪戈维尼亚什
Souto da Velha,Souto da Velha
Vila Boa de Ousilhão,Vila Boa de Ousilhão
relações entre Marrocos e Portugal,摩洛哥－葡萄牙關係
relações entre Moçambique e Portugal,莫桑比克－葡萄牙關係
Juventude Popular,人民青年
Portugal nos Jogos Olímpicos de Verão de 2016,2016年夏季奧林匹克運動會葡萄牙代表團
Portugal na Segunda Guerra Mundial,受到雙方的壓力
Portugal no Festival Eurovisão da Canção 1999,瑞·班德拉
Pésures,佩苏里人
Palácio de São João Novo,聖若昂新宮
Palácio da Independência,独立宫 (里斯本)
Instituto Politécnico de Leiria,莱里亚理工学院
relações entre a Índia e Portugal,印度－葡萄牙關係
relações entre Indonésia e Portugal,印度尼西亞－葡萄牙關係
Campeonato Português de Futebol 2002/2003,2002–03赛季葡萄牙足球超级联赛
Escapães,Escapães
Ribeira de Odeleite,奥德莱蒂河
Paços de Brandão,Paços de Brandão
Casino da Póvoa,波瓦賭場
relações entre Portugal e Rússia,葡萄牙－俄罗斯关系
relações entre Sérvia e Portugal,葡萄牙－塞爾維亞關係
relações entre São Tomé e Príncipe e Portugal,葡萄牙－聖多美和普林西比關係
Paços de Évora (restos),埃武拉王宮
ISCTE - Instituto Universitário de Lisboa,葡萄牙ISCTE里斯本大学学院
Aguim,Aguim
Companhia Geral da Agricultura das Vinhas do Alto Douro,多罗葡萄酒公司
Recarei,Recarei
Fermelã,费尔梅朗
Mértola,Mértola
eleições legislativas portuguesas de 1973,1973年葡萄牙國會選舉
Sistema jurídico de Portugal,葡萄牙司法
eleições legislativas portuguesas de 1934,1934年葡萄牙國會選舉
eleições legislativas portuguesas de 1938,1938年葡萄牙國會選舉
eleições legislativas portuguesas de 1942,1942年葡萄牙國會選舉
eleições legislativas portuguesas de 1945,1945年葡萄牙國會選舉
eleições legislativas portuguesas de 1953,1953年葡萄牙國會選舉
eleições legislativas portuguesas de 1957,1957年葡萄牙國會選舉
eleições legislativas portuguesas de 1961,1961年葡萄牙國會選舉
eleições legislativas portuguesas de 1965,1965年葡萄牙國會選舉
eleições legislativas portuguesas de 1969,1969年葡萄牙國會選舉
Igreja de Santa Luzia,圣路济亚堂 (里斯本)
Amieira do Tejo,Amieira do Tejo
São Martinho da Gândara,São Martinho da Gândara
Rua do Carmo,嘉模街
Santiago Maior,圣地亚哥迈奥尔
Sendim,森迪姆
Constantim,康斯坦丁
Alvaredos,阿尔瓦雷杜什
Igreja de Santo Estêvão,圣斯德望堂 (里斯本)
Igreja de São Domingos,雷阿爾城主教座堂
Illiabum Clube,伊利亞沃
Quercus,栎树
Quirás,Quirás
Vila Fernando,Vila Fernando (Elvas)
Alcáçova,阿尔卡索瓦
RTP Internacional,葡萄牙國家廣播公司國際頻道
Socialismo Revolucionário,革命社会主义
Missão da Rodésia em Lisboa,羅德西亞駐葡萄牙代表處
Praça da Ribeira (Porto),里贝拉广场
Praça de Mouzinho de Albuquerque,莫西尼奥·阿尔伯克基广场
Rua da Junqueira,朱奇拉街
Vandoma,万多马
Serra do Buçaco,布薩庫山
FC Porto versus SL Benfica,葡萄牙国家德比
Igreja de Santo Ildefonso,圣伊尔德丰索堂
Reguengo,Reguengo
Prior do Crato,克拉圖修道長
Ministério Público de Portugal,葡萄牙公共部门
Primaz da Espanha,諸西班牙教長
Conselho da Revolução,葡萄牙革命委员会
São João de Ver,São João de Vêr
Monarquia do Norte,北方王权
Cedrim,Cedrim
Ossela,Ossela
Embaixada da França em Lisboa,法國駐葡萄牙大使館
Amora Futebol Clube,阿莫拉FC
Anadia Futebol Clube,阿纳迪亚足球俱乐部
Voo TAP Portugal 425,TAP葡萄牙航空425號班機空難
Assembleia Legislativa da Madeira,马德拉立法议会
RDP Internacional,葡萄牙國際廣播電台
Palácio do Raio,拉里奧宮
Academia Militar,葡萄牙軍事學院
Renascimento em Portugal,葡萄牙文艺复兴
Comissão do mercado de valores mobiliários (CMVM),葡萄牙证监会
Supremo Tribunal Administrativo de Portugal,最高行政法院
Supremo Tribunal de Justiça de Portugal,最高法院
Murtosa,Murtosa (freguesia)
Talhadas,Talhadas
Vila Cova de Carros,Vila Cova de Carros
Movimento Alternativa Socialista,社会主义替代运动
Ponte de São João,圣乔安桥
Veiros,韦鲁什
Rocas do Vouga,Rocas do Vouga
lista de embaixadas em Portugal,駐葡萄牙外交機構列表
lista de túneis de Portugal,葡萄牙隧道列表
Olhão,奧良
Vila Maior,Vila Maior
Mogofores,Mogofores
Várzea,Várzea (Arouca)
Souto,Souto
Casino Lisboa,里斯本賭場
São João Baptista,São João Baptista (Campo Maior)
região autónoma de Portugal,自治區
estrada europeia 801,欧洲E801公路
Borba (São Bartolomeu),圣巴托洛梅乌 (博尔巴)
Macinhata da Seixa,Macinhata da Seixa
Terena,特雷纳 (圣佩德罗)
Óis do Bairro,Óis do Bairro
Copa Europeia/Sul-Americana de 2004,2004年洲际杯足球赛
Batalha de Alfarrobeira,阿爾法洛貝拉之戰
Batalha das Linhas de Elvas,埃尔瓦斯防线战役
Batalha de Montes Claros,蒙蒂斯克拉魯斯之戰
Combate de Redinha,雷迪尼亞戰役
Batalha do Sabugal,薩布加爾戰役
Partido Regenerador,葡萄牙复兴党
Grande Prémio de Portugal de 2012 (MotoGP),2012年葡萄牙摩托車大獎賽
Reguenga,Reguenga
São Vicente de Pereira Jusã,São Vicente de Pereira Jusã
Série 1900 da CP,葡萄牙铁路1900型柴油机车
Série 1930 da CP,葡萄牙铁路1930型柴油机车
São Lourenço do Bairro,São Lourenço do Bairro
Algarve Cup de 2013,2013年阿爾加維盃
Casa do Sport Lisboa e Benfica em Macau,澳門賓菲加
Juniores do Sport Lisboa e Benfica,本菲卡體育會青年隊
Nacionalidade portuguesa,葡萄牙國籍法
Seroa,Seroa
Burgo,Burgo
São Pedro da Afurada,São Pedro da Afurada
Unhão,乌尼扬
Santa Cristina do Couto,Santa Cristina do Couto
São Brás e São Lourenço,São Brás e São Lourenço
Torrados,Torrados
Vale de Açor,Vale de Açor
Algosinho,Algosinho
Orquestra Gulbenkian,古尔本基安管弦乐团
Portugal Continental,葡萄牙本土
Condestável de Portugal,葡萄牙王室总管
Igreja de Santo António de Lisboa,圣安多尼堂
Clube Desportivo Pinhalnovense,新皮尼亚尔人
Clube Operário Desportivo,奥佩拉里奥体育俱乐部
Aliados Futebol Clube de Lordelo,阿利亚多斯·洛尔德洛足球俱乐部
Sporting Clube de Braga B,布拉加體育會B隊
Sé,大堂区（丰沙尔）
Assumar,Assumar
Santiago,聖地亞哥
Santo Amaro,Santo Amaro (Sousel)
Caia e São Pedro,Caia e São Pedro
Vaiamonte,Vaiamonte
Trás-os-Montes,塔斯-奥斯·芒特斯
Santo Aleixo da Restauração,Santo Aleixo da Restauração
Praia de Benagil,贝纳吉尔
Jardim de São Pedro de Alcântara,阿尔坎塔拉圣伯多禄花园
Jardim da Torre de Belém,贝伦塔花园
Segunda Liga de 2012–13,2012年至2013年葡萄牙足球甲級聯賽
Batalha de Grijó,格里若戰役
Combate de Pombal,蓬巴爾戰役
Associação Desportiva Pontassolense,彭塔索伦斯足球俱乐部
Associação Desportiva de Machico,馬捷高
Sismo de Lisboa de 1531,1531年里斯本大地震
Vilar de Andorinho,Vilar de Andorinho
Palhaça,Palhaça
Castelo de Leiria,萊里亞城堡
Pigeiros,Pigeiros
Constituição portuguesa de 1822,1822年葡萄牙宪法
Constituição portuguesa de 1838,葡萄牙1838年宪法
Estreito da Calheta,卡列塔
relações entre Malta e Portugal,馬爾他－葡萄牙關係
relações entre Angola e Portugal,安哥拉－葡萄牙關係
relações entre Argentina e Portugal,阿根廷－葡萄牙關係
Vairão,Vairão
Fortios,Fortios
Pessegueiro do Vouga,Pessegueiro do Vouga
Vila Flor,维拉弗洛尔
Amoreira da Gândara,阿莫雷拉-达甘达拉
Canelas,Canelas
Santuário de Nossa Senhora da Conceição do Sameiro,萨梅罗朝圣所
Serra de Montejunto,Serra de Montejunto
Azores Airlines,亞速爾國際航空
Avelãs de Cima,Avelãs de Cima
São Martinho das Amoreiras,São Martinho das Amoreiras
Albergaria da Serra,Albergaria da Serra
Praça da Batalha (Porto),战斗广场 (波尔图)
Rifte da Terceira,特塞拉裂谷
Túmulo do Soldado Desconhecido (Portugal),無名戰士墓 (葡萄牙)
relações entre Arménia e Portugal,亞美尼亞－葡萄牙關係
Associação Empresarial de Portugal,葡萄牙企業協會
Tapada Nacional de Mafra,塔帕达狩猎公园
Mansores,Mansores
Sangalhos,Sangalhos
Santa Eulália,Santa Eulália
Vacariça,Vacariça
São Roque,São Roque
Aldeia da Mata,马塔村
Fajões,Fajões
São Vicente e Ventosa,São Vicente e Ventosa
Borba (Matriz),马特里什
Assembleia Legislativa dos Açores,亚速尔立法议会
Praça da Liberdade (Porto),自由广场 (波尔图)
Templo de Lisboa,葡萄牙里斯本聖殿
Nariz,Nariz
Pardilhó,Pardilhó
Ponte de Vagos,Ponte de Vagos
Flor da Rosa,Flor da Rosa
Vilarinho do Bairro,Vilarinho do Bairro
Arraiolos,Arraiolos
Margem,Margem (Gavião)
Praça-forte de Elvas,埃尔瓦什旧堡垒
Cinemas NOS,ZON路索門多
Regimento de Lanceiros n.º 2,第二槍騎兵團
Aqueduto da Amoreira,阿莫雷拉水道
Sousel,索西爾
Estádio Municipal de Águeda,阿格达市政体育场
Fé Bahá'í em Portugal,葡萄牙巴哈伊教
Asas de Portugal,葡萄牙之翼
ADSE,疾病保护与援助研究所
Vila Nova de Monsarros,蒙萨鲁什新镇
Casa do Penedo,石头屋
Centro de Tropas de Operações Especiais,特種作戰部隊中心
Sporting Clube Lourinhanense,洛里尼揚人體育會
Estação ferroviária de Valença,瓦倫薩車站
Sinagoga de Tomar,托馬爾猶太會堂
Penhas da Saúde,佩尼亞什達紹迪
Sport Clube Vianense,維亞倫斯
Imortal DC,伊莫圖
distrito de Portugal,区 (葡萄牙)
Fermedo,费尔梅杜
Alegrete,阿莱格雷蒂
Cacia,卡西亚
Nossa Senhora da Conceição,Nossa Senhora da Conceição
Requeixo,Requeixo
Aveleda,阿韦莱达
Avelãs de Caminho,阿韦朗什-迪卡米纽
Ovar,Ovar
Póvoa de São Miguel,Póvoa de São Miguel
Ancas,安卡斯
Urra,乌拉
Nogueira do Cravo,Nogueira do Cravo
Casais,卡赛什
Monte da Pedra,Monte da Pedra
Esgueira,Esgueira
Covelo de Paivó,Covêlo de Paivô
Santa Maria da Devesa,Santa Maria da Devesa
Tamengos,Tamengos
Nogueira,诺盖拉
Pinheiro da Bemposta,Pinheiro da Bemposta
Cabeço de Vide,卡贝苏-迪维迪
Belver,贝尔韦尔
Covão do Lobo,Covão do Lobo
Castelões,卡斯特隆伊什
Silva Escura,Silva Escura
Ferreira do Alentejo,费雷拉-杜阿连特如
Santo André de Vagos,Santo André de Vagos
Paradela,Paradela
Santana,Santana
Canelas,卡内拉什
Basílica de Nossa Senhora do Rosário,玫瑰聖母聖殿 (法蒂瑪)
Venezuelanos,委内瑞拉人
Cortes Gerais e Extraordinárias da Nação Portuguesa,1820年制宪议会
Partido Comunista (Reconstruído),共产党（重建）
Sendas,森达什
Alvarenga,阿尔瓦伦加
Árvore,Árvore
Sé,塞镇
Janarde,Janarde
religião em Portugal,葡萄牙宗教
Eleições presidenciais portuguesas de 1949,1949年葡萄牙总统选举
Teleférico Funchal-Monte,丰沙尔缆车
Óquei Clube de Barcelos,巴塞卢什曲棍球俱乐部
Agência Portuguesa do Ambiente,葡萄牙环境署
Parque de Ondas da Aguçadoura,阿古薩多拉波浪能發電農場
Formação Lourinhã,洛里尼扬组
Sinagoga Shaaré Tikva,里斯本猶太會堂
Mesquita Central de Lisboa,里斯本中央清真寺
Avante Camarada,前进，同志！
Escariz,埃斯卡里斯
Casal Comba,卡萨尔孔巴
Eirol,Eirol
Ul,乌尔
Grupo Desportivo de Ribeirão,列比魯
Miradouro da Senhora do Monte,山上圣母观景台
Merelinense Futebol Clube,米列蘭尼斯
Largo das Portas do Sol,太阳门广场 (里斯本)
Miradouro de Santa Luzia,圣卢西亚观景台
Praça 25 de Abril,四月二十五日广场 (里斯本)
Praça da Alegria,喜悦广场
Motim 1-2-3,一二·三事件
Taça Ibérica,伊比利亚杯
Alter do Chão,阿尔特杜尚
Santo António das Areias,Santo António das Areias
Rio de Moinhos,里奥-迪莫伊纽什
Tropeço,Tropeço
Futebol Clube de Oliveira do Hospital,奥利韦拉杜奥什皮塔尔足球俱乐部
Gabinete de Prevenção e Investigação de Acidentes com Aeronaves,葡萄牙航空事故防范及调查部
Batalha Naval de Vila Franca,蓬塔德爾加達戰役
Ciclismo do Sport Lisboa e Benfica,本菲卡自行车俱乐部
Real Sport Clube,皇家體育隊
Gafanha da Boa Hora,Gafanha da Boa Hora
Valadares,Valadares
Vilaverdense Futebol Clube,维拉维登斯
São Pedro de Castelões,São Pedro de Castelões
Monforte,Monforte
Terrugem,Terrugem
Espinho,埃斯皮纽
Parque Natural da Arrábida,阿拉比达自然公园
Fundação Calouste Gulbenkian,C·古爾本基安基金會
Alto Tâmega,上塔梅加地方
Lei de Portugal,葡萄牙法律
Estádio José Gomes,若泽·戈梅斯球场
EuroVelo 1 - Rota da Costa Atlântica,欧洲单车一号公路
eleições presidenciais portuguesas de 1996,1996年葡萄牙總統選舉
Processo Revolucionário em Curso,持续性革命进程
Farol de Aveiro,阿威罗灯塔
Cartão de cidadão,葡萄牙公民證
Sé de Portalegre,波塔萊格雷主教座堂
Chelas,切拉斯
Basílica dos Congregados,康格里加多斯圣殿
relações entre Polónia e Portugal,波兰－葡萄牙关系
Clube Olímpico do Montijo,CO蒙迪祖
Praça de Touros de Elvas,埃尔瓦什体育馆
Elétricos do Porto,波爾圖電車
Integralismo Lusitano,整合主義者
Voo Martinair 495,馬丁航空495號班機空難
Santo Tirso,圣蒂尔苏
Vila Cova da Lixa,Vila Cova da Lixa
Sosa,索萨
Ventosa do Bairro,Ventosa do Bairro
Nossa Senhora de Fátima,Nossa Senhora de Fátima
Codeçoso,科德索索
Crato e Mártires,Crato e Mártires
Macieira,马西埃拉
Dornelas,多尔内拉什
Estádio da Luz,盧斯球場
Amieira,阿米埃拉
São João Baptista,圣若昂巴普蒂斯塔
Tolosa,Tolosa
Cortegaça,科尔特加萨
Casa Branca,卡萨布兰卡
Pindelo,Pindelo
Palácio de Monserrate,蒙塞拉特宫
Estação Ferroviária de Faro,法鲁站
São Brás dos Matos,圣布拉什-杜斯马图什
São Matias,São Matias
Moita,莫伊塔
Nossa Senhora da Graça de Póvoa e Meadas,Nossa Senhora da Graça de Póvoa e Meadas
Comenda,科门达
Aquae Flaviae,阿卡耶·弗拉维亚耶
Calvão,卡尔旺
Varziela,Varziela
Arada,阿拉达
Carregosa,卡雷戈萨
Galveias,Galveias
Torre de Moncorvo,Torre de Moncorvo
Salreu,Salreu
Vale do Peso,Vale do Peso
Covas,科瓦什
Cabreiros,卡布雷鲁什
Foros de Arrão,Foros de Arrão
Vera Cruz,Vera Cruz
Atalaia,阿塔拉亚
Gafanha do Carmo,Gafanha do Carmo
Cristelos,克里斯特卢什
Oliveirinha,Oliveirinha
Boim,博因
Vila Cova de Perrinho,Vila Cova de Perrinho
Corgo,科尔戈
Santiago Maior,圣地亚哥迈奥尔
Universidade de Trás-os-Montes e Alto Douro,山后-上杜罗大学
Sousel,Sousel
Troviscal,Troviscal
Vila Boim,Vila Boim
Nossa Senhora da Graça,格拉萨圣母城
Montargil,Montargil
Douro,杜罗省
Montalvão,Montalvão
São Salvador da Aramenha,圣萨尔瓦多-达阿拉梅尼亚
Carreiras,Carreiras
Santa Catarina,Santa Catarina
Macieira de Cambra,Macieira de Cambra
Viana do Alentejo,维亚纳-杜阿连特茹
Paços de Ferreira,Paços de Ferreira
Póvoa de Varzim,Póvoa de Varzim
Santa Joana,Santa Joana
"Eurico, o Presbítero",祭司欧里科
Eurocidade Elvas-Badajoz,欧洲城市埃尔瓦什-巴达霍斯
NOVA Medical School,里斯本新大學醫學院
Crédito Agrícola,农业信贷集团
Bola de Prata,银球奖
Ministério da Educação e Ciência,葡萄牙教育部
São Julião,圣茹利昂
Macieira de Sarnes,Macieira de Sarnes
São Saturnino,São Saturnino
Vimieiro,维米埃鲁
São Lourenço,圣洛伦索
Orada,奥拉达
Vimioso,Vimioso
Oiã,奥扬
Ponte de Sor,Ponte de Sor
Canidelo,卡尼德卢
Palmaz,Palmaz
Mealhada,梅阿利亚达
Tramaga,特拉马加
Lodares,洛达里什
Matosinhos,Matosinhos
Arez,阿雷什
Avis,阿维斯
Moldes,Moldes
eleições para a Assembleia Constituinte Portuguesa de 1975,1975年葡萄牙制宪议会选举
Associação para a Defesa dos Interesses de Macau,澳門公民協會
Autoridade Tributária e Aduaneira,葡萄牙税务和海关总署
Monte Brasil,巴西山
Rio Corgo,科尔戈河
Partido de Unidade Popular,人民团结党
Louredo,Louredo
Odivelas Futebol Clube,奧迪韋拉什
Freguesias e organização administrativa de Guimarães,吉马良斯自治市
Estoril Open de 2005,埃斯托利尔
Mosteiro de Tibães,蒂班耶什圣玛尔定修道院
Mocidade Portuguesa,葡萄牙青年團
Clube Atlético de Valdevez,華迪維斯
Associação Promotora da Instrução dos Macaenses,澳門土生教育協會
Assembleia Nacional Constituinte,國民制憲會議
Campo Grande,大坎波站
Diário Popular,大众日报
Festas do Povo,坎普马约尔社区节庆
Festival Internacional de Cinema da Figueira da Foz,菲蓋拉-達福什國際影展
Mina da Panasqueira,帕納什凱拉
antiga província portuguesa,葡萄牙历史省份
Estação Ferroviária de Viana do Castelo,維亞納堡車站
Castelo de São Filipe,圣菲利普城堡
IX Governo Constitucional de Portugal,第9届
Linha do Leste,东部线
Palácio do Freixo,弗雷舒宮
Serviço de Informações Estratégicas de Defesa,防衛戰略情報局
Avenida Cinco de Outubro,十月初五大馬路
Autorretrato (Columbano Bordalo Pinheiro),自画像
Sociedade Portuguesa de Autores,葡萄牙作家協會
Estação Baixa-Chiado,龐巴爾-基亞多站
Rio Meão,Rio Meão
TSF Rádio Notícias,TSF电台
EDISOFT,爱迪软件
Porto Santo Golfe,圣港高尔夫球场
Rua Augusta,奥古斯塔街凯旋门
"Palácio e Quinta do Ramalhão, também denominado «Paço Real do Ramalhão» (actualmente Colégio de São José das Irmãs Dominicanas Portuguesas)",拉馬豪宮
Faculdade de Ciências e Tecnologia da Universidade de Coimbra,哥英布拉大學科技學院
Boca do Lobo Exclusive Design,BOCA DO LOBO
Brigada Real da Marinha,葡萄牙皇家海軍旅
Grupo Sportivo de Loures,洛里什
Parchal,帕沙爾
Sé Velha de Coimbra,科英布拉旧主教座堂
Forte de Nossa Senhora da Graça,格拉薩聖母堡
Igreja da Santíssima Trindade no Santuário de Fátima,法蒂玛天主圣三教堂
Encarnação,恩卡爾納桑廣場大道
Energia eólica em Portugal,葡萄牙风电
Bisalhães,比萨拉耶斯
Área Metropolitana de Lisboa,里斯本都市圈
Ribeira das Naus,里斯本海軍兵工廠
Arsenal do Alfeite,阿尔费特·阿森纳公司
Base Aérea de Sintra,辛特拉空军基地
Movimento Independente para a Reconstrução Nacional / Partido da Direita Portuguesa,民族复兴独立运动/葡萄牙右翼党
Instituto Politécnico de Viseu,维塞乌理工学院
Forte de São Julião da Barra,聖祖利昂達巴拉城堡
Hierarquia militar de Portugal,葡萄牙军衔
Romariz,Romariz
Final da Liga Europa da UEFA de 2013–14,2014年歐洲聯賽決賽
Campo dos Mártires da Pátria,国家烈士广场
Hospitais da Universidade de Coimbra,科英布拉医学院附属医院
Fundação para a Computação Científica Nacional,葡萄牙国家科学计算基金会
Papas de sarrabulho,血糊
Museu da Lourinhã,勞爾哈博物館
Museu de Arte Contemporânea de Elvas,埃尔瓦什当代艺术博物馆
Hospital da Marinha,葡萄牙海軍醫院
Lafões,拉丰伊什
Largo do Carmo,嘉模前地
Museu Geológico de Lisboa,里斯本地质博物馆
Estação Ferroviária de Braga,布拉加车站
Estoril Sol,埃什托里爾博彩
Tragédia de Entre-os-Rios,辛兹里贝罗事故
Rio Azibo,阿茲博河
Mar largo,长海
IC7,IC7公路
IP1,IP1公路
Campeonato Português de Futebol (outras categorias),葡萄牙全國青年錦標賽
O Princípio da Incerteza,測不準原理 (電影)
Alternativa Democrática Nacional,民主共和黨 (葡萄牙)
"Palácio dos Marqueses de Pombal, abrangendo o jardim, casa de pesca e cascata junta",蓬巴爾侯爵宮
Portugal no Festival Eurovisão da Canção 1998,阿爾瑪·盧薩
Porto do Funchal,丰沙尔港
Comunidade Intermunicipal do Oeste,欧斯特地方
Tropas Paraquedistas de Portugal,傘兵
Monumento a Camões,路易·德·賈梅士紀念像
Revolta dos Calcetas,Calcetas起義
Rua do Arsenal,阿森納街
Praça do Infante D. Henrique,恩里克王子廣場
Procuradoria-Geral da República Portuguesa,共和國總檢察長
Regimento de Infantaria n.º 10,葡萄牙第10步兵團
Região de Coimbra,科英布拉地方
"Mosteiro de Jesus, compreendendo o túmulo de Santa Joana",耶稣修道院
Ministério dos Assuntos Parlamentares,議會事務部
Ministério da Guerra (Portugal),葡萄牙陸軍部
Ministério das Colónias,葡萄牙藩政部
Eleições presidenciais portuguesas de 1965,1965年葡萄牙總統選舉
Santo António,聖安東尼奧
Santuário do Monte de Santa Luzia,聖露西亞聖殿
CP Urbanos,葡萄牙城市鐵路
VI Governo Constitucional de Portugal,第6届
V Governo Constitucional de Portugal,第5届
Club Sport Marítimo versus CF União e CD Nacional,马德拉德比
Conselho de Reitores das Universidades Portuguesas,葡萄牙大學校長會
Wikimedia Portugal,葡萄牙维基媒体分会
Região de Aveiro,阿威罗地方
Sport Grupo Sacavenense,萨卡维尼斯足球俱乐部
Sporting Clube de Coimbrões,科英布拉体育俱乐部
Chica Chica Boom Chic,奇卡奇卡熱潮別緻
bacalhau,馬介休
Penafiel,Penafiel (freguesia)
Alvorada Futebol Clube,阿爾沃拉達 (足球會)
Sé,Sé
Sete Maravilhas de Origem Portuguesa no Mundo,世界七大源自葡萄牙的奇蹟
Museu do Centro Científico e Cultural de Macau,澳門科技文化中心（博物館）
"Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure",马尔加里德（圣欧拉利娅）、瓦尔泽亚、拉加雷斯、瓦齐拉和莫雷
Célticos,克爾特人
Fundação Oriente,東方基金會
Fundação Jorge Álvares,歐維治基金會
Convento de Santa Clara,聖克萊爾教堂
Floresta Laurissilva na Madeira,马德拉的月桂林
Palácio das Necessidades,内塞西达迪什宫
