日本の元号,日本年號
新冠郡,新冠郡
広尾郡,廣尾郡
浦河郡,浦河郡
敬老の日,敬老之日
2017年アジア冬季競技大会,2017年亞洲冬季運動會
釧路町,釧路町
白糠町,白糠町
檜山郡,檜山郡
沙流郡,沙流郡
白老郡,白老郡
有珠郡,有珠郡
岩内郡,岩內郡
奥尻郡,奧尻郡
石狩郡,石狩郡
浜中町,濱中町
吉富町,吉富町
福智町,福智町
添田町,添田町
門川町,門川町
RIP・SLYME,屎爛幫
時津町,時津町
京都サンガF.C.,京都不死鳥
備中国,備中國
播磨国,播磨國
新エネルギー・産業技術総合開発機構,新能源產業技術綜合開發機構
JR藤森駅,JR藤森車站
上高地,上高地
筑前国,筑前國
能登国,能登國
新宿野村ビルディング,新宿野村大厦
小田急箱根鋼索線,鋼索線·(箱根登山鐵道)
西多摩郡,西多摩郡
礼文郡,禮文郡
手稲区,手稻區
新丸の内ビルディング,新丸之内大厦
新宿センタービル,新宿中心大厦
厚別区,厚別區
増毛郡,增毛郡
船の科学館,船之科學館
箱根・彫刻の森美術館,箱根雕刻森林美術館
野球殿堂博物館・(日本),野球殿堂博物館
那珂川市,那珂川市
つるぎ町,劍町
東みよし町,東三好町
大間町,大間町
松茂町,松茂町
国立西洋美術館,國立西洋美術館
国立新美術館,國立新美術館
佐井村,佐井村
鐘楼,鐘樓·(東亞)
日本の伝統芸能,日本傳統藝能
日本貿易振興機構,日本贸易振兴机构
2013・ワールド・ベースボール・クラシック,2013年世界棒球經典賽
北海道新幹線,北海道新幹線
東京ミッドタウン,東京中城
サガン鳥栖,鳥栖砂岩
Mixi,Mixi
三・一五事件,三一五事件
江戸東京たてもの園,江戶東京建築園
三原村,三原村
益城町,益城町
三陸復興国立公園,三陸復興國立公園
久米島町,久米島町
羽後町,羽後町
運動会,學校運動會
日本の高速道路,日本高速公路
三増峠の戦い,三增峠之戰
第3回IBAF女子ワールドカップ,2008年世界盃女子棒球賽
日本の携帯電話文化,日本手機文化
参議,參議·(日本)
サンリオピューロランド,三麗鷗彩虹樂園
刀狩,刀狩令
日本における売買春,日本性交易产业
清田区,清田區
なまはげ,生剥鬼节
北区・(札幌市),北區·(札幌市)
東区・(札幌市),東區·(札幌市)
南区・(札幌市),南區·(札幌市)
QRIO,QRIO
北緯40度線,北纬40度线
標津町,標津町
足寄町,足寄町
浦幌町,浦幌町
ブルーリボン賞・(映画),藍絲帶獎·(電影)
野付郡,野付郡
釧路郡,釧路郡
河東郡,河東郡·(日本)
苫前郡,苫前郡
利尻郡,利尻郡
目梨郡,目梨郡
厚岸郡,厚岸郡
天塩郡,天鹽郡
標津郡,標津郡
川上郡,川上郡
北緯44度線,北緯44度線
氷川丸,冰川丸
玉陵,玉陵
しんぶん赤旗,赤旗報
北緯37度線,北緯37度線
奈良公園,奈良公園
田野町,田野町
秋分の日,秋分之日
豊平区,豐平區
色丹郡,色丹郡
白糠郡,白糠郡
足寄郡,足寄郡
中川郡・(十勝国),中川郡·(十勝綜合振興局)
留萌郡,留萌郡
上川郡・(十勝国),上川郡·(十勝國)
枝幸郡,枝幸郡
本部町,本部町
西和賀町,西和賀町
塙町,塙町
石井町,石井町
滝沢市,瀧澤市
自由が丘,自由之丘
大涌谷,大涌谷
前九年の役,前九年之役
新八代駅,新八代車站
道の駅,道之驛
新青森駅,新青森站
鹿児島本線,鹿兒島本線
日本の国璽,大日本國璽
南海電気鉄道,南海電氣鐵道
北海道エアシステム,北海道空中系統
新花巻駅,新花卷車站
京阪電気鉄道,京阪電氣鐵道
トレジャー,Treasure·(公司)
大町町,大町町
岩手町,岩手町
藤里町,藤里町
大月町,大月町
川崎町・(福岡県),川崎町·(福岡縣)
ジェイエア,J-Air
東海道本線,東海道本線
代々木,代代木
名古屋市瑞穂公園陸上競技場,名古屋市瑞穗公園陸上競技場
金山駅・(愛知県),金山車站·(愛知縣)
三菱ふそうトラック・バス,三菱扶桑卡客车
東照宮,東照宮
等々力陸上競技場,等等力陸上競技場
成田エクスプレス,成田特快
伊江島空港,伊江島機場
横浜フリューゲルス,橫濱飛翼
国立劇場,国立剧场
横浜線,橫濱線
天保,天保·(日本)
九州大学,九州大学
東武ワールドスクウェア,東武世界廣場
新庄駅,新庄站·(日本)
佐久平駅,佐久平車站
重要文化財,重要文化財
名古屋証券取引所,名古屋證券交易所
越後湯沢駅,越後湯澤車站
佐賀空港,佐賀機場
岐阜城,岐阜城
FC町田ゼルビア,町田澤維亞足球會
スピッツ・(バンド),SPITZ
上峰町,上峰町
ソラシドエア,空之子航空
伊勢湾,伊势湾
稚内空港,稚內機場
シチズン時計,星辰錶
小田急箱根鉄道線,鐵道線·(箱根登山鐵道)
汐留シティセンター,汐留城市中心
MOONSTONE,MOONSTONE
蘂取郡,蘂取郡
阿波座駅,阿波座站
仙石線,仙石線
対馬空港,對馬機場
日比谷,日比谷
朝潮橋駅,朝潮橋站
日本丸・(初代),日本丸
伊方町,伊方町
馬路村,馬路村
佐那河内村,佐那河內村
藍住町,藍住町
仁淀川町,仁淀川町
芸西村,藝西村
本町駅,本町站
北緯36度線,北緯36度線
北緯39度線,北緯39度線
高山本線,高山本線
六地蔵駅,六地藏站
上越線,上越線
北緯34度線,北緯34度線
伊予郡,伊予郡
鞍手郡,鞍手郡
喜多郡,喜多郡
平内町,平內町
上浮穴郡,上浮穴郡
南部町・(青森県),南部町·(青森縣)
丸の内ビルディング,丸之内大厦
七飯駅,七飯車站
佐賀郡,佐賀郡
新世界・(大阪),新世界·(大阪)
赤井川駅,赤井川車站
伊東線,伊東線
新自由クラブ,新自由俱樂部
桔梗駅,桔梗車站
沖縄県知事一覧,沖繩縣知事列表
箱根ロープウェイ,箱根空中纜車
大中山駅,大中山車站
大沼駅,大沼車站
春分の日,春分之日
日本貨物航空,日本貨物航空
関西電力,關西電力
港区・(大阪市),港區·(大阪市)
久山町,久山町
八郎潟,八郎潟
若松城,会津若松城
SUBARU,速霸陸
東京マラソン,東京馬拉松
総武本線,總武本線
中央線快速,中央線快速
京王井の頭線,井之頭線
東アジア競技大会,東亞運動會
大沼公園駅,大沼公園車站
適塾,適塾
ハドソン,Hudson·Soft
城陽駅,城陽站·(日本)
鳴門教育大学,鳴門教育大學
JR小倉駅,JR小倉站
長池駅,长池站
木幡駅・(JR西日本),木幡站·(JR西日本)
置戸町,置戶町
佐呂間町,佐呂間町
斜里町,斜里町
清里町,清里町
訓子府町,訓子府町
こだま・(列車),回声号列车
さいたま市大宮公園サッカー場,埼玉市大宮公園足球場
名古屋港,名古屋港
公武合体,公武合體
東京府,東京府
AirJapan,AirJapan
最高裁判所裁判官国民審査,最高裁判所裁判官国民审查
首都高速道路,首都高速道路
ヤマハスタジアム,山葉體育場
福井大学,福井大學
2001年東アジア競技大会,2001年東亞運動會
Suica,Suica
常磐線,常磐線
多禰国,多禰國
日本フットボールリーグ,日本足球聯賽·(1999年以後)
仲多度郡,仲多度郡
篠栗町,篠栗町
鹿角郡,鹿角郡
名瀬市,名瀨市
粕屋町,粕屋町
錦江町,錦江町
岡垣町,岡垣町
簸川郡,簸川郡
南武線,南武線
檮原町,檮原町
東峰村,東峰村
糟屋郡,糟屋郡
南風原町,南風原町
桂川町,桂川町
八尾空港,八尾機場
那智滝,那智瀑布
EMIミュージック・ジャパン,EMI音樂日本
広島広域公園陸上競技場,广岛广域公园陆上竞技场
福岡ドーム,福岡巨蛋
近畿方言,近畿方言
八重瀬町,八重瀨町
小竹町,小竹町
喜界町,喜界町
与論町,與論町
東区・(福岡市),東區·(福岡市)
日立柏サッカー場,日立柏足球场
東平尾公園博多の森球技場,東平尾公園博多之森球技場
北緯32度線,北緯32度線
東名高速道路,東名高速公路
吉野ヶ里遺跡,吉野里遺跡
山形駅,山形車站
山陰本線,山陰本線
あずさ・(列車),梓號列車
浜松国際ピアノコンクール,滨松国际钢琴比赛
イプシロンロケット,艾普斯龙运载火箭
西区・(札幌市),西區·(札幌市)
雄武町,雄武町
学習院大学,学习院大学
安和,安和
日本郵政公社,日本郵政公社
ぼたもち,萩餅
文禄,文禄
和銅,和銅
南新宿駅,南新宿站
帯広畜産大学,帶廣畜產大學
東日本大震災,東日本大震災
100円ショップ,100圓店
新水俣駅,新水俁站
大阪教育大学,大阪教育大學
石勝線,石勝線
シンエイ動画,新銳動畫
金沢駅,金澤站
新白河駅,新白河車站
やまびこ・(列車),山彥號列車
山城青谷駅,山城青谷站
黄檗駅,黃檗車站
月島,月島
桃山駅,桃山站·(日本)
宇治駅・(JR西日本),宇治站·(JR西日本)
日光駅,日光站
遠江国,遠江國
電通,电通
横浜港,橫濱港
東急田園都市線,田园都市线
三宅支庁,三宅支廳
棚倉駅,棚仓站
上狛駅,上狛站
備後国,備後國
玉水駅,玉水站·(日本)
心斎橋,心齋橋
神戸市営地下鉄,神戶市營地下鐵
蒲原駅,蒲原車站
チンドン屋,東西屋
村山駅・(山形県),村山車站·(山形縣)
1998年長野パラリンピック,1998年冬季帕拉林匹克運動會
富山駅,富山車站·(日本)
紀伊半島,紀伊半島
菅直人内閣,菅直人內閣
マイクロンメモリジャパン,爾必達存儲器
太政官,太政官
寛永,寬永
天文・(元号),天文·(日本)
石城国,石城國
明暦,明曆
梅小路蒸気機関車館,梅小路蒸汽火車博物館
赤穂線,赤穗線
辻堂駅,辻堂站
中日本高速道路,中日本高速道路
東武小泉線,小泉線
奥州藤原氏,奧州藤原氏
国鉄EF66形電気機関車,日本國鐵EF66型電力機車
上湧別町,上湧別町
利尻空港,利尻機場
第36回衆議院議員総選挙,第36屆日本眾議院議員總選舉
七戸十和田駅,七戶十和田車站
新富士駅・(静岡県),新富士車站·(靜岡縣)
三原駅,三原站·(日本)
北九州高速鉄道,北九州高速鐵道
東広島駅,東廣島車站
古川駅,古川車站
白石蔵王駅,白石藏王車站
北上駅,北上車站
新尾道駅,新尾道車站
野田内閣,野田内阁
川崎縦貫高速鉄道,川崎縱貫高速鐵道
ローム,罗姆株式会社
長岡駅,長岡車站
安中榛名駅,安中榛名車站
浦佐駅,浦佐站
本庄早稲田駅,本庄早稻田車站
SMAP,SMAP
横浜国立大学,橫濱國立大學
日本エアシステム,日本佳速航空
ジャパンタイムズ,日本時報
日本貨物鉄道,日本貨物鐵道
日本国政府,日本国政府
東京学芸大学,东京学艺大学
平戸城,平戶城
宮の森ジャンプ競技場,宮之森跳台競技場
ゆりかもめ東京臨海新交通臨海線,東京臨海新交通臨海線
コブクロ,可苦可樂
新島,新岛
東京都江戸東京博物館,江戶東京博物館
西宇和郡,西宇和郡
小笠原国立公園,小笠原國立公園
大豊町,大豐町
越智郡,越智郡
大川村,大川村
筑紫国,筑紫國
八丈島,八丈島
厚生労働省,厚生勞動省
名古屋大学,名古屋大學
国道1号,國道1號·(日本)
いの町,伊野町
六戸町,六戶町
上毛町,上毛町
高原町,高原町
基山町,基山町
東串良町,東串良町
バンプレスト,萬普
文化庁メディア芸術祭,文化廳媒體藝術祭
芳野監,芳野監
渡島半島,渡島半島
岩代国,岩代國
2003年アジア冬季競技大会,2003年亞洲冬季運動會
承久の乱,承久之亂
埼京線,埼京線
徳間書店,德間書店
日本郵政,日本郵政
八高線,八高线
国民の生活が第一,國民生活第一
北区・(大阪市),北區·(大阪市)
国分寺,國分寺
広島平和記念公園,广岛和平纪念公园
岐阜大学,岐阜大學
福崎町,福崎町
北大東村,北大東村
厚狭駅,厚狹站
新山口駅,新山口站
新大牟田駅,新大牟田車站
東三国駅,東三國站
くりこま高原駅,栗駒高原車站
いわて沼宮内駅,岩手沼宮內車站
新鳥栖駅,新鳥栖車站
出水駅,出水站
水沢江刺駅,水澤江刺車站
筑後船小屋駅,筑後船小屋車站
1964年東京オリンピックの日本選手団,1964年夏季奧林匹克運動會日本代表團
国土交通省,國土交通省
1986年アジア冬季競技大会,1986年亞洲冬季運動會
新木場駅,新木場站
東京メトロ半蔵門線,半藏門線
新玉名駅,新玉名車站
サンリオ,三麗鷗
コスモスクエア駅,宇宙廣場車站
首都高速都心環状線,首都高速都心環狀線
毎日新聞,每日新聞
西中島南方駅,西中島南方站
徳山駅,德山站
仙山線,仙山線
2011年の日本シリーズ,2011年日本大賽
A.B.C-Z,A.B.C-Z
日本アニメーション,日本動畫·(企業)
大国町駅,大国町站
門司港駅,門司港站
川内駅・(鹿児島県),川內站·(鹿兒島縣)
日越関係,日本—越南關係
天童駅,天童車站
黒船,黑船
大石田駅,大石田車站
高畠駅,高畠車站
かみのやま温泉駅,上山溫泉車站
角館駅,角館車站
赤湯駅,赤湯車站
米沢駅,米澤車站
日本エアコミューター,日本空中通勤
ゴールデンウィーク,黄金周·(日本)
人間国宝,重要無形文化財保持者
十勝総合振興局,十勝綜合振興局
和田岬線,和田岬線
近鉄大阪線,大阪線
てるてる坊主,晴天娃娃
お召し列車,皇家列車
さいたまスーパーアリーナ,埼玉超級競技場
日豊本線,日豐本線
東アジア共同体,東亞共同體
はまかぜ・(列車),濱風號列車
海芝浦駅,海芝浦站
榛名山,榛名山
海遊館,海遊館
グラスホッパー・マニファクチュア,草蜢工作室
ハウステンボス,豪斯登堡
梅田地区の鉄道駅,梅田地區的鐵道車站
オーバーフロー・(ブランド),0verflow
日本聖公会,日本圣公会
東急東横線,東橫線
国会議事堂前駅,國會議事堂前站
東急池上線,池上線
諏方国,諏方國
Osaka・Metro御堂筋線,御堂筋線
神戸大学,神户大学
陸中国,陸中國
陸前国,陸前國
上毛高原駅,上毛高原站
名鉄名古屋本線,名古屋本線
日高振興局,日高振興局
中核市,中核市
日本電子,日本電子
新富町,新富町
日之影町,日之影町
諏訪湖,諏訪湖
高鍋町,高鍋町
西米良村,西米良村
広川町・(福岡県),廣川町·(福岡縣)
延喜,延喜
天平感宝,天平感宝
神亀,神龜·(日本)
都営地下鉄三田線,三田線·(都營地鐵)
都営地下鉄新宿線,新宿線·(都營地鐵)
ユニバーサル・スタジオ・ジャパン,日本環球影城
東北楽天ゴールデンイーグルス,東北樂天金鷲
松前町・(北海道),松前町·(北海道)
利尻礼文サロベツ国立公園,利尻禮文佐呂別國立公園
支笏洞爺国立公園,支笏洞爺國立公園
新上五島町,新上五島町
五ヶ瀬町,五瀨町
西原町,西原町
羽後国,羽後國
芳文社,芳文社
昭和新山,昭和新山
羽前国,羽前國
法師・(旅館),法師·(旅館)
富士急ハイランド,富士急樂園
芳賀郡,芳賀郡
弘仁,弘仁
神護景雲,神護景雲
霊亀,靈龜
仁寿,仁壽·(日本)
養老,養老·(日本)
天応・(日本),天應·(日本)
嘉祥,嘉祥·(日本)
天長,天長·(日本)
文化・(元号),文化·(年號)
天平神護,天平神護
天平勝宝,天平胜宝
延暦,延曆
志免町,志免町
みやこ町,京都町
吉野ヶ里町,吉野里町
江北町,江北町
玄海町,玄海町
苅田町,苅田町
島尻郡,島尻郡
アイコム,艾可慕
大同・(日本),大同·(日本)
白石町,白石町
太良町,太良町
壱岐国,壹岐國
長岡京,長岡京
大曲駅・(秋田県),大曲車站·(秋田縣)
SUGOCA,SUGOCA
周防国,周防國
ファミリーマート・(企業),FamilyMart
NHKワールド・JAPAN,NHK日本国际传媒
富山空港,富山機場
武蔵野線,武藏野線
池田屋事件,池田屋事件
雫石駅,雫石車站
安房国,安房國
ゴンゾ,GONZO
富士箱根伊豆国立公園,富士箱根伊豆国立公园
福岡空港,福岡機場
備前国,備前國
日本DNAデータバンク,日本DNA数据库
ポリフォニー・デジタル,Polyphony·Digital
下総国,下總國
阪神本線,阪神本線
椿本チエイン,椿本鏈條
Ordet,Ordet
アルケミスト・(企業),Alchemist
足柄下郡,足柄下郡
ニンテンドーWi-Fiコネクション,任天堂Wi-Fi连接
嘉吉,嘉吉
応永,應永
正長,正長
嘉保,嘉保
保土ケ谷区,保土谷區
永享,永享
若狭国,若狹國
石見国,石見國
下野国,下野國
伯耆国,伯耆國
但馬国,但馬國
淡路国,淡路國
相模国,相模國
志摩国,志摩國
農林水産省,農林水產省
東海村JCO臨界事故,東海村JCO臨界事故
中京圏,中京圈
恐山,恐山
東京都交通局,東京都交通局
成田離婚,成田離婚
木村伊兵衛写真賞,木村伊兵衛賞
金峯山寺,金峯山寺
近未来政治研究会,近未來政治研究會
第1次安倍内閣・(改造),第一屆安倍內閣·(改組)
木祖村,木祖村
小日本主義,小日本主義
飛鳥浄御原宮,飛鳥淨御原宮
延久,延久
小笠原支庁,小笠原支廳
のぞみ・(列車),希望號列車
永長,永長
明応,明應·(日本)
元永,元永
天仁,天仁
須美寿島,須美壽島
山陽本線,山陽本線
カトリック関口教会,東京聖瑪利亞主教座堂
青山・(東京都港区),青山·(東京都港區)
伊平屋村,伊平屋村
安元,安元
享禄,享祿
信州大学,信州大學
茨城大学,茨城大學
甘木市,甘木市
大空町,大空町
宿場,宿場
紋別郡,紋別郡
神武天皇即位紀元,皇纪
PEACH-PIT,PEACH-PIT
セントラル・リーグ,中央聯盟
丹後国,丹後國
足利学校,足利学校
2005年日本国際博覧会,2005年世界博覽會
園比屋武御嶽,園比屋武御嶽
Multi・Video・System,Neo·Geo
因幡国,因幡國
文部科学省,文部科學省
阪急神戸本線,神戶本線
ポートアイランド,港灣人工島
中区・(名古屋市),中區·(名古屋市)
ガスト・(ゲームブランド),Gust
瑞穂区,瑞穗區
千種区,千種區
宇宙科学研究所,宇宙科学研究所
北区・(名古屋市),北區·(名古屋市)
日野町・(滋賀県),日野町·(滋賀縣)
様似町,樣似町
横浜マリンタワー,橫濱海洋塔
港区・(名古屋市),港區·(名古屋市)
西区・(名古屋市),西區·(名古屋市)
エキスポランド,萬博樂園
六道珍皇寺,六道珍皇寺
東郷神社・(渋谷区),東鄉神社·(澀谷區)
日本アカデミー賞監督賞,日本電影學院獎最佳導演獎
第1次安倍内閣,第一屆安倍內閣
三ツ沢公園球技場,日本發條三澤公園球場
弁天橋駅,弁天橋站
電撃コミックス,電擊Comics
冠位十二階,冠位十二阶
第50回世界卓球選手権個人戦,2009年世界乒乓球錦標賽
東経140度線,东经140度线
TOTO・(企業),TOTO
ミス日本,日本小姐
エアアジア・ジャパン,日本亞洲航空
日本の選挙,日本選舉
南海道,南海道
有楽町,有樂町
Peach・Aviation,樂桃航空
山陽道,山陽道
相模大野駅,相模大野站
天王寺動物園,天王寺動物園
角川書店,角川書店
只見線,只見線
オホーツク総合振興局,鄂霍次克綜合振興局
TYPE-MOON,TYPE-MOON
菅直人内閣・(第1次改造),菅直人內閣·(首屆改組)
トムス・エンタテインメント,TMS娛樂
伊江村,伊江村
日本電信電話,日本電信電話
長暦,長曆
長禄,長祿
大永,大永
永承,永承
長元,長元
永正,永正
寛徳,寬德
文明・(日本),文明·(日本)
長久,長久·(年號)
康平,康平·(日本)
承保,承保
琉球民族,琉球族
天喜,天喜
文安,文安·(日本)
文正,文正
糸田町,糸田町
龍郷町,龍鄉町
御船町,御船町
南大隅町,南大隅町
相模線,相模線
羅臼町,羅臼町
標茶町,標茶町
虫プロダクション,蟲製作
後楽園,後樂園
首都圏新都市鉄道つくばエクスプレス,筑波快線
黒部ダム,黑部水壩
北秋田郡,北秋田郡
政令指定都市,政令指定都市
真如苑,真如苑
オートポリス,汽车城赛道
日本の空港,日本機場列表
日比谷公園,日比谷公園
宮崎空港,宮崎機場
博多祇園山笠,博多祇園山笠
承徳,承德·(日本)
永暦,永曆·(日本)
保元,保元
元応,元應
嘉承,嘉承
安永・(元号),安永·(日本)
天永,天永
長寛,長寬
保延,保延
延応,延應
応保,應保
寛仁,寬仁
建久,建久
平治,平治·(日本)
暦仁,曆仁
横浜DeNAベイスターズ,橫濱DeNA海灣之星
鳥羽・伏見の戦い,鸟羽伏见之战
建武・(日本),建武·(日本)
長良川,長良川
七夕・(日本),七夕·(日本)
康和,康和·(日本)
正徳・(日本),正德·(日本)
永保,永保
寛治,寬治
万延,萬延
仁平,仁平·(日本)
久安,久安
永万,永萬
更別村,更別村
天明,天明·(日本)
延元,延元
建永,建永
文暦,文曆
万寿,萬壽
貞応,貞應
奥多摩湖,奥多摩湖
御嶽山,御嶽山
金沢八景,金澤八景
筑波山,筑波山
FeliCa,FeliCa
貞観地震,貞觀地震
マジックバス,Magic·Bus
京都教育大学,京都教育大學
建長寺,建長寺
ファーストリテイリング,迅銷
多摩動物公園,多摩動物公園
第21回衆議院議員総選挙,第21屆日本眾議院議員總選舉
山崎蒸溜所,山崎蒸溜所
聟島,聟島
日本のサッカー,日本足球
第26回衆議院議員総選挙,第26屆日本眾議院議員總選舉
秋吉台,秋吉台
水上駅,水上車站·(日本)
後閑駅,後閑車站
愛宕グリーンヒルズ,愛宕綠丘
第16回衆議院議員総選挙,第16届日本众议院议员总选举
上牧駅・(群馬県),上牧車站·(群馬縣)
日本の城一覧,日本城堡列表
第24回衆議院議員総選挙,第24屆日本眾議院議員總選舉
第3回参議院議員通常選挙,第3屆日本參議院議員通常選舉
副総理,副總理·(日本)
アークヒルズ,方舟之丘
承安・(日本),承安·(日本)
文中,文中
永治,永治·(日本)
貞永,貞永
天養,天養
寛喜,寬喜
寛元,寬元
長和,長和·(日本)
熊本藩,熊本藩
康元,康元
建保,建保
元暦,元曆
正元・(日本),正元·(日本)
中川村,中川村
久寿,久壽
バレーボール・ワールドグランドチャンピオンズカップ,世界大冠軍盃排球賽
デジキューブ,DigiCube
東京富士美術館,東京富士美術館
りそなホールディングス,里索那控股
日米関係,日本—美国关系
承元,承元
梅田,梅田
長承,長承
元久,元久
建暦,建曆
東北町,東北町
建長,建長
仁治,仁治
日本語の方言,日語方言
モノリスソフト,Monolith·Soft
UDトラックス,UD卡車
新宿二丁目,新宿二丁目
延岡インターチェンジ,延岡交流道
佐伯インターチェンジ・(大分県),佐伯交流道·(大分縣)
検見川浜駅,檢見川濱車站
別府湾サービスエリア,別府灣服務區
北浦インターチェンジ・(宮崎県),北浦交流道·(宮崎縣)
津久見インターチェンジ,津久見交流道
神戸総合運動公園ユニバー記念競技場,神戶綜合運動公園世大運紀念競技場
近鉄難波線,難波線
近鉄橿原線,橿原線
トムス,TOM'S
南関東,南關東
トワイライトゾーン・タワー・オブ・テラー,驚魂古塔
近鉄天理線,天理線
篠路駅,篠路車站
近鉄田原本線,田原本線
観月橋駅,觀月橋車站
赤倉温泉駅,赤倉溫泉車站
薙刀術,薙刀術
天龍寺,天龍寺
湯島聖堂,汤岛圣堂
園城寺,園城寺
第2次安倍内閣,第二屆安倍內閣
立石寺,立石寺
そごう,崇光百貨
民宿,民宿
巣鴨,巢鴨
日本人論,日本人論
ニコンのレンズ製品一覧,尼克尔镜头
明神礁,明神礁
サントリーサンバーズ,三得利太陽鳥
ラフォーレ原宿,Laforet原宿
太美駅,太美站
教育ママ,教育妈妈
あいの里公園駅,愛之里公園車站
百合が原駅,百合原車站
北海道医療大学駅,北海道醫療大學車站
地方自治法,地方自治法·(日本)
阪神高速道路,阪神高速道路
スルガ銀行チャンピオンシップ2011,2011年骏河银行锦标赛
二条城前駅,二條城前站
賢プロダクション,賢Production
勝連城,勝連城
御陵駅,御陵站
拓北駅,拓北車站
当別駅,當別站
あいの里教育大駅,愛之里教育大車站
静岡空港,靜岡機場
浜頓別町,濱頓別町
上士幌町,上士幌町
新得町,新得町
新ひだか町,新日高町
日高郡・(北海道),日高郡·(北海道)
枝幸町,枝幸町
山越郡,山越郡
豊頃町,豐頃町
音更町,音更町
中札内村,中札內村
美深町,美深町
士幌町,士幌町
芽室町,芽室町
幕別町,幕別町
広尾町,廣尾町
ニコン,尼康
中頓別町,中頓別町
日本新党,日本新黨
本別町,本別町
猿払村,猿拂村
豊富町,豐富町
剣淵町,劍淵町
中川町,中川町
清水町・(北海道),清水町·(北海道)
日本のテレビジョン放送局,日本電視
原子力安全・保安院,原子力安全保安院
清和政策研究会,清和政策研究會
関水金属,關水金屬
徳川氏,德川氏
第31回世界卓球選手権,1971年世界乒乓球锦标赛
嘉禄,嘉祿
康治,康治
宝暦,寶曆·(日本)
元仁,元仁
保安・(元号),保安·(日本)
天福・(日本),天福·(日本)
文治,文治·(日本)
元弘,元弘
摩周湖,摩周湖
根岸線,根岸線
風土記,風土記
日本レコード協会,日本唱片協會
江戸川,江戶川
北緯27度線,北緯27度線
新党大地,新黨大地
メディアワークス,MediaWorks
八重洲,八重洲
竹下内閣,竹下內閣
東久邇宮内閣,東久邇宮內閣
總持寺,總持寺
前頭,前頭
小結,小結
テクモ,特库摩
日本建築史,日本建築
日本相撲協会,日本相扑协会
日本民主党,日本民主黨·(1954年)
ヤマザキマザック,山崎马扎克
けん玉,劍玉
河合楽器製作所,河合樂器製作所
長崎国旗事件,長崎國旗事件
Technics,Technics
森ビル,森大廈
六本木ヒルズ森タワー,六本木新城森大樓
大学入試センター試験,大学入试中心试验
奄美空港,奄美機場
野島断層,野島斷層
福江空港,福江機場
モリソン号事件,马礼逊号事件
石見空港,石見機場
北緯30度線,北纬30度线
グレッゾ,Grezzo
北緯35度線,北纬35度线
家宰,家宰
武器輸出三原則,武器出口三原則
北緯45度線,北緯45度線
バンダイナムコエンターテインメント,万代南梦宫娱乐
日米修好通商条約,美日修好通商條約
西武ドーム,西武巨蛋
鶴見線,鶴見線
治承,治承
寛政,寬政
奥尻空港,奧尻機場
御岳山・(東京都),御岳山·(東京都)
種子島空港,種子島機場
積丹半島,積丹半島
中標津空港,中標津機場
能登空港,能登機場
紋別空港,紋別機場
矢田寺,矢田寺
商船三井,商船三井
小石川後楽園,小石川后乐园
国土庁,國土廳
小泉八雲記念館,小泉八云纪念馆
横河電機,橫河電機
マミヤ・デジタル・イメージング,玛米亚
鏡餅,鏡餅
二松學舍大学,二松學舍大學
馬籠宿,馬籠宿
鳥取空港,鳥取機場
元弘の乱,元弘之亂
屋久島空港,屋久島機場
原城,原城
香美市立やなせたかし記念館,香美市立柳瀨嵩紀念館
久ノ浜駅,久之濱站
四ツ倉駅,四倉站
広野駅・(福島県),廣野站·(福島縣)
末続駅,末續站
松山大学,松山大學
草野駅・(福島県),草野站·(福島縣)
高知県立美術館,高知縣立美術館
ナガシマスパーランド,長島溫泉樂園
雲取山,云取山
明六社,明六社
相国寺,相国寺
火山の一覧・(日本),日本火山
牡鹿半島,牡鹿半島
大和三山,大和三山
親子丼,親子丼
電子情報技術産業協会,电子信息技术产业协会
三賞,三赏
春日山城,春日山城
京浜東北線,京濱東北線
横浜アリーナ,橫濱體育館
丸の内,丸之內
小諸城,小諸城
五畿七道,五畿七道
東京農工大学,東京農工大學
永源寺,永源寺
褒章,褒章
永平寺,永平寺
永平寺町,永平寺町
福田赳夫内閣・(改造),福田赳夫內閣·(改組)
日本原子力研究開発機構,日本原子能研究开发机构
インターコンチネンタルカップ・(サッカー)2003,2003年洲際盃
マウスプロモーション,Mausu·Promotion
奉行,奉行
自由民主党総裁選挙,自由民主黨總裁選舉
横浜ゴム,橫濱橡膠
上座,上座
トマス杯%26ユーバー杯2006,2006年汤姆斯杯和尤伯杯羽毛球赛
椥辻駅,椥辻站
八雲分屯基地,八雲分屯基地
足手荒神,足手荒神
日本の労働組合,日本工会
小島プロダクション,小岛工作室·(2005年—2015年)
アサヒ飲料,朝日飲料
建仁,建仁
東淀川駅,東淀川站
第63回NHK紅白歌合戦,第63回NHK紅白歌合戰
佐和山城,佐和山城
国民の祝日,日本公眾假期
東京音楽大学,東京音樂大學
承久,承久
伏見城,伏見城
十和田湖,十和田湖
公家,公家
東京メトロ日比谷線,日比谷線
ルネサスエレクトロニクス,瑞薩電子
五街道,五街道
田原町駅・(東京都),田原町站·(東京都)
JR京都線,JR京都線
My・Little・Lover,My·Little·Lover
佐賀大学,佐賀大學
川越線,川越線
琉球大学,琉球大學
本栖湖,本栖湖
東大阪市花園ラグビー場,東大阪市花園橄欖球場
琴平町,琴平町
MIHO・MUSEUM,美秀美術館
霞が関,霞關
