上皇后美智子,美智子上皇后
行尊,行尊
伊藤幸子・(ソフトボール),伊藤幸子
小林清親,小林清親
Reina・(歌手),Reina·(歌手)
凝然,凝然
田辺イエロウ,田邊伊衛郎
Nana・(歌手),Nana·(歌手)
小島幸子,小島幸子
橋幸夫,橋幸夫
音吉,山本音吉
白石ひとみ,白石瞳
平山郁夫,平山郁夫
早見優,早見優
Mina・(歌手),Mina·(歌手)
川崎元気,川崎元氣
瀬川誠,瀨川誠
西脇良平,西脇良平
東雲太郎,東雲太郎
中村玉緒,中村玉绪
竹内栖鳳,竹內棲鳳
杉村春子,杉村春子
橋本関雪,桥本关雪
橋本雅邦,橋本雅邦
吉田達磨,吉田達磨
鈴木淳・(1961年生のサッカー選手),鈴木淳
影山貴志,影山貴志
金本圭太,金本圭太
小林俊夫,小林俊夫
ちあきなおみ,千秋直美
村田ちひろ,村田千宏
メイリア,美依礼芽
山口智充,山口智充
徳川義宜,德川義宜
手倉森誠,手倉森誠
新谷真弓,新谷真弓
前田利為,前田利為
西村知美,西村知美
前田公輝,前田公輝
小関裕太,小關裕太
高橋郁哉,高橋郁哉
中山みき,中山美伎
成良親王,成良親王
森山大輔,森山大輔
納谷六朗,納谷六朗
高石勝男,高石胜男
中村千絵,中村千绘
長曽祢興里,長曾禰虎徹
名木田恵子,名木田惠子
三宅宏実,三宅宏实
平野早矢香,平野早矢香
大村純忠,大村純忠
承子女王,承子女王
高橋貞洋,高橋貞洋
矢野広美,矢野广美
秦豊助,秦豐助
吉田真理子,吉田真理子
横山樹理,横山树理
椿椿山,椿椿山
濱下武志,濱下武志
蜂須賀至鎮,蜂須賀至鎮
原田直次郎,原田直次郎
古賀春江,古賀春江
小山剛志,小山剛志
川島茉樹代,川島茉樹代
中山愛梨沙,中山愛梨沙
伊藤慎,伊藤慎
水野忠彦,水野忠彦
浜島裕英,滨岛裕英
木下優樹菜,木下優樹菜
鈴木保,鈴木保
平聡,平聰
安武亨,安武亨
遠藤孝弘,遠藤孝弘
木原均,木原均
土居明夫,土居明夫
中野主一,中野主一
中嶋朋子,中嶋朋子
和田正人,和田正人
星月まゆら,星月繭良
HIMA,HIMA
石川真,石川真
比志島義輝,比志島義輝
長谷川恒平,长谷川恒平
福嶋康博,福岛康博
吉田靖,吉田靖
千葉麗子,千葉麗子
KangNam,康男
上原康恒,上原康恒
石井米雄,石井米雄
山田親太朗,山田親太朗
荻野目洋子,荻野目洋子
前田米蔵,前田米藏
小川良成,小川良成
芦原義信,芦原义信
有馬頼寧,有马赖宁
福澤達哉,福澤達哉
吉川達哉,吉川達哉
戸田氏鉄,戶田氏鐵
戸田一西,戶田一西
緒方竹虎,緒方竹虎
徳川昭武,德川昭武
谷川徹三,谷川徹三
徳川宗尹,德川宗尹
徳川宗将,德川宗將
徳大寺実定,德大寺實定
徳川斉匡,德川齊匡
徳川慶勝,德川慶勝
徳川斉荘,德川齊莊
徳川重好,德川重好
比嘉久美子,比嘉久美子
上田栄治,上田榮治
塚本明正,塚本明正
嘉悦秀明,嘉悦秀明
成山裕治,成山裕治
水崎靖,水崎靖
加藤豪宏,加藤豪宏
外岡えりか,外岡好梨花
安田靫彦,安田靫彦
横田康景,橫田康景
大西貴,大西貴
片渕浩一郎,片渕浩一郎
大久保剛志,大久保剛志
田知本愛,田知本爱
桜賀めい,櫻賀明
中村祐造,中村祐造
徳富斌,德富斌
樋口時彦,樋口时彦
重信メイ,重信命
田島宏晃,田島宏晃
久保田陽,久保田陽
中村洋仁,中村洋仁
弘田三枝子,弘田三枝子
宮崎美子,宮崎美子
上野展裕,上野展裕
森次晃嗣,森次晃嗣
財前直見,財前直見
桜井浩子,樱井浩子
ひし美ゆり子,菱美百合子
高野八誠,高野八誠
永里亜紗乃,永里亞紗乃
井幡博康,井幡博康
高部聖,高部聖
吉田明博,吉田明博
長峯宏範,長峯宏範
新珠三千代,新珠三千代
豊田泰広,豐田泰廣
矢野マイケル,矢野迈克尔
冴島奈緒,冴島奈緒
志賀真理子,志賀真理子
吉永裕ノ介,吉永裕之介
小室友里,小室友里
真夏竜,真夏龙
藤村志保,藤村志保
伊武雅刀,伊武雅刀
花くまゆうさく,花隈勇作
菅野祐悟,菅野祐悟
中村佑介,中村佑介
星由里子,星由里子
鈴木雄介,鈴木雄介
足利成氏,足利成氏
宇多田照實,宇多田照實
足利基氏,足利基氏
山田昌弘,山田昌弘
中村茂・(連珠棋士),中村茂
足利満兼,足利滿兼
足利氏満,足利氏滿
武藤礼子,武藤禮子
松永一慶,松永一慶
中尾幸太郎,中尾幸太郎
平本大介,平本大介
高峰三枝子,高峰三枝子
石川三恵子,石川三惠子
池田浩美・(サッカー選手),池田浩美
竹元義幸,竹元義幸
綾野剛,綾野剛
山城新伍,山城新伍
久本雅美,久本雅美
佐伯祐三,佐伯祐三
吉田義勝,吉田义胜
小川博,小川博
前野霜一郎,前野光保
平徳子,平德子
竹内実,竹內實
安孫子充裕,安孫子充裕
大槻紘士,大槻紘士
松原浩樹,松原浩樹
佐々木仁・(サッカー選手),佐佐木仁
春名風花,春名風花
福本幸子,福本幸子
海野十三,海野十三
中山由起枝,中山由起枝
糸井嘉男,糸井嘉男
宮崎智彦,宮崎智彥
森田正馬,森田正马
安倍貞任,安倍貞任
本田翼,本田翼
川上音二郎,川上音二郎
野中政宏,野中政宏
大槻マキ,大槻真希
さとう珠緒,佐藤珠緒
伊藤蘭,伊藤兰
飯塚晴子,飯塚晴子
山本旭,山本旭
小峰由衣,小峰由衣
幸野善之,幸野善之
小林悠・(サッカー選手),小林悠·(足球運動員)
吉田好雄,吉田好雄
今川義忠,今川義忠
渡辺美奈代,渡邊美奈代
源雅信,源雅信
源兼昌,源兼昌
松原みき,松原美紀
竹田恆和,竹田恒和
松下容子,松下容子
真地勇志,真地勇志
望月優子,望月优子
古関裕而,古關裕而
祐子内親王家紀伊,祐子內親王家紀伊
大部由美,大部由美
秋吉久美子,秋吉久美子
桜塚やっくん,斋藤恭央
高橋惠子,高桥惠子
鶴見辰吾,鶴見辰吾
橋本さとし,橋本哲
斯波義統,斯波義統
山村博土,山村博土
新條宏喜,新條宏喜
大滝進矢,大瀧進矢
大津敏男,大津敏男
沖麻実也,沖麻實也
大谷喜久蔵,大谷喜久藏
小原正和,小原正和
本多重次,本多重次
太田薫,太田薰
小阪由佳,小阪有花
高部あい,高部愛
宮下ともみ,宫下友美
上原敏,上原敏
不動明,不动明
中村大樹,中村大樹
豊嶋真千子,豐嶋真千子
中村和美,中村和美
本多成重,本多成重
稲葉正成,稻葉正成
萩原麻由子,萩原麻由子
上村春樹,上村春树
坪倉唯子,坪倉唯子
高橋由美子,高橋由美子
風間ゆみ,風間由美
岩井由紀子,岩井由紀子
タケカワユキヒデ,武川行秀
吉原由起,吉原由起
岸野幸正,岸野幸正
鵜殿長照,鵜殿長照
大迫明伸,大迫明伸
小林研也,小林研也
斎藤環,齋藤環
水田直志,水田直志
水野直樹,水野直树
深雪さなえ,深雪早苗
森達也,森達也
エトオミユキ,永遠幸
盛厚王,盛厚王
斎藤茂吉,齋藤茂吉
岩崎元是,岩崎元是
富司純子,富司纯子
徳川宗睦,德川宗睦
早坂好恵,早坂好惠
松尾臣善,松尾臣善
鈴木友菜,鈴木友菜
山口一太郎,山口一太郎
江夏詩織,江夏詩織
林八郎,林八郎
大塚久雄,大塚久雄
大山康晴,大山康晴
平山紘一郎,平山纮一郎
藤田靖明,藤田靖明
ChouCho,ChouCho
范文雀,范文雀
一ノ関史郎,一之关史郎
TAO・(ファッションモデル),岡本多緒
祖堅正慶,祖坚正庆
山中教子,山中教子
安藤謙吉,安藤谦吉
竹田玄洋,竹田玄洋
平井一正・(重量挙げ選手),平井一正
高畑淳子,高畑淳子
島倉千代子,島倉千代子
西村登美江,西村登美江
難波多慧子,难波多慧子
山崎猛・(政治家),山崎猛·(政治人物)
楢原静,楢原静
高橋省子,高桥省子
純名里沙,純名里沙
鈴木茂三郎,鈴木茂三郎
原歩,原步
大山郁夫,大山郁夫
濱田美穂,滨田美穗
今野安子,今野安子
中達也,中達也
天野康景,天野康景
金子正明,金子正明
高力清長,高力清長
広田佐枝子,广田佐枝子
鷹司房子,鹰司房子
井口深雪,井口深雪
東原亜希,東原亞希
いのまたむつみ,豬股睦美
毛利秀就,毛利秀就
鍋島直正,鍋島直正
阿部正由,阿部正由
三原じゅん子,三原順子
永島敏行,永島敏行
雪村いづみ,雪村泉
前田玲奈,前田玲奈
十朱幸代,十朱幸代
土光敏夫,土光敏夫
富井政章,富井政章
児島惟謙,兒島惟謙
清川元夢,清川元夢
マリウス葉,葉成龍
一ノ瀬アメリ,一之瀨亞美莉
垣内友二,垣内友二
北出尚大,北出尚大
大久保貴広,大久保貴廣
後藤純二,後藤純二
大谷武大,大谷武大
植村修一,植村修一
福重良一,福重良一
中島礼司,中島禮司
西川周吾,西川周吾
大石玲,大石玲
真鍋和人,真锅和人
陳建民,陈建民·(厨师)
南弘,南弘
陳建一,陳建一
橘ひかり,橘光
石丸謙二郎,石丸謙二郎
徳川宗勝,德川宗勝
本宮ひろ志,本宫宏志
石原恒和,石原恆和
津野親忠,津野親忠
神林長平,神林長平
眞鍋淑郎,真鍋淑郎
香川親和,香川親和
長宗我部兼序,長宗我部兼序
徳川斉温,德川齊溫
オノ・ナツメ,小野夏芽
徳川斉朝,德川齊朝
熊谷直実,熊谷直實
坂本直子・(ソフトボール),坂本直子
吉川幸次郎,吉川幸次郎
二条斉信,二條齊信
二条吉忠,二條吉忠
二条綱平,二條綱平
二条道平,二條道平
西川瑞希,西川瑞希
二条良実,二條良實
朝海ひかる,朝海光
一青妙,一青妙
大楠道代,大楠道代
渋谷飛鳥,澀谷飛鳥
雛形あきこ,雛形明子
井上日召,井上日召
秋山和彦,秋山和彥
日高政光,日高政光
金子有希,金子有希
嵯峨空哉,嵯峨空哉
竹田敏浩,竹田敏浩
山本進悟,山本進悟
白鳥文平,白鳥文平
井上公平,井上公平
河合崇泰,河合崇泰
伊藤卓弥,伊藤卓弥
北原健二,北原健二
川合千春,川合千春
小野寺力・(野球),小野寺力
坂口力,坂口力
石黒千尋,石黑千尋
いわさきちひろ,岩崎知弘
中森智佳子,中森智佳子
藤原基衡,藤原基衡
鈴鹿千春,鈴鹿千春
手塚ちはる,手塚千春
港千尋,港千尋
武雄山喬義,武雄山喬義
ピコ・(歌手),Piko
小島職鎮,小島職鎮
中島千里,中島千里
芝原チヤコ,芝原千弥子
立野千代里,增地千代里
赤﨑千夏,赤崎千夏
千代白鵬大樹,千代白鵬大樹
樋口智恵子,樋口智惠子
辻知恵,辻知惠
中西千枝子,中西千枝子
池田千草,池田千草
神代知衣,神代知衣
沢口千恵,澤口千惠
小林賢太郎,小林贤太郎
南果歩,南果步
中村不折,中村不折
逸見政孝,逸見政孝
田中直樹・(お笑い芸人),田中直樹
榎本加奈子,榎本加奈子
喜屋武ちあき,喜屋武千秋
両澤千晶,兩澤千晶
大沢千秋,大澤千秋
戸田菜穂,戶田菜穗
前田ちあき,前田千亞紀
千葉周作,千葉周作
小林涼子,小林涼子
大林宣彦,大林宣彦
菅伸子,菅伸子
諏訪敦彦,諏訪敦彥
風間信彦,風間信彥
新田義興,新田義興
織田信友,織田信友
奥平忠政,奧平忠政
奥村政信,奧村政信
溝口紀子,沟口纪子
能阿弥,能阿弥
滝川英治,瀧川英治
植原卓也,植原卓也
やしきたかじん,家鋪隆仁
さくらまや,櫻真耶
小原裕貴・(1980年生のタレント),小原裕贵·(1980年)
柳原可奈子,柳原可奈子
和田雄三,和田雄三
森重達也,森重達也
緋賀ゆかり,緋賀由香理
水戸光子,水戶光子
峰不二子,峰不二子
会田我路,會田我路
松尾銀三,松尾銀三
武智文雄,武智文雄
式田高義,式田高義
小島藤子,小岛藤子
村田教生,村田教生
桜井孝司,櫻井孝司
兼本正光,兼本正光
島田周輔,島田周輔
醍醐冬基,醍醐冬基
穂積隆信,穗積隆信
とよた真帆,豐田真帆
山本政志,山本政志
花總まり,花總真理
市川治,市川治
山東昭子,山東昭子
黒木香,黑木香
小沢なつき,小泽夏希
佐藤康恵,佐藤康惠
東風万智子,東風萬智子
彩乃かなみ,彩乃加奈美
佐藤友昭,佐藤友昭
伊藤智仁,伊藤智仁
佐藤康弘,佐藤康弘
小林治・(1964年生のアニメ演出家),小林治·(插畫師)
三澤興一,三泽兴一
黒須隆,黑须隆
十河章浩,十河章浩
大島公一,大岛公一
森昌彦,森昌彦
西郷泰之,西乡泰之
若林重喜,若林重喜
桜場コハル,櫻場小春
コミネリサ,小峰理紗
富田靖子,富田靖子
山路和弘,山路和弘
諫山創,諫山創
林廣守,林廣守
里中満智子,里中满智子
大村喜前,大村喜前
あらいきよこ,新井清子
古谷三敏,古谷三敏
有楽彰展,有樂彰展
綾峰欄人,綾峰欄人
ジョージ秋山,喬治秋山
諸星大二郎,諸星大二郎
吉田大八・(映画監督),吉田大八
田中大二郎,田中大二郎
榎田大樹,榎田大樹
中川健藏,中川健藏
山本悍右,山本悍右
長連龍,長連龍
水森かおり,水森香織
鍵田忠兵衛,鍵田忠兵衛
中将姫,中將姬
本郷功次郎,本鄉功次郎
岡村長之助,岡村長之助
上村祐司,上村祐司
原田武一,原田武一
福留亮,福留亮
大翔山直樹,大翔山直树
DAISHI・DANCE,鈴木大士
岸田メル,岸田梅爾
佃賢典,佃賢典
川元正英,川元正英
吉見一星,吉見一星
水無月すう,水無月嵩
滝沢乃南,泷泽乃南
原康義,原康義
毒蝮三太夫,毒蝮三太夫
沢田聖子,澤田聖子
八千草薫,八千草薰
真下佐登史,真下佐登史
小島啓民,小岛启民
うえだひでひと,植田秀仁
大城美和,大城美和
塚野真樹,塚野真樹
岩渕有美,岩渊有美
徳永耕治,德永耕治
佐藤真一,佐藤真一
野島正弘,野岛正弘
森中聖雄,森中圣雄
三輪隆,三轮隆
坂口裕之,坂口裕之
西山一宇,西山一宇
高見泰範,高见泰范
大久保秀昭,大久保秀昭
川村丈夫,川村丈夫
杉浦正則,杉浦正则
中本浩,中本浩
西正文,西正文
近藤雅子,近藤雅子
中村大伸,中村大伸
半田百合子,半田百合子
三栗崇,三栗崇
佐々木節子,佐佐木节子
大古誠司,大古诚司
松村勝美,松村胜美
福中佐知子,福中佐知子
谷田絹子,谷田绢子
佐藤哲夫・(バレーボール),佐藤哲夫
渋木綾乃,涩木绫乃
松村好子,松村好子
横田忠義,横田忠义
河西昌枝,河西昌枝
小野仁,小野仁
チアキ・レイシー,千秋萊西
北沢洋,北澤洋
渡辺裕之,渡邊裕之
中村梅雀・(2代目),中村梅雀·(第二代)
北林谷栄,北林谷荣
横光克彦,橫光克彥
高樹沙耶,高樹沙耶
笹川ひろし,笹川浩
糸博,丝博
佐咲紗花,佐咲紗花
福冨博,福冨博
田中裕人,田中裕人
衛藤ヒロユキ,衛藤浩幸
飯野賢治,饭野贤治
関田裕,關田裕
岡本隆吾,岡本隆吾
河口真一,河口真一
庄司孝,庄司孝
嵜本晋輔,嵜本晉輔
吉成浩司,吉成浩司
大嶽真人,大嶽真人
和田潤,和田潤
新宅雅也,新宅永灯至
吉川京輔,吉川京輔
平時子,平時子
北沢欣浩,北泽欣浩
笠原洋子,笠原洋子
鈴木梅太郎,鈴木梅太郎
井上節子,井上节子
江口貴勅,江口貴敕
石田雅人,石田雅人
宇佐美大輔,宇佐美大輔
中井大介,中井大介
村川大介,村川大介
隆大介,隆大介
伊奈忠次,伊奈忠次
森下千里,森下千里
松平頼聰,松平賴聰
朝岡実嶺,朝岡實嶺
入山法子,入山法子
石橋杏奈,石桥杏奈
萩原健一,萩原健一
古田新太,古田新太
菅井きん,菅井琴
中川安奈,中川安奈
西城秀樹,西城秀樹
北大路欣也,北大路欣也
伊達晴宗,伊達晴宗
結城光流,結城光流
犬山イヌコ,犬山犬子
入江甚儀,入江甚儀
渡辺いっけい,渡边一慶
夏目理緒,夏目理緒
園田直,園田直
大原崇,大原崇
山井大介,山井大介
中本健太郎,中本健太郎
尾野真千子,尾野真千子
河原和音,河原和音
田中圭,田中圭
椎名軽穂,椎名輕穗
藤田和子,藤田和子
伊藤和典,伊藤和典
富田一雄,富田一雄
熊切和嘉,熊切和嘉
夕輝壽太,夕輝壽太
大西順子・(競泳選手),大西顺子
霜月かいり,霜月灰吏
野津田岳人,野津田岳人
KEI・(イラストレーター),KEI·(插畫家)
岡本真理子,岡本真理子
松谷みよ子,松谷美代子
家入レオ,家入里歐
成田郁久美,成田郁久美
ふくい舞,福井舞
高橋真麻,高橋真麻
賀集利樹,賀集利樹
後藤圭二,後藤圭二
清水啓吾,清水啓吾
富永仲基,富永仲基
浅尾美和,淺尾美和
前田亜紀・(歌手),前田亞紀
安井邦彦,安井邦彥
伊東岳彦,伊東岳彥
大内義弘,大內義弘
富沢ひとし,富澤人志
義村朝義,义村朝义
鏡遊,鏡遊
立花陽香,立花陽香
飯田高子,饭田高子
小林祐希,小林祐希
窪田康志,窪田康志
浅田信興,浅田信兴
大川ミサヲ,大川美佐緒
梅原猛,梅原猛
馬飼野康二,马饲野康二
開田幸一,开田幸一
板垣公一,板垣公一
宇津井健,宇津井健
鈴木浩介・(俳優),铃木浩介·(演员)
未唯mie,未唯mie
下村宏,下村宏
鹿野忠雄,鹿野忠雄
沼倉愛美,沼倉愛美
鷲尾真知子,鷲尾真知子
真柴摩利,真柴摩利
宝生舞,寶生舞
千々岩助太郎,千千岩助太郎
渡辺はま子,渡边滨子
福井誠・(競泳選手),福井诚
いしのようこ,石野陽子
橘田いずみ,橘田泉
鹿賀丈史,鹿賀丈史
平泉成,平泉成
湊かなえ,湊佳苗
今井メロ,今井梦露
芹那,芹那
貫地谷しほり,貫地谷栞
黒谷友香,黑谷友香
樹村みのり,樹村穗
相澤仁美,相澤仁美
忽那汐里,忽那汐里
桜庭一樹,櫻庭一樹
森陽一,森陽一
西川吉英,西川吉英
山村泰弘,山村泰弘
渡辺佳孝,渡邊佳孝
入来智,入來智
大谷翔平,大谷翔平
森口尚史,森口尚史
京本大我,京本大我
山本由松,山本由松
西本智実,西本智实
石橋凌,石桥凌
笹森儀助,笹森儀助
千代の山雅信,千代之山雅信
男女ノ川登三,男女之川登三
池沢理美,池澤理美
辻横由佳,辻横由佳
中嶋聡彦,中嶋聰彥
松原忠明,松原忠明
三上哲,三上哲
斉藤貴子,齐藤贵子
築山殿,築山殿
今川泰宏,今川泰宏
白洲次郎,白洲次郎
田辺和彦,田邊和彥
常盤光長,常盘光长
森一生,森一生
楢崎教子,楢崎教子
日野富子,日野富子
日下部基栄,日下部基荣
山下まゆみ,山下麻由美
山田ふしぎ,山田伏木
三雲岳斗,三雲岳斗
佐本二厘,佐本二厘
宮尾岳,宮尾岳
桜井眞一郎,樱井真一郎
松井冬子,松井冬子
不破光治,不破光治
橋本岳,橋本岳
二子岳武,二子岳武
伏見宮博明王,伏見宮博明王
円城塔,圓城塔
米原幸佑,米原幸佑
バーンズ勇気,伯恩斯·勇氣
烏丸せつこ,乌丸节子
千葉一磨,千葉一磨
太田裕美,太田裕美
遠野あすか,遠野Asuka
久世星佳,久世星佳
研ナオコ,研直子
たかね吹々己,高嶺ふぶき
谷岡久美,谷岡久美
まりか,茉莉香
猪口力平,豬口力平
浜崎りお,濱崎里緒
和葉みれい,春川真央
上條倫子,上條倫子
朝樹りさ,朝樹里沙
板谷由夏,板谷由夏
神楽坂恵,神樂坂惠
金美齢,金美齡
市川雅敏,市川雅敏
黒田東彦,黑田東彥
細川澄元,細川澄元
伊達稙宗,伊達稙宗
伊達綱村,伊達綱村
浅田葉子,淺田葉子
日村勇紀,日村勇紀
中尾美樹,中尾美树
明貴美加,明貴美加
永島謙二郎,永島謙二郎
渡辺宙明,渡邊宙明
萩原美樹子,萩原美树子
ならはしみき,楢橋美紀
井本直歩子,井本直步子
越野忠則,越野忠则
境宗久,境宗久
境川浪右衛門,境川浪右衛門
旭天山武,旭天山武
貴闘力忠茂,貴鬥力忠茂
大谷佐知子,大谷佐知子
細萱戊子郎,細萱戊子郎
若林直美,若林直美
堀内岩雄,堀内岩雄
永田克彦,永田克彦
源純夏,源纯夏
園田勇,园田勇
藤本英男,藤本英男
阿武松緑之助,阿武松綠之助
大橋穣,大橋穰
阿部八郎,阿部八郎
木樽正明,木樽正明
釜田佳直,釜田佳直
蒲生秀行・(侍従),蒲生秀行
田川寿美,田川壽美
羽毛田丈史,羽毛田丈史
朝倉あき,朝倉禮生
高島雅羅,高島雅羅
菊池風磨,菊池風磨
水野英多,水野英多
岡野栄太郎,冈野荣太郎
松谷卓,松谷卓
ブリドカットセーラ恵美,布萊德庫特·莎拉·惠美
藤東知夏,藤東知夏
立川志の輔,立川志之輔
黒田重徳,黑田重德
田中信夫,田中信夫
西国原礼子,西國原禮子
矢数道明,矢數道明
良寛,良宽
水戸岡鋭治,水戶岡銳治
内田達也,內田達也
渡部秀,渡部秀
荒尾興功,荒尾兴功
菅沼栄治,菅沼荣治
本因坊伯元,本因坊伯元
中村祐人,中村祐人
富樫美鈴,富樫美鈴
實松一成,實松一成
桜ここみ,櫻心美
倖田李梨,倖田李梨
藤井シェリー,藤井雪莉
岡崎能士,岡崎能士
菅沼駿哉,菅沼駿哉
田口泰士,田口泰士
出羽ノ花國市,出羽乃花國市
中島かずき,中島一基
花見沢Q太郎,花見澤Q太郎
雅成親王,雅成親王
道助入道親王,道助入道親王
前塚あつし,前塚厚志
真境名安興,真境名安興
渡辺えり,渡邊惠里
香取環,香取環
土居義典,土居義典
牧田和久,牧田和久
丹羽宇一郎,丹羽宇一郎
紫吹淳,紫吹淳
坂本武久,坂本武久
古島清人,古島清人
曽野綾子,曾野綾子
澤田博之,澤田博之
大山直大,大山直大
昌子源,昌子源
中谷元,中谷元
藤田光孝,藤田光孝
山本覚馬,山本觉马
本因坊秀悦,本因坊秀悅
めぐり・(AV女優),藤浦惠
土居章助,土居章助
清水規矩,清水規矩
佐々木喜英,佐佐木喜英
和知鷹二,和知鷹二
宇佐美友紀,宇佐美友紀
野上亮磨,野上亮磨
高岡宗泰,高岡宗泰
田邉草民,田邊草民
二宮和弘,二宫和弘
中澤さえ,中泽纱衣
土岐善麿,土岐善麿
浅井恵倫,淺井惠倫
大瀧詠一,大泷咏一
三宅麻理恵,三宅麻理惠
佐々木舜一,佐佐木舜一
吉田潔,吉田潔
上条政繁,上條政繁
三上枝織,三上枝織
杉本栄一,杉本荣一
丸山詠二,丸山詠二
板東英二,板東英二
林陵平,林陵平
藤田直之,藤田直之
石橋正二郎,石橋正二郎
大島僚太,大島僚太
鳩山安子,鸠山安子
遠藤一彦,遠藤一彥
加藤光泰,加藤光泰
寺崎裕香,寺崎裕香
上田三四二,上田三四二
川村竹治,川村竹治
村田寛奈,村田寬奈
日秀尼,瑞龍院
石塚英蔵,石塚英藏
長谷川清,長谷川清
鳩山秀夫,鳩山秀夫
太田政弘,太田政弘
大友義統,大友義統
郭源治,郭源治
橋本良亮,橋本良亮
福原耕平,福原耕平
渡名喜元完,渡名喜元完
吉田小南美,吉田小南美
小玉晃,小玉晃
高梁碧,高梁碧
山口祐司・(アニメーション監督),山口祐司·(動畫導演)
小池知己,小池知己
炭谷銀仁朗,炭谷銀仁朗
山縣伊三郎,山縣伊三郎
鏑木享,鏑木享
木梨憲武,木梨憲武
北川博敏,北川博敏
穴井千尋,穴井千尋
桐谷健太,桐谷健太
藤原清衡,藤原清衡
大野緑一郎,大野綠一郎
大和田伸也,大和田伸也
新川優愛,新川優愛
近衛尚子,近衛尚子
羽黒山政司,羽黑山政司
佐々木すみ江,佐佐木澄江
田中武雄・(拓務官僚),田中武雄·(拓務官僚)
江守徹,江守徹
高木守道,高木守道
岡安肇,岡安肇
渡辺はじめ,渡邊一
高野源進,高野源進
嶋木あこ,嶋木明子
山地元治,山地元治
和泉かねよし,和泉兼好
近衛前子,近衛前子
ローラ・チャン,陈怡·(艺人)
小林眞紀,小林真紀
井上敏樹,井上敏樹
アミノテツロー,網野哲郎
川元利浩,川元利浩
杉本哲太,杉本哲太
雪室俊一,雪室俊一
Syu・(ギタリスト),Syu
佐野史郎,佐野史郎
坂本眞一・(漫画家),坂本真一
真田信繁,真田信繁
松田悟志,松田悟志
一石小百合,一石小百合
田中聡子,田中聪子
根岸誠一,根岸誠一
宮平保,宫平保
池田繁美,池田繁美
吉川貴久,吉川贵久
伊藤晴雨,伊藤晴雨
亀姫・(徳川家康長女),龜姬·(德川家康長女)
山本耕史,山本耕史
安藤勝己,安藤勝己
林京子,林京子
山下百合恵,山下百合惠
川原慶久,川原慶久
畑中武夫,畑中武夫
飯田利信,飯田利信
原田勝弘・(ゲームクリエイター),原田勝弘
宮田俊哉,宮田俊哉
内野聖陽,內野聖陽
室園丈裕,室園丈裕
濱野純,濱野純
生田竜聖,生田龍聖
木村哲昌,木村哲昌
藤原務,藤原務
安倍夜郎,安倍夜郎
松岡政保,松岡政保
土田俊郎,土田俊郎
屋良朝苗,屋良朝苗
平井理央,平井理央
大田政作,大田政作
比嘉秀平,比嘉秀平
瀬長亀次郎,瀨長龜次郎
椎名豪,椎名豪
荒井政雄,荒井政雄
野村義一,野村義一
豪栄道豪太郎,豪榮道豪太郎
速水御舟,速水御舟
雑破業,雜破業
ぷよ・(漫画家),Puyo·(漫畫家)
荻野可鈴,荻野可鈴
手塚勝巳,手塚勝巳
藤原夏姫,藤原夏姬
田村睦心,田村睦心
橘U子,橘U子
細井治,細井治
岩合光昭,岩合光昭
足立正生,足立正生
閑院宮典仁親王,閑院宮典仁親王
鶴岡慎也,鶴岡慎也
新垣樽助,新垣樽助
お登勢,登勢
ニーコ,NEEKO
陣内智則,阵内智则
台与,臺與
高橋朱里,高橋朱里
池井戸潤,池井户润
北川悦吏子,北川悅吏子
桐原エリカ,桐原绘里香
岩松了,岩松了
森保まどか,森保圓
成島出,成島出
浅見れいな,淺見麗奈
桜井敏治,櫻井敏治
亮子内親王,亮子內親王
佐野忠義,佐野忠義
雪乃紗衣,雪乃紗衣
岡田斗司夫,岡田斗司夫
花井メイサ,花井美沙
加治前竜一,加治前龍一
藤田淳平,藤田淳平
小泉深雪,小泉深雪
立花芳夫,立花芳夫
小島烏水,小島鳥水
七草まつり,茉莉桃
羽鳥靖子,羽鳥靖子
大達茂雄,大達茂雄
菅良幸,菅良幸
奥村幸大,奥村幸大
和深ゆあな,和深柚有菜
百瀬義行,百瀨義行
大田実,大田實
大田昌秀,大田昌秀
漢那憲和,漢那憲和
西銘順治,西銘順治
島田叡,島田叡
平良幸市,平良幸市
泉守紀,泉守紀
稲嶺惠一,稻嶺惠一
安里積千代,安里積千代
土井正博,土井正博
平田弥里,平田弥里
林勇・(声優),林勇·(日本)
中尾明慶,中尾明慶
葉加瀬太郎,叶加濑太郎
井上良馨,井上良馨
伊集院五郎,伊集院五郎
中馬庚,中馬庚
堀田勝,堀田勝
森且行,森且行
金田一春彦,金田一春彦
藤岡信勝,藤岡信勝
吉川春子,吉川春子
小原雅博,小原雅博
春菜はな,春菜華
根本はるみ,根本晴美
後藤光尊,後藤光尊
月光院,月光院
築地俊彦,築地俊彥
順性院,順性院
駒田徳広,駒田德廣
高殿円,高殿圓
上田晋也,上田晉也
佐藤正久,佐藤正久
四季童子,四季童子
藤真拓哉,藤真拓哉
KONAN,KONAN
結賀さとる,結賀理
加藤雅美,加藤雅美
近衛熙子,天英院
徳本英一郎,德本英一郎
大木亜希子,亞希子
渡瀬草一郎,渡瀨草一郎
新井耕吉郎,新井耕吉郎
屋良朝助,屋良朝助
位田愛,位田愛
早船愛子,早船愛子
大山未希,大山未希
竹内由恵,竹內由惠
村井秀夫,村井秀夫
春日俊彰,春日俊彰
青葉りんご,青葉林檎
並木優,並木優
小野卓志,小野卓志
