Portugal,葡萄牙
Vilar do Monte (Macedo de Cavaleiros),维拉尔杜蒙蒂·(马塞杜-迪卡瓦莱鲁什)
Rio de Onor,里奥-迪奥努尔
Alvaredos,阿尔瓦雷杜什
Rio Frio (Bragança),里奥弗里乌·(布拉干萨)
Futebol Clube do Porto B,波圖足球會B隊
Portugal nos Jogos Olímpicos de Verão de 2016,2016年夏季奧林匹克運動會葡萄牙代表團
Santuário do Bom Jesus do Monte,山上仁慈耶稣朝圣所
Portugal nos Jogos Paralímpicos de Verão de 2008,2008年夏季殘疾人奧林匹克運動會葡萄牙代表團
Relações entre Portugal e Ucrânia,葡萄牙—烏克蘭關係
Relações entre Estados Unidos e Portugal,葡萄牙—美國關係
Ordem dos Advogados Portugueses,葡萄牙律師公會
Relações entre Portugal e Reino Unido,葡萄牙—英國關係
Palácio da Independência,独立宫·(里斯本)
São Mamede do Coronado,圣马梅迪-迪科罗纳杜
Vila Cova de Carros,卡鲁什科瓦镇
Souto da Velha,索图-达韦利亚
Vila Boa de Ousilhão,奥西良博阿镇
Constantim (Miranda do Douro),康斯坦丁·(杜罗河畔米兰达)
Sendim (Miranda do Douro),森迪姆
Santiago Maior (Alandroal),圣地亚哥迈奥尔
Caldas de São Jorge,卡尔达什-迪圣若热
Sismo de Lisboa de 1531,1531年里斯本大地震
ISCTE – Instituto Universitário de Lisboa,里斯本大學學院
Primaz da Espanha,諸西班牙教長
Eleições legislativas portuguesas de 1934,1934年葡萄牙立法選舉
Estação Ferroviária de Vilar Formoso,維拉爾福莫索車站
Ministério da Defesa Nacional,葡萄牙国防部
Ribeira de Odeleite,奥德莱蒂河
Cartaz (licença),卡特茲
Canedo (Santa Maria da Feira),卡内杜·(圣玛丽亚-达费拉)
Lobão (Santa Maria da Feira),洛邦·(圣玛丽亚-达费拉)
Ministério da Administração Interna,葡萄牙內政部
Ministério da Saúde (Portugal),葡萄牙衛生部
Nacionalidade portuguesa,葡萄牙國籍法
Vila Fernando (Elvas),费尔南多镇·(埃尔瓦什)
Vila Maior (Santa Maria da Feira),马约尔镇·(圣玛丽亚-达费拉)
RTP Internacional,葡萄牙广播电视台国际频道
Alcáçova (Elvas),阿尔卡索瓦
Quirás,吉拉什
Ministério Público (Portugal),檢察院·(葡萄牙)
Combate de Redinha,雷迪尼亞戰役
Praia de Benagil,贝纳吉尔
Vale Frechoso,瓦莱-弗雷绍苏
Paços de Brandão,帕苏什-迪布兰当
Assembleia Legislativa da Madeira,马德拉立法议会
Várzea (Arouca),瓦尔泽亚·(阿罗卡)
Mogofores,莫戈福里什
Série 1900 da CP,葡萄牙铁路1900型柴油机车
Série 1930 da CP,葡萄牙铁路1930型柴油机车
Portugal Continental,葡萄牙本土
Regiões autónomas de Portugal,自治区·(葡萄牙)
Praça da Ribeira (Porto),里贝拉广场
São João de Ver,圣若昂-迪韦尔
Desporto em Portugal,葡萄牙體育
Serra do Caldeirão,卡尔代朗山脉
Palácio do Raio,拉里奧宮
Grupo de Operações Especiais (Portugal),特别行动组·(葡萄牙)
São Martinho da Gândara,圣马蒂纽-达甘达拉
Amieira do Tejo,特茹河畔阿米埃拉
Mértola (freguesia),梅尔托拉
São Vicente de Pereira Jusã,圣维森特-迪佩雷拉茹桑
Reguenga,雷根加
Murtosa,穆尔托萨·(葡萄牙堂区)
Talhadas,塔利亚达什
Macinhata da Seixa,马西尼亚塔-达塞沙
São João Batista (Campo Maior),圣若昂巴普蒂斯塔·(坎普马约尔)
São Bartolomeu (Borba),圣巴托洛梅乌·(博尔巴)
Serra de Montejunto,莫泰君多山
Praça de Mouzinho de Albuquerque (Porto),莫西尼奥·阿尔伯克基广场
Casa do Sport Lisboa e Benfica em Macau,澳門賓菲加體育會
Sporting Clube de Braga B,布拉加體育會B隊
Sport Lisboa e Benfica B,賓菲加體育B隊
Aguim,阿金·(葡萄牙)
Terena (Alandroal),特雷纳·(圣佩德罗)
Fermelã,费尔梅朗
São Lourenço do Bairro,圣洛伦索-杜拜鲁
Recarei,雷卡雷
São Miguel de Souto (Santa Maria da Feira),索图·(圣玛丽亚-达费拉)
Escapães,埃斯卡庞伊什
Santuário do Sameiro,萨梅罗朝圣所
Vaiamonte,瓦亚蒙蒂
Caia e São Pedro,卡亚和圣佩德罗
Assumar,阿苏马尔
Ossela,奥塞拉
Cedrim,塞德林
Igreja de Santo António de Lisboa,圣安多尼堂·(里斯本)
Pigeiros,皮热鲁什
Castelo de Leiria,萊里亞城堡
Igreja de Santa Luzia (Lisboa),圣路济亚堂·(里斯本)
Igreja de São Domingos (Vila Real),雷阿爾城主教座堂·(葡萄牙)
Igreja de Santo Estêvão (Lisboa),圣斯德望堂·(里斯本)
Sousel,索西爾
Estação ferroviária de Valença,瓦倫薩車站
Arraiolos (freguesia),阿拉约卢什·(堂区)
Vilarinho do Bairro,维拉里纽-杜拜鲁
Margem (Gavião),马尔任·(加维昂)
Canelas (Estarreja),卡内拉什·(埃斯塔雷雅)
Óis do Bairro,奥伊什-杜拜鲁
Avelãs de Cima,阿韦朗什-迪锡马
Albergaria da Serra,阿尔贝加里亚-达塞拉
Azores Airlines,亞速爾群島航空
São Martinho das Amoreiras,圣马蒂纽-达什阿莫雷拉什
São Brás e São Lourenço,圣布拉什和圣洛伦苏
Algarve Cup de 2013,2013年阿爾加維盃
Rifte da Terceira,特塞拉裂谷
Sinagoga de Tomar,托馬爾猶太會堂
Reguengo (Portalegre),雷根古
Veiros (Estarreja),韦鲁什·(埃斯塔雷雅)
Rocas do Vouga,罗卡什-杜沃加
Relações entre a Índia e Portugal,印度—葡萄牙關係
Alegrete (Portalegre),阿莱格雷蒂·(波塔莱格雷)
Casais (Lousada),卡赛什·(洛萨达)
Janarde,雅纳尔迪
Ancas,安卡斯
Urra,乌拉·(葡萄牙)
Nogueira do Cravo (Oliveira de Azeméis),诺盖拉-杜克拉武·(奥利韦拉-迪阿泽梅什)
Fermedo,费尔梅杜
Cacia,卡西亚·(葡萄牙)
Avante Camarada,前进，同志！
Movimento Alternativa Socialista,社会主义替代运动
Copa Europeia/Sul-Americana de 2004,2004年洲際盃
Torrados,托拉杜什
Penhas da Saúde,佩尼亞什達紹迪
Santa Cristina do Couto,圣克里斯蒂娜-杜科图
Algosinho,阿尔戈西纽
Vale de Açor,瓦莱-迪阿索尔
Distritos de Portugal,区·(葡萄牙)
Parque Natural da Arrábida,阿拉比達自然公園
Palhaça,帕利亚萨
Santo Amaro (Sousel),圣阿马鲁·(索西尔)
Santo Aleixo da Restauração,圣阿莱舒-达雷斯陶拉桑
Vilar de Andorinho,维拉尔-迪安多里纽
São Pedro da Afurada,圣佩德罗-达阿富拉达
Burgo (Arouca),布尔古·(阿罗卡)
Fortios,福尔蒂乌什
Vairão,瓦伊朗
Pessegueiro do Vouga,佩塞盖鲁-杜沃加
Vila Flor (freguesia),维拉弗洛尔·(教区)
Unhão,乌尼扬
Estádio da Luz,盧斯球場
Cabeço de Vide,卡贝苏-迪维迪
Nogueira (Lousada),诺盖拉·(洛萨达)
Santa Maria da Devesa,圣玛丽亚-达德韦萨
São Brás dos Matos (Mina do Bugalho),圣布拉什-杜斯马图什·(米纳-杜布加柳)
Póvoa de São Miguel,波瓦-迪圣米格尔
Pinheiro da Bemposta,皮涅鲁-达本波斯塔
Covelo de Paivó,科韦卢-迪派沃
Tamengos,塔门戈什
São Matias (Nisa),圣马蒂亚什·(尼萨)
Farol de Aveiro,阿威罗灯塔
Voo Martinair 495,馬丁航空495號班機空難
Mansores,曼索里什
Amoreira da Gândara,阿莫雷拉-达甘达拉
Matriz (Borba),马特里什
Aldeia da Mata,马塔村
São Vicente e Ventosa,圣维森特和文托萨
Fajões,法容伊什
Nariz (Aveiro),纳里什·(阿威罗)
Pardilhó,帕尔迪略
Túmulo do Soldado Desconhecido (Portugal),無名戰士墓·(葡萄牙)
Palácio de Monserrate,蒙塞拉特宫
Palácio do Freixo,弗雷舒宮
Vimieiro (Arraiolos),维米埃鲁·(阿拉约卢什)
Santiago Maior (Castelo de Vide),圣地亚哥迈奥尔·(维迪堡)
Corgo (Celorico de Basto),科尔戈·(葡萄牙堂区)
São Lourenço (Portalegre),圣洛伦索·(波塔莱格雷)
Macieira de Cambra,马西埃拉-迪坎布拉
Cabreiros (Arouca),卡布雷鲁什·(阿罗卡)
São Saturnino (freguesia),圣萨图尼努
Macieira de Sarnes,马西埃拉-迪萨尼什
Casa do Penedo,石头屋
Terrugem (Elvas),特鲁任·(埃尔瓦什)
Gafanha da Boa Hora,加法尼亚-达博阿奥拉
São Pedro de Castelões,圣佩德罗-迪卡斯特朗伊什
Espinho (freguesia),埃斯皮纽·(葡萄牙堂区)
Flor da Rosa,弗卢尔-达罗萨
Monforte (freguesia),蒙福尔蒂·(葡萄牙堂区)
Ponte de Vagos,蓬蒂-迪瓦古什
Santo André de Vagos,圣安德烈-迪瓦古什
Castelões (Vila Nova de Famalicão),卡斯特隆伊什·(法马利康新镇)
Nossa Senhora da Conceição (Alandroal),康塞桑圣母城
Covão do Lobo,科旺-杜洛布
Silva Escura (Sever do Vouga),锡尔瓦埃斯库拉·(塞维尔-杜沃加)
Vila Nova de Monsarros,蒙萨鲁什新镇
Belver (Gavião),贝尔韦尔
Nossa Senhora de Fátima (Aveiro),法蒂马圣母城·(阿威罗)
Ferreira do Alentejo (freguesia),费雷拉-杜阿连特如
Paradela (Sever do Vouga),帕拉德拉·(塞维尔-杜沃加)
Santo Tirso (freguesia),圣蒂尔苏·(葡萄牙堂区)
Ventosa do Bairro,文托萨-杜拜鲁
Canelas (Arouca),卡内拉什·(阿罗卡)
Escariz (Arouca),埃斯卡里斯·(阿罗卡)
Ul,乌尔·(葡萄牙)
Árvore (Vila do Conde),阿尔沃里·(孔迪镇)
Alvarenga (Arouca),阿尔瓦伦加·(阿罗卡)
Eirol,埃鲁尔
Valadares (Vila Nova de Gaia),瓦拉达里什·(加亚新城)
Sendas (Bragança),森达什
Casal Comba,卡萨尔孔巴
Mesquita Central de Lisboa,里斯本中央清真寺
Batalha Naval de Vila Franca,蓬塔德爾加達海戰
Sinagoga Shaaré Tikva,里斯本猶太會堂
Santa Eulália (Elvas),圣欧拉利娅·(埃尔瓦什)
Sangalhos,桑加柳什
Seroa,塞罗阿
São Roque (Oliveira de Azeméis),圣罗克·(奥利韦拉-迪阿泽梅什)
Vacariça,瓦卡里萨
Estação Ferroviária de Viana do Castelo,維亞納堡車站
Praça da Liberdade (Porto),自由广场·(波尔图)
Assembleia Legislativa dos Açores,亚速尔立法议会
Dornelas (Sever do Vouga),多尔内拉什·(塞维尔-杜沃加)
Codeçoso,科德索索
Soza,索萨·(阿威罗区)
Macieira (Lousada),马西埃拉·(洛萨达)
Vila Cova da Lixa,利沙科瓦镇
Santana (Nisa),圣安娜·(尼萨)
Crato e Mártires,克拉图和马尔蒂里什
Pindelo,平德卢
Monte da Pedra,蒙蒂-达佩德拉
Esgueira,埃什盖拉
Sé de Portalegre,波塔萊格雷主教座堂
Arez (Nisa),阿雷什
Moldes (Arouca),莫尔迪什
Avis (freguesia),阿维斯·(葡萄牙堂区)
Matosinhos (freguesia),马托西纽什·(葡萄牙堂区)
São João Batista (Castelo de Vide),圣若昂巴普蒂斯塔·(维迪堡)
Tolosa (Nisa),托洛萨·(尼萨)
Nossa Senhora da Graça de Póvoa e Meadas,格拉萨圣母城-迪波沃阿和梅阿达什
Cortegaça (Ovar),科尔特加萨·(奥瓦尔)
Amieira (Portel),阿米埃拉
Moita (Anadia),莫伊塔·(阿纳迪亚)
Comenda (Gavião),科门达·(加维昂)
Cartão de cidadão,葡萄牙公民證
Motim 1-2-3,一二·三事件
Vila Cova de Perrinho,佩里纽科瓦镇
Avelãs de Caminho,阿韦朗什-迪卡米纽
Póvoa de Varzim (freguesia),波瓦-迪瓦尔津·(葡萄牙堂区)
Casa Branca (Sousel),卡萨布兰卡·(索西尔)
Santa Joana (Aveiro),圣若阿纳·(阿威罗)
Paços de Ferreira (freguesia),帕苏什-迪费雷拉·(葡萄牙堂区)
Requeixo,雷凯舒
Viana do Alentejo (freguesia),维亚纳-杜阿连特茹·(堂区)
Aveleda (Lousada),阿韦莱达·(洛萨达)
Boim (Lousada),博因·(洛萨达)
Carregosa,卡雷戈萨
Calvão (Vagos),卡尔旺·(瓦戈什)
Varziela,瓦尔齐埃拉
Ovar (freguesia),奥瓦尔·(葡萄牙堂区)
Galveias,加尔韦亚什
Arada (Ovar),阿拉达·(奥瓦尔)
Santo António das Areias,圣安东尼奥-达什阿雷亚什
Atalaia (Gavião),阿塔拉亚·(加维昂)
Tropeço,特罗佩苏
Rio de Moinhos (Borba),里奥-迪莫伊纽什
Alter do Chão (freguesia),阿尔特杜尚·(葡萄牙堂区)
Gafanha do Carmo,加法尼亚-杜卡尔穆
Vera Cruz (Aveiro),韦拉克鲁什·(阿威罗)
Foros de Arrão,福鲁什-迪阿朗
Cristelos,克里斯特卢什
Carreiras (Portalegre),卡雷拉什
Santa Catarina (Vagos),圣卡塔琳娜·(瓦古什)
Montalvão,蒙塔尔旺
São Salvador da Aramenha,圣萨尔瓦多-达阿拉梅尼亚
Torre de Moncorvo (freguesia),托里-迪蒙科尔武·(葡萄牙堂区)
Sousel (freguesia),索塞尔·(葡萄牙堂区)
Salreu,萨尔雷乌
Clube Atlético dos Arcos - Associação Desportiva,華迪維斯體育會
Troviscal (Oliveira do Bairro),特罗维什卡尔·(奥利韦拉-杜拜鲁)
Vimioso (freguesia),维米奥苏·(葡萄牙堂区)
Oiã,奥扬
Canidelo (Vila Nova de Gaia),卡尼德卢·(加亚新城)
Vale do Peso,瓦莱-杜佩苏
Orada,奥拉达
Ponte de Sor (freguesia),蓬蒂-迪苏尔·(葡萄牙堂区)
Vila Boim,博因镇
Covas (Lousada),科瓦什·(洛萨达)
São Julião (Portalegre),圣茹利昂·(波塔莱格雷)
Oliveirinha,奥利韦里尼亚
Mealhada (freguesia),梅阿利亚达·(葡萄牙堂区)
Lodares,洛达里什
Montargil,蒙塔尔吉尔
Tramaga,特拉马加
Nossa Senhora da Graça (Nisa),格拉萨圣母城·(尼萨)
Palmaz,帕尔马斯·(葡萄牙堂区)
Estação Ferroviária de Braga,布拉加车站
Basílica dos Congregados,康格里加多斯圣殿
Faculdade de Ciências e Tecnologia da Universidade de Coimbra,哥英布拉大學科技學院
Estoril Sol,埃什托里爾博彩
Grupo Sportivo de Loures,洛里什體育會
Douro (província),杜罗省
Forte de Nossa Senhora da Graça,格拉薩聖母堡
Campo dos Mártires da Pátria,国家烈士广场
Ministro dos Assuntos Parlamentares,葡萄牙議會事務部
Igreja de Miranda do Douro,杜羅河畔米蘭達主教座堂
Ministério das Colónias,葡萄牙藩政部
Rio Azibo,阿茲博河
Relações entre Portugal e Uruguai,葡萄牙—烏拉圭關係
Eleições presidenciais portuguesas de 1965,1965年葡萄牙總統選舉
Portugal nos Jogos Olímpicos de Inverno de 2014,2014年冬季奧林匹克運動會葡萄牙代表團
Santuário Diocesano do Sagrado Coração de Jesus (Viana do Castelo),聖露西亞聖殿
Museu CR7,CR7博物館
Requisitos de visto para cidadãos portugueses,葡萄牙公民簽證要求
Eleições legislativas portuguesas de 2015,2015年葡萄牙立法選舉
Sé (Bragança),塞镇·(布拉干萨)
Penafiel (freguesia),佩纳菲耶尔·(葡萄牙堂区)
Sete maravilhas de origem portuguesa no mundo,世界七大源自葡萄牙的奇蹟
Eleições presidenciais portuguesas de 1951,1951年葡萄牙總統選舉
Eleições presidenciais portuguesas de 1935,1935年葡萄牙总统选举
Eleições presidenciais portuguesas de 1942,1942年葡萄牙总统选举
Livre (partido político),自由·(政党)
Web Summit,网络峰会
Relações entre Bangladesh e Portugal,孟加拉国—葡萄牙关系
Segunda Liga de 2014–15,2014/15球季葡葡牙甲組足球聯賽
Rivalidade Cristiano Ronaldo–Messi,梅罗之争
Fundação Oriente,東方基金會
Palácio das Necessidades,内塞西达迪什宫
Relações entre Japão e Portugal,日本—葡萄牙关系
ATP de Estoril,埃什托里尔网球公开赛
Primeira Liga de 2014–15,2014/15球季葡萄牙超級足球聯賽
Revolta dos Faitiões,十·八慘案
Eleições presidenciais portuguesas de 1928,1928年葡萄牙总统选举
Campeonato de Portugal (liga),葡萄牙足球錦標聯賽
Ilha de Porto Santo,圣港岛
Museu do Centro Científico e Cultural de Macau,澳门科技文化中心（博物馆）
Espinho (Portugal),埃斯皮纽·(葡萄牙)
Copa do Mundo FIFA de 2030,2030年國際足協世界盃
Cruz Vermelha Macau,澳門紅十字會
Lista de golos de Cristiano Ronaldo pela Seleção Portuguesa de Futebol,克里斯蒂亞諾·羅納度國際賽進球列表
Monte Real e Carvide,蒙蒂雷亞爾和卡維德
Relações entre Andorra e Portugal,安道尔—葡萄牙关系
Paços do Concelho de Lisboa,里斯本市政廳
Eleições presidenciais portuguesas de 2016,2016年葡萄牙總統選舉
Eleições legislativas portuguesas de 2019,2019年葡萄牙立法選舉
Ministério da Comunicação Social (Portugal),葡萄牙社會傳播部
Portugal nos Jogos Olímpicos de Inverno de 2018,2018年冬季奧林匹克運動會葡萄牙代表團
Entidades intermunicipais de Portugal,城际共同体
Algarve Cup de 2017,2017年阿爾加維盃
Festival Eurovisão da Canção 2018,2018年歐洲歌唱大賽
TAP Express,TAP快運航空
Incêndio florestal de Pedrógão Grande em 2017,2017年葡萄牙森林大火
Challenger Cup de Voleibol Masculino de 2018,2018年FIVB男子排球挑戰盃
Eleições parlamentares europeias de 2019 (Portugal),2019年歐洲議會選舉·(葡萄牙)
Voo Air Astana KC1388,阿斯塔納航空1388號班機事故
Chega,够了！
Portugal nos Jogos Olímpicos de Verão de 2024,2024年夏季奥林匹克运动会葡萄牙代表团
Final da Liga das Nações da UEFA de 2019,2019年歐洲國家聯賽決賽
Ataíde,阿塔伊迪
Sé (Portalegre),塞镇·(波塔莱格雷)
Algarve Cup 2019,2019年阿爾加維盃
Cabo Espichel,埃什皮谢尔角
B-SAD,比蘭倫斯SAD
Acidente de autocarro na Madeira em 2019,2019年馬德拉巴士意外
Final da Liga dos Campeões da UEFA de 2020–21,2021年欧洲冠军联赛决赛
Liga das Nações da UEFA de 2018–19 – Fase Final,2019年歐洲國家聯賽決賽周
Eleições presidenciais portuguesas de 2021,2021年葡萄牙總統選舉
Final da Liga dos Campeões da UEFA de 2019–20,2020年歐洲冠軍聯賽決賽
Iniciativa Liberal,自由倡议
Portugal nos Jogos Olímpicos de Inverno de 2022,2022年冬季奥林匹克运动会葡萄牙代表团
Portugal nos Jogos Olímpicos de Verão de 2020,2020年夏季奥林匹克运动会葡萄牙代表团
Extinction Rebellion,反抗滅絕
Lista de regiões de Portugal por IDH,葡萄牙各區人类发展指数列表
Eleições legislativas portuguesas de 2022,2022年葡萄牙立法选举
Conímbriga,科英布里加
Taça da Liga de 2020–21,2020–21年葡萄牙聯賽盃
Grande Prémio de Portugal de 2020,2020年葡萄牙大奖赛
Primeira Liga de 2020–21,2020–21年葡萄牙超級足球聯賽
Pandemia de COVID-19,2019冠状病毒病疫情
Palácio do Grilo,格里罗宫
Pandemia de COVID-19 na Europa,2019冠状病毒病欧洲疫情
Pandemia de COVID-19 em Portugal,2019冠狀病毒病葡萄牙疫情
Supertaça Cândido de Oliveira de 2020,2020年葡萄牙超級盃
Grande Prémio de Portugal de 2021,2021年葡萄牙大奖赛
Ponte 516 Arouca,阿羅卡516吊橋
ITF feminino de Oeiras,奥埃拉什女子网球公开赛
Liga 3,葡萄牙足球乙级联赛
Surto de varíola dos macacos em 2022,2022-2023年猴痘爆发
Primeira Liga de 2022–23,2022–23年葡萄牙超級足球聯賽
Onda de calor na Europa em 2022,2022年歐洲熱浪
Eleições legislativas portuguesas de 2024,2024年葡萄牙立法选举
Surto de hepatite aguda grave em crianças em 2022,2022年不明病因儿童肝炎流行事件
Primeira Liga de 2023–24,2023–24年葡萄牙超級足球聯賽
