André-Pierre Gignac,アンドレ＝ピエール・ジニャック
Oscar González Guerrero,オスカー・ゴンザレス・ゲレーロ
Óscar González Loyo,オスカー・ゴンザレス・ロヨ
Óscar González Rodríguez,オスカー・ゴンザレス
Miguel Ángel Herrera Equihua,ミゲル・アンヘル・エレーラ
Oswaldo Novoa,オズワルト・ノボア
Roberto Carlos Juárez,ロベルト・カルロス・フアレス
Lalo Fernández,エドゥアルド・フェルナンデス
Carlos Salcedo,カルロス・サルセド
Jesús León Santos,ヘスス・レオン・サントス
Jesús Magdaleno,ヘスス・マグダレノ
Olímpico,オリンピコ (プロレスラー)
Omar Fayad,オマール・ファヤド
Rogelio González Pizaña,ロヘリオ・ゴンサレス・ピサーニャ
Carlos Kasuga,春日カルロス
Malukah,マルカー
Patricia Riggen,パトリシア・リゲン
Joe Líder,ジョー・ライダー
Jesús Pimentel,ヘスス・ピメンテル
Jesús Soto Karass,ヘスス・ソト・カラス
"Francisco Rodriguez, Jr.",フランシスコ・ロドリゲス・ジュニア
El Pantera (luchador),エル・パンテーラ
Patricia Acevedo,パトリシア・アセヴェド
Rosa María Bianchi,ローザ・マリア・ビアンキ
Jerry Estrada,ジェリー・エストラーダ
Jorge Goeters,ホルヘ・ゲテレス
Pedro Guevara,ペドロ・ゲバラ
Mike Seal,マイク・シール
Akuma,アクマ
Alexandra de la Mora,アレクサンドラ・デ・ラ・モラ
Pepe Aguilar,ぺぺ・アギラール
Pedro Septién,ペドロ・セプティエン
Julián de Meriche,ジュリアン・デ・メリケ
María Eugenia Campos Galván,マリア・エウヘニア・カンポス・ガルバン
Jose L. Espinoza,ホゼ・エスピノーザ
Pierroth Jr.,ピエロー・ジュニア
Pilar Pellicer,ピラール・ペリサー
Psicosis II,シコシス (2代目)
Bulto clown,サイコ・クラウン
Puma King,プーマ・キング
Pólvora,ポルボラ
Rafael Corkidi,ラファエル・コルキディ
Roberto Cantoral,ロベルト・カントラル
Irma Águilar,イルマ・アギラール
El Chavo del 8,エル・チャボ
Pedro Reyes,ペドロ・レイエス
Pedro Romero de Terreros,ペドロ・ロメロ・デ・テレロス
Jorge A. Bustamante Fernández,ホルヘ・ブスタマンテ
Perro Aguayo Jr.,ペロ・アグアヨ・ジュニア
José Alberto Hernández,ホセ・アルベルト・エルナンデス
Raquel Torres,ラクウェル・トレス
Pirata Morgan,ピラタ・モルガン
Jorge Cota,ホルヘ・コタ
Princesa Sujei,プリンセサ・スヘイ
Óscar González,オスカー・ゴンザレス
Francisco Rodriguez,フランシスコ・ロドリゲス (アメリカのボクサー)
Juan Mendoza,フアン・メンドーサ
"Rodolfo Hoyos, Jr.",ロドルフォ・オヨス・ジュニア
Julio Bracho Castillo,ジュリオ・ブラッチョ
José Joaquín Martínez,ホセ・ホアキン・マルティネス
Jorge Calvo,ホルヘ・カルボ
José Armando Santa Cruz,ホセ・アルマンド・サンタクルス
José Cabrera,ホセ・カブレラ
José Carlos Herrera,ホセ・カルロス・エレーラ
Dagoberto Gama,ダゴベルト・ギャマ
Jorge Páez Villanueva,ホルヘ・パエス
Mauricio de Maria y Campos,マウリシオ・デマリアイ・カンポス
Vicente Romo,ビセンテ・ロモ
Raul Mata,ラウル・マタ
Ray Mendoza,レイ・メンドーサ
Ramón Valdés,ラモン・バルデス
José María Napoleón,ホセ・マリア・ナポレオン
José Medel,ジョー・メデル
Ramon Álvarez,ラモン・アルバレス
"José Félix, Jr.",ホセ・フェリックス・ジュニア
José Suárez Carreño,ホセ・スアーレス・カレーニョ
José Tolentino,ホセ・トレンティーノ
José Lavat,ホセ・ラバット
Raúl Velasco,ラウル
Raymundo Beltrán,レイムンド・ベルトラン
Rayo de Jalisco Jr.,ラヨ・デ・ハリスコ・ジュニア
Raziel,ラジエル
Regina Torné,レジーナ・トルネ
Renato Leduc,レナト・ルデュク
Luis Rafael Herrera Estrella,ルイス・ラファエル・エレーラ・エストレラ
Karla Souza,カーラ・ソウザ
Amalia Pérez,アマリア・ペレス
Ricardo Dominguez,リカルド・ドミンゲス
Ramón de Errazu Rubio,ラモン・デ・エラス
René Guajardo,レネ・グアハルド
René Isidoro García,レネ・イシドロ・ガルシア
Rey Cometa,レイ・コメタ
Rey Escorpión,レイ・エスコルピオン
Daniel Suárez,ダニエル・スアレス
Nely Miranda,ネリー・ミランダ
Mónica Alvarado,モニカ・アルバラード
Briseida Acosta,ブリセリダ・アコスタ
Humberto Sosa,ウンベルト・ソーサ
Eduardo Arredondo,エドゥアルド・アレドンド
José Quirino,ホセ・キリノ
Mario Osuna,マリオ・オスナ
Ricardo González Valdez,リカルド・ゴンザレス
Ricardo Álvarez Barragán,リカルド・アルバレス
Rigoberto "Rigo" Beltrán,リゴ・ベルトラン
Rigoberto Álvarez,リゴベルト・アルバレス
Juan Acevedo,ホアン・アセベド
Guillermo Tovar de Teresa,ギジェルモ・トバル・デ・テレサ
Francisco Arce Armenta,フランシスコ・アルセ (ボクサー)
Rodolfo Cota,ロドルフォ・コタ
Eduardo Ibarrola Nicolín,エドゥアルド・イバロラ・ニコリン
Akua,アクア (プロレスラー)
Anabel Ortiz,アナベル・オルティス
Abdullah Tamba,アブドーラ・タンバ
Ignacio Anaya,イグナシオ・アナヤ
Bulmaro López Fernández,ブルマーロ・ロペス・フェルナンデス
Ringo Mendoza,リンゴ・メンドーサ
Alejandra Robles,アレハンドラ・ロブレス
Julio Ceja,フリオ・セハ
Rey Geovani Vargas Roldán,レイ・バルガス
Riccardo Olavarrieta,リカルド・オラバリエタ
Reyna Hamui,レイナ・ハムイ
Rito Romero,リト・ロメロ
Robert Livermore,ロバート・リバモア
Ana Lilian de la Macorra,アナ・リリアン・デ・ラ・マコラ
Dual Force,RONIN (プロレスラー)
Roberto Arredondo,チバ・アルレドンド
Roberto Carlos Leyva,ロベルト・カルロス・レイハ
Último Gladiador,ウルティモ・グラディアドール
Ultraman,ウルトラマン (プロレスラー)
Esther Moreno,エステル・モレノ
Esmeralda Moreno,エスメラルダ・モレノ
Evelia Pérez,エベリア・ペレス
El Sicodélico,エル・シコデリコ
Gran Apache,グラン・アパッチェ
Kavka Shishido,シシド・カフカ
Sebastian Valle,セバスチャン・ヴァレ
Chavela Romero,チャベラ・ロメロ
Chucho de Mexico,チューチョ・デ・メヒコ
Pantera Sureña,パンテラ・スレーニャ
Juan Francisco Estrada,ファン・フランシスコ・エストラーダ
Julio Zarate,フリオ・サラテ
Julio César Borboa,フリオ・セサール・バルボア
Patricio Elizalde,パト・マチェテ
Ismael Valdez,イスマエル・バルデス
Ivan Hernández,イバン・エルナンデス
Ibeth Zamora Silva,イベス・サモラ
Ricardo Pozas Arciniega,リカルド・ポサス・アルシニエガ
Ricardo Rincón,リカルド・リンコン
Ricardo Silva,リカルド・シルバ・エリゾンド
Juan José Estrada,ファン・ホセ・エストラーダ
Roberto Ramírez,ロベルト・ラミレズ
Rosa Furman,ローザ・ファーマン
Karloff Lagarde,カルロフ・ラガルデ
Carlos Manuel Urzúa Macías,カルロス・ウルスア
Rodolfo Martínez,ロドルフォ・マルティネス
Rodolfo Montiel Flores,ルドルフォ・モンティエル・フロレス
Victor Sanchez,ビクトル・サンチェス (著作家)
Luis Gatica,ルイス・ゴティカ
Irma Garcia Nuñez,イルマ・ガルシア
Irma González (luchadora),イルマ・ゴンザレス
Irene Iida,イレネ飯田
Ingrid Roth,イングリッド・ロス
Julia Goldani Telles,ジュリア・ゴルダニ・テレス
Rocky Santana,ブラック・シャドー
José Alfredo Rodríguez,ホセ・アルフレド・ロドリゲス
Mariana Juárez,マリアナ・フアレス
Yazmín Rivas,ヤズミン・リバス
Rafael Díaz,ラファエル・ディアス
La Mascara,ラ・マスカラ
Juan García Ábrego,フアン・ガルシーア・アブレゴ
Kenti Robles,ケンティ・ロブレス
Kenya Mori,ケニヤ・モリ
Fabiola Guajardo,ファビオラ・グアジャルド
Fernando Guerrero Ramírez,フェルナンド・ゲレーロ・ラミレス
Rossy Moreno,ロッシー・モレノ
Ernesto Carlos,李源国
Francisco Díaz Covarrubias,フランシスコ・ディアス・コバルビアス
Beatriz Aguirre,ベアトリス・アギーレ
Quico,キコ
Héctor Jiménez,エクトル・ヒメネス
Sammy Gutiérrez,サミー・グティエレス
Luis Videgaray Caso,ルイス・ビデガライ・カソ
Manuel Balbi,マニュエル・バルビ
Rosita López Augirre,ロッシー・アギレ
Rudy Hernández,ルディ・ヘルナンデス (内野手)
Rush,ルーシュ
Rafael Vásquez (general),ラファエル・バスケス (メキシコ司令官)
Salvador Novoa,サルバドール・ノボア
Samantha Bricio,サマンタ・ブリシオ
Rubén Martinez,ルベン マルティネス
Rubén Sánchez León,ルーベン・サンチェス・レオン
Michel Franco,ミシェル・フランコ
Sexy Star,セクシー・スター
Silueta,シルエタ
María Renée Prudencio,マリア・ルネ・プルデンシオ
Gisela Mota Ocampo,ギセラ・モタ・オカンポ
Sangre Chicana,サングレ・チカナ
Luis Cessa,ルイス・セッサ
"Scorpio, Jr.",スコルピオ・ジュニア
Érick Aguirre,エリック・アギーレ
Julio Urías,フリオ・ウリアス
Isidro García,イシドロ・ガルシア
David Sánchez,デビッド・サンチェス
Cecilia González Gómez,セシリア・ゴンザレス・ゴメス
Yair Rodríguez,ヤイール・ロドリゲス
Omar Kiam,オマー・カイアム
Gustavo Sánchez Parra,グスターボ・サンチェス・パラ
Jorge Rivera Serrano,ホルヘ・リベラ (プロレスラー)
Soberano Jr.,ソベラーノ・ジュニア
Jacques Passy,ジャック・パッシー
Roberto Osuna,ロベルト・オスーナ
Sergio Robles,セルジオ・ロブレス
Diana Marcos,ディアナ・マルコス
Luis Beristáin,ルイス・ベリスタイン
Mayela Quiroga Tamez,マイェラ・キロガ・タメス
Guillermo Clemens,ギジェルモ・クレメンス
José Luis Abarca Velázquez,ホセ・ルイス・アバルカ
José Luis Melchor Ortiz,エル・ハルコン
Jose Nakamura,ホセ中村
José Hernández Martínez,ホセ・エルナンデス
José Romario Hernández,ホセ・ロマーリオ・エルナンデス
Alda Moreno León,アルダ・モレノ
El Halcón '78,エル・ハルコン78
Alejandro Hernandez,アレハンドロ・エルナンデス
Andrew Lavrik,アンドリュー・ラブリク
Armando Casas,アルマンド・カサス
Moisés Flórez,モイセス・フローレス
El Solar,エル・ソラール
El Hijo del Pantera,エル・イホ・デル・パンテーラ
Silvia Moreno-Garcia,シルヴィア・モレーノ＝ガルシア
Brianda Domecq,ブリアンダ・ドメーク
Erick Chapa,エリック・チャパ
Pentagón Jr.,ペンタゴン・ジュニア
Argos,アルゴス
Emilio Martínez-Ramírez,エミリオ・マルティネス＝ラミレス
Hedgardo Marín,エドガルド・マリン
Yadir Drake,ヤディル・ドレイク
Rey Horus,レイ・ホルス
Julián Ventura Valero,フリアン・ベントゥラ・バレロ
Cavernario,バルバロ・カベルナリオ
Dana Rotberg,ダナ・ロットバーグ
Luis Alfonso Mendoza,ルイス・アルフォンソ・メンドーザ
Enrique Alfaro Ramírez,エンリケ・アルファロ・ラミレス
Natalia Cordova-Buckley,ナタリア・コルドヴァ・バックレー
Henry Martín,エンリ・マルティン
Kingo Nonaka,野中金吾
Javier Álvarez Fuentes,ハビエル・アルバレス
Star Fire,スター・ファイヤー
Dragon Lee II,ドラゴン・リー
Leandra Becerra Lumbreras,リーンドラ・ベッセラ・ランブラレス
Glenda Reyna,グレンダ・レイナ
Hirving Lozano,イルビング・ロサノ
René García,ルネ・ガルシア
La Bala Rodríguez,ラ・バーラ・ロドリゲス
Manuel Ramos,マヌエル・ラモス
Francisco Tarazona Torán,フランシスコ・タラゾナ・トラーン
Mayes C. Rubeo,メイズ・C・ルベオ
Robert Franco,ロビー・フランコ
Javier Mendoza,ハビエル・メンドーサ (ボクサー)
Noel Chama,ノエル・チャマ
Luciana Silveyra,ルチアナ・シルベイラ
Jocelyn Urías,ジョセリン・ウリアス
Andrea Rangel,アンドレア・ランヘル
Lourdes Ruiz,ロウルデス・ルイス
Wendolly Esparza,ウェンドリー・エスパーサ
Erick Gutiérrez,エリック・グティエレス
Alonso Ruizpalacios,アロンソ・ルイスパラシオス
Jose Hernandez,ホセ・エルナンデス
Vanessa Zamora,バネッサ・サモラ
Martín Hernández,マーティン・ヘルナンデス
Dallas Escobedo,ダラス・エスコベド
Jose Argumedo,ホセ・アルグメド
Carlos Gastelum,カルロス・ガステラム
Daniel Castro,ダニエル・カストロ
Eduardo Aguirre,エドゥアルド・アギーレ
Juan Carlos García Sancho,フアン・カルロス・ガルシア・サンチョ
Yanet García,ヤネット・ガルシア
Rogelio Franco Castán,ロヘリオ・フランコ・カスタン
Javier Eduardo López,ハビエル・エドゥアルド・ロペス
Xavier Olea Muñoz,ハビエル・オレア・ムニョス
César Ramos Palazuelos,セサル・アルトゥーロ・ラモス
Noemi Gonzalez,ノエミ・ゴンザレス
Alfredo Phillips Olmedo,アルフレッド・フィリップス・オルメード
Marcela Guirado,マルセラ・ギラド
Jesús Daniel Gallardo Vasconcelos,ヘスス・ガジャルド
Alejandro Murat Hinojosa,アレハンドロ・ムラト
Mark Raso,マーク・ラソ
René Iván García,レネ・イバン・ガルシア
Naian González Norvind,ナイアン・ゴンザレス・ノービンド
Luis Chávez,ルイス・チャベス
Max Langler,マックス・ラングラー
Luis Nery,ルイス・ネリー
María Guadalupe González,マリア・ゴンサレス
Eliseo Gilberto Aviña Gómez,ギルベルト・アビーニャ・ゴメス
Ilse Salas,イルセ・サラス
Manuel Garcia-Rulfo,マヌエル・ガルシア＝ルルフォ
Claudia Patricia Ornelas García,クラウディア・パトリシア・オルネラス＝ガルシア
Miguel Tapias,ミゲル・タピアス
María Sánchez,マリア・サンチェス
Brenda Flores,ブレンダ・フローレス
Guillermo Hopkins Gámez,ギリェルモ・ホプキンズ・ガメス
Guillermo Iván,ギレルモ・イヴァン
José de Alzibar,ホセ・デ・アルシバル
Flamita,フラミータ
Daniel Parra,ダニエル・パラ
Mauro Lainez,マウロ・レイネス
Omar Nicolás Govea,オマル・ゴベア
Orbelín Pineda,オルベリン・ピネダ
Roberta Colindrez,ロバータ・コリンドレス
Daniel Armando Ríos,ダニエル・アルマンド・リオス
Irene Aldana,アイリーン・アルダナ
Misael Rodríguez,ミサエル・ロドリゲス
Ismael Hernández,イスマエル・エルナンデス
Nati Cano,ナティ・カノ
Sofía Reyes,ソフィア・レイエス
Ximena Escalante,シメナ・エスカランテ
Adriana Díaz Enciso,アドリアーナ・ディアス＝エンシソ
Mauricio Vila Dosal,マウリシオ・ヴィラ・ドーサ
Héctor Mascorro,エクトル・マストロ
Alexa Grasso,アレクサ・グラッソ
Stephanie Sigman,ステファニー・シグマン
Ernesto Lupercio,エルネスト・ルペルシオ
Abraham Ancer,アブラハム・アンセル
Lopez Pérez Conejo,ウリエル・アントゥナ
Jorge A. Tena-Flores,ホルヘ・A・テナ＝フローレス
Aremi Fuentes,アレミ・フエンテス
Sebastián Vegas,セバスティアン・ベガス
Francisco Sebastián Córdova,フランシスコ・セバスティアン・コルドバ
Jesse González,ジェシー・ゴンザレス
Karol Sevilla,カロル・セビリア
Melissa Barrera,メリッサ・バレラ
Rogelio Hernández,セサル・モンテス
Yuya,湯屋
Luis Cárdenas,ルイス・カルデナス
Lupita Torrentera,ルピタ・トレンテラ
Arnulfo R. Gómez,アルヌルフォ・ゴメス
Cassandra Ciangherotti,カサンドラ・シアンヘロッティ
"Rubén Amaro, Sr.",ルーベン・アマロ
Héctor Isidro Velázquez,ヘクター・ベラスケス
Blanca Treviño,ブランカ・トレビーニョ
Víctor Guzmán,ビクトル・グスマン
Roberto Alvarado,ロベルト・アルバラード
Gabriel Ripstein,ガブリエル・リプスタイン
Leonardo Aguilar,レオナルド・アギラール
Alan Baboso,アラン・モゾ
Kristal Silva,クリスタル・シルバ
Marco Pérez,マルコ・ペレス
Efrain Alvarez,エフライン・アルバレス
Mariana Treviño,マリアナ・トレビーニョ
Nacho Galindo,ナチョ・ガリンド
Hernán Mendoza,エルナン・メンドーサ
La Bestia del Ring,ピエロー
Alicia Jaziz,アリシア・ジャジズ
Katie Johnson,ケイティー・ジョンソン
Emanuel Lopez,エマヌエル・ロペス
Dora Luz,ドラ・ルス
Karla Nieto,カルラ・パオラ・ニエト・カスティージョ
Ángel Alfonso Martínez,アンヘル・マルティネス
Luis Patiño,ルイス・パティーニョ
Antonio Riestra,アントニオ・リエストラ
Esteban Villegas Villarreal,エステバン・ビジェガス・ビヤレアル
Ganigan López,ガニガン・ロペス
Alberto Alvarado Morín,アルベルト・アルバラード・モリン
Germán Madrazo,ヘルマン・マドラソ
Patricia Azarcoya Schneider,パトリシア・アザーコヤ・シュナイダー
Antonio Bravo,アントニオ・ブラボ
Andrés Villarreal,アンドレス・ビジャレアル
Nicolás Ibáñez,ニコラス・イバニェス
Juan Carlos Olivas,ホアン・カルロス・オリヴァス
Ulises Cardona,ウリセス・カルドナ
Ricardo Peña,リカルド・ペーニャ
Germán Meraz,ジャーマン・メラズ
Espanto I,エスパント1号
Edson Gutiérrez,エドソン・グティエレス
Gigi Saul Guerrero,ジジ・ソール・ゲレロ
Sofía Espinosa,ソフィア・エスピノーサ
Jesús Hernández Hernández,ヘスス・エルナンデス エルナンデス
Gerardo Arteaga,ヘラルド・アルテアガ
Carla Mauri,カルラ・マウリ
Alex Verdugo,アレックス・ベルドゥーゴ
Jesús Alberto Angulo,ヘスス・アルベルト・アングロ
Diego Lainez,ディエゴ・ライネス
José Aguilar,ホセ・アギラール
Sebastián Elizalde,セバスチャン・エリサルデ
Tony Figueroa,トニー・フィゲロア
Roberto Sneider,ロベルト・スネイデル
Adriana Paz,アドリアナ・ラパス
José Luis Bernal,ホセ・ルイス・ベルナル・ロドリゲス
Esteban Quiroz,エステバン・キロス
Miguel Aguilar,ミゲル・アギラル
Christian Calderón,クリスティアン・カルデロン
Raúl Vale,ラウル・ベール
Christian Iván Villanueva Limón,クリスチャン・ビヤヌエバ
Luis Urías,ルイス・ウリアス
Giovanny Gallegos,ジオバニー・ガジェゴス
Tessa Ia,テッサ・イア
Alexis Vega,エルネスト・アレクシス・ベガ・ロハス
Patricio O'Ward,パトリシオ・オワード
Laura Serrano García,ラウラ・セラーノ
Luis Ricardo Reyes,ルイス・リカルド・レジェス
Nemesio Oseguera Cervantes,ネメシオ・オセゲラ・セルバンテス
César Vargas,セサル・バルガス
Alejandra Jiménez,アレハンドラ・ヒメネス
Alejandra Ambrosi,アレハンドラ・アンブロージー
Dyana Ortellí,ディアナ・オルテッリ
Jorge Sánchez Ramos,ホルヘ・サンチェス
Alejandro Edda,アレハンドロ・エッダ
Everardo Gout,エベラルド・ゴウト
Thunder Rosa,サンダー・ロサ
José Antonio Hernández,ホセ・アントニオ・エルナンデス
Misael Domínguez,ミサエル・ドミンゲス
Moisés Arizmendi,モイセス・アリゾメディ
Gastón Pavlovich,ガストン・パヴロヴィッチ
Érick Sánchez,エリック・サンチェス
Aline Pettersson,アリン・ピーターソン
Edson Álvarez,エドソン・アルバレス
Yalitza Aparicio,ヤリッツァ・アパリシオ
Brayton Vázquez,ブレイトン・バスケス
Kevin Nahin Álvarez Campos,ケビン・アルバレス
Paulette Gebara Farah,ポーレット・ゲバラ・ファラーの死
Sugey Ábrego,スージー・アブレゴ
José Santiago Hernández,ホセ・サンティアゴ・エルナンデス
Juan Carlos Loera de la Rosa,フアン・カルロス・ロエラ・デ・ラ・ロサ
Anette Natalia Vázquez Mendoza,アネッテ・バスケス
Omar Leyva,オマール・レイヴァ
Beatriz Gutiérrez Müller,ベアトリス・グティエレス・ミュラー
Carlos Licona,カルロス・リコナ
Franco Javier López Escamilla,フランコ・エスカミーリャ
Luis Ramon Garrido,ルイス・ラモン・ガリード
Ramón Conchas,ラモン・コンチャス
Rebeca Méndez Jiménez,レベカ・メンデス・ヒメネス
José Godínez,ホセ・ド・ヘスス・ゴディネス
Angel Garza,エンジェル・ガーザ
Raúl Mendoza,ラウール・メンドーザ
Leonardo Ortizgris,レオナルド・オーティズグリス
Bruno Figueroa Fischer,ブルーノ・フィゲロア・フィッシャー
Ricardo Gallardo Cardona,リカルド・ガヤルド・カルドナ
Agustín Rayo,アグスティン・ラヨ
Brandon Vazquez,ブランドン・バスケス
Norma Lucía Piña Hernández,ノルマ・ルシア・ピニャ・エルナンデス
Dharius,Dharius
Carissa Véliz,カリッサ・ヴェリツ
Héctor Velázquez Aguilar,ヘクター・ベラスケス
Donovan Carrillo,ドノバン・カリジョ
el pelon de nuevo leon,ハイメ・ムンギア
Emanuel Navarrete,エマヌエル・ナバレッテ
Jimena Gállego,ヒメナ・ガジェゴ
Samuel García,サムエル・アレハンドロ・ガルシア・セプルベダ
B. Traven,B・トレイヴン
Marco de la O,マルコ・デ・ラ・O
Alejandro Mayorga Palomino,アレハンドロ・マジョルガ
Aczino,アクジーノ
Carlos Felipe de Habsburgo,カルロス・フェリペ・デ・アブスブルゴ
Luis Cresencio Sandoval,ルイス・クレセンシオ・サンドヴァル
David Ochoa,ダビド・オチョア
Luis Villalobos,ルイス・ヴィラロボス
Fernando Manzanilla Prieto,フェルナンド・ルイス・マンサニージャ・プリエト
Martha Érika Alonso,マルタ・エリカ・アロンソ
Hugo López-Gatell,ヒューゴ・ロペス＝ゲーテル・ラミレス
Tomás Rojas,トーマス・ロジャス
Marcelino Islas Hernández,マルセリーノ・イスラス・ヘルナンデス
Andrés Almeida,アンドレス・アルメイダ
Noriteru Fukushima,福嶌教輝
Francisco Zamora Padilla,フランシスコ・ザモラ・パディラ
Humberto Carrillo,ウンベルト・カリージョ
Sebastián Jurado,セバスティアン・フラ―ド
Mauricio Kuri González,マウリシオ・クリ・ゴンサレス
Felipe Esparza,フェリペ・エスパルザ
Candelario Pérez Alvarado,カンデラリオ・ペレス・アルバラード
Diego López,ディエゴ・ロペス
Christian Nodal,クリスチャン・ノーダル
Carlos Alberto Rodríguez,カルロス・アルベルト・ロドリゲス・ゴメス
Fernanda Melchor,フェルナンダ・メルチョール
Carlos Sansores Acevedo,カルロス・サンソレス
Isaac Ezban,アイザック・エスバン
Edson Partida,エドソン・パルティダ
José Juan Macías,ホセ・フアン・マシアス
Meneses Monroy,Meneses Monroy
Fátima Molina,ファティマ・モリーナ
Nicolasa Ortiz Monasterio,ニコラサ・オルティス・モナステリオ
Hoze Meléndez,ホーズ・メレンデス
Jonathan González,ホナタン・ゴンサレス
Ovidio Guzmán López,オビディオ・グスマン
Horacio Garcia Rojas,ホラシオ・ガルシア・ロハス
Fernando Álvarez Rebeil,フェルナンド・アルバレス・リベイル
Juan Pablo de Santiago,ファン・パブロ・デ・サンティアゴ
Giselle Kuri,ジゼル・クリ
Dario Yazbek Bernal,ダリオ・ヤズベック・ベルナル
Fernando Beltrán Cruz,フェルナンド・ベルトラン
Santiago Giménez,サンティアゴ・ヒメネス
Gabriela Cartol,ガブリエラ・カートル
Ayumi Macías,アユミ・マシアス
Alan Jonsson,アラン・ホンソン・ガビカ
Regina Pavón,レジーナ・パボン
Carla Adell,カルラ・アデル
Julio Chavezmontes,フリオ・チャベスモンテス
Juan Toscano,ホワン・トスカーノ＝アンダーソン
Álvaro Curiel,アルバロ・クリエル
Sebastián Ferrat,セバスティアン・フェラット
Emiliano Rocha Minter,エミリアーノ・ロッチャ・ミンター
Gerardo Naranjo,ジェラルド・ナランホ
Juan Pablo Castañeda,フアン・パブロ・カスタネダ
Miriana Moro,ミリアナ・モロ
Ricardo Esquerra,リカルド・エスケラ
Martha Claudia Moreno,マーサ・クラウディア・モレノ
Lila Avilés,リラ・アヴィルス
Jimena López,ヒメナ・ロペス
Lex Ortega,レックス・オルテガ
Juanpa Zurita,フアンパ・ズリタ
Roberto de la Rosa,ロベルト・デ・ラ・ロサ
Jordi Cortizo,ジョルディ・コルティソ
Andrea Meza,アンドレア・メサ
Durango,ドランゴ
Víctor Teodoro Arano Armas,ビクター・アラノ
Andrés Iniestra,アンドレス・イニエストラ
Raul Inglis,ラウル・イングリス
Johan Vázquez ibarra,ヨハン・バスケス
Tuco Salamanca,トゥコ・サラマンカ
Olga Harmony Baillet,オルガ・アルモニ
Roberto Carmona,ロベルト・カルモナ
Marina del Pilar Ávila Olmeda,マリーナ・デル・ピラール・アビラ・オルメダ
Fernando Frías,フェルナンド・フリアス・デ・ラ・パーラ
Jessica Vilchis,ジェシカ・ヴィルチス
Érick Valencia Salazar,エリック・バレンシア・サラザール
Marco Polo Constandse,マルコ・ポロ・コンスタンズ
Humberto Busto,ハンブルト・ブスト
Christian Lanz,クリスチャン・ランツ
Luis Romo,ルイス・ロモ
Veronica Falcón,ベロニカ・ファルコン
Américo Villarreal Anaya,アメリコ・ビジャレアル・アナヤ
Gilberto Muñoz Mosqueda,ヒルベルト・ムニョス
Víctor González (beisbolista),ビクトル・ゴンサレス
José Alejandro García Muñoz,ホセ・アレハンドロ・ガルシア・ムニョス
Gustavo Egelhaaf,グスタボ・エゲルハーフ
Cristina Rodlo,クリスティーナ・ロッド
Jesús Alfredo Guzmán Salazar,ヘスス・アルフレド・グスマン・サラザール
Gabriel Santoyo,ガブリエル・サントヨ
Mauricio Isaac,モーリシオ・アイザック
Julio César Martínez,フリオ・セサール・マルティネス
Bruno Coronel,ブルーノ・コロネル
Julio Rodríguez,フリオ・ロドリゲス
Julián Araujo,ジュリアン・アラウージョ
Bandido,バンディード
Rocío Beltrán Medina,ロシオ・ベルトラン・メディーナ
Gonzalo Alfonso López Beltrán,ゴンサロ・アルフォンソ・ロペス・ベルトラン
Rosalinda González Valencia,ロザリンダ・ゴンサレス バレンシア
Cade Cowell,ケイド・カウエル
Joey Meneses,ジョーイ・メネセス
Luis Alberto Guerrero Reyes,ルイス・アルベルト・ゲレーロ・レジェス
Andrea Arruti,アンドレア・アルティ
Bertha Xóchitl Gálvez Ruiz,ソチル・ガルベス
José Rafael Ojeda Durán,ホセ・ラファエル・オヘダ・デュラン
Jonathan Gómez,ジョナサン・ゴメス
Andrés Manuel López Beltrán,アンドレス・マヌエル・ロペス・ベルトラン
Monstruos de Ecatepec,エカテペックの怪物
Mauro Calderón,マウロ・カルデロン
José Balleza,ホセ・バジェサ
Valentina Benaglio,ワレンチナ・ベナグリオ
Gabriela Cámara,ガブリエラ・カマラ
Víctor Ugarte,ビクトル・ウガルテ
Roberta Lajous,ロベルタ・ラジュー
Eliana Sua,エリアナ・スア
Sabrina Flores,サブリナ・フローレス
Mauricio Barrientos,マウリシオ・バリエントス
Raul Torres,ラウル・トーレス
Randy Arozarena,ランディ・アロサレーナ
Lupita Infante Torrentera,ルピタ・インファンテ・トレンテラ
Jimena Sánchez (periodista mexicana),ヒメナ・サンチェス
Irwin Daayán,アーウィン・ダーヤン
Jesús Seade,ヘスス・セアデ
Javier Hidalgo Ponce,ハビエル・イダルゴ・ポンセ
Dr. Karonte,ドクトル・カロンテ
Carlos Ignacio González Magallón,カルロス・イグナシオ・ゴンサレス・マガジョン
Giovanna Reynaud,ジョヴァンナ・レイノー
Yamileth Mercado,ヤミレス・メルカド
la Bala,ラ・バーラ
Yolanda Segura,ヨランダ・セグラ
Rodrigo Murray,ロドリゴ・ムライ
Guiomar Rovira Sancho,G. ロビラ
Teódula Alemán Cleto,テオデュラ・アレマン・クレト
Bayardo De Murguia,バヤルド・デ・ムルギア
Tatiana Flores,タチアナ・フローレス
Alejandro Kirk,アレハンドロ・カーク
Erik Lira,エリク・リラ
Alejandro Rejón Huchin,アレハンドロ・レジョン・フーチン
Rafael Rojas,ラファエル・ロハス
Jhory Celaya,ジョリー・セラヤ
Josué Maychi,ホスエ・マイチ
Bryan González,ブライアン・ゴンサレス
Evelyn Salgado Pineda,エベリン・サルガド・ピネダ
Esmeralda Falcón Reyes,エスメラルダ・ファルコン
Michelle Couttolenc,ミッチェル・コートレンツ
