George Washington,ジョージ・ワシントン
Hannibal Hamlin,ハンニバル・ハムリン
Alben W. Barkley,アルバン・W・バークリー
Ksenia Makarova,クセニヤ・マカロワ
Mary Whipple,メアリー・ホイップル
Barry Kernfeld,バリー・ケーンフェルド
Tina Charles,ティナ・チャールズ
Louis Cameron Hughes,L・C・ヒューズ
Carolyn Jones,キャロリン・ジョーンズ
Judith Light,ジュディス・ライト
James Cutler Dunn Parker,ジェームズ・カトラー・ダン・パーカー
Charles Rebozo,チャールズ・レボゾ
Rudolph A. Marcus,ルドルフ・マーカス
Jean Smart,ジーン・スマート
Chris Witty,クリス・ウィッティ
Hazel Hotchkiss Wightman,ヘイゼル・ホッチキス・ワイトマン
Jason Alexander,ジェイソン・アレクサンダー
Bill Richardson,ビル・リチャードソン
Steve Fossett,スティーヴ・フォセット
Ellen Foley,エレン・フォーリー
Donn Cambern,ドン・キャンバーン
T. M. Stevens,T.M.スティーヴンス
Rosco Gordon,ロスコー・ゴードン
Francis Amasa Walker,フランシス・アマサ・ウォーカー
Daniel Huntington,ダニエル・ハンティントン
Corey Harris,コーリー・ハリス
Craig Lamar Traylor,クレイグ・ラマー・トレイラー
Gillian Flynn,ギリアン・フリン
Jason Priestley,ジェイソン・プリーストリー
Kelly Curtis,ケリー・カーティス
Andrea Thompson,アンドレア・トンプソン
William Heath,ウィリアム・ヒース
Sidney Luft,シドニー・ラフト
William Petersen,ウィリアム・ピーターセン
Grant Hill,グラント・ヒル
Sônia Braga,ソニア・ブラガ
Yma Sumac,イマ・スマック
Mike Epps,マイク・エップス
Wayne Knight,ウェイン・ナイト
Howard Unruh,ハワード・ウンルー
Bruce Glover,ブルース・グローヴァー
Karen Hughes,カレン・パーフィット・ヒューズ
Clara Kimball Young,クララ・キンボール・ヤング
David Steindl-Rast,デヴィッド・スタインドル＝ラスト
Cisco Houston,シスコ・ヒューストン
James W. Wood,ジェームズ・ウッド
Neil R. Jones,ニール・R・ジョーンズ
Chris Mullin,クリス・マリン
Reiko Aylesworth,レイコ・エイルスワース
Cherry Jones,チェリー・ジョーンズ
Rob Paulsen,ロブ・ポールセン
Theresa Weld,テレサ・ウェルド
Shawn Marion,ショーン・マリオン
Patrick Henry,パトリック・ヘンリー
Kathryn C. Thornton,キャスリン・C・ソーントン
Sylvia Sleigh,シルヴィア・スレイ
Ellen Hansell,エレン・ハンセル
Brit Marling,ブリット・マーリング
Steve Stivers,スティーブ・スタイバーズ
Chrissie Hynde,クリッシー・ハインド
Joel McHale,ジョエル・マクヘイル
Christopher McCandless,クリストファー・マッキャンドレス
Ida B. Wells,アイダ・B・ウェルズ
Marge Piercy,マージ・ピアシー
Betty Smith,ベティ・スミス
Albert H. Crews,アルバート・クルーズ
Jennifer Higdon,ジェニファー・ヒグドン
Carol Lewis,キャロル・ルイス
Warner Baxter,ワーナー・バクスター
Leah Ayres,リア・エアーズ
Kathleen Monahan,キャスリーン・モナハン
Susan E. Morse,スーザン・E・モース
May Irwin,メイ・アーウィン
Robert Kirkman,ロバート・カークマン
Michelle Forbes,ミシェル・フォーブス
Domingo Matom,フェルナンド・ブホネス
Robert Hill,ロバート・ヒル
Meyer Lansky,マイヤー・ランスキー
Bow Wow,バウ・ワウ
José Ferrer,ホセ・フェラー
Soraya,ソラヤ
Monet Mazur,モネ・メイザー
Ginny Duenkel,バージニア・デュンケル
Clair Cameron Patterson,クレア・パターソン
Christina Moore,クリスティーナ・ムーア
Kevin Burleson,ケビン・バーレソン
Ben Ray Luján,ベン・ルーハン
Adam Baldwin,アダム・ボールドウィン
Ken Leung,ケン・レオン
Henry Fairfield Osborn,ヘンリー・フェアフィールド・オズボーン
Hugo Gernsback,ヒューゴー・ガーンズバック
Vesto Slipher,ヴェスト・スライファー
Julia Jones,ジュリア・ジョーンズ
Katharine Houghton,キャサリン・ホートン
Henrik Shipstead,ヘンリク・シップステッド
The Iron Sheik,コシロ・バジリ
Jim Sinclair,ジム・シンクレア
Caroline Thompson,キャロライン・トンプソン
Austrian Americans,オーストリア系アメリカ人
Luke Halpin,ルーク・ハルピン
Timothy Gallwey,W.ティモシー・ガルウェイ
Briton Hadden,ブリトン・ハッデン
Robert Lorenz,ロバート・ロレンツ
Mills Lane,ミルズ・レーン
Billy Higgins,ビリー・ヒギンス
Albert Von Tilzer,アルバート・フォン・ティルツァー
Arthur Hays Sulzberger,アーサー・ヘイズ・サルズバーガー
Strom Thurmond,ストロム・サーモンド
Shaun Cassidy,ショーン・キャシディ
Anne Sullivan,アン・サリヴァン
Isaac Singer,アイザック・メリット・シンガー
Eliel Saarinen,エリエル・サーリネン
Rory Kennedy,ロリー・ケネディ
Molly Shannon,モリー・シャノン
Jennifer Kessy,ジェニファー・ケッシー
Hayley Kiyoko,ヘイリー・キヨコ
William Ernest Castle,W.E. キャッスル
Robert Petway,ロバート・ペットウェイ
Andrew Imbrie,アンドリュー・インブリー
Taryn Power,タリン・パワー
Crystle Lightning,クリスタル・ライトニング
Betsy Russell,ベッツィ・ラッセル
Moon Bloodgood,ムーン・ブラッドグッド
Evelyn Fox Keller,エブリン・フォックス・ケラー
Bradley Stryker,ブラッドレイ・ストライカー
Edi Gathegi,エディ・ガテギ
Bridget Powers,ブリジット・パワーズ
Blossom Rock,ブロッサム・ロック
Wilson Pickett,ウィルソン・ピケット
Randy Rhoads,ランディ・ローズ
Mac Miller,マック・ミラー
Allen Klein,アラン・クレイン
Martin Balsam,マーティン・バルサム
Lance Henriksen,ランス・ヘンリクセン
Gary Busey,ゲイリー・ビジー
Melvyn Douglas,メルヴィン・ダグラス
Annie Wersching,アニー・ワーシング
Sam Sheppard,サム・シェパード
Charles S. Maier,チャールズ・メイヤー
Alice Walton,アリス・ウォルトン
Marco Rubio,マルコ・ルビオ
Tom Gehrels,トム・ゲーレルス
Captain Beefheart,キャプテン・ビーフハート
Jean Shiley,ジーン・シャイリー
Brandy Talore,ブランディ・タロア
Jane Espenson,ジェーン・エスペンソン
Gail Patrick,ゲイル・パトリック
George Ellery Hale,ジョージ・ヘール
Tom Araya,トム・アラヤ
Jimmy Kinnon,ジェームズ・キノン
Peter Herman Adler,ペーター・ヘルマン・アドラー
William Dodd,ウィリアム・ドッド (大使)
Stephanie von Hohenlohe,シュテファニー・ツー・ホーエンローエ＝ヴァルデンブルク＝シリングスフュルスト
Johanna Lindsey,ジョアンナ・リンジー
Karen Moe,カレン・モー
Hope Lange,ホープ・ラング
Nathan Petrelli,ネイサン・ペトレリ
Louise Platt,ルイーズ・プラット
Fiorello H. La Guardia,フィオレロ・ラガーディア
Sybil,シビル
David Ellefson,デイヴィッド・エレフソン
Richard Seaver,リチャード・セーヴァー
Virginia Hamilton,ヴァージニア・ハミルトン
Scout Taylor-Compton,スカウト・テイラー＝コンプトン
Doris Duke,ドリス・デューク
Kimberly Matula,キム・マトゥーラ
Polly Holliday,ポリー・ホリデイ
Jeremy Davies,ジェレミー・デイビス
Thurgood Marshall,サーグッド・マーシャル
Prescott Bush,プレスコット・ブッシュ
Penny Johnson Jerald,ペニー・ジョンソン・ジェラルド
Jack Pierce,ジャック・ピアス
Samuel Ullman,サミュエル・ウルマン
Martha Dodd,マーサ・ダッド
Holly McPeak,ホリー・マクピーク
Harry Edison,ハリー・エディソン
Charles Reid Barnes,チャールズ・バーネス
Saundra Santiago,サンドラ・サンティアゴ
John Milton,ジョン・ミルトン
Egbert Van Alstyne,エグバート・バン・アルスタイン
George Evans,ジョージ・エバンズ
T. J. Cloutier,T. J.クルーティエ
Dar Williams,ダー・ウィリアムス
Joyce Johnson,ジョイス・ジョンソン
Valerie Harper,ヴァレリー・ハーパー
Bianca Lawson,ビアンカ・ローソン
Marcia Brown,マーシャ・ブラウン
Jane Holzer,ベイビー・ジェーン・ホルツァー
Jilliane Hoffman,ジリアン・ホフマン
Maria Mitchell,マリア・ミッチェル
John Sherman Cooper,ジョン・シャーマン・クーパー
Thomas Midgley,トマス・ミジリー
Christopher Judge,クリストファー・ジャッジ
Dave Lombardo,デイヴ・ロンバード
Maryon Pittman Allen,マリオン・ピットマン・アレン
Dixie Bibb Graves,ディキシー・ビブ・グレーヴス
Elaine Edwards,イーレン・S・エドワーズ
Constance Marie,コンスタンス・マリー
Elle Logan,エレノア・ローガン
Joey Heatherton,ジョーイ・ヘザートン
Edward B. Lewis,エドワード・ルイス
Ken Stabler,ケン・ステイブラー
William G. Gregory,ウィリアム・グレゴリー
Norman D. Vaughan,ノーマン・D・ボーン
Tionne Watkins,T-ボス
Monique Gabrielle,モニク・ガブリエル
Wilhelmina von Bremen,ウィルヘルミナ・ボンブレーメン
Celia Weston,セリア・ウェストン
Albert Wohlstetter,アルバート・ウォルステッター
Eddie Boyd,エディ・ボイド
Christine Gregoire,クリスティン・グレゴワール
George Luks,ジョージ・ラクス
Five for Fighting,ファイブ・フォー・ファイティング
Kelly Fairchild,ケリー・フェアチャイルド
Conrad Hilton,コンラッド・ヒルトン
Roxanne Shanté,ロクサーヌ・シャンテ
Madeleine Leininger,マドレイン・M・レイニンガー
Beth Nielsen Chapman,ベス・ニールセン・チャップマン
Billy Burke,ビリー・バーク
Haley Ramm,ヘイリー・ラム
Jaime Ray Newman,ジェイミー・レイ・ニューマン
David Starr Jordan,デイヴィッド・スター・ジョーダン
Lisa Vidal,リサ・ヴィダル
Michael Jensen,マイケル・ジェンセン
Jake T. Austin,ジェイク・T・オースティン
Drew Fuller,ドリュー・ファラー
Taylor Hawkins,テイラー・ホーキンズ
Vernor Vinge,ヴァーナー・ヴィンジ
Richard Cragun,リチャード・クラガン
Dick Rutan,ディック・ルータン
Agnes Bruckner,アグネス・ブルックナー
Ivanka Trump,イヴァンカ・トランプ
Andy Griffith,アンディ・グリフィス
Hannah Marks,ハンナ・マークス
John Gill,ジョン・ギル
Joey Ramone,ジョーイ・ラモーン
Robert J. Shiller,ロバート・シラー
Carl Clarence Kiess,カール・キース
Sandman,ウェスリー・ドッズ
Elizabeth Catlett,エリザベス・キャトレット
Saskia Sassen,サスキア・サッセン
Leslie Bibb,レスリー・ビブ
Douglas Barr,ダグラス・バー
Allan Sekula,アラン・セクラ
George Buck Flower,ジョージ・フラワー
Edward J. Lofgren,エドワード・ロフグレン
Christine Woods,クリスティン・ウッズ
Tyler Posey,タイラー・ポージー
Mickey Gilley,ミッキー・ギリー
Henry D. Washburn,ヘンリー・ウォシュバーン
Misha Segal,マイシャ・シーガル
William O. Baker,W.O.ベーカー
Scott Feldman,スコット・フェルドマン
Ari Hoenig,アリ・ホーニグ
Carleton S. Coon,チャールストン・クーン
Daniel McFadden,ダニエル・マクファデン
Shane West,シェーン・ウェスト
John Dos Passos,ジョン・ドス・パソス
Stephanie Heinrich,ステファニー・ハインリッヒ
Bruce Kulick,ブルース・キューリック
Marie Laveau,マリー・ラヴュー
Natalie Zea,ナタリー・ジー
Stanley Schachter,スタンレー・シャクター
"Desi Arnaz, Jr.",デジ・アナーズ・ジュニア
Frederic M. Sackett,フレッド・M・サケット
Ronald Jensen,ロナルド・ジェンセン
Edward C. Prescott,エドワード・プレスコット
Mamie Smith,マミー・スミス
Golden Brooks,ゴールデン・ブルックス
Stuart Holden,スチュアート・ホールデン
Michael Bolton,マイケル・ボルトン
Jason Terry,ジェイソン・テリー
Bernard Lagat,バーナード・ラガト
Tina Yothers,ティナ・ヨーザーズ
Rory Block,ロリー・ブロック
Plavka,プラヴカ
China Shavers,チャイナ・ヘスシタ・シェイバーズ
Eve,イヴ
Jerry Hall,ジェリー・ホール
Inara George,イナラ・ジョージ
Benjamin Graham,ベンジャミン・グレアム
Lola Falana,ローラ・ファラーナ
John Adelbert Parkhurst,ジョン・パークハースト
Charles Tillman,チャールズ・ティルマン
Ben Monder,ベン・モンダー
William F. Sharpe,ウィリアム・フォーサイス・シャープ
Ernestine Anderson,アーネスティン・アンダーソン
Darla Hood,ダーラ・フッド
Jennifer O'Dell,ジェニファー・オデル
Natasha Hastings,ナターシャ・ヘイスティングス
Kaitlin Olson,ケイトリン・オルソン
Gia Mantegna,ジーア・マンテーニャ
Kathryn Crosby,キャスリン・クロスビー
Hunter Lovins,ハンター・ロビンス
James Heckman,ジェームズ・ヘックマン
LeVar Burton,レヴァー・バートン
Tracy Kidder,トレイシー・キダー
Dean Benjamin McLaughlin,ディーン・ベンジャミン・マクラフリン
Matt Lanter,マット・ランター
Jeff Bezos,ジェフ・ベゾス
Eddie Lang,エディ・ラング
Rodney Frelinghuysen,ロドニー・フリーリングハイゼン
David Manker Abshire,デイヴィッド・マンカー・アブシャイア
Gale Robbins,ゲイル・ロビンス
Lawrence Sperry,ローレンス・スペリー
Jade Puget,ジェイド・ピュージェット
Horace Lawson Hunley,ホレス・ローソン・ハンリー
Maicel Malone-Wallace,マイセル・マローン
Bob Lemon,ボブ・レモン
Harold Masursky,ハロルド・マサースキー
Card Walker,E・カードン・ウォーカー
Sander Gilman,サンダー・ギルマン
Jimmy Lyons,ジミー・ライオンズ
Sasha Barrese,サーシャ・バレス
Helen Prejean,ヘレン・プレイジェーン
Michael Asher,マイケル・アッシャー
Bill Johnson,ビル・ジョンソン
Evelyn "Champagne" King,イヴリン・キング
Ram Dass,リチャード・アルパート
Chrisette Michele,クリセッテ・ミッチェル
John Kirby,ジョン・カービー
Tracey Adams,トレイシー・アダムス
Fred Chase Koch,フレッド・コーク
Van Dyke Parks,ヴァン・ダイク・パークス
Bud Powell,バド・パウエル
Greg LeMond,グレッグ・レモン
Melba Liston,メルバ・リストン
Marsha M. Linehan,マーシャ・リネハン
Mitchel Musso,ミッチェル・ムッソ
John Kinsella,ジョン・キンセラ
Oscar Beregi,オスカー・ベレギ・シニア
Dave Lambert,デイヴ・ランバート
DJ Hyde,DJハイド
Lou Bennett,ルー・ベネット
Albina Osipowich,アルビナ・オシポウィッチ
Lacey Duvalle,レイシー・デュヴァル
Frederik Pohl,フレデリック・ポール
Gary Wright,ゲイリー・ライト
Jeff "Swampy" Marsh,ジェフ
Bob Cousy,ボブ・クージー
Eric Holder,エリック・ハンプトン・ホルダー
Paul Smolensky,ポール・スモレンスキー
Larry Wade,ラリー・ウェイド
Catfish Hunter,キャットフィッシュ・ハンター
Susan Anton,スーザン・アントン
Lon Chaney,ロン・チェイニー
Chuck Jones,チャック・ジョーンズ
Richard Matheson,リチャード・マシスン
Delphine LaLaurie,デルフィーン・ラローリー
Jenna Starr,アイデン・スター
Claudia Kolb,クラウディア・コルブ
Kathrine Narducci,キャサリン・ナルドゥッチ
Peter Bergen,ピーター・バーゲン
William Lawvere,ウィリアム・ローヴェア
Rodney King,ロドニー・キング
Rosanna DeSoto,ロザンナ・デ・ソート
Jean Stafford,ジーン・スタッフォード
Mike Diana,マイク・ダイアナ
Jordan Larson,ジョーダン・ラーソン
Nicole Davis,ニコル・デービス
Rajon Rondo,レイジョン・ロンド
Mark Kirk,マーク・カーク
Lonnie Zamora,ソコロUFO事件
BeBe Winans,ベベ・ウィナンス
Robert Griffiths,ロバート・グリフィス
Jack Vance,ジャック・ヴァンス
Fred Perry,フレッド・ペリー
Lynn Bari,リン・バリ
Carmen Chaplin,カルメン・チャップリン
Susan Meiselas,スーザン・マイゼラス
Tracie Spencer,トレイシー・スペンサー
Mary McLeod Bethune,メアリー・マクロード・ベスーン
Neal Morse,ニール・モーズ
Olivia Culpo,オリビア・カルポ
Dotsie Bausch,ドッツィー・バウシュ
Sarah Hammer,サラ・ハマー
Julie Garwood,ジュリー・ガーウッド
Lionel Ferbos,ライオネル・ファーボス
Joe Sewell,ジョー・シーウェル
Wayne Krantz,ウェイン・クランツ
Bertram Goodhue,バートラム・グッドヒュー
Robert Penn Warren,ロバート・ペン・ウォーレン
Red Cloud,レッド・クラウド
Horace Pippin,ホレイス・ピピン
Charles Rocket,チャールズ・ロケット
Phil Brown,フィル・ブラウン
William Augustus Wellman,ウィリアム・A・ウェルマン
Elizabeth Jane Gardner,エリザベス・ジェーン・ガードナー
Neil Sedaka,ニール・セダカ
Charlie Kaufman,チャーリー・カウフマン
Bob Weinstock,ボブ・ウェインストック
Harold F. Kress,ハロルド・F・クレス
Dorothy Sebastian,ドロシー・セバスチャン
Anne Bauchens,アン・ボーチェンズ
Johnny Copeland,ジョニー・コープランド
Marshall Clagett,マーシャル・クラーゲット
John Cho,ジョン・チョー
Omer Simeon,オマー・シメオン
Michael Higgins,マイケル・ヒギンズ
Murs,マース
Harry Magdoff,ハリー・マグドフ
Imran Khan,イムラーン・カーン
Eduardo Saverin,エドゥアルド・サベリン
Lindsey Berg,リンゼイ・バーグ
John Holmes,ジョン・ホームズ
Vera C. Bushfield,ヴェラ・C・ブッシュフィールド
Karen Young,カレン・ヤング
Clarissa Chun,クラリサ・チャン
Rihanna Galliquio,アンバー・ローズ
Phil Mickelson,フィル・ミケルソン
Sky Ferreira,スカイ・フェレイラ
Art Metrano,アート・メトラーノ
Erik Sullivan,エリック・サリヴァン
Bob Woodward,ボブ・ウッドワード
Robert Mapplethorpe,ロバート・メイプルソープ
Moon Zappa,ムーン・ザッパ
Kristin Cashore,クリスティン・カショア
Rick Carlisle,リック・カーライル
Robert Zoellick,ロバート・ゼーリック
Irving Fisher,アーヴィング・フィッシャー
Joshua Bell,ジョシュア・ベル
Walter Sydney Adams,ウォルター・シドニー・アダムズ
Katie Jacobs,ケイティ・ジェイコブス
George Tucker,ジョージ・タッカー
Chazz Palminteri,チャズ・パルミンテリ
Stark Sands,スターク・サンズ
Joseph Wood Krutch,ジョセフ・ウッド・クルーチ
Lynn Woolsey,リン・ウールジー
Meredith Salenger,メレディス・サレンジャー
John Abruzzi,ジョン・アブルッチ
Linda Gottfredson,リンダ・ゴットフレッドソン
C. Wright Mills,ライト・ミルズ
Gordon Cooper,ゴードン・クーパー
Antonio Moreno,アントニオ・モレノ
Enoch L. Johnson,イーノック・ジョンソン
James Marsters,ジェームズ・マースターズ
Pandora Peaks,パンドラ・ピークス
Gigi Rice,ジジ・ライス
Violet Blue,バイオレット・ブルー
Polly Draper,ポリー・ドレイパー
M. Stanley Livingston,M.S.リヴィングストン
George Clayton Johnson,ジョージ・クレイトン・ジョンソン
Howard Keel,ハワード・キール
Judd Apatow,ジャド・アパトー
Joan Hohl,ジョーン・ホール
Wilbert Robinson,ウィルバート・ロビンソン
Carl Van Vechten,カール・ヴァン・ヴェクテン
Jerry Garcia,ジェリー・ガルシア
John Carradine,ジョン・キャラダイン
Dave Meniketti,デイヴ・メニケッティ
Robert K. Merton,ロバート・キング・マートン
Daniel Inouye,ダニエル・イノウエ
Peter Segal,ピーター・シーガル
Kevin J. Anderson,ケヴィン・J・アンダースン
Richard Long,リチャード・ロング
Maxime Bôcher,マクシム・ボッチャー
David C. Turnley,デイヴィッド・C・ターンリー
Neal Stephenson,ニール・スティーヴンスン
John Diebold,ジョン・ディーボルド
Russell L. Rogers,ラッセル・ロジャーズ
Don Wilkerson,ドン・ウィルカーソン
Mike Wallace,マイク・ウォレス
Ken Jacobs,ケン・ジェイコブス
Robert Palmer,ロバート・パーマー
James Laurinaitis,ジェームズ・ロウリネイティス
Emeril Lagasse,エメリル・ラガッセ
Thom Mayne,トム・メイン
Dennis Miller Bunker,デニス・ミラー・バンカー
George B. Field,ジョージ・B・フィールド
Clarence Ray Allen,クラレンス・レイ・アレン
Evangeline Booth,エヴァンジェリン・ブース
Frances Fox Piven,フランセス・フォックス・パイブン
Mary Willis Walker,メアリー・W・ウォーカー
Dorothy Allison,ドロシー・アリソン
Karen Sillas,カレン・サイラス
John Luther Long,ジョン・ルーサー・ロング
Alvin Kraenzlein,アルビン・クレンツレーン
Robert Ballard,ロバート・バラード
Charles C. Conley,チャールズ・C・コンリー
Viola Barry,ヴィオラ・バリー
Charles Robert Leslie,チャールズ・ロバート・レスリー
Emory Leon Chaffee,エモリー・レオン・チャーフィー
Irene Stegun,アイリーン・ステガン
Olive Carey,オリーヴ・ケリー
Cecily Adams,セシリー・アダムス
Steven Zaillian,スティーヴン・ザイリアン
Linda Sánchez,リンダ・サンチェス
R. A. MacAvoy,R・A・マカヴォイ
Shelly Cole,シェリー・コール
Iris Yamashita,アイリス・ヤマシタ
Courtney Henggeler,コートニー・ヘンゲラー
Mason Williams,メイソン・ウィリアムス
James Sloyan,ジェームズ・スローアン
Jay Cutler,ジェイ・カトラー
Frank Marshall,フランク・マーシャル
Chris Resop,クリス・リーソップ
James Duane,ジェイムズ・デュアン
Carl Eckart,カール・エッカート
Gerald McRaney,ジェラルド・マクレイニー
Erika Alexander,エリカ・アレクサンダー
Nancy Hollister,ナンシー・ホリスター
Gary U.S. Bonds,ゲイリー・U.S.ボンズ
Jeff Barry,ジェフ・バリー
Drew Sidora,ドリュー・シドラ
Ruth Stafford Peale,ルース・スタッフォード・ピール
Sue Monk Kidd,スー・モンク・キッド
Kathleen E. Woodiwiss,キャスリーン・E・ウッディウィス
Anna Eshoo,アンナ・エシュー
Frank Buckles,フランク・ウッドラフ・バックルズ
Phyllis A. Whitney,フィリス・A・ホイットニー
DeLisha Milton-Jones,デリシャ・ミルトン＝ジョーンズ
Norman Shumway,ノーマン・シャムウェイ
Clara Blandick,クララ・ブランディック
Joan Wallach Scott,ジョーン・スコット
Fred W. Friendly,フレッド・W・フレンドリー
Sam Thompson,サム・トンプソン
Morgan Pressel,モーガン・プレッセル
Anne Sinclair,アンヌ・サンクレール
Rose Mofford,ローズ・モフォード
Stephen C. Apostolof,A・C・スティーブン
Sara Haden,サラ・ヘイデン
Claire Windsor,クレア・ウィンザー
Paul Siple,ポール・サイプル
Timothy Dwight IV,ティモシー・ドワイト4世
Wilbur Ware,ウィルバー・ウェア
David Greenglass,ディビット・グリーングラス
Norman Schwarzkopf,ノーマン・シュワルツコフ・シニア
Angel McCoughtry,エンジェル・マコートリー
Barbara Roles,バーバラ・ロールズ
Portia Doubleday,ポーシャ・ダブルデイ
Emma Andiyevska,エッマ・アンドリエーヴシカ
Lynn Cohen,リン・コーエン
Milton Latham,ミルトン・ラザム
Jackie Frazier-Lyde,ジャッキー・フレージャー＝ライド
Dwight H. Green,ドワイト・H・グリーン
Grigory Margulis,グレゴリー・マルグリス
Clint Hill,クリント・ヒル
Allison DuBois,アリソン・デュボア
Jennifer Batten,ジェニファー・バトゥン
Kate Millett,ケイト・ミレット
Chelsea Quinn Yarbro,チェルシー・クイン・ヤーブロ
Shareeka Epps,シャリーカ・エップス
Sam Phillips,サム・フィリップス (ミュージシャン)
Louis Comfort Tiffany,ルイス・カムフォート・ティファニー
John Franklin Enders,ジョン・フランクリン・エンダース
Mel Purcell,メル・パーセル
Marian Zazeela,マリアン・ザジーラ
Betty Blythe,ベティ・ブライス
Ted Templeman,テッド・テンプルマン
Samuel Franklin Cody,サミュエル・フランクリン・コーディ
Jerome Namias,ジェローム・ナミアス
Harl McDonald,ハール・マクドナルド
David K. Wyatt,デビッド・K・ワイアット
Arthur P. Schmidt,アーサー・P・シュミット
Ace Hood,エイス・フッド
Ace Parker,エース・パーカー
Howard Baskerville,ハワード・バスカーヴィル
Dorothy Provine,ドロシー・プロヴァイン
Adam Arkin,アダム・アーキン
Annette Funicello,アネット・ファニセロ
Sophie B. Hawkins,ソフィー・B・ホーキンス
Vicki Lawrence,ヴィッキー・ローレンス
Peter Strauss,ピーター・ストラウス
Norman Treigle,ノーマン・トレイグル
Ayda Field,アイーダ・フィールド
Alyson Noël,アリソン・ノエル
Katherine Stinson,キャサリン・スティンソン
Kate Spade,ケイト・スペード
Harry Culver,ハリー・カルヴァー
Denis Johnson,デニス・ジョンソン
Maria Taylor,マリア・テイラー
Jill Ritchie,ジル･リッチー
Jim Barrows,ジム・バローズ
Columbus Delano,コロンバス・デラノ
Bruce Sterling,ブルース・スターリング
Chris Isaak,クリス・アイザック
John Pennel,ジョン・ペネル
Russell Vis,ラッセル・ビス
Richelle Mead,リシェル・ミード
Brett Butler,ブルット・バトラー
William Bernbach,ウィリアム・バーンバック
Ann Savage,アン・サヴェージ
Anita Barone,アニタ・バロン
Alfred H. Rzeppa,アルフレート・ハンス・ツェッパ
Bobby Rydell,ボビー・ライデル
William A. Trimble,ウィリアム・A・トリンブル
Louis Faurer,ルイス・フォア
Edwin De Haven,エドウィン・ド・ヘイヴン
David K. E. Bruce,デイヴィッド・ブルース
George Bass,ジョージ・バス
Brian Wilson,ブライアン・ウィルソン
Jean Craighead George,ジーン・クレイグヘッド・ジョージ
Stephen Lang,スティーヴン・ラング
Dickinson W. Richards,ディキソン・W・リチャーズ
Priscilla Ahn,プリシラ・アーン
Madlyn Rhue,マドリン・ルー
Jovan Belcher,ジョバン・ベルチャー
Ellen G. White,エレン・グールド・ホワイト
Alexis Herman,アレクシス・ハーマン
Betty Davis,ベティ・デイヴィス
Phillip Sharp,フィリップ・シャープ
Tom Villard,トム・ヴィラード
Robert Crosbie,ロバート・クロムビー
Henry Charles Lea,ヘンリー・チャールズ・リー
Frances Bay,フランセス・ベイ
Delta Burke,デルタ・バーク
Matt Winston,マット・ウィンストン
Thomas Jones,トーマス・ジョーンズ (アメリカンフットボール)
Art Spiegelman,アート・スピーゲルマン
Myra Melford,マイラ・メルフォード
Jim Otto,ジム・オットー
David Feintuch,デイヴィッド・ファインタック
J. R. Simplot,ジョン・リチャード・シンプロット
Sam Jones,サム・ジョーンズ
Lucinda Jenney,ルシンダ・ジェニー
Skeeter Davis,スキータ・デイヴィス
Jan Kerouac,ジャン・ケルアック
Merle Kilgore,メアル・キルゴア
Jeff Lindsay,ジェフ・リンジー
John Krasinski,ジョン・クラシンスキー
Synyster Gates,シニスター・ゲイツ
George Reeves,ジョージ・リーヴス
Jordan Farmar,ジョーダン・ファーマー
Paul Warfield,ポール・ワーフィールド
Achmed Abdullah,アクメッド・アブダラー
James Whitmore,ジェームズ・ホイットモア
David McCallum,デヴィッド・マッカラム
Richard Jenkins,リチャード・ジェンキンス
Jonathan Togo,ジョナサン・トーゴ
DaMarcus Beasley,ダマルカス・ビーズリー
Susan Hiller,スーザン・ヒラー
Ivy Queen,アイヴィー・クイーン
Gladys Tantaquidgeon,グラディス・タンタキジョン
Michael Rapaport,マイケル・ラパポート
Acquanetta,アクアネッタ
Jeezy,ヤング・ジージー
"William Waldorf Astor, 1st Viscount Astor",ウィリアム・アスター
Rube Waddell,ルーブ・ワッデル
Enos Slaughter,イーノス・スローター
Nathan Fillion,ネイサン・フィリオン
Dolores Hope,ドロレス・ホープ
Barbara Mandrell,バーバラ・マンドレル
Gaby Hoffmann,ギャビー・ホフマン
Jeffrey Dean Morgan,ジェフリー・ディーン・モーガン
Obie Trice,オービー・トライス
John G. Thompson,ジョン・G・トンプソン
Gene Autry,ジーン・オートリー
Sterling Knight,スターリング・ナイト
Becky Sauerbrunn,ベッキー・サワーブラン
Nedda Casei,ネッダ・カセイ
Irving Chernev,アーヴィング・チェルネフ
Johnny St. Cyr,ジョニー・センシア
Scott McKenzie,スコット・マッケンジー
Lucille Bliss,ルシール・ブリス
George Davis,ジョージ・デイヴィス
Murray Perahia,マレイ・ペライア
Dudley W. Morton,ダドリー・W・モートン
Willis Goldbeck,ウィリス・ゴールドベック
Joseph Kittinger,ジョゼフ・キッティンジャー
Marj Dusay,マージ・デューセイ
Earl Averill,アール・アベリル
George Wythe Randolph,ジョージ・ランドルフ
Marcia Strassman,マーシャ・ストラスマン
Geraldine Brooks,ジェラルディン・ブルックス
Randi Zuckerberg,ランディ・ザッカーバーグ
Karlie Kloss,カーリー・クロス
Tommy Thayer,トミー・セイヤー
Etta Baker,エタ・ベイカー
Carole Bayer Sager,キャロル・ベイヤー・セイガー
Libby Ludlow,リビー・ラドロー
Joan Chandler,ジョアン・チャンドラー
Tara Subkoff,タラ・サブコフ
Ken Salazar,ケネス・リー・サラザール
Jeff Conaway,ジェフ・コナウェイ
