Campinas,カンピーナス
Grêmio Esportivo Monte Aprazível,グレミオ・エスポルチーヴォ・モンテ・アプラジーヴェル
Geoparque Araripe,アラリペ･ジオパーク
Gilberto & Gilmar,ジウベルト & ジウマール
Fundação Nacional de Artes,ブラジル国立芸術財団
Fundação Richard Hugh Fisk,フィスク
Corrupção no Brasil,ブラジルにおける汚職
Cotia Futebol Clube,コチアFC
Grupo Raça,グルーポ・ハーサ
Gravações Elétricas S.A.,コンチネンタル・レーベル
Jardim Japão,ジャルディン・ジャポン
Huaska,フアスカ
Grupo de Ações Táticas Especiais (PMMG),特殊戦術実行部隊 (ミナスジェライス州)
Grêmio Esportivo São José,GEサン・ジョゼ
Grêmio Esportivo Torrense,グレミオ・エスポルチーヴォ・トレンセ
Grêmio Mangaratibense,グレミオ・マンガラチベンセ
Grêmio Novorizontino,ノボリゾンチーノ
Internacional Esporte Clube,インテルナシオナルEC
Internacional Sport Club,インテルナシオナルSC
Grêmio Recreativo Serrano,GRセラーノ
Ipiranga Futebol Clube (Maruim),イピランガFC (セルジッペ州)
Iporá Esporte Clube,イポラーEC
Instituto Nacional do Seguro Social,国立社会保険院
Milton Banana Trio,ミルトン・バナナ・トリオ
Mimosense Futebol Clube,ミモセンセFC
Minas Futebol Brasil,ミナス・ボカ・フチボウ
Igreja da Ordem Terceira de São Francisco,オルデン テルセイラ ジ サン フランシスコ教会
Igreja da Ordem Terceira do Carmo,オルデン テルセイラ ド カルモ教会
Leão de São Marcos Esporte Clube,レオン・サン・マルコスEC
Liberdade (bairro de São Paulo),リベルダーデ
Igreja de Nossa Senhora do Rosário (Ouro Preto),黒人のロザリオ聖母教会
Instituto de Pesquisas e Estudos Florestais,森林科学研究所
Linha Sul do Metrô do Recife,Linha Sul線
Guarani Futebol Clube (Alegrete),グアラニFC (リオグランデ・ド・スル州)
Guarani Futebol Clube SSP,グアラニFC (バイーア州)
Guarani Saltense Atlético Clube,グアラニ・サルテンセAC
Guerra dos Palmares,パルマーレスの戦い
Igreja de Nossa Senhora do Rosário dos Pretos,ホザーリオ ドス プレートス教会
Igreja de Nossa Senhora do Rosário (Vila Velha),ノッサ・セニョーラ・ド・ロザリオ教会
Jockey Club Brasileiro,ジョッキ・クルベ・ブラジレイロ
Instituto do Homem e Meio Ambiente da Amazônia,イマゾン
Linha 1 do Metrô de Salvador,1号線
Linha 2 do Metrô de Belo Horizonte,2号線
Linha 2 do Metrô de Salvador,2号線
Linha 3 do Metrô de Belo Horizonte,3号線
Linha Belford Roxo,ベルフォルド・ホショ
Linha Guapimirim,グアピミリム
Linha Japeri,ジャペリ線
Linha Laranja,Laranja（オレンジ線）
Linha Leste do Metrô de Fortaleza,1号線
Linha Mucuripe do Metrô de Fortaleza,4号線
Ministério das Cidades,都市省
Ministério das Comunicações (Brasil),通信省 (ブラジル)
"Ministério do Desenvolvimento, Indústria, Comércio e Serviços",開発・商工貿易省
"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome",社会発展省
Ministério do Esporte (Brasil),スポーツ省 (ブラジル)
Ministério do Meio Ambiente e Mudança do Clima,環境省
Ministério do Planejamento e Orçamento,企画・予算・運営省
Ministério do Trabalho e Emprego,労働・社会保障省
Ministério dos Transportes (Brasil),運輸省
Icasa Esporte Clube,イカザEC
Igarapava Esporte Clube,イガラパヴァEC
José Bonifácio Esporte Clube,ジョゼ・ボニファシオEC
Jongo Trio,ジョンゴ・トリオ
Liga Comunista,共産主義者同盟
Ministério Público Federal,連邦検察庁
Ministério da Infraestrutura,インフラ省
Ministério da Integração e do Desenvolvimento Regional,国家統合省
Ministério da Justiça e Segurança Pública (Brasil),法務省
Literatura do Rio Grande do Sul,リオグランデ・ド・スル州の文学
Linha Oeste da Fepasa,FEPASA西線
Linha Paracambi,パラカンビ線
Linha Santa Cruz,サンタ・クルス
Linha Saracuruna,サラクルナ
Linha Sul do Metrô de Fortaleza,3号線
Linha Sul da Fepasa,FEPASA南線
Linha Verde (Belo Horizonte),グリーンライン
Linha Verde,Verde（緑線）
Linha Vila Inhomirim,ヴィラ・インホリイム
JW Marriott Hotel Rio de Janeiro,JWマリオット・ホテル・リオデジャネイロ
Igreja de Nossa Senhora da Glória do Outeiro,ノッサ・セニョーラ・ダ・グロリア・ド・オウテイロ教会のケーブルカー
Jardim Botânico (Curitiba),ジャルジンボタニコ (クリチバ)
Lulismo,ルイリズム
Itapemirim Cargo,イタペミリン航空輸送
Jabaquara,ジャバクアラ
Jacobina Esporte Clube,ジャコビーナEC
Jahu,ジャウー
Linha 18 do Metrô de São Paulo,サンパウロ地下鉄18号線
Linha 1 do Metrô de Porto Alegre,1号線
Linha 1 do Metrô de Belo Horizonte,1号線
MC Serginho & Lacraia,MCセルジーニョ&ラクライア
Miss Bahia,ミス・バイーア
Miss Brasil 1963,ミス・ブラジル1963
Miss Brasil 1968,ミス・ブラジル1968
Krona Futsal,ジョインヴィレ・フットサル
Palestra Futebol Clube,パレストラFC
Palestra Futebol Clube (Sergipe),パレストラFC (セルジッペ州)
Kinkaku-ji,ブラジル金閣寺
Novo Futebol Clube,ノヴォペラリオFC
Montes Claros Futebol Clube,モンテス・クラロスFC
Núcleo de Informação e Coordenação do Ponto BR,ブラジルネットワーク情報センター
Palmeiras Sport Club,パルメイラスSC
Monotrilho de Poços de Caldas,ポソス・デ・カルダス・モノレール
Laguna Araruama,アラルアマラグーン
Laranjeiras (Cariacica),ラランジェイラス
Laranjeiras (Belo Horizonte),ラランジェイラス
Laranjeiras (Serra),ラランジェイラス
Laranjeiras (Santa Inês),ラランジェイラス
Nerópolis Esporte Clube,ネロポリスEC
Panteão Duque de Caxias,カシアス公爵霊廟
Parque Estadual Serra do Rola Moça,セーハ・ド・ローラ・モッサ州立公園
Parque Estadual de Campinhos,カンピーニョス州立公園
Paracuru Atlético Clube,パラクルAC
Estação Amador Bueno,アマドールブエノ
Paragominas Futebol Clube,パラゴミナスFC
Paraíba do Sul Futebol Clube,パライーバ・ド・スルFC
Museu Carmen Miranda,カルメン・ミランダ美術館
O Esporte,オ・エスポルチ
Museu Histórico Municipal de Guajará-Mirim,グアジャラ・ミリン歴史博物館
Museu Histórico da Imigração Japonesa no Brasil,ブラジル日本移民史料館
Marreco Futsal,マレコ・フットサル
Largo do Pelourinho,ペロウリーニョ広場
Partido Regressista,反動党
Parque São Jorge,パルケ・サン・ジョルジ
Parque Estadual do Rio Doce,ドセ川州立公園
Passagem Futebol Clube,パサージェンFC
Passo Torto,パッソ・トルト
Martins Fontes (editora),Martins Fontes
Observatório Astronômico Dietrich Schiel,USP天文台
Parque Ipupiara,イプピアーラ公園
Parque Estadual Rio Negro Setor Norte,ネグロ川州立公園北地区
Parque Estadual Rio Negro Setor Sul,ネグロ川州立公園南地区
Parque Estadual Serra Santa Bárbara,サンタ・バルバラ山脈州立公園
Parque Estadual da Cantareira,カンタレイラ州立公園
Parque Estadual da Ilha Grande,イーリャ・グランジ州立公園
Mariuá,マリウア諸島
Movimento de Combate à Corrupção Eleitoral,腐敗選挙打倒運動
Pato Futsal,パト・フットサル
Oi Móvel,オイモバイル
Museu Afro-Brasileiro,アフロ ブラジル博物館
Moçambique (dança),モザンビーク
Museu da Cidade,市立博物館 (サルヴァドール)
Museu da Estrada de Ferro Madeira-Mamoré,マデイラ・マモレ鉄道博物館
Museu Nacional da República,ブラジリア国立博物館
Operador Nacional do Sistema Elétrico,全国電力系統運営機構
Lei de Segurança Nacional,国家安全保障法
Parque Estadual Carlos Botelho,カルロス・ボテリョ州立公園
Parque Estadual da Graciosa,グラジオサ州立公園
Parque Estadual Intervales,インテルヴァレシュ州立公園
Partido Democrata Cristão,キリスト教民主党 (ブラジル 1985-1993)
Patriota,愛国者
Parque Nacional de Sete Cidades,セッテ・シダーデス国立公園
Parque Nacional do Descobrimento,デスコブリメント国立公園
Parque Nacional do Monte Pascoal,モンテ・パスコアル国立公園
O Mistério das Máscaras de Chumbo,リードマスク事件
Parque da Mônica,パルケ・ダ・モニカ
Museu da Pessoa,人物博物館
Pelo Telefone,ペロ・テレフォーニ
"Museu de Armas, Veículos e Máquinas Eduardo André Matarazzo",エドゥアルド・アンドレ・マテラッツォ武器自動車機械博物館
Perus,プラス区
Pesqueira Futebol Clube,ペスケイラFC
Orquestra Sinfônica Nacional (OSN-UFF),国立交響楽団
Ordem e Progresso (livro),秩序と進歩
Ordem do Ipiranga,イピランガ勲章
Ordem do Mérito Cultural (Brasil),文化勲章 (ブラジル)
Ratrans Esporte Clube,ラトランスEC
Periodização da história do Brasil,ブラジル史の時代区分
Praça Sáenz Peña,サエンス・ペーニャ
Praça Tomé de Souza,トメ ジ ソウザ広場
Presidente Prudente Futebol Clube,プレジデンテ・プルデンテFC
Jovem Pan,ジョーヴェン・パン
Museu dos Transportes Públicos Gaetano Ferolla,サンパウロ公共交通博物館
Museu dos dinossauros (Uberaba),恐竜博物館 (ウベラバ)
NAsH Doutor Montenegro (U-16),ドトール・モンテネグロ (病院船)
NT Marajó (G-27),マラジョ
Pinheirense Esporte Clube,ピニェイレンセEC
Praia do Farol da Barra,バーハ海岸
Rede Sustentabilidade,持続可能性ネットワーク
PIS/PASEP,社会統合基金／公務員財形計画
Princesa do Brasil,ブラジル皇女
Campo de Santana,カンポ・デ・サンタナ
Praça do Japão (Curitiba),日本広場（クリチバ）
Red Cross Football Club,レッドクロスFC
Nacional Foot-Ball Club,ナシオナルFC (リオデジャネイロ州)
Ribeira,ヒベイラ
Os Posbis,ポスビ
Praia do Pontal,ポンタル (リオデジャネイロ)
Super Rádio Brasil,ジョルナル・ド・ブラジル放送
Planetário do Rio de Janeiro,リオデジャネイロプラネタリウム
real,レアル
relações entre Brasil e China,中国とブラジルの関係
Rio Branco,ブランコ川
Quadrilátero Ferrífero,鉄の四角形
Projeto FX-2,FX-2選定
Projeto Grande Carajás,グランデ・カラジャス計画
Polícia Militar do Estado de São Paulo,サンパウロ州軍警察
Sagrado Coração da Terra,サグラド・コラソン・ダ・テッラ
Prêmio Profissionais do Ano,年間最優秀賞
relações entre Brasil e Líbano,ブラジルとレバノンの関係
Santa Cruz Futebol Clube (Rio Grande do Norte),サンタクルスFC (リオグランデ・ド・ノルテ州)
Rio Guanhães,グァニャンイス
Reserva Extrativista do Rio Unini,ウニニ川採取保護区
Reserva Extrativista do Rio Jutaí,ジュタイー川保全区
Reserva Particular do Patrimônio Natural Salto Morato,サルト・モラト自然遺産特別保護区
Ponte do Fandango,ファンダンゴ橋
Reserva Natural Vale,リニャレシュ森林保護区
Reserva da Biosfera da Mata Atlântica,大西洋森林生態系保護区
Reserva de Marapendi,レセルバ・デ・マラペンディ
Santo Amaro,サント・アマロ (レシフェ)
Rio Itapará,イタパラ川
Porto Novo (Cariacica),ポルトノボ
Porto Novo (São Gonçalo),ポルトノボ
Porto Novo (Santana),ポルトノボ
Porto de Galinhas,ポルト・ジ・ガリーニャス
Rio Jundiaí,ジュンディアイ川
Rio Laranjeiras (Paraná),ラランジェイラス川
Rio Laranjeiras (Paraíba),ラランジェイラス川
Serviço Brasileiro de Apoio às Micro e Pequenas Empresas,零細・小企業支援サービス機関
Serviço Social do Comércio,社会商業サービス
Rio Jaú,ジャウー川
Porto de Paranaguá,パラナグア港
Portuguesa Futebol Clube,ポルトゥゲーザFC
Secretaria-Geral da Presidência da República,国家総監督省
Secretaria da Receita Federal do Brasil,ブラジル連邦歳入庁
Praia Clube Uberlândia,プライア・クルーベ
Segundo reinado,第二帝政
Seleção Brasileira de Judo,柔道ブラジル代表
Serra Negra Futebol Clube,セラ・ネグラFC
TUE Mafersa 700,700形電車
TUE Nippon Sharyo/Hitachi/Kawazaki-Série 100,100系
Sistema Interligado Nacional,全国接続システム
Símbolos do Brasil,ブラジルの国の象徴
Só Preto sem Preconceito,ソー・プレート・セイム・プレコンスィート
Semeando Cidadania Futebol Clube,セメアンド・シダダニアFC
Sociedade Educação Física Juventus,SEFジュベントス
Sociedade Esportiva Alvorada Club,マリンガFC
Torneio Início do Paraná,トルネイオ・イニシオ・ド・パラナ
Torneio Norte-Nordeste,トルネイロ・ノルテ＝ノルデステ
VLT Carioca,ライトレール
Rio das Ostras Futebol Clube,リオ・ダス・オストラスFC
Sociedade Esportiva Kindermann,SEキンデルマン
Sociedade Esportiva Planaltina,SEプラナウチーナ
Sociedade Esportiva Platinense,SEプラチネンセ
Sociedade Esportiva Recreativa Perdigão,SERペルジゴン
Sociedade Esportiva Santa Maria,SEサンタマリア
Sociedade Esportiva e Cultural Flamengo,SECフラメンゴ
River Football Club,リヴェルFC
Rocco (editora),ロッコ
Valinhos Futebol Clube,ヴァリーニョスFC
Vaquejada,Ｖaquejada
Varginha Esporte Clube,ヴァルジーニャEC
Sport Club Guarany (Rosário do Sul),SCグアラニー (リオグランデ・ド・スル州)
Sport Club Internacional (Mato Grosso),SCインテルナシオナル (マットグロッソ州)
Sport Club Internacional (São Borja),SCインテルナシオナル (リオグランデ・ド・スル州)
Sport Club Juiz de Fora,スポルチ・ジュイス・デ・フォーラ
Rosa de Hiroshima,ホーザ・ジ・ヒロシマ
Veador,ヴェアドル
Sociedade Sportiva Sete de Setembro,SSセテ・ジ・セテンブロ
Sport Clube Santa Cruz (Estância),SCサンタクルス (セルジッペ州)
Stefanini IT Solutions,ステファニーニITソリューションズ
Venda Nova Futebol Clube,ヴェンダ・ノヴァFC
Tramways Sport Club,トランバイスSC
Rua Conde de Sarzedas,コンデ・デ・サルゼーダス通り
Trem Urbano de Maceió,マセイオ地下鉄
Sistema de Trens do Subúrbio de Salvador,近郊鉄道
Trem Intra Metropolitano,サントスTIM
Vickers Viscount FAB VC 90,ヴィッカースVC-90
Trespontano Atlético Clube,トレス・ポンターノAC
Viação Itapemirim,イタペミリン
SuperVia - Série 3000,Supervia3000形電車
Vivo Rio,リオデジャネイロ
Vila Emil,ヴィラ・エミル
Trio Madrigal,トリオ・マドリガル
Troféu Gustavo Kuerten,トロフェウ・グスタヴォ・クエルテン
talha dourada,ターリャ・ドウラーダ
São Gonçalo Esporte Clube,サン・ゴンサロEC
Tarumã,タルマン
Vila Isabel,ヴィラ・イサベル
Vila Nova Futebol Clube (Rio Grande do Norte),ヴィラ・ノヴァFC (リオグランデ・ド・ノルテ州)
Vila Nova Futebol Clube (Espírito Santo),ヴィラ・ノヴァFC (エスピリトサント州)
Vila Operária Clube Esporte Mariano,ヴィラ・オペラリオ・クルーベ・エスポルテ・マリアノ
Voo Cruzeiro do Sul 109,クルゼイロ航空109便墜落事故
Voo Transbrasil 801,トランス・ブラジル航空801便墜落事故
São Bento Futebol Clube,サンベントFC
São Domingos Esporte Clube,サン・ドミンゴスEC
São Francisco Futebol Clube (Roraima),サン・フランシスコFC (ロライマ州)
São Francisco Futebol Clube (Santarém),サンフランシスコFC (パラー州)
São Mateus,サン・マテウス
São Pedro do Rio Grande do Sul,サン・ペドロ・ド・リオ・グランデ・ド・スル州
Xuxa Especial de Natal,クリスマス スペシャル シュクサ
Ypiranga Esporte Clube,イピランガEC
Ypiranga Futebol Clube (Niterói),イピランガFC (ニテロイ)
Ypiranga Futebol Clube (Macaé),イピランガFC (マカエ)
Ypiranga Futebol Clube (Palmeira),イピランガFC (パラナ州)
Taça Estado da Bahia,タッサ・エスタド・ダ・バイーア
Ypiranga Futebol Clube (São Francisco do Sul),イピランガFC (サンタカタリーナ州)
Ypiranga Futebol Clube Valença,イピランガFC (バイーア州)
Teleférico do Alemão,テレフェリコ・ド・アレマン
Águas Lindas (Belém),アーグァス・リンダス
Área de Proteção Ambiental Serra do Mar,セラ・ド・マル景観保護地域
Área de Proteção Ambiental das Reentrâncias Maranhenses,レエントランシアス・マラニェンセス環境保護区
Área de Proteção Ambiental de Cairuçu,カイルス環境保護区
Área de Relevante Interesse Ecológica Projeto Dinâmica Biológica de Fragmentos Florestais,森林の断片の生物学的動学プロジェクトに関連する生態学的関心地域
Ato Institucional Número Três,令第３条
Ato Institucional Número Oito,令第８条
Universidade Federal de Lavras,UFLA（ラブラス市立大学）
Universidade Federal do Acre,アクレ連邦大学
Universidade Federal do Espírito Santo,エスピリト・サント連邦大学
Final da Copa das Confederações FIFA de 2013,2013 FIFAコンフェデレーションズカップ・決勝
Aeroporto de Barreirinhas,バヘイリーニャス空港
Aeroporto de Itumbiara,イツンビアラ空港
Aeroporto de Lucas do Rio Verde,ルカス・ド・リオ・ヴェルデ空港
eleições municipais no Brasil em 1988,1988年ブラジル地方選挙
Universidade da Integração Internacional da Lusofonia Afro-brasileira,ポルトガル語圏アフリカ・ブラジル国際統合大学
Universidade do Estado da Bahia,バイーア州立大学
Universidade Ibirapuera,イビラプエラ大学
Universidade Paulista,パウリスタ大学
Universidade Santa Cecília,サンタ・セシーリア大学
Assembleia Legislativa do Acre,アクレ州議会
União Atlética Araguainense,ウニオン・アトレーチカ・アラグアイネンセ
Campeonato Sul-Americano de Futebol Feminino Sub-19 de 2004,2004 U-19スダメリカーノ・フェメニーノ
Jungle Fight,Jungle Fight
ATHLETA,アスレタ
Escola Japonesa de São Paulo,サンパウロ日本人学校
Compra e venda de votos,票の交換
Estádio Municipal Dr. Waldemiro Wagner,エスタジオ・ムニシパル・ドトール・バウデミーロ・バグネル
Nikkey Shimbun,ニッケイ新聞
Pirarrãs,ピダハン族
Centenário da imigração japonesa ao Brasil,日本ブラジル交流年
Linha 16 do Metrô de São Paulo,サンパウロ地下鉄16号線
Embaixada da Suécia em Brasília,在ブラジルスウェーデン大使館
Língua taurepangue,ペモン語
1808 no Brasil,1808年のブラジル
1835 no Brasil,1835年のブラジル
1871 no Brasil,1871年のブラジル
1872 no Brasil,1872年のブラジル
1880 no Brasil,1880年のブラジル
1971 no Brasil,1971年のブラジル
1972 no Brasil,1972年のブラジル
1975 no Brasil,1975年のブラジル
1979 no Brasil,1979年のブラジル
1991 no Brasil,1991年のブラジル
1992 no Brasil,1992年のブラジル
Barra Futebol Clube,バーラFC
Torneio Internacional Cidade de São Paulo de 2012,国際女子サッカートーナメント2012
quermesse,キルメス
Academia de Futebol,アカデミア・ジ・フッチボウ
Caxirola,カシローラ
futebol nos Jogos Olímpicos de Verão de 2016,2016年リオデジャネイロオリンピックのサッカー競技
tiro com arco nos Jogos Olímpicos de Verão de 2016,2016年リオデジャネイロオリンピックのアーチェリー競技
Judo nos Jogos Olímpicos de Verão de 2016,2016年リオデジャネイロオリンピックの柔道競技
andebol nos Jogos Olímpicos de Verão de 2016,2016年リオデジャネイロオリンピックのハンドボール競技
1881 no Brasil,1881年のブラジル
1894 no Brasil,1894年のブラジル
1927 no Brasil,1927年のブラジル
1929 no Brasil,1929年のブラジル
1932 no Brasil,1932年のブラジル
1934 no Brasil,1934年のブラジル
1946 no Brasil,1946年のブラジル
Base Aérea Naval de São Pedro da Aldeia,サン・ペドロ・ダ・アルデイア海軍航空基地
Barroco mineiro,ミナス・バロック
luta nos Jogos Olímpicos de Verão de 2016,2016年リオデジャネイロオリンピックのレスリング競技
ciclismo nos Jogos Olímpicos de Verão de 2016,2016年リオデジャネイロオリンピックの自転車競技
1996 no Brasil,1996年のブラジル
1999 no Brasil,1999年のブラジル
2001 no Brasil,2001年のブラジル
2003 no Brasil,2003年のブラジル
pentatlo moderno nos Jogos Olímpicos de Verão de 2016,2016年リオデジャネイロオリンピックの近代五種競技
boxe nos Jogos Olímpicos de Verão de 2016,2016年リオデジャネイロオリンピックのボクシング競技
Brasil na Copa do Mundo FIFA,FIFAワールドカップブラジル代表
A Terceira Potência,第三勢力
Campeonato Mundial de Judo de 2013,2013年世界柔道選手権大会
Brasil no Campeonato Mundial de Atletismo de 2013,2013年世界陸上競技選手権大会ブラジル選手団
remo nos Jogos Olímpicos de Verão de 2016,2016年リオデジャネイロオリンピックのボート競技
badminton nos Jogos Olímpicos de Verão de 2016,2016年リオデジャネイロオリンピックのバドミントン競技
Campeonato Sul-Americano de Voleibol Masculino de 2013,2013年バレーボール男子南米選手権
Brasil no Campeonato Mundial de Atletismo,世界陸上競技選手権大会ブラジル選手団
natação sincronizada nos Jogos Olímpicos de Verão de 2016,2016年リオデジャネイロオリンピックのシンクロナイズドスイミング競技
1947 no Brasil,1947年のブラジル
1951 no Brasil,1951年のブラジル
1955 no Brasil,1955年のブラジル
1960 no Brasil,1960年のブラジル
1962 no Brasil,1962年のブラジル
1965 no Brasil,1965年のブラジル
1966 no Brasil,1966年のブラジル
Brasil nos Jogos Pan-Americanos de 1959,1959年パンアメリカン競技大会のブラジル選手団
Mosqueiro,モスケイロ島
Linha Oeste do Metrô de Fortaleza,2号線
1885 no Brasil,1885年のブラジル
1933 no Brasil,1933年のブラジル
1953 no Brasil,1953年のブラジル
1954 no Brasil,1954年のブラジル
Guarda Nacional,国民衛兵
saltos para a água nos Jogos Olímpicos de Verão de 2016,2016年リオデジャネイロオリンピックの飛込競技
ginástica nos Jogos Olímpicos de Verão de 2016,2016年リオデジャネイロオリンピックの体操競技
BR,BR
Albuquerque,アルブケルケ
Brasilsat B2,ブラジルサットB2
Agência Nacional de Transportes Aquaviários,国家水上輸送庁
lista de governadores do Rio Grande do Sul,リオグランデ・ド・スル知事
Andradina Futebol Clube,アンドラジーナFC
Angra (mitologia),アングラ
Angu,アングー
Voleibol nos Jogos Olímpicos de Verão de 2016 - Masculino,2016年リオデジャネイロオリンピックのバレーボール競技・男子トーナメント
Botafogo Esporte Clube,ボタフォゴEC
Grêmio Recreativo e Esportivo Reunidas,GRWRアラサトゥバ
Grand Prix de Futsal de 2013,2013 グランプリ・デ・フットサル
Estrada de Ferro Vitória a Minas,ヴィトーリア・ミナス鉄道
SNJN,ジャヌアリア空港
Copa Paulista de Futebol de 2010,コパ・パウリスタ
Minas Tênis Clube,ミナス・テニス・クルーベ
América Football Club,アメリカFC (パライバ州)
América-Paraná Sport Club,アメリカ＝パラナSC
Consulado-geral da França no Rio de Janeiro,在リオデジャネイロ・フランス総領事館
Consulado-Geral da França em São Paulo,在サンパウロフランス総領事館
pólo aquático nos Jogos Olímpicos de Verão de 2016,2016年リオデジャネイロオリンピックの水球競技
Atlântida do Brasil,リオグランデ海膨
Associação Atlética Araçariguama,AAアラサリグアマ
Araioses Futebol Clube,アライオセスFC
Aeroporto de São Miguel do Oeste,サン・ミゲウ・ド・オエステ空港
Aeroporto de Cianorte,ガストン・メスキータ空港
Associação Esportiva Guaratinguetá,アソシアソン・エスポルチーヴァ・グアラチンゲタ
Associação Maringaense de Futsal,アソシエーション・マリンガエンセ・デ・フートサル
Atentado da rua Tonelero,トネレロ通り襲撃事件
Atlan e Árcon,アルコン帝国
Atlântico Esporte Clube,アトランチコEC
1925 no Brasil,1925年のブラジル
Aeroporto de Valença,バレンシア
Aeródromo Barreirinha,バヘイリーニャ空港
Vôlei Brasil Centro de Excelência,マリンガ (バレーボール)
Arena Condá,アレーナ・コンダ
Linha Centro do Metrô do Recife,Linha Centro線
UFC Fight Night: Miocic vs. Maldonado,UFC Fight Night: Miocic vs. Maldonado
Copa Verde de Futebol,コパ・ヴェルデ
Embraer E-Jets E2,エンブラエル E-Jet E2
Associação Atlética Juventus Minasnovense,AAジュベントス・ミナスノヴェンセ
Associação Atlética Maguari,AAマガリー
Associação Atlética Portuguesa,AAポルトゥゲーザ (マットグロッソ・ド・スル州)
Associação Beneficente Esportiva Flamengo,ABEフラメンゴ
Associação Desportiva Atlanta,ドーセ・メウEC
Convocações para a Copa do Mundo de 2014,2014 FIFAワールドカップ参加チーム
Rio Mucuim,ムカム川
Centro Esportivo Arraial do Cabo,アライアル・ド・カボ
Copa Libertadores da América de Futebol Feminino de 2014,コパ・リベルタドーレス・フェメニーナ2014
Teodoro Sampaio,テオドロ・サンパイオ
Aeródromo Parati,パラチー空港
Aeródromo Municipal José Figueiredo,パッソス空港
1941 no Brasil,1941年のブラジル
1943 no Brasil,1943年のブラジル
Clube Andraus Brasil Ltda,クルーベ・アンドラス・ブラジル
Clube Atlético da Barra da Tijuca,CAバラ・ダ・チジュカ
Aeródromo Xinguara,シングァラ市営空港
Associação Atlética Comercial,AAコメルシアウ
esgrima nos Jogos Olímpicos de Verão de 2016,2016年リオデジャネイロオリンピックのフェンシング競技
Brasil na Copa do Mundo FIFA de 2014,2014 FIFAワールドカップブラジル代表
Campeonato Sul-Americano de Futebol Feminino Sub-20 de 2014,U-20南米選手権
UFC Fight Night: Machida vs. Mousasi,UFC Fight Night 36
CBERS-2B,資源1号02B星
CBERS-1,資源1号01星
CBERS-2,資源1号02星
Belém,ベレン
Assembleia Legislativa do Piauí,ピアウイ州議会
Brasil nos Jogos Olímpicos de Inverno de 2014,2014年ソチオリンピックのブラジル選手団
Cenibra,セニブラ
Miss Brasil Mundo,ミス・ワールド・ブラジル
Copa Valais de Futebol Feminino de 2013,ヴァレー女子カップ2013
Clube Atlético Pernambucano,CAペルナンブカーノ
protestos no Brasil em 2013,2013年ブラジル抗議運動
Guaraci,パラナ州
MAN-1,MAN-1 (ミサイル)
1944 no Brasil,1944年のブラジル
Partido Progressista,進歩党
Nippon,NIPPON (椎名林檎の曲)
Companhia Nacional de Abastecimento,国家配給公社
Miss Bumbum,ミス・ブンブン
Aeroporto de Lages,ラジェス空港 (ブラジル)
Valais Youth Cup,ヴァレーユースカップ
1910 no Brasil,1910年のブラジル
1967 no Brasil,1967年のブラジル
Grande Prémio do Brasil de 2014,2014年ブラジルグランプリ
Clube Atlético Diadema,CAジアデマ
Clube Atlético Internacional,CAインテルナシオナル
Copa do Mundo FIFA de 2014 – Fase final,2014 FIFAワールドカップ・決勝トーナメント
Reserva Biológica Estadual da Praia do Sul,プライアドスル生物保護区
Brasil nos Jogos Paralímpicos de Inverno de 2014,2014年ソチパラリンピックのブラジル選手団
Instituto Tomie Ohtake,大竹富江文化センター
Mumbuca,ムンブーカ
Clube de Esportes União,CEウニオン
Lagoa,ラゴア
1822 no Brasil,1822年のブラジル
1838 no Brasil,1838年のブラジル
Torneio Internacional Cidade de São Paulo de 2013,国際女子サッカートーナメント2013
Campeonato Brasileiro de Futebol de 2014 - Série A,2014 カンピオナート・ブラジレイロ・セリエA
1896 no Brasil,1896年のブラジル
Beneficência Nipo-Brasileira de São Paulo,サンパウロ日伯援護協会
Campeonato Sul-Americano de Futebol Feminino de 2014,2014 女子コパ・アメリカ
triatlo nos Jogos Olímpicos de Verão de 2016,2016年リオデジャネイロオリンピックのトライアスロン競技
1903 no Brasil,1903年のブラジル
1905 no Brasil,1905年のブラジル
1904 no Brasil,1904年のブラジル
Torneio de tênis do Rio de Janeiro,リオ・オープン
Partido Republicano da Ordem Social,社会秩序の共和党
Brasil 1–7 Alemanha,ミネイロンの惨劇
1874 no Brasil,1874年のブラジル
1848 no Brasil,1848年のブラジル
1852 no Brasil,1852年のブラジル
1893 no Brasil,1893年のブラジル
Aeroporto de Feijó,フェイジョ空港
Brasil nos Jogos Pan-Americanos de 2015,2015年パンアメリカン競技大会のブラジル選手団
Aeroporto de Teixeira de Freitas,テイシェイラ・デ・フレイタス空港
Federação das Indústrias do Estado do Rio de Janeiro,リオデジャネイロ州工業連盟
Província de Minas Gerais,ミナス・ジェライス州
Campeonato da Região Serrana,コパ・セラナ
Clube Nacional Borbense,クルーベ・ナシオナル・ボルレンセ
Clube Náutico Almirante Barroso,CNアルミランテ・バローゾ
Clube Atlético Tricordiano,CAトリコルジアーノ
Cacique de Ramos,カシキ・ヂ・ハモス
Clube de Regatas Tietê,レガタス・チエテ
basquetebol nos Jogos Olímpicos de Verão de 2016,2016年リオデジャネイロオリンピックのバスケットボール競技
Clube Esportivo Flamengo,CEフラメンゴ
Clube Esportivo Guarani,CEグアラニー
Clube Esportivo Miguelense,CEミゲレンセ
Clube Esportivo União,CEウニオン
1919 no Brasil,1919年のブラジル
