Leandro Damião,レアンドロ・ダミアン・ダ・シウバ・ドス・サントス
Fernando Reges,フェルナンド・フランシスコ・レゲス
Thiago Heleno,チアゴ・エレーノ・エンリケ・フェレイラ
Danni Suzuki,ダニエリ・スズキ
José Carlos da Costa Araújo,ジョゼ・カルロス・ダ・コスタ・アラウージョ
Edu Lobo,エドゥ・ロボ
Juliano Mineiro Fernandes,ジュリアーノ・ミネイロ・フェルナンデス
Marcos Rogério Ricci Lopes,マルコス・ホジェリオ・ヒッシ・ロペス
Dudu Dantas,エドゥアルド・ダンタス
Rosimar Amancio,ロシマール・アマンシオ
Ricardo Cruz,ヒカルド・クルーズ
Egídio (futebolista),エジージオ・ジ・アラウージョ・ペレイラ・ジュニオール
Bruna Marquezine,ブルーナ・マルケジーニ
Marcos Antônio de Lima,マルコス・アントニオ・ジ・リマ
Constantino Tsallis,コンスタンティーノ・ツァリス
Dentinho,ブルーノ・フェレイラ・ボンフィム
Athirson,アチルソン・マゾーリ・デ・オリヴェイラ
Thiago Martinelli,チアゴ・マルチネッリ・ダ・シウバ
Cléber Santana,クレーベル・サンタナ・ロウレイロ
Pedro Rocha,ペドロ・ローシャ
Alex Teixeira,アレックス・テイシェイラ・サントス
Dadá Maravilha,ダダ・マラヴィーリャ
André Bahia,アンドレ・ルイス・バイア・ドス・サントス・ヴィアナ
Jéssica Pauletto,ジェシカ・パウレット
Jorge Ricardo,ジョルジ・リカルド
Rodrigo Gracie,ホドリゴ・グレイシー
Heberty,ヘベルチ・フェルナンデス・デ・アンドラーデ
Carlos Eduardo de Oliveira Alves,カルロス・エドゥアルド・デ・オリベイラ・アウベス
Eduardo (futebolista),カルロス・エドゥアルド・サントス・オリベイラ
Carlos Honorato,カルロス・オノラト
Péricles Chamusca,ペリクレス・シャムスカ
Felipe Santana,フェリピ・アウグスト・サンターナ
Luiz Marcelo Morais dos Reis,ルイス・マルセロ・モライス・ドス・ヘイス
André Felipe Ribeiro de Souza,アンドレ・フェリペ・リベイロ・デ・ソウザ
Ferdinando Pereira Leda,フェルジナンド・ペレイラ・レダ
Musashi Mizushima,水島武蔵
John Neschling,ジョン・ネシュリング
Carlson Gracie,カーウソン・グレイシー
André Lima (futebolista),アンドレ・ルイス・バヘート・シウヴァ・リマ
Wendel Geraldo Maurício e Silva,ヴェンデウ・ジェラウド・マウリシオ・エ・シウヴァ
André Nascimento,アンドレ・ナシメント
Fernando Menegazzo,フェルナンド・メネガッゾ
Wilson Mano,ウィルソン・カルロス・マノ
Hugo Guimarães Silva Santos Almeida,ウーゴ・ガマラス・シルヴァ・サントス・アルメイダ
Glover Teixeira,グローバー・テイシェイラ
Lombardi,ルイス・ロンバルディ・ネト
Vânia Ishii,バニア・イシイ
Murilo Antunes Alves,ムリーロ・アントゥネス・アウベス
Socorro Acioli,ソコーホ・アシオリ
Zuluzinho,ズルジーニョ
Charles Dias,シャルレス・ディアス・デ・オリヴェイラ
Cézar Ferreira,セザール・フェレイラ
Chiaki Ishii,チアキ・イシイ
Charles Oliveira,チャールズ・オリベイラ
André Ramalho,アンドレ・ラマーリョ・シルバ
André Domingos,アンドレ・ダ・シルバ
Araken Patusca,アブラアム・パツスカ・ダ・シウヴェイラ
Bruno Junqueira,ブルーノ・ジュンケイラ
José Carlos Serrão,ジョゼ・カルロス・セホーン
Luiz Azeredo,ルイス・アゼレード
Rodrigo Fabri,ロドリゴ・ファブリ
Flávio Canto,フラビオ・カント
Sertão (pugilista),ヴァルデミール・ペレイラ
Poliana Okimoto,ポリアナ・オキモト
Ismaily Gonçalves dos Santos,イスマイリー・ゴンサウヴェス・ドス・サントス
Roberto Burle Marx,ロバート・ブール・マルクス
Ewerthon Henrique de Souza,エベルトン・エンリケ・デ・ソウザ
Tony Kanaan,トニー・カナーン
Anfilogino Guarisi,アンフィロジーノ・グアリージ
Ronaldo Nazário,ロナウド
Cristina Ortiz,クリスティーナ・オルティス
Cosmo Alexandre,コスモ・アレキサンドラ
Manabu Mabe,マナブ間部
Murilo Rua,ムリーロ・ニンジャ
Mara Leão,マーラ・レオン
Jefferson Nascimento,ジェフェルソン・モレイラ・ナシメント
Jorge Luiz Frello Filho,ジョルジ・ルイス・フレーロ・フィーリョ
Renan Dal Zotto,レナン・ダル・ゾット
Paulo César Tinga,パウロ・セザール・フォンセカ・ド・ナシメント
Kaká,カカ・(サッカー選手)
Elzo Aloísio Coelho,エウゾ・アロイージオ・コエーリョ
Edílson Capetinha,エジウソン・ダ・シルバ・フェレイラ
Carlos Gracie Jr.,カーロス・グレイシーJr
"Maria Isabel de Alcântara, Condessa de Iguaçu",マリア・イザベル・デ・アルカンタラ・ボルボン
Vladimir (futebolista),ヴラジミール・オルランド・カルドソ・ジ・アラウージョ・フィーリョ
Nelson Cavaquinho,ネルソン・カヴァキーニョ
Júnior Morais,イラニウトン・ソウザ・モライス・ジュニオール
Jeci,ジェシマウロ・ジョゼ・ボルゲス
Jacques Huber,ジャック・ユーベル
Daniel Carvalho (futebolista),ダニエウ・ダ・シウヴァ・カルヴァーリョ
Cristiano da Silva,クリスティアーノ・ダ・シウヴァ
Angelo Agostini,アンジェロ・アゴスティーニ
Wilson Piazza,ヴィウソン・ダ・シウバ・ピアッザ
Greco-brasileiro,ギリシャ系ブラジル人
Jorge Gurgel,ジョルジ・グージェウ
Mattheus Oliveira,マテウス・デ・アンドラージ・ガマ・デ・オリベイラ
Pedro Américo,ペドロ・アメリコ
Edmar Aparecido,エジマール・デ・ラセルダ・アパレシーダ
Héctor Babenco,エクトール・バベンコ
Libanês-brasileiro,レバノン系ブラジル人
Luan Madson Gedeão de Paiva,ルアン・マドソン・ゲデオン・デ・パイバ
Leonardo Silva,レオナルド・ファビアーノ・ダ・シウヴァ・エ・シウヴァ
Santos (futebolista),アデルバル・メロ・ドス・サントス・ネト
Roberto Jefferson,ロベルト・ジェフェルソン
Milton Nascimento,ミルトン・ナシメント
Luiz Fernando Pereira da Silva,ルイス・フェルナンド・ペレイラ・ダ・シウヴァ
Manoel Messias Silva Carvalho,マノエウ・メシアス・シウヴァ・カルヴァーリョ
Marcelo Oliveira Ferreira,マルセロ・オリヴェイラ・フェレイラ
Marcelo Cordeiro,マルセロ・コルデイロ・ジ・ソウザ
Walter Henrique da Silva,ワウテル・エンリケ・ダ・シウバ
Marcelo Gonçalves,マルセロ・ゴンサウヴェス・コスタ・ロペス
Michelle Pavão,ミシェリ・パボン
Antônio Rodrigo Nogueira,アントニオ・ホドリゴ・ノゲイラ
Cristiano Marcello,クリスチャーノ・マルセロ
Daniel Serra,ダニエル・セラ
Marlon Sandro,マルロン・サンドロ
Mari Paraíba,マリアナ・コスタ
Marquinhos Gabriel,マルコス・ガブリエウ・ド・ナシメント
Alan Mineiro,アラン・カッシオ・ダ・クルス
Alan Leandro,アラン・レアンドロ・ダ・シウヴァ・ピニェイロ
Monique Pavão,モニーキ・パボン
Telmário de Araújo Sacramento,テルマリオ・デ・アラウージョ・サクラメント
Márcia Fu,マルシア・クーニャ
Natasha Farinéa,ナターシャ・ファリネア
Márcio Azevedo,マルシオ・ゴンザガ・ジ・アゼヴェド
Alan Santos,アラン・サントス・ダ・ジルバ
Nathan Ribeiro,ナタン・オタヴィオ・ヒベイロ
Mário Sérgio Santos Costa,マリオ・セルジオ・サントス・コスタ
Raimundo Nonato da Silva,ライムンド・ノナット・ダ・シウバ
Douglas Lima,ドゥグラス・リマ
Alexandre Pölking,アレシャンドレ・ペルキング
Gabi Garcia,ギャビ・ガルシア
Alexandre Ferreira (lutador),アレッシャンドリ・カカレコ
Alexandre Gallo,アレッシャンドレ・タデウ・ガーロ
Otávio Monteiro,オタヴィオ・エジミウソン・ダ・シウヴァ・モンテイロ
George Arias,ジョージ・アリアス・(ボクサー)
David França Oliveira e Silva,ダヴィド・フランサ・オリヴェイラ・エ・シウヴァ
Patric Cabral Lalau,パトリック・カブラウ・ララウ
Gilbert Burns,ギルバート・バーンズ
Geuvânio,ジェウヴァニオ・サントス・シウヴァ
"Alison (futebolista, 1993)",アリソン・ロペス・フェレイラ
Paulo Miranda de Oliveira,パウロ・ミランダ・ジ・オリヴェイラ
Adriano Pagode,アドリアーノ・ビスポ・ドス・サントス
Dória (futebolista),マテウス・ドリア・マセド
Rodrigo Caio,ロドリゴ・カイオ・コケッチ・ルッソ
Rodolfo Bernardelli,ロドルフォ・ベルナルデリ
Douglas Silva Bacelar,ドウグラス・シウヴァ・バセラール
Marcelo Nascimento da Costa,マルセロ・ナシメント・ダ・コスタ
Rorion Gracie,ホリオン・グレイシー
Alisson Euler de Freitas Castro,アリソン・エウレル・ジ・フレイタス・カストロ
Dellatorre,ギリェルミ・アウグスト・アウヴェス・デラトーレ
Pri Daroit,プリシラ・ダロイト
Rafael Tolói,ラファエウ・トロイ
Lela,ヘイナウド・フェリスビーノ
Rafael Pinheiro,ラファエウ・ジ・アンドラージ・ビッテンコウルト・ピニェイロ
Douglas Vieira,ダグラス・ビエイラ
Drussyla Costa,ドルシラ・コスタ
Renan Oliveira,ヘナン・エンヒキ・オリヴェイラ・ヴィエイラ
Rhodolfo,ルイス・ロドウフォ・ジニ・ガイオト
Amanda Nunes,アマンダ・ヌネス
Glaydson,グライジソン・マルセリーノ・フレイリ
Lenny (futebolista),レニー・フェルナンデス・コエリョ
Gracinha Leporace,グラシーニャ・レポラーセ
Guilherme Marques (futebolista),ギリェルメ・コスタ・マルケス
Ana Beatriz Chagas,アナ・ベアトリス・シャガス
Dom La Nena,ドム・ラ・ネナ
Diogo Oliveira (futebolista),ジオゴ・コヘア・デ・オリベイラ
Rodrigo Mancha,ロドリゴ・マルコス・ドス・サントス
Roberta Ratzke,ロベルタ・ラツキ
Naldo Pereira,エジナウド・ゴメス・ペレイラ
Diego Rosa,ディエゴ・ダ・シルバ・ローザ
Diego Brandão,ディエゴ・ブランダオン
Rafael Pires Monteiro,ハファエウ・ピレス・モンテイロ
Rafael Galhardo,ハファエウ・ガリャルド・ジ・ソウザ
Kempes,エヴェルトン・ケンペス・ドス・サントス・ゴンサウベス
Everton Luiz Guimarães Bilher,エヴェルトン・ルイス・ギマリャンイス・ビリェル
Douglas (futebolista),デャンフレス・ドウグラス・シャガス・マトス
Ebenezer Fontes Braga,エベンゼール・フォンテス・ブラガ
Gustavo Henrique,グスタヴォ・エンリキ・ヴェルネス
Guilherme de Brito,ギリェルミ・ジ・ブリート
Hacran Dias,ハクラン・ディアス
Théo Lopes,テオ・ロペス
Antônio Braga Neto,アントニオ・ブラガ・ネト
Édson José da Silva,エジソン・ジョゼ・ダ・シウヴァ
Edinanci Silva,エディナンシ・シルバ
Edson Tavares,エジソン・アラウージョ・タヴァレス
Edson Barboza,エジソン・バルボーザ
Willian Magrão,ウイリアン・エンリケ・アントゥネス
Zé Arigó,ホセ・アリゴー
Arthur Maia (futebolista),アルトゥール・ブラジリアーノ・マイア
Elza Cansanção Medeiros,エルサ・メデイロス
Elsinho,エルソン・フェレイラ・デ・ソウザ
Toró (futebolista),ラファエル・トロ・フェヘイラ・フランシスコ
Emerson Palmieri,エメルソン・パルミエリ・ドス・サントス
Werley,ヴェルレイ・アナニアス・ダ・シウヴァ
Wallace Martins,ウォレス・マルティンス
Vanderlei Farias da Silva,ヴァンデルレイ・ファリアス・ダ・シウヴァ
Wagner Renan Ribeiro,ワグネル・ヘナン・ヒベイロ
Antonio Caio da Silva Souza,アントニオ・カイオ・ダ・シウヴァ・ソウザ
Egmar Gonçalves,エグマル・ゴンザルヴェス
Edílson (futebolista),エジウソン・メンデス・ギマランイス
Henrique Guimarães,エンリケ・ギマラエス
Eleílson Moura,エレウソン・ファリアス・デ・モウラ
Elierce Barbosa de Souza,エリアス・バルボサ・デ・ソウザ
Ailton Ferraz,アイルトン・ドス・サントス・フェラス
Eduardo Campos,エドゥアルド・カンポス
Carlos Kaiser,カルロス・カイザー
Erick Silva,エリック・シウバ
Eric Granado,エリック・グラナド
Luiz Antônio (futebolista),ルイス・アントニオ・ジ・ソウザ・ソアレス
Luiz Manella,ルイス・マネッラ
Bernard Rajzman,ベルナルド・ライズマン
Rei Zulu (lutador),レイ・ズール
Ricarda Lima,リカルダ・リマ
Ricardo Goulart,リカルド・グラール・ペレイラ
Lucas Santtana,ルーカス・サンタナ
Lucas Silva,ルーカス・シウヴァ・ボルジェス
Mariany Nonaka,マリアニー・ノナカ
Luiz Cané,ルイス・カーニ
Rolles Gracie,ホーレス・グレイシー
Evangelista Santos,エヴァンゲリスタ・サイボーグ
Kafu,ビクター・セロン
Pereira Passos,フランシスコ・ペレイラ・パソス
Ricardo Lobo,リカルド・ロボ
Ralph Gracie,ハウフ・グレイシー
Raquel da Silva,ラケル・シルバ
Lucílio de Albuquerque,ルシリオ・デ・アルブケルケ
Rafael dos Anjos,ハファエル・ドス・アンジョス
Ana Moser,アナ・モーゼ
Stephanie Gardner,ステファニー・ガードナー
Fabiana Semprebom,ファビアナ・センプリボーン
Fabiano Ribeiro de Freitas,ファビアーノ・ヒベイロ・ジ・フレイタス
Ronaldo Rogério de Freitas Mourão,ロナウド・モウラン
Gleison Tibau,グレイゾン・チバウ
Lucas Nogueira,ルーカス・ノゲイラ
Igor Sartori,イゴール・トーレス・サルトーリ
Leonardo Leite,レオナルド・レイチ
Luiz Onmura,ルイス・オンムラ
Roan Carneiro,ホアン・カルネイロ
Fabrício dos Santos Messias,ファブリシオ・ドス・サントス・メシアス
Felipe Baxola,フェリペ・デ・オリベイラ・シウバ
Léo Gamalho,レオナルド・ガマーリョ・ジ・ソウザ
Bruno Henrique Corsini,ブルーノ・エンヒキ・コルシーニ
Bruno César Pereira da Silva,ブルーノ・セーザル・ペレイラ・ダ・シウヴァ
Bruno Suzuki,スズキ・カスタニェイラ・ブルーノ・ジュンイチ
Bruno Grassi,ブルーノ・メデイロス・グラッシ
Bruno Peres,ブルーノ・ダ・シウヴァ・ペレス
Wilson Reis,ウィルソン・ヘイス
Marcelo Cirino,マルセロ・シリーノ・ダ・シウヴァ
Marcelo Battistuzzi,マルセロ・バティストゥッツィ
Rodrigo Ely,ロドリゴ・エリー
Marcelo Toscano,マルセロ・アパレシド・トスカーノ
Marcelo Lomba,マルセロ・ロンバ・ド・ナシメント
Beto Almeida,ロベルト・デ・アルメイダ
Rodolfo Vieira,ホドウフォ・ヴィエイラ
Fillipe Soutto,フィリッピ・ソット・マイオル・ノゲイラ・フェレイラ
Valmir Louruz,バウミール・ロールス
Jael (futebolista),ジャエル・フェレイラ・ヴィエイラ
Thiago Tavares,チアゴ・タバレス
Wilson Gouveia,ウィウソン・ゴヴェイア
Lô Borges,ロー・ボルジェス
Solange Wilvert,ソランジュ・ウィルバート
Rodrigo Damm,ホドリゴ・ダム
Carlos Adriano de Sousa Cruz,カルロス・アドリアーノ・デ・ソウザ・クルス
José Landi-Jons,ジョセ・ランディ・ジョンズ
Jô Matumoto,ジョー・マツモト
Paulo Emílio (treinador de futebol),パウロ・エミリオ・フロッサルド・ジョルジ
Francisco Sousa dos Santos,フランシスコ・ソウザ・ドス・サントス
Francisco Trinaldo,フランシスコ・トリナウド
Marcos Galvão,マルコ・ロウロ
Marco Aurélio Moreira,マルコ・アウレリオ・モレイラ
Marcio Feitosa,マーシオ・フェイトーザ
Rodrigo Junior Paula Silva,ロドリゴ・ジュニオール・パウラ・シウヴァ
Pierre (futebolista),ルーカス・ピエール・サントス・オリヴェイラ
Maria Berenice Dias,マリア・ベレニセ・ジアス
Marcus "Lelo" Aurélio,マーカス・アウレリオ
Janina Conceição,ジャニナ・コンセイソン
Martha Rocha,マーサ・ロチャ
Rony Jason,ホニー・ジェイソン
Johnny Eduardo,ジョニー・エドゥアルド
Saulo Ribeiro,サウロ・ヒベイロ
Sandro Silva de Souza,サンドロ・シルバ・デ・ソウザ
Jorge Patino,ジョルジ・パチーユ・マカコ
Zeca (futebolista),ジョゼ・ルイス・フェレイラ・ロドリゲス
José Fernando Viana de Santana,ホセ・フェルナンド・ヴィアナ・デ・サンタナ
Frederico Carlos Hoehne,フレデリコ・カルロス・オエーネ
Fredson Paixão,フレジソン・パイシャオン
Fábio Maldonado,ファビオ・マルドナド
Fransérgio,フランセルジオ・ホドリゲス・バルボーザ
Jean Paulo Fernandes,ジェアン・パウロ・フェルナンデス
Maurizio Sandro Sala,マウリツィオ・サンドロ・サーラ
Maurício dos Santos Nascimento,マウリシオ・ドス・サントス・ナシメント
Rosinha de Valença,ホジーニャ・ジ・ヴァレンサ
Róbson Michael Signorini,ロブソン・ミシャエウ・シグノリーニ
José Élber Pimentel da Silva,ジョゼ・エウベル・ピメンテウ・ダ・シウヴァ
Michel Alves,ミシェウ・アルジオ・ダ・クルス・アウヴェス
Marlone,ジョーナス・マルローニ・アゼヴェド・ダ・シウヴァ
Sebá (futebolista),セバスチアン・ジ・フレイタス・コウト・ジュニオール
Anderson Talisca,アンデルソン・ソウザ・コンセイソン
João Paulo Mior,ジョアン・パウロ・ミオル
Otacílio Gonçalves,オタシリオ・ゴンサウヴェス・ダ・シルバ・ジュニオール
Pablo Castro,パブロ・ナシメント・カストロ
Nilson (futebolista),ジョゼ・ニウソン・ドス・サントス・シルヴァ
Stênio Yamamoto,ステーニオ・ヤマモト
Jussier Formiga,ジュシー・フォルミーガ
Júlio César Martins,ジュリオ・セザール・マルティンス
Patricky Freire,パトリッキー・ピットブル
Paulinho Moska,パウリーニョ・モスカ
Paulinho Criciúma,パウロ・ロベルト・ローシャ
Paulo Victor Mileo Vidotti,パウロ・ヴィクトル・ミレオ・ヴィドッティ
Bolívar Modualdo Guedes,ボリヴァール・モドゥアウド・ゲデス
Marçalzinho,アーマンド・マーサル
Vadão,オズバウド・フメイロ・アウバレス
Thiago Humberto,チアゴ・ウンベルト・ゴメス
Thomaz (futebolista),アントニオ・トマス・サントス・デ・バロス
Rafael Coelho (futebolista),ラファエウ・コエーリョ・ルイス
Rafael Cordeiro,ハファエル・コルデイロ
Leandro Machado (treinador de futebol),レアンドロ・アウタイール・マシャード
Leandrinho (futebolista),レアンドロ・コルデイロ・ジ・リマ・シウヴァ
Leandro Assumpção,レアンドロ・アスンソン・ダ・シウバ
Patricio Pitbull,パトリシオ・ピットブル
Victor Assis Brasil,ヴィクトル・アシス・ブラジル
Vinny Magalhães,ヴィニシウス・マガリャエス・(1984年生)
Vilson (futebolista),ヴィウソン・シャヴィエル・ジ・メネゼス・ジュニオール
Paulo Orlando,パウロ・オルランド
Mário Sabino Júnior,マリオ・サビーノ
Felipe Fonteles,ルイス・フェリペ・フォンテレス
"Paulinho (futebolista, 1988)",パウロ・ルイス・ベラウド・サントス
Paulo Miranda (zagueiro),ジョナタン・ドイン
Toninho Horta,トニーニョ・オルタ
Kevin Alves,ケビン・アルベス
Kron Gracie,クロン・グレイシー
Pedro Henrique Konzen,ペドロ・エンヒキ・コンゼン・メジナ・ダ・シウヴァ
Éder Luiz Lima de Souza,エデル・ルイス・リマ・ジ・ソウザ
Éverson Felipe Marques Pires,エヴェルソン・フェリピ・マルケス・ピレス
Arthur Verocai,アルトゥール・ヴェロカイ
Danielle Zangrando,ダニエリ・ザングランド
Rafael Daniel,ラファエル・ダニエル
Wanda Sá,ワンダ・サー
Walter Carmona,バウテル・カルモナ
Belmiro de Almeida,ベウミーロ・デ・アルメイダ
Vitor Miranda,ヴィトー・ミランダ
Ricardo Garcia,リカルド・ガルシア
Wanderley (futebolista),ヴァンデルレイ・サントス・モンテイロ・ジュニオール
Augusto Severo de Albuquerque Maranhão,アウグスト・セヴェーロ
Adrian Jaoude,アドリアン・ジャウジ
Afonso Poyart,アフォンソ・ポヤルト
Weverton,ウェーヴェルトン・ペレイラ・ダ・シウバ
Willian José de Souza,ウィリアン・ジョゼ・デ・ソウザ
Carlos Emiliano Pereira,カルロス・エミリアーノ・ペレイラ
Deivid Willian da Silva,デイヴィド・ヴィリアン・ダ・シウヴァ
Firmino Monteiro,フィルミーノ・モンテイロ
Douglas Santos,ドウグラス・ドス・サントス・ジュスチーノ・ジ・メロ
Décio Villares,デシオ・ヴィラレス
Yuu Kamiya,榎宮祐
Gregório Bondar,グレゴーリオ・ボンダール
Leonardo Gonçalves Silva,レオナルド・ゴンサウヴェス・シウヴァ
Giovanni Augusto,ジオヴァンニ・アウグスト・オリヴェイラ・カルドソ
Duda Yankovich,ドゥダ・ヤンコビッチ
Cláudio Cruz,クラウディオ・クルス
Henrique Bernardelli,エンリケ・ベルナルデリ
Cristiano Felício,クリスティアーノ・フェリシオ
Dadi Carvalho,ダヂ
Fabio Mechetti,ファビオ・メケッティ
François-René Moreaux,フランソワ＝ルネ・モロー
Leo Mineiro (futebolista),レオナルド・エンリケ・サントス・デ・ソウザ
Jair Bolsonaro,ジャイール・ボルソナーロ
Fluvia Lacerda,フルヴィア・ラセルダ
Juliano Moreira,ジュリアーノ・モレイラ
Henan (futebolista),エナン・ファリア・ダ・シウヴェイラ
Helton Leite,エウトン・ブランチ・アレイショ・レイチ
Rildo (futebolista),ヒウド・ジ・アンドラージ・フェリシッシモ
John Lineker,ジョン・リネカー
Hugo Calderano,ウーゴ・カルデラノ
José Rogério de Oliveira Melo,ジョゼ・ホジェリオ・ジ・オリヴェイラ・メロ
Lívian Aragão,リヴィアン・アラガン
Marcos Paulo (futebolista),マルコス・パウロ・ハモス・ダ・シウヴァ
J. Borges,J・ボルジェス
Jakson Follmann,ジャクソン・ハグナル・フォウマン
Murilo Ribeiro de Almeida,ムリロ・リベリオ・デ・アルメイダ
Lara Teixeira,ララ・テイシェイラ
Lins (futebolista),リンス・リマ・デ・ブリット
João Paulo Gomes da Costa,ジョアン・パウロ・ゴメス・ダ・コスタ
Matheus Ferraz Pereira,マテウス・フェハス・ペレイラ
Leonardo Santos,レオナルド・サントス
Leonilson,レオニウソン
Lucas Gaúcho,ルーカス・デ・ソウザ・ゴンサウベス
Manuela d'Ávila,マニュエラ・ダビラ
Manu Gavassi,マニュ・ガバシー
João Schmidt,ジョアン・フェリピ・シミッチ・ウルバノ
Luciano do Valle,ルシアーノ・ド・ヴァーレ
Mestre Marçal,メストリ・マルサル
Pedrinho Gaúcho,ペドロ・アントニオ・シメオン
Moisés Lima Magalhães,モイゼス・リマ・マガリャンイス
Moisés Duque,モイゼス・ドゥケ
Neuciano Gusmão,ネウシアーノ・ジ・ジェスス・グスモン
Mike Krieger,マイク・クリーガー
Rosicleia Campos,ロジクレイア・カンポス
Rosilette dos Santos,ロシレッテ・ドス・サントス
Rafael Araújo (voleibolista),ラファエル・アラウージョ・(バレーボール)
Teresa Cristina (cantora),テレーザ・クリスチーナ
Pietro Fittipaldi,ピエトロ・フィッティパルディ
Yago Pikachu,グライビソン・ヤゴ・ソウザ・リスボア
Stacy Perfetti,ステイシー・パーフェッティ
Willian Rocha,ウィリアン・ペレイラ・ダ・ホーシャ
William Pottker,ウィリアム・デ・オリベイラ・ポッチケ
Toninho Moura,トニーニョ・モウラ
Wescley,ウエスクレイ・ゴメス・ドス・サントス
Iuri Alcântara,ユーリ・アルカンタラ
Tião Carreiro,チアゥン・カレイロ
Rolls Gracie,ホーウス・グレイシー
Claudinei Oliveira,クラウジネイ・ドス・サントス・オリヴェイラ
Róger Guedes,ホジェル・クルグ・ゲデス
Índio do Buraco,穴の男
Ágatha Bednarczuk,アガタ・ベドナルズク
Anitta,アニッタ・(歌手)
Vinícius Araújo,ヴィニシウス・ヴァスコンセロス・アラウージョ
Neilton Mestzk,ネイウトン・メイラ・メストゥズク
Vanessa Porto,ヴァネッサ・ポルト
Roberto Azevêdo,ロベルト・アゼベド
Agenor Detofol,アジェノール・デトフォウ
Bárbara Seixas,バルバラ・セイシャス
Nicanor de Carvalho,ニカノール・デ・カルバーリョ
Júnior Caiçara,ウイルソン・デ・ソウザ・パウラ・ジュニオール
William de Amorim,ウィリアム・ドウグラス・デ・アモリム
Deyverson,デイヴェルソン・ブルン・シウヴァ・アコスタ
Gabriel Appelt Pires,ガブリエル・アペルト・ピレス
Lucca (futebolista),ルッカ・ボルジェス・ジ・ブリト
Leonardo da Silva Souza,レオナルド・ダ・シウヴァ・ソウザ
Gabigol,ガブリエウ・バルボーザ・アウメイダ
Ailton Krenak,アイウトン・クレナッキ
Taciana Lima,タシアナ・リマ
Henrique Dourado,ジョゼ・エンヒキ・ダ・シウヴァ・ドゥラード
Agostinho José da Mota,アゴスティーニョ・ジョゼ・ダ・モタ
Cláudia Gadelha,クラウディア・ガデーリャ
João Paulo Tavares,ジョアン・パウロ・タヴァレス
Carlos Toshiki,カルロス・トシキ
Simone Pastusiak,シモーネ・パストゥシャク
Henrique Silva Milagres,エンヒキ・シウヴァ・ミラグレス
Kenedy (futebolista),ロベルト・ケネディ・ヌネス・ド・ナシメント
Lucas Evangelista (futebolista),ルーカス・エヴァンジェリスタ・サンターナ・ジ・オリヴェイラ
Henrique Avancini,エンリケ・アヴァンシーニ
Mateus Caramelo,マテウス・ルセナ・ドス・サントス
Gabriel Paulista,ガブリエウ・アルマンド・デ・アブレウ
Vitinho (futebolista),ヴィクトル・ヴィシニウス・コエリョ・ドス・サントス
Robert Drysdale,ロバート・ドリスデール
Marcelo Chamusca,マルセロ・シャムスカ
Éderson Alves Ribeiro Silva,エデルソン・アウヴェス・リベイロ・シウヴァ
Noemia Hinata,日向ノエミア
Gilberto Moraes Junior,ジウベルト・モラエス・ジュニオール
Reinaldo Manoel da Silva,ヘイナウド・マノエウ・ダ・シウヴァ
Leandro Lo,レアンドロ・ロ
Jean Mota,ジェアン・モタ・オリヴェイラ・ジ・ソウザ
Wakaazuma Yoshinobu,若東吉信
Ryūkō Gō,隆濤剛
Wendell Nascimento Borges,ヴェンデウ・ナシメント・ボルジェス
Kissei Kumamoto,隈本吉成
Jéssica Andrade,ジェシカ・アンドラージ
Gabriel Girotto Franco,ガブリエウ・ジロット・フランコ
Ryder Matos,リデル・マトス・サントス
Michel Prazeres,ミシェウ・プラゼレス
Bruno Nazário,ブルーノ・ドス・サントス・ナザーリオ
José Carlos Cracco Neto,ジョゼ・カルロス・クラッコ・ネト
Madson Ferreira dos Santos,マジソン・フェレイラ・ドス・サントス
Michael Vinícius Silva de Morais,ミシャエウ・ヴィニシウス・シウヴァ・ジ・モライス
Matheus Magalhães,マテウス・リマ・マガリャンイス
Leonardo Mello,レオナルド・メロ
Paulinho Moccelin,パウロ・ホベルト・モッセリン
Lucas Lima (futebolista),ルーカス・ラファエウ・アラウージョ・リマ
Evandro Guerra,エバンドロ・グエッラ
Alex Telles,アレックス・ニコラオ・テレス
Adriano Martins,アドリアーノ・マルチンス
Bressan,マテウス・シモネーテ・ブレッサネッリ
Caio Lucas,カイオ・ルーカス・フェルナンデス
José Maria Florêncio,ホセ・マリア・フローレンシオJr.
Alysson Muotri,アリソン・ムオトリ
Carlos Eduardo Bendini Giusti,カルロス・エドゥアルド・ベンディニ・ジュスティ
Alex Muralha,アレックス・ホベルト・サンターナ・ハファエル
Alan Pinheiro,アラン・ロペス・ピニェイロ
Bertha Worms,ベルタ・ウォルムス
Marlon Moraes,マルロン・モラエス
Ramiro (futebolista),ラミーロ・モシェン・ベネッティ
Lucarelli (voleibolista),リカルド・ルカレッリ・ソウザ
Léia Silva,レイア・シウバ
Paulo Carcasci,パウロ・カーカッシ
Anderson Ferreira da Silva,アンデルソン・フェレイラ・ダ・シウバ
Antonio Guedes Barbosa,アントーニオ・バルボーザ
Marcos Lerbach,マルコス・レルバッキ
Bethe Correia,ベチ・コヘイア
Hyuri,ユーリ・エンリケ・ジ・オリヴェイラ・コスタ
Mayke,マイキ・ホーシャ・ジ・オリヴェイラ
Wallace (futebolista),ワラシ・フォルトゥナ・ドス・サントス
Ellen Braga,エレン・ブラガ
Ana Carolina (voleibolista),アナ・ダシウバ
