Angela Merkel,アンゲラ・メルケル
Nicolai Müller,ニコライ・ミュラー
Georg Schumann (Komponist),ゲオルク・シューマン・(作曲家)
Uwe Kagelmann,ウーベ・カゲルマン
Johann Heinrich Buttstett,ヨハン・ハインリヒ・ブットシュテット
Joachim Ringelnatz,ヨアヒム・リンゲルナッツ
Philipp Wollscheid,フィリップ・ヴォルシャイト
Saschko Gawriloff,サシュコ・ガヴリーロフ
Bogislaw XIV.,ボギスラフ14世・(ポメラニア公)
Johann Christoph Vogel,ヨハン・クリストフ・フォーゲル
Werner Liebrich,ヴェルナー・リーブリッヒ
Karl Anton Eckert,カール・エッケルト
Joseph Schuster (Komponist),ヨーゼフ・シュースター・(作曲家)
Thomas Quasthoff,トーマス・クヴァストホフ
Aribert von Anhalt,アリベルト・フォン・アンハルト
Karl Anton von Hohenzollern,カール・アントン・フォン・ホーエンツォレルン＝ジグマリンゲン・(1868-1919)
Felix Bastians,フェリックス・バスティアンス
Reinhard Fabisch,ラインハルト・ファビッシュ
Yasin Öztekin,ヤシン・エズテキン
Jan Kirchhoff,ヤン・キルヒホフ
Malik Fathi,マリク・ファティ
Valdet Rama,ヴァルデト・ラマ
Kevin Vogt,ケヴィン・フォクト
Alexander Madlung,アレクサンダー・マドルング
Pierre-Michel Lasogga,ピエール＝ミシェル・ラソッガ
Uli Stein (Fußballspieler),ウリ・シュタイン
Klaus Wolfermann,クラウス・ヴォルファーマン
Klaus-Jürgen Grünke,クラウス＝ユルゲン・グリュンケ
Marc Streitenfeld,マルク・ストライテンフェルト
Christoph Moritz,クリストフ・モリッツ
Astrid Hochstetter,アストリート・ホーホシュテッター
Elfie Donnelly,エルフィ・ドネリー
Hans-Jochen Vogel,ハンス＝ヨッヘン・フォーゲル
Eric Braeden,エリック・ブレーデン
Simon Geschke,シモン・ゲシュケ
Uli Kusch,ウリ・カッシュ
Reinhard Stumpf (Fußballspieler),ラインハルト・シュトゥンプ
Hermann Ottomar Herzog,ヘルマン・ヘルツォーク
Hans Nibel,ハンス・ニベル
Apparat (Musiker),アパラット
Heinrich Friedrich von der Pfalz,ハインリヒ・フリードリヒ・フォン・デア・プファルツ
Johann Eleazar Schenau,ヨハン・エレアザル・ツァイシッヒ
Hansi Flick,ハンス＝ディーター・フリック
Hans Donauer der Ältere,ハンス・ドナウアー
Heinz Röttger,ハインツ・レトガー
Olaf Marschall,オラフ・マーシャル
Arnold Büscher,アルノルト・ビュッシャー
Michael Rich,ミヒャエル・リッヒ
Konrad V. (Oels),コンラト5世コンツキ
Arthur Friedheim,アルトゥール・フリードハイム
Harry Glaß,ハリー・グラス
Georg Zacharias,ゲオルク・ツァハリアス
"Patrick Herrmann (Fußballspieler, 1991)",パトリック・ヘアマン
Manuel Schmiedebach,マヌエル・シュミーデバッハ
Peter Vonhof,ペーター・フォンホフ
Stephan Krehl,シュテファン・クレール
Raphael Wolf,ラファエル・ヴォルフ
Franz von Hoeßlin,フランツ・フォン・ヘスリン
Tony Jantschke,トニー・ヤンチュケ
Wolfgang Fortner,ヴォルフガング・フォルトナー
Carlos Schwabe,カルロス・シュヴァーベ
Willi Holdorf,ヴィリ・ホルドルフ
Ulrich Schnauss,ウルリッヒ・シュナウス
Oleg Velyky,オレグ・ヴェリキー
Shkodran Mustafi,シュコドラン・ムスタフィ
Terrence Boyd,テレンス・ボイド
Hartmut Briesenick,ハルトムート・ブリーゼニク
Robert von Württemberg,ローベルト・フォン・ヴュルテンベルク
Johannes Rottenhammer,ハンス・ロッテンハンマー
Antoine Monot,アントワーヌ・モノー・Jr
Bernd Bransch,ベルント・ブランシュ
Paul-Heinz Wellmann,パウル＝ハインツ・ヴェルマン
Arnold Topp,アルノルト・トップ
Sebastian Haseney,ゼバスティアン・ハーゼナイ
Anke Rehlinger,アンケ・レーリンガー
Thomas Klauser,トーマス・クラウザー
Diego Demme,ディエゴ・デンメ
Christian II. (Sachsen),クリスティアン2世・(ザクセン選帝侯)
John Neumeier,ジョン・ノイマイヤー
Thorsten Fink,トルステン・フィンク
"Johann Bernhard Bach (Komponist, 1676)",ヨハン・ベルンハルト・バッハ
Arnold Reissert,アーノルド・ライセルト
Paulo Rink,パウロ・リンク
Stephan Micus,ステファン・ミクス
Paul Friedrich zu Mecklenburg,パウル・フリードリヒ・ツー・メクレンブルク
Erik Pausin,エーリヒ・パウージン
Thomas Huschke,トマス・フシュケ
Arnold Huebner,アルノルト・ヒュプナー
Friedrich II. (Meißen),フリードリヒ2世・(マイセン辺境伯)
Wolfgang Kleff,ヴォルフガング・クレフ
Franz Binder (Fußballspieler),フランツ・ビンダー
Johann Sebastian Bach (Maler),ヨハン・ゼバスティアン・バッハ・(画家)
Miltiades Caridis,ミルティアデス・カリディス
Thomas Sydenham,トマス・シデナム
Dietrich Thurau,ディートリヒ・トゥーラウ
Rouwen Hennings,ロウヴェン・ヘニングス
Jakob Philipp Hackert,ヤコブ・フィリップ・ハッケルト
Friedrich II. (Hessen-Homburg),フリードリヒ2世・(ヘッセン＝ホンブルク方伯)
Natalie Horler,ナタリー・ホーラー
Isabel de Navarre,イザベル・ド・ナヴァール・(フィギュアスケート選手)
Ludwig der Springer,ルートヴィヒ跳躍伯
Mirko Votava,ミロスラフ・ボタバ
Dominic Klemme,ドミニク・クレメ
August Grisebach (Kunsthistoriker),アウグスト・グリーゼバッハ・(美術史家)
Ernst Willimowski,エルンスト・ヴィリモフスキ
August Halm,アウグスト・ハルム
Oliver Shanti,オリバー・シャンティ
Franz Schönhuber,フランツ・シェーンフーバー
Hermann van Pels,ヘルマン・ファン・ペルス
Dennis Diekmeier,デニス・ディークマイアー
Ernst Robert Curtius,エルンスト・ローベルト・クルツィウス
Heinrich Kaminski,ハインリヒ・カミンスキ
Ulrich Tukur,ウルリッヒ・トゥクル
Edgar Ende,エドガー・エンデ
Walter Gramatté,ヴァルター・グラマッテ
Björn Kircheisen,ビョルン・キルヒアイゼン
Heinrich (princeps militiae),ハインリヒ・(東フランケン)
Heinrich III. (Bayern),ハインリヒ3世・(バイエルン公)
Tobias Rau,トビアス・ラウ
Ferdinand Albrecht I. (Braunschweig-Wolfenbüttel-Bevern),フェルディナント・アルブレヒト1世・(ブラウンシュヴァイク＝ヴォルフェンビュッテル＝ベーヴェルン公)
Jürgen Straub,ユルゲン・シュトラウプ
Georg Pencz,ゲオルク・ペンツ
Johann Georg I. (Sachsen-Eisenach),ヨハン・ゲオルク1世・(ザクセン＝アイゼナハ公)
Slobodan Komljenović,スロボダン・コムリェノヴィッチ
Sebastian Rode,セバスティアン・ローデ
Stefan Aigner,シュテファン・アイグナー
Georg Thoma,ゲオルク・トーマ
Martin Lauer,マルチン・ラウアー
Johann Friedrich II. (Sachsen),ヨハン・フリードリヒ2世・(ザクセン公)
Karim Bellarabi,カリム・ベララビ
Meister Francke,マイスター・フランケ
Daniel Reiche,ダニエル・ライヒェ
Anna Pogany,アナ・ポガニー
Lee Charm,リー・チャーム
Hans Erich Apostel,ハンス・エーリッヒ・アポステル
Sebastian Langkamp,ゼバスティアン・ラングカンプ
Rolf Kasparek,ロックン・ロルフ
Eric Frenzel,エリック・フレンツェル
Jochen Danneberg,ヨッヘン・ダンネベルク
Ernst I. (Braunschweig-Lüneburg),エルンスト1世・(ブラウンシュヴァイク＝リューネブルク公)
Johann Krieger (Komponist),ヨハン・クリーガー
Christoph Janker,クリストフ・ヤンカー
Johann Liss,ヨハン・リス
Hakan Çalhanoğlu,ハカン・チャルハノール
Heinz Fütterer,ハインツ・フュッテラー
Georg Kolbe,ゲオルク・コルベ
Hans Albers,ハンス・アルバース
Ulrich Wehling,ウルリヒ・ベーリンク
Rafael Scheidt,ラファエル・フェリペ・シャイデ
Timo Ochs,ティモ・オクス
Johann Nikolaus Bach (Komponist),ヨハン・ニコラウス・バッハ
Henry Glaß,ヘンリー・グラス
Babette Koblenz,バベッテ・コブレンツ
Fabian Thylmann,ファビアン・ティルマン
Otto Freundlich,オットー・フロイントリッヒ
Milko Kelemen,ミルコ・ケレメン
Karl zu Mecklenburg (1708–1752),カール・ツー・メクレンブルク＝シュトレーリッツ
Holger Czukay,ホルガー・シューカイ
Anna von Harnier,アナ・フォン・ハルニアー
Hans-Jürgen Dörner (Fußballspieler),ハンス＝ユルゲン・デルナー
Oliver Reck,オリバー・レック
Hugo Distler,フーゴー・ディストラー
Kessler-Zwillinge,ケスラー姉妹
Harald Norpoth,ハラルト・ノルポト
Cenk Güvenç,ジェンク・ギュヴェンチ
Luis Manuel Seijas,ルイス・マヌエル・セイハス
Michael Preetz,ミヒャエル・プレーツ
Volker Braun,フォルカー・ブラウン
Siegmund von Hausegger,ジークムント・フォン・ハウゼッガー
Hans Georg von Arnim-Boitzenburg,ハンス・フォン・アルニム＝ボイツェンブルク
Erich Borchmeyer,エーリッヒ・ボルフマイヤー
Peer Kluge,ペール・クルゲ
Wolfgang Lotz (Agent),ウォルフガング・ロッツ
Melchior Franck,メルキオル・フランク
Otto V. (Bayern),オットー5世・(バイエルン公)
Klaus Ostwald,クラウス・オストヴァルト
Rolf Wolfshohl,ロルフ・ヴォルフショール
Aziz Bouhaddouz,アジズ・ブハドゥズ
Erwin Kostedde,エルヴィン・コステデ
Otto Froitzheim,オットー・フロイツハイム
Thomas Tuchel,トーマス・トゥヘル
Johann Cicero,ヨハン・ツィーツェロ・(ブランデンブルク選帝侯)
Siegfried Wentz,ジークフリート・ヴェンツ
Jörg Albertz (Fußballspieler),ヨルグ・アルベルツ
Moritz Volz,モリッツ・フォルツ
Barbara Claßen,バルバラ・クラッセン
Benno Orenstein,ベンノ・オーレンシュタイン
Annalena Baerbock,アンナレーナ・ベアボック
Jörg Buttgereit,ユルグ・ブットゲライト
Charles Friedek,チャールズ・フリーデク
Harald Genzmer,ハラルト・ゲンツマー
Peter Dronke,ピーター・ドロンケ
Mario Kummer,マリオ・クマー
Ingo Schwichtenberg,インゴ・シュヴィヒテンバーグ
Johann Walter,ヨハン・ワルター
Danilo Hondo,ダニーロ・ホンド
Nando Rafael,ナンド・ラファエル
Christian Schad,クリスチャン・シャド
Otto I. (Braunschweig),オットー1世・(ブラウンシュヴァイク＝リューネブルク公)
Thomas Allofs,トーマス・アロフス
Max Slevogt,マックス・スレーフォークト
"Martin Wagner (Fußballspieler, 1968)",マルティン・ヴァーグナー・(1968年生のサッカー選手)
Matthias Buse,マティアス・ブーゼ
Eugen von Knilling,オイゲン・フォン・クニリング
Philipp Wilhelm (Brandenburg-Schwedt),フィリップ・ヴィルヘルム・(ブランデンブルク＝シュヴェート辺境伯)
Horst Blankenburg,ホルスト・ブランケンブルク
Arthur Jonath,アルトゥール・ヨナート
Volker Finke,フォルカー・フィンケ
Christian Nerlinger,クリスティアン・ネルリンガー
Otto I. (Schwaben),オットー1世・(シュヴァーベン大公)
Max von Schillings,マックス・フォン・シリングス
Tino Edelmann,ティノ・エデルマン
Martin Max,マルティン・マックス
Walter Braunfels,ヴァルター・ブラウンフェルス
Xaver Scharwenka,フランツ・クサヴァー・シャルヴェンカ
Thomas Munkelt,トーマス・ムンケルト
Johann Ludwig Krebs,ヨハン・ルートヴィヒ・クレープス
Eric Voegelin,エリック・フェーゲリン
Wolfgang Tillmans,ヴォルフガング・ティルマンス
Carl Friedberg,カール・フリードベルク
Albert Forster,アルベルト・フォルスター
Stefan Klos,シュテファン・クロス
Bernard Dietz,ベルナルト・ディーツ
René Wolff,レネ・ウォルフ
August Gaul,アウグスト・ガウル
Richard Wetz,リヒャルト・ヴェッツ
Franz Anton Hoffmeister,フランツ・アントン・ホフマイスター
Johann Abraham Peter Schulz,ヨハン・アブラハム・ペーター・シュルツ
Konrad Wölki,コンラート・ヴェルキ
Augustus Frederick Christopher Kollmann,オーガスタス・フレデリック・クリストファー・コールマン
Durs Grünbein,ドゥルス・グリューンバイン
Frank Schaffer,フランク・シャファー
Franz Pforr,フランツ・プフォル
Christian Cannabich,クリスティアン・カンナビヒ
Pablo Thiam,パブロ・ティアム
August von Ramberg,アウグスト・フォン・ランベルク
Augusta Marie Gertrude von Hanau,アウグステ・フォン・ハーナウ＝ホロヴィッツ
John Anthony Brooks,ジョン・アンソニー・ブルックス
Felix Klaus,フェリックス・クラウス
Sascha Lewandowski,サシャ・レヴァンドフスキ
Nils Röseler,ニルス・レゼラー
Timo Horn,ティモ・ホルン
Dariusz Michalczewski,ダリユシュ・ミハルチェフスキ
Erich Rademacher,エーリッヒ・ラーデマッハー
Boys Noize,ボーイズ・ノイズ
Faton Toski,ファトン・トスキ
Franz Lambert,フランツ・ランベルト
Peter Thiel,ピーター・ティール
Bernard Comrie,バーナード・コムリー
Hans-Jürgen Kreische,ハンス＝ユルゲン・クライシェ
Friedrich (Waldeck-Pyrmont),フリードリヒ・(ヴァルデック侯)
Ersen Martin,エルセン・マルティン
Tobias Werner,トビアス・ヴェルナー
Friedrich I. (Hessen-Homburg),フリードリヒ1世・(ヘッセン＝ホンブルク方伯)
Johann Friedrich (Brandenburg-Ansbach),ヨハン・フリードリヒ・(ブランデンブルク＝アンスバッハ辺境伯)
Torsten Bréchôt,トルステン・ブレヒョート
Georg Joseph Vogler,ゲオルク・ヨーゼフ・フォーグラー
Ernst August II. von Hannover,アーネスト・(ヨーク・オールバニ公)
Lothar-Günther Buchheim,ロータル＝ギュンター・ブーフハイム
Jörg Böhme,イェルク・ベーメ
Wolfgang Dremmler,ヴォルフガング・ドレムラー
Leo Borchard,レオ・ボルヒャルト
Berthold Delbrück,ベルトルト・デルブリュック
Thomas Broich,トーマス・ブロイヒ
Rolf Rudin,ロルフ・ルディン
Edisson Jordanov,エディソン・ヨルダノフ
Stefan Ortega Moreno,シュテファン・オルテガ
Magnus II. (Braunschweig-Lüneburg),マグヌス2世・(ブラウンシュヴァイク＝リューネブルク公)
Hans Haacke,ハンス・ハーケ
Marco Russ,マルコ・ルス
Norbert Eder,ノルベルト・エデル
Benjamin Hübner,ベンヤミン・ヒュブナー
Axel Block,アクセル・ブロック
Florian Hübner,フロリアン・ヒューブナー
Johann Schop,ヨハン・ショップ
Christian I. (Pfalz-Birkenfeld-Bischweiler),クリスティアン1世・(プファルツ＝ビルケンフェルト＝ビシュヴァイラー公)
Marvin Bakalorz,マルヴィン・バカロルツ
Marvin Ducksch,マーヴィン・ドゥクシュ
"Jonas Hofmann (Fußballspieler, 1992)",ヨナス・ホフマン
Kerem Demirbay,ケレム・デミルバイ
Reinhold Yabo,ラインホルト・ヤボ
Beate Nodes,ベアテ・ノード
Johann I. (Pfalz-Zweibrücken),ヨハン1世・(プファルツ＝ツヴァイブリュッケン公)
Lukas Rupp,ルーカス・ルップ
Bernd Glemser,ベルント・グレムザー
Erik Durm,エリック・ドゥルム
Marcel Halstenberg,マルツェル・ハルステンベルク
Beatrix von Berg,ベアトリクス・フォン・ベルク
Bernd Jäger,ベルント・イェーガー
Johann Friedrich Jännicke,ヨハン・フリードリヒ・イェーニッケ
Arthur Schuster,アーサー・シュスター
Gottfried Heinrich Bach,ゴットフリート・ハインリヒ・バッハ
Carl Bohm,カール・ボーム
Daniel Adlung,ダニエル・アトルング
Kurt Böhme (Sänger),クルト・ベーメ
Heinrich I. (Braunschweig),ハインリヒ1世・(ブラウンシュヴァイク公)
Rainer von Sachsen-Coburg und Gotha,ライナー・フォン・ザクセン＝コーブルク・ウント・ゴータ
Heinz Wosipiwo,ハインツ・ウォジピヴォ
Karl Christian (Nassau-Weilburg),カール・クリスティアン・(ナッサウ＝ヴァイルブルク侯)
Irmin Schmidt,イルミン・シュミット
Bernhard Kramer,ベルンハルト・クラマー
Peniel Mlapa,ペニエル・ムラパ
Arthur Koppel,アルトール・コッペル
Thomas Kessler (Fußballspieler),トーマス・ケスラー
Konstantin Rausch,コンスタンティン・ラウシュ
Sebastian Tyrała,セバスティアン・ティラワ
Robin Dutt,ロビン・ドゥット
Bernhard I. von Scheyern,ベルンハルト1世・(シェイエルン伯)
Franz Keller (Skisportler),フランツ・ケラー
Stefan Stannarius,シュテファン・シュタナリウス
Mergim Mavraj,メルギム・マフライ
Ulf Findeisen,ウルフ・フィントアイゼン
Albrecht II. (Bayern),アルブレヒト2世・(バイエルン公)
Lars Stindl,ラース・シュティンドル
Johann Carl Loth,ヨハン・カール・ロト
Werner Rittberger,ヴェルナー・リットベルガー
Gerald Eckert,ゲラルト・エッケルト
Günther Becker (Komponist),ギュンター・ベッカー
Albert Mangelsdorff,アルベルト・マンゲルスドルフ
Dominic Maroh,ドミニツ・マロフ
Bolko II. (Schweidnitz),ボルコ2世マウィ
Daniel Brosinski,ダニエル・ブロジンスキ
Arthur Siebelist,アルトゥール・ジーベリスト
Paul Lincke,パウル・リンケ
Mitja Nikisch,ミーチャ・ニキシュ
Helmut Recknagel,ヘルムート・レクナゲル
Marie Clothilde von Frankreich,クロティルデ・ディ・ボルボーネ＝フランチア
Johann Albrecht I. (Mecklenburg),ヨハン・アルブレヒト1世・(メクレンブルク公)
Bernhard Welte,ベルンハルト・ヴェルテ
Bodo Illgner,ボド・イルクナー
Sophie in Bayern (1967),ゾフィー・イン・バイエルン・(1967-)
Gustav Rödel,グスタフ・レーデル
Bernd Scholz (Komponist),ベルント・ショルツ
Claus-Steffen Mahnkopf,クラウス・シュテファン・マーンコプフ
Philip Hindes,フィリップ・ヒンデス
Carl Friedrich Christian Fasch,カール・フリードリヒ・クリスティアン・ファッシュ
Peter Krick,ペーター・クリック
Sepp Schönmetzler,ゼップ・シェーンメツラー
Meinrad von Lauchert,マインラート・フォン・ラウヘルト
Bernd Wunderlich (Eiskunstläufer),ベルント・ヴンダーリヒ
Daniel Ginczek,ダニエル・ギンチェク
Tom Trybull,トム・トリブル
Ludwig von Brenner,ルートヴィヒ・フォン・ブレナー
Karsten Neitzel,カルステン・ナイチェル
Georg Buschner,ゲオルク・ブシュナー
Friedhelm Funkel,フリートヘルム・フンケル
Michael Rother,ミヒャエル・ローター
Alexander Esswein,アレクサンダー・エッスヴァイン
Tobias Sippel,トビアス・ジッペル
Johann Weyer,ヨーハン・ヴァイヤー
Ralph Borghard,ラルフ・ボルグハルト
Michael Frontzeck,ミヒャエル・フロンツェック
Heinz Friedrich Hartig,ハインツ・フリードリヒ・ハルティヒ
Moritz Hartmann (Fußballspieler),モリッツ・ハルトマン
Heinrich Finck,ハインリヒ・フィンク
Peter Kuhlmann (Musikproduzent),ピート・ナムルック
Magneto (Comicfigur),マグニートー
Robert HP Platz,ロベルト・HP・プラッツ
Blumio,Blumio
Muhō Nölke,ネルケ無方
Fritz Buchloh,フリッツ・ブークロー
Heiko Herrlich,ハイコ・ヘルリッヒ
Heinrich II. von Laach,ハインリヒ2世・(ライン宮中伯)
Leonhard Lechner,レオンハルト・レヒナー
Matthias Lehmann,マティアス・レーマン
Volker Banfield,フォルカー・バンフィールド
Franz von Liszt,フランツ・フォン・リスト
Carsten Nicolai,アルヴァ・ノト
Ditmar Jakobs,ディトマー・ヤコブス
Karl Leopold (Mecklenburg),カール・レオポルト・(メクレンブルク公)
Heinz Reinefarth,ハインツ・ラインファルト
Martin Kippenberger,マルティン・キッペンベルガー
Hans-Günther Wauer,ハンス＝ギュンター・ヴァウアー
Mathias Abel,マティアス・アベル
Berti Vogts,ベルティ・フォクツ
Gerhard Tremmel,ゲルハルト・トレメル
Johann Theile,ヨハン・タイレ
Heiko Fischer,ハイコ・フィッシャー
Michael Hoenig,ミヒャエル・ヘーニッヒ
Holger Hiller,ホルガー・ヒラー
Billie Zöckler,ビリー・ツェックラー
Patrick Gretsch,パトリック・グレチュ
Herbert Fechner,ヘルベルト・フェヒナー
Klaus Glahn,クラウス・グラーン
Reiner Zimnik,ライナー・チムニク
Jakob Heilmann,ヤーコプ・ハイルマン
Hubert Schwarz (Skisportler),フーベルト・シュワルツ
Rainer Schmidt (Skispringer),ライナー・シュミット
Claus Ogerman,クラウス・オガーマン
Michael Rummenigge,ミヒャエル・ルンメニゲ
Hermann Weinbuch,ヘルマン・ヴァインブーフ
Felix Wiedwald,フェリックス・ヴィートヴァルト
Erich Hecke,エーリッヒ・ヘッケ
Mario Liebers,マリオ・リーベルス
Günter Zöller,ギュンター・ツェラー
José Pierre Vunguidica,ジョゼ・ピエール・ヴンギディガ
Peter Hofmann (Sänger),ペーター・ホフマン
Friedrich Wilhelm (Brandenburg-Schwedt),フリードリヒ・ヴィルヘルム・(ブランデンブルク＝シュヴェート辺境伯)
Herbert Baumann (Komponist),ヘルベルト・バウマン
Kai Gronauer,カイ・グロナウアー
Stefano Caruso,ステファノ・カルーゾ
Falko Kirsten,ファルコ・キルステン
Enno Poppe,エンノ・ポッペ
Ernst Haberbier,エルンスト・ハーベルビアー
Wilhelm Gundert,ヴィルヘルム・グンデルト
David Wagner,デイヴィッド・ワグナー
Sanne Ledermann,サンネ・レーデルマン
Armin Wandel,アルミン・ヴァンデル
Kurt Hessenberg,クルト・ヘッセンベルク
Leonardo Bittencourt,レオナルド・ビッテンコート
Thomas Müller (Nordischer Kombinierer),トーマス・ミュラー・(ノルディック複合)
Karl Leister,カール・ライスター
Horst Käsler,ホルスト・ケスラー
Fritz Heinemann (Bildhauer),フリッツ・ハイネマン
Jürgen Hennig,ユルゲン・ヘニッヒ
Rosko Gee,ロスコ・ジー
Max Baumann (Komponist),マックス・バウマン
Karl Berger (Musiker),カール・ベルガー
Regina Weber,レギーナ・ヴェーバー
Bärbel Martin,バルバラ・マルティン
Bärbel Bas,ベーベル・バス
Johann Cilenšek,ヨハン・ツィレンシェク
Karl Ristenpart,カール・リステンパルト
Hans-Peter Pohl,ハンス＝ペーター・ポール
Karl-Heinz Luck,カール＝ハインツ・ルック
Karl-Friedrich Haas (Leichtathlet),カール＝フリードリッヒ・ハース
Dominik Nerz,ドミニク・ネルツ
Bernhard I. (Braunschweig-Lüneburg),ベルンハルト1世・(ブラウンシュヴァイク＝リューネブルク公)
Kevin Pezzoni,ケヴィン・ペッツォーニ
Tobias Levels,トビアス・レフェルス
Matthias Jaissle,マティアス・ヤイスレ
Ludwig Maurer (Musiker),ルートヴィヒ・マウラー
Karl (Hessen-Wanfried),カール・(ヘッセン＝ヴァンフリート方伯)
Paul Hainlein,パウル・ハインライン
Johann Staden,ヨハン・シュターデン
Gottfried Michael Koenig,ゴットフリート・ミヒャエル・ケーニヒ
Gerd Dudek,ゲルト・デュデック
Werner Heider,ヴェルナー・ハイダー
Ignaz Vinzenz Zingerle,イグナーツ・フィンツェンツ・ツィンゲルレ
Carl Wuttke,カール・ヴトケ
Georg Melchior Kraus,ゲオルク・メルヒオール・クラウス
Marc Meiling,マルク・マイリング
Kevin Akpoguma,ケヴィン・アクポグマ
Detlef Ultsch,デトレフ・ウルチ
Rolf Riehm,ロルフ・リーム
Jürg Baur,ユルク・バウアー
Ottmar Gerster,オットマール・ゲルスター
Carl von Weegmann,カール・フォン・ヴェークマン
Bodo Bockenauer,ボド・ボケナウアー
Augusta Holtz,アウグスタ・ホルツ
Bruno K. Schultz,ブルーノ・クルト・シュルツ
Frank Wormuth,フランク・ヴォルムート
Heinrich Berger (Musiker),ヘンリー・バーガー
Sven Loll,スベン・ロール
Manuel Konrad,マヌエル・コンラート
Boris Pistorius,ボリス・ピストリウス
Kurt Dahlke,クルト・ダールケ
Johannes Bauer (Musiker),ヨハネス・バウアー
Gerd Seifert (Musiker),ゲルト・ザイフェルト
Michael Jurack,ミヒャエル・ユラック
Werner Jacob (Musiker),ヴェルナー・ヤコブ
David Klöcker Ehrenstrahl,ダーフィト・エーレンシュトラール
Sara Däbritz,サラ・デブリッツ
Friedrich Schröder Sonnenstern,フリードリヒ・シュレーダー・ゾンネンシュターン
Melchior Hoffmann,メルヒオール・ホフマン
Carl Braig,カール・ブライヒ
Carsten Germis,カルステン・ゲルミス
Heinrich Konietzny,ハインリヒ・コニエッツニー
Daniel Theis,ダニエル・タイス
Johann Friedrich Anton Fleischmann,フリードリヒ・フライシュマン
Jonas Hector,ヨナス・ヘクター
Caroline Gülke,カロリーネ・ギュルケ
Carsten Lakies,カルステン・ラキース
Carola Fleischhauer,カローラ・ヴァイセンベルク
Simon Zoller,シモン・ツォラー
Knut Schubert,クヌート・シューベルト
Ulrich Hübner (Maler),ウルリッヒ・ヒュブナー
Dino Toppmöller,ディノ・トップメラー
Carl Adolph Terscheck,カール・アドルフ・テルシェック
Carl Ernst Morgenstern,カール・エルンスト・モルゲンシュテルン
Rudolf Lehmann (Maler),ルドルフ・レーマン・(画家)
Georg Caspar Wecker,ゲオルク・カスパー・ヴェッカー
Lukas Kruse,ルーカス・クルーゼ
Christa Nickels,クリスタ・ニッケルス
Philipp Tschauner,フィリップ・チャウナー
Fritz Ewert,フリッツ・エヴァート
Olga Nemes,オルガ・ネメス
Reebop Kwaku Baah,リーバップ・クワク・バー
Jean Louis Nicodé,ジャン・ルイ・ニコデ
Otto Gussmann,オットー・グスマン
Christof Landmesser,クリストフ・ラントメッサー
Christof Duffner,クリストフ・ドゥッフナー
Christof Lauer,クリストフ・ラウアー
Andrzej Buncol,アンジェイ・ブンツォル
Assia Wevill,アーシャ・ウィーヴィル
Peter Tschentscher,ペーター・チェンチャー
Carl Horn (Maler),カール・ホルン
Chlodwig von Hessen-Philippsthal-Barchfeld,クロートヴィヒ・フォン・ヘッセン＝フィリップスタール＝バルヒフェルト
Charles Willoughby,チャールズ・ウィロビー
Yoan Pablo Hernández,ヨアン・パブロ・エルナンデス
Liu Xia (Künstlerin),劉霞・(作家)
Caspar Vopelius,カスパル・フォペル
Christian Hoening,クリスチャン・ヘーニング
Camillo Schumann,カミッロ・シューマン
Ingolf Dahl,インゴルフ・ダール
Christian Nicolaus von Linger,クリスティアン・ニコラウス・フォン・リンガー
Christian Landenberger,クリスティアン・ランデンベルガー
Daniel Günther,ダニエル・ギュンター
Christoph Kramer,クリストフ・クラマー
Cornelia Tesch,コルネリア・テシュ
Claus Meyer (Maler),クラウス・マイヤー
Christian Santos,クリスティアン・サントス
Christian Fromm,クリスティアン・フロム
Christoph Darnstädt,クリストフ・ダルンスタット
Friedrich Sigismund von Preußen,フリードリヒ・ジギスムント・フォン・プロイセン
Christoph Möllers,クリストフ・メラース
Maximilian Arnold,マクシミリアン・アルノルト
Herman Lamm,ハーマン・ラム
Christina Schultz,クリスティーナ・シュルツ
Christoph Poppen,クリストフ・ポッペン
Wilhelm August (Sachsen-Eisenach),ヴィルヘルム・アウグスト・(ザクセン＝アイゼナハ公)
Clara Siewert,クララ・ジーベルト
Daniel la Rosa,ダニエル・ラ・ロサ
Johann Samuel Endler,ヨハン・ザムエル・エンドラー
Christine Lambrecht,クリスティーネ・ランブレヒト
Danny Blum,ダニー・ブルム
Daniel Weiss (Eiskunstläufer),ダニエル・ヴァイス
Dietrich Hollinderbäumer,ディートリッヒ・ホリンダーボイマー
Janne Müller-Wieland,ヤヌ・ヴィランド
Damo Suzuki,ダモ鈴木
Dieter Ilg,ディーター・イルグ
Hermann Warm,ヘルマン・ヴァルム
Dieter Frielinghaus,ディーター・フリーリングハウス
Paul Meisen,パウル・マイゼン
Dominick Drexler,ドミニク・ドレクスラー
Dominic Bösel,ドミニク・ボーセル
Dimitrij Nazarov,ディミトリー・ナザロフ
Dominique Heintz,ドミニク・ハインツ
Siegfried Heinrich,ジークフリート・ハインリヒ
David Timm,ダヴィット・ティム
Karl Mägdefrau,カール・メグデフラウ
Dominik Marquard zu Löwenstein-Wertheim-Rochefort,ドミニク・マルクヴァルト・ツー・レーヴェンシュタイン＝ヴェルトハイム＝ロシュフォール
Dietmar Hötger,ディートマール・ヘトガー
Wilhelm Heinrich Rohmeyer,ヴィルヘルム・ハインリヒ・ローマイヤー
Konrad Hünteler,コンラート・ヒュンテラー
Denise Zimmermann,デニーゼ・ツィンマーマン
