Diego Velázquez,ディエゴ・ベラスケス
Fernando Clavijo Batlle,フェルナンド・クラビホ・バトゥジェ
Belén Cuesta,ベレン・クエスタ
Cristina Cifuentes,クリスティーナ・シフエンテス
Creu Casas Sicart,クレウ・カサス
Fede Cartabia,フェデリコ・カルタビア
Jesús Gil Manzano,ヘスス・ヒル・マンサーノ
Nicolás Antonio de Arredondo,ニコラス・アントニオ・デ・アレドンド
Javier Lambán,ハビエル・ランバン
Inma Cuesta,インマ・クエスタ
Emilio Lhardy,エミリオ・ラルディ
Fidel Sendagorta Gómez del Campillo,フィデル・センダゴルタ・ゴメス・デル・カンピージョ
Jorge Blass,ホルヘ・ブラス
Joan Cornellà,ホアン・コルネラ
Jona Mejía,ホナタン・メヒア
José Luis García Asensio,ホセ＝ルイス・ガルシア
Paco Martínez Díaz,パコ・マルティネス
Javier Barroso,ハビエル・バローソ
Jorge Mata,ホルヘ・マータ
Jorge Toledo Albiñana,ホルヘ・トレド・アルビニャーナ
Álex Márquez,アレックス・マルケス
José Luis Pérez-Payá,ホセ・ルイス・ペレス＝パジャ
Francisco Varela (pintor),フランシスコ・バレーラ・(画家)
Josep Señé,ジョゼップ・セニェ
Juan Carlos Carcedo,フアン・カルロス・カルセド
Fran Pérez Caso,フラン・ペレス
Luis Hernández Rodríguez,ルイス・エルナンデス・ロドリゲス
Margarita Robles,マルガリータ・ロブレス
Luis Villamil,ルイス・ビジャミル
Juan Simón Gutiérrez,フアン・シモン・グティエレス
Lucas Vázquez,ルーカス・バスケス
José Folgado,ホセ・フォルガド
Lucas Nogueira,ルーカス・ノゲイラ
Macarena García,マカレナ・ガルシア
Nathalie Poza,ナタリエ・ポサ
Pablo Casado,パブロ・カサード
Manu García Sánchez,マヌエル・ガルシア・サンチェス
Maisa Lloret,マリア・ロレット
Juan de Udaeta,フアン・デ・ウダエタ
Manuel Martínez Burgos,マヌエル・マルティネス・ブルゴス
Pedro Sánchez,ペドロ・サンチェス
María Luisa Carcedo,マリア・ルイサ・カルセド
Pedro de Zúñiga y Velasco,ペドロ・デ・スニガ
María Jesús Montero,マリア・ヘスス・モンテロ
María Josefa Pimentel y Téllez-Girón,マリア・ホセファ・ピメンテル
Sergi Darder,セルジ・ダルデル
Sergio Blázquez Sánchez,テキオ
Rafael García Repullo,ラファエル・ガルシア・レプージョ
Manuel Ruiz Sosa,マヌエル・ルイス・ソサ
Joaquín Oliva,ホアキン・オリバ
Susi Sánchez,スシ・サンチェス
Raquel Lanseros,ラケル・ランセロス
Susana Díaz,スサーナ・ディアス・パチェーコ
Pere Pons,ペレ・ポンス
Sergio Rico,セルヒオ・リコ
Quini Marín,ホアキン・ホセ・マリン・ルイス
Matías Tudela,マティアス・トゥデラ
Jordi Torres,ジョルディ・トーレス
Marta Torrejón,マルタ・トレホン
Marisa Robles,マリサ・ロブレス
Nacho Martínez García,ホセ・イグナシオ・マルティネス・ガルシア
José Luis Gómez Hurtado,ホセ・ルイス・ゴメス
Jaume Costa,ハウメ・コスタ
Xabi Irureta,シャビ・イルレタ
Álex Muñoz,アレックス・ムニョス
Juan Baena Ruiz,フアン・バエナ
Juan Carlos Martín Corral,フアン・カルロス・マルティン・コラル
Miguel Ángel López Nicolás,ミゲル・アンヘル・ロペス・(陸上選手)
Javier Patiño,ハビエル・パティーニョ
Miguel Ángel Ruiz García,ミゲル・アンヘル・ルイス
Víctor Hugo López,ウーゴ・ロペス
Víctor Ibáñez Pascual,ビクトル・イバニェス
Vitolo Machín,ビクトル・マチン・ペレス
Álex Barrera,アレックス・バレラ
Pablo Carreño,パブロ・カレーニョ・ブスタ
Pablo Íñiguez,パブロ・イニゲス
Pablo Uranga,パブロ・ウランガ
Rubén Fernández Andújar,ルーベン・フェルナンデス
Pablo Marí Villar,パブロ・マリ
Pedro Melo de Portugal,ペドロ・デ・メロ
Salvador Sánchez Barbudo,サルバドール・サンチェス・バルブード
Juan Cruz Álvaro Armada,フアン・クルス
Ángel Alcázar de Velasco,アンヘル・アルカサール・デ・ベラスコ
Olivia Smart,オリヴィア・スマート
Omar Mascarell,オマール・マスカレル
Alvarito,アルバロ・ロドリゲス・ロス
Juanpe Ramírez,フアン・ラミレス
Ángel Fernández de los Ríos,アンヘル・フェルナンデス・デ・ロス・リオス
Pedro Alcalá Guirado,ペドロ・アルカラ
Juanma Bajo Ulloa,フアンマ・バホ・ウジョア
Emilio López Fernández,エミリオ・ロペス・フェルナンデス
Polo Villaamil,ポロ・ビジャミル
Kubrat de Bulgaria,クブラト・サクスコブルクゴツキ
Gregorio Céspedes,グレゴリオ・デ・セスペデス
Pedro Cavadas,ペドロ・カバダス
Jesús Pareja,ヘスス・パレハ
Giovanni Simeone,ジョバンニ・シメオネ
Rafael Reig,ラファエル・レイグ
Andrea Motis,アンドレア・モティス
Kardam de Bulgaria,カルダム・サクスコブルクゴツキ
Jennifer Hermoso,ジェニファー・エルモソ
Kiko Martínez,キコ・マルチネス
Fernando Cayo,フェルナンド・カヨ
José María Alonso Areyzaga,ホセ・マリア・アロンソ
Kenny Atkinson,ケニー・アトキンソン
Roberto Carlos García,ロベルト・カルロス・ガルシーア
Roger Martí,ロジェール・マルティ
José María Ceballos,ホセ・マリア・セバージョス
Roberto Santamaría Ciprián,ロベルト・サンタマリア
León Villar,レオン・ビジャール
Rubén Peña Jiménez,ルベン・ペニャ
Gustavo Pittaluga González del Campillo,グスタボ・ピッタルーガ
Roberto Torres Morales,ロベルト・トーレス・モラレス
José Monero,ホセ・モレノ・(死刑執行人)
Lucas Eguibar,ルーカス・エギバル
Lucas Valdés,ルーカス・デ・バルデス
Santi Mina,サンティ・ミナ
Antònia Vicens,アントニア・ビセンス・イ・ピコルネリ
Genaro Celayeta,ヘナロ・セライエタ
José María Hernández Garnica,ホセ・マリア・エルナンデス・ガルニカ
Maider Castillo,マイデル・カスティーリョ
Ruth Lorenzo,ルート・ロレンソ
Sergio León,セルヒオ・レオン
Manuel Ausensi,マヌエル・アウセンシ
Isabel Celaá,イサベル・セラア
Begoña Villamarín,ベゴーニャ・ビジャマリン
Borja Cobeaga,ボルハ・コベアガ
Juan de Arratia,フアン・デ・アラティア
Miguel Blay,ミゲル・ブレイ
Luis Irizar,ルイス・イリサール
Luis Olaso,ルイス・オラソ
Luso Delgado,ルイス・エドゥアルド・デルガド・パチェコ
Sara Álvarez,サラ・アルバレス
Luis Pasarín,ルイス・パサリン
Germán Hernández Amores,ヘルマン・エルナンデス・アモレス
Sebastián Vidal y Soler,セバスティアン・ビダル・(植物学者)
Tomás Saldaña,トーマス・サルダーニャ
Imanol Alguacil,イマノル・アルグアシル
Ángel Salas Larrazábal,アンヘル・サラス・ララサーバル
Pedro Miguel Echenique,ペドロ・ミゲル・エチェニケ
Manuel Valls i Gorina,マヌエル・ヴァリュス・イ・グリナ
Manolita Piña,マノリータ・ピニャ・トレス
Fernando Grande-Marlaska,フェルナンド・グランデ＝マルラスカ
Su Yu Chang,蘇昱彰
Manu Trigueros,マヌ・トリゲロス
Carles Martínez,カルレス・マルティネス
Carlos de Haya González,カルロス・デ・アジャ・ゴンサーレス
Lina Prokófieva,リーナ・プロコフィエヴァ
Guadalupe Ortiz de Landázuri,グアダルーペ・オルティス・デ・ランダスリ
Chus Alonso,チュス・アロンソ
Pablo Pérez Rodríguez,パブロ・ペレス・ロドリゲス
Carmina Virgili,カルミナ・ビルジリ
Isidoro Zorzano,イシドロ・ソルサノ
Modesto Brocos,モデスト・ブロコス
Jonathan Ñíguez,ホナタン・ニゲス
Jon Toral,ジョン・トラル
José María Tamburini,ジョゼップ・マリア・タンブリーニ
Luis de Castresana,ルイス・デ・カストレサナ
Dani Rovira,ダニ・ロビラ
César Ferrando,セサル・フェランド
Cosme Vázquez,コスメ・バスケス
Beatriz Colomina,ビアトリス・コロミーナ
Maria Àngels Cardona i Florit,マリア・アンジャルス・カルドナ
Marcos Martín de la Fuente,マルコス・マルティン
Diego de la Cruz,ディエゴ・デ・ラ・クルス
Edgar Badia,エドガル・バディア
Regino Hernández Martín,レヒノ・エルナンデス
María Asunción Català,マリア・アスンシオー・カタラー・イ・ポッチ
José Segrelles,ホセ・セグレーリェス
Julio Elícegui,フリオ・エリセギ
Mariano Díaz Mejía,マリアーノ・ディアス・メヒア
Mariano Barbasán,マリアーノ・バルバサン
Lluïsa Vidal,リュイサ・ヴィダル
Irene Paredes,イレーネ・パレデス
Mauro dos Santos,マウロ・ドス・サントス
Àlex Granell,アレックス・グラネル
Ana Carrasco,アナ・カラスコ
Jaime Morera y Galicia,ハイメ・モレラ
Eduardo Cano de la Peña,エドゥアルド・カノ・デ・ラ・ペーニャ
Terele Pávez,テレレ・パベス
Silvia Pérez Cruz,シルビア・ペレス・クルス
Pablo Machín,パブロ・マチン
Manuela Carrasco,マヌエラ・カラスコ
Ricardo Rodríguez Suárez,リカルド・ロドリゲス・(サッカー指導者)
Vicente Cutanda,ビセンテ・クタンダ
Pedro González Martínez,ペドロ・ゴンサレス・マルティネス
Santiago Abascal,サンティアゴ・アバスカル
Tomás Moragas,トマス・モラガス
Tomás Padró,トマース・パドロ
Rafael Senet Pérez,ラファエル・セネト・ペレス
Ximo Puig,シモ・プッチ
Alejandro Menéndez,アレハンドロ・メネンデス
José Terrón,ホセ・テロン
Monchi,モンチ
Ruki (cantante),XRukix
Teresa Galí-Izard,テレサ・ガリ・イザルド
José Luis Romanillos Vega,ホセ・ルイス・ロマニリョス
Enric Palomar,エンリク・パロマー
José Luis de Delás,ホセ・ルイス・デ・デラス
Jesús María Duñabeitia,ヘスス・マリア・ドゥニャベイティア
Dolores Redondo,ドロレス・レドンド
María Chivite,マリア・チビテ
Diego Tristán,ディエゴ・トリスタン
Pedro Cordero,ペドロ・コルデロ
Pablo Hervías,パブロ・エルビアス
Alfonso Vilar Lamelas,アルフォンソ・ビラル
Joaquín Ruiz Llorente,ホアキン・ルイス
Álvaro Lemos,アルバロ・レモス
Celia Robledo,セリア・ロブレド
Fran Sol,フラン・ソル
Marc Martínez Aranda,マルク・マルティネス・アランダ
Dani Rodríguez Vázquez,ダニ・ロドリゲス
Dani Barrio,ダニ・バリオ
Diego Llorente,ディエゴ・ジョレンテ
Carlos Akapo,カルロス・アカポ
Jagoba Arrasate,ハゴバ・アラサテ
Fernando Pacheco Flores,フェルナンド・パチェコ
Adrián Barbón,アドリアン・バルボン
Rubén Blanco,ルベン・ブランコ
Ángel Víctor Torres,アンヘル・ビクトル・トーレス
Inés Arrimadas,イネス・アリマーダス・ガルシーア
Burgui (futbolista),ホルヘ・フランコ・アルビス
Pablo Iglesias Turrión,パブロ・イグレシアス・(1978年生)
Kevin Vázquez,ケビン・バスケス
Fernando Martínez Rubio,フェルナンド・マルティネス・ルビオ
Cristian Ceballos,クリスティアン・セバージョス
Adrián Embarba,アドリ・エンバルバ
Adama Traoré Diarra,アダマ・トラオレ・(1996年生のサッカー選手)
Andreu Arriola,アンドレウ・アリオラ
Saúl García Cabrero,サウール・ガルシア
Artemi Gavezou,アルテミ・ガヴェソ
Antonio Jesús Regal Angulo,アントニオ・ヘスス・レガル・アングロ
José Luis Gayà,ホセ・ルイス・ガヤ
Joseba Zaldua,ホセバ・サルドゥア
Víctor Camarasa,ビクトル・カマラサ
Lourdes Mohedano,ルルデス・モエダーノ
Arancha González Laya,アランチャ・ゴンサレス・ラヤ
Elena López,エレーナ・ロペス
Arturo Tamayo,アルトゥーロ・タマヨ
Ayoze Pérez,アジョセ・ペレス
Lucas Torró,ルーカス・トロ
Carlos Clerc,カルロス・クレルク
Ander Capa,アンデル・カパ
José Manuel Rodríguez Benito,チェマ・ロドリゲス
José Luis Morales Nogales,ホセ・ルイス・モラレス
Javi Moyano,ハビ・モジャノ
Josep Maria Bartomeu,ジョゼップ・マリア・バルトメウ
David Costas,ダビド・コスタス
Nahuel Leiva,マティアス・ナウエル
Quique González Casín,エンリケ・ゴンサレス・カシン
Sergi Samper,セルジ・サンペール
Rubén Sobrino,ルベン・ソブリーノ
Eduard Campabadal,エドゥ・カンパバダル
Samuel García Sánchez,サムエル・ガルシア・サンチェス
Bruno Hortelano,ブルーノ・ホルテラーノ
Iván López Mendoza,イバン・ロペス・メンドーサ
Alexandre Moreno,アレックス・モレノ
Sergio Postigo Redondo,セルヒオ・ポスティゴ
Raúl Rodríguez Navas,ラウール・ナバス
Maikel Mesa,マイケル・メサ
David Gónzalez Plata,ダビド・ゴンサレス・プラタ
Juan Manuel Delgado Lloria,フアンマ・デルガド
Roque Mesa,ロケ・メサ
Dani García (futbolista),ダニエル・ガルシア・カリージョ
Julio Pleguezuelo,フリオ・プレゲスエロ
Pepe Juan,ペペ・フアン
Jason Remeseiro,ジェイソン・レメセイロ
Carlos Vigaray,カルロス・ビガライ
Clément Lenglet,クレマン・ラングレ
Álvaro García Rivera,アルバロ・ガルシア
Cosme de Acuña,コスメ・デ・アクニャ
Eva Calvo Gómez,エバ・カルボ・ゴメス
Imanol Rojo,イマノル・ロホ
Cristian Herrera,クリスティアン・エレーラ
Nano Mesa,ナノ・メサ
Héctor Bellerín,エクトル・ベジェリン
Aritz Elustondo,アリツ・エルストンド
Rodrigo Corrales,ロドリゴ・コラレス
Diego Rico,ディエゴ・リコ
Natalia de Molina,ナタリア・デ・モリーナ
Raquel Barrientos,ラケル・バリエントス
Keita Balde,ケイタ・バルデ・ディアオ
Moisés Delgado López,モイセス・デルガド
Bruno González,ブルーノ・ゴンサレス
Fede San Emeterio,フェデ・サン・エメテリオ
Ramón Souto,ラモン・ソウト
Rubén Yáñez (futbolista),ルベン・ジャニェス
Portu (futbolista nacido en 1992),クリスティアン・ポルトゥゲス・マンサネラ
Juanma Moreno,フアン・マヌエル・モレーノ
Jony Rodríguez,ホニー・ロドリゲス
Aarón Escandell,アーロン・エスカンデル
Carlos Fernández Luna,カルロス・フェルナンデス・ルナ
Fran Silvestre,Fran・Silvestre
Iván Calero Ruiz,イバン・カレロ
Àngels Gregori,アンジェルス・グラゴリ
Álvaro Medrán,アルバロ・メドラン
Albert Vivancos Roig,アルベルト・ビバンコス
Roberto Carballés,ロベルト・カルバリェス・バエナ
Aday Benítez,アダイ・ベニテス
Sandra Aguilar,サンドラ・アギラール
Óscar Whalley,オスカル・ウォーリー
Juan Manuel García García,フアン・マヌエル・ガルシア・ガルシア
Felipe Montoya,アンドレス・フェリペ・モントーヤ
Joan Tuset i Suau,ジュアン・トゥセット・スアウ
Alberto Jiménez Benítez,アルベルト・ヒメネス・(サッカー選手)
Andrés Prieto Albert,アンドレス・プリエト
Laro Herrero,ラロ・エレーロ
Pablo Echenique,パブロ・エチェニケ
Dani Ceballos,ダニ・セバージョス
Hugo Álvarez Quintas,ウーゴ・アルバレス
Marco Asensio,マルコ・アセンシオ
Jaime Mata,ハイメ・マタ
Édgar Méndez,エドガル・メンデス
Pau López,パウ・ロペス
Unai Bustinza,ウナイ・ブスティンサ
Jon Garaño,ヨン・ガラニョ
Samuel Urrabieta,サムエル・ウラビエタ
Vicente Urrabieta,ビセンテ・ウラビエタ
Iñaki Williams,イニャキ・ウィリアムズ
Federico Ruiz (pintor),フェデリコ・ルイス
Iván Sánchez Aguayo,イバン・サンチェス
Jon Ander Serantes,ジョン・アンデル・セランテス
Fabián Ruiz Peña,ファビアン・ルイス
Jaume Munar,ハウメ・ムナル
Manuela Carmena,マヌエラ・カルメーナ・カストリージョ
Gonzalo Melero,ゴンサロ・メレロ
José Aurelio Suárez,ホセ・アウレリオ・スアレス
Gerard Gumbau,ジェラール・グンバウ
Juancho Hernangómez,フアンチョ・エルナンゴメス
Íñigo Eguaras,イニゴ・エグアラス
Carlos Gutiérrez González (futbolista),カルロス・グティエレス
Cristo González Pérez,クリスト・ゴンサレス
Kenan Kodro,ケナン・コドロ
Mikel Merino,ミケル・メリーノ
Borja Mayoral,ボルハ・マジョラル・モラ
Unai López,ウナイ・ロペス
Airán Fernández,アイラン・フェルナンデス
Pere Milla,ペレ・ミジャ
Pablo Valcarce Vidal,パブロ・バルカルセ
Dani Olmo,ダニ・オルモ
Jack Harper,ジャック・ハーパー・(サッカー選手)
Javi Muñoz Jiménez,ハビ・ムニョス
Paula Badosa,パウラ・バドサ
Marcelo Djaló,マルセロ・ジャロ
Samu Castillejo,サム・カスティジェホ
Jairo Morillas,ハイロ・モリージャス
Joan Jordán,ジョアン・ジョルダン
David García Zubiria,ダビド・ガルシア・スビリア
Sara Sorribes,サラ・ソリベス・トルモ
Luismi,ルイス・ミゲル・サンチェス・ベニテス
Jesús Vallejo (futbolista),ヘスス・バジェホ
Clara Azurmendi,クララ・アスルメンディ
Carlos María Esquivel y Rivas,カルロス・マリア・エスキベル
Borja Iglesias,ボルハ・イグレシアス
Lucas Hernández,リュカ・エルナンデス
Sergi Palencia,セルジ・パレンシア
Jorge Martín,ホルヘ・マルティン
Adrián Marín Gómez,アドリアン・マリン・ゴメス
Robert Ibáñez,ロベルト・イバニェス
Rubén Duarte,ルベン・ドゥアルテ
Jorge Sáenz de Miera Colmeiro,ホルヘ・サエンス
David Raya,ダビド・ラヤ
Jozabed,ホサベド・サンチェス
Álex Berenguer,アレックス・ベレンゲル
Ager Aketxe,アヘル・アケチェ
Cecilio Pizarro,セシリオ・ピサーロ
Javier Eraso,ハビエル・エラソ
David Concha,ダビド・コンチャ
Álex Palou,アレックス・パロウ
José Ángel Pozo,ホセ・アンヘル・ポソ
Alonso de Cárdenas (embajador),アロンソ・デ・カルデナス・(外交官)
Cifu (futbolista),ミゲル・アンヘル・ガリード
Munir Mohand Mohamedi,ムニル・モハンド・モハメディ
José Kanté,ホセ・カンテ・マルチネス
Enrique Marín,エンリケ・マリン
Brian Oliván,ブライアン・オリバン
Carlos Moreno Gómez,カルロス・モレノ・ゴメス
Jorge Meré,ホルヘ・メレ
Elena Brockmann,エレナ・ブロックマン
Alfonso Pedraza,アルフォンソ・ペドラサ
Jaume Doménech,ジャウメ・ドメネク
Jon Bautista,ジョン・バウティスタ
Martín Merquelanz,マルティン・メルケランス
Pol García,ポル・ガルシア
Sandro Ramírez,サンドロ・ラミレス
Jordi Fernández,ジョルディ・フェルナンデス
Aliona Bolsova,アリオナ・ボルソバ
Cristina Gutiérrez,クリスティーナ・グティエレス
Joaquim Salarich,ジョアキン・サラリック
Bienvenido Marañón,ビエンベニード・マラニョン
Marc Soler,マルク・ソレル
Leticia Romero,レティシア・ロメロ
Dani Calvo,ダニ・カルボ
Claudia Vega,クラウディア・ベガ
Pablo Martinez (futbolista),パブロ・マルティネス
Aitor Buñuel,アイトール・ブニュエル
Josep Clarós,ジョゼップ・クラロス
Ricardo Arredondo,リカルド・アレドンド・カルマチェ
Álvaro Soler,アルバロ・ソレール
Anuar Mohamed Tuhami,アヌアル・トゥハミ
Álvaro Odriozola,アルバロ・オドリオソラ
Luca Sangalli,ルカ・サンガリ
Luca Zidane,ルカ・ジダン
Iñigo Lekue,イニゴ・レクエ
Yeray Álvarez,ジェライ・アルバレス
Mamadou Sylla Diallo,ママドゥ・シラ
Aleix García,アレイクス・ガルシア
Teresita González Quevedo,マリア・テレサ・ゴンサレス・ケベド
Tomás de Zumárraga,トマス・デ・スマラガ
Concha Andreu,コンチャ・アンドレウ
Álex Remiro,アレックス・レミロ
Mikel Vesga,ミケル・ベスガ
Gabriel Rufián,ガブリエル・ルフィアン
Sofian Chakla,ソフィアン・チャクラ
Isaac Palazón Camacho,イシ・パラソン
Antonio Sivera,アントニオ・シベラ
Angeliño,ホセ・アンヘル・エスモリス・タセンデ
Asier Villalibre,アシエル・ビジャリブレ
María Bernabéu,マリア・ベルナベウ
Toni Lato,アントニオ・ラトーレ・グルエソ
Aleix Febas,アレックス・フェバス
Sergi Guardiola,セルジ・グアルディオラ
Jorge Miramón,ホルヘ・ミラモン
Mario Hermoso,マリオ・エルモソ
Isaac Carcelén,イサーク・カルセレン・バレンシア
Sabin Merino,サビン・メリノ
Montse Watkins,モンセ・ワトキンス
Joan Sastre Vanrell,ジョアン・サストレ・バンレル
Antonio Raíllo,アントニオ・ライージョ
Antonio Puertas,アントニオ・プエルタス
Nadia Calviño,ナディア・カルビニョ
Rober Correa,ロベル・コレア
Sergi Canós,セルジ・カノス
Aitor Cantalapiedra,アイトール・カンタラピエドラ
Iñigo Córdoba,イニゴ・コルドバ
Rubén Alcaraz,ルベン・アルカラス
Rayderley Zapata,ライデルレイ・サパタ
Josan Ferrández,ホセ・アントニオ・フェルナンデス・ポマレス
Juan del Campo (esquiador),フアン・デル・カンポ
Xavi Quintillà,シャビ・キンティージャ
Yaki Yen,殷亜吉
Pedro Chirivella,ペドロ・チリベジャ
El Rubius,El・rubius
Iván Alejo,イバン・アレホ
Rodri Hernández,ロドリゴ・エルナンデス
Christian Rivera Hernández,クリスティアン・リベラ
Rafa Mir,ラファエル・ミル・ビセンテ
Carles Aleñá,カルレス・アレニャ
Jaime Rosón,ハイメ・ロソン
Pol Llonch,ポル・ジョンチ
Jairo Izquierdo,ハイロ・イスキエルド
Germán Sánchez Barahona,ヘルマン・サンチェス・バラオーナ
Rodrigo Tarín,ロドリゴ・タリン
Diego Johannesson,ディエゴ・ヨハネソン
Joaquín Fernández Moreno,ホアキン・フェルナンデス
Enric Mas,エンリク・マス
Gorka Guruzeta,ゴルカ・グルセタ
José Luis García Vayá,ホセ・ルイス・ガルシア・バジャ
Joni Montiel,ホニ・モンティエル
Miguel Llambrich,ミゲル・フアン・ジャンブリチュ
César Hidalgo,セザー・ヒダルゴ
Diego González Polanco,ディエゴ・ゴンサレス・ポランコ
Carlos Martínez Rodríguez,カルロス・マルティネス・(1986年生のサッカー選手)
Marcos Llorente,マルコス・ジョレンテ
Fran Villalba,フラン・ビジャルバ
Mireia Lalaguna,ミレイア・ララグナ
Curro Sánchez,クーロ・サンチェス
Pape Cheikh Diop,パペ・シェイク・ディオプ
Gustavo Gimeno,グスターボ・ヒメノ
Fali,ラファエル・ヒメネス・ハルケ
Barei,バレイ・(歌手)
Mikel Oyarzabal,ミケル・オヤルサバル
Pablo Fornals,パブロ・フォルナルス
Juan Alfonso García,フアン・アルフォンソ・ガルシア・ガルシア
Róber Pier,ロベルト・スアレス・ピエル
Javier Ontiveros,ハビエル・オンティベロス
José Arnaiz,ホセ・アルナイス
Fernando Jubero,フェルナンド・フベロ
Carles Pérez,カルレス・ペレス
Àlex Carbonell,アレックス・カルボネイ
Marc Cucurella,マルク・ククレジャ
Irene Montero,イレーネ・モンテーロ
Álvaro Tejero,アルバロ・テヘロ
Ignacio Monsalve Vicente,ナチョ・モンサルベ
Fernando Alarza,フェルナンド・アラルサ
Manu García Alonso,マヌエル・ガルシア・アロンソ
David Soria Solís,ダビド・ソリア・ソリス
Jokin Ezkieta,ホキン・エスキエタ
Diego Martínez Penas,ディエゴ・マルティネス・ペナス
Borja Lasso,ボルハ・ラソ
Óscar García Quintela,オスカル・フランシスコ・ガルシア・キンテラ
Matías Moreno González,マティアス・モレノ
José Joaquín Matos García,ホセ・マトス
Salvi Sánchez,サルビ・サンチェス
Andrés Alcántara Prieto,アンドレシート
Juan Velarde (piloto),フアン・ベラルデ
Mathías Olivera,マティアス・オリベラ
Juan Góngora,フアン・ゴンゴラ
Igor Zubeldia,イゴール・スベルディア
Unai Simón,ウナイ・シモン
Abel Azcona,アベル・アスコナ
Rodrigo Sorogoyen,ロドリゴ・ソロゴイェン
Mikel Iturria,ミケル・イトゥリア
Sandra Sánchez,サンドラ・サンチェス
Pablo Maffeo,パブロ・マフェオ
Joan Mir,ジョアン・ミル
Álex de Miñaur,アレックス・デミノー
Albert Arenas,アルベルト・アレナス
Lluís Planagumà,リュイス・プラナグマ
Aarón Martín,アーロン・マルティン
Víctor Barrio,ビクトル・バリオ
Domènec Torrent Font,ドメネク・トレント
Víctor Álvarez Rozada,ビクトル・アルバレス・ロサダ
Sergio Herrera Pirón,セルヒオ・エレーラ
Jon Rahm,ジョン・ラーム
Jon Ander Garrido,ホン・アンデル・ガリード
Álex Gallar,アレックス・ガジャル
Luis Pérez Maqueda,ルイス・ペレス・マケダ
Adrián Dalmau,アドリアン・ダルマウ
Ángel Garrido,アンヘル・ガリード
Antonio Pérez Balada,アントニオ・ペレス・バラダ
Álvaro Jiménez,アルバロ・ホセ・ヒメネス・ゲレーロ
Sergio Reguilón,セルヒオ・レギロン
Robin Le Normand,ロビン・ル・ノルマン
Aitana Bonmatí,アイタナ・ボンマティ
Jair Amador,ジャイル・アマドール
Millie Bobby Brown,ミリー・ボビー・ブラウン
Dafne Keen,ダフネ・キーン
Xabier López-Arostegui,シャビエル・ロペス＝アロステギ
Luismi Quezada,ルイズミ・ケサダ
Pol Lirola,ポル・リロラ
Elena Gallego Andrada,エレナ・ガジェゴ
Marcus Cooper Walz,マルクス・ワルツ
Gustavo Quezada,グスタボ・ケサダ
Marta García López,マルタ・ガルシア・(レーシングドライバー)
Youssef En-Nesyri,ユセフ・エン＝ネシリ
Luis Javier Suárez,ルイス・ハビエル・スアレス
Damián Quintero,ダミアン・キンテーロ
Francisco Garrigós,フランシスコ・ガリゴス
Julia Figueroa,フリア・フィゲロア
Cristian Toro,クリスティアン・トロ
Javi Galán,ハビ・ガラン
Jacobo González Rodrigáñez,ハコボ・ゴンサレス
Juan Soriano Oropesa,フアン・ソリアーノ
Alejandro Pozo,アレハンドロ・ポソ
Óscar Rodríguez Arnaiz,オスカル・ロドリゲス
Marc Roca,マルク・ロカ
Carlos Soler,カルロス・ソレール
Rafael Navarro Mazuecos,ラファ・ナバーロ
Fran Beltrán,フラン・ベルトラン
Luis Enrique Peñalver,ルイス・エンリケ・ペニャルベル
Raúl Fernández (motociclista),ラウル・フェルナンデス
Rosalía (cantante),ロザリア・(歌手)
Maria Dolors García Ramón,マリア・ドロールス・ガルシア・ラモン
Marc Navarro,マルク・ナバーロ
Benito Ramírez,ベニート・ラミレス
Jorge Cuenca,ホルヘ・クエンカ
Jorge Ruiz Ojeda,ホルヘ・ルイス・オヘダ
José Manuel Sánchez Guillén,ホセ・マヌエル・サンチェス・ギジェン
Sergio Akieme,セルヒオ・アキエメ
Oriol Paulo,オリオル・パウロ
Santiago Comesaña Veiga,サンティ・コメサーニャ
Jon Guridi,ホン・グリディ
Jon Zabala,ジョン・サバラ
Sebas Saiz,セバスチャン・サイズ
José Luis Muñoz León,ホセ・ルイス・ムニョス・レオン
Jorge Pombo,ホルヘ・ポンボ
Roberto Olabe del Amo,ロベルト・オラベ
José Carlos Ramírez Suárez,ホセ・カルロス・ラミレス・スアレス
Juan Moreno Fernández,フアン・モレノ・フェルナンデス
Álvaro Fernández Llorente,アルバロ・フェルナンデス・ジョレンテ
Óscar Melendo,オスカル・メレンド
Marc Cardona,マルク・カルドナ
Toni Villa,ラウレアーノ・アントニオ・ビジャ・スアレス
Vinícius Júnior,ヴィニシウス・ジョゼ・パイション・デ・オリヴェイラ・ジュニオール
Juanjo Nieto,フアンホ・ニエト
Éder Militão,エデル・ガブリエウ・ミリトン
Achraf Hakimi,アクラフ・ハキミ
Jaime Seoane,ハイメ・セオアネ
Adrián Diéguez,アドリアン・ディエゲス
Iker Lecuona,イケル・レクオナ
Jordi Mboula,ジョルディ・ムブラ
Iván Villar,イバン・ビジャール
Víctor Campuzano,ビクトル・カンプサーノ
David Gil Mohedano,ダビド・ヒル
Nacho Vidal Miralles,イグナシオ・ビダル・ミラージェス
Brahim Díaz,ブライム・ディアス
Abel Ruiz,アベル・ルイス
Dani Escriche,ダニ・エスクリチェ
José Antonio Morente Oliva,テテ・モレンテ
Francis Guerrero,フランシス・ゲレーロ
Unai Nuñez,ウナイ・ヌニェス
José Antonio Martínez Gil,ホセ・アントニオ・マルティネス・ヒル
Álex Mula,アレックス・ムラ
Roger Brugué,ロジェール・ブルゲ
