Campinas,カンピーナス
Grande Prêmio do Brasil de 2017,2017年ブラジルグランプリ
Recopa Sul-Americana de 2018,レコパ・スダメリカーナ2018
UFC 212,UFC・212
Hospital Erasto Gaertner,エラストゲルトナー病院
Recopa Sul-Americana de 2017,レコパ・スダメリカーナ2017
Rugby sevens nos Jogos Olímpicos de Verão de 2016 - Masculino,2016年リオデジャネイロオリンピックのラグビー競技・男子
Brasil nos Jogos Olímpicos de Verão de 2020,2020年東京オリンピックのブラジル選手団
Deodoro (encouraçado),マレシャウ・デオドーロ・(海防戦艦)
Grande Prêmio do Brasil de 2018,2018年ブラジルグランプリ
2019 no Brasil,2019年のブラジル
2018 no Brasil,2018年のブラジル
TUE Série 3000 (CPTM),サンパウロ都市圏鉄道会社3000形電車
UFC 224,UFC・224
Partido Social Democrático (1987),社会民主党・(ブラジル、1987年結成)
UFC Fight Night: Machida vs. Anders,UFC・Fight・Night:・Machida・vs.・Anders
Relações entre Brasil e Cazaquistão,ブラジルとカザフスタンの関係
Embaixada do Japão em Brasília,在ブラジル日本国大使館
Lista de clubes campeões mundiais de futebol,インターコンチネンタルカップとFIFAクラブワールドカップの結果一覧
Levain Cup-Sudamericana Final de 2019,Jリーグカップ/コパ・スダメリカーナ王者決定戦2019
Súper Liga Americana de Rugby,スーペルリーガ・アメリカーナ・デ・ラグビー
Extinction Rebellion,エクスティンクション・レベリオン
Grande Prêmio do Brasil de 2019,2019年ブラジルグランプリ
UFC Fight Night: Assunção vs. Moraes II,UFC・Fight・Night:・Assunção・vs.・Moraes・2
UFC Fight Night: Santos vs. Anders,UFC・Fight・Night:・Santos・vs.・Anders
Copa América de 2021,コパ・アメリカ2021
Rompimento de barragem em Brumadinho,ブルマジーニョ尾鉱ダム決壊事故
UFC Fight Night: Błachowicz vs. Jacaré,UFC・Fight・Night:・Błachowicz・vs.・Jacaré
UFC 237,UFC・237
2020 no Brasil,2020年のブラジル
Eleições gerais no Brasil em 2022,2022年ブラジル総選挙
Incêndios florestais na Amazônia em 2019,2019年アマゾン熱帯雨林火災
Pandemia de COVID-19,新型コロナウイルス感染症の世界的流行・(2019年-)
UFC Fight Night: Lee vs. Oliveira,UFC・Fight・Night:・Lee・vs.・Oliveira
Cobras Brasil XV,コブラス・ブラジウXV
TUE Série 2005 (Supervia),SuperVia2005形電車
Arena MRV,エスタジオ・プレジレンテ・エリアス・カリル
Furia Esports,Furia・Esports
Brasil Open,ブラジル・オープン
2021 no Brasil,2021年のブラジル
Recopa Sul-Americana de 2021,レコパ・スダメリカーナ2021
Grande Prêmio de São Paulo de 2021,2021年サンパウログランプリ
Brasil nos Jogos Olímpicos de Inverno de 2022,2022年北京オリンピックのブラジル選手団
Delio Venturotti,デリオ・ベントゥロッティ
Bolsonarismo,ボルソナリズム
Surdolimpíadas de Verão de 2021,2021年カシアス・ド・スルデフリンピック
Embraer ERJ,エンブラエル・ERJ・145
Recopa Sul-Americana de 2022,レコパ・スダメリカーナ2022
Falcon Futebol Clube,ファウコンFC
Grande Prêmio de São Paulo de 2022,2022年サンパウログランプリ
Surto de varíola dos macacos em 2022,2022年のエムポックス流行
Surto de hepatite aguda grave em crianças em 2022,2022年原因不明の小児肝炎
EPrix de São Paulo,サンパウロeプリ
Ataques de 8 de janeiro em Brasília,2023年ブラジル三権広場襲撃事件
Morte e funeral de Pelé,ペレの死
