México,墨西哥
Casa del Lago Juan José Arreola,湖屋
Pena de muerte en México,墨西哥死刑制度
Carlos'n Charlie's,卡洛斯恩查理
Museo Casa de León Trotsky,莱昂·托洛茨基博物馆
Colonia Guerrero,格雷罗地区
elecciones federales de México de 1910,1910年墨西哥大选
elecciones federales de México de 1958,1958年墨西哥大选
elecciones federales de México de 1964,1964年墨西哥大选
Río Cazones,卡索內斯河
Ceh Pech,切佩奇
Matorral central mexicano,中墨西哥常绿有刺灌丛
Estación Buenavista,布埃納維斯塔車站
Reserva de la Biosfera Tehuacán-Cuicatlán,特瓦坎·奎卡特蘭生物圈保護區
puente Mezcala Solidaridad,梅兹卡拉大桥
Revista Azul,蓝色杂志
San Blas,聖布拉斯 (墨西哥)
La Chinesca (barrio chino de Mexicali),墨西卡利唐人街
Barrio chino (Ciudad de México),墨西哥城唐人街
Relaciones China-México,中墨关系
Tenis en los XXI Juegos Centroamericanos y del Caribe,2010年中美洲及加勒比海运动会网球比赛
Torre HSBC,墨西哥城汇丰银行大厦
Álamo,阿拉抹
Corporación Interamericana de Entretenimiento,CIE集團
Templo de Oaxaca,墨西哥瓦哈卡聖殿
Guadalupe,瓜达卢佩
Morelos,莫雷洛斯
Conservatorio Nacional de Música de México,墨西哥國立音樂學院
Terremoto de Guerrero de 2009,2009年格雷羅州地震
Observatorio Astronómico Nacional San Pedro Mártir,墨西哥國家天文台
Mezquital (Tamaulipas),梅斯基塔爾 (塔毛利帕斯州)
Comarca Minera,米涅拉
Bahía de Banderas (bahía),旗幟灣
Puerto Ángel,安赫爾港
Controversia e irregularidades de la elección presidencial de 2006 en México,2006年墨西哥大选争议
Camalú,卡马卢
Copa Mundial de la FIFA United 2026,2026年国际足协世界杯
chinanteca de Ozumacín,奧蘇馬辛奇南特克語
chinanteca de Palantla,帕蘭特拉奇南特克語
Estafeta Carga Aérea,郵政貨運航空
Conferencia Nacional de Gobernadores,全國州長會議
Conferencia de Chapultepec,美洲战争-和平问题会议
Producción de árboles de navidad en México,墨西哥圣诞树生产
Templo y exconvento de San Francisco,圣方济各堂 (墨西哥城)
Templo de Ciudad Juárez,墨西哥華雷斯城聖殿
Ciudad Miguel Alemán,米格爾阿萊曼城
Piratas moros,苏禄海和西里伯斯海反海盗行动
Grupo Empresarial Ángeles,安赫萊斯帝國集團
Grupo Imagen,伊瑪亨集團
Gran Teatro Nacional,國家大劇院
Club Deportivo Potosino,波托西体育俱乐部
Chakán,查坎
Chalco-Atenco,查尔科
Fuerza Regia de Monterrey,蒙特雷力量
Chikinchel,奇金切尔
Hospital (Metrorrey),醫院站
Sala Ollin Yoliztli,奥林•约利斯特利音乐厅
Época de Oro del cine mexicano,墨西哥電影黃金時代
Palacio de Gobierno de Chihuahua,政府宮 (奇瓦瓦)
Gobernador de Baja California Sur,南下加利福尼亞州州長
Gobernador de Colima,科利馬州州長
Gobernador de Guanajuato,瓜纳华托州长
Grupo Aeroportuario del Pacífico,太平洋机场集团
La Razón,理性报
Global Air (México),墨西哥全球航空
Gobernador de Jalisco,哈利斯科州州长
Gobernador de Michoacán,米卻肯州州長
Gobernador de Puebla,普埃布拉州州長
Universidad del Caribe,加勒比大学
Biblioteca Nacional de México,墨西哥国家图书馆
Acueducto de Chapultepec,查普尔特佩克堤道
Los Altos de Chiapas,恰帕斯高原
San Nicolás de Carretas,圣尼古拉斯-德卡雷塔斯
Escuela Nacional de Artes Cinematográficas,中央电影学院
Centro Urbano Presidente Juárez,贝尼托华雷斯市中心
Centro de Educación Artística,藝術教育中心
Centro de Enseñanza Técnica y Superior,Cetys大學
Cerro Prieto,塞羅普列托
Monumento a Colón,克里斯托弗·哥伦布纪念像
Aeropuerto Internacional de Palenque,帕伦克国际机场
Teotenango,特奧特南戈
Hospital de Jesús Nazareno México,耶稣医院
iglesia de la Purísima,圣母无原罪圣殿
Delta del Río Colorado,科羅拉多河三角洲
Comisión Nacional para el Conocimiento y Uso de la Biodiversidad,墨西哥国家生物多样性知识和利用委员会
Partido Comunista de México (Marxista-Leninista),墨西哥共产党（马列）
Centro Panamericano de Tenis,泛美网球中心
Práxedis G. Guerrero,普拉塞迪斯希尔韦托-格雷罗
Hotel Riu Plaza Guadalajara,瓜達拉哈拉瑞廣場酒店
Cochoapa el Grande,大科乔阿帕
Cochuah,科丘阿
Grupo Salinas,薩利納斯集團
Feria Internacional del Libro de Guadalajara,瓜達拉哈拉國際書展
Templo de Guadalajara (México),墨西哥瓜達拉哈拉聖殿
Fuerza Guinda de Nogales,古因達力量籃球隊
Garra Cañera de Navolato,納沃拉托籃球隊
Coixtlahuaca,奎斯特拉瓦卡
Museo Júmex,尤梅克斯博物馆
Huracanes de Tampico,坦皮科颶風
Colegio de las Vizcaínas,圣依纳爵学校
colonia de México,城区
Buenavista,布埃纳维斯塔社区
Colonia Cuauhtémoc,夸烏特莫克社区
Hipódromo de Peralvillo,佩拉尔维洛前赛马场社区
Colonia Morelos,莫雷洛斯社区
Crisis política en México de 2006,2006年墨西哥政治危機
Cruz Roja Mexicana,墨西哥红十字会
HSBC México,墨西哥滙豐銀行
República Restaurada,复兴共和国
Correcaminos UAT Victoria,克雷卡米諾斯
General I. Zaragoza,I·萨拉戈萨将军车站
Abejas de Guanajuato,雷昂蜜蜂
Congreso de Baja California,下加利福尼亞州議會
Congreso de Quintana Roo,金塔納羅奧州議會
Noreste de México,墨西哥東北部
Copala,科帕拉自治区
"Consejo Nacional de Humanidades, Ciencias y Tecnologías (México)",薩爾瓦多國家科學技術委員會
Copala,科帕拉 (格雷罗州)
Ecobici,EcoBici
infrarrealismo,現實以下主義
Inmigración haitiana en México,海地裔墨西哥人
Inmigración turca en México,墨西哥的土耳其人
Guerreros de Morelia,莫雷利亞戰士籃球隊
Parque nacional Sierra de San Pedro Mártir,聖彼德羅馬蒂爾山國家公園
Consejo Nacional de Población,墨西哥国家人口委员会
Gobernador de Sinaloa,錫那羅亞州州長
Gobernantes del Estado de México,墨西哥州州長
Anexo:México en 1843,1843年墨西哥
Anexo:México en 1846,1846年墨西哥
Anexo:México en 1847,1847年墨西哥
Anexo:México en 1914,1914年墨西哥
Planta Ford Cuautitlán,庫奧蒂特蘭裝配廠
Argentina vs. Inglaterra,阿根廷对英格兰 (1986年世界杯足球赛)
Cuyutlán,库尤特兰
Esquites,墨西哥玉米杯
Terremoto de Guerrero de 1911,1911年格雷罗地震
Aeropuerto Internacional Felipe Ángeles,墨西哥城圣塔卢西亚机场
Correos de México,墨西哥郵政總局
Región Costa Chica (Guerrero),科斯塔奇卡
Región Costa,科斯塔地区
"Dirección General de Radio, Televisión y Cinematografía (México)",廣播，電視和電影總局
Eldorado,埃爾多拉多
puente Internacional Del Río - Ciudad Acuña,德尔里奥国际桥
Delfines del Carmen,卡門城海豚
Municipio de Chapala,查帕拉市镇
Culiacancito,錫那羅亞州
Ojocaliente,奥霍卡连特
Dirección General de Aeronáutica Civil (México),墨西哥民用航空总局
Técpan de Galeana,特克潘－德加萊阿納巿
Halcones Xalapa,哈拉帕獵鷹
Anexo:México en 1934,1934年墨西哥
Anexo:México en 1936,1936年墨西哥
Baca,巴卡
Banco del Avío,阿維奧銀行
Aeropuerto Internacional de Kaua,契琴伊薩國際機場
Aeropuerto Nacional Ingeniero Juan Guillermo Villasana,胡安·吉列尔莫·比利亚萨纳工程师国家机场
Cinépolis,影都
Anexo:México en 1917,1917年墨西哥
Anexo:México en 1919,1919年墨西哥
Anexo:México en 1920,1920年墨西哥
Terremoto de Jalisco de 1932,1932年哈利斯科地震
Anexo:México en 1839,1839年墨西哥
Anexo:México en 1810,1810年墨西哥
Anexo:México en 1829,1829年墨西哥
Anexo:México en 1830,1830年墨西哥
Anexo:México en 1831,1831年墨西哥
Siete Leyes,七法
Estela 5 de Izapa,Izapa5号石碑
El Sol de México,墨西哥太阳报
Puerto Libertad,利伯塔德港 (墨西哥)
Progreso,普罗格雷索
Proméxico,墨西哥投資貿易局
Anexo:México en 2006,2006年墨西哥
Anexo:México en 2007,2007年墨西哥
Anexo:México en 2008,2008年墨西哥
Liga Nacional de Baloncesto Profesional de México 2012-2013,2012-13
La Coyotada,科由他達
Universidad de Ecatepec,埃卡特佩克大学
Universidad de Navojoa,纳沃华大学
Río Huaynamota,瓦伊納莫塔河
Oriente de México,墨西哥東部
San Agustín Amatengo,圣奥古斯丁阿马滕戈
Anexo:México en 1968,1968年墨西哥
Anexo:México en 1982,1982年墨西哥
Universidad Madero,馬德羅大學
El Salto (Durango),埃爾薩爾托 (杜蘭戈州)
El Tule,埃尔图莱
Base Aérea Nº. 3 El Ciprés,恩森那達機場
embajada de Suecia en México,瑞典駐墨西哥大使館
Ayotzinapa,阿约济纳帕
Retablo de los Reyes,国王祭坛
Parque nacional Palenque,帕倫克國家公園
Parque nacional Bahía de Loreto,洛雷托灣國家公園
Parque nacional Los Novillos,洛斯諾維約斯國家公園
Santuario Isla Contoy,孔托伊島國家公園
Parque nacional El Chico,埃爾奇科國家公園
Liga de Trabajadores por el Socialismo,社会主义工人运动
Región Norte,北墨西哥
Teotitlán del Valle,特奥蒂特兰
Ignacio Zaragoza,伊格纳西奥-萨拉戈萨
Igualapa,伊瓜拉帕
Maratón de la Ciudad de México,墨西哥城馬拉松
María Magdalena de Amatlán,阿马特兰·德克察尔科亚特尔
Batalla de San Lorenzo (México),聖羅倫索戰役
Halcones Rojos Veracruz,韋拉克魯斯紅鷹
Anexo:México en 1994,1994年墨西哥
Terremoto de Colima de 1995,1995年科利马—哈利斯科地震
Torneo Sub-20 de la Concacaf 1996,1996年中北美洲及加勒比海U-20足球錦標賽
José Esteban Coronado,科罗纳多镇
LXII Legislatura del Congreso de la Unión de México,第62届墨西哥国会
Explosiones de San Martín Texmelucan de 2010,2010年普埃布拉州漏油爆炸事件
Anexo:México en 2010,2010年墨西哥
Anexo:México en 1985,1985年墨西哥
XVI Juegos Centroamericanos y del Caribe,1990年中美洲及加勒比海运动会
Valle del Rosario,巴耶-德尔罗萨里奥
Aerocancun,墨西哥
Jardines del Bosque,森林花园
Túxpam de Rodríguez Cano,圖斯潘
Lechugueros de León,墨西哥萊昂籃球隊
Parque nacional Arrecife de Puerto Morelos,莫雷洛斯港礁國家公園
Laguna de Sayula,薩尤拉湖
Museo Memoria y Tolerancia,记忆与宽容博物馆
Masacre de San Fernando de 2011,2011年聖費爾南多屠殺
Anexo:México en 2011,2011年墨西哥
XXII Juegos Centroamericanos y del Caribe,2014年中美洲和加勒比地區運動會
Colegio Americano de la Ciudad de México,美國學校基金會
Distrito de Pochutla,波丘特拉区
Río Tamesí,塔梅西河
Río Tecolutla,特科盧特拉河
Río Tonalá,托納拉河
Sala Nezahualcóyotl,内萨瓦尔科约特尔音乐厅
Río Mixteco,米斯特科河
Aeropuerto Nacional de Tehuacán,提瓦坎机场
línea 12 del Metro de la Ciudad de México,墨西哥城地鐵12號線
línea 1 del Metro de Monterrey,蒙特雷地鐵1號線
Línea 1 del Tren Eléctrico Urbano de Guadalajara,瓜達拉哈拉輕軌1號線
Línea 3 del Tren Eléctrico Urbano de Guadalajara,地铁3号线（瓜达拉哈拉）
"La Misión, Baja California",拉米西翁
Anexo:México en 2002,2002年墨西哥
Anexo:México en 2005,2005年墨西哥
Brigadas Femeninas de Santa Juana de Arco,圣女贞德的女兵
Ah Kin Chel,阿金切尔
Alianza por el Cambio,变革同盟
Alianza por México,墨西哥同盟
Parque Bicentenario (Ciudad de México),雙百年公園
Pioneros de Quintana Roo,金塔納羅奧開拓者籃球隊
plan de San Diego,圣迭戈计划
Plan de Tuxtepec,图斯特佩克纲领
Anexo:Entidades federativas de México por tasa de pobreza,墨西哥各州貧窮率列表
Anexo:Líderes del narco más buscados en México,墨西哥37名頭號通緝之毒梟列表
Sociedad Astronómica de México,墨西哥天文學會
Las Bocas,拉斯博卡斯
Liceo Mexicano Japonés,日墨学院
Liga Norte de México,墨西哥北方聯盟
Experimento de accidente de Boeing 727 en 2012,2012年波音727碰撞實驗
Anexo:México en 2012,2012年墨西哥
Museo Universitario Arte Contemporáneo (UNAM),大学当代艺术博物馆
Monumento a Cuauhtémoc,夸乌特莫克纪念碑
Morelos,莫雷洛斯
Olivos (estación),奧利沃斯站
Pioneros de Los Mochis,洛斯莫奇斯拓荒者
Playa Azul,普拉亚阿苏尔 (米却肯州)
Nueve Viento,风九日神
Mazunte,马祖特
Playas de Tijuana,蒂华纳海滩
Tlacoachistlahuaca,特拉科阿奇斯特拉瓦卡
Universidad Pontificia de México,墨西哥天主教大學
Periférico Sur (estación del Tren Ligero de Guadalajara),南边站
Irreligión en México,墨西哥無宗教
Aeroméxico Travel,墨西哥国际旅游航空
Agricultura en México,墨西哥農業
Cártel de Jalisco Nueva Generación,哈利斯科新生代贩毒集团
Balón de Oro (México),墨西哥金球奖
Impulsora (estación),推动者站
Juárez (estación),胡亞雷斯站
La Paz (estación),拉巴斯站
Los Reyes (estación),洛斯雷耶斯站
Puerto Chiapas,恰帕斯港
Preclásico maya,前古典期玛雅文明
Torneo Apertura 2007 (México),2007年至2008年墨西哥足球甲级联赛
Puerto Cortés (Baja California Sur),科爾特斯港
Punta Mita,蓬塔米塔
Rotonda de los Jaliscienses Ilustres,瓜達拉哈拉圓堂紀念碑
Partido Encuentro Social,社会汇合党
Partido Obrero Socialista (México),社会主义工人党
Partido de los Comunistas (México),共产党人党
Corredor de Los Cabos,洛斯卡沃斯走廊
Rieleros de Aguascalientes,阿瓜斯卡連特斯鐵路工
Lázaro Cárdenas,拉薩羅卡德納斯 (哈利斯科州)
Raicillla,赖西利亚
Cárteles Unidos,联合
Iglesia de la Santísima (México),天主圣三堂 (墨西哥城)
Panteón Civil de Dolores,多羅利斯墓地
Papalote Museo del Niño,巴巴洛特儿童博物馆
Partido Constitucionalista Progresista,进步立宪党
Zona Metropolitana de Matamoros-Brownsville,馬塔莫羅斯-布朗斯維爾
Carretera Federal 134,134号联邦公路
Carretera Federal 15,15号高速公路
Carretera Federal 19,墨西哥19号高速公路
Atlalilco (estación),阿特拉里尔科站
Ciudad Deportiva (estación),体育城站
Consulado (estación),領事館站
zona arqueológica de Cholula,乔卢拉
Biblioteca Vasconcelos,巴斯孔塞洛斯圖書館
Distrito de Juchitán,胡奇坦區
Zona Arqueológica de Peralta,佩拉爾塔 (美洲中部遺跡)
Tezonco (estación),特松科站
Riviera Nayarit,納亞里特海岸
Tláhuac (estación),特拉华克站
Universidad (estación Metro de Ciudad de México),大學站
Velódromo (estación),自行車場站
Villa de Aragón (estación),阿拉贡城站
Zona Metropolitana de León,莱昂都会区
Coca Cola mexicana,墨西哥可口可乐
Partido Fascista Mexicano,墨西哥法西斯黨
Carreteras Federales de México,墨西哥聯邦高速公路
Octaviano López,洛佩斯镇
Templo de Veracruz (México),墨西哥維拉克魯兹聖殿
Cerros de San Joaquín,圣华金山
XEWW-AM,鳳凰優悅廣播電台
Múzquiz (estación),穆斯基斯站
Nezahualcóyotl,內薩瓦爾科約特爾站
Olímpica (estación),奥林匹克站 (墨西哥城地铁)
Plaza Aragón (estación),阿拉贡广场站
Puebla (estación),普埃布拉站
Río de los Remedios,雷梅迪奥斯河站
San Antonio (estación Metro de Ciudad de México),圣安东尼奥站
Templo de Villahermosa,墨西哥比亞埃爾莫薩聖殿
Nuestra Señora de Ocotlán,奥科特兰圣母
Puerto San Carlos,聖卡洛斯
San Carlos,聖卡洛斯
Regional Cargo,區域貨運航空
Aeropuerto Nacional de San Cristóbal de las Casas,圣·克里斯托瓦尔·德拉斯·卡萨斯国家机场
elecciones federales de México de 1976,1976年墨西哥大选
Elecciones federales de México de 1988,1988年大选
Gómez Farías,巴伦廷-戈麦斯法里亚斯
Toreo de Cuatro Caminos,四大街体育馆
Toros de Tijuana,蒂華納籃球隊
Torre BBVA México,BBVA墨西哥大厦
Torre Diana,戴安娜塔
Torre Mapfre (México),曼弗雷大厦 (墨西哥城)
Occidente de México,墨西哥西部
Anexo:Premios TVyNovelas (México) 2012,第30屆TVyNovelas獎
Anexo:México en 2004,2004年墨西哥
Anexo:México en 1969,1969年墨西哥
Anexo:México en 1973,1973年墨西哥
Anexo:México en 2000,2000年墨西哥
Anexo:México en 2001,2001年墨西哥
México en la Copa Mundial de Fútbol,世界杯足球赛墨西哥队
Relaciones Filipinas-México,墨菲關係
Relaciones Corea del Sur-México,韩墨关系
Anexo:México en 2013,2013年墨西哥
Carretera Federal 40,墨西哥40号联邦公路
Carretera Federal 45,墨西哥45号联邦高速公路
Morelos,莫雷洛斯
Ocampo,奧坎波市
real mexicano,墨西哥雷亞爾
Inmigración mexicana en el Reino Unido,墨西哥人移民英國
Relaciones México-Nueva Zelanda,墨西哥－新西兰关系
Arena Ciudad de México,墨西哥城競技場
San Lorenzo,圣洛伦索
Gusano de maguey,梅斯卡爾蠕蟲
Expedición Mier,邁爾之役
San Gregorio Atzompa,圣格雷戈里奥-阿聪帕
Laguna San Ignacio,圣伊格纳西奥泻湖
Satevó,萨特沃自治区
Grupos de Autodefensa Comunitaria,社区自卫组织
Distrito de Jamiltepec,贾米尔特佩克镇
México en la Universiada de Verano 2011,2011年夏季世界大学生运动会墨西哥代表团
México en el Clásico Mundial de Béisbol 2013,2013年世界棒球經典賽墨西哥代表隊
Historia de las Fuerzas Armadas de México,墨西哥武装部队的历史
Calle Francisco I. Madero,马德罗大街
Tamiahua,塔米亞瓦
Terremoto de Guerrero de 2014,2014年墨西哥地震
Anexo:Premios TVyNovelas (México) 2014,第32屆TVyNovelas獎
Orquesta Sinfónica de Xalapa,哈拉帕交響樂團
Santa Isabel,圣伊莎贝尔
Atlacomulco de Fabela,法維拉的阿塔拉科木科
Juchitán de Zaragoza (municipio),胡奇旦
San Patricio,聖帕特里西奧 (哈利斯科州)
Región Istmo de Tehuantepec,伊斯特莫
Janos,哈诺斯
NXIVM,NXIVM
Chicxulub Pueblo,希克苏鲁伯普韦布洛
Comisión Internacional de Límites y Aguas,國際邊界及水利委員會
Santiago (Baja California Sur),聖地亞哥
Murciélagos FC,梅西拿高斯足球會
presidente municipal,市長
Santa Cruz de Rosales,圣克鲁斯-德罗萨莱斯
Excélsior TV,埃克塞西爾電視網
Ortografía náhuatl,納瓦特爾語正寫法
Asociación Nacional de Actores,國家演員協會
Navojoa,纳沃华市镇
Río Necaxa,内卡哈河
Aeropuerto Internacional de Creel,克雷尔国际机场
Colhuacan,库尔瓦坎
Ecatepec (estación),埃卡特佩克站
Centronorte de México,墨西哥中北部
Noroeste de México,墨西哥西北部
Nuestra Cabaña,我們的卡巴尼亞
Santa María Tonameca,圣玛丽亚托纳梅卡
Acayucan,阿卡尤坎
Pueblo Culhuacán,库尔瓦坎村
Municipio de Huasca de Ocampo,华斯卡·德·奥坎波
Clásico Mundial de Béisbol 2017,2017年世界棒球經典賽
Iglesia de Santo Domingo (Ciudad de México),圣多明我堂
Segunda República Federal,第二聯邦共和國
Secretario de Relaciones Exteriores de México,墨西哥外交部長
Astilleros de la Secretaría de Marina,メキシコ第20海軍省造船所
Galeana,埃梅内希尔多-加莱阿纳
Imevisión,墨西哥電視組織
Anexo:México en 1821,1821年墨西哥
"Tratado de Amistad, Comercio y Navegación",日墨修好通商條約
Basílica de Guadalupe (Monterrey),瓜达露佩圣母圣殿
Izzi,Izzi电信
Territorio de Baja California,下加利福尼亞省
Avenida Juárez,胡亞雷斯大道
Anexo:México en 1867,1867年墨西哥
Seleguá,塞萊瓜河
Cuilco,奎爾科河
Puente El Zacatal,萨卡塔尔大桥
Divorcio exprés en México,墨西哥离婚
Edificio Tlatelolco (S.R.E),特拉特洛爾科大廈
Estadio Casas GEO,墨西卡利棒球場
Ley General de Colonización,一般殖民法
Colonia de Nueva Virginia,新弗吉尼亚殖民地
Gobernador de Coahuila,科阿韋拉州州长
Liga de Unidad Socialista,社会主义团结联盟
Instituto Tecnológico de Sonora,索諾拉科技學院
Río Sonoyta,索諾伊塔河
Municipio de Cuautla,夸奧特拉
Organización por la Voluntad Nacional (México),墨西哥民族主义者阵线
Multimedios Televisión,多媒體電視臺
Municipio de Lázaro Cárdenas,拉萨罗卡德纳斯自治区
Pachuca Juniors,帕丘卡青年
EGS,墨西哥电子游戏展
Anexo:México en 1860,1860年墨西哥
San Francisco del Mar,三藩市德爾馬
Municipios Autónomos Rebeldes Zapatistas,反叛萨帕塔自治市镇
Cerro Guiengola,吉恩戈拉山
Fútbol base del Club Santos Laguna,桑托斯拉古納預備隊
Sinagoga Nidjei Israel,胡斯托谢拉街71号犹太会堂
Fuerza Naval del Pacífico,墨西哥太平洋海軍艦隊
Formación Lutita Packard,帕卡德组
Municipio de Padilla,帕迪利亚
Antiguo Palacio de la Inquisición,宗教裁判所宫
Palacio Legislativo Federal,联邦立法宫
Palacio de la Autonomía,自治宫
Wikimania 2015,Wikipedia:2015年維基媒體國際大會
Aeropuerto Nacional Jorge Jiménez Cantú,豪尔赫·吉梅内斯·坎图国家机场
Aeropuerto Nacional de Cananea,卡纳内阿国家机场
Aeropuerto Nacional Ingeniero Manuel Moreno Torres,曼努埃尔·莫雷诺·托雷斯国家机场
Centrosur de México,墨西哥中南部
Sureste de México,墨西哥東南部
Suroeste de México,墨西哥西南部
Juventud Comunista de México,墨西哥共产主义青年
Villano,韦拉克鲁斯州长
Nuevo Vallarta,努埃沃尔塔
Edificio de la antigua Aduana de la Ciudad de México,旧海关大楼
Teziutlán,特休特兰
Escuinapa de Hidalgo,埃斯奎纳帕德伊达尔戈
basílica de San José y Nuestra Señora del Sagrado Corazón,圣若瑟暨圣母圣心圣殿
Templo de Tampico,墨西哥坦皮科聖殿
Tases,塔塞斯
Taxco de Alarcón,塔克斯科
Plaza de Santo Domingo,圣多明我广场
Paloma (cóctel),帕洛瑪
Partido Comunista de México,墨西哥共产党
Templo Expiatorio del Santísimo Sacramento,圣体赎罪神殿
Teotitlán del Valle,特奥蒂特兰
Premios MTV MIAW,MTV千禧年獎
Telesistema Mexicano,墨西哥特莱西斯特马公司
Abierto Tampico,坦皮科网球公开赛
Números de teléfono en México,墨西哥电话区号
Gobernador de Chihuahua,奇瓦瓦州州長
Templo de Monterrey,墨西哥蒙特雷聖殿
zapatismo,萨帕塔主义
Punta Maldonado,蓬塔馬爾多納多
Gendarmería Nacional,国家宪兵
Anexo:México en 1954,1954年墨西哥
Anexo:México en 1955,1955年墨西哥
Anexo:México en 1956,1956年墨西哥
Anexo:México en 1958,1958年墨西哥
Anexo:México en 1959,1959年墨西哥
Anexo:México en 1962,1962年墨西哥
Anexo:México en 1964,1964年墨西哥
Medalla al Mérito Militar,軍功勳章
Orquesta de Cámara de Bellas Artes,艺术宫室内乐团
Universidad Iberoamericana Puebla,普埃布拉伊比利亞美洲大學
Universidad Juárez Autónoma de Tabasco,塔巴斯科华雷斯自治大学
Universidad del Noreste,东北大学
Universidad del Valle de Atemajac,德爾瓦勒代阿特馬傑大學
X,X06
San Pascualito,聖帕斯夸利托
Explosión del tanquero de gas de Ecatepec de Morelos,2013年墨西哥气罐车爆炸事件
Dolores Hidalgo,多洛雷斯-伊达尔戈
Toryumon,鬥龍門
Totonacapan,托托纳卡潘
Mercado mexicano,墨西哥传统市场
Azteca 7,阿茲特克 7
Servicio de Transportes Eléctricos de la Ciudad de México,電力交通服務
Sotuta,索图塔
Tolantongo,自由落體溫泉
Top 100 Mexico,墨西哥百強專輯排行榜
El Insurgente,起义者通勤铁路
Túnel Emisor Oriente,东区排水隧道
Ángeles Guerreros de Acapulco,格雷羅州籃球隊
Anexo:México en 1927,1927年墨西哥
International Champions Cup,国际冠军杯
Río Humuya,胡马亚河
Selección femenina de sóftbol de México,墨西哥國家女子壘球隊
Templo de Tijuana,墨西哥蒂華納聖殿
Conjunto Urbano Nonoalco Tlatelolco,诺诺阿尔科-特拉特洛尔科住房单元
Universidad Anáhuac,阿納瓦克北墨西哥大學
Universidad Autónoma de Ciudad Juárez,華雷斯城自治大學
Universidad Autónoma de la Ciudad de México,墨西哥城自治大学
Río Tuxpan,圖斯潘河
Templo de Tuxtla Gutiérrez,墨西哥圖斯特拉古鐵雷斯聖殿
Témoris,特莫里斯
Anexo:México en 1970,1970年墨西哥
Anexo:México en 1971,1971年墨西哥
Anexo:México en 1972,1972年墨西哥
Anexo:México en 1976,1976年墨西哥
Anexo:México en 1977,1977年墨西哥
Eutanasia en México,墨西哥安乐死议题
Movimiento de 1968 en México,墨西哥68
Miss Mexico,墨西哥小姐
teniente,军士长
Anexo:México en 1918,1918年墨西哥
Instituto Nacional Electoral,国家选举委员会
Anexo:México en 1857,1857年墨西哥
Relaciones El Salvador-México,萨尔瓦多－墨西哥关系
Campeonato FIBA Américas de 2015,2015年美洲籃球錦標賽
Anexo:México en 1952,1952年墨西哥
elecciones federales de México de 2015,2015年墨西哥中期選舉
Desaparición forzada de normalistas de Ayotzinapa,伊瓜拉学生失踪案
Anexo:México en 1950,1950年墨西哥
Anexo:México en 1951,1951年墨西哥
Anexo:México en 1998,1998年墨西哥
Anexo:México en 1999,1999年墨西哥
Anexo:México en 2003,2003年墨西哥
Anexo:México en 1980,1980年墨西哥
Anexo:México en 1979,1979年墨西哥
Anexo:México en 1983,1983年墨西哥
Anexo:México en 1984,1984年墨西哥
Anexo:México en 1986,1986年墨西哥
Anexo:México en 1988,1988年墨西哥
Anexo:México en 1989,1989年墨西哥
Aeropuerto Nacional Francisco Primo de Verdad,弗朗西斯科·普里莫·德维尔达国家机场
Ixtenco,伊斯坦科
Yelapa,耶拉帕
Anexo:México en 1926,1926年墨西哥
Anexo:Tiro con arco en los XXII Juegos Centroamericanos y del Caribe,2014年中美洲和加勒比地區運動會射箭比賽
Relaciones Armenia-México,亞美尼亞－墨西哥關係
Xpujil,什普希尔
Anexo:México en 1997,1997年墨西哥
Anexo:México en 1990,1990年墨西哥
Anexo:México en 1991,1991年墨西哥
Anexo:México en 1992,1992年墨西哥
Anexo:México en 1993,1993年墨西哥
Anexo:México en 1995,1995年墨西哥
Anexo:México en 1996,1996年墨西哥
historia de la mujer en México,墨西哥女性
Aeródromo de La Piedad,拉彼达机场
Nuevo Aeropuerto Internacional de la Ciudad de México,新墨西哥城國際機場
México en los Juegos Olímpicos de Río de Janeiro 2016,2016年夏季奥林匹克运动会墨西哥代表团
Eva,《夏娃》
Trolebús de Guadalajara,瓜達拉哈拉無軌電車
Trolebús de la Ciudad de México,墨西哥城無軌電車
Troncones (Emiliano Zapata),特龙科内斯
Televisión Independiente de México,墨西哥独立电视台
Mineros de Zacatecas,薩卡特卡斯礦工
Observatorio de Rayos Gamma HAWC,高海拔水切倫科夫天文臺
senador de México,墨西哥参议员
Enfrentamiento en Tanhuato,2015年米卻肯州槍戰
Cabo Corrientes,卡沃科连特斯自治区
Atlético de San Luis,聖路易斯競技
Universidad Autónoma del Estado de México,墨西哥州自治大学
Relaciones entre Japón y México,日本－墨西哥關係
Matrimonio entre personas del mismo sexo en Coahuila,科阿韋拉州同性婚姻
Centro de Investigación y Desarrollo en Ciencias de la Salud,健康科学研究与发展中心
México en el Campeonato Mundial de Atletismo de 2013,2013年世界田径锦标赛墨西哥代表团
Tlatelolco (ciudad de México),特拉特洛尔科
Emiliano Zapata,埃米利亞諾·薩帕塔
FC Juárez,華雷斯足球會
Delfines Fútbol Club,卡门海豚俱乐部
Badiraguato,巴迪拉瓜托自治區
Río Mayo,梅奧河
Ley de Whorf,沃夫法则
Anexo:México en 1891,1891年墨西哥
Diócesis de Izcalli,天主教伊斯卡伊教區
El Chaparral (cruce fronterizo),恰帕拉尔口岸
embajada del Reino Unido en México,英國駐墨西哥大使館
Cimarrones de Sonora FC,索諾拉馬魯足球會
Grupo Aeroméxico,墨西哥國際航空集團
historia de la viruela en México,天花在墨西哥的歷史
