España,스페인
Hortaleza,오르탈레사
Estación de Miguel Hernández,미겔 에르난데스 역
Estación de Lista,리스타역
Estación de Pacífico,파시피코역
Estación de Méndez Álvaro,멘데스 알바로 역
Estación de Bilbao,빌바오역
Estación de San Cipriano,산 시프리아노 역
Estación de Vinateros,비나테로스역
Estación de Valdebernardo,발데베르나르도역
Urgel,우르헬역
Estación de Nueva Numancia,누에바 누만시아 역
Estación de Barrio de la Concepción,바리오 데 라 콘셉시온 역
Estación de Barajas,바라하스역
Estación de Tirso de Molina,티르소 데 몰리나 역
Renfe Operadora,렌페
Jamón de España,하몬
Estación de Menéndez Pelayo,메넨데스 펠라요 역
Estación de Portazgo,포르타스고역
Estación de Puente de Vallecas,푸엔테 데 바예카스 역
Estación de La Poveda,라 포베다 역
La Raya,스페인-포르투갈 국경
Estación de Alto del Arenal,알토 델 아레날 역
Estación de Sierra de Guadalupe,시에라 데 과달루페 역
Copa del Sol,코파 델 솔
Estación de Hospital Infanta Sofía,오스피탈 인판타 소피아 역
Estación de Bambú,밤부역
Estación de La Rambla,라 람블라 역
Estación de Estadio Metropolitano,에스타디오 메트로폴리타노역
Estación de Las Tablas,라스 타블라스 역
Estación de Barrio del Puerto,바리오 델 푸에르토 역
Estación de Tribunal,트리부날역
estación de Buenos Aires,부에노스 아이레스 역
Estación de Vicálvaro - Universidad Rey Juan Carlos,비칼바로역
Estación de O'Donnell,오도넬역
Estación de Villaverde Alto,비야베르데 알토 역
España en los Juegos Olímpicos de París 1924,1924년 하계 올림픽 스페인 선수단
Orden del Mérito Civil,국민훈장
plaza de Oriente,오리엔테 광장
Estación de Nuevos Ministerios,누에보스 미니스테리오스 역
pestiño,페스티뇨
Estación de Plaza de España / Noviciado,플라사 데 에스파냐 / 노비시아도 역
Estación de Quintana,킨타나역
Estación de Parque de las Avenidas,파르케 데 라스 아베니다스 역
Estación de El Carmen,엘 카르멘 역
Estación de García Noblejas,가르시아 노블레하스 역
Estación de Parque de Santa María,파르케 데 산타 마리아역
Estación de Suanzes,수안세스역
Estación de Santiago Bernabéu,산티아고 베르나베우 역
Paralelo 43 norte,북위 43도
Estación de Velázquez,벨라스케스역
Estación de Serrano,세라노역
Estación de Alfonso XIII,알폰소 XIII 역
Alonso Martínez,알론소 마르티네스 역
Estación de Palos de la Frontera,팔로스 데 라 프론테라 역
Estación de Alonso Cano,알론소 카노 역
Estación de Banco de España,방코 데 에스파냐 역
Estación de Pitis,피티스역
Real Betis Balompié "B",베티스 데포르티보
Meridiano 1 este,동경 1도
MercurySteam,머큐리스팀
Estación de Esperanza,에스페란사역
Estación de Colón,콜론역
Estación de Canillas,카니야스역
Estación de Simancas,시망카스역
Estación de San Lorenzo,산 로렌소 역
Estación de Campamento,캄파멘토역
Estación de Arturo Soria,아르투로 소리아 역
Autovía A-25,A-25 고속도로 (스페인)
Estación de Loranca,로랑카역
Estación de Alonso de Mendoza,알론소 데 멘도사 역
Estación de El Carrascal,엘 카라스칼역
Estación de El Bercial,엘 베르시알 역
Estación de Los Espartales,로스 에스파르탈레스 역
Estación de Hospital Severo Ochoa,오스피탈 세베로 오초아 역
Estación de Getafe Central,헤타페 센트랄 역
Meridiano 5 oeste,서경 5도
Estación de Valdezarza,발데사르사역
Estación de Alto de Extremadura,알토 데 엑스트레마두라 역
Opañel,오파녤역
Estación de Laguna,라구나역
Estación de Lacoma,라코마역
Estación de Puerta del Ángel,푸에르타 델 앙헬 역
Estación de Begoña,베고냐역
Animadrid,마드리드 국제 애니메이션 영화제
Sobrino de Botín,소브리노 드 보틴
Estación de Parque Oeste,파르케 오에스테 역
Estación de Carabanchel Alto,카라반첼 알토 역
Estación de San Nicasio,산 니카시오 역
Estación de Puerta del Sur,푸에르타 델 수르 역
Estación de La Peseta,라 페세타 역
Real Academia de la Historia,왕립 역사학회
CF Badalona Futur,UE 랴고스테라
Estación de Arroyo Culebro,아로요 쿨레브로 역
Oreja de cerdo,돼지 귀
Estación de Hospital de Móstoles,오스피탈 데 모스톨레스 역
Estación de Abrantes,아브란테스역
Estación de Pradillo,프라디요역
Estación de Parque de los Estados,파르케 데 로스 에스타도스 역
Estación de Julián Besteiro,훌리안 베스테이로 역
Estación de Parque Europa,파르케 에우로파 역
Estación de Manuela Malasaña,마누엘라 말라사냐 역
Estación de Aviación Española,아비아시온 에스파뇰라 역
Estación de Ciudad Universitaria,시우다드 우니베르시타리아 역
Estación de Vicente Aleixandre,메트로폴리타노역
Estación de Carpetana,카르페타나역
Estación de Guzmán el Bueno,구스만 엘 부에노 역
Estación de Pan Bendito,판 벤디토 역
Estación de Universidad Rey Juan Carlos,우니베르시다드 레이 후안 카를로스 역
plaza de la Villa,비야 광장
Semana Internacional de Cine de Valladolid,바야돌리드 국제 영화제
Estación de Casa del Reloj,카사 델 렐로 역
Escuela Técnica Superior de Arquitectura de Barcelona,바르셀로나 건축학교
Estación de Príncipe Pío,프린시페 피오 역
ASL Airlines Spain,ASL 항공 스페인
Estación de Hospitalet/Rambla Just Oliveras,로스피탈레트 데 료브레가트 역
Gran Vía,그란 비아 역
Fuente de Cibeles,시벨레스 분수
Villa de Vallecas,비야데바예카스
ruta europea E804,유럽 고속도로 804호선
Volotea,볼로테아
Ópera,오페라역
Grupo de Operaciones Especiales,스페인 특수작전단
bando sublevado,국민파
español aragonés,아라곤 방언
Catedral de San Pedro de Vic,비크 성당
Club de Fútbol Rayo Majadahonda,CF 라요 마하다온다
Clasificación de CAF para la Copa Mundial de Fútbol de 1982,1982년 FIFA 월드컵 아프리카 지역 예선
Estación de Mercat Nou,메르카트 노우 역
Estación de Bellvitge,벨비제 역 (바르셀로나 지하철)
Autovía del Suroeste,오토비아 델 수로에스테 (스페인)
Hockey sobre patines en los Juegos Olímpicos de Barcelona 1992,1992년 하계 올림픽 롤러하키
Estación de Florida,플루리다역
elecciones en España,스페인의 선거
Campeonato Mundial de Gimnasia Rítmica de 1985,1985년 세계 리듬 체조 선수권 대회
Unión Deportiva Marbella,마르베야 FC
Autovía de Sierra Nevada-Costa Tropical,오토비아 데 시에라 네바다-코스타 트로피칼 (스페인)
Copa de la Paz 2003,2003년 피스컵
frontera entre España y Marruecos,모로코-스페인 국경
Reino de Toledo,톨레도 왕국
Estadio Nuevo Mirandilla,에스타디오 누에보 미란디야
estradiote,스트라디오트
Estación de Acacias / Embajadores,아카시아스 / 엠바하도레스 역
Autovía Mudéjar,오토비아 무데하르 (스페인)
Radio Nacional de España,RNE
Ecce Homo de Borja,에케 호모
Fiesta Nacional de Espana,스페인 국경일
Supercopa de España de Fútbol 2010,수페르코파 데 에스파냐 2010
Unión Deportiva Almería "B",UD 알메리아 B
Monasterio de Santa María de la Rábida,산타 마리아 데 라 라비다 수도원
Denominación de Origen Vinagre de Jerez,셰리 식초
Estación de El Casar,엘 카사르 역
Estación de Mar de Cristal,마르 데 크리스탈 역
Horchata,오르차타
Estación de Aeropuerto T4,아에로푸에르토 T4 역
Open McDonald's,맥도날드 챔피언십
Valla de Ceuta,세우타 국경철책
Parque de María Luisa,마리아 루이사 공원
Fútbol Club Barcelona "C",FC 바르셀로나 C
El Álamo,엘알라모
Estación de Avinguda Carrilet,아빙구다 카릴레트 역
domain hack,도메인 핵
Alcázar de Jerez de la Frontera,알카사르
Estadio Carlos Tartiere,에스타디오 카를로스 타르티에레
Copa del Rey de Fútbol 1914,코파 델 레이 1914
Supercopa de España de Fútbol 2012,수페르코파 데 에스파냐 2012
demografía de España,스페인의 인구
Derbi barcelonés,바르셀로나 더비
Estación de Pío XII,피오 XII 역
frontera entre España y Francia,스페인-프랑스 국경
selección de fútbol sub-23 de España,스페인 U-23 축구 국가대표팀
Palacio de Linares,리나레스궁
Tata Hispano,타타 이스파노
Copa Intercontinental 1974,1974년 인터콘티넨털컵
Partido Carlista,카를로스당
aviso de viaje,여행경보
Museo Nacional de Antropología,국립 인류학 박물관
Mugaritz,무가 리츠
Telediario,뉴스캐스트
Estación de Delicias,델리시아스역
Estación de Can Serra,칸 세라 역
Calçot,칼소트
Supercopa de España de Fútbol 1999,수페르코파 데 에스파냐 1999
Estación de Atocha-Cercanías,아토차-세르카니아스 역
Catalán noroccidental,북서부 카탈루냐어
Catalán occidental,서부 카탈루냐어
Catalán central,중앙 카탈루냐어
Historia del uniforme del Real Madrid Club de Fútbol,레알 마드리드 CF 유니폼 역사
Pescaíto frito,페스카도 프리토
Estadio Municipal de Ipurúa,에스타디오 무니시팔 데 이푸루아
Bizcaya,클루브 비스카야
Retiro,레티로
puente Viejo,비에호 다리
Estación de Torrassa,토라사역
Puente de Vallecas,푸엔테데바예카스
Sociedad Deportiva Lemona,SD 레모나
San Blas-Canillejas,산블라스카니예하스
sociedad anónima deportiva,스포츠 공개 유한 법인
Segunda División de España 1987/88,세군다 디비시온 1987-88
Stradivarius,스트라디바리우스
lengua de signos española,스페인어 수화
La puerta del Infierno,지옥의 문
Arganzuela,아르간수엘라
Supercopa de España de Fútbol 2003,수페르코파 데 에스파냐 2003
Plaza de España,에스파냐 광장
Estación de Cruz del Rayo,크루스 델 라요 역
puente Nuevo,누에보 다리
Estación de Sainz de Baranda,사인스 데 바란다 역
Supercopa de España de Fútbol 1998,수페르코파 데 에스파냐 1998
Supercopa de España de Fútbol 2007,수페르코파 데 에스파냐 2007
Estación de Ventas,벤타스역
Supercopa de España de Fútbol 1983,수페르코파 데 에스파냐 1983
Copa del Rey de fútbol 1980-81,코파 델 레이 1980-81
Botillo,보텔루
Estación de Pinar del Rey,피나르 델 레이 역
Ciudades y Gobiernos Locales Unidos,세계지방정부연합
Supercopa de España de Fútbol 1995,수페르코파 데 에스파냐 1995
Supercopa de España de Fútbol 2000,수페르코파 데 에스파냐 2000
Estación de Hostafrancs,우스타프랑스역
El Miguelete,미겔레테탑
Vuelo 11 de Avianca,아비앙카 항공 011편 추락 사고
Copa de campeones de Ferias,인터시티스 페어스컵 트로피 플레이오프
Estación del Arte,아토차역
Supercopa de España de Fútbol 1988,수페르코파 데 에스파냐 1988
Supercopa de España de Fútbol 1985,수페르코파 데 에스파냐 1985
Copa del Rey de fútbol 1982-83,코파 델 레이 1982-83
Moncloa-Aravaca,몽클로아아라바카
Alta Navarra,알타나바라
Estación de Santa Eulàlia,산타 에울랄리아 역
venezolanos,베네수엘라인
Estación de Ciudad de los Ángeles,시우다드 데 로스 앙헬레스 역
Estadio de Atocha,에스타디오 데 아토차
División de Honor de la Liga Nacional de Béisbol,스페인 디비젼 데 호너
Costa Dorada,도라다 해안
Ons,온스섬
entidad territorial administrativa de España,스페인의 행정 구역
primer meridiano,본초 자오선
iglesia de Santo Tomé,산토 토메 교회
Ñora,뇨라
distrito de Madrid,마드리드의 구
pichela,탱커드
Estación de Ventilla,벤티야역
La solidaridad,라 솔리다리다드
Levante Unión Deportiva,레반테 UD 페메니노
Universidad Abierta de Cataluña,카탈루냐 오베르타 대학교
Ayuntamiento de Bilbao,빌바오시
Serie 112 de Renfe,렌페 112급
Rayo Vallecano de Madrid,라요 바예카노 페메니노
Estación de Cocheras,코체라스역
Copa Presidente FEF de 1941/47,코파 프레시덴테 FEF
Estación de Ferial de Boadilla,페리알 델 보아디야 역
Estación de José Isbert,호세 이스베르트 역
Estación de Boadilla Centro,보아디야 센트로 역
Estación de Infante Don Luis,인판테 돈 루이스 역
Copa de la Liga de Primera División 1983,코파 데 라 리가 1983
Copa del Generalísimo de fútbol 1974-75,코파 델 헤네랄리시모 1974-75
Copa del Rey de fútbol 1976-77,코파 델 레이 1976-77
Copa del Rey de fútbol 1977-78,코파 델 레이 1977-78
Copa del Rey de fútbol 1978-79,코파 델 레이 1978-79
Copa del Rey de fútbol 1984-85,코파 델 레이 1984-85
Copa del Rey de fútbol 1987-88,코파 델 레이 1987-88
Dunia Ayaso Formoso y Félix Sabroso de la Cruz,도니파 · 아자 쏘 & 페스 · 사브 로쏘
Copa del Generalísimo de fútbol 1963-64,코파 델 헤네랄리시모 1963-64
Copa del Generalísimo de fútbol 1964-65,코파 델 헤네랄리시모 1964-65
Copa del Generalísimo de fútbol 1969-70,코파 델 헤네랄리시모 1969-70
Copa del Generalísimo de fútbol 1970-71,코파 델 헤네랄리시모 1970-71
Copa del Generalísimo de fútbol 1971-72,코파 델 헤네랄리시모 1971-72
Copa del Generalísimo de fútbol 1973-74,코파 델 헤네랄리시모 1973-74
Copa del Generalísimo de fútbol 1948-49,코파 델 헤네랄리시모 1948-49
Copa del Generalísimo de fútbol 1962-63,코파 델 헤네랄리시모 1962-63
FX Interactive,FX 인터랙티브
Coalición de la Guerra del Golfo,걸프 전쟁의 다국적 연합군
Anexo:Edificios más altos de España,스페인의 마천루 목록
Estación de Marqués de la Valdavia,마르케스 데 라 발다비아 역
Estación de María Tudor,마리아 투도르역
Estación de Mirasierra,미라시에라역
Estación de Las Rosas,라스 로사스 역
carros de combate del Ejército de Tierra de España,스페인의 전차
Copa de la Liga de Primera División 1984,코파 데 라 리가 1984
Copa de la Liga de Primera División 1985,코파 데 라 리가 1985
Estación de Puerta de Boadilla,푸에르타 데 보아디야 역
Estación de Prado del Espino,프라도 델 에스피노 역
Estación de Ventorro del Cano,벤토로 델 카노역
Estación de Montepríncipe,몬테프린시페역
Estación de Cantabria,칸타브리아역
Estación de Siglo XXI,시글로 XXI 역
Estación de Retamares,레타마레스역
Estación de Nuevo Mundo,누에보 문도 역
Metro Ligero 3,마드리드 경전철 3호선
Metro Ligero 2,마드리드 경전철 2호선
Estación de Las Suertes,라스 수에르테스 역
Estación de Manoteras,마노테라스역
plaza de toros de Vista Alegre,비스타 알레그레 투우장
trashumancia,이목
titular de la corona de España,스페인의 군주
Estación de Palas de Rey,팔라스 데 레이 역
elecciones generales de España de 1936,1936년 스페인 총선거
selección de fútbol sub-16 de España,스페인 U-16 축구 국가대표팀
selección de fútbol sub-18 de España,스페인 U-18 축구 국가대표팀
selección femenina de fútbol sub-17 de España,스페인 여자 U-17 축구 국가대표팀
Antena 3 Noticias,안테나 3 노티시아스
gastronomía de Aragón,아라곤 요리
Estación de Berna,베르나역
Estación de Blasco Ibáñez,블라스코 이바녜스 역
Estación de Somosaguas Centro,소모사과스 센트로 역
Estación de Somosaguas Sur,소모사과스 수르 역
Estación de Bélgica,벨히카역
Estación de Prado del Rey,프라도 델 레이 역
Estación de Pozuelo Oeste,포수엘로 오에스테 역
Estación de Campus de Somosaguas,캄푸스 데 소모사과스 역
Estación de Aravaca,아라바카역
Final de la Copa del Rey de fútbol 2004-2005,2005 코파 델 레이 결승전
Final de la Copa del Rey de fútbol 2001-2002,2002 코파 델 레이 결승전
Estación de Alsacia,알사시아역
Iglesia de Santa Marina de Aguas Santas,산타 마리나 데 아과스 산타스 교회
estación de Alcorcón,알코르콘 센트랄 역
Palacio de Buenavista,부에나비스타궁
Estación de Ciudad de la Imagen,시우다드 데 라 이마헨 역
Estación de Ciudad del Cine,시우다드 델 시네 역
Grandeza de España,그란데스 데 에스파냐
Estación de Prado de la Vega,프라도 데 라 베가 역
Estación de Antonio Saura,안토니오 사우라 역
Estación de Avenida de Europa,아베니다 데 에우로파 역
Final de la Copa del Rey de fútbol 2007-08,2008 코파 델 레이 결승전
Final de la Copa del Rey de fútbol 2009-2010,2010 코파 델 레이 결승전
Acueducto de los Milagros,밀라그로스 수도교
Liga Nacional de Fútbol Profesional,스페인 프로축구연맹
Palacio de los Vivero,비베로궁
Final de la Copa del Rey de fútbol 1976-1977,1977 코파 델 레이 결승전
Estación de Colonia de los Ángeles,콜로니아 데 로스 앙헬레스 역
Referéndum para la ratificación de la Constitución española,1978년 스페인 헌법 국민투표
Reino de Trinacria,트리나크리아 왕국
Zarangollo,사랑고요
Estación de Ronda de la Comunicación,론다 데 라 코무니카시온 역
Estación de Baunatal,바우나탈역
Supercopa de España de Fútbol 1991,수페르코파 데 에스파냐 1991
Supercopa de España de Fútbol 1992,수페르코파 데 에스파냐 1992
Supercopa de España de Fútbol 1993,수페르코파 데 에스파냐 1993
Supercopa de España de Fútbol 1994,수페르코파 데 에스파냐 1994
Supercopa de España de Fútbol 1996,수페르코파 데 에스파냐 1996
Gran Premio de España de 2013,2013년 스페인 그랑프리
Club Atlético de Madrid Femenino,아틀레티코 마드리드 페메니노
Chueca,추에카역
Estación de Hospital del Henares,오스피탈 델 에나레스 역
Batalla de Cádiz (1656),Battle of Cádiz
Supercopa de España de Fútbol 2001,수페르코파 데 에스파냐 2001
Supercopa de España de Fútbol 2004,수페르코파 데 에스파냐 2004
Supercopa de España de Fútbol 2005,수페르코파 데 에스파냐 2005
Casino Internacional Tibidabo,카지노 인터내셔널 티비다보
Ermita de la Virgen del Puerto,비르헨델푸에르토 교회
Tous,토스
Selección de fútbol de Menorca,메노르카 축구 국가대표팀
Estación de Virgen del Cortijo,비르헨 델 코르티호 역
Estación de Álvarez de Villaamil,알바레스 데 비야밀 역
Final de la Copa del Rey de fútbol 2008-2009,2009 코파 델 레이 결승전
Talgo AVRIL,탈고 아브릴
Cercle Artístic de Sant Lluc,성 유크 예술가 모임
canarios,카나리아인
Escuela Diplomática,스페인 외교관학교
Circo de los Muchachos,벤포스타
potaje,포타주
Estación de La Almudena,라 알무데나 역
Estación de La Fortuna,라 포르투나 역
Estación de La Gavia,라 가비아 역
Palacio de Villahermosa,비야에르모사궁
Cumbre Ibérica,이베리아 정상회담
guiri,기리 (멸칭)
Museo Nacional de Artes Decorativas,국립 장식미술관
Copa Eva Duarte de 1947,코파 에바 두아르테 1947
relaciones China-España,중화인민공화국-스페인 관계
Ouigo,OUIGO
Cerámica almagra,적황토기 문화
Sevilla Fútbol Club,세비야 FC 페메니노
Estadio de Nervión,에스타디오 데 네르비온
Fútbol base del Real Madrid Club de Fútbol,라 파브리카
Cementerio de Poblenou,포블레누 공동묘지
86.ª Brigada Mixta del Ejército Popular de la República,제86혼성여단
Club Ciclista de San Sebastián,클루브 시클리스타 데 산세바스티안
Centro Cultural Coreano en España,주스페인 한국문화원
IGBM,마드리드 표준 주가 지수
Mérida Asociación Deportiva,메리다 AD
Campo de la Victoria,캄포 데 라 레이나 빅토리아
Bosque mediterráneo del suroeste de la península Ibérica,서남이베리아 지중해성 경엽수혼합림
CM-412,CM-412
Arroz bomba,봄바쌀
Columna de Hierro,철의 칼럼
Copa de la Liga de Primera División 1986,코파 데 라 리가 1986
Castillo de Matrera,마트레라성
Copa Eva Duarte de 1948,코파 에바 두아르테 1948
Copa Eva Duarte de 1949,코파 에바 두아르테 1949
Copa Eva Duarte de 1950,코파 에바 두아르테 1950
Copa de Campeones de España,코파 데 로스 캄페오네스 데 에스파냐
Estación de Dos Castillas,도스 카스티야스 역
Esquerra Republicana de Catalunya-Catalunya Sí,카탈루냐 공화좌파당-Yes 카탈루냐
El Perchel,El Perchel
El Español,엘 에스파뇰(주간)
Edificio Villanueva,비야누에바관
Estación de Paco de Lucía,파코 데 루시아 역
Hipódromo de la Castellana,이포드로모 데 라 카스테야나
Plaza de la Reina,레이나 광장
Calé,메르케로어
Hauser y Menet,Hauser y Menet
Turismo en las Islas Canarias,tourism in the Canary Islands
iglesia de los Santos Justo y Pastor,로스산토스후스토이파스토르 교회
jamón de jabugo,하부고 햄
La Santa Cena (Juan de Juanes),최후의 만찬
Igalia,이갈리아
Palacio de Goyeneche,고예네체궁
Medea (1797),HMS 임페리우스 (1805)
Primera División de España 2013/14,라리가 2013-14
Premio Fundación BBVA Fronteras del Conocimiento,BBVA 재단 지식 프론티어 상
Instituto de Arquitectura Avanzada de Cataluña,IAAC
N-357,국도 제357호선
relaciones entre España e Italia,스페인-이탈리아 관계
Pórtol,포르톨
Real Betis Balompié,레알 베티스 페미나스
Universidad Politécnica de Cartagena,카르타헤나 공과대학교
Real Madrid Club de Fútbol Juvenil,레알 마드리드 후베닐
SA-305,SA-305
Ronda de Pamplona Oeste,론다 데 팜플로나 오에스테 (스페인)
Yacimiento arqueológico de San Esteban,알 안달루시아 궁전 단지 및 산 에스테반 인근
Cesaracosta,세사라코스타
Anexo:Entrenadores campeones de la Primera División de España,라리가 우승 감독 목록
Inmigración coreana en España,재스페인 한국인
Anexo:Regimientos de Infantería de España,스페인 육군 보병연대
Categoría:Emigrantes andorranos hacia España,분류:안도라에서 스페인으로 이민간 사람
Pearson Educación,Pearson Education
tomate de pera,플럼토마토
Lorca Fútbol Club,라 호야 로르카 CF
Valencia Féminas Club de Fútbol,발렌시아 CF 페메니노
Consorcio Regional de Transportes de Madrid,CRTM
Banco Santander,산탄데르 은행
Pringá,프링가
Categoría:Piragüismo en los Juegos Olímpicos de Barcelona 1992,분류:1992년 하계 올림픽 카누
derecho de acceso a Internet,인터넷 접속권
Copa de oro "Argentina",코파 데 오로 아르헨티나
ruta europea E902,유럽 고속도로 902호선
Categoría:Fútbol en España por temporada,분류:스페인의 축구 시즌
Categoría:Temporadas de la Segunda División de España,분류:세군다 디비시온 시즌
Catálogo de autoridades de nombres y títulos de Cataluña,카탈루냐의 인명 및 타이틀 전거 파일
Categoría:Temporadas de la Primera División de España,분류:라리가 시즌
Categoría:Misiones diplomáticas en España,분류:스페인 주재 공관
Primera Federación FutFem,세군다 디비시온 페메니나
España en los Juegos Olímpicos de Sochi 2014,2014년 동계 올림픽 스페인 선수단
Estación de La Granja (Metro de Madrid),라 그랑하 역
relaciones España-Uruguay,스페인-우루과이 관계
Santuario de Nuestra Señora de la Cabeza,카베사의 동정 마리아 성지
elecciones generales de España de 2015,2015년 스페인 총선거
unidad de fuerzas especiales españolas,스페인 특수부대
Los Caracoles,로스 카라콜레스
Referéndum sobre la permanencia de España en la OTAN,1986년 스페인 나토 가입 국민투표
Sporting Club de Huelva,스포르팅 데 우엘바
Museo Nacional de Arqueología Subacuática,국립 수중 고고학 박물관
Jerónimos,헤로니모스
Monasterio de Santa María de Montederramo,몬테데라모 수도원
Línea de Contravalación de Gibraltar,스페인-영국 국경
Fortaleza de Isabel II,몰라 요새
Estación de Coslada Central,코슬라다 센트랄 역
Estación de Fuenlabrada Central,푸엔라브라다 센트랄 역
Estación de Leganés Central,레가네스 센트랄 역
Línea XYZ,XYZ 방어전
relaciones España-Francia,스페인-프랑스 관계
Queso de tupí,투피
Ciencia y Caridad,과학과 자비
Saraqusta,사라쿠스타
Astore,아스토레
Real Academia Española,스페인 왕립 학술원
Museum Jorge Rando,호르헤 란도 미술관
Autopista del Sur,오토비아 델 수르 (스페인)
Regimiento de Caballería Ligero Acorazado «Lusitania» n.º 8,제8경기갑기병연대 루시타니아
zona vascófona de Navarra,나바라의 바스크어권
Copa Mundial de Fútbol de 2030,2030년 FIFA 월드컵
derechos humanos en España,스페인의 인권
Podemos,포데모스
B vocal,B 보컬
Selección de fútbol de Madrid,마드리드주 축구팀
Airbus Defence and Space,에어버스 디펜스 앤드 스페이스
Evelop Airlines,이벨롭 항공
lista de alcaldes de Artà,Artà의 시장 목록
International Champions Cup 2013,2013년 인터내셔널 챔피언스 컵
Segunda División de España 2013/14,세군다 디비시온 2013-14
Liga Europea de la UEFA 2014-15,2014-15년 UEFA 유로파리그
Copa del Rey de fútbol 2013-14,코파 델 레이 2013-14
Crimen en España,스페인의 범죄 통계
traje acuático,잠수복
España,프랑코 정권
Supercopa de España de Fútbol 2013,수페르코파 데 에스파냐 2013
Via Catalana,카탈루냐 독립의 길
Madrid Club de Fútbol Femenino,마드리드 C.F.F.
España,스페인
Vox,Vox
Primera División de España 2014/15,프리메라리가 2014-15
Liga Europea de la UEFA 2015-16,2015-16년 UEFA 유로파리그
Provincia del Rosellón,루시용
España peninsular,반도 스페인
Ortiz,오르티스
Fútbol Club Barcelona Juvenil "A",FC 바르셀로나 후베닐 A
Final de la Copa del Rey de fútbol 2012-2013,2013 코파 델 레이 결승전
Mormedi,모르메디
Primera División de España 2015/16,프리메라리가 2015-16
Final de la Copa del Rey de fútbol 2013-2014,2014 코파 델 레이 결승전
accidente ferroviario de Santiago de Compostela de 2013,산티아고데콤포스텔라 열차 탈선 사고
Brote de Ébola en África Occidental de 2014,2014년 기니 에볼라 유행
Acción del 6 de mayo de 1801,1801년 5월 6일의 조치
Segunda División de España 2009-10,세군다 디비시온 2009-10
Intempo,인템포
Sopa de habas,누에콩 수프
Anexo:Temporada 2014-15 del Fútbol Club Barcelona,2014-15 FC 바르셀로나
Regimiento de Infantería «Barbastro» n.º 43,제43보병연대 바르바스트로
Estación de Fuente de la Mora,푸엔테 데 라 모라 역
Supercopa de España de Fútbol 2014,수페르코파 데 에스파냐 2014
Movistar Plus+,무비스타 플러스
Segunda División de España 2014/15,세군다 디비시온 2014-15
frontera entre Argelia y España,스페인-알제리 국경
frontera España-Italia,스페인-이탈리아 국경
Copa del Rey de fútbol 2014-15,코파 델 레이 2014-15
manos de cerdo,족발
España gana por primera vez un Mundial de Fútbol al vencer a Holanda en el alargue,스페인
FIFA anuncia las sedes para los mundiales 2018 y 2022,2018년과 2022년 FIFA 월드컵 개최지로 러시아와 카타르를 선정
ruta europea E903,유럽 고속도로 903호선
Supercopa de España de Fútbol 2015,수페르코파 데 에스파냐 2015
Diada de Sant Jordi,페스타 드 산 조르디
Campeonato Mundial de Baloncesto Femenino de 2018,2018년 FIBA 여자 농구 월드컵
España en los Juegos Olímpicos de Río de Janeiro 2018,2016년 하계 올림픽 스페인 선수단
Rivalidad Cristiano-Messi,메호대전
Proceso participativo sobre el futuro político de Cataluña de 2014,2014년 카탈루냐 독립 국민투표
Categoría:Edificios y estructuras de Palma de Mallorca,분류:팔마데마요르카의 건축물
Final de la Copa del Rey de fútbol 2014-2015,2015 코파 델 레이 결승전
Segunda División de España 2015/16,세군다 디비시온 2015-16
Fútbol Club Barcelona Juvenil "B",FC 바르셀로나 후베닐 B
Aeropuerto de Valencia,발렌시아 공항
Aeródromo de Calamocha,칼라모차 공항
Fortaleza del Castro,카스트로 요새
El Español,엘 에스파뇰
Copa del Rey de fútbol 2015-16,코파 델 레이 2015-16
Campo del Retiro,티로 델 피촌
Supercopa de España de Fútbol 2016,수페르코파 데 에스파냐 2016
Club Deportivo Colunga,CD 콜룽가
G2 Esports,G2 e스포츠
Anexo:Parques nacionales de España,스페인의 국립공원 목록
Anexo:Gran Premio de España de 2016,2016년 스페인 그랑프리
elecciones generales de España de 2016,2016년 스페인 총선거
Final de la Copa del Rey de fútbol 2015-2016,2016 코파 델 레이 결승전
Primera División de España 2016/17,프리메라리가 2016-17
Relaciones España-Guinea-Bissau,기니비사우-스페인 관계
Relaciones Corea del Sur-España,대한민국-스페인 관계
Relaciones Corea del Norte-España,스페인-조선민주주의인민공화국 관계
provincia de Navarra,나바라도
Torrejoncillo del Rey,토레혼시요델레이
Huécija,Huécija
Unidos Podemos,연합 포데모스
Copa del Rey de fútbol 2016-17,코파 델 레이 2016-17
Segunda División de España 2016-17,세군다 디비시온 2016-17
Ábside,애프스
Primera División de España 2017-18,라리가 2017-18
Promoción de ascenso a Primera División de España,라리가 플레이오프전
Clasificación de Asia para los Juegos Olímpicos de Barcelona 1992,1992년 하계 올림픽 축구 아시아 지역 예선
Estadio de Torrero,에스타디오 데 토레로
Partit Demòcrata Europeu Català,카탈루냐어 유럽 민주당
Copa del Generalísimo de fútbol 1975-76,코파 델 헤네랄리시모 1975-76
referéndum sobre la independencia de Cataluña de 2017,2017년 카탈루냐 독립 국민투표
Final de la Copa del Rey de fútbol 2016-2017,2017 코파 델 레이 결승전
Mando Conjunto del Ciberespacio,스페인 합동사이버사령부
Aguilar,Aguilar
presidente del Tribunal Constitucional,스페인 헌법재판소장
Final de la Liga de Campeones de la UEFA 2018-19,2019 UEFA 챔피언스리그 결승전
Museo Español de Antigüedades,Museo Español de Antigüedades
España en los Juegos Olímpicos de Pieonchang 2018,2018년 동계 올림픽 스페인 선수단
Level,레벨
