Alexandra Stan,亞歷山德拉·斯坦
Adrian Ursea,阿德里安·厄西亞
Ștefan Sprianu,斯必克
Remus Mărgineanu,雷穆斯·姆尔吉尼亚努
Iuliana Popa,尤利安娜·波帕
Anton Tauf,安东·陶夫
Cristian Dumitru Crișan,克里斯蒂安·杜米特魯·克里尚
Emilian Oprea,艾米利亚·奥普雷亚
Mihaela Irina Dorlan,米哈埃拉·多兰
Ioana Uricaru,约阿娜·乌里卡鲁
Răzvan Mărculescu,拉兹万·马库莱斯库
Constantin Popescu,康斯坦丁·波佩斯庫
Andrei Vlad,安德烈·弗拉德
Kriszta Incze,因采·克丽斯陶
Radu Petrescu,拉杜·佩特雷斯古
Julia de Lucía,朱莉娅·代·露西娅
Alexandra Anghel,亚历山德拉·安格尔
Florin Cîțu,弗洛林·克楚
Mihai Fifor,米哈伊·菲福尔
Francisc Balla,弗朗奇斯克·巴拉
Dani Oțil,达妮·奥蒂伊
Răzvan Simion,勒兹万·西米翁
Florin Roman,弗洛林·罗曼
Emil Rengle,埃米尔·连格尔
Constantin Radu,康斯坦丁·拉杜
Marius-Constantin Budăi,馬呂斯-康斯坦丁·布戴
Allen Coliban,艾伦·科利班
Sînziana Nicola,森济娅娜·尼古拉
Gheorghe Călugăreanu,格奧爾基·克盧格雷亞努
Carol Vereș,卡罗尔·韦赖什
Florin Opritescu,弗洛林·奥普捷列斯库
Ionuț Grama,伊诺特·格拉玛
Andrei Crețulescu,安德雷·克雷楚列斯库
Florian Munteanu,弗洛里安·蒙泰努
Feli Donose,费利·多诺塞
Dana Dembinski Medeleanu,达娜·德姆宾斯基
Miriam Bulgaru,米丽亚姆·布尔加鲁
Lucian-Ovidiu Heiuș,卢奇安-奥维迪乌·海尤什
Andrei Finți,安德烈·芬西
Oltin Hurezeanu,奥尔丁·胡雷塞亚努
Călin Ghibu,卡林·吉布
Andreea Roșca,安德烈娅·罗斯卡
Mircea Mustață,米尔恰·穆斯塔策
Cristian Măcelaru,克里斯蒂安·马塞拉鲁
Carmen Daniela Dan,卡门·达妮埃拉·达恩
Mihai Ielenicz,Mihai Ielenicz
Ioana Flora,伊万娜·弗洛拉
Alex Dobre,阿歷士·杜比爾
Fatma Mohamed,法特玛·穆罕默德
Alina Berzunțeanu,阿丽娜·贝尔宗策阿努
Ion Haiduc,揚·海杜克
Doru Ana,多鲁·安娜
Ana Maria Guran,安娜·玛丽亚·古兰
Anca Miruna Lăzărescu,安卡·米鲁纳·拉扎雷斯库
Sergiu-Vasile Bejan,塞尔久·贝让
Viviana Grădinaru,薇薇安娜·格拉迪纳鲁
Adriana Ailincăi,阿德里安娜·艾林克伊
Ștefan Constantin Berariu,斯特凡·康斯坦丁·贝拉留
Cosmin Pascari,科斯明·帕斯卡里
Ilinca Hărnuț,伊林卡·哈特纳
Ingrid Bisu,英格丽·比苏
Rada Mihalcea,Rada Mihalcea
Iuliana Buhus,尤利安娜·布胡什
Maria Tivodariu,玛丽亚·蒂沃达留
Raluca Georgiana Şerban,拉卢卡·谢尔班
Alina Pușcaș,阿丽娜·普什卡什
Paul Negoescu,保罗·内戈埃斯库
Alec Secăreanu,阿列克·塞克雷亚努
Dana Bunescu,达娜·布内斯库
Olimpiu Moruțan,奥林皮乌·莫鲁坦
Ester Peony,Ester Peony
Mihăiță Vasile Țigănescu,米哈塔·瓦西里·齐格内斯库
Alexandru Pașcanu,亚历克斯·帕斯卡努
Ada Solomon,阿达·所罗门
Catrinel Dănăiață,卡特里内尔·达纳阿塔
Alexandru Cîrneală,亚历山德鲁·西尼亚拉
Florin Oancea,弗洛林·万恰
Liviu Vârciu,利维乌·瓦尔乔
Livia Leonte,利维娅·齐卡努
Luminița Erga,卢米尼塔·埃尔加
Neculai Predica,内库莱·普雷迪卡
Constantin Fugașin,康斯坦丁·弗加辛
Matei Dima,马太·迪马
Theo Marton,西奥·马顿
Eneli,埃内利
Matteo,马特奥
Ion Gheorghe,揚·格奧爾基
Silvia Kerim,西尔维亚·克里姆
Teodora Sava,特奧多拉·薩瓦
Mădălina Bellariu Ion,马达莉娜·贝拉留
Diana Dumbravă,黛安娜·敦巴娃
Simona Geanina Radiș,西蒙娜·拉迪什
Ioana Vrînceanu,伊万娜·弗伦恰努
Nicoleta-Ancuța Bodnar,妮科莱塔-安库察·博德纳尔
Valentin Mihăilă,瓦倫丁·米哈伊拉
Cătălina Curceanu,克特利娜·庫爾恰努
Viviana Iuliana Bejinariu,维维安娜·尤利安娜·贝日纳留
Maria Sava,玛丽亚·萨瓦
Gabriela Talabă,加布里埃拉·塔拉伯
Mugurel Vasile Semciuc,穆古雷尔·塞姆丘克
Dorin Alupei,多林·阿卢佩伊
Valentina Vîrlan,瓦伦丁娜·沃尔兰
Cornel Feruță,科爾内爾·費盧塔
Angela Cazac,安杰拉·卡扎克
Nicolae Simion,尼古拉·西米翁
Iulia Lumânare,尤利亚·卢曼纳
Silvia Bădescu,西尔维亚·巴德斯库
Ilie Oanță,伊利耶·万策
Ernest Gall,埃内斯特·加尔
Ion Chicu,揚·基庫
Florica Petcu,弗洛丽卡·佩特库-多斯皮内斯库
Georgeta Militaru-Mașca,杰奥尔杰塔·米利塔鲁-马什卡
Collins Valentine Filimon,柯林斯·瓦伦丁·菲利蒙
Karim Adeyemi,卡里姆·阿德耶米
Cristian Dumitru,克里斯蒂安·杜米特鲁
Aneta Matei-Sieburg,阿内塔·马泰
Tania Popa,塔尼亚 波帕
Louis Munteanu,路易斯·蒙迪安奴
Aurelia Marinescu,奥雷利娅·马里内斯库
Rodrig Andrisan,罗德里格·安德里森
Irena A. Hoffman,伊雷娜·A·霍夫曼
Cosmin Cernat,考斯敏·塞纳特
Tudor Voican,图多尔·沃伊坎
Liviu Mărghidan,利维乌·玛吉丹
Alyssia Kent,艾莉西亞·肯特
Filip-Cristian Jianu,菲利普·克里斯蒂安·贾努
Nicolae Cioroiu,尼古拉·乔洛尤
Victor Dican,维克托·迪坎
Iacob Coțoveanu,郭佐文
Alexandru Ișfan,亚历山德鲁·米海·伊凡
Cătălin Cristuțiu,卡塔林·克里斯图蒂乌
Gergely Kovács,額我略·科瓦奇
Teodor Rudenco,鲁登科
Adrian Zuckerman,阿德里安·祖克曼
Andrei Rațiu,安德烈·拉尤
Ciprian Tudosă,奇普里安·图多瑟
Oana Giurgiu,奥娜·吉尔居
Raluca Aprodu,拉卢卡·阿普罗杜
Ada Galeș,阿达·盖尔斯
Bogdan Iancu,波格丹·扬库
Alexandru‑Victor Nemteanu,亚历山德鲁-维克多·内姆特亚努
Gabriel Radu,加布里埃尔·拉杜
Anca Dumitra,安卡·杜米特拉
Anghel Damian,安格尔·达米安
Constantin Diță,科斯坦丁·蒂塔
Daniel Petrescu,丹尼尔·佩特雷斯库
Laurențiu Bănescu,劳伦蒂·巴内斯库
Radu Panamarenco,拉杜·巴拿马兰科
Corneliu Ulici,科尔内留·乌利奇
Sorin Brotnei,索兰·斯特凡·布拉尼
Maria-Magdalena Rusu,玛丽亚-玛格达列娜·鲁苏
Adrian Lustig,阿德里安·卢斯蒂格
Vlad Păunescu,弗拉德·普涅内斯库
Claudiu Trandafir,克劳迪乌·特兰达菲尔
Mihaela Gheorghiu,米哈埃拉·喬治烏
Crina Semciuc,柯丽娜·泽木克友克
Vlad Logigan,弗拉德·洛吉根
Levent Sali,利文特·萨利
Dan Nanoveanu,丹·纳瓦努努
Călin Papură,克林·帕普拉
Tudor Petrut,都铎·彼得鲁特
Amalia Bereș,阿马利娅·贝雷什
Vlady Cnejevici,弗拉迪·内涅维奇
Ionel Petrov,约内尔·彼得罗夫
Adina Pintilie,阿狄娜·潘提琳
Oprea Păunescu,奥普雷亚·珀乌内斯库
Andrei Cordea,安德烈·科尔代亚
Andrei Aradits,安德烈·阿拉丁斯
Ramona Barta,拉莫娜·巴塔
Rareș Lazăr,拉雷斯·拉泽尔
Sabrina Ionescu,萨布丽娜·约内斯库
Ana Radu,安娜·拉杜
Roxen,羅克森
Nora Steriadi,诺拉·斯泰里亚蒂
Madalina Constantin,马达丽娜·科斯坦丁
Mara Adina,玛拉·阿迪纳
Marcian Lazar,马尔西安·拉扎尔
Cătălin Chirilă,克特林·奇里拉
români,罗马尼亚人
Diana Alexandra Pocol,戴安娜·亚历山德拉·帕科尔
Igor Grosu,伊戈爾·格羅蘇
Iosif Păuleț,若瑟·保萊茨
Cristina Șerban-Ionda,克里斯蒂娜·谢尔班
Marcela Ursu,马塞拉·乌尔苏
Jador,亚多尔
Dana Ciobanu,达纳·乔巴努
Cristina Catalina,克里斯蒂娜·卡塔莉娜
Ionut Bora,约努·博拉
Alina Berzumteanu,Alina Berzumteanu
Peter Kerek,彼得·克雷克
Cătălina Mihai,卡塔琳娜·米哈伊
Elena Oprea,埃列娜·奥普雷亚
Velvet Moraru,弗尔维·莫拉鲁
Sorin Medeleni,索兰·梅代莱尼
László Kerekes,賴笛·凱賴凱什
Oana Gavrilă,瓦娜·加夫里拉
Radu Drăgușin,拉杜·德拉古辛
Dumitru Comănescu,杜米特鲁·科默内斯库
Dan Panaitescu,丹·帕奈特斯库
Bianca Oană,比安卡·奥阿纳
Daniel Mitulescu,丹尼尔·米图雷斯库
Ioanel Sinescu,约安内尔·西内斯库
Iulian-Alexandru Muraru,亚历山德鲁·穆拉鲁
Cătălin Teniță,克特林·泰尼塔
Marian Adochiței,马里安·阿多奇切伊
Madalina Anea,马达莉娜·阿妮
Irina Fetecău,伊里娜·费泰克乌
Paul Damixie,保罗·达米克西
Adrian Silișteanu,阿德里安·锡利斯特努
Lee Heart,李·哈特
Vasile Ouatu,瓦西里·奥瓦图
Mihai Gruia,米哈伊·格鲁亚
Adina Stetcu,阿迪娜·斯戴古
Sabina Branduse,萨比纳·布兰德斯
Andra Negulescu,安德拉·内古雷斯库
Andreea Vasile,安德烈娅·瓦西里
Sergiu Costache,塞尔久·科斯塔凯
Codin Maticiuc,科丁·马蒂奇克
Alin Panc,阿林·潘克
Natalia Gavrilița,娜塔莉婭·加夫里利策
Bogdan Mustață,博格丹·穆斯塔塔
Ruxandra Porojnicu,鲁桑德拉·波罗尼古
Maria Junghetu,玛丽亚·琼赫图
Constantin Florescu,康斯坦丁·弗洛雷斯库
Emanuela Ionica,埃马努艾拉·埃恩尼卡
Serban Cazan,塞班·卡赞
Mihai Mititescu,米哈伊·米蒂特斯库
Ana Baniciu,安娜·巴尼丘
George Ulmeni,乔治·乌尔梅尼
Dorina Done,多丽娜·多内
Vescan,威斯坎
Claudiu Târziu,克劳迪乌·塔齐乌
Camelia Maxim,卡米莉亚·马克西姆
Dan Bădărău,丹·巴达劳
Ela Prodan,埃拉·普罗丹
Ioana Picoș,约阿纳·皮科斯
Cezara Curmei,Cezara Curmei
Eduard Crăciun,Eduard Crăciun
Tzancă Uraganu,赞卡·乌拉加努
Ioana Mihăilă,约阿纳·米哈伊拉
Mara Gae,玛拉·加埃
Adelina Pestritu,阿德丽娜·佩斯特里图
Andreea Grămoșteanu,安德烈亚·格拉莫斯蒂亚努
Victoria-Ștefania Petreanu,维多利亚-斯特凡妮娅·彼得雷亚努
Filip Ugran,菲利普·烏格格蘭
Liviu Săndulescu,利维乌·森杜列斯库
Sorin Cocis,索林·科西斯
Olivia Nita,奥利维娅·尼察
Maruca Băiașu,马鲁卡·巴亚苏
Alecs Năstoiu,亚历克斯·纳斯托尤
Theo Rose,西奥·罗斯
Cătălin Jugravu,卡塔林·朱格拉武
Mario Fresh,马里奥·弗莱什
Cosmina Păsărin,科斯米娜·帕萨林
Ioana Ana Macaria,安娜-奥阿纳·马卡里亚
Dorin Zaharia,多林·扎哈里亚
Mihai Răducu,米哈伊·拉杜库
Emaa,埃玛
Liviu Cheloiu,利维乌·切罗伊
Alcina Dimitrescu,阿尔西娜·迪米特雷斯库
Crenguta Hariton,克伦古塔·哈里顿
Chilibar Papan,千里巴尔·帕潘
Cosmin Pădureanu,科斯敏·帕杜里亚努
Irina Saulescu,伊琳娜·索莱斯库
Radu Romaniuc,拉杜·罗曼纽克
Cătălin Paraschiv,卡塔琳·帕拉西夫
Aureliu Surulescu,奥雷留·苏勒列斯库
Dragoș Nicolae Mădăraș,德拉格什·尼古拉·马达拉什
Marian Ciripan,马里安·西里潘
Alexandra Velniciuc,亚历山德拉·维尔尼丘克
Dumitru Chesa,杜米特鲁·切萨
Aida Economu,阿依达·埃科诺姆
Ion Grosu,伊恩·格罗叙
Costin Cambir,科斯丁·坎比尔
Monica Odagiu,莫妮卡·奥达久
David Popovici,大衛·波波維奇
Karl Heisenberg,卡尔·海森堡
The Duke,公爵
Ana Odagiu,安娜·奥达久
Marcello Cobzarju,马塞洛·科布扎茹
Lucian Ghimiși,卢西安·吉米西
Conrad Mihai Mericoffer,康拉德·梅里科弗
Nicu Mihoc,尼库·米霍克
Adrian Mazilu,阿德里安·马济卢
Olga Verbitchi,奥尔加·韦尔比奇
Mihaela Nestorescu,米哈埃拉·内斯托雷斯库
Cristian Comeagă,克里斯蒂安·科马格
Dorin C. Zachei,多林·C·扎盖伊
Andia,安迪亚
Rareș Ilie,拉雷斯·伊利耶
Patricia Poienaru,帕特里夏·波耶纳鲁
Claudiu Mitcu,克劳迪乌·米丘
Tudor Smoleanu,都铎·斯莫利亚努
Theodor Andrei,西奧多·安德烈
Adina Mihaele Diaconu,阿迪娜·迪亚科努
Mădălina Amăistroaie,马德利娜·阿馬伊斯特羅耶
Ion Indolean,Ion Indolean
Alexandra Poiana,亚历山德拉·波亚纳
Meda Andreea Victor,梅达·安德列亚·维克托
Emil Măndănac,埃米尔·曼达纳克
