Pioneer plaque,先驅者鍍金鋁板
Cape Canaveral Space Launch Complex 41,卡纳维拉尔角空军基地41号航天发射台
"Hartville, Wyoming",哈特维尔·(怀俄明州)
"Opal, Wyoming",奥珀尔·(怀俄明州)
Law of the United States,美国法律
New York metropolitan area,紐約都會區
United States Virgin Islands national soccer team,美屬維爾京群島足球代表隊
"Burlingame, California",伯灵格姆·(加利福尼亚州)
"Columbus, Mississippi",哥伦布·(密西西比州)
"Fort Defiance, Arizona",迪法恩斯堡·(亞利桑那州)
"Somerset, Pennsylvania",萨默塞特·(宾夕法尼亚州)
"Sun City West, Arizona",西森城·(亞利桑那州)
Art Students League of New York,紐約藝術學生聯盟
London Naval Treaty,伦敦海军条约
"Vienna, Georgia",维也纳·(佐治亚州)
"Westerly, Rhode Island",西向·(羅德島州)
"Sunnyside, Washington",桑尼賽德·(華盛頓州)
Boise National Forest,博伊西国家森林
Governor of California,加利福尼亞州州長
Southeastern Oklahoma State University,东南俄克拉荷马州立大学
St. Clair River,圣克莱尔河
Oracle Cerner,塞納公司
"Cambridge, Idaho",劍橋·(愛達荷州)
"Harlem Township, Stephenson County, Illinois",哈勒姆鎮區·(伊利諾伊州斯蒂芬森縣)
"Hume Township, Whiteside County, Illinois",休姆鎮區·(伊利諾伊州懷特塞德縣)
"Kellogg, Idaho",凱洛格·(愛達荷州)
"Leaf River Township, Ogle County, Illinois",利夫里弗鎮區·(伊利諾伊州奧格爾縣)
"Oregon-Nashua Township, Ogle County, Illinois",俄勒岡-納舒厄鎮區·(伊利諾伊州奧格爾縣)
"Johnson City, Texas",约翰逊城·(得克萨斯州)
Journal of Biological Chemistry,生物化学杂志
Presque Isle State Park,派斯克小岛州立公园
S%26P Global,标普全球
Hardy Boyz,哈迪兄弟
"San Juan Bautista, California",圣胡安包蒂斯塔·(加利福尼亚州)
"Sidney, Ohio",悉尼·(俄亥俄州)
Boise River,博伊西河
Boise State University,博伊西州立大學
"Bonita, California",博尼塔·(加利福尼亞州)
Booz Allen Hamilton,博思艾伦汉密尔顿控股公司
Borah Peak,博拉峰
1972 American League Championship Series,1972年美國聯盟冠軍賽
Pennsylvania State University,宾夕法尼亚州立大学
University of Miami,邁阿密大學·(佛羅里達州)
Carnegie Endowment for International Peace,卡内基国际和平基金会
Inland Empire,内陆帝国
State of Deseret,德撒律州
"Stratford, Iowa",斯特拉特福·(艾奥瓦州)
Mentor Graphics,明導國際
Committee to Protect Journalists,保護記者委員會
Congressional Space Medal of Honor,國會太空榮譽勳章
Consolidated Aircraft,团结飞机公司
Niobrara River,奈厄布拉勒河
1982 American League Championship Series,1982年美國聯盟冠軍賽
George Bush Intercontinental Airport,喬治·布什洲際機場
New Balance,New·Balance
University of Hartford,哈特福德大學
"Fordville, North Dakota",福特维尔·(北达科他州)
"Graham, Texas",格雷厄姆·(德克薩斯州)
"Lake Fork Township, Logan County, Illinois",福克湖鎮區·(伊利諾伊州洛根縣)
"Winnett, Montana",温纳特·(蒙大拿州)
"Providence, Kentucky",普罗维登斯·(肯塔基州)
Augustine Volcano,奧古斯丁火山
Del Monte Foods,地捫食品
Habitat for Humanity,國際仁人家園
Alfred P. Sloan Foundation,艾爾弗·斯隆基金會
"Dawson, Illinois",道生·(伊利諾伊州)
"Goose Lake, Iowa",鵝湖·(愛荷華州)
"Richland Township, Delaware County, Iowa",里奇蘭鎮區·(愛荷華州特拉華縣)
"Wessington Springs, South Dakota",韦辛顿泉·(南达科他州)
"Glendo, Wyoming",格伦多拉·(怀俄明州)
"Grand Haven, Michigan",格蘭德港
"Mineral Wells, Texas",礦泉井城
2007 CONCACAF Gold Cup,2007年美洲金盃
Avatanak Island,阿瓦塔納克島
Cabot Corporation,卡博特公司
"Chicken, Alaska",奇金·(阿拉斯加州)
McDonnell Aircraft Corporation,麦克唐纳飞行器公司
"Moxee, Washington",莫科斯·(华盛顿州)
University of Colorado,科罗拉多大学系统
"Winter Park, Colorado",温特帕克·(科罗拉多州)
Charles Stark Draper Prize,查尔斯·斯塔克·德雷珀奖
Glenmont station,格蘭蒙特站
Griswold v. Connecticut,格里斯沃爾德訴康乃狄克州案
Utah State University,猶他州立大學
Wrigley Field,瑞格利球场
JEDEC,JEDEC
Blue Ridge Parkway,藍嶺山行車通道
"Bluff, Utah",布拉夫·(犹他州)
"Branford, Connecticut",布蘭福德·(康乃狄克州)
Lollapalooza,Lollapalooza
United States Army Pacific,美國太平洋陸軍
"Port Townsend, Washington",湯森港·(華盛頓州)
"Stacyville, Iowa",斯特西维尔·(艾奥瓦州)
Borders Group,博德斯集團
Bozeman Trail,博兹曼小道
"Chickaloon, Alaska",奇克倫·(阿拉斯加州)
IAd,IAd
"Ocala, Florida",奥卡拉·(佛罗里达州)
32nd parallel north,北緯32度線
Coors Field,庫爾斯球場
"Freeport, Pennsylvania",弗里波特·(宾夕法尼亚州)
One Times Square,時代廣場一號
Triumph Motorcycles Ltd,凯旋摩托车
"Buford, Georgia",比福德·(喬治亞州)
"Des Moines Township, Dallas County, Iowa",得梅因鎮區·(愛荷華州達拉斯縣)
"Englewood, Florida",恩格爾伍德·(佛羅里達州)
"Menomonie, Wisconsin",梅诺莫尼·(威斯康辛州)
"Blaine, Washington",布萊恩·(華盛頓州)
Cuyahoga River,凱霍加河
Microsoft Research,微軟研究院
Kotaku,Kotaku
Church of the Holy Communion and Buildings,圣餐堂
Civilian Conservation Corps,平民保育團
"Claire City, South Dakota",克莱尔市·(南达科他州)
"Columbia, California",哥倫比亞·(加利福尼亞州)
Soldier Hollow,士兵山谷
2005 US Open – Men's singles,2005年美國網球公開賽男子單打比賽
Cayuga Lake,卡尤加湖
STS-117,STS-117
"Winona, Mississippi",威諾納·(密西西比州)
"Mayfield, Kentucky",梅菲尔德·(肯塔基州)
"Portola, California",波托拉·(加利福尼亚州)
"Tenafly, New Jersey",特納夫萊
"Grenada, Mississippi",格拉納達·(密西西比州)
Manzanar,曼赞纳
"Presque Isle, Maine",普雷斯克艾爾·(緬因州)
Mount Gareloi,蓋勒洛伊火山
New York Harbor,紐約港
Parliament (cigarette),百乐门香烟
Shockley Semiconductor Laboratory,肖克利半導體實驗室
University of Tennessee,田納西大學
Yale Law School,耶鲁法学院
"Chardon, Ohio",沙登·(俄亥俄州)
"East Galena Township, Jo Daviess County, Illinois",東加利納鎮區·(伊利諾伊州喬戴維斯縣)
"Hanover Township, Jo Daviess County, Illinois",漢諾弗鎮區·(伊利諾伊州喬戴維斯縣)
"Winters, California",温特斯·(加利福尼亚州)
Dixie Mission,美軍觀察組
Warner Bros. Television Studios,華納兄弟電視公司
Democratic National Convention,民主党全国代表大会
"Middleburg, Pennsylvania",米德尔堡·(宾夕法尼亚州)
"Danville, Iowa",丹維爾·(愛荷華州)
Express Scripts,快捷藥方
"Galesburg, Illinois",盖尔斯堡·(伊利诺伊州)
List of airports in Vermont,佛蒙特州機場列表
"Turtle Lake, North Dakota",龟湖·(北达科他州)
"Dakota City, Nebraska",達科他城·(內布拉斯加州)
"Port St. John, Florida",聖約翰港·(佛羅里達州)
"Colma, California",科尔马·(加利福尼亚州)
"East Wenatchee, Washington",東韋納奇·(華盛頓州)
"Forreston Township, Ogle County, Illinois",福雷斯頓鎮區·(伊利諾伊州奧格爾縣)
"Maple Valley, Washington",楓樹谷·(華盛頓州)
"Hemet, California",赫米特·(加利福尼亚州)
"Sonora, California",索诺拉·(加利福尼亚州)
"Azalea Park, Florida",映山紅公園·(佛羅里達州)
Badwater Ultramarathon,惡水超級馬拉松
"Livermore, Kentucky",利弗莫尔·(肯塔基州)
White House Chief of Staff,白宮幕僚長
"Lake Mary, Florida",玛丽湖·(佛罗里达州)
"Wabash, Indiana",沃巴什·(印地安納州)
Crabtree %26 Evelyn,瑰珀翠
"Farwell, Texas",法威爾·(德克薩斯州)
"Post, Texas",波斯特·(德克薩斯州)
"Guadalupe, Arizona",瓜达卢佩·(亚利桑那州)
"Port Orange, Florida",珀特奥兰治·(佛罗里达州)
"Shafter, California",沙夫特·(加利福尼亚州)
Brigham Young University–Idaho,楊百翰大學愛達荷分校
"Granger, Wyoming",格兰杰·(怀俄明州)
Marine Corps Air Station Camp Pendleton,彭德顿营海军陆战队航空站
"Star Valley, Arizona",星谷·(亚利桑那州)
"Bellefonte, Delaware",贝尔丰特·(特拉华州)
Football at the 1904 Summer Olympics,1904年夏季奥林匹克运动会足球比赛
"Quinebaug, Connecticut",奎因鮑格·(康乃狄克州)
Dick's Sporting Goods Park,迪克體育用品公園
Fore River Shipyard,福尔河造船厂
"Glasford, Illinois",格拉斯福德·(伊利諾伊州)
Hawaii State Capitol,夏威夷州議會大廈
Lake Washington,华盛顿湖
1997–98 NBA season,1997-98·NBA赛季
"City of Industry, California",工業市·(加利福尼亞州)
"Hope, Indiana",霍普·(印地安納州)
NFC North,國家美式足球聯會北區
Grand Coulee Dam,大古力水坝
Marmot Island,馬莫特島
"McNary, Arizona",麥克納里·(亞利桑那州)
"Tariffville, Connecticut",塔里夫維爾·(康乃狄克州)
Daughters of Bilitis,比利提斯的女儿
Rocky Steps,洛奇階梯
Walhonding River,沃尔洪丁河
Daytona International Speedway,戴通納國際賽道
MicroStrategy,微策略
Mormon corridor,摩爾門帶
"Thomasville, Georgia",托馬斯維爾·(喬治亞州)
2001 World Series,2001年世界大賽
Alaska Railroad,阿拉斯加铁路
Dish Network,Dish·Network
Mariana Plate,馬里亞納板塊
1997 US Open – Women's singles,1997年美國網球公開賽女子單打比賽
"Dauphin Island, Alabama",多芬岛·(阿拉巴马州)
"Deer Trail, Colorado",迪尔特雷尔·(科罗拉多州)
Sitkalidak Island,錫特卡利達克島
28th Street station (IRT Lexington Avenue Line),28街車站·(IRT萊辛頓大道線)
"Ammon, Idaho",阿蒙·(愛達荷州)
Roman Catholic Archdiocese of Kansas City in Kansas,天主教堪薩斯城總教區
"Wilton Manors, Florida",威尔顿庄园·(佛罗里达州)
Dollar Thrifty Automotive Group,道樂·蘇立夫提租車集團
Golden Raspberry Award for Worst Director,金酸莓獎最差導演
47th parallel north,北緯47度線
65th parallel north,北緯65度線
Journal of Personality and Social Psychology,个性与社会心理学杂志
"Meridianville, Alabama",梅瑞迪安維爾·(阿拉巴馬州)
New Age Outlaws,新世代逃犯
"Tri-Cities, Tennessee",三城·(田纳西州)
"Cullomburg, Alabama",卡勒姆堡·(阿拉巴馬州)
"Leroy, Alabama",勒羅伊·(阿拉巴馬州)
"Point Clear, Alabama",普安克利爾·(阿拉巴馬州)
Staten Island Railway,史泰登島鐵路
"East Alton, Illinois",東阿爾頓·(伊利諾伊州)
"East Rancho Dominguez, California",東蘭喬多明格茲·(加利福尼亞州)
Eastern Kentucky University,東肯塔基大學
Trump International Hotel Las Vegas,拉斯維加斯川普國際酒店
1994 FIFA World Cup Group E,1994年國際足協世界盃E組
Ashtabula River railroad disaster,阿什塔比拉河鐵路橋意外
1998 World Series,1998年世界大賽
Eisenhower Executive Office Building,艾森豪行政辦公大樓
Laika (company),萊卡·(動畫公司)
Screen Actors Guild Award for Outstanding Performance by a Female Actor in a Supporting Role,美国演员工会奖最佳女配角
University of Louisville,路易斯維爾大學
1996–97 NBA season,1996-97·NBA赛季
2006 World Baseball Classic,2006年世界棒球經典賽
2007 Major League Baseball All-Star Game,2007年美國職棒大聯盟全明星賽
Jackson Guitars,Jackson
"Lake Louise, Alaska",路易斯湖·(阿拉斯加州)
Melkite Greek Catholic Eparchy of Newton,默基特希臘禮天主教紐頓聖母升天教區
2012 National League Championship Series,2012年國家聯盟冠軍賽
2012 National League Division Series,2012年国家联盟分区赛
Hurricane Electric,Hurricane·Electric
I Love New York,I·Love·New·York
"Richmond, Kentucky",里士滿·(肯塔基)
"Riverview, Delaware",里弗維尤·(特拉華州)
"Williamsport, Maryland",威廉斯波特·(馬里蘭州)
Assassination of Martin Luther King Jr.,馬丁·路德·金恩遇刺案
Atmel,Atmel
"Auburn, California",奥本·(加利福尼亚州)
California State Route 480,480号加利福尼亚州州道
California State Route 85,85号加利福尼亚州州道
Patriot Day,爱国日·(9月)
Delmarva Peninsula,德玛瓦半岛
"Gold Beach, Oregon",戈尔德比奇·(俄勒冈州)
Happy Science,幸福科學
Thinking Machines Corporation,思維機器公司
"Fairbury, Nebraska",費爾伯里·(內布拉斯加州)
"Ione, California",艾奥尼·(加利福尼亚州)
"Superior, Montana",苏必利尔·(蒙大拿州)
1978 World Series,1978年世界大賽
Idaho State Highway 3,3号爱达荷州州道
NBA G League,NBA·G聯盟
Photobucket,Photobucket
Washington State Route 513,513号华盛顿州州道
Chesapeake Bay impact crater,切薩皮克灣隕石坑
"Foley, Minnesota",福立·(明尼苏达州)
"New Albin, Iowa",新阿尔宾
"Palm Beach Gardens, Florida",棕櫚灘花園
"King of Prussia, Pennsylvania",普魯士國王·(賓夕法尼亞州)
Golden Globe Award for Best Actress – Television Series Musical or Comedy,金球奖音乐及喜剧类剧集最佳女主角
Hollister Co.,霍利斯特
McDonnell F2H Banshee,F2H·女妖
Piedmont Atlantic megaregion,皮埃蒙特大西洋城市帶
White Castle (restaurant),白城堡·(餐廳)
"Allendale, Missouri",艾倫代爾
"Deer Lodge, Montana",迪尔洛奇·(蒙大拿州)
"Dieterich, Illinois",迪特里希·(伊利諾伊州)
Educational Testing Service,美国教育考试服务中心
2004 US Open – Men's singles,2004年美國網球公開賽男子單打比賽
Better Business Bureau,商業改進局
Carleton College,卡尔顿学院
Castle Clinton,克林顿城堡
"Cedar Grove, Indiana",錫達格羅夫·(印地安納州)
Institute of Internal Auditors,国际内部审计师协会
E.B. Wilson Medal,E·B·威尔逊奖章
Phoenix Mercury,鳳凰城水星
Screen Actors Guild Award for Outstanding Performance by a Male Actor in a Supporting Role,美国演员工会奖最佳男配角
"Tidmore Bend, Alabama",蒂德莫爾本德·(阿拉巴馬州)
United States Asiatic Fleet,美國亞洲艦隊
"Vandiver, Alabama",范迪弗·(阿拉巴馬州)
"East Helena, Montana",东海伦娜·(蒙大拿州)
Federal Reserve Bank of Chicago,芝加哥联邦储备银行
Maxtor,迈拓
"Milton, Florida",米尔顿·(佛罗里达州)
Uruguay Round Agreements Act,乌拉圭回合协议法案
"Fort Ross, California",羅斯堡·(加利福尼亞州)
"Lookout Mountain, Alabama",盧克歐特芒特·(阿拉巴馬州)
"Mignon, Alabama",米尼翁·(阿拉巴馬州)
"Rock Mills, Alabama",羅克米爾斯·(阿拉巴馬州)
2003 NASDAQ-100 Open,2003年納斯達克100公開賽
Champion Air,冠軍航空
Makushin Volcano,馬庫申火山
1 Line (Sound Transit),海湾轻轨1号线
Ion Storm,离子风暴
"Newton, New Jersey",牛頓·(新澤西州)
Union Station (Washington Metro),聯合車站·(華盛頓地鐵)
Whitewater controversy,白水事件
"West Point, Nebraska",西點·(內布拉斯加州)
1992 NBA draft,1992年NBA选秀
"Maricopa, California",马里科帕·(加利福尼亚州)
Neversoft,Neversoft
U.S. Route 285,285號美國國道
Galveston Island,加爾維斯頓島
Triple Crown (professional wrestling),世界摔角娛樂三冠王
"Elizabethtown, Illinois",伊莉莎白敦·(伊利諾伊州)
Singer Corporation,勝家衣車
Chaldean Catholic Eparchy of Saint Peter the Apostle of San Diego,加色丁禮天主教聖迭戈聖伯多祿教區
Hamline University,哈姆莱大学
Roman Catholic Archdiocese of Chicago,天主教芝加哥总教区
Roman Catholic Archdiocese of Denver,天主教丹佛總教區
Roman Catholic Archdiocese of New York,天主教纽约总教区
Roman Catholic Archdiocese of Newark,天主教纽瓦克总教区
"Marathon, Florida",马拉松·(佛罗里达州)
"Margate, Florida",马盖特·(佛罗里达州)
U.S. Route 460,460号美国国道
"Holstein, Iowa",霍爾斯坦·(愛荷華州)
NCAA Division I men's basketball tournament,NCAA一级男子篮球锦标赛
"Weston, Florida",韦斯顿·(佛罗里达州)
"Cambridge, Iowa",劍橋·(愛荷華州)
1994 World Series,1994年世界大賽
2K Los Angeles,Kush·Games
"Country Club, California",鄉鎮俱樂部·(加利福尼亞州)
Gotham Games,Gotham·Games
Salt Lake Bees,鹽湖城蜜蜂
Etolin Island,埃托林島
Marine Corps Base Quantico,匡提科海軍陸戰隊基地
OTC Bulletin Board,場外電子交易板
"Burlington, Kentucky",伯灵顿·(肯塔基州)
"Liberty Township, Clinton County, Iowa",利柏提鎮區·(愛荷華州克林頓縣)
Oregon's 3rd congressional district,俄勒岡州第三國會選區
"Paintsville, Kentucky",佩恩茨维尔·(肯塔基州)
Alcatraz Federal Penitentiary,阿爾卡特拉斯島聯邦監獄
M%26T Bank Stadium,M%26T銀行體育場
Sarigan,薩里甘島
The Bella Twins,貝拉雙嬌
"Clarion, Pennsylvania",克拉里恩·(宾夕法尼亚州)
"Dayton, Tennessee",代顿·(田纳西州)
"Eagle, Alaska",伊格尔·(阿拉斯加州)
D River,D河
Massachusetts State House,马萨诸塞州议会大厦
Midwest Division (NBA),NBA中西赛区
Major League Baseball,美國職業棒球大聯盟
Highmark Stadium (New York),海馬克體育場
Merced River,美熹德河
Pennsylvania Avenue,宾夕法尼亚大道
Fort Moore,班寧堡
American Film Institute Awards 2011,2011年美國電影學會獎
San Juan Islands,聖胡安群島
Treaty of Amity and Commerce (United States–Japan),美日修好通商條約
Hollywood Foreign Press Association,好莱坞外国记者协会
Lake Pontchartrain,庞恰特雷恩湖
Hollywood Pictures,好莱坞影片
"Batavia, New York",巴達維亞·(紐約州)
"Buckley, Washington",巴克利·(华盛顿州)
"Carlton, Oregon",卡爾頓·(俄勒岡州)
"Corinth, Georgia",科林斯·(喬治亞州)
"Fairfield, Kentucky",费尔菲尔德·(肯塔基州)
"Hart, Michigan",哈特·(密歇根州)
Experimental Breeder Reactor I,實驗性滋生反應爐一號
Lowell Discovery Telescope,探索頻道望遠鏡
Fire Island,火岛
Glenn L. Martin Company,格伦·L·马丁公司
"Sullivan's Island, South Carolina",沙利文岛
"Belltown, Illinois",貝爾敦·(伊利諾伊州)
"Islamorada, Florida",伊斯拉摩拉·(佛罗里达州)
"Circle, Montana",瑟克尔·(蒙大拿州)
"Tracy, California",特雷西·(加利福尼亚州)
Origin Systems,Origin·Systems
Entertainment Software Association,娱乐软件协会
Little Diomede Island,小代奧米德島
Portland International Jetport,波特兰国际喷气机机场
38th Annie Awards,第38屆安妮獎
Chugach State Park,楚加奇州立公园
Consumer Financial Protection Bureau,消費者金融保護局
"Cocoa West, Florida",西可可·(佛羅里達州)
Cold Stone Creamery,酷圣石
Colorado State Highway 5,5号科罗拉多州州道
Colorado State Highway 82,82号科罗拉多州州道
Rocketdyne H-1,H-1火箭发动机
Sony Ericsson Xperia X1,Sony·Ericsson·Xperia·X1
Chicago Film Critics Association,芝加哥影评人协会
Chicago Film Critics Association Award for Best Supporting Actress,芝加哥影评人协会奖最佳女配角
Interstate 294,294號州際公路
"Old Tappan, New Jersey",舊塔潘
University of the Arts (Philadelphia),藝術大學·(費城)
American Music Awards of 2011,2011年全美音樂獎
1997 US Open – Men's singles,1997年美國網球公開賽男子單打比賽
Bath School disaster,贝斯学校大爆炸
"Cima, California",西馬·(加利福尼亞州)
Cinemaware,Cinemaware
Fort Dix,迪克斯堡
March on Washington for Jobs and Freedom,向华盛顿进军
2011 US Open – Women's doubles,2011年美國網球公開賽女子雙打比賽
Groupon,Groupon
Linux Foundation,Linux基金會
Pony Express,驿马快信制
Council for National Policy,國家政策委員會
"Eunice, Louisiana",尤尼斯·(路易斯安那州)
Flex (company),偉創力
RTD bus and rail services,丹佛轻轨
The Cloisters,修道院博物館
Zoho Office Suite,Zoho·Office·Suite
CBS News,CBS新聞
I-35W Mississippi River bridge,I-35W密西西比河大桥
Predictor@home,Predictor@Home
1998 US Open (tennis),1998年美國網球公開賽
GMA Dove Award,聖鴿獎
University of Dubuque,杜比克大學
Charles River,查尔斯河
Scripps Research,斯克里普斯研究所
"Baird, Texas",貝爾德·(得克薩斯州)
Medical University of the Americas – Nevis,美洲醫科大學
Road signs in the United States,美國交通標誌
Cleveland Charge,克里夫蘭劍客
"Van Tassell, Wyoming",凡塔塞尔·(怀俄明州)
"Woodbury, New Jersey",伍德伯里·(新澤西州)
1994–95 NBA season,1994-95·NBA赛季
Dark Castle Entertainment,黑暗城堡娱乐
Ike %26 Tina Turner,艾克與蒂娜·透娜
"Mercer, Pennsylvania",默瑟·(宾夕法尼亚州)
Dall Island,多爾島
Dan River,丹河·(美国)
Danaher Corporation,丹纳赫
"Eagle Grove, Iowa",伊格爾格羅夫·(愛荷華州)
24th Academy Awards,第24届奥斯卡金像奖
"Albert Lea, Minnesota",艾伯特利·(明尼苏达州)
Bozeman Yellowstone International Airport,博兹曼机场
"North Hero, Vermont",北赫罗·(佛蒙特州)
"Furnace Creek, California",弗內斯克里克·(加利福尼亞州)
"Huntingdon, Pennsylvania",亨丁頓·(賓夕法尼亞州)
Open Library,开放图书馆
Pratt Institute,普瑞特藝術學院
Fifth Third Bank,五三银行
Gödel Prize,哥德尔奖
Lexmark,利盟
Webby Awards,威比奖
Woods Hole Oceanographic Institution,伍兹霍尔海洋研究所
Congress Hall,国会厅
Critics' Choice Movie Award for Best Director,評論家選擇電影獎最佳導演
"Crook, Colorado",克鲁克·(科罗拉多州)
Fox Entertainment Group,福斯娱乐集团
"Jordan Township, Monona County, Iowa",喬丹鎮區·(愛荷華州莫諾納縣)
Monmouth University,蒙莫斯大學
Academy Award for Best Documentary Short Film,奥斯卡最佳纪录短片奖
"Five Points, Florida",五點·(佛羅里達州)
Franklin D. Roosevelt Presidential Library and Museum,富兰克林·德拉诺·罗斯福总统图书馆暨博物馆
Sunoco,太阳石油公司
Leroy P. Steele Prize,勒羅伊·斯蒂爾獎
"Lucas, Iowa",盧卡斯·(愛荷華州)
"Port Royal, South Carolina",皇家港口·(南卡罗来纳州)
"Sawlog Township, Hodgeman County, Kansas",索洛格鎮區·(堪薩斯州霍治曼縣)
Alfred A. Knopf,克诺夫出版社
Atlantic City International Airport,大西洋城國際機場
Austin–Bergstrom International Airport,奥斯汀-伯格斯特国际机场
Indiana University–Purdue University Indianapolis,印第安纳大学与普渡大学印第安纳波利斯联合校区
St. Mark's Episcopal Cathedral (Minneapolis),圣马可圣公会座堂·(明尼阿波利斯)
University of Illinois Willard Airport,伊利诺伊大学威拉德机场
Florida panhandle,佛羅里達狹地
2011 World Series,2011年世界大賽
2012 World Series,2012年世界大賽
"Inwood, Manhattan",英伍德
Raleigh–Durham International Airport,羅利達拉姆國際機場
Snowbelt,雪帶
Wrangell Island,蘭格爾島
Baruch College,紐約市立大學柏魯克分校
Belasco Theatre,贝拉斯科剧院
"Bellefontaine, Ohio",贝尔方丹·(俄亥俄州)
TC Energy Center,美国银行中心·(休斯顿)
"Coaldale, Colorado",科爾代爾·(科羅拉多州)
Crocs,卡駱馳
"Liston Township, Woodbury County, Iowa",利斯頓鎮區·(愛荷華州伍德伯里縣)
"Saratoga, California",薩拉托加·(加利福尼亞州)
Colony Club,殖民地俱樂部
"Maunabo, Puerto Rico",毛納沃
"Warrensburg, Missouri",沃倫斯堡·(密蘇里州)
"Darby, Montana",达比·(蒙大拿州)
Director of Central Intelligence,中央情報總監
Eads Bridge,伊茲橋
Patrick Space Force Base,帕特里克太空軍基地
Roman Catholic Archdiocese of Omaha,天主教奧馬哈總教區
49 Chambers,移民工業儲蓄銀行大樓
Engine Alliance,發動機聯盟
New York City Ballet,紐約市芭蕾舞團
"Chicago Park, California",芝加哥公園·(加利福尼亞州)
"Kingston, Missouri",金斯顿·(密苏里州)
"Silverton, Texas",錫爾弗頓·(德克薩斯州)
52nd Annual Grammy Awards,第52屆葛萊美獎
Ukrainian Catholic Eparchy of Stamford,烏克蘭希臘禮天主教斯坦福教區
"Rochelle, Georgia",羅切爾·(喬治亞州)
University of Kentucky,肯塔基大学
Fort Knox,诺克斯堡
"Murray, Kentucky",穆雷·(肯塔基州)
"Rockport, Texas",罗克波特·(得克萨斯州)
"Gloversville, New York",格洛弗斯维尔
United States Army Intelligence and Security Command,美国陆军情报与安全司令部
"Vinings, Georgia",維寧斯·(喬治亞州)
"Fairview, California",費爾維尤·(加利福尼亞州)
"Kentwood, Louisiana",肯特伍德·(路易斯安那州)
"Montevideo, Minnesota",蒙得維的亞·(明尼蘇達州)
"Sebring, Florida",锡布灵·(佛罗里达州)
FedEx Cup,聯邦快遞杯
Maroon Bells,馬龍雙子峰
Mountain Home Air Force Base,芒廷霍姆空軍基地
Operation Sandstone,砂岩行动
Scaled Composites,縮尺複合體公司
"The Langham, New York",第五大道400号
USS Albacore (AGSS-569),青花魚號潛艇·(AGSS-569)
"Rock Run Township, Stephenson County, Illinois",羅克倫鎮區·(伊利諾伊州斯蒂芬森縣)
"Shawnee, Kansas",肖尼·(堪薩斯州)
"Washington Township, Carroll County, Illinois",華盛頓鎮區·(伊利諾伊州卡羅爾縣)
"West Galena Township, Jo Daviess County, Illinois",西加利納鎮區·(伊利諾伊州喬戴維斯縣)
"West Point Township, Stephenson County, Illinois",西點鎮區·(伊利諾伊州斯蒂芬森縣)
"Belmont, Massachusetts",貝爾蒙·(麻薩諸塞州)
D.C. sniper attacks,華盛頓特區狙擊手攻擊事件
La Jolla,拉霍亚
List of Game of Thrones episodes,权力的游戏集数列表
"Del Rio, Texas",德爾里奧·(德克薩斯州)
"Kukuihaele, Hawaii",庫奎希納·(夏威夷州)
"La Grange, Illinois",拉格兰奇·(伊利诺伊州)
Potlatch River,波特拉奇河
Glacier Peak,格拉西爾峰
Grammy Award for Best Alternative Music Album,葛萊美獎最佳另類音樂專輯
Loyola University Chicago,芝加哥洛約拉大學
New England Holocaust Memorial,新英格兰犹太人大屠杀纪念碑
Renaissance Center,文艺复兴中心
San Francisco Maritime National Historical Park,旧金山国立海事历史公园
"Floydada, Texas",弗羅伊迭達·(德克薩斯州)
"La Grange, Texas",拉格蘭奇·(德克薩斯州)
Microchip Technology,微晶片科技
Southwest Territory,西南領地
United States House Committee on Energy and Commerce,美国众议院能源和商业委员会
Wasatch Range,瓦薩奇山脈
Western Connecticut State University,西康涅狄格州立大學
International Motorsports Hall of Fame,國際賽車名人堂
MetroLink (St. Louis),圣路易斯轻轨
Lassen Peak,拉森火山
"Mountain View, Contra Costa County, California",芒廷維尤·(加利福尼亞州康特拉科斯塔縣)
"Nashua, Iowa",納舒厄·(愛荷華州)
"Nora Township, Jo Daviess County, Illinois",諾拉鎮區·(伊利諾伊州喬戴維斯縣)
"Rock Rapids, Iowa",罗克拉皮兹
Students for a Free Tibet,自由西藏学生运动
Fairbanks International Airport,费尔班克斯国际机场
Signing of the United States Constitution,美利坚合众国宪法签署人列表
Battle of Hoke's Run,瀑布市之役
Colorado Senate,科罗拉多州参议院
List of Mensa Select recipients,門薩首選
United States Naval Research Laboratory,美國海軍研究實驗室
Virgin Interactive Entertainment,维珍互动
"Albany, Texas",奧爾巴尼·(德克薩斯州)
Great American Ball Park,大美利堅棒球場
"Palo Pinto, Texas",帕洛平托·(德克薩斯州)
"Sterling City, Texas",斯特靈城·(德克薩斯州)
"Coshocton, Ohio",科肖克顿·(俄亥俄州)
"Dunedin, Florida",达尼丁·(佛罗里达州)
"Ferndale, Washington",芬代尔·(华盛顿州)
Genetics Society of America,美国遗传学学会
"La Center, Washington",拉申特·(華盛頓州)
Utah War,猶他戰爭
"Winlock, Washington",温洛克·(华盛顿州)
American Family Field,美國家庭球場
Emerald Necklace,绿宝石项链
Occidental College,西方學院
Rockwell International,罗克韦尔国际
United States Department of the Army,美国陆军部
1994 Northridge earthquake,1994年北岭地震
List of U.S. state and territory mottos,美國州份及領地格言列表
Socialist Party of America,美国社会党·(1901年)
Spaceport America,美国航天港
Marshall University,馬歇爾大學
Treasure Island Hotel and Casino,金銀島酒店
Fearless Records,Fearless唱片
White Wolf Publishing,White·Wolf
