Григорий Яковлевич Перельман,グリゴリー・ペレルマン
"Гурьев, Андрей Андреевич",アンドレイ・グリエフ・ジュニア
"Николаева, Олеся Станиславовна",オレーシャ・ニコラエワ
Красножон Алексей Дмитриевич,アレクセイ・クラスノジョン
"Газимагомедов, Магомедрасул Мухтарович",マゴメドラスル・ガジマゴメドフ
Мария Алексеевна Вадеева,マリア・ヴァデーヴァ
"Агузаров, Тамерлан Кимович",タメルラン・アグザロフ
Мохнаткин Михаил Александрович,ミハイル・モハナトキン
Давит Гочаевич Чакветадзе,ダビット・チャクベターゼ
"Пономарёв, Константин Петрович",コンスタンチン・ポノマレフ
Анна Калинская,アンナ・カリンスカヤ
Матвей Мамыкин,マトヴェイ・マミキン
Сергей Игоревич Каменский,セルゲイ・カメンスキー
Никитин Глеб Сергеевич,グレブ・ニキティン
"Дашидоржиева, Туяна Норполовна",トゥヤナ・ダシドルジエヴァ
"Тюрин, Алексей Алексеевич",アレクセイ・チューリン
Амина Геннадьевна Атаханова,アミナ・アタハノワ
Алиса Андреевна Федичкина,アリサ・フェディチキナ
Валерия Сергеевна Михайлова,ワレリヤ・ミハイロワ
Митрофанова Екатерина Борисовна,エカテリーナ・ミトロファノワ
Кирилл Олегович Капризов,キリル・カプリゾフ
"Неярохина, Зинаида Васильевна",ジナイダ・ネヤロヒナ
Вадим Немков,ワジム・ネムコフ
"Романова, Анастасия Олеговна",アナスタシア・ロマノヴァ
Антон Анатольевич Шулепов,アントン・シュレポフ
Александр Альбертович Лапин,アレクサンドル・アリベルトヴィチ ・ラーピン
Анастасия Галустян,アナスタシヤ・ガルスチャン
"Синицин, Данил Сергеевич",ダニル・シニツィン
"Лазарева, Анна Николаевна",アンナ・ラザレワ
Александр Борисович Левинталь,アレクサンドル・レヴィンタル
Игорь Лопатёнок,イーゴリ・ロパトノク
"Кушнерёв, Юрий Сергеевич",ユーリー・クシュネリョフ
Владислав Олегович Лёвин,ヴラディスラフ・リョヴィン
"Самойлович, Сергей Александрович",セルゲイ・サモイロビッチ
Зенфира Рамазановна Магомедалиева,ゼンフィラ・マゴメダリエワ
"Магомедов, Ариф Рамазанович",アリフ・マゴメドフ
Абдулманап Магомедович Нурмагомедов,アブドゥルマナプ・ヌルマゴメフ
Алексей Петрович Серёгин,アレクセイ・ペトロヴィチ・セリョーギン
Алина Альбертовна Прокопьева,アリーナ・プロコペワ
Андрей Гайдулян,アンドレイ・ゲイドゥリアン
"Матвеев, Денис Владимирович",デニス・マトベエフ
"Мацегора, Александр Иванович",アレクサンドル・マツェゴラ
Егор Крид,イーゴリ・クリード
"Пирузян, Лев Арамович",レフ・ピルジャン
"Долгова, Ирина Юрьевна",イリーナ・ドルゴワ
"Зеленцова, Екатерина Андреевна",エカチェリーナ・ゼレンツォヴァ
Татьяна Кудрявцева,タチアナ・クドリアフツェワ
"Рылов, Евгений Михайлович",エフゲニー・リロフ
"Аношкин, Роман Сергеевич",ロマン・アノシュキン
Первушкина Диана Михайловна,ディアナ・ペルブシュキナ
Илья Романович Спиридонов,イリヤ・スピリドノフ
Екатерина Сергеевна Борисова,エカテリーナ・ボリソワ
Дмитрий Владимирович Сопот,ドミトリー・ソポト
Анастасия Артёмовна Полуянова,アナスタシヤ・ポルヤノワ
Степан Владимирович Коротков,ステパン・コロトコフ
Антон Михайлович Чупков,アントン・チュプコフ
"Прокофьева, Елена Геннадьевна",エレナ・プロコフィエワ
Михаил Александрович Сергачёв,ミハイル・セルガチェフ
Даниил Сергеевич Медведев,ダニール・メドベージェフ
"Топилина, Гелена Дмитриевна",ゲレナ・トピリナ
"Никитина, Наталья Геннадьевна",ナターリャ・G・ニキティナ
Ильсия Бадретдинова,イルシヤ・バドレディノワ
Ирина Владимировна Бразговка,イリーナ・ブラズゴフカ
Егор Юрьевич Базин,エゴール・バジン
Софья Геннадьевна Евдокимова,ソフィヤ・エフドキモワ
"Аванесян, Давид Гаврушевич",ダヴィド・アバネシヤン
Ватутин Алексей Дмитриевич,アレクセイ・ヴァトゥーチン
Юлдус Бахтиозина,ユルドゥス・バハショージナ
Вадим Геннадьевич Еремеев,ヴァディム・ゲンナディエヴィッチ・エレメーエフ
Лев Либерман,レフ・リーベルマン
Юлиан Львович Шварцбрейм,ユリアン・リヴォウヴィッチ・シュヴァルツブレイム
"Рахимова, Диана Фидаевна",ディアナ・ラヒモワ
Рамиль Абдулахатович Сабитов,ラミール・サビトフ
"Иванов, Игорь Владимирович",イーゴリ・イヴァノフ
Виктор Николаевич Орлов,ヴィクトル・オルロフ
Анастасия Ильинична Скопцова,アナスタシヤ・スコプツォワ
Кирилл Павлович Алёшин,キリル・アリョーシン
Lind Erebros,ミハイル・コスタレフ
Вячеслав Юрьевич Чепурченко,ヴィヤシュスラフ・チェルツィチェンコ
Соня Белоусова,ソーニャ・ベロウソーヴァ
"Анисимов, Леонид Иванович",レオニード・アニシモフ
Анна Витальевна Башта,アンナ・バシタ
Риналь Мухаметов,リナール・ムハメトモフ
"Осипов, Игорь Владимирович",イゴール・オシポフ
"Ярцев, Денис Николаевич",デニス・ヤルツェフ
"Непряева, Наталья Михайловна",ナタリア・ネプリャエワ
Татьяна Митюшина,ターニャ・ミティシナ
Екатерина Семенчук,ジェカテリーナ・セグチク
Игорь Валентинович Коробов,イーゴリ・コロボフ
Кирилл Николаевич Шамалов,キリル・シャマロフ
"Бабинцева, Александра Ивановна",アレクサンドラ・バビンツェワ
Михаил Семёнович Сергеев,ミハイル・セルゲーエフ
Геннадий Бирюков,ゲンナージー・ひ
"Исаев, Юрий Николаевич",ユーリー・イサエフ
Роман Владимирович Старовойт,ローマン・スタロヴォイト
Роман Сергеевич Жданов,ロマン・ジダーノフ
"Зайнуллина, Марта Альфредовна",マルタ・ザイヌリナ
"Елфутина, Стефания Александровна",ステファニヤ・エルフチナ
Наталья Николаевна Жданова,ナタリア・ジダーノワ
"Камбиев, Аслан Русланович",アスラン・カンビエフ
Гаэль Ондуа,ガエル・オンドゥア
"Золотов, Юрий Константинович",ユーリイ・ゾロトフ
"Фомина, Акулина Павловна",アクリーナ・フォミナ
Максим Каибханович Дадашев,マキシム・ダダシェフ
Анна Блинкова,アンナ・ブリンコワ
"Хорошавцева, Ольга Николаевна",オルガ・ホロシャフツェワ
Гордей Колесов,ゴーディー・コレソフ
"Билалов, Нияз Алмазович",ニヤス・ビラロフ
"Биричев, Иван Иванович",イヴァン・ビリチェフ
Мурад Османн,ムラッド・オスマン
Вячеслав Зелимханович Битаров,ヴィアチェスラフ・ヴィタロフ
Алина Владимировна Устимкина,アリーナ・ウスティムキナ
"Володин, Никита Андреевич",ニキータ・ボロディン
Кирилл Дмитриевич Нагиев,キリル・ナギーエフ
Ольга Николаевна Бирюкова,オリガ・ビリュコワ
Софья Андреевна Жук,ソフィア・ジューク
"Строк, Феликс Николаевич",フェリックス・ストローク
"Урсуляк, Дарья Сергеевна",ダリヤ・ウルスリヤク
"Хатаев, Имам Абдулаевич",イマム・ハタエフ
Даша Чаруша,ダーシャ・チャルーシャ
"Мустафаев, Магомед Мустафаевич",マゴメド・ムスタファエフ
Алиса Вокс,アリサ・ヴォックス
"Межецкая, Дарья Евгеньевна",ダリア・メジェツカヤ
Александр Александрович Коврижных,アレクサンドル・コヴリジニフ
"Левников, Кирилл Николаевич",キリル・レブニコフ
"Семёнов, Сергей Викторович",セルゲイ・セミョノフ
"Абакарова, Патимат Серажутдиновна",パティマト・アバカロワ
Алексей Алексеевич Петрухин,アレクセイ・ペトルキン
"Кагирова, Патимат Мухтаровна",パティマット・カギロワ
"Русакова, Дарья Николаевна",ダシャ・ルサコバ
Мурат Гассиев,ムラト・ガシエフ
Юрий Александрович Борисов,ユーリー・ボリソフ
Ксения Добрынина,クセニア・ドブリニナ
Зиничев Евгений Николаевич,エフゲニー・ジニチェフ
Никита Владиленович Ермолаев,ニキータ・エルモラーエフ
"Мизинцев, Михаил Евгеньевич",ミハイル・ミジンツェフ
Даша Ростова,ダシャ・ロストワ
Николай Игоревич Рыбаков,ニコライ・ルイバコフ
Анастасия Андреевна Шпилевая,アナスタシヤ・シュピレワヤ
Григорий Сергеевич Смирнов,グリコリー・スミルノフ
Дмитрий Игоревич Шишкин,ドミトリー・シシキン
"Прокопьев, Сергей Валерьевич",セルゲイ・プロコピエフ
"Коротков, Сергей Сергеевич",セルゲイ・コロトコフ
"Рашидов, Гаджимурад Газиганович",ガジムラト・ラシドフ
"Герасимова, Наталья Владимировна",ナタリア・ゲラシモヴナ
Геннадий Константинович Черкасов,ゲンナジー・チェルカーソフ
"Шляпников, Сергей Константинович",セルゲイ・シリャプニコフ
Владислав Игоревич Мирзоев,ウラジスラフ・ミルゾエフ
Анастасия Викторовна Мишина,アナスタシヤ・ミーシナ
Вита Сидоркина,ヴィタ・シドルキナ
"Ефременкова, Екатерина Олеговна",エカテリーナ・エフレメンコワ
Валентин Юрьевич Катасонов,ヴァレンティン・カタソノフ
Дмитрий Владимирович Овсянников,ドミトリー・オフシアンニコフ
Дмитрий Юрьевич Миронов,ドミートリー・ミロノフ
Игорь Владимирович Васильев,イーゴリ・バシリエフ
Джоэль Боломбой,ジョエル・ボロンボーイ
"Клюка, Егор Васильевич",イーゴリ・クリウカ
Тамерлан Башаев,タメルラン・バシャエフ
Павел Сиваков,パヴェル・シヴァコフ
"Дмитриев, Юрий Алексеевич",ユーリー・ドミトリエフ
Дмитрий Викторович Квасов,デミトリ・クヴァソフ
Эмилия Эдгардовна Слабунова,エミーリア・スラブノワ
Иван Викторович Вагнер,イワン・ワグネル
"Евсеева, Елена Юрьевна",エレーナ・エフセーエワ
Виталина Бацарашкина,ビタリナ・バツァラシュキナ
Вадим Капустин,ワディム・カプースチン
Александр Казимирович Лукашевич,アレクサンドル・ルカシェヴィチ
Забит Магомедшарипов,ザビット・マゴメドシャリポフ
Александр Паль,アレクサンドル・パル
"Касаткина, Наталия Дмитриевна",ナターリヤ・カサトキーナ
Денис Хорошко,デニス・コロシュコ
Даниил Воробьёв,ダニエル・ヴォロビョフ
"Журавлёв, Александр Александрович",アレクサンドル・ジュラフリョフ
Владимир Анатольевич Масленников,ウラジーミル・マスレンニコフ
Сергей Сергеевич Иванов,セルゲイ・イワノフ
Аймани Несиевна Кадырова,アイマニ・カディロワ
Степан Курьянов,ステパン・クリヤノフ
"Тетюхин, Владислав Валентинович",ヴラディスラフ・テチューヒン
"Небиеридзе, Вахтанг Кахаберович",ヴァクタン・ネビエリッツェ
"Малыгина, Дарья Николаевна",ダリア・マリギナ
Дмитрий Страхов,ディミトリー・ストラコフ
Сергей Андреевич Куваев,セルゲイ・クワエフ
"Афанасьева, Клавдия Юрьевна",クラヴディヤ・アファナシェヴァ
"Родченков, Григорий Михайлович",グリゴリー・ロドチェンコフ
Кристиан Костов,クリスティヤン・コストフ
"Пригода, Кирилл Геннадьевич",キリル・プリゴダ
"Хорохорина, Наталья Николаевна",ナタリア・コロホリナ
Екатерина Александрова,エカテリーナ・アレクサンドロワ
"Кудашова, Татьяна Алексеевна",タチアナ・ミニーナ
"Абросимова, Анастасия Александровна",アナスタシア・アブロシモワ
"Прокудин, Павел Николаевич",パーヴェル・プロクジン
Дмитрий Евгеньевич Попко,ドミトリー・ポプコ
Александр Бублик,アレクサンダー・ブブリク
"Дианская, Наталья Евгеньевна",ナタリア・ディアンスカヤ
Ильяс Магомед-Саламович Умаханов,イリヤス・ウマハノフ
"Бирюков, Кирилл Владимирович",キリル・ビリュコフ
"Енина, Екатерина Андреевна",エカテリーナ・エニナ
"Каблукова, Ксения Юрьевна",クセニア・カブルコワ
Андрей Николаевич Бабкин,アンドレイ・バブキン
Олег Васильевич Матыцин,オレグ・マティツィン
Рада Никитична Аджубей,ラーダ・フルシチョワ
"Пономаренко, Маргарита Г.",マルガリータ・ゲナジーエフナ・ポノマリェンコ
Илья Беляков,イリヤ・ベリャコフ
Никита Мазепин,ニキータ・マゼピン
Андрей Андреевич Мостовой,アンドレイ・モストヴォイ
"Кочнева, Ольга Александровна",オルガ・コチネワ
Кирилл Акопович Григорьян,キリル・グリゴリャン
"Казелин, Михаил Сергеевич",ミハイル・カゼリン
Клаудиньо,クラウジオ・ルイス・ホドリゲス・パリシ・レオネウ
Владислав Поляшов,ウラジスラフ・ポリャショフ
Роман Андреевич Савосин,ロマン・サヴォシン
Илья Викторович Найшуллер,イリヤ・ナイシュラー
"Марголин, Аркадий Давидович",アルカジー・マルゴリン
"Магун, Артемий Владимирович",アルテミー・マグーン
Гунсын Аюшеевна Цыденова,グンスィン・ツィデノヴァ
Елизавета Игоревна Нугуманова,エリザベータ・ヌグマノワ
Пётр Петров,ピーター・ペトロフ
Абубакар Магомедович Нурмагомедов,アブバカル・ヌルマゴメドフ
Елена Летучая,エレナ・レットチャヤ
"Гамалей, Юрий Всеволодович",ユーリー・ガマリー
Татьяна Николаевна Журавлёва,タチアナ・ニコラエヴナ・ジュラヴリョーワ
"Самсонова, Людмила Дмитриевна",リュドミーラ・サムソーノワ
Ольга Владимировна Скабеева,オルガ・スカベーワ
Николай Терентьевич Шамалов,ニコライ・シャマロフ
"Саидов, Ибрагим Магомедсаидович",イブラヒム・サイダウ
Роман Александрович Репилов,ロマン・レピロフ
Александра Владимировна Шевченко,アレクサンドラ・シェフチェンコ
Анастасия Дмитриевна Хромова,アナスタシヤ・クロモワ
Юлия Щетинина,ユリア・シェチニン
Капитал Бра,キャピタル・ブラ
Дмитрий Александрович Волков,ドミトリー・ボルコフ
"Евлоев, Муса Гиланиевич",ムサ・エフロエフ
Ольга Юрьевна Васильева,オリガ・ヴァシリエワ
Андрей Сергеевич Эрст,アンドレイ・セルゲーヴィチ・エルスト
Аркадий Голубович,アルカディー・ゴルボヴィッチ
Ирина Сазонова,イリナ・サゾノワ
Сергей Валерьевич Лавыгин,セルゲイ・ラヴィギン
Алексей Вячеславович Тимофеев,アレクセイ・ティモフェイエフ
Олег Яковлевич Фандера,オレグ・ファンデラ
Валентин Молдавский,ワレンティン・モルダフスキー
Антон Андреевич Миранчук,アントン・ミランチュク
"Соколов, Дмитрий Георгиевич",ドミトリー・ソコロフ
Ульяна Юрьевна Васильева,ウリヤナ・ワシリエワ
Галина Петровна Арсенькина,ガリナ・アルセンキナ
Юлия Портунова,ユリア・ポルトゥノワ
Юлия Викторовна Чемоданова,ユリア・グジエワ
Екатерина Шульман,エカテリーナ・シュルマン
Игорь Исаакович Богуславский,イーゴリ・ボグスラフスキー
Роман Галай,ロマン・ガライ
Александр Александрович Кондаков,アレクサンドル・コンダコフ
Сергей Владимирович Кудь-Сверчков,セルゲイ・クド＝スヴェルチコフ
Сергей Иванович Фургал,セルゲイ・フルガル
Наталия Валерьевна Филёва,ナタリア・フィリョワ
Анастасия Потапова,アナスタシア・ポタポワ
Денис Сергеевич Спицов,デニス・スピツォフ
Иван Андреевич Якимушкин,イワン・ヤキムシュキン
"Шевяков, Дмитрий Алексееивич",ドミトリー・シェフヤコフ
Михаил Сергеевич Шеремет,ミハイル・シェレメト
Сергей Владимирович Широбоков,セルゲイ・シロボコフ
"Чернецова, Наталья Борисовна",ナタリア・チェルネツォワ
Сиенна Новиков,シエナ・ノヴィコフ
Александра Австрийская,アレキサンドラ・アフストリスカヤ
Сергей Александрович Куликов,セルゲイ・クリコフ
"Шульгинов, Николай Григорьевич",ニコライ・シュルギノフ
Заур Угуев,ザブル・ウグエフ
Артём Зуб,アルチョム・ズブ
Рудольф Шуман,ルドルフ・シューマン
Артур Фаридович Али,アートゥア・アリ
"Попов, Иван Владимирович (борец)",イヴァン・ポポフ
Заурбек Казбекович Сидаков,ザウルベク・シダコフ
Катерина Гордеева,カテリーナ・ゴルデーワ
Павел Юрьевич Каныгин,パーヴェル・カニーギン
Алина Ильназовна Загитова,アリーナ・ザギトワ
Евгений Коберняк,エフゲニー・コベルニアク
Анастасия Губанова,アナスタシヤ・グバノワ
"Ливанова, Марина Валерьевна",マリナ・リバノバ
Джина Джерсон,ジーナ・ガーソン
"Шейкин, Юрий Ильич",ユリ・シェイキン
Ирина Старшенбаум,イリーナ・スタルシェンバウム
Илья Валерьевич Скирда,イリヤ・スキルダ
Анна Станиславовна Щербакова,アンナ・シェルバコワ
"Емелин, Сергей Александрович",セルゲイ・エメリン
Георгий Александрович Рубчинский,ゴーシャ・ラブチンスキー
Алексей Самбуевич Цыденов,アレクセイ・ツィデノフ
"Булычёва, Александра Константиновна",アレクサンドラ・ブリチェバ
"Сулейманов, Магомед-Шапи Камильевич",スレイマノフ
Максим Геннадьевич Решетников,マクシム・レシェートニコフ
Софья Самодурова,ソフィア・サモドゥロワ
Роберт Михайлович Шварцман,ロバート・シュワルツマン
Артём Лобов,アルテム・ロボフ
"Алискеров, Икрам Сабирович",イクラム・アリスケロフ
Александр Николаевич Тараньжин,アレクサンドル・タランジン
Александр Александрович Большунов,アレクサンドル・ボルシュノフ
"Лукашик, Александр Петрович",アレクサンドル・ルカシック
Алсу Ренатовна Абдуллина,アルス・アブドゥリナ
Татьяна Данилова,タチアナ・ダニロワ
Виктор Александрович Глухов,ビクトル・グルホフ
Юрий Абрамович Волож,ユーリー・ヴォロジ
Анна Сергеевна Самойлик,アンナ・ヴェネフツェワ
Алла Георгиевна Соленкова,アラ・ソレンコワ
Александр Викторович Моор,アレクサンドル・ムール
"Ильичёв, Пётр Викторович",ピョートル・イリイチョフ
Игорь Игоревич Ефимчук,イゴール・エフィムチュク
Станислава Константинова,スタニスラワ・コンスタンチノワ
Пётр Рикунов,ペトル・リクノフ
Магомед Рамазанович Курбанов,マゴメド・クルバノフ
Кирилл Константинович Мартынов,キリル・マルティノフ
Матвей Евгеньевич Сафонов,マトヴェイ・サフォノフ
Николай Сергеевич Потапов,ニコライ・ポタポフ
Николай Силис,ニコライ・シリス
Анастасия Янькова,アナスタシア・ヤンコヴァ
Людмила Павловна Осипова,リュドミーラ・オシポワ
Кантемир Балагов,カンテミール・バラゴフ
Анастасия Безрукова,アナスタシア・ベズルコワ
Любовь Павловна Аксёнова,ルボフ・アクショノーヴァ
Вера Константиновна Панфилова,ベラ・パンフィロワ
Александр Сергеевич Соболев,アレクサンドル・ソボレフ
Клим Алексеевич Шипенко,クリム・シペンコ
"Винс, Пётр Петрович",ピョートル・ヴィンス
Александра Игоревна Бойкова,アレクサンドラ・ボイコワ
Дмитрий Эдуардович Козловский,ドミトリー・コズロフスキー
Митя Алешковский,ミーチャ・アレシュコフスキー
Валерия Шкирандо,バレリア・シュキランド
"Храмцов, Максим Сергеевич",マクシム・フラムトコフ
Анастасия Квитко,アナスタシア・クビトコ
Юлия Владимировна Каплина,ユリヤ・カプリナ
"Мишура, Егор Юрьевич",エーゴル・ミシュラ
Арцвик Бориковна Арутюнян,アルツヴィク
Константин Витальевич Кучаев,コンスタンティン・クチャエフ
Роман Алексеевич Евгеньев,ロマン・エフゲニエフ
Коцоев Зелим,ゼリム・コツォイエフ
Александр Александрович Евстифеев,アレクサンドル・エブスティフェエフ
Александр Власов,アレクサンドル・ヴラソフ
Азамат Хайролавич Нигманов,アザマット・ニグマノフ
Дмитрий Гирев,ドミトリー・ギレフ
"Аскаров, Аскар Сайпулаевич",アスカル・アスカロフ
Кристина Грикайте,クリス・グリカイテ
"Гаджимагомедов, Муслим Гамзатович",ムスリム・ガジマゴメドフ
"Харатян, Владимир Самвелович",ウラジーミル・ハラトヤン
"Устинов, Евгений Алексеевич",エフゲニー・ウスチノフ
Андрей Михайлович Ефимов,アンドレイ・エフィモフ
"Танков, Никита Вячеславович",タンコフ
Диана Сергеевна Дэвис,ダイアナ・デイビス
Алексей Александрович Николаев,アレクセイ・ニコラーエフ
Анастасия Тараканова,アナスタシア・タラカノワ
Александра Трусова,アレクサンドラ・トゥルソワ
Анастасия Дмитриевна Гулякова,アナスタシア・グリャコワ
Эльвира Ревовна Ткаченко,エルビラ・バルバシナ
Герман Онугха,ジャルマン・オナカ
Манижа,マニジャ
Артем Аншелес,アルテム・アンシェレス
Семён Николаевич Серзин,セミョーン・セルジン
Фёдор Николаевич Чалов,フョードル・チャロフ
Тимур Абдурашитович Жамалетдинов,ティムール・ジャマレトディノフ
Антон Андреевич Алиханов,アントン・アリファノフ
"Бирюков, Юрий Евгеньевич (артист цирка)",ユーリイ・ビリュコフ
Денис Евгеньевич Макаров,デニス・マカロフ
Нух Асланчериевич Берзегов,ヌフ・ベルゼゴフ
Леонид Борисович Марголин,レオニード・マルゴリン
Наталия Владимировна Весельницкая,ナタリア・ベセルニツカヤ
"Селиванова, Ольга Владимировна",オルガ・セリヴァノワ
Игорь Александрович Шаповалов,イーゴリ・シャポヴァロフ
"Колесников, Климент Андреевич",クリメント・コレスニコフ
Александр Иратов,アレクサンドル・イラトフ
"Далалоян, Артур Грачьевич",アルトゥール・ダラロヤン
"Хубецов, Алан Джемалович",アラン・フベツォフ
"Ланкин, Дмитрий Сергеевич",ドミトリー・ランキン
"Мшвидобадзе, Роберт Николаевич",ロベルト・ムシビドバゼ
Полина Пушкарук,ポリーナ・プシュカルク
Ангелина Данилова,Angelina Danilova
"Стояновский, Олег Владиславович",オレク・ストヤノフスキー
Софья Антоновна Шевченко,ソフィア・シェフチェンコ
Игорь Владимирович Ерёменко,イゴール・エレメンコ
Анна Шпынёва,アンナ・シュピネワ
Антон Викторович Клыков,アントン・クリコフ
Екатерина Дмитриевна Александровская,エカテリーナ・アレクサンドロフスカヤ
Фархад Фаткуллин,ファルハド・ファツクリン
Гусейн Гасанов,フセイン・ハサノフ
"Глазков, Никита Юрьевич",ニキータ・グラスコフ
Денис Кензо,デニス・ケンゾー
"Кайгородов, Дмитрий Вениаминович",ディミトリー・カイゴロドフ
"Пономарёв, Сергей Станиславович",セルゲイ・ポノマリョフ
Александр Александрович Крушельницкий,アレクサンドル・クルシェリニツキー
Анастасия Константиновна Брызгалова,アナスタシア・ブリズガロワ
Георгий Валентинович Албуров,ゲオルギー・アルブロフ
Владимир Ярошенко,ウラジーミル・ヤロシェンコ
Анна Зак,アンナ・ザック
Станислав Васильевич Тютюкин,スタニスラフ・チュチュキン
Алиса Вадимовна Лозко,アリサ・ロスコ
"Астахов, Сергей Никитич",セルゲイ・ニキティッチ・アスタホフ
"Сердюков, Андрей Николаевич",アンドレイ・セルジュコフ
Александр Викторович Гусев,アレキサンドル・ヴィクトロヴィッチ・グセフ
Алёна Сергеевна Косторная,アリョーナ・コストルナヤ
Александр Александрович Авдеев,アレクサンドル・アヴデエフ
Мария Петрова,マリア・ペトロワ
Олег Ицхоки,オレグ・イツコキ
Юрий Евгеньевич Бирюков,ユーリイ・ビリュコフ
"Емельянова, Нина Петровна",ニーナ・エメリャノワ
Даниил Олегович Горячев,ダニイル・ゴリアチェフ
Артём Наильевич Ниязов,アルティム・ニヤゾフ
Вячеслав Николаевич Кузнецов,ヴャチェスラフ・クズネツォフ
Илья Иосифович Пейрос,イリヤ・ペイロス
Дарья Паненкова,ダリア・パネンコワ
Николай Николаевич Подосокорский,ニコライ・ポドソクルスキー
"Артамонов, Михаил Владимирович",ミハイル・アルタモノフ
Виктория Валериевна Абрамченко,ヴィクトリア・アヴラムチェンコ
Екатерина Анатольевна Кузьмина,エカテリーナ・クズミナ
"Андреев, Алексей Викторович",アレックス・アンドレーエフ
Елена Борисовна Окулова,エレナ・エリツィナ
Александр Сергеевич Коровин,アレクサンドル・コロヴィン
Нифонтова Анастасия,アナスタシア・ニフォントヴァ
Настя Ивлеева,ナスティア・イヴレーワ
Виктор Петрович Томенко,ヴィクトル・トメンコ
Илья Кувшинов,イリヤ・クブシノブ
"Ивакова, Мария Игоревна",マリア・イバコワ
Анна Сорокина,アンナ・ソローキン
Стивен Гоголев,スティーブン・ゴゴレフ
Тим Цзю,ティム・チュー
Анна Корнильева,アンナ・コニリエワ
Алиса Борисовна Ефимова,アリサ・エフィモワ
Залим Борисович Шебзухов,ザリム・シェブズクホブ
Ольга Эдуардовна Плетнёва,オルガ・プレトニョーバ
Александр Васильевич Прокопчук,アレクサンドル・プロコプチュク
Юля Шишкина,ユリア・シシュキナ
"Галкина, Алла Олеговна",アーラ・ガルキナ
"Ляхов, Владимир Иванович",ヴラジーミル・リャーホフ
Дарья Дмитриевна Беклемищева,ダリア・ベクレミシェワ
Эдуард Ратмилевич Латыпов,エドゥアルト・ラティポフ
"Шабельникова, Татьяна Павловна",タチアナ・シャベルニコワ
Аглая-Дарья Тарасова,アグラヤ・タラソワ
"Чудова, Татьяна Алексеевна",タチアーナ・チュドヴァ
Ана Данилина,アナ・ダニリーナ
"Кубарев, Эдуард Алексеевич",エドゥアルド・クバレフ
"Котикова, Анна Михайловна",アンナ・コチコワ
Сергей Васильевич Ерёмин,セルゲイ・イェリョミン
"Лозовой, Владимир Демьянович",ウラジーミル・ロゾヴォイ
Александр Александрович Руденко,アレクサンドル・ルデンコ
Леонид Иванович Пасечник,レオニード・パセニク
Калин-оол Сереевич Кужугет,カリンオール・クジュゲト
Александра Баранцева,アレクサンドラ・バランチェワ
"Лазаренко, Ангелина Вадимовна",アンゲリーナ・ラザレンコ
Андрей Викторович Руденко,アンドレイ・ルデンコ
"Ковалёва, Людмила Валентиновна",リュドミラ・コワリョーワ
Сергей Викторович Чеботарев,セルゲイ・チェボタリョフ
"Сперскайте, Ангелина Владовна",アンゲリーナ・スペルスカイテ
Ирина Гуляева,イリーナ・グリエワ
"Зыкова, Юлия Андреевна",ユリア・ズィコワ
Андрей Христофорович Золотарёв,アンドレイ・ゾロタレフ
Олег Александрович Маловичко,オレグ・マロヴィチコ
Владимир Медейко,ウラジーミル・メデイコ
Денис Эдуардович Айрапетян,デニス・アイラペチャン
Иван Смирнов,イヴァン・スミルノフ
"Ениколопов, Рубен Сергеевич",ルーベン・イェニコロポフ
Милена Алексеевна Быкова,ミレナ・ブイコワ
Николай Николаевич Сторонский,ニコライ・ストロンスキー
Мария Валерьевна Бутина,マリア・ブティナ
Павел Олегович Табаков,パーヴェル・タバコフ
Дарья Витальевна Пынзарь,ダリア・ピンザー
Магомед Анкалаев,マゴメド・アンカラエフ
Артём Аксёненко,アルティム・アクセネンコ
Михаил Юрьевич Щелканов,ミハイル・シェルカノフ
"Галашина, Анастасия Валерьевна",アナスタシア・ガラシナ
"Румянцева, Екатерина Леонидовна",エカテリーナ・ルミャンツェワ
Варвара Грачёва,ヴァーヴァラ・グラチェヴァ
Людмила Трут,リュドミラ・トルート
Дмитрий Уткин,ドミトリー・ウトキン
"Асапов, Валерий Григорьевич",アサポフ大佐
"Нестеренко, Иван Михайлович",イヴァン・ネステレンコ
Евгения Германовна Арбугаева,エフゲニア・アルブガエヴァ
"Туйнов, Владислав Владимирович",ヴラド・トゥイノフ
Дмитрий Вадимович Рылов,ドミトリー・リロフ
"Яковлева, Лидия Артёмовна",リディア・イアコブレワ
Юлия Сергеевна Скрипаль,ユリア・スクリパリ
Владимир Поляков,ウラジミール・ポリヤコフ
"Зусько, Михаил Степанович",ミハイル・ズスコ
"Болтенко, Андрей Александрович",アンドレイ・ボレンコ
Максим Алексеевич Акимов,マクシム・アキモフ
"Чуб, Николай Александрович",ニコライ・チュブ
"Петелин, Дмитрий Александрович",ドミトリー・ペテリン
Юлия Олеговна Хлынина,ユリア・クリニーナ
Александр Романович Галлямов,アレクサンドル・ガリャモフ
Ирина Горячева,イリーナ・ゴリヤチェワ
Дмитрий и Наталья Бакшеевы,バクシェーエフ夫妻
Валентин Олегович Коновалов,バレンティン・コノバロフ
Александр Евгеньевич Раевский,アレクサンダー・ラエフスキー
Игорь Олейников,イーゴリ・オレイニコフ
"Цивилёв, Сергей Евгеньевич",セルゲイ・ツィヴィリョフ
"Тасоев, Инал Валикоевич",イナル・タソエフ
Жаныл Асанбекова,ジャニル・アサンベコワ
