Lionel Messi,リオネル・メッシ
Saturno Meletti,サトゥルノ・メレッティ
Amedeo Pace,アメデオ・パーチェ
Simone Pace,シモーネ・パーチェ
Pasquale Maietta,パスクアーレ・マイエッタ
Robert Ragnar Spano,ロバート・スパノ
Andrea Pallaoro,アンドレア・パラオロ
Vincenzo Maltempo,ヴィンチェンツォ・マルテンポ
Achraf Lazaar,アシュラフ・ラザール
Lilian Tintori,リリアン・ティントリ
Davide Serra,ダヴィデ・セッラ
Martina Piemonte,マルチナ・ピエモンテ
Benito Pacifico,ベニート・パシフィコ
Fabrizio Sotti,ファブリッツィオ・ソッティ
Alfredo De Antoni,アルフレード・デ・アントーニ
Olga Benetti,オルガ・ベネッティ
Bruno Piazza,ブルーノ・ピアッツァ
Andrè Schuen,アンドレ・シュエン
Riccardo Castagnone,リッカルド・カスタニョーネ
Alfred Gomis,アルフレッド・ゴミス
Enea Bastianini,エネア・バスティアニーニ
Andrea Peron,アンドレア・ペロン
Andrea Locatelli,アンドレア・ロカテッリ
Giovanni Battista Piccioli,ジョヴァンニ・バッティスタ・ピッチョーリ
Silvio Ranieri,シルヴィオ・ラニエーリ
Carlos Cantatore,カルロス
Alberto Piazza,アルベルト・ピアッツァ
Marco D'Eramo,マルコ・デラーモ
Nazzareno Zamperla,ナッツァレーノ・ザンペルラ
Giorgio Pestelli,ジョルジオ・ペステッリ
Carlo Cottarelli,カルロ・コッタレリ
Anna Galmarini,アンナ・ガルマリーニ
Tami Mauriello,タミー・マウリエロ
Gabriele Rumi,ガブリエーレ・ルミ
Michele Cavion,ミケーレ・カヴィオン
Rosario Borelli,ロザリオ・ボレッリ
Maria Capuana,マリア・カプアーナ
Carolina Moscheni,カロリーナ・モスケーニ
Ulisse Caputo,ウリッセ・カプート
Riccardo Gagliolo,リッカルド・ガリョーロ
Fernando Ghia,フェルナンド・ギア
Giuseppe Chiari,ジュゼッペ・キアリ
Fabio Buzzi,ファビオ・ブッツィ
Francesca Dego,フランチェスカ・デゴ
Alberto Pelagotti,アルベルト・ペラゴッティ
Fabrizio Poli,ファブリツィオ・ポーリ
Franco Morbidelli,フランコ・モルビデリ
Gianluca Castaldi,ジャンルカ・カスタルディ
Aldo Gucci,アルド・グッチ
Franco Scaldati,フランコ・スカルダティ
Andrea Manici,アンドレア・マニチ
Marco Fuser,マルコ・フセール
Leonardo Di Costanzo,レオナルド・ディ・コスタンツォ
Armando Izzo,アルマンド・イッツォ
Pier Ludovico Pavoni,ピエル・ルドヴィコ・パヴォーニ
Paolo Marcellini,パオロ・マルチェッリーニ
Francesco Indovina,フランチェスコ・インディオビナ
Claudio Noce,クラウディオ・ノーチェ
Franco Pistoni,フランコ・ピストニ
Paola Nugnes,パオラ・ヌグネス
Chiara Rapaccini,キアラ・ラパッチーニ
Corrado,コッラード
Corrado Zoli,コラド・ゾリ
Antonio Fuoco,アントニオ・フォッコ
Federico Ricca,フェデリコ・リッカ
Federico Mattiello,フェデリコ・マッティエッロ
Giampaolo Letta,ジャンパオロ・レッタ
Davide Martinelli,ダヴィデ・マルティネッリ
Mirko Gori,ミルコ・ゴーリ
Ruggero Bonomi,ルッジェーロ・ボノミ
Costantino Catena,コスタンティーノ・カテーナ
Niccolò Bonifazio,ニコロ・ボニファツィーノ
Salvatore Cantalupo,サルヴァトーレ・カンタルーポ
Violetta Zironi,ヴィオレッタ・ズィローニ
Alessandro Latif,アレサンドロ・ラティフ
Andrea Migno,アンドレア・ミニョ
Renzo Pevarello,レンゾ・ペヴァレッロ
Filippo Ambrosini,フィリッポ・アンブロジーニ
Liam Bertazzo,リアム・ベルタッツォ
Daniele Porcu,ダニエラ・ポルク
Simone Giannelli,シモーネ・ジャネッリ
Violetta Gragnani,ヴィオレッタ・グラニャーニ
Piero Bortoletto,ピエロ・ボルトレット
Maria Oliva Bonaldo,Maria Oliva Bonaldo
Pippo Campanini,ピッポ・カンパニーニ
David Mancori,ダヴィド・マンコーリ
Dario Betti,ダリオ・ベッティ
Giambattista Busi,ジャンバティスタ・ブージ
Dedi Ristori,デディ・リストーリ
Riccardo Bertagnon,リッカルド・ベルタニョン
Valerio Conti,ヴァレリオ・コンティ
Giorgio Montanini,ジョルジョ・モンタニーニ
Giordano Gambogi,ジョルダーノ・ガンボージ
Michele Scartezzini,ミケーレ・スカルテッツィーニ
Claudio Fortuna,クラウディオ・フォルトゥーナ
Giuseppe Bugatti,ジュゼッペ・ブガッティ
Maurizio Carta,マウリツィオ・カルタ
Pino van Lamsweerde,ピノ・ヴァン・ラムスヴェルデ
Vincenzo Piazza,ヴィンチェンツォ・ピアッツァ
Carlo Bussotti,カルロ・ブゾッティ
Lorenzo Alaimo,ロレンツォ・アライモ
Edoardo Lualdi Gabardi,エドアルド・ルアルディ・ガバルディ
Michelangelo La Neve,ミケランジェロ・ラ・ネーヴェ
Marco Mazzieri,マルコ・マッツィエーリ
Bruno Lazzaretti,ブルーノ・ラッツァレッティ
Giovanni De Carolis,ジョバンニ・デ・カロリス
Emily De Cesare,エミリー・デ・チェーザレ
Maurizio Mariani,マウリツィオ・マリアーニ
Claudio Brizi,クラウディオ・ブリッツィ
Francesco Cera,フランチェスコ・チェーラ
Beatrice Gelmini,ベアトリーチェ・ジェルミーニ
Federico Gaio,フェデリコ・ガイオ
Giovanni Meoni,ジョヴァンニ・メオーニ
Claudio Nocera,クラウディオ・ノチェーラ
Giulio Maculani,ジュリオ・マクラニ
Paolo Mannucci,パオロ・マヌッチ
Augusto Marcaletti,オーギュスト・マルカレッティ
Armando Ravaglioli,アルマンド・ラヴァリオーリ
Alberto Contini,アルベルト・コンティーニ
Elisabetta Sgarbi,エリザベッタ・スガルビー
Alex Ferrari,アレックス・フェラーリ
Antonia Romagnoli,アントーニア・ロマニョーリ
Francesco Sondelli,フランチェスコ・ソンデーリ
Onofrio Tomaselli,オノフリオ・トマゼッリ
Parker Luciani,パーカー・ルチアーニ
Jacopo Pesaro,ヤコポ・ペーザロ
Italo Oxilia,イタロ・オクシリア
Giuseppe Cipriani,ジュゼッペ・チプリアーニ
Ettore Maria Mazzola,エトーレ・マリア・マッツォーラ
Enzo Romagnoli,エンツォ・ロマニョーリ
Giuseppe Moccagatta,ジュゼッペ・モッカガッタ
Evar Maran,エヴァル・マラン
Ermete Tamberlani,エルメテ・タンバーラーニ
Manrico Ronchiato,マンリコ・ロンキアート
Maria Pia Timo,マリア・ピア・ティモ
Mario Zanasi,マリオ・ザナージ
Laura Di Toma,ラウラ・ディ・トーマ
Aldo Bertocco,アルド・ベルトッコ
Giuseppe Campos Venuti,カンポス・ヴェヌーティ
Giuseppe Migone,ジュゼッペ・ミゴーネ
Giovanni Viel,ジョバンニ・ビール
Fabrizio Sarazani,ファブリツィオ・サラザーニ
Yuri Buzzi,ユーリ・バジー
Stefano Merlino,ステファノ・メルリーノ
Marco Mattiacci,マルコ・マティアッチ
Diego Rossi,ディエゴ・ロッシ
Oriana Sabatini,オリアナ・サバティーニ
Federico Bonazzoli,フェデリコ・ボナッツォーリ
Caterina Chinnici,カテリーナ・キンニーチ
Helena Janeczek,ヘレナ・ヤネチェック
Jonathan Calleri,ホナタン・カジェリ
Nicola Giuliano,ニコラ・ジュリアーノ
Federico Gorio,フェデリコ・ゴリオ
Mattia Monticone,マティア・モンティコーネ
Pietro Beretta,ピエトロ・ベレッタ
Cristina Bugatty,クリスティーナ・ブガッティ
Filippo Milone,フィリッポ・ミローネ
Manlio Stabilini,マンリオ・スタビリーニ
Domenico Saccardo,ドメニコ・サッカルド
Donato Rotunno,ドネート・ロテュンノ
Franco Acampora,フランコ・アカンポラ
Giorgio Agnelli,ジョルジョ・アニェッリ
Alfonso Camillo De Romanis,アルフォンソ・カミッロ・デ・ロマニス
Eugene Scalia,ユージーン・スカリア
Jacopo Quadri,ヤーコポ・クアドリ
Isabella Cocuzza,イザベラ・コクッツァ
Pietro Saraceno,ピエトロ・サラチェーノ
Stefano Saccotelli,ステファノ・サッコテッリ
Bruno Pellegrino,ブルーノ・ペジェグリーノ
Sandro Sequi,サンドロ・セクイ
Myriam Sylla,ミリアム・シッラ
Italo Bandini,イターロ・バンディーニ
Laura Melandri,ラウラ・メランドリ
Kiara Laetitia,キアラ
Leo Catozzo,レオ・カトッツォ
Matilda Lutz,マチルダ・ルッツ
Lino Coletta,リノ・コレッタ
Alberto Brignoli,アルベルト・ブリニョーリ
Alberto Samonà,アルベルト・サモナー
Lidia Vitale,リディア・ヴィターレ
Tommaso Giulini,トンマーゾ・ジュリーニ
Giuseppina Macrì,ジュゼッピーナ・マクリ
Renato Navarrini,レナト・ナヴァリーニ
Sara Bonifacio,サラ・ボニファーチョ
Riccardo Gusmaroli,リカルド・グスマローリ
Rita Rabassini,リタ・ラバシニ
Antonio Tiberio,アントニオ・ティベリオ
Riccardo Tornabuoni,リッカルド・トルナブオーニ
Carlo Tavecchio,カルロ・タヴェッキオ
Alberto Caprioli,アルベルト・カプリオリ
Lisetta Carmi,リゼッタ・カルミ
Lucia Danieli,ルチア・ダニエリ
Augusto Sagnotti,アウグスト・サニョッティ
Lilia d'Albore,リリア・ダルボーレ
Santi Pulvirenti,サンティ・プルヴィレンティ
Luca Rizzo,ルカ・リッツォ
Luigi Dodi,ルイジ・ドディ
Sara Ferranti,サラ・フェランティ
Vincenzo Cantiello,ビンセンゾ・カンティエロ
Giacomo Berlato,ジャコモ・ベルラート
Lucilla Caporilli Ferro,ルチッラ・カポリッリ・フェッロ
Salvatore Caruso,サルヴァトーレ・カルーゾ
Rosetta Noli,ロゼッタ・ノーリ
Rossana,ロッサーナ
Piero Messina,ピエロ・メッシーナ
Enrico Agostino Griffini,エンリコ・アゴスティーノ・グリフィーニ
Francesco Spinelli,フランチェスコ・スピネッリ
Domenico Enrici,ドミニコ・エンリッチ
Belisario Mattera,ベリザリオ・マッテラ
Mario Cagna,マリオ・カーニャ
Elly Schlein,エリー・シュライン
Jakub Mareczko,ヤクブ・マレチュコ
Leonardo Morosini,レオナルド・モロジーニ
Antonio Barreca,アントニオ・バッレーカ
Salvatore Garau,サルヴァトーレ・ガラウ
Fabio Maresca,ファビオ・マレスカ
Paolo Faragò,パオロ・ファラゴ
Sarti,サルティ
Luigi Federico Signorini,ルイージ・フェデリコ・シニョリーニ
CutiePieMarzia,マルツィア・ビスゴンニン
Pierluigi Gollini,ピエルルイジ・ゴッリーニ
Maurizio Mediani,マウリシオ・メディアーニ
Eleonora Forenza,エレオノラ・フォルネンザ
Marcello Rodinò,マルチェロ・ロディノ
Oliviero Fabiani,オリヴィエロ・ファビアーニ
Alessandra Cernuschi,アレッサンドラ・チェルヌースキ
Antonio Terranova,アントニオ・テッラノヴァ
Giulia Moi,ジュリア・モイ
Matteo Ferro,マッテオ・フェッロ
Paolo Monti,パオロ・モンティ
Lisa Boattin,リーザ・ボアッティン
Francesca Durante,フランチェスカ・ドゥランテ
Stefano Graziano,ステファノ・グラツィアーノ
Marco Di Bello,マルコ・ディ・ベロ
Alessandro Rugnone,アレッサンドロ・ルグノーネ
Sidy Diop,シディ・ディオップ
Martín Mantovani,マルティン・マントヴァーニ
Mattia Caldara,マッティア・カルダーラ
Cristina Scuccia,クリスティーナ・スクッチャ
Giuseppe Sala,ジュゼッペ・サーラ
Sydney Sibilia,シドニー・シビリア
Marco Stefanelli,マルコ・ステファネッリ
Mario De Cesare,マリオ・デ・チェーザレ
Mario Donnini,マリオ・ドンニーニ
Salvatore Cuomo,サルヴァトーレ・クオモ
Alberto Colla,アルベルト・コッラ
Antonio Giacobbe,アントニオ・ジャコッベ
Alessandra Giungi,アレッサンドラ・ジュンジ
Carlo Bestetti,カルロ・ベステッティ
Claudio Gizzi,クラウディ・ジッツィ
Gianni Moscon,ジャンニ・モスコン
Teodoro Corrà,テオドロ・コラ
Sofia Bonistalli,ソフィア・ボニスタッリ
Tomaso Montanari,トマーゾ・モンタナリ
Tommaso Dotti,トンマーゾ・ドッティ
Lorenzo Rota,ロレンツォ・ロータ
Massimo Ferrero,マッシモ・フェレロ
Ottavio Cabiati,オッタビオ・カビアッチ
Giada Russo,ジャダ・ルッソ
Giorgia Farina,ジョルジア・ファリーナ
Ada Mauro,アダ・マウロ
Nuage,ヌアージュ
Mario Greco,マリオ・グレコ
Giuseppe Cavo Dragone,ジュゼッペ・カーボ・ドラゴーネ
Manuela Giugliano,マヌエラ・ジュリアーノ
Giulio Bisegni,ジュリオ・ビゼーニ
Diodato,ディオダート
Piergiuseppe Perazzini,ピエルジュゼッペ・ペラッツィーニ
Luigi Bazzi,ルイジ・バッツィ
Valentina Cernoia,ヴァレンティーナ・チェルノーイア
Edoardo Goldaniga,エドアルド・ゴルダニガ
Francesco Fornabaio,フランチェスコ・フォーナバオ
Ivan Provedel,イヴァン・プロヴェデル
Valentina Bergamaschi,ヴァレンティーナ・ベルガマスキ
Andrea Bolognini,アンドレア・ボロニーニ
Luigi Faccio,ルイージ・ファッチョ
Giuseppe Biagi,ジュゼッペ・ビアージ
Annamaria Serturini,アンナマリア・セルトゥリーニ
Gaetano Comelli,ガエタノ・コメリ
Ennio Gerelli,エンニオ・ジェレッリ
Antonio Giacometti,アントニオ・ジャコメッティ
Matteo Rizzo,マッテオ・リッツォ
Beatrice Parrocchiale,ベアトリーチェ・パロッキアーレ
Salvatore Puntillo,サルヴァトーレ・プンティロ
Diamante Crispino,ディアマンテ・クリスピーノ
Emilio Bestetti,エミーリオ・ベステッティ
Alberto Cirio,アルベルト・チリオ
Monica Matano,モニカ・マタノ
Marco Zanni,マルコ・ザンニ
Marco D'Amore,マルコ・ダモール
Emil Audero,エミル・アウデロ
Enrico Garozzo,エンリーコ・ガロッツォ
Federico Serraiocco,フェデリコ・セッライオッコ
Wanda Luzzato,ワンダ・ルッザート
Valentina Bonariva,ヴァレンティーナ・ボナリヴァ
Giuseppe De André,ジュゼッペ・デ・アンドレ
Guido Maria Guida,グイド・マリア・グイダ
Giovanni Battista Mercati,ジョヴァンニ・バティスタ・メルカティ
Andrea Fulignati,アンドレア・フリグナティ
Alberto Grassi,アルベルト・グラッシ
Andrea Zanni,アンドレア・ツァンニ
Andrea Battistoni,アンドレア・バッティストーニ
Lorenzo Bertelli,ロレンツォ・ベルテッリ
Carlo Biotti,カルロ・ビオッティ
Roberto Marcora,ロベルト・マルコーラ
Alessandro Besentini,アレッサンドロ・ベセンティーニ
Marco Lazzaroni,マルコ・ラザロニ
Coez,コエズ
Giancarlo Gallarini,ジャンカルロ・ガッラリーニ
Iuri Filosi,イウリィ・フィロージ
Tiziano Pasquali,ティツィアーノ・パスクアーリ
Frankie Grande,フランキー・グランデ
Alberto Pizzo,アルベルト・ピッツォ
Gabriele Pierini,ガブリエーレ・ピエリーニ
Daniele Chiffi,ダニエレ・キッフィ
Giorgio Rosa,ジョルジオ・ローザ
Sara Serraiocco,サラ・セレーオッコ
Corrado Invernizzi,コッラード・インヴェルニッツィ
Elvira Cortese,エルヴィラ・コルテーゼ
Bernardo Secchi,ベルナルド・セッキ
Alfonso Sansone,アルフォンソ・サンソーネ
Emilio Cuccu,エミリオ・クッチュ
Franco Cervi,フランコ・セルビ
Enrico Baldini,エンリコ・バルディーニ
Giannalberto Bendazzi,ジャンアルベルト・ベンダッツィ
Giovanni Buttarelli,ジョヴァンニ・ブタレッリ
Pier Camillo Beccaria,ピア・カミッロ・ベッカリーア
Vincenzo Giacotto,ヴィンチェンツォ・ジャコット
Simona Tabasco,シモーナ・タバスコ
Guglielmo Arena,グリエルモ・アレーナ
Marcella Jeandeau,マルチェッラ・ジャンドー
Terry Gordini,テリー・ゴーディーニ
Riccardo Moratto,リッカルド・モラット
Vittorio Francesco Viola,ヴィットリオ・フランチェスコ・ヴィオラ
Rosino Gibellini,ロジーノ・ジベッリーニ
Fabio Balaso,ファビオ・バラーゾ
Milena Bertolini,ミレーナ・ベルトリーニ
Luigi Berlusconi,ルイージ・ベルルスコーニ
Davide Marsura,ダヴィデ・マルスラ
Franco Gallini,フランコ・ガリーニ
Claudio Cerri,クラウディオ・チェッリ
Antonio Violetta,アントニオ・ヴィオレッタ
Mariapaola Pierini,マリアパオラ・ピエリーニ
Walter Taccone,ワルテル・タッコーネ
Sandro Bracchitta,サンドロ・ブラチッタ
Paco Reconti,パコ・レコンティ
Claudio Guastalla,クラウディオ・グアスタッラ
Alessandro Alunni Bravi,アレッサンドロ・アルニ・ブラビ
Giorgio Starace,ジョルジョ・スタラーチェ
Giovanni Battista Rabino,ジョバンニ・バティスタ・ラビーノ
Ermal Meta,エルマル・メタ
Joe Montemurro,ジョー・モンテムロ
Beatrice Rana,ベアトリーチェ・ラナ
Clara Iannotta,クララ・イアノッタ
Ubaldo Alberto Mellini Ponce de León,ウバルド・アルベルト・メリーニ・ポンセ・デ・レオン
Guerrino Tramonti,グェッリーノ・トラモンティ
Luca Rasca,ルカ・ラスカ
Luca Prina,ルカ・プリナ
Paolo Vivaldi,パオロ・ヴィヴァルディ
Stefano Noferini,ステファノ・ノフェリニ
Giuseppe Fonzi,ジュゼッペ・フォンツィ
Mattia Vitale,マッティア・ヴィターレ
Andrea Iervolino,アンドレア・レルヴォリーノ
Rolando Mandracoca,ロランド・マンドラゴラ
Mario Bacciocchi,マリオ・バッチョッキ
Alice Degradi,アリス・デグラディ
Simone Sterbini,シモーネ・ステルビーニ
Davide Ballerini,ダヴィデ・バッレリーニ
Yervant Gianikian,イェルヴァント・ジャニキアン
Daniele Verde,ダニエレ・ヴェルデ
Silvia Forti Lombroso,シルヴィア・フォルティ・ロンブローゾ
Gaetano Catalano Gonzaga,カタラーノ
Diego de Sterlich Aliprandi,ディエゴ・デ・スターリッヒ
Oriolo Frezzotti,オリオロ・フレッツォッティ
Corrado Boldrini,ボルドリーニ
Romolo Polacchini,ロモロ・ポラッキーニ
Sebastiano Luperto,セバスティアーノ・ルペルト
Alighiero Ceri,アリギエーロ・チェリ
Elena Linari,エレナ・リナーリ
Ila Bêka,アイラ・ベーカ
Gianluca Roda,ジャンルカ・ローダ
Federica Lucisano,フェデリカ・ルチザーノ
Renato Signorini,レナート・シニョリーニ
Simone Andreetta,シモーネ・アンドレッタ
Alessia Piazza,アレッシア・ピアッツァ
Saidy Janko,セイディー・ヤンコ
Danilo Errico,ダニロ・エリコ
Diana Del Bufalo,ディアナ・デル・ブーファロ
Nino Ginex,ニーノ・ジーネックス
Cecilia Zanuso,チェチーリア・ザヌーゾ
Sebastiano Arman,セバスティアノ・アルマン
Maurizio Malvestiti,マウリツィオ・マルヴェスティティ
Alessandro Carloni,アレッサンドロ・カルローニ
Maximilian Dirr,マキシミリアン・ディール
Daniele Ferrazza,ダニエレ・フェラッツァ
Vezio De Lucia,ヴェジオ・デ・ルチア
Stefano Manzi,ステファノ・マンツィ
Antonio Gozzi,アントニオ・ゴッツィ
Luciano Falsiroli,Luciano Falsiroli
Simone Consonni,シモーネ・コンソンニ
Manuel Senni,マヌエル・センニ
Aurora Galli,オーロラ・ガッリ
Leo Pestelli,レオ・ペステリ
Iolanda Pensa,イオランダ・ペンサ
Mario Novelli,マリオ・ノヴェッリ
Riccardo Minali,リッカルド・ミナーリ
Marco Bagnoli,マルコ・バグノーリ
Giorgia Bordignon,ジョルジア・ボルディニョン
Veronica Yoko Plebani,ベロニカ ヨコ・プレバニ
Egida Giordani Sartori,エジダ・ジョルダーニ・サルトリ
Matilde Gioli,マティルデ・ジョリ
Giorgio Olcese,ジョルジョ・オルセーゼ
Paolo Milano,パオロ・ミラノ
Luca Lezzerini,ルカ・レッツェリーニ
Luigi Sannino,ルイージ・サンニーノ
Viola Di Grado,ヴィオラ・ディ・グラード
Gianluigi Gamba,ジャンルイージ・ガンバ
Remo Salvadori,レーモ・サルヴァドーリ
Giulio Valotti,ジュリオ・ヴァロッティ
Luca Forte,ルカ・フォルテ (サッカー選手)
Edoardo Salzano,エドアルド・サルザーノ
Antonino La Gumina,アントニーノ・ラ・グミーナ
Mariarosa Dalla Costa,マリアローザ・ダラ・コスタ
Stefano Siragusa,ステファノ・シラグーサ
Patricia Burke,パトリシア・バーク
Federico Dimarco,フェデリコ・ディマルコ
Carlo Benetton,カルロ・ベネトン
Stefano Pompei,ステファノ・ポンペイ
Ulisse Quadri,ウリッセ・クアドリ
Guia Maria Tagliapietra,グイア・マリア・タリアピエトラ
Mattia Torre,マッティア・トーレ
Antonio Sottosanti,アントニオ・ソットサンティ
Alfio Tomaselli,アルフィオ・トマゼッリ
Jasmine Paolini,ジャズミーネ・パオリーニ
Alessandro Tonelli,アレッサンドロ・トネッリ
Laura Bispuri,ローラ・ビスプリ
Alessandro Voltini,アレッサンドロ・ボルティーニ
Niccolò Macii,ニッコロ・マチー
Norma Sheffield,ノーマ・シェフィールド
Bianca Manacorda,ビアンカ・マナコルダ
Marco Innocenti,マルコ・イノセンティ
Monica Graziana Contrafatto,モニカ・コントラファット
Adrien Bannister,アドリエン・バンニステール
Amelia Schwienbacher,アメリア・シュヴァインベッカー
Sandro Rosati,サンドロ・ロサティ
Piercarlo Grimaldi,ピエルカルロ・グリマルディ
Alberto Mondi,アルベルト・モンディ
Maurizio Arrivabene,マウリツィオ・アリバベーネ
Gianfranco Calligarich,Gianfranco Calligarich
Edoardo Falcone,エドアルド・ファルコーネ
Micol Cristini,ミコール・クリスティーニ
Neva Leoni,ネヴァ・レオニ
Giorgio Listuzzi,ジョルジョ・リストッツィ
Kevin Lasagna,ケヴィン・ラザーニャ
Renata Melotti,レナータ・メロッティ
Piero Portalupi,ピエロ・ポルタルピ
Giorgio Vismara,ジョルジオ・ビスマラ
Antonio Nibali,アントニオ・ニーバリ
Paolo Signorini,パオロ・シニョリーニ
Giuliana Mancini,ジュリアーナ・マンチーニ
Gabriele Volpi,ガブリエレ・ヴォルピ
Domenico Sica,ドメニコ・シーカ
Giuseppe Marozin,ジュゼッペ・マロジン
Pietro Boselli,ピエトロ・ボセリ
Filippo Costa,フィリッポ・コスタ
Filippo Sugar,フィリッポ・シューガル
Matteo Ricci,マッテオ・リッチ (サッカー選手)
Giovanni Graziano,ジョヴァンニ・グラツィアーノ
Ofelia Malinov,オフェーリア・マリノブ
Franco Rotelli,フランコ・ロテッリ
Bruno Tasso,ブルーノ・タッソ
Giorgio Bulgari,ジョルジオ・ブルガリ
Alessio Sabbione,アレッシオ・サッビオーネ
Marilù Parolini,マリルー・パロリーニ
Daniele Garozzo,ダニェーレ・ガロッツォ
Nicolas Marini,ニコラス・マリーニ
Mario Piccinocchi,マリオ・ピッチノッキ
Giampaolo Loddo,ジャンパオロ・ロッド
Chiara Lossani,キアーラ・ロッサーニ
Giulio Ramponi,ジュリオ・ランポーニ
Luigi Simeoni,ルイージ・シメオーニ
Stefano Maullu,ステファノ・マウル
Lorenzo Callegari,ロレンツォ・カレガリ
Robert Bosisio,ロバート・ボシシオ
Vittoria Ceretti,ヴィットリア・ セレッティ
Marco Ravaglioli,マルコ・ラヴァリオーリ
Andrea Arrighini,アンドレア・アッリギーニ
Simone Petilli,シモーネ・ペティッリ
Simone Resta,シモーネ・レスタ
Enrico Augusto Banfi,エンリコ・アウグスト・バンフィ
Eugenio Franceschini,エウジェニオ・フランチェスキーニ
Simona Quadarella,シモーナ・クァダレッラ
Silvia D'Amico,シルヴィア・ダミーコ
Davide Di Molfetta,ダヴィデ・ディ・モルフェッタ
Davide Calabria,ダヴィデ・カラブリア
Andrea Pilzer,アンドレア・ピルツァー
Aldo De Scalzi,アルド・デ・スカルツィ
Simone Velasco,シモーネ・ヴェラスコ
Gabriele Galasso,ガブリエーレ・ガラッソ
Francesco Lamon,フランチェスコ・ラモーン
David Sisi,デイブ・シシィ
Ricardo Angelini,リカルド・アンジェリーニ
Gianni Lenoci,ジャンニ・レノーチ
Andrea Cau,アンドレア・カウ
Carlo Canna,カルロ・カンナ
Amos Mosaner,アモス・モーザナー
Giovanni Caccamo,ジョヴァンニ・カッカモ
Lorenzo Fioramonti,ロレンツォ・フィオラモンティ
Aisling Franciosi,アイスリング・フランシオシ
Francesco Cameli,フランチェスコ・カメリ
Diego Brambilla,ディエゴ・ブランビッラ
Sebastiano Riso,セバスティアーノ・リソ
Giovanna Tortora,ジョバンナ・トルトラ
Ilaria Nogaro,イラリア・ノガーロ
Carlo Bazzi,カルロ・アッツィ
Edward Ravasi,エドワード・ラヴァジ
Domenico De Sole,ドメニコ・デ・ソーレ
Alessandra Faietti,アレッサンドラ・ファイエッティ
Simone Bruschetta,シモーネ・ブルスケッタ
Angelo Parona,アンジェロ・パロナ
Pino Pellegrino,ピノ・ペレグリノ
Piero Pierini,ピエロ・ピエリーニ
Andrea Civile,アンドレア・チヴィレ
Victoria Yuki,ヴィクトリア・ユキ
Dario Piombino-Mascali,ダリオ・ピオンビーノ＝マスカリ
Francesco Vedovati,フランチェスコ・ヴェドヴァティ
Gustavo Pulitzer Finali,グスタボ・ピューリッツァー＝ファイナル
Edoardo Affini,エドアルド・アッフィーニ
Giuseppe Nicolosi,ジュゼッペ・ニコロシ
Marco Paoletti,マルコ・パオレッティ
Luca Pacioni,ルーカ・パチョーニ
Gabriele Roberto,ガブリエル・ロベルト
Nicol Delago,ニコル・デラーゴ
Giovanni Cerri,ジョヴァンニ・チェッリ
Marcello Siniscalco,マルチェロ・シニスカルコ
Bernard Damiano,ベルナール・ダミアノ
Piero Soffici,ピエロ・ソフィッチ
Luca Pani,ルカ・パニ
Pietro Pirri,ピエトロ・ピッリ
Giovani Lo Celso,ジオヴァニ・ロ・チェルソ
Alessia Zecchini,アレッシア・ゼッキーニ
Anna Sacconi,アンナ・サッコーニ
Daniele Sebastiani,ダニエレ・セバスティアーニ
Ugo Angelilli,ウーゴ・アンジェリッリ
Ferruccio Scaglia,フェルッチョ・スカーリア
Andrea Romagnoli,アンドレア・ロマニョーリ
Franco Rossi,フランコ・ロッシ
Alessia Cara,アレッシア・カーラ
Carlo Bruno,カルロ・ブルーノ
Valerio Mieli,ヴァレリオ・ミエリ
Gabriella Morreale,ガブリエッラ・モッレアーレ
Davide Rota,ダヴィデ・ロータ
Nicolò Barella,ニコロ・バレッラ
Dario Taraborelli,ダリオ・タラボレッリ
Veronica Inglese,ヴェロニカ・イングレーゼ
Lorenzo Pellegrini,ロレンツォ・ペッレグリーニ
Stefano Sardo,ステファノ・サード
Gianluigi Donnarumma,ジャンルイジ・ドンナルンマ
Antonella Bragaglia,アントネッラ・ブラガリア
Giuseppe Prinzi,ジュゼッペ・プリンツィ
Diana Bacosi,ディアナ・バコシ
Riccardo Stacchiotti,リカルド・スタッキオッティ
Fabrizio Ferracane,ファブリツィオ・フェッラカーネ
Massimo Stano,マッシモ・スタノ
Mattia Binotto,マッティア・ビノット
Antonio Viola,アントニオ・ヴィオーラ
Paola Barocchi,パオラ・バロッキ
Giovanni Poggi,ジョヴァンニ・ポッジ
Danilo Celano,ダニーロ・チェラーノ
Giacomo Gianniotti,ジャコモ・ジャンニオッティ
Matteo Malucelli,マッテオ・マルチェッリ
Marco Tizza,マルコ・ティッツァ
Davide Plebani,ダビデ・プレバーニ
Giulio Ciccone,ジュリオ・チッコーネ
Francesco Paolo Tronca,フランチェスコ・パオロ・トロンカ
Carlo Zauli,カルロ・ザウリ
Grazia Volpi,グラーツィア・ヴォルピ
Salvatore Esposito,サルヴァトーレ・エスポジト
Abraham Conyedo,アブラハム・デ・ヘスス・コニェド・ルアーノ
Arturo Calabresi,アルトゥーロ・カラブレージ
Andrea Conti,アンドレア・コンティ
Lorenzo Venuti,ロレンツォ・ヴェヌティ
Giada Greggi,ジャダ・グレッジ
Orazio Stracuzzi,オラーツィオ・ストラクッツィ
Sergio Rossi,セルジオ・ロッシ
Camilla Mingardi,カミーラ・ミンガルディ
Elettra Lamborghini,エレットラ・ランボルギーニ
