Polska,波蘭
Piaśnica,皮亞希尼察河
Płonka,普翁卡河
Szkarpawa,什卡爾帕瓦河
Sopot,索波特河
Rusałka,魯薩烏卡湖 (波茲南)
Piątkowo,皮安特科沃
Olszyna,奥尔什娜
Niemiecki obóz przesiedleńczy w Potulicach,博图里采集中营
Akcja N,N行动
Aktion Krakau,克拉科夫的莱茵哈德行动
Jezioro Mokre,莫克雷湖 (瓦爾米亞-馬祖里省)
Orange Warsaw Festival,橙色華沙音樂節
CD Projekt,CD Projekt
Pełcznica,佩烏奇尼察河
Perznica,佩日尼察河
Praslity,普拉斯利蒂
Prostyń,普罗斯滕
Podzamcze,伯扎姆切
Przecza,普热恰
Okręg wyborczy nr 16 do Sejmu RP,16 – 普沃茨克
Płutowo,普乌托沃
Przegląd,回顾
Przegląd Sportowy,体育评论
Płoska,普沃斯卡河
Synagoga w Przedborzu,普熱德布日猶太會堂
Płudy,普乌迪
Jezioro Ostrowskie (kujawsko-pomorskie),奧斯特羅夫湖
Rozwadów (Stalowa Wola),罗兹瓦杜夫
Przewodów,普热沃杜夫
Reprezentacja Polski na mistrzostwach świata w piłce nożnej,世界杯足球赛波兰队
Polska A i B,波蘭A和B
Polska na Zimowych Igrzyskach Olimpijskich 2014,2014年冬季奧林匹克運動會波蘭代表團
Polar Wrocław,極地弗羅茨瓦夫
stosunki polsko-ukraińskie,波蘭－烏克蘭關係
Polska Marynarka Handlowa,波兰商船队
Urząd Patentowy Rzeczypospolitej Polskiej,波蘭專利局
Kościół Ewangelicko-Reformowany w RP,波蘭福音歸正教會
Polska Unia Socjaldemokratyczna,波兰社会民主联盟
Zamek w Sandomierzu,桑多梅日城堡
Jezioro Rożnowskie,羅日努夫湖
Jezioro Dobczyckie,多布奇采湖
Piotrowice,皮奥特罗维策
Polskie Lotnictwo Wojskowe 1939,波兰空军1939年战斗序列
Archiwum Główne Akt Dawnych,中央歷史檔案館
Top – Dyskoteki,波蘭舞曲榜
Polski Zespół Myśliwski,波兰战斗队
2 Dywizja Strzelców Pieszych,第二步兵火枪师
Komisja Papierów Wartościowych i Giełd,波蘭證券交易委員會
Rudka Kijańska,鲁德卡
Polskie Nagrania „Muza”,波兰音乐唱片
Radęca,拉登察河
Polska Zbrojna,波蘭軍事 (月刊)
Zamek w Pszczynie,普什奇納城堡
Związek Harcerstwa Rzeczypospolitej,共和國童軍總會
Pierwszy Powszechny Spis Ludności,1921年波兰人口普查
Towarzystwo Przyjaźni Polsko-Radzieckiej,波苏友好协会
Rataje,拉塔耶
Kategoria:Polskie linie lotnicze,Category:波蘭航空公司
Port Kołobrzeg,科沃布热格港
Port Świnoujście,希維諾烏伊希切港
Puls Biznesu,商业脉动报
Wieża Rycerska w Siedlęcinie,锡德林塔
Rutki,鲁特基
Rekowa,雷科瓦河
Komitet Obywatelski "Solidarność",團結工聯公民委員會
Zespół Elektrowni Wodnych Solina-Myczkowce,索利那水电站
Sopot,索波特車站
Pyrkon,皮爾康奇幻節
Jezioro Słupeckie,斯武普察湖
Sołotwa,索洛特瓦河
Rykolanka,雷科蘭卡河
Okręg wyborczy nr 11 do Parlamentu Europejskiego w Polsce,西里西亚
Pomnik Powstańców Śląskich,西里西亚起义纪念碑
Sierpienica,謝爾佩尼察河
Sparta Brodnica,布羅德尼察斯巴達
Spójnia Stargard,什切青舊城斯波伊尼亞
Jarmark św. Dominika,聖多明尼克市集
Spała,斯帕拉
Stadion Miejski Hutnik Kraków,維斯瓦體育場
Stadion Narodowy,國家體育場站
Kościół św. Kazimierza w Warszawie,聖加西彌祿教堂
Krypta św. Leonarda na Wawelu,圣良纳墓穴
katedra Wniebowzięcia Najświętszej Maryi Panny w Gorzowie Wielkopolskim,聖瑪麗主教座堂
kościół Mariacki w Katowicach,聖瑪麗教堂
Bazylika św. Szczepana i Matki Boskiej Boguckiej w Katowicach,圣斯德望堂 (卡托维兹)
Skokówka,斯克库夫卡
Stara Huta,斯塔拉胡塔
Rondo Daszyńskiego,達申斯基迴旋處站
Rondo ONZ,聯合國迴旋處站
Lipno,利普諾湖
Rzeszów Główny,热舒夫火车总站
Stara Rega (rzeka),斯塔拉雷加河
Rębiechowo,雷比赫瓦
Sadków,薩德科
Szotkówka,紹特庫夫卡河
SZD-8 Jaskółka,SZD-8燕滑翔機
Stępina,斯泰姆皮纳
Sajna (rzeka),薩伊納河
Stare Miasto,什切青老城区
Stare Miasto,旧城区（波兹南）
Tryszczyn,特里什青
Sufczyna,蘇夫奇納
Galeria Sztuki Polskiej XIX wieku w Sukiennicach,克拉科夫國家美術館
Alternatywa Socjalistyczna,社会主义替代
Trzebośnica,切博希尼察河
Najwyższy Trybunał Narodowy,最高国民法庭
Tuja (rzeka),圖亞河
Widawka,維達夫卡河
Most Tumski,圖蒙斯基橋
Ratusz w Słupsku,斯武普斯克市政廳
Teatr Rozmaitości w Warszawie,多樣劇場
Tajwan,台湾 (波兰村庄)
Talczyn,塔尔钦
Pomnik Tadeusza Kościuszki na Wawelu,塔德乌什·柯斯丘什科纪念碑 (克拉科夫)
Huta im. T. Sendzimira,森吉米尔炼钢厂
Wola Rzeczycka,沃拉日齐斯卡
Tyrawka,蒂拉夫卡河
Tywa,蒂瓦河
Tyśmienica,提什缅尼察
Wola Przybysławska,沃拉普什比瓦夫斯卡
Numery telefoniczne w Polsce,波兰电话区号
Szczecin,斯塞新
Szczuki,什丘基
Teresin,特雷辛
Ukleja (rzeka),烏克萊亞河
Ukraińskie Zjednoczenie Narodowo-Demokratyczne,乌克兰民族民主同盟
Wikidot,Wikidot
Opalenica,奥帕莱尼察乡
energetyka wiatrowa w Polsce,波兰风电
Wilda,维尔达
Międzynarodowy Festiwal Wratislavia Cantans,Wratislavia Cantans國際音樂節
Pogrom w Wąsoszu,翁索什反犹骚乱
Drewniane cerkwie regionu karpackiego w Polsce i na Ukrainie,喀爾巴阡地區木質教堂
Światowy Kongres Intelektualistów w Obronie Pokoju,世界知识分子保卫和平大会
Unieść,烏涅希奇河
Winnica,温尼察
Winnica,温尼察
Akademia Finansów i Biznesu Vistula,维斯瓦大学
Wyższa Szkoła Ekonomii i Innowacji w Lublinie,卢布林经济与创新高级学院
Uniwersytet Artystyczny im. Magdaleny Abakanowicz w Poznaniu,波兹南美术学院
Wrocławski Teatr Lalek,弗羅茨瓦夫普佩特劇場
Fontanna multimedialna we Wrocławiu,弗羅茨瓦夫噴泉
Winogrady,维诺格拉德
zarząd województwa,省行政會議
Trojanka (rzeka),特羅揚卡河
Przepisy wjazdowe do państw obcych dla obywateli polskich,波蘭公民簽證要求
Troszyn,托斯赞
Trojany,特洛疆尼
Wiśnicz,维什尼茨
Rada miasta stołecznego Warszawy,華沙市議會
Kolej średnicowa w Warszawie,華沙跨城線
Okręg wyborczy nr 20 do Sejmu RP,華沙二 (議會選區)
Okręg wyborczy nr 19 do Sejmu RP,19 – 華沙一
Uniwersytet SWPS,SWPS社会科学与人文大学
Dworzec Główny w Warszawie,华沙火车总站
Warszawa Ursus,華沙烏爾蘇斯車站
Zagórze,扎古熱
Żurawianka,茹拉維安卡河
Wyszewka,維謝夫卡河
Okręg wyborczy nr 8 do Sejmu RP,绿山城
Winobranie w Zielonej Górze,綠山城葡萄酒節
Fragmenty murów getta w Warszawie,隔都围墙片段
DZT Tymińscy,Honker汽車
Ulica Kanonicza w Krakowie,咏祷司铎街
Synagoga w Zamościu,扎莫希奇猶太會堂
Łęg Rokietnicki,文格羅凱特尼察河
Cmentarz żydowski w Kielcach,凯尔采犹太公墓
Zarząd Transportu Miejskiego w Warszawie,华沙市政府运输管理局
19 Pułk Ułanów Wołyńskich,第19沃里尼亞烏蘭團
1 Armia Polska w ZSRR,蘇聯第1波蘭軍團
25 Brygada Kawalerii Powietrznej,波蘭陸軍第25空中騎兵旅
Ulica Świętokrzyska w Warszawie,圣十字街
Projekt Warszawa,華沙Projekt
3 Armia Wojska Polskiego,波兰第3军团
Aerolot,Aerolot航空
Muzeum Historii Fotografii w Krakowie,克拉科夫攝影史博物館
getto w Łomży,沃姆扎隔都
2 Korpus Polski,波兰第2军
akcesja Polski do Unii Europejskiej,波兰加入欧盟
Żar (Beskid Mały),熱爾山
4 Dywizja Piechoty (II RP),第4步兵師
Łagiewniki (Kraków),瓦蓋夫尼基 (克拉科夫)
Bory Dolnośląskie,下西里西亚森林
Aleja Niepodległości w Warszawie,獨立大道
Pułk Reprezentacyjny Wojska Polskiego,波蘭軍隊代表儀仗營
Ambasada Bośni i Hercegowiny w Polsce,马来西亚驻波兰大使馆
Ambasada Chińskiej Republiki Ludowej w Polsce,中国驻波兰大使馆
Ambasada Czarnogóry w Polsce,黑山驻波兰大使馆
Ambasada Japonii w Polsce,日本駐波蘭大使館
Ambasada Korei Południowej w Polsce,韩国驻波兰大使馆
Ambasada Danii w Polsce,丹麥駐波蘭大使館
77 Pułk Piechoty AK,波蘭家鄉軍第77步兵團
Ambasada Korei Północnej w Polsce,朝鮮駐波蘭大使館
Ambasada Malezji w Polsce,馬來西亞駐波蘭大使館
Ambasada Albanii w Polsce,阿尔巴尼亚驻波兰大使馆
Ambasada Niemiec w Polsce,德國駐波蘭大使館
Ambasada Południowej Afryki w Polsce,南非駐波蘭大使館
18 Pułk Ułanów Pomorskich,第18波美拉尼亞槍騎兵團
bazylika katedralna Wniebowzięcia Najświętszej Maryi Panny w Kielcach,圣母升天圣殿主教座堂
Bazylika katedralna Wniebowzięcia Najświętszej Maryi Panny w Sosnowcu,圣母升天圣殿主教座堂 (索斯诺维茨)
Bazylika katedralna Wniebowzięcia Najświętszej Maryi Panny we Włocławku,聖母升天聖殿主教座堂
Bazylika kolegiacka Wniebowzięcia Najświętszej Maryi Panny w Kaliszu,圣母升天圣殿 (卡利什)
Bazylika kolegiacka św. Małgorzaty w Nowym Sączu,圣玛加利大圣殿 (新松奇)
Bazylika kolegiacka św. Jerzego w Kętrzynie,圣乔治圣殿 (肯琴)
Bazylika konkatedralna Matki Bożej Królowej Polski w Stalowej Woli,斯塔洛瓦沃拉圣母波兰女王圣殿共主教座堂
Bazylika konkatedralna Świętej Trójcy w Chełmży,海乌姆扎天主圣三圣殿共主教座堂
Bazylika na Świętej Górze,圣山圣殿
Bazylika Najświętszego Serca Jezusowego w Warszawie,耶稣圣心圣殿
Bazylika Najświętszej Maryi Panny Anielskiej w Dąbrowie Górniczej,天神之后圣殿 (栋布罗瓦古尔尼恰)
Bazylika Narodzenia Najświętszej Marii Panny i Sanktuarium Pana Jezusa w Więzieniu w Gorlicach,圣母圣诞圣殿 (戈尔利采)
Bazylika Wniebowzięcia Najświętszej Marii Panny w Rzeszowie,圣母升天圣殿 (热舒夫)
Ambasada Stanów Zjednoczonych Ameryki w Polsce,美國駐波蘭大使館
Ambasada Szwecji w Polsce,瑞典駐波蘭大使館
Brama Berlińska w Kostrzynie nad Odrą,柏林門
Brama Chyżańska,Chyżańska門
Ambasada Tajlandii w Polsce,泰國駐波蘭大使館
Ambasada Wielkiej Brytanii w Polsce,英國駐波蘭大使館
Bazylika Wniebowzięcia Najświętszej Maryi Panny w Koronowie,圣母升天圣殿 (科罗诺沃)
bazylika archikatedralna Wniebowzięcia Najświętszej Maryi Panny w Białymstoku,圣母升天圣殿总主教座堂
bazylika archikatedralna Świętej Rodziny w Częstochowie,圣家圣殿总主教座堂
Bazylika jasnogórska w Częstochowie,光明山修道院圣殿
Bazylika katedralna Narodzenia Najświętszej Maryi Panny w Tarnowie,圣母圣诞圣殿主教座堂
Bazylika katedralna Wniebowzięcia Najświętszej Maryi Panny i św. Mikołaja w Łowiczu,圣母升天圣尼各老圣殿主教座堂 (沃维奇)
Centrum Astronomiczne im. Mikołaja Kopernika Polskiej Akademii Nauk,波兰科学院哥白尼天文中心
"Bazylika św. Ludwika Króla i Wniebowzięcia Najświętszej Maryi Panny, Panewnicka 76 w Katowicach",圣王路易圣母升天圣殿 (卡托维兹)
Bazylika św. Mikołaja w Bochni,圣尼各老圣殿 (博赫尼亚)
Bazylika św. Stanisława Biskupa Męczennika w Lublinie,圣达尼老圣殿
Bazylika św. Wincentego à Paulo w Bydgoszczy,圣文生圣殿
Literacka Nagroda Europy Środkowej Angelus,三鐘經文學獎
Biała,比亞瓦河 (杜納耶茨河支流)
Cerkiew Świętych Cyryla i Metodego we Wrocławiu,圣济利禄圣默多狄堂 (弗罗茨瓦夫)
Auditorium Maximum Uniwersytetu Warszawskiego,講義廳大樓
Autobusy miejskie w Warszawie,华沙公交
Chanajki,察那伊基
Budynek Państwowej Komisji Planowania Gospodarczego,華沙國家經濟計劃委員會大樓
Chipolbrok,中波轮船股份公司
Bank Polski Spółka Akcyjna,波兰银行
Bitwa pod Częstochową (1665),琴斯托霍瓦战役
Bitwa pod Dąbkami,达布基战役
Bitwa pod Kowalewem,科瓦列夫战役
Bulwary Wiślane w Krakowie,維斯瓦河大道
Zakłady Mechaniczne „Bumar-Łabędy”,布馬－拉邦蒂公司
Bitwa pod Krosnem Odrzańskim,克罗斯诺战役
Bitwa pod Miłosławiem,米沃斯瓦夫
Bitwa pod Rowinami (1282),洛韦尼战役
Bitwa pod Siewierzem,谢维日战役
Cuprum Lubin,Cuprum盧賓
Bitwa pod Wyszecinem,维谢钦战役
Biuro Gospodarcze i Kulturalne Tajpej w Polsce,駐波蘭臺北代表處
Biuro Operacji Antyterrorystycznych,警察中央反恐局
Bytovia Bytów,比托維亞貝圖夫
Chwaliszewo (Poznań),奇瓦利谢沃
Nowy Świat-Uniwersytet,新世界大学站
Centrum Nauki Kopernik,哥白尼科學中心站
Bomi,博米
Dębiec (Poznań),登别茨
Garnizon Warszawa,华沙卫戍区
Gaładuś,加瓦杜希湖
Getin Noble Bank,盖廷-诺布尔银行
Getto w Mińsku Mazowieckim,明斯克马佐维耶斯基隔都
dorzecze Odry,奥得河流域
Dowództwo Garnizonu Warszawa,華沙衛戍司令部
Górczyn,戈尔钦
Collegium Maximum Uniwersytetu Wrocławskiego,弗罗茨瓦夫大学主楼
Herb Siedlec,謝德爾采市徽
Filharmonia Poznańska im. Tadeusza Szeligowskiego,波兹南爱乐乐团
Fontanna Potop,洪水喷泉
Główna,格武夫纳
Główna Komisja Ścigania Zbrodni przeciwko Narodowi Polskiemu,危害波蘭民族罪起訴最高委員會
Dworzec PKS w Kielcach,凱爾采巴士總站
Frascati (Warszawa),弗拉斯卡蒂
Fundacja Nautilus,鸚鵡螺基金會
Fundacja Republikańska,共和黨
Fundacja Tumult,土木特基金會
Arena Toruń,托伦体育场
Hotel Pod Orłem w Bydgoszczy,鹰之下酒店
Golęcin,戈莱钦
Hałcnów,哈尔茨诺夫
Gostynia,戈斯蒂尼亞河
Rada Narodowa miasta stołecznego Warszawy,华沙首都国民议会
Radojewo,拉多杰沃
Rezerwat przyrody Las Kabacki im. Stefana Starzyńskiego,卡巴提森林
Grajcarek,格拉伊卡雷克河
Granatnik GA-40,GA-40自動榴彈發射器
Granatnik RWGŁ-1,RWGŁ-1槍榴彈發射器
granica polsko-radziecka,邊界協定
ratusz w Częstochowie,琴斯托霍瓦市政厅
Rusałka (Szczecin),魯薩烏卡湖 (什切青)
Silnica (rzeka),席尔尼察河
Ratusz w Radomiu,拉多姆市政厅
Ruż,魯日河
Rzecznik Praw Dziecka,兒童權利監察使
Reforma administracyjna w Polsce (1999),波蘭行政改革
Stargard,什切青舊城車站
Starołęka,斯塔罗韦卡
Remontowa Shipbuilding,波兰北方造船厂
Stary Teatr im. Heleny Modrzejewskiej w Krakowie,国家斯塔里剧院
Legia Warszawa,萊吉亞華沙
Sacrum Profanum,聖俗音樂節
Statua Madonny i św. Jana Nepomucena w Leśnicy,圣母和臬玻穆的若望雕像
Skwer Kościuszki w Gdyni,柯斯丘什科廣場
Smok Wawelski (rzeźba),瓦維爾龍
Stolno (województwo warmińsko-mazurskie),斯托尔诺
stosunki polsko-litewskie,立陶宛－波蘭關係
Stowarzyszenie Dziennikarzy Polskich,波蘭記者協會
samodzielny pododdział kontrterrorystyczny Policji,獨立反恐警察分隊
Ropa (dopływ Wisłoki),羅帕河
Stołeczne Królewskie Miasto Kraków,克拉科夫王家首都市
Stradom,史塔登
Wikimedia Polska,波蘭維基媒體協會
Straż Marszałkowska,波蘭議長衛隊
Rozbrat,罗兹布拉特
linia M3,华沙地铁M3号线
Solec,索莱茨
Stronnictwo Pracy,波蘭工黨
Rozwój Katowice,卡托維茲發展隊
Sosnówka,索斯諾夫卡湖
Stryszawka,斯特雷沙夫卡河
Sołacz,索瓦奇
Stadion Miejski przy ulicy Krochmalnej w Lublinie,盧布林體育場
Stadion Miejski w Tychach,蒂黑體育場
Stadion Miejski w Świnoujściu,希维诺乌伊希切市政体育场
Szeląg,谢兰格
"Teatr Lalki, Maski i Aktora Groteska",格羅特斯卡劇院
Tyśmienica (dopływ Wieprza),蒂希梅尼察河 (維普日河支流)
Synagoga Maharama w Lublinie,玛哈拉木犹太会堂
Ulica Franciszkańska w Krakowie,方濟各街 (克拉科夫)
Ulica Floriańska w Krakowie,圣福里安街
ulica Grodzka,格羅茨卡街 (克拉科夫)
ulica Grójecka,格罗夫耶卡街
Ulica Gdańska w Bydgoszczy,格但斯克街
Ulica Juliana Dunajewskiego w Krakowie,杜纳耶夫斯基大街
Synagoga w Nasielsku,納謝爾斯克猶太會堂
Ulica Zgierska w Łodzi,Zgierska街
Tor Poznań,波茲南賽道
Tor kajakarstwa górskiego w Krakowie,克拉科夫-科尔纳皮划艇激流场
Szwadron Kawalerii Wojska Polskiego,波蘭陸軍總統騎兵儀仗隊
Szwederowo (osiedle w Bydgoszczy),茲維德羅沃
Szybka kolej miejska BiTCity,比得哥什城市快鐵
Szydłowski,塞德洛斯基
Wieża Braniborska,布拉尼博爾斯卡塔
Wieża Mazurska (Bociania) w Brodnicy,布罗德尼察的城市塔楼
Wieża matematyczna Uniwersytetu Wrocławskiego,数学塔
Wieża Wilkanowska,俾斯麦塔
Ulica Sienna w Krakowie,干草街 (克拉科夫)
Sąpólna,松普爾納河
Słudwia,斯武德維亞河
VII Międzynarodowy Konkurs Pianistyczny im. Fryderyka Chopina,第七屆
VIS Sp. z o.o.,波蘭國家步槍工廠
VI Liceum Ogólnokształcące im. Tadeusza Reytana,华沙塔德乌斯·雷坦第六中学
Wilga,維爾加河 (克拉科夫)
Ulica Szwoleżerów w Warszawie,什沃勒热鲁夫街
Tramwaje w Olsztynie,奧爾什丁電車
Walki o Dęblin i Mińsk Mazowiecki (1920),登布林和马佐夫舍地区明斯克战役
TVP Rozrywka,波蘭電視台娛樂頻道
X Międzynarodowy Konkurs Pianistyczny im. Fryderyka Chopina,第十屆蕭邦國際鋼琴比賽
Służba Celna,波蘭海關
Wydział Nauk Politycznych i Studiów Międzynarodowych Uniwersytetu Warszawskiego,华沙大学政治科学与国际研究学院
TKp,TKp型
Trześniówka,切希紐夫卡河
Wydział Prawa i Administracji Uniwersytetu Warszawskiego,华沙大学法学院
Warszawskie Targi Książki,华沙书展
Wianki (Kraków),花环节
Zabytkowa Kopalnia Srebra,塔尔诺夫斯克山铅银锌矿
Województwo rzeszowskie (1975-1998),熱舒夫省
wojewoda III RP,省总督
Wyspa Piasek we Wrocławiu,沙岛 (弗罗茨瓦夫)
Zakłady Wyrobów Metalowych „SHL” S.A.,路德维库夫炼钢厂
Zagożdżonka,扎戈日季翁卡河
Bezpartyjni Samorządowcy,无党派地方政府活动人士
Zalew Słup,斯武普湖
Wojskowy Instytut Techniczny Uzbrojenia,裝備技術軍事學院
Zamek Królewski w Niepołomicach,涅波沃米采城堡
Zamek cesarski we Wrocławiu,弗罗茨瓦夫皇帝城堡
Zbrodnia gąsawska,甘薩瓦慘劇
Wąsosze (jezioro),翁索謝湖
Zamek na Ostrowie Tumskim we Wrocławiu,座堂岛城堡
Zamek w Bytowie,貝圖夫城堡
Wszystkie Mazurki Świata,全球瑪祖卡音樂節
zamek w Gołuchowie,哥勞疇城堡
Zakłady Mechaniczne "Tarnów",塔爾努夫機械廠
Zamek w Kwidzynie,克維曾城堡
Wątok,翁托克河
Związek Słowiański,斯拉夫人联盟
Łada (rzeka),瓦達河
Święto Wojska Polskiego,波蘭軍隊節
Żabianka,札比安卡
Łazarz,瓦扎兹
XIV Międzynarodowy Konkurs Pianistyczny im. Fryderyka Chopina,第十四届肖邦国际钢琴比赛
6 Brygada Powietrznodesantowa,波蘭陸軍第6空降旅
XVIII Liceum Ogólnokształcące im. Jana Zamoyskiego w Warszawie,華沙揚·扎莫厄斯基第十八中學
Łuczniczka (pomnik w Bydgoszczy),弓箭手
Łydynia,維迪尼亞河
Zespół staromiejski Torunia,托伦的中世纪城镇
Zgrupowanie Krybar,克里巴团
Ambasada Indonezji w Polsce,印度尼西亚驻波兰大使馆
Autobusy miejskie w Krakowie,克拉科夫市區公車
Filharmonia Narodowa,华沙国家爱乐厅
Łódzka Kolej Aglomeracyjna,羅茲城市快鐵
Ślepsk Suwałki,Ślepsk Malow Suwałki
Bazylika Najświętszego Serca Pana Jezusa w Dąbrowie Górniczej,耶稣圣心圣殿 (栋布罗瓦古尔尼恰)
Bazylika Najświętszego Zbawiciela i Wszystkich Świętych w Dobrym Mieście,圣救主暨诸圣圣殿 (多布雷城)
Bazylika Nawiedzenia Najświętszej Maryi Panny w Tuchowie,圣母往见圣殿 (图胡夫)
Pusłowscy herbu Szeliga,普斯洛夫斯基家族
stosunki polsko-portugalskie,波兰－葡萄牙关系
Środula,什罗杜拉区
Ganymede,盖尼米德公司
Gdańsk Śródmieście,格但斯克斯羅德米斯切車站
Polska na Letniej Uniwersjadzie 2011,2011年夏季世界大学生运动会波兰代表团
Światowy Związek Żołnierzy Armii Krajowej,Światowego Związku Żołnierzy AK
Dzielnica Czterech Świątyń,四教派区
dworce kolejowe w Polsce,波蘭鐵路車站列表 (依旅客人次排名)
Drwinka (dopływ Wisły),德爾溫卡河
Elbląg (stacja kolejowa),艾布隆格車站
Nowy Bytom,諾威畢托姆
Jasień,亞先河
Ignaców,伊格纳库夫
I Liceum Ogólnokształcące im. Mikołaja Kopernika w Gdańsku,格但斯克哥白尼中学
"Bazylika Matki Bożej Nieustającej Pomocy, św. Marii Magdaleny i św. Stanisława Biskupa w Poznaniu",永援圣母暨玛利亚玛达肋纳圣殿
Jezioro Zdworskie,茲德沃爾斯克湖
Jezioro Ślesińskie,希萊辛湖
Ekstraklasa w piłce nożnej (2013/2014),2013年至2014年波兰足球甲级联赛
Jaś i Małgosia (kamienice),漢賽爾與葛麗特 (弗次瓦夫)
Kamienica Ernsta Bartscha w Bydgoszczy,格但斯克街
Jednostka Wojskowa AGAT,反蓋世太保部隊
Instytut Polski,波蘭研究所
Muzeum II Wojny Światowej w Gdańsku,第二次世界大战博物馆
Kamienica na placu Wolności 1 w Bydgoszczy,自由广场1号公寓
Mała Noteć,小诺泰奇河
Gościcina,戈希齊齊納河
Instytut Konfucjusza w Krakowie,克拉科夫孔子学院
Jezioro Bukowskie (Lubawka),布庫夫卡湖
Instytut Słowacki w Warszawie,华沙斯洛伐克学院
Polsko-Japońska Akademia Technik Komputerowych,波蘭－日本資訊科技學院
Szkoła Japońska w Warszawie,华沙日本人学校
Katastrofa lotnicza na Policy,LOT波兰航空165号班机空难
Katedra Zmartwychwstania Pańskiego i św. Tomasza Apostoła w Zamościu,扎莫希奇主教座堂
Katedra św. Marcina i Mikołaja w Bydgoszczy,圣玛尔定圣尼各老主教座堂
12 Pułk Ułanów Podolskich,第12波多利亞烏蘭團
Konkatedra greckokatolicka św. Bartłomieja i Opieki Najświętszej Bogurodzicy w Gdańsku,圣巴尔多禄茂圣母庇荫主教座堂
Katedra św. Stanisława i św. Wacława w Świdnicy,希維德尼察主教座堂
Jezioro Mikorzyńskie,米科任湖
Jezioro Licheńskie,利海亨斯克湖
Jezioro Pątnowskie,蓬特努夫湖
Kaplica sióstr klarysek w Bydgoszczy,貧民院修女會小教堂
Kopalnia Węgla Kamiennego 1 Maja,五一煤矿
Kościół Świętych Apostołów Piotra i Pawła w Bydgoszczy,圣伯多禄圣保禄堂
Karpina (struga),卡爾皮納河
Kościół Narodzenia Najświętszej Maryi Panny w Warszawie,聖母誕生教堂
Kielce,凱爾采車站
Kościół Podwyższenia Krzyża Świętego w Brzegu,聖十字教堂
Konsulat Generalny Republiki Federalnej Niemiec w Gdańsku,德國駐格但斯克總領事館
Konsulat Generalny Rosji w Gdańsku,俄羅斯駐格但斯克總領事館
Kino Charlie,查理電影院
Kościół św. Wincentego à Paulo w Krakowie,圣文生堂
Bazylika św. Brygidy w Gdańsku,圣彼济达圣殿
Kościół św. Franciszka w Warszawie,聖方濟各教堂
Bazylika kolegiacka Przemienienia Pańskiego w Brzozowie,布若祖夫主显圣容圣殿
Kościół św. Jakuba w Częstochowie,圣雅各伯堂 (琴斯托霍瓦)
Kościół św. Antoniego Padewskiego w Warszawie (Śródmieście),圣安多尼堂 (华沙)
Kościół św. Augustyna w Warszawie,聖奧古斯汀教堂
Krajowa Rada Sądownictwa,国家司法会议
Krakowskie Biuro Festiwalowe,克拉科夫表演活動辦公室
Bazylika św. Jana Chrzciciela w Szczecinie,圣若翰洗者圣殿
Knajka,克納伊卡河
Kościół św. Mikołaja w Gdańsku,圣尼各老圣殿
Kościół Bożego Ciała we Wrocławiu,基督圣体堂 (弗罗茨瓦夫)
Kościół Wszystkich Świętych w Warszawie,諸聖教堂
Kolegiata Świętego Krzyża i św. Bartłomieja we Wrocławiu,聖十字架和聖巴塞洛繆斯學院教堂
Kościół św. Józefa Oblubieńca Najświętszej Marii Panny w Lublinie,聖若瑟教堂 (盧布林)
Bazylika św. Józefa i klasztor karmelitów bosych w Poznaniu,波兹南圣若瑟圣殿及跣足加尔默罗会修道院
Kościół św. Józefa w Krakowie (Podgórze),圣若瑟堂
Kościół Jana Bożego w Warszawie,若望上帝教堂 (華沙)
Lipniki,利普尼基村
Lechia Dzierżoniów,杰尔若纽夫莱吉亚足球俱乐部
Kościół św. Stanisława Kostki w Warszawie,科斯特科教堂
"Kościół św. Stanisława, św. Doroty i św. Wacława we Wrocławiu",圣女多罗德堂
Kościół św. Marcina we Wrocławiu,圣玛尔定堂 (弗罗茨瓦夫)
Komandoria (Poznań),科曼多利亚
Kościół Klarysek Wniebowzięcia Najświętszej Maryi Panny w Bydgoszczy,贫穷修女会教堂
Kościół Matki Boskiej Częstochowskiej w Zielonej Górze,綠山城琴斯托霍瓦聖母教堂
Kościół Matki Boskiej Królowej Męczenników w Bydgoszczy,诸为义致命之后圣殿
Lądowisko Częstochowa-Rudniki,琴斯托霍瓦-魯德尼基格但斯克-澤茲斯卡茲機場
Ksawera (Będzin),泽维尔
Kompleks budynków Sejmu Rzeczypospolitej Polskiej,波蘭國會建築群
Leszno,萊什諾車站
Kurier Polski (dziennik popołudniowy),波蘭信使報
Memoriał Kamili Skolimowskiej,卡米拉·斯科利莫夫斯卡纪念运动会
Lubuska Kolej Regionalna,卢布斯卡区域铁路
Liceum Ogólnokształcące pw. św. Augustyna,聖奧古斯汀紀念高中
Lotnisko Olsztyn-Dajtki,奧爾什丁-達傑基機場
Malta Festival Poznań,馬爾他戲劇節
Lubelszczyzna,盧布林地區
Kwiatków,科亞特考
Międzynarodowy Festiwal Literatury im. Josepha Conrada,康拉德节
Międzynarodowy Festiwal Światła SKYWAY,貝拉天際節
Metro Warszawskie,華沙地鐵
Międzynarodowy Salon Przemysłu Obronnego,国际国防工业展览会
Kępa Rzeczycka,科帕日齐斯卡
Muzeum Sztuki Współczesnej w Krakowie,克拉科夫當代藝術美術館
linia kolejowa nr 415,戈爾佐夫維科波爾斯基-邁斯利博爾茨鐵路
linia kolejowa nr 367,茲布施內克-戈爾佐夫維科波爾斯基鐵路
Morzycko,莫日茨科湖
