François Hollande,フランソワ・オランド
Charles Le Morvan,シャルル・ル・モルヴァン
Charlotte Brändström,シャーロット・ブランドストロム
Elisa Lynch,エリサ・リンチ
Oleg Grabar,オレグ・グラバール
Carlotta Ikeda,カルロッタ池田
Bernard Rapp,ベルナール・ラップ
Bernard Maris,ベルナール・マリス
Brice Dulin,ブリス・デュラン
Jeanne de Bar,ジャンヌ・ド・バル
Boris Petrović-Njegoš,ボリス・ペトロヴィッチ
Caroline Ladagnous,カロリーヌ・ラダニュー
Timothey N'Guessan,ティモテ・エンゲサン
François Hérincq,フランソワ・エリンク
Chloé Depouilly,クロエ・デュプイー
Élie Chouraqui,エリ・シュラキ
Gustave Guillaumet,ギュスターヴ・ギヨメ
Louis de Duras,ルイス・ド・デュラス・(第2代フェヴァシャム伯)
Charles Haguenauer,シャルル・アグノエル
Charles-Édouard Boutibonne,シャルル＝エドゥアール・ブーティボンヌ
Catherine Arley,カトリーヌ・アルレー
Bernard Soustrot,ベルナール・スーストロ
Charles III de Rohan-Guéméné,シャルル3世・ド・ロアン＝ゲメネ
Catherine Corsini,カトリーヌ・コルシニ
Catherine Marchal,カトリーヌ・マルシャル
Bernard Pottier (linguiste),ベルナール・ポティエ
Michel Boujenah,ミシェル・ブジュナー
Augustus Harris,オーガスタス・ハリス
Bruce Jouanny,ブルース・ジュアニー
Bernard Zimmern,ベルナール・ジメルヌ
Charles François de Virot de Sombreuil,ソンブルイユ侯爵
Charles Juliet,シャルル・ジュリエ
Charles-Juste de Beauvau-Craon,シャルル＝ジュスト・ド・ボーヴォー＝クラン
Charlotte de Rohan-Rochefort,シャルロット・ド・ロアン・(1767-1841)
Bernard Seurre,ベルナール・スール
Chris Nahon,クリス・ナオン
Charles Lhuillier,シャルル・ルイリエ
Chantal Lauby,シャンタル・ロビー
Catherine Demongeot,カトリーヌ・ドモンジョ
Laurent Chabry,ローラン・シャブリ
Bernard Zehrfuss,ベルナール・ゼルフュス
Bruno Carabetta,ブルーノ・カラベッタ
Bruno Cuche,ブルーノ・キューシェ
Christian Polak,クリスチャン・ポラック
Élisabeth Duparc,エリザベート・デュパルク
Charles Le Gobien,シャルル・ル・ゴビアン
Bernard Tchoullouyan,ベルナール・チュルーヤン
Charles-François Hutin,シャルル・フランソワ・ユタン
Charles-Eugène de Lorraine,シャルル・ウジェーヌ・ド・ロレーヌ
Charles Jalabert,シャルル・ジャラベール
Charles-Jean-Baptiste Fleuriau de Morville,シャルル＝ジャン＝バティスト・ド・フルリオ・(モルヴィル伯爵)
Jean Achard (pilote),ジャン・アシャール・(レーサー)
Chafik Besseghier,シャフィク・ベセギエ
Bruno Larat,ブリュノ・ララ
Charb,シャルブ
Chantal Macé,シャンタル・マセ
Charles Loupot,シャルル・ルーポ
Charles Louis Bretagne de La Trémoïlle,シャルル・ルイ・ブルターニュ・ド・ラ・トレモイユ
Claude Bonnefond,クロード・ボンヌフォン
Béatrice Didier,ベアトリス・ディディエ
Christine Cicot,クリスティーヌ・シコ
Christine Gozlan,クリスティーヌ・ゴズラン
Christian Sinniger,クリスチャン・シニジェ
Christian Kaddour,クリスチャン・カドゥール
Charles Moisson,シャルル・モワソン
Charles-Auguste Taunay,オーギュスト＝マリー・トーネー
Charles-Auguste Lebourg,シャルル＝オーギュスト・ルブール
Christiane Head,クリスティアーヌ・ヘッド
Christophe Charles,クリストフ・シャルル
Christophe Girard (homme politique),クリストフ・ジラール
Christophe Gagliano,クリストフ・ガグリアーノ
Béatrice de Vienne,ベアトリス・ド・ヴィエンヌ
Georges Colomb (auteur),マリー・ルイ・ジョルジュ・コロン
Christophe Bertrand,クリストフ・ベルトラン
Charles-Olivier de Penne,シャルル＝オリヴィエ・ド・ペンヌ
Daniel Vangarde,ダニエル・ヴァンギャルド
Daniel Tosi,ダニエル・トージ
Clémentine (chanteuse),クレモンティーヌ
Jacques Gréber,ジャック・グレベール
Clémentine-Hélène Dufau,クレマンティーヌ＝エレーヌ・デュフォー
Conrad Bade,コンラッド・バード
Jean Jansem,ジャン・ジャンセン
Daniel Londas,ダニエル・ロンダ
Danielle Licari,ダニエル・リカーリ
Christophe Ferreira,クリストフ・フェレラ
Christophe Fratin,クリストフ・フラタン
François André Michaux,フランソワ・アンドレ・ミショー
Prosper de Barante,アマブル＝ギヨーム＝プロスペ・ブルジエール・ド・バラント
Claude Haton,クロード・アトン
Christophe Sirodeau,クリストフ・シロドー
Christopher Tolofua,クリストファー・タロフュア
Charles de Bouillé,シャルル・ド・ブイエ
Cora Vaucaire,コラ・ヴォケール
Charles de Lambert,シャルル・ド・ランベール
Danièle Gégauff,ダニエル・ジェゴフ
Danièle Vidal,ダニエル・ビダル
Denys Puech,ドニ・ピュエッシュ
Darcel Yandzi,ダルセル・ヤンジ
Dany Rigoulot,ダニエル・リグロ
Dany-Robert Dufour,ダニー＝ロベール・デュフール
Cylia Malki,シリア・マルキ
Denise Fayolle,ドニーズ・ファイヨル
Claire Parnet,クレール・パルネ
Didier Franck,ディディエ・フランク
Cristina (chanteuse),クリスティーナ・(歌手)
Claire Gibault,クレール・ジボー
Claire Lecat,クレール・ルカ
Claire Huchet-Bishop,クレール・H・ビショップ
David Oelhoffen,ダヴィド・オロファン
Didier Artzet,ディディエ・アルゼット
Diane Bertrand,ディアーヌ・ベルトラン
Claude Melki,クロード・メルキ
Cyril Colbeau-Justin,シリル・コルボー＝ジュスタン
Cyril Diederich,シリル・ディードリシュ
Denise Soriano-Boucherit,ドゥニーズ・ソリアーノ＝ブシューリ
Denise Duval,ドゥニーズ・デュヴァル
Claude Lecouteux,クロード・ルクトゥ
Didier Cottaz,ディデェー・コッタズ
Célia Lafitedupont,セリア・ラフィットデュポン
Clair Tisseur,クレール・ティスール
Cédric Si Mohammed,セドリック・シ・モハメド
David Linarès,ダヴィド・リナレス
Clarisse Agbégnénou,クラリス・アグベニュー
Claude Nedjar,クロード・ネジャール
Claude Morgan,クロード・モルガン
David Lapoujade,ダヴィッド・ラプジャード
Richard Gay,リシャール・ゲイ
Devy Erlih,ドヴィ・エルリー
Cyrille Diabaté,シリル・ディアバテ
Cécile Ousset,セシル・ウーセ
Cécile des Baux,セシル・デ・ボー
Cécile Sauvage,セシル・ソヴァージュ
Valentin Eysseric,ヴァランタン・エイセリック
Didier Daurat,ディディエ・ドーラ
Delphine Ledoux,デルフィーヌ・ルドゥー
Robert Ménard,ロベール・メナール
Léon de Rosny,レオン・ド・ロニー
Diogène Maillart,ディオジェーヌ・マイヤール
Daniel Charles (musicien),ダニエル・シャルル
Clément Sibony,クレマン・シボニー
Jean Geoffroy (peintre),ジャン・ジョフロワ・(画家)
Daniel Deffayet,ダニエル・デファイエ
Dieudonné Lancelot,デュドネ・ランスロ
Jean Ier d'Alençon (Bellême),ジャン1世・(アランソン伯)
Edme-Jean Pigal,エドム＝ジャン・ピガル
Morgane Ribout,モルガネ・リボー
Jean Casale,ジャン・カザーレ
Edgar Brandt,エドガー・ウィリアム・ブラント
Claude Évin,クロード・エヴァン
Jacques Touchard,ジャック・トゥシャール
Dominique Bœuf,ドミニク・ブフ
Dominique Brun,ドミニク・ブラン・(柔道)
Claude-Max Lochu,クロード・マックス・ロシュ
Céline Géraud,セリーヌ・ジェロー
Dimitri Dragin,ディミトリ・ドラジャン
Clémence Robert,アントワネット・アンリエット・クレマンス・ロベール
Claudine Tiercelin,クロディーヌ・ティエルスラン
Claudio Beauvue,クラウディオ・ボーヴュ
Clet Abraham,クレ・アブラーム
Ghislaine Thesmar,ギレーヌ・テスマー
Grégory Béranger,グレゴリー・ベランジェ
Earvin Ngapeth,イアルバン・ヌガペト
Fan Hui,樊麾
Daniel Caux,ダニエル・コー
Daniel Chabrun,ダニエル・シャブルン
Lloyd Jones,ロイド・ジョーンズ・(フィギュアスケート選手)
Dominique Bona,ドミニク・ボナ
Eugène-Emmanuel Mermet-Cachon,メルメ・カション
Cloé Korman,クロエ・コルマン
Damien Djordjevic,ダミアン・ジョルジヴィッチ
Dominique Dupuy (pilote),ドミニク・デュプイ
Luce (chanteuse),リュース・(歌手)
Fayçal Fajr,ファイサル・ファジル
Fanny Horta,ファニー・ホルタ
Eugène Dauphin,ウジェーヌ・ドーファン
Dominique Serres,ドミニク・セレス
Franck Haise,フランク・エズ
Franck Fréon,フランク・フレオン
Ferdinand Roybet,フェルディナン・ロワベ
Ferdinand-Maximilien-Mériadec de Rohan,フェルディナン＝マクシミリアン＝メリアデック・ド・ロアン
Eugène Beaudouin,ウジェーヌ・ボードゥアン
Ferdinand Bac,フェルディナン・バック
Ferdinand Chaigneau,ジャン＝フェルディナン・シェニョー
Dominique Frassati,ドミニク・フラサッティ
Dominique Gaumont,ドミニク・ゴーモン
Dominique Reynié,ドミニク・レニエ
El Fardou Ben Nabouhane,エル・ファルドゥ・ベン・ナブアン
Jean Despeaux,ジャン・デスポー
Eugène Girardet,ウジェーヌ・ジラルデ
Eugène Gilbert,ウジェーヌ・ジルベール
Eugène Lefebvre,ウジェーヌ・ルフェーブル
Eugène Le Moult,ウジェーヌ・ル・ムールト
Eugène Lavieille,ウージェーヌ・ラヴィエイユ
Fernand Legros,フェルナン・ルグロ
François-Constant Girel,フランソワ＝コンスタン・ジレル
Ferdinand Ferber,フェルディナン・フェルベール
Franck Neel,フランク・ニール
Fernand Oury,フェルナン・ウリ
Fernand Sabatté,フェルナン・サバテ
Étienne Dinet,ナスレディーヌ・ディネ
Henri Gustave Jossot,アンリ・ギュスターヴ・ジョソ
Dove Attia,ドーヴ・アチア
Maé-Bérénice Méité,マエ＝ベレニス・メイテ
Tony D'Amario,トニー・ダマリオ
Eugène Delâtre,ウジェーヌ・ドラートル
Michel-Ange Houasse,ミシェル＝アンジュ・ウアス
Fernand Fédronic,フェルナンド・フェドロニック
Elsa Kikoïne,エルザ・キコイン
Élizabeth Bourgine,エリザベート・ブールジーヌ
Louis Pouzin,ルイ・プザン
Walid Regragui,ワリド・レグラギ
Jean Claude Nicolas Forestier,ジャン＝クロード・ニコラ・フォレスティエ
Emmanuel Clérico,エマニュエル・クレリコ
Emmanuel Ceysson,エマニュエル・セイソン
François-Alfred Delobbe,フランソワ＝アルフレッド・ドロブ
Dorothée Gilbert,ドロテ・ジルベール
Eugène Rousseau (artiste),フランソワ＝ウジェーヌ・ルソー
Douchka (comédienne),デューチカ
Doug Headline,ダグ・エドリーヌ
Emma Bardac,エンマ・バルダック
Romain Poite,ロマン・ポワト
Stéphane Houdet,ステファン・ウデ
Dynam-Victor Fumet,ディナム・ヴィクトール・フューメ
François-Joseph Heim,フランソワ＝ジョゼフ・エイム
Eugénie Niboyet,ウジェニー・ニボワイエ
François-Pierre Chaumeton,フランソワ＝ピエール・ショームトン
François-Raoul Larche,フランソワ＝ラウル・ラルシュ
François Civil,フランソワ・シヴィル
Philippe Gache,フィリップ・ガッシェ
François-Xavier Roth,フランソワ＝グザヴィエ・ロト
Mahyar Monshipour,マヤル・モンシプール
François-Nicolas Chifflart,フランソワ＝ニコラ・シフラール
Eugène Vallin,ウジェーヌ・ヴァラン
Emmanuel-Louis Gruner,ルイ・エマニュエル・グリューナー
Francis Carmont,フランシス・カーモン
Julien Bardy,ジュリアン・バーディ
Wesley Fofana (rugby à XV),ウェスレイ・フォファナ
Fabien Canu,ファビアン・カヌ
Raymond Quinsac Monvoisin,レイモン・モンヴォワザン
Emmanuel Macron,エマニュエル・マクロン
Emmanuel Lepage,エマニュエル・ルパージュ
Emmanuel Lebesson,エマニュエル・ルベッソン
Florian Zeller,フローリアン・ゼレール
François Dagognet,フランソワ・ダゴニェ
Florentin Pogba,フロランタン・ポグバ
Marcel Boussac,マルセル・ブサック
François Boissier de Sauvages de Lacroix,フランソワ・ボアシエ・ド・ソヴァージュ・ド・ラクロワ
Fortuné Méaulle,フォルテュヌ・メオル
Mathieu van der Poel,マチュー・ファン・デル・プール
Roger Establet,ロジェ・エスタブレ
Florence Parly,フロランス・パルリ
Enzo Enzo,エンゾ・エンゾ
Sébastien Michaëlis,セバスチャン・ミカエリス
Emmeline Ragot,エムリーヌ・ラゴ
François Ducaud-Bourget,フランソワ・デュコー＝ブルジェ
Ernest Ange Duez,エルネスト＝アンジュ・デュエズ
Ernest Blanc,エルネスト・ブラン
François Cusset,フランソワ・キュセ
François Dumont (pianiste),フランソワ・デュモン
Fabrice Garattoni,ファブリツィオ・ガラットーニ
Fabrice Bénichou,ファブリス・ベニシュ
France Clidat,フランス・クリダ
François Grudé,ラ・クロワ・デュ・メーヌ
François Véron Duverger de Forbonnais,フランソワ・ヴェロン・デュヴェルジェ・ド・フォルボネ
Francis Pigueron,フランシス・ピグロン
Francis Moze,フランシス・モーズ
François Joseph de Riquet de Caraman-Chimay,フランソワ・ジョゼフ・ド・リケ・ド・カラマン＝シメイ
Ernest Chaplet,エルネスト・シャプレ
Éric Saint-Martin,エリック・サンマルタン
Jean-André Rixens,ジャン＝アンドレ・リクセン
Ermengarde d'Anjou (morte en 1146),エルマンガルド・ダンジュー・(1146年没)
François de Callières,フランソワ・ド・カリエール
Ernest Hoschedé,エルネスト・オシュデ
Gautier Gibouin,ゴティエ・ギブアン
Lise Legrand,リズ・ルグラン
Jean Marlin,ジャン・マルラン
Gaël Fickou,ガエル・フィクー
Jean-Pierre Rousselot,ジャン＝ピエール・ルスロ
Francine Hérail,フランシーヌ・エライユ
Francis Leroi,フランシス・ルロワ
Francis Jeanson,フランシス・ジャンソン
Francis Duroy,フランシス・デュゴワ
Pascale Roze,パスカル・ローズ
Félix-Joseph Barrias,フェリックス＝ジョゼフ・バリアス
Francis Tattegrain,フランシス・タッテグラン
Marc Alexandre,マルク・アレクサンドル
Félix Archimède Pouchet,フェリックス・アルシメード・プーシェ
Laurent de la Résurrection,御復活のラウレンシオ
Francis de Noyelle,フランシス・ド・ノワイエル
Francis de Miomandre,フランシス・ド・ミオマンドル
Paul Richer,ポール・リッシェ
Paul Fraisse,ポール・フレス
Maurice Bellonte,モーリス・ベロント
Guillaume de La Perrière,ギヨーム・ド・ラ・ペリエール
Séverine Vandenhende,セブリーヌ・バンデネンド
François Nardi,フランソワ・ナルディ
Georges Corraface,ジョージ・コラフェイス
Lucien Simon,リュシアン・シモン
Francisque Poulbot,フランシスク・プールボ
Régine Deforges,レジーヌ・デフォルジュ
Jean-Pierre Dupuy,ジャン＝ピエール・デュピュイ
Léonce Verny,レオンス・ヴェルニー
Xavier Forneret,グザヴィエ・フォルヌレ
Félix Mesnil,フェリックス・メニル
Fred Zeller,フレッド・ツェラー
Fred Ulysse,フレッド・ユリス
Fred Scamaroni,フレッド・クレール・スカマローニ
Freddy Head,フレディ・ヘッド
Fred Kassak,フレッド・カサック
Geneviève Halévy,ジュヌヴィエーヴ・アレヴィ
Thomas Vincensini,トマ・ヴァンサンシーニ
Frédéric Demontfaucon,フレデリック・デモンフォコン
Michel Becquet,ミシェル・ベッケ
Jean Renaudie,ジャン・ルノディー
Frédéric-Maurice de La Tour d'Auvergne (1642-1707),フレデリック・モーリス・ド・ラ・トゥール・ドーヴェルニュ・(オーヴェルニュ伯)
Félix du Temple,フェリックス・デュ・タンプル
G. Bruno,G・ブリュノ
Françoise de Brézé,フランソワーズ・ド・ブレゼ
Gil Roman,ジル・ロマン
Félix Régamey,フェリックス・レガメ
Guillaume Peltier,ギヨーム・ペルティエ
Guillaume Joseph Gabriel de La Landelle,ガブリエル・ド・ラ・ランデル
Gilbert Joseph Adam,ジルベール・アダム
Guillaume Gomez (pilote automobile),ギヨーム・ゴメス・(レーサー)
Guillaume Gomez (cuisinier),ギヨーム・ゴメス
Joachim Bouvet,ジョアシャン・ブーヴェ
François Reichenbach,フランソワ・レシャンバック
Gabriel Ferrier,ガブリエル・フェリエール
Jean-Yves Girard,ジャン＝イヴ・ジラール
Frigide Barjot,フリジッド・バルジョー
François Ovide,フランソワ・オヴィド
François Recanati,フランソワ・レカナティ
Frédéric Chau,フレデリック・チョー
Frédéric Chateau,フレデリック・シャトー
René Hanriot,ルネ・アンリオ
Georges Hilaire Bousquet,ジョルジュ・ブスケ
Gabriel Matzneff,ガブリエル・マツネフ
Gabriel Astruc,ガブリエル・アストリュク
Frédéric Lipka,フレデリック・リプカ
Gabriel Tacchino,ガブリエル・タッキーノ
Philippe Decouflé,フィリップ・ドゥクフレ
Gilbert Motier de La Fayette,ジルベール・モティエ・ド・ラファイエット
Guillaume Sutre,ギヨーム・シュートル
Therry Racon,ティエリ・ラコン
Gilles Lemaire,ジル・ルメール
Gustave-Adolphe Mossa,ギュスターヴ＝アドルフ・モッサ
Georges Blanchard (général),ジョルジュ・モーリス・ジャン・ブランシャール
Gilles Gaston Granger,ジル＝ガストン・グランジェ
"Frédéric Mendy (football, 1973)",フレデリック・メンディ・(1973年生のサッカー選手)
Henri Stambouli,アンリ・スタンブリ
"Frédéric Mendy (football, 1988)",フレデリック・メンディ・(1988年生のサッカー選手)
Pierre Renouvin,ピエール・ルヌーヴァン
Romain Danzé,ロマン・ダンゼ
Éric Assadourian,エリック・アサドゥリアン
Gaby Aghion,ギャビー・アギョン
Thierry Neuvic,ティエリー・ヌーヴィック
Gustave Fraipont,ギュスターヴ・フレポン
Gustave Duchesne de Bellecourt,ギュスターヴ・デュシェーヌ・ド・ベルクール
Ninon Vallin,ニノン・ヴァラン
Gaby Barbey,ギャビー・クレリセッチ
Frédéric Pelassy,フレデリック・ペラシー
James Goldsmith,ジェームズ・ゴールドスミス
Frédéric Montenard,フレデリク・モンテナール
Gilles Demailly,ジル・ドメイリィ
Gilles Fauconnier,ジル・フォコニエ
Janine Micheau,ジャニーヌ・ミショー
Georges Pludermacher,ジョルジュ・プリュデルマシェ
Georges Pelletier-Doisy,ジョルジュ・ペルティエ＝ドワシー
Georges Tiret-Bognet,ジョルジュ・ティレ＝ボニェ
Georges Tzipine,ジョルジュ・ツィピーヌ
Gustave Schelle,ギュスターヴ・シェル
Gustave Ricard,ルイ・ギュスターヴ・リカール
Georges Sarre,ジョルジュ・サール
Marc Panther,マーク・パンサー
Georges d'Espagnat,ジョルジュ・デスパーニア
Georges de Bellio,ジョルジュ・ド・ベリオ
Godefroy de La Tour d'Auvergne,ゴドフロワ・シャルル・アンリ・ド・ラ・トゥール・ドーヴェルニュ
Gustave de Ponton d'Amécourt,ギュスターヴ・ポントン・ダメクール
Gustave Émile Boissonade,ギュスターヴ・エミール・ボアソナード
Guy Fallot,ギィ・ファロ
Gérard Thurnauer,ジェラール・テュルノエ
Gérard Pesson,ジェラール・ペソン
Gérard Poulet,ジェラール・プーレ
Louis Decazes,ルイ・ドゥカズ
Grégory Gadebois,グレゴリー・ガドゥボワ
Grégoire Vigneron,グレゴワール・ヴィニュロン
Walid Mesloub,ワリド・メスルブ
Guy II de Châtillon-Saint-Pol,ギー2世・(サン＝ポル伯)
Ghislain Lemaire,ジスラン・ルメール
Guillaume Bodinier (peintre),ギョーム・ボディニエ
Havoise de Normandie,アヴォワーズ・ド・ノルマンディー
Harold Peto,ハロルド・ピートゥ
Henri-François-Anne de Roussel,アンリ＝フランソワ＝アンヌ・ド・ルーセル
Germaine Thyssens-Valentin,ジェルメーヌ・ティッサン＝ヴァランタン
Hercule-Mériadec de Rohan-Guéméné,エルキュール＝メリアデック・ド・ロアン＝ゲメネ
Gédéon Baril,ジェデオン・バリル
Henri Lecoq,アンリ・ルコック
Hervé Bromberger,エルヴェ・ブロンベルジェ
Guy Pigier,ギ・ピジエ
Hercule Louis Catenacci,エルキュール・ルイ・カテナッチ
Gérald Darmanin,ジェラルド・ダルマナン
Henry de La Vaulx,アンリ・デラボー
Henri-Pierre Danloux,アンリ＝ピエール・ダンルー
Henri-Lucien Doucet,アンリ＝リュシアン・ドゥセ
Henri-Pierre Picou,アンリ＝ピエール・ピクー
Henri-Louis-Marie de Rohan,アンリ＝ルイ＝マリー・ド・ロアン
Hervé Moreau,エルヴェ・モロー
Hippolyte Auguste Marinoni,イポリット・オギュスト・マリノニ
Hippolyte Bellangé,イポリット・ベランジェ
Henri Aubry,アンリ・オーブリ
Henri Armbruster,アンリ・アンブルステ
Henri Auguste Pélegrin,アンリ・プレグラン
Guillaume Connesson,ギョーム・コネッソン
Guillaume Chaine,ギヨーム・シェヌ
Henri Biva,アンリ・ビヴァ
Henri Mineur,アンリ・ミヌール
Henri Meyer (illustrateur),アンリ・メイエ
Isabelle Guérin,イザベル・ゲラン
Pierre Henri Cami,ピエール・アンリ・カミ
Léon Jaussely,レオン・ジョセリー
Irène Théry,イレーヌ・テリー
Isaac Strauss,イザーク・ストロース
Henri Prost,アンリ・プロスト
Henri Pérignon,アンリ・ペリニョン
Guillaume Dubufe,ギョーム・デュビュフ
Henri Bencolin,アンリ・バンコラン
Hubert Mingarelli,ユベール・マンガレリ
Hubert Monteilhet,ユベール・モンテイエ
Isabelle Moretti,イザベル・モレッティ
Hugues Taraval,ジャン＝ユーグ・タラヴァル
Ivan Jablonka,イヴァン・ジャブロンカ
Hubert Haddad,ユベール・アダッド
Hubert Deschamps (historien),ユベール・デシャン
Jacques Denjean,ジャック・ダンジャン
Henri Caillavet,アンリ・カイヤヴェ
Maurice Tabard,モーリス・タバール
Isabelle Weingarten,イザベル・ヴェンガルテン
Isabelle de Funès,イザベル・ド・フュネス
Isidore Bonheur,イシドール・ボヌール
Jean-Alfred Fournier,ジーン・アルフレッド・フルニエ
Henri Royer (peintre),アンリ・ロワイエ
Ithier de Rethel,イティエ・(ルテル伯)
Hélène Jourdan-Morhange,エレーヌ・ジュルダン＝モランジュ
Jacqueline Bir,ジャクリーヌ・ビル
Ibrahim Seck,イブライム・セック
Henriette Lucy Dillon,アンリエット・リュシー・ディロン
Jacqueline Pagnol,ジャクリーヌ・パニョル
Jacqueline Marval,ジャクリーヌ・マルヴァル
Idriss Saadi,イドリス・サーディ
Jacques Donzelot,ジャック・ドンズロ
Hélène Bertaux,エレーヌ・ベルトー
Jack Le Goff,ジャック・ル・ゴフ・(馬術選手)
Henri Zuber,アンリ・ズュベール
Henri Ziegler,アンリ・ジグラー
Henri Gauquié,アンリ・デジレ・ゴーキェ
Jacques-François Ochard,ジャック＝フランソワ・オシャール
Oliver Jackson-Cohen,オリヴァー・ジャクソン＝コーエン
Jacques d'Arc,ジャック・ダルク
Henri de Foix,アンリ・ド・フォワ
Jacques Jomier,ジャック・ジョミエ
Jacqueline Vaudecrane,ジャックリーヌ・ヴォードクラヌ
Jacques Jansen,ジャック・ジャンセン
Jacques Guillaume Simonneau,ジャック・ギヨーム・シモノー
Henry Boguet,アンリ・ボゲ
Inès Ligron,イネス・リグロン
Jacques Lenot,ジャック・ルノ
Jacques Berlioz (historien),ジャック・ベルリオーズ
Jacques Louis de Bournon,ジャック・ルイ・デュ・ブルノン
Jacques Allégret,ジャック・アレグレ
James Bertrand,ジャン・バティスト・ベルトラン
Janine Bazin,ジャニーヌ・バザン
Jean-Charles de Fontbrune,ジャン＝シャルル・ド・フォンブリュヌ
Henry Ottmann,アンリ・オットマン
Jacques de Clèves,ジャック・(ヌヴェール公)
Jacques Nicolet,ジャック・ニコレ
Jean-André Fieschi,ジャン＝アンドレ・フィエスキ
Jean-Jacques Feuchère,ジャン＝ジャック・フシェル
Maxime Chanot,マクシム・シャノ
Janko Nilovic,ヤンコ・ニロヴィック
Jean-Claude Brondani,ジャン＝クロード・ブロンダニ
Jean-Claude Bouttier,ジャン・クロード・ブーチェ
Jacques Réattu,ジャック・レアチュー
Jean-Joseph Taillasson,ジャン＝ジョゼフ・タイヤソン
Jean-Clet Martin,ジャン＝クレ・マルタン
Jean-Joseph Sanfourche,ジャン＝ジョゼフ・サンフールシェ
Jane Atché,ジェーン・アチェ
Jean-Claude Hartemann,ジャン＝クロード・アルトマン
Jacques Brissot,ジャック・ブリソ
Jean-Jacques Origas,ジャン＝ジャック・オリガス
Jean-Jacques Mounier,ジャン＝ジャック・ムニエル
Jean-Claude Migeot,ジャン＝クロード・ミジョー
Jacques Philippe Martin Cels,ジャック・フィリップ・マルタン・セルス
Jacques Bondon,ジャーク・ボンドン
Jacques Sgard,ジャック・スガール
Jacques Colombat,ジャック・コロンバ
Jacques Simon (paysagiste),ジャック・シモン
Jean-Claude Rouget,ジャン＝クロード・ルジェ
Jacques Prost,ジャック・プロ
Jean-Joël Barbier,ジャン＝ジョエル・バルビエ
Jean-Joseph Weerts,ジャン＝ジョゼフ・ウェールツ
Jean-Marie Domenach,ジャン＝マリー・ドムナック
Jean-Baptiste Corneille,ジャン＝バティスト・コルネイユ
Jean-François Abramatic,ジャン＝フランソワ・アブラマティック
Jean-Antoine Marbot,ジャン＝アントワーヌ・マルボ
Jean-Pierre Limosin,ジャン＝ピエール・リモザン
Jean-Pierre Sauvage (chimiste),ジャン＝ピエール・ソヴァージュ
Jean-Marie Hullot,ジャン＝マリー・ヒューロット
Jean-Marie de La Mennais,ジャン・マリー・ド・ラ・ムネ
Jean-Baptiste Larrivé,ジャン＝バティスト・ラリヴェ
Jean-Loup Gailly,ジャン＝ルー・ガイイ
Jean-Louis Véret,ジャン＝ルイ・ヴェレ
Jean-Baptiste Dupont (producteur),ジャン＝バティスト・デュポン
Jean-Baptiste Muiron,ジャン＝バティスト・ミュイロン
Jean-Baptiste Mendy,ジャン＝バチスト・メンディ
Jean-Maurice Ripert,ジャン＝モーリス・リペール
Jean-François Larrieu,ジャン＝フランソワ・ラリュー
Jean-François Hernandez,ジャン＝フランソワ・エルナンデス
Jean-Pierre Giudicelli,ジャン・ピエール＝ジュディセリ
Jean-Louis Pascal,ジャン＝ルイ・パスカル
Jean-François Tarnowski,ジャン＝フランソワ・タルノフスキ
Jean-Pierre Wallez,ジャン＝ピエール・ヴァレーズ
Jean-Paul Coche,ジャン＝ポール・コシュ
Jean-Marc Luisada,ジャン＝マルク・ルイサダ
Jean-Baptiste Lestiboudois,ジャン＝バティスト・レスティブドゥア
Jean-Luc Romero-Michel,ジャン・リュック・ロメロ
Jean-François Parot,ジャン＝フランソワ・パロ
Jean-Pierre Élissalde,ジャン＝ピエール・エリサルド
Jean-Baptiste Hugues,ジャン＝バティスト・ユーグ
Jean-Baptiste Henri Durand-Brager,ジャン＝バティスト・アンリ・デュラン＝ブラジェ
Jean-Vincent Placé,ジャン＝ヴァンサン・プラセ
Jean-Louis Scherrer,ジャン＝ルイ・シェレル
Jean-Pierre Lorit,ジャン＝ピエール・ロリ
Jean-Luc Rougé,ジャン＝リュック・ルージェ
Jean-Léonor Le Gallois de Grimarest,ジャン＝レオノール・グリマレ
Jean-Luc Vilmouth,ジャン＝リュック・ヴィルムート
Jean Achard (peintre),ジャン・アシャール・(画家)
Victor de Persigny,ヴィクトール・ド・ペルシニー
Jean-Marc Olivier,ジャン＝マルク・オリヴィエ
Jean-Robert Pitte,ジャン＝ロベール・ピット
Jean-Rodolphe Kars,ジャン＝ロドルフ・カールス
Jean-Baptiste de Champaigne,ジャン＝バティスト・ド・シャンパーニュ
Jean Riolan (1577-1657),ジャン・リオラン
Jean Henrion,ジャン・ヘンリオン
Jean Béguin,ジャン・ベガン
Jeanne Malivel,ジャンヌ・マリヴェル
Pierre George,ピエール・ジョルジュ
Jean Castex,ジャン・カステックス
Jean Rousselot,ジャン・ルースロ
Jean Babilée,ジャン・バビレ
Jean Sassi,ジャン・サッシ
Jean Seignemartin,ジャン・セーニュマルタン
Jean Sendy,ジャン・センディ
Jean-Pierre Brisset,ジャン＝ピエール・ブリッセ
Patrick Blondeau,パトリック・ブロンドー
Jean Alexandre François Le Mat,ジャン・アレクサンドル・ル・マット
Jean-Félicité Coulon de Thévenot,ジャン・クロン・ド・デブノ
Nicolas Todt,ニコラス・トッド
Sylvio Lazzari,シルヴィオ・ラザーリ
Jess Liaudin,ジェス・リアウディン
