Angela Merkel,앙겔라 메르켈
René Adler,레네 아들러
Helene Fischer,헬레네 피셔
"Nicole (Sängerin, 1964)",니콜 (독일의 가수)
Max Kruse (Fußballspieler),막스 크루제
Matthias Ginter,마티아스 긴터
Christa Luding-Rothenburger,크리스타 루딩
Otto Klemperer,오토 클렘퍼러
Diego Contento,디에고 콘텐토
Christian Streich,크리스티안 슈트라이히
Oliver Baumann,올리버 바우만
Marvin Compper,마르빈 콤퍼
Ron-Robert Zieler,론로베르트 칠러
Bill Kaulitz,빌 카울리츠
Andrea Pollack,안드레아 폴라크
Heinrich Brüning,하인리히 브뤼닝
Sigrun Wodars,지그룬 보다르스
Johanna Klier,요하나 샬러
Diana Damrau,디아나 담라우
John C. Polanyi,존 폴라니
Christian Lell,크리스티안 렐
"Toni Schumacher (Fußballspieler, 1954)",하랄트 슈마허
Sepp Herberger,제프 헤르베르거
Karl Mai (Fußballspieler),카를 마이 (축구인)
Frank-Michael Wahl,프랑크미하엘 발
Herbert Fandel,헤르베르트 판델
Daniel Williams (Fußballspieler),대니 윌리엄스
Bruno Walter,브루노 발터
Lars Unnerstall,라르스 운너스탈
Walther Rathenau,발터 라테나우
Dietmar Hamann,디트마어 하만
Thomas Häßler,토마스 헤슬러
Andreas Möller,안드레아스 묄러
Dieter Eilts,디터 아일츠
Annelie Ehrhardt,안넬리 에르하르트
Gabriele Reinsch,가브리엘레 라인쉬
Kevin Volland,케빈 폴란트
Wiradech Kothny,위라뎃 콧니
Toni Kroos,토니 크로스
Inka Grings,잉카 그링스
Anna Amalia von Braunschweig-Wolfenbüttel,아나 아말리아 폰 브라운슈바이크볼펜뷔텔 공녀
Kristin Otto,크리스틴 오토
Terence Hill,테런스 힐
Angela Voigt,앙겔라 포이크트
Margitta Gummel,마르기타 구멜
Oliver Kahn,올리버 칸
Hans Luther,한스 루터
Robert Huth,로베르트 후트
Pina Bausch,피나 바우슈
Christian Lorenz,크리스티안 로렌츠
Konrad I. (Ostfrankenreich),콘라두스 1세
Wolfgang Schmidt (Leichtathlet),볼프강 슈미트
Karim Haggui,카림 하귀
Helmut Walcha,헬무트 발햐
Lukas Podolski,루카스 포돌스키
Franz von Bayern,프란츠 폰 바이에른
Carl Schuhmann,카를 슈만
Uli Jon Roth,울리 존 로스
Markus Merk,마르쿠스 메르크
Sophie von Preußen (1870–1932),조피 폰 프로이센 왕녀
Halil Altıntop,할릴 알튼토프
Gustav Krupp von Bohlen und Halbach,구스타프 크루프 폰 볼렌 운트 할바흐
Christian Ziege,크리스티안 치게
Angela Gossow,안젤라 고소우
Luise von Mecklenburg-Strelitz,루이제 추 메클렌부르크슈트렐리츠 공녀
Haddaway,해더웨이 (음악가)
André Previn,앙드레 프레빈
Sebastian Boenisch,제바스티안 뵈니슈
Evelin Jahl,에벨린 쉴나크
Tatjana Hüfner,타탸나 휘프너
Christa Ludwig,크리스타 루트비히
Ute Geweniger,우테 게베니거
Elke Sommer,앨케 조머
Silke Renk,질케 렝크
Nam June Paik,백남준
Ines Diers,이네스 디어스
Max Liebermann,막스 리버만
Konrad III. (HRR),콘라트 3세
Konrad IV. (HRR),콘라트 4세
Thomas Schaaf,토마스 샤프
Rudolf Schenker,루돌프 쉥커
Kurt Masur,쿠르트 마주어
Carl Stamitz,카를 슈타미츠
Zvjezdan Misimović,즈베즈단 미시모비치
Waldemar Cierpinski,발데마르 치르핀스키
Andreas Brehme,안드레아스 브레메
Kevin Großkreutz,케빈 그로스크로이츠
Jenny Wolf,예니 볼프
Jens Nowotny,옌스 노보트니
Caren Metschuck,카렌 메추크
Lina Radke,리나 라트케
Aileen Frisch,아일린 프리슈
Nina Hagen,니나 하겐
Patrick Helmes,파트리크 헬메스
Nils Petersen,닐스 페테르젠
Andreas Beck (Fußballspieler),안드레아스 베크
Heike Apitzsch-Friedrich,하이케 프리드리히
Frank Lieberam,프랑크 리베람
Adolf von Hildebrand,아돌프 폰 힐데브란트
Akaki Gogia,아카키 고기아
James Stirling (Architekt),제임스 스털링 (건축가)
Frank Baumann,프랑크 바우만
Hildegard Falck,힐데가르트 팔크
Christine Wachtel,크리스티네 바히텔
Mathias Schober,마티아스 쇼버
Claus von Amsberg,네덜란드 여왕 부군 클라우스
Richard Meier (Architekt),리처드 마이어
Frank Rost,프랑크 로스트
Klaus Kinkel,클라우스 킹켈
Wilhelm Kempff,빌헬름 켐프
Stefan Bell,슈테판 벨
Jeffrey Schlupp,제프리 슐루프
Thomas Doll,토마스 돌
Mario Basler,마리오 바슬러
Karl Amadeus Hartmann,카를 아마데우스 하르트만
Klaus Augenthaler,클라우스 아우겐탈러
Karl-Heinz Riedle,카를하인츠 리들레
Wolf Biermann,볼프 비어만
Anett Pötzsch-Rauschenbach,아네트 푀치
Sabine Meyer,자비네 마이어
Walter Hallstein,발터 할슈타인
Sebastian Deisler,제바스티안 다이슬러
Richard Eilenberg,리하르트 아일렌베르크
Olaf Thon,올라프 톤
Horst Hrubesch,호르스트 흐루베슈
Max Morlock,막스 모를로크
Timm Klose,팀 클로제
David Garrett,데이비드 가렛
Aaron Hunt,아론 훈트
Muhamed Bešić,무하메드 베시치
Gerd Wessig,게르트 베시크
Ashkan Dejagah,아슈칸 데자가
Carl Eduard (Sachsen-Coburg und Gotha),카를 에두아르트 폰 작센코부르크고타 공작
Marc-André ter Stegen,마르크안드레 테어 슈테겐
Klaus Voormann,클라우스 부어만
Manfred Kaltz,만프레트 칼츠
Carsten Ramelow,카르스텐 라멜로프
Matthias Flacius,마티아스 플라키우스
Lutz Dombrowski,루츠 돔브로프스키
Alexander Baumjohann,알렉산더 바움요한
Alexandra Popp,알렉산드라 포프
Lars Riedel,라르스 리델
Simon Rolfes,지몬 롤페스
Carlos Kleiber,카를로스 클라이버
Kai Hansen,카이 한센
David Odonkor,다비트 오동코어
Clemens Fritz,클레멘스 프리츠
Wolfgang Stark,볼프강 슈타르크
Dagmar Hase,다그마르 하제
Ludowika Jakobsson,루도비카 야콥손
Gerhard Hochschild,게르하르트 호흐실트
Ralf Hütter,랄프 휘터
Andreas Osiander,안드레아스 오시안더
Melanie Behringer,멜라니 베링거
Joachim Streich,요아힘 슈트라이히
Florian Schneider-Esleben,플로리안 슈나이더
Sigmar Gabriel,지그마어 가브리엘
Fabian Ernst,파비안 에른스트
İlkay Gündoğan,일카이 귄도안
José Holebas,호세 홀레바스
Bianca Maria Sforza,비앙카 마리아 스포르차
Hanka Kupfernagel,항카 쿠퍼나겔
Sophie Dorothea von Hannover,조피 도로테아 폰 하노버
Otto I. (Sachsen),오토 1세 폰 작센
Astrid Kirchherr,아스트리드 커처
Marco Bode,마르코 보데
Stefan Kuntz,슈테판 쿤츠
Anna Hübler,안나 휘블러
Christine Errath,크리스티네 에라트
Bärbel Wöckel,베르벨 뵈켈
Armin Mueller-Stahl,아르민 뮐러슈탈
Gerhard Richter,게르하르트 리히터
Robert Rauschenberg,로버트 라우션버그
Simon Terodde,시몬 테로데
Gabriele Seyfert,가브리엘레 자이페르트
Patrick Groetzki,파트리크 그뢰츠키
Christina Lathan,크리스티나 브레머
Thomas Linke,토마스 링케
Max Pechstein,막스 페히슈타인
Roland Matthes,롤란트 마테스
Maria Josepha von Sachsen (1731–1767),마리아 요제파 폰 작센 (1731년)
Silvius Leopold Weiss,실비우스 레오폴트 바이스
Auguste Viktoria von Schleswig-Holstein-Sonderburg-Augustenburg,아우구스테 빅토리아 폰 슐레스비히홀슈타인 공녀
Carl Heinrich Graun,카를 하인리히 그라운
Karl Schmidt-Rottluff,카를 슈미트 로틀루프
Alfred Pfaff,알프레트 파프
Stefan Reinartz,슈테판 라이나르츠
Cenk Tosun,젱크 토순
Richard Trautmann,리하르트 트라우트만
Raimond Aumann,라이몬트 아우만
Marlies Göhr,마를리스 괴어
Jens Weißflog,옌스 바이스플로크
Jürgen Schult (Leichtathlet),위르겐 슐트
Wendelin Werner,벤델린 베르너
Max Beckmann,막스 베크만
Adolf von Harnack,아돌프 폰 하르나크
Bert Trautmann,베르트 트라우트만
Ossi Reichert,오시 라이헤르트
Hans-Peter Briegel,한스페터 브리겔
Martina Müller (Fußballspielerin),마르티나 뮐러 (축구인)
Bernhard Cullmann,베른하르트 쿨만
Tobias Kempe,토비아스 켐페
Herbert Wimmer,헤르베르트 비머
Hans Leo Haßler,한스 레오 하슬러
Tina Theune,티나 토이네
Katrin Dörre-Heinig,카트린 되레 하이니히
Burglinde Pollak,부르글린데 폴락
Max Grün,막스 그륀
Toni Turek,토니 투레크
Tabea Zimmermann,타베아 치머만
Sergiu Celibidache,세르주 첼리비다케
Sven Bender,스벤 벤더
Kornelia Ender,코르넬리아 엔더
Paul Landers,파울 란더스
Marko Spittka,마르코 슈피트카
Katharina Fritsch,카타리나 프릿치
Niclas Füllkrug,니클라스 퓔크루크
Célia Šašić,첼리아 샤시치
Jörg Heinrich,외르크 하인리히
Hanno Balitsch,한노 발리치
Arnd Peiffer,아른트 파이퍼
Dany Heatley,대니 히틀리
Schoolboy Q,스쿨보이 큐
Uta Pippig,우타 피피히
Denis Thomalla,데니스 토말라
Klaus Allofs,클라우스 알로프스
Christian Pander,크리스티안 판더
Christian Wörns,크리스티안 뵈른스
Arne Jacobsen,아르네 야콥센
Nadine Angerer,나딘 앙거러
Wolf Vostell,볼프 포스텔
Gottfried von Straßburg,고트프리트 폰 슈트라스부르크
Patrick Owomoyela,파트리크 오보모옐라
Jens Jeremies,옌스 예레미스
Klaus Schulze,클라우스 슐체
Alexander Merkel,알렉산드르 메르켈
Stefan Reuter,슈테판 로이터
Petra Thümer,페트라 튀머
Daniel Schwaab,다니엘 슈바브
Samuel Scheidt,사무엘 샤이트
Klaus Fischer (Fußballspieler),클라우스 피셔
Ulrike Richter,울리케 리히터
Otto Addo,오토 아도
Herbert Grönemeyer,헤르베르트 그뢰네마이어
Edgar Prib,에드가 프립
"Alfredo Morales (Fußballspieler, 1990)",앨프리도 모랄레스
Johann Mattheson,요한 마테존
Fritz Hofmann (Leichtathlet),프리츠 호프만
Carsten Jancker,카르스텐 양커
Hans Reichenbach (Physiker),한스 라이헨바흐
Anselm Kiefer,안젤름 키퍼
Renate Stecher,레나테 슈테허
Vahid Hashemian,바히드 하셰미안
Sonja Morgenstern,소냐 모르겐슈테른
Christina Heinich,크리스티나 하이니히
Lukas Schmitz,루카스 슈미츠
Peter Brötzmann,페터 브뢰츠만
Rudi Kargus,루돌프 카르구스
Arno Penzias,아노 앨런 펜지어스
Franz Roth,프란츠 로트
Dominik Kohr,도미니크 코어
Hanne Darboven,한네 다보벤
Lotte Reiniger,로테 라이니거
"Matthias Zimmermann (Fußballspieler, 1992)",마티아스 치머만
Alex Meier,알렉산더 마이어
Ralf Fährmann,랄프 페어만
Almuth Schult,알무트 슐트
Ömer Toprak,외메르 토프라크
Heike Henkel,하이케 헹켈
Oskar Gröning,오스카르 그뢰닝
Felix Kroos,펠릭스 크로스
Christian Clemens (Fußballspieler),크리스티안 클레멘스
Reinhard Eiben,라인하르트 아이벤
Loris Karius,로리스 카리우스
Hans Julius Zassenhaus,한스 차센하우스
Irmina von Oeren,성녀 이르미나
Birte Weigang,비르테 바이강
Alfred Harth,알프레드 하르트
Peter Rösel,페터 뢰젤
Arthur Eisenmenger,아르투어 아이젠멩거
Jermaine Jones,저메인 존스
Steffi Jones,슈테피 존스
Silvia Neid,질비아 나이트
Erna Berger,에르나 베르거
Rolf Danneberg,롤프 다네베르크
Józef Szmidt,유제프 슈미트
Sigfrid Karg-Elert,지크프리트 카르크-엘레르트
Martin Lawrence,마틴 로런스
Siegrun Siegl,지그룬 지글
Ferydoon Zandi,페리둔 잔디
Yvonne Catterfeld,이본 카터펠드
Nadja Tiller,나자 틸러
Reinhard Libuda,라인하르트 리부다
Lennart Thy,레나르트 티
Udo Lattek,우도 라테크
Sascha Riether,사샤 리터
Ji-In Cho,조지인
Peter Niemeyer,페터 니마이어
Uwe Ochsenknecht,우베 옥센크네히트
Harald Konopka,하랄트 코노프카
Kurt Thomas (Komponist),쿠르트 토마스
Dzsenifer Marozsán,제니페르 머로잔
Christian Schenk (Leichtathlet),크리스티안 솅크
Maria Riva,마리아 리바
Dieter Eckstein,디터 에크슈타인
Lucas Cranach der Ältere,루카스 크라나흐
Zhi Gin Lam,지긴 람
Max Dauthendey,막스 다우텐다이
Helmut Zacharias,헬무트 차하리아스
Danny da Costa,다니 다 코스타
Kathleen Nord,카틀렌 노르트
Manuela Stellmach,마누엘라 슈텔마흐
Erich Mende,에리히 멘데
Olaf Zinke,올라프 칭케
Zlatan Alomerović,즐라탄 알로메로비치
Bernd Leno,베른트 레노
Eric Maxim Choupo-Moting,에리크 막심 슈포모팅
Ulf Kirsten,울프 키르스텐
Yvonne Bönisch,이본 뵈니슈
Christian Schulz (Fußballspieler),크리스티안 슐츠
Joseph Haas,요제프 하스
J. Cole,제이 콜
Jürgen Kohler,위르겐 콜러
Gentleman (Musiker),젠틀맨 (음악가)
Amalie Sebald,아말리 제발트
Erhard Wunderlich,에르하르트 분더리히
Andre Eckardt,안드레 에카르트
Andrea Hübner,안드레아 휘브너
Friedel Lutz,프리델 루츠
Gerd Strack,게르하르트 슈트라크
Michael Bella,미하엘 벨라
Oleg Kutscherenko,올레크 쿠체렌코
Hugo Riemann,후고 리만
Ludolph van Ceulen,뤼돌프 판 쾰런
Lewis Holtby,레비스 홀트비
Johann Joseph Fux,요한 요제프 푹스
Philipp Jacob Spener,필리프 야코프 슈페너
Gustav Felix Flatow,구스타프 펠릭스 플라토브
Rudolf Arnheim,루돌프 아른하임
Hans Burgkmair der Ältere,한스 부르크마이어
Bernd Alois Zimmermann,베른트 알로이스 치머만
Amandus Polanus von Polansdorf,아만두스 폴라누스
Heinz Flohe,하인츠 플로헤
Alexander Zickler,알렉산더 치클러
Natascha Keller,나타샤 켈러
Andreas Behm,안드레아스 벰
Heinz Kubsch,하인츠 쿠브슈
Louis Ferdinand von Preußen (1907–1994),루이 페르디난트 폰 프로이센 왕자 (1907년)
Uwe Bein,우베 바인
Jan Tschichold,얀 치홀트
Rudolf Rocker,루돌프 로커
Hans Richter (Dadaist),한스 리히터 (1888년)
Wladimir Nikolajewitsch Woinowitsch,블라디미르 보이노비치
Uli Stielike,울리 슈틸리케
Wolfgang Nordwig,볼프강 노르트비히
Johann Heinrich Alsted,요한 하인리히 알스테드
Tom Starke,톰 슈타르케
Bruno von Köln,쾰른의 브루노
Udo Lindenberg,우도 린덴베르크
Hans Schäfer (Fußballspieler),한스 셰퍼
Max Lorenz (Fußballspieler),막스 로렌츠
Werner Egk,베르너 에크
Norbert Meier,노르베르트 마이어
Wolfgang Köhler (Psychologe),볼프강 쾰러
Mehdi Mahdavikia,메흐디 마다비키아
Hans Bellmer,한스 벨머
Albrecht Haushofer,알브레히트 하우스호퍼
Ulrich Biesinger,울리히 비징거
Kurt Edelhagen,쿠르트 에델하겐
Maylin Wende,마일린 벤데
Nils Schumann,닐스 슈만
Boris Blacher,보리스 블라허
Eugen Schüfftan,오이겐 쉬프탄
Matthias Steiner,마티아스 슈타이너
Werner Lorant,베르너 로란트
Andreas Thom (Fußballspieler),안드레아스 톰
Philipp Bargfrede,필리프 바르크프레데
Rolf Rüssmann,롤프 뤼스만
Adolf Busch,아돌프 부슈
Robert F. Wagner,로버트 F. 와그너
Johann Karl August Musäus,요한 카를 아우구스트 무세우스
Julian Draxler,율리안 드락슬러
Ottmar Walter,오트마어 발터
Jan Schlaudraff,얀 슐라우드라프
Adam Matuschyk,아담 마투슈치크
Blixa Bargeld,블릭사 바르겔트
Andreas von Everdingen,안드레아스 폰 에베르딩겐
Maja Michailowna Plissezkaja,마이야 플리세츠카야
Ronald Maul,로날트 마울
Andreas Wecker,안드레아스 베커
Marcel Kittel,마르셀 키텔
Andrei Hoteev,안드레이 호테예프
Jan Josef Liefers,얀 요제프 리페르스
Rudolf Brandt (Jurist),루돌프 브란트
Hildrun Laufer,힐드룬 클라우스
Lothar Emmerich,로타어 에메리히
Hans Tilkowski,한스 틸코프스키
Helga Seidler,헬가 자이들러
"Michael Schulz (Fußballspieler, 1961)",미하엘 슐츠
Søren Nils Eichberg,쇠렌 닐스 아이히베르크
Herman Oskarowitsch Gref,게르만 그레프
Steffen Freund,슈테펜 프로인트
Holger Osieck,홀거 오지크
Liudolf (Schwaben),슈바벤 공작 리우돌프
Arthur Oncken Lovejoy,아서 옹켄 러브조이
Christian Schreier,크리스티안 슈라이어
Richard Honig,리하르트 호니히
Annalena Baerbock,아날레나 베어보크
Volker Beck (Leichtathlet),폴커 베크
Joachim Kunz,요아힘 쿤츠
Dettmar Cramer (Fußballtrainer),데트마어 크라머
Edgar Froese,에드가 프로제
Horst-Dieter Höttges,호르스트디터 회트게스
Paul von Schoenaich,파울 폰 쇠나이히 남작
Willy Kaiser,빌리 카이서
Oskar Fischer,오스카르 피셔
Tony Sheridan,토니 셰리던
Kurt Doerry,쿠르트 되리
Wolfgang Stresemann,볼프강 슈트레제만
Lars Ricken,라르스 리켄
Eduard Fraenkel,에두아르트 프랭켈
Georg Kulenkampff,게오르그 쿨렌캄프
Olaf Kölzig,올라프 쾰치크
Friedrich Merz,프리드리히 메르츠
Erich Ribbeck,에리히 리베크
Thomas Helmer,토마스 헬머
Yunus Malli,유누스 말르
Erwin Geschonneck,에르빈 게쇼네크
Jana Pallaske,야나 팔라스케
Klaus Toppmöller,클라우스 토프묄러
Johann Georg Pisendel,요한 게오르크 피젠델
Felix Brych,펠릭스 브리히
Sigfried Held,지크프리트 헬트
Wolfgang Weber (Fußballspieler),볼프강 베버
Jan Hoffmann (Eiskunstläufer),얀 호프만
Leon Balogun,레온 발로군
Konrad von Jungingen,콘라트 폰 융깅겐
Annette Humpe,아네테 훔페
Pascal Groß,파스칼 그로스
Lisa Tetzner,리자 테츠너
Jonas Cohn,요나스 콘
Rainer Barzel,라이너 바르첼
Katrin Rutschow-Stomporowski,카트린 루초슈톰포로프스키
Dietmar Mögenburg,디트마르 뫼겐부르크
Max Davidson,맥스 데이비슨
Samed Yesil,사메드 예실
Herbert Zimmermann (Fußballspieler),헤르베르트 치머만
Bernd Franke (Fußballspieler),베른트 프랑케
Wilfried Hannes,빌프리트 하네스
Tomma Abts,토마 압츠
André Breitenreiter,안드레 브라이텐라이터
Uwe Gensheimer,우베 겐스하이머
Leonardo Bittencourt,레오나르도 비텡코우르트
Walther Eichrodt,월터 아이크롯트
Sascha Mölders,사샤 묄더스
Mustafa Doğan,무스타파 도안
Albert Brülls,알버트 브륄스
Marco Rose,마르코 로제
Horst Eckel,호르스트 에켈
Katrin Meißner,카트린 마이스너
Richard Sukuta-Pasu,리차드 수쿠타 파수
Roland Wohlfarth,롤란트 볼파르트
Thomas Lange,토마스 랑게
Uwe Reinders,우베 라인더스
Michael Rummenigge,미하엘 루메니게
André Hahn (Fußballspieler),안드레 한
Daniel Stephan,다니엘 슈테판
Erich Hecke,에리히 헤케
Leon Goretzka,레온 고레츠카
Bernhard Schmidt (Optiker),베른하르트 슈미트
Martina Voss-Tecklenburg,마르티나 포스테클렌부르크
Caspar Memering,카스파르 메메링
Otto Rehhagel,오토 레하겔
Siegmund Lubin,지크문드 루빈
Reinhard Saftig,라인하르트 자프티히
Hans-Günter Bruns,한스귄터 브룬스
Walter Junghans,발터 융한스
Hans Bongartz,한스 봉가르츠
Ina Bauer,이나 바우어 (피겨스케이팅 선수)
Karl Leister,카를 라이스터
Johannes Fischer (Schlagzeuger),요하네스 피셔 (타악기주자)
Gerhard Tremmel,게르하르트 트레멜
Rudolf Ismayr,루돌프 이스마이어
Erich Beer,에리히 베어
Eckhard Krautzun,에크하르트 크라우춘
Daniel Hopfer,다니엘 호퍼
Marco Caligiuri,마르코 칼리지우리
Tobias Schweinsteiger,토비아스 슈바인슈타이거
Sandro Wagner,잔드로 바그너
André Schubert,안드레 슈베르트
Ronny Weller,로니 벨러
Albert Zürner,알베르트 취르너
Michael Skibbe,미하엘 스키베
Josef Sommer (Schauspieler),조지프 서머
Bernd Storck,베른트 슈토르크
Franz Anton Maulbertsch,프란츠 안톤 말베르츠
Frank Mill,프랑크 밀
Helmut Lachenmann,헬무트 라헨만
Marko Rehmer,마르코 레머
Jörg Michael,외르크 미하엘
Fin Bartels,핀 바르텔스
Herman Frank,헤르만 프랑크
Shkodran Mustafi,슈코드란 무스타피
Marcel Risse,마르셀 리세
Udo Quellmalz,우도 켈말츠
Jupp Derwall,유프 데어발
Hans Pflügler,한스 플뤼글러
Pierre-Michel Lasogga,피에르미셸 라조가
Thomas Quasthoff,토마스 크바스트호프
Werner Liebrich,베르너 리브리히
Bastian Oczipka,바스티안 오칩카
Christian Wetklo,크리스티안 베트클로
Valdet Rama,발데트 라마
Jan Kirchhoff,얀 키르히호프
Christian Wück,크리스티안 뷔크
Michael Zorc,미하엘 초어크
Ignaz Günther,프란츠 이그나츠 귄터
Werner Olk,베르너 올크
Heiner Goebbels,하이너 괴벨스
Bernhard Klodt,베른하르트 클로트
Günter Hermann,귄터 헤르만
Maximilian Hecker,막시밀리안 헤커
Yvan Goll,이반 골
Ralf Schumann,랄프 슈만
Klaus Wolfermann,클라우스 볼퍼만
Christoph Moritz,크리스토프 모리츠
Erik Möller,에릭 묄러
Ines Geißler,이네스 가이슬러
Paul Renner,파울 레너
Hans-Jochen Vogel,한스요헨 포겔
Benjamin Wess,베냐민 베스
Carl Galle,카를 갈레
Uli Stein (Fußballspieler),울리 슈타인
Hansi Flick,한지 플리크
Raphael Wolf,라파엘 볼프
Tony Jantschke,토니 얀치케
Lior Shamriz,리오 샴리즈
Dieter Burdenski,디터 부르덴스키
Ronald Worm,로날트 보름
Josephine Henning,요제피네 헤닝
Wolfgang Kleff,볼프강 클레프
Matthias Herget,마티아스 헤르게트
Antoine Monot,안톤 모놋 주니어
"Patrick Herrmann (Fußballspieler, 1991)",파트리크 헤르만
Fabian Johnson,페이비언 존슨
Diego Demme,디에고 데메
Paulo Rink,파울루 힝크
Mirko Votava,미로슬라프 포타바
Helmut Kremers,헬무트 크레머스
Apparat (Musiker),아파라트
Marco Engelhardt,마르코 엥엘하트
Eric Braeden,에릭 브래든
Heinrich (princeps militiae),하인리히 (프랑코니아)
Ulrich Tukur,울리히 투쿠어
Marvin Matip,마르뱅 마티프
Uli Borowka,울리히 보로프카
Olaf Marschall,올라프 마르샬
Natalie Horler,나탈리 홀러
Peter Maffay,페터 마파이
Milko Kelemen,밀코 켈레멘
Paul Steiner (Fußballspieler),파울 슈타이너
"Hans Bauer (Fußballspieler, 1927)",한스 바우어
Thomas Sydenham,토머스 시드남
Paul Mebus,파울 메부스
Dieter Herzog,디터 헤르초크
Egid Quirin Asam,에기트 퀴린 아잠
Rouven Sattelmaier,루펜 자텔마이어
Günter Bernard,귄터 베르나르트
Roland Brückner (Turner),롤란트 브뤼크너
Eric Frenzel,에리크 프렌첼
Thorsten Fink,토르스텐 핑크
Rudi Bommer,루돌프 보머
Karim Bellarabi,카림 벨라라비
Ernst Willimowski,에른스트 빌리모프스키
Sebastian Rode,제바스티안 로데
Sebastian Langkamp,세바스티안 랑캄프
Volker Braun,폴커 브라운
Oliver Reck,올리버 레크
Christian Eichner,크리스티안 아이히너
Hannes Löhr,하네스 뢰어
Herbert Erhardt,헤르베르트 에르하르트
Thomas Allofs,토마스 알로프스
Hubert Kah,후베르트 카
Peer Kluge,페어 클루게
Thomas Tuchel,토마스 투헬
Peter Thiel,피터 틸
Christian Nerlinger,크리스티안 네를링거
Max Slevogt,막스 슬레포크트
"Martin Wagner (Fußballspieler, 1968)",마르틴 바그너
Peter Popoff,피터 포포프
Franz Anton Hoffmeister,프란츠 안톤 호프마이스터
Dariusz Wosz,다리우시 보시
Luis Manuel Seijas,리스 마누엘 세이하스
Michael Preetz,미하엘 프레츠
Martin Max,마르틴 막스
Walter Braunfels,발터 브라운펠스
Eric Voegelin,에리히 푀겔린
Stefan Klos,슈테판 클로스
Albert Forster,알베르트 포르스터
Bernard Dietz,베르나르트 디츠
Alessandro Riedle,알레산드로 리들레
Lee Charm,이참
Michael Rother,미하엘 로터
Konrad Frey (Turner),콘라트 프라이
Fritz Laband,프리츠 라반트
Richard Herrmann (Fußballspieler),리하르트 헤르만
Herms Niel,헤름스 닐
Stefan Kretzschmar,슈테판 크레추마어
Wolf Hoffmann (Musiker),울프 호프만
Dennis Diekmeier,데니스 디크마이어
"René Schneider (Fußballspieler, 1973)",레네 슈나이더
Arthur Jonath,아르투어 요나트
Volker Finke,폴커 핑케
Uwe-Jens Mey,우베옌스 마이
Werner Bergengruen,베르너 베르겐그루엔
Thorben Marx,토르벤 마르크스
Otto I. (Schwaben),오토 1세 폰 슈바벤 공작
Jörg Woithe,외르크 보이테
Maik Franz,마이크 프란츠
Max von Schillings,막스 폰 실링스
Gustav Schuft,구스타프 슈프트
Frank Schaffer,프랑크 샤퍼
Norbert Eder,노르베르트 에더
Wolfgang Paul (Fußballspieler),볼프강 파울 (축구 선수)
Josef Posipal,요제프 포지팔
Wolfgang Dremmler,볼프강 드렘러
Axel Jungk,악셀 융크
Anna Schudt,아나 슈트
Manfred Binz,만프레트 빈츠
Rüdiger Abramczik,뤼디거 아브람치크
Maximilian Riedmüller,막시밀리안 리트뮐러
Kessler-Zwillinge,케슬러 쌍둥이
Jörg Böhme,외어흐 뵈메
Heinrich Kwiatkowski,하인츠 크비아트코프스키
Gunnar Sauer,구나르 자우어
Christopher Grotheer,크리스토퍼 그로테어
Axel Wegner,악셀 베그너
Aziz Bouhaddouz,아지즈 부하두즈
Torsten Voss,토르스텐 포스
Marco Russ,마르코 루스
Holger Hieronymus,홀거 히로니무스
Gerd Zewe,게르트 체베
Peter Dietrich (Fußballspieler),페터 디트리히
Manfred Manglitz,만프레트 망글리츠
Ralf Falkenmayer,랄프 팔켄마이어
Dietmar Danner,디트마어 다너
Peter Nogly,페터 노글리
Bernd Patzke,베른트 파츠케
Heinz Hornig,하인츠 호르니크
Hans Hartung,앙스 아르퉁
Hans Dorfner,한스 도르프너
Madison Ivy,매디슨 아이비
Werner Krämer (Fußballspieler),베르너 크레머
Peniel Mlapa,페니엘 음라파
Irmin Schmidt,이르민 슈미트
Robin Dutt,로빈 두트
Alexander Gassner,알렉산더 가스너
Horst Wolter,호르스트 볼터
Mergim Mavraj,머르김 마브라이
Konstantin Rausch,콘스탄틴 라우슈
Lars Stindl,라르스 슈틴들
Timo Wess,티모 베스
Timo Horn,티모 호른
Hakan Çalhanoğlu,하칸 찰하노을루
Marie Clothilde von Frankreich,프랑스의 클로틸드
Sophie in Bayern (1967),리히텐슈타인 후세자빈 조피
John Anthony Brooks,존 브룩스
Werner Rittberger,베르너 리트베르거
Tannhäuser (Dichter),탄호이저 (시인)
Sascha Lewandowski,사샤 레반도프스키
Karl-Heinz Metzner,카를하인츠 메츠너
Michael Frontzeck,미하엘 프론체크
Marvin Bakalorz,마빈 바칼로츠
"Jonas Hofmann (Fußballspieler, 1992)",요나스 호프만
Kerem Demirbay,케렘 데미르바이
Stefan Ortega Moreno,슈테판 오르테가
Hanns Kilian (Bobfahrer),한스 킬리안
Erwin Kremers,에르빈 크레머스
Fritz Szepan,프리츠 슈체판
Heiko Herrlich,하이코 헤를리히
Norbert Nigbur,노르베르트 니크부어
Jörg Freimuth,외르크 프라이무트
Carsten Nicolai,알바 노토
Benedict Wells,베네딕트 벨스
Dirk Theismann,디르크 타이스만
Franz von Liszt,프란츠 폰 리스트
Wolfram Wuttke,볼프람 부트케
Ditmar Jakobs,디트마어 야콥스
Marvin Ducksch,마르빈 두크슈
Erik Durm,에리크 두름
Marcel Halstenberg,마르셀 할스텐베르크
Berti Vogts,베르티 포크츠
Norbert Weber (Benediktiner),노르베르트 베버
