Polska,波兰
Bazylika Świętego Krzyża w Warszawie,圣十字圣殿·(华沙)
Jednostka Wojskowa GROM,行動應變及機動組
TVP Info,波蘭電視台資訊頻道
Muzeum Kolekcji im. Jana Pawła II Fundacji Carroll-Porczyńskich w Warszawie,若望·保祿二世藏品博物館
Muzeum Książąt Czartoryskich w Krakowie,恰尔托雷斯基博物馆
Brama Zielona,绿门·(格但斯克)
Stocznia Gdańska,格但斯克造船厂
Katedra Świętych Apostołów Piotra i Pawła w Gliwicach,聖伯多祿和聖保祿主教座堂·(格利維采)
Katedra Podwyższenia Krzyża Świętego w Opolu,聖十字主教座堂·(奧波萊)
Kasprowy Wierch,卡斯普羅維峰
Geografia Polski,波蘭地理
Marszałek Polski,波兰元帅
Oliwa (Gdańsk),奧利瓦·(波蘭)
Mogilica (rzeka),莫吉利察河
Bazylika archikatedralna w Gdańsku-Oliwie,天主圣三、圣母玛利亚及圣伯尔纳铎圣殿总主教座堂
Bazylika prymasowska Wniebowzięcia Najświętszej Maryi Panny w Gnieźnie,圣母升天圣亚德伯圣殿总主教座堂
Kościół Świętej Trójcy w Krakowie (ul. Stolarska),天主圣三圣殿·(克拉科夫)
Pietrówka,佩特魯夫卡河
Województwo bielskie,別爾斯科-比亞瓦省
Pilawa (miasto),皮拉瓦
Nowa Sarzyna,新薩日納
Tyszowce,蒂紹夫采
Planty (Kraków),普蘭提公園
Ostrów Lubelski,盧布林地區奧斯特魯夫
Zwierzyniec (miasto),茲維日涅茨
Zagórz,扎古日
Suchedniów,蘇海德紐夫
Tyczyn,蒂琴
Skawa (rzeka),斯卡瓦河
Drawa (dopływ Noteci),德拉瓦河·(波蘭)
Drawsko (jezioro),德拉瓦湖
Stal Stalowa Wola (piłka nożna),斯達路禾足球會
Rodzimowierstwo słowiańskie,斯拉夫本土教
Ergo Arena,埃爾戈體育館
Targówek,塔尔古韦克区
Nysa Kłodzka,尼斯克沃茲卡河
Pocysterskie opactwo w Krzeszowie,克熱舒夫修道院
"Państwowa Wyższa Szkoła Filmowa, Telewizyjna i Teatralna im. Leona Schillera w Łodzi",羅茲電影學院
Mołstowa,莫烏斯托瓦河
Rawa (dopływ Brynicy),拉瓦河·(布雷尼察河支流)
Motława,摩特拉瓦河
Pałac Mostowskich w Warszawie,莫斯托夫斯基宮
Toruń Główny,托倫火車總站
Województwo częstochowskie,琴斯托霍瓦省
Województwo siedleckie,謝德爾采省
Uniwersytet Szczeciński,什切青大学
Województwo chełmskie,海烏姆省·(1975-1998)
Pionki,皮翁基
Województwo toruńskie,托倫省
Województwo skierniewickie,斯凱爾涅維采省
Województwo sieradzkie,謝拉茲省
Wisła Płock (piłka nożna),维斯瓦普沃茨克
Muzeum Ziemi PAN w Warszawie,地球博物館·(波蘭)
Kamienna (dopływ Wisły),卡緬納河
Wisłok,維斯沃克河
Łaskarzew,瓦斯卡熱夫
Województwo słupskie,斯武普斯克省
Zamek Ostrogskich w Warszawie,奧斯卓斯基宮
Blachownia,布拉霍夫尼亞
Województwo suwalskie,蘇瓦烏基省
Województwo łomżyńskie,沃姆札省
Zamek Ujazdowski w Warszawie,烏亞茲多夫城堡
Herb Wrocławia,弗羅茨瓦夫市徽
Osława,奧斯瓦瓦河
Uniwersytet Gdański,格但斯克大学
Muzeum Sztuki Nowoczesnej w Warszawie,華沙摩登藝術博物館
Kultura polska,波蘭文化
Pałac Krasińskich w Warszawie,克拉辛斯基宮
Rembertów,伦贝尔图夫区
Siechnice,謝赫尼采
Radunia (rzeka),拉杜尼亞河
Jezioro Solińskie,索利納湖
OLiS,OLiS
Sołectwo,村·(波兰)
Gościno,戈希齊諾
Unia Pracy,勞動聯盟
Dobre Miasto,多布雷城
Camerimage,Camerimage電影攝影藝術國際影展
Polska Organizacja Wojskowa,波蘭軍事組織
Lipsk (gmina),利普斯克乡
Ursus (Warszawa),烏爾蘇斯區
Getto w Kielcach,凯尔采隔都
Diecezja zielonogórsko-gorzowska,天主教绿山城-戈茹夫教区
Nida (dopływ Wisły),尼達河
Kłodnica,克沃德尼察河
Diecezja warszawsko-praska,天主教华沙-普拉加教区
Kunów (jezioro),庫努夫湖
Katedra polowa Wojska Polskiego,波蘭軍隊主教座堂
Ner,內爾河·(瓦爾塔河支流)
Ordynariat Polowy Wojska Polskiego,天主教波蘭軍中教長區
Lublin Główny,盧布林火車總站
Muzeum Narodowe w Gdańsku,格但斯克國家博物館
Szypliszki (gmina),希普利什基乡
Słupia (rzeka),斯武皮亚河
Broń masowego rażenia w Polsce,波蘭與大規模殺傷性武器
Opactwo Cystersów w Mogile,莫吉拉熙笃会修道院
Opactwo Cystersów w Lubiążu,盧比亞茲修道院
Bazylika konkatedralna Wniebowzięcia Najświętszej Maryi Panny w Kołobrzegu,科沃布热格圣母升天圣殿共主教座堂
Pałac Paca w Warszawie,帕克宮·(華沙)
Radew,拉代夫河
Wieprza,維普扎河
Zakerzonie,外寇松地區
Świsłocz (dopływ Niemna),斯維斯拉奇河·(尼曼河支流)
Żyrardów (stacja kolejowa),日拉爾杜夫車站
Liwiec,利維茨河
E373 (trasa europejska),欧洲E373公路
Pałac Lubomirskich w Warszawie,盧博米爾斯基宮·(華沙)
Rawa Blues Festival,拉瓦藍調音樂節
Martwa Wisła,死維斯瓦河
Ratusz Głównego Miasta w Gdańsku,格但斯克主城市政厅
Malbork (stacja kolejowa),馬爾堡車站
Awaryjne lądowanie lotu PLL LOT 016,LOT波蘭航空16號班機事故
Kopiec Józefa Piłsudskiego w Krakowie,毕苏斯基丘
Żywiec (stacja kolejowa),日維茨車站
Województwo warszawskie (1975–1998),華沙省·(1945-1998)
Krzywa Wieża w Toruniu,托倫斜塔
Pasłęka,帕斯文卡河
Dzika Orlica,迪沃卡奧爾利采河
Niegocin,涅戈欽湖
Wilanów,维拉努夫区
Związek Harcerstwa Polskiego,波蘭童軍總會
Bazylika archikatedralna Świętych Apostołów Piotra i Pawła w Poznaniu,圣伯多禄圣保禄圣殿总主教座堂
Zamek Dunajec,涅茲卡城堡
Ulica Marszałkowska w Warszawie,馬薩科斯卡大街
Nurzec (rzeka),努熱茨河
Tramwaje w Gdańsku,格但斯克電車
Gorzów Wielkopolski (stacja kolejowa),大波兰地区戈茹夫车站
Muzeum Śląskie w Katowicach,西里西亚博物馆·(卡托维兹)
Biblioteka Śląska,西里西亚图书馆
Demografia Polski,波蘭人口
Kraków Główny,克拉科夫火車總站
Zamek Książąt Pomorskich w Darłowie,達爾沃沃城堡
PlusLiga,波蘭男子排球聯賽
Ożarów Mazowiecki,馬佐夫舍地區奧扎魯夫
Zwoleń (powiat zwoleński),茲沃倫·(波蘭)
Archidiecezja gdańska,天主教格但斯克总教区
Rawka (rzeka),拉夫卡河
Mordy,莫爾迪
Łomianki,沃米安基
Krutynia,克魯蒂尼亞河
Parsęta,帕爾森塔河
Mogielnica,莫蓋爾尼察
Zabłudów,扎布武杜夫
Rejowiec Fabryczny,雷約維茨法布里奇內
Wasilków,瓦西爾庫夫
Rajgród,拉伊格魯德
Stawiski,斯塔維斯基
Opole Lubelskie,盧布林地區奧波萊
Wolbrom,沃爾布羅姆
Ustrzyki Dolne,下烏斯奇基
Supraśl,蘇普拉希爾
Łosice,沃西采
Ratusz w Głogówku,格沃古韋克市政廳
Wadąg (rzeka),瓦棟格河
Łaszczów,瓦什丘夫
Komunistyczna Partia Polski (2002),波兰共产党·(2002年)
Bazylika Bożego Ciała w Krakowie,基督圣体圣殿·(克拉科夫)
Sobór św. Aleksandra Newskiego w Warszawie,亞歷山大·涅夫斯基主教座堂·(華沙)
Nałęczów,納文丘夫
Medyka,梅迪卡
Uniwersytet Medyczny w Lublinie,盧布林醫科大學
Białystok (stacja kolejowa),比亞維斯托克車站
Nowogród,諾沃格魯德
Zawichost,扎維霍斯特
Tuchów,圖胡夫
Ryki,雷基
Ożarów,奧扎魯夫
Tarczyn,塔爾琴
Ordynariat dla wiernych obrządków wschodnich w Polsce,亞美尼亞禮天主教波蘭教長區
Język ormiańsko-kipczacki,亞美尼亞欽察語
Zakład Narodowy im. Ossolińskich,国立奥索林斯基研究所
Jednostka Wojskowa Formoza,福爾摩沙部隊
Filipów (gmina),菲利普夫乡
Gdańsk Żabianka-AWFiS,格但斯克札比安卡-AWFiS車站
Osiedle,次分区·(波兰)
Polska Partia Pracy – Sierpień 80,波兰劳动党—80年8月
Parlament Rzeczypospolitej Polskiej,波兰议会
Hajnówka (gmina wiejska),哈伊努夫卡乡
Białowieża,比亞沃維耶扎
Narew (gmina),纳雷夫乡
Pałacyk Sikorskiego,西科爾斯基宮
Getto będzińskie,本津隔都
Bakałarzewo (gmina),巴卡瓦热沃乡
Pruchnik,普魯赫尼克
Prudnik (rzeka),普魯德尼克河·(奧索布洛加河支流)
Raczki (gmina),拉奇基乡
Zamek w Będzinie,本津城堡
Praga-Północ,北普拉加区
Praga-Południe,南普拉加区
Zatoka Pucka,普茨克灣
Pałac Sobańskich w Warszawie,索班斯基宮
Most Poniatowskiego,波尼亞托夫斯基橋
Pomnik Mikołaja Kopernika w Toruniu,哥白尼纪念碑·(托伦)
Park Skaryszewski im. Ignacego Jana Paderewskiego w Warszawie,斯卡伊茨維斯基公園
Aleje Jerozolimskie w Warszawie,耶路撒冷大道
Dubicze Cerkiewne (gmina),杜比切-采尔凯夫内乡
Narewka (gmina),纳雷夫卡乡
Kleszczele (gmina),克莱什切莱乡
Czyże (gmina),奇热乡
Białowieża (gmina),比亚沃维耶扎乡
Czeremcha (gmina),切雷姆哈乡
Bazylika Narodzenia Najświętszej Maryi Panny w Chełmie,圣母圣诞圣殿·(海乌姆)
Nowe Brzesko,新布熱斯科
Lipsko,利普斯科
Parczew,帕爾切夫
Ogród Saski w Warszawie,薩克森花園
TVP1,波蘭電視台第一台
Jeleniewo (gmina),耶莱涅沃乡
Bobowa,博博瓦
Granica polsko-litewska,立陶宛—波蘭邊界
Jezioro Maltańskie,馬爾塔湖
Tychowo,蒂霍沃
Aleje Ujazdowskie w Warszawie,烏亞茲多夫大道
Samica Kierska,薩米察凱爾斯卡河
Dolny Śląsk,下西里西亚
Zielona Góra Główna,綠山城火車總站
Czyżew,奇熱夫
Wybory parlamentarne w Polsce w 1989 roku,1989年波蘭議會選舉
Kościół św. Maurycego we Wrocławiu,圣穆里思堂·(弗罗茨瓦夫)
Kościół Najświętszej Marii Panny na Piasku we Wrocławiu,沙地圣母堂
Warszawa Śródmieście,华沙斯罗德米斯切车站
Wiżajny (gmina),维扎伊内乡
Zbrzyca (rzeka),茲布日察河
Rutka-Tartak (gmina),鲁特卡-塔尔塔克乡
Michałowo,米哈沃沃
Województwo włocławskie,弗沃茨瓦韋克省
Rymanów,雷馬努夫
Przecław,普熱茨瓦夫
Czarny Dunajec (miasto),黑杜納耶茨
Pozdrowienia z Alej Jerozolimskich,华沙人造椰枣树
Pałac Branickich w Białymstoku,布蘭尼基宮·(比亞韋斯托克)
Przerośl (gmina),普热罗希尔乡
Oś Saska,萨克森中轴线
Zamek w Golubiu,戈盧布-多布任城堡
Sudety Zachodnie,西苏台德
Bochotnica,波葛列查
Zamek w Lublinie,盧布林城堡
Ziemie Odzyskane,收復的領土
Kotlina Sandomierska,桑多梅日盆地
Pałac Tyszkiewiczów w Warszawie,蒂什基維奇宮
Tarnów (stacja kolejowa),塔爾努夫車站
Polski Komitet Olimpijski,波蘭奧林匹克委員會
Warszawa Zachodnia,华沙西站
Wiar,維戈爾河
Synagoga im. Małżonków Nożyków w Warszawie,諾茲克猶太會堂
Województwo krakowskie (II Rzeczpospolita),克拉科夫省·(1919-1939)
Droga Królewska (Kraków),皇家之路·(克拉科夫)
Mistrzostwa Świata Juniorów Młodszych w Lekkoatletyce 1999,1999年世界少年田径锦标赛
Granica polsko-ukraińska,波蘭—烏克蘭邊界
Rynek Starego Miasta w Warszawie,老城集市广场·(华沙)
Samodzielna Brygada Strzelców Karpackich,波兰独立喀尔巴阡步枪旅
Niezależny Samorządny Związek Zawodowy Rolników Indywidualnych „Solidarność”,团结农会
Katedra św. Mikołaja w Bielsku-Białej,聖尼古拉斯主教座堂·(別爾斯科-比亞瓦)
Sport w Polsce,波蘭體育
Granica polsko-białoruska,白俄罗斯–波兰边境
Narol,納羅爾
Oświęcim (stacja kolejowa),奧斯威辛車站
Pałac Uruskich,烏魯斯基宮
Synagoga w Lesku,萊斯科猶太會堂
Sky Tower we Wrocławiu,天空塔·(弗羅茨瓦夫)
Zamek w Krasiczynie,克拉希津城堡
Daleszyce,達萊希采
Ostrów Tumski we Wrocławiu,弗罗茨瓦夫座堂岛
Monaster Zwiastowania Przenajświętszej Bogurodzicy i św. Jana Teologa w Supraślu,苏普拉希尔修道院
1 Armia Wojska Polskiego,波蘭第1軍團·(第二次世界大戰)
Mistrzostwa Świata w Piłce Siatkowej Mężczyzn 2014,2014年世界男子排球锦标赛
Wejherowo (stacja kolejowa),韋伊海羅沃車站
Polski wkład w II wojnę światową,第二次世界大戰期間的波蘭軍事史
Chełmno (powiat kolski),内尔河畔海乌姆诺
Jezioro Drwęckie,德爾文察湖
Związek Producentów Audio-Video,波蘭音像製造商協會
Park Ujazdowski w Warszawie,烏亞茲多夫公園
Historia Wrocławia,弗罗茨瓦夫历史
Wybory parlamentarne w Polsce w 1935 roku,1935年波蘭議會選舉
Wybory parlamentarne w Polsce w 1957 roku,1957年波蘭議會選舉
Wybory parlamentarne w Polsce w 1947 roku,1947年波蘭議會選舉
Południk Warszawski,華沙子午線
Referendum w Polsce w 1987 roku,1987年波兰政治经济改革公投
Twierdza Zamość,扎莫希奇要塞
Tyniec (Kraków),泰涅克
World Games 2017,2017年世界運動會
Gdynia Wzgórze Św. Maksymiliana,格丁尼亞聖馬克西米利亞納山車站
Muzeum Narodowe w Szczecinie,什切青國家博物館
Leśna Prawa,普拉瓦亞普拉瓦河
Szlamica,什利亞米察河
Wojsko Polskie we Francji (1939–1940),在法波军
Synagoga Izaaka Jakubowicza w Krakowie,以撒会堂
Biała (dopływ Supraśli),比亞瓦河·(納雷夫河支流)
Bitwa pod Komarowem,卡莫罗战役
Pomnik Mikołaja Kopernika w Warszawie,哥白尼纪念碑·(华沙)
Baumkuchen,年輪蛋糕
Prezes Rady Ministrów,波兰总理
Synagoga Stara w Krakowie,舊猶太會堂
Muzeum Fryderyka Chopina w Warszawie,蕭邦博物館
Open’er Festival,露天音樂節
Marycha,馬雷哈河
Zamek w Chęcinach,亨齊內城堡
Stupnica,斯圖普尼察河
Katastrofa lotnicza w Lesie Kabackim,LOT波蘭航空5055號班機空難
Warszawa Wschodnia,華沙東站
Dasze,達沙村
Częstochowa (stacja kolejowa),琴斯托霍瓦車站
Mały Staw (jezioro w Karkonoszach),小斯塔夫湖
Synagoga Kupa w Krakowie,庫帕猶太會堂
Zamek w Bobolicach,博博利采城堡
Dzierzbia (rzeka),傑日比亞河
Kościół św. Jacka w Warszawie,聖雅辛特教堂
Cerkiew św. Jana Klimaka w Warszawie,聖約翰·克利馬科斯東正教堂
Cerkiew św. Michała Archanioła w Warszawie,天使長米迦勒教堂·(華沙)
Bieńkowce,邊基夫齊
Brony,布羅尼·(羅茲省)
Szkło (dopływ Sanu),什克洛河
Muzeum Archeologiczne w Krakowie,克拉科夫考古博物馆
Teatr im. Juliusza Słowackiego w Krakowie,尤利烏什·斯沃瓦茨基劇院
Wełna (rzeka),韋烏納河
Stronnictwo Ludowe,人民党·(波兰)
Synagoga Poppera w Krakowie,沃爾夫·波佩猶太會堂
Katedra św. Mikołaja w Elblągu,聖尼古拉斯主教座堂·(埃爾布隆格)
Wyrwa (dopływ Wiaru),維爾瓦河·(維戈爾河右支流)
Spółdzielczy Dom Handlowy „Feniks” we Wrocławiu,巴拉什兄弟百货公司
Kościół św. Aleksandra w Warszawie,聖亞歷山大教堂
Pałac w Nieborowie,涅博魯夫宮
Jezioro Figurowe,阿爾吉湖
Linia M2 metra w Warszawie,华沙地铁2号线
Mistrzostwa Świata w Podnoszeniu Ciężarów 1969,1969年世界举重锦标赛
Synagoga Tempel w Krakowie,圣殿会堂
Mistrzostwa Świata w Podnoszeniu Ciężarów 1959,1959年世界举重锦标赛
Kościół Wniebowzięcia Najświętszej Maryi Panny i św. Józefa Oblubieńca w Warszawie,加爾默羅會教堂
Kościół św. Marcina w Warszawie,聖瑪爾定教堂·(華沙)
Wielkie Wierzno,大维日诺
Białka (dopływ Dunajca),比亞烏卡河·(杜納耶茨河支流)
Biała Fabryka Geyera,白工廠
Kościół św. Mateusza w Łodzi,聖馬太教堂·(羅茲)
Jezioro Lidzbarskie,利茲巴克湖
Dąbrowa Mała (jezioro),小棟布羅瓦湖
Muzeum Marii Skłodowskiej-Curie w Warszawie,瑪麗·居禮博物館
Wina polskie,波兰葡萄酒
Mistrzostwa Świata w Podnoszeniu Ciężarów Kobiet 1996,1996年世界举重锦标赛
Pałac Izraela Poznańskiego,以色列波茲南斯基宮
Plac Teatralny w Warszawie,劇院廣場·(華沙)
Zamek w Rzeszowie,熱舒夫城堡
Kościół św. Floriana w Krakowie,圣福里安圣殿·(克拉科夫)
Sobór św. Jana Chrzciciela w Przemyślu,聖若翰洗者主教座堂·(普熱梅希爾)
Dąbrowa Wielka (jezioro),大棟布羅瓦湖
Ogród Botaniczny Uniwersytetu Wrocławskiego,弗罗茨瓦夫大学植物园
Bazylika katedralna Narodzenia Najświętszej Maryi Panny w Sandomierzu,桑多梅日圣母圣诞圣殿主教座堂
Park Szczytnicki,斯特尼基公園
Strzegomka (dopływ Bystrzycy),斯切戈姆卡河
Kościół św. Henryka we Wrocławiu,圣皇亨利堂
Kościół św. Idziego we Wrocławiu,圣艾智德堂·(弗罗茨瓦夫)
Kościół św. Augustyna we Wrocławiu,圣奥斯定堂·(弗罗茨瓦夫)
Zamek Królewski w Łęczycy,文奇察城堡
Zamieszki krakowskie 1923 roku,1923年克拉科夫骚乱
Chleb żytni,黑麦面包
Śródmieście (Gdańsk),希鲁德梅希切区·(格但斯克)
Kościół Najświętszego Serca Pana Jezusa w Krakowie (ul. Kopernika),耶稣圣心圣殿·(克拉科夫)
Powiat namysłowski,納梅斯武夫縣
Bolemka,博萊姆卡河
Usnarka,烏斯納爾卡河
Jezioro Czorsztyńskie,喬爾什滕湖
Klikawa (potok),克利卡瓦河
Popowo (gmina Tłuchowo),波波沃
Banówka (rzeka),巴努夫卡河
Mariampol (Ukraina),馬里亞姆皮利
Obrona Przemyśla (1939),普熱梅希爾戰役·(1939年)
Łutownia,武托夫尼亞河
Odła,奧德拉河·(斯維斯洛奇河支流)
Bazylika konkatedralna św. Jakuba w Olsztynie,奥尔什丁圣雅各伯宗徒圣殿共主教座堂
Bolszewka,博爾謝夫卡河
Mszanka (dopływ Dniestru),姆沙涅齊河·(德涅斯特河支流)
Port morski Szczecin,什切青港
Port morski Gdynia,格丁尼亞港
Muzeum Armii Krajowej w Krakowie,克拉科夫波兰家乡军博物馆
Białoławka,比亞沃瓦夫卡河
Rata,拉塔河
11 bit studios,11·bit·studios
Polska Partia Socjalno-Demokratyczna Galicji i Śląska Cieszyńskiego,波蘭加利西亞社會民主黨
Narodowy Spis Powszechny Ludności i Mieszkań 2002,2002年波蘭人口普查
Strwiąż,斯特里維戈爾河
Lista stacji metra w Warszawie,華沙地鐵車站列表
Sołokija,索洛基亞河
Getto w Sosnowcu,索斯诺维茨隔都
Cmentarz Bródnowski,布羅德諾公墓
Narodowe Muzeum Morskie w Gdańsku,格但斯克國家海事博物館
Bromberg-Ost,布龙贝格-东方集中营
Baltic Pipe,波羅的海天然氣管道
Jezioro Łańskie,萬斯克湖
Orzysz (jezioro),奧日什湖
Kaplica bł. Bronisławy w Krakowie,真福布朗尼斯拉瓦小堂
Kościół Wniebowzięcia Najświętszej Maryi Panny w Krakowie (Bielany),卡瑪爾多利會隱修院·(克拉科夫)
Cieszynka (rzeka),切申卡河
Bazylika archikatedralna Wniebowzięcia Najświętszej Maryi Panny i św. Jana Chrzciciela w Przemyślu,圣母升天圣若翰洗者圣殿总主教座堂
Archikolegiata w Tumie,聖瑪麗和聖亞歷克烏斯學院教堂
Komunistyczna Partia Polski (1965–1996),波兰共产党·(米雅尔)
Bukowa (dopływ Sanu),布科瓦河·(桑河支流)
Płutnica,普武特尼察河
Reda (rzeka),雷達河
Pomorze Gdańskie,但泽波美拉尼亚
Okalica,奧卡利察河
Stosunki polsko-chińskie,中國—波蘭關係
Muzeum Historyczne Miasta Krakowa,克拉科夫歷史博物館
Cybina,齊比納河
Bystrzyca (dopływ Nysy Kłodzkiej),貝斯奇察沃姆尼察河
Karwowo (jezioro),卡爾沃沃湖
Lubaczówka,柳巴奇夫卡河
Bziniczka,布濟尼奇卡河
Dzierżęcinka,傑日任欽卡河
Błotnica (rzeka),布沃特尼察河
Chraponianka,赫拉波尼安卡河
Kościół Najświętszego Zbawiciela w Warszawie,至聖救世主教堂
Bazylika Nawiedzenia Najświętszej Maryi Panny w Krakowie (Na Piasku),圣母往见圣殿·(克拉科夫)
Kościół Najświętszej Maryi Panny z Lourdes w Krakowie,露德圣母教堂·(克拉科夫)
Chwiszczej,赫維什切伊河
Kościół Zwiastowania Najświętszej Maryi Panny w Zamościu,法蘭西斯會教堂·(扎莫希奇)
Czerwona (rzeka),切爾沃納河
Dębosznica,登博什尼察河
Gardominka,加爾多明卡河
Desno,戴斯瑙
Długa (rzeka),德武加河
Most Gdański,格但斯克橋
Stosunki polsko-gruzińskie,格魯吉亞—波蘭關係
Grabinka (dopływ Wisłoki),格拉比尼安卡河
Zamek w Gniewie,格涅夫城堡
Gnilec (struga),格尼萊茨河
Dzierzążnica,傑爾宗日尼察河
Jakać (dopływ Ruża),亞卡奇河
Zamek Biskupów Warmińskich w Lidzbarku Warmińskim,瓦爾米亞利茲巴克城堡
Gwiazdy (jezioro),格維亞茲達湖
Wielka Synagoga w Tykocinie,蒂科欽猶太會堂
Solidarność Walcząca,战斗团结工会
Gowienica Miedwiańska,梅德維戈維尼察河
Gowienica,戈維尼察河
Grudzianka (rzeka),格魯濟安卡河
Gryżynka (potok),格雷任卡河
Sokołda (rzeka),索科烏達河
Szablon:Polskie miasto infobox,Template:Infobox·polska
Gręziniec,格倫濟涅茨河
Gulczanka,古爾錢卡河
Mistrzostwa Świata w Podnoszeniu Ciężarów 2013,2013年世界舉重錦標賽
Jarka,亞爾卡河
Kleparz,克莱帕日
Stara Synagoga w Jedwabnem,耶德瓦布內猶太會堂
Kisielina,基謝利納河
Kacanka (rzeka),卡坎卡河
Kadzidłowo,卡兹德沃沃
Kokna,科克納河
Hoczewka,霍切夫卡河
5 Wileńska Brygada Armii Krajowej,家乡军第5维尔诺旅
IS-3 ABC,初级-1型滑翔机
I Korpus Polski (PSZ),波兰第1军
Kolejówka (potok),科萊尤夫卡河
Stosunki polsko-włoskie,意大利—波蘭關係
Kamienica (prawy dopływ Dunajca),卡梅尼察河
Pałac w Kozłówce,科茲羅夫宮
Plac Krasińskich w Warszawie,克拉尼斯基廣場
Biblioteka Ordynacji Krasińskich w Warszawie,克拉辛斯基图书馆
Zamek Tenczyn,滕津城堡
Liwa,利瓦河·(諾加特河支流)
Jezioro Tarnobrzeskie,塔爾諾布熱格湖
Firlej (jezioro),菲爾萊伊湖
Lachówka (potok),拉胡夫卡河
Ukiel,烏凱爾湖
Marózka,馬魯日卡河
Ratusz Staromiejski w Toruniu,托伦老城市政厅
Moszczenica (dopływ Bzury),莫什切尼察河
Mała Ina,小伊納河
Muzeum Archidiecezjalne w Krakowie,克拉科夫总教区博物馆
Żywe Muzeum Piernika w Toruniu,托倫薑餅博物館
Muzeum Katedralne im. Jana Pawła II na Wawelu,若望保禄二世主教座堂博物馆
Muzeum Czynu Niepodległościowego,克拉科夫独立运动博物馆
Herb Łodzi,羅茲市徽
Miedwinka,梅德溫卡河
Ambasadorowie Chin w Polsce,中国驻波兰大使列表
Sopot (dopływ Tanwi),索波特河
Szkarpawa,什卡爾帕瓦河
Płonka (dopływ Wkry),普翁卡河
Białowieski Park Narodowy,比亞沃維耶扎國家公園
Ulica Miodowa w Warszawie,蜂蜜街
Jezioro Rusałka (Poznań),魯薩烏卡湖·(波茲南)
Narodowe Forum Muzyki,全国音乐论坛
Piaśnica,皮亞希尼察河
Zimnica (rzeka),濟姆尼察河
Jezioro Mokre (województwo warmińsko-mazurskie),莫克雷湖·(瓦爾米亞-馬祖里省)
Zamek Królewski w Nowym Sączu,新松奇城堡
Pomnik Mikołaja Kopernika w Krakowie,哥白尼纪念碑·(克拉科夫)
Rynek Nowego Miasta w Warszawie,新城集市廣場·(華沙)
Aktion Krakau,克拉科夫的莱茵哈德行动
Symsarna,瑟姆薩爾納河
Grupa kapitałowa CD Projekt,CD·Projekt
Plac Defilad w Warszawie,阅兵广场
Niedrzew Drugi,第二麗的雪芙
Niemica (rzeka),涅米卡河
Okalewka,奧卡萊夫卡河
Perznica,佩日尼察河
Pełcznica (rzeka),佩烏奇尼察河
Synagoga w Przedborzu,普熱德布日猶太會堂
Polska A i B,波蘭A和B
Polska na Zimowych Igrzyskach Olimpijskich 2014,2014年冬季奧林匹克運動會波蘭代表團
Jezioro Ostrowskie (kujawsko-pomorskie),奧斯特羅夫湖
Stosunki polsko-ukraińskie,波蘭—烏克蘭關係
Przewodów,普热沃杜夫
Zamek w Pszczynie,普什奇納城堡
Radęca,拉登察河
Piotrowice (powiat otwocki),皮奥特罗维策
Rekowa,雷科瓦河
Jezioro Słupeckie,斯武普察湖
Niemiecki obóz przesiedleńczy w Potulicach,博图里采集中营
Pyrkon,皮爾康奇幻節
Sierpienica,謝爾佩尼察河
Płoska (rzeka w Polsce),普沃斯卡河
Lipno (jezioro w województwie pomorskim),利普諾湖
Rykolanka,雷科蘭卡河
Pomnik Powstańców Śląskich,西里西亚起义纪念碑
Rzeszów Główny,热舒夫火车总站
Jezioro Rożnowskie,羅日努夫湖
Jezioro Dobczyckie,多布奇采湖
Stara Rega (rzeka),斯塔拉雷加河
Sajna (rzeka),薩伊納河
Stare Miasto (Szczecin),什切青老城区
Zamek w Sandomierzu,桑多梅日城堡
Galeria Sztuki Polskiej XIX wieku w Sukiennicach,纺织会馆博物馆
Kategoria:Polskie linie lotnicze,Category:波蘭航空公司
Ratusz w Słupsku,斯武普斯克市政廳
Tajwan (województwo kujawsko-pomorskie),塔伊万
Pomnik Tadeusza Kościuszki na Wawelu,塔德乌什·柯斯丘什科纪念碑·(克拉科夫)
Sołotwa,索洛特瓦河
Kościół św. Kazimierza w Warszawie,聖加西彌祿教堂·(華沙)
Jarmark św. Dominika,聖多明尼克市集
Tyrawka,蒂拉夫卡河
Tywa,蒂瓦河
Krypta św. Leonarda na Wawelu,圣良纳墓穴
Bazylika św. Szczepana i Matki Boskiej Boguckiej w Katowicach,圣斯德望圣殿·(卡托维兹)
Katedra Wniebowzięcia Najświętszej Maryi Panny w Gorzowie Wielkopolskim,聖瑪麗主教座堂·(大波蘭地區戈茹夫)
Kościół Mariacki w Katowicach,聖瑪麗教堂·(卡托維治)
Szotkówka (dopływ Olzy),紹特庫夫卡河
Ukleja (rzeka),烏克萊亞河
Międzynarodowy Festiwal Wratislavia Cantans,Wratislavia·Cantans國際音樂節
Unieść,烏涅希奇河
Trojany (województwo mazowieckie),特洛疆尼
Trojanka (rzeka),特羅揚卡河
Wrocławski Teatr Lalek,弗羅茨瓦夫普佩特劇場
Fontanna multimedialna we Wrocławiu,弗羅茨瓦夫噴泉
Trzebośnica,切博希尼察河
Okręg wyborczy nr 19 do Sejmu Rzeczypospolitej Polskiej,華沙一·(議會選區)
Tuja (rzeka),圖亞河
Most Tumski,圖姆斯基橋
Wyszewka,維謝夫卡河
Widawka (rzeka),維達夫卡河
Winobranie w Zielonej Górze,綠山城葡萄酒節
