Angela Merkel,アンゲラ・メルケル
Hans-Dietrich Genscher,ハンス・ディートリッヒ・ゲンシャー
Rudolf Smend,ルドルフ・スメント
Willi Eichler,ヴィリー・アイヒラー
Tim Seyfi,ティム・ザイフィ
Margarete Schlegel,マルガレーテ・シュレーゲル
Arnd Klawitter,アルント・クラビッター
Maria Sebaldt,マリア・セバルト
Jürgen Knieper,ユルゲン・クニーパー
Ludwig Fick,フランツ・ルートヴィヒ・フィック
Heinz Schimmelpfennig,ハインツ・シンメルプフェニヒ
Valeska Grisebach,ヴァレスカ・グリーゼバッハ
Ludwig Kiepert,ルードヴィヒ・キーペルト
Daniela Driendl,ダニエラ・ドリエンドル
Gerhard Schürer,ゲアハルト・シューラー
Kurt Pinthus,クルト・ピントゥス
Norbert Bolz,ノルベルト・ボルツ
Hany Mukhtar,ハニー・ムフタール
Martin Sperr,マルティン・シュペル
Siegfried Eberhardt,ジークフリート・エベルハルト
Arno Strobel,アルノ・シュトローベル
Erwin Waldner,エルヴィン・ヴァルトナー
Wolfgang Vogel,ヴォルフガング・フォーゲル
Song Du-yul,宋斗律
Albert Florath,アルベルト・フロラート
Albert Krebs,アルベルト・クレープス
Hermine Huntgeburth,ヘルミーネ・フントゥゲボールト
Joana,ヨアナ
Gitta Lind,ギッタ・リント
Ferfried Prinz von Hohenzollern,フェルフリート・フォン・ホーエンツォレルン＝ジグマリンゲン
Helfrich Bernhard Wenck,ヘルフリヒ・ベルンハルト・ヴェンク
Matthias Kuhle,マティアス・クーレ
André Knöfel,アンドレ・クネーフェル
Karl-Friedrich Stracke,カール＝フリードリッヒ・シュトラッケ
Walther Gerdts,マック・ゲルツ
Rudolf Noelte,ルドルフ・ネルテ
Johann Anton Trinius,ヨハン・アントン・トリニウス
Benjamin-Gunnar Cohrs,ベンヤミン＝グンナー・コールス
Florian Stetter,フロアン・シュテッター
Johann II. von Baden,ヨハン2世・フォン・バーデン
August Winnig,アウグスト・ヴィニヒ
F. W. Bernstein,F・W・ベルンシュタイン
Gotthilf Hempel,ゴットヒルフ・ヘンペル
Eberhard Gothein,エーベルハルト・ゴータイン
Frigga Haug,フリッガ・ハウク
Tom Toelle,トム・トエッレ
Peter Lohmeyer,ペーター・ローマイヤー
Hilde Mangold,ヒルデ・マンゴルト
Igor Levit,イゴール・レヴィット
Hans Mezger,ハンス・メツガー
Hermine Sterler,ヘルミーネ・シュテルラー
Carola Veit,カローラ・ファイト
Eleasar ben Juda ben Kalonymos,ヴォルムスのエレアザール
Albrecht Pfister,アルブレヒト・プフィスター
Manfred George,マンフレート・ゲオルゲ
Rudolf Steinberg,ルドルフ・シュタインベルク
Ludwig Maurer,ルートヴィヒ・マウラー
Heinz Fraenkel-Conrat,ハインツ・フレンケル＝コンラート
Thomas Schneider,トーマス・シュナイダー
Johann Wilhelm von Sachsen-Coburg-Saalfeld,クリスティアン・フランツ・フォン・ザクセン＝コーブルク＝ザールフェルト
Gisela von Collande,ギゼラ・フォン・コランデ
Adolf Winkelmann,アドルフ・ヴィンケルマン
Volkmar Braunbehrens,フォルクマール・ブラウンベーレンス
Julia Dahmen,ジュリア・ダーメン
Karl Alwin,カール・アルヴィン
Franziska Walser,フランツィスカ・ヴァルザー
Fedor von Zobeltitz,フョードル・フォン・ツォーベルティッツ
Clemens Meyer,クレメンス・マイヤー
Hans Caninenberg,ハンズ・カニネンバーグ
Otto Schlüter,オットー・シュリューター
Michael Degen,ミヒャエル・デーゲン
Herbert Gruhl,ヘルベルト・グルール
Werner Andreas Albert,ヴェルナー・アンドレアス・アルベルト
Maike von Bremen,マイケン・フォン・ブレーメン
Carl Seffner,カール・ゼフナー
Georg Balthasar Metzger,ゲオルク・バルタザール・メッツガー
Ernst Welteke,エルンスト・ヴェルテケ
Wilhelm Schlombs,ウィルヘルム・シュロンブ
Ferdinand Fabra,フェルディナント・ファプラ
Paul Sethe,パウル・ゼーテ
Richard Friedenthal,フリーデンタール
Herbert Spohn,ヘルベルト・スポーン
Alois Kottmann,アロイス・コットマン
Michel Koch,ミヒェル・コッホ
Walter Hückel,ヴァルター・ヒュッケル
Heinz Schubert,ハインツ・シューベルト
Peter Walter,ピーター・ウォルター
Marwan Kassab-Bachi,マルワン・カッサブ＝バチ
Friedrich von Dönhoff,フリードリヒ・フォン・デンホフ
Wilfried Huismann,ヴィルフリート・ヒュースマン
Monika Baumgartner,モニカ・バウムガートナー
Stefan Kießling,シュテファン・キースリンク
Franz Dinda,フランツ・ディンダ
Siegfried Obermeier,ジークフリート・オーバーマイヤー
Martha Schad,マルタ・シャート
Ulrike Herrmann,ウルリケ・ヘルマン
Martin Geck,マルティン・ゲック
Otto Gerdes,オットー・ゲルデス
Joachim von Ribbentrop,ヨアヒム・フォン・リッベントロップ
Diego Wallraff,ディエゴ・ウォールラフ
Hugo III. Henckel von Donnersmarck,フーゴー3世・ヘンケル・フォン・ドナースマルク
Ulrich Gabler,ウルリッヒ・ガブラー
Johann Nepomuk von Triva,ヨハン・ネポムク・フォン・トゥリーヴァ
Elisabeth von Sachsen-Weimar-Eisenach,ヴィクトリア・ルイーゼ・ツー・ゾルムス＝バールト
Friedrich Griese,フリードリヒ・グリーゼ
Markus Rehm,マルクス・レーム
Carolin Reiber,カロリン・ライベル
Lars Kraume,ラース・クラウメ
Karl Kranzkowski,カール・クランツコフスキー
Max Bruch,マックス・ブルッフ
Ellis Kaut,エリス・カウト
Jan van Weyde,ヤン・ヴァン・ウィイド
Rykle Borger,リカレイ・ボーガー
Janina Uhse,ヤニーナ・ウーゼ
Erich Kaiser-Titz,エーリッヒ・カイザー‐ティッツ
Dietrich Henschel,ディートリヒ・ヘンシェル
Hans Hefelmann,ハンス・ヘフェルマン
Arthur Brauss,アーサー・ブラス
Georg August Zenker,ゲオルク・ツェンカー
Albert Lieven,アルバート・リーベン
Sümeyye Manz,スメイエー・マンツ
Anna Loos,アンナ・ルース
David Mevius,ダーヴィット・メヴィウス
Gina Falckenberg,ギナ・ファルケンベルク
August Merges,アウグスト・メルゲス
Friederike Caroline von Sachsen-Coburg-Saalfeld,フリーデリケ・カロリン・フォン・ザクセン＝コーブルク＝ザールフェルト
Marie Zielcke,マリー・ツィルケ
Erich Schatzki,エーリッヒ・シャッツキー
Claus Peymann,クラウス・パイマン
Wolfram Eberhard,ヴォルフラム・エーバーハルト
Eduard von der Hellen,エドゥアルト・フォン・デア・ヘレン
Bernd von Droste zu Hülshoff,ドロステ
Schorsch Kamerun,ショルシュ・カメルーン
Gerret Korsemann,ゲレット・コルゼマン
Werner Küchenthal,ヴェルナー・クーヘンタール
Hans-Josef Klauck,ハンス・ヨセフ・クラウク
Franz Josef Wittemann,フランツ・ヨーゼフ・ヴィッテマン
Ludwig Blochberger,ルートヴィヒ・ブロッホベルガー
Klaus Clusius,クラウス・クルティス
Paul Schröder,パウル・シュレーダー
Bernhard Kuhnt,ベルンハルト・クント
Heinrich Schmitthenner,ハインリッヒ・シュミットヘンナー
Maryam Zaree,マリアム・ザリー
Joseph Koeth,ヨーゼフ・ケート
Gerd Baltus,ゲルト・バルトス
Otto Kuhler,オットー・クーラー
Heinrich Jasper,ハインリヒ・ヤスパー
Katharina Schüttler,カタリーナ・シュトラー
Günter Baaske,ギュンター・バースケ
Otto Magnus von Dönhoff,オットー・マグヌス・フォン・デンホフ
Josef Ferstl,ヨーゼフ・フェルストゥル
Christian Worch,クリスティアン・ヴォルヒ
Johann Wenzel,ヨハン・ヴェンツェル
Clemens Hasse,クレメンス・ハッセ
Coco Schumann,ココ・シューマン
Martin Ruhe,マーティン・ルーエ
Wolfgang Reitzle,ヴォルフガング・ライツレ
Rudolph Eberstadt,ルドルフ・エーバーシュタット
Heinrich II.,ハインリヒ2世
Friedrich Leopold von Geßler,フリードリヒ・レオポルト・フォン・ゲスラー
Johann Culemeyer,クレマイヤー
Rudolf Kühnhold,ルドルフ・キューンホルト
Wolfgang Caspar Printz,ヴォルフガング・プリンツ
Sebastian Schulz,セバスティアン・シュルツ
Paula Kalenberg,パウラ・カレンベルク
Ragna Schirmer,ラグナ・シルマー
Konrad Wilhelm von Wernau,コンラート・ヴィルヘルム・ソン・ヴェルナウ
Karl Herrligkoffer,カール・ヘルリヒコッファー
Claude-Oliver Rudolph,クロード＝オリバールドルフ
Ferdinand von Alten,フェルディナンド・フォン・アルテン
Robert Bosch jun.,ローベルト・ボッシュ
Klaus Ensikat,クラウス エンジカット
Leopold Schwarzschild,レオポルト・シュワルツシルト
Erich Everth,エリック・エフェルト
Johannes Vogel,ヨハネス・フォーゲル
Siegfried Seidel-Dittmarsch,ジークフリート・ザイデル＝ディトマルシュ
Edgar Istel,エドガー・イステル
Franz Egenieff,フランツ・エーゲンニーフ
Ludwig Schwamb,ルートヴィヒ・シュヴァンプ
Jürgen Fritz,ユルゲン・フリッツ
Wilhelm Ludwig von Baden-Durlach,ヴィルヘルム・ルートヴィヒ・フォン・バーデン＝ドゥルラハ
Jacob von Staehlin,ヤコブ・シュテリン
Robert Leipertz,ロベルト・ライペルツ
Walter Baetke,ヴァルター・ベトケ
Konrad II. von Thüngen,コンラート・フォン・テュンゲン
Maybrit Illner,マイブリート・イルナー
Wilhelm Koenen,ヴィルヘルム・コェーネン
Hans-Laurin Beyerling,ハンス・ローリン・ベイレル
D-Bo,ディーボ
Fritz Rudolf Fries,フリッツ・ルドルフ・フリース
Conrad Patzig,コンラート・パッツィヒ
Kurd Kisshauer,クルト・キシャウアー
Nicole Schott,ニコル・ショット
Rolf Hagedorn,ロルフ・ハーゲドーン
Heinrich Wilhelm Ferdinand Wackenroder,ハインリヒ・ヴァッケンローダー
Christian Becker,クリスティアン・ベッカー
Hanns Lothar,ハンス・ロター
Lubina Hajduk-Veljković,ルビナ・ハイドゥク＝ベリコビッチ
Hellmuth von Ruckteschell,ヘルムート・フォン・ルクテシェル
Christian Enzensberger,クリスティアン・エンツェンスベルガー
Mick Werup,ミック・ウォーアップ
Hermann Bote,ヘルマン・ボーテ
Otto Griessing,オットー・グリーシンク
Ikaros Bigi,イカロス・ビギ
Ines Pohl,イネス・ポール
Evelyn Haas,エーヴェリン・ハース
Otto III. von Holland,オットー3世
Antonio Daniloski,アントニオ・ダニロスキ
Thomas Meißner,トーマス・マイスナー
Rupert Stadler,ルパート・シュタドラー
Adolf Sauerland,アドルフ・ザウアーラント
Maximilian Schuler,マックス・シュラー
Elisabeth Böckel,エリザベート・ベッケル
Peter Schiergen,ペーター・シールゲン
Felix Auerbach,フェリックス・アウエルバッハ
Adolph Göpel,アドルフ・ゲッペル
Karin Binder,カリン・バインダー
Gerhard Woitzik,ゲルハルト・ヴォイツィク
Rudolf Springer,ルドルフ・スプリンガー
Hartmut Höll,ハルトムート・ヘル
Günter Pfitzmann,ギュンター・フィッツマン
Manfred Salzgeber,マンフレッド・ザルツゲーバー
Oskar Dinort,オスカー・ディノルト
Winfried Brugger,ヴィンフリート・ブルッガー
Helmut Ringsdorf,ヘルムート・リングスドルフ
Rolf Hermichen,ロルフ・ヘルミヒェン
Armgard,アルムガルト・フォン・リートベルク
Wilhelm von Opel,ヴィルヘルム・フォン・オペル
Kurt Flasch,クルト・フラッシュ
Werner Stötzer,ヴェルナー・シュテッツァー
Manfred G. Schmidt,マンフレート・G・シュミット
Marianne Bachmeier,マリアンネ・バハマイヤー
Gerhard Zucker,ゲルハルト・ツッカー
Hermann Kallenbach,ヘルマン・カレンバッハ
Kathrin Bringmann,カトリーン・ブリングマン
Heinrich Greinacher,ハインリヒ・グライナッヘル
Klaus Feldt,クラウス・フェルト
Johann Heinrich Scheibler,ヨハン・シャイブラー
Alexander von Dönhoff,アレクサンダー・フォン・デンホフ
Fritz Gajewski,フリッツ・ガイェウフスキー
Walter Heiligenberg,ウォルター・ハイリゲンベルグ
Richard Donnevert,リヒャルト・ドンネヴェルト
Alexa Maria Surholt,アレクサ・マリア・スルホルト
Carl Sonnenschein,カール・ゾンネンシャイン
Gebhard,ゲプハルト
Wendel Hipler,ヴェンデル・ヒプラー
Alexander zu Dohna-Schlobitten,アレクサンドル・ツー・ドーナ＝シュロビッテン
Marvin Braun,マーヴィン・ブラウン
Hans Böckler,ハンス・ベックラー
Hans Petersson,ハンス・ピーターソン
Ulrich Schamoni,ウルリヒ・シャモニ
Jil Funke,ジル・フンケ
Ursula Werner,ウルスラ・ヴェルナー
Theo Sommer,テオ・ゾンマー
Horst Sachtleben,ホルスト・ザハトレーベン
Ludwig Hupfeld,ルードヴィヒ・フップフェルト
Max Faßbender,マックス・ファシュベンダー
Gerhard Casper,ゲルハルト・キャスパー
Ulrike C. Tscharre,ウルリケ・C・チャレ
Gert Wilden,ゲルト・ヴィルデン
Karl Sigmund Friedrich Wilhelm Leutrum von Ertingen,カール・ジークムント・フリードリヒ・ヴィルヘルム・ロイトゥルム・フォン・エルティンゲン
Anna von Braunschweig-Lüneburg,アンナ・フォン・ブラウンシュヴァイク＝リューネブルク
Boris Palmer,ボリス・パルマー
Anne Ratte-Polle,アネ・ラテ＝ポレ
Gerhard Menzel,ゲルハルト・メンツェル
Paul Dickopf,パウル・ディッコプフ
Bernd Schlömer,ベルント・シュレーマー
Clärenore Stinnes,クレレノーレ・シュティネス
Peter Sempel,ペーター・ゼンペル
Gerhard Stapelfeldt,ゲルハルト・シュターペルフェルト
Franz Stuhlmann,フランツ・ルートヴィヒ・シュトゥールマン
May Ayim,メイ・アイム
Werner Rahn,ヴェルナー・ラーン
Bernhard Heinrich Overberg,ベルンハルト・ハインリヒ・オーヴァーベルク
Kurt Heinrich Meyer,K. H.メイヤー
Uwe Bohm,ウーヴェ・ボーム
Gustl Gstettenbaur,グストル・グステッテンバウアー
Friedrich Ferdinand zu Schleswig-Holstein-Sonderburg-Glücksburg,フリードリヒ・フェルディナント・ツー・シュレースヴィヒ＝ホルシュタイン＝ゾンダーブルク＝グリュックスブルク
Anita Bose-Pfaff,アニタ・ボース・プファフ
Stefan Kaufmann,シュテファン・カウフマン
Gustav August Munzer,グスタフ・オーガスト・マンザー
Georg Merz,ゲオルク・メルツ
Hannes Schäfer,ハネス・シェーファー
Curt Stern,カート・スターン
Peter Spahn,ペーター・シュパーン
Seyran Ateş,セイラン・アテシュ
Peter Latz,ペーター・ラッツ
Hans Hayn,ハンス・ハイン
Tobias Rathgeb,トビアス・ラートゲプ
Peter Häberle,ペーター・ヘーベルレ
Jean de Bodt,ジャン・ド・ボー
Simon Peter Tileman,シモン・ピーテル・ティルマン
Katja Weitzenböck,カーチャ・ヴァイツェンベック
Johann von Dalberg,ヨハン・フォン・ダルベルク
Michael Fuchs,ミハエル・フックス
Paul Pfeiffer,パウル・プファイファー
Ludwig Munzinger senior,ルートヴィヒ・ムンツィンガー
Egmont Zechlin,エグモント・ゼッヘリン
Hans Michael Elias von Obentraut,ハンス・ミヒャエル・エリアス・フォン・オーベントラウト
Gundekar II.,グンデカール2世
Josef Felder,ヨーゼフ・フェルダー
Hans Reinowski,ハンス・レイノフスキー
Uwe Kolbe,ウーヴェ・コルベ
Berivan Kaya,ベリバン・カヤ
Margarete Schön,マルガレーテ・シェーン
Rolf Wilhelm Brednich,ロルフ・ヴィルヘルム・ブレードニヒ
Albert Lippert,アルベルト・リッペルト
Klaus von Beyme,クラウス・フォン・ベイム
Lutz Rathenow,ルッツ・ラーテノー
Samuel Finzi,ザムエル・フィンツィ
Jasmin Feige,ヤスミン・フィーゲ
Christoph M. Schmidt,クリストフ・M・シュミット
Bernd Aldenhoff,ベルント・アルデンホフ
Ruth Zechlin,ルート・ツェヒリン
Gerald Asamoah,ゲーラルド・アサモア
Wolfgang Bächler,ヴォルフガング・バクラー
Ferdinand von Bayern,フェルディナント・フォン・バイエルン
Manfred Schneckenburger,マンフレート・シュネッケンブルガー
Beate Mainka-Jellinghaus,ベアテ・マインカ＝イェリングハウス
Horst Rippert,ホルスト・リッパート
Okka Rau,オッカ・ラウ
Peter Ehrlich,ピーター・エーリッヒ
Karl Bonhoeffer,カール・ボンヘッファー
Richard von Frankenberg,リヒャルト・フォン・フランケンベルク
Reinhold Beckmann,ラインホルト・ベックマン
Jochen Bohl,ヨッヘン・ボール
Carl Wery,カール・ワリー
Harry Riebauer,ハリー・リーヴァウワー
Angela Roy,アンジェラ・ロイ
Erich Arendt,エーリヒ・アーレント
Albert Ostermaier,アルベルト・オスターマイアー
Bianca Hein,ビアンカ・ハイン
Klaus Conrad,クラウス･コンラート
Katharina Müller-Elmau,カタリーナ・ミュラー＝エルモー
Vali von der Osten,ファリ・フォン・デア・オステン
Michael Macht,ミヒャエル・マハト
Jörg Graser,ヨルグ・グラザー
Hans Memling,ハンス・メムリンク
Hugo Baum,フーゴ・バウム
Georg von Detten,ゲオルク・フォン・デッテン
Eberhard Jabach,エバーハルト・ジャバッハ
Oskar von Truppel,オスカー・トゥルッペル
Oskar Daubmann,オスカル・ダウブマン
Thorsten Heins,トルステン・ハインズ
Elsa Bernstein,エルザ・バーンスタイン
Alex Brendemühl,アレックス・ブレンデミュール
Winfried Hassemer,ヴィンフリート・ハッセマー
Johannes Lilje,ハンス・リーリエ
Gustav Stresemann,グスタフ・シュトレーゼマン
Eugen Klagemann,オイゲン・クラーゲマン
Carl von Thieme,カール・フォン・ティーメ
Peter Pringsheim,ペーター・プリングスハイム
Konrad Jacobs,コンラート・ジェイコブス
Walter Richter,ウォルター・リクター
Matthias Menz,マティアス・メンツ
Theodor Haubach,テオドール・ハウバッハ
Edina Pop,イダイナ・ポップ
Mirjam Pressler,ミリアム・プレスラー
Andrea Betzner,アンドレア・ベッツナー
Hans Staininger,ハンス・シュタイニンガー
Heinrich der Löwe,ハインリヒ3世
Werner Enders,ヴェルナー・エンダース
Bruno Kastner,ブルーノ・カストナー
Peter Homann,ペーター・ホーマン
Andreas M. Kaplan,アンドレアス・カプラン
Max Ernst Unger,マックス・ウンガー
Carl-August Fleischhauer,カール＝オーガスト・フライシャワー
Karl Blessing,カール・ブレシング
Antje Weisgerber,アンジェ・ヴァイスバーガー
Karl Ferdinand Schmid,カール・フェルディナント・シュミット
Ewald Oppermann,エヴァルト・オッパーマン
Hans-Werner Fischer-Elfert,ハンス＝ヴェルナー・フィッシャー＝エルフェルト
Patrick Cramer,パトリック・クラマー
Bastian Knittel,バスティアン・クニッテル
Mirco Nontschew,ミルコ・ノンチェフ
Georg Ritter von Hengl,ゲオルク・リッター・フォン・ヘングル
Anton Aloys Timpe,アントン・ティンペ
Herbert Wetterauer,ヘルベルト・ヴェッタラウアー
Elisabeth Volkmann,エリザベート・フォルクマン
Thea Rasche,テア・ラッシェ
Ernst Steinhoff,エルンスト・シュタインホフ
Axel Prahl,アクセル・プラール
Fritz Rößler,フリッツ・レスラー
Peter Schutz,ピーター・シュッツ
Ludwig Hoelscher,ルートヴィヒ・ヘルシャー
Barbara Bartos-Höppner,バーバラ・バルトス＝ヘップナー
Erich Peter,エーリヒ・ペーター
Rosemarie Schuder,ローズマリー・シューダー
Christian Wunderlich,クリスチャン・ワンダーリッヒ
Frank Jelinski,フランク・イェリンスキー
Uwe Nittel,ウーベ・ニッテル
Hans Reiser,ハンス・ライザー
Hans Kehrl,ハンス・ケール
Wilhelm Sander,ヴィルヘルム・ザンデル (精神科医)
Gerhard Schöne,ゲルハルト・シェーネ
Wolfgang Michel,ヴォルフガング・ミヒェル
Hartmut Klug,ハルトムート・クルーク
Christian Doermer,クリスチャン・ドーマー
Hans Halm,ハンス・ハルム
Gertrud Eysoldt,ゲルトルート・アイゾルト
Johann Heinrich Wilhelm Dietz,ヨハン・ハインリヒ・ヴィルヘルム・ディーツ
Karl von Birkmeyer,カール・フォン・ビルクマイヤー
Enorbel Márquez-Ramirez,エノルベル・マルケス＝ラミレス
Ludwig Leo,ルートヴィヒ・レオ
Franz Ruttner,フランツ・ルットナー
Melchior Bauer,メルヒオール・バウアー
Hermann II.,リッペのハーマン2世
Hermann Adam von Kamp,ヘルマン・アーダム・フォン・カンプ
Wolfgang Kaschuba,ヴォルフガング・カシューバ
Petra Oelker,ペトラ・エルカー
Hermann Lorenz,ヘルマン・ロレンツ
Zofia Garden,ゾフィア・ガルデン
Herbert Schwedt,ヘルベルト・シュヴェート
Paul Zucker,ポール・ザッカー
Karl Gustav Fellerer,カール・グスタフ・フェレラー
Elke Erb,エルケ・エルプ
Karlgeorg Schuster,カールゲオルク・シュスター
Arno Mohr,アルノ・モーア
Anna Hollmann,アンナ・ホルマン
Gerd Vespermann,ゲルト・ヴェスパーマン
Max Ernst Mayer,マックス・エルンスト・マイヤー
Heinrich Bedford-Strohm,ハインリヒ・ベッドフォード＝ストローム
Fabian Busch,ファビアン・ブッシュ
Lenz Kriss-Rettenbeck,レンツ・クリス＝レッテンベック
Gerhard Krebs,ゲルハルト・クレープス
Peter Eichhorn,ペーター・アイヒホルン
Günther Grzimek,ギュンター・グルツィメク
Uwe Pörksen,ウヴェ・ペルクセン
Oliver Kalkofe,オリバー・カルコフィ
Felix Rexhausen,フェリックス・レクスハウゼン
Horst Julius Freiherr Treusch von Buttlar-Brandenfels,トライシュ・フォン・ブトラー=ブランデンフェルス
Bernd Wegner,ベルント・ヴェーグナー
Christian Schmidt,クリスティアン・シュミット
Johannes Fabry,ヨハネス・ファブリー
Herfried Münkler,ハーフリード・ミュンクラー
Carl-A. Fechner,カール・フェヒナー
Frauke Eickhoff,フラウケ・アイコフ
Daniel Lascău,ダニエル・ラスカウ
Werner Panitzki,ヴェルナー・パニツキ
Karl-Heinz Schwab,カール・ハインツ・シュヴァープ
Günther Stein,ギュンター・シュタイン
Susanne Fröhlich,ズーザンネ・フレーリヒ
Birgit Michels,ビルジギト・ オフェルツァー
Carl Otto von Eicken,オットー・フォン・アイケン
Wilfried von Loewenfeld,ヴィルフリート・フォン・レーヴェンフェルト
Franz Hawlata,フランツ・ハヴラタ
Astrid Paprotta,アストリット・パプロッタ
Johannes Hertel,ヨハネス・ヘルテル
Erika Riemann,エーリカ・リーマン
Jürgen Dormann,ユルゲン・ドーマン
Otto von Hügel,オットー・フォン・ヒューゲル
Georg von Braunschweig-Wolfenbüttel,ゲオルク
Else Heims,エルゼ・ハイムス
Torsten Frings,トルステン・フリンクス
Mark Forster,マーク・フォースター
Robert Enke,ロベルト・エンケ
Edgar Hoppe,エドガー・ホッペ
Ulrich Beiger,ウルリッヒ・バイガー
Vladimir Tsvetkov,ウラジミール・ツヴェトコフ
Otto Riehs,オットー・リース
Thomas Schumacher,トーマス・シューマッハ
Joachim Friedrich von Stutterheim,ヨアヒム・フリードリヒ・フォン・シュトゥッターハイム
Claudia Rath,クラウディア・ラース
Heinrich Drake,ハインリヒ・ドラーケ
Benjamin Herrmann,ベンヤミン・ヘルマン
Ulla Kock am Brink,ウラ・コック・アム・ブリンク
Willy Maywald,ヴィリー・マイヴァルト
Hannibal von Lüttichau,ハンニバル・フォン・リュッティヒャウ
Karl-Heinz Vosgerau,カール=ヘインズ・ボスガーラウ
Heinz Waaske,ハインツ・ヴァースケ
Richy Müller,リッキー・ミュラー
Gustav Adolf Semler,グスタフ・アドルフ・ゼムラー
Johann Gottlieb Fichte,ヨハン・ゴットリープ・フィヒテ
Heinrich Rombach,ハインリヒ・ロムバッハ
Heinrich Steinhöwel,ハイリッヒ・シュタインヘーベル
Thomas Müller-Pering,T. ミュラー=ペリング
Benjamin List,ベンジャミン・リスト
Martin Stade,マルティン・シュターデ
Heinrich Schoene,ハインリヒ・シェーネ
Louis Krüger,ヨハン・ハインリヒ・ルイス・クリューゲル
Nina Kronjäger,ニーナ・クロニェーガー
Friedrich W. Bauschulte,フリードリヒ W. バウシュルテ
Ida Friederike Görres,イーダ・フリーデリケ・ゲレス
George Alexander Albrecht,ゲオルゲ・アレクサンダー・アルブレヒト
Kurt Lüdecke,クルト・リューデッケ
Albrecht Schröter,アルブレヒト・シュレーター
Volkmar Sigusch,フォルクマール・ジーグシュ
Wilhelm Niklas,ウィルヘルム・ニクラス
Artur Mahraun,アルトゥール・マーラウン
Björn Böhning,ビョルン・ボニング
Elisabeth von Brandenburg,エリーザベト・フォン・ブランデンブルク (1425-1465)
Berthold Hinz,ベルトルトヒンツ
Fiona Coors,フィオナ・クアーズ
Francesco Friedrich,フランチェスコ・フリードリヒ
Eberhard Zangger,エーベルハルト・ツァンガー
Paul-Werner Hozzel,ポール・ヴェルナー・ホッゼル
Thomas Wiegand,トーマス・ウィーガンド
Harald Grohs,ハラルド・グロース
Willy Marschler,ヴィリー・マルシュラー
Sepp Oerter,ゼップ・オーター
Tony Schmidt,トニー・シュミット
Friedrich Christoph von Saldern,フリードリヒ・クリストフ・フォン・ザルダーン
Gerd Gigerenzer,ゲルド・ジゲレンツアー
Anna Ritter,アンナ・リッター
Wilhelm Emanuel Süskind,ヴィルヘルム・エマヌエル・ズュースキント
Konrad von Querfurt,コンラート・フォン・クヴェルフルト
Ute Frevert,ウテ・フレヴェルト
Werner Asam,ヴェルナー・アサム
Fabian Hinrichs,ファビアン・ヒンリヒス
Christian Andreas Käsebier,クリスティアン・アンドレアス・ケーゼビア
Ulrich Wegener,ウルリッヒ・ヴェーゲナー
Roland Sprague,ローランド・スプレイグ
Ernst von Aster,エルンスト・フォン・アスター
Fritz Bornemann,フリッツ・ボルネマン
Hanna Solf,ハンナ・ゾルフ
Thomas Harlan,トーマス・ハラン
Ernst Bickel,エルンスト・ビッケル
Josef Sieber,ヨーゼフ・ジーバー
Heinz Lieven,ハインツ・リーフェン
Florentine Lahme,フロレンティーネ・ラーメ
Donata Wenders,ドナータ・ヴェンダース
Friedrich Karl Wilhelm,フリードリヒ・カール・ヴィルヘルム
Karl Friedrich Wilhelm Braun,カール・フリードリヒ・ヴィルヘルム・ブラウン
Rudolf Friedrichs,ルドルフ・フリードリヒス
Johann Gasteiger,ヨハン・ガスタイガー
Alois Konstantin zu Löwenstein-Wertheim-Rosenberg,アロイス・コンスタンティン・ツー・レーヴェンシュタイン＝ヴェルトハイム＝ローゼンベルク
Herbert Wagner,ヘルベルト・ワグナー
Karl Willy Wagner,教授
Peter Munz,ピーター・マンツ
George Grosz,ジョージ・グロス
Fritz Löffler,フリッツ・レフラー
Paul Hambruch,パウル・ハンブルッフ
Kuno II. von Falkenstein,クーノ・フォン・ファルケンシュタイン
Malte Jaeger,マルテ・イェーガー
Veit Hans Schnorr von Carolsfeld,ファイト・ハンス・シュノール・フォン・カロルスフェルト (シュネーベルク)
Florian Ballhaus,フロリアン・バルハウス
Ernst Engelberg,エルンスト・エンゲルベルク
Wolfgang Hahn,ヴォルフガンク・ハーン
Cäsar Pinnau,ツェーザル・ピンナウ
Fritz Stein,フリッツ・シュタイン
Jürgen Schumann,ユルゲン・シューマン
Walter Behrmann,ヴァルター・ベーアマン
Rudolf Petersen,ルドルフ・ペーターゼン (軍人)
Karl-Heinz Kämmerling,カール=ハインツ・ケマーリング
Herbert Gerigk,ヘルベルト・ゲーリック
Brita Baldus,ブリタ・バルドゥス
Heinrich Fraenkel,ハンリヒ・フレンケル
Helga Feddersen,ヘルガ・フェダーセン
Burkhard Driest,ブルクハルト・ドリースト
Wolfgang Kohlhaase,ヴォルフガング・コールハーゼ
Karl Lauterbach,カール・ローターバッハ
Joachim Herrmann,ヨアヒム・ヘルマン
Julia Kaufmann,ユリア・カウフマン
Ulrich Thieme,ウルリッヒ・ティーメ
Oskar Lafontaine,オスカー・ラフォンテーヌ
Monika Heinold,モニカ・ヘイノールド
Klaus Schroeder,クラウス・シュローダー
Alexander Baumann,アレクサンダー・バウマン
Felix Genzmer,フェリックス・ゲンツマー
Peter R. Huttenlocher,ピーター・フッテンロッヒャー
Karl August von Bergen,カール・アウグスト・フォン・ベルゲン
Birgitt Bender,ブリギット・ベンダー
Patrick Baur,パトリック・バウア
