Diego Velázquez,委拉斯開茲
Cristina Narbona,克里斯蒂娜·纳沃纳
Juanma López,胡安马·洛佩斯
Enrique Míguez,恩里克·米格斯
José Díaz Ramos,何塞·迪亚斯
Juan Pedro Gutiérrez,胡安·佩德罗·古铁雷斯
María Teresa Portela Rivas,玛丽亚·特雷莎·波特拉·里瓦斯
David Sánchez Muñoz,大衛·桑切斯
Vicente Albero,维森特·阿尔韦罗
Carmelo Elorduy,杜善牧
Rosa Conde,罗莎·孔德
Juan Cobo,高母羡
Isabel Tocino,伊莎贝尔·托西诺
Sofía Gandarias,索菲亚·甘达里亚斯
Yoel Rodríguez,尤爾·羅德里格斯·奥特里諾
Faustino Reyes,福斯蒂诺·雷耶斯
Marina Alabau,玛丽娜·阿拉沃
Alba María Cabello,阿尔瓦·卡韦略
Laura López Valle,劳拉·洛佩斯·(花样游泳运动员)
Juan José Rosón,胡安·何塞·罗松
Luis María Atienza,路易斯·马里亚·阿蒂恩萨
Jaime García Añoveros,海梅·加西亚·阿尼奥维罗斯
Javier Barrero,哈维尔·巴雷罗
Javier Botet,傑維爾·伯特
Javier Gómez Navarro,哈维尔·戈麦斯-纳瓦罗
Javier Manquillo,哈維·曼基略
Coke Andújar,科克·(足球運動員)
Antón Paz,安东·帕斯
Fernando Echávarri,费尔南多·埃查瓦里
Jonny Otto,莊尼·奧圖
Diego Seoane,迭戈·赛瓦内
Juan Jesús Vivas,胡安·赫苏斯·比瓦斯
Fernando García de Cortázar,费尔南多·加西亚·德科塔萨尔
Sergio Álvarez Conde,塞爾吉奧·阿爾瓦雷斯·孔德
Valeriano Domínguez Bécquer,巴莱里亚诺·贝克尔
Juan Carlos Real,胡安·卡洛斯·雷亚尔·鲁伊兹
Manuel Ballester Boix,曼努埃尔·巴列斯特尔
Basilio Augustín,巴西利奧·奧古斯丁
Alejandro Ferrant y Fischermans,亚历杭德罗·费兰特-费希尔曼斯
Yanfei Shen,沈燕飞
Lucas Pérez,盧卡斯·佩雷斯
Ángeles Amador,安赫莱斯·阿马多尔
Pío Cabanillas,皮奥·卡瓦尼利亚斯·加利亚斯
José Jiménez Aranda,何塞·希门内斯·阿兰达
Alberto Garzón,阿尔贝托·加尔松
Laureano López Rodó,劳雷亚诺·罗多
Juan Balboa Boneke,胡安·巴爾博·波內克
Rodolfo Martín Villa,鲁道夫·马丁·比利亚
Rafael Izquierdo Gutiérrez,拉斐尔·伊斯基耶多·古铁雷斯
Diego de los Ríos,迭戈·德洛斯里奥斯
José Basco y Vargas,何塞·巴斯高·伊·瓦爾加斯
José Manuel Rodríguez Delgado,荷塞·戴爾嘎多
Pablo Heras-Casado,巴勃罗·埃拉斯-卡萨多
Eduardo Sotillos,爱德华多·索蒂略斯
Edurne (cantante),艾杜内
Luis Pérez das Mariñas,路易斯·佩雷斯·达斯马里尼亚斯
Ramón Rubial,拉蒙·鲁维亚尔
Adrián San Miguel,阿德里安·圣米格尔·迪·卡斯蒂略
Elvira Rodríguez,埃尔维拉·罗德里格斯
José Luis Álvarez y Álvarez,何塞·路易斯·阿尔瓦雷斯·阿尔瓦雷斯
José Barrionuevo,何塞·巴里奥努埃沃
Claudio Aranzadi,克劳迪奥·阿兰萨迪
José Luis Corcuera,何塞·路易斯·科奎拉
Mariano Barbacid,马里亚诺·巴巴西德
Mikel Arruabarrena,米基·阿路巴連拿
Víctor Álvarez,維克多·阿爾瓦雷斯·德爾加多
Virgilio Zapatero,比尔希略·萨帕特罗
Gerardo Iglesias,赫拉尔多·伊格莱西亚斯
Emilio Lledó,埃米略·列多
Enrique Múgica,恩里克·穆希卡
Enrique Fuentes Quintana,恩里克·富恩特斯·金塔纳
Santiago Lanzuela,圣地亚哥·兰苏埃拉
José Pedro Pérez-Llorca,何塞·佩德罗·佩雷斯-略尔卡
Mariano Navarro Rubio,马里亚诺·鲁维奥
Laura Nicholls,劳拉·尼科尔斯
Lucila Pascua,卢西拉·帕斯夸
Luis de Madrazo,路易斯·马德拉索
Luis Miguel Santillana,路易斯·米格尔·桑蒂利亚纳
Juan Costa,胡安·科斯塔·克利门特
Francisco Pagaza,弗朗西斯科·帕加萨
Domingo Gómez-Acedo,多明戈·阿塞多
Mariano Arrate,马里亚诺·阿拉特
Juan Artola,胡安·阿托拉
Silverio Izaguirre,西尔韦里奥·伊萨吉雷
Íñigo de la Serna,伊尼戈·德拉塞尔纳
Juan Antonio García Díez,胡安·安东尼奥·加西亚·迭斯
Juan Antonio Ribera,胡安·安东尼奥·里维拉
Miguel Artola Gallego,米格尔·阿托拉·加列戈
Manolo Flores,曼努埃尔·弗洛雷斯
Jaime García Cruz,海梅·加西亚
José Álvarez de las Asturias Bohorques y Goyeneche,何塞·阿尔瓦雷斯·德博奥克斯
Sabino Bilbao,萨比诺·毕尔巴鄂
Julio García Fernández de los Ríos,胡利奥·加西亚·费尔南德斯·德洛斯里奥斯
José Navarro Morenés,何塞·纳瓦罗·莫雷内斯
María del Carmen García,玛丽亚·德尔卡门·加西亚
Pablo Insua,巴勃罗·因苏亚
Andrea Blas,安德烈娅·布拉斯
Jordi Masip,約爾迪·馬西普
Gedeón Guardiola,赫德翁·瓜迪奥拉
Marcelino Gavilán y Ponce de León,马塞利诺·加维兰
Lorena Miranda,洛雷纳·米兰达
Anni Espar,安娜·埃什帕尔
Laura Ester,劳拉·伊斯特
Orlando Ortega,奥兰多·奥特加
Oscar Martínez,奥斯卡·马丁内兹
Manuel Sevillano,曼努埃爾·塞維拉諾
Marcelo Campanal,马塞利诺·坎帕纳尔
Manuel Pereira Senabre,曼努埃尔·佩雷拉
Julián Campo,胡利安·坎波
Julián García Vargas,胡利安·加西亚·巴尔加斯
Ramón Gabilondo,拉蒙·加比隆多
Laura López Ventosa,劳拉·洛佩斯·(水球运动员)
Pili Peña,皮莉·培尼亚
Matilde Ortiz,马蒂尔德·奥尔蒂斯
Kepa Arrizabalaga,科帕·阿里薩巴拉加
Antonio Mateu Lahoz,安东尼奥·马特乌·拉奥斯
Miguel Ángel González Lázaro,米格尔·安赫尔·冈萨雷斯·拉萨罗
Aymeric Laporte,埃梅里克·拉波爾特
Pablo Nicolás Sebastián Urdangarin y Borbón,保羅·烏丹加林
Irene Urdangarin y Borbón,艾琳·烏丹加林
Paco Herrera,帕科·埃雷拉
Victoria Federica de Marichalar y Borbón,維多莉亞·德·馬利查勒
Felipe Juan Froilán de Marichalar y Borbón,費利佩·德·馬利查勒
Juan Valentín Urdangarin y Borbón,胡安·瓦倫天·烏丹加林
Pedro de Borbón-Dos Sicilias y Orleans,佩德罗·(两西西里)
Patricia Pinedo,帕特里夏·皮内多
Germán Álvarez Algeciras,赫尔曼·阿尔瓦雷斯·阿尔赫西拉斯
Moi Gómez,莫伊塞斯·戈麥斯·波多納多
Lluís Quintana-Murci,柳伊斯·金塔納-穆爾西
Abraham González Casanova,阿布拉漢姆·岡薩雷斯
Carmelo Cabrera Domínguez,卡梅洛·卡夫雷拉
Marta Bach Pascual,玛塔·巴赫
José González López,何塞·曼努埃尔·冈萨雷斯·洛佩斯
Santiago Amat,圣地亚哥·阿马特
Roser Tarragó,罗莎·塔拉戈
Gonzalo Sagi-Vela,贡萨洛·萨希-贝拉
Pol Amat,波尔·阿马特
Benito Joanet,贝尼托·霍安内
Luis Gámir,路易斯·加米尔
Pedro Casado Bucho,佩德罗·卡萨多
José María Esteban Celorrio,何塞·马里亚·埃斯特万
Santiago Malgosa,圣地亚哥·马尔戈萨
Claudio Guillén,克劳迪奥·纪廉
Rodrigo Garza,罗德里戈·加尔萨
Oriol Rosell,奧里奧爾·羅塞爾
David Rochela,大卫·罗切拉
Ernesto Pérez Lobo,埃内斯托·佩雷斯
Jaime Zumalacárregui,海梅·苏马拉卡雷吉
Luis Gregorio Ramos Misioné,路易斯·格雷戈里奥·拉莫斯
José Ramón López Díaz-Flor,何塞·拉蒙·洛佩斯
Román Golobart,羅曼·戈洛巴特
Rafael Trujillo Villar,拉斐尔·特鲁希略·(帆船运动员)
Francisco Sánchez Luna,基科·桑切斯
Sandra Azón,桑德拉·阿松
Patricia Guerra,帕特里夏·格拉
Jordi Calafat,霍尔迪·卡拉法特
Roberto Molina Carrasco,罗伯托·莫利纳
Domingo José Manrique,多明戈·曼里克
Lucas Mondelo,卢卡斯·蒙德洛
Yolanda Soler,约兰达·索莱尔
Fernando Climent Huerta,费尔南多·克利门特
Jorge Guardiola Hay,豪尔赫·瓜迪奥拉
Herminio Menéndez,埃米尼奥·梅嫩德斯
Escuadrilla Azul,藍色中隊
José Andrés,何塞·安德烈斯
Salva Gómez,萨尔瓦多·戈麦斯
Enrique Margall,恩里克·马加利
María Quintanal,玛丽亚·金塔纳尔
Gabriel Esparza Pérez,加夫列尔·埃斯帕萨
Toncho Nava,安东尼奥·纳瓦·(篮球运动员)
Vicente Ramos (baloncestista),比森特·拉莫斯
Miguel Catalán Sañudo,米格尔·安东尼奥·卡塔兰·萨纽多
Yolanda Díaz,约兰达·迪亚斯
Dani Cancela,丹尼·簡斯拿
Teresa Motos,特雷莎·莫托斯
Maider Tellería,迈德尔·特列里亚
Silvia Manrique Pérez,西尔维娅·曼里克
Carlos Rojas Vila,卡洛斯·罗哈斯·比拉
Manuel Seco,曼努埃尔·塞科
Antonio García-Bellido,安东尼奥·加西亚-贝利多
Antonio García Robledo,安东尼奥·加西亚·罗夫莱多
Yuri Berchiche,尤里·貝奇切
Iván Pérez Vargas,伊万·佩雷斯
Javier Beirán,哈维尔·贝兰
Jairo Samperio,雅伊羅·森比里奧
José Luis Capón,何塞·路易斯·卡蓬
Víctor Rodríguez Romero,維克托·羅德里格斯·羅梅羅
Fátima Gálvez,法蒂瑪·加爾維斯
Ángel León Gozalo,安赫尔·莱昂·戈萨洛
Jesús Iradier,赫苏斯·伊拉迭尔
Joaquín Sanz Gadea,华金·桑斯·加德亚
Carlos Seco Serrano,卡洛斯·塞科·塞拉诺
Antonio María de Oriol,安东尼奥·马利亚·奥里奥尔·乌尔基霍
Federico García Moliner,费德里科·加西亚·莫利内尔
Jesús Ferrero,赫苏斯·费雷罗
Miguel Noguer,米格尔·诺格尔
Alejandro Blanco,亚历杭德罗·布兰科
Amat Escalante,阿瑪特·艾斯卡藍特
Jennifer Pareja,珍妮弗·帕雷哈
Juan Rafael Fuentes Hernández,胡安·拉斐爾·富恩特斯
Carles Gil,卡里斯·基爾
José de Yanguas Messía,何塞·德·扬瓜斯
Alberto Fernández Muñoz,阿尔韦托·费尔南德斯·穆尼奥斯
Fermín Jáudenes,费尔明·豪德内斯
Alexia Putellas,阿莱克西娅·普特利亚斯
Catalina Lercaro,卡塔莉娜·莱尔卡罗
Manel Esteller,马内尔·埃斯特尔
Albert Virgili,艾拔·禾志利
Enrique Casas,恩里克·卡萨斯·比拉
Alfonso Benavides (piragüista),阿方索·贝纳维德斯
Jordi Tarrés Páramo,佐迪·達利斯
Juan Muñiz Gallego,胡安·穆尼斯
Fernando Recio,費蘭度·列斯奧
Alberto Moreno,阿爾韋托·莫雷諾
Javier Cabot,哈维尔·卡沃特
Natalia Dorado,纳塔利娅·多拉多
Ramón Sala,拉蒙·萨拉
Quim Malgosa,华金·马尔戈萨
Carlos del Coso,卡洛斯·德尔科索
Jaime Santiago Amat,豪梅·阿马特
José Miguel García Meseguer,何塞·加西亚
Rafael Garralda,拉斐尔·加拉尔达
Pedro Amat Fontanals,佩德罗·阿马特
Xavi Arnau,哈维·阿尔瑙
Paulino Monsalve,保利诺·蒙萨尔韦
Masa Rodríguez,玛萨·罗德里格斯
Ramón Vilalta,拉蒙·维拉塔
Óscar Barrena,奥斯卡·巴雷纳
María Isabel Martínez de Murguía,玛丽亚·伊莎贝尔·马丁内斯
Ignacio Cobos,伊格纳西奥·科沃斯
Virginia Ramírez Merino,比希尼娅·拉米雷斯
Miguel Chaves Sánchez,米格尔·查韦斯
Sonia Barrio,索尼娅·巴里奥
José Luis Doreste,何塞·多雷斯特
Antonio Gorostegui,安东尼奥·戈罗斯特吉
José Luis Ballester,何塞·路易斯·巴列斯特尔
Guillermo del Riego,吉列尔莫·德尔列戈
Francisco Varo,万济国
José Luis Ábalos,何塞·路易斯·阿瓦洛斯
Carles Puigdemont,卡萊斯·普吉德蒙
Anaitz Arbilla,阿納伊茨·阿爾比拉
Francisco Javier Sanz Fernández,弗朗西斯科·哈维尔·桑斯·费尔南德斯
Alba Ribas,艾芭·里巴斯
Anna Maiques,安娜·迈克斯
Ico Aguilar,伊科·阿吉拉尔
Luis Menéndez Pidal,路易斯·梅嫩德斯·皮达尔
Juan Arbós,胡安·阿沃斯
Pablo Usoz,巴勃罗·乌索斯
Francisco Cavaller,弗朗西斯科·卡瓦列尔
Juan Pellón,胡安·佩利翁
José Colomer,何塞·科洛梅尔
Juan Amat Fontanals,胡安·阿马特
Eduardo Dualde,爱德华多·杜阿尔德·(曲棍球运动员)
Víctor Pujol,维克托·普霍尔
Juan Luis Coghen,胡安·路易斯·科亨
Xavier Escudé,哈维尔·埃斯库德
Juan Ángel Calzado,胡安·卡尔萨多
Antonio González Izquierdo,安东尼奥·冈萨雷斯
María Carmen Barea,玛丽亚·卡门·巴雷亚
Miguel de Paz Plá,米格尔·德帕斯
Jordi Arnau,霍尔迪·阿尔瑙
Fernando León Boissier,费尔南多·莱昂
Andrés Artuñedo,安德烈斯·阿图涅多
Alejandro Abascal,亚历杭德罗·阿瓦斯卡尔
Ana Copado,安娜·科帕多
Sita Murt,西塔·穆爾特
Francisco Rodríguez Vílchez,弗朗西斯科·哈维尔·罗德里格斯·比尔切斯
Antonio García Aranda,安東尼奧·加西亞·阿蘭達
Daniel Quesada Barrera,丹尼尔·克萨达
Alejandra Quereda,亚历杭德拉·克雷达
Juan Antonio Zamora,胡安·薩摩拉
Manuel Castellano,曼努埃尔·卡斯特利亚诺
Eva Nogales,伊娃·诺加利斯
Germán Gómez Gómez,熱爾曼·戈麥斯
Beatriz Recari,贝娅特斯·瑞卡丽
Baruc Nsue,巴魯克·拿素爾
José Emilio Guerra,埃米利奧·古埃拉
Edu Torres,艾度·托利斯
Alfonso Dastis,阿方索·达斯蒂斯
Alfonso Artabe,艾方素·阿迪比
Juan Jesús Gutiérrez Robles,胡安·赫苏斯·古铁雷斯
Gerard Moreno,杰拉德·莫雷诺
Elisabeth Maragall,伊丽莎白·马拉加利
Andrés Barba,安德烈斯·巴尔瓦
Enrique Santiago,恩里克·圣地亚哥
Celia Corres,塞莉亚·科雷斯
Carlos Jiménez Villarejo,卡洛斯·希门内斯·比利亚雷霍
Alberto Carnero,阿尔韦托·卡内罗
Bernardo Cólogan y Cólogan-Franchi,葛络干
Carmen Montón,卡门·蒙顿
Santos Juliá,桑托斯·胡利亚
Álvaro de Benavente,白萬樂
Enrique Moreno González,恩里克·莫雷诺·冈萨雷斯
César Rodríguez González (político),塞萨尔·罗德里格斯·冈萨雷斯
César Luena,塞萨尔·卢埃纳
Eugenio Bregolat,欧亨尼奥·布雷戈拉特
Diego Cascón Sandoval,迪亞高·卡斯干
Enrique Granados Aumacellas,恩里克·格拉纳多斯·(游泳运动员)
Borja López,波查·洛佩茲
Carme Pigem,卡梅·皮格姆
Carla Campra,卡拉·坎普拉
Ginés Morata,希内斯·莫拉塔
Carlos Pérez de Bricio,卡洛斯·佩雷斯·德布里西奥
Eduardo Carriles,爱德华多·卡里莱斯
Gonzalo Pérez de Vargas,贡萨洛·佩雷斯·德巴尔加斯
Guillermo Galeote,吉列尔莫·加莱奥特
Gustavo Marcos,古斯塔沃·马科斯
Marcos Gondra,馬高斯·干特拉
Carolina Darias,卡罗琳娜·达里亚斯
Fede Cartabia,費迪·卡拉比亞
Elena Rivera,艾蓮娜·里維拉
Jaime Blanco,海梅·布兰科·加西亚
Isabel Rodríguez García,伊莎贝尔·罗德里格斯·加西亚
José Folgado,何塞·福尔加多
Joan Cornellà,胡安·科尔内利亚
José Luis García Ferrero,何塞·路易斯·加西亚·费雷罗
José Ángel Alonso,荷西·安祖·阿朗素
Isidoro Tarrés,艾斯度路·達利斯
José Vida Soria,何塞·比达·索里亚
José García González,何塞·加西亚·冈萨雷斯
Jesús Rubio García-Mina,赫苏斯·加西亚
Juan Eduardo Zúñiga,胡安·爱德华多·苏尼加
Jorge Toledo Albiñana,庹尧诲
José Pedrosa Galán,荷西·柏度沙·加倫
Jorge Rando,豪爾赫·蘭多
Margarita Robles,玛加丽塔·罗夫莱斯
Juan Manuel García-Ruiz,胡安·曼努埃尔·加西亚-鲁伊斯
Marcela de Juan,黃瑪賽
Laura Gil,劳拉·希尔
Juan Jané Giralt,胡安·雅内·希拉尔特
Luis Hernández Rodríguez,路易斯·埃爾南德斯·羅德里格斯
Juan García Hortelano,胡安·加西亚·奥特拉诺
Juan Hormaechea,胡安·奥尔马埃切亚
Miguel Ángel López Nicolás,米格爾·安赫爾·洛佩斯
Lucas Vázquez,盧卡斯·巴斯克斯
Juan Mari Aburto,胡安·馬里·阿武爾托
José Pedro Sebastián de Erice,艾力赛
Juan de Dios Román,胡安·德迪奥斯·罗曼
Máximo Huerta,马克西姆·韦尔塔
María Luisa Carcedo,玛丽亚·路易莎·卡塞多
Isaac Aketxe,伊薩克·阿克切
María Victoria Morera,玛丽亚·维多利亚·莫雷拉
María Jesús Montero,玛丽亚·赫苏斯·蒙特罗
Magdalena Valerio,马格达莱娜·巴莱里奥
Ignacio Escudé,伊格纳西奥·埃斯库德
Ignacio Macaya,伊格纳西奥·马卡亚
Manuel Colón,曼努埃尔·科隆
Rafael Aguilar Morillo,拉斐尔·阿吉拉尔
Rafael Aranda,拉斐尔·阿兰达
Susana Díaz,苏萨娜·迪亚斯
Sergi Darder,塞爾吉·達爾德
Pablo Casado,巴勃羅·卡薩多
Pablo Aranda Ruiz,巴勃罗·阿兰达
Rafael Catalá Polo,拉斐尔·卡塔拉
Sergio Rico,塞爾吉奥·里科
Jennifer Hermoso,珍妮菲尔·艾尔莫索
Micaela Navarro,米卡埃拉·纳瓦罗
Fernando Grande-Marlaska,费尔南多·格兰德-马拉斯卡
Iván Pastor,伊萬·帕斯托爾
Miguel Sánchez-Migallón,米格尔·桑切斯-米加利翁
Manuel Macías Casado,曼紐埃爾·馬西阿斯·伊·卡薩杜
Pascual Tomás,帕斯库亚尔·托马斯
Manu Trigueros,馬努·特基路斯
Luis María Usoz,路易斯·乌索斯
Josep Gombau,荷西·甘巴爾
Pedro Miguel Echenique,佩德罗·米格尔·埃切尼克
Jaume Costa,尧梅·科斯塔
Martín de Rada,德拉達
Javier Patiño,哈维尔·帕蒂尼奥
Pedro Sánchez,佩德羅·桑切斯
Jerónimo Hermosilla,热罗尼莫·黑摩西拉
Salvador Sánchez Barbudo,萨尔瓦多·桑切斯·巴尔布多
José Pacheco Gómez,何塞·帕切科·戈麦斯
Eduardo Cano de la Peña,爱德华多·卡诺
Ubay Luzardo,烏巴·羅沙度
Vitolo Machín,維托洛
Pablo Marí Villar,柏保路·馬里
Pablo Sánchez Alberto,柏保路·山齊士
Pablo Sáinz Villegas,巴勃罗·塞恩斯·维勒加斯
Omar Mascarell,奧瑪·瑪斯卡爾
Pablo Carreño,巴勃羅·卡雷尼奧·布斯塔
Pablo Gallardo,柏保路·加亞度
Juan Menéndez Pidal,胡安·梅嫩德斯·皮达尔
Álvaro Martín Uriol,阿尔瓦罗·马丁
Emilio Méndez Pérez,埃米略·门德斯·佩雷斯
Pedro Murúa,佩德罗·穆鲁亚
Pedro Roig,佩德罗·罗伊格
Alba Flores,艾芭·芙蘿雷斯
Kardam de Bulgaria,卡爾達姆·(維利可特諾親王)
José Antonio Dinarés,何塞·迪纳雷斯
Pelayo Novo,佩拉约·诺沃
Pedro Millet,佩德罗·米列特
José María Díaz Muñoz,荷西·迪亞斯
José Luis Centella,何塞·路易斯·森特利亚
Eduardo Sánchez Solá,爱德华多·桑切斯·索拉
Rafael de Egusquiza y Basterra,拉斐尔·埃古斯基萨
Rafael Domingo Oslé,拉斐爾·多明戈·奧斯萊
Fernando Sebastián Aguilar,費爾南多·塞瓦斯蒂安·阿吉拉爾
Kenny Atkinson,肯尼·阿特金森
Kubrat de Bulgaria,庫布拉特·(帕納久利士特親王)
Giovanni Simeone,基奧雲尼·施蒙尼
Juan Cotino,胡安·科蒂诺
Juan Miguel Villar Mir,胡安·米格尔·比利亚尔·米尔
Ricardo Cabot Boix,里卡多·卡沃特·博伊克斯
Gabriel Hernández Paz,加夫列尔·埃尔南德斯
Kalina de Bulgaria,卡连娜公主·(保加利亚)
Boris de Bulgaria,鲍里斯·(保加利亚)
José Guirao,何塞·吉劳
Salvador Bermúdez de Castro O'Lawlor,萨尔瓦多·贝穆德斯·德·卡斯特罗
Santi Mina,桑蒂·米納
Isabel Celaá,伊莎贝尔·塞拉
Antonio Bonet Correa,安东尼奥·博内特·科雷亚
Roger Martí,羅傑·馬爾蒂
Luis Solana,路易斯·索拉纳
Sergio León,塞爾吉奧·利昂
Aureliano de Beruete y Moret,奥雷利亚诺·德·贝鲁埃特·莫雷特
Avelino Corma,阿瓦利诺·考玛
Jon Toral,乔·托拉尔
Luso Delgado,路易斯·愛德華多·德爾加多
Meritxell Batet,梅里切尔·巴泰特
Su Yu Chang,蘇昱彰
Carles Martínez,卡萊斯·馬天尼斯
Carmelina Sánchez-Cutillas,卡尔默利娜·萨恩杰斯
Carmelo Lisón Tolosana,卡梅洛·利松·托洛萨纳
Yolanda Martín,约兰达·马丁
Valentín de Berriochoa,华伦定·伯例欧佐亚
Juan Antonio Jiménez Cobo,胡安·安东尼奥·希门尼斯
Luis Planas,路易斯·普拉纳斯
Pablo Machín,巴勃罗·马钦
Pedro Alonso,貝哲羅·阿朗素
Borja Rubiato,保查·路比阿度
Pierre Oriola,彼雷·奥利奥拉
Rafael Soto Andrade,拉斐尔·索托
Mariano Díaz Mejía,马里亚诺·迪亚兹
Isaías Sánchez,伊沙亞斯·山齊士
Santiago Abascal,圣地亚哥·阿瓦斯卡尔
Dolors Montserrat,多洛斯·蒙塞拉特
Regino Hernández Martín,雷希诺·埃尔南德斯
Jaime Morera y Galicia,海梅·莫雷拉
Júlia Takács,茱莉亚·陶卡奇
Francisco Rizzo,弗朗西斯科·里索
Isabel Bayón Gamero,伊莎貝·巴雍
Víctor Moro Rodríguez,维克托·莫罗·罗德里格斯
Pedro Cordero Martín,佩德罗·科尔德罗
Sergio Peris-Mencheta,賽吉爾·佩里斯-曼切塔
Marcos Jiménez de la Espada Martín,馬高斯·迪拉艾斯柏達
José Álvarez de Paz,何塞·阿尔瓦雷斯·德帕斯
Neus Munté,内乌斯·蒙特
Ricardo Cortés,里卡多·科尔特斯·拉斯特拉
Pere Robert Font,佩德罗·罗伯特
Juan María Altuna,胡安·马里亚·阿尔图纳
Alejandro Menéndez,亚历杭德罗·梅嫩德斯
Ramón Ormazábal,拉蒙·奥尔马萨瓦尔
Rubén Blanco,魯本·比安科·維加
Diego Tristán,迭戈·特里斯坦
Diego Llorente,迪亞哥·略倫特
Francisco Javier González Muñoz,法蘭·干沙利斯
Fernando Pacheco Flores,費蘭度·柏捷高
Mauro Varela,毛罗·巴雷拉
Àlex Gómez Comes,阿歷士·高美斯
Inés Arrimadas,伊内斯·阿里马达斯
Pablo Iglesias Turrión,巴勃罗·伊格莱西亚斯·图里翁
Lourdes Mohedano,洛德丝·莫埃达诺
Carlos Lesmes,卡洛斯·莱斯梅斯·塞拉诺
Elena López,埃莱娜·洛佩斯
Isabel García Tejerina,伊莎贝尔·加西亚·特赫里纳
José Luis Gayà,何塞·路易斯·加亚
Guillem Vives,吉列姆·比維斯
Ayoze Pérez,阿約塞·佩雷斯
Arancha González Laya,阿兰查·冈萨雷斯
Sergio Cirio,沙治奧·施里奧
Guillermo Fernández Hierro,吉勒莫·費爾南德斯·耶羅
Víctor Camarasa,維克托·卡馬拉薩
Irene Cuesta,艾琳·奎絲塔
Bruno Hortelano,布鲁诺·奥特拉诺
Sergi Samper,塞爾吉·薩姆佩
Josep Maria Bartomeu,何塞普·马里亚·巴托梅乌
Rubén Sobrino,羅賓·蘇利奴
Héctor Bellerín,埃克托尔·贝莱林
Marina Ginestà,瑪麗娜·吉娜絲塔
Dani García (futbolista),丹尼爾·加西亞·卡利路
Moon Ribas,穆恩·里巴斯
David Costas,大衛·科斯塔斯
Iván López Mendoza,伊萬·洛佩兹·門多扎
Kiko Insa,基科·英沙
Juanma Moreno,胡安·曼努埃尔·莫雷诺
Clément Lenglet,克萊芒·朗格萊
Jason Remeseiro,傑森·雷梅塞羅
Jordi Samper,霍尔迪·桑佩尔·蒙塔尼亚
Diego Poyet,迪亞高·普耶
Keita Balde,凯塔·巴尔德·迪奥
Cristian Herrera,克里斯蒂安·赫雷拉
Rodrigo Corrales,罗德里戈·科拉莱斯
Hilda Rodríguez,伊尔达·罗德里格斯
Sergi Rodríguez López-Ros,塞爾吉奧·羅德里格斯·洛佩斯-羅斯
Patricia Herrera,帕特里夏·埃雷拉
Benito Elizalde,贝尼托·埃利萨尔德
Blas Camacho Zancada,布拉斯·卡马乔
Manuel Pazos,曼努埃尔·帕索斯
Leonor Rodríguez,莱昂诺尔·罗德里格斯
Rafael Wellington,賴菲爾·威靈頓
Cristian Ceballos,克里斯蒂安·塞巴羅斯
Adama Traoré Diarra,阿當馬·查奧爾·(1996年)
Jaime de Borbón-Dos Sicilias y Landaluce,海梅·(两西西里)
Marco Asensio,馬爾科·阿辛斯奧
Raúl Albentosa,魯爾·埃賓圖薩
Jesús Tortosa Cabrera,赫蘇斯·托爾托薩
Íñigo Errejón,伊尼戈·埃雷洪
Manolo Bleda,曼維·布列達·洛迪古斯
Sandra Aguilar,桑德拉·阿吉拉尔
Eva Calvo Gómez,埃娃·卡尔沃
Dani Ceballos,达尼·塞瓦略斯
Jessica Vall,杰茜卡·巴利
Andrés Prieto Albert,安德烈斯·普列托
Jaime Mata,海梅·马塔
Sergio Aguza Santiago,沙治奧·亞古沙
Roberto Carballés,罗伯托·卡瓦列斯·巴埃纳
José Manuel Liaño Flores,何塞·曼努埃尔·利亚尼奥·弗洛雷斯
Leticia Romero,莱蒂西娅·罗梅罗
Sara Khadem,萨拉萨达特·卡德马尔沙利赫
Francisco Nicolás Gómez Iglesias,弗朗西斯科·尼古拉斯·戈麦斯·伊格莱西亚斯
Jaume Doménech,尧梅·多梅内克
Jaume Munar,豪梅·穆纳尔
Pablo Echenique,巴勃罗·埃切尼克
Enrique López Pérez,恩里克·洛佩斯·佩雷斯
Pau López,帕乌·洛佩斯
Unai Bustinza,烏奈·布斯廷薩
Álvaro Morte,艾華路·莫迪
Iñaki Williams,伊拿基·威廉斯
Mikel Merino,米基·美連奴
Agustín Medina,阿古斯·梅迪納
Adriana Lastra,阿德里亚娜·拉斯特拉
Fabián Ruiz Peña,法比安·魯伊斯
El Risitas,胡安·霍亚·博尔哈
Unai López,烏奈·洛佩兹
Iván Sánchez Aguayo,伊万·桑切斯
Manuel Gavilán Morales,文奴爾·加維蘭
Sara Sorribes,莎拉·索里貝絲·托摩
Samu Castillejo,萨穆·卡斯蒂列霍
Jesús Vallejo (futbolista),赫蘇斯·瓦雷喬
Jairo Morillas,傑羅·莫里拉斯
Joan Jordán,喬安·喬丹
Juancho Hernangómez,胡安·埃爾南高梅茲
Borja Iglesias,博爾哈·伊格萊西亞斯
Jack Harper,傑克·哈珀
Borja Mayoral,博爾哈·馬約拉爾
David Raya,大衛·拉耶
Ager Aketxe,阿格爾·阿克切
Jordi Xammar,霍尔迪·哈马尔
Marco Flores (bailaor),馬可·佛羅雷斯
Jordi Ribera,霍尔迪·里韦拉
Paula Badosa,葆拉·巴多萨
Miguel Urbán,米格尔·乌尔万
Jorge Meré,約格·梅利
Rubén Duarte,魯本·杜阿爾特
