Россия,俄罗斯
Даги (река),达吉河
Гарцевское сельское поселение,加尔采沃农村居民点
"Гартунг, Валерий Карлович",瓦列里·哈通
"Гильмутдинов, Ильдар Ирекович",伊利达尔·吉利穆季诺夫
Государственный центральный музей современной истории России,俄羅斯現代史博物館
Государственный музей истории космонавтики имени К. Э. Циолковского,齊奧爾科夫斯基州立宇宙歷史博物館
Годовник (озеро),戈多夫尼克湖
Гоголевский бульвар,果戈里大道·(莫斯科)
Дерезовское сельское поселение,杰列佐夫卡农村居民点
Григорьевское сельское поселение (Владимирская область),格里戈里耶沃农村居民点
"Горная (река, Сахалин)",山河·(萨哈林州)
Десятуховское сельское поселение,杰夏图哈农村居民点
Дальний (Чукотский автономный округ),達利尼·(楚科奇自治區)
Гмелинское сельское поселение,格梅林卡农村居民点
Городецкое сельское поселение (Брянская область),戈罗德齐农村居民点
Сельское поселение Городецкое (Вологодская область),戈罗杰茨科耶农村居民点
Гринёвское сельское поселение,格里尼奥沃农村居民点
Головинское сельское поселение (Владимирская область),戈洛维诺农村居民点·(弗拉基米尔州)
Джарылгач,賈里爾加奇湖
Дарасун,达拉孙
Голоустненское муниципальное образование,戈洛乌斯特诺耶市镇
Голубичная,蓝莓河
Сельское поселение Городищенское (Нюксенский район),戈罗季希纳市镇
Городищенское сельское поселение (Брянская область),戈罗季谢农村居民点
Тельминское (озеро),捷利明斯科耶湖
Дальняя (приток Большой Уссурки),特其河
Дах (река),達赫河
Гришевское сельское поселение,格里舍夫卡农村居民点
Джигитовка (река),吉吉托夫卡河
"Гольцовое (озеро, Архангельская область)",戈利措沃湖
Голынки,戈倫基
Голыгина,戈雷吉納河
Горожанское сельское поселение,戈罗然卡农村居民点
Гришинослободское сельское поселение,格里申娜镇农村居民点
Дачная (приток Арсеньевки),别墅河
"Горохово (озеро, Псковская область)",戈羅霍沃湖·(奧斯特羅夫區)
Дачное (станция Дальневосточной железной дороги),达奇涅站·(萨哈林州)
Даргавс,达尔加夫斯
Гирвас (озеро),吉爾瓦斯湖
"Гасанов, Джамаладин Набиевич",贾迈勒丁·哈桑诺夫
Девицкое сельское поселение (Острогожский район),杰维察农村居民点·(奥斯特罗戈日斯克区)
Девицкое сельское поселение (Семилукский район),杰维察农村居民点·(谢米卢基区)
Красноуфимский округ,克拉斯诺乌菲姆斯克区
Сухой Лог (городской округ),苏霍伊洛格区
Голуметское муниципальное образование,戈卢梅季市镇
Богданович (городской округ),波格丹诺维奇区
Верхотурский городской округ,韦尔霍图里耶区
Дзуарикау (Дзуарикауское сельское поселение),祖阿里考
Дзержинское сельское поселение (Воронежская область),捷尔任斯基农村居民点
Дзержинское муниципальное образование,捷尔任斯克市镇
Горбатовское сельское поселение,戈尔巴托夫斯基农村居民点
Глава Республики Бурятия,布里亞特共和國首腦
Песчаный Лог (река),戈盧博伊杜奈河
Толуд,戈盧德河
Горячегорск,戈里亚切戈尔斯克
Губернатор Нижегородской области,下诺夫哥罗德州州长
Губернатор Камчатского края,堪察加邊疆區行政長官
Губернатор Архангельской области,阿尔汉格尔斯克州州长
Губарёвское сельское поселение,古巴廖沃农村居民点
Губернатор Ненецкого автономного округа,涅涅茨自治区行政长官
Губернатор Иркутской области,伊尔库茨克州州长
Гороховское муниципальное образование,戈罗霍沃市镇
Гулинское сельское поселение,古利诺农村居民点
Джиримское,吉里姆斯科耶湖
Джогинское муниципальное образование,焦吉诺市镇
Двинь-Велинское озеро,德溫-韋林斯科耶湖
Двинье,德維尼耶湖
Губернатор Рязанской области,梁赞州州长
Губернатор Ленинградской области,列宁格勒州州长
Губернатор Оренбургской области,奧倫堡州州長
Губернатор Пермского края,彼爾姆邊疆區行政長官
Губернатор Свердловской области,斯維爾德洛夫斯克州州長
Губернатор Московской области,莫斯科州州长
Губернатор Орловской области,奥廖尔州州长
Губернатор Тюменской области,秋明州州长
Гулёвское сельское поселение,古廖夫卡农村居民点
Донгуз (река),頓古茲河
Мир (телерадиокомпания),Mir·(媒体)
Золотореченск,佐洛托列琴斯克
Доманичское сельское поселение,多马尼奇农村居民点
Домашовское сельское поселение,多马绍沃农村居民点
Дго,德戈湖
Горятино (озеро),戈里亞季諾湖
Горянка (река),戈连卡河·(萨哈林州)
Горшечное,戈尔舍奇诺耶
Гудке,古德克湖
"Деловой центр (станция метро, Большая кольцевая линия)",商業中心站·(大環線)
"Длинная (река, впадает в Невское озеро)",长河·(萨哈林州)
Донская (река),顿斯卡亚河
Демидовский столп (Ярославль),杰米多夫纪念柱
"Донское (озеро, Коми)",頓斯科耶湖·(科米共和國)
Донское (Крым),頓斯凱·(辛菲羅波爾區)
Дмитриевогорское сельское поселение,德米特里耶维戈雷农村居民点
Голинка (река),戈林卡河
Дедино (озеро),傑季諾湖
Горькое-Перешеечное,戈里科耶-佩列舍耶奇諾耶湖
"Горькое (озеро, Новичихинский район)",戈里科耶湖·(新奇欣斯基區)
Горьковское (Омская область),戈里科夫斯科耶·(鄂木斯克州)
"Горькое (озеро, Хакасия)",戈里科耶湖·(博格勒區)
"Горькое (озеро, Егорьевский район)",戈里科耶湖·(阿爾泰邊疆區)
Двухюрточное,德武茹爾托奇諾耶湖
Диво (озеро),季沃湖
Гуниб (плато),古尼布高原
Гуранское муниципальное образование,古兰市镇
Дегтяренское сельское поселение,杰格佳尔诺耶农村居民点
Дегтярёвское сельское поселение (Брянская область),杰格佳廖夫卡农村居民点
Деед-Хулсун,傑耶德-胡爾孫湖
"Дворников, Александр Владимирович",亚历山大·德沃尔尼科夫
Городновское,戈羅德諾夫斯科耶湖
Дмитриевское сельское поселение (Воронежская область),德米特里耶夫卡农村居民点·(沃罗涅日州)
Демиховский машиностроительный завод,杰米霍沃机器制造厂
Дмитров (футбольный клуб),德米特羅夫足球會
Демидовское сельское поселение (Владимирская область),杰米多沃农村居民点
Демидовское сельское поселение (Волгоградская область),杰米多夫农村居民点
Евдаковское сельское поселение,叶夫达科沃农村居民点
Ерышёвское сельское поселение,叶雷绍夫卡农村居民点
"Данилино (озеро, Кыштовский район)",丹尼洛沃湖
Данковское сельское поселение (Воронежская область),丹科沃农村居民点
Даниловское сельское поселение (Владимирская область),丹尼洛沃农村居民点
Дмитровское сельское поселение (Брянская область),德米特罗沃农村居民点
Есиповское сельское поселение,叶西波沃农村居民点
Добриковское сельское поселение,多布里克农村居民点
Днико (озеро),德尼科湖
Дно (река),德诺河
Досчатое,多夏托耶
Дорогино (Новосибирская область),多罗吉诺
Грозный-Сити,格罗兹尼城市塔
Муниципальное образование «Егоровск»,叶戈罗夫斯克市镇
Дрожжино (Московская область),德罗日诺·(莫斯科州)
Денисковичское сельское поселение,杰尼斯科维奇农村居民点
"Денежное (озеро, Тверская область)",傑涅日諾耶湖·(特維爾州)
Евдокимовское муниципальное образование,叶夫多基莫瓦市镇
Еврейский музей и центр толерантности,猶太博物館與寬恕中心
Евлашево (Пензенская область),叶夫拉舍沃
Жадовка,扎多夫卡
Жакто,扎克托湖
Есиплевское сельское поселение (Владимирская область),叶西普列沃农村居民点
Государственная премия Российской Федерации,俄罗斯联邦国家奖
Деменское сельское поселение,杰缅卡农村居民点
"Делягин, Михаил Геннадьевич",米哈伊尔·杰利亚金
Делянкир,杰良基尔
Государственное Собрание — Курултай Республики Башкортостан,巴什科尔托斯坦共和国国家议会
Евсейчиха,葉夫謝伊奇哈河
Евстратовское сельское поселение,叶夫斯特拉托夫卡农村居民点
Дружинино,德鲁日尼诺
"Дружинное (озеро, Вологодская область)",德魯任諾耶湖·(沃洛格達州)
День Военно-Морского Флота,俄罗斯海军节
Денисовское сельское поселение (Владимирская область),杰尼索沃农村居民点
"Селитряное (озеро, Забайкальский край)",多羅寧斯科耶湖
Долботовское сельское поселение,多尔博托沃农村居民点
Друичино (озеро),德魯伊奇諾湖
"Езерище (озеро, бассейн Нарвы)",葉澤里謝湖·(普斯托什卡區)
"Езерский, Николай Николаевич (политик)",尼古拉·叶泽尔斯基
Еткуль (озеро),葉特庫利湖
Ейский высший военный авиационный институт,叶伊斯克高等军事航空学校
Денятинское сельское поселение,杰尼亚季诺农村居民点
Донузлав,多努茲拉夫湖
Добринское сельское поселение (Воронежская область),多布林斯科耶农村居民点
Добровольная народная дружина,人民志愿纠察队
Доброводское сельское поселение,多布罗沃季耶农村居民点
Добровольское сельское поселение (Воронежская область),多布罗沃利斯科耶农村居民点
Государственный Совет Республики Татарстан,韃靼斯坦共和國國務委員會
Единый реестр запрещённых сайтов,禁止网站统一登记表
Единка (река),葉金卡河
Едогонское муниципальное образование,叶多贡市镇
Дроновское сельское поселение (Брянская область),杜纳耶夫斯基农村居民点
Дровяная,德罗维亚纳亚
Жуинское сельское поселение,茹因斯科耶市镇
Жиганск (аэропорт),日甘斯克机场
Договор о мире и принципах взаимоотношений между РФ и ЧРИ,莫斯科和約·(1997年)
Добчурское муниципальное образование (Братский район),多布丘尔市镇
Долгоруковская улица,多爾戈魯科夫斯克大街
Жижицкое,日日茨科耶湖
Елецкий (Коми),叶列茨基·(科米共和国)
Дубец (озеро),杜別茨湖
Северный (вулкан),謝韋爾內火山
"Долгое (озеро, Московская область)",多爾戈耶湖·(莫斯科州)
"Долгое (озеро, Плюсская волость)",多爾戈耶湖·(普柳薩區)
"Долгое (озеро, Смоленская область)",多爾戈耶湖·(斯摩棱斯克州)
"Высокий (вулкан, 1234 м)",維索基火山
Ждановка (река),日丹诺夫卡河
Долиновка (река),多利諾夫卡河
Жилинское сельское поселение (Воронежская область),日利诺农村居民点
Жилинда (Якутия),日林达
Жирятинское сельское поселение,日里亚季诺农村居民点
Жирекен,日列肯
Жёлтый Клин,黄乌克兰
Дубовское сельское поселение (Белгородская область),杜博沃耶农村居民点·(别尔哥罗德州)
Елатьма,叶拉季马
Елань-Коленовский,叶兰-科列诺夫斯基
Дом ленинградской торговли,DLT百貨公司
Журавское сельское поселение (Воронежская область),茹拉夫卡农村居民点·(沃罗涅日州)
Журиничское сельское поселение,茹里尼奇农村居民点
Дубки (Дагестан),杜布基
Жупанка,茹潘卡河
Жулебино (станция метро),茹列賓諾站
Екунчетское муниципальное образование,叶昆切特市镇
Журавлёвка (река),茹拉夫廖夫卡河
Междусопочный,梅日杜索波內火山
Железнодорожные войска Российской Федерации,俄罗斯铁道军
Елагин остров,耶拉金島
Железнодорожная линия Санкт-Петербург — Москва,莫斯科—聖彼得堡鐵路
Еланское муниципальное образование (Иркутская область),叶兰卡市镇
Дом Жако,雅科大楼
Забайкальский национальный парк,外貝加爾國家公園
Муниципальное образование «Забитуй»,扎比图伊市镇
Ислам в Татарстане,韃靼斯坦伊斯蘭教
Дом Лобанова-Ростовского,罗拔诺甫-罗斯托夫斯基宫
Заболотные татары,扎波洛提尼韃靼人
Заплюсские озёра,扎普柳斯科耶湖
Елец (футбольный клуб),葉列茨足球會
Елизаветовское сельское поселение (Воронежская область),伊丽莎白托夫卡农村居民点
Заборское сельское поселение (Вологодская область),扎博尔斯科耶农村居民点
Заборско-Никольское сельское поселение,扎博里耶-尼科利斯卡亚农村居民点
Добрунское сельское поселение,多布伦农村居民点
Дракинское сельское поселение (Воронежская область),德拉基诺农村居民点
Западный Булганак,西布爾加納克河
Западно-Сибирская нефтегазоносная провинция,西西伯利亚含油气省
Егорий Осенний,尤里耶夫節
Долысское,多雷斯科耶湖
"Драпеко, Елена Григорьевна",叶连娜·德拉佩科
Знаменская церковь (Дубровицы),圣母标志教堂·(杜布罗维茨)
Заволоцкое,扎沃洛茨科耶湖
Завражское сельское поселение,扎夫拉日耶农村居民点
Заголов (озеро),扎戈洛夫湖
Загородный проспект,城郊大街
Дубровское сельское поселение (Суражский район),杜布罗夫卡农村居民点·(苏拉日区)
Дубровское сельское поселение (Брасовский район),杜布罗夫卡农村居民点·(布拉索沃区)
Заброденское сельское поселение,扎布罗德农村居民点
Завережье (озеро),扎韋列日耶湖
Запольскохалеевичское сельское поселение,扎波利斯基耶哈列耶维奇农村居民点
Заиграево,扎伊格拉耶沃
Дунай (Приморский край),杜奈·(滨海边疆区)
Дунайская (станция метро),多瑙站
Сельское поселение Енангское,叶南格斯克农村居民点
Заднесельское сельское поселение,扎德涅耶农村居民点
Еменец (озеро),葉梅涅茨湖
Дукат (Магаданская область),杜卡特·(俄罗斯)
Заречное муниципальное образование,扎列奇耶市镇
Золотая медаль имени Д. И. Менделеева,门捷列夫金质奖章
Енинское сельское поселение,叶尼诺农村居民点
Ельша (озеро),葉利沙湖
Дулово (озеро),杜洛沃湖
Думиничи,杜米尼奇·(卡卢加州市级镇)
Дуляпинское сельское поселение,杜利亚皮诺农村居民点
Кимовский район,基莫夫斯克區
Толмачёв Дол,托爾馬切夫高原
Муниципальное образование «Зоны»,佐尼市镇
Законодательная дума Хабаровского края,哈巴罗夫斯克边疆区立法杜马
Еловка (приток Камчатки),葉洛夫卡河
Ергеж-Ер,葉爾傑日-葉爾湖
Ербогачёнское муниципальное образование,叶尔博加乔恩市镇
Знобовка,茲諾比夫卡河
Знаменское муниципальное образование (Иркутская область),兹纳缅卡市镇
Зов тигра (национальный парк),佐夫季格拉國家公園
Золотухино (Курская область),佐洛图希诺·(库尔斯克州)
Красноармейский район (Самарская область),紅軍村區·(薩馬拉州)
Заслуженный военный лётчик Российской Федерации,俄羅斯聯邦功勳軍事飛行員
Заслуженный деятель искусств Российской Федерации,俄罗斯联邦功勋艺术工作者
Заслуженный военный штурман Российской Федерации,俄羅斯聯邦功勳軍事領航員
Заслуженный деятель науки Российской Федерации,俄罗斯联邦功勋科学工作者
Заславское муниципальное образование,扎斯拉夫斯卡亚市镇
Зубовская губа,祖博夫斯卡亞灣
Заслуженный работник дипломатической службы Российской Федерации,俄罗斯联邦功勋外交工作者
Заслуженный работник культуры Российской Федерации,俄罗斯联邦功勋文化工作者
Залив Счастья,夏斯季耶灣
Залиманское сельское поселение,扎利曼农村居民点
Залуженское сельское поселение,扎卢日诺耶农村居民点
Залом (река),扎洛姆河
Занасабелье (озеро),扎納薩別利耶湖
Ермишь,叶尔米希
Измайлово (усадьба),伊斯梅洛沃庄园
Измайлово (Ульяновская область),伊斯梅洛沃·(烏里揚諾夫斯克州)
Изменчивое,多变湖
Залив Академии,科学院湾·(鄂霍茨克海)
Ерзовка (Волгоградская область),叶尔佐夫卡
Закон о запрете пропаганды ЛГБТ в России,保护儿童免遭反传统家庭价值观信息的影响法
Замзорское муниципальное образование,扎姆佐尔市镇
Замишевское сельское поселение,扎米舍沃农村居民点
Дудергофское озеро,杜傑爾戈夫斯科耶湖
Дудаченское сельское поселение,杜达琴斯基农村居民点
"Дудинка (река, Сахалин)",杜金卡河
Измайлово (Ленинский район),伊斯梅洛沃
Завидово (Конаковский район),扎维多沃
Запрудское сельское поселение,扎普鲁德斯科耶农村居民点
Зябинское сельское поселение,贾巴农村居民点
Зюраткуль (озеро),久拉特庫利湖·(薩特卡區)
"Звезда (футбольный клуб, Серпухов)",謝爾普霍夫紅星足球會
Занковское сельское поселение,赞科夫卡农村居民点
Заозёрная (река),向湖河
Зареченское муниципальное образование (Тайшетский район),扎列奇诺耶市镇
"Заячье (озеро, Татарстан)",扎亞奇耶湖
Золотарёвка (Пензенская область),佐洛塔廖夫卡
Изоплит,伊佐普利特
Изъяр,伊濟亞爾湖
Ирша (Красноярский край),伊尔沙·(俄罗斯)
Затеречный,扎捷列奇内
Исаевское сельское поселение,伊萨耶夫斯科耶农村居民点
"Исаев, Андрей Константинович",安德烈·伊萨耶夫
Муниципальное образование «Иваническ»,伊万尼切斯克市镇
"Иван (озеро, Забайкальский край)",伊萬湖·(外貝加爾邊疆區)
"Иван (озеро, Псковская область)",伊萬湖·(涅韋利斯基區)
Ивайтёнское сельское поселение,伊瓦伊乔恩基农村居民点
Иванино (Курская область),伊万尼诺
Дьяченковское сельское поселение,季亚琴科沃农村居民点
Звёздный (Пермский край),兹维奥兹德内·(彼尔姆边疆区)
Зулумайское муниципальное образование,祖卢迈市镇
Зуя (река),祖亞河
Икейское муниципальное образование,伊克伊市镇
Зеленогорье,澤列諾吉里亞
Зеленцовское сельское поселение,泽连佐沃农村居民点
Калино (Чусовской городской округ),卡利诺·(彼尔姆边疆区)
Зелёновское сельское поселение (Волгоградская область),泽廖内农村居民点
Ильиногорск,伊利因诺戈尔斯克
Иванковское сельское поселение (Ивановская область),伊万科沃农村居民点
Изъяю (посёлок городского типа),伊兹亚尤
Ик (озеро),伊克湖
Исетское водохранилище,伊謝特斯科耶湖
Истобинское сельское поселение,伊斯托布诺耶农村居民点
Исса (Пензенская область),伊萨·(奔萨州)
Центр судоремонта «Звёздочка»,星造船厂
Здание городской думы (Москва),莫斯科市政廳
Илек-Кошарское сельское поселение,伊廖克-科沙雷农村居民点
Калиновское сельское поселение (Воронежская область),卡利诺沃农村居民点·(沃罗涅日州)
"Калинка (река, впадает в Татарский пролив)",卡林卡河
Ильинское сельское поселение (Владимирская область),伊利因斯科耶农村居民点·(弗拉基米尔州)
Зеледеева,澤列傑耶瓦河
Зеленоборск (Ханты-Мансийский автономный округ),泽列诺博尔斯克
Илезское сельское поселение (Вологодская область),伊利兹斯科耶农村居民点
Ивановское сельское поселение (Воронежская область),伊万诺夫卡农村居民点·(沃罗涅日州)
Ивановское сельское поселение (Владимирская область),伊万诺沃农村居民点
Сельское поселение Ивановское (Вашкинский район),伊万诺夫斯卡亚农村居民点
Зерновское муниципальное образование (Иркутская область),泽尔诺沃耶市镇
Итальянская улица,意大利街
Ивашевское сельское поселение (Ивановская область),伊瓦舍沃农村居民点
Итака (Забайкальский край),伊塔卡·(俄罗斯)
"Ильинка (река, Сахалин)",伊林卡河
Землянское сельское поселение,泽姆良斯克农村居民点
Иволгинское городище,伊伏爾加古城
Ивотка (река),伊沃特卡河
Илирское сельское поселение,伊利尔农村居民点
Илирней (озеро),伊利爾涅伊湖
Калыгинское,卡雷金斯科耶湖
Истопское сельское поселение,伊斯托普基农村居民点
"Иткуль (озеро, Челябинская область)",伊特庫利湖·(車里雅賓斯克州)
Сельское поселение Игмасское,伊格马斯农村居民点
Ильчинец,伊利奇涅茨河
Калуга (футбольный клуб),卡盧加足球會
Калтукское сельское поселение (Братский район),卡尔图克农村居民点
"Зеркальное (озеро, Ленинградская область)",澤爾卡利諾耶湖·(維堡區)
"Зеркальное (озеро, Приморский край)",澤爾卡利諾耶湖·(濱海邊疆區)
"Зеркальное (озеро, Алтайский край)",澤爾卡利諾耶湖·(阿爾泰邊疆區)
Зеркальная (река),镜河
Ильменское озеро,伊利緬斯科耶湖
Илькинское сельское поселение (Меленковский район),伊利基诺农村居民点
"Ича (река, впадает в Охотское море)",伊恰河
Зимняя Универсиада 2019,2019年冬季世界大學運動會
Илья-Высоковское сельское поселение,伊利亚-维索科沃农村居民点
Камбилеевка,坎比列耶夫卡河
Каменец (озеро),卡梅涅茨湖
Икбулат,伊克布拉特湖
Игнатовка,伊格納托夫卡
Ишидейское муниципальное образование,伊希杰伊市镇
Каменка (приток Лютоги),初问川
Имоложье,伊莫洛日耶湖
Кадам (озеро),卡達姆湖
Инголь,因戈利湖
Ингосстрах,Ingosstrakh
Инокентишка,伊諾肯蒂什卡河
Кавголовское озеро,卡夫戈洛夫斯科耶湖
"Каменка (посёлок городского типа, Воронежская область)",卡缅卡·(沃罗涅日州)
Карасиное,卡拉西諾耶湖
Каратай (озеро),卡拉泰湖
Кадосно (озеро),卡多斯諾湖
Каменка (приток Уссури),卡缅卡河·(丘古耶夫卡区)
"Каменка (река, впадает в Японское море)",良子河·(纳霍德卡城区)
Игрицкое сельское поселение,伊格里茨科耶农村居民点
Ингозеро,恩格湖
Кавыча,卡維恰河
Игрим,伊格里姆
Каменское муниципальное образование (Нижнеудинский район),卡缅卡市镇·(下乌金斯克区)
Каменский (Саратовская область),卡缅斯基·(萨拉托夫州)
Каменоломни (рабочий посёлок),卡梅诺洛姆尼
Институт медико-биологических проблем РАН,俄罗斯科学院生物医学问题研究所
Институт марксизма-ленинизма (Москва),苏共中央马列研究院
Инерка,伊涅爾卡湖
Кадыланьи,卡德拉尼河
"Каменное (озеро, Бежаницкий район)",卡緬諾耶湖·(別扎尼齊區)
Каменно-Степное сельское поселение,卡缅诺-斯捷普诺耶农村居民点
"Каменное (озеро, Опочецкий район)",卡緬諾耶湖·(奧波奇卡區)
Каменно-Ангарское муниципальное образование,卡缅诺-安加尔斯克市镇
Каменно-Верховское сельское поселение,卡缅诺-韦尔霍夫卡农村居民点
Институт экономики РАН,俄罗斯科学院经济研究所
Каминское сельское поселение (Ивановская область),卡明斯基农村居民点
Кигач (река),基加奇河
Извилинка (река),伊茲維林卡河
Карачунское сельское поселение,卡拉春农村居民点
Караяшниковское сельское поселение,卡拉亚什尼克农村居民点
Карахунское сельское поселение (Братский район),卡拉洪农村居民点
Карачево (озеро),卡拉切沃湖
Казанское авиапредприятие,喀山航空
Казинское сельское поселение (Павловский район),卡津卡农村居民点·(沃罗涅日州)
Иннополис,因诺波利斯
Залив (завод),扎利夫造船厂
Кардымово (Смоленская область),卡爾德莫沃
Казахи в России,哈薩克裔俄羅斯人
Казахстанско-российские отношения,哈薩克—俄羅斯關係
Камчатский пролив,堪察加海峽
Институт российской истории РАН,俄罗斯科学院俄罗斯历史研究所
Каменскохуторское сельское поселение,卡缅斯基胡托尔农村居民点
Каменское сельское поселение (Брянская область),卡缅农村居民点
"Каменушка (река, Сахалин)",丑鸭河
Иркутское сельское поселение,伊尔库茨克市镇
Иолго,約爾戈山脈
Ипуин,伊普因河
Кизлярский залив,基茲利亞爾灣
Каменноостровский проспект,卡緬內島大街
Санкт-Петербургская академия художеств имени Ильи Репина,列宾美术学院
Институт истории естествознания и техники имени С. И. Вавилова РАН,俄羅斯科學院自然科學與技術歷史研究所
Иркутск-Пассажирский,伊爾庫茨克客運站
Киненин (приток Еловки),右基涅寧河
Калевальский национальный парк,卡勒瓦拉國家公園
"Казачка (река, впадает в Японское море)",女哥萨克河·(涅韦尔斯克区)
"Казачка (река, впадает в Тунайчу)",女哥萨克河·(科尔萨科夫区)
Как-Холь,卡克-霍利湖
Иргейское муниципальное образование,伊尔格伊市镇
Ирдоматское сельское поселение,伊尔多马特卡农村居民点
Ирбитское муниципальное образование,伊尔比特区
Каринское сельское поселение (Владимирская область),卡林斯科耶农村居民点
Карлукское муниципальное образование (Иркутский район),卡尔卢克市镇
Ключи-Булакское муниципальное образование,克柳奇-布拉克市镇
Ключевский (посёлок),克柳切夫斯基·(外贝加尔边疆区)
Кинбурнский полуостров,金伯恩半島
Кимильтейское муниципальное образование,基米利捷伊市镇
Камышная (приток Полной),科米什納河
Карпенковское сельское поселение,卡尔片科沃农村居民点
Калангуй,卡兰圭
Кандрыкуль,坎德雷庫利湖
Конурка,卡努爾卡湖
Капшозеро,卡普什湖
Капчук (озеро),卡普丘克湖
Карымское сельское поселение,卡雷姆斯克市镇
Кирилловское сельское поселение (Брянская область),基里洛夫卡农村居民点
Кличка (посёлок городского типа),克利奇卡
"Калашников, Леонид Иванович (политик)",列昂尼德·卡拉什尼科夫
Кипревское сельское поселение,基普列沃农村居民点
Клыенин,克雷耶寧河
Клюковенское сельское поселение,克柳科夫尼基农村居民点
Клёповское сельское поселение,克廖波夫卡农村居民点
Клязьминское сельское поселение,克利亚济马农村居民点
Кирлеутское озеро,基爾列烏特斯科耶湖
Касторное,卡斯托尔诺耶
"Кара-Куль (озеро, Татарстан)",卡拉-庫利湖·(韃靼斯坦共和國)
Киревна,基列夫納河
Кирекское,基列克斯科耶湖
Кирейское муниципальное образование,基列伊市镇
Кирейково,基列科沃
Кирганик,基爾加尼克河
"Солёное (озеро, Кяхтинский район)",索廖諾耶湖·(基亞赫京斯基區)
"Коль (река, впадает в Охотское море)",科利河
Колышлей,科雷什列伊
Кобинское сельское поселение (Иркутская область),科比农村居民点
Ко (гора),科山
Каменный карьер (Петрозаводск),卡里耶爾湖
Касатка (залив),單冠灣
Колычева,科雷切夫河
Колыбельское сельское поселение,科雷别尔卡农村居民点
Кировский (Курская область),基洛夫斯基·(库尔斯克州)
Колтан-Нур,科爾坦-努爾湖
Колпна,科尔普纳
Кирсановское сельское поселение,基尔萨诺夫卡农村居民点
Кахтун,卡赫通河
Кавожа,索納河
Ковернино,科韦尔尼诺
Карабашское водохранилище,卡拉巴什水庫
Кирчурич,基爾丘里奇河
Катарминское муниципальное образование,卡塔尔马市镇
Катарбейское муниципальное образование,卡塔尔别伊市镇
Каразейское сельское поселение,卡拉泽伊市镇
Качугское муниципальное образование,卡丘格市镇
Командорские острова (национальный парк),科曼多尔斯基自然保护区
Кобляковское сельское поселение,科布利亚科沃农村居民点
Комсозеро,科姆斯湖
Комсомольск-на-Амуре (станция),阿穆尔河畔共青城站
Ковардицкое сельское поселение,科瓦尔季齐农村居民点
Ковалёвское сельское поселение (Воронежская область),科瓦廖沃农村居民点
Ковалевское (озеро),科瓦林斯科耶湖
Улыкуль,卡拉莫利斯科耶湖
Колюдовское сельское поселение,科柳德农村居民点
Церковь Пресвятой Богородицы (Владивосток),天主之母堂·(海参崴)
Катромское,卡特羅姆斯科耶湖
Карайчевское сельское поселение,卡赖切夫卡农村居民点
Кафтино (озеро),卡夫季諾湖
Корниловская (приток Кавычи),科爾尼洛夫河
Кисынок,基瑟諾克河
Кистерское сельское поселение,基斯乔尔农村居民点
Сельское поселение Киснемское,基斯涅马农村居民点
Комаровка (приток Раздольной),科马罗夫卡河
Киселинское сельское поселение,基谢利诺耶农村居民点
Комиссаровка (река),科米萨罗夫卡河·(滨海边疆区)
"Комиссаровка (река, Сахалин)",科米萨罗夫卡河·(萨哈林州)
Комсомольский (Дагестан),共青鎮·(達吉斯坦共和國)
Коммунисты России,俄罗斯共产党人
Коммунистический,共产主义镇
Российская партия свободы и справедливости,俄罗斯自由和公正党
Коммунистическая партия Республики Татарстан,鞑靼斯坦共和国共产党
"Комоцкий, Борис Олегович",鲍里斯·科莫茨基
Кисловское сельское поселение,基斯洛沃农村居民点
"Кислое (озеро, Великолукский район)",基斯洛耶湖·(大盧基區)
Кая (приток Иркута),卡亞河
Киятское озеро,基亞特斯科耶湖
Муниципальное образование Комьянское,科米扬斯科耶市镇
"Кашин, Владимир Иванович",弗拉基米尔·卡申
Конанъер,科南耶爾湖
Корсаков (станция),科尔萨科夫站
Китовское сельское поселение (Ивановская область),基托沃农村居民点
Китильгина,基蒂利吉納河
Китайцы в Сибири и на Дальнем Востоке,西伯利亞華人
Кодаярви,科達湖
Коденцовское сельское поселение,科坚佐沃农村居民点
Кодар,科達爾山脈
Кожозеро,科若澤羅湖
Кишма,基什馬河
"Комсомольское (озеро, Ленинградская область)",科姆索莫利斯科耶湖·(列寧格勒州)
Комсомольское сельское поселение (Воронежская область),共青农村居民点·(沃罗涅日州)
Коротоякское сельское поселение,科罗托亚克农村居民点
Кваркуш,克瓦爾庫什山脈
Клевень (река),克列文河
Клакес,克拉克斯河
Некрасовская линия,內克拉索夫卡線
"Кедровая (река, впадает в Японское море)",杉河
Кондинское (Ханты-Мансийский автономный округ),孔金斯科耶·(汉特-曼西自治区)
Корфовский,科尔福夫斯基
Коехина,科耶希納河
Кихчик (река),基赫奇克河
Коршевское сельское поселение,科尔舍沃农村居民点
Комсомольский проспект (Москва),共青團大街·(莫斯科)
Козыревская,科濟列夫河
Козыревка (река),科濟列夫卡河
Козулька,科祖利卡·(俄罗斯)
"Кема (река, впадает в Японское море)",克马河·(滨海边疆区)
Коноваловское муниципальное образование,科诺瓦洛沃市镇
Лухмановская,盧哈曼諾夫站
Космос-3М,宇宙3號M型運載火箭
Сельское поселение Кичменгское,基奇缅加农村居民点
Кичуй,基崔河
Киша (приток Белой),基沙河
Косицкое сельское поселение,科西齐农村居民点
Каширское сельское поселение,卡希尔斯科耶农村居民点
Кашкан,卡什坎河
