Portugal,ポルトガル
Portugal no Campeonato Mundial de Atletismo de 1997,1997年世界陸上競技選手権大会ポルトガル選手団
Chapitô,チャピト
Portugal nos Jogos Olímpicos de Inverno da Juventude de 2016,2016年リレハンメルユースオリンピックのポルトガル選手団
Portugal nos Jogos Paralímpicos de Verão de 2016,2016年リオデジャネイロパラリンピックのポルトガル選手団
2018 em Portugal,2018年のポルトガル
Circuito Internacional de Vila Real,ヴィラ・レアル市街地コース
Portugal nos Jogos Paralímpicos de Verão de 2000,2000年シドニーパラリンピックのポルトガル選手団
Portugal nos Jogos Paralímpicos de Verão de 1992,1992年バルセロナパラリンピックのポルトガル選手団
Portugal nos Jogos Paralímpicos de Verão de 1988,1988年ソウルパラリンピックのポルトガル選手団
Portugal nos Jogos Paralímpicos de Verão de 1984,1984年ニューヨーク・アイレスベリーパラリンピックのポルトガル選手団
cuidados de saúde em Portugal,ポルトガルの医療
eleições legislativas portuguesas de 2019,2019年ポルトガル議会選挙
Sporting Clube de Braga (futebol feminino),S. C. ブラガ
Mr. World 2016,ミスター・ワールド2016
Campo e Campinho,カンポ・イ・カンピーニョ
Representante da República na Madeira,マデイラ自治地域の共和国代表
Representante da República nos Açores,アゾレス自治地域の共和国代表
Algarve Cup de 2017,アルガルヴェ・カップ2017
Cerca moura,ムーア城壁
Cruz Vermelha de Macau,マカオ紅十字会
Festival Eurovisão da Canção 2018,ユーロビジョン・ソング・コンテスト2018
Anta,アンタ
Porta do Moniz,モニス門
Relações entre Coreia do Sul e Portugal,ポルトガルと韓国の関係
Troia,トロイア半島
Media de Portugal,ポルトガルのメディア
Comunidade Intermunicipal do Alto Alentejo,アルト・アレンテージョ都市間共同体
Portugal nos Jogos Paralímpicos de Verão de 1972,1972年ハイデルベルクパラリンピックのポルトガル選手団
Portugal nos Jogos Olímpicos de Inverno de 2018,2018年平昌オリンピックのポルトガル選手団
Portugal nos Jogos Olímpicos de Verão de 2020,2020年東京オリンピックのポルトガル選手団
Patriarca de Lisboa,リスボン総主教
Belenenses SAD,ベレネンセスSAD
Governador do Banco de Portugal,ポルトガル銀行総裁
Challenger Cup de Voleibol Masculino de 2018,2018年FIVB男子バレーボール・チャレンジャーカップ
Sudoeste Europeu,南西ヨーロッパ
Final da Liga dos Campeões da UEFA de 2020–21,UEFAチャンピオンズリーグ 2020-21 決勝
Sport Lisboa e Benfica (Futebol Feminino),SLベンフィカ
Rio Degebe,デジェベ川
Praia do Ribeiro do Cavalo,リベイロドカヴァロビーチ
Voo Air Astana KC1388,エア・アスタナ1388便事故
Algarve Cup 2019,アルガルヴェ・カップ2019
2019 em Portugal,2019年のポルトガル
Embaixada da Arábia Saudita em Portugal,在ポルトガル・サウジアラビア王国大使館
Deputado da Assembleia Regional dos Açores,アゾレス諸島立法議会議員
Portugal no Campeonato Mundial de Atletismo de 2017,2017年世界陸上競技選手権大会ポルトガル選手団
Praia Vasco da Gama,ヴァスコダガマビーチ
Ponte,ポンテ
Embaixada dos Estados Unidos em Portugal,在ポルトガル・アメリカ合衆国大使館
Cadaval,カダバル
CHEGA,シェーガ
Rio Tinto,ヒウ・チント
cidadão da União Europeia ou do Espaço Económico Europeu,EU/EEAの市民
Mr. World 2018,ミスター・ワールド2019
doutoramento honoris causa da Universidade do Porto,ポルト大学名誉博士
Extinction Rebellion,エクスティンクション・レベリオン
Primeira Liga de 2019–20,プリメイラ・リーガ
Portugal nos Jogos Olímpicos de Verão de 2024,2024年パリオリンピックのポルトガル選手団
futebol em Portugal,ポルトガルのサッカー
"Edifício Pedro Álvares Cabral, antigos Armazéns Frigoríficos do Bacalhau, actual Museu do Oriente",国立東洋博物館
Portugal no Campeonato do Mundo de Futebol de 2018,2018 FIFAワールドカップポルトガル代表
Iniciativa Liberal,リベラル・イニシアティヴ
Final da Liga dos Campeões da UEFA de 2019–20,UEFAチャンピオンズリーグ 2019-20 決勝
Casa da Quinta da Pimenta,ピメンタ宮殿
Portugal nos Jogos Olímpicos de Inverno de 2022,2022年北京オリンピックのポルトガル選手団
Fase final da Liga das Nações da UEFA de 2018–19,18-19 UEFA ネーションズリーグ ファイナルズ
Futsal do Sporting Clube de Portugal,スポルティングCP (フットサル)
Futsal do Sport Lisboa e Benfica,SLベンフィカ (フットサル)
eleições presidenciais portuguesas de 2021,2021年ポルトガル大統領選挙
eleições parlamentares europeias de 2024,2024年欧州議会議員選挙
Mosteiro de Santa Clara-a-Velha,聖クララ修道院跡
sem protecção legal,保護法適用外の文化財
pandemia de COVID-19 na União Europeia,欧州連合における2020年コロナウイルス感染症の流行状況
Conímbriga,コニンブリガ
Jardim Botânico e Herbário da Universidade de Coimbra,コインブラ大学植物園
Belcanto,ベルカント
Castelo de Montemor-o-Velho,モンテモル・オ・ヴェーリョ城
pandemia de COVID-19,新型コロナウイルス感染症 (COVID-19) の世界的流行
eleições legislativas portuguesas de 2022,2022年ポルトガル総選挙
pandemia de COVID-19 na Europa,ヨーロッパにおける新型コロナウイルス感染症の流行状況
CR Candoso,CRカンドーソ
Primeira Liga de 2020–21,プリメイラ・リーガ2020-2021
Portugal no Campeonato Mundial de Atletismo de 2019,2019年世界陸上競技選手権大会ポルトガル選手団
pandemia de COVID-19 em Portugal,ポルトガルにおける新型コロナウイルス感染症の流行状況
Última Ceia,最後の晩餐
Volt Portugal,ボルト・ポルトガル
Berço SC,ベルソSC
Portugal nos Jogos Paralímpicos de Verão de 2020,2020年東京パラリンピックのポルトガル選手団
Grande Prêmio de Portugal de 2020,2020年ポルトガルグランプリ
Hotel 2 estrelas,2つ星ホテル
Presidente da Assembleia Legislativa da Região Autónoma dos Açores,アゾレス諸島立法議会議長
Ponte 516 Arouca,アロウカ516
Museu Francisco Tavares Proença Júnior,フランススク・タヴァーリシュ・プロエンサ・ジュニオール美術館
lista de presidentes da Assembleia Legislativa da Região Autónoma dos Açores,アゾレス諸島立法議会議長の一覧
embaixada do Japão em Portugal,在ポルトガル日本国大使館
42,42 (学校)
direitos humanos em Portugal,ポルトガルにおける人権
embaixada da China em Portugal,在ポルトガル中華人民共和国大使館
Geopark Arouca,アロウカ・ジオパーク
Terceira Liga,リーガ3
2022 em Portugal,2022年のポルトガル
Clube de Futebol Estrela da Amadora,CFエストレラ・ダ・アマドーラ
Bolacha Piedade,Bolacha Piedade
euro digital,デジタルユーロ
Praia de Alfarim,リベイロドカヴァロビーチ
Rua Orlando Curto,Rua Orlando Curto
Boa Esperança,Boa Esperança
Grande Prémio de Portugal de 2021,2021年ポルトガルグランプリ
XXIII Governo Constitucional de Portugal,第23次ポルトガル立憲政府
2021 em Portugal,2021年のポルトガル
Hotel da Penina,ペニーナ・ホテル
Surto de hepatite aguda grave em crianças em 2022,2022年原因不明の小児肝炎
Ministro da Cultura,文化大臣 (ポルトガル)
Primeira Liga de 2022–23,2022-23 プリメイラ・リーガ
Onda de calor na Europa em 2022,2022年ヨーロッパ熱波
Inventário Nacional do Património Cultural Imaterial,無形文化遺産の全国目録
Câmara Municipal de Setúbal,Câmara Municipal de Setúbal
eleições legislativas portuguesas de 2024,2026年ポルトガル議会選挙
surto de varíola dos macacos em 2022,2022年のサル痘流行
Temporada de incêndios florestais em Portugal,ポルトガルの山火事のシーズン
Primeira Liga de 2023–24,2023-24 プリメイラ・リーガ
lista de directores de fotografia de Portugal,ポルトガル出身の撮影監督の一覧
Milagre eucarístico de Santarém,サンタレンの聖体の奇跡
Teatro Nacional D. Maria II,マリア2世国立劇場
2023 em Portugal,2023年のポルトガル
Estádio Pina Manique,エスタディオ・ピナ・マニケ
AVS Futebol SAD,AVSフトゥボルSAD
