"Достоевский, Фёдор Михайлович",フョードル・ドストエフスキー
"Замотина, Лариса Владимировна",ラリサ・ザモティーナ
"Дмитриев, Артур Артурович",アルトゥール・ドミトリエフ・(1992年生)
"Казанцев, Виктор Германович",ヴィクトル・カザンツェフ
"Жеребцова, Полина Викторовна",ポリーナ・ツェレブソーバ
"Корешков, Андрей Андреевич",アンドレイ・コレシュコフ
"Жук, Валентин Исаакович",ヴァレンティン・ジューク
"Исьянов, Равиль Ахмедуллович",ラヴィル・イシヤノフ
"Корниенко, Геннадий Александрович",ゲンナジー・コルニエンコ
"Корнуков, Анатолий Михайлович",アナトリー・コルヌコフ
"Королёв, Николай Валентинович",ニコライ・コロリョフ
"Заверюха, Александр Харлампиевич",アレクサンドル・ザヴェリューハ
"Кайшев, Владимир Григорьевич",ウラジーミル・カイシェフ
"Кузьмицкий, Алексей Алексеевич",アレクセイ・クジミツキー
"Куликов, Анатолий Сергеевич",アナトリー・クリコフ
"Култышев, Мирослав Винаевич",ミロスラフ・クルティシェフ
"Кузнецов, Лев Владимирович (государственный деятель)",レフ・クズネツォフ
"Кириллин, Владимир Алексеевич",ウラジーミル・アレクセーエヴィチ・キリリン
"Клебанов, Илья Иосифович",イリヤ・クレバノフ
"Климов, Валерий Александрович (скрипач)",ヴァレリー・クリモフ
"Кулаков, Владимир Григорьевич",ウラジーミル・クラコフ
"Куйвашев, Евгений Владимирович",エフゲニー・クイヴァシェフ
"Кобзарев, Юрий Борисович",ユリ・ボリソビッチ・コブザレフ
"Курляндский, Дмитрий Александрович",ドミトリー・クルリャンツキー
"Козлов, Александр Петрович",アレクサンドル・コズロフ
"Кустарова, Елена Владимировна",エレーナ・クスタロワ
"Кутепов, Илья Олегович",イリヤ・クテポフ
"Карякин, Юрий Фёдорович",ユーリー・カリャーキン
"Лосюков, Александр Прохорович",アレクサンドル・ロシュコフ
"Лубенченко, Константин Дмитриевич",コンスタンチン・ルベンチェンコ
"Лошак, Марина Дэвовна",マリーナ・ロシャク
"Луппова, Анастасия Владимировна",アナスタシーヤ・ルーポヴァ
"Канторов, Александр Яковлевич",アレクサンドル・カントロフ
"Капитонов, Иван Васильевич",イヴァン・カピトノフ
"Карасин, Григорий Борисович",グリゴリー・カラーシン
"Карасёв, Сергей Геннадьевич",セルゲイ・カラセフ
"Кокошин, Андрей Афанасьевич",アンドレイ・ココーシン
"Лазарев, Евгений Николаевич",エフゲニー・ラザレフ
"Коломейцев, Александр Владимирович",アレクサンドル・コロメイツェフ
"Крюков, Дмитрий Витальевич",ドミトリー・クリュコフ
"Магомедов, Рашид Магомедгаджиевич",ラシッド・マゴメドフ
"Комин, Александр Николаевич",アレクサンドル・コミン
"Мешков, Валерий Иванович",ワレリー・メシュコフ
"Кожемяко, Олег Николаевич",オレグ・コジェミャコ
"Максюта, Николай Кириллович",ニコライ・マクシュータ
"Кудряков, Сергей Николаевич",セルゲイ・クドリャコフ
"Кудрявцева, Марина Григорьевна",マリーナ・クドリャフツェワ
"Кудрявцев, Виктор Николаевич",ヴィクトール・クドリャフツェフ
"Латышев, Игорь Александрович",イーゴリ・ラティシェフ
"Колосов, Владимир Александрович",ウラジーミル・コロソフ
"Леонтьев, Алексей Алексеевич (лингвист)",アレクセイ・レオンチェフ・(言語学者)
"Колпаченко, Александр Николаевич",アレクサンドル・コルパチェンコ
"Лидский, Михаил Викторович",ミハイル・リツキー
"Лидский, Виктор Борисович",ヴィクトル・リツキー
"Минин, Владимир Николаевич",ウラディーミル・ミーニン
"Левин, Артём Валерьевич",アーテム・レヴィン
"Липницкая, Юлия Вячеславовна",ユリア・リプニツカヤ
"Панченко, Кирилл Викторович",キリル・パンチェンコ
"Парибок, Андрей Всеволодович",アンドレイ・パリボク
"Малахов, Иван Павлович",イワン・マラホフ
"Минаков, Виталий Викторович",ヴィタリー・ミナコフ
"Ливанов, Дмитрий Викторович",ドミートリー・リヴァーノフ
"Мамедов, Георгий Энверович",ゲオルギー・マメードフ
"Мамедалиев, Гейдар Нураддин оглы",ゲイダル・マメダリエフ
"Никонов, Вячеслав Алексеевич",ヴャチェスラフ・ニコノフ
"Никонов, Виктор Петрович",ヴィクトル・ニコノフ
"Митин, Сергей Герасимович",セルゲイ・ミーチン
"Малышкин, Олег Александрович",オレグ・マリシュキン
"Маршал, Александр Витальевич",アレクサンドル・マーシャル
"Мозер, Нина Михайловна",ニーナ・モーゼル
"Могушков, Муса Хож-Ахматович",ムサ・モグシコフ
"Моисеев, Александр Алексеевич",アレクサンドル・モイセエフ
"Новосёлов, Андрей Александрович",アンドレイ・ノボセロフ
"Митьков, Евгений Викторович",エフゲーニ・ミトコフ
"Михайлов, Александр Николаевич (политик)",アレクサンドル・ニコラエヴィチ・ミハイロフ
"Новак, Александр Валентинович",アレクサンドル・ノヴァク
"Новик, Татьяна Германовна",タチヤナ・ノヴィク
"Маторин, Владимир Анатольевич",ウラディーミル・マトーリン
"Оболенский, Александр Митрофанович",アレクサンドル・オボレンスキー
"Петров, Александр Андреевич (актёр)",アレクサンドル・ペトロフ・(俳優)
"Петренко, Игорь Петрович",イゴール・ペトレンコ
"Мишина, Татьяна Николаевна",タチアナ・ミーシナ
"Маслов, Алексей Фёдорович",アレクセイ・マスロフ
"Массон, Вадим Михайлович",ワディム・マッソン
"Массква, Валерия Дмитриевна",マスクヴァ
"Мишустин, Михаил Владимирович",ミハイル・ミシュスチン
"Лобов, Владимир Николаевич",ウラジーミル・ロボフ
"Першина, Вероника Петровна",ヴェロニカ・ペルシナ
"Обласова, Кристина Александровна",クリスチーナ・オブラソワ
"Зарафьянц, Евгений Львович",エフゲーニ・ザラフィアンツ
"Михальчик, Юлия Сергеевна",ユーリヤ・ミハーリチク
"Мартяшева, Наталия Дмитриевна",ナタリア・マルティヤシェワ
"Марусин, Юрий Михайлович",ユーリー・マルーシン
"Мартынов, Равиль Энверович",ラヴィル・マルティノフ
"Огиенко, Валентина Витальевна",ワレンティナ・オギエンコ
"Пересильд, Юлия Сергеевна",ユリア・ペレシルド
"Песков, Дмитрий Сергеевич",ドミトリー・ペスコフ
"Степаненко, Галина Олеговна",ガリーナ・ステパネンコ
"Носов, Дмитрий Юрьевич",ドミトリー・ノソフ
"Носырев, Анатолий Геннадьевич",アナトリー・ノスイレフ
"Овезов, Батыр Балышевич",バトゥイル・オヴェゾフ
"Моргулов, Игорь Владимирович",イーゴリ・モルグロフ
"Прокофьев, Олег Сергеевич",オレグ・プロコフィエフ
"Проводников, Руслан Михайлович",ルスラン・プロボドニコフ
"Петров, Юрий Владимирович (политический деятель)",ユーリ・ペトロフ
"Овчинников, Всеволод Владимирович",フセヴォロド・オフチンニコフ
"Овчарова, Анна Сергеевна",アンナ・オフチャロワ
"Прусак, Михаил Михайлович",ミハイル・プルサク
"Пучков, Владимир Андреевич",ウラジーミル・プチコフ
"Умаханов, Мурад Мустафаевич",ムラト・ウマハノフ
"Петровский, Артур Владимирович",アルトゥール・ペトロフスキー
"Пузанов, Игорь Евгеньевич",イーゴリ・プザノフ
"Мухаммад, Шариф Хамаюни",シャリフ・ムハンマド
"Муров, Евгений Алексеевич",エフゲニー・ムロフ
"Плотников, Владимир Николаевич",ウラジーミル・プロトニコフ
"Олейник, Алексей Алексеевич",アレクセイ・オレイニク・(格闘家)
"Пикайзен, Виктор Александрович",ヴィクトル・ピカイゼン
"Пинчук, Сергей Михайлович",セルゲイ・ピンチュク
"Назарчук, Александр Григорьевич",アレクサンドル・ナザルチュク
"Наздратенко, Евгений Иванович",エフゲニー・ナズドラチェンコ
"Ярошевский, Михаил Григорьевич",ミハイル・ヤロシェフスキー
"Рачкова, Татьяна Борисовна",タチアナ・ラチコワ
"Савин, Евгений Леонидович",エフゲニ・サヴィン
"Полех, Валерий Владимирович",ヴァレリー・ポレフ
"Полежаев, Леонид Константинович",レオニード・ポレジャエフ
"Назаров, Александр Викторович",アレクサンドル・ナザロフ
"Назаров, Валерий Львович",ヴァレリー・ナザロフ
"Надеждин, Борис Борисович",ボリス・ナジェージュジン
"Подкаминская, Елена Ильинична",エレナ・ポドカミンスカヤ
"Остроушко, Владимир Сергеевич",ウラジーミル・オストロウシコ
"Полозков, Иван Кузьмич",イワン・ポロスコフ
"Полоз, Дмитрий Дмитриевич",ドミトリ・ポロズ
"Салюков, Олег Леонидович",オレグ・サリュコフ
"Павлова, Лариса Михайловна",ラリッサ・パブロワ
"Полеванов, Владимир Павлович",ウラジーミル・ボレヴァノフ
"Рева, Константин Кузьмич",コンスタンチン・リエーバ
"Рогожкин, Николай Евгеньевич",ニコライ・ロゴシュキン
"Соколов, Алексей Владимирович (фигурист)",アレクセイ・ソコロフ
"Сокол, Сергей Михайлович",セルゲイ・ソコル
"Панкова, Марина Анатольевна",マリナ・ニクーリナ
"Полунин, Сергей Владимирович",セルゲイ・ポルーニン
"Полторанин, Михаил Никифорович",ミハイル・ポルトラーニン
"Соколов, Максим Юрьевич (государственный деятель)",マクシム・ソコロフ
"Титов, Александр Вениаминович",アレクサンドル・ティトフ
"Титенков, Иван Валерьевич",イワン・チテンコフ
"Потапенко, Валерий Николаевич",ヴァレリー・ポタペンコ
"Постников, Александр Николаевич",アレクサンドル・ポストニコフ
"Сафонов, Олег Александрович",オレグ・サフォーノフ
"Ройзман, Евгений Вадимович",エフゲニー・ロイズマン
"Ткаченко, Юрий Михайлович",ユーリー・トカチェンコ
"Пономарёв, Илья Владимирович",イリヤ・ポノマリョフ
"Семёнов, Виктор Александрович (государственный деятель)",ヴィクトル・セミョーノフ
"Семёнов, Андрей Владимирович",アンドレイ・シモノフ
"Попов, Сергей Петрович (музыкант)",セルゲイ・ポポフ
"Смоленский, Александр Павлович",アレクサンドル・スモレンスキー
"Рубцов, Максим Витальевич",マクシム・ルプツォフ
"Семёнов, Андрей Сергеевич",アンドレイ・セミョノフ・(1989年生のサッカー選手)
"Соколова-Делюсина, Татьяна Львовна",タチアーナ・ソコロワ＝デリューシナ
"Ротенберг, Аркадий Романович",アルカディ・ローテンベルク
"Ротенберг, Борис Романович",ボリス・ロマノヴィチ・ローテンベルク
Света (певица),スヴェータ・(歌手)
"Филипенко, Александр Васильевич",アレクサンドル・フィリペンコ
"Филатов, Сергей Александрович",セルゲイ・フィラートフ
"Тизяков, Александр Иванович",アレクサンドル・チジャコフ
"Сергеев, Артём Фёдорович",アルチョム・セルゲーエフ
"Травкин, Николай Ильич",ニコライ・トラフキン
"Фурсенко, Сергей Александрович",セルゲイ・フルセンコ
"Толоконский, Виктор Александрович",ヴィクトル・トロコンスキー
"Толстой, Владимир Ильич",ウラジーミル・トルストイ
"Хабилов, Рустам Микаилович",ルスタム・ハビロフ
"Толстой, Пётр Олегович",ピョートル・トルストイ・(政治家)
"Рыжкин, Виктор Иванович",ヴィクトール・ルイシキン
"Халилов, Валерий Михайлович",ヴァレリー・ハリロフ
"Рясной, Василий Степанович",ワシーリー・リャースノイ
"Симоньян, Маргарита Симоновна",マルガリータ・シモニャン
"Симпликевич, Денис Владимирович",デニス・シンプリケヴィッチ
"Тоцкий, Константин Васильевич",コンスタンチン・トーツキー
"Тренин, Дмитрий Витальевич",ドミトリー・トレーニン
"Торшин, Александр Порфирьевич",アレクサンドル・トルシン
"Топилин, Максим Анатольевич",マクシム・トピリン
"Серов, Эдуард Афанасьевич",エドワルド・セーロフ
"Сорокин, Михаил Иванович (генерал армии)",ミハイル・ソロキン
"Сосналиев, Султан Асламбекович",スルタン・ソスナリエフ
"Станкевич, Сергей Борисович",セルゲイ・スタンケーヴィチ
"Степанов, Олег Сергеевич",オレグ・ステパノフ
"Сретенский, Генрих Генрихович",ゲンリフ・スレテンスキー
"Фёдоров, Евгений Алексеевич",エフゲニー・アレクセーエヴィチ・フョードロフ
"Фёдоров, Виктор Дмитриевич",ヴィクトル・ヒョードロフ
"Рябков, Сергей Алексеевич",セルゲイ・リャブコフ
"Чернышёв, Алексей Андреевич",アレクセイ・チェルヌイショフ
"Тяжлов, Анатолий Степанович",アナトリー・チャジロフ
"Харитонов, Леонид Михайлович",レオニード・ハリトノフ
"Трубников, Вячеслав Иванович",ヴャチェスラフ・トルブニコフ
"Слипенчук, Михаил Викторович",ミハイル・スリペンチュク
"Славинский, Борис Николаевич",ボリス・スラヴィンスキー
"Стручков, Юрий Тимофеевич",ユーリイ・ストルチコフ
"Стрелкова, Наталья Николаевна",ナタリア・ストレルコワ
"Хижа, Георгий Степанович",ゲオルギー・ヒージャ
"Албин, Игорь Николаевич",イーゴリ・アルビン
"Словин, Леонид Семёнович",レオニード・スローヴィン
"Степанова, Мария Михайловна",マリア・ステパノヴァ
"Щербак, Владимир Николаевич",ウラジーミル・シチェルバク
"Харченко, Григорий Петрович",グリゴリー・ハルチェンコ
"Юрченко, Василий Алексеевич",ヴァシーリー・ユルチェンコ
"Эйзен, Артур Артурович",アルトゥール・エイゼン
"Чижов, Владимир Алексеевич",ウラジーミル・チジョフ
"Хорошавин, Александр Вадимович",アレクサンドル・ホロシャーヴィン
"Чистяков, Андрей Николаевич",アンドレイ・チスチャコフ
"Фархутдинов, Игорь Павлович",イーゴリ・ファルフトジノフ
"Яблонский, Дмитрий Альбертович",ドミトリ・ヤブロンスキー
"Фельцман, Владимир Оскарович",ヴラジーミル・フェルツマン
"Федотов, Максим Викторович",マクシム・フェドートフ
"Фейгин, Валентин Яковлевич",ヴァレンティン・フェイギン
"Федотов, Виктор Андреевич",ヴィクトル・フェドートフ
"Ушаков, Юрий Викторович",ユーリ・ウシャコフ
"Суровикин, Сергей Владимирович",セルゲイ・スロヴィキン
"Яковлев, Юрий Яковлевич",ユーリイ・ヤーコブレフ
"Ценова, Валерия Стефановна",ヴァレリア・ツェノヴァ
"Якубов, Юрий Николаевич",ユーリー・ヤクボフ
"Петров, Александр Дмитриевич (фигурист)",アレクサンドル・ペトロフ・(フィギュアスケート選手)
"Гарбузов, Дмитрий Залманович",ドミトリー・ガルブゾフ
"Панов, Александр Николаевич",アレクサンドル・パノフ
"Шапиро, Юлия Семёновна",ユリア・シャピロ
"Шаповальянц, Андрей Георгиевич",アンドレイ・シャポヴァリヤンツ
"Чернушенко, Владислав Александрович",ヴラディスラフ・チェルヌシェンコ
"Черниченко, Юрий Дмитриевич",ユーリー・チェルニチェンコ
"Степанова, Александра Николаевна",アレクサンドラ・ステパノワ
"Ямадаев, Иса Бекмирзаевич",イサ・ヤマダエフ
"Якушев, Владимир Владимирович",ウラジーミル・ヤクーシェフ
"Сергеев, Дмитрий Николаевич",ドミトリー・セルゲイエフ
"Самарин, Александр Владимирович",アレクサンドル・サマリン
"Шевченко, Валентина Анатольевна",ヴァレンティーナ・シェフチェンコ
"Шахназаров, Георгий Хосроевич",ゲオルギー・シャフナザーロフ
"Ярин, Андрей Вениаминович",アンドレイ・ヤリン
"Шахрай, Сергей Михайлович",セルゲイ・シャフライ・(政治家)
"Ярмольник, Леонид Исаакович",レオニド・ヤルモルニク
"Лабазанов, Ахмед",ラバザノフ・アフメッド
"Шестаков, Владимир Зарипзянович",ウラジーミル・シェスタコフ
"Ставицкая, Мария Ивановна",マリア・スタヴィツカヤ
"Тутберидзе, Этери Георгиевна",エテリ・トゥトベリーゼ
"Шикшина, Светлана Валерьевна",スベトラーナ・シックシナ
"Шибаев, Александр Игоревич",アレクサンダー・シバエフ
"Гилельс, Елена Эмильевна",エレーナ・ギレリス
"Черных, Валентин Константинович",ワレンチン・チェルヌィフ
"Чернышенко, Дмитрий Николаевич",ドミトリー・チェルニシェンコ
"Шаталин, Станислав Сергеевич",スタニスラフ・シャターリン
"Шатунов, Олег Александрович",オレーク・シャトーノフ
"Шевченко, Максим Игоревич",マクシム・シェフチェンコ
"Шафиков, Денис Фуатович",デニス・シャフィコフ
"Градович, Евгений Павлович",エフゲニー・グラドビッチ
"Романов, Евгений Александрович",エフゲニー・ロマノフ
"Косыгина, Евгения Борисовна",エフゲーニヤ・コスイギナ
"Гаджиева, Эмма Халимбековна",エンマ・ハジエワ
"Яхонтов, Сергей Евгеньевич",セルゲイ・ヤホントフ
"Швецова, Людмила Ивановна",リュドミラ・シュヴェツォヴァ
"Шлеменко, Александр Павлович",アレキサンダー・シュレメンコ
"Яновская, Анна Святославовна",アンナ・ヤノフスカヤ
"Давыдова, Екатерина Алексеевна",エカテリーナ・ダビドワ
"Гаданов, Алим Шалауатович",アリム・ガダノフ
"Башкаев, Алибек Аликович",アリベク・バシュカエフ
"Шипулин, Геннадий Яковлевич",ゲンナジー・シプリン
"Красницкий, Геннадий Вячеславович",ゲンナジー・クラスニツキー
"Шишкин, Павел Владимирович",パーベル・シシュキン
"Магомедов, Магомед Магомедович (кикбоксёр)",マゴメド・マゴメドフ・(キックボクサー)
"Горшков, Гордей Олегович",ゴルジェイ・ゴルシュコフ
"Гинзбург, Антон Гилиарович",アントン・ギンスブルク
"Гусев, Александр Петрович (хоккеист на траве)",アレクサンドル・グセフ・(ホッケー)
"Шохин, Александр Николаевич",アレクサンドル・ショーヒン
"Шершак, Анна Сергеевна",アンナ・シェルシャク
"Коляда, Михаил Сергеевич",ミハイル・コリヤダ
"Шпорт, Вячеслав Иванович",ヴャチェスラフ・シュポルト
"Заболотный, Антон Константинович",アントン・ザボロトニー
"Орешкин, Максим Станиславович",マクシム・オレシキン
"Марков, Арсений",アルセニー・マルコフ
"Салихов, Муслим Магомедович",ムスリム・サリコフ
"Кюрегян, Артём Саркисович",アルティオム・キウレヤン
"Забияко, Наталья Александровна",ナタリア・ザビアコ
"Галиновский, Игорь Вадимович",イゴール・ガリノフスキー
"Шумейко, Владимир Филиппович",ウラジーミル・シュメイコ
"Шубин, Александр Александрович (фигурист)",アレクサンドル・シュービン
"Рылов, Сергей Владимирович",セルゲイ・リロフ
"Силаев, Борис Иванович",ボリス・シラーエフ
"Мозгов, Сергей Александрович",セルゲイ・モズゴフ
"Магомедов, Ибрагим (1976)",イブラヒム・マゴメドフ
"Газинский, Юрий Александрович",ユーリ・ガジンスキー
"Чемезов, Сергей Викторович",セルゲイ・チェメゾフ
"Голяев, Сергей Николаевич",セルゲイ・ゴリアエフ
"Атаев, Бозигит Атавович",ヴォルク・アターエフ
"Кушнарёв, Юрий Викторович",ユーリ・クシュナレフ
"Рамазанов, Рамазан Магомедарипович",ラマザン・ラマザノフ
"Савельев, Илья Евгеньевич",イリア・サベリエフ
"Дюпин, Юрий Юрьевич",ユーリ・デュピン
"Букин, Иван Андреевич",イワン・ブキン
"Хрущёва, Нина Львовна",ニーナ・フルシチョワ・(学者)
"Кузнецова, Татьяна Дмитриевна",タチアナ・クズネツォワ
"Рудман, Давид Львович",ダビド・ルドマン
"Мальцев, Олег Витальевич",オレグ・マルツェフ
"Глейхенгауз, Даниил Маркович",ダニイル・グレイヘンガウス
Данг Ван Лам,ダン・バン・ラム
"Кузяев, Далер Адьямович",ダレル・クジャエフ
"Ёркина, Жанна Дмитриевна",ジャーンナ・ヨールキナ
"Качурин, Сергей Петрович",セルゲイ・カチューリン
"Рыжиков, Сергей Николаевич",セルゲイ・リジコフ・(宇宙飛行士)
"Доренский, Сергей Леонидович",セルゲイ・ドレンスキー
"Стёпкин, Юрий Викторович",ユーリ・ステプキン
"Татауров, Олег Станиславович",オレグ・タタウロフ
"Бирюкова, Софья Сергеевна",ソフィヤ・ビリュコワ
"Кабанов, Дмитрий Борисович",ドミトリー・カバノフ
"Куликова, Светлана Вячеславовна",スヴェトラーナ・クリコワ
"Ляпина, Светлана Евгеньевна",スヴェトラーナ・リアピナ
"Лебедева, Юлия Владимировна",ユリア・レベデワ
"Иванов, Александр Алексеевич (легкоатлет)",アレクサンドル・イワノフ・(1993年生)
"Ковалёва, Алина Романовна",アリーナ・コバレワ
"Спиридонов, Алексей Александрович",アレクセイ・スピリドノフ・(バレーボール)
"Дубинин, Валентин Степанович",ワレンチン・ドゥビニン
"Нисияма, Сокити",ニシヤマ・ソウキチ
"Сергеева, Татьяна Павловна",タチアナ・セルゲーエワ
"Астахова, Кристина Андреевна",クリスティーナ・アスタホワ
"Кичин, Валерий Сергеевич",ヴァレリー・キチン
"Даванкова, Василиса Александровна",ワシリーサ・ダワンコワ
Револьвер Оцелот,リボルバー・オセロット
"Окада, Ёсико",岡田嘉子
"Жиганшин, Руслан Наильевич",ルスラン・ジガンシン
"Магомедов, Арслан Багандалиевич",アースラン・マゴメドフ
"Рачёв, Евгений Михайлович",エウゲーニー・ラチョフ
"Абдурахманова, Дженнет",ジェネット・アブドラフマノワ
"Горковенко, Станислав Константинович",スタニスラフ・ゴルコヴェンコ
"Ведерников, Анатолий Иванович",アナトリー・ヴェデルニコフ
"Коваленко, Иван Иванович",イワン・コワレンコ
"Есиповский, Игорь Эдуардович",イーゴリ・エシポフスキー
"Ожегин, Николай Афанасьевич",ニコライ・オジョギン
"Гундаренко, Светлана Арновна",スベトラーナ・グンダレンコ
"Давидюк, Евгения Ивановна",ジェーニャ・(声優)
"Синицина, Виктория Александровна",ヴィクトリヤ・シニツィナ
"Морошкин, Николай Юрьевич",ニコライ・モロシュキン
"Берман, Павел Лазаревич",パヴェル・ベルマン
"Пантелеймоненко, Максим Сергеевич",マクシム・パンテレイモネンコ
Орора Сатоси,大露羅敏
"Антипова, Юлия Валерьевна",ユリア・アンチポワ
"Новиков, Виталий Михайлович",ヴィタリー・ノビコフ
"Головин, Александр Сергеевич (футболист)",アレクサンドル・ゴロヴィン
"Миранчук, Алексей Андреевич",アレクセイ・ミランチュク
"Лодыгин, Юрий Владимирович",ユーリー・ロディーギン
"Мудранов, Беслан Заудинович",ベスラン・ムドラノフ
"Комиссарова, Мария Леонидовна",マリア・コミサロワ
"Наговицын, Вячеслав Лаврентьевич",ヴャチェスラフ・ナゴヴィツィン
"Оксентян, Нина Ивановна",ニーナ・オクセンチアン
"Самойленко, Анастасия Сергеевна",アナスタシア・シュリャホバヤ
"Ковалёв, Сергей Александрович (боксёр)",セルゲイ・コバレフ
"Ильин, Юрий Иванович",ユーリィ・イーリン
"Кудрявцева, Яна Алексеевна",ヤナ・クドリャフツェワ
"Жовнирский, Владислав Владимирович",ウラジスラフ・ゾフニルスキー
"Артемьева, Мария Эдуардовна",マリア・アルテミエワ
"Иванов, Владислав Александрович (учёный)",ウラジスラフ・イワノフ
"Путилин, Николай Георгиевич",ニコライ・プチーリン
"Сноуден, Эдвард",エドワード・スノーデン
"Иванов, Евгений Михайлович",エフゲニー・イワノフ
"Мамун, Маргарита",マルガリータ・マムン
"Маркелов, Артём Валерьевич",アルテム・マルケロフ
"Малых, Наталья Николаевна",ナタリア・マリフ
"Галушка, Александр Сергеевич",アレクサンドル・ガルシカ
"Подкопаева, Анна Николаевна",アンナ・マロワ
"Солдатова, Александра Сергеевна",アレクサンドラ・ソルダトワ
"Котиев, Ахмед Якубович",アーメド・カタイエフ
"Карлов, Андрей Геннадьевич",アンドレイ・カルロフ
"Жемалетдинов, Рифат Маратович",リファト・ジェマレトジノフ
"Лебедев, Вячеслав Михайлович",ヴャチェスラフ・レベデフ
"Сантос, Яна",ヤナ・クニツカヤ
"Сидорова, Анжелика Александровна",アンジェリカ・シドロワ
"Медведева, Евгения Армановна",エフゲニア・メドベージェワ
"Воробьёв, Иван Петрович",イワン・ボロベフ
"Могилевец, Павел Сергеевич",パヴェル・モギレヴェツ
"Конева, Екатерина Сергеевна",エカテリーナ・コネワ
"Глущенко, Фёдор Иванович",フョードル・グルシチェンコ
"Питкеев, Адьян Юрьевич",アディアン・ピトキーエフ
"Сотскова, Мария Романовна",マリア・ソツコワ
"Труханов, Геннадий Леонидович",ゲンナジー・トゥルハノフ
"Попова, Бетина Вадимовна",ベティナ・ポポワ
"Проклова, Александра Александровна",アレクサンドラ・プロクロワ
"Трояновский, Эдуард Валентинович",エドゥアルド・トロヤノフスキー
"Кудряшов, Дмитрий Александрович (боксёр)",ディミトリー・クドリャショフ
"Хан-Магомедов, Камал Гаджи-Курбанович",カマル・ハーン＝マゴメドフ
"Саханович, Серафима Андреевна",セラフィマ・サハノヴィッチ
"Аксёнов, Сергей Валерьевич",セルゲイ・アクショーノフ
"Шейдаев, Рамиль Теймурович",ラミル・シェイダエフ
"Беспутин, Александр Александрович",アレクサンデル・ベスプーチン
"Баринов, Дмитрий Николаевич",ドミトリ・バリノフ
"Березовский, Денис Валентинович",デニス・ベレゾフスキー
"Чудинов, Дмитрий Александрович",ディミトリー・チュディノフ
"Багаутинов, Али Шамильевич",アリ・バガウティノフ
"Аниханов, Андрей Анатольевич",アンドレイ・アニハーノフ
"Филатова, Людмила Павловна",リュドミラ・フィラトヴァ
"Бикташев, Хабиль Хазиевич",ハビル・ビクタシェフ
"Тищенко, Евгений Андреевич",エフゲニー・ティシェンコ
"Ефимова, Екатерина Олеговна",エカテリーナ・エフィモワ
"Караваев, Вячеслав Сергеевич",ヴャチェスラフ・カラバエフ
"Ахмедов, Омари Сиражудинович",オマリ・アフメドフ
"Кулакова, Светлана Александровна",スベトラーナ・クラコワ
"Касаткина, Дарья Сергеевна",ダリア・カサトキナ
"Синодзука, Иппэй",イッペイ・シノヅカ
"Поклонская, Наталья Владимировна",ナタリア・ポクロンスカヤ
"Садулаев, Абдулрашид Булачевич",アブドゥルラシド・サドゥラエフ
"Сиденко, Константин Семёнович",コンスタンチン・シデンコ
"Анин, Роман Александрович",ロマン・アニン
"Рублёв, Андрей Андреевич",アンドレイ・ルブレフ
"Рукавицын, Евгений Владимирович",エフゲニー・ルカヴィツィン
"Сутормин, Алексей Сергеевич",アレクセイ・ストルミン
"Киброцашвили, Анзор Георгиевич",アンゾール・キブロツァシビリ
"Умаханов, Артур",アルトゥール・ウマハノフ
"Аласханов, Тимур Зайндиевич",ティミール・アラシャノフ
"Лисовский, Константин Павлович",コンスタンティン・リソフスキー
"Леков, Александр Владимирович",アレクサンドル・レコフ
"Евменов, Николай Анатольевич",ニコライ・エフメノフ
"Яковлев, Александр Викторович (музыкант)",アレクサンドル・ヤコブレフ・(ピアニスト)
"Сорокин, Илья Игоревич",イリヤ・ソロキン
"Джафаров, Магомед Раджабович",マゴメド・ジャファロフ
"Бутерин, Виталик",ヴィタリック・ブテリン
"Шкляров, Владимир Андреевич",ウラジーミル・シクリャローフ
"Токаев, Турпал Аптиевич",テオドール・サリエフ
"Тухугов, Зубайра Алиханович",ズバイラ・ツフゴフ
"Туменов, Альберт Хусейнович",アルバート・トゥメノフ
"Фетисова, Ирина Андреевна",イリナ・フェティソワ
"Ахметов, Ильзат Тоглокович",イルザト・アフメトフ
"Стрелков, Игорь Иванович",イーゴリ・ギルキン
"Туренко, Ангелина Николаевна",アンゲリーナ・トゥレンコ
"Лазукин, Андрей Олегович",アンドレイ・ラズキン
"Третиков, Лайла",ライラ・トレティコフ
"Конашенков, Игорь Евгеньевич",イゴール・コナシェンコフ
"Квителашвили, Морис Михайлович",モリス・クヴィテラシヴィリ
"Пуляев, Михаил Сергеевич",ミハイル・プリャエフ
"Пушилин, Денис Владимирович",デニス・プシーリン
"Ульянова, Ольга Викторовна",オルガ・ウリアノヴァ
"Алиев, Дмитрий Сергеевич",ドミトリー・アリエフ
"Левин, Владимир Константинович",ウラジーミル・レヴィン・(工学者)
"Бивол, Дмитрий Юрьевич",ディミトリー・ビボル
"Малофеев, Александр Дмитриевич",アレクサンダー・マロフェーエフ
"Шамилов, Якуб Джамбекович",ヤクブ・シャミロフ
"Мирзаев, Расул Рабаданович",ラスール・ミルザエフ
Малком (футболист),マウコム・フィリペ・シウヴァ・デ・オリヴェイラ
"Магомедов, Магомед Жамалудинович",マゴメド・マゴメドフ・(総合格闘家)
"Саидов, Ренат Маликович",レナート・サイドフ
"Трегулова, Зельфира Исмаиловна",ゼリフィラ・トレグロワ
"Максимов, Максим Сергеевич",マクシム・マクシモフ
