François Hollande,弗朗索瓦·奥朗德
André d'Hormon,铎尔孟
Andréa Parisy,安德丽·帕里西
Hugues Obry,于格·奥布里
Alexandre Flanquart,亚历山大·弗朗卡尔
Alexandre Dumoulin,亚历山大·迪穆兰
Alexandre Dumaine,亞歷山大·迪邁納
Léon-Ignace Mangin,任德芬
Osman Bayezid Osmanoğlu,巴耶塞特·奧斯曼
André (artiste),安德列·薩拉華
Ananda Devi,阿南达·德威
Anatole de Monzie,阿纳托尔·德·蒙齐
Gaël Monthurel,加埃尔·蒙蒂雷尔
Nicolas Tournadre,尼古拉·图纳德尔
Auguste Giroux,奥古斯特·吉鲁
Alexandre Grimaldi,亞歷山大·柯斯特
René Thomas (tireur),勒内·托马
André Corap,安德烈·喬治·科拉普
André de Lohéac,安德烈·德·洛埃阿克
André Bareau,安德烈·巴罗
Anne-Lise Bardet,安妮-利丝·巴尔代
Georges Lamia,喬治·拉米亞
François Bracci,弗朗索瓦·布拉奇
Fabrice Moreau (football),法柏斯·莫里奧
Lorenzo Tehau,羅倫素·泰希奧
Benjamin Moukandjo,本杰明·穆坎乔
Ludovic Roux,卢多维克·鲁
Alphonse Areola,艾方斯·艾路拿
Anne Cheng,程艾兰
Arthur Dehaine,阿蒂尔·德艾纳
Alphonse Higelin,阿方斯·伊热兰
André Rischmann,安德烈·里施曼
Céline Goberville,塞利娜·戈贝维尔
Henry Terry,亨利·特里
Delphine Réau,德尔菲娜·雷奥
André Chavet,安德烈·沙韦
Anne Floriet,安妮·弗洛里耶
Emmanuel de Martonne,埃马纽埃尔·德·马托纳
André Berthelot,安德烈·贝特洛
André Beaumont,让·路易·科诺
Arnoult de Lisle,阿诺尔特·德·里斯勒
Anne Hidalgo,安妮·伊达尔戈
Arthur Hermann,阿蒂尔·埃尔曼
Audrey Marnay,奧黛麗·芒內
Barcella (chanteur),巴塞拉
Anne de Gaulle,安妮·戴高乐
André Giriat,安德烈·吉里亚
Audrey Deroin,奥德蕾·德鲁安
Audrey Diwan,奥黛丽·迪万
Audrey Cordon-Ragot,奥德蕾·科尔东-拉戈
Annick Cojean,安妮柯·柯琴
Auguste Donny,奥古斯特·多尼
André Guerrier,安德烈·盖里耶
Anne Rosine Noilly-Prat,安娜·罗西娜·努瓦伊-普拉
Antonin Rouzier,安東寧·盧耶爾
Armand Lunel,阿尔芒·卢内尔
Annie Fratellini,安妮·弗拉泰利尼
Arnaud Geyre,阿诺·热尔
Arnaud Fleurent-Didier,阿尔诺·弗勒昂-狄蒂尔
Jacques Lameloise,雅克·拉梅洛瓦茲
André Lallemand,安德烈·拉勒芒
Armand Marcelle,阿尔芒·马塞勒
Auguste Hoël,奥古斯特·厄尔
Benjamin Lang,邦雅曼·兰
Benjamin Toniutti,本亚明·托纽蒂
Augustin Pouyer-Quertier,奥古斯汀·普野-克尔蒂
Auguste Miquel,奧古斯特·密克
Benjamin Compaoré,邦雅曼·孔波雷
Benjamin Mendy,本傑明·門迪
Bernard Planque,贝尔纳·普朗克
Bernard Pacaud,貝爾納·帕科
André Lévy (sinologue),安德烈·利维
Antoine Arnault,安托萬·阿爾諾·(商人)
André Lesauvage,安德烈·勒索瓦热
Bernard Tchoullouyan,贝尔纳·楚卢扬
Antoine Bonnier d'Alco,昂热-伊利沙白-路易-安托万·博尼埃
Bernadette Isaac-Sibille,贝尔纳黛特·伊萨克-西比耶
Aurlus Mabélé,奥尔吕斯·马贝莱
Berthe de Bretagne,布列塔尼的貝兒塔
Béatrice Hess,贝亚特丽斯·埃斯
Aymeline Valade,艾梅琳·瓦拉德
Isidore Loeb,伊西多爾·洛布
Bernard Debré,贝尔纳·德勃雷
Camille Lecointre,卡米耶·勒库安特
Cabu,卡比·(漫画家)
Bernard Brégeon,贝尔纳·布雷容
Antoine Fourquet,魏畅茂
Antoine Frérot,安东尼·费雷罗
Blandine Dancette,布朗迪娜·当塞特
Michèle Causse,郭思·(作家)
Bernard Destremau,贝尔纳·德特勒莫
Guy Savoy,居伊·萨瓦
Bertrand Vecten,贝特朗·韦克滕
Christian Sinicropi,克里斯蒂安·西尼克羅皮
Bernard Le Roux,贝尔纳·勒鲁
Bernard Mayeur,贝尔纳·马耶尔
Ernest Meyer (cavalier),埃内斯特·梅耶尔
Bernard Monnereau,贝尔纳·莫内罗
Camille Lopez,卡米耶·洛佩
Bernard Madrelle,贝尔纳·马德雷勒
Bernard Malivoire,贝尔纳·马利瓦尔
Caroline Roux,卡罗琳·鲁
Charles Coste,夏尔·科斯特
Charles Rigault de Genouilly,黎峨
Timothey N'Guessan,蒂莫泰·恩盖桑
Elisa Lynch,埃莉萨·林奇
Christian Vincent,克里斯蒂安·文森特
Brooke Raboutou,布魯克·拉布圖
Brice Dulin,布里斯·迪兰
Christine Cicot,克里斯蒂娜·西科
Catherine Corsini,凱薩琳·科西妮
Christophe Girard (homme politique),克里斯多夫·吉拉尔
Christophe Gagliano,克里斯托夫·加利亚诺
Willy Rozenbaum,威利·罗森鲍姆
Christine Musselin,克里斯蒂娜·米斯兰
Charles Heidsieck,查尔斯·海德希克
Christophe Durand,克里斯托夫·迪朗
Christophe Lattaignant,克里斯托夫·拉泰尼昂
Bruno Génésio,布魯諾·熱內西奧
Charles du Houx de Vioménil,夏尔·杜霍克斯·德·维奥默尼
Charb,斯德凡·夏邦尼耶
Charles Hugo (voile),夏尔·雨果
Charles de Montigny,敏体尼
Bruno Barbey,布鲁诺·巴贝
Bruno Dumézil,布鲁诺·杜梅齐尔
Chu Teh-Chun,朱德群
Charline Picon,沙利纳·皮康
Charles Janet,夏尔·雅内
Catherine Poirot,卡特琳·普瓦罗
Charlot (aviron),夏洛
Catherine Vautrin,卡特琳·沃特兰
Charles Louis de Marbeuf,夏爾·路易·德·馬爾伯夫
Claude Bourquard,克洛德·布卡尔
Claude Brodin,克洛德·布罗丹
Chloé Trespeuch,克洛艾·特雷斯珀什
Christian Amatore,克里斯汀·阿芒托
Claude-Gérard Marcus,克洛德-热拉尔·马库斯
Cyril Saulnier,西里爾·索尼耶
Coralie Trinh Thi,科拉莉·郑氏
Loalwa Braz,拉娃·布拉茲
Christian Cabrol,克里斯蒂安·卡布羅
Claude Gotteland,南格禄
César Mendoza,塞萨尔·门多萨
Clarisse Agbégnénou,克拉丽丝·阿格贝涅努
Cédric Sabin,塞德里克·沙宾
Dagpo Rinpotché,塔布仁波切
Robert Ménard,罗贝尔·梅纳尔
Damien de Martel,玛德
Delphine Arnault,德尔菲娜·阿尔诺
Daniel Colliard,达尼埃尔·科利亚尔
Dominique Bona,多米尼克·博纳
Delphine Horvilleur,德尔菲娜·奥维勒尔
David Feuerwerker,达维德·福伊尔沃克
Dominique Bœuf,鮑華富
Christian Baltzer,克里斯蒂安·巴尔策
Daniel Eon,达尼埃尔·埃翁
Claude Martin (aviron),克洛德·马丁
Denis Gargaud Chanut,德尼·加爾戈·沙尼
Daniel Fauché,达尼埃尔·福谢
Daniel Gillois,达尼埃尔·吉卢瓦
Dominique Laporte (sommelier),多米尼克·拉波特
Earvin Ngapeth,埃爾文·恩加佩斯
Grégory Béranger,格雷戈里·贝朗热
Daniel Soulage,达尼埃尔·苏拉热
Richard Gay,里夏尔·盖伊
Daniel Vachez,达尼埃尔·瓦谢
Danièle Hoffman-Rispal,达妮埃勒·奥夫曼-里斯帕尔
Donatien Bouché,多纳西安·布谢
Maé-Bérénice Méité,梅-貝倫妮斯·梅特
Darling Légitimus,路易斯·德·莉瑪
Emmanuel Macron,埃马纽埃尔·马克龙
Georges Turlier,乔治·蒂利耶
Jean Laudet,让·洛代
Maurice Buret,莫里斯·比雷
Jean Saint-Fort Paillard,让·圣福尔·帕亚尔
Claudie Ossard,克洛迪·奥萨尔
Claudius Regaud,克劳迪乌斯·勒戈
Gabriel Poix,加布里埃尔·普瓦
Didier Vavasseur,迪迪埃·瓦瓦瑟尔
Lara Grangeon,拉拉·格朗容
Claudine Mendy,克洛迪娜·芒迪
Clément Garcia,克莱蒙·加西亚
Eugène Rouher,欧仁·鲁埃
Déborah Heissler,德博拉·赫斯勒
Stéphane Houdet,斯特凡纳·乌代
Dorylia Calmel,多莉莉亚·卡梅尔
Emmanuel Lebesson,埃马纽埃尔·勒贝松
Valentin Roberge,瓦倫丁·羅貝熱
Clémentine (chanteuse),橘儿
Marceau Fourcade,马索·富尔卡德
Prosper de Barante,普罗斯珀·德·巴朗特
Nikolaï Kolomeïtsev,尼古拉·尼古拉耶维奇·科洛梅伊采夫
Jonathan Lobert,若纳唐·洛贝尔
Ernest Gugenheim,埃內斯特·古根海姆
Léon Bernot,路易·贝尔诺
Georges Berger (gymnastique),乔治·贝尔热
Fabien Tilliet,法比安·蒂利埃
Mathieu van der Poel,马修·范德普尔
Edmond Debeaumarché,爱德蒙·德堡玛舍
Edmond Dame,埃德蒙·达姆
Éric Saint-Martin,冼毅力
Ernest Lespinasse,埃内斯特·莱斯皮纳斯
Florian Philippot,弗洛里安·菲利波特
François Bizot,弗朗索瓦·比佐
François Bertrand (sergent),弗朗索瓦·貝特朗
Jean-Henri Focas,让·福卡
Esther Ferrer,埃絲特·費雷爾
Jean-Christophe Thouvenel,让-克里斯托夫·图弗内尔
Ernest Quost,歐內斯特·奎斯特
Fanny Horta,范妮·奥尔塔
Fabien Lamirault,法比安·拉米罗
Fabienne Verdier,法比恩·维迪尔
Jean Despeaux,让·德波
Eugen Fried,欧根·弗里德
Francis Hammel,弗朗西斯·阿梅尔
Eugène Cordonnier,欧仁·科多尼耶
Fabrice Hybert,法布里斯·海伯特
Quentin Bigot,康坦·比戈
François Corbier,弗朗索瓦·科比爾
Fan Hui,樊麾
Ernest Rogez,埃内斯特·罗热
Fabrice Lepaul,法布里斯·勒保罗
Francis Ledoux,法蘭西斯·勒杜
Pierre-Ambroise Bosse,皮埃尔-昂布鲁瓦·博塞
François Chérèque,弗朗索瓦·契克
Francis Smerecki,弗朗西斯·斯梅雷茨基
Walid Regragui,瓦利德·雷格拉吉
Franck Badiou,弗兰克·巴迪乌
Eugène Lefebvre,欧仁·勒菲弗
François de Jaucourt,弗朗索瓦·德·雅库尔
Louis Pouzin,路易斯·普贊
Feng Xiao-Min,冯骁鸣
François Gros (biologiste),法蘭索瓦·葛羅
Frank Adisson,弗朗克·阿迪松
Franck Pavloff,費朗·帕洛夫
François Ernest Fournier,福禄诺
Félicia Menara,费利西娅·梅纳拉
Marc Alexandre,马克·亚历山大
Laurent de la Résurrection,劳伦斯弟兄
François Xavier Bon de Saint Hilaire,弗朗索瓦·德·卜翁
François Lafargue,弗朗索瓦·拉法尔格
François Hartog,弗朗索瓦·阿赫托戈
Eugène Pollet,欧仁·波莱
Françoise Combes,弗朗索瓦丝·孔布
Fernand Canteloube,费尔南·康特卢布
Fernand Arnout,费尔南·阿尔努
Fernand Fauconnier,费尔南·福科尼耶
Régine Deforges,雷吉娜·德福爾熱
Françoise Robin (tibétologue),弗朗索瓦兹·罗宾
Paul Henri Fischer,保罗·亨利·费舍尔
Raoul Got,拉乌尔·戈
Philippe Decouflé,菲立普德库弗列
Félix Biet,毕天荣
Frédéric Anton,弗雷德里克·安東
Félix Picon,费利克斯·皮康
Frédéric-Georges Herr,弗里德里克-喬治·赫爾
Jacques Duchesne (général),雅克·迪舍納
François Barouh,弗朗索瓦·巴鲁
François-Xavier Roth,弗朗索瓦-格扎维埃·罗特
Florence Parly,弗洛朗丝·帕利
Lise Legrand,莉丝·勒格朗
Jean-Pierre Rousselot,卢赛洛
Félix Lasserre,勒内·拉塞尔
Frédéric Hulot,弗里德里克·于洛
François-Raoul Larche,弗朗索瓦-拉烏爾·拉什
François-Thomas Germain,弗朗索瓦-托马·热尔曼
Gaspard Thémistocle Lestiboudois,加斯帕尔·泰米斯托克利斯·莱蒂布杜瓦
Robert Poujade,罗贝尔·布热德
Frédéric Demontfaucon,弗雷德里克·德蒙福孔
Joachim Bouvet,白晋
Frédéric Cottier,弗雷德里克·科捷
Frédéric Delcourt,弗雷德里克·德尔古
"Frédéric Mendy (football, 1988)",弗雷德里克·门迪
Georges Tapie,乔治·塔皮
Georges Thurnherr,乔治·图恩埃尔
Jean Gachet (boxe anglaise),让·加谢
Gabriel Delmotte,加布里埃尔·德尔莫特
Georges Pelletier-Doisy,乔治·佩尔蒂埃-杜瓦西
François Reynaert (journaliste),弗朗索瓦·雷纳尔
Guy Guillabert,居伊·吉亚贝尔
Gabriel Koenigs,加布里埃尔·泽维尔·保罗·科尼格斯
Margaux Farrell,玛尔戈·法雷尔
Gaston Seigner,加斯东·塞涅
Grâce Zaadi,格拉斯·扎迪
Pierre Albarran,皮埃尔·阿尔巴朗
Noël Vandernotte,诺埃尔·范德诺特
Marco Torrès,马尔科·托雷斯
Jean Gounot,让·古诺
Madame Rouge,紅夫人
Guy Lefrant,居伊·勒弗朗
Gaston Cailleux,加斯东·卡耶
Gilbert Bozon,吉尔贝·博宗
Geoffroy Guichard,若弗鲁瓦·吉夏尔
Guy Rosolato,侯碩極
Guy Sorman,索爾孟
Gaston Giran,加斯东·吉朗
Gilbert Motier de La Fayette,吉爾貝·莫捷·德·拉法葉
Gilbert Meyer,吉尔贝·梅耶尔
Ghislaine Arabian,吉莱娜·阿拉比昂
Gilbert Romeyer-Dherbey,吉尔贝·罗梅耶-代尔贝
Gilles Bourdos,吉爾布都
Gilles Bosquet (aviron),吉勒·博斯凯
Henri Baudouin,亨利·博杜安
Guillaume Gomez (cuisinier),紀堯姆·戈麥斯
Guy Ébrard,居伊·埃布拉尔
Henri Biva,亨利·比瓦
Guillaume Chaine,纪尧姆·谢纳
Henri Arthus,亨利·阿蒂斯
Georges Brissaud-Desmaillet,白里索·戴斯梅莱
Guillaume Jacques,向柏霖
Pascal Martinot-Lagarde,帕斯卡尔·马尔蒂诺-拉加德
Georges Fontès,乔治·丰泰斯
Georges Gandil,乔治·冈迪
Guillaume Raineau,纪尧姆·雷诺
Georges Dransart,乔治·德朗萨尔
Gilles Fauconnier,吉勒·福科尼耶
Gérald Darmanin,热拉尔德·达尔马宁
Gérald Van der Kemp,热拉尔德·范德肯普
Georges Jean,喬治·尚
Marcel Gobillot,马塞尔·戈比约
Marcelle Lalou,拉露
Rodolphe Alexandre,鲁道夫·亚历山大
Henri Eberhardt,亨利·埃伯哈特
Henri Hoppenot,亨利·奥普诺
Georges Lagouge,乔治·拉古热
Gérard Nahon,傑拉德·納宏
Henri Cuvelier,亨利·屈弗利耶
Henri Maquet (jésuite),马泽轩
Henri Lécroart,刘钦明
Georges Loinger,乔治·卢安热
Georges Fabre,乔治·法布尔
Émile Henriot (chimiste),埃米尔·昂里奥
Laurence Ferrari,洛朗斯·费拉里
Gérard Sturla,热拉尔·斯图拉
Henri Grange,亨利·格朗热
Georges Mollard,乔治·莫拉尔
Oliver Jackson-Cohen,奥利弗·傑克森-科恩
Henri Villecourt,亨利·维尔古
Georges Morel,乔治·莫雷尔
Guy Canivet,居伊·卡尼韦
Gustave Roussy,古斯塔夫·鲁西
Henri Mineur,亨利·米纳尔
Henri Monnot,亨利·莫诺
Henry Chéron,亨利·雪隆
Gérard Meylan,傑哈·梅隆
Georges Pagès,乔治·帕热斯
Xian Yifang,羡宜芳
Henri de Gaulle,亨利·戴高乐
Jean-Pierre Stock,让-皮埃尔·斯托克
Georges Lecointe (aviron),乔治·勒库安特
Henri Pinault,彭道传
Pierre Brunet (aviron),皮埃尔·布吕内·(赛艇运动员)
Henri Préaux,亨利·普雷奥
Édouard Marcelle,爱德华·马塞勒
Henri Schilli,亨利·席利
Jacques Mehler,杰柯·梅勒
Henri Rey (basket-ball),亨利·雷伊
Jacquot Grunewald,雅科·格鲁内瓦尔德
Haïm Korsia,海姆·科西亞
Hervé Godignon,埃尔韦·戈迪尼翁
Jacques-Victor-Marius Rouchouse,骆书雅
Hélène Cortin,埃莱娜·科尔坦
Jacques Morel (aviron),雅克·莫雷尔
Hélène Vincent,海倫·文森特
Jacques Brunhes,雅克·布吕纳
Jacques Brodin,雅克·布罗丹
Idriss Saadi,伊德里斯·萨阿迪
Jacques Baudrier,雅克·博德里耶
Jean-Antoine Marbot,讓-安托萬·馬爾博
Isaïe Schwartz,伊萨伊·施瓦茨
Jean-Baptiste Coffinhal,让-巴蒂斯特·科菲纳尔
Jean-Baptiste Chaigneau,讓-巴蒂斯特·沙依諾
Honoré Muraire,奥诺雷·米雷尔
Jean-Baptiste Bernaz,讓·巴蒂斯特·貝爾納
Jacob Kaplan,雅各布·卡普蘭
Jacob Gordin,雅各布·戈爾丁
Hubert Parot,于贝尔·帕罗
Jean-François Jonvelle,让-弗朗索瓦·容韦勒
Jacques Dessemme,雅克·德瑟姆
Jacques Crevoisier,雅克·克勒瓦西耶
Jacky Avril,雅基·阿夫里尔
Jacques Fauvet,雅克·福艾
Jean-François Delmas (révolutionnaire),让-弗朗索瓦-贝特朗·戴尔马
Jean-Baptiste Cécille,讓-巴蒂斯特·賽西爾
Israël Lévi,以色列·萊維
Jean-Luc Domenach,让-吕克·多梅纳克
Jacques Guittet,雅克·吉泰
Jacques Lebrun (voile),雅克·勒布伦
Jacques Le Divellec,雅克·勒·迪韋萊克
Jean-Loup Puget,让-卢普·皮热
Jean-Benoît Chouzy,司立修
Jean-Luc Moreau (metteur en scène),让-吕克·莫罗
Jean-Luc Martinez,让-吕克·马蒂内
Jean-François Ducay,让-弗朗索瓦·迪凯
Jean-Luc Laurent,让-吕克·洛朗
Jean-Luc Reitzer,让-吕克·赖策
Jean-Charles Valladont,让-夏尔·瓦拉东
Jean-Jacques Guissart,让-雅克·吉萨尔
Jean Antoine Debry,让·德布里
Jean-François Voguet,让-弗朗索瓦·沃盖
Jean-Philippe Béja,吉恩-菲利普·贝贾
Jean-Marc Luisada,尚-馬克·路易沙達
Jacques Lesourne,雅克·勒苏尔纳
Jean-Pierre Christin,讓-皮埃爾·克里斯汀
Jean-Jacques Mounier,让-雅克·穆尼耶
Jean-Louis Bernard,让-路易·贝尔纳
Jean-Pierre Giudicelli,让-皮埃尔·朱迪切利
Jean-Lou Chameau,让-卢·沙莫
Jean-Claude Lecante,让-克洛德·勒康特
Jean-Claude Hamel,让-克洛德·阿梅尔
Jean-Louis Dubreton,讓-路易·迪布勒東
Jean-Louis Margolin,让-路易·马戈林
Jean-Pierre Balligand,让-皮埃尔·巴利冈
Jean-Joseph Sanfourche,让·约瑟夫·桑弗尔彻
Jean-Pierre Firmin Malher,让-皮埃尔·菲尔曼·马莱尔
Jean-Louis Olry,让-路易·奥尔里
Jean-Louis Vaudoyer,让-路易·沃杜瓦耶
Jean-Claude Guibal,让-克洛德·吉巴尔
Jean-Marie Le Chevallier,让-马里·勒舍瓦利耶
Jean-Pierre Dusséaux,让-皮耶尔·杜塞欧
Jean-Pierre Cabestan,高敬文
Jean Briane,让·布里亚纳
Jean-Claude Olry,让-克洛德·奥尔里
Jean Fréchet,让·弗雷谢
Jean-Pierre Mahé,让-皮埃尔·马埃
Jean-François Abramatic,尚-弗朗索瓦·阿布拉莫維奇
Jean Béguin,让·贝甘
Jean-Pierre Néel,文乃尔
Jean de Guébriant,光若翰
Jean-Yves Veillard,让-伊夫·韦亚尔
Jean-Pierre Sauvage (chimiste),让-皮埃尔·索瓦日
Jean Boudehen,让·布德昂
Jean Chesneaux,謝諾
Jean Castex,让·卡斯泰
Jean-Paul Beugnot,让-保罗·伯尼奥
Jean Grenet,让·格勒内
Mariane Pearl,玛丽安·珀尔
Jean Degros,让·德格罗
Jean Juventin,让·朱旺坦
Jean Turco (photographe),让·图可
Jean Hippolyte Mariéjol,让·伊波利特·马里耶奥勒
Jean-Paul Coche,让-保罗·科什
Jean Diwo,让·迪沃
Jean Escarra,爱斯嘉拉
José Bray,何塞·布雷
Jean Klein (aviron),让·克莱因
Jean Sainteny,讓·聖特尼
Jean Lesieur (marin),让·勒西厄尔
Jean-Victor Tharreau,让·维克托·塔罗
Jean Le Bret,让·勒布雷
Maurice Audin,莫里斯·奧丹
Jonas Ennery,若纳斯·埃内里
Joël Bellassen,白樂桑
Julien Lyneel,儒利安·呂內爾
Joseph-Martial Mouly,孟振生
Joseph-Marie Lavest,羅惠良
Jean d'Orgeix,让-弗朗索瓦·多尔热
Joseph Charignon,沙海昂
Saïd Mohamed Jaffar,賽義德·穆罕默德·賈法爾
Jérémie Azou,热雷米·阿祖
Jean Morlet,让·莫莱
Joël Jeannot,若埃尔·让诺
Sandra Forgues,桑德拉·福尔格
Jean Oury,让·欧利
Julien Wartelle,朱利安·瓦泰勒
Joseph Lehmann (grand-rabbin),約瑟夫·萊曼
Jules Jeanneney,朱尔·让纳内
Jérôme Christ,热罗姆·克里斯特
Jeanne Galzy,珍妮·加尔齐
Jia Nan Yuan,袁嘉楠
Roger Michelot,罗歇·米什洛
Joseph Huber,约瑟夫·于贝
Jenia Grebennikov,耶尼亞·格雷本尼科夫
Karim Laghouag,卡里姆·拉古阿格
Kalidou Koulibaly,卡利杜·高列巴尼
Kalki Koechlin,卡琪·柯切林
Jules Itier,于勒·埃及爾
Jules Pirard,朱尔·皮拉尔
Jules Plisson,朱尔·普利松
Laurent Bàn,洛朗·班
Laurent Lafitte,羅倫·拉菲帝
Kamel Daoud (écrivain),卡梅·答悟得
Julia Perrin,茱莉亚·佩兰
Julian Alaphilippe,朱利安·阿拉菲利普
Katherine Briçonnet,凱薩琳·布里索內
Kevin Mayer,凯文·马耶尔
Valentin Porte,瓦朗坦·波特
Louis Malvy,路易·马尔维
Lazare Wogue,拉扎爾·沃格
Lucien Baudrier,吕西安·博德里耶
Louis Ducruet,路易斯·杜克鲁特
Kévin Tillie,凱文·提列
Kévin Le Roux,凱文·勒羅克斯
Lazare Isidor,拉扎爾·伊西多爾
Henri Paul,亨利·保羅
Laurent Solly,洛朗·索利
Mai-Thu,枚中栨
Stéphane Traineau,斯特凡纳·特雷诺
Laetitia Meignan,利蒂希娅·梅尼昂
Louis Béchameil de Nointel,路易·德·貝夏媚
Loumia Hiridjee,盧米婭·希里吉
Li Shuang,李爽·(画家)
Li Chevalier,诗蓝
Marc Andreu,馬克·安德勒
Louis Decazes (1889-1941),路易·德卡茲
Louis Chauvel,路易·肖韋爾
Louis Devoti,路易·德沃蒂
Lucien Deiss,戴思
Marc-Antoine Bonnin de la Bonninière de Beaumont,马克-安托万·德·博蒙
Marc Bouissou,马克·布伊苏
Marie-Charles David de Mayrena,馬里-夏爾·達維德·德·邁勒納
Marcel Chauvigné,马塞尔·肖维涅
Lucien Sève,吕西安·塞夫
Lucien Bianco,畢仰高
Lucien Braun,吕西安·布朗
Lluis Quintana-Murci,柳伊斯·金塔納-穆爾西
Luc Pillot,吕克·皮洛
Lucien Neuwirth,呂西安·諾伊維爾特
Marie-Amélie Le Fur,玛丽-阿梅莉·勒菲尔
Louis Gantois,路易·冈图瓦
Marc Pajot,马克·帕若
Marc Roguet,马克·罗盖
Léon Epin,莱昂·埃潘
Léon Delsarte,莱昂·德尔萨特
Louis François,路易·弗朗索瓦
Marcel Alessandri,马塞尔·亚历山得利
Marie-Claire Bergère,白吉爾
Marie-Roberte Guignard,杜乃扬
Marcel Rozier,马塞尔·罗齐耶
Marcel Renaud,马塞尔·雷诺·(皮划艇运动员)
Léon Motchane,萊昂·莫查納
Matali Crasset,瑪塔莉·卡賽特
Léon Susse,莱昂·叙斯
Léon Tellier,莱昂·泰利耶
Marcel Lepan,马塞尔·勒庞
Marchand Ennery,马尔尚·埃内里
Marguerite Derrida,玛格丽特·德里达
Mathieu Grébille,马蒂厄·格雷比耶
Michaël Ferrier,米凯尔·费立叶
Maxime Dorigo,马克斯·多里戈
Maxime Beaumont,马克西姆·博蒙
Michel Kaplan,米謝·凱藍
Marie Jules Dupré,馬里·儒勒·杜白蕾
Marie Holzman,侯芷明
Mayer Lambert,邁爾·蘭伯特
Maurice Buffière,莫里斯·比菲埃
Maurice Boyau,莫里斯·布瓦約
Mia Hansen-Løve,米雅·韓桑-露芙
Maurice Faure,莫里斯·富尔
Michel Ameller,米歇尔·阿梅莱
Michel Oliver,米歇爾·奧利弗·(廚師)
Michel Margairaz,米歇尔.玛尔格拉兹
Marielle Amant,玛丽耶勒·阿芒
Maurice Courant,古恒
Maurice Benayoun,莫里斯·贝纳永
Mark McGivern,馬克·麥克吉文
Maurice Loir,莫里斯·盧瓦爾
Maurice Liber,莫里斯·利贝尔
Michel Meylan,米歇尔·梅朗
Maurice Gufflet,莫里斯·居夫莱
Michel Roche,米歇尔·罗什
Marthe Distel,玛尔特·迪斯特尔
Michel Bonnin,潘鸣啸
Michel Souplet,米歇尔·苏普莱
CLUIZEL,米歇爾·柯茲
Michel Pinçon,米歇尔·潘松
Michel Chapuis (canoë-kayak),米歇尔·沙皮伊
Michel Charasse,米歇尔·沙拉斯
Michel Bury,米歇尔·比里
Michel Rabreau,米歇尔·拉布罗
Michel Sogny,米歇尔·松尼
Morgaro Gomis,莫尔加罗·戈米斯
Morgan Ciprès,摩根·西普雷斯
Morhad Amdouni,莫尔哈德·阿姆杜尼
Patrice Gélard,帕特里斯·热拉尔
Mickaël Barzalona,巴米高
Nicolas Revel,尼古拉·雷韦尔
Olivier Duhamel,奥利维·杜阿梅尔
Nicolas Le Goff,尼古拉·勒戈夫
Olivier Moncelet,奥利维耶·蒙瑟莱
Nicolas Rossard,尼古拉斯·羅薩德
Oscar de Négrier,奥斯卡·德·尼格里
Mike Birch,迈克·伯奇
Patrick Cescau,夏思可
Olivier Peslier,柏兆雷
Patrick Hoguet,帕特里克·奥盖
Patrick Henriroux,帕特里克·亨利魯
Nicolas de Crécy,尼古拉·德魁西
Nicolas de Jong,尼古拉斯·德容
Olivier Poubelle,奥利维耶·普贝勒
Urbain Jean Faurie,佛荷里
Nampalys Mendy,南帕利·门迪
Patrick Lenôtre,帕特里克·勒諾特
Patrick Lefoulon,帕特里克·勒富隆
Nguyen Quoc Dinh,阮國定
Noémie Merlant,諾耶米·梅蘭特
Paul Four,保罗·富尔
Nicolas Berthelot,尼古拉·贝特洛
Paul-Marie Reynaud,赵保禄
Pascal Boucherit,帕斯卡尔·布舍里
Pascal Touron,帕斯卡尔·图龙
Nicolas Charbonnier,尼古拉·沙博尼耶
Patrick Vial,帕特里克·维亚尔
Paul-Laurent Assoun,保罗-罗兰·阿稣
Paul-Louis-Félix Philastre,霍道生
Paul-Marie Dumond,杜保禄
Paul Haguenauer,保罗·阿格诺埃
Pascal Rambeau,帕斯卡尔·朗博
Philippe Boccara,菲利普·博卡拉
Odette Kahn,奧黛特·卡恩
Pascale Ferran,帕絲卡·費弘
Olivier Allamand,奥利维耶·阿拉芒
Olivier Bajard,奥利维耶·巴雅尔
Paul Schlupp,安德烈·施卢普
Philippe Bélaval,菲利普·貝拉瓦爾
Paul de Langlade,保羅·德·朗格拉德
Paul Vasseur,保罗·瓦瑟尔
Philippe Bouchet (malacologiste),菲利普·布歇·(生物学家)
Paul Beau,鲍渥
Philippe Faucon,菲利浦·弗孔
Philippe Heberlé,菲利普·埃贝莱
Paul Veysseyre (architecte),保罗·维塞
Paul Wartelle,保罗·瓦泰勒
Olivier Bausset,奥利维耶·博塞
Olivier Boivin,奥利维耶·布瓦万
Philippe Depreux,菲利普·德普勒
Philippe Germain,菲利普·熱爾曼
Philippe Baillet (basket-ball),菲利普·巴耶
Philippe Barrès,菲利普·巴雷
Henri Roussel de Courcy,亨利·鲁塞尔·德·库西
Pierre Margaron,皮埃尔·马加龙
Philippe Gustave Le Doulcet,菲利普·古斯塔夫·杜尔塞
Pierre Dukan,皮埃尔·杜坎
Pierre Niney,皮耶·尼內
Robert Busnel,罗贝尔·比内尔
Pierre-Étienne Will,魏丕信
Pierre-Philippe Giraudeau,倪德隆
Pierre-Noël-Joseph Foucard,富于道
