Joachim Heinrich Wilhelm Wagener,勒夫海因里希·威廉·瓦格納
Christiane Fürst,克里斯蒂安·福斯特
Maria Franziska von Pfalz-Sulzbach,玛丽亚·弗兰齐斯卡·冯·普法尔茨-苏尔茨巴赫
Pauline zu Wied,符騰堡的保琳 (1877-1965)
Hans-Georg Wieck,汉斯-格奥尔格·维克
Lorenz Adlon,洛倫茨·阿德隆
Ansgar Wessling,安斯加尔·韦斯林
Ludwig Friedrich II.,路德維希·腓特烈二世
Haddaway,哈德威
Primož Trubar,PrimožTrubar
Kasimir VI.,卡齊米日六世
Tobias Kempe,托比亚斯·肯佩
Barbara Petzold,芭芭拉·佩措尔德
Georg II.,格奧爾格二世
Ludwig VII.,路德維希七世
Halil Altıntop,哈利勒·阿尔滕托普
Thomas Schaaf,托馬斯·沙夫
Rudolf Schenker,魯道夫·申克
Astrid Kirchherr,阿斯特丽德·基尔赫
Carl Stamitz,卡尔·斯塔米茨
Ulrike Tauber,乌尔丽克·陶贝尔
Margarethe Klementine von Österreich,奥地利的玛格丽特·克莱门蒂妮
Petra Behle,彼得拉·贝勒
Helga Haase,黑尔佳·哈泽
Fritz Stolze,弗里茨·施托尔策
Hans Schneider,汉斯·施奈德
Paul Klingenburg,保罗·克林根堡
Ruthard,美茵茨的魯特哈特
Ulrike Luise zu Solms-Braunfels,索爾姆斯-布勞恩費爾斯的烏爾里克·路易絲
Toni Schumacher,哈拉尔德·舒马赫
Sabine Spitz,扎比内·施皮茨
Bruno Walter,布鲁诺·瓦尔特
Konrad I.,康拉德一世
Kurt Masur,库尔特·马苏尔
Willi Eichhorn,维利·艾希霍恩
Helmut Thieltges,埃爾默特·爾杰斯
Andreas Klöden,安德烈亚斯·克洛登
Zvjezdan Misimović,兹夫耶兹丹·米西莫维奇
Waldemar Cierpinski,瓦尔德马·切尔平斯基
Erich Heckel,埃里希·赫克尔
Luise von Mecklenburg-Strelitz,梅克倫堡-施特雷利茨的路易絲
Franz Rademacher,弗朗茨·拉德马赫
Norbert Klaar,诺贝特·克拉尔
Nam June Paik,白南準
Helmuth Schwenn,赫尔穆特·施文
Friedrich IV.,腓特烈四世 (萊格尼察)
Angelika Noack,安格莉卡·诺亚克
Jürgen Chrobog,于尔根·克罗伯格
August von Sachsen-Gotha-Altenburg,奧古斯特王子
Marquard Slevogt,马夸特·斯莱福格特
Anita Lasker-Wallfisch,安妮塔·拉斯克-瓦尔菲施
Marko Spittka,马尔科·施皮特卡
Rüdiger Neitzel,吕迪格·奈策尔
Michael Paul,米夏埃尔·保罗
Klaus Wöller,克劳斯·韦勒尔
Matthias Volz,马蒂亚斯·福尔茨
Michael Hammers,司马瀚
Jürgen Plagemann,于尔根·普拉格曼
Karmen Stavec,卡門·斯塔維克
Luise von Brandenburg,普魯士的路易絲·多蘿西亞
Herbert Busemann,赫爾伯特·布斯曼
Burkard Freiherr von Müllenheim-Rechberg,布卡德·弗赖赫尔·冯·米伦海姆-雷希贝格
Viktor zu Wied,维克托·楚·维德
Mechthild von Magdeburg,馬格德堡的瑪提爾德
Tabea Zimmermann,塔比亚·齐默尔曼
Sepp Herberger,塞普·赫尔贝格
Christian Lell,克里斯蒂安·莱尔
Jens Nowotny,延斯·诺沃特尼
Andreas Beck,安德烈亚斯·贝克
Frank Rost,弗朗克·羅斯特
Friedrich Adolf Riedesel,腓特烈·李德塞
Kevin Großkreutz,凱文·格羅斯克羅伊茨
Andreas Brehme,安德烈亚斯·布雷默
Max Liebermann,馬克思·利伯曼
Christina Lathan,克里斯蒂娜·拉坦
Dorothea Charlotte von Brandenburg-Ansbach,多蘿西亞·夏洛特
Elfriede Kaun,埃尔弗里德·考恩
Karl Friedrich Nebenius,卡爾·弗里德里希·內貝紐斯
James Stirling,詹姆斯·斯特林
Frank Baumann,弗蘭克·鮑曼
Sandra Völker,桑德拉·弗尔克尔
Lisa Batiashvili,麗莎·巴蒂雅施維莉
Hedwig Jagiellonica,雅德維加·雅蓋隆卡
Wolf Vostell,沃尔夫·福斯特尔
Niclas Füllkrug,尼克拉斯·菲尔克鲁格
Ernst Busch,恩斯特·布施
Ulrike Bruns,乌尔丽克·布伦斯
Margitta Pufe,玛吉塔·普费
Nina Hagen,尼娜·哈根
Elisabeth Auguste von Pfalz-Sulzbach,伊莉莎白·奧古斯塔 (普法爾茨-蘇爾茨巴赫)
Ludwig IV.,路德維克四世
Christopher Buchtmann,克里斯托弗·布赫特曼
Gerry Wolff,格里·沃尔夫
Jeanette Biedermann,珍妮特·貝德曼
Nils Petersen,尼尔斯·彼得森
Patrick Helmes,帕特里克·黑尔默斯
Gabriele Seyfert,蓋布莉兒·塞佛特
Dorothee Wilms,多罗泰·威爾姆斯
Klaus Augenthaler,克劳斯·奥根塔勒
Eugen Diederichs,台里乌司
Linda Bresonik,琳达·布雷索尼克
Sigrun Krause,西格伦·克劳泽
Elsa Rendschmidt,埃尔莎·伦德施密特
Stefan Reuter,斯特凡·罗伊特
Jan-Peter Peckolt,扬-彼得·佩科尔特
Jan Josef Liefers,揚·約瑟夫·李佛思
Carolina Eyck,卡羅·萊納艾克
Klaus Kinkel,克劳斯·金克尔
Margarete von Brabant,布拉班特的瑪格麗塔
Christina von Sachsen,克莉丝汀
Margarete von Bayern,瑪格麗特
Heinrich Büssing,海因里希·比辛
Siegfried Roch,西格弗里德·罗赫
Rainer Fetting,赖纳·费汀
Henry Stöhr,亨利·施特尔
Thomas Happe,托马斯·哈佩
Reiner Ganschow,赖纳·甘朔
Amalie Elisabeth von Hanau-Münzenberg,哈瑙-明岑貝格的阿玛丽·伊丽莎白
Marco Stiepermann,馬高·史迪派文
José-Alex Ikeng,何塞-阿列克斯·伊肯
Liselott Linsenhoff,莉泽洛特·林森霍夫
Volker Winkler,福尔克尔·温克勒
Alexander Merkel,亚历山大·默克尔
Maria von Sachsen-Weimar,薩克森-威瑪的瑪麗亞
Nia Künzer,尼娅·昆泽尔
Tina Theune,蒂娜·托伊纳-梅耶
Katrin Dörre-Heinig,凱特琳·德爾-海涅格
Walter A. Berendsohn,沃尔特·贝伦松
Adolf Friedrich I.,阿道夫·腓特烈一世
Collin Quaner,柯林·誇納
Diana Gansky,迪安娜·甘斯基
Luise Krüger,路易丝·克吕格尔
Charlotte Roche,夏洛特·罗奇
Susanne Hahn,苏珊妮·哈恩
Konrad Seitz,赛康德
Louise Sophie von Schleswig-Holstein-Sonderburg-Augustenburg,露易丝·苏菲公主
Marie von Baden,瑪麗 ·伊莉莎白·威廉明妮
Gidon Kremer,基東·克雷默
Wilhelm Kempff,威廉·肯普夫
Engin Fırat,恩金·法拉特
Thomas Reineck,托马斯·赖内克
Cody Töpper,柯迪·托珀特
Karl-Heinz Riedle,卡爾-海因茨·里德爾
Carlos Kleiber,卡洛斯·克莱伯
Evelin Kaufer,埃费琳·考费尔
Claudia Rauschenbach,克勞蒂亞
Thomas Flemming,托马斯·弗莱明
Sabine Baeß,扎比内·贝斯
Adolf Friedrich IV.,阿道夫·腓特烈四世
Elvira Possekel,埃尔薇拉·波塞克尔
Hein Heckroth,海因·赫克羅斯
Mathias Richling,马蒂亚斯·里奇林
Adolf Friedrich III.,阿道夫·腓特烈三世
Adolf Friedrich II.,阿道夫·腓特烈二世
Adolf Friedrich Rutenberg,阿道夫·弗里德里希·魯騰貝格
Gustav Schürger,古斯塔夫·许尔格
Horst Dröse,霍斯特·德勒泽
Anel Džaka,阿内尔·扎卡
Burglinde Pollak,布格琳德·波拉克
Jutta Kirst,尤塔·基斯特
Walter Womacka,沃尔特·沃马克
Aaron Hunt,阿隆·亨特
Bruno Müller,布鲁诺·米勒
Richard Alan Meier,理查德·邁耶
Claus von Amsberg,克勞斯親王
Walter Hallstein,沃尔特·哈尔斯坦
Monica Theodorescu,莫妮卡·特奥多雷斯库
Britta Carlson,布里塔·卡尔松
Sarah Günther,萨拉·金特-韦莱因
Franz Joseph Molitor,約瑟夫·弗蘭茨·莫里托
Marc-André ter Stegen,马克-安德烈·特尔·施特根
Henry Hübchen,亨利·哈布臣
Carl Eduard,卡尔·爱德华
Johann Michael Feuchtmayer der Jüngere,约翰·米夏埃尔·费希特梅耶
Louis Paul Lochner,路易斯·P·洛克纳
Gerhard Wagner,格哈德·瓦格纳
Sebastian Deisler,塞巴斯蒂安·代斯勒
Henriette von Mömpelgard,奥尔布的亨利埃特
Gunhild Hoffmeister,贡希尔德·霍夫迈斯特
Barbara von Hessen,黑森的芭芭拉
Manuel Gulde,曼努埃尔·古尔德
Peter Wittig,彼得·維蒂希
Wolfgang Stark,沃尔夫冈·斯塔克
Fabian Ernst,法比安·恩斯特
David Garrett,大卫·卡列特
Benedikt Dyrlich,贝内迪克特·戴利奇
Carl Werner Dankwort,維爾納·丹克沃特
Jutta Müller,茱塔·穆勒
Maria Hellwig,瑪莉亞·赫爾維希
Heike Schulte-Mattler,海克·舒尔特-马特勒
Bärbel Struppert,贝贝尔·施特鲁佩特
Gert Engels,格尔特·恩格斯
Edgar Prib,埃德加·普里布
David Odonkor,大卫·奥东科尔
Clemens Fritz,克莱门斯·弗里茨
Friedrich Albrecht Carl Gren,弗里德里希·格伦
Bogdan Wenta,波格丹·文塔
Gunar Kirchbach,古纳尔·基希巴赫
Heinrich V.,亨利五世
Hermann Schridde,赫尔曼·施里德
Jürgen Schult,于爾根·舒爾特
Karim Haggui,卡里姆·哈吉
İlkay Gündoğan,伊尔卡伊·京多安
José Holebas,何塞·霍萊巴斯
Sophie Dorothea von Hannover,索菲亞·多蘿西婭
Brunhilde Hendrix,布伦希尔德·亨德里克斯
Kerstin Garefrekes,克斯汀·加雷弗雷克斯
Irina Mikitenko,伊琳娜·米基騰科
Kai Hansen,凱伊·漢森
Simon Rolfes,西蒙·罗尔费斯
Gabriele Hinzmann,加布丽埃莱·欣茨曼
Sabine John,扎比内·约翰
Karl-Heinz Irmer,卡尔-海因茨·伊默尔
Karl Heinrich Knappstein,卡爾·海因里希·納普斯坦
Mandy Islacker,曼迪·伊斯拉克
Adriana Hölszky,阿德里安娜·赫尔斯基
Gabriele Kohlisch,加布丽埃莱·科利施
Peggy Schwarz,佩吉·施瓦茨
Achim Stocker,阿希姆·斯托克
Elisabeth von Hessen-Kassel,黑森-卡塞爾的伊莉莎白
Erdmann August von Brandenburg-Bayreuth,厄德曼·奧古斯特
Sigmar Gabriel,西格马尔·加布里尔
Thomas Linke,托马斯·林克
Maria Josepha von Sachsen,萨克森的玛丽·约瑟芬 (1731年–1767年)
Bianca Maria Sforza,比安卡·玛丽亚·斯福尔扎
Karl Schmidt-Rottluff,K. 施密特-鲁特勒夫
Roland Matthes,罗兰·马特斯
Marlies Göhr,瑪莉絲·戈爾
Jale Arıkan,贾列·阿里坎
Nikolaus Mercator,尼古拉斯·墨卡托
Jens Weißflog,詹斯·韦斯弗洛格
Bärbel Wöckel,贝贝尔·韦克尔
Maike Nollen,迈克·诺伦
Manuela Mucke,曼努埃拉·穆克
Kerstin Kielgaß,克斯廷·基尔加斯
Arne Jacobsen,阿纳·雅各布森
Carl Heinrich Graun,卡爾·海因里希·格勞恩
Auguste Viktoria von Schleswig-Holstein-Sonderburg-Augustenburg,奥古斯塔·维多莉亚
Dora Köring,多蘿西婭·科林
Johannes Kaiser,约翰内斯·凯泽
Nadine Angerer,娜丁·安格勒
Günther Neureuther,金特·诺伊罗伊特
Nelli Nailjewna Schiganschina,涅利·芝甘辛娜
Klaus-Dietrich Flade,克劳斯-迪特里希·弗拉德
Kirsten Emmelmann,基尔斯滕·埃梅尔曼
Andreas Meyer-Landrut,安德雷亚斯·邁爾-蘭德魯特
Ernst von Possart,恩斯特·馮·波薩特
Ernst Woermann,韋爾曼
Heinrich LXXII.,亨利七十二世
Abroo,阿布罗
Christian Clemens,克里斯蒂安·克萊門斯
Alfons Mumm von Schwarzenstein,穆默
Wendelin Werner,文德林·維爾納
Ewa Wiśnierska,Ewa Wiśnierska-Cieślewicz
Birgit Treiber,比吉特·特赖贝尔
Cornelia Polit,科尔内利娅·波利特
Ina Kleber,伊娜·克勒贝尔
Carmela Schmidt,卡梅拉·施密特
Robert Rauschenberg,羅伯特·勞森伯格
Gottfried Fuchs,戈特弗里德·富克斯
Markus Münch,马库斯·明希
Tanja Kolbe,坦娅·科尔贝
Tolgay Arslan,阿斯兰
Alberto Sterz,阿尔伯特·斯泰尔茨
Chris Löwe,克里斯·洛維
Heinrich von Schmidt,海因里希·冯·施密特
Meike Evers-Rölver,迈克·埃弗斯
Thomas Dehler,托马斯·德勒
Qianhong Gotsch,何千紅
Hans Baldung,汉斯·巴尔东·格里恩
Gerhard Richter,格哈德·里希特
Reinhold Ewald,莱因霍尔德·埃瓦尔德
Hermann Obrist,赫尔曼·奥布里斯特
Reinhard Furrer,莱因哈德·富勒尔
Gabriela Grillo,加布里埃拉·格里洛
Astrid Strauß,阿斯特丽德·施特劳斯
Marina Wilke,玛丽娜·维尔克
Petra Overzier,佩特拉·雷赫尔
Anton Matthias Sprickmann,安东·马蒂亚斯·施普里克曼
Charlotte Berend-Corinth,夏洛特·貝倫德-科林斯
Loris Karius,洛里斯·卡利奧斯
Ella Zeller-Constantinescu,埃拉·泽勒
Ilona Richter,伊洛娜·里希特
Berndt von Staden,貝恩特·馮·施塔登
Clemens August von Bayern,巴伐利亞的克雷門斯·奧古斯都
Horst Weigang,霍斯特·魏冈
Armin Mueller-Stahl,阿明·缪勒-斯塔尔
Gerhard Thiele,格哈德·蒂勒
Anni Holdmann,安妮·霍尔德曼
Reinhard Libuda,莱因哈德·利布达
Ernst Messerschmid,恩斯特‧梅塞施密德
Hans Leo Haßler,H.L. 哈斯勒
Thietmar von Merseburg,梅泽堡的蒂特玛
Georg Baselitz,格奥尔格·巴泽利茨
Herbert Grönemeyer,赫伯特·格林邁爾
Sergiu Celibidache,谢尔盖·切利比达奇
Sven Bender,斯文·本德
Adolf von Harnack,阿道夫·哈纳克
Reinhard Mey,莱因哈德·梅伊
Kerstin Köppen,克斯廷·克彭
Max Beckmann,马克斯·贝克曼
Marie-Louise Dräger,玛丽-路易丝·德雷格尔
Daniel Brückner,丹尼尔·布吕克纳
Martin Stoll,马丁·施托尔
Martina Schröter,马丁娜·施勒特尔
Vahid Haschemian,瓦希德·哈什米安
Paul Landers,保罗·兰德斯
Kristina Mundt,克里斯蒂娜·蒙特
Thomas Reiter,托马斯·莱特尔
Alfons Lütke-Westhues,阿尔方斯·吕特克-韦斯特许斯
Kornelia Grummt-Ender,科内莉亚·恩德
Günter Rittner,君特·里特納
Christian Pander,克里斯蒂安·潘德尔
Hildegard Hamm-Brücher,希爾德加德·哈姆·布呂歇爾
Ulf Merbold,乌尔夫·默博尔德
Achim Bröger,阿希姆·布罗格
Carl zu Solms-Braunfels,普魯士的卡爾王子
Wolfgang Stegmüller,沃夫冈·施特格穆勒
Christian Wörns,克里斯蒂安·沃恩斯
Adolf Oehlen,阿道夫·厄伦
Klaus Allofs,克勞斯·阿洛夫斯
Markus Oehlen,马库斯·厄伦
Ulrich Walter,烏利希·瓦爾特
Max Tau,馬克斯·陶特
Friedrich Heinrich von Seckendorff,弗里德里希·海因里希·馮·塞肯多夫
Joseph Buttinger,約瑟夫·布廷格
Leopold von Braunschweig-Wolfenbüttel,不倫瑞克-沃爾芬比特爾的利奧波德
Wilhelm Mahlow,威廉·马洛
Jörg Zimmermann,齐懋曼
Roswitha Krause,罗斯维塔·克劳泽
Gustav von Schmoller,古斯塔夫·冯·施莫勒
Karin Metze,卡琳·梅策
Patrick Owomoyela,帕特里克·奥沃莫耶拉
Dorkas Kiefer,多卡斯·基弗
Jens Jeremies,延斯·耶雷米斯
Adolf Meyer-Abich,阿道夫·迈尔-阿比希
Achim Hagemann,阿希姆·哈格曼
Wolfgang Stresemann,沃尔夫冈·斯特斯曼
Adolf Möller,阿道夫·默勒
Ralf Fährmann,拉爾夫·費爾曼
Johann Adam Hiller,约翰·亚当·席勒
Alex Meier,亞歷山大·邁爾
Axel Bellinghausen,阿克塞爾·貝林豪森
Matthias Zimmermann,马蒂亚斯·齐默曼
Klaus Schulze,克劳斯·舒尔策
Zbigniew Kaczmarek,兹比格涅夫·卡奇马雷克
Alexandra Popp,亚历山德拉·波普
Elisabeth von Luxemburg,盧森堡的伊麗莎白
Boris Vukčević,博里斯·武克切维奇
Gottfried Wilhelm Fink,戈特弗里德·威廉·芬克
Christian Süß,克里斯蒂安·苏斯
Christian Schräer,克里斯蒂安·施拉爾
Robert Fleßers,罗伯特·弗雷瑟斯
Karl von Eisendecher,卡尔·冯·艾森德彻
Otto von der Gablentz,奥托·冯·德·加布伦茨
Albert Methfessel,阿尔伯特·梅特费塞尔
Bruno Petzold,布魯諾·佩佐德
Sven Fischer,斯文·菲舍尔
Achim Hübner,阿奇姆·胡伯纳
Ömer Toprak,托普拉克
David Daube,大衛·杜伯
Karin Kschwendt,凱琳·科溫特
Alexander Baumjohann,亚历山大·鲍姆约翰
Luise von Sachsen-Gotha-Altenburg,露易丝郡主
Eleonore Juliane von Brandenburg-Ansbach,艾蕾諾爾·朱麗安妮
Paul Wandel,保罗·汪戴尔
Xu Huaiwen,徐怀雯
Jutta Niehaus,尤塔·尼豪斯
Ashkan Dejagah,阿什坎·德贾加
Frank Schaefer,弗兰克·沙费尔
Oskar Gröning,奧斯卡·格勒寧
A. R. Penck,A·R·彭克
Johann Heinrich Schönfeld,約翰·海因里希·舍恩菲爾德
Felix Kroos,菲利克斯·克羅斯
Hans Kroll,漢斯·柯洛
Eva Hesse,伊娃·海瑟
Helmut Berthold,赫尔穆特·贝特霍尔德
Thorsten Burkhardt,托斯腾·布克哈特
Wilhelm Heinrich I von Nassau-Usingen,威廉·海因里希 (拿騷-烏辛根)
Achim Reichel,阿希姆·萊切爾
Veronika Schmidt,薇罗妮卡·施密特
Lutz Dombrowski,卢茨·东布罗夫斯基
Matthias Flacius,伊利里库斯·弗拉齐乌斯
Ernst Lehner,恩斯特·列纳
Hans Hofmann,汉斯·霍夫曼
Konrad I.,康拉德一世
Bernhard II.,比隆公爵貝恩哈德二世
Adolf Rott,阿道夫·罗特
Carsten Ramelow,卡斯滕·拉梅洛
Monika Debertshäuser,莫妮卡·德贝茨霍伊泽
Gerd Wessig,格尔德·韦西希
Helmut Cämmerer,赫尔穆特·克默雷尔
Jermaine Jones,傑梅英·瓊斯
Maurice Banach,莫里斯·巴纳赫
Johannes Herbert,约翰内斯·赫伯特
Nico Ihle,尼克·伊勒
Wilfried Soltau,维尔弗里德·佐尔陶
Prinzessin Maria Elisabeth von Bayern,瑪利亞·伊麗莎白王妃 (巴伐利亞)
Otto von Freising,弗萊辛的奧托
Käthe Grasegger,克特·格拉泽格尔
Jana Pallaske,珍娜·帕娜斯克
Gottlieb von Jagow,戈特利布·冯·贾戈
Artur Brauner,艾特·布奥尼
Anja Schneiderheinze,安雅·施奈德海因策
Reinhard Keiser,赖因哈德·凯泽
Lucille Weber,露西尔·奥皮茨
Karen Forkel,卡伦·福克尔
Florian Schneider-Esleben,弗羅利恩·施奈德
Achim Wolff,阿齐姆·沃尔夫
Maxi Gnauck,玛克西·格瑙克
Curt Bräuer,库尔特·布罗埃尔
Martina Seidl,马丁娜·策尔纳
Andreas Osiander,安德烈亚斯·奥西安德
Anna Hübler,安娜·许布勒
Melanie Behringer,梅拉妮·贝林格
Joachim Streich,约阿希姆·施特赖希
Yannick Lebherz,亞尼克·列赫兹
Andreas Dibowski,安德烈亚斯·迪博夫斯基
Anja Rücker,安雅·吕克尔
Erwin Geschonneck,埃尔温·格绍内克
Christine Errath,克里斯蒂娜·埃拉特
Ruth Halbsguth,露特·哈尔布斯古特
Bruno Massot,布鲁诺·马索
Armin D. Lehmann,阿明·迪特尔·莱曼
Grete Stern,格蕾特·斯特恩
Max von Brandt,馬克斯·馮·巴蘭德
Stefan Kuntz,斯特凡·昆茨
Marco Bode,波德
Martina Müller,马丁娜·米勒
Hans-Joachim Reske,汉斯-约阿希姆·雷斯克
Karoline Luise von Hessen-Darmstadt,卡罗利妮·路易丝·冯·黑森-达姆施塔特
George L. Mosse,格爾奧格·摩瑟
Nadja Tiller,娜佳·蒂勒
Johann Arnold Nering,約翰·阿諾德·內寧
Sigrun Siegl,西格伦·西格尔
Yvonne Catterfeld,伊芳·卡特菲
Helen Langehanenberg,海倫·朗格哈寧伯格
Wolfgang Lüth,沃爾夫岡·呂特
Jonas Cohn,乔纳斯·科恩
Dieter Dengler,迪特爾·丹格拉
Hans-Peter Briegel,漢斯-皮特·布里格爾
Margit Schumann,玛吉特·舒曼
Ossi Reichert,奥西·赖歇特
Leopold,利奧波德四世
Andreas Bredau,安德烈亚斯·布雷道
Jan-Ingwer Callsen-Bracker,揚-英沃·卡爾森-布拉克
Ferydoon Zandi,費里杜恩·贊迪
Sandra Minnert,桑德拉·敏内特
Adak Azdasht,阿达克·阿兹达什特
Arnel Taci,阿内尔·塔希
Silvia Neid,西爾維婭
Erna Berger,艾尔娜·贝尔格
Anna Sophia von Hessen-Darmstadt,安娜·索菲亞
Steffi Jones,斯特菲·琼斯
Unica Zürn,乌尼卡·族恩
Lisa Tetzner,麗莎·泰茲納
Otto Heinrich von Gemmingen-Hornberg,奥托·海因里希二世·冯·格明根-霍恩贝格
Karl Philipp Moritz,莫利茨
Carla Bodendorf,卡拉·博登多夫
Kerstin Behrendt,克斯廷·贝伦特
Bernhard Cullmann,伯恩哈德·库尔曼
Friedrich Franz Herzog zu Mecklenburg,弗里德里希·弗朗茨五世
Friedrich Nicolai,弗里德里希·尼古拉
Erwin Wickert,魏克德 (德國外交官)
Alfred Pfaff,阿尔弗雷德·普法夫
Violetta Oblinger-Peters,奥莱塔·奥布林格-彼得斯
Emily Ruete,埃米莉·鲁伊特
Monique Garbrecht-Enfeldt,莫妮克·加布雷希特-恩费尔特
Sabine Völker,扎比内·弗尔克尔
Christiane Wartenberg,克里斯蒂安娜·瓦滕贝格
Werner Hamel,维尔纳·哈梅尔
Udo Lattek,乌多·拉特克
Hans Haußmann,汉斯·豪斯曼
Heinz Raack,海因茨·拉克
Heinz Wöltje,海因茨·韦尔特耶
Heinz Förstendorf,海因茨·弗斯滕多夫
Detlef Okrent,德特勒夫·奥克伦特
Klaus Schütz,克勞斯·舒茨
Werner Proft,维尔纳·普罗夫特
Marita Lange,玛丽塔·朗格
Paul Kellner,保罗·克尔纳
Adalbert I. von Saarbrücken,美茵茨大主教阿德爾伯特
Ellen Braumüller,埃伦·布劳米勒
Marie Elisabeth von Schleswig-Holstein-Gottorf,瑪麗·伊莉莎白
Peter Max,彼得·馬克斯
Michael Schaefer,施明賢
Carl Schuricht,卡尔·舒李希特
Felix Graf von Luckner,费利克斯·冯·卢克纳尔
Hugo Haase,胡戈·哈泽
Birte Siech,比尔特·西希
Adalbert von Bayern,阿達爾貝特王子
Stephan Kekule,斯蒂芬·凯库莱·冯·斯特拉多尼茨
Gesine Schwan,格西娜·施万
Ricardo Wolf,里卡多·沃爾夫
Jasmin Glaesser,贾丝敏·杜林
Nick Proschwitz,尼克·普罗施维茨
Magdalena von Brandenburg,勃兰登堡的玛德莲娜
Friedrich Leopold von Preußen,普魯士的腓特烈·利奧波德
Ursula Lehr,厄休拉·勒赫尔
Friederike von Württemberg,符騰堡的弗里德里卡
Susanne Klatten,苏珊娜·克拉滕
Adalbert Rückerl,阿達爾柏特·魯克洛爾
Adam Bodzek,亚当·博泽克
Ramona Portwich,拉莫娜·波特维希
Edmund Friedrich Gustav von Heyking,海靖
Judith Kerr,朱迪斯·克尔
Auguste von Baden-Baden,巴登-巴登的奧古斯特公爵夫人
Ruth Berghaus,露特·贝格豪斯
Manuel Ott,曼努埃尔·奥特
Edmund Veesenmayer,艾德蒙德·费森迈耶
Theodor Haag,特奥多尔·哈格
Erich Cuntz,埃里克·孔茨
Werner Freyberg,维尔纳·弗赖贝格
Georg Brunner,格奥尔格·布伦纳
Kurt Weiß,库尔特·魏斯
Erwin Franzkowiak,埃尔温·弗朗茨科维亚克
Herbert Hobein,赫伯特·霍拜因
Gerd Strantzen,格尔德·施特兰岑
Rudolf Warnholtz,蒂托·瓦恩霍尔茨
Adalbert von Bremen,阿德尔伯特
Hermann Auf der Heide,赫尔曼·奥夫德海德
Kurt Haverbeck,库尔特·哈弗贝克
Rolf Wollner,罗尔夫·沃尔纳
Aribert Heymann,阿里贝特·海曼
Edi Ziegler,埃迪·齐格勒
Theodor Thomsen,特奥多尔·汤姆森
Wilhelm Waßmuß,瓦思穆斯
Peter Ernst II. von Mansfeld,恩斯特.馮.曼斯費爾德
Halina Herrmann,哈利娜·戈雷卡
Daniela Neunast,达妮埃拉·诺伊纳斯特
Kurt Malisch,保罗·马利施
Siegfried Kasche,齊格菲·卡斯克
Albert O. Hirschman,阿爾伯特·赫希曼
Claudia Brücken,克劳迪娅·布鲁肯
Dorothee Schneider,多罗特·施奈德
Maxim Vengerov,麥可辛·凡格羅夫
Karl von Sachsen,薩克森的卡爾
Arnd Peiffer,安德·派弗尔
Jörg Schmidt,约尔格·施密特
Margarete Elisabeth von Leiningen-Westerburg,瑪格麗特·伊莉莎白
Hans-Peter Annen,汉斯-彼得·安能
Kathrin Haacker,卡特琳·哈克
Elisabeth von Hessen,黑森的伊丽莎白
Heinrich XI.,亨里克十一世
Silke Hörner,西尔克·赫纳
Maren Meinert,玛伦·迈内特
Nahum Goldmann,納烏姆·戈德曼
Johann Tobias Mayer,約翰·托比亞斯·梅耶爾
Salomon Bochner,薩洛蒙·博赫納
Lothar Nordheim,羅特哈·諾德海姆
Dany Heatley,丹尼·希特利
Dorothea von Dänemark,丹麥的多蘿西亞
Annegret Strauch,安妮格雷特·施特劳赫
Judith Zeidler,尤迪特·蔡德勒
Ralf Schulenberg,拉尔夫·舒伦贝格
Robert Lechner,罗伯特·莱希纳
Anette Rückes,阿妮特·吕克斯
Tim Wallburger,蒂姆·沃伯格
Fritz Bauer,佛列茲·鮑爾
Max Erwin von Scheubner-Richter,路德维希·馮·施勃纳－里希特
Alfred Schmidt,艾尔弗雷德·施密特
Rebecca Horn,瑞貝卡·霍恩
Ellen Streidt,埃伦·施特赖特
Marion Rodewald,玛丽昂·罗德瓦尔德
Eric Knittel,埃里克·克尼特尔
Daniel Gottlob Türk,蒂爾克
Axel Springer,阿克塞爾·施普林格
Frank Pfütze,弗兰克·普菲策
Navina Omilade,纳菲娜·奥米拉德
Murad Wilfried Hofmann,穆拉德·威爾弗里德·霍夫曼
Petra Thümer,彼得拉·蒂默
Dominik Kaiser,多米尼克·凯泽
Adam Eberle,亞當·艾伯勒
August Georg Simpert,奧古斯特·格奧爾格 (巴登-巴登)
Franz Karl von Velbrück,弗朗茨·卡尔·德·韦尔布吕克
Adolf Ziegler,阿道夫·齐格勒
Aaron Altaras,艾伦·阿尔塔拉斯
Max Butting,馬克斯·邦廷
Gunther Plaut,冈瑟·普劳特
Christiane Köpke,克里斯蒂安娜·克普克
Aaron Hildebrand,亚伦·希尔德布兰德
Carlos Lehder Rivas,卡洛斯·莱德
Gabriele Kühn,加布丽埃莱·屈恩
Sina Schielke,妡娜·席爾克
Sabine Becker,扎比内·贝克尔
Ulrike Richter,乌尔丽克·里希特
Markus Mendler,马库斯·门德勒
Ludwig II.,路德維克二世
Denis Thomalla,丹尼斯·托马拉
Karl Anselm von Thurn und Taxis,卡爾·安瑟爾姆
Adolf von Hildebrand,阿道夫·冯·希尔德布兰
Ernst zu Mecklenburg,梅克倫堡的恩斯特·戈特洛布
Elsa von Freytag-Loringhoven,艾莎·馮·費萊塔格-蘿玲霍芙
Rudolf Rahn,鲁道夫·拉恩
Max Herre,马克斯·海尔
Fritz Messner,弗里茨·梅斯纳
Eric Maxim Choupo-Moting,馬克西姆·舒波-莫廷
Dagmar Käsling,达格玛·克斯林
