"Гройс, Борис Ефимович",鮑里斯·格羅伊斯
Вячеслав Сергеевич Караваев,維亞切斯拉夫·謝爾蓋耶維奇·卡拉瓦耶夫
"Аверина, Арина Алексеевна",艾莉娜·阿維林娜
"Аверина, Дина Алексеевна",迪娜·阿維林娜
Юрий Иванович Борисов,尤里·鮑里索夫
"Смирнова, Екатерина Васильевна",叶卡捷琳娜·斯米尔诺娃
Елена Мстиславовна Ростропович,埃琳娜·罗斯特罗波维奇
"Порублев, Игорь Владимирович",伊戈尔·波鲁布列夫
Максим Викторович Дёмин,马克西姆·德明
Александр Юрьевич Бородай,亞歷山大·博羅代
Ольга Кэй,奧爾加·凱
Жора Крыжовников,佐拉·克里佐夫尼科夫
"Воронкова, Ирина Андреевна",伊琳娜·沃隆科娃
Ирина Щербакова,伊琳娜·谢尔巴科娃
"Кляйн, Иван Григорьевич",伊凡·克莱恩
Александр Александрович Козлов,亚历山大·亚历山德罗维奇·科兹洛夫
"Киняпина, Нина Степановна",妮娜·斯捷潘諾芙娜
Екатерина Болотова,葉卡捷琳娜·瑪爾科娃
"Тимошинина, Юлия Владимировна",尤利婭·蒂摩西寧娜
"Коньков, Павел Алексеевич",帕维尔·阿列克谢耶维奇·孔科夫
Малком,马尔科姆
Дато Фоланд,拿督·佛兰德
Гоар Вартанян,戈阿尔·瓦尔塔尼扬
"Максимова, Анастасия Ивановна",阿納斯塔西婭·瑪西莫娃
Юрий Александрович Коков,尤里·科科夫
Алексей Геннадьевич Кокорин,阿列克谢·根纳季耶维奇·科科林
Семён Трескунов,谢苗·特列斯库诺夫
Антон Иванов,安东·伊万诺夫
"Стоцкий, Дмитрий Валерьевич",史托斯基
Виталик Бутерин,Vitalik Buterin
Мишик Казарян,米什克·卡扎良
Антон Игоревич Калалб,安东·卡拉布
Анастасия Андреевна Ильянкова,阿納斯塔西婭·伊利揚科娃
Надежда Канаева,纳迪亚·卡纳耶娃
Евгений Анатольевич Микрин,叶夫根尼·米克林
Антон Маркович Виноградов,安东·维诺格拉多夫
Дарья Белова,达里亚·贝洛娃
Дарья Евгеньевна Дмитриева,戴莉亞·迪米崔耶娃 (手球運動員)
"Стрелков, Игорь Иванович",伊戈尔·斯特列尔科夫
Антон Олегович Швец,安東·施瓦茨
"Коновалов, Иван Павлович",伊万·高诺华洛夫
Сергей Алимович Меликов,謝爾蓋·梅利科夫
"Самонов, Александр Александрович",亚历山大·萨莫诺夫
Роман Майкин,羅曼·麥金
Игорь Викторович Кошин,伊戈尔·维克托罗维奇·科申
"Павловский, Вячеслав Альфредович",维亚切斯拉夫·阿利夫列多维奇·帕夫洛夫斯基
Юлия Сергеевна Ступак,尤利婭·別洛魯科娃
"Куваева, Оксана Витальевна",奥克萨娜·维塔利耶芙娜·库瓦耶娃
"Спиридонова, Дарья Сергеевна",達莉亞·斯皮里多諾娃
Дарья Сергеевна Касаткина,黛莉亞·卡薩特金娜
"Горячева, Татьяна Вадимовна",塔季扬娜·瓦季莫芙娜·戈里亚切娃
Денис Владимирович Пушилин,丹尼斯·普希林
"Трегулова, Зельфира Исмаиловна",泽尔菲拉·特列古洛娃
"Локтев, Виталий Феоктистович",维塔利·洛克捷夫
"Лопухин, Владимир Михайлович",弗拉基米尔·米哈伊洛维奇·洛普欣
"Махаева, Зайнаб Алиевна",扎伊纳布·马哈伊娃
"Моисеев, Вячеслав Иванович",莫叶谢耶夫瓦切谢斯拉夫伊万诺维奇
Мафик,马菲克
"Семёнов, Кирилл Евгеньевич",基里尔·谢苗诺夫
"Шенфельд, Антон Евгеньевич",安東·錫菲爾德
"Пегов, Дмитрий Владимирович",德米特里·别哥夫
Евгений Германович Водолазкин,叶夫根尼·沃多拉兹金
"Наниев, Тимур Русланович",铁木尔·纳尼耶夫
Николай Владленович Николаев,尼古拉·弗拉德诺维奇·尼古拉耶夫
"Красильников, Вячеслав Борисович",維亞切斯拉夫·克拉西爾尼科夫
Андрей Витальевич Ларьков,安德烈·拉科夫
Ангелина Романовна Мельникова,安格利娜·梅利妮科娃
Игорь Владимирович Корнелюк,伊戈尔·弗拉基米罗维奇·科尔内柳克
"Клименко, Артём Анатольевич",阿爾喬姆·克林姆恩戈
Айаал Лазарев,艾阿尔·拉扎列夫
"Маркин, Евгений Леонидович",马尔金·叶甫根尼·列昂尼多维奇
"Мельников, Виталий Викторович",维塔利·梅利尼科夫
"Тутхалян, Седа Гургеновна",謝達·圖特哈良
"Горячев, Сергей Евгеньевич",谢尔盖·叶夫根尼耶维奇·戈里亚切夫
Андрей Сергеевич Никитин,安德烈·谢尔盖耶维奇·尼基京
Кужугет Сереевич Шойгу,茹格特·绍伊古
Александра Яковлевна Шойгу,亚历山德拉·绍伊古
Константин Игоревич Плиев,康斯坦丁·普利耶夫
"Пронкин, Валерий Александрович",瓦列里·普隆金
"Полетаев, Виктор Евгеньевич",維克托·波雷特夫
Ирина Александровна Шойгу,伊琳娜·绍伊古
Юлия Сергеевна Шойгу,尤利亚·绍伊古
Шойгу Ксения Сергеевна,克塞尼娅·绍伊古
Виктория Дергунова,维多利亚·德尔根诺娃
Илья Щербинин,伊利亚·谢尔比宁
Виктор Хориняк,维克多·霍里尼亚克
"Попкова, Анастасия Борисовна",阿纳斯塔西娅·波普科娃
Александр Зинченко,亚历山大·津琴科
Андрей Олегович Лазукин,安德烈·拉祖金
Арсен Сергеевич Павлов,阿尔森·帕夫洛夫
"Николаев, Владимир Вячеславович",弗拉基米尔·尼古拉耶夫
"Прусакова, Мария Александровна",玛丽亚·亚历山德罗芙娜·普鲁萨科娃
Александр Александрович Ремезков,亚历山大·列梅兹科夫
"Шашков, Виталий Валентинович",維塔利·瓦連京諾維奇·沙什科夫
Пётр Савельевич Чубик,彼得·萨维利耶维奇·丘比克
"Кудрявцев, Денис Александрович",丹尼斯·库德里亚夫采夫
"Королёв, Евгений Валерьевич",叶夫根尼·科罗廖夫
"Красных, Александр Владимирович",亚历山大·克拉斯内赫
Алёна Шишкова,阿廖娜·希什科娃
Евгений Георгиевич Попов,叶夫根尼·格奥尔基耶维奇·波波夫
"Похлебаев, Михаил Иванович",米哈伊尔·伊万诺维奇·波赫列巴耶夫
Андрей Рублёв,安德烈·卢布列夫
Тимур Марселевич Сафин,季穆尔·萨芬
Иван Константинович Сухарев,伊万·苏哈列夫
Андрей Крыжний,安德烈·克雷日尼
Владимир Владимирович Сычев,弗拉基米尔·西乔夫
"Вахрушев, Даниил Васильевич",丹尼尔·瓦赫鲁舍夫
Алиса Кожикина,阿利萨·科茨基纳
Илья Алексеевич Молтенинов,伊利亚·莫尔泰尼诺夫
"Овчинников, Лев Павлович",列夫·帕夫洛维奇·奥夫钦尼科夫
"Санкин, Тимур Владимирович",铁木尔桑金
"Ахаимова, Лилия Игоревна",莉莉婭·阿哈伊莫娃
Владлена Эдуардовна Бобровникова,弗拉德雷娜·波伯羅夫妮柯瓦
Ислам Рамазанович Махачев,伊斯兰姆·马哈切夫
Роман Ришатович Сафиуллин,羅曼·薩菲烏林
"Просвирнова, Софья Сергеевна",索菲娅·普罗斯维尔诺娃
"Стретович, Иван Алексеевич",伊万·斯特列托维奇
"Нордман, Эдуард Болеславович",爱德华·博得斯达沃维奇·诺德曼
"Смирнов, Леонид Андреевич",列昂尼德·安德烈耶维奇·斯米尔诺夫
"Ивановский, Олег Генрихович",奧列格·伊凡諾夫斯基
"Шапошников, Алексей Валерьевич",阿列克谢·沙波什尼科夫
София Кенин,索菲亞·凱文
Антон Геннадьевич Пампушный,安东·潘普什尼
Иван Владимирович Сергеев,伊万·谢尔盖耶夫
"Скворцов, Руслан Васильевич",鲁斯兰·斯克沃尔佐夫
"Савольский, Игорь Сергеевич",伊戈尔·谢尔盖耶维奇·萨沃利斯基
Юльен Сергеевич Балмусов,尤连·谢尔盖耶维奇·巴尔穆索夫
Андрей Юрьевич Брежнев,安德烈·尤里耶維奇·勃列日涅夫
"Панков, Павел Вадимович",帕維爾·潘科夫
Дми́трий Сергеевич Алиев,德米特里·阿列夫
Лидия Вергасова,利季娅·帕夫洛夫娜·维尔加索娃
Александр Васильевич Богомаз,亚历山大·瓦西里耶维奇·博格马兹
"Фадин, Виктор Сергеевич",维克多·法丁
"Воробьёва, Александра Андреевна",Саша Воробьева
Алексей Александрович Червоткин,阿列克谢·切尔沃特金
Хайрулла Хабибуллович Муртазин,卡依盧拉·穆爾塔津
Кристина Пименова,克里斯蒂娜·皮缅诺娃
Богданов Виктор Иванович,维克多·博格达诺夫
"Бойко, Александра Леонтьевна",亞歷山德拉·博伊科
Эдуард Гусев,愛德華·古謝夫
"Баширов, Марат Фаатович",马拉特·法阿托维奇·巴希罗夫
"Левиев, Лев Бинзумович",列夫·利维斯
"Кричевский, Григорий Александрович",格里高利·亚历山德罗维奇·克里切夫斯基
Александр Михайлович Сергеев,亚历山大·米哈伊洛维奇·谢尔盖耶夫
Станислав Соловкин,斯坦尼斯拉夫·索洛夫金
Наталья Вихлянцева,娜塔莉亚·维赫良采娃
"Георгиев, Александр Георгиевич",亚历山达·格奥尔基耶夫
"Михайлин, Михаил Анатольевич",米哈伊爾·阿納托利耶維奇·米哈伊林
Денис Николаевич Вороненков,杰尼斯·沃罗年科夫
Иван Савицкий,Ivan Savitskiy
Shena?,安娜·舒尔金娜
"Петров, Антон Геннадьевич",安东·彼得罗夫
Виталий Викторович Бахметьев,维塔利·巴赫梅季耶夫
Олег Вячеславович Ужинов,奥列格·乌日诺夫
Олег Олегович Костин,奥列格·科斯京
Александр Владимирович Бречалов,亚历山大·布列恰洛夫
Евгений Сергеевич Москвичёв,叶夫根尼·莫斯克维切夫
Николай Васильевич Панков,尼古拉·瓦西里耶维奇·潘科夫
Алекс Озеров,亚历克斯·奥泽罗夫
"Хасанов, Мурат Русланович",穆拉特·哈桑诺夫
Хасан Магометович Халмурзаев,哈桑·哈尔穆尔扎耶夫
"Езубов, Алексей Петрович",阿列克谢·叶祖博夫
Елена Комендровская,埃琳娜·科门德鲁夫斯卡亚
Регина Лялейките,列吉娜·利亞雷基
"Шайтар, Виктор Викторович",维克多·沙塔
"Ахмеров, Ильдар Фердинандович",伊利达尔·阿赫梅罗夫
Сергей Сергеевич Лапочкин,谢尔盖·拉波希金
"Конашенков, Игорь Евгеньевич",伊戈尔·科纳申科夫
"Горячев, Илья Витальевич",伊利亚·维塔利耶维奇·戈里亚切夫
Геннадий Сергеевич Губин,根纳季·谢尔盖耶维奇·古宾
Федяев Павел Михайлович,帕维尔·费佳耶夫
"Денисов, Валерий Иосифович",瓦列里·伊奥西福维奇·杰尼索夫
"Воложинский, Андрей Ольгертович",安德烈·沃洛任斯基
"Нефёдов, Александр Сергеевич",亚历山大·内菲奥多夫
Илья Куликов,伊利亚·库利科夫
Алексей Игоревич Еськов,阿列克谢·埃斯科夫
Мария Владимировна Воронцова,玛丽亚·沃龙佐娃
Александра Бортич,亚历山德拉·伯蒂奇
Сергей Викторович Дудаков,謝爾蓋·杜達科夫
"Касьяненко, Евгений Леонидович",叶夫根尼·卡斯亚宁科
"Толкачёва, Мария Юрьевна",玛丽亚·托尔卡切娃
"Безденежных, Игорь Игоревич",伊戈尔·贝兹德尼齐克
"Никитчук, София Викторовна",索菲娅·尼基丘克
Крэйвен-охотник,安娜·克拉维诺夫
Henessy,赫内西
Кирилл Алексеевич Алексеенко,基里尔·阿列克谢延科
Владимир Сергеевич Кузнецов,弗拉基米尔·谢尔盖耶维奇·库兹涅佐夫
"Лазарев, Алексей Викторович",阿历克谢
"Селезнёв, Валерий Сергеевич",瓦列里·谢列兹尼奥夫
Софинар Григорян,萨菲纳兹
Яна Вагнер,雅娜·瓦格納
"Костюченко, Елена Геннадьевна",叶莲娜·科斯秋琴科
Даниил Дмитриевич Фомин,丹尼尔·佛明
"Данилкин, Егор Романович",叶戈尔·丹尼尔金
"Ларин, Владислав Владимирович",弗拉迪斯拉夫·拉林
"Харитонов, Даниил Сергеевич",丹尼尔·哈里托诺夫
Федот Семёнович Тумусов,费多特·图穆索夫
"Макарчук, Артём Евгеньевич",阿蒂姆·马卡彻克
"Ефимов, Виталий Борисович",维塔利·鲍里索维奇·叶菲莫夫
"Мельников, Иван Валерьевич",伊万·瓦列里耶维奇·梅利尼科夫
"Шлейхер, Никита Дмитриевич",尼基塔·施萊克爾
Анфиса Максимовна Черных,安菲萨·切尔尼赫
"Абрамочкин, Юрий Васильевич",尤里·阿布拉莫奇金
Анна Юрьевна Кикина,安娜·基金娜
Ульяна Сергеенко,优丽亚娜·瑟吉安科
"Воронина, Наталья Сергеевна",娜塔莉亚·沃罗宁娜
Павел Якушевский,帕维尔·亚库舍夫斯基
"Хисамов, Искандер Аминович",伊斯坎德尔·希萨莫夫
"Шикшин, Илья Валерьевич",伊利亚·什克辛
Виктория Слободянюк,维多利亚·斯洛博贾努克
"Смирнов, Виктор Владимирович",维克托·弗拉基米罗维奇·斯米尔诺夫
Георгий Васильевич Ковенчук,格奥尔吉·瓦西列维奇·科维丘克
"Бердышев, Анатолий Васильевич",阿纳托利·瓦西里耶维奇·别尔德舍夫
Ангелина Александровна Габуева,安吉丽娜·加布埃娃
"Бирюкова, Юлия Сергеевна",尤利娅·比留科娃
Леван Емзарович Горозия,L'One
Дмитрий Викторович Живоглядов,德米特里·日沃格利亚多夫
"Благонравов, Александр Александрович",亚历山大·亚历山德罗维奇·布拉贡拉沃夫
Ivan Spell,伊万·斯派
Владимир Николаевич Дьяченко,弗拉基米尔·尼古拉耶维奇·佳琴科
"Александров, Иван Петрович",伊万·彼得罗维奇·亚历山德罗夫
"Лабазанов, Ибрагим Сулейманович",易卜拉欣·拉巴扎诺夫
"Казинская, Кристина Тарасовна",克里斯蒂娜·卡琴斯卡娅
Мирослава Дума,米罗斯拉娃·杜马
Эдуард Александрович Басурин,爱德华·巴苏林
Елена Владимировна Спиридонова,埃琳娜·弗拉基米罗芙娜·斯皮里多诺娃
Мария Ивановна Путина,玛丽亚·伊万诺夫娜·普京娜
Зеленская Елена Эмильевна,叶莲娜·泽连斯卡娅
Александр Иванович Ленцов,亚历山大·连措夫
Виктор Алексеевич Озеров,维克托·奥泽罗夫
"Бокашевская, Галина Анатольевна",加琳娜·博卡舍夫斯卡娅
Натела Дзаламидзе,纳特拉·达拉米泽
Игорь Аркадьевич Ротенберг,伊戈尔·罗滕贝格
Антон Дмитриевич Волошин,安东·德米特里耶维奇·沃罗申
"Федоренко, Никита Викторович",尼基塔·费多伦科
Мария Владимировна Захарова,玛丽亚·扎哈罗娃
Галина Иннокентьевна Данчикова,加琳娜·因诺肯季耶芙娜·丹契科娃
Владимир Спиридонович Путин,弗拉基米尔·斯皮里多诺维奇·普京
"Ридзик, Сергей Сергеевич",谢尔盖·里齐克
"Школьников, Алексей Михайлович",阿列克谢·米哈伊洛维奇·什科利尼科夫
"Зверева, Ольга Дмитриевна",奥尔加·兹维列娃
Евгений Викторович Пригожин,叶夫根尼·普里戈任
"Татарева, Анастасия Алексеевна",阿娜史塔西亞·塔塔蕾娃
"Христораднов, Юрий Николаевич",尤里·尼古拉耶维奇·赫里斯托拉德诺夫
"Дауров, Сослан Тамазович",索斯兰·道罗夫
Валерий Сергеевич Горячев,瓦列里·谢尔盖耶维奇·戈里亚切夫
"Гершунова, Любовь Васильевна",柳波芙·瓦西里耶芙娜·格尔舒诺娃
Игорь Викторович Краснов,伊戈爾·克拉斯諾夫
"Гладков, Андрей Николаевич",安德烈·格拉德科夫
мартин,米哈伊爾·斯米爾諾夫
"Цурская, Полина Игоревна",寶蓮·施斯卡婭
Николай Макаров,尼古拉·马卡罗夫
Вениамин Иванович Кондратьев,韦尼阿明·孔德拉季耶夫
Владислав Рамм,弗拉迪斯拉夫·拉姆
"Мурашов, Руслан Николаевич",鲁斯兰·穆拉绍夫
Катерина Владимировна Тихонова,卡捷琳娜·吉洪诺娃
Гульназ Бадыкова,古莉娜茲·哈通釆娃
Амир Минниахметович Ишемгулов,阿米尔·伊舍姆古洛夫
Алексей Николаевич Диденко,阿列克谢·季坚科
"Гурулёв, Андрей Викторович",安德烈·古鲁廖夫
Александр Александрович Мокану,亚历山大·莫卡努
"Дашидоржиева, Туяна Норполовна",圖亞娜·達希多爾日耶娃
Давит Гочаевич Чакветадзе,达维特·恰克韦塔泽
Алиса Андреевна Федичкина,阿利薩·費迪奇基娜
"Полякова, Мария Юрьевна",玛丽亚·波利亚科娃
Красножон Алексей Дмитриевич,阿列克謝·克拉斯諾仲
"Авдеев, Михаил Юрьевич",米哈伊尔·尤里耶维奇·阿夫杰耶夫
Анна Калинская,安娜·卡琳斯卡娅
Ваха Абуевич Агаев,瓦哈·阿布耶维奇·阿加耶夫
Сергей Игоревич Каменский,謝爾蓋·卡緬斯基
Александра Романовна Поспелова,亚历山德拉·波斯佩洛娃
"Агузаров, Тамерлан Кимович",塔梅尔兰·基莫维奇·阿古扎洛夫
Екатерина Григорьева,凱特·格列哥耶娃
Татьяна Панина,塔蒂亚娜·潘妮娜
Никитин Глеб Сергеевич,格列布·尼基京
Иван Иванович Твердовский,伊万·特韦尔多夫斯基
"Соболев, Николай Владимирович",尼古拉·弗拉基米罗维奇·索博列夫
Вадим Немков,瓦迪姆·内姆科夫
"Чуканов, Андреа Вячеславович",安德烈亞·丘卡諾夫
Николай Викторович Любимов,尼古拉·柳比莫夫
"Сорин, Павел Михайлович",帕维尔·索林
Аслан Казбекович Карацев,阿斯兰·卡拉采夫
Павел Кулижников,帕维尔·库利日尼科夫
"Десятников, Андрей Валерьевич",安德雷·戴西亞特尼科夫
Мария Викторовна Головизнина,玛丽亚·格罗维金娜
Анастасия Галустян,阿納斯塔西婭·特辛巴耶娃
"Горячева, Лидия Игоревна",利季娅·伊戈列芙娜·戈里亚切娃
Мария Алексеевна Вадеева,玛丽亚·瓦德耶娃
"Маркин, Сергей Владимирович",謝爾蓋·弗拉基米洛維奇·馬堅
"Долгова, Ирина Юрьевна",伊琳娜·多爾戈娃
Кристина Алексеевна Ильиных,克里斯季娜·伊利内赫
Андрей Гайдулян,安德烈·盖杜里安
"Манзон, Вадим Аркадьевич",瓦季姆·曼森
"Ибрагимов, Магомед Идрисович",穆罕默德·伊德里索维奇·易卜拉欣莫夫
Дмитрий Викторович Минаков,德米特里·米纳科夫
"Персидская, Мария Сергеевна",瑪麗亞·佩爾西茲卡婭
"Рылов, Евгений Михайлович",叶夫根尼·雷洛夫
Ильсия Бадретдинова,伊尔西亚·巴德雷季诺娃
Антон Михайлович Чупков,安东·丘普科夫
Абдулманап Магомедович Нурмагомедов,阿卜杜勒曼纳普·努尔马戈梅多夫
"Багатурия, Георгий Александрович",格奥尔基·亚历山德罗维奇·巴加图里亚
"Ротенберг, Роман Борисович",罗曼·罗滕贝格
"Визбор, Варвара Сергеевна",瓦尔瓦拉·维兹博尔
"Завизьон, Алексей Владимирович",阿列克谢·扎维焦翁
Риналь Мухаметов,里纳尔·穆罕默托夫
"Матвеев, Денис Владимирович",丹尼斯·马特维耶夫
Александр Макарович Матвеенко,亚历山大·马卡罗维奇·马特维延科
"Осипова, Инна Витальевна",伊娜·维塔利耶夫娜·奥西波娃
Василина Васильевна Кулиева,瓦西里娜·库利耶娃
"Моисеев, Николай Александрович",尼古拉·亚历山德罗维奇·莫伊谢耶夫
Рамиль Абдулахатович Сабитов,拉米尔·萨比托夫
"Бабинцева, Александра Ивановна",亞歷山德拉·巴賓賽娃
Егор Крид,叶格尔·克里德
Lind Erebros,林德·埃雷布罗斯
Сергей Бида,謝爾蓋·比達
Вячеслав Юрьевич Чепурченко,弗亚切斯拉夫·切普尔琴科
Соня Белоусова,桑妮雅·別洛烏索娃
"Дегтярёв, Григорий Григорьевич",格里戈里·杰格佳廖夫
Екатерина Олькина,叶卡捷琳娜·奥尔基纳
"Осипов, Игорь Владимирович",伊戈爾·奧西波夫
Kristina Si,克里斯蒂娜·希
"Ануфриев, Евгений Александрович",叶夫根尼·亚历山德罗维奇·阿努夫里耶夫
"Бармаков, Юрий Николаевич",巴尔马科夫，尤里·尼古拉耶维奇
Алексей Белан,亚历克斯·贝兰
"Белова, Ольга Николаевна",奥尔加·尼古拉耶芙娜·别洛娃
"Мешков, Евгений Евграфович",尤金·叶夫格拉福维奇·梅什科夫
"Беседа, Сергей Орестович",谢尔盖·贝塞达
Гильмутдинов Динар Загитович,迪纳尔·吉利穆季诺夫
"Наруцкая, Ольга Леонардовна",奧爾加·納魯特斯卡婭
Инга Лепс,茵嘉·莱普斯
Гамзатова Айна Заирбековна,阿尼亞·伽姆扎托娃
Алиса Вокс,艾丽莎·沃克斯
Наталья Николаевна Жданова,娜塔莉娅·尼古拉耶夫娜·日丹诺娃
Гузель Шамилевна Яхина,古泽尔·雅辛娜
"Анисимов, Олег Александрович",奥列格·阿尼西莫夫
Ирина Владимировна Бразговка,伊琳娜·布拉兹戈夫卡
Борис Викторович Иванюженков,鲍里斯·伊万纽任科夫
"Кагирова, Патимат Мухтаровна",帕蒂马特·卡吉罗娃
"Федотов, Иван Дмитриевич",伊万·费多托夫
Екатерина Семенчук,伊卡特琳娜‧赛门秋克
"Межецкая, Дарья Евгеньевна",达里娅·梅热茨卡娅
Радик Мухарлямович Юльякшин,埃尔文·格雷
Рустэм Хабибович Марданов,魯斯特姆·馬爾丹諾夫
"Крапивина, Анастасия Сергеевна",安娜斯塔西亞·克拉皮維娜
"Володин, Никита Андреевич",尼基塔·沃洛金
Кирилл Дмитриевич Нагиев,基里尔·纳吉耶夫
"Шатунов, Сергей Петрович",谢尔盖·彼得罗维奇·沙图诺夫
"Шарифуллин, Борис Яхиевич",鮑里斯·沙里夫林
Полина Чернышова,波琳娜·切尔尼绍娃
Зоя Трофимова,佐娅·特罗菲莫娃
Алексей Павлович Зубарев,阿列克西·佐巴列夫
Павел Григорьевич Котов,帕维尔·科托夫
"Губайдуллина, Гульназ Радиковна",古莉娜兹·古拜杜尔丽娜
Вячеслав Михайлович Мархаев,维亚切斯拉夫·马克哈耶夫
Александр Андреевич Ющенко,亚历山大·尤先科
"Шуйский, Иван Васильевич Скопа",伊凡·瓦西里耶维奇·斯科平-叔伊斯基
"Доржиев, Цырен-Даши Эрдынеевич",策凌达什·额尔德尼诺维奇·道尔吉耶夫
"Потапова, Виктория Викторовна",維多利亞·波塔波娃
"Урсуляк, Дарья Сергеевна",达里亚·乌苏利亚克
"Хатаев, Имам Абдулаевич",伊馬姆·哈塔耶夫
Нина Фёдоровна Талызина,N.F. 塔雷津娜
"Спиваковская, Алла Семёновна",阿拉·斯皮瓦科夫斯基
Гаэль Ондуа,加爾·安杜亞
"Чернышёв, Владимир Геннадьевич",弗拉基米尔·根纳季耶维奇·车尔尼雪夫
Анастасия Юрьевна Логунова,安娜斯塔西亞·洛古諾娃
"Прокопьев, Сергей Валерьевич",谢尔盖·普罗科皮耶夫
Фёдор Борисович Успенский,费奥多·鲍里索维奇·乌宾斯基
"Кушнерёв, Юрий Сергеевич",尤里·库什涅廖夫
"Лазарева, Анна Николаевна",安娜·拉扎列娃
Алексей Алексеевич Петрухин,阿列克谢·彼得鲁欣
Гордей Колесов,叶伟国
Иван Жвакин,伊万·日瓦金
Александр Петров,亚历山大·彼得罗维奇·彼得罗夫 (政治人物)
"Семёнов, Сергей Викторович",賽吉·西門諾夫
"Загидуллина, Аделина Рустемовна",阿德琳娜·扎吉杜爾莉娜
Илья Дмитриевич Иванюк,伊利亚·伊万尤克
Анастасия Викторовна Мишина,安娜塔西亚·米西纳
Эмина Асимовна Малагич,埃米娜·马拉季奇
"Клюка, Егор Васильевич",叶戈尔·克柳卡
Анна Блинкова,安娜·布林克娃
Софья Андреевна Жук,索菲亚·楚克
Александр Юрьевич Ольшанский,亚历山大·奥尔尚斯基
"Дмитриев, Юрий Алексеевич",尤里·德米特里耶夫
"Примаков, Евгений Александрович",小叶夫根尼·普里马科夫
Юрий Петрович Синельщиков,尤里·西涅利希科夫
"Силин, Константин Сергеевич",康斯坦丁·謝爾蓋耶維奇·西林
Александр Паль,亚历山大·帕里
"Степанов, Андрей Иванович",安德烈·伊万諾維奇·斯捷潘諾夫
Родион Каргаев,罗季翁·卡尔加夫
Дмитрий Алексеевич Ланской,德米特里·兰斯基
Александр Борисович Левинталь,亚历山大·鲍里索维奇·列文塔尔
"Мизинцев, Михаил Евгеньевич",米哈伊尔·米津采夫
Вита Сидоркина,维塔·西多基纳
Анна Феликсовна Литвина,安娜·费里索夫娜·利特维娜
Зенфира Рамазановна Магомедалиева,泽姆菲拉·玛格梅达利耶娃
"Русакова, Дарья Николаевна",达莎·鲁萨科娃
"Рашидов, Гаджимурад Газиганович",加吉穆拉德·加济甘多维奇·拉希多夫
"Калинина, Ирина Павловна",伊丽娜·卡利尼纳
"Баранова, Людмила Васильевна",柳德米拉·巴拉诺娃
"Демченко, Иван Иванович",伊万·杰姆琴科
"Мартынов, Виктор Георгиевич",维克托·马尔特诺夫
Антоний (Севрюк),安东尼 (塞甫留克)
Станислав Александрович Козловский,斯坦尼斯拉夫·亚历山德罗维奇·科兹洛夫斯基
"Беляев, Игорь Константинович",伊戈尔·康斯坦丁诺维奇·别利亚耶夫
Иван Викторович Вагнер,伊万·瓦格纳
"Оглоблин, Георгий Александрович",格爾吉·亞歷山卓維奇·奥格洛布林
"Андрусенко, Вячеслав Дмитриевич",维亚切斯拉夫·安德鲁申科
"Богаев, Дмитрий Александрович",德米特里·亞歷山大羅維奇·博加耶夫
Ирина Россиус,伊琳娜·亚历山德罗芙娜·罗修斯
Сердюков Пётр Иванович,彼得·謝爾久科夫
Даниил Воробьёв,丹尼尔·沃罗比约夫
"Абакарова, Патимат Серажутдиновна",帕季玛特·阿巴卡洛娃
Александр Казимирович Лукашевич,亚历山大·卢卡舍维奇
"Журавлёв, Александр Александрович",亚历山大·朱拉夫里奥夫
Савченко Глеб (танцор),格列布·萨维琴科
Арина Павловна Опёнышева,阿琳娜·奧別內謝娃
"Пахомов, Даниил Павлович",达尼尔·帕霍莫夫
"Родченков, Григорий Михайлович",格里戈里·罗德琴科夫
Юлианна Юрьевна Караулова,尤里安那.卡拉烏洛娃
Кристиан Костов,克里斯蒂安·科斯托夫
Дмитрий Страхов,德米特里·斯特拉霍夫
Аймани Несиевна Кадырова,阿赫玛尼·卡德罗娃
"Прокудин, Павел Николаевич",帕維爾·普羅庫金
Филипп Джоли,狼　森
Валерия Кауфман,瓦列里·考夫曼
Олег Александрович Слабынько,奥列格·亚历山德罗维奇·斯拉宾科
Сергей Андреевич Куваев,謝爾蓋・庫阿夫
Ленур Ислямов,列努尔·伊斯利亚莫夫
Денис Хорошко,丹尼斯·科洛斯克
Юрий Германович Тарасов,尤里·塔拉索夫
Азамат Мусагалиев,阿扎玛特·穆萨加利耶夫
Александр Бублик,亞歷山大·巴伯里克
Дмитрий Евгеньевич Попко,德米特里·波普科
"Рабая, Екатерина Борисовна",叶卡捷琳娜·拉芭娅
Матвей Петров,马特维·彼得罗夫
"Попков, Александр Евгеньевич",亚历山大·波普科夫
Владимир Анатольевич Масленников,弗拉基米尔·马斯连尼科夫
Ханна,漢娜
"Тарасевич, Григорий Аркадьевич",格里戈里·塔拉谢维奇
"Каловелонис, Марк Георгиевич",马科斯·卡洛维洛尼斯
Никита Мазепин,尼基塔·梅塞平
"Калинина, Виктория Викторовна",維多利亞·卡麗妮娜
"Хорохорина, Наталья Николаевна",娜塔莉亚·霍罗霍琳娜
Екатерина Александрова,叶卡捷琳娜·亚历山德罗娃
"Волков, Владимир Алексеевич",弗拉基米尔·阿列克谢耶维奇·沃尔科夫
"Аюпов, Абрек Идрисович",阿布列克·伊德里索维奇·阿尤波夫
Абубакар Магомедович Нурмагомедов,阿布巴卡尔·努尔马戈梅多夫
Ильяс Магомед-Саламович Умаханов,伊利亚斯·乌马哈诺夫
