Douglas Adams,더글러스 애덤스
Declan Donnelly,데클런 도널리
Johnny Pearson,조니 피어슨
Nicholas Alkemade,니컬러스 올크메이드
Gillian Barber,질리언 바버
Wendy Darling,웬디 달링
George Clarke (architect),조지 클라크
Bernard Gallacher,버나드 갤러처
Joe Armstrong (actor),조 암스트롱
Barbara Castle,바버라 캐슬
Christopher O'Neill,크리스토퍼 오닐
Joseph May,조셉 메이
Barnett Parker,바넷 파커
David Harewood,데이비드 헤어우드
Danny Miller (actor),대니 밀러
Hilda Ellis Davidson,힐다 엘리스 데이비드슨
Katharine Mary Briggs,캐서린 브릭스
Gugu Mbatha-Raw,구구 음바타로
Harriet Jones,해리엇 존스
Ben Wheatley,벤 휘틀리
Pac (wrestler),에이드리안 네빌
Liam Payne,리엄 페인
Kathleen Lockhart,캐슬린 록하트
Kathleen Mary Drew-Baker,캐슬린 메리 드루베이커
Tamsin Greig,탬신 그레이그
Dave Brailsford,데이브 브레일스퍼드
David Bailie,데이비드 베일리
Joe McFadden,조 맥패든
Josh Magennis,조시 매지니스
Sylvestra Le Touzel,실베스트라 르 토젤
David Torrence (actor),데이비드 토렌스
Laurence Freeman,로렌스 프리먼 신부
Oliver Jackson-Cohen,올리버 잭슨코언
Sian Massey-Ellis,시언 매시엘리스
Dhaffer L'Abidine,다퍼 라비딘
Deyan Sudjic,데얀 수디치
Henry Goodman,헨리 굿먼
Dennis Hoey,데니스 호이
Demis Hassabis,데미스 허사비스
Del Palmer,델 파머
Laura Carmichael,로라 카마이클
Laura Donnelly,로라 도널리
Lachlan Murdoch,래클런 머독
Sheridan Smith,셰리든 스미스
Danny Willett,대니 윌릿
Billy Henderson (footballer),빌리 헨더슨
Jenny Duncalf,제니 던카프
Blake Ritson,블레이크 릿슨
Freddie Starr,프레디 스타
Nicola Walker,니컬라 워커
Raza Jaffrey,라자 재프리
Dick Richards (footballer),딕 리차즈
Paterson Joseph,패터슨 조지프
Iain Cuthbertson,아인 커스버트슨
John Crammond,존 크래먼드
Constantin Silvestri,콘스탄틴 실베스트리
John Rupert Firth,존 루퍼트 퍼스
Alexa Goddard,알렉사 고더드
Hilton McRae,힐턴 맥레이
W. G. Collingwood,W. G. 콜링우드
Liam Sharp,리엄 샤프
Paul Kasey,폴 케이시
Sam Troughton,샘 트라우턴
"Setsuko, Princess Chichibu",야스히토 친왕비 세쓰코
Harry Potter (character),해리 포터 (등장인물)
G. D. H. Cole,G. D. H. 콜
Earl Cameron,얼 캐머런
"Jack Young (footballer, born 1895)",잭 영
Lorraine Kelly,로레인 켈리
Lon Satton,론 새톤
Molly Weasley,몰리 위즐리
Bryan Larkin,브라이언 라킨
Jill Bennett (British actress),질 베넷 (영국 배우)
Jackie Tyler,재키 타일러
James Fleet,제임스 플리트
Piers Wenger,피어스 웽거
Stephen Kinnock,스티븐 키녹
Jamie Blackley,제이미 블래클리
Philippa Urquhart,필리파 어크하트
Thomas Heatherwick,토마스 헤더윅
Lynne Ramsay,린 램지
Lady Pamela Hicks,레이디 파멜라 힉스
Jamie Cureton,제이미 큐레턴
Phil Collinson,필 콜린슨
Carol Vorderman,캐럴 보더먼
Caroline Flack,캐럴라인 플랙
Fra Fee,프라 피
Peter Moore (businessman),피터 무어
Jean Cadell,진 카델
Donald Gollan,도널드 골런
Lloyd Owen,로이드 오언
Ryan Cartwright,라이언 카트라이트
Jeff Wootton,제프 우튼
Yasmin Paige,야스민 페이지
Sanjeev Bhaskar,산지브 바스카
Bill Weasley,빌 위즐리
Conor McAleny,코너 매캘레니
Evelyn Cheesman,에벌린 치즈맨
Eugene Lipinski,유진 리핀스키
Eva Hart,에바 하트
Rob Gauntlett,롭 곤틀릿
Konnie Huq,코니 헉
Mark Burnett,마크 버넷
Sebastian Armesto,서배스천 아메스토
Robert James-Collier,롭 제임스 콜리어
Jimmy Seddon,지미 새든
Joanna Scanlan,조애나 스캔런
Craig Roberts,크레이그 로버츠
Richard Bauckham,리처드 보컴
Shaun Greenhalgh,숀 그린핼시
Danny Burch,마틴 스톤
Tara Palmer-Tomkinson,타라 파머톰킨슨
Graham Crowden,그레이엄 크로우덴
Jake Wood,제이크 우드
Joe Yule,조 율
Joe Cole (actor),조 콜 (배우)
Fiona Lewis,피오나 루이스
Siobhan Finneran,셔반 피너런
Sophie McShera,소피 맥셰라
Forbes KB,포베스 KB
Sarah Connolly,세라 코널리
Kara Tointon,카라 토인턴
Mathew Baynton,매슈 베인턴
David Cornell,데이비드 코넬
Mel Reid,멜 리드
Steve Dillon,스티브 딜런
Rachel Riley,레이철 라일리
Syd King,시드 킹
John Milbank,존 밀뱅크
John Macquarrie,존 멕퀘리
John McAleese,존 매컬리스
John Murray (theologian),존 머레이
Michelle Keegan,미셸 키건
Susan Fleetwood,수잔 플리트우드
Marina Ogilvy,마리나 오길비
John Ratcliffe (governor),랫클리프 총독
Richard Horton (editor),리차드 호튼
Aaron Cresswell,에런 크레스웰
Charlie Weasley,찰리 위즐리
Harold E. Palmer,해럴드 E. 파머
Kristian Nairn,크리스천 네언
Steve Gibson (businessman),스티브 깁슨 (기업인)
Thomas Howes (actor),토머스 하우스
Alexandra Roach,알렉산드라 로치
Robert Hadfield,로버트 해드필드
Benedict Wong,베네딕트 웡
Natasha O'Keeffe,너태샤 오키프
Andy Lanning,앤디 래닝
Lee Lucas,리 루카스
Ben Mee,벤 미
Ben Nealon,벤 닐론
Louis Tomlinson,루이 톰린슨
Ash Stymest,애시 스티미스트
"Nicholas Ashley-Cooper, 12th Earl of Shaftesbury",제12대 섀프츠베리 백작 니컬러스 애슐리쿠퍼
Maurice Dean Wint,모리스 딘 윈트
Neve McIntosh,니브 매킨토시
Harry Styles,해리 스타일스
Maxine Peake,맥신 피크
Max Kasch,맥스 캐쉬
Zayn Malik,제인 말리크
Ernest Swinton,어니스트 스윈튼
"Billy Jones (footballer, born 1987)",빌리 존스
Bradford murders,스티븐 그리피스
Mackenzie Gray,매켄지 그레이
Roxanne McKee,록샌 매키
Alfred Lennon,앨프리드 레논
Tyger Drew-Honey,타이거 드루허니
Freddie de Guingand,프레디 드 귄간드
Nitin Ganatra,니틴 가나트라
Perry Benson,페리 벤슨
Gareth Evans (filmmaker),개러스 에번스
Robbie Kay,로비 케이
Chanel Cresswell,샤넬 크레스웰
Barton Biggs,바턴 비그스
Dan Potts (footballer),대니얼 포츠
"Adam Campbell (footballer, born 1995)",애덤 캠벨
Matty Kennedy,매슈 케네디
Johnny Flynn,조니 플린 (음악가)
Stuart J. Russell,스튜어트 J. 러셀
"Countess Zaria of Orange-Nassau, Jonkvrouwe van Amsberg",오라녜나사우 여백작 자리아
Courtenay Taylor,코트니 테일러
Conor McLaughlin,코너 매클로플린
Charles Ingram,찰스 잉그램
Rory Donnelly,로리 도널리
Barry Kilby,배리 킬비
David Gandy,데이비드 갠디
Richard McCabe,리처드 매케이브
Martin Lovett,마틴 로벳
Donald Douglas (Scottish actor),도널드 더글러스
Robert Kazinsky,로버트 카진스키
Robert Fyfe,로버트 파이프
Shivaani Ghai,시바니 가이
Abi Phillips,애비 필립스
Adam Croasdell,애덤 크로스델
Laura Mvula,로라 음불라
Daniel Alfei,대니얼 알페이
Rupert Simonian,루퍼트 시모니안
George Moncur,조지 몬커
Rachel Goswell,레이철 고스웰
Adebayo Akinfenwa,아데바요 아킨펜와
"Adam Gifford, Lord Gifford",애덤 기포드
Alison King,앨리슨 킹
Hyung-ki Joo,주형기
Valerie Edmond,밸러리 에드먼드
Lord Frederick Windsor,프레드릭 윈저 경
Vivien Goldman,비비언 골드먼
Adrian Forty,아드리안 포티
"Edward Windsor, Lord Downpatrick",다운패트릭 경 에드워드 윈저
Tom Parker Bowles,톰 파커 볼스
Jojo Moyes,조조 모예스
Sergei Skripal,세르게이 스크리팔
Terry Chambers,테리 챔버스
Adam Sinclair (actor),아담 싱클레어
Veronica Carlson,베로니카 칼슨
Gay Hamilton,게이 해밀턴
Will Gregory,윌 그레고리
Adrian Schiller,에이드리언 실러
Wheeler Dryden,휠러 드라이든
Tom Odell,톰 오델
Michael Oliver (referee),마이클 올리버
Stuart Dallas,스튜어트 댈러스
Luke Roberts (actor),루크 로버츠 (배우)
Adeel Akhtar,아딜 아크타르
Lacey Turner,레이시 터너
Patsy Palmer,패치 파머
Lady Marina Windsor,레이디 마리나 윈저
Lady Amelia Windsor,레이디 아멜리아 윈저
Laura Lopes,로라 로페스
Tom Weston-Jones,톰 웨스턴존스
Edward Dwelly,에드워드 드웰리
Michael McGovern (footballer),마이클 맥고번
King Krule,킹 크룰
Al Ewing,앨 유잉
Drake Maverick,록스타 스퍼드
Harry Peacock (actor),해리 피콕
Alan Coleman,앨런 콜먼
Rosemary Church,로스마리 처치
Sammy Lee (footballer),새미 리 (축구인)
Charley Webb,찰리 웨브
Ronni Ancona,로니 안코나
Ronald Pickup,로널드 픽업
Ajax (Francis Freeman),에이잭스 (마블 코믹스)
Jessica Clark (actress),제시카 클라크
Jeremy Swift,제러미 스위프트
Samuel Chatto,새뮤얼 차토
Alastair Johnston,앨러스테어 존스턴
Caitlin Blackwood,케이틀린 블랙우드
Jay Darlington,제이 달링턴
Charlie Brooks,찰리 브룩스
Jimmy McShane,지미 맥셰인
Barry Sloane,배리 슬론
Daniel Roche,대니얼 로치
Genevieve Gaunt,제너비브 곤트
Anthony Taylor (referee),앤서니 테일러
Dave Whelan,데이브 웰런
"Alexander Lascelles, Viscount Lascelles",라셀레스 자작 알렉산더 라셀레스
Mollie Phillips,몰리 필립스
Robert Firth (footballer),로버트 퍼스
Ryan Mason,라이언 메이슨
Alex Fletcher (actress),알렉산드라 플레처
"Serena Armstrong-Jones, Countess of Snowdon",스노든 백작부인 세레나 암스트롱존스
Joel Redman,올리버 그레이
Caucher Birkar,코체르 비르카르
Annabel Scholey,애너벨 숄리
Anna Wilson-Jones,애나 윌슨존스
Kate Fleetwood,케이트 플리트우드
Alex Boyé,알렉스 보예
Alex Ferns,알렉스 펀스
Steve Morgan (businessman),스티브 모건 (기업인)
Stan Seymour,스탠 시모어
Anthony Cox (producer),토니 콕스 (연출가)
Alex Hassell,알렉스 하셀
Alfred Hui,허정갱
Alice Lowe,앨리스 로
Andrew Jack (dialect coach),앤드류 잭
Andrew Jennings,앤드루 제닝스
Alice Barlow,앨리스 발로
Erin Richards,에린 리처즈
Alex Pritchard,앨릭스 프리처드
Arthur J. Lamb,아서 J. 램브
Anthony Farrar-Hockley,안소니 파라 호커리
Anthony Berry,앤서니 베리
Andrew Walls,앤드류 월즈
Andrew Van Buren,앤드루 밴 뷰런
Bel Powley,벨 파울리
Alistair Petrie,앨리스테어 페트리
Anthony Thiselton,앤서니 티슬턴
Amber Le Bon,앰버 르 봉
Barry Bolton,배리 볼턴
Andy Cooke,앤디 쿡
Allan Coxon,앨런 콕슨
Andy Cunningham (footballer),앤디 커닝엄
Ben Crompton,벤 크럼프턴
Ben Davis (cinematographer),벤 데이비스 (촬영 감독)
Ben Cura,벤 큐라
"Ben Davies (footballer, born 1995)",벤 데이비스 (1995년생 축구 선수)
Antony Johnston,앤터니 존스턴
Amma Asante,아마 아산테
Aml Ameen,어멜 아민
"Archibald Sinclair, 1st Viscount Thurso",아치볼드 싱클레어
Amanda Walker,아만다 워커
Andre Gray,안드레 그레이
Anthony Williams (comics),앤서니 윌리엄스 (만화가)
Amy Studt,에이미 스투트
Amy Wadge,에이미 워지
Andrea McLean,앤드리아 매클레인
Andy Yiadom,앤디 이아돔
Amy Manson,에이미 맨슨
Amy Beth Hayes,에이미 베스 헤이즈
Arlene Foster,알린 포스터
Ariyon Bakare,아리욘 바카레
Sheila Jeffreys,실라 제프리스
Bernie Grant,버니 그랜트
Bill Douglas,빌 더글라스
Bill Shorten,빌 쇼튼
Bill Speakman,윌리엄 스피크먼
Avondale Williams,애번데일 윌리엄스
Bobby Thomson,보비 톰슨
Bernard Rawlings (Royal Navy officer),버나드 롤링스
Billy Barnes (footballer),빌리 반스
Mark Bonnar,마크 보너
Arthur Cox (actor),아서 콕스 (배우)
Malene Espensen,말레네 에스펜센
C. F. D. Moule,C. F. D. 모울
Bradley Walsh,브래들리 월시
Charles Edwards (actor),찰스 에드워즈
Bruce Leung,양소룡
Callum Wilson,칼럼 윌슨
Cameron Gayle,카메론 게일
Brian Muir (sculptor),브라이언 뮤어 (조각가)
Basil Coad,배질 코드
Charles Lloyd-Pack,찰스 로이드팩
Balram Chainrai,발람 체인라이
Bap Kennedy,뱁 케네디
Brendan Galloway,브렌던 갤러웨이
Charles Keeping,찰스 키핑
"Billy Forbes (footballer, born 1990)",빌리 포브스
Carol Marsh,캐럴 마시
Bob Goody,밥 구디
Chris Henry (rugby union),크리스 헨리 (럭비 유니언)
Brian Roper (actor),브라이언 로퍼
Margaret Masterman,마거릿 매스터먼
Chris Marsden,크리스 마즈든
Bronagh Waugh,브로나 워
Clifford Rose,클리포드 로즈
Brooke Vincent,브룩 빈센트
Chai Lee,차이 리
Cate Le Bon,케이트 르 봉
Charli XCX,찰리 XCX
Charlotte Ritchie,샬럿 리치
Fiona Phillips,피오나 필립스
Daisy Head,데이지 헤드
Daisy Haggard,데이지 해거드
Cyrus Christie,사이러스 크리스티
Colin Furze,콜린 퍼즈
Dami Bakare,다미 바카레
Charles Collingwood (actor),찰스 콜링우드
Chelsea Halfpenny,첼시 하프페니
Ryan Dolan,라이언 돌란
Colin Lawrence,콜린 로런스
Chloe Sims,클로이 심스
Dale Eve,데일 이브
Dan Burn,댄 번
David Lyon (actor),데이비드 라이언
Damien Thomas,다미엔 토머스
Con O'Neill (actor),콘 오닐
Colleen Clifford,콜린 클리퍼드
Daniel Huttlestone,대니얼 허틀스톤
Daniel Pemberton,대니얼 펨버턴
Daniel Portman,대니얼 포트먼
David W. Bebbington,데이비드 베빙턴
David M. Clark,데이비드 클락
David MacMillan,데이비드 맥밀런
David Hicks (British designer),데이비드 힉스
"David Carnegie, 4th Duke of Fife",제4대 파이프 공작 데이비드 카네기
Christy Gibson,크리스티 깁슨
Susan Wooldridge,수전 울드리지
Chukwudi Iwuji,추쿠디 이우지
David Carroll (actor),데이비드 캐럴
Danielle Harold,대니엘 해럴드
Daniel Whitby,다니엘 휘트비
Danny Ings,대니 잉스
Curtis Obeng,커티스 오벵
Claire Cooper,클레어 쿠퍼
Daphne Hampson,대프네 햄슨
Craig Parkinson,크레이그 파킨슨
David Sterne,데이비드 스턴
Clement Davies,클레먼트 데이비스
Craig Shakespeare,크레이그 셰익스피어
David Edwards (journalist),데이비드 에드워즈
David Threlfall,데이비드 스렐폴
Denise van Outen,데니즈 반 아우텐
Donald Acheson,도널드 애치슨
Darwin Shaw,다윈 쇼
Derek Llambias,데릭 램바이어스
"Dean Smith (footballer, born 1971)",딘 스미스 (축구인)
Donald Guthrie (theologian),도널드 거스리
David Keir,데이비드 키어
Ferdinand Kingsley,퍼디낸드 킹즐리
Derek Ramsay,데렉 람세이
Dean Allmark,딘 올마크
Donervon Daniels,도너보른 다니엘스
Diana Coupland,다이애나 쿠플랜드
Diana Churchill,다이애나 처칠
Edmund Calamy (historian),에드먼드 칼라미 (1671년)
Donna Air,도나 에어
Dave Hockaday,데이브 호커데이
Dora Bryan,도라 브라이언
Douglas Graham (British Army officer),더글러스 알렉산더 그레이엄
Del Henney,델 헤니
Emma Atkins,에마 앳킨스
Derek Shaw (businessman),데릭 쇼
Deborah Turness,데버라 터네스
Elyes Gabel,엘리스 가벨
Emily Atack,에밀리 어택
Emma Willis,에마 윌리스
Emma Rigby,에마 릭비
Diana Hardcastle,다이애나 하드캐슬
George Murcell,조지 머셀
Emun Elliott,이먼 엘리엇
Paula Lane,폴라 레인
Foy Vance,포이 밴스
Fiona Wade,피오나 웨이드
Duncan Duff,덩컨 더프
Duncan Macrae (actor),던칸 맥래
Dwight Gayle,드와이트 게일
Ed Skrein,에드 스크라인
Eddie Howe,에디 하우
Francesca Fowler,프란체스카 파울러
Rachel Pickup,레이철 픽업
Frank Brettell,프랭크 브레텔
Richard Winsor,리처드 윈저
Eve Bunting,이브 번팅
Ramona Marquez,러모나 마케즈
Rhydian Vaughan,펑샤오웨
Eleanor Worthington Cox,엘리너 워딩턴 콕스
"Francis Fitzherbert, 15th Baron Stafford",프란시스 피처버트
Frank Cook (politician),프랭크 쿡
Ellie Taylor,엘리 테일러
Geoffrey Rose (epidemiologist),제프리 로즈
Edie Campbell,에디 캠벨
Gabrielle Blunt,가브리엘 블런트
Terry Skiverton,테리 스키버튼
Elliot Lee,엘리엇 리
Gareth Forwood,가레스 포우드
Frank Vosper,프랭크 보스퍼
Gary Love,게리 러브
George Blagden,조지 블래그든
Joyryde,조이라이드 (DJ)
Elsie Wagstaff,엘시 와그스탭
Euphemia Allen,유피미아 앨런
Garrick Hagon,게릭 헤이건
Norman Hartnell,노먼 하트넬
George Woodbridge (actor),조지 우드브리지
"George Williams (footballer, born 1995)",조지 윌리엄스 (축구 선수)
Geraint Wyn Davies,제러인트 윈 데이비스
Gawn Grainger,곤 그레인저
Gemma Bissix,제마 비식스
Georgia May Foote,조지아 메이 푸트
Paul McGuigan (musician),폴 맥기건 (음악가)
Geoff Diego Litherland,저프 디어고 리덜랜드
Georgina Reilly,조지나 라일리
Gianni Capaldi,지아니 카팔디
Gemma Chan,제마 챈
Gemma Fay,제마 페이
Frederick Combs,프레더릭 콤스
Gavin McInnes,개빈 매키니스
Hanna Mangan-Lawrence,해나 맹건로런스
George Merritt (actor),조지 메릿
Jamal Blackman,자말 블랙맨
Henry Lloyd-Hughes,헨리 로이드휴스
JB Blanc,J. B. 블랑크
Hannah Waddingham,해나 워딩엄
Hannah Ware,해나 웨어
Will Grigg,윌 그리그
Graham Potter,그레이엄 포터
Herbert Kretzmer,허버트 크레츠머
Ol Parker,올 파커
Greg Davies,그레그 데이비스 (배우)
Greg Carmichael,그레그 카마이클
Mike Pender,마이크 펜더
Hugo Johnstone-Burt,휴고 존스톤버트
Benjamin Wallfisch,벤저민 월피시
Jennifer Kendal,제니퍼 켄달
Harry Lorraine (American actor),해리 로레인
Kirsty-Leigh Porter,커스티리 포터
Phoebe Dynevor,피비 디네버
Sam Heughan,샘 휴언
Ian Ball,이언 볼
Michelle Gomez,미셸 고메즈
Iain Torrance,이안 토렌스
Iain Robertson,이언 로버트슨
Guin Batten,귄 배튼
Nolan Hemmings,놀란 헤밍스
Lorna Fitzgerald,로나 피츠제럴드
Hay Petrie,헤이 피트리
Ricky Whittle,리키 휘틀
Guy Burnet,가이 버넷
Izzy Meikle-Small,이지 미클스몰
Gwion Edwards,귀온 에드워즈
James Cleverly,제임스 클레벌리
Jack Whitehall,잭 화이트홀
Helen George,헬렌 조지
Helen Flanagan,헬렌 플래너건
Howard Martin,하워드 마틴
Raymond Stevens (judoka),레이먼드 스티븐스 (유도 선수)
Stephanie Davis (actress),스테퍼니 데이비스
Iain De Caestecker,이언 디캐스트커
Holly Weston,홀리 웨스턴
Holly Hagan,홀리 헤이건
Jennifer Metcalfe,제니퍼 멧캐프
Jennie McAlpine,제니 매캘파인
Jessica Oyelowo,제시카 오옐러워
Ian McElhinney,이언 매켈리니
Hudson Mohawke,허드슨 모호크
Jack Lowden,잭 로던
Gentleman Jack Gallagher,잭 갤러거
Lucy Dixon,루시 딕슨
Jane Tranter,제인 트랜터
Jack Stephens (footballer),잭 스티븐스
Jack Stewart (actor),잭 스튜어트
Jimmy Elliott (footballer),제임스 에드워드 엘리엇
Janet Vaughan,재닛 본
James Honeybone,제임스 허니본
Vanessa Kirby,버네사 커비
Jason Kouchak,제이슨 쿠착
Jimmy Akingbola,지미 아킹볼라
James McArdle,제임스 매카들
John Barton (director),존 바턴
Jing Lusi,징 루시
James Tarkowski,제임스 타코우스키
Jay Fulton,제이 풀턴
Jacqueline Jossa,재클린 조사
Jason Watkins,제이슨 왓킨스
James Barr (biblical scholar),제임스 바
Joan Eardley,조앤 어들리
James Williams-Richardson,제임스 윌리엄스리처드슨
Joanna Hogg,조애나 호그
Joanna Roth,조안나 로스
Jemma Kidd,제마 키드
Jenny Jones (snowboarder),제니 존스
John Byrne (playwright),존 번 (각본가)
John Chandos (actor),존 챈도스
John Rowe (actor),존 로우
Jock (cartoonist),족 (만화가)
Jamie Vardy,제이미 바디
Tom Riley (actor),톰 라일리
Tom Austen,톰 오스틴
Todd Kane,토드 케인
Jeremy Peace,제러미 피스
John Cantlie,존 캔틀리
John Culshaw,존 컬쇼
John Savident,존 사비던트
John Rarity,존 래리티
John Hall (businessman),존 홀 (사업가)
Jessica Henwick,제시카 헤닉
Jessica Raine,제시카 레인
John Suchet,존 수셰이
Jesse Lingard,제시 린가드
Joe Harvey,조 하비
Jim Holt (actor),짐 홀트
John Everard (diplomat),존 에버라드
Jill Frappier,질 프라피에
Joe Thomas (actor),조 토머스 (배우)
John War Eagle,존 워 이글
John Warburton (actor),존 워버턴
John Goodwin (preacher),존 굿윈
Katharine Hamnett,캐서린 햄넷
Kae Tempest,케이트 템페스트
John Peace,존 피스
Kathleen McDermott,캐슬린 맥더멋
Johnson Hippolyte,존슨 히폴리트
Jordon Ibe,조던 아이브
Jorgie Porter,조지 포터 (배우)
Johnathan Rice,조나단 라이스
Jon King,존 킹
Leo Scherman,레오 셔먼
Johnny Gentle,조니 젠틀
Jon Burton,존 버턴
Khan Bonfils,칸 본필스
Kirsty Hume,커스티 흄
Keith Boak,키스 보크
Jon Snow (journalist),존 스노 (언론인)
Kieron Gillen,키런 길런
Keir Starmer,키어 스타머
Jonathan Bailey,조너선 베일리
Jonathan Aris,조너선 에어리스
Kayleden Brown,케일덴 브라운
Kay Hammond,케이 하몬드
Jonathan Howard (actor),조너선 하워드
Joshua Cooper Ramo,조슈아 쿠퍼 라모
Kipleigh Brown,키플리 브라운
Lydia Leonard,리디아 레너드
Lydia Wilson,리디아 윌슨
Kristian Ayre,크리스티안 에이리
Kris Needs,크리스 니즈
Kwes,퀘스
Kulvinder Ghir,컬빈더 기어
Kwesi Appiah,퀘시 아피아
Raffey Cassidy,래피 캐시디
Lewis Dunk,루이스 덩크
Little Simz,리틀 심즈
June Spencer,준 스펜서
Martin Taylor (guitarist),마틴 테일러 (기타리스트)
Laura Aikman,로라 에이크먼
Laura Barton,로라 바턴
Larry Taylor (actor),래리 테일러
MNEK,MNEK
Juliet Rylance,줄리엣 라일런스
Julie Bindel,줄리 빈델
Lewis Young,루이스 영
Lex Shrapnel,렉스 슈라프넬
Laura Kuenssberg,로라 쿤스버그
Laura Hamilton,로라 해밀턴
Lionel Wigram (film producer),라이어널 위그럼
Karl Oyston,칼 오이스턴
Malcolm Vaughan,맬컴 본
Kelly Marcel,켈리 마셀
Kellie Bright,켈리 브라이트
Kelly Beckett,켈리 베켓
Laurence Anholt,로렌스 언홀트
Lauren Pope,로런 포프
Lloyd Isgrove,로이드 이즈그로브
Kemar Roofe,케마르 루피
Kelly Sibley,켈리 시블리
Lockwood West,록우드 웨스트
Lisa McAllister,리사 매캘리스터
Jann Mardenborough,잰 마든버러
Marc Pugh,마크 퓨
Lee Boardman,리 보드만
Kerrie Hayes,케리 헤이스
Kerry Ingram,케리 잉그램
Keren Craig,케런 크레이그
Mark Powley,마크 파울리
Marjorie Yates,마저리 예이츠
Mark Ashton,마크 애슈턴
Matt Charman,맷 차먼
Lucy Rose,루시 로즈
Lucy Bronze,루시 브론즈
Marion Bailey,매리언 베일리
Lucy Liemann,루시 리만
Mark Benton,마크 벤턴
Mark Ebanks,마크 이뱅크스
Martin Boyle,마틴 보일
Miles Jacobson,마일스 제이컵슨
Martin C. Strong,마틴 C. 스트롱
Michael Levitt,마이클 레빗
Michael Jolley,마이클 졸리
Mollie Maureen,몰리 모린
Monster Bobby,몬스터 보비
Milo Yiannopoulos,마일로 야노풀로스
Martina Emanuel,마티나 이매뉴얼
Martin Uden,마틴 유덴
Michael Nardone,마이클 나르돈
Michael E. O'Hanlon,마이클 오핸런
Nick Higgs,닉 힉스
Naomi Ryan,나오미 라이언
Michael Socha,마이클 소샤
Molly Smitten-Downes,몰리 스미튼 다운스
Mary Linley Taylor,메리 린리 테일러
Natasha Williams (actress),너태샤 윌리엄스
Natalie Bennett,내털리 베넷
Natalie Anderson,내털리 앤더슨
Nathalie Emmanuel,내털리 이매뉴얼
Naughty Boy,너티 보이
Michelle O'Neill,미셸 오닐
Max Clifford,맥스 클리퍼드
Noma Dumezweni,노마 두메즈웨니
Melissa Stribling,멀리사 스트리블링
Michelle Hardwick,미셸 하드윅
Mickey Harte,미키 하트
Paddie Bell,패디 벨
Mem Ferda,멤 퍼다
Nimra Bucha,님라 부차
Melanie Sykes,멜러니 사이크스
Pat Heywood,팻 헤이우드
O-T Fagbenle,O. T. 패그벤레이
Oliver Stark,올리버 스타크
Miguel Sapochnik,미겔 서포크닉
Nick Blood,닉 블러드
Nicholas Briggs,니컬러스 브리그스
Olivia Colman,올리비아 콜먼
"Olivia Grant (actress, born 1983)",올리비아 그랜트
Olive Gray,올리브 그레이
Olly Alexander,올리 알렉산더
Paul Dummett,폴 더밋
Paul Du Noyer,폴 두 노이어
Michael Carter (actor),마이클 카터
Paul Smith (English singer),폴 스미스 (음악가)
Paul Ritter,폴 리터
Phoebe Fox,피비 폭스
Owain Fôn Williams,오웨인 폰 윌리엄스
Peter J. Bentley,피터 J. 벤틀리
Peter Safran,피터 새프런
Rhys Evans,리스 에번스
Polly Parsons,폴리 파슨스
Peter Trudgill,피터 트루질
People of Northern Ireland,북아일랜드인
Paul Higgins (actor),폴 히긴스
Riann Steele,리안 스틸
Richard Blade,리처드 블레이드
Phil Gartside,필 가트사이드
Rachel Sermanni,레이철 세르마니
R. Williams Parry,R. 윌리엄스 패리
Rachel Whetstone,레이첼 웨트스톤
R. Kent Hughes,R. 켄트 휴그스
Robert Haldane,로버트 할데인
Richard Pyros,리처드 파이러스
Peter Baynham,피터 베이넘
Robert Irving (conductor),로버트 어빙
Raquel Cassidy,라켈 캐시디
Rasmus Hardiker,래즈머스 하디커
Richard Rogers (theologian),리처드 로저스 (청교도)
Roxy Shahidi,록시 샤히디
Richard Short (actor),리처드 쇼트
Richard Waring,리처드 워링
Robert Parry (politician),로버트 패리 (1933년)
Robert Napper,로버트 내퍼
Rolando Aarons,롤랜도 에런스
Reece Shearsmith,리스 쉬어스미스
Ryan Gauld,라이언 골드
Ryan Fredericks,라이언 프레더릭스
Sarah Coakley,사라 코클리
Sarah Gavron,세라 개브런
Rebecca Lowe,레베카 로우
Rebecca Night,리베카 나이트
Robin Cormack,로빈 코맥
Russell Slade,러셀 슬레이드
Rod Hull,로드 헐
Rupert Wingfield-Hayes,루퍼트 윙필드헤이스
S. J. Clarkson,S. J. 클라크슨
Robin Kinross,로빈 킨로스
Rosie Day,로지 데이
Sarah Marshall (British actress),사라 마셜
Sacha Parkinson,사샤 파킨슨
Saido Berahino,사이도 베라히노
Rowly Dennis,롤리 데니스
Simon Francis (footballer),사이먼 프랜시스
Simon Kassianides,사이먼 카시아니데스
Simon Lack,사이먼 랙
Satya Bhabha,사티아 바바
Rowena Wallace,로웨나 월리스
Scott Cleverdon,스콧 클리버든
Simon Farnaby,사이먼 파너비
Simon Quarterman,사이몬 쿼터맨
Samantha Giles,서맨사 자일스
Samir Soni,사미르 소니
Steve Lansdown,스티븐 랜스다운
Stephen Walters,스티븐 월터스
Sam Morsy,샘 모시
Simon Rusk,사이먼 러스크
Samuel Anderson (actor),새뮤얼 앤더슨
Samrat Chakrabarti,샘랫 차크라바티
Samson Abramsky,샘슨 에이브럼스키
Simon Spurrier,사이먼 스퍼리어
Sinclair Ferguson,싱클레어 퍼거슨
Stephen Whittaker,스티븐 휘테커 (배우)
Sean Tse,셰자창
Stewart Milne,스튜어트 밀른
Sarah-Jane Crawford,세라제인 크로포드
