код игры Riot Pixels,Riot Pixels遊戲識別碼
Вожега,沃热加
медаль «За спасение погибавших»,拯救生命獎章
медаль Нестерова,涅斯捷羅夫獎章
Чагодоща,恰戈多夏河
Федеральный исследовательский центр "Всероссийский институт генетических ресурсов растений им. Н.И. Вавилова",瓦維洛夫植物產業研究所
Усть-Ордынский Бурятский округ,乌斯季-奥尔登斯基布里亚特区
Кура,庫拉河
Нижнегорский,下希尔斯基
Кача,卡恰
Поклонная гора,俯首山
Лютнист,鲁特琴手
Нефтегорск,涅夫捷戈尔斯克_(克拉斯诺达尔边疆区)
Валдайка,瓦爾代卡河
Поморский говор,波默爾方言
Долгопрудный,多爾戈普魯德內足球會
Солнечнодольск,索尔涅奇诺多利斯克
Лыжные гонки на зимних Олимпийских играх 2014,2014年冬季奧林匹克運動會越野滑雪比賽
Плесецкий район,普列謝茨基區
Рубин,红宝石设计局
религия в России,俄羅斯宗教
Онежский район,奧涅日斯基區
Нюролька,紐羅利卡河
Громово,薩科科拉
Мещанский район,梅先涅區
Красносельский район,克拉斯諾斯爾斯基區
Ниман,尼曼河
Моркинский район,莫爾金斯基區
Урмарский район,烏爾馬爾斯基區
Чебоксарский район,切博克薩爾斯基區
Оршанский район,奧爾尚斯基區
Яльчикский район,亞利奇克斯基區
Уфимское плато,烏法高原
Химкинский лес,希姆基森林
Утулик,烏圖利克河
Восток,沃斯托克灣
Хелюля,赫柳利亚
Усвяты,乌斯维亚特
Оша,奧沙河
Тымь,特米河
Терский район,捷爾斯基區
Гнёздово,格紐茲多沃
Остров Путятина,普提雅廷島
Большое Чибисанское,池邊灒湖
100-й меридиан восточной долготы,东经100度线
Троицкая башня,聖三一塔
Мошенской район,莫申斯科伊區
Калининский район,卡利寧斯基區
Большая Курильская гряда,大千島群島
Старочеркасская,切尔卡斯克
Посёлок Свободы,斯沃博德
Удельная,乌杰利纳亚_(莫斯科州)
Боткуль,博特庫利湖
Карачаево-Черкесская автономная область,卡拉恰伊-切尔克斯自治州
Выборы в I Государственную Думу Российской империи,1906年俄国杜马选举
Чемпионат мира по гребле на байдарках и каноэ 2014,2014年世界皮划艇竞速锦标赛
Чемпионат мира по дзюдо в абсолютной категории 2011,2011年世界无差别级柔道锦标赛
Заозёрная,張鼓峰
Зенит-Ижевск,澤尼特伊熱夫斯克足球會
Даурский хребет,道爾斯基山脈
Серные Источники,明牛站
Спасо-Преображенский собор (Хабаровск),主顯聖容主教座堂 (哈巴羅夫斯克)
Киржач,基爾扎奇河
Ледяной куб,冰立方冰壶中心
Большое Вавайское,和愛湖
Улькан,乌利坎
Газпром авиа,俄羅斯天然氣工業航空
Северный Урал,北烏拉爾山脈
Ципикан,齊皮坎河
Герб Бурятии,布里亚特共和国国徽
Урух,烏魯赫河
Астрахань,阿斯特拉罕足球會
Никитский бульвар,尼基茨基大道
Петровский бульвар,彼得罗夫斯基大道
Тверской бульвар,特维尔大道
Страстной бульвар,斯特拉斯特諾伊大道
Камышовый,卡梅绍娃娅站
Шиш,希什河
спорт в России,俄羅斯體育
Чульман,丘利曼河
Усть-Мая,烏斯季馬亞
Черский,切爾斯基機場
Саскылах,萨斯克拉赫
Ожогино,奧若吉諾湖
Чёрный,喬爾內火山
Гимры,吉姆雷
Верховный Совет России,俄罗斯最高苏维埃
Мыс Елизаветы,鹅小门岬
Кана,卡納河
Айдар,艾達爾河
Улица Скобелевская,斯科別列夫街站
Большой Кундыш,大昆德什河
Канашский район,卡納什斯基區
Верхняя Инта,上因塔
Еловая,大葉洛瓦亞河
Улуюл,烏盧尤爾河
Море-Ю,莫列尤河
Поддорский район,波德多爾斯基區
Тарногский район,塔尔诺加区
Волошка,沃洛什卡河
Демянский район,傑米揚斯基區
Вышков,维什科夫_(俄罗斯)
Старь,斯塔里_(布良斯克州)
Рогнедино,罗格涅季诺
Белая Берёзка,白別廖茲卡
Локоть,洛科季_(布良斯克州)
Калитва,卡利特瓦河
Ласпинский перевал,拉斯皮山口
Межа,梅扎河
Пчёвжа,普喬夫扎河
Толшма,托爾什馬河
Октябрьский,十月镇_(彼尔姆边疆区)
медаль Суворова,蘇沃洛夫獎章
Вагон метро типа Е,Ye型电动列车
Шарженьга,沙爾任加河
Российская академия государственной службы,俄罗斯联邦总统国家行政学院
Единый государственный экзамен,俄罗斯高考
Советский,伊奇基
РБК,RBK电视台
герб Чувашской Республики,楚瓦什共和國國徽
Министерство культуры Российской Федерации,俄羅斯聯邦文化部
Дом культуры имени И. В. Русакова,魯薩科夫工人俱樂部
ЦНИИточмаш,中央研究精密機械製造局
Погиби,波吉比角
Устюженский район,乌斯秋日纳区
Жуковский район,茹科夫卡区
Любытинский район,柳貝金斯基區
Марёвский район,馬廖夫斯基區
Волотовский район,沃洛托夫斯基區
Солецкий район,索列茨基區
Залив Фаддея,法杰伊灣
Флаг Владимирской области,弗拉基米尔州州旗
6-я армия ВВС и ПВО,第6航空防空集团军
Флаг Ростовской области,罗斯托夫州州旗
Красногвардейский район,克拉斯諾格瓦爾傑伊斯基區
Золотая Нива,黃金田野站
Западное Дегунино,西德古尼諾區
Ховрино,霍夫林諾區
Берёзовая роща,白樺林站
Адмиралтейская,海軍部站
Герб Республики Коми,科米共和国国徽
Обнора,奧布諾拉河
Стадион имени Увайса Ахтаева,乌瓦伊茨·阿赫塔耶夫体育场
Библиотека Алвара Аалто,维堡图书馆
Тёбза,喬布扎河
Гуслица,古斯利察河
Лака,拉卡河
Сакское озеро,薩克斯克湖
Смоленское лютеранское кладбище,斯摩棱斯克公墓
Ваймуга,瓦伊穆加河
Куртлак,庫爾特拉克河
Ейка,葉伊卡河
Терса,捷爾薩河
Молодая гвардия,青年近卫军
Большой Гашун,大加順河
Мокоритто,莫科里托河
Азовское,亚速斯凯
Удомля,烏多姆利亞湖
Интеравиа,阿維亞航空公司
Заокский,扎奥克斯基
Большая Лаба,大拉巴河
Ульбея,烏利別亞河
Городской округ Серебряные Пруды,謝列布里亞諾-普魯德斯基區
Городской округ Егорьевск,葉戈里耶夫斯克區
Мало-Калинкин мост,小卡林金桥
Троицко-Печорск,特罗伊茨科-伯朝拉斯克
Чудское озеро,佩普西湖
Сереж,謝列日河
Апастово,阿帕斯托沃
Козловский район,科茲洛夫斯基區
Московские триумфальные ворота,莫斯科凱旋門
Шимский район,希姆斯基區
Центральный Московский ипподром,莫斯科中央马场
Щэл1,Schel1机车
осетино-ингушский конфликт,Prigorodny東部衝突
Алжиро-российские отношения,阿爾及利亞－俄羅斯關係
Петербургский государственный университет путей сообщения,圣彼得堡国立交通大学
площадь Восстания,起義廣場
Гирей,吉列伊
Ромашкинское нефтяное месторождение,罗马什金油田
Крымские землетрясения 1927 года,1927年克里米亞地震
Редкино,列德基诺
Лиинахамари,利纳哈马里
Шипиловская,希皮洛夫站
Дикий Хребет,季基格列邊火山
Технопарк,科技園站
Ершичский район,葉爾希奇斯基區
Луховицкий район,盧霍維茨基區
Можайский район,莫扎伊斯克區
Шелонские острова,舍隆斯基群島
Павлово-Посадский городской округ,帕夫洛沃-波薩德斯基區
юношеская сборная России по футболу (до 19 лет),俄羅斯 U19
Остров Гофмана,霍夫曼島
Остров Беккера,貝克爾島
Муостах,穆奧斯塔赫島
Западнодвинский район,扎帕德諾德溫斯基區
Каргасокский район,卡爾加索克斯基區
Старорусский район,舊魯斯基區
Левый Бейсужёк,左別伊蘇若克河
Тукаевский район,圖卡耶夫斯基區
Комсомольский район,科姆索莫利斯基區
Городской округ Красногорск,克拉斯諾戈爾斯克區
Лазаревское кладбище Александро-Невской лавры,拉扎列夫斯科耶公墓
Ижевск,伊熱夫斯克機場
Армянский городской совет,亚美尼亚斯克市议会
Парфинский район,帕爾芬斯基區
Медвенский район,梅德文斯基區
Носка,諾斯卡河
Женская хоккейная лига,真斯卡亚冰球联盟
Хребет Черского,切爾斯基山脈
Зуша,祖沙河
Сасык,薩西克湖
Кургальский полуостров,科爾加利半島
Курайский хребет,庫賴山脈
Талашкино,塔拉什基诺
Сусанино,苏萨尼诺
Поназырево,波纳济列沃
Кульёган,庫利約甘河
Шервинта,舍爾溫塔河
Северная,斯基爾維特
Демаркация российско-китайской границы,中华人民共和国和俄罗斯联邦关于中俄国界东段的补充协定
Тэтэрэ,泰泰雷河
Сосновое озеро,索斯諾沃埃湖
Лотошино,洛托希诺
Пясинский залив,皮亞西納灣
доктор наук,全博士學位
Красногорский район,红戈拉区
Пермский метрополитен,彼爾姆地鐵
Советский район,索韋特斯基區
Октябрьский район,奧克季亞布里斯基區
Главное здание МГУ,莫斯科國立大學主樓
Владимирский тракт,弗拉基米爾路
Севастополь,塞瓦斯托波爾國際機場
Кодина,科季納河
Пёша,佩沙河
Центральная Джума-мечеть Махачкалы,馬哈奇卡拉大清真寺
Чёрная,喬爾納亞河
Вулкан Крашенинникова,克拉舍寧尼科夫火山
медаль «За отличие в охране государственной границы»,保護國界有功獎章
Гостиный двор,市集
Вольная,沃利納亞河
Камень Опасности,二丈岩
Руднянский район,魯德尼揚斯基區
остров Шкота,什科特島
Нижняя Тойма,下托伊馬河
Самарский трамвай,薩馬拉電車
Красноселькупский район,克拉斯諾謝利庫普斯基區
Зеленоборский,泽列诺博尔斯基
Арабатский залив,阿拉巴特湾
Выборг — Йоэнсуу,維堡-約恩蘇鐵路
Нерпичье озеро,涅爾皮奇耶湖
Федеральная служба контрразведки Российской Федерации,俄罗斯联邦反情报局
Северо-Муйский хребет,北穆亞山脈
Ленинский городской округ,列宁区
Городской округ Шаховская,沙霍夫斯科伊區
Рузский район,魯茲斯基區
Сибирский военный округ,西伯利亚军区
Сибирский федеральный университет,西伯利亚联邦大学
Вытегра,維捷格拉河
Комплекс «Imperia Tower»,因佩里亚塔
Ирень,伊連河
Чечуй,切崔河
Чибитка,奇比特河
клуб настольного тенниса «Факел-Газпром»,法凱爾奧倫堡乒乓球俱樂部
Тея,捷亞河
The Walt Disney Company CIS,迪士尼（俄罗斯与独联体）分公司
Научно-исследовательский институт приборостроения имени В. В. Тихомирова,季霍米罗夫仪表设计研究所
Новоспасское,新斯帕斯科耶_(烏里揚諾夫斯克州)
51-я параллель северной широты,北緯51度線
Машук-КМВ,馬述克KMV
Малая Куберле,小庫別爾列河
Зимняя Золотица,佐洛季察河
Весляна,韋斯利亞納河
Паденьга,帕傑尼加河
Карай,卡賴河
Залив Миддендорфа,米登多夫灣
Колласйоки,柯拉河
Коневец,科涅韋茨島
Беркакит,别尔卡基特
репрессии в СССР,当局迫害
Щигровский район,希格羅夫斯基區
Мантуровский район,曼圖羅夫斯基區
Льговский район,利戈夫斯基區
Рыльский район,雷利斯基區
Ёлтырева,葉爾特廖瓦河
Хайыр,哈伊爾湖
Сояна,索亞納河
Погар,波加尔_(俄罗斯)
Выгоничи,维戈尼奇
Бакчар,巴克恰爾河
Устье,烏斯季耶河
Чатыр-Даг,恰特爾山
Хийтола,希托拉
Юсуповский Дворец,尤苏波夫宫
Шуйские,舒伊斯基
Черемшанский район,切列姆尚斯基區
Нурлатский район,努爾拉特斯基區
Лужники,盧日尼基奧運館
Ксудач,克蘇達奇火山
Парбиг,帕爾比格河
Ковжское озеро,科夫日斯科耶湖
Деркул,傑爾庫爾河
Тунтсайоки,通特賽奧基河
Конфедерация труда России,俄羅斯勞工聯合會
Бурная,布爾納亞河
Таманский залив,塔曼灣
Азнакаевский район,阿茲納卡耶夫斯基區
Русия аль-Яум,RT阿拉伯语
Маркотхский хребет,馬爾科特赫山脈
Касимовский район,卡西莫夫斯基區
Беловский район,別洛夫斯基區
Железногорский район,熱列茲諾戈爾斯基區
Островский район,奧斯特羅夫斯基區
Беспута,別斯普塔河
145-й меридиан восточной долготы,东经145度线
Себежское озеро,謝別日湖
Сенная площадь,先納亞廣場
Мстино,姆斯蒂諾湖
Герб Республики Мордовия,莫尔多瓦共和国国徽
Государственный институт русского языка имени А. С. Пушкина,普希金俄语学院
Аграрное,阿赫拉尔内
музыка России,俄罗斯音乐
Прокуратура Российской Федерации,俄羅斯聯邦檢察官辦公室
Сарыч,萨利赫角
Флаг Магаданской области,马加丹州州旗
Аниш,阿尼什河
Курский район,庫爾斯基區
Курчатовский район,庫爾恰托夫斯基區
Алмазный фонд,金剛石基金會
Северное машиностроительное предприятие,北德文斯克造船厂
Яма,亞馬河
Мура,穆拉河
Молочный,莫洛奇内
Самарга,萨马尔加河
Чум,乔姆
Рассоха,羅索哈河
Ванкарем,范凱侖
Флаг Калужской области,卡卢加州州旗
дворец Белосельских-Белозерских,貝洛薩爾斯基-貝洛澤爾斯基宮
Усть-Щугер,烏斯季休格爾
Хаджи-Тархан,哈吉塔爾漢
Ижорская возвышенность,伊若拉高原
Серово,謝羅沃
Ропша,魯帕哈
Флаг Саратовской области,萨拉托夫州州旗
Флаг Ставропольского края,斯塔夫罗波尔边疆区区旗
глава Башкортостана,巴什科尔托斯坦共和国首脑
Игры доброй воли 1994,1994年友好運動會
Всероссийский музей А. С. Пушкина,国家普希金博物馆
Российский государственный институт сценических искусств,俄罗斯国立舞台艺术学院
Аксай,阿卡薩伊河
Ирано-российские отношения,伊朗－俄罗斯关系
Рийхимяки — Санкт-Петербург,里希邁基-聖彼得堡鐵路
Новокосино,新科西诺站
Трансстрой,苏联交通建设部
Экарма,越渇磨海峽
Ютазинский район,尤塔津斯基區
Алькеевский район,阿爾克耶夫斯基區
ИПМ РАН,克尔德什应用数学研究所
Суджанский район,蘇占斯基區
Молого-Шекснинская низменность,莫洛加-舍克斯納低地
Средний Егорлык,中葉戈爾雷克河
Павловское водохранилище,帕夫洛夫水庫
Таштып,塔什特普河
Болгарское городище,保加尔市
Гайны,盖内
Литературно-мемориальный музей Ф. М. Достоевского,陀思妥耶夫斯基博物馆
Дмитриевский район,德米特里耶夫斯基區
Кореневский район,科列涅夫斯基區
Тимский район,季姆斯基區
Солнцевский район,索爾恩采夫斯基區
Пристенский район,普里斯堅斯基區
Лабиринтовые острова,拉比林托維耶群島
Колесовский,科列索夫島
Острова Тилло,蒂洛群島
Остров Соревнования,索列夫諾瓦尼亞島
Пуровский район,普羅夫斯基區
Черек,切列克河
Песь,佩西河
Алуштинский городской совет,阿卢什塔市议会
Маджар,马加尔
Пассаж,帕萨兹拱廊街
Русские Витязи,俄羅斯勇士飛行表演隊
пролив Шокальского,紹卡利斯基海峽
Кучерлинское озеро,庫切爾拉湖
Герб Алтайского края,阿尔泰边疆区区徽
Герб Карачаево-Черкесии,卡拉恰伊-切尔克斯共和国国徽
Герб Мурманской области,摩尔曼斯克州州徽
Анзерский,安澤爾斯基島
Большой Кочмес,大科奇梅斯河
Партизанская,帕爾季贊斯卡亞河
Карагинский залив,卡拉加灣
Остров Елены,埃琳内岛
Фишт,菲什特山
Первомайское,基文纳帕
Флаг Приморского края,滨海边疆区区旗
Герб Кабардино-Балкарии,卡巴爾達-巴爾卡爾共和國國徽
Красный мост,红桥
Албазино,阿尔巴津诺
Флаг Красноярского края,克拉斯諾亞爾斯克邊疆區區旗
Герб Санкт-Петербурга,聖彼得堡市徽
Вопь,沃利河
Монгун-Тайга,蒙贡-泰加山
Порховский район,波爾霍夫斯基區
Черемисиновский район,切列米西諾夫斯基區
Касторенский район,卡斯托連斯基區
Обоянский район,奧博揚斯基區
Горшеченский район,戈爾舍琴斯基區
Жилой дом на Кудринской площади,庫德林廣場大樓
Флаг Мурманской области,摩尔曼斯克州州旗
"Военно-исторический музей артиллерии, инженерных войск и войск связи",砲兵博物館
Баксанская нейтринная обсерватория,巴克三微中子觀測所
Глухая Вильва,格盧哈亞維利瓦河
Тургояк,圖爾戈亞克湖
латгальцы,拉特加利亞
Вижай,維扎伊河
Китойские Гольцы,基托伊山脈
Академия,FC季米特洛夫格勒
Российский государственный гуманитарный университет,俄罗斯国立人文大学
Хотынецкий район,霍特涅茨基區
российско-китайская граница,中国－俄罗斯边界
Казахстанско-российская граница,俄罗斯－哈萨克斯坦边界
175-й меридиан западной долготы,西经175度线
Хромская губа,赫羅馬灣
Охта-центр,奥赫塔中心
Тинькофф,丁科夫啤酒
Тисса,蒂薩河 (奧卡河支流)
Тогузак,托古扎克河
Волгоградский государственный медицинский университет,伏尔加格勒国立医科大学
141-й специальный моторизованный полк имени Героя Российской Федерации Ахмата-Хаджи Кадырова,卡德羅夫的追隨者
Нолинский район,諾林斯基區
Красноармейский район,克拉斯諾阿爾梅伊斯基區
Спасский район,斯帕斯基區
Малая земля,小地战役
Кысыл-Сыр,克孜勒瑟爾_(維柳伊斯克區)
Кинопоиск,電影搜索
Высший Арбитражный Суд Российской Федерации,俄罗斯联邦最高仲裁法院
Золотухинский район,佐洛圖欣斯基區
Кесова Гора,克索瓦戈拉
Конышёвский район,科內紹夫斯基區
Большесолдатский район,博利舍索爾達特斯基區
Комитет освобождения народов России,解放俄罗斯人民委员会
Парфино,帕尔菲诺
Сенатская площадь,枢密院广场
Сить,西蒂河
Кивач,基瓦奇瀑布
Сенеж,謝涅日湖
Ленинградский проспект,列寧格勒大街
Бердигестях,别尔季格斯佳赫
Законодательное собрание Санкт-Петербурга,聖彼得堡立法會議
Кокушкин мост,科库什金桥
Симферопольский городской совет,辛菲罗波尔自治市
Псково-Печерский монастырь,普斯科沃-彼切尔修道院
Ульяновка,乌里扬诺夫卡_(列宁格勒州)
Ушумун,乌舒蒙
Усово,烏索沃
Усть-Абакан,乌斯季阿巴坎
Усть-Большерецк,烏斯季博利舍列茨克
Шаква,沙克瓦河
Металлург-Кузбасс,新庫茲涅茨克足球俱樂部
Кадом,卡多姆
Российско-американские отношения,俄美關係
Кадый,卡德
Татарка,韃靼卡河
Тайдон,泰東河
Таюра,塔尤拉河
Уральская,乌拉尔站
Жигули,吉古力
Инкерманский пещерный монастырь,印克曼窟寺
Герб Северной Осетии,北奥塞梯-阿兰共和国国徽
Ивановский район,伊万诺沃区
Шайба,謝科競技場
Проспект Космонавтов,宇航员大道站
Ново-Конюшенный мост,新马厩桥
Пяозерский,皮亚奥泽尔斯基
Пшеха,普舍哈河
Ныроб,内罗布
Большая Визинга,大維津加河
Красноармейский,紅軍
Павловский парк,巴甫洛夫斯克公园
Остров Шалаурова,沙勞羅夫島
Большая Удина,烏季納火山
Новый Торъял,新托尔亚尔
Кресты,克雷斯蒂监狱
Пряжа,普里亚扎
Московская биржа,莫斯科證券交易所
Мга,姆加河
флаг Пензенской области,奔萨州州旗
Николаевская академия Генерального штаба,尼古拉參謀學院
Бустах,布斯塔赫湖
Русское Устье,俄罗斯河口村
Усть-Донецкий,乌斯季顿涅茨基
Новочеркасская,新切爾卡瑟站
Волчья река,沃爾奇亞河
Суавъярви,苏阿夫湖撞击坑
Пекша,佩克沙河
Нунциатура Святого Престола в России,教廷駐俄羅斯大使館
Култук,库尔图克
международный аэропорт Жуковский,拉緬斯科耶機場
Петришуле,圣彼得中学
Санкт-Петербургский горный университет,圣彼得堡国立矿业大学
Басеги,巴謝吉山脈
Дом Чехова,白色鄉間別墅
Томтор,托姆托爾
Бухта Броутона,布勞頓灣
Чуйские белки,丘亚山脉群
Кубок мира по спортивной ходьбе 2012,2012年競走世界盃
Угловка,乌格洛夫卡_(诺夫哥罗德州)
Крестцы,克列斯齐
Шимск,希姆斯克
Взрыв в Московском метрополитене (февраль 2004),2004年2月莫斯科地鐵爆炸案
Сангар,桑加爾_(薩哈共和國)
Залив Креста,克列斯特灣
Флаг Томской области,托木斯克州州旗
Московская Хельсинкская группа,莫斯科赫爾辛基小組
Российско-латвийская граница,俄拉边境
Кирпили,基爾皮利河
Флаг Орловской области,奥廖尔州州旗
День памяти жертв политических репрессий,政治迫害遇难者日
Егошиха,葉戈希哈河
Лопасня,洛帕斯尼亞河
Галичское озеро,加利奇斯科耶湖
Вёкса,維奧克薩河
Керчь (аэропорт),刻赤機場
Санкт-Петербургский государственный инженерно-экономический университет,圣彼得堡国立工程经济大学
Тувинский государственный университет,圖瓦國立大學
Ковровский механический завод,科夫羅夫機械工廠
Вагран,瓦格蘭河
Движение против нелегальной иммиграции,反非法移民运动
Кадыкчан,卡德克昌
Ясенево,亞先涅沃站
Административно-территориальное деление Кемеровской области,克麥羅沃州行政區劃
Остров Колчака,高爾察克島
Текстильщик,泰提沙基卡梅申足球會
Временное Сибирское правительство,西伯利亞臨時自治政府
Мечеть аль-Марджани,马儿卡尼清真寺
Флаг Астраханской области,阿斯特拉罕州州旗
Бусани,布薩尼湖
Тройной мост,三节桥
Буссе,遠淵湖
Пирос,皮羅斯湖
Дальневосточный военный округ,远东军区
Герб Республики Саха,萨哈共和国国徽
Оленёкский залив,奧列尼奧克灣
Красночетайский район,克拉斯諾切泰斯基區
Вурнарский район,武爾納爾斯基區
Школа-студия МХАТ,莫斯科藝術劇院
Константиновское артиллерийское училище,康斯坦丁诺夫斯基炮兵学校
Муезерский,穆耶泽尔斯基
Пиндуши,平杜希
Ленком,列寧共青團劇院
подпоручик,少尉
Финляндский железнодорожный мост,芬蘭鐵路橋
Куженер,库热涅尔_(马里埃尔共和国)
Головосек,施洗約翰之死
Административно-территориальное деление Омской области,鄂木斯克州行政区划
Административно-территориальное деление Ростовской области,罗斯托夫州行政区划
Битва на Тереке,捷列克河之戰
Кряшены,克拉珊人
Голубой Залив,霍卢巴扎托卡
Киевский Ёган,基耶夫斯基約甘河
Герб Башкортостана,巴什科爾托斯坦共和國國徽
Николаевский район,尼科拉耶夫斯基區
Косма,科斯馬河
Нарьян-Мар,纳里扬马尔机场
Южный Урал,南烏拉爾山脈
Тобыш,托貝什河
Никольский рынок,尼古斯基市場
Лебяжье,列比亞日耶
Флаг Челябинской области,车里雅宾斯克州旗
Землетрясения на Камчатке,堪察加地震
Таврическое,塔夫里切斯科耶_(鄂木斯克州)
Ангара,安加拉航空
Тээли,泰利
Храм Пресвятой Троицы,天主圣三堂 (托博尔斯克)
Яльчик,亞利奇克湖
Ляля-Тюльпан,拉拉-鬱金香大清真寺
Герб Пермского края,彼尔姆边疆区区徽
Николаевка,尼古拉伊夫卡
Октябрьский район,十月村區
Хорольский район,霍羅利斯基區
Россия на Паралимпийских играх,帕拉林匹克運動會俄羅斯代表團
Чля,奇利亞湖
Чернокурьинское,切爾諾庫利因斯卡埃湖
Кади,卡季湖
Булухта,布盧赫塔湖
Малое Еравное озеро,小葉拉夫諾耶湖
Салтаим,薩爾泰姆湖
Шумерлинский муниципальный округ,舒梅爾林斯基區
Була,布拉河
Татьянин день,學生節
Флаг Новосибирской области,新西伯利亚州州旗
Лысьва,雷西瓦河
Выгоничский район,维戈尼奇区
Новозыбковский район,新济布科夫区
Ибресинский район,伊布列辛斯基區
Литейный проспект,铸造厂大街
Военно-космическая академия имени А. Ф. Можайского,亚历山大·莫扎伊斯基军事航天学院
дигорский диалект,迪格隆奧塞提亞語
Куньинский район,昆因斯基區
Новоспасский монастырь,救世主新修道院
Печорский район,佩喬爾斯基區
Брянский район,布良斯克区
Волга,烏里揚諾夫斯克伏爾加足球會
Зуевский район,祖耶夫斯基區
Борисово,博里索沃站
Сахалин,薩哈林州南薩哈林斯克足球會
Павловский район,帕夫洛夫斯基區
Ульяновский район,烏利亞諾夫斯基區
Мясниковский район,米亞斯尼科夫斯基區
Солнцевская организованная преступная группировка,松采沃兄弟會
Немда,涅姆達河
Болотная площадь,博洛特納亞廣場
Кондратьево,孔德拉季耶沃
Флаг Архангельской области,阿尔汉格尔斯克州州旗
Триумфальные ворота,莫斯科凱旋門
Российская экологическая партия «Зелёные»,俄羅斯生態綠黨
Кузнечное,库兹涅奇诺耶
Волгоградский трамвай,伏尔加格勒电车
Псекупс,普謝庫普斯河
Флаг Сахалинской области,萨哈林州州旗
Флаг Ямало-Ненецкого автономного округа,亞馬爾-涅涅茨自治區區旗
Флаг Ненецкого автономного округа,涅涅茨自治區區旗
Флаг Ярославской области,雅羅斯拉夫爾州州旗
Флаг Кемеровской области,克麦罗沃州州旗
Флаг Иркутской области,伊尔库茨克州州旗
Даниловка,丹尼洛夫卡_(伏尔加格勒州)
Астория,阿斯托里亞酒店
Ядринский район,亞德林斯基區
Свапа,斯瓦帕河
Московский проспект,莫斯科大街
Челканцы,切爾干人
Котельничский район,科捷利尼奇斯基區
Советский район,索韋特斯基區
Вятскополянский район,維亞特斯科波良斯基區
Астрокосмический центр ФИАН,列別捷夫物理研究所天文中心
Пустошкинский район,普斯托什金斯基區
Новатор,革新家设计局
Форносово,福尔诺索沃
Дальнеконстантиновский район,達利涅孔斯坦季諾夫斯基區
Алтайский государственный технический университет имени И. И. Ползунова,阿尔泰国立技术大学
Гагаринский район,加加林區
Кинель-Черкасский район,基涅利-切爾卡斯基區
Кинельский район,基涅利斯基區
Безенчукский район,別津丘克斯基區
Залив Ольги,奧爾加灣
Новосокольнический район,新索科利尼切斯基區
Пыталовский район,佩塔洛夫斯基區
Усвятский район,烏斯維亞特斯基區
Холодильник,霍洛季林山
Дачное,達奇諾耶站
Челно-Вершинский район,切爾諾-韋爾申斯基區
Клявлинский район,克利亞夫林斯基區
Богатовский район,博加托夫斯基區
Исаклинский район,伊薩克林斯基區
Союз-Т,联盟-T
Долгопрудненское научно-производственное предприятие,多爾戈普魯德內科研生产企业
Демьяново,杰米扬诺沃
Дергачёвский район,傑爾加喬夫斯基區
Дмитриевка,德米特里耶夫卡_(坦波夫州)
Шамилькала,沙米利卡拉
Московская соборная мечеть,莫斯科大清真寺
Флаг Тульской области,图拉州州旗
Флаг Смоленской области,斯摩棱斯克州州旗
площадь Победы,勝利廣場 (聖彼得堡)
Герб Красноярского края,克拉斯諾亞爾斯克邊疆區區徽
Авиация Военно-Морского Флота Российской Федерации,俄罗斯海军航空兵
хоккей с шайбой на зимних Олимпийских играх 2014 (мужчины),2014年冬季奧林匹克運動會冰球比賽男子賽事
Хохлово,霍赫洛沃_(卡杜伊区)
Холмский городской округ,霍爾姆斯基區
Плавниковые острова,普拉夫尼克群島
Юрий,勇留島
Острова Петра,彼得群島
Горно-Алтайск,戈爾諾-阿爾泰斯克機場
Джубга,朱布加
Каменка,卡緬卡河
Вознесенский монастырь,耶穌升天修道院
Иликта,伊利卡塔河
Глебовы,格列波夫家族
Белые ночи Санкт-Петербурга,白夜藝術節
Великая Россия,大俄罗斯
Гвардейское,近卫军村
Ташанта,塔尚塔
орден Мужества,勇气勋章
Любосеевка,柳博謝耶夫卡河
Динамо,戴拿模球場（海參崴）
Мавиал,馬加丹航空
Тандово,坦多沃湖
Хумми,胡米湖
Пено,佩諾湖
Чокракское озеро,喬克拉齊克湖
Лебяжье,列比亞日耶湖
Леушинский Туман,列烏申斯基圖曼湖
Увильды,烏維利德湖
Духовницкое,杜霍夫尼茨科耶
Мокроус,莫克罗乌斯
Рыбацкое,里巴茨科耶站
Шелонская битва,谢隆战役
Европейский маршрут E119,欧洲E119公路
Лиговский проспект,利戈夫斯基大道站
Чердаклинский район,切爾達克林斯基區
Выборг,維堡站
Повенец,波韦涅茨
Флаг Ленинградской области,列宁格勒州州旗
Кардымовский район,卡爾德莫夫斯基區
Духовщинский район,杜霍夫辛斯基區
Улица Сергея Эйзенштейна,謝爾蓋·艾森施泰因街站
Сибирское отделение Российской академии наук,俄罗斯科学院西伯利亚分院
доктор юридических наук,司法學博士
Долгое,多尔戈耶
Большеболдинский район,博利舍博爾金斯基區
Барсово,巴尔索沃_(汉特-曼西自治区)
Северноалтайский язык,北阿尔泰语
Арбаж,阿尔巴日
Российско-индийские отношения,印度－俄羅斯關係
Ульяновск-Восточный,乌里扬诺夫斯克东方港机场
Новый Арбат,新阿爾巴特街
Брасовский район,布拉索沃区
Дрожжановский район,德羅扎諾夫斯基區
Казанский трамвай,喀山電車
Вурнары,武尔纳雷
Гостиный двор,大高爾基百貨
Советское,多洛瑟
