Douglas Adams,道格拉斯·亚当斯
Michael Warriner,迈克尔·沃里纳
Nick Lane,尼克·連恩
Nick Middleton,尼克·米德尔顿
Michael Socha,迈克尔·索恰
Mavis Tate,马维什·泰特
Max Boisot,马克斯·H·博伊索特
Martin Boyle,馬丁·博伊爾
Miles Storey,米爾斯·斯托雷
Milo Yiannopoulos,米羅·雅諾波魯斯
"Ralph Percy, 12th Duke of Northumberland",第十二代諾森伯蘭公爵拉爾夫·珀西
Michael Sullivan (sport shooter),迈克尔·沙利文
Molly Smitten-Downes,莫莉·斯密登-道恩斯
Michael Rowse,盧維思
Martin Marquez,馬丁·馬奎斯
Martin Brasier,马丁·布拉西尔
Martin Butler (composer),馬丁·巴特勒
Maurice Michael Stephens,莫里斯·邁可·史蒂芬斯
Moira MacLeod,莫伊拉·麦克劳德
Martin Jacques,馬丁·雅克
Martin Hyland,馬丁·海蘭德
Martin Cross,马丁·克罗斯
Nick Land,尼克·兰德
Michelle O'Neill,米歇尔·奥尼尔
Nick Jardine,尼克·贾丁
Nick Jago,尼克亚高
Nick Helm,尼克·赫尔姆
Nick Varney,尼克·瓦尼
Nick Rogers (sailor),尼克·罗杰斯
Murray Wallace (footballer),穆雷·華萊士
"Murray Beauclerk, 14th Duke of St Albans",第十四代聖奧爾本斯公爵莫瑞·博克萊爾
Montell Douglas,蒙特尔·道格拉斯
Martyn Woodroffe,马丁·伍德罗夫
Melanie Clewlow,梅拉妮·克卢洛
Mary Gordon-Watson,玛丽·戈登-沃森
Mary Fraser Tytler,玛丽·弗雷泽·泰勒
Michael Baum (surgeon),米高·巴穆
Natalie Bennett,娜塔莉·本内特
Nigel Harris (economist),奈杰尔·哈里斯
Natalie Jones,纳塔莉·琼斯
Martin Smith (swimmer),马丁·史密斯
Murad Qureshi,穆拉德·库雷希
Melanie Wilson (rower),梅拉妮·威尔逊
Melford Stevenson,梅爾福德·史蒂文森
Nigel Scullion,奈格爾·斯卡良
Michael Appleton,迈克尔·阿尔普顿
Nicky Clark,尼基·克拉克
"Nicky Law (footballer, born 1988)",尼基·勞
Nicky Gooch,尼基·古奇
Martyn Grimley,马丁·格里姆利
Michael Bostwick,邁克·博茨維克
Nathalie Emmanuel,娜塔莉·伊曼纽尔
Natalie Steward,纳塔莉·斯图尔德
Natalia Karp,娜塔莉亞·卡普
Micky Mellon,米奇·梅隆
"Mike Edwards (footballer, born 1980)",迈克尔·爱德华兹·(1980年)
Mike Dibb,迈克尔·迪布
Mary Bernheim,玛丽·伯恩海姆
Miguel Sapochnik,明格爾·薩普什尼克
Walter Garstang,沃尔特·加斯坦格
Nathaniel Reilly-O'Donnell,纳撒尼尔·赖利-奥唐奈
Norman Bentwich,諾曼·本特威奇
Michael David Cartland,簡德倫
Michael Dexter,迈克尔·德克斯特
Michael David Thomas,唐明治
Neil Eckersley,尼尔·埃克斯利
Norman Hughes,诺曼·休斯
Pat MacArthur,帕特·麥克阿瑟
Pat Hutchins,佩特·哈群斯
Mike Nesbitt,麦克·内斯比特
Neil Armour,尼爾·安瑪
Mike Macari,迈克·马卡里
Norman Dodgin,諾爾曼·道金
Matt Barbet,馬特·巴貝特
Mathew Horne,馬修·霍恩
Mike McCarthy (rugby union),麥克·麥卡錫
Peter Millican,彼得·米利肯
Peter Horne,彼得·霍恩·(橄榄球运动员)
"Paul Ritchie (footballer, born 1969)",布·力治
Paul Ratcliffe,保罗·拉特克利夫
Paul Reynolds (actor),保羅·雷諾斯·(演員)
Paul Popplewell,保罗·帕普利维尔
Norman Macrae,诺曼·麦克雷
Patricia H. Clarke,帕特丽夏·克拉克
Nick Montgomery,歷克·蒙哥馬利
Peter Jones (entrepreneur),彼得·琼斯
Peter Jaffe,彼得·贾菲
Neil Swarbrick,尼爾·史禾碧克
Oliver Dimsdale,奧利佛·迪姆斯代爾
Oliver Chris,奧利佛·克里斯
Oliver Farnworth,奧利弗·范華斯
Pauline Robertson,保利娜·斯托特
Neil O'Brien,尼尔·奥布赖恩
O-T Fagbenle,O·T·費本勒
Peter Newmark,彼得·纽马克
Olive Morris,奥利弗·莫里斯
Neville Neville,内维尔·内维尔
Olivia Colman,奧莉薇雅·柯爾曼
Paddy Jackson,帕迪·傑克遜
Peter Wong (banker),王冬勝
Herbert Wright (wrestler),彼得·赖特
Percy Shaw,珀西·肖
Peter Vincenti,彼得·文森迪
Paul Bircher,保罗·伯彻
Olivia Judson,奥利维娅·贾德森
Ollie Banks,奧利·班克斯
Olly Alexander,奧利·亞歷山大
Olly Lee,奥利弗·李
Peter Shand Kydd,彼得·尚德·基德
Nicholas Wade,尼古拉斯·韦德
Nick Blood,尼克·布魯德
Ossie Stewart,奥西·斯图尔特
Paul Anderson (sailor),保罗·安德森·(帆船运动员)
Paul Allen (footballer),保羅·艾倫·(足球運動員)
"Peregrine Cavendish, 12th Duke of Devonshire",第十二代德文郡公爵佩里格林·卡文迪許
"Peter Baden-Powell, 2nd Baron Baden-Powell",彼得·貝登堡
Peter Baikie,彼得·贝凯
Nicholas Baker (politician),尼古拉斯·贝克·(政治人物)
Percy Cradock,柯利達
Patrick Sweeney (rowing),帕特里克·斯威尼
Owain Fôn Williams,奧文·威廉斯
Pete Shaughnessy,皮特·肖内西
Paul Barber (field hockey),保罗·巴伯
Paul Chan Mo-po,陳茂波
Peter Allam,彼得·奥勒姆
Phil Edwards (cyclist),菲尔·爱德华兹·(自行车运动员)
Phyllis Harding,菲莉丝·哈丁
Peter Coveney,彼得·柯文尼
Bernard Bernard (wrestler),菲利普·伯纳德
Phil Lester,菲爾·萊斯特
Peter Downton Croft,彼得·克罗夫特
Robert Chow,周融
Ruth Perednik,露丝·佩雷德尼克
Pit Corder,皮特·科德
Paul Fletcher (politician),保羅·弗萊徹
Peter Clark (historian),彼得·A·克拉克
Rhodri Jones,羅德里·瓊斯
Rhona Simpson,罗娜·辛普森
Rhodri Williams (rugby union),羅德里·威廉姆斯
Reuben Jones,鲁本·琼斯
Richard Beesly,理查德·比斯利
Peter Heaton-Jones,彼得·希頓-瓊斯
Paul Dyson,保羅·戴森
Paul Dummett,保羅·杜米特
Rhys Gill,瑞斯·吉爾
Rhys Webb,瑞斯·韋伯
Peter Carmichael,彼得·卡迈克尔
"Phil Smith (footballer, born 1979)",菲尔·史密斯·(足球运动员)
Paul Gray (civil servant),保罗·格雷
Peter Day (chemist),彼得·戴·(化学家)
Philip Fleming (banker),菲利普·弗莱明
Richard Budgett,理查德·巴杰特
Paul Furlong,保罗·弗隆
Peter Godber,葛柏
Peter H. Jackson,彼得·H·杰克逊
R. H. Robins,罗伯特·亨利·罗宾斯
R. J. Berry,R·J·贝瑞
Peter Haining (rower),彼得·海宁
R. V. C. Bodley,罗纳德·维克多·考特尼·鲍德利
Peter Heatly,彼得·希特利
Richard Fanshawe (equestrian),理查德·范肖
Richard Faulds,理查德·福尔兹
Richard Dodds,理查德·多兹
Robin O'Donoghue,罗宾·奥多诺休
Robin Le Poidevin,罗宾·勒·波伊德温
Rob Bale,羅伯·貝爾
Robin Baker (biologist),罗宾·贝克
Robin Attfield,罗宾·阿特菲尔德
"Bob Thompson (footballer, born September 1890)",羅拔·湯臣
Rachel Walker (field hockey),蕾切尔·沃克
Rachel Whetstone,瑞秋·威特斯通
Paul Mellars,保罗·梅拉尔斯
Ritchie Robertson,里奇·罗伯逊
Rosemary Foot (academic),傅若詩
Paul Paton,保羅·帕頓
Paul Ogden,保羅·奧頓
Paul Massey (sound engineer),保罗·梅西
Rob Marris,羅伯·馬里斯
Rob Harley,羅伯·哈利
Richard John Harrison,理查德·约翰·哈里森
"Robert Baden-Powell, 3rd Baron Baden-Powell",羅伯特·克勞斯·貝登堡
Ray Beckett (sound engineer),雷·贝克特
Paul Klenerman,保罗·克莱纳曼
Richard Hollis,理查德·霍利斯
Paul Massey (rower),保罗·马西
Paul Mattick (rower),保罗·马蒂克·(赛艇运动员)
Robin Johnstone,罗宾·约翰斯通
Richard Cousins,理查德·考辛斯
Ritchie Humphreys,里奇·亨弗雷斯
Robin Aisher,罗宾·艾舍
Richard Lodge,理查德·洛奇
Richard Lucas (rower),理查德·卢卡斯
Robert Adlard,罗伯特·阿德拉德
Rosie Roff,蘿西·羅夫
Ross Moriarty,羅斯·莫里亞蒂
Richard Leman,理查德·莱曼
Richard Lester (rower),理查德·莱斯特
Raymon Anning,顏理國
Raymond "Shrimp Boy" Chow,周國祥
Reece Shearsmith,里斯·谢尔史密斯
Robert Cruickshank (sailor),罗伯特·克鲁克香克
Roy Charman,罗伊·查曼
Richard O'Donnell,理查德·奧多内爾
Robert Garside,罗伯特·加赛德
Richard Stanhope,理查德·斯坦诺普
Robert J. C. Young,罗伯特·J·C·扬
Sam Wood (footballer),薩姆·伍德
Rebecca Cooke,丽贝卡·库克
Rowland George,罗兰·乔治
Rowley Douglas,罗利·道格拉斯
Richard Smallwood (footballer),理查德·斯莫伍德
Robert Coleman (sailor),罗伯特·科尔曼
Robert Clift,罗伯特·克利夫特
Richard Pryke,理查德·普莱克
Richard Nizielski,理查德·尼齐尔斯基
Rolando Aarons,路蘭度·艾朗斯
Rudolf Alfred Bosshardt,薄復禮
Ruby Harrold,露比·哈罗德
Roland Carl Backhouse,羅蘭·卡爾·巴克豪斯
Robert Murray (sport shooter),罗伯特·默里
Robert Nisbet (rower),罗伯特·尼斯比特·(赛艇运动员)
Robert Morrison (rower),罗伯特·莫里森
Russell Knox,羅素·諾克斯
Russell Harmer,拉塞尔·哈默
Roberto Ribeiro (judge),李義·(法官)
Ron Gray (footballer),羅恩·格雷
Ronald Holmes,何禮文
Ryan Allsop,萊安·阿爾索普
Ronnie Boyce,羅尼·博伊斯
Shirley Porter,雪莉·波特
Ronald Atkins,罗纳德·阿特金斯
Samuel Rabin (artist),塞缪尔·雷宾
Sidney Swann,悉尼·斯旺
Ron Johnston (geographer),罗纳德·约翰·约翰斯顿
Rupert Goold,鲁伯特·古尔德
Rupert Wingfield-Hayes,傅東飛
Rosalind Brett,罗莎琳德·布雷特
Russell Slade,拉塞尔·斯来德
Ryan Scully,萊安·斯庫利
Ryan Thomas,瑞安·托馬斯
Ryan Dow,雷恩·道
Ryan Colclough,瑞安·科尔克拉夫
Sandra Goldbacher,桑德拉·戈尔德拜彻
Silas Aaron Hardoon,哈同
Ryan Gauld,萊恩·高爾德
Ryan Fredericks,賴恩·費特歷斯
Samantha Shannon,莎曼珊·夏儂
Bernard Penfold,彭福·(英國陸軍將領)
Robert Peston,羅伯特·佩斯頓
Robert Perry (sailor),罗伯特·佩里·(帆船运动员)
Simon Dutton,西门·杜顿
Simon Dennis (rower),西蒙·丹尼斯
Simon Eastwood,西蒙·伊斯特伍德
Sam Clucas,山姆·克盧卡斯
Sian Williams (footballer),沙恩·威廉斯
Ryan Grant (rugby union),瑞安·格蘭特
Sophia Di Martino,蘇菲雅·迪馬蒂諾
Simon Burnett,西蒙·伯内特
Simon Charlton,西蒙·查尔顿
Sophie Ingle,蘇菲·英高爾
Sarah Champion,柴萍恩
Simon Francis (footballer),西蒙·弗朗西斯
"Torquhil Campbell, 13th Duke of Argyll",第十三代阿蓋爾公爵托庫希爾·坎貝爾
Steve Pemberton,史蒂夫·佩姆伯顿
Sarah Marshall (British actress),莎拉·马歇尔
Sam Billings,山姆·比林斯
Simon Price (classicist),西蒙·普莱斯
Simon Kassianides,西蒙·凱斯安尼斯
Sarah Price (swimmer),萨拉·普赖斯
Simon Kaye,西蒙·凯
Ryan Wilson (rugby union),瑞安·威爾遜
Ryan Watson (footballer),瑞恩·華生
Sandy Flockhart,霍嘉治
Sandy Lister,桑迪·利斯特
Sam Robertson,山姆·羅伯森
Sam Morsy,萨姆·莫西
Sophie Rundle,蘇菲·朗朵
Saido Berahino,赛度·巴拉希諾
Simon Sinek,西蒙·斯涅克
Sam Saunders (footballer),薩姆·桑德斯
Steven Hewitt,斯蒂文·休伊特
Steven Dominique Cheung,張敬龍
Steve Reed (politician),史提夫·里德
Steve Potts (footballer),史蒂夫·樸斯·(足球運動員)
Sam Hidalgo-Clyne,山姆·希達爾戈-克萊因
Saskia Clark,萨斯基娅·克拉克
Steve Trapmore,史蒂夫·特拉普莫尔
Stanley Garton,斯坦利·加顿
Sarah Hadland,萨拉·哈德兰
Simon Hayes (sound engineer),西蒙·海耶斯
Simon Hiscocks,西蒙·希斯科克斯
Simon J. Smith,西蒙·J·史密斯
Scott Boyd,斯科特·博伊德
Scott Andrews (curler),斯科特·安德鲁斯·(冰壶运动员)
"Scott Andrews (rugby union, born 1989)",斯科特·安德鲁斯·(橄榄球运动员)
Scott Baldwin (rugby union),斯科特·鮑德溫
Steven Scott,史蒂文·斯科特
Stanfords,斯坦福書店
Stevie May,史堤夫·美爾
Simon Mason (field hockey),西蒙·梅森
"Scott Davies (footballer, born 1987)",斯科特·戴维斯·(足球运动员)
Stanley Wells,斯坦利·威尔斯
Stephen Doughty,斯特芬·多赫提
Stewart McPherson (geographer),斯图尔特·麦克弗森
Stewart Morris,斯图尔特·莫里斯
Stephen Batchelor (field hockey),斯蒂芬·巴彻勒
Stephanie Cullen,斯蒂芬妮·卡伦
Stewart Drummond,斯图尔特·德拉蒙德
T. J. Hamblin,T·J·漢布林
Philip Sassoon,菲利普·沙逊
Stephen Parry (Australian politician),斯蒂芬·帕瑞
Stephen Chan Chi-wan,陳志雲
Solomon Adler,所罗门·阿德勒
Scott Wagstaff,斯科特·瓦格斯塔夫
Stephen Watson (footballer),史提芬·屈臣
Stuart McInally,斯圖爾特·麥克伊納利
Tammy Miller,塔米·米勒
Sebastian Earl,塞巴斯蒂安·厄尔
"Sir William Parker, 3rd Baronet",威廉·帕克
Sean Thornley,肖恩·索恩利
Ted Fenton,泰德·芬頓
Stephen Hendrie,斯蒂芬·亨得利·(足球運動員)
Stephen Hillier,史蒂芬·希利爾
Stuart O'Keefe,斯圖爾特·奥克福
Stuart Peach,斯圖爾特·彼奇
Sean Welsh,肖恩·威爾士
Sean Tse,謝家強
Tendayi Darikwa,腾达伊·达里克瓦
Susan Fraser,苏珊·弗雷泽
Susan Whitfield,魏泓
Terence O'Brien (rower),特伦斯·奥布赖恩
Terence Smith (sailor),特伦斯·史密斯
Terence Sanders,特伦斯·桑德斯
Tim Foster,蒂姆·福斯特
Tim Crooks,蒂姆·克鲁克斯
Terry McDonough,泰瑞·麥克多諾
Shabana Bakhsh,沙巴娜·巴克诗
Steve Jennings (footballer),斯蒂文·傑尼格斯
"Steve Evans (footballer, born 1962)",史提夫·伊雲斯
Tommy Elphick,汤米·埃尔菲克
Shaun Brisley,肖恩·布萊斯利
Sydney Caine,金錫儀
Tim Swinson,提姆·斯溫森
Tommy Mather,汤米·马瑟
Suicide of Kelly Yeomans,凯利·约曼斯的自杀
Shaun Hutchinson,肖恩·霍金森
Shaun Dingwall,肖恩·丁沃爾
Suzannah Lipscomb,苏珊娜·利普斯科姆
Steve Lomas,史提夫·盧馬斯
Tim Jeal,提姆·吉爾
Tim O'Shea (footballer),添·奧沙
Tim Palmer (physicist),蒂姆·帕尔默
Timothy Walker (botanist),蒂莫西·沃克·(植物学家)
Tommy Seymour,托米·西摩
David Collet,戴维·科利特
Theophilus Pinches,西奧菲勒斯·品奇斯
Theodore Taylor (politician),西奥多·库克·泰勒
Tommy Howarth,湯美·賀華
John Ross (blogger),罗思义
Toby Garbett,托比·加伯特
Tony Barrow,托尼·巴罗
Tony Bastable,托尼·巴斯塔布爾
Martin Bristow,马丁·布里斯托
Tommy O'Sullivan,托米·奥蘇利文
Victor Sassoon,维克多·沙逊
William Blair (judge),貝偉廉
Tom Brewster,汤姆·布鲁斯特
Tom Bradby,湯姆·布拉德比
Tina Cullen,蒂娜·卡伦
Hu Ting-ting,胡婷婷
Tony Dawe,托尼·达维
Vincent Wan (actor),溫家恆
Tom Goodman-Hill,汤姆·古德曼-希尔
Victoria Thornley,维多利亚·索恩利
Vietnamese people in the United Kingdom,越南裔英国人
Tom Cullen,汤姆·卡伦
Tom Lockyer,汤姆·洛克伊尔
William Doyle (historian),威廉·多伊尔·(历史学家)
Toby Wilkinson,托比·威尔金森
Tom Aldred,湯姆·阿爾德雷德
Violet McBride,维奥莱特·麦克布赖德
Virginia Elliott,弗吉尼娅·埃利奥特
Thomas Logie MacDonald,托马斯·洛吉·麦克唐纳
Thomas Kwok,郭炳江
W. Andrew Robinson,W·安德鲁·鲁宾逊
Tom Scott (YouTuber),汤姆·斯科特·(YouTuber)
Tom Hallett,汤姆·哈利特
William Henry Wilkinson,務謹順
Hannah Mills,汉娜·米尔斯
"Tom Johnson (rugby union, born 1982)",湯姆·約翰遜
Tom Hopper (footballer),湯姆·霍柏
Tony Sealy,東尼·施利
Trevor McDonald,特雷弗·麦克唐纳
William Fisher (boxer),威廉·费希尔
Walter Alison Phillips,沃尔特·艾利森·菲利普斯
Tom Youngs,湯姆·揚斯
Tom Maschler,汤姆·麦奇勒
Thomas Scott (Bishop of North China),史多马
Thomas Riddell-Webster,托马斯·里德尔-韦伯斯特
Tom Payne (actor),湯姆·佩恩
Walter Bodmer,沃尔特·博德默尔
"Walter James, 4th Baron Northbourne",沃尔特·詹姆斯
Walter Hillier,禧在明
Trevor Leggett,特雷弗·丽月塔
Warren Lamb,沃伦·兰姆
William Maddison,威廉·麦迪逊
Gerry Humphreys,格里·汉弗莱斯
Tomasz Schafernaker,湯瑪斯·史卡佛內克
William Vale,威廉·韋爾
Tom Vaughan (director),湯姆·沃恩·(導演)
William Van Mildert,威廉·范米爾德特
William L. Barry,威廉·巴里
William Newton-Smith,威廉·牛顿-史密斯
Arthur Weasley,亞瑟·衛斯理
William Stanley (football manager),威廉·史丹利·(足球領隊)
William Speechly (ice hockey),威廉·斯皮奇利
Wilbert Hurst-Brown,威尔伯特·赫斯特-布朗
Billy McConnell (field hockey),比利·麦康奈尔
William Milne (sport shooter),威廉·米尔恩
William Reid (VC),威廉·里德
Wyndham Deedes,雲咸·迪茲
Wendy Banks,温迪·班克斯
Vicki Chalmers,薇姬·查默斯
Vicky Exley,薇姬·埃克斯利
Zharnel Hughes,詹內·休斯
Harry Arter,哈里·阿特
Zhang Tielin,張鐵林
William Purves (banker),浦偉士
Winston Foster,温斯顿·福斯特
Vicky Dixon,薇姬·狄克逊
William Sweet,威廉·史威特
Włodzimierz Brus,弗拉基米尔·布鲁斯
Wes Burns,韋斯·伯恩斯
Wes Fogden,韋斯·霍登
Wes Thomas,韦斯·托马斯
Wes Streeting,魏斯·斯特里廷
Zawe Ashton,札薇·艾希頓
Will Bayley,威尔·贝利
Dele Alli,迪利·阿里
Alex Henshall,阿歷克斯·亨歇爾
Robert Bourne (politician),罗伯特·伯恩·(赛艇运动员)
Jack Hacking,傑克·哈金
Harold Barlow,哈罗德·巴洛
Harry Hadley,哈里·哈德里
Louis Page,路易斯·佩奇
Luke Newberry,路克·紐伯瑞
Fran Balkwill,弗兰·鲍克威尔
Harold Temperley,哈罗德·坦珀利
Henry Pollock,普樂
Walter Riggs (sailor),沃尔特·里格斯
Josh Pritchard,喬許·普理查德
Sam McBratney,山姆·麦克布雷尼
Liam Pitchford,利亞姆·皮奇福德
Martin Cheek,马丁·奇克
Ian MacDonald Lightbody,黎保德
Kevin Bond (English footballer),奇雲·邦特
"Tom Elliott (footballer, born 1990)",湯姆·艾利洛
James Hughes-Hallett,何禮泰
Lucy Boynton,露西·波頓
"Jack Payne (footballer, born 1991)",傑克·佩恩·(足球運動員)
Philip Stanley Cassidy,嘉薛地
Caroline Wilson (diplomat),吳若蘭
Geoff Cutmore,喬夫·吉摩爾
Richard Morris Dane,丁恩
Francis Aglen,安格聯
David Canter,戴维·坎特
Lucy Desmond,露西·德斯蒙德
Huw Edwards,休·爱德华兹·(主持人)
Michael Flanders,米高·夫蘭達斯
Jordan Pickford,喬丹·皮克福德
Nick Denton,尼克·丹頓
Jason Chan Chi-san,陳智燊
Roxanne Tong,湯洛雯
Roy Chapman,羅伊·查普曼
Tony Keswick,凯自威
Jonathan Miles (footballer),喬納森·米爾斯
Kevin Stewart (footballer),奇雲·史超活
"Chris Dawson (footballer, born 1994)",克里斯·道森
Michael Wright (architect),鄔勵德
Jonathan Webb (footballer),莊拿芬·韋比
John Osborn (sailor),约翰·奥斯本·(帆船运动员)
Hugh Matheson (rower),休·马西森
John Kynoch,约翰·基诺克
Lily James,莉莉·詹姆斯
Charles Wiggin (rower),查尔斯·威金
Frederick Smallbone,弗雷德里克·斯莫尔本
John Pritchard (rower),约翰·普里查德·(赛艇运动员)
Patti Boulaye,帕蒂·布莱叶
Luke Murphy,盧克·墨菲
Darren Kenny,达伦·肯尼
Paul Chater,遮打
Thomas Dunning,托马斯·约瑟夫·唐宁
David Phillips (chemist),大卫·菲利普斯·(化学家)
Sidney Barton,巴爾敦
Cedric Blaker,布力嘉
John Hathorn Hall,約翰·哈索恩·霍爾
Harry Trusted,哈利·杜拉斯特
Kaizer Lau,劉炳章
Stewart Robson,史釗活·笠臣
Jonathan Frankel,乔纳森·弗兰克尔
Philippe Sands,菲利普·桑兹
Mary Nevill (field hockey),玛丽·内维尔
Joanna Vanderham,琼安娜·范德汉姆
John Johnstone Paterson,J·J·百德新
Bob McGregor,鲍勃·麦格雷戈
Mick Tongraya,米克·通拉亞
Ian Sampson,伊恩·森逊
Harry Hadden-Paton,哈利·海登-帕頓
Andrew Heywood,安德鲁·海伍德
Georgia Taylor-Brown,乔治娅·泰勒-布朗
Gus Kenworthy,格斯·肯沃西
Jordon Forster,喬登·福斯特
Lisa Bayliss,莉萨·贝利斯
Mark Monero,馬克·蒙迪欧
Stephen Martin (field hockey),斯蒂芬·马丁
Zoe de Toledo,佐伊·德托莱多
Pauline Cope,保利娜·科普
Foxes (singer),Foxes·(歌手)
Claude Nicholson (British Army officer),克劳德·尼科尔森·(英国陆军军官)
Mallory Franklin,马洛丽·富兰克林
Karen Brown (field hockey),卡伦·布朗
Frederick Maze,梅樂和
John Newman (singer),约翰·纽曼·(歌手)
CJ Ujah,吉津杜·烏賈
Chuba Akpom,楚巴·阿克波姆
Panuga Riou,帕努加·里奥
Richard Kilty,理查德·基尔蒂
Duncan Pescod,栢志高
Woo Kwok-hing,胡國興
Tom Flanagan (footballer),湯姆·法拿根
Edith Pickles,伊迪丝·皮克尔斯
Denis Bray,黎敦義
John Emsley,约翰·埃姆斯利
"Bob Young (footballer, born 1894)",鮑勃·楊
Alec Stokes,艾力克·斯托克斯
Nick Compton,尼克·康普頓
Paul Magdalino,保罗·马格达利诺
Claire Williams,克莱尔·威廉姆斯
Jake Jervis,杰克·杰维斯
Izzy Brown,艾沙亞·布朗
Zoey Clark,佐伊·克拉克
David Bond (sailor),戴维·邦德
Mark Duffy (footballer),馬克·達菲
James Clarke (rower),詹姆斯·克拉克
"Johnny Williams (footballer, born 1947)",约翰尼·威廉姆斯·(1947年)
Luke Ayling,路基·艾寧
Tom Bateman (actor),湯姆·巴特曼
Jessica Eddie,杰茜卡·埃迪
Michael Twyman,泰文浩
Michael Hopkins (architect),迈克尔·霍普金斯
Edward Corrie (tennis),愛德華·科里
John James Cowperthwaite,郭伯偉
Jonathan Glanfield,乔纳森·格兰菲尔德
Jody Cundy,乔迪·康迪
John Haldon,约翰·哈尔顿
Lionel de Rothschild (born 1882),莱昂内尔·内森·德·罗斯柴尔德·(1882年)
Julian Ovenden,儒利安·歐文登
Harminder Dua,哈明德·杜瓦
Peter Cathcart Wason,彼得·華生
"Charles Innes-Ker, 11th Duke of Roxburghe",第十一代羅克斯堡公爵查爾斯·英尼斯-克爾
Tommaso Allan,托馬索·阿蘭
Prince George of Wales,威尔士的乔治王子
Tyler Blackett,泰萊·比歷格特
Kal Naismith,考·奈史密斯
Jodie Taylor,乔迪·泰勒
FKA Twigs,FKA·Twigs
Jack Aitken,韩世龙
Owain Doull,欧文·道尔
Jordan McGhee,乔丹·麦吉
Vernon Dursley,威農·德思禮
Billy McColl (actor),比利·麥科爾
Darnell Fisher,達尼爾·費沙
Paul Clement (football manager),保羅·基文迪
David Barker (epidemiologist),大衛·巴克
Mark Sanger,馬克·桑格
Nic Strange,尼古拉斯·斯特兰格
Henry Thomas (rugby union),亨利·托馬斯·(橄欖球)
Billy Morgan (snowboarder),比利·摩根
Sinead Chambers,西尼德·钱伯斯
Tommy Lowes,湯米·洛斯
Adam King (footballer),亞當·金
Reece Burke,列斯·布基
"George Thomas (footballer, born 1997)",喬治·托馬斯
"Sam Gallagher (footballer, born 1995)",山姆·加拉赫
Humphrey Patrick Guinness,汉弗莱·吉尼斯
Gladys Carson,格拉迪丝·卡森
Jasmine Thompson,贾思敏·汤普森
Katherine Waterston,凱薩琳·華特斯頓
Jordan Nobbs,乔丹·诺布斯
J. S. S. Martin,J·S·S·马丁
Meghan Beesley,梅根·比斯利
David Westcott,戴维·韦斯科特
Jonathan Richards (sailor),乔纳森·理查兹
Karen Straker,卡伦·狄克逊
James Duthie (field hockey),詹姆斯·达西·(曲棍球运动员)
"James Gray (footballer, born 1992)",詹姆斯·格雷
James MacNabb,詹姆斯·麦克纳布
Ethel Seymour,埃塞尔·西摩
Hilda Smith (gymnast),希尔达·史密斯
Henry Nicoll (equestrian),亨利·尼科尔
Harold West (rower),哈罗德·韦斯特
Guy Oliver Nickalls,盖伊·奥利弗·尼克尔斯
Herbert Perry (sport shooter),赫伯特·佩里
Meralda Warren,梅拉爾達·瓦倫
Nick McKim,尼克·麥金姆
Gary Wilson (snooker player),加里·威尔逊
Liam Henderson,利安·亨德森
Jordan Graham,乔丹·格雷厄姆
Greg Docherty,格雷戈·多赫蒂
Jake Hessenthaler,傑克·赫森塔勒
Sam Bailey,珊·貝莉
Joel Miller (volleyball),喬·米勒
Joe Walker (film editor),喬·沃克
Vivek Murthy,維韋克·穆爾蒂
Louis Longridge,路易斯·朗格利基
Josh Wakefield,約什·哈斯菲爾德
Cammy Smith,卡米·史密斯
Josh Vela,祖舒·韋拿
Ada Smith (gymnast),埃达·史密斯
Arthur Carr (equestrian),阿瑟·卡尔
Geoffrey Lowrey Speak,史璧琦
Daniel Smethurst,丹尼爾·斯摩瑟斯特
Rita Taketsuru,竹鶴麗塔
Paul Digby,保羅·迪比
Isabel Judd,伊莎贝尔·贾德
Marjorie Moreman,玛乔丽·莫尔曼
Robert Foley (academic),罗伯特·A·弗利
"Michael Lindsay, 2nd Baron Lindsay of Birker",林迈可·(英国)
Hugh Pughe Lloyd,休·普格·勞埃德
Sam Underwood,山姆·安德伍德
Karl Slym,林思愷
Bridget (Guilty Gear),布莉姬·(聖騎士之戰)
Hugh Last,休·拉斯特
John McGinn,約翰·麥克金
Jill Ellis,吉兒·伊利斯
Charlee Adams,查理·亞當斯
Paul Tang (civil servant),鄧國威
Ben Lloyd-Hughes,本·劳埃德-休斯
Patrick MacHugh,帕特里克·麦克休
Rhys Walker,里斯·沃克
Lauren Gray,劳伦·格雷
Julia Eccleshare,茱莉亞·愛克謝
Jessie Kite,杰茜·凯特
James Norton (actor),詹姆士·諾頓
Jack Nowell,傑克·諾維爾
Shannon (South Korean singer),Shannon·(韓國歌手)
Stuart Wilson (sound engineer),斯图尔特·威尔逊·(音效师)
Daniel Goodfellow,丹尼尔·古德菲劳
John Rankin (diplomat),約翰·蘭金
Jess Glynne,潔絲·葛琳
Norman P. Barry,诺尔曼·P·巴利
Lancelot Alexander Borradaile,蘭斯洛特·亞歷山大·巴拉代爾
Herbert Huntington (fencer),赫伯特·亨廷顿·(击剑运动员)
Oliver Gwilt,奥利弗·格威尔特
Daniel Font,丹尼尔·丰特
Dina Asher-Smith,迪娜·阿舍-史密斯
Ernest Tipson,歐內斯特·蒂普森
Alison Woollard,艾丽森·伍拉德
"Katherine Willis, Baroness Willis of Summertown",凯西·J·威利斯
