Diego Velázquez,디에고 벨라스케스
Fernando Dagnino Guerra,페르난도 다니노 게라
Paula Echevarría,파울라 에체바리아
Fernando Pasarín,페르난도 파사린
Andrea Ros,안드레아 로스
Carlos Castel,카를로스 카스텔
Ana Rujas,아나 루하스
Alba Messa,알바 메사
Ana Risueño,아나 리수에뇨
Aurora Carbonell,오로라 카보넬
Carlos Javier Delgado Rodríguez,카를로스 델가도
Carles Gil,카를레스 힐
Andrés Barba,안드레스 바르바
Aída Flix,아이드 플릭스
Mario Vaquerizo,마리오 바케리소
Carolina Bang,카롤리나 방
Carlota Olcina,카를로타 올시나
Clara Lago,클라라 라고
Marta Poveda,마르타 포베다
Belén Cuesta,벨렌 쿠에스타
Christina Ochoa,크리스티나 오초아
Juan Fernández Vilela,후안 페르난데스 빌렐라
Canco Rodríguez,캉코 로드리게스
Diego Manuel Béjar,디에고 마누엘 베자르
Carla Nieto,카를라 니에토
Pocholo Martínez-Bordiú,포촐로 마르티네스보르디우
Carla Campra,카를라 캄프라
Diego de Pontac,디에고 데 폰타크
Eva Llorach,에바 요라치
Baldo Martínez,발도 마르티네스
Eustaquio Barjau,에우스타키오 바르하우
Carlos Aragonés,카를로스 아라고네스
Lucía Figar,루시아 피가르
Trino Arizcorreta,트리노 아리스코레타
Félix Pérez Marcos,펠릭스 페레스 마르코스
Karla Sofía Gascón,카를로스 가스콘
Guillermo Sierra Arredondo,기예르모 시에라 아레돈도
Guillermo Hernangómez Heredero,기예르모 에르난고메스 에레데로
Hiba Abouk,히바 아부크
Carlos Sánchez Aguiar,카를로스 산체스 아기아르
Eduardo Espinilla,에두아르도 에스피니야
Giselle Calderón,히세예 칼데론
Carmen Ruiz,카르멘 루이스
Carmina Barrios,카르미나 바리오스
Elena Rivera,엘레나 리베라 비야호스
Carola Baleztena,카롤라 발레스테나
Carolina Darias San Sebastián,카롤리나 다리아스
Carolina Lapausa,카롤리나 라파우사
Inma Cuesta,인마 쿠에스타
Elvira Mínguez,엘비라 밍게스
Jordi Brau,조르디 브루
Jonás Berami,호나스 베라미
Emilio Cruz,에밀리오 크루스
Clemente Villaverde,클레멘테 비야베르데
Jorge Arandes,호르헤 아란데스
Consuelo Berges,콘수엘로 베르헤스
Enrique Gato,엔리케 가토
Jorge Rando,호르헤 란도
Cristina Yuste,크리스티나 유스테
Francisco Delgado López,파코 델가도
César Camino,세사르 카미노
José Antonio Barrios,호세 안토니오 바리오스
Daniel Casadellà,다니엘 카사델라
Javier Reverte,하비에르 레베르테
Celia Freijeiro,셀리아 프레이헤이로
Daniel Mañó,다니엘 마뇨
David corbi,다비드 과포
Jerónimo Churriguera,헤로니모 추리게라
Diana Lázaro,다이애나 라자로
Delhy Tejero,델리 테헤로
Jesús Cabrero,헤수스 카브레로
Vanesa Martín,바네사 마르틴
Joan Cornellà,호안 코르넬라
Juan Ramón Rallo,후안 라몬 라요
Joan Tena,조안 테나
Macarena García,마카레나 가르시아
Manolo García,마놀로 가르시아
María Isasi,마리아 이사시
María León,마리아 레온
José Ramón Eizmendi,호세 라몬 에이스멘디
María Toledo,마리아 톨레도
Juan Manuel Sánchez Cifuentes,후안마 시푸엔테스
Juanra Fernández,후안라 페르난데스
Olallo Morales Wilskman,올라요 모랄레스
José Manuel Espinosa,호세 마누엘 에스피노사
José de Cáseda,호세 데 카세다
Micaela Navarro Garzón,미카엘라 나바로
Patrick Criado,패트릭 크리아도
Laura Cepeda,라우라 세페다
Paula Prendes,파울라 프렌데스
Lidia San José,리디아 산호세
Mar Saura,마르 사우라
Pedro Camus,페드로 카무스
Lola Marceli,롤라 마르첼리
Mariam Hernández,마리암 에르난데스
Mariano Rubio,마리아노 루비오
Pedro María Azpiazu Uriarte,페드로 마리아 아스피아수
Lucas Vázquez,루카스 바스케스
Pedro Núñez Morgades,페드로 누녜스 모르가데스
Pedro Sempson,페드로 셈슨
Luis Hacha,루이스 하차
Mila Ximénez,밀라 시메네스
Luis Hernández Rodríguez,루이스 에르난데스 (1989년생 축구 선수)
Pedro Sánchez,페드로 산체스
Mariano Yurrita,마리아노 유리타
Juan José Rubio,후안 호세 루비오
Marián Álvarez,마리안 알바레스
Pepe Aguilar,페페 아길라르
Miquel Mir,미켈 미르
Marta Guerras,마르타 게라스
Marta Nieto,마르타 니에토
Luis Lorenzo Crespo,루이스 로렌조 크레스포
Marta Milans,마르타 밀란스
Marta Belmonte,마르타 벨몬테
Monchín Triana,몬친 트리아나
Martín Mazza,마르틴 마사
Nadia de Santiago,나디아 데 산티아고
Pepe Carcelén,페페 카르셀렌
Martín Gálvez,마르틴 갈베스
Nathalie Poza,나탈리에 포사
Nani Gaitán,나니 가이탄
Ricardo Solans,리카르도 솔란스
Vicky Luengo,비키 루엥고
Rafael Alcaide Crespín,라파엘 알카이데 크레스핀
Jaume Costa,자우메 코스타
Javier Godino,하비에 고디노
Nieves Álvarez,니에베스 알바레스
Rogelio Sosa Ramírez,로헬리오 소사 라미레스
Javier Hernanz,하비에르 에르난데스
Javier Patiño,하비에르 파티뇨
Pablo Casado,파블로 카사도
Joan Pedrola,조안 페드롤라
Jennifer Hermoso,헤니페르 에르모소
Joaquín Calderón,호아킨 칼데론
Jorge Bartual,호르헤 바르투알
Salvador Vidal,살바도르 비달
Luis Belló,루이스 베요
Santiago Posteguillo,산티아고 포스테기요
Ramón Encinas,라몬 엔시나스
Sandra Cervera,산드라 세르베라
Luis Cid,루이스 시드 페레스
Luís Casas Pasarín,루이스 파사린
Luis Olaso,루이스 올라소
Luis Fernández,루이스 페르난데스
Luis Garicano,루이스 가리카노
Ruth Lorenzo,루트 로렌소
Clara Segura,클라라 세구라
Fernando Grande Marlasca,페르난도 그란데마를라스카
Manu Trigueros,마누 트리게로스
Eduardo Cubells Ridaura,에두아르도 쿠벨스
Cristina Urgel,크리스티나 우르겔
Daniel García Pérez,다니엘 가르시아 로드리게스
César Ferrando,세사르 페란도
Antoni Muñoz i Llompart,토니 무뇨스
Teófilo Martínez,테피필 마르티네스
Sergio Garabato,세르히오 가라바토
Ana Labordeta de Grandes,아나 라보르데타
María del Mar,마리아 델 마르
Urbán de Vargas,우르반 데 바르가스
Joan Armet de Castellví,후안 아르메트
Sergio Rico,세르히오 리코
Juan Carlos Vellido,후안 카를로스 벨리도
Isabel Ordaz,이사벨 오다즈
Susana Díaz,수사나 디아스
Vincente Gomez,비센테 고메스
Vitolo Machín,비톨로
Silvia Alonso,실비아 알론소
Marta Torrejón,마르타 토레혼
Yanko Daucik,얀코 다우치크
Victoria Losada,비키 로사다
Juan Diego,후안 디에고
Sonsoles Suárez,손솔레스 수아레스
Susi Sánchez,수시 산체스
Xavier Vilalta,사비에르 빌랄타 (Xavier Vilalta)
Yolanda Ventura,욜 란다 벤츄라
Elena Soriano,엘레나 소리아노
Álvaro Martín,알바로 마르틴
Àlex Pascual,알렉스 파스꾸알
Teresa Hurtado de Ory,테레사 우르타도
Juan Monjardín Callejón,후안 몬하르딘
Juan de Cárcer,후안 데 카르세르
Miguel Ángel Ruiz García,미겔 앙헬 루이스 가르시아
Miguel Ángel Solá,미겔 앙헬 솔라
Aina Clotet,아이나 클로테트
Alba Flores,알바 플로레스
Natalie Korneitsik,나탈리에 코르네이치크
Nathalie Seseña,나탈리 세세냐
Alberto de Churriguera,알베르토 데 추리게라
Omar Mascarell,오마르 마스카렐
Pablo Rodríguez,파블로 로드리게스
Amadeo Labarta,아마데오 라바르타
Pablo Marí Villar,파블로 마리
Pablo Carreño Busta,파블로 카레뇨 부스타
Ana Fernández García,아나 페르난데스 가르시아
Fernando Cayo,페르난도 카요
Ana Morgade,아나 모르가데
Paloma Pedrero,팔로마 페드레로
Giovanni Simeone,히오바니 시메오네
Paola Bontempi,파올라 본 테엠 피
Gregorio Céspedes,그레고리오 세스페데스
Kubrat de Bulgaria,쿠브라트 데 사호니아코부르고고타이고메즈아세보
Paloma Bloyd,팔로마 블로이드
Pedro Gómez Labrador,페드로 고메스 라브라도
Fernando Méndez-Leite,페르난도 멘데즈 - 라이트
Pedro Llorente,페드로 요렌테
Pedro Cavadas,페드로 카바다스
Pepe Imaz,페페 이마스
Ismael Bardisa,이스마엘 바르디사
Rafael Fernández Martínez,춤비
Antonio Altarriba,안토니오 알타리바
Jonathan Ñíguez,호나탄 니게스
Antonio Juantegui,안토니오 후안테기
Antonio Ginesi,안토니오 지네시
Jon Toral,혼 토랄
Rafael Riqueni,라파엘 리케니
Francisco Javier Gutiérrez,F. 하비에르 구티에레스
Ramón Ferreñac,라몬 페레냐크
Francisco Núñez Rodríguez,프란시스코 누녜스 로드리게스
Rebeca,레베카
Renata Tarragó,레나타 타라고
Ariadne Artiles,아드리아네 아르틸레스
Rogelio Martí,로헬리오
Marta Larralde,마르타 라랄데
Marta Angelat,마르타 안젤라
María Cotiello,마리아 코티에요
Josep Sastre,주제프 사스트레
Gaztelu,호세 아구스틴 아란사발
Sandra Paños,산드라 파뇨스
Santi Amodeo,산티 아모데오
Genaro Celayeta,헤나로 셀라예타
Santiago Idígoras,산티아고 이디고라스
Guillem March,길롐 마르크
Santiago Mina,산티 미나
Meritxell Batet,메리첼 바테트
Sara Luzita,사라 루지 타
Xan das Bolas,샌 다스 볼라스
Ignacio María Alcorta Hermoso,이그나시오 마리아 알코르타
José Luis Ozores Puchol,호세 루이스 오조레스
Ángel Mariscal,앙헬 마리스칼
Nacho Guerreros,나초 게레로스
M.ª Isabel Celaá Diéguez,이사벨 셀라
Irene Visedo,이레네 비세도
Imanol Alguacil,이마놀 알과실
Jesús Izaguirre,헤수스 이사기레
Carmelo Goyenechea,카르멜로 고예네체아
Mónica López,모니카 로페즈
Miryam Gallego,미리암 가예고
Núria Gago,누리아 가고
Iñaki Miramón,이냐키 미라몬
Nicolás Churriguera,니콜라스 추리게라
José María Yermo Solaegui,호세 마리아 예르모
Tomas Marin,토마스 마린
Pablo Villa,파블로 비야
Paco Roncero,파코 론 체로
Juan Camus,후안 카무스
Juan Ignacio de Iztueta,후안 이그나시오 데 이즈투에타
Antonio Soto,안토니오 소토 카날레호
Elena Irureta,엘레나 이레레타
Emma Ríos,에마 리오스
Francesc Colomer,프란세스크 콜로메르
Inés París,이네스 파리스
Pepe Brand,페페 브란드
Irene Paredes,이레네 파레데스
Mariano Díaz Mejía,마리아노 디아스 메히아
Jonathan López,호나탄 로페스
Ramón Alfonseda i Pous,라몬 알폰세다
Beñat San José,베냐트 산호세
Mariano Pulido,마리아노 풀리도
Lois Peña Novo,로이스 페냐 노보
José Luis Rodríguez,호세 루이스 로드리게스 곤살레스
Ramón Moya,라몬 모야
Antonino Sala,안톨리 살라
Ricardo Rodríguez,리카르도 로드리게스 수아레스
Luis Posada,루이스 포사다
Luis Posada Mendoza,루이스 포사다 멘도사
José María Angelat,요셉 마리아 안젤라
Luis Ángel Rojo,루이스 앙헬 로호
José Noriega Agüera,호세 노리에가 아궤라
Kiriki,루이스 이루레타고예나
Luis Planas,루이스 플라나스
Bartomeu Marí i Ribas,바르토메우 마리 리바스
Llum Barrera,윰 바레라
Sílvia Pérez Cruz,실비아 페레스 크루스
Mar Flores,마르 플로레스
Tito Valverde,페르난도 발베르드
Toni Grande,토니 그란데
Miguel Gallardo,미겔 가야르도
Terele Pávez,테렐레 파베스
Tomás Genovés y Lapetra,토마스 헤노베스 이 라페트라
Miguel Ángel Uzquiza González,미겔 앙헬 우스키사
Monti Castiñeiras,몬티 카스티네이라스
Àlex Casademunt,알렉스 카자데문
Nacho Fresneda,나초 프레스네다
Pablo Machín,파블로 마친
Pedro Alonso,페드로 알론소
Pedro Valentín Mora,페드로 발렌틴 모라
Pedro González Martínez,페드로 곤살레스 마르티네스
Pepa Rus,페파 루스
Santiago Abascal Conde,산티아고 아바스칼
José García Hernández,호세 가르시아 에르난데스
Tania Llasera,타니아 야세라
Nicolás Ledesma,니콜라스 레데스마
José Luis Zabala Arrondo,호세 루이스 사발라
Xenia Tostado,세니아 토스타도
José María Díaz Sanjurjo,호세 마리아 디아즈 산후르호
Belén Hoyo,벨렌 오요
Manuel Amechazurra,마누엘 아메차수라
Katia Klein,카티아 클레인
Francisco Secanilla,프란시스코 세카니야
Aitor Gabilondo,아이토르 가빌론도
Antero González de Audicana,안테로 곤살레스
Andoni Elizondo,안도니 엘리손도
Aurelia Lumbreras,아우렐리아 룸브레라스
Javier Ziaurriz,하비에르 시아우리스
Pedro Díaz Ultzurrun Etxarte,페드로 디아스 데 울추룬
Robustiano Bilbao Etxebarria,로부스티아노 빌바오
Domingo Zaldúa,도밍고 살두아
José Legarreta,호세 레가레타
Diego Ameixeiras Novelle,디에고 아메이세라스
Eustakio Mendizabal,에우스타키오 멘디사발
Diego Tristán,디에고 트리스탄
José María Jáuregi Lagunas,호세 마리아 하우레기
Abe Rábade,아베 라바데
Ixiar Rozas Elizalde,익시아 로자스 엘리잘데
Marcelino Agirrezabala,마르셀리노 아기레사발라
Manuel Sagarzazu,마누엘 사가르사수
Salvador Dalí i Cusí,살바도르 달리 이 쿠시
Amador Rodríguez.,아마도르 로드리게스
Diego Llorente,디에고 요렌테
Fernando Pacheco,페르난도 파체코 플로레스
Jagoba Arrasate,하고바 아라사테
Carlos Akapo,카를로스 아카포
Pablo Iglesias,파블로 이글레시아스 투리온
Jorge Franco Alviz,호르헤 프랑코 알비스
Jorge Giménez,호르헤 히메네스
Diego Rico,디에고 리코
Antonio Campos Ruiz,안토니오 캄포스 루이스
Adelfa Calvo,아델파 칼보
Cristian Portugués,크리스티안 포르투게스
Rubén Yáñez,루벤 야녜스
Héctor Bellerín,헥토르 벨레린
Keita Baldé Diao,케이타 발데
David Antón,다비드 안톤 기하로
Carlos Fernández Luna,카를로스 페르난데스 루나
Álvaro Medrán,알바로 메드란
Rubén Sobrinas,루벤 소브리노
Alexandre Moreno Lopera,알렉스 모레노
Adama Taoré Diarra,아다마 트라오레
Clément Lenglet,클레망 랑글레
Marco Asensio,마르코 아센시오
José Jiménez Villarejo,호세 히메네스 비야레호
José Luis Gayà Peña,호세 루이스 가야
Joseba Zaldua,호세바 살두아
Xavier Prats Monné,샤비에르 프라츠 모네
Ayoze Pérez,아요세 페레스
Fernando González Molina,페르난도 곤살레스 몰리나
Arturo Tamayo,아르투로 타마요
Francisco Javier Bermejo,프란시스코 하비에르 베르메호
Natalia de Molina,나탈리아 데 몰리나
Laia Costa,라이아 코스타
Francisco Güerri,프란시스코 구에리
Heliodoro Castaño Pedrosa,엘리오도로 카스타뇨 페드로사
Francisco Espíldora,프란시스코 에스필라도라
Igor Szpakowski,이고르 슈파코프스키
Jesus Merino,헤수스 메리노
Juan Pablo García-Berdoy,후안 파블로 가르시아베르도이
Adrián Expósito,아드리안 엑스포시토
Francisco Rodríguez Amador,프란시스코 로드리게스 아마도르
Pere Aragonès,페레 아라구네스 이 가르시아
Marina Ginestà,마리나 기네스타
Neus Ballús i Montserrat,네우스 발류스
Juan Antonio Felipe,후안 안토니오 펠리페
Miguel Ángel Ochoa Vaca,미겔 앙헬 오초아
Josep Maria Bartomeu,조제프 마리아 바르토메우
Íñigo Errejón,이니고 에레혼
Sara Sálamo,사라 살라모
Alicia Remirez,알리시아 레미 레즈
Arancha González Laya,아란차 곤살레스
Bárbara Santa-Cruz,바르바라 산타크루스
Natalia Rodríguez Arroyo,나탈리아 로드리게스
Nicolás Estévez Martínez,니코 에스테베스
Dani Ceballos,다니 세바요스
Rafael Jaén Rodríguez,라파엘 하엔
Virginia Torrecilla,비르히니아 토레시야
Ander Capa,안데르 카파
Jaime Mata Arnaiz,하이메 마타
Kyko Duarte,키코 두아르테
Francisco Nortes,프란시스코 북부
Aritz Elustondo,아리츠 엘루스톤도
Juan Manuel Delgado Lloria,후안 마누엘 델가도 요리아
Francisco Sanjosé,프란시스코 산호세
Daniel García Carrillo,다니엘 가르시아 카리요
José Antonio Rosillo,호세 안토니오 로시요
Eva Calvo Gómez,에바 칼보
Josep Seguí i Pujol,호셉 세구
David Gallego Rodríguez,다비드 가예고
Andrés Villena,안드레스 비예나
Pau López,파우 로페즈
Antonio Humanes,안토니오 우마네스
Sebastián Yatra,세바스티안 야트라
Mireia Montávez,미레이아 몬타베스
Boré Buika,보레 부이카
Elena Arnedo Soriano,엘레나 아르네도
Mariona Tena,마리오나 테나
María Picasso y López,마리아 피카소 이 로페스
José Luis Garzón,호세 루이스 가르손
Gerard Gumbau,제라르드 굼바우
Carles Trepat,카를레스 트레파트
Unai Bustinza,우나이 부스틴사
Mikel Merino,미켈 메리노
Álvaro Cebreiro,알바로 세브레이로
Carlos Tobalina Aspirez,카를로스 토발리나
Hipólito Suárez,이폴리토 수아레스
Unai López,우나이 로페스
Juli Soler,줄리 솔러
Iñaki Williams,이냐키 윌리암스
Antonio Emery Arocena,안토니오 에메리
Blanca Padilla,블랑카 파디야
José Ángel Jurado de la Torre,호세 앙헬 후라도
Fabián Ruiz Peña,파비안 루이스
Samu Castillejo,사무 카스티예호
David García Zubiría,다비드 가르시아
Joan Jordán,주안 호르단
Juancho Hernangómez,후안 에르난고메스
David Raya,다비드 라야
Eugenio Mira,에우헤니오 미라
Javier Pulido,하비에르 풀리도
Jesús Vallejo,헤수스 바예호
Borja Mayoral,보르하 마요랄
Jack Harper,잭 하퍼
Jesús Castro hernandez,헤수스 카스트로
Ager Aketxe,아헤르 아케체
Alejandro Berenguer Remiro,알렉스 베렝게르
Borja Iglesias,보르하 이글레시아스
Javier Eraso Goñi,하비에르 에라소
Santiago Arróspide Sarasola,산티아고 아로스피데 사라솔라
Jorge Meré,호르헤 메레
Sandro Ramírez,산드로 라미레스
María de Quiñones,마리아 데 키뇨네스
José Kanté,호세 캉테
Michelle Calvó,미셸 칼보 페드레이라
Munir Mohand Mohamedi,무니르 모하메디
Jordi Fernández,조르디 페르난데스
Nerea Barros,네레아 바로스
Kiko Matamoros,키코 마타모로스
Brian Cross,브라이언 크로스
Lucas Hernández,루카스 에르난데스
Jaume Doménech Sánchez,하우메 도메네크
Benjamín Prades,벤자민 프라데스
Soledad Cazorla Prieto,솔레닫 까쏘를라 쁘리에또
Ciriaco Jiménez Ugalde,시리아코 히메네스 우갈데
Tamara Gorro,타마라 고로
Francisco de Robles,프란시스코 데 로블레스
Prudencio de la Cruz,푸르덴시오
Luca Sangalli,루카 상가이
Martin Merquelanz,마르틴 메르켈란스
Álvaro Odriozola,알바로 오드리오솔라
Paula Badosa,파울라 바도사
Fernando Ortuño Blasco,페르난도 오르투뇨
Valentín Metón,발렌틴 메톤
Luca Zidane,루카 지단
Iñigo Lekue,이니고 레쿠에
Dani Olmo,다니 올모
Yeray Álvarez,예라이 알바레스
Sandra Barrera Martín,산드라 바레라 마르틴
Alex Remiro,알렉스 레미로
Asier Villalibre,아시에르 비얄리브레
Aleix García Serrano,알레시 가르시아
Mikel Vesga,미켈 베스가
Vicente Cárcel Orti,비센테 카르셀 오르티
Bartolomé Olagüe,바르톨로메 데 올라궤
Valeria Vereau,발레리아베로
Angeliño,앙헬리뇨
Mario Hermoso Canseco,마리오 에르모소
Claudia Traisac,클라우디아 트라이사크
Sabin Merino,사빈 메리노
Carmelo Larrea,카르멜로 라레아
Félix Zubizarreta,펠릭스 수비사레타
Manuel Prast,마누엘 프라스트
Alvar Gordejuela,알바르 고르데후엘라
Yvonne Cavallé Reimers,이보네 카바예레이메르스
Ariadna Jiménez,아리아드나 히메네즈
Pape Cheikh,파페 셰이크 디오프
Barei,바레이
Gorka Guruzeta,고르카 구루세타
Rodrigo Hernández Cascante,로드리
Marc Cucurella,마르크 쿠쿠레야
Jordi Cuixart Navarro,조르디 쿠이샤르트
Rafa Mir,라파 미르
Carles Pérez,카를레스 페레스
Pedro Chirivella,페드로 치리베야
Julia Montejo,줄리아 몬테 조
Carles Aleña,카를레스 알레냐
Marcos Llorente,마르코스 요렌테
David Soria,다비드 소리아
Luisa Gavasa,루이사 가바사
Mikel Oyarzabal,미켈 오야르사발
Míriam Nogueras,미리암 노게라스
Yeo Bong-hun,여봉훈
Berta Vázquez,베르타 바스케스
Luis Fernandez-Gil,루이스 페르난데스 길
Fátima Diame,파티마 디아메
Pablo Fornals,파블로 포르날스
Álvaro Augustín,알바로 아우구스틴
Pablo Maffeo,파블로 마페오
Miki Esparbé,미키 에스파르베
Julia Alcayde Montoya,훌리아 알카이데 몬토야
Alex De Minaur,앨릭스 디미노어
Jorge Martínez Reverte,호르헤 마르티네스 레베르테
Igor Zubeldia,이고르 수벨디아
Jose El Peruano,디에고 마르티네스 페나스
Unai Simón,우나이 시몬
Rodrigo Sorogoyen,로드리고 소로고옌
María Luisa de la Riva y Callol-Muñoz,마리아 루이사 데라리바 이 카욜무뇨스
Andrea Pereira,안드레아 페레이라
Jokin Ezkieta,호킨 에스키에타
Rubén Martínez Dalmau,루벤 마르티네스 달마우
José María Mendoza Ussía,José María Mendoza Ussía
Óscar Barberán,오스카 바르베란
Candela Serrat,칸델라 세라트
Mario Vilella Martínez,마리오 빌레야 마르티네스
Mathías Olivera,마티아스 올리베라
Alex Sans Vega,알렉상드르 산스 베가
Sandra Sánchez Jaime,산드라 산체스
Rebeka Masarova,레베카 마사로바
Mario García,마리오 가르시아
Lorenzo Beteta,로렌조 베테타
Aarón Martín,아론 마르틴
Catherina Martínez,캐서린 마르티네스
Olga Parres Azcoitia,올가  파레스 아스코이티아
Óscar Álvarez González,오스카르 알바레스 곤살레스
Luis Caruncho,루이스 카룬초
Íngrid García Jonsson,잉리드 가르시아 욘손
Miguel Antelo,미구엘 안텔로
Carlota Corredera,카를로타 코레데라
Cholo Moratalla,콜로 모라탈라
Lucía Méndez,루시아 멘데스
Robin Le Normand,로뱅 르 노르망
Himar González,이마르 곤살레스
Millie Bobby Brown,밀리 보비 브라운
Jon Rahm,욘 람
Eva García Sáenz de Urturi,에바 가르시아 사엔스 데우르투리
Dafne Keen,다프네 킨
Gerónimo del Campo,헤로니모 델 캄포
Maribel Sanz,마리벨 산츠
Javián Antón,하비안 안톤
Pol Lirola,폴 리롤라
Youssef En-Nesyri,유세프 엔네시리
Sergio Reguilón,세르히오 레길론
Susana Abaitua,수사나 아바이투아
Francisco Garrigós,프란시스코 가리고스
María Teresa de Lara Carbó,테레사 데라라
David Vázquez Álvarez,다비드 바스케스 알바레스
Carlota Merchán Mesón,카를로타 메르찬
Míriam Casillas,미리암 카시야스
Teodoro García Egea,테오도로 가르시아 에헤아
José María Gallardo del Rey,호세 마리아 갈라르도 델 레이
Ramón Encinas Diéguez,라몬 엔시나스
Soledad Jiménez,솔레다드 히메네스
Alejandro Pozo Pozo,알레한드로 포소
Carlos Soler,카를로스 솔레르
Mamen Camacho,마멘 카마초
Marc Roca Junqué,마르크 로카
Bad Gyal,배드 걸
Oriol Paulo,오리올 파울로
Oriol Tarrasón,오리올 타라손
Jon Guridi,혼 구리디
Juan José Arnedo Sánchez,후안 호세 아르네도 산체스
Achraf Hakimi,아슈라프 하키미
Ángel Oliver Pina,앙헬 올리베르 피나
Luis Javier Suárez,루이스 수아레스
Brahim Díaz,브라힘 디아스
Miguel López González,Miguel López González
Miguel Arregui y Trecet,미겔 아레기 이 트레세트
Vinícius Júnior,비니시우스 주니어
Miguel Falomir Faus,미겔 팔로미르 파우스
Ángel González,앙헬 곤살레스 카스타뇨스
Pablo Pintado,Pablo Pintado
Alfonso Toro Buiza,Alfonso Toro Buiza
Rodrigo Medina Benjumea,Rodrigo Medina Benjumea
José López Zanón,José López Zanón
Paco Claver,파코 클라베르
Rosalía,로살리아 빌라
Manuel Martínez Chumillas,Manuel Martínez Chumillas
Francisco Alonso Martos,Francisco Alonso Martos
Éder Militão,에데르 밀리탕
Vernon Cansino,버넌 칸시노
Joaquín de la Concha Alcalde,Joaquín de la Concha Alcalde
Ferran Solé,페란 솔레
José Jiménez Jimena,José Jiménez Jimena
Felipe Medina Benjumea,Felipe Medina Benjumea
Carla Simón,Carla Simón
Ana Mena,아나 메나
Juan de Haro Piñar,Juan de Haro Piñar
Dionisio García Cortázar,Dionisio García Cortázar
Máximo Cánovas del Castillo,Máximo Cánovas del Castillo
Unai Núñez,우나이 누녜스
Joaquín Pla Laporta,Joaquín Pla Laporta
Juan Miranda González,후안 미란다
Ángel Cadarso del Pueyo,Ángel Cadarso del Pueyo
Bruna Cusí,브루나 쿠시
Carmen Menayo,카르멘 메나요
Eneko Sagardoy,에네코 세가르도이
Georgina Rodríguez,조르지나 로드리게스
Hugo Guillamón,우고 기야몬
Sergio Gómez Martín,세르히오 고메스
Aia Kruse,아이아 크루세
Antonio Ibáñez de Alba,Antonio Ibáñez de Alba
Jesús Posada Cacho,헤수스 포사다 카초
Pau Torres,파우 토레스
Hugo Duro Perales,우고 두로
Itziar Diez de Ultzurrun,이치아르 디에스 데 울추룬
Mariona Caldentey,마리오나 칼덴테이
Brais Méndez,브라이스 멘데스
Andoni Gorosabel,안도니 고로사벨
Francisco Sáenz de Tejada y Olózaga,프란시스코 사엔스 데테하다
Patri Guijarro,파트리시아 기하로
Alberto Martín Gamero,알베르토 마르틴 가메로
Rafael Fernández Martínez,라파엘 페르난데스 마르티네스
Ander Guevara,안데르 게바라
Antonio Campos,안토니오 캄포스
Amparo Illana,암파로 이야나
Ainhoa Santamaría,아이노아 산타마리아
Pedro Porro,페드로 포로
Patricia López Arnaiz,파트리시아 로페스 아르나이스
Maria Vicenta Mestre Escrivà,마리아 비센타 메스트레 에스크리바
Yara Puebla,야라 푸에블라
Rodrygo Goes,호드리구 고이스
Amaia,아마이아 로메로
Sonia Antoranz Contera,소니아 콘테라
Ema Stokholma,에마 스토콜마
Koldo Olabarri,콜도 올라바리
Álex Pina,알렉스 피나
Pablo Llarena,파블로 야레나
Sandra Escacena,산드라 에스카세나
Ferran Torres,페란 토레스
Francisco Javier Gibert,프란시스코 하비에르 히베르트
Ricard Puig Martí,리키 푸치
Alberto Palatchi Ribera,알베르토 팔라치
María de los Ángeles Morales Lovaine,마리아 데로스앙헬레스 모랄레스 로바이네
Alfred García,알프레드 가르시아
Carlos Mayor Oreja,카를로스 마요르 오레하
Eloísa González,엘로이사 곤살레스
Susy Gala,수시 갈라
Eduardo Gutiérrez,에두아르도 구티에레즈
Luis de Torres Gómez,루이스 데토레스 고메스
Katarina Llambi,카타르나 람비
Aitana,아이타나
Junior Firpo,주니오르 피르포
Elena Martín,엘레나 마르틴
Laia Manzanares,라이아 만사나레스
Pilar Juncosa Iglesias,필라르 준코사 이글레시아스
Esther Acebo,에스테르 아세보
Juan José Segura Sampedro,Juan José Segura-Sampedro
María Pedraza,마리아 페드라사
Salvador Barquin,살바도르 바르킨
David Andújar Jiménez,데이비드 안두하르
Carlo Del Monte,카를로 델몬테
Ana Cela,아나 셀라
Peru Nolaskoain,페루 놀라스코아인
Daniel Arasanz,다니엘 아란사스
Reyes Maroto,레예스 마로토
Princess María Teresa de Parma,마리아 테레사 데 보르본파르마
Christian Contreras,크리스찬 콘트레라스
Ana Guerra,아나 게라
Robert Sánchez,로베르트 산체스
María Albiñana,마리아 알비냐나
Ana de Castro,아나 데카스트로
Félix Sánchez Bas,펠릭스 산체스 바스
Cristina Bucșa,크리스티나 북샤
Iván Fernández Anaya,이반 페르난데스
Julia Juániz Martínez,줄리아 후아니즈
Isidro Sala,이시드로 살라
Pablo Jarillo-Herrero,파블로 하리요에레로
El Niño de Elche,니뇨 데 엘체
Nathy Peluso,나티 펠루소
Érika Rodríguez,에리카 로드리게스
Miki Núñez,미키 누녜스
Kidd Keo,키드 케오
Juan José Castillo Barreto,후아니 카스티요
Miguel Bernardeau,미겔 베르나르데아우
Bruno Guimarães Rodriguez Moura,브루누 기마랑이스
Ester Expósito,에스테르 엑스포시토
Lola Índigo,롤라 인디고
Laia Aleixandri,라이아 알레샨드리
