Figueras,菲格拉斯
Valdeobispo,巴尔德奥维斯波
Portaje,波尔塔赫
Aguilafuente,阿吉拉丰特
Valencina de la Concepción,巴伦西纳德拉孔塞普西翁
Valle de Villaverde,巴列德维利亚韦尔德
Huérmeces del Cerro,韦尔梅塞斯德尔塞罗
El Palau d'Anglesola,埃尔帕劳丹格莱索拉
Solana de Rioalmar,索拉纳德里奥阿尔马尔
Masegoso de Tajuña,马塞戈索德塔胡尼亚
Embid,恩维德
Valls d'Aguilar,莱斯瓦利斯达吉拉尔
Penelles,佩内列斯
Sinlabajos,辛拉瓦霍斯
Parque Nacional Marítimo-Terrestre De Las Islas Atlánticas,加利西亞大西洋群島國家公園
Oliola,奥利奥拉
Llardecans,利亚尔德坎斯
El Gordo,埃尔戈尔多
Ciutadilla,休塔迪利亚
Montgai,蒙盖
Juneda,胡内达
El Cogul,埃尔科古尔
Valverde de Llerena,巴尔韦尔德德列雷纳
Romangordo,罗曼戈尔多
Anexo:Ministros de Asuntos Exteriores de España,西班牙外交大臣列表
Mirabueno,米拉武埃诺
La Huerce,拉韦尔塞
Monsagro,蒙萨格罗
Herrería,埃雷里亚
Regumiel de la Sierra,雷古米耶尔德拉谢拉
Quintanilla Vivar,金塔尼利亚维瓦尔
Blancos,奥斯夫兰科斯
Baltar,巴尔塔尔
Barbadanes,巴尔瓦达斯
Rodeiro,罗德罗
El Saucejo,埃尔绍塞霍
Puentecesures,蓬特塞苏雷斯
Beariz,贝亚里斯
Boborás,博沃拉斯
Robledillo de la Vera,罗夫莱迪略德拉韦拉
Valverde de Burguillos,巴尔韦尔德德武尔吉略斯
Coripe,科里佩
Ruanes,鲁阿内斯
Pruna,普鲁纳
Maside,马西德
Celanova,塞拉诺瓦
Negueira de Muñiz,内盖拉德穆尼伊斯
San Cristóbal de Cea,圣克里斯托沃德塞亚
Isla Mayor,伊斯拉马约尔
Valle de Oro,奥瓦拉多罗
Villalba,比拉尔瓦
Guntín,贡廷
Valle de Santa Ana,巴列德圣阿纳
Fuentes Claras,丰特斯克拉拉斯
Coles,科莱斯
El Pobo de Dueñas,埃尔波沃德杜埃尼亚斯
Muduex,穆杜埃斯
Morenilla,莫雷尼利亚
Solana de Ávila,索拉纳德亚维拉
Chandreja de Queija,钱德雷克萨德凯克萨
Mohernando,莫埃尔南多
Heras de Ayuso,埃拉斯德亚尤索
Miralcamp,米拉尔坎普
Ciruelos,西鲁埃洛斯
Foradada,福拉达达
La Sentiu de Sió,拉森蒂乌德西奥
La Sotonera,拉索托内拉
Manganeses de la Lampreana,曼加内塞斯德拉兰普雷亚纳
La Vídola,拉维多拉
Club Atlético de Monzón,CA蒙宗
El Cardoso de la Sierra,埃尔卡尔多索德拉谢拉
Fuencemillán,丰塞米良
Bormujos,博尔穆霍斯
Tornadizos de Ávila,托尔纳迪索斯德亚维拉
Hernansancho,埃尔南桑乔
El Vilosell,埃尔维洛塞利
Fresnedoso de Ibor,弗雷斯内多索德沃尔
Quintanilla de la Mata,金塔尼利亚德拉马塔
Menarguéns,梅纳尔贡斯
Grañena de las Garrigas,格拉涅纳德莱斯加里格斯
Poza de la Sal,波萨德拉萨尔
Pescueza,佩斯库埃萨
Martín de la Jara,马尔廷德拉哈拉
Millana,米利亚纳
Miralrío,米拉尔里奥
Los Nogales,阿斯诺盖斯
Muras,穆拉斯
Ledanca,莱丹卡
Almadén de la Plata,阿尔马登德拉普拉塔
Establés,埃斯塔夫莱斯
Fuentelahiguera de Albatages,丰特拉伊格拉德亚尔瓦塔赫斯
Langa del Castillo,兰加德尔卡斯蒂略
Trasmoz,特拉斯莫斯
Zuera,苏埃拉
Torms,埃尔斯托尔姆斯
Cerviá,塞尔维亚德莱斯加里格斯
Esplegares,埃斯普莱加雷斯
La Bodera,拉沃德拉
Maranchón,马兰琼
La Almarcha,拉尔马尔查
Santa Cruz del Valle,圣克鲁斯德尔瓦列
Cangas de Morrazo,坎加斯
Quintanilla del Agua y Tordueles,金塔尼利亚德拉瓜伊托尔杜埃莱斯
Turleque,图尔莱克
Humanes,乌马内斯
Gascueña de Bornova,加斯库埃尼亚德沃尔诺瓦
Bahabón,巴阿翁
Barruelo del Valle,巴鲁埃洛德尔瓦列
Bellaguarda,贝利亚瓜尔达
Puebla de Alcocer,普埃夫拉德亚尔科塞尔
Vegas del Condado,贝加斯德尔孔达多
Concatedral de Santa María de la Redonda,洛格羅尼奧主教座堂
Tolbaños,托尔瓦尼奥斯
Hacinas,阿西纳斯
Prádanos de Bureba,普拉达诺斯德武雷瓦
Piedras Albas,彼德拉萨尔瓦斯
Fuentenebro,丰特内夫罗
Zubieta,苏维耶塔
Junta de Villalba de Losa,洪塔德维利亚尔瓦德洛萨
Hortigüela,奥蒂圭拉
Espartinas,埃斯帕尔蒂纳斯
Iglesiarrubia,伊格莱西亚鲁维亚
Valga,巴尔加
Guijuelo,吉胡埃洛
Fresno de Rodilla,夫雷斯诺德罗迪利亚
La Vid y Barrios,拉维迪瓦里奥斯
Santa María del Tiétar,圣马里亚德尔铁塔尔
Santa María del Berrocal,圣马里亚德尔韦罗卡尔
Tomiño,托米尼奥
Castellserá,卡斯特利塞拉
La Fuliola,拉富利奥拉
Milmarcos,米尔马尔科斯
Ciruelas,西鲁埃拉斯
La Puebla del Río,里奥镇
Torre Embesora,拉托雷登韦索拉
Benquerencia,本克伦西亚
Ludiente,卢迪恩特
Montellano,蒙特利亚诺
Angüés,安格斯
Arevalillo de Cega,阿雷瓦利略德塞加
Guillena,吉列纳
Castilnuevo,卡斯蒂尔努埃沃
Gajanejos,加哈内霍斯
Lora de Estepa,洛拉德埃斯特帕
Sotillo de la Ribera,索蒂略德拉里韦拉
Olivares,奥利瓦雷斯
Zugarramurdi,苏加拉穆尔迪
Villangómez,比良戈梅斯
Lantejuela,拉兰特胡埃拉
Sonseca,松塞卡
Benacazón,贝纳卡松
Pastrana,帕斯特拉纳
Campillo de Dueñas,坎皮略德杜埃尼亚斯
Moratilla de los Meleros,莫拉蒂利亚德洛斯梅莱罗斯
Cubells,库韦利斯
Codo,科多
Horche,奥尔切
Hortezuela de Océn,奥尔特苏埃拉德奥森
Benavent de Lérida,贝纳文特德塞格里亚
Ayllón,艾利翁
Bañuelos,巴纽埃洛斯
Torrequemada,托雷克马达
Jaraicejo,哈赖塞霍
Barriopedro,巴里奥佩德罗
Bárcabo,巴尔卡沃
La Alberca de Záncara,拉尔韦尔卡德桑卡拉
Herbés,埃尔韦斯
Prádena de Atienza,普拉德纳德亚蒂恩萨
Cendejas de la Torre,森德哈斯德拉托雷
Sotomayor,索托马约尔
Castilleja del Campo,卡斯蒂列哈德尔坎波
Pedrera,佩德雷拉
Castrillo de la Vega,卡斯特里略德拉韦加
Gargantilla,加尔甘蒂利亚
Casas del Monte,卡萨斯德尔蒙特
Peraleda de la Mata,佩拉莱达德拉马塔
Ibahernando,伊瓦埃尔南多
Santovenia de la Valdoncina,桑托韦尼亚德拉瓦尔东西纳
Palomares del Río,帕洛马雷斯德尔里奥
Fuente del Arco,丰特德拉尔科
Borrenes,博雷内斯
Morcillo,莫尔西略
Mairena del Alcor,迈雷纳德拉尔科尔
Castilleja de Guzmán,卡斯蒂列哈德古斯曼
Riotuerto,里奥图埃尔托
Marchagaz,马尔查加斯
Sasamón,萨萨蒙
Bollullos de la Mitación,博柳略斯德拉米塔西翁
Chiloeches,奇洛埃切斯
Armuña de Tajuña,阿尔穆尼亚德塔胡尼亚
El Real de la Jara,埃尔雷亚尔德拉哈拉
Barjas,巴尔哈斯
Campanario,坎帕纳里奥
Suflí,苏夫利
San Martín del Castañar,圣马尔廷德尔卡斯塔尼亚尔
La Revilla y Ahedo,拉雷维利艾阿埃多
Puebla de Beleña,普埃夫拉德韦莱尼亚
Cogollor,科戈略尔
Cendejas de Enmedio,森德哈斯登梅迪奥
Orea,奥雷亚
Huévar del Aljarafe,韦瓦尔德拉尔哈拉费
Torrecilla del Monte,托雷西利亚德尔蒙特
Nonaspe,诺纳斯佩
Arroyo de las Fraguas,阿罗约德拉斯夫拉瓜斯
Cincovillas,辛科维利亚斯
Cistierna,西斯铁尔纳
La Zarza,拉萨尔萨
Chequilla,切基利亚
Miranda del Castañar,米兰达德尔卡斯塔尼亚尔
Atalaya del Cañavate,阿塔莱阿德尔卡尼亚瓦特
Algámitas,阿尔加米塔斯
Selas,塞拉斯
Cobeta,科韦塔
La Garganta,拉加尔甘塔
Villar de Santos,比拉尔德桑托斯
Renera,雷内拉
San Andrés del Rey,圣安德雷斯德尔雷
Senés,塞内斯
Puentedeva,蓬特德瓦
Torrepadre,托雷帕德雷
Gelves,赫尔韦斯
Geldo,赫尔多
Gorga,戈尔加
Retiendas,雷蒂恩达斯
La Pola de Gordón,拉波拉德戈尔东
Villablino,比利亚夫利诺
Verea,贝雷亚
San Martín de Trevejo,圣马尔廷德特雷韦霍
Bierge,别尔赫
Marchamalo,马尔查马洛
Madrigal del Monte,马德里加尔德尔蒙特
Presencio,普雷森西奥
Cilleruelo de Abajo,西列鲁埃洛德亚瓦霍
Villaseca de la Sagra,比利亚塞卡德拉萨格拉
Yuncler,伊温克莱尔
Mahamud,马阿穆德
Escurial,埃斯库里亚尔
Cabañas del Castillo,卡瓦尼亚斯德尔卡斯蒂略
Porzuna,波尔苏纳
Robledo de Corpes,罗夫莱多德科尔佩斯
Sienes,谢内斯
Solanillos del Extremo,索拉尼略斯德莱斯特雷莫
Malpartida de Plasencia,马尔帕尔蒂达德普拉森西亚
Manciles,曼西莱斯
Alfondeguilla,阿尔丰德吉利亚
Beniarjó,贝尼亚尔霍
Torrenueva,托雷努埃瓦
Ateca,阿特卡
Las Valeras,拉斯瓦莱拉斯
Belmonte,贝尔蒙特
Vega de Espinareda,贝加德埃斯皮纳雷达
Sevilleja de la Jara,塞维列哈德拉哈拉
Litago,利塔戈
Torre del Bierzo,托雷德尔维耶尔索
Entrín Bajo,恩特林瓦霍
Fuentebureba,丰特武雷瓦
Padrones de Bureba,帕德罗内斯德武雷瓦
Madrigalejo del Monte,马德里加莱霍德尔蒙特
Puebla del Príncipe,普埃夫拉德尔普林西佩
Galilea,加利莱亚
Castillo-Albaráñez,卡斯蒂略-阿尔瓦拉涅斯
Torrecillas de la Tiesa,托雷西利亚斯德拉铁萨
Ambel,安韦尔
Montederramo,蒙特德拉莫
Barromán,巴罗曼
Ciruelos del Pinar,西鲁埃洛斯德尔皮纳尔
Bustares,布斯塔雷斯
Hormilleja,奥尔米列哈
Rágama,拉加马
Mancera de Abajo,曼塞拉德亚瓦霍
Marracos,马拉科斯
Bascuñana de San Pedro,巴斯库尼亚纳德圣佩德罗
Somontín,索蒙廷
Sierro,谢罗
Garaballa,加拉瓦利亚
Las Mesas,拉斯梅萨斯
Graja de Campalbo,格拉哈德坎帕尔沃
Castillejo-Sierra,卡斯蒂列霍-谢拉
Sierra de Fuentes,谢拉德丰特斯
Torres de Berrellén,托雷斯德韦雷连
Mohedas de Granadilla,莫埃达斯德格拉纳迪利亚
La Vid de Bureba,拉维德武雷瓦
Cartelle,卡尔特列
Lobios,洛维奥斯
El Pino de Tormes,埃尔皮诺德托尔梅斯
Benigánim,贝尼加尼姆
Corvera de Toranzo,科尔韦拉德托兰索
Cabezón de Liébana,卡韦松德列瓦纳
Amavida,阿马维达
Bogarra,博加拉
Valle de Manzanedo,巴列德曼萨内多
Belvís de Monroy,贝尔维斯德蒙罗伊
San Andrés del Congosto,圣安德雷斯德尔孔戈斯托
Rueda de la Sierra,鲁埃达德拉谢拉
Baños de Tajo,巴尼奥斯德塔霍
Pareja,帕雷哈
Santa Engracia del Jubera,圣恩格拉西亚德尔胡韦拉
Cirat,西拉特
Enguera,恩格拉
Aldeaseca,阿尔德亚塞卡
Caudete,考德特
Cantalojas,坎塔洛哈斯
Atanzón,阿坦松
Castrillo del Val,卡斯特里略德尔瓦尔
Guijo de Granadilla,吉霍德格拉纳迪利亚
Benquerencia de la Serena,本克伦西亚德拉塞伦阿
Valdorros,巴尔多罗斯
Mata de Alcántara,马塔德亚尔坎塔拉
Villalba de los Barros,比利亚尔瓦德洛斯瓦罗斯
Borox,博罗斯
Castejón de Henares,卡斯特洪德埃纳雷斯
Sotodosos,索托多索斯
Somolinos,索莫利诺斯
Los Ausines,洛绍西内斯
Merindad de Cuesta Urria,梅林达德库埃斯塔-乌里亚
Cobisa,科维萨
Alcaudete de la Jara,阿尔考德特德拉哈拉
Fuentecén,丰特森
Miraveche,米拉韦切
Merindad de Sotoscueva,梅林达德索托斯库埃瓦
Bertizarana,贝尔蒂斯-阿拉纳
Madrigalejo,马德里加莱霍
Palazuelos de la Sierra,帕拉苏埃洛斯德拉谢拉
Sayatón,萨亚通
Garciaz,加尔西亚斯
Hontoria de Valdearados,翁托里亚德瓦尔德亚拉多斯
Berninches,贝尔宁切斯
Tamajón,塔马洪
El Toboso,埃尔托沃索
sierra del Montsec,蒙特塞克山脈
Peralejos de las Truchas,佩拉莱霍斯德拉斯特鲁查斯
Centenera,森特内拉
Castellar de la Muela,卡斯特利亚尔德拉穆埃拉
Puebla de Valles,普埃夫拉德瓦列斯
Los Barrios de Bureba,洛斯巴里奥斯-德布雷瓦
Pasarón de la Vera,帕萨龙德拉韦拉
Aýna,艾纳
Balsa de Ves,巴尔萨德韦斯
Abiego,阿维耶戈
La Aldea del Obispo,拉尔德亚德洛维斯波
Herce,埃尔塞
Espeja,埃斯佩哈
Magán,马甘
Villanueva del Fresno,弗雷斯诺新镇
Abades,阿瓦德斯
Guadamur,瓜达穆尔
Endrinal,恩德里纳尔
Robledillo de Mohernando,罗夫莱迪略德莫埃尔南多
Iberia Express,伊比利亞快運
Peralveche,佩拉尔韦切
Saelices de la Sal,赛利塞斯德拉萨尔
Ojacastro,奥哈卡斯特罗
Herramélluri,埃拉梅柳里
Cubla,库夫拉
El Cubillo de Uceda,埃尔库维略德乌塞达
San Bartolomé de Béjar,圣巴尔托洛梅德韦哈尔
Mengamuñoz,门加穆尼奥斯
Polán,波兰
Villar de Rena,雷纳村
Rebollosa de Jadraque,雷沃略萨德哈德拉克
Setiles,塞蒂莱斯
Albudeite,阿尔武德特
Martínez,马尔蒂内斯
Blecua y Torres,布莱夸伊托雷斯
Adzaneta de Albaida,阿特塞内塔达尔瓦伊达
Melgar de Fernamental,梅尔加尔德费尔纳门塔尔
Ibrillos,伊夫里略斯
Navaescurial,纳瓦伊斯库里亚尔
Navaquesera,纳瓦克塞拉
Espinoso del Rey,埃斯皮诺索德尔雷
Valdelacasa de Tajo,巴尔德拉卡萨德塔霍
Olmeda de Cobeta,奥尔梅达德科韦塔
Chillarón del Rey,奇利亚龙德尔雷
Benifairó de los Valles,贝尼法伊罗德莱斯瓦利斯
Eslida,埃斯利达
Balones,巴洛内斯
Aspe,阿斯佩
Casarrubios del Monte,卡萨鲁维奥斯德尔蒙特
Belvís de la Jara,贝尔维斯德拉哈拉
Ciruelos de Cervera,西鲁埃洛斯德塞尔韦拉
Pinilla Trasmonte,皮尼利亚特拉斯蒙特
Marina de Cudeyo,马里纳德库德奥
San Amaro,圣阿马罗
Rillo de Gallo,里略德加略
Ocentejo,奥森特霍
Casas de Ves,卡萨斯德韦斯
Barrax,巴拉斯
Zorita,索里塔
Los Navalucillos,洛斯纳瓦卢西略斯
Lanzahíta,兰萨伊塔
Malpica de Tajo,马尔皮卡德塔霍
Entrimo,恩特里莫
Illescas,伊列斯卡斯
Bargas,巴尔加斯
Camuñas,卡穆尼亚斯
Almusafes,阿尔穆萨费斯
Miera,米耶拉
San Lorenzo de Tormes,圣洛伦索德托尔梅斯
Pedro Bernardo,佩德罗韦尔纳尔多
Gumiel de Izán,古米耶尔德桑
Cabrerizos,卡夫雷里索斯
Alfarrasí,阿尔法拉西
Callosa de Ensarriá,卡略萨登萨里亚
Valle de Alcalá,拉瓦利达尔卡拉
Fresnillo de las Dueñas,夫雷斯尼略德拉斯杜埃尼亚斯
Piérnigas,彼尔尼加斯
El Cerro,埃尔塞罗
Bureta,布雷塔
Casa de Uceda,卡萨德乌塞达
Benilloba,贝尼略瓦
Millena,米列纳
Pálmaces de Jadraque,帕尔马塞斯德哈德拉克
Panticosa,潘蒂科萨
Olvena,奥尔韦纳
Casas de San Galindo,卡萨斯德圣加林多
Campillo de Ranas,坎皮略德拉纳斯
Budia,布迪亚
Torremocha del Campo,托雷莫查德尔坎波
Cañizar,卡尼伊萨尔
Prados Redondos,普拉多斯雷东多斯
Aldea del Cano,阿尔德亚德尔卡诺
Monroy,蒙罗伊
Abizanda,阿维桑达
Bujalaro,布哈拉罗
La Adrada,拉德拉达
Pozanco,波桑科
Linares de Riofrío,利纳雷斯德里奥夫里奥
Ahigal de Villarino,阿伊加尔德维利亚里诺
Cedillo del Condado,塞迪略德尔孔达多
Hervás,埃尔瓦斯
Perales del Alfambra,佩拉莱斯德拉尔凡夫拉
Fuentenovilla,丰特诺维利亚
Rebolledo de la Torre,雷沃列多德拉托雷
Quintanar de la Orden,金塔纳尔德劳尔登
Villagarcía de la Torre,比利亚加西亚-德拉托雷
El Romeral,埃尔罗梅拉尔
Membrío,门夫里奥
Villaquirán de los Infantes,比利亚基兰德洛辛凡特斯
Valle de Valdelucio,巴列德瓦尔德卢西奥
Algerri,阿尔赫里
Castelldans,卡斯特利丹斯
Aguaviva,阿瓜维瓦
Valdezate,巴尔德萨特
Trespaderne,特雷斯帕德尔内
Beniardá,贝尼亚尔达
Benimasot,贝尼马索特
Mesía,梅西亚
Pampliega,潘普列加
Padilla de Abajo,帕迪利亚德亚瓦霍
Cogollos,科戈略斯
Cerratón de Juarros,塞拉通德华罗斯
Aldeanueva de Santa Cruz,阿尔德亚努埃瓦德圣克鲁斯
Lorcha,洛尔查
Benasau,贝纳绍
Deleitosa,德莱托萨
Erustes,埃鲁斯特斯
El Casar de Escalona,埃尔卡萨尔德埃斯卡洛纳
Serón,塞龙
Miedes de Atienza,米耶德斯德亚蒂恩萨
Corral de Calatrava,科拉尔德卡拉特拉瓦
Valdegrudas,巴尔德格鲁达斯
Utande,乌坦德
Traíd,特赖德
Torremochuela,托雷莫丘埃拉
Valle de las Navas,巴列德拉斯纳瓦斯
Valle de Santibáñez,巴列德桑蒂瓦涅斯
Puerto de Santa Cruz,普埃尔托德圣克鲁斯
Palomero,帕洛梅罗
Almudaina,阿尔穆代纳
Benimarfull,贝尼马尔富利
Nuño Gómez,努尼奥戈梅斯
Nombela,农韦拉
Cantalapiedra,坎塔拉彼德拉
Ahigal de los Aceiteros,阿伊加尔德洛萨塞特罗斯
Santa María Ribarredonda,圣马里亚里瓦雷东达
Valle de Oca,巴列德奥卡
Puentedura,蓬特杜拉
Bóveda,博韦达
Bárcena de Pie de Concha,巴尔塞纳德彼德孔查
Bovera,博韦拉
Alpicat,阿尔皮卡特
Montemayor,蒙特马约尔
El Puente del Arzobispo,埃尔蓬特德拉尔索维斯波
Pineda Trasmonte,皮内达特拉斯蒙特
Peral de Arlanza,佩拉尔德亚尔兰萨
Valdeavellano,巴尔德亚韦利亚诺
Torrecuadradilla,托雷夸德拉迪利亚
Santibáñez de Esgueva,桑蒂瓦涅斯德埃斯格瓦
San Martín de Rubiales,圣马尔廷德鲁维亚莱斯
Casinos,卡西诺斯
Alcanadre,阿尔卡纳德雷
Humada,乌马达
San Carlos del Valle,圣卡尔洛斯德尔瓦列
Los Balbases,洛斯巴尔瓦塞斯
Herreruela,埃雷鲁埃拉
Revilla del Campo,雷维利亚德尔坎波
Quinta del Buitre,皇马五鷹
Méntrida,门特里达
Navalcán,纳瓦尔坎
Velada,贝拉达
Tarrés,塔雷斯
San Martín de Valvení,圣马尔廷德瓦尔韦尼
Beamud,贝亚穆德
Alguazas,阿尔瓜萨斯
Brabos,布拉沃斯
Becedillas,贝塞迪利亚斯
Arevalillo,阿雷瓦利略
Castellonet,卡斯特略内特德拉孔克斯塔
Cervera de Pisuerga,塞尔韦拉德皮苏埃尔加
Villoruebo,比略鲁埃沃
Cubo de Bureba,库沃德布雷瓦
El Grado,埃尔格拉多
Monreal del Campo,蒙雷亚尔德尔坎波
Navezuelas,纳韦苏埃拉斯
Oliana,奥利亚纳
Villamediana de Iregua,比利亚梅迪亚纳德雷瓜
Mieza,米耶萨
Babilafuente,巴维拉丰特
Albocácer,阿尔沃卡塞尔
Santibáñez de la Sierra,桑蒂瓦涅斯德拉谢拉
Tordesilos,托尔德西洛斯
Casafranca,卡萨夫兰卡
Vizcaínos,比斯凯诺斯
Valdeaveruelo,巴尔德亚韦鲁埃洛
Torremocha de Jadraque,托雷莫查德哈德拉克
Campoo de Yuso,坎波奥德乌索
Campoo de Enmedio,坎波奥登梅迪奥
Moral de Calatrava,莫拉尔德卡拉特拉瓦
Mesas de Ibor,梅萨斯德沃尔
Chelva,切尔瓦
Carboneras de Guadazaón,卡尔沃内拉斯德瓜达绍恩
Terzaga,特尔萨加
Oya,奥亚
Mambrillas de Lara,曼夫里利亚斯德拉拉
Cañada del Hoyo,卡尼亚达德尔奥约
Valdelcubo,巴尔德尔库沃
Torrubia,托鲁维亚
Serradilla,塞拉迪利亚
Santibáñez el Alto,桑蒂瓦涅塞拉尔托
Garde,加尔德
Guardo,瓜尔多
Casillas de Flores,卡西利亚斯德夫洛雷斯
Santa María del Cubillo,圣马里亚德尔库维略
Muñogrande,穆尼奥格兰德
Santiago del Collado,桑蒂亚戈德尔科利亚多
Cereceda de la Sierra,塞雷塞达德拉谢拉
Cabañas de la Sagra,卡瓦尼亚斯德拉萨格拉
San Vicente de Arévalo,圣比森特德亚雷瓦洛
Alcolea de Cinca,阿尔科莱亚德辛卡
Albesa,阿尔韦萨
Bernuy-Zapardiel,贝尔努伊-萨帕尔迭尔
Agoncillo,阿贡西略
Maello,迈略
Barceo,巴尔塞奥
Castellanos de Moriscos,卡斯特利亚诺斯德莫里斯科斯
Osorno la Mayor,大奥索尔诺
Villalón de Campos,比利亚隆德坎波斯
Narros del Puerto,纳罗斯德尔普埃尔托
El Bohodón,埃尔沃奥东
Enguídanos,恩吉达诺斯
Albuixech,阿尔维克塞奇
Las Ventas de Retamosa,拉斯文塔斯德雷塔莫萨
Lledó,列多
Cortegada,科尔特加达
Riós,里奥斯 (奥伦塞省)
Tortuera,托尔图埃拉
Torre del Burgo,托雷德尔武尔戈
Alfamén,阿尔法门
Carriches,卡里切斯
Villardevós,比拉尔德沃斯
Salceda de Caselas,萨尔塞达德卡塞拉斯
Alcantud,阿尔坎图德
Casas de Benítez,卡萨斯德韦尼特斯
Castellón de Farfaña,卡斯特略德法尔法尼亚
Cabanabona,卡瓦纳沃纳
Aspa,阿斯帕
Albaladejo del Cuende,阿尔瓦拉德霍德尔昆德
Benillup,贝尼柳普
Castellar de Santiago,卡斯特利亚尔德桑蒂亚戈
La Puebla de Híjar,拉普埃夫拉德伊哈尔
Carcagente,卡尔卡亨特
Catarroja,卡塔罗哈
Grijota,格里霍塔
Cubillos,库维略斯
Alfara del Patriarca,阿尔法拉德尔帕特里亚尔卡
La Seca,拉塞卡
San Pablo de los Montes,圣帕夫洛德洛斯蒙特斯
Villafranca de los Caballeros,比利亚夫兰卡德洛斯卡瓦列罗斯
Aguilar del Alfambra,阿吉拉尔德拉尔凡夫拉
Íscar,伊斯卡尔
Cabezarados,卡韦萨拉多斯
Mesegar de Tajo,梅塞加尔德塔霍
El Cubo de Tierra del Vino,埃尔库沃德铁拉德尔维诺
Cañaveras,卡尼亚韦拉斯
Navalmoralejo,纳瓦尔莫拉莱霍
Fontihoyuelo,丰蒂奥尤埃洛
Formiche Alto,福尔米切阿尔托
Gotor,戈托尔
Borau,博劳
Menasalbas,梅纳萨尔瓦斯
Torrecilla de los Ángeles,托雷西利亚德洛桑赫莱斯
Nava de Arévalo,纳瓦德亚雷瓦洛
Navatejares,纳瓦特哈雷斯
Horta-Guinardó,奧爾塔-圭納多區
Atea,阿特亚
Tórtoles de la Sierra,托尔托莱斯
Rivilla de Barajas,里维利亚德瓦拉哈斯
Navadijos,纳瓦迪霍斯
Cabezas del Pozo,卡韦萨斯德尔波索
La Pueblanueva,拉普埃夫拉努埃瓦
Unió Democràtica de Catalunya,加泰隆尼亞民主聯盟
Villanueva de Alcardete,阿卡尔德特新镇
Salteras,萨尔特拉斯
Poveda,波韦达
Neila de San Miguel,内拉德圣米格尔
Bielsa,别尔萨
Aguatón,阿瓜通
Hontoba,翁托瓦
Barro,巴罗
Ampudia,安普迪亚
Orcera,奥尔塞拉
Bea,贝亚
Alba de Cerrato,阿尔瓦德塞拉托
Villamiel de Toledo,比利亚米耶尔德托莱多
Viñas,比尼亚斯
Venta de Baños,本塔德瓦尼奥斯
Santa María de Sando,圣马里亚德桑多
Bernuy de Porreros,贝尔努伊德波雷罗斯
Segura de la Sierra,塞古拉德拉谢拉
Villalba de los Llanos,比利亚尔瓦德洛斯利亚诺斯
Yeles,耶莱斯
Valdeconcha,巴尔德孔查
Dueñas,杜埃尼亚斯
Blascosancho,布拉斯科桑乔
Bonilla de la Sierra,博尼利亚德拉谢拉
Valverde del Majano,巴尔韦尔德德尔马哈诺
Juarros de Riomoros,华罗斯德里奥莫罗斯
Huélaga,韦拉加
Lobera,洛韦拉
La Lama,拉拉马
Santa Marta,圣马尔塔
Tamurejo,塔穆雷霍
Beade,贝亚德
El Pont de Bar,埃尔蓬特德瓦尔
Arseguell,阿尔塞格尔
Santa Cruz de Pinares,圣克鲁斯德皮纳雷斯
Villasur de Herreros,比利亚苏尔德埃雷罗斯
Jimena,希梅纳
Nambroca,南夫罗卡
Alcolea de Tajo,阿尔科莱亚德塔霍
Las Labores,拉斯拉沃雷斯
Brea de Tajo,布雷亚德塔霍
El Atazar,埃拉塔萨尔
Salvatierra de Miño,萨尔瓦特拉德米尼奥
Villarino de Conso,比拉里尼奥德孔索
Riaza,里亚萨
Alcudia de Crespins,拉尔库迪亚德克雷斯平斯
Alcácer,阿尔卡塞尔
Albalat dels Sorells,阿尔瓦拉特德尔索雷利斯
Mejorada,梅霍拉达
Cuerva,库埃尔瓦
Alforque,阿尔福尔克
Almadenejo,阿尔马德内霍斯
Valdehijaderos,巴尔德伊哈德罗斯
Sobradillo,索夫拉迪略
Gata,加塔
Cascajares de Bureba,卡斯卡哈雷斯德武雷瓦
Daganzo de Arriba,达甘索德亚里瓦
Chapinería,查皮内里亚
Melón,梅隆
Bande,班德
Navas de Oro,纳瓦斯德奥罗
Grañanella,格拉尼亚内利亚
Nerva,内尔瓦
El Campillo,埃尔坎皮略
Perales de Tajuña,佩拉莱斯德塔胡尼亚
Casarrubuelos,卡萨鲁武埃洛斯
Pezuela de las Torres,佩苏埃拉德拉斯托雷斯
Cervera de Buitrago,塞尔韦拉德维特拉戈
Santiago-Pontones,桑蒂亚戈-蓬托内斯
Castrillo de la Reina,卡斯特里略德拉雷纳
Guijo de Santa Bárbara,吉霍德圣巴尔瓦拉
Merindad de Valdivielso,梅林达德瓦尔迪维耶尔索
Bisimbre,比辛夫雷
Botorrita,博托里塔
Villanueva de las Cruces,克鲁塞斯新镇
Torres,托雷斯
Higuera de Calatrava,伊格拉德卡拉特拉瓦
Villel de Mesa,比列尔德梅萨
Saceruela,萨塞鲁埃拉
Picón,皮孔
Terrinches,特林切斯
Aldealengua de Pedraza,阿尔德亚伦瓜德佩德拉萨
Bobadilla,博瓦迪利亚
Campillo de Altobuey,坎皮略德亚尔托武埃
Villaseco de los Gamitos,比利亚塞科德洛斯加米托斯
San Muñoz,圣穆尼奥斯
Guijo de Galisteo,吉霍德加利斯特奥
Montánchez,蒙坦切斯
Alcuéscar,阿尔库埃斯卡尔
Modúbar de la Emparedada,莫杜瓦尔德莱恩帕雷达达
Huerta de Rey,韦尔塔德雷
Burguillos de Toledo,布尔吉略斯德托莱多
