Kazimierz III Wielki,卡齐米日三世
Wacław Sieroszewski,瓦克瓦夫·谢罗谢夫斯基
Adam Cwalina,亚当·克瓦林纳
Kristof Konrad,克里斯托弗·康纳德
Marek Żmajło,马可·日迈洛
Sheran Yeini,耶辛
Jakub Gimpel,雅各布·吉姆佩爾
Filaret Kołessa,费拉雷特·科莱萨
Gabriel Laub,加布里埃尔·劳布
Wanda Wesołowska,雲達·韋索沃斯卡
Wang Zengyi,王增羿
Ania Marson,阿尼雅·马森
Wiesław Hartman,维斯瓦夫·哈特曼
Witold Bańka,维托德·班卡
Mikołaj z Radomia,拉多姆的米科瓦伊
Olaf Lubaszenko,奥拉夫·卢巴申科
Patrycja Maliszewska,帕特里齐娅·马利谢夫斯卡
Mojżesz ben Israel Isserles,摩西·以瑟利斯
Moshe Lewin,墨舍·勒文
Władysław Podkowiński,瓦迪斯瓦夫·波德科溫斯基
Paweł Adamowicz,帕维尔·阿达莫维奇
Jan Kazimierz Wilczyński,揚·卡齊米日·威爾辛斯基
Piotr Paleczny,彼得·帕莱奇内
Dmitrij Fiłosofow,德米特里·梅德·費魯蘇弗
Wojciech Grzyb,格日布
Wojciech Kopczuk,沃伊切赫·科普丘克
Paweł Skrzecz,帕维尔·斯克热奇
Xawery Żuławski,沙维利·茹瓦夫斯基
Sokrates Starynkiewicz,苏格拉底·斯塔林凯维奇
Ryszard Kotys,理察·科蒂斯
Marian Kociniak,玛丽安·科西尼亚克
Paweł Czapiewski,帕维尔·恰佩夫斯基
Borys Szyc,波利斯·席克
Borys Malkin,鲍里斯·马尔金
Włodzimierz Sadalski,沃齐米日·萨达尔斯基
Antoni Listowski,安东尼·利索夫斯基
Bogna Jóźwiak,博尼亚·尤伊維亞克
Aron Cajtlin,亞倫·蔡特林
Iwan Ohijenko,伊拉里昂·奥伊恩科
Władysław Wincenty Krasiński,瓦迪斯瓦夫・文森堤・克拉辛斯基
Abraham Gancwajch,亚伯拉罕·甘茨瓦伊什
Łukasz Janoszka,積奴斯卡
Dariusz Koseła,达留什·科塞瓦
Andrew Ornoch,安德鲁·奥诺赫
Jan Kleczyński,老揚·克萊琴斯基
Wiesław Gawłowski,维斯瓦夫·加沃夫斯基
Adam Waczyński,亞當·華欽斯基
Michał Kościuszko,麥克•科希丘什科
Adam Hrycaniuk,亞當·海簡尼克
Artur Waś,阿尔图尔·瓦施
Kora,奧爾加·傑克斯卡
Kazimierz Kord,卡齐梅尔兹·科尔德
Helena Rakoczy,海伦娜·拉科奇
Paweł Frenkel,帕维尔·弗兰克尔
Bronisław Grąbczewski,格罗姆切夫斯基
Piotr Łuszcz,马吉克
Filip Kubski,NEO
Bartosz Białkowski,巴托茨·比亞爾科夫斯基
Antoni Bohdziewicz,安东尼·波捷维奇
Manfred Kridl,曼弗雷德·克里德尔
Adrianna Biedrzyńska,阿德里安娜·别真斯卡
Agnes Milowka,安尼斯·米洛夫卡
Jan Dydak,扬·迪达克
Piotr Chrapkowski,彼得·赫拉普科夫斯基
Piotr Gontarczyk,彼得·貢塔爾奇克
Piotr Grabarczyk,彼得·格拉巴尔奇克
Kazimierz Szczerba,卡齐米日·什切尔巴
Brook Billings,布鲁克·比林斯
Cezary Kosiński,塞扎里·科津斯基
Izrael Szumacher,以色列·舒马赫
Katarzyna Wołejnio,凯齐纳·沃尔尔约尼奥
Natalia Czerwonka,纳塔利娅·切尔翁卡
Enzo Kalinski,卡連斯基
Kazimierz Orlik-Łukoski,卡齐米日·奥尔利克－卢科斯基
Janina Żejmo,亚尼娜·哲莫
Adam Łapeta,亞當·拉佩塔
Bolesław Kukiel,波尔斯拉尔·卡齐米罗维奇·库克尔
Michał Tokarzewski-Karaszewicz,托卡泽维斯基
Janusz I Starszy,雅努斯一世
Tadeusz Lehr-Spławiński,塔德乌什·莱尔-斯普瓦文斯基
Bohdan Gonsior,博赫丹·贡肖尔
Włodzimierz Lewoniewski,弗拉基米尔·列沃涅夫斯基
Mateusz Damięcki,马特乌什·达明茨基
Daniel Trojanowski,达尼埃尔·特罗扬诺夫斯基
Pola Raksa,波拉·拉克萨
Mieczysław Wojczak,米奇斯瓦夫·沃伊恰克
Magdalena Lamparska,玛格达莱娜·兰帕斯卡
Lech Łasko,莱赫·瓦斯科
Melchior Wańkowicz,梅尔基奥尔·万科维奇
Janusz Brzozowski,雅努什·布若佐夫斯基
Urszula Grabowska,乌尔苏拉·加拉波娃斯卡
Jan Łomnicki,簡·洛姆尼察
Tadeusz Łopalewski,塔德乌什·沃帕莱夫斯基
Damian Ul,达米安·乌尔
Artur Orzech,阿圖爾·奧爾澤奇
Artur Kozłowski,阿图尔·科兹沃夫斯基
Stefan Kieniewicz,斯特凡·基涅维茨
Leon Sapieha,莱昂·萨皮耶哈
Artur Pontek,阿图尔·庞特克
Artur Ruciński,阿尔图尔·鲁西因斯基
Delfina Potocka,德费努·波特卡
Magdalena Kozłowska,玛格达莱娜·富拉尔奇克
Michael Szwarc,邁克爾史瓦克
Władysław Bortnowski,瓦迪斯特勞·波特勞斯基
Renatus Nkwande,雷納圖斯·良納·恩寬德
Edward Barcik,爱德华·巴尔齐克
Julia Michalska,尤利娅·米哈尔斯卡
Ludwik Rajchman,路德維克·萊赫曼
Jan Mazurkiewicz,扬·马祖尔凯维奇
Tadeusz Isakowicz-Zaleski,塔德乌什·伊萨科维奇·扎列斯基
Maria Sadowska,瑪麗亞·薩多夫斯卡
Siemowit III,謝莫維特三世
Regimantas Čiupaila,雷吉曼塔斯·丘帕拉
Daniel Jędraszko,丹尼尔·延德拉什科
Dardan Berisha,達爾丹·貝里沙
Barbara Bielecka,芭芭拉·比利茨卡
Mirosława Marcheluk,米罗斯拉瓦·马切鲁克
Bryan Rabello,拉韦略
Roman Jackiw,罗曼·贾基夫
Piotr Machalica,皮奥特·马卡利卡
Zofia Noceti-Klepacka,索非娅·克莱帕茨卡
Robert Orzechowski,罗伯特·奥热霍夫斯基
Beata Szydło,貝婭塔·席多
Elwira Seroczyńska,埃尔维拉·塞罗琴斯卡
Henryk Łowmiański,Łowmiański H.
Dariusz Wódke,达留什·武德凯
Katarzyna Klata,卡塔日娜·克拉塔
Joanna Nowicka,约安娜·诺维茨卡
Henryk Minkiewicz,亨里克·明凯维茨
Bartłomiej Świderski,巴特洛梅耶·希维德尔斯基
Baruch Lumet,巴魯克·盧梅
Eugeniusz Łazowski,尤金·拉佐斯基
Wacław Grzybowski,瓦茨瓦夫·格日博夫斯基
Barbara Modelska,芭芭拉·莫德斯卡
Anna Nehrebecka,安娜·内赫雷贝茨卡
Józef Grzesiak,约瑟夫·格热夏克
Stanisław Dragan,斯坦尼斯瓦夫·德拉甘
Michał Tyszkiewicz,米哈爾·迪斯基耶維奇
Kazimierz Adach,卡齐米日·阿达赫
Bartłomiej Kasprzykowski,巴特克·卡斯普尔兹科夫斯基
Ewelina Ptak,埃韦利娜·普塔克
Ryszard Karpiński,利則·卡爾平斯基
Ewa Trzebińska,埃娃·切宾斯卡
Ewelina Walendziak,艾芙琳娜·瓦伦齐亚克
Romuald Muklewicz,罗穆亚尔德·阿达莫维奇·穆克列维奇
Stefan Narębski,斯特凡·那蘭布斯基
Bogdan Zając,博格丹
Ryszard Lenczewski,里萨德·列克维斯基
Bolesław Limanowski,博莱斯瓦夫·利马诺夫斯基
Bolesław Kon,波列斯瓦夫·科恩
Miecław,梅斯瓦夫
Mieczysław Nowicki,米奇斯瓦夫·诺维茨基
Francis Smerecki,史馬列基
Franciszek Szymczyk,弗朗齐歇克·希姆奇克
Henryk Talar,亨利克·塔拉尔
Wanda Opalinska,婉妲·奥普琳斯卡
Grzegorz Nowak,格热戈日·诺瓦克
Helena Pilejczyk,海伦娜·皮莱伊奇克
Iwona Dzięcioł-Marcinkiewicz,伊沃娜·马尔钦凯维奇
Bolesław Drobner,博莱斯瓦夫·德罗布纳
Kazimierz Dąbrowski,卡齊米日·東布羅夫斯基
Franciszka Mann,弗朗切斯卡·曼恩
Samuel Willenberg,萨穆埃尔·维伦贝格
Gabriela Muskała,加布里埃拉·穆斯卡拉
Hanna Busz,汉娜·布什
Henryk Kietlicz,亨里庫斯·基特利茨
Irena Szydłowska,伊雷娜·希德沃夫斯卡
Bronisław Pawlik,布罗尼斯瓦夫·帕夫利克
Tadeusz Olechowski,塔德乌什·奥莱霍夫斯基
Iwan Wyrypajew,伊万·维里帕夫
Zofia Romanowiczowa,索非娅·古尔斯卡
Jacek Magiera,雅切克·馬吉耶拉
Aneta Konieczna,阿内塔·科涅奇纳
Egon Franke,埃贡·弗兰克
Józef Franczak,約瑟夫·弗朗扎克
Schwesta Ewa,Schwesta Ewa
Agnieszka austriacka,巴奔堡的阿格妮絲
Miroslav Radović,米罗斯拉夫·拉多维奇
Zygfryd Kuchta,齐克弗里特·库赫塔
Jan Woleński,一月·沃兰斯基
Chaim Natan Widawski,海姆·维达夫斯基
Jan Tyranowski,提朗諾斯基
Stefan Pawlicki,帕夫斯基
Aleksandra Olgierdówna,立陶宛的亞歷山德拉
Jan Władysław Woś,扬·瓦迪斯瓦夫·沃希
Katarzyna Walter,卡塔基娜·沃尔特
Janusz Bobik,雅努什·博比克
Edmund Roman Orlik,羅曼·歐力克
Jakub Gierszał,雅各布·盖尔沙乌
Jakub Krzewina,雅各布·克热维纳
Piotr Orżewski,彼得·瓦西里耶維奇·奧爾熱夫斯基
Józefa Ledwig,约瑟法·莱德维格
Andrzej Szymczak,安杰伊·希姆恰克
Janusz Różycki,雅努什·鲁日茨基
James Wesolowski,詹姆斯·韋素勞斯基
Jerzy Melcer,耶日·梅尔采尔
Włodzimierz Zieliński,沃齐米日·杰林斯基
Zdzisław Antczak,兹齐斯瓦夫·安特恰克
Ryszard Przybysz,理夏德·普日贝什
Jerzy Dąbrowski,耶日·东布罗夫斯基
Teodor Parnicki,特奥多·帕尼斯基
Stanisław Budzik,達黎·布齊克
Cyryl Ratajski,齐里尔·拉塔伊斯基
Lech Bądkowski,莱赫·巴德科夫斯基
Stanisław Grabski,斯坦尼斯瓦夫·格拉布斯基
Jean Dybowski,吉恩·迪波夫斯基
Joanna Hoffman,喬安娜·霍夫曼
Zofia Szcześniewska,索非娅·什琴希涅夫斯卡
Stanisław Napierała,斯丹尼斯勞斯·納皮耶拉瓦
Stanisław Pawlak,斯坦尼洛夫·帕夫拉克
Joanna Wołosz,喬安娜·沃沃什
Czesław Michniewicz,切斯瓦夫·米赫涅维奇
Stanisław Lorentz,斯坦尼斯瓦夫·洛伦茨
Stanisław Mucha,斯塔尼斯拉夫·穆哈
Joanna Kulig,乔安娜·库里格
Wiktoria Gąsiewska,维克多莉亚·贡谢夫斯卡
Stanisław Gębicki,斯丹尼斯勞斯·蓋比茨基
Katarzyna Dydek,卡塔芝娜·迪德克
Katarzyna Kozaczyk,凯齐纳·科萨克齐克
Bartłomiej Sienkiewicz,巴特沃梅伊·显克微支
Zbigniew Bródka,茲比格涅夫·布勞德卡
Michał Goleniewski,米哈伊尔·戈莱涅夫斯基
Jérémy Sopalski,热雷米·索帕尔斯基
Czesława Kwoka,切斯瓦娃·科沃卡
Janusz Ślązak,雅努什·希隆扎克
Czesława Kościańska,切斯瓦娃·科希恰因斯卡
Adam Ciołkosz,亚当·乔乌科什
Adam Włodek,亚当·沃德克
Mieczysław Jagielski,雅蓋爾斯基
Tadeusz Pełczyński,塔德乌什·佩乌琴斯基
Stanisław Trepczyński,斯坦尼斯瓦夫·特雷普欽斯基
Czesław Madajczyk,切斯瓦夫·马达伊奇克
Piotr Gacek,皮奧特·加切克
Mirosław Ferić,米罗斯拉夫·费里奇
Dariusz Białkowski,达留什·比亚乌科夫斯基
Krzysztof Mikołajczak,克日什托夫·米考拉扎克
Jonathan Wisniewski,喬納森·維西涅斯基
Julia Pirotte,朱莉娅·皮罗特
Leszek Swornowski,莱谢克·斯沃尔诺夫斯基
Eugeniusz Kazimirowski,尤金纽什·卡齐米罗夫斯基
Jacek Dehnel,雅扎克·代賀納
Dariusz Jabłoński,达瑞兹·雅布伦斯基
Katarzyna Adamik,卡塔日娜·阿达米克
Maciej Czyżowicz,马切伊·奇若维奇
Dariusz Stola,达利乌什·斯托拉
Magdalena Grochowska,马格达莱纳·格羅喬斯卡
Michał Bobrzyński,米哈乌·博布任斯基
Stefan Jerzy Zweig,斯特凡·耶齐·茨威格
Zbigniew Romaszewski,兹比格涅夫·罗曼舍夫斯基
Dawid Podsiadło,达维德·波德西亚德沃
Mariusz Kamiński,马里乌什·卡明斯基
Dawid Tomala,達維德·托馬拉
Szymon Datner,西蒙·达特内尔
Karol Zalewski,卡羅爾·扎萊夫斯基
Stefan Korboński,斯蒂凡·科邦斯基
Zygmunt Szendzielarz,齐格蒙特·森德齐拉兹
Jan Dawid Landau,大卫·朗道
Zenon Klemensiewicz,泽农·克莱门谢维奇
Włodzimierz Press,弗洛德兹米尔斯·普雷斯
Dominika Chorosińska,多米尼卡·乔罗辛斯卡
Józef Garliński,约瑟夫·加林斯基
Jerzy Zabielski,耶日·扎别尔斯基
Władysław Dobrowolski,瓦迪斯瓦夫·多布罗沃尔斯基
Tadeusz Friedrich,塔德乌什·弗里德里赫
Aleksander Małecki,亚历山大·马韦茨基
Ernest Malinowski,埃內斯特·馬里諾夫斯基
Władysław Sidorowicz,錫德羅維齊
Andrzej Pszenicki,安德烈·普谢尼茨基
Rudolf Gundlach,鲁道夫·君德拉赫
Michał Płotka,迈克尔·布洛特卡
Michele Baranowicz,麥克·巴拉諾維茨
Gertruda Mieszkówna,波蘭的格特魯德
Krzysztof Surlit,克日什托夫·苏尔利特
Marian Suski,马里安·苏斯基
Kazimierz Laskowski,卡齐米日·拉斯科夫斯基
Marian Kuszewski,马里安·库谢夫斯基
Krzysztof Mączyński,克日什托夫·马辛斯基
Dorota Kędzierzawska,多萝塔·肯杰扎夫斯卡
Zdzisław Najder,济斯瓦夫·拿吉德
Stefan Starzyński,斯特凡·斯塔辛斯基
Henryk Magnuski,亨利克·马格努斯基
Bolesław IV warszawski,波列斯瓦夫四世 (華沙)
Tal Ben Haim,本哈伊姆
Janusz Olech,雅努什·奥莱赫
Józef Montwiłł,約瑟夫·蒙特維爾
Grzegorz Berendt,戈热戈日·贝伦特
Lloyd A. Simandl,雷德·西曼德
Adolf Dygasiński,A. 迪加辛斯基
Karol Bohdanowicz,卡罗尔·博赫达诺维奇
Ligia Branice,利贾·布拉尼卡
Edmund Charaszkiewicz,埃德蒙德·哈拉什凯维奇
Jadwiga Kaczyńska,雅德维加·卡钦斯卡
Olek Czyż,奧萊克·切茨
Bronisław Bohaterewicz,布罗尼斯瓦夫·博哈季勒维茨
Mieczysław Smorawiński,米奇斯瓦夫·斯莫拉文斯基
Anna Prus,安娜·普鲁斯
Kazimierz Wierzyński,卡齐米日·维任斯基
Wacław Komar,科马尔
Maciej Skorża,馬切伊·斯科扎
Krystyna Czajkowska,克雷斯蒂娜·恰伊科夫斯卡
Elisabeth Duda,伊丽莎白·杜达
Tadeusz Romer,塔德乌什·罗默
Tadeusz Rutkowski,塔德乌什·鲁特科夫斯基
Marcin Brzeziński,马尔钦·布热津斯基
Elżbieta Witek,伊麗莎白·維泰克
Paweł Zatorski,帕维乌·扎托尔斯基
Elżbieta Porzec,埃尔日别塔·波热茨
Elżbieta Szemplińska-Sobolewska,埃日别塔·谢普林斯卡
Tomasz Bagiński,湯梅克·巴斯基
Kasia Struss,卡莎·斯特拉斯
Stanisław Jasiukiewicz,斯坦尼斯瓦夫·贾修凯维茨
Paweł Gil,帕維爾·吉爾
Piotr Malarczyk,皮奥特尔·马拉尔茨克
Tatja Seibt,塔佳·塞伯特
Walery Jaworski,瓦列里·加沃斯基
Eugeniusz Grzeszczak,葛謝奇恰克
Kazimierz Wichniarz,卡齐米日·维奇尼亚尔兹
Killion Munyama,基利永·蒙澤萊·蒙亞馬
Henryk Józewski,亨利克·约瑟夫斯基
Andrzej Ciechanowiecki,安傑伊·季翰盧維斯基
Marian Dziędziel,马里安·杰奇茨
Marian Kozicki,马里安·科齐茨基
Maria Dzielska,瑪麗亞‧澤絲卡
Przemysław Zamojski,普雷澤米斯勞·扎莫伊斯基
Ewa Siemaszko,埃娃·希玛兹科
Mariusz Stańczuk,马里乌什·斯坦丘克
Łazar Aronsztam,拉扎尔•瑙莫维奇•阿伦什塔姆
Krzysztof Bosak,克齐斯茨托夫·博萨克
Witold Hulewicz,威托德·胡列维茨
Iwona Kuczyńska,依芙娜·库琴斯卡
Aleksandra Olsza,亚历山德拉·奥萨
Nina Andrycz,尼娜·安德雷奇
Eryk Lipiński,埃里克·利平斯基
Tomasz Szarota,托马什·沙罗塔
Tomasz Strzembosz,托马什·斯特热姆博什
Michał Probierz,米哈烏·普羅比爾茲
Ewa Kasprzyk,埃瓦·卡斯珀齐克
Ewa Sałacka,伊娃·萨瓦卡
Aleksander Imich,亞歷山大·伊米奇
Rafał Sznajder,拉法乌·施奈德
Edward Skorek,爱德华·斯科雷克
Adam Skorupa,亚当·斯科鲁帕
Wacław Berent,沃克劳·贝伦特
Matylda Getter,玛蒂尔达·盖德尔
Maja Wodecka,玛雅·沃德卡
Soava Gallone,苏瓦·加隆
Dorota Stalińska,多罗塔·斯塔林斯卡
Robert Skibniewski,羅伯特·斯基布涅夫斯基
Robert Urbanek,罗伯特·厄本克
Katarzyna Skowrońska-Dolata,斯科卧隆斯卡
Małgorzata Dydek,瑪歌·迪德克
Karolina Naja,卡罗利娜·纳亚
Mieczysław Münz,米克兹斯洛·芒兹
Krzysztof Soszyński,克日什托夫·索斯亚斯基
Mirosław Handke,米罗斯瓦夫·汉德克
Natalia Madaj,纳塔利娅·马达伊
Mirosław Tłokiński,米罗斯瓦夫·托尔金斯基
Piotr Skuratowicz,彼得·斯库拉托维茨
Beata Mikołajczyk,贝娅塔·米科瓦伊奇克
Mikołaj Burda,米科瓦伊·布尔达
Elżbieta Starostecka,埃尔兹别塔·斯塔罗斯特卡
Franciszek Stefaniuk,弗朗齐歇克·斯特凡纽克
Wincenty Teofil Popiel,維辛蒂·特奥菲爾·波佩爾
Karolina Styczyńska,卡洛琳娜·斯蒂切斯卡
Bolesław Drewek,博莱斯瓦夫·德雷韦克
Sebastian Dudek,塞巴斯蒂安·杜德克
Bolesław Pobożny,虔誠者波列斯拉夫
Jan Krenz-Mikołajczak,扬·克伦兹-米科瓦伊恰克
Ary Sternfeld,斯滕菲尔德
Edward Kobyliński,爱德华·科贝林斯基
Jerzy Trela,傑茲·瑞臘
Franciszek Bronikowski,弗朗齐歇克·布罗尼科夫斯基
Stanisław Pestkowski,斯坦尼斯拉夫·佩斯特科夫斯基
Andrzej Sokołowski,安杰伊·索科沃夫斯基
Iga Wyrwał,伊加·韦尔瓦
Adam Ulam,亚当·乌拉姆
Danuta Kordaczuk,达努塔·科尔达丘克
Leon Birkholc,莱昂·比尔克霍尔茨
Gerson Iskowicz,葛尔松·伊斯克维茨
George Modelski,乔治·莫德尔斯基
Henryk Budziński,亨里克·布津斯基
Adam Bielan,別朗
Jacek Proć,雅切克·普罗奇
Jurek Bogajewicz,尤里克·博加耶维茨
Piotr Chmielowski,彼德·赫梅洛夫斯基
Michał Śliwiński,麥克‧斯利溫斯基
George Isaak,乔治·伊萨克
Marek Abramowicz,马瑞克·阿图尔·阿布拉莫维奇
George Lenczowski,乔治·兰泽斯基
Władysław Strzemiński,弗拉迪斯瓦夫·斯特泽敏斯基
Gustaw Herling-Grudziński,古斯塔夫·赫林-格鲁津斯基
Marta Walczykiewicz,玛尔塔·瓦尔奇凯维奇
Icchak Cukierman,伊扎克·祖克曼
Tadeusz Gajcy,塔德乌什·加伊齐
Grzegorz Stellak,格热戈日·斯泰拉克
Przemysław Matyjaszek,普热梅斯瓦夫·马蒂亚谢克
Grzegorz Kotowicz,格热戈日·科托维奇
Grażyna Błęcka-Kolska,格拉日娜·布文茨卡-科尔斯卡
Stanisław Urban,斯坦尼斯瓦夫·乌尔班
Jerzy Ustupski,耶日·乌斯图普斯基
Antoni Bolesław Dobrowolski,安东尼·博莱斯瓦夫·多布罗沃尔斯基
Grzegorz Cziura,格热戈日·丘拉
Grzegorz Motyka,格热戈日·莫蒂卡
Paweł Deląg,帕維·德朗柯
Paweł Fajdek,帕维尔·法杰德克
Patesko,魯道夫·巴特斯科
Łukasz Broź,盧卡什·布羅茲
Jerzy Żurawlew,乔治·茹拉夫莱夫
Irina Zaricka,伊琳娜·扎里茨卡娅
Tadeusz Fiszbach,费什巴赫
Piotr Andrejew,彼得·安德烈耶夫
Halina Krahelska,哈利娜·克拉赫尔斯卡
Radosław Chruściński,拉多斯洛·克鲁斯辛斯基
Łukasz Teodorczyk,盧卡斯·迪奧多斯基
Piotr Uklański,约克·乌兰斯基
Piotr Sawczuk,伯多祿·薩夫丘克
Piotr Kamler,彼得·卡姆勒
Gustaw Lutkiewicz,古斯塔夫·盧特凱維奇
Gwido Langer,圭多·朗格尔
Tadeusz Piotrowski,塔德乌什·彼得罗夫斯基
Mateusz Chruściński,马特乌什·克鲁申斯基
Angelica Wild,安杰莉卡怀尔德
Józef Lange,约瑟夫·朗格
Tomasz Makowski,湯瑪斯·馬科夫斯基
Jerzy Zawieyski,耶日·扎维耶斯基
Wanda Jablonski,旺达·贾布隆斯基
Eric Piatkowski,埃里克·皮亚考斯基
Vincent Boryla,文斯·博里拉
Jacek Cygan,杰西克·西根
Tadeusz Hollender,塔德乌什·霍伦德
Stefania Woytowicz,沃伊特維茨
Wacław Iwaszkiewicz-Rudoszański,瓦茨瓦夫·伊瓦什凯维奇-鲁多斯扎尼斯基
Henryk Czyż,亨利克·齊茲
Jerzy Afanasjew,杰日·阿法纳斯杰夫
Halina Aszkiełowicz,哈利娜·阿什凯沃维奇-沃伊诺
Halina Górska,哈利娜·古尔斯卡
Jerzy Hoppen,耶日·霍彭
Henryk Korowicz,亨利克·克洛维奇
Henryk Martyna,馬提那
Halina Łukomska,哈利娜·乌科姆斯卡
Kazimierz Szosland,卡齐米日·绍斯兰
Kazimierz Aleksander Gzowski,卡齐米日·格佐夫斯基
Rafał Kuptel,拉法乌·库普泰尔
Iwona Bielska,伊沃娜·别尔斯卡
Jan Brzoza,扬·布若扎
Jerzy Jokiel,耶日·约凯尔
Adam Królikiewicz,亚当·克鲁利凯维奇
Stanisław Batowski Kaczor,斯坦尼斯瓦夫·巴托夫斯基
Jan Łazarski,扬·瓦扎尔斯基
Eugeniusz Cękalski,尤金紐斯·切卡爾斯基
Anna Cienciała,安娜·M·西恩西亞拉
Berthold Stein,貝特霍爾德·史坦
Henryk Baranowski,昂里克・巴兰诺斯基
Henryk Niedźwiedzki,亨里克·涅季维兹基
Ryszard Legutko,理夏德·勒古科
Henryk Leliwa-Roycewicz,亨里克·莱利瓦-罗伊采维奇
Seweryn Kulesza,塞韦伦·库莱沙
Karina Szafrańska,卡琳娜·萨夫兰斯卡
Wojciech Polak,Stanisław Gądecki
Paweł Błaszczak,帕维尔·布瓦什恰克
Jacek Fafiński,亚采克·法芬斯基
Sarah Pitkowski,萨拉·皮特科夫斯基
Teresa Maryańska,特蕾莎·瑪莉安斯卡
Ihor Ševčenko,伊戈尔·舍甫琴科
Zdzisław Kawecki,兹齐斯瓦夫·卡韦茨基
Ines Cudna,伊内斯·库德纳
Krzysztof Kołbasiuk,克尔兹斯托夫·科尔巴苏克
Antoni Szylling,安東尼·西勒寧
Władysław Langner,瓦迪斯瓦夫·朗納
Tadeusz Piskor,塔德蘇茲·匹斯考
Michał Staniszewski,米哈乌·斯坦尼谢夫斯基
Jerzy Czeszejko-Sochacki,耶日·切谢伊科-索哈茨基
Jerzy Bordziłowski,波杰罗夫斯基
Leszek Kosedowski,莱谢克·科塞多夫斯基
Sergiusz Żymełka,塞尔吉乌什·日梅乌卡
Maciej Cieplucha,马西耶·西普鲁查
Emil Krukowicz-Przedrzymirski,埃米尔·克鲁科维奇-普热杰米尔斯基
Tomasz Stankiewicz,托马什·斯坦季耶维茨
Krzysztof Kołomański,克日什托夫·科沃曼斯基
Wacław Stachiewicz,法茨瓦夫·斯塔切维茨
Seweryna Broniszówna,塞韦瑞娜·布罗尼舒娜
Wadim Brodski,瓦迪姆·布罗德斯基
Krzysztof Buchowski,克日什托夫·布霍夫斯基
Krzysztof Mikołaj Radziwiłł,克日什托夫·米科瓦伊·拉齐维乌
Beatrycze,亞拉岡的伊莎貝拉
Piotr Cieśla,彼得·切希拉
Karol Boscamp-Lasopolski,卡罗尔·博斯卡姆普-拉索波尔斯基
Naftali Botwin,纳夫塔利·博特温
Aleksander Branicki,亞歷山大·布拉尼茨基
Kazimierz Prószyński,卡齐米日·普罗申斯基
Lejzor Szrajbman,伊利亚·什拉杰布曼
Ryszard Zub,理夏德·祖布
Jurij Szatałow,尤里·沙塔洛夫
Pantaleon Szyndler,潘塔萊昂·辛德勒
Andrzej Szalawski,安杰伊·萨拉夫斯基
Bartłomiej Pawełczak,巴尔特沃梅伊·帕韦乌恰克
Andrzej Dobrowolski,安杰伊·多布罗沃尔斯基
Szymon Dżigan,西蒙·吉甘
Teresa Szmigielówna,特蕾莎·斯米吉洛娜
Andrzej Walicki,安杰伊·瓦利奇
Edyta Jungowska,埃德塔·朱隆高斯卡
Józef Tracz,约瑟夫·特拉奇
Iga Baumgart,伊加·鲍姆加尔特-维坦
Stefan Kudelski,斯特芬·库德尔斯基
Herman Lieberman,赫尔曼·列贝尔曼
Anna raciborska,拉齊布日的安娜
Natalia Rybicka,娜塔莉娅·雷比茨卡
Jacek Yerka,吉斯凯·尤科
Renata Mauer-Różańska,雷娜塔·毛厄尔-鲁然斯卡
Sergiusz Prytycki,谢尔盖·普里季茨基
Adam Papée,亚当·帕佩
Jakub Molęda,雅库布·莫伦达
Iwo Byczewski,伊沃·比切夫斯基
Iwo Cyprian Pogonowski,伊沃·伯格诺夫斯基
Alina Janowska,阿丽娜·贾诺斯卡
Pełka,克拉科夫主教佩烏卡
Jan Stanisław Jankowski,扬·斯坦尼斯瓦夫·扬科夫斯基
Adam Tadeusz Wieniawski,亚当·维尼亚夫斯基
Mieczysław Jastrun,梅奇斯瓦夫·雅斯特伦
Jadwiga Marko-Książek,雅德维加·克西翁热克
Jadwiga Abisiak,雅德维加·鲁特科夫斯卡
Bartosz Salamon,巴托斯·薩拉蒙
Andrzej Cikoto,祁高德
Józef Sażycz,亚泽普·萨希奇
Michał Jerzy Poniatowski,米哈乌·耶日·波尼亚托夫斯基
Monika Jagaciak,莫妮卡·雅克
Izabella St. James,伊莎贝拉·圣·詹姆斯
Janusz Wojciechowski,雅努什·沃伊切霍夫斯基
Ala Gertner,阿拉·格特纳
Albert Wiederspiel,阿尔伯特 - 韦德施皮尔
Natalia Janotha,纳塔利娅·亚诺萨
Jakub Goldberg,雅庫布·戈德堡
Daniela Walkowiak,达妮埃拉·瓦尔科维亚克-皮莱茨卡
Jacek Streich,亚采克·斯特雷赫
Edmund Biernacki,埃德蒙·比尔奈基
Bronisław Wrocławski,布罗尼斯瓦夫·弗罗茨瓦夫斯基
Magdalena Frąckowiak,玛德莲娜·弗莱克维亚
Anna Świrszczyńska,安娜·希维尔什琴斯卡
Izaak Grünbaum,伊扎克·格伦鲍姆
Krzysztof Pomian,克日什托夫·波米安
Stanisław Wisłocki,斯坦尼斯瓦夫·维斯沃基
Władysław Zamoyski,弗拉迪斯拉夫·扎莫伊斯基伯爵
Wojciech Skalmowski,史卡莫斯基
Tomasz Różycki,多瑪殊·洛捷基
Tomasz Szymkowiak,托马什·希姆科维亚克
Marcin Jałocha,马尔钦·亚沃哈
Jakiw Halczewśkyj,雅科夫·瓦西里耶维奇·加尔切夫斯基
Adolf Rudnicki,阿道夫·鲁德尼茨基
Jerzy Opara,耶日·奥帕拉
Jerzy Pański,耶日·潘斯基
