Idioma catalán,加泰罗尼亚语
Villar de Plasencia,普拉森西亚村
Salmeroncillos,萨尔梅龙西略斯
Tariego de Cerrato,塔列戈德塞拉托
Casas de Don Antonio,卡萨斯-德唐安东尼奥
Argelita,阿尔赫利塔
Bigastro,比加斯特罗
Berrioplano,贝里奥普拉诺
Arive,阿里韦
Llanera de Ranes,利亚内拉德拉内斯
Navares de las Cuevas,纳瓦雷斯德拉斯库埃瓦斯
Becerril de Campos,贝塞里尔德坎波斯
Villalaco,比利亚拉科
Monflorite-Lascasas,蒙夫洛里特-拉斯卡萨斯
Almeida de Sayago,阿尔梅达德萨亚戈
Ayoó de Vidriales,艾奥奥德维德里亚莱斯
Molacillos,莫拉西略斯
Anaya de Alba,阿奈阿德亚尔瓦
Brime de Sog,布里梅德索格
Huérmeces,韦尔梅塞斯
Bretocino,布雷托西诺
Montamarta,蒙塔马尔塔
Cubillo del Campo,库维略德尔坎波
Micereces de Tera,米塞雷塞斯德特拉
Villaconancio,比利亚科南西奥
Riberos de la Cueza,里韦罗斯德拉库埃萨
Santibáñez de Ecla,桑蒂瓦涅斯德埃克拉
Villamuera de la Cueza,比利亚穆埃拉德拉库埃萨
Alfántega,阿尔凡特加
Torremormojón,托雷莫尔莫洪
Villaeles de Valdavia,比利艾莱斯德瓦尔达维亚
Tabanera de Valdavia,塔瓦内拉德瓦尔达维亚
Velilla (Valladolid),贝利利亚
Binaced,比纳塞德
Villacidaler,比利亚西达莱尔
Almunia de San Juan,阿尔穆尼亚德圣胡安
Triollo,特里奥略
Dehesa de Romanos,德埃萨德罗马诺斯
Ataquines,阿塔基内斯
San Cristóbal de Boedo,圣克里斯托瓦尔德沃埃多
San Miguel del Cinca,圣米格尔德尔辛卡
Santa Cruz de Boedo,圣克鲁斯德沃埃多
Ventosa de la Cuesta,本托萨德拉库埃斯塔
Robladillo (Valladolid),罗夫拉迪略
Hornillos de Eresma,奥尔尼略斯德埃雷斯马
Carboneros,卡尔沃内罗斯
Castaño del Robledo,卡斯塔尼奥德尔罗夫莱多
Villavelayo,比利亚韦莱奥
Zarzosa,萨尔索萨
Villaverde de Rioja,比利亚韦尔德德里奥哈
Aranguren (Navarra),阿兰古伦
Abárzuza,阿瓦尔苏萨
Améscoa Baja,下阿梅斯科阿
Viniegra de Arriba,上比涅格拉
Ventrosa,本特罗萨
Castillonuevo,卡斯蒂略努埃沃
Nava de la Asunción,纳瓦德拉孙西翁
Santa Marta de Tormes,圣马尔塔德托尔梅斯
Murillo de Río Leza,莱萨河畔穆里略
San Asensio,圣阿森西奥
Torre en Cameros,托伦卡梅罗斯
Marcilla,马尔西利亚
Uruñuela,乌鲁纽埃拉
Anué,阿努埃
Velascálvaro,贝拉斯卡尔瓦罗
Alfafar,阿尔法法尔
Peña Montañesa,蒙塔涅薩峰
Siete Iglesias de Trabancos,谢泰格莱西亚斯德特拉万科斯
Bobadilla del Campo,博瓦迪利亚德尔坎波
Cabreros del Monte,卡夫雷罗斯德尔蒙特
Arandilla del Arroyo,滨河阿兰迪利亚
Castejón (Navarra),卡斯特洪
San Miguel de Aguayo,圣米格尔德亚瓜伊奥
Linares de la Sierra,利纳雷斯德拉谢拉
Gallocanta,加略坎塔
Leganiel,莱加涅尔
La Cierva,拉希耶尔瓦
Noáin,诺艾恩
Almácera,阿尔马塞拉
Beas,贝亚斯
Villanueva de la Condesa,孔德萨新镇
Villalba de la Loma,比利亚尔瓦德拉洛马
Torrelameo,托雷拉梅乌
Viloria,比洛里亚
Torralba (Cuenca),托拉尔瓦
Torre de Esgueva,托雷德埃斯格瓦
Torreflor,托雷费泰夫洛雷哈克斯
Cosa (Teruel),科萨
Torrecilla de la Abadesa,托雷西利亚德拉瓦德萨
Torregrosa,托雷格罗萨
Zarza de Tajo,萨尔萨德塔霍
Ledaña,莱达尼亚
Laguna del Marquesado,拉古纳德尔马尔克萨多
Lagunaseca,拉古纳塞卡
Albal,阿尔瓦尔·(巴伦西亚省)
Arrancacepas,阿兰卡塞帕斯
Luelmo,卢埃尔莫
Casaseca de las Chanas,卡萨塞卡德拉斯查纳斯
Moreruela de los Infanzones,莫雷鲁埃拉德洛辛凡索内斯
Pedralba de la Pradería,佩德拉尔瓦德拉普拉德里亚
Orio,奥里奥
Salinas de Léniz,萨利纳斯德莱尼斯
Alacuás,阿拉夸斯
Lezo,莱索
Puebla del Salvador,萨尔瓦多镇
Priego,普列戈
Beniarbeig,贝尼亚尔韦格
Bercimuel,贝尔西穆埃尔
Almoines,阿尔莫伊内斯
Aldeonte,阿尔德翁特
Caldearenas,卡尔德亚雷纳斯
Vara de Rey,巴拉德雷
Cabredo,卡夫雷多
Ausejo,奥塞霍
Daroca de Rioja,达罗卡德里奥哈
Cortes (Navarra),科尔特斯·(纳瓦拉)
Bergasillas Bajera,贝尔加西利亚斯瓦赫拉
Burgui,布尔吉
Jaramillo Quemado,哈拉米略克马多
Cabezón de Cameros,卡韦松德卡梅罗斯
Saúca,绍卡
Tella-Sin,特利亚辛
Sot de Ferrer,索特德费雷尔
Sueras,苏埃拉斯
Sarratella,萨拉特利亚
Santa Coloma (La Rioja),圣科洛马·(拉里奥哈自治区)
Sequeros,塞克罗斯
Santibáñez de Béjar,桑蒂瓦涅斯德韦哈尔
Hornillos de Cameros,奥尔尼略斯德卡梅罗斯
Muro de Aguas,穆罗德亚瓜斯
Dios le Guarde,迪奥斯莱瓜尔德
Río Ripoll,里波爾河
Santomera,桑托梅拉
Casalarreina,卡萨拉雷纳
Jalón de Cameros,哈隆德卡梅罗斯
Corporales (La Rioja),科尔波拉莱斯
Universidad de Gerona,赫羅納大學
Corrales de Duero,杜罗河畔科拉莱斯
Fuente el Sol,丰特埃尔索尔
Carcedo de Bureba,卡尔塞多德武雷瓦
Campillo de Aranda,坎皮略德亚兰达
Jaramillo de la Fuente,哈拉米略德拉丰特
Serradilla del Arroyo,滨河塞拉迪利亚
Santo Domingo de Silos (España),桑托多明戈德西洛斯
Sardón de los Frailes,萨尔东-德洛斯弗赖莱斯
San Cristóbal de la Cuesta,圣克里斯托瓦尔德拉库埃斯塔
Tárbena,塔尔韦纳
San Felices de los Gallegos,圣费利塞斯德洛斯加列戈斯
Tielmes,铁尔梅斯
San Juan de Plan,圣胡安德普兰
Sanchón de la Ribera,桑琼德拉里韦拉
Pradillo,普拉迪略
Pajaroncillo,帕哈龙西略
Benimeli,贝尼梅利
Cebrecos,塞夫雷科斯
La Gallega (Burgos),拉加列加
Ezcaray,埃斯卡赖
Mozota,莫索塔
Campos del Paraíso,坎波斯德尔帕赖索
Sotoserrano,索托塞拉诺
Santiago de la Puebla,圣地亚哥-德拉普埃夫拉
Terradillos,特拉迪略斯
Galisancho,加利桑乔
Cantalejo,坎塔莱霍
Aldeasoña,阿尔德亚索尼亚
Saucelle,绍塞列
Almendra (Salamanca),阿尔门德拉
Aldehorno,阿尔德奥尔诺
Adrados (Segovia),阿德拉多斯
Fuenterroble de Salvatierra,丰特罗夫莱德萨尔瓦铁拉
Todolella,托多莱利亚
San Agustín (Teruel),圣阿古斯廷
Zafra de Záncara,萨夫拉德桑卡拉
Trigueros del Valle,特里格罗斯德尔瓦列
San Román de Hornija,圣罗曼德奥尔尼哈
Santibáñez de Valcorba,桑蒂瓦涅斯德瓦尔科尔瓦
Torrecilla de la Orden,托雷西利亚德劳尔登
Lomoviejo,洛莫维耶霍
San Pedro de Latarce,圣佩德罗德拉塔尔塞
Torremontalbo,托雷蒙塔尔沃
Muro en Cameros,穆罗恩卡梅罗斯
Robres del Castillo,罗夫雷斯德尔卡斯蒂略
San Torcuato,圣托尔夸托
Tobía,托维亚
Villar y Velasco,比利亚里韦拉斯科
Artesa de Lérida,阿尔特萨德列达
Majaelrayo,马海尔赖奥
Abarca de Campos,阿瓦尔卡德坎波斯
Moncalvillo,蒙卡尔维略
Torrechiva,托雷奇瓦
Santa Eulalia del Campo,圣欧拉利娅-德尔坎波
Santa Magdalena de Pulpis,圣马格达莱纳德普尔皮斯
Sinagoga del Tránsito,圣母升天犹太会堂
Softonic,软件天堂
San Llorente,圣略伦特
Langayo,兰盖奥
San Miguel del Pino,圣米格尔德尔皮诺
Cervillego de la Cruz,塞尔维列戈德拉克鲁斯
Canillas de Esgueva,卡尼利亚斯德埃斯格瓦
Villalba de los Alcores,比利亚尔瓦德洛萨尔科雷斯
Náquera,纳克拉
Gran Hotel Bali,巴里大飯店
Universidad de las Islas Baleares,巴利阿里群岛大学
Pozal de Gallinas,波萨尔德加利纳斯
Castroverde de Cerrato,卡斯特罗韦尔德德塞拉托
Bezares (La Rioja),贝萨雷斯
Nalda,纳尔达
Agrón (Granada),阿格龙
Leza de Río Leza,莱萨河畔莱萨
Pesaguero,佩萨格罗
Mantiel,曼铁尔
Benisa,贝尼萨
Pinilla de Jadraque,皮尼利亚德哈德拉克
Pozo de Almoguera,波索德亚尔莫格拉
Laspuña,拉斯普尼亚
Valdemorillo de la Sierra,巴尔德莫里略德拉谢拉
Algemesí,阿尔赫梅西
San Miguel del Arroyo,滨河圣米格尔
Castromonte,卡斯特罗蒙特
Terroba,特罗瓦
Pinilla de Molina,皮尼利亚德莫利纳
Polaciones,波拉西奥内斯
Distrito de Sarriá-San Gervasio,薩里亞-桑特熱瓦西區
Santorcaz,桑托尔卡斯
Torremocha de Jarama,哈拉马河畔托雷莫查
Torres Torres,托雷斯托雷斯
Torredelcampo,托雷德尔坎波
Rionansa,里奥南萨
Distrito de San Andrés (Barcelona),聖安德烈區
Morasverdes,莫拉斯韦德斯
Gatón de Campos,加通德坎波斯
Villabaruz de Campos,比利亚瓦鲁斯德坎波斯
Berzosilla,贝尔索西利亚
Villagómez la Nueva,新比利亚戈麦斯
Cogeces del Monte,科赫塞斯德尔蒙特
Estépar,埃斯特帕尔
Bustillo de Chaves,布斯蒂略德查韦斯
Carrizo de la Ribera,卡里索
Torla-Ordesa,托尔拉-奥尔德萨
Torrecilla de la Torre,托雷西利亚德拉托雷
Nueno,努埃诺
Payo de Ojeda,派奥德奥赫达
Marcilla de Campos,马尔西利亚德坎波斯
San Mamés de Campos,圣马梅斯德坎波斯
Miengo,缅戈
Molledo,莫列多
Peramola,佩拉莫拉
Vall de Uxó,拉瓦利杜伊克索
Collado de la Vera,科利亚多
Aldeacentenera,阿尔德亚森特内拉
Lapoblación,拉波夫拉西翁
La Fuente de San Esteban,拉丰特德圣埃斯特万
Gallinero de Cameros,加利内罗德卡梅罗斯
Aldeanueva de Figueroa,菲格罗阿新村
Pazuengos,帕孙戈斯
Ribafrecha,里瓦夫雷查
Cerezal de Peñahorcada,塞雷萨尔德佩尼亚奥尔卡达
Abadía (Cáceres),阿瓦迪亚
La Parra de las Vegas,拉帕拉德拉斯韦加斯
Navalvillar de Ibor,纳瓦尔维利亚尔德沃尔
Valle de la Serena,巴列德拉塞雷纳
Peñaflor (Sevilla),佩尼亚夫洛尔
Soba (Cantabria),索瓦
Ruiloba,鲁伊洛瓦
Avellaneda (Ávila),阿韦利亚内达·(阿维拉省)
Osa de la Vega,奥萨德拉韦加
Valoria la Buena,巴洛里亚拉武埃纳
Ruesga (Cantabria),鲁埃斯加
Ventosilla y Tejadilla,本托西利艾特哈迪利亚
Salvatierra de Tormes,萨尔瓦铁拉德托尔梅斯
Meliá Hotels International,美利亚酒店集团
Puebla de Yeltes,耶尔特斯镇
Museo Naval (Madrid),马德里海军博物馆
Fonzaleche,丰萨莱切
Portalrubio de Guadamejud,波尔塔尔鲁维奥德瓜达梅胡德
Mayals,马亚尔斯
Torrecilla sobre Alesanco,托雷西利亚索夫雷亚莱桑科
Aguilar del Río Alhama,阿拉马河畔阿吉拉尔
Villalobar de Rioja,比利亚洛瓦尔德里奥哈
Murero,穆雷罗
Villalengua,比利亚伦瓜
Cintruénigo,辛特鲁埃尼戈
Alagón (Zaragoza),阿拉贡·(萨拉戈萨省)
Valtorres,巴尔托雷斯
Alborge,阿尔沃尔赫
El Frago,埃尔夫拉戈
Anguiano,安吉亚诺
Torrecilla en Cameros,托雷西利艾恩卡梅罗斯
Mota del Cuervo,莫塔德尔库埃尔沃
Singra,辛拉
El Sotillo (Guadalajara),埃尔索蒂略
Villalar de los Comuneros,比利亚拉尔德洛斯科穆内罗斯
España en los Juegos Paralímpicos de Pekín 2008,2008年夏季殘疾人奧林匹克運動會西班牙代表團
Valbuena de Pisuerga,巴尔武埃纳德皮苏埃尔加
Pomar de Valdivia,波马尔德瓦尔迪维亚
Amusquillo,阿穆斯基略
Anna,安纳
Sardón de Duero,杜罗河畔萨尔东
Pozaldez,波萨尔德斯
Gallegos de Hornija,加列戈斯德奥尔尼哈
Encinas de Esgueva,恩西纳斯德埃斯格瓦
Nueva Villa de las Torres,努埃瓦维利亚德拉斯托雷斯
Olea de Boedo,奥莱亚德沃埃多
Peñalén,佩尼亚伦
Santiuste (Guadalajara),桑蒂乌斯特
Vallecillo (León),巴列西略
Úrbel del Castillo,乌尔韦尔德尔卡斯蒂略
Espinosa de Cervera,埃斯皮诺萨德塞尔韦拉
Mansilla de la Sierra,曼西利亚德拉谢拉
Cellorigo,塞略里戈
Las Cuerlas,拉斯库埃尔拉斯
Urriés,乌列斯
Godojos,戈多霍斯
Torralbilla,托拉尔维利亚
Villafranca de Ebro,埃布罗自由镇
Torrijo de la Cañada,托里霍德拉卡尼亚达
Benegiles,贝内希莱斯
Montón,蒙通
Argañín,阿尔加宁
Guaro,瓜罗
Almaraz de Duero,杜罗河畔阿尔马拉斯
Carbajales de Alba,卡尔瓦哈莱斯德亚尔瓦
Arcenillas,阿尔塞尼利亚斯
Santibáñez de la Peña,桑蒂瓦涅斯德拉佩尼亚
San Miguel de la Ribera,圣米格尔德拉里韦拉
San Vicente de la Cabeza,圣比森特德拉卡韦萨
Favareta,法瓦拉德拉里韦拉
Concatedral de Guadalajara,瓜達拉哈拉主教座堂
Línea 7 (Metro de Madrid),馬德里地鐵7號線
Línea 2 (Metro de Madrid),馬德里地鐵2號線
Fulleda,富列达
Grijalba (Burgos),格里哈尔瓦
Villarroya de la Sierra,比利亚罗亚德拉谢拉
Villafeliche,比利亚费利切
Fuentes de Jiloca,丰特斯德希洛卡
El Valle de Altomira,普埃夫拉德东夫兰西斯科
Villar de Peralonso,佩拉隆索村
Poveda de las Cintas,波韦达德拉斯辛塔斯
Vega del Codorno,贝加德尔科多尔诺
Chamartín,查馬丁區
Villarta,比利亚尔塔
Pozuelo de la Orden,波苏埃洛德劳尔登
Bárcena de Campos,巴尔塞纳德坎波斯
Bustillo del Páramo de Carrión,布斯蒂略德尔帕拉莫德卡里翁
Guaza de Campos,瓜萨德坎波斯
Castromembibre,卡斯特罗门维夫雷
Cubillas de Cerrato,库维利亚斯德塞拉托
Carratraca,卡拉特拉卡
Algodre,阿尔戈德雷
Arrabalde,阿拉瓦尔德
Villaseco de los Reyes,比利亚塞科德洛斯雷埃斯
Huete,韦特
Marzales,马尔萨莱斯
Morille,莫里列
Santa María de la Vega,圣玛丽亚德拉韦加
Barcial del Barco,巴尔西亚尔德尔瓦尔科
Villalube,比利亚卢韦
Arroyomolinos de la Vera,阿罗约莫利诺斯德拉韦拉
Descargamaría,德斯卡尔加马里亚
Encinacorba,恩西纳科尔瓦
Valmadrid,巴尔马德里德
Villalba de Perejil,比利亚尔瓦德佩雷希尔
Sierra de Luna,谢拉德卢纳
Villanueva de Huerva,韦尔瓦新镇
La Zaida,拉赛达
Alcalá de Ebro,埃布罗堡
Velilla de Ebro,埃布罗河畔贝利利亚
Línea 4 (Metro de Madrid),馬德里地鐵4號線
Olivares de Duero,杜罗河畔奥利瓦雷斯
Villavicencio de los Caballeros,比利亚维森西奥德洛斯卡瓦列罗斯
Línea 3 (Metro de Madrid),馬德里地鐵3號線
Vindel,宾德尔
Línea 1 (Metro de Madrid),馬德里地鐵1號線
Villanueva de Guadamejud,瓜达梅胡德新镇
Valpalmas,巴尔帕尔马斯
Valdeolivas,巴尔德奥利瓦斯
Villanueva de San Mancio,圣曼西奥新镇
La Parrilla,拉帕里利亚
Villavaquerín,比利亚瓦克林
Piña de Esgueva,皮尼亚德埃斯格瓦
Aldea de San Miguel,圣米格尔村
Revenga de Campos,雷文加德坎波斯
San Vicente del Palacio,圣比森特德尔帕拉西奥
Valdunquillo,巴尔敦基略
Villamuriel de Campos,比利亚穆列尔德坎波斯
Villacastín,比利亚卡斯廷
Villavellid,比利亚韦利德
Villanueva del Conde,孔德新镇
Puras,普拉斯·(巴利亚多利德省)
Pitiegua,皮铁瓜
Soses,索塞斯
Termens,特尔门斯
Torá (Lérida),托拉·(莱里达省)
Valdunciel,巴尔敦希耶尔
Saelices el Chico,赛利塞塞尔奇科
Preixéns,普雷克森斯
Torrebeses,托雷韦塞斯
Villaverde de Montejo,比利亚韦尔德德蒙特霍
San Lorenzo de Morúnys,圣洛伦索-德莫鲁尼斯
Tiurana,蒂乌拉纳
San Guim de Freixanet,圣吉姆-德弗雷克萨内特
Sudanell,苏达内利
Salillas,萨利利亚斯
Villodre,比略德雷
Valdestillas,巴尔德斯蒂利亚斯
Zorita de la Frontera,索里塔德拉夫龙特拉
Villaverde de Medina,比利亚韦尔德德梅迪纳
Valdelacasa,巴尔德拉卡萨
Vilanova de Meyá,梅亚新镇
Villasila de Valdavia,比利亚西拉德瓦尔达维亚
Viana de Cega,比亚纳德塞加
Vallejera de Riofrío,巴列赫拉德里奥夫里奥
San Pedro de Ceque,圣佩德罗德塞克
Torregamones,托雷加莫内斯
San Pedro de la Nave-Almendra,圣佩德罗德拉纳韦-阿尔门德拉
Santibáñez de Tera,桑蒂瓦涅斯德特拉
Aspariegos,阿斯帕列戈斯
Porto (Zamora),波尔托
Villamalur,比利亚马卢尔
Villamayor de Calatrava,卡拉特拉瓦大镇
Cañete (Cuenca),卡涅特
Mogarraz,莫加拉斯
Vega de Tirados,贝加德蒂拉多斯
Las Veguillas,拉斯韦吉利亚斯
La Sagrada (Salamanca),拉萨格拉达
Martín de Yeltes,马丁-德耶尔特斯
Montemayor del Río,滨河蒙特马约尔
Pueyo de Santa Cruz,普埃奥德圣克鲁斯
Capilla (Badajoz),卡皮利亚
Embid de Ariza,恩维德亚里萨
Aldeatejada,阿尔德亚特哈达
Layana,莱阿纳
Balboa (León),巴尔沃亚·(西班牙)
Cuevas Labradas (Teruel),库埃瓦斯拉夫拉达斯
Martinamor,马尔蒂纳莫尔
Mozárbez,莫萨尔韦斯
La Mata de Ledesma,拉马塔德莱德斯马
Monleras,蒙莱拉斯
Sestrica,塞斯特里卡
Alcalá de Moncayo,蒙卡约堡
Sisamón,西萨蒙
Membribe de la Sierra,门夫里韦德拉谢拉
La Maya,拉迈阿
Quer,克尔·(西班牙)
Zucaina,苏凯纳
Piñel de Abajo,下皮涅尔
Rubiales (Teruel),鲁维亚莱斯
Villastar,比利亚斯塔尔
Valle de Hecho,巴列德埃乔
Madroñal (Salamanca),马德罗尼亚尔
Palacio de Cibeles,西贝莱斯宫
Astudillo,阿斯图迪略
Abia de las Torres,阿维亚德拉斯托雷斯
Arcos de la Polvorosa,阿尔科斯德拉波尔沃罗萨
Bermillo de Sayago,贝尔米略德萨亚戈
Alcubilla de Nogales,阿尔库维利亚德诺加莱斯
Andavías,安达维亚斯
Aldehuela de Liestos,阿尔德韦拉德列斯托斯
Trasobares,特拉索瓦雷斯
Fuentes de Ebro,丰特斯德埃夫罗
Los Fayos,洛斯法伊奥斯
Buenamadre,布埃纳马德雷
Munébrega,穆内夫雷加
Villadoz,比利亚多斯
Alba de Yeltes,阿尔瓦德埃尔特斯
Cervera de la Cañada,塞尔韦拉德拉卡尼亚达
Aniñón,阿尼尼翁
Plasencia de Jalón,普拉森西亚德哈隆
Malanquilla,马兰基利亚
Palacio de Carlos V,查理五世宫
Palacio de Santa Cruz (Valladolid),圣十字宫
San Salvador (Valladolid),圣萨尔瓦多尔
Alfajarín,阿尔法哈林
La Almolda,拉尔莫尔达
Tosos,托索斯
Machacón,马查孔
Parada de Arriba,上帕拉达
Miranda de Azán,米兰达德亚桑
Torreadrada,托雷亚德拉达
Villafuerte de Esgueva,比利亚富埃尔特
El Campillo (Valladolid),埃尔坎皮略
Casasola de Arión,卡萨索拉德亚里翁
El Frasno,埃尔夫拉斯诺
Moríñigo,莫里尼伊戈
Valverde (Santa Cruz de Tenerife),巴尔韦德
Villar de Olalla,奥拉利亚村
Villacarralón,比利亚卡拉隆
Villafranca (Navarra),比利亚弗兰卡
Frailes (Jaén),夫赖莱斯
Cerdá,塞尔达·(西班牙)
Tribunal de las Aguas de Valencia,巴伦西亚水法庭
Castrillo de Don Juan,卡斯特里略-德唐胡安
Cervatos de la Cueza,塞尔瓦托斯德拉库埃萨
Mudá,穆达
Catedral de Almería,阿爾梅里亞主教座堂
Cordilleras Costero-Catalanas,加泰羅尼亞地中海山脈
Quijorna,基霍尔纳
Villamanta,比利亚曼塔
Valdemanco,巴尔德曼科
Romanones,罗马诺内斯
Rubí de Bracamonte,鲁维德夫拉卡蒙特
Monreal,蒙雷阿尔·(西班牙)
Partido Comunista de los Pueblos de España,西班牙人民共产党
San Cristóbal de Segovia,圣克里斯托瓦尔-德塞戈维亚
Casa de les Punxes,特德拉斯之家
Vía Layetana,莱埃塔那大街
Pedralbes,佩德拉尔韦斯
Villamantilla,比利亚曼蒂利亚
Retortillo (Salamanca),雷托尔蒂略
Capilla del Carmen (Sevilla),加尔默罗小堂·(塞维利亚)
Mayorga,马约尔加
Brahojos de Medina,布拉奥霍斯德梅迪纳
Corpa,科尔帕
Braojos de la Sierra,布劳霍斯
Gobierno Vasco,巴斯克自治区政府
Río Odra,奧德拉河·(西班牙)
San Miguel de Bernuy,圣米格尔德韦尔努伊
Torredonjimeno,托雷东希梅诺
Villaprovedo,比利亚普罗韦多
Lavapiés,拉瓦皮耶斯
Club Marino de Luanco,卢安科水手
Palacio de Cristal del Retiro,水晶宮·(馬德里)
Santa Cruz (Sevilla),圣十字区·(塞维利亚)
Club de Futbol Amposta,岩布斯特足球會
Mapa de Juan de la Cosa,胡安德拉科薩世界地圖
Fuentelespino de Moya,丰特莱斯皮诺德莫亚
Cárdenas (La Rioja),卡尔德纳斯·(拉里奥哈自治区)
Portilla (Cuenca),波尔蒂利亚
Ribera del Dondara,里韦拉东达拉
La Frontera (Cuenca),拉弗龙特拉·(昆卡省)
La Hinojosa (Cuenca),拉伊诺霍萨
Tierz,铁尔斯
Banastás,巴纳斯塔斯
Castrillo-Tejeriego,卡斯特里略-特赫列戈
Zamayón,萨迈翁
Vecinos (Salamanca),贝西诺斯
Volcán de Santa Margarita,圣玛格丽塔火山
Río Cenia,塞尼亞河
Reserva natural dirigida de la Laguna de Gallocanta,加略坎塔湖
Cortes de Aragón (Teruel),科尔特斯德亚拉贡
Igriés,伊格列斯
Fuentes (Cuenca),丰特斯
Anexo:12 Tesoros de España,西班牙十二瑰宝
Huerta (Salamanca),韦尔塔
Carrascosa (Cuenca),卡拉斯科萨
Iglesia de Santiago del Arrabal (Toledo),圣雅各伯堂·(托莱多)
Puente de Isabel II,伊莎贝拉二世大桥
Puigvert de Agramunt,普伊格韦尔达格拉蒙特
Bocigas (Valladolid),博西加斯
Sidamunt,西达蒙
Castronuevo de Esgueva,卡斯特罗努埃沃德埃斯格瓦
Villardefrades,比利亚德弗拉德斯
Tiedra,铁德拉
Revilla de Collazos,雷维利亚德科利亚索斯
Requena de Campos,雷克纳德坎波斯
Salvador de Zapardiel,萨尔瓦多尔德萨帕尔迭尔
Cabezón de Valderaduey,卡韦松德瓦尔德拉杜埃
Osornillo,奥索尔尼略
San Pelayo (Valladolid),圣佩莱奥
Lonja de Palma de Mallorca,帕尔马隆哈
Quesada (Jaén),克萨达
Izalzu,伊萨尔苏
Trujillanos,特鲁希利亚诺斯
Lónguida,隆吉达
Era Galáctica del Real Madrid,銀河艦隊
Anexo:Áreas metropolitanas de España,西班牙都市区列表·(按人口排列)
Gallegos (Segovia),加列戈斯
Salorino,萨洛里诺
Bélgida,贝尔希达
San Pablo de la Moraleja,圣帕夫洛德拉莫拉莱哈
Turégano,图雷加诺
Vegas de Matute,贝加斯德马图特
Valleruela de Pedraza,巴列鲁埃拉德佩德拉萨
Zarzuela del Monte,萨尔苏埃拉德尔蒙特
Tabanera la Luenga,塔瓦内拉拉伦加
Cobos de Fuentidueña,科沃斯德丰蒂杜埃尼亚
Cubillo,库维略
Casa de Castril,卡斯特里尔宫
PS20,PS20太陽能發電塔
Catedral de San Pedro de Jaca,哈卡主教座堂
BOOTES,牧夫
Fórnoles,福尔诺莱斯
Plaza de la Universidad (Barcelona),大学广场
Partido Moderado,溫和黨·(西班牙)
Partido de los Socialistas de Cataluña,加泰隆尼亞社會主義者黨
Río Avia,阿維亞河
Capirote (penitente),西班牙尖帽
Monasterio de La Rábida,拉比达修道院
Club Deportiu Tortosa,陶托沙體育會
San Pedro de Gaíllos,圣佩德罗德盖略斯
Vallfogona de Riucorb,巴尔福戈纳-德留科夫
Condado de Castilnovo,孔达多德卡斯蒂尔诺沃
Torrecaballeros,托雷卡瓦列罗斯
Ribota,里沃塔
Almenara (Castellón),阿尔梅纳拉
Valdevacas de Montejo,巴尔德瓦卡斯德蒙特霍
Valdeprados,巴尔德普拉多斯
Castro de Fuentidueña,卡斯特罗德丰蒂杜埃尼亚
Santo Tomé del Puerto,桑托托梅德尔普埃尔托
Fuenterrebollo,丰特雷沃略
Navés,纳韦斯·(莱里达省)
Torre de Fontaubella,拉托雷德丰陶韦利亚
Suñé (Lérida),苏涅尔
La Riera (Tarragona),拉列拉德盖阿
Playa de Las Teresitas,特雷西塔海滩
Irizar,伊利萨尔
Familia real española,西班牙王室
Universidad de Mondragón,蒙德拉贡大学
Avenida del Paralelo,平行线大道
Catedral de Murcia,莫夕亞主教座堂
Jardines de Sabatini,萨巴蒂尼花园
Universiada de invierno de 2015,2015年冬季世界大學運動會
Sebúlcor,塞武尔科尔
Valle de Tabladillo,巴列德塔夫拉迪略
Prat de Compte,普拉特德科姆特
Cilleruelo de San Mamés,西列鲁埃洛德圣马梅斯
Tolocirio,托洛西里奥
Castillejo de Mesleón,卡斯蒂列霍德梅斯莱翁
Fresno de la Fuente,弗雷斯诺德拉丰特
Olujas,莱索卢赫斯
Sanchonuño,桑乔努尼奥
Grajera,格拉赫拉
Navalilla,纳瓦利利亚
Fuentesoto,丰特索托
Unidad Editorial,联合出版社
Copa Federación (España),西班牙足协杯
Universidad Católica San Antonio de Murcia,武康大学
Conquista de Hispania,罗马征服伊比利亚半岛
Calle de Alcalá,阿尔卡拉街
Batalla de Tudela,圖德拉戰役
Atlético Coruña Montañeros Club de Fútbol,蒙塔涅罗斯足球俱乐部
Club de Madrid,马德里俱乐部
Plaza de América (Sevilla),美洲广场·(塞维利亚)
Televisión de Cataluña,加泰罗尼亚电视台
Primera batalla de Valencia,瓦伦西亚之战
Río Tirón,蒂龙河
Sierra Madrona,馬德羅納山脈
Casas Altas,卡萨萨尔塔斯
Anaya (Segovia),阿奈阿
Benisuera,贝尼苏埃拉
Aras de los Olmos,阿拉斯德洛索尔莫斯
Alborache,阿尔沃拉切
Andilla,安迪利亚·(巴伦西亚省)
Alfara de la Baronía,阿尔法拉德亚尔希米亚
Almiserat,阿尔米塞拉
Alginet,阿尔希内特
Población de Cerrato,波夫拉西翁德塞拉托
Poza de la Vega,波萨德拉韦加
Benimodo,贝尼莫多
Bellús,贝柳斯
Santoyo,桑托约
Valde-Ucieza,巴尔德-乌希耶萨
Villanuño de Valdavia,比利亚努尼奥德瓦尔达维亚
Salinas de Pisuerga,萨利纳斯德皮苏埃尔加
Soto de Cerrato,索托德塞拉托
Támara de Campos,塔马拉德坎波斯
Mantinos,曼蒂诺斯
