Osasco,奥萨斯库
Saltos ornamentais nos Jogos Olímpicos de Verão de 2016 - Qualificatórias,2016年夏季奧林匹克運動會跳水比賽參賽資格
Telefônica Brasil,巴西电信
Copa do Mundo FIFA Sub-17 de 2019,2019年國際足協U-17世界盃
Canoagem nos Jogos Olímpicos de Verão de 2016 - K-2 1000 m masculino,2016年夏季奧林匹克運動會輕艇男子1000公尺雙人愛斯基摩艇比賽
Epidemia de febre zica em 2015–2016,寨卡病毒疫情
Remo nos Jogos Paralímpicos de Verão de 2016,2016年夏季殘疾人奧林匹克運動會賽艇比賽
Rompimento de barragem em Mariana,班托羅德里格斯水壩災難
Esgrima em cadeira de rodas nos Jogos Paralímpicos de Verão de 2016,2016年夏季殘疾人奧林匹克運動會輪椅劍擊比賽
Riachão do Dantas,丹塔斯的里亞尚
Nossa Senhora da Glória,格洛里亞聖母城·(塞爾希培州)
Nossa Senhora das Dores (Sergipe),多雷斯聖母城·(塞爾希培州)
Tobias Barreto (Sergipe),托比亞斯巴雷圖·(塞爾希培州)
Tomar do Geru,熱魯的托馬爾
São Brás (Alagoas),圣布拉斯
Poço Verde,波苏韦尔迪
São Francisco de Paula (Rio Grande do Sul),圣弗朗西斯科-迪保拉
Porto Real do Colégio,雷亚尔-杜科莱日乌港
Monte Alegre de Sergipe,蒙特阿萊格雷·(塞爾希培州)
Lagoa Vermelha,拉戈阿韦梅利亚
Alagoinhas,阿拉戈伊尼亚斯
Nova União (Minas Gerais),新烏尼昂·(米納斯吉拉斯州)
Lagoa Grande (Minas Gerais),大拉戈阿·(米纳斯吉拉斯州)
Liberdade (Minas Gerais),利贝尔达迪
Lagoa dos Patos (Minas Gerais),拉戈阿-杜斯帕图斯
Caldas,卡尔达什
Cachoeira Dourada (Minas Gerais),卡舒埃拉多拉達·(米納斯吉拉斯州)
Cabo Verde (Minas Gerais),韦德角
Campanário (Minas Gerais),坎帕纳里乌
São Francisco (Minas Gerais),聖弗朗西斯科·(米納斯吉拉斯州)
Prata (Minas Gerais),普拉塔
Anhumas,阿纽马斯
Januária,雅努阿里亚
Indianópolis (Minas Gerais),印第安諾波利斯·(米納斯吉拉斯州)
Itapeva (Minas Gerais),伊塔佩瓦·(米納斯吉拉斯州)
Igarapé (Minas Gerais),伊加拉佩
Tremembé,特雷门贝
Tuiuti (São Paulo),图尤蒂
Trabiju,特拉比茹
Coimbra (Minas Gerais),科英布拉·(米纳斯吉拉斯州)
Cláudio (Minas Gerais),克劳迪乌
Conquista,孔基斯塔·(米纳斯吉拉斯州)
Corinto (Minas Gerais),科林图
Espinosa (Minas Gerais),埃斯皮诺萨
Coromandel,科罗曼德尔
Fama (Minas Gerais),法马
Delta (Minas Gerais),德爾塔·(米納斯吉拉斯州)
Vera Cruz (São Paulo),韋拉克魯斯·(聖保羅州)
Carmo do Cajuru,卡尔穆-杜卡茹鲁
Campestre (Minas Gerais),坎佩斯特里·(米納斯吉拉斯州)
Canápolis (Minas Gerais),卡納波利斯·(米納斯吉拉斯州)
Cantagalo (Minas Gerais),坎塔加盧·(米納斯吉拉斯州)
Três Barras,特雷斯巴拉斯
Vargem (Santa Catarina),瓦爾任·(聖卡塔琳娜州)
Urussanga,乌鲁桑加
Treviso (Santa Catarina),特雷维素
Viçosa (Alagoas),维索萨
União dos Palmares,乌尼昂-杜斯帕尔马里斯
Xanxerê,尚谢雷
Tangará (Santa Catarina),坦加拉·(聖卡塔琳娜州)
Anitápolis,阿尼塔波利斯
Antônio Carlos (Santa Catarina),安東尼奧卡洛斯·(聖卡塔琳娜州)
Angelina,安热利纳
Tapejara (Paraná),塔佩雅拉·(巴拉那州)
Terra Roxa (Paraná),特拉罗沙
Turiúba,图里乌巴
Boa Esperança (Minas Gerais),博阿埃斯佩蘭薩·(米納斯吉拉斯州)
Bonfim (Minas Gerais),邦菲姆
Brasília de Minas,巴西利亚-迪米纳斯
Vitória da Conquista,维多利亚-达孔基斯塔
Utinga (Bahia),乌廷加
Valente (Bahia),瓦伦蒂
Vera Cruz (Bahia),維拉克魯茲·(巴伊亞州)
Arcos (Minas Gerais),阿尔科斯·(米纳斯吉拉斯州)
Alvarenga (Minas Gerais),阿尔瓦伦加·(米纳斯吉拉斯州)
Antônio Carlos (Minas Gerais),安东尼奥卡洛斯
Wagner (Bahia),瓦格纳·(巴西)
Ubatã,乌巴唐
Ubaíra,乌巴伊拉
Uruçuca,乌鲁苏卡
Taperoá (Bahia),塔佩罗阿
Tapiramutá,塔皮拉穆塔
Tanhaçu,塔尼亚苏
Teodoro Sampaio (Bahia),特奥多鲁桑帕尤
Antas (Bahia),安塔斯·(巴伊亚州)
Umbaúba,溫鮑巴
Alcobaça (Bahia),阿尔科巴萨·(巴伊亚州)
Araci,阿拉西
Tucano (Bahia),圖卡諾·(巴伊亞州)
Terra Nova (Bahia),特拉诺瓦
Uauá,瓦瓦
Aragarças,阿拉加尔萨斯
Uruaçu,乌鲁阿苏
Aporé,阿波雷
Alto Araguaia,上阿拉瓜亚
Vila Rica (Mato Grosso),里加镇
Anicuns,阿尼昆斯
Telha (Sergipe),特利亞
Aparecida do Taboado,阿帕雷西達杜塔博阿杜
Aral Moreira,阿拉爾莫雷拉
Três Lagoas,特雷斯拉瓜斯
Terenos,特雷諾斯
Antônio João,安東尼奧若昂
Gouveia (Minas Gerais),戈韦阿
Uruana,乌鲁阿纳
Almeirim (Pará),阿爾梅林·(帕拉州)
Vianópolis,维亚诺波利斯
Tabatinga (São Paulo),塔巴廷加
Taciba,塔西巴
Tapiraí (São Paulo),塔皮拉伊
Tarabai,塔拉比·(聖保羅州)
Taquaral,塔夸拉爾
Medina (Minas Gerais),梅迪纳
Ouro Branco (Minas Gerais),欧鲁布兰科
Taquarana,塔夸拉纳
Montezuma (Minas Gerais),蒙特祖马·(巴西)
Lontra (Minas Gerais),隆特拉·(米納斯吉拉斯州)
Mulungu (Ceará),穆隆古·(塞阿臘州)
Morrinhos (Ceará),莫里纽斯
Marco (Ceará),馬可·(塞阿臘州)
Novo Oriente,新奥连蒂
Várzea Grande (Piauí),大瓦爾澤亞·(皮奧伊州)
Uruçuí,乌鲁苏伊
Valença do Piauí,皮奥伊河畔瓦伦萨
Amarante (Piauí),阿马兰蒂·(皮奥伊州)
Chorozinho,绍罗济纽
Catarina (Ceará),卡塔琳娜
Catunda,卡通达
Cruz (Ceará),克魯斯·(塞阿臘州)
Rio Paranaíba (município de Minas Gerais),里奥帕拉纳伊巴
Rio Piracicaba (município),里奥皮拉西卡巴
Sacramento (Minas Gerais),萨克拉门托·(米纳斯吉拉斯州)
Rio Pomba (município),里奥蓬巴
Tocantins (Minas Gerais),托坎廷斯·(米納斯吉拉斯州)
Toledo (Minas Gerais),托萊杜·(米納斯吉拉斯州)
Veríssimo (Minas Gerais),韦里西穆
Turmalina (Minas Gerais),圖爾馬利納·(米納斯吉拉斯州)
Santana da Vargem,圣安娜-达瓦尔任
Santa Bárbara (Minas Gerais),聖巴巴拉·(米納斯吉拉斯州)
Santa Vitória (Minas Gerais),圣维多利亚
Salinas (Minas Gerais),萨利纳斯·(米纳斯吉拉斯州)
Tapira (Minas Gerais),塔皮拉·(米納斯吉拉斯州)
São João do Paraíso (Minas Gerais),聖若昂-杜帕拉伊蘇·(米納斯吉拉斯州)
São João Evangelista (Minas Gerais),圣若昂-埃旺热利斯塔
São José do Divino (Minas Gerais),聖若澤-杜迪維努·(米納斯吉拉斯州)
Tremedal,特雷梅达尔
Una,乌纳·(巴西)
Tabatinga (Amazonas),塔巴廷加·(亞馬遜州)
Alto Paraíso de Goiás,戈亚斯州上帕拉伊索
Altos,阿尔托斯
Tucumã (Pará),圖庫芒·(帕拉州)
Almas (Tocantins),阿尔马斯
Alvorada (Tocantins),阿尔沃拉达·(托坎廷斯州)
Taguatinga (Tocantins),塔瓜廷加
Tapiraí (Minas Gerais),塔皮拉伊·(米納斯吉拉斯州)
Badminton nos Jogos Olímpicos de Verão de 2016 - Simples feminino,2016年夏季奧林匹克運動會羽毛球女子單打比賽
Badminton nos Jogos Olímpicos de Verão de 2016 - Simples masculino,2016年夏季奧林匹克運動會羽毛球男子單打比賽
Rugby sevens nos Jogos Olímpicos de Verão de 2016 - Feminino,2016年夏季奧林匹克運動會女子七人制橄欖球比賽
Mojuí dos Campos,莫茹伊坎波斯
Esgrima nos Jogos Olímpicos de Verão de 2016 - Sabre individual feminino,2016年夏季奧林匹克運動會女子佩劍個人賽
Esgrima nos Jogos Olímpicos de Verão de 2016 - Florete individual feminino,2016年夏季奥林匹克运动会击剑女子个人花剑比赛
Esgrima nos Jogos Olímpicos de Verão de 2016 - Sabre individual masculino,2016年夏季奧林匹克運動會劍擊男子個人佩劍比賽
Esgrima nos Jogos Olímpicos de Verão de 2016 - Espada individual feminino,2016年夏季奧林匹克運動會女子個人重劍比賽
Tiro com arco nos Jogos Olímpicos de Verão de 2016 - Equipes femininas,2016年夏季奧林匹克運動會女子團體射箭比賽
Tiro com arco nos Jogos Olímpicos de Verão de 2016 - Individual masculino,2016年夏季奧林匹克運動會男子個人射箭比賽
Tiro com arco nos Jogos Olímpicos de Verão de 2016 - Individual feminino,2016年夏季奧林匹克運動會射箭比賽—女子個人
Ciclismo nos Jogos Olímpicos de Verão de 2016 - BMX masculino,2016年夏季奧林匹克運動會自由車男子BMX賽
Ciclismo nos Jogos Olímpicos de Verão de 2016 - BMX feminino,2016年夏季奧林匹克運動會自由車女子BMX賽
Ciclismo nos Jogos Olímpicos de Verão de 2016 - Omnium feminino,2016年夏季奧林匹克運動會自由車女子全能賽
Canoagem nos Jogos Olímpicos de Verão de 2016 - K-1 1000 m masculino,2016年夏季奧林匹克運動會輕艇男子1000公尺單人愛斯基摩艇比賽
Torneio Internacional de Natal de 2015,2015年納塔爾國際女足錦標賽
Tiro nos Jogos Olímpicos de Verão de 2016 - Pistola de ar 10 m masculino,2016年夏季奧林匹克運動會射擊男子10公尺空氣手槍比賽
Tênis de mesa nos Jogos Olímpicos de Verão de 2016 - Individual feminino,2016年夏季奧林匹克運動會乒乓球女子單打比賽
Esgrima nos Jogos Olímpicos de Verão de 2016 - Florete por equipes masculino,2016年夏季奥林匹克运动会击剑男子团体花剑比赛
Esgrima nos Jogos Olímpicos de Verão de 2016 - Espada por equipes feminino,2016年夏季奧林匹克運動會劍擊女子團體重劍比賽
Badminton nos Jogos Olímpicos de Verão de 2016 - Duplas mistas,2016年夏季奧林匹克運動會羽毛球混合雙打比賽
Badminton nos Jogos Olímpicos de Verão de 2016 - Duplas masculinas,2016年夏季奧林匹克運動會羽毛球男子雙打比賽
Badminton nos Jogos Olímpicos de Verão de 2016 - Duplas femininas,2016年夏季奧林匹克運動會羽毛球女子雙打比賽
Parque Nacional das Nascentes do Lago Jari,雅里湖源國家公園
Rugby sevens nos Jogos Olímpicos de Verão de 2016 - Masculino,2016年夏季奧林匹克運動會男子七人制橄欖球比賽
Ciclismo nos Jogos Olímpicos de Verão de 2016 - Omnium masculino,2016年夏季奧林匹克運動會自由車男子全能賽
Esgrima nos Jogos Olímpicos de Verão de 2016 - Espada individual masculino,2016年夏季奧林匹克運動會劍擊男子個人重劍比賽
Esgrima nos Jogos Olímpicos de Verão de 2016 - Sabre por equipes feminino,2016年夏季奥林匹克运动会击剑女子团体佩剑比赛
Esgrima nos Jogos Olímpicos de Verão de 2016 - Espada por equipes masculino,2016年夏季奧林匹克運動會劍擊男子團體重劍比賽
Esgrima nos Jogos Olímpicos de Verão de 2016 - Florete individual masculino,2016年夏季奧林匹克運動會男子個人花劍比賽
Igreja do Carmo de Olinda,奥林达嘉模圣母堂
Natação nos Jogos Olímpicos de Verão de 2016 - 100 m costas masculino,2016年夏季奧林匹克運動會男子100公尺仰式比賽
Diocese de Votuporanga,天主教沃圖波蘭加教區
Natação nos Jogos Olímpicos de Verão de 2016 - 200 m costas feminino,2016年夏季奧林匹克運動會女子200公尺仰式比賽
Natação nos Jogos Olímpicos de Verão de 2016 - 800 m livre feminino,2016年夏季奧林匹克運動會女子800公尺自由式比賽
Judô nos Jogos Paralímpicos de Verão de 2016,2016年夏季殘疾人奧林匹克運動會柔道比賽
Atletismo nos Jogos Paralímpicos de Verão de 2016,2016年夏季殘疾人奧林匹克運動會田徑比賽
Levantamento de peso nos Jogos Paralímpicos de Verão de 2016,2016年夏季殘疾人奧林匹克運動會舉重比賽
Triatlo nos Jogos Paralímpicos de Verão de 2016,2016年夏季殘疾人奧林匹克運動會三項鐵人比賽
Voleibol sentado nos Jogos Paralímpicos de Verão de 2016,2016年夏季殘疾人奧林匹克運動會坐式排球比賽
Parque Nacional da Serra do Gandarela,甘达雷拉山脉国家公园
Hipismo nos Jogos Paralímpicos de Verão de 2016,2016年夏季殘疾人奧林匹克運動會馬術比賽
Natação nos Jogos Olímpicos de Verão de 2016 - 50 m livre masculino,2016年夏季奧林匹克運動會男子50公尺自由式比賽
Natação nos Jogos Olímpicos de Verão de 2016 - 50 m livre feminino,2016年夏季奧林匹克運動會女子50公尺自由式比賽
Ciclismo nos Jogos Olímpicos de Verão de 2016 - Cross-country masculino,2016年夏季奧林匹克運動會自由車男子越野賽
Ciclismo nos Jogos Olímpicos de Verão de 2016 - Cross-country feminino,2016年夏季奧林匹克運動會自由車女子越野賽
Atletismo nos Jogos Olímpicos de Verão de 2016 - Lançamento de dardo masculino,2016年夏季奧林匹克運動會田徑男子標槍比賽
Halterofilismo nos Jogos Olímpicos de Verão de 2016 - Até 94 kg masculino,2016年夏季奧林匹克運動會舉重比賽—男子94公斤級
Golfe nos Jogos Olímpicos de Verão de 2016 - Individual masculino,2016年夏季奧林匹克運動會男子高爾夫比賽
Tiro nos Jogos Paralímpicos de Verão de 2016,2016年夏季殘疾人奧林匹克運動會射擊比賽
Tiro nos Jogos Olímpicos de Verão de 2016 - Carabina de ar 10 m masculino,2016年夏季奧林匹克運動會射擊男子10公尺空氣步槍比賽
Ginástica artística nos Jogos Olímpicos de Verão de 2016 - Qualificatória feminina,2016年夏季奧林匹克運動會體操女子資格賽
Golfe nos Jogos Olímpicos de Verão de 2016 - Individual feminino,2016年夏季奧林匹克運動會女子高爾夫比賽
Halterofilismo nos Jogos Olímpicos de Verão de 2016 - Até 48 kg feminino,2016年夏季奧林匹克運動會舉重比賽—女子48公斤級
Halterofilismo nos Jogos Olímpicos de Verão de 2016 - Até 53 kg feminino,2016年夏季奧林匹克運動會舉重比賽—女子53公斤級
Natação nos Jogos Olímpicos de Verão de 2016 - 200 m livre feminino,2016年夏季奧林匹克運動會女子200公尺自由式比賽
Natação nos Jogos Olímpicos de Verão de 2016 - 400 m livre feminino,2016年夏季奧林匹克運動會女子400米自由泳比賽
Natação nos Jogos Olímpicos de Verão de 2016 - 100 m livre feminino,2016年夏季奧林匹克運動會女子100公尺自由式比賽
Natação nos Jogos Olímpicos de Verão de 2016 - 100 m livre masculino,2016年夏季奧林匹克運動會男子100公尺自由式比賽
Natação nos Jogos Olímpicos de Verão de 2016 - 200 m livre masculino,2016年夏季奧林匹克運動會男子200公尺自由式比賽
Natação nos Jogos Olímpicos de Verão de 2016 - 400 m livre masculino,2016年夏季奧林匹克運動會男子400公尺自由式比賽
Remo nos Jogos Olímpicos de Verão de 2016 - Skiff simples feminino,2016年夏季奧林匹克運動會划船女子單人雙槳比賽
Remo nos Jogos Olímpicos de Verão de 2016 - Oito com feminino,2016年夏季奧林匹克運動會划船女子八人單槳比賽
Remo nos Jogos Olímpicos de Verão de 2016 - Skiff duplo leve feminino,2016年夏季奧林匹克運動會划船女子輕量級雙人雙槳比賽
Remo nos Jogos Olímpicos de Verão de 2016 - Dois sem feminino,2016年夏季奧林匹克運動會划船女子雙人單槳比賽
Remo nos Jogos Olímpicos de Verão de 2016 - Skiff duplo feminino,2016年夏季奧林匹克運動會划船女子雙人雙槳比賽
Remo nos Jogos Olímpicos de Verão de 2016 - Skiff quádruplo feminino,2016年夏季奧林匹克運動會划船女子四人雙槳比賽
Boxe nos Jogos Olímpicos de Verão de 2016 - Peso meio-médio-ligeiro masculino,2016年夏季奧林匹克運動會男子輕次中量級拳擊比賽
Judô nos Jogos Olímpicos de Verão de 2016 - Até 66 kg masculino,2016年夏季奧林匹克運動會男子66公斤級柔道比賽
Judô nos Jogos Olímpicos de Verão de 2016 - Até 60 kg masculino,2016年夏季奧林匹克運動會男子60公斤級柔道比賽
Boxe nos Jogos Olímpicos de Verão de 2016 - Peso médio masculino,2016年夏季奧林匹克運動會男子中量級拳擊比賽
Canoagem nos Jogos Paralímpicos de Verão de 2016,2016年夏季殘疾人奧林匹克運動會獨木舟比賽
Vela nos Jogos Paralímpicos de Verão de 2016,2016年夏季殘疾人奧林匹克運動會帆船比賽
Natação nos Jogos Olímpicos de Verão de 2016 - 200 m peito masculino,2016年夏季奧林匹克運動會男子200公尺蛙式比賽
Natação nos Jogos Olímpicos de Verão de 2016 - 200 m costas masculino,2016年夏季奧林匹克運動會男子200公尺仰式比賽
Natação nos Jogos Olímpicos de Verão de 2016 - 1500 m livre masculino,2016年夏季奧林匹克運動會男子1500米自由泳比賽
Halterofilismo nos Jogos Olímpicos de Verão de 2016 - Até 56 kg masculino,2016年夏季奥林匹克运动会举重比赛—男子56公斤级
Judô nos Jogos Olímpicos de Verão de 2016 - Até 52 kg feminino,2016年夏季奧林匹克運動會女子52公斤級柔道比賽
Natação nos Jogos Olímpicos de Verão de 2016 - 100 m borboleta masculino,2016年夏季奧林匹克運動會男子100公尺蝶式比賽
Natação nos Jogos Olímpicos de Verão de 2016 - Revezamento 4x100 m livre masculino,2016年夏季奧林匹克運動會男子4×100公尺自由式接力比賽
Natação nos Jogos Olímpicos de Verão de 2016 - 400 m medley masculino,2016年夏季奧林匹克運動會男子400公尺混合式比賽
Natação nos Jogos Olímpicos de Verão de 2016 - 200 m medley masculino,2016年夏季奧林匹克運動會男子200公尺個人混合式比賽
Natação nos Jogos Olímpicos de Verão de 2016 - 200 m borboleta masculino,2016年夏季奧林匹克運動會男子200公尺蝶式比賽
Natação nos Jogos Olímpicos de Verão de 2016 - Revezamento 4x100 m medley masculino,2016年夏季奧林匹克運動會男子4×100公尺混合式接力比賽
Natação nos Jogos Olímpicos de Verão de 2016 - Revezamento 4x100 m livre feminino,2016年夏季奧林匹克運動會女子4×100公尺自由式接力比賽
Natação nos Jogos Olímpicos de Verão de 2016 - 400 m medley feminino,2016年夏季奧林匹克運動會女子400公尺個人混合式比賽
Natação nos Jogos Olímpicos de Verão de 2016 - 10 km feminino,2016年夏季奧林匹克運動會女子10公里馬拉松游泳比賽
Natação nos Jogos Olímpicos de Verão de 2016 - 100 m borboleta feminino,2016年夏季奧林匹克運動會女子100公尺蝶式比賽
Natação nos Jogos Olímpicos de Verão de 2016 - 200 m peito feminino,2016年夏季奧林匹克運動會女子200公尺蛙式比賽
Natação nos Jogos Olímpicos de Verão de 2016 - 200 m borboleta feminino,2016年夏季奧林匹克運動會女子200公尺蝶式比賽
Natação nos Jogos Olímpicos de Verão de 2016 - 100 m peito feminino,2016年夏季奧林匹克運動會女子100公尺蛙式比賽
Natação nos Jogos Olímpicos de Verão de 2016 - 100 m costas feminino,2016年夏季奧林匹克運動會女子100公尺仰式比賽
Natação nos Jogos Olímpicos de Verão de 2016 - 10 km masculino,2016年夏季奧林匹克運動會男子10公里馬拉松游泳比賽
Natação nos Jogos Olímpicos de Verão de 2016 - Revezamento 4x100 m medley feminino,2016年夏季奧林匹克運動會女子4×100公尺混合式接力比賽
Atletismo nos Jogos Olímpicos de Verão de 2016 - Decatlo masculino,2016年夏季奧林匹克運動會田徑男子十項全能比賽
Tênis nos Jogos Olímpicos de Verão de 2016 - Simples feminino,2016年夏季奧林匹克運動會網球女子單打比賽
Arena Carioca 3,卡里奧卡體育館3
Estádio de Deodoro,德奧多羅體育場
Centro Aquático de Deodoro,德奧多羅水上運動中心
Tênis nos Jogos Olímpicos de Verão de 2016 - Simples masculino,2016年夏季奧林匹克運動會網球男子單打比賽
Tênis em cadeira de rodas nos Jogos Paralímpicos de Verão de 2016,2016年夏季殘疾人奧林匹克運動會輪椅網球比賽
Grande Prêmio do Brasil de 2016,2016年巴西大奖赛
Ciclismo nos Jogos Paralímpicos de Verão de 2016,2016年夏季殘疾人奧林匹克運動會單車比賽
Basquetebol em cadeira de rodas nos Jogos Paralímpicos de Verão de 2016,2016年夏季殘疾人奧林匹克運動會輪椅籃球比賽
Canoagem nos Jogos Olímpicos de Verão de 2016 - Slalom C-1 masculino,2016年夏季奧林匹克運動會男子單人加拿大式艇輕艇激流比賽
Tênis nos Jogos Olímpicos de Verão de 2016 - Duplas mistas,2016年夏季奧林匹克運動會網球混合雙打比賽
Hipismo nos Jogos Olímpicos de Verão de 2016 - Adestramento individual,2016年夏季奧林匹克運動會馬術個人盛裝舞步賽
Boxe nos Jogos Olímpicos de Verão de 2016 - Peso médio feminino,2016年夏季奧林匹克運動會女子中量級拳擊比賽
Natação nos Jogos Olímpicos de Verão de 2016 - 100 m peito masculino,2016年夏季奧林匹克運動會男子100公尺蛙式比賽
Tiro nos Jogos Olímpicos de Verão de 2016 - Carabina três posições feminino,2016年夏季奧林匹克運動會射擊女子50公尺步槍三姿比賽
Tênis de mesa nos Jogos Olímpicos de Verão de 2016 - Individual masculino,2016年夏季奧林匹克運動會乒乓球男子單打比賽
Canoagem nos Jogos Olímpicos de Verão de 2016 - Slalom K-1 masculino,2016年夏季奧林匹克運動會男子單人愛斯基摩艇輕艇激流比賽
Canoagem nos Jogos Olímpicos de Verão de 2016 - Slalom K-1 feminino,2016年夏季奧林匹克運動會女子單人愛斯基摩艇輕艇激流比賽
Canoagem nos Jogos Olímpicos de Verão de 2016 - Slalom C-2 masculino,2016年夏季奧林匹克運動會男子雙人加拿大式艇輕艇激流比賽
Cidade Perdida de Z,失落之城Z
Tiro nos Jogos Olímpicos de Verão de 2016 - Tiro rápido 25 m masculino,2016年夏季奧林匹克運動會射擊男子25公尺快射手槍比賽
Remo nos Jogos Olímpicos de Verão de 2016 - Quatro sem leve masculino,2016年夏季奧林匹克運動會划船男子輕量級四人單槳比賽
Remo nos Jogos Olímpicos de Verão de 2016 - Quatro sem masculino,2016年夏季奧林匹克運動會划船男子四人單槳比賽
Remo nos Jogos Olímpicos de Verão de 2016 - Skiff quádruplo masculino,2016年夏季奧林匹克運動會划船男子四人雙槳比賽
Remo nos Jogos Olímpicos de Verão de 2016 - Skiff simples masculino,2016年夏季奧林匹克運動會划船男子單人雙槳比賽
Remo nos Jogos Olímpicos de Verão de 2016 - Skiff duplo leve masculino,2016年夏季奧林匹克運動會划船男子輕量級雙人雙槳比賽
Remo nos Jogos Olímpicos de Verão de 2016 - Dois sem masculino,2016年夏季奧林匹克運動會划船男子雙人單槳比賽
Remo nos Jogos Olímpicos de Verão de 2016 - Skiff duplo masculino,2016年夏季奧林匹克運動會划船男子雙人雙槳比賽
Atletismo nos Jogos Olímpicos de Verão de 2016 - Salto com vara masculino,2016年夏季奧林匹克運動會田徑男子撐竿跳高比賽
Atletismo nos Jogos Olímpicos de Verão de 2016 - Arremesso de peso masculino,2016年夏季奧林匹克運動會田徑男子鉛球比賽
Atletismo nos Jogos Olímpicos de Verão de 2016 - 3000 m com obstáculos masculino,2016年夏季奧林匹克運動會田徑男子3000公尺障礙賽
Atletismo nos Jogos Olímpicos de Verão de 2016 - Salto em altura masculino,2016年夏季奧林匹克運動會田徑男子跳高比賽
Judô nos Jogos Olímpicos de Verão de 2016 - Até 48 kg feminino,2016年夏季奧林匹克運動會女子48公斤級柔道比賽
Tiro com arco nos Jogos Olímpicos de Verão de 2016 - Equipes masculinas,2016年夏季奧林匹克運動會男子團體射箭比賽
Controvérsias sobre os Jogos Olímpicos de Verão de 2016,2016年夏季奧林匹克運動會相關問題
Ginástica artística nos Jogos Olímpicos de Verão de 2016 - Qualificatória masculina,2016年夏季奧林匹克運動會體操男子資格賽
Atletismo nos Jogos Olímpicos de Verão de 2016 - 110 m com barreiras masculino,2016年夏季奧林匹克運動會田徑男子110公尺跨欄比賽
Remo nos Jogos Olímpicos de Verão de 2016 - Oito com masculino,2016年夏季奧林匹克運動會划船男子八人單槳比賽
Atletismo nos Jogos Olímpicos de Verão de 2016 - Salto em distância masculino,2016年夏季奧林匹克運動會田徑男子跳遠比賽
Atletismo nos Jogos Olímpicos de Verão de 2016 - 800 m masculino,2016年夏季奧林匹克運動會田徑男子800公尺比賽
Halterofilismo nos Jogos Olímpicos de Verão de 2016 - Até 58 kg feminino,2016年夏季奧林匹克運動會舉重比賽—女子58公斤級
Atletismo nos Jogos Olímpicos de Verão de 2016 - 5000 m masculino,2016年夏季奧林匹克運動會田徑男子5000公尺比賽
Tiro nos Jogos Olímpicos de Verão de 2016 - Pistola de ar 10 m feminino,2016年夏季奧林匹克運動會射擊女子10公尺空氣手槍比賽
Atletismo nos Jogos Olímpicos de Verão de 2016 - 10000 m masculino,2016年夏季奧林匹克運動會田徑男子10000公尺比賽
Triatlo nos Jogos Olímpicos de Verão de 2016 - Masculino,2016年夏季奧林匹克運動會男子鐵人三項比賽
Atletismo nos Jogos Olímpicos de Verão de 2016 - 5000 m feminino,2016年夏季奧林匹克運動會田徑女子5000公尺比賽
Hipismo nos Jogos Olímpicos de Verão de 2016 - Adestramento por equipes,2016年夏季奧林匹克運動會馬術團體盛裝舞步賽
Arena Carioca 2,卡里奧卡體育館2
Natação nos Jogos Paralímpicos de Verão de 2016,2016年夏季殘疾人奧林匹克運動會游泳比賽
Equipe Olímpica de Refugiados nos Jogos Olímpicos de Verão de 2016,2016年夏季奥林匹克运动会难民代表团
Atletismo nos Jogos Olímpicos de Verão de 2016 - Lançamento de disco masculino,2016年夏季奧林匹克運動會田徑男子鐵餅比賽
Tiro nos Jogos Olímpicos de Verão de 2016 - Carabina de ar 10 m feminino,2016年夏季奧林匹克運動會射擊女子10公尺空氣步槍比賽
Judô nos Jogos Olímpicos de Verão de 2016 - Até 70 kg feminino,2016年夏季奧林匹克運動會女子70公斤級柔道比賽
Tênis de mesa nos Jogos Olímpicos de Verão de 2016 - Equipes femininas,2016年夏季奧林匹克運動會乒乓球女子團體比賽
Tênis de mesa nos Jogos Olímpicos de Verão de 2016 - Equipes masculinas,2016年夏季奧林匹克運動會乒乓球男子團體比賽
Judô nos Jogos Olímpicos de Verão de 2016 - Até 57 kg feminino,2016年夏季奧林匹克運動會女子57公斤級柔道比賽
Judô nos Jogos Olímpicos de Verão de 2016 - Até 78 kg feminino,2016年夏季奧林匹克運動會女子78公斤級柔道比賽
Judô nos Jogos Olímpicos de Verão de 2016 - Mais de 78 kg feminino,2016年夏季奧林匹克運動會女子78公斤以上級柔道比賽
Cronologia dos Jogos Olímpicos de Verão de 2016,2016年夏季奥林匹克运动会赛事焦点
Judô nos Jogos Olímpicos de Verão de 2016 - Mais de 100 kg masculino,2016年夏季奧林匹克運動會男子100公斤以上級柔道比賽
Hipismo nos Jogos Olímpicos de Verão de 2016 - CCE individual,2016年夏季奧林匹克運動會馬術個人三項賽
Hipismo nos Jogos Olímpicos de Verão de 2016 - CCE por equipes,2016年夏季奧林匹克運動會馬術團體三項賽
Judô nos Jogos Olímpicos de Verão de 2016 - Até 63 kg feminino,2016年夏季奧林匹克運動會女子63公斤級柔道比賽
Atletismo nos Jogos Olímpicos de Verão de 2016 - Lançamento de martelo masculino,2016年夏季奧林匹克運動會田徑男子鏈球比賽
Atletismo nos Jogos Olímpicos de Verão de 2016 - Salto triplo masculino,2016年夏季奧林匹克運動會田徑男子三級跳遠比賽
Quadro de medalhas dos Jogos Olímpicos de Verão de 2016,2016年夏季奧林匹克運動會獎牌榜
Parque Estadual do Sumidouro,苏米多罗州立公园
