Россия,ロシア
Поронайск (станция),敷香駅
Правительство Степашина,セルゲイ・ステパーシン内閣
Правительство Примакова,エフゲニー・プリマコフ内閣
Глава Республики Тыва,トゥヴァの首長
Посемье,ポセミエ
Пятиречье (станция),逢坂駅
Посольство КНДР в России,駐ロシア連邦朝鮮民主主義人民共和国大使館
Преображенское (Камчатский край),プレオブラジェンスコエ
Рейдово,別飛村
Ренова,レノヴァ
Дворец Путина,プーチン宮殿
Посольство Узбекистана в России,在ロシアウズベキスタン大使館
РУСАДА,ロシア反ドーピング機関
РД-701,RD-701
РБК (газета),RBKデイリー
Релком,RELCOM
Музей истории Дальнего Востока имени В. К. Арсеньева,アルセーニエフ沿海地方州立博物館
Ростовский метрополитен,ロストフ地下鉄
Ружино (станция),ルジノ駅
Прогресс М-40,プログレスM-40
Прогресс М-39,プログレスM-39
Прогресс М-37,プログレスM-37
Прогресс М-41,プログレスM-41
Прогресс М-42,プログレスM-42
Румянцево (станция метро),ルミャンツェヴォ駅
Список главнокомандующих военным флотом России,ロシア海軍総司令官
Руруй,ルルイ岳
Садгород (платформа),サドゴロド駅
Ручьи (станция Дальневосточной железной дороги),新栄浜駅
Рыбаки (Итуруп),ルイバキ村
Росгосстрах,ロスゴスストラフ
Светланская улица,スヴェトランスカヤ通り
Сахалинское морское пароходство,サハリン船舶会社
Сахалинский государственный областной краеведческий музей,サハリン州郷土博物館
Садовники (остановочный пункт),藻白帆駅
Рыбновск,ルイブノフスク
Саларьево (станция метро),サラルィエヴォ駅
Салемал,サレマル
Российский университет спорта «ГЦОЛИФК»,ロシア国立体育・スポーツ・青年・観光大学
Российское социалистическое движение,ロシア社会主義者運動
Российско-японская граница,日露国境
Россия (поезд),ロシア・(列車)
Российское библейское общество,ロシア聖書協会
Саммит АТЭС 2012,2012年ロシアAPEC
Российско-узбекистанские отношения,ロシアとウズベキスタンの関係
Российско-ливийские отношения,リビアとロシアの関係
Российско-монгольские отношения,露蒙関係
Железная дорога Кола — Никель,ムルマンスク・ニケル鉄道
Сандарово (станция),サンダロヴォ駅
Транспортный коридор Север — Юг,南北輸送回廊
Севастопольская военно-морская база,セヴァストポリ海軍基地
Санаторная (Дальневосточная железная дорога),サナトルナヤ駅・(ウラジオストク)
Санкт-Петербург (банк),サンクトペテルブルク銀行
Слюдянка I,スリュジャンカI駅
Слюдянка II,スリュジャンカII駅
Серёжа (приток Куньи),セリョージャ川・(トヴェリ州)
Северо-Кавказский федеральный университет,北カフカース連邦大学
Седанка (остановочный пункт),セダンカ駅
Серпейск,セルペイスク
Саратов I,サラトフI駅
Сибирско-татарский язык,シベリア・タタール語
Сибиряк (мини-футбольный клуб),PMFKシビリャク
"Сарпа (озеро, Волгоградская область)",サルパ湖
Санкт-петербургский троллейбус,サンクトペテルブルク・トロリーバス
Смирных (станция),気屯駅
Белорусское направление Московской железной дороги,モスクワ・スモレンスク鉄道
Солидарность Самара Арена,サマーラ・アリーナ
Ростех Арена,カリーニングラード・スタジアム
Симаково (платформа),幌泊駅
Симфонический оркестр Большого театра,ボリショイ劇場管弦楽団
Синегорск (станция),川上炭山駅
Ростов Арена,ロストフ・アリーナ
Смоляниново,スモリャニノヴォ
Старая Рязань,リャザン・(ルーシ)
Слава (станция),スラーヴァ駅
Транснефть – Порт Козьмино,コズミノ港
Советское (станция),相浜駅
Стародубское (Сахалинская область),スタロドゥプスコエ
Стародубское (станция),栄浜駅
Спамберг,野田寒岳
Славное (Сахалинская область),蘂取村
"Слипенчук, Михаил Викторович",ミハイル・スリペンチュク
Современная гуманитарная академия,人文科学現代大学
Столбчатый,国後島の材木岩
"Сокол, Сергей Михайлович",セルゲイ・ソコル
Старорусское (платформа),深雪駅
Сокол (станция Дальневосточной железной дороги),大谷駅・(樺太)
Спутник (платформа Дальневосточной железной дороги),スプートニク駅
ТГ21,ロシア鉄道TG21形ディーゼル機関車
Судома,スドマ川
Сёяха,ショヤハ
"Кающаяся Мария Магдалина (картина Тициана, около 1565)",悔悛するマグダラのマリア・(ティツィアーノ、サンクトペテルブルク)
Солнечный (Якутия),ソルネチヌイ・(サハ共和国)
Соловецкий камень (Москва),ソロヴェツキーの石
Нижний Новгород (стадион),ニジニ・ノヴゴロド・スタジアム
Сусуя,鈴谷川
Сутка (село),ストカ
Тайга (станция),タイガ駅
Таймырский заповедник,タイミル自然保護区
Тайшет (станция),タイシェト駅
Сындасско,シンダッスコ
Турий Рог,トゥリー・ログ
Тихий Дон (поезд),静かなドン・(列車)
Триединый русский народ,三位一体のロシア民族
Тарская (станция),タルスカヤ駅
Тыл — фронту (монумент),銃後と前線記念碑
Тыл Вооружённых сил Российской Федерации,ロシア連邦軍後方部
Тымовск (станция),ティモフスク駅
Тында (приток Гилюя),ティンダ川
Тюмень (станция),チュメニ駅
Тасма,タスマ
Томск-I,トムスクI駅
Томская железнодорожная ветвь,トムスク支線
Томск-II,トムスクII駅
Тятина,音根別川
Томари (станция),泊居駅
Тугурский залив,トゥグル湾
Тугур (река),トゥグル川
Топографическая служба Вооружённых сил Российской Федерации,ロシア連邦軍参謀本部軍事測量局
Тоннель под Амуром,ハバロフスク・アムール川底トンネル
Углезаводск (станция),東内淵駅
Туманово (станция Дальневосточной железной дороги),柵丹駅
Узкоколейная железная дорога Поронайск — Тихменево,三井鉱山内川炭鉱軌道
Узкоколейная железная дорога Шахтёрского погрузочно-транспортного управления,王子恵須取軌道
Узкоколейная железная дорога Оха — Ноглики,オハ・ノグリキ狭軌鉄道
"Топилин, Максим Анатольевич",マクシム・トピリン
Угольная (станция),ウゴリナヤ駅
"Армавир (футбольный клуб, Россия)",FKアルマヴィル
Тульское суворовское военное училище,トゥーラ・スヴォーロフ陸軍士官学校
"Торшин, Александр Порфирьевич",アレクサンドル・トルシン
Уралтрансмаш,ウラルトランスマッシュ
Украинка (Серышевский район),ウクラインカ・(アムール州)
Тунайча,富内湖
Федеральный университет,連邦大学・(ロシア)
"Урожайная (станция, Сахалин)",杜門駅
Уруша (река),ウルシャ川
Улица Адмирала Фокина,アドミラーラ・フォーキナ通り
Улан-Бургасы,ウラン＝ブルガスィ山脈
Федеральная служба исполнения наказаний,ロシア連邦刑執行庁
Федеральная служба по интеллектуальной собственности,ロシア特許庁
Улан-Удэ (станция),ウラン・ウデ駅
Усково (платформа Дальневосточной железной дороги),ウスコーヴォ停留場
Фрегат Экоджет,フレガート・エコジェット
Уссурийск (станция),ウスリースク駅
Фирсово (платформа),小田寒駅
Флаг Белгорода,ベルゴロドの旗
Наш дом — Россия,我が家ロシア
Финал Гран-при по фигурному катанию 2006/2007,2006/2007・ISUグランプリファイナル
Уч-Дере (платформа),ウチ＝デレ駅
"Фёдоров, Евгений Алексеевич",エフゲニー・アレクセーエヴィチ・フョードロフ
"Фурсенко, Сергей Александрович",セルゲイ・フルセンコ
Главкосмос,グラブコスモス
Хаптагай (село),ハプタガイ
Ухра,ウフラ川
"Ушаков, Юрий Викторович",ユーリ・ウシャコフ
Холмск-Северный,北真岡駅・(樺太)
Холмск-Сортировочный,手井駅
Холмск-Южный,真岡駅・(樺太)
Гараж (музей),ガレージ現代美術館
Центральная пригородная пассажирская компания,中央郊外旅客会社
Челябинск-Главный,チェリャビンスク駅
Хасан (станция),ハサン駅
Чита II,チタII駅
Челси (группа),チェルシー・(グループ)
Хоста (станция),ホスタ駅
Хинганский заповедник,ヒンガンスキー自然保護区
Чистоводное (станция),清水駅・(樺太)
Хлепень,フレペニ
Хованское кладбище,ホヴァンスコエ墓地
Ховринская больница,ホヴリノ廃病院
Христофоровка (станция),豊南駅
Чайво,チャイウォ
"Чайка (платформа, Владивосток)",チャイカ駅・(ウラジオストク)
Чамгу,チャムグ川
Титан-Баррикады,ティターン・バリカディ
Чехов-Сахалинский,野田駅・(樺太)
Чапланово (станция),二股駅・(樺太)
Школа № 281 (Санкт-Петербург),第281リツェイ
Цапко (платформа),蛯毛信号場
Экспериментальная кольцевая железная дорога ВНИИЖТ,全ロシア鉄道研究所環状実験線
Энгельсский завод транспортного машиностроения,トランスマシュ
"Якушев, Владимир Владимирович",ウラジーミル・ヤクーシェフ
Яковлевка (Приморский край),ヤコヴレフカ・(沿海地方)
Федеральная служба по надзору в сфере защиты прав потребителей и благополучия человека,ロシア連邦消費者権利・人間福利保護管理庁
Шахта-Сахалинская,内幌炭山駅
Эсто-Садок (станция),エスト＝サドク駅
Шахтинский трамвай,シャフティ市電
Российско-ангольские отношения,アンゴラとロシアの関係
Битва с факелами,たいまつの戦い
Ямал СПГ,ヤマルLNG
Югорёнок,ユガリョーナク
"Швецова, Людмила Ивановна",リュドミラ・シュヴェツォヴァ
Ям-Алинь,ヤム＝アリニ山脈
"Динамо (стадион, Москва)",ディナモ・スタジアム・(モスクワ)
Южно-Сахалинск (станция),豊原駅・(樺太)
Южная Хандаса (станция),ユジノハンダサ駅
Южно-Курильский пролив,南千島海峡
Южно-Сахалинск-Грузовой,北豊原駅
Яндекс Переводчик,ヤンデックス翻訳
Мордовия Арена,モルドヴィア・アリーナ
Битва у Корсакова,コルサコフ海戦
Затопление орбитальной станции «Мир»,ミールの軌道離脱
Чайка (часовой завод),チャイカ・(時計メーカー)
Генеральное консульство Японии в Санкт-Петербурге,在サンクトペテルブルク日本国総領事館
Скрипучая беседка,Creaking・Pagoda
Глава Республики Алтай,アルタイの首長
Глава Республики Калмыкия,カルムイクの首長
Электроноргтехника,Elorg
Глава Кабардино-Балкарской Республики,カバルダ・バルカルの首長
Глава Карачаево-Черкесской Республики,カラチャイ・チェルケスの首長
"Орешкин, Максим Станиславович",マクシム・オレシキン
ЭД9,ロシア鉄道ED9形電車
ЭД4,ロシア鉄道ED4形電車
Ленинградская военно-морская база,レニングラード海軍基地
Московский международный автомобильный салон,モスクワ国際モーターショー
Яуза (платформа),ヤウザ駅
Харыялах (Оленёкский район),ハリヤラフ
Юхоть,ユホチ川
Ябедино,ヤベジノ
Яблочная (станция),蘭泊駅
Шикотанское землетрясение (1994),北海道東方沖地震
А. Коркунов,A・コルクノフ
98-я гвардейская воздушно-десантная дивизия,第98親衛空挺師団・(ロシア空挺軍)
Падение метеорита Челябинск,2013年チェリャビンスク州の隕石落下
Dexter (авиакомпания),エア・マネジメント・グループ
Постоянные члены Совета Безопасности ООН,国際連合安全保障理事会常任理事国
Улица Большая Дмитровка,ボリシャヤ・ドミトロフカ通り
Зональное (аэропорт),ゾナリノエ空港
Ветроэнергетика России,ロシアの風力発電
Tinkoff Credit Systems,ティンコフ・クレジットシステム・プロフェッショナルサイクリングチーム
Сражение при Куутерселькя,クーテルセルカの戦い
BLITS,BLITS
Ороки,ウィルタ
Министерство экономического развития Российской Федерации,ロシア経済開発貿易省
Площадка 43,プレセツク宇宙基地43番射点
Космонавтика России,ロシアの宇宙開発
ЛВС-2009,LVS-2009
Битва при Далан-Балджутах,十三翼の戦い
Сету,セトゥ人
Звёздочка (Якутия),ズビョズドチュカ
Кубань (регион),クバーニ
Монгольские народы,モンゴル系民族
Чугуевка (Приморский край),チュグエフカ
Российско-конголезские отношения,コンゴ共和国とロシアの関係
Российско-угандийские отношения,ウガンダとロシアの関係
Северо-Корейское течение,北鮮海流
Мемориальный музей Леси Украинки,レーシャ・ウクライーンカ博物館
Горячее,一菱内湖
Краскинское городище,クラスキノ土城
Дом дружбы между российским и японским народами,日本人とロシア人の友好の家
46-я отдельная бригада оперативного назначения,第46独立作戦任務旅団・(ロシア国内軍)
Курская-Сахалинская,鈴谷駅
34-я отдельная мотострелковая бригада,第34独立自動車化狙撃旅団・(ロシア陸軍)
Дальнее (станция),西久保駅
227-я артиллерийская бригада,第227砲兵旅団・(ロシア陸軍)
25-я дивизия подводных лодок,第25潜水艦師団・(ロシア海軍)
Светляки (платформа),知根平駅
"Русское (озеро, Сахалинская область)",遠幌湖
Командование дальней авиации,遠距離航空コマンド・(ロシア航空宇宙軍)
Заветы Ильича (платформа Дальневосточной железной дороги),麻内駅
Храм Карафуто,樺太神社
Храм Нисикубо,西久保神社
Инцидент с «Киссин Мару 31»,第31吉進丸事件
Свободное (озеро),頭場湖
Россия на зимних Олимпийских играх 2014,2014年ソチオリンピックのロシア選手団
Женская сборная России по регби-7,7人制ラグビー女子ロシア代表
Сборная России по регби-7,7人制ラグビー男子ロシア代表
Калашников (компания),カラシニコフ・コンツェルン
Центр специального назначения ФСБ,ロシア連邦保安庁特殊任務センター
Марково (станция),大鵜取駅
Куанда (станция),クァンダ駅
Забайкальск (станция),ザバイカリスク駅
Безвизовые обмены с Японией,北方四島交流事業
Южные Курилы,北方地域
Буссоль (пролив),北得撫水道
Чёртов мост (Сахалинская область),宝台ループ線
Юг (батальон),ユーク大隊
Объединённая группировка войск на Северном Кавказе,北カフカーズ統合軍集団
Артык (Якутия),アルティク・(ロシア)
Универсальный ракетный модуль,ユニバーサル・ロケット・モジュール
Битва на реке Вихре,ヴィフラ川の戦い
Литературное кафе (Санкт-Петербург),文学カフェ・(サンクトペテルブルク)
Азиатский маршрут AH30,アジアハイウェイ30号線
Клязьма,クリャージマ川
Национальный музей имени А. В. Анохина,アノーヒン博物館
Глубокое Охотоморское землетрясение,オホーツク海深発地震
Чемпионат России по футболу 2013/2014,ロシア・プレミアリーグ・2013-14
Международный научно-технический центр,国際科学技術センター
Русский фашизм,ロシアのファシズム
Ил-106,Il-106・(航空機・初代)
Чемпионат мира по хоккею с шайбой 2016,2016年アイスホッケー世界選手権
Дзюдо на летней Универсиаде 2013,2013年夏季ユニバーシアードにおける柔道競技
Открытое акционерное общество,公共株式会社
Rostelecom Cup 2013,2013年ロステレコム杯
Усты (Думиничский район),ウストィ・(ドゥミニチ地区)
Тосно (футбольный клуб),FKトスノ
Н036 Белка,ベルカ・(レーダー)
Катастрофа Boeing 737 в Казани,タタールスタン航空363便墜落事故
Аврора (авиакомпания),オーロラ・(航空会社)
Суперкубок России по футболу 2013,ロシア・スーパーカップ・2013
Тамбов (футбольный клуб),FKタンボフ
Григорьевка (Приморский край),グリゴリエフカ・(沿海地方)
Свеча (станция),スヴェーチャ駅
Черемшаны (деревня),チェレムシャニ
Прыжки с трамплина на зимних Олимпийских играх 2014 — большой трамплин (мужчины),2014年ソチオリンピックのスキージャンプ競技・男子ラージヒル個人
Прыжки с трамплина на зимних Олимпийских играх 2014 — нормальный трамплин (мужчины),2014年ソチオリンピックのスキージャンプ競技・男子ノーマルヒル個人
Биатлон на зимних Олимпийских играх 2014 — смешанная эстафета,2014年ソチオリンピックのバイアスロン競技・混合リレー
Церковь Преображения Господня на острове Кижи,顕栄聖堂・(キジ島)
Россия сегодня,ロシアの今日
Яя (остров),ヤヤ島
Гран-при России 2014 года,2014年ロシアグランプリ
Олимпийский парк (вокзал),イメレチンスキー・クロルト駅
Белгородская крепость,ベルゴロド要塞
Исады (Рязанская область),イサドィ・(リャザン州)
Церемония закрытия зимних Олимпийских игр 2014,2014年ソチオリンピックの閉会式
Аннексия Крыма Российской Федерацией,ロシアによるクリミアの併合
Силы специальных операций Российской Федерации,特殊作戦軍・(ロシア連邦)
Российско-украинская война,ウクライナ紛争・(2014年-)
Республика Крым,クリミア共和国
Крымский федеральный округ,クリミア連邦管区
36-я общевойсковая армия,第36諸兵科連合軍・(ロシア陸軍)
2-я гвардейская общевойсковая армия,第2親衛諸兵科連合軍・(ロシア陸軍)
McDonald’s в России,ロシアにおけるマクドナルド
Платов (аэропорт),プラトフ国際空港
Амурский залив (станция),アムールスキー・ザリーフ駅
Rostelecom Cup 2014,2014年ロステレコム杯
Вежливые люди,リトル・グリーンメン・(ウクライナ危機)
"Три Брата (острова, Сахалин)",三兄弟・(サハリン)
Донецкая Народная Республика,ドネツク人民共和国
Волконское княжество,ヴォルコナ公国
Весловский полуостров,螻向崎
Осада Смоленска (1502),スモレンスク包囲戦・(1502年)
Coub,Coub
Городок (населённый пункт),ゴロドク・(地理的概念)
Ахмат Тауэр,アフマト・タワー
Котельнич I,コテリニチI駅
Детский мир (сеть магазинов),ジェーツキー・ミール
"Евменов, Николай Анатольевич",ニコライ・エフメノフ
Приморская сцена Мариинского театра,マリインスキー劇場沿海州別館
Гродеково (станция),グロデコヴォ駅
Железнодорожная линия Победино — Первомайское,樺太セメント工業石灰山軌道
Кустур,クストゥル
Добролёт (авиакомпания),ドブロリョート・(航空会社)
Крыловский государственный научный центр,クルィロフ国立研究所
Орто-Балаган,オルト＝バラガン
Ой (село),オイ・(ロシア)
Джаргалах,ジャルガラフ
Российские олигархи,ロシアのオリガルヒ
Сыаганнах,シアガンナフ
Сутуруоха,ストゥルオハ
Совхозная (платформа),ソフホーズナヤ駅
Министерство безопасности Российской Федерации,ロシア保安省
Глава Удмуртской Республики,ウドムルトの首長
Глава Чувашской Республики,チュヴァシの首長
Шахтёрск (аэропорт),シャフチョルスク空港
Сторожевой (Малая Курильская гряда),萌茂尻島
ТГМ11,ロシア鉄道TGM11形ディーゼル機関車
Глава Республики Хакасия,ハカスの首長
Луганская Народная Республика,ルガンスク人民共和国
Японская школа (Москва),モスクワ日本人学校
Называевская,ナズィヴァエフスカヤ駅
Тепловодская (станция),奥川上駅
Кенг-Кюёль (Абыйский улус),ケング・キュヨール
Фрунзе (Якутия),フルンゼ・(サハ共和国)
SMP Racing,SMPレーシング
Чемпионат мира по дзюдо 2014,2014年世界柔道選手権大会
Breakthrough Prize,ブレイクスルー賞
Премия за прорыв в математике,数学ブレイクスルー賞
Crowdin,Crowdin
22-я отдельная гвардейская бригада специального назначения,第22独立親衛特殊任務旅団・(ロシア陸軍)
Глава Республики Крым,クリミアの首長
"Севастополь (футбольный клуб, 2014)",FCセヴァストポリ・(2014年)
ТСК-Таврия,FK・TSKタフリヤ・シンフェロポリ
83-я отдельная гвардейская десантно-штурмовая бригада,第83独立空中襲撃旅団・(ロシア陸軍)
Административно-территориальное деление города федерального значения Севастополя,セヴァストポリ連邦市の行政区画
Сахалин (хоккейный клуб),PSKサハリン
Итуруп (аэропорт),ヤースヌイ空港
Крымский федеральный университет имени В. И. Вернадского,クリミア連邦大学
Победа (авиакомпания),ポベーダ
"Дежнёвка (станция, Еврейская автономная область)",デジニョフカ駅
Объединённая ракетно-космическая корпорация,統一ロケット・宇宙会社
Панаевск,パナエフスク
Россия на летних Олимпийских играх 2016,2016年リオデジャネイロオリンピックのロシア選手団
Б-237 «Ростов-на-Дону»,ロストフ・ナ・ドヌー・(潜水艦)
Фонд перспективных исследований,高等研究財団
Национальный центр управления обороной Российской Федерации,国家防衛管理センター
Верхние Лихоборы (Москва),ヴェルフニエ・リホボルィ
Московское радио,モスクワ放送
Sputnik,スプートニク・(通信社)
Парад на Красной площади 9 мая 2015 года,対ナチス・ドイツ戦勝70周年記念パレード
Глава Луганской Народной Республики,ルガンスクの首長
ВСМ Пекин — Москва,北京・モスクワ高速鉄道
Гран-при России 2015 года,2015年ロシアグランプリ
Президентские выборы в России (2018),2018年ロシア大統領選挙
Ратта (село),ラッタ・(ヤマロ・ネネツ自治管区)
ЦСКА Арена,VTBアイスパレス
Агентство интернет-исследований,インターネット・リサーチ・エージェンシー
Нижние Лихоборы,ニジニエ・リホボルィ
Cup of Russia 2015,2015年ロステレコム杯
Ту (Амурская область),ツ駅
Чемпионат России по футболу 2015/2016,ロシア・プレミアリーグ・2015-2016
Выборы в Государственную думу (2016),2016年ロシア下院選挙
Иволга (электропоезд),中央郊外旅客会社EG2Tv形電車
Наушки (станция),ナウシキ駅
Остров Грига,大島・(北海道色丹村)
Красуха (комплекс РЭБ),クラスハ
Русский оркестр В. В. Андреева,ロシア民族楽器オーケストラ
Московский государственный академический камерный хор,モスクワ室内合唱団
Мордовские узоры 2015,2015年モルドヴィアンオーナメント
Авиационная группа ВКС России в Сирии,ロシア連邦航空宇宙軍によるシリア空爆
Рифовый (остров),オドケ島
Fancy Bear,ファンシーベア
Пари Нижний Новгород (футбольный клуб),FKオリンピエツ・ニジニ・ノヴゴロド
Янтарь (судостроительный завод),ヤンター造船所
Чемпионат Европы по фигурному катанию 2018,2018年ヨーロッパフィギュアスケート選手権
"Захарова, Мария Владимировна",マリア・ザハロワ
Самара (станция),サマーラ駅
Стриж (поезд),ストリージ・(列車)
CarPrice,カープライス
Всероссийская скаутская ассоциация,ロシアスカウト/パスファインダー連盟
Трофей Санкт-Петербурга по теннису среди женщин,サンクトペテルブルク・レディース・トロフィー
Тандем Медведев—Путин,タンデム体制
Neva Towers,ルネサンス・モスクワ・タワーズ
Воздушно-космические силы Российской Федерации,ロシア航空宇宙軍
Таврово (Белгородская область),タブロヴォ
Сабетта (порт),サベッタ
Ростральная колонна (Владивосток),ロストラ柱・(ウラジオストク)
Осада Москвы (1238),モスクワ包囲戦・(1238年)
Петровский Завод (станция),ペトロフスキー・ザヴォート駅
Евпатория (футбольный клуб),FKイェウパトーリヤ
ЮВТ Аэро,UVTアエロ
Заслон (спецподразделение),ザスローン部隊
Северный морской путь,北極海航路
Бикин (национальный парк),シホテアリニ山脈中央部
ЭП2Д,ロシア鉄道EP2D形電車
"Мизинцев, Михаил Евгеньевич",ミハイル・ミジンツェフ
Fight Nights Global,AMC・Fight・Nights
Sci-Hub,Sci-Hub
Катастрофа Boeing 737 в Ростове-на-Дону,フライドバイ981便墜落事故
Гран-при России 2016 года,2016年ロシアグランプリ
Library Genesis,Library・Genesis
МиГ-41,MiG-41・(航空機)
СР-10,SR-10・(航空機)
Хвалисекое,能仁湖
Железнодорожный мост Нижнеленинское — Тунцзян,同江鉄路大橋
Росгвардия,ロシア国家親衛隊
Союз МС-09,ソユーズMS-09
Rostelecom Cup 2016,2016年ロステレコム杯
"Коммунарка (станция метро, Сокольническая линия)",コムナルカ駅・(ソコーリニチェスカヤ線)
Батагайка,バタガイカ・クレーター
Национально-освободительное движение (Россия),国家解放運動・(ロシア)
Мир (платёжная система),ミール・(決済システム)
Белый Яр (станция),ベールィ・ヤール駅
Остров мечты (парк развлечений),夢の島・(モスクワ)
Wildberries,ワイルドベリーズ
Пролив Шпанберга,色丹水道
Пролив Полонского,多楽水道
37-я отдельная гвардейская мотострелковая бригада,第37独立親衛自動車化狙撃旅団・(ロシア陸軍)
Российская лунная программа,ルナグローブ計画
45-я армия ВВС и ПВО,第45航空・防空軍・(ロシア航空宇宙軍)
35-я общевойсковая армия,第35諸兵科連合軍・(ロシア陸軍)
136-я отдельная гвардейская мотострелковая бригада,第136独立親衛自動車化狙撃旅団・(ロシア陸軍)
DDoS Guard,DDoS-Guard
Российский экспортный центр,ロシア輸出センター
61-я отдельная гвардейская бригада морской пехоты,第61独立海軍歩兵旅団・(ロシア海軍)
Восточный экономический форум,東方経済フォーラム
Прогресс МС-06,プログレスMS-06
Ракетные войска и артиллерия Российской Федерации,ロケット・砲兵・(ロシア陸軍)
Прогресс МС-07,プログレスMS-07
Прогресс МС-11,プログレスMS-11
Прогресс МС-12,プログレスMS-12
Прогресс МС-10,プログレスMS-10
Прогресс МС-08,プログレスMS-08
Прогресс МС-09,プログレスMS-09
Юрий (пролив),勇留水道
Москва (вагон метро),地下鉄81-765/766/767形電車
Пролив Воейкова,志発水道
Московское центральное кольцо,モスクワ中央環状線
Absolute Championship Akhmat,Absolute・Championship・Akhmat
Прокшино (станция метро),プロクシノ駅
Филатов Луг,フィラトフ・ルグ駅
Ольховая (станция метро),オリホヴァヤ駅
Юнармия,青少年軍
Катастрофа Ту-154 под Сочи,2016年ロシア国防省Tu-154墜落事故
Гран-при России 2017 года,2017年ロシアグランプリ
Терют,テリュート
Медиазона,メディアゾナ
Ноглики (аэропорт),ノグリキ空港
Олимпийские спортсмены из России на зимних Олимпийских играх 2018,2018年平昌オリンピックのロシアからのオリンピック選手団
Николаевские триумфальные ворота,ニコライ2世凱旋門
80-я отдельная мотострелковая бригада,第80独立自動車化狙撃旅団・(ロシア海軍)
Отдельный гвардейский штурмовой батальон «Сомали»,ソマリア大隊
Теракт в Петербургском метрополитене (2017),2017年サンクトペテルブルク地下鉄爆破テロ事件
Мост через Надым,ナディム川橋
Приморье (игорная зона),プリモリエ・エンタテイメントゾーン
3-я мотострелковая дивизия,第3自動車化狙撃師団・(ロシア陸軍)
Президентские выборы в России (2024),2024年ロシア大統領選挙
27-я отдельная гвардейская мотострелковая бригада,第27独立親衛自動車化狙撃旅団・(ロシア陸軍)
336-я отдельная гвардейская бригада морской пехоты,第336独立親衛海軍歩兵旅団・(ロシア海軍)
810-я отдельная гвардейская бригада морской пехоты,第810独立親衛海軍歩兵旅団・(ロシア海軍)
Преследование ЛГБТ в Чечне,チェチェンにおける同性愛者粛清
Союз МС-12,ソユーズMS-12
Животные Владимира Путина,ウラジーミル・プーチンのペット
Чёртовы Ворота,悪魔の門
64-я отдельная гвардейская мотострелковая бригада,第64独立自動車化狙撃旅団・(ロシア陸軍)
2-я отдельная гвардейская бригада специального назначения,第2独立特殊任務旅団・(ロシア陸軍)
Rostelecom Cup 2017,2017年ロステレコム杯
"Арарат (футбольный клуб, Москва)",FKアララト・モスクワ
68-й армейский корпус (Российская Федерация),第68軍団・(ロシア陸軍)
FEDOR,FEDOR
Чемпионат мира по футболу 2018. Группа E,2018・FIFAワールドカップ・グループE
Выборы в Государственную думу (2021),2021年ロシア下院選挙
Dominion Tower,ドミニオン・タワー・(モスクワ)
11-й армейский корпус (Российская Федерация),第11軍団・(ロシア連邦)
22-й армейский корпус (Российская Федерация),第22軍団・(ロシア海軍)
126-я отдельная гвардейская бригада береговой обороны,第126独立親衛沿岸防衛旅団・(ロシア海軍)
40-я отдельная гвардейская бригада морской пехоты,第40独立親衛海軍歩兵旅団・(ロシア海軍)
16-я отдельная гвардейская бригада специального назначения,第16独立特殊任務旅団・(ロシア陸軍)
Мост Дружбы (Приморье),朝鮮・ロシア友情橋
Финал чемпионата мира по футболу 2018,2018・FIFAワールドカップ・決勝
Чемпионат мира по футболу 2018. Группа D,2018・FIFAワールドカップ・グループD
Чемпионат мира по футболу 2018. Группа C,2018・FIFAワールドカップ・グループC
Чемпионат мира по футболу 2018. Группа B,2018・FIFAワールドカップ・グループB
Чемпионат мира по футболу 2018. Группа A,2018・FIFAワールドカップ・グループA
Русское имперское движение,ロシア帝国運動
ЧВК «Вагнер»,ワグネル・グループ
Периптавето,ペリプタヴェト湖
39-я отдельная гвардейская мотострелковая бригада,第39独立自動車化狙撃旅団
Кинжал (авиационный ракетный комплекс),Kh-47M2・キンジャール
Гран-при России 2018 года,2018年ロシアグランプリ
Допинг в России,ロシアにおけるドーピング
Российский университет спецназа имени В. В. Путина,ロシア特殊部隊大学
Чемпионат мира по футболу 2018. Группа H,2018・FIFAワールドカップ・グループH
Чемпионат мира по футболу 2018. Группа G,2018・FIFAワールドカップ・グループG
Аэропорт Кневичи (станция),クネヴィッチ駅
Чемпионат мира по футболу 2018. Плей-офф,2018・FIFAワールドカップ・決勝トーナメント
Чемпионат мира по футболу 2018. Группа F,2018・FIFAワールドカップ・グループF
Катастрофа Ан-148 в Подмосковье,サラトフ航空703便墜落事故
Aurus Senat,アウルス・セナート
Московские центральные диаметры,モスクワ中央径線
The Insider,ザ・インサイダー
Морская пехота Российской Федерации,ロシア海軍歩兵
Министерство просвещения Российской Федерации,ロシア教育省
Артём (платформа),アルチョーム駅
Второе правительство Медведева,第2次ドミートリー・メドヴェージェフ内閣
Пожар в торговом центре «Зимняя вишня»,ケメロヴォショッピングセンター火災
Министерство науки и высшего образования Российской Федерации,ロシア科学・高等教育省
15-я отдельная гвардейская мотострелковая бригада,第15独立親衛自動車化狙撃旅団・(ロシア陸軍)
Сюнай-Сале,シュナイ＝サレ
Сочи (футбольный клуб),PFCソチ
Порц-Яха,ポルツ＝ヤハ
Тамбей,タムベイ
Яптик-Сале,ヤプティク＝サレ
