室伏広治,무로후시 고지
山川均,야마카와 히토시
内藤湖南,나이토 고난
木村秋則,기무라 아키노리
仲井戸麗市,나카이도 레이치
所ジョージ,토코로 조지
紗羅マリー,사라 마리
大口兼悟,오오쿠치 켄고
垂水藤太,타루미 토타
西田健,니시다 켄
高畑淳子,타카하타 아츠코
富司純子,후지 스미코
鶴田真由,츠루타 마유
佃賢典,쓰쿠다 겐스케
園田勇,소노다 이사무
渡部学,와타나베 마나부
岸田メル,키시다 메루
尾上勇也,오노에 유야
川元正英,가와모토 마사히데
時崎悠,도키사키 유
有馬直純,아리마 나오즈미
有馬良橘,아리마 료키쓰
あらまり,아라마리
上村祐司,가미무라 유지
吉田智尚,요시다 도모히사
土方久元,히지카타 히사모토
佐藤寿也,사토 토시야
織田信美,오다 노부카즈 (1793년)
石原慶幸,이시하라 요시유키
池田和美,이케다 가즈미
本多利長,혼다 도시나가
正田耕三,쇼다 고조
谷沢健一,야자와 겐이치
大島康徳,오시마 야스노리
茂野吾郎,시게노 고로
小沢健二,오자와 켄지
四方田犬彦,요모타 이누히코
佐竹義理,사타케 요시사토
五郎八姫,이로하히메
津田恒実,쓰다 쓰네미
佐藤有世,사토 아리세
中西太,나카니시 후토시
松平重忠,마쓰다이라 시게타다
秋葉里枝,아키바 리에
織田信敏,오다 노부토시
恩田陸,온다 리쿠
桂昌院,게이쇼인 (1627년)
織田寿重丸,오다 스에마루
北野翔,기타노 쇼
福留亮,후쿠도메 료
西村宜隆,니시무라 요시타카
杉本倫治,스기모토 미치하루
鈴木敬之,스즈키 다카유키 (1973년)
三好宗渭,미요시 마사야스
松岡弘,마쓰오카 히로무
水筑優文,미즈키 마사후미
久邇宮朝彦親王,구니노미야 아사히코 친왕
真下佐登史,마시모 사토시
池田昌広,이케다 마사히로
村瀬和隆,무라세 가즈타카
岡本隆吾,오카모토 류고
塚野真樹,쓰카노 마사키
二宮和弘,니노미야 가즈히로
黒板勝美,구로이타 가쓰미
岡部幸雄,오카베 유키오
舟木智介,후나키 토모스케
本井えみ,모토이 에미
さくらえみ,사쿠라 에미
加藤晴彦,카토 하루히코
小原春香,고하라 하루카
宇和川恵美,우와가와 에미
秋田政輝,아키타 마사테루
籾谷真弘,모미타니 마사히로
河口真一,가와구치 신이치
庄司孝,쇼지 다카시
朝倉景鏡,아사쿠라 가게아키라
浅野長勲,아사노 나가코토
田中正造,다나카 쇼조
川本良二,가와모토 료지
小林稔・(サッカー選手),고바야시 미노루
嵜本晋輔,사키모토 신스케
吉成浩司,요시나리 고지
石澤典明,이시자와 노리아키
松本翔,마쓰모토 쇼
本田望結,혼다 미유
川西翔太,가와니시 쇼타
末次信正,스에쓰구 노부마사
辻発彦,쓰지 하쓰히코
大石大二郎,오이시 다이지로
ギュンデュズ・イケダ,마사토시 귄뒤즈 이케다
関野貞,세키노 다다시
佐倉紗織,사쿠라 사오리
柳澤龍志,야나기사와 류시
愛沢えみり,아이자와 에미리
立花隆,다치바나 다카시
大木遠吉,오키 엔키치
けらえいこ,케라 에이코
武田耕雲斎,다케다 고운사이
倭姫王,야마토히메노 오오키미
河井陽介,가와이 요스케
阿部浩之,아베 히로유키
高木健旨,다카기 겐지
まりか,하세 마리카
田草川貴,다쿠사가와 다카시
仲田建二,나카다 겐지
吉田匡良,요시다 마사요시
鍋田亜人夢,나베타 아토무
柳澤宏太,야나기사와 고타
迫井深也,사코이 신야
大嶽真人,오타케 마사토
和田潤,와다 준
鈴木克美・(サッカー選手),스즈키 가쓰미
吉川京輔,요시카와 쿄스케
井澤惇,이자와 아쓰시
渡辺国武,와타나베 구니타케
三島彌太郎,미시마 야타로
榊原英資,사카키바라 에이스케
大森晃太郎,오모리 고타로
平野妹,히라노 마이
佐藤佐吉・(映画監督),사토 사키치
清水優,시미즈 유타카
真田信繁,사나다 노부시게
家入レオ,이에이리 레오
浅尾美和,아사오 미와
貫地谷しほり,칸지야 시호리
大内義弘,오우치 요시히로
富沢ひとし,토미자와 히토시
Fayray,Fayray
Syu・(ギタリスト),슈 (기타리스트)
佐野史郎,사노 시로
千葉すず,지바 스즈
寿美花代,스미 하나요
パク・ソヒ,박소희 (배우)
永井龍,나가이 료
實藤友紀,사네토 유키
中嶋聡彦,나카지마 도시히코
椿彩奈,츠바키 아야나
長谷部彩翔,하세베 아야토
矢野庄太郎,야노 쇼타로
生田絵梨花,이쿠타 에리카
湊かなえ,미나토 가나에
今井メロ,이마이 메로
黒谷友香,구로타니 토모카
芹那,세리나 (가수)
忽那汐里,쿠츠나 시오리
松浦淳,마쓰우라 아쓰시 (1982년)
藤巻恵理子,후지마키 에리코
多々良敦斗,다타라 아쓰토
初音映莉子,하츠네 에리코
中村充孝,나카무라 아쓰타카
周防ゆきこ,스오 유키코
今村猛,이마무라 다케루
島﨑信長,시마자키 노부나가
純恋,스미레 (모델)
本多真梨子,혼다 마리코
大﨑淳矢,오사키 준야
ソンイ,쑨웨이 (모델)
中山恵里奈,나카야마 에리나 (성우)
中原早苗,나카하라 사나에
勝地涼,카츠지 료
葉山豪,하야마 히로
上山満之進,가미야마 만노신
吉沢亮,요시자와 료
安部ニコル,니콜 아베
平野歩夢,히라노 아유무
瀧本誠,다키모토 마코토
五郎丸歩,고로마루 아유무
安達亮,아다치 료
林陵平,하야시 료헤이
大島僚太,오시마 료타
石田雅人,이시다 마사토
荒川恵理子,아라카와 에리코
松田正久,마쓰다 마사히사
阪谷芳郎,사카타니 요시로
園田直,소노다 스나오
大原崇,오오하라 타카시
曽野綾子,소노 아야코
湯沢三千男,유자와 미치오
本多剛,혼다 다케시 (축구 선수)
澤宣嘉,사와 노부요시
桑原史成,구와바라 시세이
河野啓三,가와노 게이조
宇都宮太郎,우쓰노미야 다로
柴暢彦,시바 노부히로
三上卓,미카미 다쿠
三木忠直,미키 타다나오
根岸誠一,네기시 세이이치
小夜福子,사요 후쿠코
大谷翔平,오타니 쇼헤이
入来智,이리키 사토시
中村祐輝,나카무라 유키
宅間守,다쿠마 마모루
佐藤賢了,사토 겐료
内田彩,우치다 아야
岡敬純,오카 다카즈미
京本大我,쿄모토 타이가
三森すずこ,미모리 스즈코
雁屋哲,카리야 테츠
遠藤達哉,엔도 타츠야
升毅,마스 타케시
石橋凌,이시바시 료
後藤哲夫,고토 데쓰오
松原忠明,마쓰바라 다다아키
坂本武久,사카모토 다케히사
築山殿,쓰키야마도노
白洲次郎,시라스 지로
田辺和彦,다나베 가즈히코
古島清人,후루시마 기요토
澤田博之,사와다 히로유키
伊東真吾,이토 신고
大山直大,오야마 나오히로
藤田敏八,후지타 도시야 (감독)
末吉隼也,스에요시 도시야
澤田和樹,사와다 가즈키
山中良二,야마나카 료지
藤田芳正,후지타 요시마사
斉木和人,사이키 가즈토
飯塚浩記,이이즈카 히로키
小坂善太郎,고사카 젠타로
栗栖赳夫,구루스 다케오
植木庚子郎,우에키 고시로
林義郎,하야시 요시로
斉藤武志,사이토 다케시 (축구 선수)
佐藤穣,사토 미노리
大高忍,오타카 시노부
矢頭良一,야즈 료이치
坂東慧,반도 사토시
濱田水輝,하마다 미즈키
福田俊介,후쿠다 슌스케
永田拓也,나가타 다쿠야 (축구 선수)
藤田直之,후지타 나오유키
石川大徳,이시카와 히로노리
石橋正二郎,이시바시 쇼지로
鳩山安子,하토야마 야스코
篠原俊哉,시노하라 토시야
西野翔,니시노 쇼
橋本楓,하시모토 가에데
麻生和子,아소 가즈코
森迫永依,모리사코 에이
中村大樹,나카무라 다이키
山田ふしぎ,야마다 후시기
久原房之助,쿠하라 후사노스케
古田重勝,후루타 시게카쓰
朝日奈央,아사히 나오
伏見宮博明王,후시미 히로아키
小幡純平,오바타 준페이
秋山淳,아키야마 준
西澤潤一,니시자와 준이치
安倍源基,아베 겐키
藤東知夏,후지토 치카
井上正甫,이노우에 마사모토
太田拓弥,오타 다쿠야
井上正直,이노우에 마사나오
井上正経,이노우에 마사쓰네
稲葉正諶,이나바 마사노부
田丸篤志,타마루 아츠시
樋口知行,히구치 도모유키 (축구 선수)
堺陽二,사카이 요지
斉川雄介,사이카와 유스케
廣瀬聡子,히로세 사토코
藤原威子,후지와라노 이시
九条立子,구조 릿시
藤原穏子,후지와라노 온시 (885년)
藤原呈子,후지와라노 시메코
生駒高俊,이코마 다카토시
木下家定,기노시타 이에사다
井伊直勝,이이 나오카쓰
秦郁彦,하타 이쿠히코
檀ふみ,단 후미
福田英子,후쿠다 히데코
松本文明,마쓰모토 후미아키
飛鳥田一雄,아스카타 이치오
鈴木郁洋,스즈키 후미히로
志茂文彦,시모 후미히코
本間文子,혼마 노리코
千眼美子,시미즈 후미카 (배우)
亀井文夫,카메이 후미오
亀姫・(徳川家康長女),가메히메 (1560년)
稲葉正盛,이나바 마사모리 (에치젠노카미가)
中村行成,나카무라 유키마사
山下いくと,야마시타 이쿠토
稲葉正勝,이나바 마사카쓰
伊藤祐奈,이토 유나 (1995년)
卓庚鉉,탁경현
豊嶋真千子,토요시마 마치코
ボビー・オロゴン,보비 올로건
廣澤金次郎,히로사와 긴지로
中田重治,나카다 주지
徳川篤守,도쿠가와 아쓰모리
堀口九萬一,호리구치 구마이치
咲坂伊緒,사키사카 이오
蒲生秀行・(侍従),가모 히데유키 (20대)
高島雅羅,타카시마 가라
橋本岳,하시모토 가쿠
嘉味田隼,가미타 준
山田一法,야마다 잇포
田中パウロ淳一,다나카 파울루 쥰이치
松本純,마쓰모토 준 (정치인)
草柳順子,쿠사야나기 준코
五領淳樹,고료 준키
阪本順治,사카모토 준지
稲葉正往,이나바 마사미치 (1640년)
原拓也・(サッカー選手),하라 다쿠야
YOU・(タレント),YOU (배우)
RENA・(格闘家),구보타 레나
水谷実雄,미즈타니 지쓰오
稲葉正邦,이나바 마사쿠니
木村哲昌,기무라 데쓰마사
藤原務,후지하라 쓰토무
瀬長亀次郎,세나가 카메지로
屋良朝苗,야라 쵸뵤
嶺川貴子,미네카와 다카코
次原かな,츠기하라 카나
金正淵,김정연 (스피드스케이팅 선수)
尹基協,윤기협
張祐植,장우식 (스피드스케이팅 선수)
福士蒼汰,후쿠시 소타
小林泉美・(棋士),고바야시 이즈미
椿いづみ,츠바키 이즈미
内田達也,우치다 다쓰야
小川淳也,오가와 준야
山本耕史,야마모토 코지 (배우)
太田莉菜,오타 리나
鷹司房子,다카쓰카사 후사코
昌子源,쇼지 겐
森田一成,모리타 잇세이
板倉勝澄,이타쿠라 가쓰즈미
橋本到,하시모토 이타루
伊東義祐,이토 요시스케
小池知己,고이케 도시키
炭谷銀仁朗,스미타니 긴지로
藤田田,후지타 덴
鏑木享,가부라기 도루
山縣伊三郎,야마가타 이사부로
南田洋子,미나미다 요코
木村文治,기무라 본지
ChouCho,ChouCho
KREVA,KREVA
西田剛,니시다 고
ゴリ・(お笑い芸人),고리 (희극 배우)
川浪吾郎,가와나미 고로
渡部秀,와타나베 슈
反町一輝,소리마치 가즈키
富樫美鈴,토가시 미스즈
菅沼駿哉,스가누마 슌야
三鬼海,미키 가이
平野甲斐,히라노 가이
三宅麻理恵,미야케 마리에
幸田夏穂,코우다 카호
三上枝織,미카미 시오리
藤井シェリー,후지이 셸리
田口泰士,다구치 다이시
高梁碧,타카하시 아오
大田実,오타 미노루
大達茂雄,오다치 시게오
入来祐作,이리키 유사쿠
CARNELIAN,카넬리안 (삽화가)
南弘,미나미 히로시
千葉卓三郎,지바 다쿠사부로
土居章助,도이 쇼스케
宇佐美友紀,우사미 유키
前尾繁三郎,마에오 시게사부로
石井光次郎,이시이 미쓰지로
ASUKA・(プロレスラー),아스카 (프로레슬링 선수)
めぐり・(AV女優),메구리
添野義二,소에노 요시지
佐藤聡,사토 사토시
阿部正次,아베 마사쓰구
阿部忠秋,아베 다다아키
平坂読,히라사카 요미
福原遥,후쿠하라 하루카
小泉親彦,고이즈미 지카히코
赤﨑千夏,아카사키 치나츠
佐藤千夜子,사토 치야코
藤原基衡,후지와라노 모토히라
板額御前,한가쿠 고젠
島村毅,시마무라 쓰요시
小林竜樹・(サッカー選手),고바야시 다쓰키
根本亮助,네모토 료스케
山田拓巳,야마다 다쿠미
清水航平,시미즈 고헤이
亮子内親王,료시 내친왕
永田亮太,나가타 료타
田邉草民,다나베 소탄
染谷悠太,소메야 유타
藤田優人,후지타 마사토
千菅春香,치스가 하루카
赤座直保,아카자 나오야스
野田朱美,노다 아케미
根岸明美,네기시 아케미
菊池完,기쿠치 간 (축구 선수)
田中完,타나카 칸
亀井政矩,가메이 마사노리
中川健藏,나카가와 겐조
本郷功次郎,혼고 코지로
キローラン木鈴,기로란 콜린
春菜はな,하루나 하나
水本勝成,미즈모토 가쓰나리
加藤勝信,가토 가쓰노부
中島治康,나카지마 하루야스
フィッツジェラルド舞行龍ジェームズ,마이클 피츠제럴드
佐藤晴男,사토 하루오 (성우)
田中六助,다나카 로쿠스케
樋口智恵子,히구치 치에코
手塚ちはる,테즈카 치하루
佐藤信二,사토 신지
立花芳夫,다치바나 요시오
飯島肇,이이지마 하지메
森洋介,모리 요스케
ぷよ・(漫画家),뿌요
手塚勝巳,테즈카 카츠미
山田正道,야마다 마사미치
高橋龍輝,타카하시 류키
針谷喜久雄,하리가야 기쿠오
田村睦心,타무라 무츠미
高橋昌大,다카하시 마사히로 (축구 선수)
鈴木さとみ,스즈키 사토미 (AV 배우)
桜小路かのこ,사쿠라코지 가노코
荒畑寒村,아라하타 간손
山本寛斎,야마모토 간사이
蓮池薫,하스이케 가오루
竹重安希彦,다케시게 아키히코
大矢明彦,오야 아키히코
北村昭博,키타무라 아키히로
香川良介,카가와 료스케
小野悠斗,오노 유토
高須克弥,다카스 가쓰야
近衛前子,고노에 사키코
嶽本野ばら,다케모토 노바라
上杉隆,우에스기 다카시
山地元治,야마지 모토하루
小林眞紀,코바야시 마키
楠瀬章仁,구스노세 아키히토
長島昭久,나가시마 아키히사
佐藤晃大,사토 아키히로 (1986년 10월)
野田明弘,노다 아키히로
先崎勝也,센자키 가쓰야
須藤安紀子,스도 아키코
秋元礼朝,아키모토 히로토모
高瀬右光,타카세 아키미츠
乾大知,이누이 다이치
川島大地,가와시마 다이치
立花道雪,다치바나 도세쓰
諸星大二郎,모로호시 다이지로
林秀貞,하야시 히데사다
吉田大八・(映画監督),요시다 다이하치
仲間隼斗,나카마 하야토
伊藤隼太,이토 하야타
岡元勇人,오카모토 하야토
徳川好敏,도쿠가와 요시토시
三澤純一,미사와 주니치
岡本行夫,오카모토 유키오
坂上洋子,사카우에 요코
加藤弘堅,가토 고켄
谷田部勝義,야타베 카츠요시
平野勝之,히라노 카츠유키
芝原チヤコ,시바하라 치야코
徳永愛,토쿠나가 아이
Aimer,Aimer
立野千代里,다테노 지요리
原田信種,하라다 노부타네
赤木春恵,아카기 하루에
郡晴己,고리 하루미
片岡七郎,가타오카 시치로
荒井晴彦,아라이 하루히코
平沢勝栄,히라사와 가쓰에이
佐藤勝昭,사토 가쓰아키 (공수도인)
長田潤一,나가타 준이치
風見章,가자미 아키라
暁月あきら,아카츠키 아키라
尾泉大樹,오이즈미 다이키
DAISHI・DANCE,다이시 댄스
渡大生,와타리 다이키
梅井大輝,우메이 다이키
荻原秀樹,오기하라 히데키
石毛秀樹,이시게 히데키
山際大志郎,야마기와 다이시로
光上せあら,고조 세아라
鳥谷敬,도리타니 다카시
酒井亨,사카이 도루
斎木尚子,사이키 나오코
私屋カヲル,와타시야 카오루
斉藤和義,사이토 카즈요시
青木崇高,아오키 무네타카
小宮和枝,코미야 카즈에
冨澤風斗,토미자와 카자토
真弓明信,마유미 아키노부
小阪昭典,고사카 아키노리
岡田彰布,오카다 아키노부
野島昭生,노지마 아키오
若林修,와카바야시 오사무
今井大悟,이마이 다이고
加藤良三,가토 료조
木寺昌人,기테라 마사토
加瀬英明,가세 히데아키
林勇介,하야시 유스케
森本稀哲,모리모토 히초리
益山司,마스야마 쓰카사
伊原純一,이하라 준이치
伊達周宗,다테 지카무네
上條宏晃,가미조 히로아키
石川裕司,이시카와 유지
中村晃・(野球),나카무라 아키라 (1989년)
前田日明,마에다 아키라
斉藤和巳,사이토 가즈미
後宮虎郎,우시로쿠 도라오
大野和成,오노 가즈나리
菅和範,간 가즈노리
朝日大輔,아사히 다이스케
石津大介,이시즈 다이스케
真子秀徳,마고 히데노리
伊藤大介,이토 다이스케
竹本一彦,다케모토 가즈히코
内橋和久,우치하시 카즈히사
菅原康太,스가와라 고타
鮫島晃太,사메시마 고타
榊英雄,사카키 히데오
佐々江賢一郎,사사에 겐이치로
神崎大輔,간자키 다이스케
菊池大介,기쿠치 다이스케
村川大介,무라카와 다이스케
樹森大介,기모리 다이스케
石田英之,이시다 히데유키
三幸秀稔,미유키 히데토시
赤井秀行,아카이 히데유키
秋田英義,아키타 히데요시
久場光,구바 히카루
太田光,오타 히카리
伊藤光,이토 히카루
姈子内親王,레이시 내친왕 (1270년)
奥田紀宏,오쿠다 노리히로
木村俊夫,기무라 도시오
櫛引一紀,구시비키 가즈키
江﨑一仁,에사키 가즈히토
渡邊一仁,와타나베 가즈히토
村上一樹,무라카미 가즈키
齊藤和樹,사이토 가즈키
大岩一貴,오이와 가즈키
佐藤和樹,사토 가즈키 (1993년)
内田昂輔,우치다 고스케
染矢一樹,소메야 가즈키
山口和樹・(1986年生のサッカー選手),야마구치 가즈키
石神幸征,이시가미 고세이
高山侑子,타카야마 유코
武富孝介,다케토미 고스케
小野瀬康介,오노세 고스케
太田康介,오타 고스케 (1982년)
百武義成,햐쿠타케 요시나리
土居義典,도이 요시노리
牧田和久,마키타 가즈히사
高須洋平,다카스 요헤이
山村泰弘,야마무라 야스히로
丹羽宇一郎,니와 우이치로
岡大生,오카 히로키
宮澤裕樹,미야자와 히로키
河野広貴,가와노 히로키
加藤広樹,가토 히로키
松野博一,마쓰노 히로카즈
樋口寛規,히구치 히로키
有吉弘行,아리요시 히로이키
宇佐美宏和,우사미 히로카즈
長谷川博一・(サッカー選手),하세가와 히로카즈
久保田貫一郎,구보타 간이치로
齋木昭隆,사이키 아키타카
塩尻孝二郎,시오지리 고지로
河野雅治,고노 마사하루
七緒はるひ,나나오 하루히
井野碩哉,이노 히로야
山井大介,야마이 다이스케
中井大介,나카이 다이스케
野沢太三,노자와 다이조
隆大介,장명남
内田一夫,우치다 가즈오
三平和司,미쓰히라 가즈시
阪本一仁,사카모토 가즈토
松下和磨,마쓰시타 가즈마
堀江一眞,호리에 카즈마
横山久美,요코야마 구미
公暁,구교 (일본)
伊達宗基,다테 무네모토
山崎巌,야마자키 이와오
男色ディーノ,단쇼쿠 디노
伊達宗村・(仙台藩主),다테 무네무라 (1718년)
ハウバート・ダン,하버트 단
伊達稙宗,다테 다네무네
伊達綱村,다테 쓰나무라
伊達晴宗,다테 하루무네
伊達斉宗,다테 나리무네
伊達斉村,다테 나리무라
伊達斉邦,다테 나리쿠니
西園寺八郎,사이온지 하치로
黒田東彦,구로다 하루히코
森陽一,모리 요이치
西川吉英,니시카와 요시히데
渡辺佳孝,와타나베 요시타카
石田博英,이시다 히로히데
小倉和夫,오구라 가즈오
海老原紳,에비하라 신
宮脇詩音,미야와키 시온
風間宏矢,가자마 고야
吉住梢,요시즈미 코즈에
山本幸三,야마모토 고조
佐々木更三,사사키 고조
永野一男,나가노 가즈오
中島かずき,나카시마 카즈키
平岳大,히라 타케히로
今川泰宏,이마가와 야스히로
鈴木拡樹,스즈키 히로키 (1985년생 배우)
佐藤寛子・(タレント),사토 히로코
上本博紀,우에모토 히로키
中村紘子,나카무라 히로코
小島弘已,고지마 히로미 (1989년)
五十嵐裕美,이가라시 히로미
西川宏美,니시카와 히로미
中島敏次郎,나카지마 도시지로
ザ・ニンジャ,더 닌자
遠山敦子,도야마 아쓰코
谷野作太郎,다니노 사쿠타로
丹波實,단바 미노루
須之部量三,스노베 료조
中江要介,나카에 요스케
東郷和彦,도고 가즈히코
長嶺安政,나가미네 야스마사
小野博信,오노 히로노부
鈴木修人,스즈키 슈토
長山一也,나가야마 가즈야
赤羽一嘉,아카바 가즈요시
岡﨑和也,오카자키 가즈야
明堂和也,묘도 가즈야
山下訓広,야마시타 구니히로
滝沢久美子,타키자와 쿠미코
橋田邦彦,하시다 구니히코
乾くるみ,이누이 구루미
水野俊平,미즈노 슌페이
三千院ナギ,산젠인 나기
角研一郎,스미 켄이치로
勝矢,카츠야 (배우)
細貝圭,호소가이 케이
池田圭・(サッカー選手),이케다 게이
松平直基,마쓰다이라 나오모토
黒田重徳,구로다 시게노리
西国原礼子,니시쿠니하라 레이코
楢崎教子,나라자키 노리코
松平直政,마쓰다이라 나오마사 (1601년)
塩ノ谷早耶香,시오노야 사야카
日野富子,히노 도미코
日下部基栄,구사카베 기에
松平直良,마쓰다이라 나오요시 (1605년)
山下まゆみ,야마시타 마유미
大下弘,오시타 히로시
梶山弘志,가지야마 히로시
加藤寛・(サッカー指導者),가토 히로시
東浩史,아즈마 히로시
川口正人,가와구치 마사토
萩原洪拓,하기와라 히로타쿠
篠田光亮,시노다 미츠요시
為田大貴,다메다 히로타카
山城宏,야마시로 히로시
世耕弘成,세코 히로시게
岡田弘隆,오카다 히로타카
武田英二郎,다케다 에이지로
尾崎英二郎,오자키 에이지로
森英次郎,모리 에이지로
中野圭,나카노 게이
小泉博,코이즈미 히로시
田辺尚雄,다나베 히사오
井川比佐志,이가와 히사시
稲葉久人,이나바 히사히토
永徳・(俳優),에이토쿠 (배우)
沼田圭悟,누마타 게이고
園部啓一,소노베 케이이치
大引啓次,오비키 게이지
清水慶記,시미즈 게이키
荻野目慶子,오기노메 케이코
日南響子,히나미 쿄코
須崎恭平,스자키 쿄헤이
大山恭平,오야마 쿄헤이
杉本裕之,스기모토 히로유키
髙崎寛之,다카사키 히로유키
小瀬浩之,오제 히로유키
根津甚八・(俳優),네즈 진파치
桐山光侍,키리야마 코지
坂口候一,사카구치 코이치
谷元圭介,다니모토 게이스케
堀越耕平,호리코시 고헤이
木本敬介,기모토 게이스케
内藤圭佑,나이토 게이스케
熊澤圭祐,구마자와 게이스케
関口圭亮,세키구치 게이스케
朽木元綱,구쓰키 모토쓰나
間宮くるみ,마미야 쿠루미
黒木恭平,구로키 교헤이
宮部長房,미야베 나가후사
川原慶久,카와하라 요시히사
加藤光泰,가토 미쓰야스
飯田利信,이이다 토시노부
田坂秀樹,타사카 히데키
橋本良亮,하시모토 료스케
福原耕平,후쿠하라 코헤이
閑院宮典仁親王,간인노미야 스케히토 친왕
宮田俊哉,미야타 토시야
日秀尼,닛슈니
村田寛奈,무라타 히로나
室園丈裕,무로조노 타케히로
内野聖陽,우치노 세이요
太田政弘,오타 마사히로
生田竜聖,이쿠타 류세이
大友義統,오토모 요시무네
吉田小南美,요시다 코나미
巽悠衣子,타츠미 유이코
三津田健,미츠다 켄
岩尾憲,이와오 겐
上村従義,가미무라 쓰구요시
松原健,마쓰바라 겐
華頂宮博忠王,가초노미야 히로타다 왕
高力忠房,고리키 다다후사
陣内智則,진나이 토모노리
安倍夜郎,아베 야로
鳥海勝美,토리우미 카츠미
葉加瀬太郎,하카세 타로
松岡康毅,마쓰오카 야스코와
井上良馨,이노우에 요시카
伊集院五郎,이주인 고로
鍋島直大,나베시마 나오히로 (1846년)
徳大寺実則,도쿠다이지 사네쓰네
大浦兼武,오우라 가네타케
岩松了,이와마츠 료
平井理央,히라이 리오
浅見れいな,아사미 레이나
森且行,모리 카츠유키
桜井敏治,사쿠라이 토시하루
村川絵梨,무라카와 에리
麗美,레이미 (가수)
松岡菜摘,마츠오카 나츠미
菅本裕子,스가모토 유코
山口高志,야마구치 다카시 (야구인)
木下百花,키노시타 모모카
中西智代梨,나카니시 치요리
高橋朱里,쥬리 (가수)
レイ・ハラカミ,레이 하라카미
池井戸潤,이케이도 준
とよ田みのる,토요다 미노루
北川悦吏子,기타가와 에리코
八木優希,야기 유키
台与,도요 (야마타이국)
山本啓人,야마모토 히로토
大瀧詠一,오타키 에이이치
小谷野栄一,고야노 에이이치
良寛,료칸 (승려)
本多康俊,혼다 야스토시 (1569년)
本多忠刻,혼다 다다토키 (1596년)
本多正訥,혼다 마사모리
代健司,다이 겐지
松平永芳,마쓰다이라 나가요시
松平胖,마쓰다이라 유타카
堀田正路・(海軍軍人),홋타 마사미치
山越享太郎,야마코시 쿄타로
星野圭佑,호시노 게이스케
林佳祐,하야시 게이스케
中村康三,고조 나카무라
光法賢一,고보 겐이치
野上結貴,노가미 유키
西本幸雄,니시모토 유키오
儀武ゆう子,기부 유코
古田寛幸,후루타 히로유키
原田圭輔,하라다 게이스케
関戸健二,세키도 겐지
江田憲司,에다 겐지
景山健司,가게야마 겐지
篠原健太,시노하라 켄타
佐藤謙介,사토 겐스케
若宮健嗣,와카미야 겐지
森保まどか,모리야스 마도카
衛藤美彩,에토 미사
梅原真子,우메하라 마코
成島出,나루시마 이즈루
入江悠,이리에 유
小沢栄太郎,오자와 에이타로
笠川永太,가사가와 에이타
阿部八郎,아베 하치로
遠藤一彦,엔도 가즈히코
大橋穣,오하시 유타카
寺崎裕香,테라사키 유카
川村竹治,가와무라 다케지
木樽正明,기타루 마사아키
釜田佳直,가마타 요시나오
石塚英蔵,이시즈카 에이조
長谷川清,하세가와 기요시
松本かつぢ,마츠모토 카츠지
田川寿美,타가와 토시미
羽毛田丈史,하케타 타케후미
朝倉あき,아사쿠라 아키
菊池風磨,키쿠치 후마
一条実輝,이치조 사네테루
ジョン・カビラ,존 카비라
一条実孝,이치조 사네타카
久富賢,히사토미 겐
碓井健平,우스이 겐페이
永野広一,나가노 코이치
土井正博,도이 마사히로
りりあん,리리안
橘U子,타치바나 U코
林勇・(声優),하야시 유
細井治,호소이 오사무
平田弥里,히라타 미사토
中尾明慶,나카오 아키요시
鶴岡慎也,쓰루오카 신야
石塚理恵,이시즈카 리에
新垣樽助,신가키 타루스케
大隣憲司,오토나리 겐지
お登勢,오토세
ニーコ,니코 (성우)
MAA・(歌手),MAA (가수)
中馬庚,주만 가나에
堀田勝,홋타 마사루
岩佐直治,이와사 나오지
曽我ひとみ,소가 히토미
荒堀謙次,아라보리 겐지
堤健吾,쓰쓰미 겐고
湯浅謙,유아사 겐
脇田潤,와키타 준
佐久間勉,사쿠마 쓰토무
河野健一,가와노 겐이치
中田賢一,나카타 겐이치
福井静夫,후쿠이 시즈오
六角定頼,롯카쿠 사다요리
金子英彦,카네코 히데히코
田中賢介,다나카 겐스케
武田久,다케다 히사시
RUMIKA,RUMIKA
小林宗作,고바야시 소사쿠
中間淳太,나카마 준타
渡部恒三,와타나베 고조
小宮山宏,고미야마 히로시
小坂憲次,고사카 겐지
道尾秀介,미치오 슈스케
岩永峯一,이와나가 미네이치
月野りさ,츠키노 리사
こやまひろかず,코야마 히로카즈
岡本寛志,오카모토 히로시
笠原十九司,가사하라 도쿠시
斎藤雅樹,사이토 마사키
吉村禎章,요시무라 사다아키
廣瀬純,히로세 준
永井怜,나가이 사토시
数見肇,가즈미 하지메
なちゅ,나츄
村上文香,무라카미 아야카
嘉門タツオ,카몬 타츠오
津田麻莉奈,쓰다 마리나
奈津子,나츠코 (1989년 8월)
佐藤正久,사토 마사히사
甲斐田樹里,가이다 주리
太田里織菜,오오타 리오나
大河内美紗,오코치 미사
畠山智妃,하타케야마 지사키
KONAN,KONAN (가수)
古葉竹識,고바 다케시
近藤さや香,곤도 사야카
連城三紀彦,렌조 미키히코
二宮悠嘉,니노미야 유카
徳本英一郎,토쿠모토 에이이치로
渡瀬草一郎,와타세 소이치로
西園寺禧子,사이온지 기시
大久保一翁,오쿠보 이치오
服部一忠,핫토리 가즈타다
小栗忠順,오구리 다다마사
伊達斉義,다테 나리요시
大岡忠光,오오카 다다미쓰
冬月かえで,후유츠키 카에데
加藤大・(サッカー選手),가토 마사루
