George Washington,ジョージ・ワシントン
Jeff Kanew,ジェフ・カニュー
Adolph Deutsch,アドルフ・ドイチュ
Franz Kline,フランツ・クライン
Drew McIntyre,ドリュー・ギャロウェイ
Robby Krieger,ロビー・クリーガー
Grant Hill,グラント・ヒル
Mike Epps,マイク・エップス
Wayne Knight,ウェイン・ナイト
Adolph E. Borie,アドルフ・ボリー
Christian Vande Velde,クリスティアン・ヴァンデヴェルデ
Steve Reeves,スティーヴ・リーヴス
Allan Sandage,アラン・サンデージ
Martin Balsam,マーティン・バルサム
José Ferrer,ホセ・フェラー
Adolph Herseth,アドルフ・ハーセス
Adolph Gottlieb,アドルフ・ゴットリーブ
Jeffery Deaver,ジェフリー・ディーヴァー
Taylor Phinney,テイラー・フィニー
Nicholas Angelich,ニコラ・アンゲリッシュ
Mark Indelicato,マーク・インデリカート
Robert Grant Aitken,ロバート・グラント・エイトケン
Charlie Day,チャーリー・デイ
Carter Burwell,カーター・バーウェル
Scott Travis,スコット・トラヴィス
Edgar Prado,エドガー・プラード
Adam Baldwin,アダム・ボールドウィン
Jeff Sessions,ジェフ・セッションズ
Lester Bird,レスター・バード
Dennis Rader,デニス・レイダー
T-Bone Walker,T-ボーン・ウォーカー
Eliot Ness,エリオット・ネス
Park Trammell,パーク・トランメル
Frank Stella,フランク・ステラ
Michael López-Alegría,マイケル・ロペス＝アレグリア
David Gallagher,デヴィッド・ギャラガー
Adolph Ochs,アドルフ・オックス
Baby Dodds,ベイビー・ドッズ
George Cables,ジョージ・ケイブルス
Reinhold Niebuhr,ラインホルド・ニーバー
Michael J. Cullen,マイケル・J・カレン
Charlie Crist,チャーリー・クリスト
Jerry Weintraub,ジェリー・ワイントローブ
Jon Gruden,ジョン・グルーデン
Oscar F. Mayer,オスカー・F・マイヤー
Henry Fairfield Osborn,ヘンリー・フェアフィールド・オズボーン
Eliel Saarinen,エリエル・サーリネン
Ken Leung,ケン・レオン
Warner Baxter,ワーナー・バクスター
Lance Henriksen,ランス・ヘンリクセン
Gary Busey,ゲイリー・ビジー
Melvyn Douglas,メルヴィン・ダグラス
Adolphe Menjou,アドルフ・マンジュー
Anthony Franciosa,アンソニー・フランシオサ
Hal Ashby,ハル・アシュビー
Steve Stevens,スティーヴ・スティーヴンス
Tim Bagley,ティム・バグレー
Morgan Sparks,モーガン・スパークス
Charles Bent,チャールズ・ベント
Matt Heafy,マシュー・キイチ・ヒーフィー
Gene Tunney,ジーン・タニー
Ajay Naidu,アジェイ・ナイデュ
Philip Leder,フィリップ・レダー
Bill Butler (cinematographer),ビル・バトラー
David Seymour (photographer),デヴィッド・シーモア
Thomas McKean Thompson McKennan,トマス・マッキーン・トンプソン・マッケナン
Townsend Saunders,タウンセンド・ソーンダース
Akim Tamiroff,エイキム・タミロフ
Akiko Dōmoto,堂本暁子
Edwin L. Mechem,エドウィン・L・メカム
Lamar Alexander,アンドリュー・ラマー・アレクサンダー
Akiva Goldsman,アキヴァ・ゴールズマン
Akira Tana,アキラ・タナ
Akiva Schaffer,アキヴァ・シェイファー
James Corson,ジェームズ・コーソン
Horatio King,ホレイショ・キング・(郵政長官)
Tracy Nelson (actress),トレイシー・ネルソン・(女優)
Forrest Stanley,フォレスト・スタンレー
Aimee Bender,エイミー・ベンダー
Bill Nelson,ビル・ネルソン
"Robert Walker (actor, born 1940)",ロバート・ウォーカー・Jr
A. P. Hill,A・P・ヒル
John Dickson Carr,ジョン・ディクスン・カー
Gordon Parks,ゴードン・パークス
Joey Ramone,ジョーイ・ラモーン
Vernor Vinge,ヴァーナー・ヴィンジ
John Dos Passos,ジョン・ドス・パソス
Van Cliburn,ヴァン・クライバーン
Allan Kaprow,アラン・カプロー
Jimmie Rodgers,ジミー・ロジャーズ・(カントリー歌手)
Kevin Gage (actor),ケヴィン・ゲイジ
Frederic Edwin Church,フレデリック・エドウィン・チャーチ
Gil Goldstein,ギル・ゴールドスタイン
Alexis Denisof,アレクシス・デニソフ
Fiorello La Guardia,フィオレロ・ラガーディア
Christopher Judge,クリストファー・ジャッジ
Tom Araya,トム・アラヤ
Dave Lombardo,デイヴ・ロンバード
Ferde Grofé,ファーディ・グローフェ
Jeremy Davies,ジェレミー・デイビス
Thurgood Marshall,サーグッド・マーシャル
David Zabriskie,デヴィッド・ザブリスキー
F. David Mathews,フォレスト・デイヴィッド・マシューズ
Horace Parnell Tuttle,ホレース・タットル
Andy Griffith,アンディ・グリフィス
Vesto M. Slipher,ヴェスト・スライファー
Bill Frisell,ビル・フリゼール
Victor Ortiz,ビクター・オルティス
James Hong,ジェームズ・ホン
George W. Mason,ジョージ・ウォルター・メイソン
Garrett Reisman,ギャレット・リーズマン
Pierre Monteux,ピエール・モントゥー
Richard Florida,リチャード・フロリダ
Tony Fiore,トニー・フィオーレ
Daniel M. Tani,ダニエル・M・タニ
David LaChapelle,デビッド・ラシャペル
Curtis D. Wilbur,カーティス・ウィルバー・(政治家)
James Noble Tyner,ジェイムズ・ノウブル・タイナー
Poison Ivy (character),ポイズン・アイビー
Oleg Maskaev,オレグ・マスカエフ
Mitch Richmond,ミッチ・リッチモンド
Mark Ordesky,マーク・オーデスキー
Garrett Richards,ギャレット・リチャーズ
Chris Chambliss,クリス・チャンブリス
Jerry Orbach,ジェリー・オーバック
Clarence Brown,クラレンス・ブラウン
Vernon Benjamin Mountcastle,ヴァーノン・マウントキャスル
Terry Goodkind,テリー・グッドカインド
Johnny Torrio,ジョニー・トーリオ
Charles Shyer,チャールズ・シャイア
Charles H. Joffe,チャールズ・H・ジョフィ
Stephen Tobolowsky,スティーヴン・トボロウスキー
Candi Milo,キャンディ・ミロ
Nathan K. Hall,ネイサン・ケルシー・ホール
Randy Barnes,ランディー・バーンズ
Jonathan Latimer,ジョナサン・ラティマー
Milford Graves,ミルフォード・グレイヴス
Milton Diamond,ミルトン・ダイアモンド
Anybody Killa,エニバディー・キラー
John Thach,ジョン・サッチ
Clive Cussler,クライブ・カッスラー
Fan Noli,ファン・ノリ
Russell Gunn,ラッセル・ガン
Warren Zevon,ウォーレン・ジヴォン
Wilson S. Bissell,ウィルソン・S・ビッセル
Roy Eldridge,ロイ・エルドリッジ
Richard Kiel,リチャード・キール
Alfred G. Knudson,アルフレッド・ジョージ・クヌードソンJr
Kyle Korver,カイル・コーバー
Cool Papa Bell,クール・パパ・ベル
Charles Moore (hurdler),チャールズ・ムーア・(陸上選手)
Mark Ronson,マーク・ロンソン
Tom Gehrels,トム・ゲーレルス
Wilson Pickett,ウィルソン・ピケット
Captain Beefheart,キャプテン・ビーフハート
Jake Lloyd,ジェイク・ロイド
John W. Campbell,ジョン・W・キャンベル
George Ellery Hale,ジョージ・ヘール
Randy Rhoads,ランディ・ローズ
Joey DeMaio,ジョーイ・ディマイオ
Steve Albini,スティーヴ・アルビニ
Marilyn Mazur,マリリン・マズール
Joe Puma,ジョー・ピューマ
Charles W. Nash,チャールズ・W・ナッシュ
Marty Paich,マーティ・ペイチ
Ron "Bumblefoot" Thal,ロン・サール
Afa Anoa'i,アファ・アノアイ
Hugo Gernsback,ヒューゴー・ガーンズバック
Meyer Lansky,マイヤー・ランスキー
Bow Wow (rapper),バウ・ワウ
Samuel Z. Arkoff,サミュエル・Z・アーコフ
George H. Steuart (brigadier general),ジョージ・ヒューム・ステュアート
John Peabody Harrington,ジョン・ピーボディ・ハリントン
Jeff Green (basketball),ジェフ・グリーン
Eli Roth,イーライ・ロス
Doug Aldrich,ダグ・アルドリッチ
Avery Brooks,エイヴリー・ブルックス
Jake T. Austin,ジェイク・T・オースティン
Stuart Holden,スチュアート・ホールデン
Michael Bolton,マイケル・ボルトン
Dee Snider,ディー・スナイダー
David Edward Hughes,デイビッド・エドワード・ヒューズ
Nathan Bedford Forrest,ネイサン・ベッドフォード・フォレスト
Adoni Maropis,アドニ・マロピス
Matt Lanter,マット・ランター
Drew Fuller,ドリュー・ファラー
Adoniram Judson,アドニラム・ジャドソン
Daniel C. Roper,ダニエル・カルフーン・ローパー
Nathanael Greene,ナサニエル・グリーン・(軍人)
Jerry Lucas,ジェリー・ルーカス
Alexander Siloti,アレクサンドル・ジロティ
Jimmy Doolittle,ジミー・ドーリットル
Jason Behr,ジェイソン・ベア
Richard Bache,リチャード・バチェ
Corey Feldman,コリー・フェルドマン
Alfred Hertz,アルフレッド・ヘルツ
Dick Clark,ディック・クラーク
Robert M. Pirsig,ロバート・M・パーシグ
Rami Malek,ラミ・マレック
Don Nelson,ドン・ネルソン
Ryan Kurosaki,ライアン・クロサキ
Julius Rudel,ユリウス・ルーデル
Duane Ludwig,ドゥエイン・ラドウィック
F. Albert Cotton,フランク・アルバート・コットン
Dalton Baldwin,ダルトン・ボールドウィン
Tim Worrell,ティム・ウォーレル
Anthony Bourdain,アンソニー・ボーディン
Ryan Grigson,ライアン・グリグソン
David Bell (baseball),デビッド・ベル
Ruth Price,ルース・プライス
Dina Manfredini,ディーナ・マンフレディーニ
William C. Dudley,ウィリアム・ダドリー
Katie Smith,ケイティ・スミス
Alexander Godunov,アレクサンドル・ゴドゥノフ
Timothy Pickering,ティモシー・ピカリング
Jeff Bezos,ジェフ・ベゾス
James Heckman,ジェームズ・ヘックマン
Daniel McFadden,ダニエル・マクファデン
Jack Vance,ジャック・ヴァンス
Fred Perry,フレッド・ペリー
Frederik Pohl,フレデリック・ポール
LeVar Burton,レヴァー・バートン
Edward C. Prescott,エドワード・プレスコット
Jason Terry,ジェイソン・テリー
Eric Holder,エリック・ハンプトン・ホルダー
Bob Cousy,ボブ・クージー
Lon Chaney,ロン・チェイニー
Bernard Lagat,バーナード・ラガト
Chuck Jones,チャック・ジョーンズ
Brad Wilk,ブラッド・ウィルク
George Lusztig,ジョージ・ルスティック
Millard Hampton,ミラード・ハンプトン
Bobby Di Cicco,ボビー・ディ・シッコ
Bill Pierce (saxophonist),ビル・ピアース
Cassandra Cain,カサンドラ・カイン
Theobald Smith,セオボールド・スミス
Jack Sharkey,ジャック・シャーキー
Tom Ewell,トム・イーウェル
Howard Zieff,ハワード・ジーフ
Ashley Wagner,アシュリー・ワグナー
Eduardo Saverin,エドゥアルド・サベリン
John Holmes (actor),ジョン・ホームズ
Bud Powell,バド・パウエル
Greg LeMond,グレッグ・レモン
John Cho,ジョン・チョー
Irving Fisher,アーヴィング・フィッシャー
Neil Sedaka,ニール・セダカ
Charlie Kaufman,チャーリー・カウフマン
Bob Woodward,ボブ・ウッドワード
Tommy Aldridge,トミー・アルドリッジ
George Strait,ジョージ・ストレイト
Stephen P. Synnott,スティーヴン・P・シノット
Chris Copeland,クリス・コープランド
Jason Voorhees,ジェイソン・ボーヒーズ
"Ryan Anderson (basketball, born 1988)",ライアン・アンダーソン・(バスケットボール)
William Christie (musician),ウィリアム・クリスティ
Wings Hauser,ウィングス・ハウザー
Walter Koenig,ウォルター・ケーニッヒ
Lloyd Alexander,ロイド・アリグザンダー
Sam Jones III,サム・ジョーンズ3世
Robert Cummings,ロバート・カミングス
Albert Pike,アルバート・パイク
Ernest J. King,アーネスト・キング
Leroy Anderson,ルロイ・アンダーソン
John Basilone,ジョン・バジロン
Phil Hartman,フィル・ハートマン
Robert Penn Warren,ロバート・ペン・ウォーレン
Red Cloud,レッド・クラウド
Sean Murray (actor),ショーン・マーレイ・(俳優)
Tommy Ramone,トミー・ラモーン
Robert Montgomery (actor),ロバート・モンゴメリー
Juan Atkins,ホアン・アトキンス
Robert Zoellick,ロバート・ゼーリック
GG Allin,GGアリン
Carl Johnson (Grand Theft Auto),カール・ジョンソン・(グランド・セフト・オート)
Al-Farouq Aminu,アル・ファルーク・アミヌ
Fraser Stoddart,フレイザー・ストッダート
Bobby Cannavale,ボビー・カナヴェイル
Rob Letterman,ロブ・レターマン
Jeff Ament,ジェフ・アメン
Stone Gossard,ストーン・ゴッサード
Joseph Szigeti,ヨーゼフ・シゲティ
Tom M. Apostol,トム・アポストル
Jack Endino,ジャック・エンディノ
Robert Forster,ロバート・フォスター
Roy Rogers,ロイ・ロジャース
Cyril M. Kornbluth,C・M・コーンブルース
Clayton Yeutter,クレイトン・キース・ヤイター
James Harlan (Iowa politician),ジェイムズ・ハーラン・(内務長官)
Jered Guzman,ジェレッド・グズマン
Raymond Loewy,レイモンド・ローウィ
Alexei Sultanov,アレクセイ・スルタノフ
Jay Park,パク・ジェボム
Mae Clarke,メイ・クラーク
Lightnin' Hopkins,ライトニン・ホプキンス
Regina Resnik,レジーナ・レズニック
Winfield Scott Hancock,ウィンフィールド・スコット・ハンコック
Jimmy Reed,ジミー・リード
Susan Ward,スーザン・ウォード
Stephen Lang,スティーヴン・ラング
Louis Comfort Tiffany,ルイス・カムフォート・ティファニー
Robert Mapplethorpe,ロバート・メイプルソープ
Walter Sydney Adams,ウォルター・シドニー・アダムズ
Joshua Bell,ジョシュア・ベル
Krist Novoselic,クリス・ノヴォセリック
Frank Marshall (chess player),フランク・マーシャル・(チェスプレーヤー)
Jay Cutler (bodybuilder),ジェイ・カトラー・(ボディビルダー)
Kaitlin Sandeno,ケイトリン・サンデノ
Annette Haven,アネット・ヘブン
Christine Todd Whitman,クリスティーン・トッド・ウィットマン
John Garfield,ジョン・ガーフィールド
Bill Conti,ビル・コンティ
Alfred Newman,アルフレッド・ニューマン
Alvin Batiste,アルヴィン・バティスト
Robert Crumb,ロバート・クラム
Lindsey Buckingham,リンジー・バッキンガム
Dennis Franz,デニス・フランツ
Richard LeParmentier,リチャード・ルパルメンティエ
John Franklin Enders,ジョン・フランクリン・エンダース
John Bailey (cinematographer),ジョン・ベイリー・(撮影監督)
Perry Mason,ペリー・メイスン
Jordan Lyles,ジョーダン・ライルズ
Mark Coleman,マーク・コールマン
Terry Markwell,テリー・マークウェル
James Ingram,ジェームス・イングラム
Sammy Hagar,サミー・ヘイガー
Tim Reid,ティム・リード・(俳優)
Paul Hirsch (film editor),ポール・ハーシュ
Gordon Cooper,ゴードン・クーパー
C. Wright Mills,ライト・ミルズ
Alvin Kraenzlein,アルビン・クレンツレーン
Jerry Garcia,ジェリー・ガルシア
Robert Ballard,ロバート・バラード
Robert K. Merton,ロバート・キング・マートン
Daniel Inouye,ダニエル・イノウエ
Louis Prima,ルイ・プリマ
Raphael Pumpelly,ラファエル・パンペリー
Big Sean,ビッグ・ショーン
Yogi Berra,ヨギ・ベラ
Robert Beltran,ロバート・ベルトラン
Janet Margolin,ジャネット・マーゴリン
Juice Newton,ジュース・ニュートン
Susan May Pratt,スーザン・メイ・プラット
Milt Jackson,ミルト・ジャクソン
Lauren Mayhew,ローレン・C・メイヒュー
Howard Scott Warshaw,ハワード・スコット・ウォーショウ
John Andretti,ジョン・アンドレッティ
Paul Neumann (swimmer),パウル・ノイマン
Otto Struve,オットー・シュトルーベ
Gregory Hines,グレゴリー・ハインズ
Ben Folds,ベン・フォールズ
Thomas J. Watson,トーマス・J・ワトソン
Melissa Mathison,メリッサ・マシスン
Virginia Baxter,ヴァージニア・バクスター
Carl Van Vechten,カール・ヴァン・ヴェクテン
Neal Stephenson,ニール・スティーヴンスン
Thom Mayne,トム・メイン
James Marsters,ジェームズ・マースターズ
John Carradine,ジョン・キャラダイン
Kadeem Hardison,カディーム・ハーディソン
Eric Dolphy,エリック・ドルフィー
Frank White (North Dakota politician),フランク・ホワイト・(ノースダコタ州知事)
Benjamin M. Friedman,ベンジャミン・フリードマン
DaMarcus Beasley,ダマルカス・ビーズリー
Jonathan Togo,ジョナサン・トーゴ
Jeff Lindsay,ジェフ・リンジー
John Krasinski,ジョン・クラシンスキー
James Whitmore,ジェームズ・ホイットモア
Eddie Albert,エディ・アルバート
Richard Jenkins,リチャード・ジェンキンス
Jordan Farmar,ジョーダン・ファーマー
Wes Bentley,ウェス・ベントリー
Al Unser,アル・アンサー
Andrei Linde,アンドレイ・リンデ
Booboo Stewart,ブーブー・スチュワート
Robert B. Wilson,ロバート・バトラー・ウィルソン
André Watts,アンドレ・ワッツ
John Burke (North Dakota politician),ジョン・バーク・(政治家)
Fred Phelps,フレッド・フェルプス
Aniello Dellacroce,アニエロ・デラクローチェ
Rick Rickert,リック・リカート
Bob Griese,ボブ・グリーシー
Chris Elliott,クリス・エリオット
Scott Jorgensen,スコット・ヨルゲンセン
George Tillman Jr.,ジョージ・ティルマン・ジュニア
Wally Joyner,ウォーリー・ジョイナー
Brenda Chapman,ブレンダ・チャップマン
Melissa Joan Hart,メリッサ・ジョーン・ハート
Megan Boone,メーガン・ブーン
Rya Kihlstedt,リヤ・キールステッド
Courtney Jines,コートニー・ジャインズ
Bobby Kimball,ボビー・キンボール
Lincoln Ellsworth,リンカーン・エルズワース
Shavo Odadjian,シャヴォ・オダジアン
Kristin Hersh,クリスティン・ハーシュ
Olivia Brown,オリビア・ブラウン
Phillip Allen Sharp,フィリップ・シャープ
Dickinson W. Richards,ディキソン・W・リチャーズ
Jeffrey Lieber,ジェフリー・リーバー
Richard Lyng,リチャード・エドモンド・リング
Eddie Johnson (American soccer),エディ・ジョンソン・(サッカー選手)
Maria Schneider (musician),マリア・シュナイダー
Stith Thompson,スティス・トンプソン
Dorothea Orem,ドロセア・オレム
Stephen Collins,スティーヴン・コリンズ
Rei Hance,ヘザー・ドナヒュー
Eagle-Eye Cherry,イーグル・アイ・チェリー
Katharine Graham,キャサリン・グラハム
Arthur M. Schlesinger Jr.,アーサー・シュレジンジャー
Steve Preston,スティーヴン・クライド・プレストン
William Ballard Preston,ウィリアム・プレストン・(海軍長官)
Ralph E. Winters,ラルフ・E・ウィンタース
Ryan Hollins,ライアン・ホリンズ
Martha Raye,マーサ・レイ
Yvonne Sherman,イボンヌ・シャーマン
Ethan Phillips,イーサン・フィリップス
Katherine MacGregor,キャサリン・マグレガー
Miquel Brown,ミケール・ブラウン
Malik Rose,マリック・ローズ
Richard James Hart,ヴィンチェンゾ・カポネ
Randy Spears,ランディ・スピアーズ
Rory Fitzpatrick,ロリー・フィッツパトリック
Peter van de Kamp,ピート・ファンデカンプ
Seymour Hersh,シーモア・ハーシュ
Robert Todd Lincoln,ロバート・トッド・リンカーン
Rachael Flatt,レイチェル・フラット
Ashley Williams (actress),アシュレー・ウィリアムズ・(女優)
Hanna Fenichel Pitkin,ハンナ・ピトキン
Rod Serling,ロッド・サーリング
Marcellite Garner,マーセリット・ガーナー
John G. Thompson,ジョン・G・トンプソン
Obie Trice,オービー・トライス
Kevin Young (hurdler),ケビン・ヤング
Fritz Leiber,フリッツ・ライバー
Michael Connelly,マイクル・コナリー
Bob Pettit,ボブ・ペティット
Frederick C. Weyand,フレデリック・ウェイアンド
Landry Fields,ランドリー・フィールズ
Thomas Worthington (governor),トーマス・ワージントン
Bruce Sterling,ブルース・スターリング
Chris Isaak,クリス・アイザック
Jeffrey Jones,ジェフリー・ジョーンズ
Richard Jefferson,リチャード・ジェファーソン
Tommy Thayer,トミー・セイヤー
Brian Wilson,ブライアン・ウィルソン
David McCallum,デヴィッド・マッカラム
Sarah Josepha Hale,サラ・ジョセファ・ヘイル
Amanda Schull,アマンダ・シュル
Charles Gunn (Angel),チャールズ・ガン・(エンジェルの登場人物)
Arman,アルマン・(美術家)
Courtney Lee,コートニー・リー
George W. Casey Jr.,ジョージ・ケイシー・ジュニア
John Jacob Astor IV,ジョン・ジェイコブ・アスター4世
Al Smith,アル・スミス・(ニューヨーク州知事)
Mario Castelnuovo-Tedesco,マリオ・カステルヌオーヴォ＝テデスコ
Herbert Jamison,ハーバート・ジャミソン
Kenny Loggins,ケニー・ロギンス
Shelby Rogers,シェルビー・ロジャース
Niall Ferguson,ニーアル・ファーガソン
Ellen Roosevelt,エレン・ルーズベルト
Benjamin Bloom,ベンジャミン・ブルーム
Walter Tennyson Swingle,ウォルター・テニソン・スウィングル
Gil Scott-Heron,ギル・スコット・ヘロン
Daniel Ellsberg,ダニエル・エルズバーグ
Charles Hatfield,チャールズ・ハットフィールド
Mitch Albom,ミッチ・アルボム
Nick Cassavetes,ニック・カサヴェテス
Richard S. Ewell,リチャード・ユーエル
Jon Hamm,ジョン・ハム・(俳優)
Marc Jacobs,マーク・ジェイコブス
James Lafferty,ジェームズ・ラファティ
Ralph Wright,ラルフ・ライト
Jerry O'Connell,ジェリー・オコンネル
Tim Buckley,ティム・バックリィ
Chris Hardwick,クリス・ハードウィック
Bob Kane,ボブ・ケイン
Edward Ruscha,エド・ルシェ
Olive Thomas,オリーヴ・トーマス
Scotty Moore,スコティ・ムーア
James Millns,ジェームズ・ミルンズ
Paul Reiser,ポール・ライザー
Travis Tomko,トラヴィス・トムコ
Stanley Ketchel,スタンリー・ケッチェル
Mideon,デニス・ナイト
George DiCenzo,ジョージ・ディセンゾ
Paul R. Ehrlich,ポール・R・エーリック
Tyler Farrar,タイラー・ファーラー
William F. Buckley Jr.,ウィリアム・バックリー・ジュニア
Charles Brabin,チャールズ・ブレイビン
H. A. Rey,H・A・レイ
Boris Vallejo,ボリス・ヴァレホ
Kieran Culkin,キーラン・カルキン
Archie Hahn,アーチー・ハーン
Red Buttons,レッド・バトンズ
Leopold Auer,レオポルト・アウアー
Johnny Swinger,ジョニー・スウィンガー
Reginald Arvizu,レジナルド・アーヴィツ
Redman (rapper),レッドマン・(ラッパー)
Joseph Kosuth,ジョセフ・コスース
Sandy Poulsen,サンディ・ポールセン
Misty Rain,ミスティー・レイン
Aria Wallace,アリア・ウォーレス
"Jane Adams (actress, born 1965)",ジェーン・アダムス・(女優)
Rodney Dangerfield,ロドニー・デンジャーフィールド
Michael Behe,マイケル・ベーエ
Jon Krakauer,ジョン・クラカワー
David Ho,デビッド・ホー
Paul London,ポール・ロンドン
Donald "Duck" Dunn,ドナルド・ダック・ダン
Bruce Arena,ブルース・アリーナ
Pat Valenzuela,パット・ヴァレンズエラ
Oliver North,オリバー・ノース
Kirk Cousins,カーク・カズンズ
Charles Napier (actor),チャールズ・ネイピア・(俳優)
William H. Webster,ウィリアム・H・ウェブスター
John Kiffmeyer,ジョン・キフメイヤー
Jacob Riis,ジェイコブ・リース
Bobby Henderson (activist),ボビー・ヘンダーソン
Joyce Marcus,ジョイス・マーカス
Jean Parker,ジーン・パーカー
Helen Sawyer Hogg,ヘレン・ソーヤー・ホッグ
Charles Austin (high jumper),チャールズ・オースチン
Billy Mills,ビリー・ミルズ
Seth Barnes Nicholson,セス・B・ニコルソン
Henry H. Arnold,ヘンリー・アーノルド
Guy Stockwell,ガイ・ストックウェル
Althea Flynt,アルシア・フリント
Janet Rowley,ジャネット・ラウリー
Alfred Stieglitz,アルフレッド・スティーグリッツ
Jake Hager,ジャック・スワガー
Soulja Boy,ソウルジャ・ボーイ
James Curtis Hepburn,ジェームス・カーティス・ヘボン
Jonathan Vaughters,ジョナサン・ヴォーターズ
Melford Spiro,メルフォード・スパイロ
Rory Culkin,ロリー・カルキン
Redfield Proctor Jr.,レッドフィールド・プロクター・ジュニア
Neil Postman,ニール・ポストマン
Harrison Dillard,ハリソン・ディラード
Eyvind Earle,アイヴァンド・アール
Buddy Bolden,バディ・ボールデン
John Naber,ジョン・ネーバー
George Raft,ジョージ・ラフト
Philip Abelson,フィリップ・アベルソン
Bruce Schneier,ブルース・シュナイアー
Freddie King,フレディ・キング
Francis Lane,フランシス・レーン
David Foster Wallace,デヴィッド・フォスター・ウォレス
Matthew Shepard,マシュー・シェパード
Bob Fosse,ボブ・フォッシー
Charles Evans Hughes,チャールズ・エヴァンズ・ヒューズ
Max Casella,マックス・カセラ
George J. Mitchell,ジョージ・J・ミッチェル
Ed Madigan,エドワード・レル・マディガン
JJ Redick,J・J・レディック
Kevin DuBrow,ケヴィン・ダブロウ
William H. Clothier,ウィリアム・H・クローシア
Elijah Burke,イライジャ・バーク
Davey Havok,デイヴィー・ハヴォック
Jason Ritter,ジェイソン・リッター
Lyman Spitzer,ライマン・スピッツァー
Thomas Kean,トーマス・ケイン
Laurence Owen,ローレンス・オーウェン
Gailard Sartain,ゲイラード・サーテイン
Richard S. Fuld Jr.,リチャード・S・ファルド・ジュニア
Johnny Miller,ジョニー・ミラー
Paul Hugh Emmett,ポール・エメット
Frank Borzage,フランク・ボーゼイギ
Eric Red,エリック・レッド
John Trumbull,ジョン・トランブル
Kit Carson,キット・カーソン
Robert Conquest,ロバート・コンクエスト
Ahmad Jamal,アーマッド・ジャマル
Daniel Pipes,ダニエル・パイプス
Thomas Dekker (actor),トーマス・デッカー
David Brown (producer),デイヴィッド・ブラウン・(映画プロデューサー)
Dean Rusk,ディーン・ラスク
Al Green,アル・グリーン
Sean Gunn,ショーン・ガン
Peabo Bryson,ピーボ・ブライソン
Marcus Allen,マーカス・アレン
Travis Pastrana,トラビス・パストラーナ
Ricky Steamboat,リッキー・スティムボート
John Muir,ジョン・ミューア
Neko Case,ニーコ・ケース
Margaret E. Knight,マーガレット・ナイト
Marian Seldes,マリアン・セルデス
Connie Kay,コニー・ケイ
Alex Riley,アレックス・ライリー
Blossom Dearie,ブロッサム・ディアリー
Hazel Scott,ヘイゼル・スコット
Mary Lyon,メアリー・メイソン・リヨン
Dorothy Jeakins,ドロシー・ジーキンス
Ona Zee,オナ・ジー
Van Johnson,ヴァン・ジョンソン
Donn Tatum,ドン・B・テータム
Shaun Donovan,ショーン・ドノバン
Daniel Stern (actor),ダニエル・スターン
Jerry Norman (sinologist),ジェリー・ノーマン
Lilla Cabot Perry,リラ・キャボット・ペリー
Ray Harryhausen,レイ・ハリーハウゼン
Brian Austin Green,ブライアン・オースティン・グリーン
Lou Ferrigno,ルー・フェリグノ
Henry Wilson,ヘンリー・ウィルソン
Angus T. Jones,アンガス・T・ジョーンズ
Vladimir Drinfeld,ウラジーミル・ドリンフェルト
Steve Ontiveros (pitcher),スティーブ・オンティベロス・(投手)
Peter Masterson,ピーター・マスターソン
Daniel Quillen,ダニエル・キレン
Vaughan Jones,ヴォーン・ジョーンズ
Gus Williams (basketball),ガス・ウィリアムズ
Evan Hunter,エド・マクベイン
Kelly Reichardt,ケリー・ライカート
Joseph E. McDonald,ジョゼフ・ユーイング・マクドナルド
Kathryn Erbe,キャスリン・アーブ
Helen Merrill,ヘレン・メリル
Eric McCormack,エリック・マコーマック
Ben Bova,ベン・ボーヴァ
Patrick Macnee,パトリック・マクニー
Sue Lyon,スー・リオン
Christopher Meloni,クリストファー・メローニ
Rick Warren,リック・ウォレン
Jerry Siegel,ジェリー・シーゲル
Elizabeth Berridge (actress),エリザベス・ベリッジ
Kathleen Rose Perkins,キャスリーン・ローズ・パーキンス
Pauline Kael,ポーリン・ケイル
Johnny Appleseed,ジョニー・アップルシード
Vladimir Voevodsky,ウラジーミル・ヴォエヴォドスキー
Liviu Librescu,リビウ・リブレスク
George Shultz,ジョージ・シュルツ
AJ McLean,A.J.
Alexander Beilinson,アレクサンダー・ベイリンソン
Cadwallader C. Washburn,カドワラダー・ウォッシュバーン
Moodymann,ムーディーマン
Evelyn Einstein,イヴリン・アインスタイン
Dean Norris,ディーン・ノリス
George Winston,ジョージ・ウィンストン
Kathy Griffin,キャシー・グリフィン
Alex Kurtzman,アレックス・カーツマン
Dorothy Poynton-Hill,ドロシー・ポイントン＝ヒル
Robert Cormier,ロバート・コーミア
Jonah Hill,ジョナ・ヒル
James Van Der Beek,ジェームズ・ヴァン・ダー・ビーク
Hutch Dano,ハッチ・ダーノ
Robert Culp,ロバート・カルプ
John DiMaggio,ジョン・ディマジオ
Jerome Kern,ジェローム・カーン
David Wilkerson,デイヴィッド・ウィルカーソン
Jack Tramiel,ジャック・トラミエル
Michel Legrand,ミシェル・ルグラン
Jim Yong Kim,ジム・ヨン・キム
Jackie Coogan,ジャッキー・クーガン
Johns Hopkins,ジョンズ・ホプキンズ
Ray Eames,レイ・イームズ
Dave Matthews,デイヴ・マシューズ
King Oliver,キング・オリヴァー
Gary Coleman,ゲーリー・コールマン
