Marea Neagră,黑海
Poiana Sibiului,波亞納錫比烏盧伊鄉
Batoș,巴托什鄉
Băgaciu,伯加丘鄉
Gornești,戈爾內什蒂鄉
Apold,阿波爾德鄉
Păsăreni,珀瑟雷尼鄉
Cârța,克爾察鄉
Adâncata,阿登卡塔鄉
Marpod,馬爾波德鄉
Sita Buzăului,布澤烏河畔錫塔鄉
Roșia,罗希亚河
Bistra,比斯特拉鄉
Petrești,佩特雷什蒂鄉
Remetea,雷梅泰亞鄉
Șepreuș,謝普雷烏什鄉
Siculeni,錫庫萊尼鄉
Petrova,彼得羅瓦鄉
Căpâlnița,克珀爾尼察鄉
Leordina,萊奧爾迪納鄉
Mihai Viteazu,米哈伊米哈伊鄉
Rozavlea,羅扎夫萊亞鄉
Agriș,阿格里什鄉
2013 în România,2013年罗马尼亚
Brigada 9 Mecanizată,第9步兵師
ACS Berceni,貝真尼
Nadeș,納代什鄉
Zagăr,扎格爾鄉
Sântana de Mureș,穆列什河畔聖安娜鄉
Sărățeni,瑟勒采尼鄉
Teaca,泰亞卡鄉
Vătava,沃塔瓦鄉
Obreja,奧布雷扎鄉
Catedrala Sfinții Petru și Pavel din Constanța,聖彼得和聖保羅主教座堂
Cerțești,切爾泰什蒂鄉
Budacu de Jos,下布達庫鄉
Halmeu,哈爾梅烏鄉
Milaș,米拉什鄉
Metroul ușor din București,布加勒斯特輕軌
Linia M6 a metroului din București,布加勒斯特地铁6号线
Palatul Telefoanelor din București,布加勒斯特電話宮
Daneș,達內什鄉
Sânmihaiu de Câmpie,聖米哈尤德肯皮耶鄉
Cârțișoara,克爾茨什瓦拉鄉
Ghidfalău,吉德法勒烏鄉
Dalboșeț,達爾博謝茨鄉
Zărand,澤蘭德鄉
Buchin,布欽鄉
Micăsasa,米克薩薩鄉
Sângeorgiu de Mureș,穆列什河畔聖喬治烏鄉
Petriș,彼得里什鄉
Păuliș,珀烏利什鄉
Sântimbru,聖廷布魯鄉
Dumitra,杜米特拉鄉
Șieu-Odorhei,謝烏-奧多爾海伊鄉
Zagra,扎格拉鄉
Șieu,謝烏鄉
Ciclova Română,奇克洛瓦羅馬尼亞鄉
Corunca,科倫卡鄉
Băuțar,伯烏察爾鄉
Relațiile româno-bulgare,保加利亞－羅馬尼亞關係
Bereni,貝雷尼鄉
Turnu Ruieni,圖爾努魯耶尼鄉
Cârța,克爾察鄉
Tilișca,蒂利什卡鄉
Bărbat,巴尔伯特河
Tichilești,蒂基萊什蒂鄉
Mihăileni,米赫伊萊尼鄉
Spermezeu,斯佩爾梅澤烏鄉
Mărișelu,默里謝盧鄉
Festivalul „George Enescu”,艾內斯科音樂節
Biserica Iezuiților din Sibiu,天主圣三堂
Târlișua,特爾利舒阿鄉
Monor,莫諾爾鄉
Galații Bistriței,比斯特里察河畔加拉茨鄉
Uriu,烏里烏鄉
Nușeni,努謝尼鄉
Albeni,阿爾貝尼鄉
Palatul C.E.C.,CEC宮
CF Liberty Salonta,奧拉迪亞自由
Coroisânmărtin,科羅伊聖馬丁鄉
Oncești,翁切什蒂鄉
Chibed,基貝德
Mădăraș,默德拉什鄉
Ghindărești,京德雷什蒂鄉
Silivașu de Câmpie,西利瓦舒德肯皮耶鄉
Matei,馬泰伊鄉
Budești,布代什蒂鄉
Academica Clinceni,克萊斯特尼
Bănia,伯尼亞鄉
Berliște,貝爾利什泰鄉
Armeniș,阿爾梅尼什鄉
Vulturu,武爾圖魯鄉
Casimcea,卡西姆恰鄉
Mircea Vodă,米爾恰大公鄉
Relațiile dintre Canada și România,加拿大－羅馬尼亞關係
Livezile,利韋濟萊鄉
Uileacu de Beiuș,維萊亞庫德貝尤什鄉
Costești,科斯泰什蒂鄉
Grințieș,格林切什鄉
Crăcăoani,克勒克瓦尼鄉
Ludoș,盧多什鄉
Dămuc,德穆克鄉
Căianu Mic,克亞努米克鄉
Nalbant,納爾班特鄉
Ceamurlia de Jos,下恰穆爾利亞鄉
Chiuza,基烏扎鄉
Țânțăreni,岑策雷尼鄉
Universitatea „Aurel Vlaicu” din Arad,阿拉德奥雷尔·弗拉伊库大学
CSM Oradea,奧拉迪亞CSM
CSU Pitești,BCM U Pitești
Șanț,尚茨鄉
Strunga,斯特倫加鄉
Bascov,巴薩科夫鄉
Mălureni,默盧雷尼鄉
Castelul Cantacuzino din Bușteni,康塔庫齊諾城堡
Astra IVA,阿斯特拉IVA型列車
Țibucani,齊布卡尼鄉
Pecineaga,佩西內亞加鄉
Bârzava,伯爾扎瓦鄉
Băiculești,伯伊庫萊什蒂鄉
Văleni,沃萊尼
Tupilați,圖皮拉齊鄉
Greci,格雷奇鄉
Chilia Veche,舊基利亞鄉
Relațiile româno-armene,亞美尼亞－羅馬尼亞關係
Mahmudia,馬赫穆迪亞鄉
Tuzla,圖茲拉鄉
Punghina,彭吉納鄉
Loamneș,洛阿姆內什鄉
Ciceu-Giurgești,奇切烏-久爾傑什蒂鄉
Șieu-Măgheruș,謝烏-默蓋魯什鄉
Universitatea Națională de Apărare „Carol I”,卡羅爾一世國防大學
Palatul Șuter,卡羅爾帕克酒店
Apoldu de Jos,下阿波爾杜鄉
Corod,科羅德鄉
Mogoșești-Siret,莫戈謝什蒂-錫雷特鄉
Dumbrava Roșie,敦布拉瓦羅謝鄉
Moțca,莫茨卡鄉
Fântânele,芳特內萊鄉
Cumpăna,昆珀納鄉
Miroslava,米羅斯拉瓦鄉
Tăureni,特烏雷尼鄉
Bolvașnița,博爾瓦什尼察鄉
Oțeleni,奧采萊尼鄉
Gârliciu,格爾利丘鄉
Bozovici,博佐維奇鄉
Urmeniș,烏爾梅尼什鄉
Șicula,希庫拉鄉
Feldru,費爾德魯鄉
Negrilești,內格里萊什蒂鄉
Deda,代達鄉
Crasna,克拉斯納鄉
Ciceu-Mihăiești,奇切烏-米赫耶什蒂鄉
Șintereag,欣泰雷亞格鄉
Vârfurile,沃爾富里萊鄉
Piatra Șoimului,皮亞特拉紹伊穆盧伊鄉
Holboca,霍爾博卡鄉
Horlești,霍爾萊什蒂鄉
Chisindia,基辛迪亞鄉
Limanu,利馬努鄉
Ion Corvin,揚科爾溫鄉
Seimeni,塞伊梅尼鄉
Lipnița,利普尼察鄉
Măgura Ilvei,默古拉伊爾韋伊鄉
Valea Dragului,德拉古盧伊鄉
Miceștii de Câmpie,米謝切什蒂德肯皮耶鄉
Ilva Mare,大伊爾瓦鄉
Zona metropolitană Bacău,巴克烏都會區
Beidaud,貝達烏德鄉
Relațiile româno-maghiare,匈牙利－罗马尼亚关系
Ciupercenii Noi,丘佩爾切尼諾伊鄉
Mihai Bravu,米哈伊布拉武鄉
Răducăneni,勒杜克內尼鄉
Baia,巴亞鄉
Ciobanu,喬巴努鄉
Deleni,代萊尼鄉
Ciocârlia,喬克爾利亞鄉
Biertan,別爾坦鄉
Lungani,倫加尼鄉
Aroneanu,阿羅尼亞努鄉
Șelaru,謝拉魯鄉
Grădina,格勒迪納鄉
Saraiu,薩拉尤鄉
Baba Ana,巴巴阿納鄉
Valea Viilor,維洛爾鄉
Chirnogeni,基爾諾傑尼鄉
Dobromir,多布羅米爾鄉
Comana,科馬納鄉
Lăpuș,勒普什鄉
Orodel,奧羅代爾鄉
Lerești,萊雷什蒂鄉
Grajduri,格拉伊杜里鄉
Cuza Vodă,庫扎大公鄉
Independența,獨立鄉
Mircești,米爾切什蒂鄉
Săbăoani,瑟伯瓦尼鄉
Tămășeni,特默謝尼鄉
Dârjiu,德爾日烏鄉
Horia,霍里亞鄉
Nicolae Bălcescu,尼古拉伯爾切斯庫鄉
Poienarii Burchii,波耶納里布爾基鄉
Răchiteni,勒基泰尼鄉
Vladimir,弗拉迪米爾鄉
Dumbrăveni,敦布勒韋尼鄉
Târgșoru Vechi,舊特爾格紹魯鄉
Crevedia,克雷韋迪亞鄉
Malu cu Flori,馬盧庫弗洛里鄉
Teatrul Național „Vasile Alecsandri” din Iași,雅西国家剧院
gara Iași,雅西站
Bătălia de la Argeș,攻擊
Istria,伊斯特里亞鄉
Mereni,梅雷尼鄉
Siliștea,錫利什泰亞鄉
Albești,阿爾貝什蒂鄉
Ștefan cel Mare,斯特凡大帝
Gavojdia,加沃伊迪亞鄉
Tormac,托爾馬克鄉
Ohaba Lungă,奧哈巴隆格鄉
Cernica,切爾尼卡鄉
Turcoaia,圖爾夸亞鄉
Poienari,波耶納里鄉
Probota,普羅博塔鄉
Belcești,貝爾切什蒂鄉
Bistrița Bârgăului,伯爾格烏山麓比斯特里察鄉
Topolog,托波洛格鄉
Peceneaga,佩切內亞加鄉
Pietroșița,彼得羅希察鄉
Porumbești,波魯姆貝什蒂鄉
Clejani,克萊扎尼鄉
Focuri,福庫里鄉
Fântânele,芳特內萊鄉
Șieuț,謝烏茨鄉
Valea Teilor,泰伊洛爾鄉
Muzeul Național de Artă Contemporană,國家當代藝術美術館
Arhivele Naționale ale României,羅馬尼亞國家檔案館
Remetea Mare,大雷梅泰亞鄉
Orăștioara de Sus,上奧勒什蒂瓦拉鄉
Vama,瓦馬鄉 (蘇恰瓦縣)
Giroc,吉羅克鄉
Botiza,博蒂扎鄉
Saschiz,薩斯基茲鄉
Sălsig,瑟爾西格鄉
Somova,索莫瓦鄉
Pardina,帕爾迪納鄉
Smârdan,斯馬爾丹鄉
Stejaru,斯泰亞魯鄉
Sarichioi,薩里基奧伊鄉
Prundu Bârgăului,伯爾格烏山麓普倫杜鄉
Stănești,斯特內什蒂鄉
Valea Nucarilor,努卡里洛爾鄉
Josenii Bârgăului,伯爾格烏山麓若塞尼鄉
Relațiile dintre România și China,中國－羅馬尼亞關係
Doba,多巴鄉
Băsești,伯謝什蒂鄉
Dorolț,多羅爾茨鄉
Asuaju de Sus,上阿蘇阿茹鄉
Movileni,莫維萊尼鄉
Cilieni,奇利耶尼鄉
Slobozia,斯洛博齊亞鄉
Tudora,圖多拉鄉
Carcaliu,卡爾卡柳鄉
Șiștarovăț,希什塔羅沃茨鄉
Șofronea,紹夫羅內亞鄉
Pir,皮爾鄉
Viile Satu Mare,維萊薩圖馬雷鄉
Nanov,納諾夫鄉
Șimonești,希莫內什蒂鄉
Văcăreni,沃克雷尼鄉
Socond,索孔德鄉
Balșa,巴爾沙鄉
Bixad,比克薩德鄉
Bătarci,伯塔爾奇鄉
Liești,列什蒂
Margina,馬爾吉納鄉
Fârdea,弗爾代亞鄉
Sfântu Gheorghe,聖格奧爾基鄉
Poienile Izei,波耶尼萊伊澤鄉
Zerind,澤林德鄉
Peștera,佩什泰拉鄉
Dorohoi,多罗霍伊县
Brebu Nou,新布雷布鄉
Criciova,克里喬瓦鄉
Jamu Mare,大亞穆鄉
Institutul Național de Statistică,羅馬尼亞國家統計研究所
Partidul Național-Socialist,羅馬尼亞國家社會主義黨
Florica,弗洛里卡鄉
Băleni,伯萊尼鄉
Gostinu,戈斯蒂努鄉
Cosoba,科索巴鄉
Cuca,庫卡鄉
Grindu,格林杜鄉
Dăeni,德埃尼鄉
Tufești,圖費什蒂鄉
Matca,馬特卡鄉
Cămărzana,克默爾扎納鄉
Ruscova,魯斯科瓦鄉
Botiz,博蒂茲鄉
Malu,馬盧鄉
Mărculești,默爾庫萊什蒂鄉
Chindia Târgoviște,舒連迪亞泰哥維斯特足球會
Dobreni,多布雷尼鄉
Jurilovca,茹里洛夫卡鄉
Izvoarele,伊茲瓦雷萊鄉
Moldoveni,摩爾多韋尼鄉
Săcălășeni,瑟克勒謝尼鄉
educația în România,羅馬尼亞
Ilfov,伊尔福夫河
Noua Republică (partid),羅馬尼亞新共和黨
Universitatea Tehnică din Cluj-Napoca - Centrul Universitar Nord din Baia Mare,拜亞麥爾北部大學
Târnova,特爾諾瓦鄉
Șimand,希曼德鄉
Tortoman,托爾托曼鄉
Corbu,科爾布鄉
Groșii Țibleșului,格羅希齊布萊舒盧伊鄉
Armata 1,第1军团
Flora României,羅馬尼亞植物相
Tansa,坦薩鄉
Valea Ursului,烏爾蘇盧伊鄉
Popești,波佩什蒂鄉
Gârcina,格爾西納鄉
Tașca,塔什卡鄉
Mogoșești,莫戈謝什蒂鄉
Borlești,博爾萊什蒂鄉
Săpânța,瑟彭察鄉
Berzovia,貝爾佐維亞鄉
Vărădia de Mureș,穆列什河畔沃勒迪亞鄉
Schitu Duca,斯基圖杜卡鄉
Certeze,切爾泰澤鄉
Valea Vinului,葡萄酒谷村鄉
Cehal,塞哈爾鄉
Apa,阿帕鄉
Farcașa,法爾卡沙鄉
Maliuc,馬柳克鄉
Românești,羅默內什蒂鄉
Hangu,漢古鄉
RCJ Farul Constanța,康斯坦察法鲁尔
Turulung,圖魯隆格鄉
Lazuri,拉祖里鄉
Dumbrăvița,敦布勒維察鄉
Vetiș,韋蒂什鄉
Santău,桑特烏鄉
Suciu de Sus,上蘇丘鄉
Tauț,塔烏茨鄉
Repedea,雷佩代亞鄉
Costache Negri,科斯塔凱內格里鄉
Hamcearca,哈姆恰爾卡鄉
Brusturi,布魯斯圖里鄉
Scânteia,斯肯泰亞鄉
Palatul Elisabeta,伊莉莎白宮
Zădăreni,澤德雷尼鄉
Vama,瓦馬鄉
Șimian,希米安鄉
Micula,米庫拉鄉
Lumina,盧米納鄉
Ghiroda,吉羅達鄉
Nădrag,訥德拉格鄉
Livezile,利韋濟萊鄉
Stănița,斯特尼察鄉
Târșolț,特爾紹爾茨鄉
Gârdani,格爾達尼鄉
Căpleni,克普萊尼鄉
Ususău,烏蘇瑟烏鄉
Kiss FM,羅馬尼亞 Kiss FM
Grumăzești,格魯默澤什蒂鄉
Girov,吉羅夫鄉
Secuieni,塞庫耶尼鄉
Roșcani,羅什卡尼鄉
Pechea,佩凱亞鄉
Răucești,勒烏切什蒂鄉
Tătăruși,特特魯希鄉
Săvinești,瑟維尼什蒂鄉
Terebești,泰雷貝什蒂鄉
Cămin,克明鄉
Călinești,克利內什蒂鄉
Gherța Mică,小蓋爾察鄉
Ghencea,根恰
Popricani,波普里卡尼鄉
Valea Seacă,塞亞克鄉
Sirețel,錫雷采爾鄉
Vlădeni,弗勒代尼鄉
Fălciu,弗尔丘县
Podoleni,波多萊尼鄉
Statuia Lupa Capitolina din Cluj,母狼乳婴雕像
Ghidigeni,吉迪傑尼鄉
Murighiol,穆里吉奧爾鄉
Ceatalchioi,恰塔爾基奧伊鄉
Mironeasa,米羅內亞薩鄉
Saligny,薩利格尼鄉
Petricani,佩特里卡尼鄉
Urecheni,烏雷凱尼鄉
Păstrăveni,珀斯特勒韋尼鄉
Peleș,佩萊什河
Partidul Poporului,人民黨
Stolniceni-Prăjescu,斯托爾尼切尼-普勒熱斯庫鄉
Sinești,錫內什蒂鄉
Prisăcani,普里瑟卡尼鄉
Pângărați,彭格拉齊鄉
Pipirig,皮皮里格鄉
Gherăești,蓋勒埃什蒂鄉
Cordun,科爾敦鄉
Icușești,伊庫謝什蒂鄉
Dumești,杜梅什蒂鄉
Consiliul General al Municipiului București,布加勒斯特市议会
Căuaș,克瓦什鄉
Copalnic-Mănăștur,科帕爾尼克-默訥什圖爾鄉
Pișcolt,皮什科爾特鄉
Pomi,波米鄉
Hălăucești,赫勒烏切什蒂鄉
Golăiești,戈勒耶什蒂鄉
Bălușeni,伯盧謝尼鄉
Ripiceni,里皮切尼鄉
Crucișor,克魯西紹爾鄉
Cupșeni,庫普謝尼鄉
Boiu Mare,大博尤鄉
Groși,格羅希鄉
Medieșu Aurit,梅迪耶蘇奧里特鄉
Recea,雷恰鄉
Turț,圖爾特
Bălata,巴拉塔村
Premiile Gopo,戈波獎
Șilindia,希林迪亞鄉
Săcășeni,瑟克謝尼鄉
Pesac,佩薩克鄉
Valea Chioarului,基瓦魯盧伊鄉
Fundația Antarctică Română,罗马尼亚南极基金会
Oniceni,奧尼切尼鄉
Comănești,科默內什蒂鄉
Rediu,雷迪烏鄉
Poiana Teiului,波亞納泰尤盧伊鄉
Timișești,蒂米謝什蒂鄉
Liga Apărării Național-Creștine,全国基督徒防御联盟
Valea Largă,拉爾格鄉
Brâncovenești,布倫科韋內什蒂鄉
Albești,阿爾貝什蒂鄉
Neaua,尼亞瓦鄉
Cernești,切爾內什蒂鄉
Budești,布代什蒂鄉
Remetea Chioarului,雷梅泰亞基瓦魯盧伊鄉
Cașoca,卡索卡海
Orașu Nou,新奧拉舒鄉
Acâș,阿克什鄉
Ardusat,阿爾杜薩特鄉
Coaș,夸什鄉
Botești,博泰什蒂鄉
Sâncrăieni,聖克勒耶尼鄉
Satu Mare,薩圖馬雷鄉
Fântânele,芳特內萊鄉
Ghioroc,吉奧羅克鄉
Bivolari,比沃拉里鄉
Miroslovești,米羅斯洛韋什蒂鄉
Ceplenița,切普萊尼察鄉
Ungureni,溫古雷尼鄉
Vânători,沃訥托里鄉
Bălăbănești,伯勒伯內什蒂鄉
Valea Lupului,盧普盧伊鄉
C.A. Rosetti,C.A.羅塞蒂鄉
Fărcașa,弗爾卡沙鄉
Poplaca,波普拉卡鄉
Vima Mică,小維馬鄉
Coroieni,科羅耶尼鄉
Păulești,珀烏萊什蒂鄉
Tomești,托梅什蒂鄉
Ieud,耶烏德鄉
Bogdan Vodă,波格丹大公鄉
județele României,县
Piscu,皮斯庫鄉
Plugari,普盧加里鄉
Todirești,托迪雷什蒂鄉
Voinești,沃伊內什蒂鄉 (雅西縣)
Închisoarea Râmnicu Sărat,勒姆尼库瑟拉特监狱
Nușfalău,努什法勒烏鄉
Mihail Kogălniceanu,米哈伊爾科格爾尼恰努鄉
Sândominic,聖多米尼克鄉
Cristian,克里斯蒂安鄉
Heleșteni,海萊什泰尼鄉
Brăești,布勒埃什蒂鄉
Butea,布泰亞鄉
Ciurea,丘雷亞鄉
Partidul Național Creștin,國家基督教黨
Măgherani,默蓋拉尼鄉
Ogra,奧格拉鄉
Iclănzel,伊克倫澤爾鄉
Cucerdea,庫切爾代亞鄉
Toporu,托波魯鄉
Schela,斯凱拉鄉
Răsuceni,勒蘇切尼鄉
Roata de Jos,下羅阿塔鄉
Băiuț,伯尤茨鄉
Berzasca,貝爾扎斯卡鄉
Felnac,費爾納克鄉
Craidorolț,克賴多羅爾茨鄉
Balș,巴爾什鄉
Ciortești,喬爾泰什蒂鄉
Bârnova,伯爾諾瓦鄉
Deleni,代萊尼鄉
Răuseni,勒烏塞尼鄉
George Enescu,喬治埃內斯庫村鄉
Lețcani,萊茨卡尼鄉
Erbiceni,埃爾比切尼鄉
Chiheru de Jos,下基海魯鄉
Blăjel,布勒熱爾鄉
Solovăstru,索洛沃斯特魯鄉
Suseni,蘇塞尼鄉
Vărgata,沃爾加塔鄉
Victoria,維多利亞鄉
Andrieșeni,安德列謝尼鄉
Ipatele,伊帕泰萊鄉
Coarnele Caprei,夸爾內萊卡普雷伊鄉
Umbrărești,溫布勒雷什蒂鄉
Gropnița,格羅普尼察鄉
Hudești,胡代什蒂鄉
Cristești,克里斯泰什蒂鄉
Cozmești,科茲梅什蒂鄉
Costești,科斯泰什蒂鄉
Atid,阿提德
Cotmeana,科特梅亞納鄉
Lenauheim,萊瑙海姆鄉
Ciumești,丘梅什蒂鄉
Bulbucata,布爾布卡塔鄉
Comana,科馬納鄉
Crușeț,克魯謝茨鄉
Joița,若伊察鄉
Oinacu,奧伊納庫鄉
Gostinari,戈斯蒂納里鄉
Coteana,科泰亞納鄉
Bârza,伯爾扎鄉
Văculești,沃庫萊什蒂鄉
Alexandru I. Cuza,亞歷山德魯伊萬庫扎鄉
Costuleni,科斯圖萊尼鄉
Frumușica,弗魯穆希卡鄉
Grozești,格羅澤什蒂鄉
Viișoara,維什瓦拉鄉
Ion Neculce,揚內庫爾切鄉
Stăuceni,斯特烏切尼鄉
Trifești,特里費什蒂鄉
Mărtiniș,默爾蒂尼什鄉
Sânpetru de Câmpie,聖彼得魯德肯皮耶鄉
Papiu Ilarian,帕皮尤伊拉里揚鄉
Șincai,欣卡伊鄉
Vedea,韋代亞鄉
Schitu,斯基圖鄉
Voivodeni,沃伊沃代尼鄉
Comarna,科馬爾納鄉
Hotarele,霍塔雷萊鄉
Oboga,奧博加鄉
Izbiceni,伊茲比切尼鄉
Lunca Bradului,倫卡布拉杜盧伊鄉
Livezeni,利韋澤尼鄉
Vărșag,沃爾沙格鄉
Fărăgău,弗勒格烏鄉
Sâniob,瑟尼奧布鄉
Greaca,格雷亞卡鄉
Călugăreni,克盧格雷尼鄉
Crevedia Mare,大克雷韋迪亞鄉
Letca Nouă,新萊特卡鄉
Gogoșari,戈戈沙里鄉
Corbu,科爾布鄉
Ghimpați,京帕齊鄉
Alunu,阿盧努鄉
Bichiș,比基什鄉
Suseni,蘇塞尼鄉
Feliceni,費利切尼鄉
Leliceni,萊利切尼鄉
Mihai Bravu,米哈伊布拉武鄉 (久爾久縣)
Mârșa,馬爾沙鄉
Buturugeni,布圖魯傑尼鄉
Ogrezeni,奧格雷澤尼鄉
Grădinari,格勒迪納里鄉
Valea Prahovei,普拉霍瓦山谷
prefect,县长
Găujani,格烏扎尼鄉
Gârcov,格爾科夫鄉
Cezieni,切濟耶尼鄉
Vânătorii Mici,小沃訥托里鄉
Singureni,辛古雷尼鄉
Băița de sub Codru,伯伊察德蘇布科德魯鄉
Bahnea,巴赫尼亞鄉
Sânmartin,聖馬丁鄉
Zau de Câmpie,扎烏德肯皮耶鄉
Sănduleni,森杜萊尼鄉
Ciohorăni,喬霍勒尼鄉
Crucea,克魯恰鄉
Drăgușeni,德勒古謝尼鄉
Herăști,海勒什蒂鄉
Milcoiu,米爾科尤鄉
Otelec,奧泰萊克鄉
Dealu,迪亞盧鄉
Adămuș,阿德穆什鄉
Ditrău,迪特勒烏鄉
Roșia,羅希亞鄉
Săcel,瑟切爾鄉
Joseni,若塞尼鄉
Chețani,凱察尼鄉
Grebenișu de Câmpie,格雷貝尼舒德肯皮耶鄉
Polus Center Cluj,VIVO！
Sala Polivalentă din Cluj-Napoca,BT体育馆
Bogata,博加塔鄉
Bălăușeri,伯勒烏謝里鄉
Hodoșa,霍多沙鄉
Geoparcul Dinozaurilor „Țara Hațegului”,哈采格恐龍地質公園
Pănet,珀內特鄉
Zetea,澤泰亞鄉
Viișoara,維什瓦拉鄉
Merești,梅雷什蒂鄉
Putineiu,普蒂內尤鄉
Căpreni,克普雷尼鄉
Ulmi,烏爾米鄉
Găiseni,格伊塞尼鄉
Valea Mare,大谷鄉
Președinte al Camerei Deputaților din România,眾議院議長
președinte al Senatului României,羅馬尼亞參議院議長
Hodac,霍達克鄉
Miheșu de Câmpie,米海舒德肯皮耶鄉
Aluniș,阿盧尼什鄉
Crăciunești,克勒丘內什蒂鄉
Suplac,蘇普拉克鄉
Șura Mare,大舒拉鄉
Rășinari,勒希納里鄉
Iecea Mare,大耶恰鄉
Ulieș,烏列什鄉
Vețca,韋茨卡鄉
Șăulia,舍烏利亞鄉
Gurghiu,古爾吉烏鄉
Bălănești,伯勒內什蒂鄉
Vărăști,沃勒什蒂鄉
Berlești,貝爾萊什蒂鄉
Bucșani,布克沙尼鄉 (久爾久縣)
Prundeni,普倫代尼鄉
Sânpaul,聖保羅鄉
Beica de Jos,下貝伊卡鄉
Lovrin,洛夫林鄉
Moșna,莫什納鄉
Merghindeal,梅爾京代亞爾鄉
Pogăceaua,波格恰瓦鄉
Ojdula,奧伊杜拉鄉
Periam,佩里亞姆鄉
Vânători,沃訥托里鄉
Stânceni,斯滕切尼鄉
Ceuașu de Câmpie,切瓦舒德肯皮耶鄉
Petelea,佩泰萊亞鄉
Gănești,格內什蒂鄉
Fântânele,芳特內萊鄉
Lunca de Sus,上倫卡鄉
Romuli,羅穆利鄉
Țibana,齊巴納鄉
Mihăileni,米赫伊萊尼鄉
Nocrich,諾克里克鄉
Dârlos,德爾洛斯鄉
Rușii-Munți,魯希-蒙齊鄉
Mereni,梅雷尼鄉
Lăzarea,勒扎雷亞鄉
Vurpăr,武爾珀爾鄉
Ilieni,伊利耶尼鄉
Păuleni-Ciuc,珀烏萊尼-丘克鄉
Gheorghe Doja,格奧爾基多亞鄉
Cuci,庫奇鄉
Cozma,科茲馬鄉
Biserica reformată din Sibiu,锡比乌归正会教堂
Piața Mare din Sibiu,锡比乌大广场
Dumitrița,杜米特里察鄉
Ideciu de Jos,下伊代丘鄉
Brădeni,布勒代尼鄉
Gălești,格萊什蒂鄉
RATBV,布拉索夫公共交通
Storojineț,斯托羅伊內茨縣
Stadionul Orășenesc (Buftea),城市體育場
CTP Iași,雅西公交公司
Stadionul Berceni,貝真尼體育場
Băla,伯拉鄉
Păuca,珀烏卡鄉
Șeica Mică,小謝伊卡鄉
Răstolița,勒斯托利察鄉
Justiția în România,罗马尼亚司法制度
"Covasna, Negru",科瓦斯纳河
Târnava,特爾納瓦鄉
Hoghilag,霍吉拉格鄉
Sâncraiu de Mureș,穆列什河畔聖克拉尤鄉
Breaza,布雷亞扎鄉
Bodoc,博多克鄉
Dănești,德內什蒂鄉
Ibănești,伊伯內什蒂鄉
Cristești,克里斯泰什蒂鄉
Lunca de Jos,下倫卡鄉
Subcetate,蘇布切塔泰鄉
Racu,拉庫 (羅馬尼亞)
Brateiu,布拉泰尤鄉
Tușnad,圖什納德鄉
Lupeni,盧佩尼鄉
Ațintiș,阿欽蒂什鄉
Ocland,奧克蘭德鄉
ACS Poli Timișoara,波利蒂米甚瓦拉協會體育俱樂部
primar general al municipiului București,市長
România la Jocurile Olimpice de iarnă din 2014,2014年冬季奧林匹克運動會羅馬尼亞代表團
Praid,普拉伊德鄉
Frumoasa,弗魯莫阿薩鄉
Șura Mică,小舒拉鄉
Hodod,霍多德鄉
Pasul Vâlcan,弗爾坎
Graiul moldovenesc,摩尔多瓦方言
Monetăria Statului,罗马尼亚造币厂
Blejoi,布萊若伊鄉
Radio Impuls,冲动电台
NPCR,罗马尼亚共产党 (2010年)
Noul val românesc,羅馬尼亞電影新浪潮
Echipa națională de fotbal a României sub 20,羅馬尼亞20歲以下足球代表隊
Boghiș,博吉什鄉
Colți,科爾齊鄉
Dârmănești,德爾默內什蒂鄉
Dărmănești,德爾默內什蒂鄉
Drăgănești,德勒格內什蒂鄉
Corbeni,科爾貝尼鄉
Nucet,努切特鄉
Relațiile româno-ucrainene,乌克兰－罗马尼亚关系
Complexul expozițional Romexpo,罗马尼亚展览中心
România Liberă,自由罗马尼亚报
Bogdand,博格丹德鄉
Partidul Social Democrat Român,罗马尼亚社会民主党
Corpurile Voluntarilor Români din Rusia,特蘭西瓦尼亞─布科維納志願軍
"alegeri parlamentare în România, 2016",2016年羅馬尼亞國會選舉
Locul fosilifer cu dinozauri Sânpetru,桑佩特罗组
Drăgoiești,德勒戈耶什蒂鄉
Fântânele,芳特內萊鄉
Hășmaș,赫什馬什鄉
"Alegeri prezidențiale în România, 2014",2014年罗马尼亚总统选举
Bacău,巴克烏
Armata 2,第2軍團
Biserica Sfântul Spiridon Nou,聖斯皮里東新教堂
Săcele,瑟切萊鄉
Mare,罗尔玛尔河
SCM Universitatea Craiova,克拉約瓦大學
Braniștea,布拉尼什泰亞
Maramureș,馬拉穆列什
Smeeni,斯梅埃尼鄉
Broșteni,布羅什泰尼 (蘇恰瓦縣)
Luncavița,隆卡維察鄉
Vânători de munte,羅馬尼亞山地部隊
Morteni,莫爾泰尼鄉
Vasluieț,瓦斯卢伊河
Energia eoliană în România,罗马尼亚风电
Bruiu,布魯尤鄉
Carpații Moldo-Transilvani,摩尔达维亚-特兰西瓦尼亚喀尔巴阡山脉
Euro Tower,歐元塔
Izvoarele Sucevei,伊茲瓦雷萊蘇切韋鄉
Regimul de vize pentru cetățenii români,羅馬尼亞公民簽證要求
Unirea,烏尼雷亞鄉
Vădeni,沃代尼鄉
Victoria,維多利亞鄉
Mausoleul de la Mărășești,默勒謝什蒂陵墓
Bucoșnița,布科什尼察鄉
