François Hollande,프랑수아 올랑드
Luka Karabatic,뤼카 카라바티치
Pierre Choderlos de Laclos,피에르 쇼데를로 드 라클로
Jean-Léon Gérôme,장레옹 제롬
Charles Trenet,샤를 트르네
Catherine Mouchet,카트린 무셰
Sarah Biasini,사라 비아시니
Gilles Simon,질 시몽
Maurice Merleau-Ponty,모리스 메를로퐁티
Eugène Boudin,외젠 부댕
Jean-Philippe Gatien,장필리프 가티앵
Élisabeth Vigée Le Brun,엘리자베트 비제 르 브룅
Jane Birkin,제인 버킨
Pierre Ier (roi de Serbie),페타르 1세
Johnny Hallyday,조니 알리데
Steven Nzonzi,스티븐 은존지
Christophe Jallet,크리스토프 자예
Désirée Clary,데지레 클라리
Patrick Timsit,패트릭 팀싯
André Roussin,앙드레 루생
Nicolas Flamel,니콜라 플라멜
Marin Marais,마랭 마레
Arthur Adamov,아르튀르 아다모프
Anatole Litvak,아나톨 리트박
Moses Hess,모세 헤스
Édouard Daladier,에두아르 달라디에
Anne Marivin,안 마리뱅
Line Renaud,린 르노
Marie-Claire Restoux,마리클레르 레스투
Laurent Schwartz (mathématicien),로랑 슈바르츠
Jean-Pierre Serre,장피에르 세르
André Néron,앙드레 네롱
Henri Donnedieu de Vabres,앙리 돈디유 드 바브르
Caroline Proust,카롤린 프루스트
Léa Drucker,레아 드뤼케르
Philippe Jaroussky,필리프 자루스키
Laura Smet,로라 스메트
Savinien de Cyrano de Bergerac,시라노 드 베르주라크
Hans Bellmer,한스 벨머
Henri Fayol,앙리 파욜
Charles François Dumouriez,샤를프랑수아 뒤 페리에 뒤무리에
Pépin II d'Aquitaine,피피누스 2세 (아키텐)
Jean Galfione,장 갈피온
Jean Clouet,장 클루에
Louise Colet,루이즈 콜레
Madeleine Robinson,마델라인 로빈슨
Alexandre Brongniart,알렉상드르 브롱니아르
Kevin Constant,케뱅 콘스탕
André Téchiné,앙드레 테시네
Khatia Buniatishvili,카티아 부니아티슈빌리
Jacques Rancière,자크 랑시에르
Jacques Le Goff,자크 르 고프
Jean Nouvel,장 누벨
Félix Houphouët-Boigny,펠릭스 우푸에부아니
Samantha Cristoforetti,사만타 크리스토포레티
Paco Rabanne,파코 라반
Joseph Liouville,조제프 리우빌
Pierre Bayle,피에르 벨
Gilad Shalit,길라드 샬리트
Charles Richet,샤를 리셰
Clotilde Courau,클로틸드 쿠로
Pierre Reverdy,피에르 르베르디
Charles-Marie Widor,샤를마리 비도르
Modeste M'Bami,모데스트 음바미
Dominique Vivant Denon,도미니크 비방 드농
Dominique-Jean Larrey,도미니크장 라레
Henri de La Rochejaquelein,앙리 드 라 로슈자클랭
Henry de Montherlant,앙리 드 몽테를랑
Aïssa Maïga,아이사 마이가
Camélia Jordana,카멜리아 조르다나
Rina Ketty,리나 케티
Yodelice,요델리스
Claire Voisin,클레르 부아쟁
Didier Six,디디에 시스
Dany Boon,대니 분
Laurent Terzieff,로랑 테르지에프
Mohamed Diamé,모아메드 디아메
Mehdi Nafti,메디 나프티
Jean Martinon,장 마르티농
Jean-Paul Roussillon,장폴 루시용
Véronique Jannot,베로니크 자노
Cristobal Huet,크리스토발 위에
Jules Guesde,쥘 게드
François-Marie Raoult,프랑수아-마리 라울
Eugène Cavaignac,외젠 카베냐크
Eugène Labiche,외젠 라비슈
César (sculpteur),세자르 발다치니
Jean-Baptiste Arban,장바티스트 아르방
Pierre-Paul Prud'hon,피에르폴 프뤼동
Basile Boli,바질 볼리
François-Xavier Ortoli,프랑수아그자비에 오르톨리
Alain Finkielkraut,알랭 핑켈크로트
Maurice Duverger,모리스 뒤베르제
Mimsy Farmer,밈시 파머
Marc Isambart Brunel,마크 이점바드 브루넬
Jules Pascin,줄스 파스킨
Patrice Loko,파트리스 로코
François l'Olonnais,프랑수아 롤로네
Richard Belzer,리차드 벨저
Félix Gouin,펠릭스 구앵
Maurice Bourgès-Maunoury,모리스 부르제모누리
Augustin Thierry,오귀스탱 티에리
Manu Dibango,마뉘 디방고
James Tissot,제임스 티소
Didier Dinart,디디에 디나르
Ingrid Chauvin,잉그리드 쇼뱅
Michaël Guigou,미카엘 기구
Joseph Guillemot,조제프 기예모
Luc Abalo,뤼크 아발로
Corinne Calvet,코린 칼베
François Ier de Lorraine,프랑수아 1세 드 로렌
Charles d'Orléans (1459-1496),샤를 도를레앙 (1459년)
Marianne Basler,마리안느 바슬레르
Pierre Lescot,피에르 레스코
Jason Lamy-Chappuis,자송 라미샤퓌
Gesaffelstein,게사펠슈타인
Ousmane Dabo,우스만 다보
Norodom Ranariddh,노로돔 라나리드
Pierre Quinon,피에르 키농
Maurice Rouvier,모리스 루비에
Michel Duchaussoy,미셸 뒤쇼수아
Jean-Louis Koszul,장루이 코쥘
Chimène Badi,시멘 바디
Malia Metella,말리아 므텔라
Géraldine Pailhas,제랄딘 펠라스
Sylvain Chomet,실뱅 쇼메
Pascale Ogier,파스칼 오지에
Charlotte Perriand,샬로트 페리앙
Micheline Presle,미셸린 프레슬
Philippe de France (1116-1131),필리프 드 프랑스 왕자 (1116년)
Jean de Matha,마타의 성 요한
Bastien Vivès,바스티앙 비베스
Jean-François Chalgrin,장 샬그랭
Louis Leterrier,루이 르테리에
Bernard Giraudeau,베르나르 지로도
Philippe Séguin,필리프 세귄
Catherine Fleury-Vachon,카트린 플뢰리
Jean Vanier,장 바니에
Guy-Manuel de Homem-Christo,기마누엘 드 오멩크리스토
René Grousset,르네 그루세
Roger Vadim,로제 바딤
Maxime Bossis,막심 보시
Yvan Goll,이반 골
Sébastien Foucan,세바스티앵 푸캉
Nicole Calfan,니콜 칼팬
M. Pokora,M. 포코라
Gilles de Rome,에지디우스 로마누스
Florence Pernel,플로랑스 페르넬
Gaël Touya,가엘 투야
Lucille Younge,루실 영
Alaixys Romao,알렉시스 로마오
Jacques Audiard,자크 오디아르
Louis Garrel,루이 가렐
Charles III (prince de Monaco),샤를 3세 (모나코)
André Michelin,앙드레 미슐랭
John Berger,존 버거
Maine de Biran,멘드비랑
Séverine Caneele,세브린 카네일러
Mélanie Doutey,멜라니 두티
Antoine-François Fourcroy,앙투안 프랑수아 푸르크루아
Hélène Rollès,엘렌 롤레스
Alexandre Aja,알렉상드르 아자
Louis-Joseph de France,프랑스 도팽 루이 조제프
F. R. David,F. R. 데이비드
Jean-Pierre Vernant,장 피에르 베르낭
Jules Barbier,쥘 바르비에
Thierry Lhermitte,티에리 레미트
Louis III d'Anjou,루이 3세 당주
Anne Wiazemsky,안 비아젬스키
Guillaume Gille,기욤 질
Thomas Bangalter,토마 방갈테르
Dominique Strauss-Kahn,도미니크 스트로스칸
Vincent Clerc,뱅상 클레르
Jules Antoine Lissajous,쥘 앙트완 리사주
Chantal Goya,샹탈 고야
Jennifer Decker,제니퍼 덱커
Milan Biševac,밀란 비셰바츠
Eugène Lourié,외젠 루리에
André Antoine (homme de théâtre),앙드레 앙투안
Firmine Richard,피르민 리샤르
Alain Chabat,알랭 샤바
Jacques Herbrand,자크 에르브랑
Françoise Giroud,프랑수아즈 지루
Angelin Preljocaj,앙줄랭 프렐조카주
Auguste Dupin,오귀스트 뒤팽
Anne Vernon,안 베르농
Françoise de Graffigny,프랑수아즈 드 그라피니
Robert-François Damiens,로베르 프랑수아 다미앵
Alexandre Tansman,알렉산데르 탄스만
Anny Duperey,아니 뒤프레
Pierre Poujade,피에르 푸자드
Yvonne Printemps,이본 프랭탕
Michel Théato,미셸 테아토
Nicolas Godin (musicien),니콜라스 고댕
Emmanuel Mouret,에마뉘엘 무레
Roxane Mesquida,록산 메스키다
Edwige Feuillère,에드비주 푀예르
Amédée Courbet,아메데 쿠르베
Anémone (actrice),아네몬
Jean-Claude Carrière,장클로드 카리에르
Isabelle Renauld,이자벨 르노
Patrick Dewaere,파트릭 드베르
Antoine Barnave,앙투안 바르나브
Chrétien Guillaume de Lamoignon de Malesherbes,크레티앵 기욤 드 라무아뇽 드 말제르브
Jean Langlais,장 랑글레
Olivier Assayas,올리비에 아사야스
Jean-Louis Tauran,장루이 토랑
Gonzalo Higuaín,곤살로 이과인
Luc Besson,뤼크 베송
Christine Lagarde,크리스틴 라가르드
William Bouguereau,윌리암 아돌프 부그로
Stanley Weber,스탄레 베버
Wang Xiaoming,왕샤오밍
Maurice de Guérin,모리스 드 게랭
Antoine-Louis Barye,앙투안루이 바리
Alexandra Stewart,알렉산드라 스튜어트
Ahmed Abdallah Abderamane,아흐메드 압달라
Charles IV de Bourbon,샤를 드 방돔 공작
Louis de Luxembourg-Saint-Pol,루이 드 뤽상부르생폴
Jean Goujon,장 구종
Mathieu Kassovitz,마티외 카소비츠
Agathe de La Fontaine,아가시 데 라 폰테인
Agathe Bonitzer,아가트 보니처
Camille Abily,카미유 아빌리
Joseph Caillaux,조제프 카요
Lassana Diarra,라사나 디아라
Choi Min-kyung,최민경 (쇼트트랙 선수)
Louis Saha,루이 사아
Catherine Jourdan,카트린 주르당
Jean-Pierre Aumont,장피에르 오몽
Jean-Marc Barr,장마르크 바
Pierre Balmain,피에르 발망
"Luc de Clapiers, marquis de Vauvenargues",뤽 드 클라피에르 드 보브나르그 후작
Paul Scarron,폴 스카롱
Roschdy Zem,로슈디 젬
Isild Le Besco,이실드 르 베스코
Catherine Hessling,카트린 에슬랭
Sophie Guillemin,소피 기유맹
Denise Darcel,데니스 다셀
Anatole Deibler,아나톨 데이브레르
Anamaria Vartolomei,아나마리아 바르톨로메이
Kim Woo-choong,김우중
Henri d'Orléans (1933-2019),앙리 도를레앙 (1933년)
Lucien Muller,뤼시앙 뮈예르
Jean-François Richet,장프랑수아 리셰
Pierre Jolivet,피에르 졸리베
Aristide Bruant,아리스티드 브뤼앙
Zoran Rendulić,조란 렌둘리치
Edgar Quinet,에드가 키네
Francis Ponge,프랑시스 퐁주
Pierre-Laurent Wantzel,피에르 방첼
Henri Mouhot,앙리 무오
Jacques Tits,자크 티츠
Raphaël Varane,라파엘 바란
Marpessa Dawn,마르페사 돈
Laurent Malet,로랭 말레
Christophe Honoré,크리스토프 오노레
Cyrille Thouvenin,시릴 투베냉
Michel de L'Hospital,미셸 드 로피탈
Lilyan Chauvin,릴리안 쇼빈
Benoît-Joseph Labre,베네딕토 요셉 라브르
René Guénon,르네 게농
Bakary Sako,바카리 사코
Ismaïl Ahmed Kader Hassan,이스마일 아흐메드 카다르 하산
Claire Chazal,클레르 샤잘
Molla Wagué,몰라 와귀에
Angelo Parisi,앙젤로 파리지
Jacques Philippe Marie Binet,자크 비네
Louis Ier de Bourbon,루이 1세 드 부르봉 공작
Corinne Touzet,코린 투제
Georges Mandjeck,조르주 망지크
Gilles Lellouche,질 를루슈
Pierre Terrail de Bayard,피에르 테라유 드 바야르
Youssouf M'Changama,유수프 음창가마
Arnaud Di Pasquale,아르노 디 파스쿠알
Caroline Loeb,캐롤라인느 로엡
Frédéric Le Play,피에르 기욤 프레데리크 르 플레
François Marty,프랑수아 마르티
Romane Bohringer,로만 보랭제
Catherine Frot,카트린 프로
Pierre Brice,피에르 브라이스
Georges Catroux,조르주 카트루
Pascal Quignard,파스칼 키냐르
Louis Aimé Augustin Le Prince,루이 르 프린스
Gabriel Yared,가브리엘 야레드
Antoine Fouquier-Tinville,푸키에 탱빌
George Steiner,조지 스타이너
Rachid Taha,라시드 타하
Christian Louboutin,크리스찬 루부탱
Claude Goudimel,클로드 구디멜
Gaspard Ulliel,가스파르 윌리엘
Georges Rayet,조르주 레이에
Jean-Dominique Cassini (1748-1845),장도미니크 카시니 (1748년)
Youssouf Hadji,유수프 하지
Augustin de Robespierre,오귀스탱 드 로베스피에르
Guillaume Gouix,기욤 구익스
Marcel Berger,마르셀 베르제
Jean Lecanuet,장 르카뉘에
Tsilla Chelton,실라 첼튼
Jean Fautrier,장 포트리에
James Mark Baldwin,제임스 마크 볼드윈
Claude Miller,클로드 밀러
Igor Markevitch,이고르 마르케비치
Jean de Dunois,장 드 뒤누아 백작
Théophile Delcassé,테오필 델카세
Dalida,달리다
Maxime Gonalons,막심 고날론
Nicolas Gillet,니콜라 지예
Suzanne Flon,쉬잔 플롱
Charles Munch,샤를 뮌슈
Quentin Dupieux,미스터 오이조
Steve Marlet,스테브 말레
Jacques-Nicolas Billaud-Varenne,자크니콜라 비요바렌
Alain Roche,알랭 로슈
Jean-Baptiste Régis,장 밥티스트 레지스
François de Neufville de Villeroy,제2대 빌레루아 공작 프랑수아 드 뇌빌
Louis II d'Anjou,루이 2세 당주
Musidora (actrice),무시도라
Louis-Joseph de Montcalm,루이조제프 드 몽칼름
Juliette Mayniel,쥘리에트 마이니엘
Benoît Magimel,브누아 마지멜
Anna Polina,안나 폴리나
Charles Frederick Worth,찰스 프레데릭 워스
Medhi Lacen,메드히 라센
Amandine Henry,아망딘 앙리
Emma Daumas,에마 도마
Denise Colomb,드니즈 콜롱
Adrien Proust,아드리앵 프루스트
Gérard Mourou,제라르 무루
Roger Caillois,로제 카유아
Taloula,탈 (가수)
René Viviani,르네 비비아니
Barbet Schroeder,바르베 슈뢰더
Amanda Lear,아만다 레아
Christine Boisson,크리스틴 보이슨
Bernard Genghini,베르나르 장기니
Bernadette Chirac,베르나데트 시라크
Amandine Bourgeois,아망딘 부르주아
Laurent Robert,로랑 로베르
Louis-Bernard Guyton-Morveau,루이베르나르 기통 드 모르보
Jean Hyppolite,장 이폴리트
Céline Tran,셀린 트랑
Joseph-Nicolas Delisle,조제프-니콜라 드릴
Olivier Martinez,올리비에 마르티네즈
Gislebert de Lotharingie,기셀베르투스 로타링기우스
Alain Perrin,알랭 페랭
Arthur III de Bretagne,아르튀르 3세 드 브르타뉴 공작
Guillaume Joli,기욤 졸리
Henri Milne Edwards,앙리 밀네두아르스
Sarah Bouhaddi,사라 부하디
Abbé Moigno,아베 무아뉴
Dominique René Vandamme,도미니크 방담
Géraldine Nakache,제랄딘 나카슈
Jules Bastien-Lepage,쥘 바스티앙르파주
Hafsia Herzi,하프시아 헤르지
Louis Jolliet,루이 졸리에
Charles III de Bourbon,샤를 3세 드 부르봉 공작
Jean VIII de Bourbon-Vendôme,장 8세 드 방돔 백작
Youssouf Mulumbu,유수프 물룸부
Antoine Dénériaz,앙투안 데네리아즈
Kenzō Takada,다카다 겐조
Morgane Dubled,모르강 뒤블레
Sofia Essaïdi,소피아 에사이디
Valérie Pécresse,발레리 페크레스
Martin Provost,마르탱 프로보스트
Vincent Lindon,뱅상 랭동
Lola Naymark,롤라 네마르크
Antoine Kombouaré,앙투안 콩부아레
La Esmeralda (personnage),에스메랄다 (가상의 인물)
Charles Angélique François Huchet de La Bédoyère,샤를 드 라 베도예
René-Jean Jacquet,르네장 자케
Vladimir Cosma,블라디미르 코스마
Eva Ionesco,에바 이오네스코
Amaury Leveaux,아모리 르보
Alexandre Tuffèri,알렉상드르 튀페르
Lizzy Mercier Descloux,리지 메르시에 데클루
Jean-Baptiste-Donatien de Vimeur de Rochambeau,로샹보 백작 장바티스트 도나티앵 드 비뫼르
Sandrine Soubeyrand,상드린 수베랑
Anna Maria Ferrero,안나 마리아 페레로
Tomi Ungerer,토미 웅거러
Marcel Domingo,마르셀 도밍고
Robert Casadesus,로베르 카자드쥐
Georges Lefebvre (historien),조르주 르페브르
Trần Anh Hùng,쩐아인훙
Jean-Yves Le Drian,장이브 르드리앙
Samuel Honrubia,사뮈엘 온루비아
Piotr Świerczewski,피오트르 시비에르체프스키
Delphine Chanéac,델핀 샤네아크
Sonia Bompastor,소니아 봉파스토르
Alexandre de Beauharnais,알렉상드르 드 보아르네
Jeanne Cherhal,잔 셰랄
Vivienne Chandler,비비엔느 챈들러
Alfred Manessier,알프레드 마네시에
Alexandre Villaplane,알렉상드르 빌라플랑
Cédric Sorhaindo,세드리크 소라인도
Laura Georges,로라 조르주
Marie Guillard,마리 길라르
Carlos Salzedo,카를로스 살제도
Fulbert Youlou,퓔베르 율루
Jean-Luc Ettori,장뤼크 에토리
Marie Tudor (1496-1533),잉글랜드 왕녀 메리 (1496년)
Jocelyne LaGarde,조셀린 라가르드
Monique Haas,모니크 아스
Charles Dullin,샤를 뒬랭
Antoine Rigaudeau,앙투안 리고도
Charles Mangin,샤를 망쟁
Antoine Griezmann,앙투안 그리즈만
Didier Deschamps,디디에 데샹
Lola Créton,롤라 크레통
Clémentine Célarié,클레망틴 셀라리에
Catherine Jacob,카트린 자코브
Nicolas Grunitzky,니콜라 그뤼니츠키
Eddie Constantine,에디 콘스탄틴
Christophe Guénot,크리스토프 게노
Audrey Fleurot,오드레 플뢰로
Alexandra Lamy,알렉산드라 라미
Guirane N'Daw,기란 은다우
Renée Lebas,르네 르바
Marina Foïs,마리나 푸아
Youssef El-Arabi,유세프 엘아라비
Alice de Lencquesaing,알리스 드랭크생
Charlotte Valandrey,샤를로트 발랑드레
Charlotte de Turckheim,샤를로트 드 튀르켐
Valérie Karsenti,발레리 카르센티
Joséphine de La Baume,조제핀 드 라 봄
Elli Medeiros,엘리 메데이로스
Joséphine de Meaux,조제핀 드 모
Cyril Raffaelli,시릴 라파엘리
Phœbus de Châteaupers,페뷔스 드 샤토페르
Michel Béroff,미셸 베로프
Michel Polnareff,미셸 폴나레프
Vitaa,비타 (가수)
Françoise Fabian,프랑수아즈 파비앙
Thomas Joannes Stieltjes,토마스 요아너스 스틸티어스
Louis-François de Bourbon-Conti,루이프랑수아 드 콩티 친왕
Joseph François Dupleix,조제프 프랑수아 뒤플렉스
Joseph Canteloube,조제프 캉틀루브
Jacques Perrin,자크 페랭
Pierre-Laurent Aimard,피에르-로랑 에마르
Henri de Massué,골웨이 백작 앙리 드 마스
Myriam Baverel,미리암 바베렐
Corbinien de Freising,코르비니아노
François Gaston de Lévis,프랑수아 가스통 드 레비
Mickaël Madar,미카엘 마다르
Henri Brisson,앙리 브리송
Robert de Montesquiou,로베르 드 몽테스키우
Bernard Cazeneuve,베르나르 카즈뇌브
Anselme Payen,앙셀름 파얜
Joseph Bodin de Boismortier,조제프 보댕 드 부아모르티에
Louis Hémon,루이 에몽
Vincent Elbaz,뱅상 엘바즈
Henri de Régnier,앙리 드 레니에
François Sagat,프랑수아 사가
Ernest Monis,에르네스트 모니
Fantine,팡틴
Henri-René Lenormand,앙리르네 르노르망
Jean Antoine Verdier,장앙투안 베르디에
Steeve Guénot,스테브 게노
Jean Ier de Lorraine,장 1세 드 로렌 공작
Raphaël Personnaz,라파엘 페르소나
Armand Gatti,아르망 가티
Valerio Adami,발레리오 아다미
Philippe Bergerôo,필리프 베르제로
Olivier Dahan,올리비에 다앙
Bruno Coulais,브뤼노 쿨레
Didier Agathe,디디에 아가트
Jean II de Lorraine,장 2세 드 로렌
Djamel Bouras,자멜 부라
Jean-Paul Dubois,장폴 뒤부아
Alexis Pinturault,알렉시 팽튀로
Alexandre Arcady,알렉상드르 아카디
Jordan Veretout,조르당 베레투
Charles Wolf,샤를 볼프
Jean II de Bourbon,장 2세 드 부르봉 공작
Ibrahima Traoré,이브라히마 트라오레
Brahim Lahlafi,브라힘 라흘라피
Héric de Beaujeu,에릭 드 보주
Théodore Duret,테오도르 뒤레
Philippe da Silva,필리피 다 시우바
Ash Crimson,애쉬 크림존
Anne Parillaud,안 파리요
Antoine Denis Chaudet,앙투안 드니 쇼데
Sándor Végh,산도르 베그
Henri Gouhier,앙리 구이예
Henri Dupuy de Lôme,앙리 듀푸이 드 롬
Georges Wilson,조르주 윌송
Anne L'Huillier,안 륄리에
Henriette de France (1727-1752),프랑스의 앙리에트
Georges Marchal (acteur),조르주 마르샬
Richard Bohringer,리샤르 보랭제
Bertrand Grospellier,베르트랑 그로스펠리에
Gavroche,가브로슈
Bernard Blier,베르나르 블리에
Charles V d'Anjou,샤를 5세 당주
Didier van Cauwelaert,디디에 반 코블라르트
Henry Padovani,앙리 파도바니
Jacques François Dugommier,자크 프랑수아 뒤고미에
Zhang Chongren,장충런
François Cluzet,프랑수아 클뤼제
Jacques Cathelineau,자크 카텔리노
Paul Nizan,폴 니장
Raoul de Lorraine,라울 드 로렌 공작
Antoine Charles Louis de Lasalle,앙투안 샤를 루이 드 라살
Henri II Clément,앙리 2세 클레망
Michel Carré (librettiste),미셸 카레
Joël Bats,조엘 바츠
Jacques Fieschi,자크 피에쉬
Louis de France (1661-1711),프랑스의 루이 (1661년)
Raynald Denoueix,레날 드누에
Jean-Pierre Gorin,장피에르 고랭
Thomas Fanara,토마 파나라
Sylvie Verheyde,실비 베르에이드
Camille Bombois,카미유 봉부아
Willy Boly,윌리 볼리
Christian Dalger,크리스티앙 달제
Albert Libertad,알베르 리베르타드
Ghani Yalouz,가니 얄루즈
Yvan Attal,이반 아탈
Jean Ier de Bourbon,장 1세 드 부르봉 공작
Jacques Doriot,자크 도리오
Geoffrey Kondogbia,조프레 콩도비아
Jean Wahl,장 발
Jean Carlu,장 카를뤼
Sebastian Roché (acteur),세바스티앙 로셰
Jean-François Carteaux,장 프랑수아 카르토
Anthony Modeste,앙토니 모데스트
Pascal Greggory,파스칼 그레고리
David Douillet,다비드 두이예
Jean Taillandier,장 타양디에
Clovis Cornillac,클로비스 코르냐크
Mahamat Saleh Haroun,무함마드 살레 아룬
Reynald Pedros,레날 페드로스
Gérald Passi,제랄드 파씨
Gérard Janvion,제라르 장비옹
Déodat de Séverac,데오다 드 세베락
Jean-Marie Loret,장마리 로레
Pierre Brunet (patinage artistique),피에르 브뤼네
Jérôme Le Banner,제롬 르 밴너
Émerse Faé,에메르스 파에
Steeve Yago,스티브 야고
Pierre Cartier,피에르 카르티에
Florine de Bourgogne,부르고뉴의 플로린
Jacques Georges,자크 조르주
François Berléand,프랑수아 베를레앙
Jean-Hugues Anglade,장위그 앙글라드
Guillaume de Nogaret,기욤 드 노가레
Paul Guillaume (marchand d'art),폴 기욤
Paul Montel (mathématicien),폴 몽텔
Roger Vitrac,로제 비트라크
Michel Henry,미셸 앙리
Arnaud Denjoy,아르노 당주아
Arnaud Desplechin,아르노 데플레생
Benoît Jacquot,브누아 자코
Benoît Costil,브누아 코스틸
Benoît Hamon,브누아 아몽
Christine Citti,크리스틴 시티
Charles Ier de Bourbon,샤를 1세 드 부르봉 공작
Claude Abbes,클로드 아베스
Thomas Dossevi,토마 도세비
Eliaquim Mangala,엘리아킴 망갈라
Ferdinand de Marsin,마르생 백작 페르디낭
Maurice Gendron,모리스 장드롱
Charles Henri d'Estaing,샤를 앙리 데스탱
Vladimir Jankélévitch,블라디미르 장켈레비치
Philippe Candeloro,필리프 캉델로로
Francis Bouygues,프랑시스 부이그
Jean-Claude Dreyfus,장클로드 드레퓌스
Jean Rollin,장 롤랭
Olivier Marchal,올리비에 마르샬
Nicolas Luckner,니콜라 뤼크네르
Yves Robert (réalisateur),이브 로베르
Jean-Pierre Darroussin,장피에르 다루생
Jacques Roux (1752-1794),자크 루
Bernard-René Jourdan de Launay,베르나르르네 주르당 드 뢰네
Jean Djorkaeff,장 조르카에프
Bernard Campan,베르나르 캄팡
Bernard Farcy,베르나르 파시
Charles de France (1446-1472),샤를 드 프랑스 (1446년)
Robert Herbin,로베르 에르뱅
Jean Maximilien Lamarque,장 막시밀리앙 라마르크
Thierry Arbogast,티에리 아르보가스트
Jacques Dufilho,자크 뒤필로
Leone Strozzi,레오네 스트로치
Jean-Luc Lagarce,장뤼크 라가르스
Georges d'Amboise,조르주 당부아즈
Ferdinand Brunetière,페르디낭 브륀티에르
Bernard Plantevelue,베르나르 플랑타뷜리
Alain Madelin,앨린 매들린
Christian Ferras,크리스티앙 페라스
Léo Taxil,레오 탁실
Marcel Alexandre Bertrand,마르셀 알렉상드르 베르트랑
Jean-Christophe Napoléon,장 크리스토프 나폴레옹
Fabrice Luchini,파브리스 루치니
Arnoul de France,아르눌푸스 레멘시스
Arnulf (arnulfien),아르눌프 (상파뉴)
Bernard d'Espagnat,베르나르 데스파냐
Bernard Tissier de Mallerais,베르나르 티시에 드 마예레
Louis Napoléon,나폴레옹 공 루이
Jacky Ido,재키 이도
Kevin Hatchi,케빈 하치
Raymond Bellour,레이몽 벨루
Charles Ier d'Albret,샤를 1세 달브레 드 드뢰 백작
Joël Abati,조엘 아바티
Matthieu Ricard,마티외 리카르
Joseph-Nicolas Robert-Fleury,조제프 니콜라 로베르 플뢰리
Charles-Louis Philippe,샤를루이 필리프
Commissaire Maigret,쥘 메그레
Jacques Ier de Bourbon-La Marche,자크 1세 드 라마르슈 백작
Bertrand Bonello,베르트랑 보넬로
François Omam-Biyik,프랑수아 오맘비크
Modibo Diakité,모디보 디아키테
Nicolas Edme Restif de La Bretonne,레티프 드 라 브르통느
Charles Vildrac,샤를 빌드라크
Mathias Ranégie,마티아스 라네기에
Laurent Sagart,로랑 사가르
Guillaume Musso,기욤 뮈소
Georges Mathieu (artiste),조르주 마티외
Gustave Lanson,귀스타브 랑송
Arben Bajraktaraj,아르벤 바이락타라이
Jean de Labadie,장 드 라바디
Nicolas de Lorraine,니콜라 드 로렌 공작
Daouda Karaboué,다우다 카라부에
Valentin Haüy,발랑탱 아우이
Élie Halévy,엘리 알레비
Pierre Maubant,피에르 모방
Maurice Hamy,모리스 아미
Louis III de Montpensier,루이 드 몽팡시에 공작
François Laruelle,프랑수아 라뤼엘
Brahim Asloum,브라힘 아슬룸
Frédéric Diefenthal,프레데리크 디팡탈
Charles Bonaparte (1950),샤를 나폴레옹 보나파르트
François Billetdoux,프랑수아 비에두
Daniel Defert,다니엘 드페르
Charles Sorel,샤를 소렐
Félix Bracquemond,펠릭스 브라크몽
François Gény,프랑수아 제니
Paul Jacoulet,폴 자쿨레
DJ Cam,디제이 캠
Charles Berling,샤를 베를링
René Aubry,르네 오브리
Raymond Duchamp-Villon,레이몽 뒤샹 비용
Nikola Petrović-Njegoš,니콜라 페트로비치네고시
Philippe Petit (funambule),필리프 프티
Claude Chevalley,클로드 슈발레
Guillaume Nicloux,기욤 니클루
Armand Salacrou,아르망 살라크루
Saphir Taïder,사피르 슬리티 타이데르
Jean-Baptiste Oudry,장바티스트 오드리
Eran Zahavi,에란 자하비
Pierre Jean Georges Cabanis,피에르 장 조르주 카바니스
Jean-Pierre Chevènement,장피에르 슈벤망
Alfred Lemaire,알프레드 장바티스트 르메르
Frédéric Weis (basket-ball),프레데리크 바이스
Clémence Saint-Preux,클레망스 상프루
Marcel Petiot,마르셀 프티오
Lionel Plumenail,리오넬 플뤼메나이
Jacques Sernas,자크 세르나스
Gérard Gili,제라르 질리
Charles Cousin-Montauban,샤를 쿠쟁몽토방
Marc-Antoine Mathieu,마르크앙투안 마티외
Leos Carax,레오스 카락스
Jean-Marc Ferreri,장마르크 페레리
Alexis Vastine,알렉시스 바스틴
Roger Godement,로제 고드망
François Ier de Saint-Pol,프랑수아 1세 드 생폴 백작
Roger Piantoni,로제 피앙토니
Jean Carmet,장 카르메
Cécilia Cara,세실리아 카라
Pierre Soulages,피에르 술라주
Henri Laurens,앙리 로랑스
Caran d'Ache,까렌다쉬 (인물)
René Bliard,르네 블리아르
Jacques Bertin (cartographe),자크 베르탱
Francis Girod,프란시스 지로드
Joël Pommerat,조엘 폼라
Hélène Fillières,엘렌 필리에르
Wilson Oruma,윌슨 오루마
Francis Blanche,프랑시스 블랑슈
Monsieur Mangetout,미셸 로티토
Paul Veyne,폴 벤
Jean-Pierre Marielle,장 피에르 마리엘
Simon Zimny,시몽 짐니
David di Tommaso,다비드 디 토마소
Jean-Louis Verdier,장루이 베르디에
Robert Jonquet,로베르 종케
Jean Vincent,장 뱅상
Boukary Dramé,부카리 드라메
Sophie Audouin-Mamikonian,소피 오두앵마미코니앙
Cédric Bakambu,세드리크 바캄부
Lizzie Brocheré,리지 브로슈레
François Lelord,프랑수아 를로르
Stephen Heller,스테판 헬러
Charles Le Gendre,샤를 르 장드르
Jean Templin,장 탕플랭
Nicolas Bedos,니콜라 베도스
