Județul Alba,阿爾巴縣
"Comuna Ciorăști, Vrancea",喬勒什蒂鄉
"Comuna Fârtățești, Vâlcea",弗爾特采什蒂鄉
"Comuna Stoenești, Vâlcea",斯托埃內什蒂鄉·(沃爾恰縣)
"Comuna Păușești, Vâlcea",珀烏謝什蒂鄉
"Comuna Ionești, Vâlcea",約內什蒂鄉·(沃爾恰縣)
"Comuna Șoimari, Prahova",紹伊米里鄉
"Comuna Provița de Jos, Prahova",下普羅維察鄉
"Comuna Bălțătești, Neamț",伯爾策泰什蒂鄉
"Comuna Telega, Prahova",泰萊加鄉·(普拉霍瓦縣)
"Comuna Dămienești, Bacău",德米耶內什蒂鄉
"Comuna Mihăești, Argeș",米赫埃什蒂鄉·(阿爾傑什縣)
"Comuna Căiuți, Bacău",克尤齊鄉
"Comuna Vedea, Argeș",韋代亞鄉·(阿爾傑什縣)
Supercupa României 2012,2012年罗马尼亚超级杯
"Comuna Biliești, Vrancea",比列什蒂鄉
"Comuna Sinești, Vâlcea",錫內什蒂鄉·(沃爾恰縣)
"Comuna Titești, Vâlcea",蒂泰什蒂鄉
"Comuna Slobozia Ciorăști, Vrancea",斯洛博齊亞喬勒什蒂鄉
"Comuna Cotești, Vrancea",科泰什蒂鄉
Catedrala Sfinții Petru și Pavel din Constanța,聖彼得和聖保羅主教座堂·(康斯坦察)
CS Sportul Snagov,金屬雷西察足球會
Transhumanță,移牧
ACS Berceni,貝真尼足球會
"Comuna Șona, Alba",紹納鄉
"Comuna Movilița, Vrancea",莫維利察鄉·(弗朗恰縣)
"Comuna Roești, Vâlcea",羅埃什蒂鄉
"Comuna Stoilești, Vâlcea",斯托伊萊什蒂鄉
"Comuna Dobrești, Argeș",多布雷什蒂鄉·(阿爾傑什縣)
"Comuna Pietroșani, Argeș",彼得羅沙尼鄉·(阿爾傑什縣)
"Comuna Boțești, Argeș",博采什蒂鄉·(阿爾傑什縣)
"Comuna Huruiești, Bacău",胡魯耶什蒂鄉
"Comuna Slobozia, Argeș",斯洛博齊亞鄉·(阿爾傑什縣)
"Comuna Coțofănești, Bacău",科措弗內什蒂鄉
"Comuna Berești-Bistrița, Bacău",貝雷什蒂-比斯特里察鄉
"Comuna Berești-Tazlău, Bacău",貝雷什蒂-塔茲勒烏鄉
"Comuna Adâncata, Ialomița",阿登卡塔鄉·(雅洛米察縣)
"Comuna Stănești, Vâlcea",斯特內什蒂鄉·(沃爾恰縣)
"Comuna Popești, Vâlcea",波佩什蒂鄉·(沃爾恰縣)
"Comuna Vlădești, Vâlcea",弗萊代什蒂鄉·(沃爾恰縣)
"Comuna Ștefănești, Vâlcea",什特弗內什蒂鄉·(沃爾恰縣)
"Comuna Diculești, Vâlcea",迪庫萊什蒂鄉
"Comuna Cerțești, Galați",切爾泰什蒂鄉
"Comuna Amărăști, Vâlcea",阿默勒什蒂鄉
"Comuna Turnu Roșu, Sibiu",圖爾努羅舒鄉
"Comuna Tichilești, Brăila",蒂基萊什蒂鄉
"Comuna Costești, Buzău",科斯泰什蒂鄉·(布澤烏縣)
Festivalul „Cerbul de Aur”,金鹿國際流行音樂節
"Comuna Dorobanțu, Călărași",多羅班楚鄉
Piața Sfatului din Brașov,布拉索夫议会广场
DN5,國道5號·(羅馬尼亞)
"Comuna Zăbrani, Arad",澤布拉尼鄉
"Comuna Prăjești, Bacău",普勒熱什蒂鄉
Ansamblul urbanistic Iulius Town Timișoara,蒂米什瓦拉尤利烏斯城
"Comuna Negri, Bacău",內格里鄉·(巴克烏縣)
"Doicești, Dâmbovița",多伊切什蒂鄉
"Comuna Gura Foii, Dâmbovița",古拉福伊鄉
"Comuna Trifești, Neamț",特里費什蒂鄉·(尼亞姆茨縣)
"Comuna Valea Crișului, Covasna",克里什鄉
"Comuna Pâncești, Bacău",彭切什蒂鄉·(巴克烏縣)
"Comuna Recea, Brașov",雷恰鄉·(布拉索夫縣)
"Comuna Uileacu de Beiuș, Bihor",維萊亞庫德貝尤什鄉
"Comuna Vișina, Dâmbovița",維希納鄉·(登博維察縣)
"Comuna Măgura, Bacău",默古拉鄉·(巴克烏縣)
"Comuna Galbenu, Brăila",加爾貝努鄉
"Comuna Ucea, Brașov",烏恰鄉·(布拉索夫縣)
"Comuna Cornățelu, Dâmbovița",科爾訥泰盧鄉
"Comuna Nicolae Bălcescu, Bacău",尼古拉伯爾切斯庫鄉·(巴克烏縣)
"Comuna Pietroasele, Buzău",彼得羅阿塞萊鄉
"Comuna Petru Rareș, Bistrița-Năsăud",彼得魯拉雷什鄉·(比斯特里察-訥瑟烏德縣)
"Comuna Bilciurești, Dâmbovița",比爾丘雷什蒂鄉
"Comuna Sărata, Bacău",瑟拉塔鄉·(巴克烏縣)
"Comuna Berteștii de Jos, Brăila",下貝爾泰什蒂鄉
Tătarii din România,羅馬尼亞韃靼人
"Comuna Jirlău, Brăila",日爾勒烏鄉
"Comuna Aninoasa, Dâmbovița",阿尼諾阿薩鄉·(登博維察縣)
"Comuna Sohatu, Călărași",索哈圖鄉
"Comuna Rușețu, Buzău",魯謝楚鄉
"Comuna Romanu, Brăila",羅馬努鄉
Societatea Română de Radiodifuziune,羅馬尼亞廣播電台
Palatul Cantacuzino (București),康塔庫齊諾宫
"Comuna Țițești, Argeș",茨采什蒂鄉
"Comuna Itești, Bacău",伊特什蒂鄉
"Comuna Filipeni, Bacău",菲利佩尼鄉·(巴克烏縣)
Săliște,瑟利什泰
"Comuna Voila, Brașov",沃伊拉鄉·(布拉索夫縣)
"Comuna Văleni-Dâmbovița, Dâmbovița",沃萊尼-登博維察鄉
"Comuna Cobia, Dâmbovița",科比亞鄉·(登博維察縣)
"Comuna Ciocănești, Dâmbovița",喬克內什蒂鄉·(登博維察縣)
"Comuna Vârlezi, Galați",沃爾萊濟鄉
"Comuna Tudor Vladimirescu, Brăila",圖多爾弗拉迪米雷斯庫鄉·(布勒伊拉縣)
"Comuna Măxineni, Brăila",默克西內尼鄉
"Comuna Gemenele, Brăila",傑梅內萊鄉
"Comuna Vernești, Buzău",韋爾內什蒂鄉
Școala Națională de Studii Politice și Administrative,国立政治研究与公共行政大学
"Comuna Șinca Nouă, Brașov",新欣卡鄉
"Comuna Bogdănești, Bacău",博格德內什蒂鄉·(巴克烏縣)
"Comuna Colonești, Bacău",科洛內什蒂鄉·(巴克烏縣)
Cimitirul Ghencea,根恰公墓
"Comuna Blăgești, Bacău",布勒傑什蒂鄉·(巴克烏縣)
Casa Scânteii,新聞自由之家
"Comuna Amaru, Buzău",阿馬魯鄉·(布澤烏縣)
Castelul Cantacuzino din Bușteni,康塔庫齊諾城堡
"Comuna Florești-Stoenești, Giurgiu",弗洛雷什蒂-斯托埃內什蒂鄉
"Comuna Glogova, Gorj",格洛戈瓦鄉·(戈爾日縣)
"Comuna Logrești, Gorj",洛格雷什蒂鄉
"Comuna Topliceni, Buzău",托普利切尼鄉
"Comuna Scorțoasa, Buzău",斯科爾茨瓦薩鄉
"Comuna Vadu Pașii, Buzău",瓦杜帕希鄉
"Comuna Mărașu, Brăila",默拉舒鄉
"Comuna Robeasca, Buzău",羅貝亞斯卡鄉
"Comuna Valea Râmnicului, Buzău",勒姆尼庫盧伊鄉
"Comuna Bozioru, Buzău",布濟奧魯鄉
"Comuna Mărgăritești, Buzău",默爾格里特什蒂鄉
"Padina, Buzău",帕迪納鄉·(布澤烏縣)
"Comuna Berca, Buzău",貝爾卡鄉
"Comuna Radovanu, Călărași",拉多瓦努鄉
"Comuna Râmnicelu, Buzău",勒姆尼切盧鄉·(布澤烏縣)
"Comuna Brădeanu, Buzău",布勒迪亞努鄉
"Comuna Traian, Brăila",特拉揚鄉·(布勒伊拉縣)
"Comuna Surdila-Greci, Brăila",蘇爾迪拉-格雷奇鄉
"Comuna Unirea, Călărași",烏尼雷亞鄉·(克勒拉希縣)
"Comuna Ulmeni, Buzău",烏爾梅尼鄉·(布澤烏縣)
"Comuna Valea Argovei, Călărași",阿爾戈韋鄉
"Comuna Bisoca, Buzău",比索卡鄉
"Comuna Siriu, Buzău",錫里烏鄉
Constituția din 1952,1952年罗马尼亚宪法
"Comuna Pârscov, Buzău",珀爾斯科夫鄉
"Comuna Perișoru, Călărași",佩里紹魯鄉
"Comuna Țintești, Buzău",欽泰什蒂鄉
"Comuna Plătărești, Călărași",普勒特雷什蒂鄉
"Comuna Săpoca, Buzău",瑟波察鄉
"Comuna Mânzălești, Buzău",門澤萊什蒂鄉
"Comuna Racovițeni, Buzău",拉科維采尼鄉
"Comuna Podgoria, Buzău",波德戈里亞鄉
"Comuna Viperești, Buzău",維佩雷什蒂鄉
"Comuna Gurbănești, Călărași",古爾伯內什蒂鄉
"Comuna Săgeata, Buzău",瑟賈塔鄉
"Comuna Tisău, Buzău",蒂瑟烏鄉
"Comuna Scutelnici, Buzău",斯庫泰爾尼奇鄉
"Comuna Jegălia, Călărași",熱格利亞鄉
"Comuna Vâlcelele, Călărași",沃爾切萊萊鄉·(克勒拉希縣)
"Comuna Lupșanu, Călărași",盧普沙努鄉
"Comuna Vasilați, Călărași",瓦西拉齊鄉
"Comuna Brezoaele, Dâmbovița",布雷佐阿埃萊鄉
"Comuna Valea Salciei, Buzău",薩爾切伊鄉
"Comuna Cănești, Buzău",克內什蒂鄉
"Comuna Bordei Verde, Brăila",博爾代韋爾德鄉
"Comuna Movila Miresii, Brăila",莫維拉米雷西鄉
"Comuna Șotânga, Dâmbovița",紹滕加鄉
"Comuna Șoldanu, Călărași",紹爾達努鄉
"Comuna Spanțov, Călărași",斯潘措夫鄉
"Comuna Calvini, Buzău",卡爾維尼鄉
"Comuna Salcia Tudor, Brăila",薩爾恰圖多爾鄉
"Comuna Chiscani, Brăila",基斯卡尼鄉
"Comuna Zăvoaia, Brăila",澤瓦亞鄉
"Comuna Surdila-Găiseanca, Brăila",蘇爾迪拉-格伊塞安卡鄉
"Comuna Albeni, Gorj",阿爾貝尼鄉
"Comuna Tormac, Timiș",托爾馬克鄉
"Comuna Gavojdia, Timiș",加沃伊迪亞鄉
"Comuna Ohaba Lungă, Timiș",奧哈巴隆格鄉
"Comuna Viștea, Brașov",維什泰亞鄉
"Comuna Ciocârlia, Constanța",喬克爾利亞鄉·(康斯坦察縣)
"Comuna Saraiu, Constanța",薩拉尤鄉
"Comuna Deleni, Constanța",代萊尼鄉·(康斯坦察縣)
"Comuna Ciobanu, Constanța",喬巴努鄉
"Semlac, Arad",塞姆拉克鄉
"Comuna Dârjiu, Harghita",德爾日烏鄉
"Comuna Săbăoani, Neamț",瑟伯瓦尼鄉
"Comuna Tămășeni, Neamț",特默謝尼鄉
"Comuna Dumbrăveni, Constanța",敦布勒韋尼鄉·(康斯坦察縣)
"Comuna Grădina, Constanța",格勒迪納鄉
"Comuna Giera, Timiș",傑拉鄉
"Comuna Secusigiu, Arad",塞庫西久鄉
Râul Herța,格爾察河
"Comuna Teremia Mare, Timiș",大泰雷米亞鄉
"Comuna Săcălaz, Timiș",瑟克拉茲鄉
"Comuna Sânpetru Mare, Timiș",大聖彼得魯鄉
"Comuna Gottlob, Timiș",戈特洛布鄉·(蒂米什縣)
"Comuna Gurahonț, Arad",古拉洪茨鄉
"Comuna Ciumani, Harghita",丘馬尼鄉
"Comuna Agriș, Satu Mare",阿格里什鄉
"Comuna Frumușeni, Arad",弗魯穆謝尼鄉
"Comuna Rona de Jos, Maramureș",下羅納鄉
"Comuna Remetea Mare, Timiș",大雷梅泰亞鄉
"Comuna Orăștioara de Sus, Hunedoara",上奧勒什蒂瓦拉鄉
"Comuna Giroc, Timiș",吉羅克鄉
"Comuna Vama, Suceava",瓦馬鄉·(蘇恰瓦縣)
"Comuna Jamu Mare, Timiș",大亞穆鄉
"Comuna Criciova, Timiș",克里喬瓦鄉
"Comuna Brebu Nou, Caraș-Severin",新布雷布鄉
"Comuna Brazii, Arad",布拉濟鄉
"Comuna Bata, Arad",巴塔鄉·(阿拉德縣)
"Comuna Cărand, Arad",克蘭德鄉
"Comuna Bârsa, Arad",伯爾薩鄉
"Comuna Margina, Timiș",馬爾吉納鄉
"Comuna Iratoșu, Arad",伊拉托舒鄉
"Comuna Fârdea, Timiș",弗爾代亞鄉
"Comuna Ignești, Arad",伊格內什蒂鄉
"Comuna Remeți, Maramureș",雷梅齊鄉
"Comuna Limanu, Constanța",利馬努鄉
"Comuna Ion Corvin, Constanța",揚科爾溫鄉·(康斯坦察縣)
"Comuna Mircești, Iași",米爾切什蒂鄉
"Comuna Horia, Constanța",霍里亞鄉·(康斯坦察縣)
"Comuna Independența, Constanța",獨立鄉·(康斯坦察縣)
"Comuna Comana, Constanța",科馬納鄉·(康斯坦察縣)
"Comuna Cuza Vodă, Constanța",庫扎大公鄉·(康斯坦察縣)
"Comuna Chirnogeni, Constanța",基爾諾傑尼鄉
"Comuna Dobromir, Constanța",多布羅米爾鄉·(康斯坦察縣)
"Comuna Istria, Constanța",伊斯特里亞鄉·(康斯坦察縣)
"Comuna Nicolae Bălcescu, Constanța",尼古拉伯爾切斯庫鄉·(康斯坦察縣)
"Comuna Siliștea, Constanța",錫利什泰亞鄉·(康斯坦察縣)
"Comuna Beliu, Arad",貝利烏鄉
"Comuna Mereni, Constanța",梅雷尼鄉·(康斯坦察縣)
"Comuna Craiva, Arad",克賴瓦鄉
"Comuna Hălmăgel, Arad",赫爾默傑爾鄉
"Comuna Conop, Arad",科諾普鄉
"Comuna Bârzava, Arad",伯爾扎瓦鄉·(阿拉德縣)
"Comuna Valea Viilor, Sibiu",維洛爾鄉
"Comuna Baba Ana, Prahova",巴巴阿納鄉
"Comuna Peciu Nou, Timiș",新佩丘鄉
"Comuna Cucuteni, Iași",庫庫泰尼鄉
"Comuna Seimeni, Constanța",塞伊梅尼鄉·(康斯坦察縣)
"Comuna Lipnița, Constanța",利普尼察鄉
"Comuna Dorobanți, Arad",多羅班齊鄉·(阿拉德縣)
"Comuna Ațel, Sibiu",阿采爾鄉
"Comuna Șeica Mare, Sibiu",大謝伊卡鄉
"Comuna Telciu, Bistrița-Năsăud",泰爾丘鄉
"Comuna Dezna, Arad",代茲納鄉
"Comuna Cobadin, Constanța",科巴丁鄉
"Comuna Tauț, Arad",塔烏茨鄉
"Comuna Santău, Satu Mare",桑特烏鄉
"Comuna Suciu de Sus, Maramureș",上蘇丘鄉
"Comuna Socond, Satu Mare",索孔德鄉
"Comuna Șiștarovăț, Arad",希什塔羅沃茨鄉
"Comuna Voiteg, Timiș",沃伊泰格鄉
"Comuna Pir, Satu Mare",皮爾鄉·(薩圖馬雷縣)
"Comuna Șofronea, Arad",紹夫羅內亞鄉
"Comuna Repedea, Maramureș",雷佩代亞鄉
"Comuna Târgușor, Constanța",特爾古紹爾鄉
"Comuna Pilu, Arad",皮盧鄉·(阿拉德縣)
"Comuna Păsăreni, Mureș",珀瑟雷尼鄉
"Comuna Foeni, Timiș",福埃尼鄉
"Comuna Ghizela, Timiș",吉澤拉鄉
"Comuna Maieru, Bistrița-Năsăud",馬耶魯鄉
"Comuna Sintea Mare, Arad",大辛泰亞鄉
"Comuna Sarasău, Maramureș",薩拉瑟烏鄉
"Râul Bistra, Mureș",比斯特拉河·(穆列什河支流)
"Comuna Sântana de Mureș, Mureș",穆列什河畔聖安娜鄉
"Comuna Poiana Sibiului, Sibiu",波亞納錫比烏盧伊鄉
"Comuna Strâmtura, Maramureș",斯特勒姆圖拉鄉
"Comuna Sărățeni, Mureș",瑟勒采尼鄉·(穆列什縣)
"Comuna Băiculești, Argeș",伯伊庫萊什蒂鄉
"Comuna Bocsig, Arad",博克西格鄉
"Comuna Jebel, Timiș",熱貝爾鄉·(蒂米什縣)
"Comuna Ostrov, Constanța",奧斯特羅夫鄉·(康斯坦察縣)
"Comuna Rasova, Constanța",拉索瓦鄉
"Comuna Cârțișoara, Sibiu",克爾茨什瓦拉鄉
"Comuna Daneș, Mureș",達內什鄉
"Comuna Sânmihaiu de Câmpie, Bistrița-Năsăud",聖米哈尤德肯皮耶鄉
"Comuna Batoș, Mureș",巴托什鄉
"Comuna Băgaciu, Mureș",伯加丘鄉
"Comuna Apold, Mureș",阿波爾德鄉
"Comuna Gornești, Mureș",戈爾內什蒂鄉
"Comuna Ghidfalău, Covasna",吉德法勒烏鄉
"Comuna Săpânța, Maramureș",瑟彭察鄉
"Comuna Berzovia, Caraș-Severin",貝爾佐維亞鄉
"Liești, Galați",列什蒂
"Comuna Vărădia de Mureș, Arad",穆列什河畔沃勒迪亞鄉
"Comuna Țibucani, Neamț",齊布卡尼鄉
"Comuna Țânțăreni, Gorj",岑策雷尼鄉·(戈爾日縣)
"Comuna Zerind, Arad",澤林德鄉
"Comuna Peștera, Constanța",佩什泰拉鄉
"Comuna Sfântu Gheorghe, Tulcea",聖格奧爾基鄉·(圖爾恰縣)
"Comuna Poienile Izei, Maramureș",波耶尼萊伊澤鄉
"Comuna Șimand, Arad",希曼德鄉
"Comuna Tortoman, Constanța",托爾托曼鄉
"Comuna Târnova, Arad",特爾諾瓦鄉·(阿拉德縣)
"Comuna Groșii Țibleșului, Maramureș",格羅希齊布萊舒盧伊鄉
"Comuna Corbu, Constanța",科爾布鄉·(康斯坦察縣)
"Comuna Zagăr, Mureș",扎格爾鄉
"Comuna Păuliș, Arad",珀烏利什鄉
"Comuna Nadeș, Mureș",納代什鄉
"Comuna Sângeorgiu de Mureș, Mureș",穆列什河畔聖喬治烏鄉
"Comuna Sântimbru, Harghita",聖廷布魯鄉·(哈爾吉塔縣)
"Comuna Nușeni, Bistrița-Năsăud",努謝尼鄉
"Comuna Dumitra, Bistrița-Năsăud",杜米特拉鄉
"Comuna Monor, Bistrița-Năsăud",莫諾爾鄉·(比斯特里察-訥瑟烏德縣)
"Comuna Galații Bistriței, Bistrița-Năsăud",比斯特里察河畔加拉茨鄉
"Comuna Uriu, Bistrița-Năsăud",烏里烏鄉
"Comuna Botiza, Maramureș",博蒂扎鄉
"Comuna Cămărzana, Satu Mare",克默爾扎納鄉
"Comuna Saschiz, Mureș",薩斯基茲鄉
"Comuna Sălsig, Maramureș",瑟爾西格鄉
"Comuna Ruscova, Maramureș",魯斯科瓦鄉
"Comuna Botiz, Satu Mare",博蒂茲鄉
"Comuna Lumina, Constanța",盧米納鄉·(康斯坦察縣)
"Comuna Marpod, Sibiu",馬爾波德鄉
"Comuna Sita Buzăului, Covasna",布澤烏河畔錫塔鄉
"Comuna Teaca, Bistrița-Năsăud",泰亞卡鄉
"Comuna Nădrag, Timiș",訥德拉格鄉
"Comuna Bixad, Satu Mare",比克薩德鄉·(薩圖馬雷縣)
"Comuna Bătarci, Satu Mare",伯塔爾奇鄉
"Comuna Balșa, Hunedoara",巴爾沙鄉
"Comuna Ghiroda, Timiș",吉羅達鄉
"Comuna Bărăganu, Constanța",伯勒加努鄉
"Comuna Mihail Kogălniceanu, Constanța",米哈伊爾科格爾尼恰努鄉·(康斯坦察縣)
"Comuna Liebling, Timiș",利布靈鄉·(蒂米什縣)
"Comuna Oltina, Constanța",奧爾蒂納鄉
"Comuna Coroisânmărtin, Mureș",科羅伊聖馬丁鄉
"Comuna Bereni, Mureș",貝雷尼鄉
"Comuna Oncești, Maramureș",翁切什蒂鄉·(馬拉穆列什縣)
"Comuna Chibed, Mureș",基貝德鄉
"Comuna Mădăraș, Mureș",默德拉什鄉·(穆列什縣)
"Comuna Băsești, Maramureș",伯謝什蒂鄉
"Comuna Viile Satu Mare, Satu Mare",維萊薩圖馬雷鄉
"Comuna Doba, Satu Mare",多巴鄉·(薩圖馬雷縣)
"Comuna Zărand, Arad",澤蘭德鄉
"Comuna Buchin, Caraș-Severin",布欽鄉
"Comuna Asuaju de Sus, Maramureș",上阿蘇阿茹鄉
"Comuna Certeze, Satu Mare",切爾泰澤鄉
"Comuna Dorolț, Satu Mare",多羅爾茨鄉
"Comuna Valea Vinului, Satu Mare",葡萄酒谷村鄉
"Comuna Cehal, Satu Mare",塞哈爾鄉
"Comuna Lazuri, Satu Mare",拉祖里鄉·(薩圖馬雷縣)
"Comuna Apa, Satu Mare",阿帕鄉·(薩圖馬雷縣)
"Comuna Vetiș, Satu Mare",韋蒂什鄉
"Comuna Turulung, Satu Mare",圖魯隆格鄉
"Comuna Dumbrăvița, Maramureș",敦布勒維察鄉·(馬拉穆列什縣)
"Comuna Dalboșeț, Caraș-Severin",達爾博謝茨鄉
"Comuna Căuaș, Satu Mare",克瓦什鄉
"Comuna Băuțar, Caraș-Severin",伯烏察爾鄉
"Comuna Corunca, Mureș",科倫卡鄉
"Comuna Țuțora, Iași",楚措拉
"Comuna Rozavlea, Maramureș",羅扎夫萊亞鄉
"Comuna Strunga, Iași",斯特倫加鄉
"Comuna Mălureni, Argeș",默盧雷尼鄉
"Comuna Bascov, Argeș",巴薩科夫鄉
"Comuna Beidaud, Tulcea",貝達烏德鄉
"Comuna Mihai Viteazu, Constanța",勇敢的米哈伊鄉·(康斯坦察縣)
"Comuna Petrova, Maramureș",彼得羅瓦鄉·(馬拉穆列什縣)
"Comuna Căpâlnița, Harghita",克珀爾尼察鄉
"Comuna Leordina, Maramureș",萊奧爾迪納鄉
"Comuna Șieu, Bistrița-Năsăud",謝烏鄉·(比斯特里察-訥瑟烏德縣)
"Comuna Silivașu de Câmpie, Bistrița-Năsăud",西利瓦舒德肯皮耶鄉
"Comuna Șieu-Odorhei, Bistrița-Năsăud",謝烏-奧多爾海伊鄉
"Comuna Ghindărești, Constanța",京德雷什蒂鄉
"Comuna Zagra, Bistrița-Năsăud",扎格拉鄉·(比斯特里察-訥瑟烏德縣)
"Comuna Albești, Botoșani",阿爾貝什蒂鄉·(博托沙尼縣)
"Comuna Ștefan cel Mare, Vaslui",斯特凡大公村鄉·(瓦斯盧伊縣)
"Comuna Matei, Bistrița-Năsăud",馬泰伊鄉·(比斯特里察-訥瑟烏德縣)
"Comuna Târlișua, Bistrița-Năsăud",特爾利舒阿鄉
"Comuna Bănia, Caraș-Severin",伯尼亞鄉
"Comuna Budești, Bistrița-Năsăud",布代什蒂鄉·(比斯特里察-訥瑟烏德縣)
"Comuna Bazna, Sibiu",巴茲納鄉
"Comuna Birchiș, Arad",比爾基什鄉
"Comuna Corbu, Harghita",科爾布鄉·(哈爾吉塔縣)
"Comuna Saravale, Timiș",薩拉瓦萊鄉
"Comuna Valcani, Timiș",沃爾卡尼鄉
"Comuna Dieci, Arad",迪耶奇鄉
"Comuna Sânandrei, Timiș",聖安德烈鄉·(蒂米什縣)
"Comuna Socodor, Arad",索科多爾鄉
"Comuna Pantelimon, Constanța",潘泰利蒙鄉·(康斯坦察縣)
"Comuna Giarmata, Timiș",賈爾馬塔鄉
"Comuna Budacu de Jos, Bistrița-Năsăud",下布達庫鄉
"Comuna Vătava, Mureș",沃塔瓦鄉
"Comuna Milaș, Bistrița-Năsăud",米拉什鄉
"Comuna Halmeu, Satu Mare",哈爾梅烏鄉
"Comuna Obreja, Caraș-Severin",奧布雷扎鄉
"Comuna Ciclova Română, Caraș-Severin",奇克洛瓦羅馬尼亞鄉
"Comuna Cârța, Harghita",克爾察鄉·(哈爾吉塔縣)
"Comuna Orlat, Sibiu",奧爾拉特鄉
"Comuna Baru, Hunedoara",巴魯鄉·(胡內多阿拉縣)
"Comuna Săcel, Maramureș",瑟切爾鄉·(馬拉穆列什縣)
"Comuna Remetea, Harghita",雷梅泰亞鄉·(哈爾吉塔縣)
"Comuna Bistra, Maramureș",比斯特拉鄉·(馬拉穆列什縣)
"Comuna Petrești, Satu Mare",佩特雷什蒂鄉·(薩圖馬雷縣)
"Comuna Petriș, Arad",彼得里什鄉
"Comuna Tuzla, Constanța",圖茲拉鄉·(康斯坦察縣)
"Comuna Punghina, Mehedinți",彭吉納鄉
"Comuna Călinești, Maramureș",克利內什蒂鄉·(馬拉穆列什縣)
"Comuna Gherța Mică, Satu Mare",小蓋爾察鄉
"Comuna Căpleni, Satu Mare",克普萊尼鄉
"Comuna Târșolț, Satu Mare",特爾紹爾茨鄉
"Comuna Gârdani, Maramureș",格爾達尼鄉
"Comuna Vama, Satu Mare",瓦馬鄉·(薩圖馬雷縣)
"Comuna Mișca, Arad",米什卡鄉
"Comuna Șimian, Bihor",希米安鄉·(比霍爾縣)
"Comuna Ususău, Arad",烏蘇瑟烏鄉
"Comuna Tilișca, Sibiu",蒂利什卡鄉
"Comuna Mihăileni, Sibiu",米赫伊萊尼鄉·(錫比烏縣)
"Comuna Mărișelu, Bistrița-Năsăud",默里謝盧鄉
"Comuna Apoldu de Jos, Sibiu",下阿波爾杜鄉
"Comuna Spermezeu, Bistrița-Năsăud",斯佩爾梅澤烏鄉
"Comuna Desești, Maramureș",代塞什蒂鄉
"Comuna Denta, Timiș",登塔鄉
"Comuna Șagu, Arad",沙古鄉
"Comuna Lueta, Harghita",盧埃塔鄉
"Comuna Copalnic-Mănăștur, Maramureș",科帕爾尼克-默訥什圖爾鄉
"Comuna Pomi, Satu Mare",波米鄉
"Comuna Pișcolt, Satu Mare",皮什科爾特鄉
"Comuna Cupșeni, Maramureș",庫普謝尼鄉
"Comuna Băcia, Hunedoara",伯恰鄉
"Comuna Crucișor, Satu Mare",克魯西紹爾鄉
"Comuna Cerchezu, Constanța",切爾凱祖鄉
"Comuna Satchinez, Timiș",薩特基內茲鄉
"Comuna Cârța, Sibiu",克爾察鄉·(錫比烏縣)
"Comuna Sânmihaiu Român, Timiș",聖米哈尤羅門鄉
"Comuna Turnu Ruieni, Caraș-Severin",圖爾努魯耶尼鄉
"Comuna Micăsasa, Sibiu",米克薩薩鄉
"Comuna Ciceu-Mihăiești, Bistrița-Năsăud",奇切烏-米赫耶什蒂鄉
"Comuna Șanț, Bistrița-Năsăud",尚茨鄉
"Comuna Șintereag, Bistrița-Năsăud",欣泰雷亞格鄉
"Comuna Vârfurile, Arad",沃爾富里萊鄉
"Comuna Grajduri, Iași",格拉伊杜里鄉
"Comuna Orodel, Dolj",奧羅代爾鄉
"Comuna Lerești, Argeș",萊雷什蒂鄉
"Comuna Lăpuș, Maramureș",勒普什鄉
"Comuna Șicula, Arad",希庫拉鄉
"Comuna Berliște, Caraș-Severin",貝爾利什泰鄉
"Comuna Chiuza, Bistrița-Năsăud",基烏扎鄉
"Comuna Căianu Mic, Bistrița-Năsăud",克亞努米克鄉
"Comuna Ceamurlia de Jos, Tulcea",下恰穆爾利亞鄉
"Comuna Nalbant, Tulcea",納爾班特鄉
"Comuna Armeniș, Caraș-Severin",阿爾梅尼什鄉
"Comuna Coaș, Maramureș",夸什鄉
"Comuna Foieni, Satu Mare",福耶尼鄉
"Comuna Ardusat, Maramureș",阿爾杜薩特鄉
"Comuna Șeitin, Arad",謝伊廷鄉
"Comuna Urmeniș, Bistrița-Năsăud",烏爾梅尼什鄉
"Comuna Bolvașnița, Caraș-Severin",博爾瓦什尼察鄉
"Comuna Rona de Sus, Maramureș",上羅納鄉
"Comuna Bârsana, Maramureș",伯爾薩納鄉
"Comuna Cămin, Satu Mare",克明鄉
"Comuna Castelu, Constanța",卡斯泰盧鄉
"Comuna Acâș, Satu Mare",阿克什鄉
"Comuna Zădăreni, Arad",澤德雷尼鄉
"Comuna Livezile, Bistrița-Năsăud",利韋濟萊鄉·(比斯特里察-訥瑟烏德縣)
"Comuna Micula, Satu Mare",米庫拉鄉
"Comuna Groși, Maramureș",格羅希鄉
"Comuna Boiu Mare, Maramureș",大博尤鄉
"Comuna Terebești, Satu Mare",泰雷貝什蒂鄉
"Comuna Câmpulung la Tisa, Maramureș",肯普隆格拉蒂薩鄉
"Comuna Vadu Izei, Maramureș",瓦杜伊澤鄉
"Comuna Andrid, Satu Mare",安德里德鄉
"Comuna Seleuș, Arad",塞萊烏什鄉
"Comuna Bozovici, Caraș-Severin",博佐維奇鄉
"Comuna Gârliciu, Constanța",格爾利丘鄉
