Douglas Adams,道格拉斯·亞當斯
Avrion Mitchison,阿夫里奥·密契森
David Atherton,艾德敦
David B. Wingate,戴维·B·温盖特
John de Robeck,约翰·德·罗贝克
Freddie Wolff,弗雷迪·沃尔夫
George Sampson,乔治·桑普森
Owen Farrell,歐文·法雷爾
Peter Hall,彼得·霍尔
Kieran O'Brien,凱爾安·歐布萊恩
"Charles Grey, 5th Earl Grey",第五代格雷伯爵查爾斯·格雷
David Bedford,戴维·贝德福德
Chris Humphrey,克里斯·韓佛瑞
John Foulds,约翰·福尔兹
Alfred Munnings,阿尔弗雷德·蒙宁斯
"Margaret of Mar, 31st Countess of Mar",第三十一代馬爾女伯爵馬爾的瑪嘉烈
Alastor Moody,瘋眼穆敵
Louise Brealey,路易丝·布里厄利
Lyndall Fownes Urwick,林德尔·福恩斯·尤伟克
Michael Kenna,迈克尔·肯纳
Richard Asher,理查德·阿什
Bellatrix Lestrange,貝拉·雷斯壯
Barnes Wallis,韋利斯
Tom Cairney,卡恩尼
David Chilton Phillips,大卫·菲利浦
David Calder,大衛·卡爾德
Gary Gillespie,加里·吉莱斯皮
Kevin Beattie,奇雲·比堤
Robert Huff,罗伯特·哈夫
David Buckley,大衛·巴克里
R. C. Sherriff,R. C. 沙里夫
Vincent Korda,文森·科達
Colin Blakely,柯林·布萊克利
David Cesarani,大卫·切萨拉尼
Charles Blagden,查爾斯·布拉格登
Leslie Graham,雷斯理‧葛拉漢
Barbara E. Ward,華德英
Barbara Dickson,芭芭拉·迪克森
David Christopher McGough,達味·基道霍·麥戈夫
"David Currie, Baron Currie of Marylebone",大衛·柯里
Babette Cole,巴貝特·科爾
Phil Parkinson,菲爾·柏堅遜
Charles G. Booth,查爾斯·G·布思
Frederick Browning,布朗寧
Toby Kebbell,托比·凯贝尔
Zavon Hines,扎文·海因斯
Charles Galton Darwin,查爾斯·高爾頓·達爾文博士
Robert Lindsay,羅伯特·林賽
Ivor Allchurch,伊沃爾·奧爾徹奇
David Eggby,大衛·伊格比
John Gregory,约翰·格雷戈里
Joe Lewis,乔·刘易斯
David Stevenson,大衛·史蒂文森
"David Craig, Baron Craig of Radley",大衛·克雷格男爵
Ross Ford,羅斯·福特
Richard Gough,理察·哥夫
Thomas Andrew Knight,托马斯·安德鲁·奈特
Ken Richardson,肯·理查森
David Hemblen,大衛·漢姆伯蘭
Norman Lebrecht,諾曼·莱布雷希特
Proteus,普羅透斯
Maurice Malpas,莫里斯·馬爾帕斯
"Charles Cochrane-Baillie, 2nd Baron Lamington",查尔斯·可克拉尼·拜里尔二世
Charles Gunn,查尔斯·冈恩
Nigel Davenport,奈傑爾·達文波特
Ben Watson,賓·屈臣
James Walker,詹姆斯·沃克
C. V. Boys,查理士·凡而儂·波伊斯
Joe Corrigan,祖·哥尼根
Garry Birtles,加里·伯特斯
Charles Landry,查理斯·蘭德利
Tom Richards,汤姆·理查兹
Harry Blackstaffe,哈里·布莱克斯塔夫
Otto Heller,奧托·海勒
John McManners,约翰·麦克曼勒斯
Anri Okita,沖田杏梨
David Button,大衛·巴頓
Charles Holden,查爾斯·霍頓
Nellee Hooper,奈利·胡柏
Barney Clark,巴尼·克拉克
Mark Frankel,马克·法兰科
Christopher Hill,克里斯托弗·希爾 (史家)
Frank Swift,弗兰克·斯威夫特
Howard Barraclough Fell,巴里·费尔
Barry Gray,貝瑞·格雷
Barry Hearn,巴里·赫恩
David Gilbert,大衛·吉爾伯特
Eddie McCreadie,艾迪·麥克克雷迪
Simon Fellows,西門·法洛
Archibald Joyce,阿奇博·喬伊斯
DJ Fresh,DJ佛瑞許
David Gyasi,大衛·吉雅西
William Wallace,威利·华莱士
James Lighthill,詹姆斯·莱特希尔
David Grace,大衛·格雷斯
Frank Dillane,法蘭克·迪蘭
Robert Smith,查爾斯·羅伯特·史密斯
David Harrower,大衛·哈羅
Howard Goodall,侯活·古道
David Harvey,戴维·哈维
Barry Letts,巴里·萊茨
Barry Mason,巴利·瑪臣
Barry Miles,巴里·米尔斯
Tommy Armour,湯米·阿摩爾
Daz Sampson,達茲·桑普森
Sue Lloyd,蘇·洛依德
Barry Morse,巴里·莫尔斯
David Florence,戴维·弗洛伦斯
"Charles Powell, Baron Powell of Bayswater",查尔斯·鲍威尔
Inspector Morse,莫爾思探長
David Fairclough,大卫·费尔克劳
Oswald Morris,奧斯瓦爾德·莫里斯
David Hatch,大衛·赫氏
Charles McDougall,查爾斯·麥克都格爾
"David Freud, Baron Freud",弗洛伊德男爵大卫·弗洛伊德
David Gale,大衛·蓋爾 (演員)
C. H. Dodd,陶德
Basil Heatley,巴茲爾·希特利
Basil Wright,貝西·萊特
Basil Williams,巴兹尔·威廉斯
Andrew Miller,安德鲁·米勒
Dan Abnett,丹·阿布尼特
Henry Pownall,亨利·羅狄斯·包納爾
Raymond Leppard,雷蒙德·莱帕德
David Langford,大衛·藍福特
David Hare,大衛·海爾 (編劇)
"James Spencer-Churchill, 12th Duke of Marlborough",傑米斯·斯賓塞-丘吉爾，布蘭德福德侯爵
Oliver Gill,基爾
Matt Jansen,馬特·贊臣
Charles Saatchi,查理斯·沙奇
"David Trefgarne, 2nd Baron Trefgarne",第二代特雷夫加恩男爵大衛·特雷夫加恩
David Geddis,大衛·吉蒂斯
David George Kendall,大卫·乔治·肯德尔
Hayden Mullins,海登·穆林斯
David Horsey,大衛·霍西
David Howell,大衛·豪威爾
Frank Watson Dyson,法蘭克·華生·戴森
James Kelman,詹姆斯·科尔曼
John Collins,高林
Martin Buchan,马丁·巴肯
"Peter Mitchell-Thomson, 2nd Baron Selsdon",彼得·米切尔-汤普森
Leo Genn,李奧·真
Bashy,艾許利·湯瑪斯
Robert Stout,罗伯特·斯陶特
George Benjamin,喬治·本傑明
David Holmes,大衛·赫姆士
David Hillier,大衛·希利拿
Barry Smith,巴里·史密斯
Barry Wordsworth,巴里．華茲華斯
Brian George,布萊恩·喬治
Conrad Hal Waddington,瓦丁頓
John Holmes,約翰·侯爾姆斯 (英國外交官)
Matt Hill,馬特·希爾
Dmitri Smirnov,德里特里·斯米尔诺夫
Neil Marshall,尼爾·馬修
David Herd,大衛·赫德 (足球員)
Shy FX,害羞FX
Malcolm Muggeridge,馬爾科姆·蒙格瑞奇
Barry Adamson,巴里·亚当森
Basil Davidson,巴兹尔·戴维逊
Dave McKean,大衛·麥金
John Mayow,J. 梅奥
John Neville,約翰‧內維爾
David Jackman,大卫·杰克曼
Charles Patrick Fitzgerald,費子智
Eugene Aynsley Goossens,尤金·古森斯
Harry Vardon,哈利·瓦爾登
Albert Pierrepoint,艾伯特·皮埃尔波因特
Charlie Oatway,查理·奥特韦
Charlie Spedding,查理·斯佩丁
Beate Kuhn,孔恩·貝蒂
Basil Hall Chamberlain,巴西爾·霍爾·張伯倫
Billy McKay,比利·麥凱
Alastair Fothergill,艾雷斯泰·法瑟吉尔
Graham Joyce,格拉汉姆·乔伊斯
Charlie George,查理·佐治
David Rose,大衛·羅斯
David Jensen,戴维·詹森
Charlie Creed-Miles,查理·科里德-米爾斯
Charles Williams,查爾斯·威廉斯
"Charles Wilson, 1st Baron Moran",莫蘭勳爵
Charles Wilson,查尔斯·威尔逊
Oliver Wakeman,奧利佛·沃克曼
David Jones,戴维·琼斯 (田径运动员)
David Keilin,大卫·凯林
"David Kenworthy, 11th Baron Strabolgi",第十一代斯特拉波吉男爵戴維·肯沃西
Charles Sturridge,查尔斯·斯特里奇
Charles Sutherland Elton,查尔斯·艾尔顿
Charles Sydney Smith,查尔斯·悉尼·史密斯
Peter Bradley-Fulgoni,彼得·巴特里-富高尼
Jackie Wright,杰基·赖特
Leonard Sachs,伦纳德·萨克斯
Robin Wilson,羅賓·威爾遜
Charles Vyner Brooke,查爾斯·維納·溫特·布魯克
Chen Xinhua,陈新华 (乒乓球运动员)
Tony Kaye,東尼·凱 (導演)
Jacqui Ainsley,潔奇·愛因斯萊
Douglas Scott Falconer,道格拉斯·斯科特·福尔科纳
"Alexander, Crown Prince of Serbia",亞歷山大，南斯拉夫王儲
Bella Woolf,貝拉·悉尼，修頓爵士夫人
Jamie T,傑米·T
John Hough,约翰·霍克
Basil Dearden,貝西·迪爾登
Bill Bailey,比爾·貝利
Leslie Mottram,莫特拉姆
James Weaver,詹姆士·威佛
John Henry Taylor,泰萊
Peter Morgan,彼得·摩根
Richard Ian Cox,理查德·伊安·考克斯
Johan Eliasch,約翰·埃利亞施
Nicky Chinn,尼基·秦
Georg Hackenschmidt,乔治·哈肯施密克
Paul McKenna,保罗·麦肯纳
Frederick Vine,弗雷德里克·瓦因
Alfred William Alcock,艾佛烈·威廉·阿爾科克
James Mellaart,詹姆斯·梅拉特
David King,大卫·金
Douglas Henshall,道格拉斯·韩歇尔
John Davis,約翰·戴維斯
Joe Swail,喬·斯威爾
Stuart Dougal,斯圖亞特·杜格爾
William Boyd,威廉·波伊
Tony Hateley,托尼·哈特利
Chip,强莫·菲弗
Mark Crossley,馬克·哥斯利
Philip Hall,菲利浦·霍爾
David M. Patrick,大衛·M·帕特里克
James Alison,詹姆斯·艾利森 (神父)
Stuart Bingham,史超活·冰咸
Nicholas Edward Brown,尼古拉斯·爱德华·布朗
"Ben Stoneham, Baron Stoneham of Droxford",本·斯托納姆
Ben Thatcher,本·撒切尔
Nicholas Clay,尼古拉斯·克萊
David Maclean,戴維·麥考萊恩
Homer H. Dubs,德效骞
Billy Birrell,比利·比雷尔
Jasper Becker,賈斯柏·貝克
Ted Heath,特德·希思
Richie Faulkner,李奇·福克納
David Marshall,大衛·馬歇爾
Neil Warnock,尼尔·沃诺克
"James Butler, 1st Duke of Ormonde",奧蒙德公爵
Ben Collett,本·科莱特
Ben Collins,本·科林斯
Ben English,班·英格利許
Benjamin Whitrow,本傑明·懷特隆
Ben Beckman,本·贝克曼
Alan McGee,艾倫·麥吉
Ben Hanley,本·漢利
Ben Helfgott,班·赫爾夫戈特
Ben Hopkins,班·霍普金斯
Peter Elliott,彼得·埃利奥特
Chris Adcock,克里斯·爱德考克
David Lynn,大衛·林恩
"David Lytton-Cobbold, 2nd Baron Cobbold",第二代科博爾德男爵大衛·萊頓-科博爾德
Ching-He Huang,黃瀞億
Evey Hammond,艾薇·哈蒙德
Miles Millar,迈尔斯·米勒
Oliver Knussen,奧利佛·克努森
Paul Cohn,保羅·孔恩
Berkely Mather,伯克利·馬瑟
David Murdoch,戴维·默多克
David Needham,大卫·尼达姆
Jonny Buckland,強尼·邦藍
David McKee,大卫·麦基
David McLetchie,戴維·麥克萊特
Chris Andrews,克里斯·安德鲁斯
Ben Howard,本·霍华德
Ben Lee,本·李
Michael Caton-Jones,迈克尔·卡顿-琼斯
Ben Maher,本·马厄
Ben Marshall,班·馬歇爾
Ben Miller,賓·米勒
Jonathan Penrose,乔纳森·彭罗斯
Pete Tong,皮特·堂
Julien Temple,朱利安·邓波
Lionel Blue,萊昂內爾·布盧
George Armstrong,佐治·岩士唐
Jack Churchill,傑克·丘吉爾
Ben Woollaston,班·伍拉斯頓
Henry Harwood,亨利·哈伍德
Luke Evans,盧克·伊萬斯
David Nicolle,大卫·尼科尔
David Parlett,戴维·帕莱特
John Ogdon,约翰·奥格登
David Mitrany,D. 米特兰尼
"David Montgomery, 2nd Viscount Montgomery of Alamein",大衛·蒙哥馬利，第二代阿拉曼的蒙哥馬利子爵
Chris Burke,克里斯·伯克
Chris Carter,克里斯·卡特
David Price,戴维·普赖斯
Ferdinand Canning Scott Schiller,斐迪南·坎寜·斯科特·希勒
David McGoldrick,麥考垂克
Ken Miles,肯·邁爾斯
Chris Bartley,克里斯·巴特利
Geoff Rowley,杰夫·罗利
Joel Lynch,喬爾·林奇
David Miller,苗大卫
D. M. S. Watson,D·M·S·沃特森
David Pleat,柏列
David Pountney,大衛·龐特尼
Paul Hartley,保羅·哈特利
Andrew Shinnie,安德鲁·希恩尼尔
Chic Brodie,奇克·布勞迪
Nicola Roberts,妮可拉·羅伯茲
Sufiah Yusof,蘇菲亞·尤索夫
David Peace,大衛·皮爾斯
Ben Davies,賓·戴維斯
Bernard Cribbins,伯纳德·克理宾斯
David Profumo,大衛·普羅富莫
Neal Foulds,尼爾·福爾茲
David Firth,大衛·佛斯
Paul McGowan,保羅·麥高恩
Mark Ryan,弗雷德·塔賽歐塔爾
Hogan Ephraim,霍甘·艾柏拉恩
Carl Fletcher,卡尔·弗莱彻
Michael Winner,米高·溫納
Ken Stott,肯·史考特
Chris Cleave,克里斯·克利夫
Chris Clark,克里斯·克拉克
Will Champion,威爾·查恩
Chris Coles,克里斯托弗·高斯
Bernard Darwin,伯納德·達爾文
Gareth Thomas,加雷思·湯瑪斯 (橄欖球)
Mark Bunn,馬克·布恩
Paul Reaney,保羅·連尼
Benjamin Zander,本杰明·赞德
Benno Moiseiwitsch,班诺·莫伊赛维奇
Chris Bryant,克里斯·布萊恩特
John Haigh,约翰·乔治·黑格
John McCabe,約翰·麥凱布
Ben Stawski,本·斯塔夫斯基
Ernest Wilton,韋禮敦
Bernard Knowles,貝納德·婁爾斯
Frankie Vaughan,弗兰基·沃恩
Phil Read,菲爾‧雷德
David Ryding,戴夫·莱丁
David Schofield,大衛·施科菲爾德
James Alexander Green,詹姆斯·亞歷山大·格倫
Hugh Hamshaw Thomas,休·哈姆绍·托马斯
Bernard Kettlewell,伯纳德·凯特威尔
Bernard Fitzalan-Howard,伯納·瑪瑪杜克·菲查倫-霍華德，第十六代諾福克公爵
Peter Serafinowicz,彼得·塞拉菲諾威茨
David Shoenberg,大卫·休恩伯格
Alex Clare,亞歷斯·克萊爾
John Morris,约翰·莫里斯
Elizabeth Cann,伊丽莎白·卡恩
Bryan Birch,布莱恩·约翰·伯奇
David Nicholls,大衛·尼科爾斯(作家)
Gordon McQueen,哥頓·麥昆
David Segal,戴维·西格尔
David Sellar,大衛·塞勒
Victoria Stilwell,維多利亞·史迪威
David Starkey,大卫·斯达克
Howard Hodgkin,霍华德·霍奇金
Leslie Knighton,萊斯利·禮頓
Denis Twitchett,杜希德
Giles Martin,吉列斯·马丁
Albert Charles Seward,阿尔伯特·查尔斯·苏厄德
Alfred George Greenhill,艾爾弗雷德·喬治·格林希爾
Charles Jarrott,查尔斯·加洛特
Gary Locke,加里·洛克
Justin Rose,賈斯汀·羅斯
Ken Shellito,肯·谢利托
Chris Hunt,克里斯·亨特
Georg Kreisel,格奧爾格·克里澤爾
Ebenezer Cunningham,埃比尼泽·坎宁安
Will Keane,威尔·基恩
Sandy Lyle,森地·萊利
Roger Heath-Brown,罗杰·希斯-布朗
Leigh Griffiths,雷·格里菲斯
David Speedie,大衛·史必迪
Michael Pennington,麥可·潘寧頓
Norman Stone,諾曼·斯通
Storm Thorgerson,斯托姆·索格森
Alan Blumlein,阿倫·布魯姆林
Matthew Garber,馬修·賈博
John Kidd,約翰·基德
John Regis,约翰·雷吉斯
Woolf Barnato,伍爾夫·巴納托
John Wark,約翰·獲克
Terence Fisher,泰倫斯・費雪
Chris Langridge,克里斯·兰格瑞奇
David Essex,大衛·艾塞克斯
Ian Black,伊恩·布萊克
John Bryan Ward-Perkins,约翰·布赖恩·沃德-珀金斯
Eddie Chapman,埃迪·查普曼
John Douglas,約翰·道格拉斯
John Kingman,约翰·景文
David Sylvester,大卫·西尔维斯特
David Thomson,大衛·湯森
John Hoyland,约翰·霍伊兰德
Luke Garbutt,盧克·加布特
David Moores,大卫·摩尔斯
Jimi Mistry,吉米·米斯垂
Bernard Weatherill,班納德·韋瑟爾勳爵
Gary Thain,蓋瑞·塞恩
Melvin Burgess,梅尔文·伯吉斯
Richard Lynn,理查德·林恩
Henry Dudeney,亨利·杜德耐
Conor Coady,科尼·科迪
David Toop,大衛·圖普
David Torrance,大衛·杜雲士
"David Verney, 21st Baron Willoughby de Broke",戴维·弗尼第21男爵威洛·比德布罗
Chris Lawler,克里斯·罗勒
Chris Menges,克里斯·門傑斯
Henry Lincoln,亨利·林肯
Martin Bashir,马丁·巴希尔
Nick Rhodes,尼克·羅茲
Reg Lewis,力克·利維斯
Henry Smith,亨利·史密斯
Ian McLagan,伊恩·麥克拉根
John Burnet,约翰·伯内特
Michael Kitchen,米高·傑巡
Dave Bowen,戴夫·波溫
Reg Presley,雷格·普雷斯利
Dominic Matteo,多明尼·馬迪奧
"Sir Edmund Backhouse, 2nd Baronet",埃德蒙·巴恪思爵士，第二代從男爵
Lee Kerslake,李·萊克
"Bertram Bowyer, 2nd Baron Denham",第二代德納姆男爵伯特拉姆·鮑耶
Chris Curtis,克里斯·柯提斯
Bertie Peacock,伯堤·比確
Liam Gillick,利安·吉利克
Chris Paterson,克里斯·帕特森
David Thwaites,大卫·斯威特斯
David Tomblin,大衛·湯布林
Chris Morgan,克里斯托夫·摩根
Chris Ofili,克里斯·奥菲利
Chris Sievey,克里斯·西維
Chris Spedding,克里斯·史佩丁
Dawn Porter,唐·歐波特
David Will,戴维·威尔
David Willcocks,大卫·威尔科克斯
"Sir Horace Rumbold, 9th Baronet",霍勒斯·朗博爾德
Jack Osbourne,傑克·奧斯本
Martin Tyler,马丁·泰勒
Charley Boorman,查理·布曼
Francis Jeffers,弗朗西斯·杰弗斯
John E. Baldwin,約翰·鮑德溫
Tod Slaughter,托德·斯劳特
Francis Llewellyn Griffith,葛利菲斯
Steve Kabba,史提夫·卡巴
Eric Phipps,艾瑞克·菲普斯
Charles Tate Regan,查爾斯·塔特·里根
Robert Pugh,勞勃·普格
Bertie Auld,贝尔蒂·奥尔德
William G. Tucker,威廉·塔克
David Webb,大衛·韋伯 (足球員)
Peter Barnes,彼得·巴恩斯
David Worrall,戴维·沃拉尔
David Yip,葉西園
David Watkin,大衛·瓦特金
David Watson,戴夫·沃特森
Bobby Campbell,卜比·甘保
Alastair Denniston,阿拉斯泰爾·丹尼斯頓
Harry Hinsley,哈里·欣斯利
Bertram Macdonald,伯特伦·麦克唐纳
Richard Blundell,理查德·布伦德尔
Edmundo Ros,拉丁歌舞
Jessica Hsuan,宣萱
Cecil Clementi,金文泰
Andrew Caldecott,郝德傑
Dawson Walker,杜遜·獲加
Ken Armstrong,肯·阿姆斯特朗
Theodore Austin-Sparks,史百克
Professor X,X教授
Paul Robinson,保羅·羅賓遜
Roland Gift,罗兰礼品
Kika Markham,基卡·马卡姆
Charles Ralph Boxer,博克舍
"Edward Haughey, Baron Ballyedmond",愛德華·豪伊，巴爾伊埃德蒙男爵
George Hamilton,乔治·汉密尔顿 (足球运动员)
Robert Stevenson,羅伯·史蒂文遜
Abdullah Yusuf Ali,優素福·阿里
Chris Wilkinson,克里斯·威尔金森
John Tait Robertson,約翰·迪·羅拔臣
Daniel Ritchie,丹尼尔·里奇
Steve Soper,史蒂夫·梭佩
John Glascock,约翰·格拉斯科克
Clive Wearing,克莱夫·韦尔林
Donald Tovey,唐纳德·托维
Kelly Jones,凱利·瓊斯
Grooverider,葛魯弗萊德
Donald Houston,唐纳德·休斯敦
Lenny Pidgeley,蘭尼·比治利
Bessie Shearlaw,貝西·昔爾洛
Mike "Clay" Stone,麦克史东
Bernard Levin,伯纳德·列文
Tom Parker,汤姆·帕克
Lee Hendrie,李·軒祖
Ray Noble,瑞伊·諾布士
Ronnie Carroll,羅尼·卡羅爾
Iwan Thomas,伊万·托马斯
Keith Allen,基思·艾伦
Jeremy Deller,傑瑞文·戴勒
John Foxx,約翰·福克斯
Reginald Hill,雷金納·希爾
James McEveley,傑伊·麦切維利
Nicol Williamson,尼克·威廉森
Lynn Davies,林恩·戴維斯
George Courtney,乔治·考特尼
Marcus Buckingham,馬克斯·巴金漢
Eva Popiel,伊娃·博比埃爾
Christien Anholt,基斯頓·安賀治
Christina McKelvie,克莉絲緹娜·麥克爾維
Kieran Trippier,基兰·特里皮尔
Rodney Marsh,朗尼·馬殊
Cecil Day-Lewis,塞希爾·戴-路易斯
Tommy Flowers,湯米·佛勞斯
Lee Evans,李·伊萬斯
Glenn Roeder,格伦·罗德尔
Geoffrey Trease,杰弗里·特雷斯
Gordon Hill,哥頓·希路
John Radford,约翰·拉德福德
Michael Barrymore,迈克尔·巴里摩尔
Peter Winch,彼得·温奇
Percy Lowe,珀西·洛
John Evan,约翰·埃文
W. K. C. Guthrie,W·K·C·加斯里
John Braine,約翰·布萊恩
Tope Obadeyi,泰米托普·奥巴德伊
Giles Milton,贾尔斯·米尔顿
Chris Newton,克里斯·牛顿
Monty Norman,蒙蒂·諾曼
Brian Easton,布賴恩·伊斯頓
Robert Milsom,羅伯特·米爾森
Lucius Malfoy,卢修斯·马尔福
Biff Byford,比弗·拜福德
Shaun Wylie,尚恩·懷利
Jim Beach,吉姆·畢奇
John Richards,约翰·理查茲
Jamie Staff,杰米·斯塔夫
Chad Varah,查克·瓦拉
Christian McKay,克里斯汀·麥凱
Philip Selway,菲臘·沙威
Christopher Cullen,古克礼
Christopher Duffy,克里斯托弗·達菲
Christopher Dresser,克里斯托弗·德莱赛
Bryan Forbes,布莱恩·福布斯
John Standing,約翰·史但丁
Brian Little,白賴仁·拉圖
David Sadler,大衛·錫拿
James Hayter,占士·希達
Tony Currie,托尼·科睿
Ed O'Brien,艾德·歐布瑞
Armando Dippet,阿曼多·狄劈
Andrew Keller,安德鲁·凯勒
S. C. H. "Sammy" Davis,薩米·戴維斯
Jamie Baulch,杰米·鲍尔奇
Tony Warner,托尼·沃纳
Keith Hackett,凱思·哈克特
David Davis,大衛·戴維斯
Roy Vernon,萊·維農
Edmund Blunden,埃德蒙·布伦登
Christopher Hacon,克里斯多夫·哈肯
Paul Eddington,保罗·爱丁顿
Thomas Otway,托馬斯·奧特維
H. R. F. Keating,H· R· F·基亭
William Dalrymple,威廉·达尔林普尔
Christopher Andrew,克里斯托弗·安德鲁
Christopher Bailey,克里斯多福‧貝里
Chris Porter,克里斯·波特
Chris Hohn,克里斯·霍恩
Colin Greenwood,科林·格林伍德
Frank Beresford,弗蘭克·貝雷斯福德
Dean Cox,考克斯
Ryan Tunnicliffe,萊安·滕尼克利夫
Toby Gard,托比·加德
Felipe Fernández-Armesto,费利佩·费尔南德斯-阿尔梅斯特
Christopher Llewellyn Smith,克里斯托弗·史密斯
Burt Kwouk,郭弼
Ralph Allen Sampson,拉爾夫·艾倫·桑普森
Paul Jewell,保罗·杰维尔
David Morrissey,大卫·莫瑞瑟
Christopher Isham,克里斯多福·伊閃
Jimmy Mullen,吉米·马伦
Declan Ganley,德克兰·甘利
Tommy Smith,湯美·史密夫
Henry Cockburn,亨利科·伯恩
Deepak Lal,迪帕克·拉尔
Frank Buckley,法蘭·巴克利
Arthur Knight,阿瑟·奈特
Jack Carr,積·卡爾
Nicholas Robinson-Baker,尼古拉斯·羅賓遜-貝克
"Nicholas Eden, 2nd Earl of Avon",尼古拉·艾登
Murray Gold,馬瑞·高德
Bradley Smith,史密斯
Alistair Horne,阿利斯泰爾·霍恩
Luke Campbell,卢克·坎贝尔
Don Thompson,唐·汤普森
John Colet,約翰·科萊
"Sir Charles Monro, 1st Baronet",察尔斯·门罗
Johnny Leach,约翰尼·利奇
James Somerville,詹姆斯·薩默維爾
Betty Uber,贝蒂·尤伯
Vincent Riotta,文森·瑞歐塔
Darren Moore,戴倫·摩亞
R. S. Thomas,R·S·托马斯
Nigel Spackman,奈吉爾·史必文
M. J. Seaton,M·J·锡顿
Ashley Hemmings,希明斯
Steve Williams,史堤夫威廉士
Alan Thompson,阿倫·湯臣
Jack Cox,傑克·科斯
Phil Parkes,菲爾·柏堅斯
Dean Windass,迪恩·温达斯
Martin Lings,马丁·林斯
"Philip Kerr, 11th Marquess of Lothian",菲利普·科尔
Enoch Showunmi,以諾·舒胡美
Corry Evans,科尼·埃文斯
David Tattersall,大衛·泰特薩
Samuel Tolansky,塞缪尔·托兰斯基
Peter Geach,彼得·吉奇
Chris Adams,克里斯·亞當斯
Nick Sheppard,尼克·雪柏德
Geoffrey Ashe,杰弗里·阿什
Ashley Barnes,阿什利·巴恩斯
Tony Maudsley,東尼·莫茲利
"David Armstrong-Jones, 2nd Earl of Snowdon",大衛·阿姆斯特朗-瓊斯，林利子爵
Craig Dolby,克雷格·多尔比
John Mathieson,約翰·馬錫森
Nigel Durham,奈傑爾·達勒姆
Steve Dawson,史提夫·道森
Marc Tierney,麥斯·泰亞尼
Ian Astbury,伊恩·阿斯特伯里
Glyn Johns,格林·強斯
Mick Jones,米克·瓊斯
Bill Beaumont,比爾·博蒙特
Bill Bland,比尔·布兰德
Bill Brown,比爾·布朗
Mark Bowen,馬克·鮑溫
Chris Mears,克里斯·米尔斯
"Montague Woodhouse, 5th Baron Terrington",蒙塔古·伍德豪斯
Paul Whitehead,保罗·怀特黑德
John Pulman,約翰·普爾曼
Christopher Rice,克里斯托弗·赖斯
George E. P. Box,喬治·愛德華·佩勒姆·巴克斯
Hugh Clifford,休·克利福德
Jack the Stripper,剝衣手傑克
Bianca Walkden,碧安卡·沃克登
Dennis Potter,丹尼斯·波特
"Dennis Rogan, Baron Rogan",羅根勛爵
Laurence Fox,勞倫斯·福克斯
Dennis Kirkland,丹尼斯·柯克蘭
David Gold,大衛·高特
Rolfe Kent,洛夫·堅
Denis Wright,丹尼士·萊特
Michal Martychowiec,米歇尔·马蒂楚维奇
John Carver,約翰·卡弗
Graham Roberts,格拉咸·羅拔斯
John McVie,約翰·麥克維
Ashley Walters,阿什利·沃特斯
Christopher Frayling,克里士多福·佛瑞靈
Chris Basham,克里斯·巴斯汉姆
Ashley Mulheron,阿什丽·穆赫隆
F. M. Cornford,弗朗西斯·康福德
Mike Fillery,迈克·弗莱里
Ashley Montagu,阿什利·蒙塔古
Alan Kennedy,艾伦·肯尼迪
William Dobbie,威廉·多比
Christopher Wood,克里斯托弗·伍德
Christopher Timothy,克里斯多福·提摩西
Dan Stevens,丹尼尔·斯蒂文斯
Edward Felix Norton,岳桐
Hughie Gallacher,休吉·加拉赫
Jeremy Sheffield,傑里米·謝菲爾德
Mario Testino,馬里奧·特斯蒂諾
Nicholas Evans,尼古拉斯·埃文斯
Tommy Langley,湯美·連尼
Jackie Milburn,積奇·米爾般
Nazanin Boniadi,娜贊寧·波妮亞蒂
Dennis Crompton,丹尼斯·克隆普頓
John Curry,約翰·庫利
Chris Woods,基斯·活士
"Edward Stafford, 3rd Duke of Buckingham",第三代白金汉公爵爱德华·斯塔福德
Denis Donaldson,丹尼斯·唐纳森
Denis Lawson,丹尼士·勞森
Keith Duckworth,凯斯·达克沃斯
Phil Boyer,菲爾·博耶
Chris Cunningham,克里斯·坎寧安
Daniel Levy,丹尼爾·利維
Michael Maloney,迈克尔·马罗尼
David J. Thouless,戴维·J·索利斯
Lauren Christy,劳伦·克里斯蒂
Campbell Walsh,坎贝尔·沃尔什
Vince White,文斯·怀特
John Frost,约翰·福洛斯特
David Bamber,大衛·巴姆巴
Dennis Kelly,丹尼斯·凯利
Philip Craven,菲利普·克雷文
Don Howe,唐·豪威
Craig Murray,克雷格·莫瑞
Tommy Lawton,湯米·羅頓
Mick Abrahams,麥可·亞伯拉罕
Constance Spry,康斯坦斯·史普萊
Michael Stoute,司徒德
Dennis Waterman,丹尼斯·瓦特曼
Dennis Wheatley,丹尼斯·惠特利
Edmund Gunter,埃德蒙·岡特
John Polkinghorne,约翰·波金霍尔
Terry Cooper,泰利·谷巴
Richard Rodney Bennett,理查·羅德尼·班奈特
Ron Flowers,罗恩·弗劳尔斯
Jamie Mackie,查美·麥基爾
Marmaduke Pickthall,馬穆杜克·皮克索
Ruta Gedmintas,茹塔·格敏塔
Jack Huston,傑克·休斯頓
Newt Scamander,紐特·斯卡曼德
David Pears,大卫·佩尔斯
Robbie Blake,罗比·布莱克
Junior Stanislas,儒尼奥尔·斯塔尼斯拉斯
Kenneth Williams,肯尼斯·威廉斯
Jessica Drew,女蜘蛛人
John Dill,约翰·迪尔
