André-Pierre Gignac,安德雷·皮埃爾·吉尼亞克
Omar Chaparro,奥马尔·查帕罗
Flavio Davino,利昂
Anaís,阿奈斯
Ricardo Miledi,里卡多·米莱迪
Guillermo Ortiz Camargo,吉列尔莫·奥尔蒂斯
Francisco Javier Ramírez Acuña,弗朗西斯科·哈维尔·拉米雷斯·阿库尼亚
Martí Batres,马蒂·巴特雷斯·瓜达拉马
Flavio Medina,弗拉維奧·梅迪納
Fernando Reina Iglesias,费尔南多·雷纳·伊格莱西亚斯
Alfredo Torres,阿尔弗雷多·托雷斯
Narciso López,纳西索·洛佩斯
Benjamín Cann,本杰明·凯恩
José Manuel de la Torre,荷西·文奴爾·托利
Juan de Dios Ramírez Perales,胡安·德迪奥斯·拉米雷斯·佩拉莱斯
Alfonso Portugal,阿方索·波图加尔
Víctor Estrada,维克托·埃斯特拉达
Beatriz Espejo,比阿特丽斯·埃斯佩霍
Begoña Narváez,贝戈尼亚·纳瓦埃斯
Jorge Rodríguez Esquivel,豪爾赫·羅德里奎斯
José Luis Salgado,何塞·路易斯·萨尔加多
Fernando del Rincón (periodista),费尔南多·戴尔·林孔
Fernando Álvarez Monje,费尔南多·阿尔瓦雷斯·蒙赫
Jaime Heliódoro Rodríguez Calderón,海梅·羅德里格斯·卡爾德隆
Francisco Cuevas Cancino,弗朗西斯科·奎瓦斯·坎西诺
Blanca Torres,布兰卡·托里斯
Francisco Rafael Arellano Félix,佛朗西斯科·拉斐爾·阿雷拉諾·費利克斯
Ramiro Navarro,拉米罗·纳瓦罗
Carlos Briseño Arch,嘉祿·布里塞尼奧·阿爾奇
Carlos Calderón de la Barca,卡洛斯·卡尔德龙·德拉巴尔卡
José Juan Vázquez,胡安·何塞·巴斯克斯
Humberto Elizondo,温贝托·埃利松多
Efraín Velarde,以法莲·贝拉德
Maxtla,马斯特拉
Francisco Blake Mora,弗朗西斯科·布萊克·莫拉
Gustavo Alatriste,古斯塔沃·阿拉特里斯
Enrique López Zarza,恩里克·洛佩斯
Carlos Aguiar Retes,嘉祿·阿吉亞爾·雷特斯
Jesús Olalde,赫蘇斯·奧拉達
Mariana Botas,玛丽安娜·博塔斯
Ángel Tavira,安傑爾·塔維拉
Gabriela Ruffo,加布里埃拉·鲁弗
José Manuel Aguilera,何塞·曼努埃尔·阿奎莱拉
Paulo César Chávez,保罗·查韦斯
Henner Hofmann,埃内尔·霍夫曼
Francisco Colmenero,弗朗西斯科·科尔梅内罗
Francisco Córdova,法蘭西斯科·寇多瓦
Hermila Galindo,赫米拉·加林多
Jorge Lavat,豪尔赫·拉瓦特
Eduardo Santamarina,爱德华多·圣玛丽娜娜
Geraldine Bazán,杰拉尔丁·巴桑
Luis Felipe Gallardo Martín del Campo,路易·斐理伯·加拉尔多·瑪爾定·德尔坎普
Gabriel Caballero,加夫列尔·卡瓦列罗
Humberto Álvarez Machaín,温贝托·阿尔瓦雷斯·马查因
Carlos Cariño,卡洛斯·卡里諾
Eduardo Verástegui,埃杜瓦多·维拉斯蒂吉
Gilberto Alcalá Pineda,吉爾伯特·阿爾卡拉·皮內達
Carlos Frenk,卡洛斯·弗伦克
Carlos Américo Lera,郦华
Pablo Azar,巴勃罗·阿萨尔
Carlos Girón,卡洛斯·吉隆
Francisco del Villar,弗朗西斯科·德爾·比利亞爾
Luis Moya (militar),路易斯·莫亚
Carlos Payán,卡洛斯·佩安
Brandon Peniche,布兰登·佩尼切
Luis Sánchez Jiménez,桑契斯
Francisco Savín,弗朗西斯科·薩萬
Luis Mario Moncada,路易斯·马里奥·蒙卡达
Luis Gerardo Méndez,路易斯·赫拉尔多·门德斯
Carlos Petrel,卡洛斯·佩雷尔
Luisa Huertas,露薏莎·烏埃塔
Félix Uresti Gómez,菲力茲·乌勒斯提·戈麦斯
José Rubén Romero,何塞·鲁文·罗梅罗
Gabriela Roel,加布里埃拉·罗埃尔
Gabriela de la Garza colgada,加布里埃拉·加尔萨
José Ramón Enríquez,何塞·拉蒙·恩里克斯
Germán Gutiérrez,杰曼·古铁雷斯
José María Yazpik,何塞·马利亚·亚兹皮克
Narciso Busquets,纳西索·布斯克茨
Carlos Speitzer,卡洛斯·斯皮策
Hiromi Hayakawa,早川广美
Gabriel Chavez,加布里埃尔·查韦斯
Hijo de Máscara Año 2000,西霍·代·马斯卡拉·阿诺·2000
Jorge Pérez Solano,乔奇·佩雷斯·索拉诺
Macaria,Macaria
Dralístico,德拉斯蒂科
Claudia Corichi García,克劳迪亚·科里奇·加西亚
Claudia Ruiz Massieu,克劳迪娅·鲁伊斯·马谢乌
Josecarlos van Rankin,荷西·范藍欽
Georgina Sánchez,乔治娜·桑切斯
Fuerza Guerrera,富萨·格雷拉
Claudia Sheinbaum,克劳迪娅·辛鲍姆
Claudio Lafarga,克劳迪奥·拉斐尔加
Roberto González,罗伯托·冈萨雷斯
Lis Vega,Lis Vega
Kenia Gascón,科尼亚·加斯科恩
Gerardo Torres,格拉多·托雷斯
Gerardo Reyero,杰拉尔多·雷耶罗
Gerardo Taracena,赫拉爾多·塔拉塞納
Gonzalo Vega,冈萨洛·维嘉
Gerardo Flores Zúñiga,杰拉尔多·弗洛雷斯
Huracán Ramírez,赫拉坎·拉米雷斯
Juan Ignacio Aranda,胡安·伊格纳西奥·阿兰达
Juan Diego Covarrubias,布莱恩·费尔南多
Antonio R. Frausto,安东尼奥·R·弗斯托
Dacia Arcaráz,达契亚·阿尔卡拉斯
Dacia González,达契亚·冈萨雷斯
Daga,达加
Damayanti Quintanar,达曼蒂·昆塔纳尔
Juan Carlos Martín del Campo,胡安·卡洛斯·马丁·德尔·坎波
Cristina Obregón,克里斯蒂娜·奥弗雷贡
Gerónimo Gil,傑羅尼莫·吉尔
Cruz Pérez Cuéllar,克鲁斯·佩雷斯·奎利亚尔
Lilia Aragón,莉利娅·阿拉贡
Marco Garcés,馬爾科·加爾塞斯
Ildefonso Guajardo Villarreal,瓜哈爾多
Guadalupe Borja,瓜达卢佩·博尔哈
Daniela Garmendia,丹妮拉·加门迪亚
Danny Perea,丹妮·佩雷雅
Darwin Cerén,達爾文·謝連
Margarita Sanz,玛加丽塔·桑斯
David Penchyna Grub,戴维·彭彻纳·格鲁布
Gustavo Cárdenas Gutiérrez,古斯塔沃·卡德纳斯·古铁雷斯
Hugo Albores,雨果·阿伯瑞斯
Alma Muriel,阿尔玛·穆里尔
David Muri,大卫·穆里
Gregorio Casal,格雷戈里奥·卡萨尔
Mario Iván Martínez,马里奥·伊万·马丁内斯
Máscara Dorada,马斯卡拉·多拉达
Andrade El Idolo,安德拉德
Marissa Garrido,玛丽莎·加里多
Marta Aura,马尔塔·奥拉
Vanessa Andreu,凡妮莎·安德鲁
Gustavo Garza Villarreal,古斯塔沃·加尔萨·比利亚雷亚尔
Julieta Norma Fierro Gossman,朱麗葉塔·戈斯曼
Carlos Encinas González,卡洛斯·恩西纳斯·冈萨雷斯
Mario del Río,马里奥·戴尔·里欧
Graco Luis Ramírez Garrido Abreu,格拉科·拉米瑞茲
Gonzalo Inzunza,岡薩洛·因蘇薩·因蘇薩
Mario Zaragoza,马里奥·萨拉格萨
Irene Azuela,艾琳·阿苏埃拉
Ignacio Cumplido,伊格納西奧·顧布里多
Mario Delgado,馬裡奧·馬丁·德爾加多
Hugo Hiriart,雨果·希里亚特
Eduardo Alcaraz,爱德华多·阿尔卡拉兹
Edgar Chías,埃德加·奇亚斯
Edgar Melitón Hernández,梅利顿·埃尔南德斯
Eduardo Cisneros,爱德华多·西斯内罗斯
Eduardo España,爱德华多·埃斯帕尼亚
Eduardo Lizalde,愛德華多·里薩爾德
Martín Altomaro,马丁·阿尔托马罗
Miguel Ángel Yunes Márquez,米格尔·安吉尔·尤恩斯·马尔克斯
María Aura,玛丽亚·亚拉
Jürgen Damm,于尔根·达姆
Jaime Lozano,杰米·洛萨诺
Jessica Segura,杰西卡·塞古拉
María Barracuda,玛丽亚·梭子鱼
Jaime López,傑米·洛佩茲
Emilio Madero,埃米利奥·马德罗
Ernesto D'Alessio,埃内斯托·德阿莱西
Emiliano Lojero,埃米利亚诺·洛赫罗
Emma Roldán,艾玛·罗尔丹
Emmanuel Orenday,埃马纽埃尔·奥伦迪
Emmanuel del Real,埃马纽埃尔·戴尔·雷尔
Kelchie Arizmendi,凯尔基·阿里斯门迪
Javier Ruán,哈维尔·阮
María Elena Orantes,玛丽亚·埃莱娜·欧兰提斯·洛佩斯
Eduardo Rodríguez,爱德华多·罗德里格斯
Lambda García,拉姆·加西
Michelle Ramaglia,米歇尔·拉马利亚
Roberto Antonio Nurse,羅伯托·納斯
Mauricio Barcelata,毛里西奥·巴塞罗那
Karen Juantorena,格伦·胡安托雷纳
Karla Díaz-Leal Arreguín,卡拉·迪亚兹-莱尔·阿雷金
Jair García,吉爾·加西亞
Leonor Bonilla,莱昂诺尔·博尼利亚
Leonorilda Ochoa,莱奥诺里尔达·奥乔亚
Issa López,伊萨·洛佩斯
Maya Zapata,玛雅·扎帕塔
Mayra Rojas,梅拉·罗哈斯
Lilia del Valle,莉莉亚·德尔·瓦莱
Jaume Mateu,若姆·馬特烏
Emilio Maillé,埃米利奥·马耶
Emilio Mora,埃米利奧·莫拉
Leticia Gómez,蕾蒂西亚·戈麦斯
Lino Nava,利诺·纳瓦
Liz Gallardo,利兹·加拉多
Medea de Novara,梅代亚·德·诺瓦拉
Adriana Ahumada,阿德里安娜·阿胡馬達
Jacqueline Evans,賈桂琳·埃文斯
Javier Corral Jurado,哈维尔·科拉尔·胡拉多
Ernesto Madero Farías,埃内斯托·马德罗
Adrián García Bogliano,阿德里安·加西亚·波哥里亚诺
Jesús Martín Mendoza Arriola,赫苏斯·马丁·门多萨·阿里奥拉
Roxana Castellanos,罗克萨娜·卡斯特利亚诺斯
Jesús Dueñas,赫蘇斯·杜埃尼亞斯
Miguel Condé,米格尔·康代
María del Carmen Farías,玛丽亚·戴尔·卡门·法里亚斯
Joaquín Miguel Gutiérrez,华金·米格尔·古铁雷斯·卡纳莱斯
Miguel Barbosa Huerta,米格尔·巴博萨·韦尔塔
Miguel Bortolini Castillo,米格爾·博爾托利尼
Adolfo Jiménez Castro,阿道弗·希门尼斯·卡斯特罗
Jis,吉斯
Lucas Velásquez,卢卡斯·委拉斯开兹
Lucia Álvarez Vázquez,露西亚·阿尔瓦雷斯
Jesús-Mario Lozano,杰塞斯·马里奥·洛扎罗
Adrián Uribe,阿德里安·乌里韦
José Medellín,何塞·埃尔内斯托·麦德林·洛哈斯
Luis Bayardo,路易斯·巴亚尔多
Alejandro Calva,亚历杭德罗·卡尔瓦
Erik Hayser,埃里克·海瑟尔
Jesús Ochoa,杰苏斯·欧乔阿
Jorge Adrián Espíndola,乔奇·阿德里安·艾斯宾杜拿
Alejandro Moreno Cárdenas,亚历杭德罗·莫雷诺·卡德纳斯
Alejandro Parodi,亚历杭德罗·帕罗迪
Evelio Arias Ramos,伊夫里奥·阿里亚斯·拉莫斯
Hugo González Durán,曉高·干薩雷斯
Esteban Cantú,埃斯特万·坎图
Estela Núñez,埃斯特拉·努涅斯
Enrique Serrano Escobar,安立奎·塞拉諾·艾斯科巴
Alejandro Gamboa,亚历杭德罗·甘博亚
Alejandro Ciangherotti III,亚历杭德罗·钱格赫罗蒂三世
Inés Gómez Mont,因斯·戈麦斯·蒙特
Alan Coton,艾伦·科顿
Luis Arrieta,路易斯·阿列塔
Jomi García Ascot,喬米·加西亞·阿斯科特
Hugo Crosthwaite,雨果·克羅斯偉特
Aldo Gallardo García,阿尔多·加利亚多
Miguel Ángel Yunes Linares,米格尔·安杰尔·尤尼斯·利纳雷斯
Luis Estrada,路易斯·埃斯特拉达
Julio Preciado,胡里奥·普雷西亚多
Julio Torri,朱利奥·托里
Julissa,胡利萨
Julio Bekhor,胡利奥·贝克霍
Julio Bracho,胡利奥·布拉乔
Luis Gatica,路易斯·加蒂卡
Justo Sierra O'Reilly,胡斯托·塞拉·奥赖利
Evangelina Elizondo,埃萬熱莉娜·伊麗莎多
Alfonso Mejía,阿方索·梅希亚
Jorge Antolín,豪尔赫·安托林
Jorge Mondragón,豪爾赫·蒙德拉貢
Raúl Méndez,劳尔·门德兹
Lane Hughes,林·修斯
Laura Bozzo,劳拉·波佐
Reynaldo Rossano,雷纳尔多·罗萨诺
Julia Goldani Telles,茱莉亚·古丹妮·泰勒斯
Julieta Egurrola,胡列塔·埃格罗尔拉
Alejandro Speitzer,亚历杭德罗·斯皮策
Raúl Lavista,劳尔·拉维斯塔
Mónica Miguel,莫妮卡·米格尔
Juan Solari,胡安·索拉
Alfonso Navarrete Prida,阿方索·纳瓦雷特
Alfonso Obregón Inclán,阿方索·奥布雷贡
Alfonso Pichardo,阿方索·皮查多
Alejandro González Yáñez,亚历杭德罗·冈萨雷斯·亚涅斯
Karla Carrillo,卡拉·卡里略
Liliana Barba (actriz),莉莉安娜·巴尔巴
Liliana Domínguez,莉莉安娜·多明戈斯
Miguel Rodarte,米格尔·罗达特
Laura Caro,劳拉·卡罗
Beatriz Mojica Morga,比阿特丽斯·莫哈卡·莫加
Starman,斯塔尔曼
Stella Inda,斯特拉·因达
Raúl Plascencia Villanueva,勞爾·普拉西亞
Raúl Rangel Frías,劳尔·兰赫尔·弗里亚斯
Alexander Callens,亚历山大·卡伦斯
Ricardo Kleinbaum,里卡多·克莱恩博姆
Laura Sánchez,劳拉·桑切斯 (游泳运动员)
Mónica Huarte,莫妮卡·瓦尔特
Sergio Sendel,塞尔吉奥·森德尔
Raúl de Anda,劳尔·德·安达
Kristoff Raczynski,克里斯托夫·拉克齐因斯基
Norma Lazareno,诺玛·拉扎诺
Alfredo Alegría,阿尔弗雷多·阿里格利亚
Natalia Téllez,纳塔利娅·特列斯
Octavio Castro,奥科塔维·卡斯特罗
Olegario Vázquez Aldir,奧萊加里奧·巴斯克斯·阿爾迪爾
Olivia Bucio,奥利维亚·布西奥
Mariana Karr,玛丽安娜·卡尔
Leonardo de Lozanne,李奧納多·德·羅桑
Nubia Martí,努比亚·马蒂
Alfredo del Mazo Maza,阿爾弗烈多·德·瑪索·馬薩
Beatriz Aguirre,比阿特丽斯·阿吉雷尔
Kenti Robles,肯蒂·罗伯斯
Luis Cabrera Lobato,路易斯·卡布雷拉
José Eduardo Derbez,若泽·爱德华多·德贝尔
Alpha Acosta,阿尔法·阿科斯塔
Pascal Beltrán del Río,帕斯卡尔·贝尔特兰·德尔·里奥
Ricardo Margaleff,里卡多·玛格丽夫
Teddy Higuera,泰迪·席古耶拉
Luz Acosta,卢丝·阿科斯塔
Ninfa Salinas Sada,南法·薩利納斯·薩達
Aline Hernández,艾琳·埃尔南德斯
Leopoldo Laborde,莱奥波尔多·拉博德
Oscar Castellanos,奥斯卡·安东尼奥·卡斯特利亚诺斯·桑托斯
Ana Ofelia Murguía,安娜·奥菲丽亚·莫吉亚
Jesús Murillo Karam,赫苏斯·穆里略·卡拉姆
Víctor Urruchúa,維克多·烏魯丘亞
Sergio Guzmán Silva,蒂格雷·布兰科
Tony Ferguson,托尼·弗格森
Alma Delia Fuentes,阿尔玛·迪莉婭·富恩特斯
Tomás Sánchez de la Barrera,托馬斯·桑切斯
Paco Malgesto,帕科·马尔格斯托
Paloma Cordero,帕洛玛·科尔德罗
Pablo Díez,巴勃罗·迭斯·费尔南德斯
Ramon Arellano Felix,比森特·萨巴达·尼布拉
Roberto Ramírez Garza,罗伯托·拉米雷斯·加尔萨
Patricio Gallardo,帕特里西奥·加拉多
Luz Jiménez,卢兹·希门尼斯
Lyn May,林·梅
Pedro Galindo Galarza,佩德罗·加林多
Vadhir Derbez,瓦迪尔·德尔贝斯
Rubén Albarrán,盧賓·阿爾巴蘭
Vinicio Castilla,芬尼·卡斯提拉
Amanda del Llano,阿曼达·戴尔·亚诺
Trauma II,特劳马二世
Ulises Mendívil,烏利施·文迪維爾
Universo 2000,Universo 2000
Verónica Pérez,贝罗妮卡·佩雷斯
Verónica Ruiz de Velasco,維羅妮卡·魯伊斯·德·貝拉斯科
Wolf Ruvinskis,沃尔夫·鲁温斯基斯
Xavier Massimi,泽维尔·马西米
Mara Escalante,玛拉·埃斯卡兰特
Vicente Carrillo Leyva,维森特·卡里略·莱瓦
William Yarbrough,威廉·亚伯伦
William Spratling,威廉·斯伯萊特寧
Daniel Gaytán,丹尼尔·盖坦
Andrea Martí,安德莉亚·马尔丁
Manuel Capetillo,曼努埃尔·卡珀蒂略
Manny Banuelos,曼尼·巴努埃洛斯
Anelita,阿内尔
Paty Chapoy,帕蒂·查波伊
Paulina Holguin,宝琳娜·奥尔金
Rosaura Barahona,羅薩拉·巴霍納
Manuel Mendívil,曼努埃尔·门迪维尔
Pedro D'Aguillón Lozano,佩德罗·达吉永·洛萨诺
Xóchitl Ugarte,泽奇特尔·乌加特
Mari Apache,马里·阿帕奇
Yolanda Ventura,约兰达·本图拉
Yareli Arizmendi,亚蕾莉·阿里吉门德
Ángel Carvajal Bernal,安赫尔·卡瓦哈尔·贝尔纳尔
Porfirio Parra,波菲里奥·帕拉
Álvaro Guerrero,阿爾瓦羅·葛雷洛
Salvador Cienfuego,薩爾瓦多爾·辛費戈斯·薩皮達
Isaac Brizuela,伊薩克・布里蘇埃拉
Plácido Arango Arias,普拉西多·阿朗戈·阿里亚斯
Isidro Baldenegro López,伊西德羅·巴爾德內格羅·羅培茲
Xabiani Ponce De León,萨比亚泥·庞赛·迪·雷昂
Alejandra Ávalos,亚历杭德拉·阿瓦洛斯
Alejandro Ibarra,亚历杭德罗·伊巴拉
Alejandro de la Madrid,亚历杭德罗·德·拉·马德里
Alfonso Dosal,阿方索·多萨尔
Zully Keith,祖莉·基思
Zumbido,宗比多
Maricruz Olivier,马里克鲁斯·奥利维尔
Óscar Figueroa,奧斯卡·斐哥羅亞
Jaime Baksht,杰米·巴克希特
Santiago Mirabent,山地亚哥·米拉本特
Mark B. Rosenberg,馬克∙羅森堡
Mario Santiago Papasquiaro,聖地亞哥·巴巴斯奎羅
Mario Castañeda,马里奥·卡斯塔尼达
Mario Ramírez Treviño,馬利歐·拉米雷斯·崔維諾
Ana Bertha Espín,安娜·伯萨·埃斯皮
La Güereja,瑪麗亞·埃琳娜·索爾達娜
María Eugenia Llamas,玛丽亚·欧亨尼娅·拉马斯
María Fernanda García,玛丽亚·费尔南达·加西亚
Thalí García,塔利·加西亚
Jorge Estrada Solórzano,喬治·埃斯特拉達-索洛爾薩諾
Jaime Fernández,杰米·费尔南德斯
Ismael Zambada García,伊·詹巴達·卡西亞
Mascarita Dorada,马斯卡利达·多拉达
Mascarita Sagrada,马斯卡里塔·萨格拉达
Radamés de Jesús,拉达梅斯·德·热苏斯
Martín De León,馬丁·德·利昂
Andrea Torre,安德烈埃·托雷
Miguel Ángel Reyes-Varela,米格尔·安赫尔·雷耶斯-瓦雷拉
María del Sol,玛丽亚·戴尔·索尔
Ángel de Oro,安杰尔·德·奥罗
Black Terry,黑特里
Miguel Couturier,米格尔·库特里尔
Beatriz Shantal,比阿特丽斯·尚塔尔
Carlos Marcovich,卡洛斯·马尔科维奇
Carlos Ortiz,卡洛斯·歐提茲
Rafael Tovar y de Teresa,拉斐尔·托瓦尔·德特蕾莎
Mare Advertencia,梅爾·艾德弗坦西婭·莉里卡
Yuvanna Montalvo,尤万娜·蒙塔尔沃
Silverio Palacios,西尔弗里奥·帕拉西奥斯
Rafael Morgan Ríos,拉斐尔·摩根·里奥斯
Felipe Garrido,费利佩·加里多
Felipe Nájera,费利佩·纳胡拉
Cassandra Sánchez Navarro,卡桑德拉·桑切斯·纳瓦罗
Victoria Rodríguez,维多利亚·罗德里格斯
María Luisa Alcalá,玛丽亚·路易莎·阿尔卡拉
Carlos Dorrien,卡洛斯·多里恩
Carlos Emiliano Salinas,埃米利亚诺·萨利纳斯
Nellie Campobello,內莉·坎波貝洛
Myriam Montemayor,迈娅姆·蒙特马约尔·克鲁兹
Dulce Guerrero,杜尔塞·格雷罗
Alfonso Celis Jr,小阿方索·塞利斯
Edgar Oceransky,埃德加·奥切兰斯基
Héctor Bonilla,海特·伯尼拉
Minerva Cuevas,密涅瓦·奎瓦斯
Miguel Ángel Herrera Equihua,米格爾·安赫爾·埃雷拉
Jonás Cuarón,乔纳斯·柯朗
Luis de Llano Palmer,路易斯·帕尔·默拉诺
Hanna Jaff,汉娜·贾夫
Arturo García Tenorio,阿图罗·加西亚·特诺里奥
Mónica Noguera,莫妮卡·诺格拉
Miroslava Montemayor,卢塞罗·蒙特马约尔
Carlos Cisneros,卡洛斯·西斯内罗斯
Carlos Salcedo,卡洛斯·薩爾塞多
Jahir Ocampo,海尔·奥坎波
Francisco García Salinas,弗朗西斯科·加西亚·萨利纳斯
Fátima Torre,法蒂玛·托雷
Kristyan Ferrer,克里斯蒂恩·费雷尔
Valeria Luiselli,瓦莱丽亚•路易塞利
Negro Navarro,内格罗·纳瓦罗
Rayo de Jalisco,老拉約·德·哈利斯科
Ténoch Huerta Mejía,特诺切·韦尔塔
Nashla (actriz),耐什娜·阿吉拉尔
Shadito Cruz,沙迪托·克鲁兹
Jorge R. Gutiérrez,喬治·古提雷茲
Jorge Muñiz,豪尔赫·穆尼斯
Inés Sainz Gallo,伊涅斯·萨因斯
Miriam Rivera,米里亞姆·里維拉
Miriam Higareda,米丽亚姆·希加瑞达
Ulises de la Torre,尤利塞斯·代·拉·托雷
Humberto Vélez,温贝托·贝莱斯
Horacio Villalobos,奥拉西奥·比利亚洛沃斯
Hugo Argüelles,雨果·阿圭勒斯
Miroslav Čermelj,切尔梅利
Javier Saldaña Almazán,哈维尔·萨尔达尼亚·阿尔玛赞
Nitro,尼特罗
Norma Alarcón,諾瑪．厄拉康
Octavio Ocaña,奥克塔维奥·奥卡尼亚
Ilithya Manzanilla,伊立亚·曼扎尼拉
La Parka/El muerto,拉·帕克II
Nicolás Pereda,查譚雅·塔姆哈尼
Héctor Moreira Rodríguez,埃克托尔·莫雷拉·罗德里格斯
Trauma I,特劳马一世
Omar Treviño Morales,奧馬爾·特雷維諾·莫拉勒斯
José mamón Fernández Álvarez,何塞·拉蒙·费尔南德斯·阿尔瓦雷斯
Trino,特里諾·卡瑪奇歐
Jorge Ortín,豪尔赫·奥廷
Omar Fayad,奥马尔·法亚德
Bianca Sierra,比安卡·塞拉
Martín Barba,马丁·巴尔巴
José Rodrigo Aréchiga Gamboa,乔斯·罗德里戈·阿雷奇加·甘博亚
Roberto Plantier,罗伯托·普兰提尔
Alexandra de la Mora,亚历山德拉·德拉·莫拉
Fénix,费尼克斯
Patricia Acevedo,帕特里夏·阿塞韦多
Rocío Verdejo,罗西奥·弗德乔
Rodolfo Pizarro,鲁道夫·皮萨罗
Oro,小奥罗
Natalia Juárez,娜塔莉亚·华雷斯
Dagoberto Gama,达戈贝托·伽玛
Javier Güémez,哈维尔·古梅兹
Verónica Langer,贝罗尼卡·兰格
Luis de Llano Macedo,路易斯·德·拉·诺马塞
Malukah,马鲁卡
José-Luis Orozco,荷西·路易斯·奥罗斯科
Raquel Castro,拉克尔·卡斯特罗
José Luis Valle Magaña,何塞·路易斯·瓦莱·马加纳
Karla Souza,凱拉·蘇薩
Norma Angélica,诺玛·安吉里卡
Moisés Suárez,莫伊斯·苏亚雷斯
Montserrat Oliver,蒙特塞拉特·奥利弗
María Rubio Tejero,玛丽亚·卢比奥
María de los Ángeles Moreno,玛丽亚·德·洛斯·安格莱斯·莫雷诺
Octavio Mora,奧克塔維奧·莫拉
Marcelino Perelló Valls,馬塞利諾·佩雷略·瓦爾斯
Ahrid Hannaley,阿赫里德·汉纳利
Joaquín Garrido,华金·加里多
Vidal Francisco Soberón Sanz,维达尔·弗朗西斯科·索贝隆·桑兹
Virginia Serret,弗吉尼亚·塞雷
Eligio Meléndez,埃利希奥·梅兰德斯
Patricia Riggen,派翠西亞‧里根
María Eugenia Campos Galván,玛丽亚·尤金妮娅·坎波斯·加尔万
Javier Valdez Cárdenas,哈維爾·瓦爾迪茲·卡德納斯
Laura de Ita,劳拉·德伊达
Víctor Manzanilla Schaffer,维克托·曼萨尼利亚·沙费尔
Luis Gimeno,路易斯·希梅诺
Rogelio González Pizaña,罗赫利奥·冈萨雷斯·皮萨尼亚
Roberto Sosa,罗伯托·索萨
Sarah Jiménez,莎拉·希門尼斯
Marina de Tavira,瑪莉娜·德·塔維拉
Pepe Aguilar,佩佩·阿吉拉爾
Julián de Meriche,朱利安·德·梅里谢
Jay de la Cueva,傑·德拉·奎瓦
Monica Olvera de la Cruz,莫尼卡·奥尔维拉·德·拉·克鲁兹
Pedro Pineda,佩德羅·皮內達
Pedro Reyes,佩德罗·雷耶斯
Rafael Zubirán Capmany,拉斐尔·祖巴拉·卡普马尼
Pilar Pellicer,皮拉尔·佩利塞尔
Víctor Flores Olea,维克多·弗洛雷斯·奥莱亚
Luz Gaxiola,丹妮拉·加克西奧拉
Akuma,阿库马
Mario Loria,马里奥·洛里亚
Perro Aguayo Jr.,小佩羅·亞古約
Zaide Silvia Gutiérrez,萨德·西尔维亚·古铁雷斯
Álex Perea,亚历克斯·佩雷亚
Paul Rene Moreno,保羅·莫雷諾
Pedro Aspe,佩德罗·阿斯彭·阿雷梅拉
Pedro Aviles Pérez,佩德罗·阿维莱斯佩雷斯
Gloria Peralta,格洛里亚·佩拉尔塔
Pirata Morgan,皮拉塔·摩根
Plácido Domingo Jr.,小多明戈
Alan Tacher,艾伦·塔克尔
Raymundo Capetilo,雷蒙多·卡佩蒂略
Mario Osuna,马里奥·奥苏纳
Rosa María Bianchi,罗斯·比亚齐
Pedro Valtierra,佩德罗·瓦尔蒂拉
Ricardo Abarca,里卡多·阿瓦尔卡
Rafael Hernández Rojas,拉斐尔·埃尔南德斯··罗哈斯
Lupita Pallás,鲁皮塔·帕拉斯
Sandra Itzel,桑德拉·泰泽尔
Tania Vázquez,塔尼亚·巴斯克斯
Tomás Antonio O'Horán y Argüello,托馬斯·歐霍蘭
Daniel Suárez,丹尼·蘇爾茲
Óscar Liera,奥斯卡·列拉
Mike Seal,迈克·锡尔
Shilinsky,埃斯坦尼斯劳·希林斯基·巴彻斯卡
Susana Diazayas,苏萨纳·迪亚亚斯
Adela Fernández y Fernández,阿德拉·费尔南德斯·伊·费尔南德斯
Victor Corona,维克多·科罗纳
Óscar Priego,奥斯卡·普里耶戈
Atala Sarmiento,阿塔拉·萨米恩托
Gina Morett,吉纳·莫雷特
Raúl Araiza,劳尔·阿赖萨
Humberto Leal Garcia,乌姆伯托·雷阿尔·加西亚
Hugo Salinas Price,胡戈·薩利納斯·普萊斯
Javier Ostos Mora,哈維爾·歐斯托斯·莫拉
Ray Mendoza,雷·门多萨
Agustín García Rodríguez,奧古斯丁·加西亞
Alfredo Zacarías,阿爾弗雷多·薩卡里亞斯
Jesús Barrero,杰斯·巴雷罗
Bulto clown,心理小丑
Rafael Corkidi,拉斐尔·科基迪
Walter Gael Sandoval,蓋爾·桑多瓦爾
John Marsh,約翰·馬胥
Viridiana Alatriste,维里迪安娜·阿拉特里斯特
Raziel,拉齐尔
Carlos Velázquez,卡洛斯·贝拉斯克斯
Guillermo Tovar de Teresa,吉列尔莫·托瓦尔·德·特里萨
Raúl Aldana (Actor),劳尔·阿尔达纳
Briseida Acosta,布里塞伊達·艾科斯塔
Raúl Nava,魯爾·華拿
Eduardo Arroyuelo,Eduardo Arroyuelo
Emilio Guerrero,埃米利奥·格雷罗
Regina Blandón,丽贾娜·布兰登
Jesús Gómez,赫苏斯·戈麦斯
Jesús León Santos,赫蘇斯·利昂·桑托斯
Julio Bracho Castillo,胡利奥·布拉乔
Regina Torné,丽贾娜·托恩
Darío Ripoll,达里奥·利波爾
Jose L. Espinoza,伊浩昇
Alejandra Peniche,亚历杭德拉·佩尼切
