Klaus Ernst,클라우스 에른스트
Richard Alan Meier,리처드 마이어
Moritz Leitner,모리츠 라이트너
Dirk Lehmann,디르크 레만
Marvin Compper,마빈 콤프
Irene Müller,이레네 뮐러
Jens Nowotny,옌스 노보트니
Matthias Ginter,마티아스 긴터
James Stirling,제임스 스털링
Nina Petri,니나 페트리
Wiradech Kothny,비라데히 코트뉘
Markus Steinhöfer,마르쿠스 슈타인회퍼
Oliver Kreuzer,올리버 크로이처
Toni Kroos,토니 크로스
Patrick Helmes,파트리크 헬메스
Nils Petersen,닐스 페테르센
Andreas Beck,안드레아스 베크
Frank Rost,프랑크 로스트
Zora Holt,조라 홀트
Frank Baumann,프랑크 바우만
Lars Unnerstall,라르스 운너스탈
Wilhelm Kempff,빌헬름 켐프
Karl-Heinz Riedle,카를하인츠 리들레
Klaus Augenthaler,클라우스 아우겐탈러
Klaus Kinkel,클라우스 킹켈
Sebastian Deisler,제바스티안 다이슬러
Daniel Williams,대니 윌리엄스
Helmut Walcha,헬무트 발하
Lukas Podolski,루카스 포돌스키
Wolfgang Schmidt,볼프강 슈미트
Wolfgang Reinhardt,볼프강 라인하르트
Leonhard Pohl,레온하르트 폴
Karl Adam,카를 아담
Aaron Hunt,아론 훈트
Christian Kracht,크리스티안 크라흐트
Marc-André ter Stegen,마르크 안드레 테르 슈테겐
Walther Rathenau,발터 라테나우
Carl Eduard,카를 에두아르트
Walter Hallstein,발터 할슈타인
Hans-Joachim Rotzsch,한스요아힘 로치
David Garrett,데이비드 가렛
Benedikt Dyrlich,베네딕트 디릭
David Odonkor,다비트 오동코어
Clemens Fritz,클레멘스 프리츠
Carlos Kleiber,카를로스 클라이버
Carl Heinrich Graun,카를 하인리히 그라운
Auguste Viktoria von Schleswig-Holstein-Sonderburg-Augustenburg,슐레스비히홀슈타인존더부르크아우구스텐부르크의 아우구스테 빅토리아
Matthias Brandt,마티아스 브란트
Stefan Reisch,슈테판 라이슈
Henning Berg,헤닝 베르크
Klaus Just,클라우스 유스트
Friedrich Schröder,프리드리히 슈뢰더
İlkay Gündoğan,일카이 귄도안
Katrin Krabbe,카트린 크라베
Sophie Dorothea von Hannover,조피 도로테아 폰 하노버
Bianca Maria Sforza,비앙카 마리아 스포르차
Jens Weißflog,옌스 바이스플로크
Marlies Göhr,마를리스 괴르
Max Pechstein,막스 페히슈타인
Karl Schmidt-Rottluff,카를 슈미트 로틀루프
José Holebas,호세 홀레바스
Maria Amalia von Österreich,오스트리아의 마리아 아말리아
Günter Sommer,귄터 조머
Matt Lucas,맷 루커스
Sigmar Gabriel,지그마르 가브리엘
Bernhard Sekles,베른하르트 세클레스
Marie in Bayern,마리아 소피아 디 바비에라 왕녀
Adam Schmidt,아담 슈미트
Wolfgang Stark,볼프강 슈타르크
Fabian Ernst,파비안 에른스트
Nicole,니콜
Kai Hansen,카이 한센
Simon Rolfes,지몬 롤페스
Thomas Linke,토마스 링케
Maria Josepha von Sachsen,작센 공녀 마리아 요제파
Jürgen Schult,위르겐 슐트
Auguste Wilhelmine von Hessen-Darmstadt,헤센다름슈타트의 아우구스테 빌헬미네
Luise Ulrike von Preußen,루이제 울리케 폰 프로이센
Silke Möller,질케 묄러
Elisabeth von Württemberg,뷔르템베르크 공녀 엘리자베트
Karl Honz,카를 혼츠
Johanna Klier,요하나 샬러
Sigrun Wodars,지그룬 보다르스
Bärbel Wöckel,베르벨 뵈켈
Johannes Kaiser,요하네스 카이저
Alexander König,알렉산더 쾨니히
Harald Grosskopf,하랄트 그로스코프
Rica Reinisch,리카 라이니슈
John C. Polanyi,존 폴라니
Diana Damrau,디아나 담라우
Robert Rauschenberg,밥 라우션버그
Helene Fischer,헬레네 피셔
Adolf von Harnack,아돌프 폰 하르나크
Wilhelmine Amalie von Braunschweig-Calenberg,브라운슈바이크뤼네부르크의 아말리아 빌헬미네
Armin Mueller-Stahl,아민 뮐러 스탈
Dieter Borchmeyer,디터 보르흐마이어
Christa Luding-Rothenburger,크리스타 루딩
Josef Manger,요세프 만거
Andrea Pollack,안드레아 폴라크
Roland Matthes,롤란트 마테스
Markus Oehlen,마커스 오 엘렌
Gerhard Richter,게르하르트 리히터
Klaus Allofs,클라우스 알로프스
Wendelin Werner,벤델린 베르너
Karl-Heinz Radschinsky,카를하인츠 라친스키
Evelin Jahl,에벨린 쉴나크
Rubina Nath,루비나 구라오카
Reinhard Schwarz-Schilling,라인하르트 슈바르츠실링
Sergiu Celibidache,세르주 첼리비다케
Sven Bender,스벤 벤더
Silke Renk,질케 렝크
Elke Sommer,앨케 조머
Jakob Brendel,야코브 브렌델
Holger Willmer,홀거 빌머
Agnes Wurmb,아그네스 부름프
Dorkas Kiefer,도르 카스 키퍼
Christian Wörns,크리스티안 뵈른스
Patrick Owomoyela,파트리크 오보모옐라
Christian Pander,크리스티안 판더
Manfred Nerlinger,만프레트 네를링거
Wolfgang Warnemünde,볼프강 바르네뮌데
Stefan Buck,슈테판 부크
Max Beckmann,막스 베크만
Hans Baldung,한스 발둥 그린
Klaus Schulze,클라우스 슐체
Kornelia Grummt-Ender,코르넬리아 엔더
Paul Landers,파울 란더스
Aika Klein,아이카 클라인
Aileen Frisch,아일린 프리슈
Christa Ludwig,크리스타 루트비히
Ades Zabel,아데스 자벨
Thomas Reiter,토마스 레이터
Janina Wirth,야니나 비르트
Ute Geweniger,우테 게베니거
Tim Lobinger,팀 로빙거
Tatjana Hüfner,타티야나 휘프너
Angela Voigt,앙겔라 포이크트
Hans Leo Haßler,한스 레오 하슬러
Martin Bucer,마르틴 부서
Jens Jeremies,옌스 예레미스
Gabriele Reinsch,가브리엘레 라인쉬
Karin Enke,카린 엥케
Inka Grings,잉카 그링스
Annelie Ehrhardt,안넬리 에르하르트
Anna Amalia von Braunschweig-Wolfenbüttel,브라운슈바이크볼펜뷔텔의 아나 아말리아
Margitta Gummel,마르기타 구멜
Christoph Bach,크리스토프 바흐
Terence Hill,테런스 힐
Samuel Scheidt,사무엘 샤이트
Dieter Eilts,디터 아일츠
Akaki Gogia,아카키 고기아
schoolboy q,스쿨보이 Q
Mathias Schober,마티아스 쇼버
Carsten Jancker,카르스텐 양커
Hans Heibach,한스 하이바흐
Fritz Hofmann,프리츠 호프만
Johann Mattheson,요한 마테손
Josef Albers,요제프 알버스
Hans Reichenbach,한스 라이헨바흐
Andreas Görlitz,안드레아스 괴를리츠
Klaus Fischer,클라우스 피셔
Daniel Schwaab,다니엘 슈바브
Werner Müller,베르너 뮐러
Markus Neumayr,마르쿠스 노이마이어
Sven Teutenberg,스벤 토이텐베르크
Ines Diers,이네스 디어스
Timm Klose,팀 클로제
Alexander Baumjohann,알렉산더 바움요한
Peter Brötzmann,페터 브뢰츠만
Gerd Wessig,게르트 베시크
Franz Roth,프란츠 로스
Alexandra Popp,알렉산드라 포프
Georg Ertl,게오르크 에르틀
Franz von Bayern,프란츠 폰 바이에른
Anselm Kiefer,안젤름 키퍼
Renate Stecher,레나테 슈테허
Ashkan Dejagah,아쉬칸 데자가
Klaus Wunder,클라우스 분더
Sandra Farmand,잔드라 파르만트
Leopold Rottmann,레오폴트 로트만
Arno Penzias,아노 앨런 펜지어스
Lukas Schmitz,루카스 슈미츠
Lutz Dombrowski,루츠 돔브로프스키
Karl Mai,카를 마이 (축구인)
Johann Bach,요하네스 바흐
Jenny Wolf,예니 볼프
Dieter Frey,디터 프라이
Carsten Ramelow,카르스텐 라멜로프
Ina-Yoko Teutenberg,이나요코 토이텐베르크
Michael Huth,미하엘 후트
Rudi Kargus,루돌프 카르구스
Herbert Fandel,헤르베르트 판델
Thomas Zander,토마스 찬더
Florian Schneider-Esleben,플로리안 슈나이더
Frank-Michael Wahl,프랑크미하엘 발
Caren Metschuck,카렌 메추크
Andreas Osiander,안드레아스 오시안더
Heike Henkel,하이케 헨켈
Ossi Reichert,오시 라이헤르트
Samuel Schwarz,자무엘 슈바르츠
Lina Radke,리나 라트케
Stefan Kuntz,슈테판 쿤츠
Hildegard Falck,힐데가르트 팔크
Christian Zirkelbach,크리스티안 치르켈바흐
Matthias Flacius,마티아스 플라키우스
Melanie Behringer,멜라니 베링거
Joachim Streich,요아힘 스트라히
Marco Bode,마르코 보데
Hans-Peter Briegel,한스페터 브리겔
Anna Hübler,안나 휘블러
Angelina Grün,앙겔리나 그륀
Christine Wolf,크리스티네 볼프
Christine Wachtel,크리스티네 바히텔
Heike Friedrich,하이케 프리드리히
Daniel Gordon,대니얼 고든
Brigitte Wujak,브리기테 부야크
Bernhard Cullmann,베른하르트 쿨만
Christine Errath,크리스틴 에라스
Alfred Pfaff,알프레트 파프
Michael Wolgemut,미하엘 볼게무트
Martina Müller,마르티나 뮐러
Frank Lieberam,프랑크 리베람
Sabine Meyer,자비네 마이어
Harald Konopka,하랄트 코노프카
Uwe Ochsenknecht,우베 옥센크네히트
Julian Reus,율리안 로이스
Nicolas Jüllich,니콜라스 윌리히
Robert Lehmann,로베르트 레만
Hannelore Anke,하넬로레 앙케
Patrick Guillou,파트리크 길루
Oliver Fink,올리버 핑크
Florian Trinks,플로리안 트링크스
Anett Pötzsch-Rauschenbach,아네트 푀치
Dagmar Hase,다그마르 하제
Fritz Bamberger,프리츠 밤베르거
Lucas Cranach der Ältere,루카스 크라나흐
Martin Lawrence,마틴 로런스
Hans Zassenhaus,한스 차센하우스
Stefan Bell,슈테판 벨
Karsten Just,카르스텐 유스트
Adolf Heinzlmeier,아돌프 하인츨마이어
Wolf Biermann,볼프 비어만
Arnd Peiffer,아른트 파이퍼
Dany Heatley,대니 히틀리
Hanka Kupfernagel,항카 쿠퍼나겔
Ludowika Jakobsson,루도비카 야콥손
Ramona Neubert,라모나 노이베르트
Petra Thümer,페트라 튀머
Jeffrey Schlupp,제프리 슐루프
Anette Rückes,아네테 뤼케스
Zhi Gin Lam,지긴 람
Richard Eilenberg,리하르트 아일렌베르크
Karim Haggui,카림 하귀
Sabine Günther,자비네 귄터
Ulrike Tauber,울리케 타우버
J. Cole,제이 콜
Karl Rüdiger,카를 뤼디거
Christiane Fürst,크리스티아네 퓌르스트
Alfredo Morales,알프레도 모랄레스
Ulrike Richter,울리케 리히터
Denis Thomalla,데니스 토말라
Robert Wiedersheim,로베르트 비더스하임
Uta Pippig,우타 피피히
Otto I.,오토 1세
Tabea Zimmermann,타베아 짐머만
Petra Behle,페트라 벨레
Astrid Kirchherr,아스트리드 커처
Christina Lathan,크리스티나 라단
Sebastian Hofmann,제바스티안 호프만
Toralf Konetzke,토랄프 코네츠케
Richard Trautmann,리하르트 트라우트만
Zlatan Alomerović,즐라탄 알로메로비치
Christina Heinich,크리스티나 하이니히
Oleg Kutscherenko,올레크 쿠체렌코
Sonja Morgenstern,소냐 모르겐슈테른
Tina Theune,티나 토이네
Katrin Dörre-Heinig,카트린 되레 헤인그
Hugo Riemann,후고 리만
Claudia Rauschenbach,클라우디아 라우셴바흐
Elvira Possekel,엘비라 포세켈
Evelin Kaufer,에벨린 카우퍼
Lotte Reiniger,로테 라이니거
Rudolf Rocker,루돌프 로커
Hans Richter,한스 리히터
Hanne Darboven,한네 다보벤
Franz Waxman,프란츠 박스만
Dominik Kohr,도미니크 코어
Hans Wilhelm Schlegel,한스 슈미겔
Ludwig IX.,"루이 9세, 헤센-다름슈타트의 백작"
Gabriele Seyfert,가브리엘 세이페르트
Katharina Fritsch,카타리나 프릿치
Burglinde Pollak,부르글린데 폴락
Max Grün,막스 그륀
Gustav Felix Flatow,구스타프 펠릭스 플라토브
Margrit Olfert,마르그리트 올페르트
Rudolf Arnheim,루돌프 아른하임
Almuth Schult,알무트 슐트
Viktor Bopp,빅토어 보프
Patrick Groetzki,파트리크 그뢰츠키
Simon Terodde,시몬 테로데
Henri Marteau,앙리 마르토
Heike Schulte-Mattler,하이케 슐테마틀러
Bärbel Struppert,베르벨 슈트루페르트
Jutta Müller,유타 뮐러
Wolfgang Köhler,볼프강 쾰러
Tobias Kempe,토비아스 켐페
Wilhelm Solf,빌헬름 졸프
Hans Bellmer,한스 벨머
Arne Jacobsen,아르네 야콥센
Kirsten Emmelmann,키르스텐 에멜만
Robert F. Wagner,로버트 F. 와그너
Adolf Busch,아돌프 부슈
Albrecht Haushofer,알브레히트 하우스호퍼
Theodor Reuß,테오도어 로이스
Eugen Schüfftan,오이겐 쉬프탄
Brunhilde Hendrix,브룬힐데 헨드릭스
Birte Weigang,비르테 바이강
Nadine Angerer,나딘 앙거러
Nelli Nailjewna Schiganschina,넬리 지간시나
Marina Kielmann,마리나 킬만
Sarah Günther,자라 귄터
Gabriele Hinzmann,가브리엘레 힌츠만
Peggy Schwarz,페기 슈왈츠
Holger Börner,홀거 뵈르너
Birgit Treiber,비르기트 트라이버
Kirsten Heiberg,키르스텐 헤이베르그
Reinhold Maier,라인홀트 마이어
Marko Spittka,마르코 슈피트카
Laura Steinbach,라우라 슈타인바흐
Walter Wallmann,발터 발만
Johann Karl August Musäus,요한 카를 아우구스트 무세우스
Herbert Grönemeyer,헤르베르트 그뢰네마이어
Gottfried von Straßburg,고트프리트 폰 슈트라스부르크
Niclas Füllkrug,니클라스 퓔크루크
Wolf Vostell,볼프 포스텔
Wilhelm Hoegner,빌헬름 회그너
Harald Wohlfahrt,하랄트 볼파르트
Hilde Benjamin,힐데 베냐민
Hans-Ulrich Klose,한스울리히 클로제
Peter Niemeyer,페터 니마이어
Rolf Danneberg,롤프 단네베르크
Józef Szmidt,유제프 슈미트
Stefan Reuter,슈테판 로이터
Alexander Merkel,알렉산드르 메르켈
Jeanette Biedermann,자네테 비더만
Ji-In Cho,조지인
Sascha Riether,사샤 리터
Evi Mittermaier,에비 미터마이어
Sigfrid Karg-Elert,지크프리트 카르크-엘레르트
Ralf Fährmann,랄프 페어만
Vahid Haschemian,바히드 하셰미안
Moses Alexander,모지스 알렉산더
Michael Mann,미하엘 만
Maria Riva,마리아 리바
Angela Luther,앙겔라 루터
Matthias Zimmermann,마티아스 치머만
Bruno Petzold,브루노 페촐트
Robert Fleßers,로베르트 플레서스
Edgar Prib,에드가 프립
Sven Fischer,스벤 피셔
Kurt Thomas,쿠르트 토마스
Ferdinand Bonn,페르디난트 본
Alex Meier,알렉산더 마이어
Adolf Weber,아돌프 베버
Hans-Jürgen Gundelach,한스위르겐 군델라흐
Helmut Zacharias,헬무트 차하리아스
Thorsten Burkhardt,토르스텐 부르크하르트
Hans Biallas,한스 비알라스
Manuela Stellmach,마누엘라 스텔마흐
Franz Rademacher,프란츠 라데마허
Dzsenifer Marozsán,제니페르 머로잔
Anke Behmer,앙케 베머
Kathleen Nord,카틀렌 노르트
Conny Bauer,코니 바워
Christian Clemens,크리스티안 클레멘스
Wilhelm Gottlieb Hankel,빌헬름 고틀리프 항켈
Jan Josef Liefers,얀 요제프 리퍼스
Felix Kroos,펠릭스 크로스
Oskar Gröning,오스카르 그뢰닝
Ömer Toprak,외메르 토프라크
Christa Kinshofer,크리스타 킨스호퍼
Jermaine Jones,저메인 존스
Ursula Happe,우르줄라 하페
Gert Metz,게르트 메츠
Steve Shirley,스티브 셜리
Alexandra Bircken,알렉산드라 비르켄
Hans-Joachim Reske,한스요아힘 레스케
Panagiotis Vlachodimos,파나요티스 블라호디모스
Irmina von Oeren,성녀 이르미나
Reinhard Libuda,라인하르트 리부다
Franz Volhard,프란츠 볼하르트
Ferydoon Zandi,페리둔 잔디
Bruno Massot,브뤼노 마소
Adolf von Hildebrand,아돌프 폰 힐데브란트
Heinz Becker,하인츠 베커
Steffi Jones,슈테피 존스
Nadja Tiller,나자 틸러
Tilmann Otto,젠틀맨
Paul von Schoenaich,파울 폰 쇠나이히 남작
Loris Karius,로리스 카리우스
Richard Zeckwer,리하르트 체크버
Sigrun Siegl,지그룬 지글
Yvonne Catterfeld,이본 카터펠드
Silvia Neid,질비아 나이트
Erna Berger,에르나 베르거
Yvonne Snir-Bönisch,이본 뵈니슈
Oskar Fischer,오스카르 피셔
Udo Lattek,우도 라텍
Joseph Haas,요제프 하스
Richard Honig,리하르트 호니히
Ernst Messerschmid,에른스트 메셔슈미트
Ellen Streidt,엘렌 슈트라이트
Katia Mann,카티아 만
Amalie Seebald,아말리 제발트
Erich II.,포메라니아 공작 에릭 2세
Christian Schulz,크리스티안 슐츠
Rolf Dahlgrün,롤프 달그륀
Willi Neuberger,빌리 노이베르거
Natascha Keller,나타샤 켈러
Alexander Zickler,알렉산더 치클러
Aaron Altaras,아론 아타라스
Mario Basler,마리오 바슬러
Thomas Doll,토마스 돌
Amandus Polanus von Polansdorf,아만두스 폴라누스
Karl Amadeus Hartmann,카를 아마데우스 하르트만
Olaf Thon,올라프 톤
Ulf Merbold,울프 메볼드
Wolfgang Nordwig,볼프강 노르트비히
Max Morlock,막스 모를로크
Johann Heinrich Alsted,요한 하인리히 알스테드
Özgür Karadeniz,흑해 무료
Heinz Flohe,하인츠 플로헤
Wladimir Nikolajewitsch Woinowitsch,블라디미르 보이노비치
Ludolph van Ceulen,루돌프 반 쿨렌
Horst Hrubesch,호르스트 흐루베슈
Achim Wolff,아킴 울프
Eberhard Weber,에버하르트 베버
Stephan Salger,슈테판 잘거
Arnel Taci,아넬 타시
Jürgen Kohler,위르겐 콜러
Otto von der Gablentz,오토 폰데르가블렌츠
Klaus Voormann,클라우스 부어만
Bernd Leno,베른트 레노
Eric Maxim Choupo-Moting,에리크 막생 슈포 모탱
Uwe Bein,우베 바인
Ulf Kirsten,울프 키르스텐
Jan Tschichold,얀 치홀트
Uli Stielike,울리 슈틸리케
Herbert Burdenski,헤르베르트 부르덴스키
Hans Schäfer,한스 셰퍼
Maylin Wende,마일린 벤데
Johann Joseph Fux,요한 요제프 푹스
Philipp Jacob Spener,필리프 야코프 슈페너
Lewis Holtby,레비스 홀트비
Louis Ferdinand von Preußen,루이 페르디난트 폰 프로이센
Lars Riedel,라르스 리델
Simone Osygus,지몬 오쥐구스
Manfred Kaltz,만프레트 칼츠
Wolfgang Stresemann,볼프강 슈트레제만
Udo Lindenberg,우도 린덴베르크
Gerhard Hochschild,게르하르트 호흐실트
Bruno von Köln,쾰른의 브루노
Günther Treptow,귄터 트렙토프
Nils Schumann,닐스 슈만
Max Gablonsky,막스 가블론스키
Tom Starke,톰 슈타르케
Kurt Edelhagen,쿠르트 에델하겐
Boris Blacher,보리스 블라허
Muhamed Bešić,무함메드 베시치
Ralf Hütter,랄프 휘터
Harold Faltermeyer,하롤트 팔터마이어
Christian Kalkbrenner,크리스티안 칼크브레너
Werner Lorant,베르너 로란트
Rolf Kühn,롤프 퀸
Hans Hofmann,한스 호프만
Bernd Alois Zimmermann,베른트 알로이스 치머만
Jana Pallaske,제나 팰러스키
Siegfried Matthus,지크프리트 마투스
Hans Baluschek,한스 발루셰크
Hans Burgkmair der Ältere,한스 부르크마이어
Władysław Kozakiewicz,브와디스와프 코자키에비치
Mehdi Mahdavikia,메디 마다비키아
Matthias Steiner,마티아스 슈타이너
Bert Trautmann,베르트 트라우트만
Harald Juhnke,하랄드 쥰케
Adriana Altaras,아드리아나 아타라스
Adam Bodzek,아담 보제크
Melanie Skotnik,멜라니 멜포르
Erwin Geschonneck,에르빈 게쇼넥
Eduard Fraenkel,에두아르트 프랭켈
Rudolf Mauersberger,루돌프 마워스베르거
Lukas Loules,루카스 힐베르트
Werner Egk,베르너 에크
Karl Höller,카를 횔러
Manfred Schoof,만프레트 쇼프
Heinrich von Ofterdingen,하인리히 폰 오프터딩겐
Max von Brandt,"막스 폰 브란트,"
Lisa Tetzner,리자 테츠너
Stephan Beckenbauer,슈테판 베켄바워
Thomas Kastenmaier,토마스 카스텐마이어
Toni Turek,토니 투레크
Jonas Cohn,요나스 콘
Silvius Leopold Weiss,실비우스 레오폴트 바이스
Cenk Tosun,젱크 토순
Raimond Aumann,라이몬트 아우만
Albert Mosse,알베르트 모세
Wolfgang Dauner,볼프강 다우너
Stefan Reinartz,슈테판 라이나르츠
Adam Matuschyk,아담 마투슈치크
Martin Jellinghaus,마르틴 옐링하우스
Lothar Meggendorfer,로타어 메겐도르퍼
Julian Draxler,율리안 드락슬러
Herbert Wimmer,헤르베르트 비머
Otto Addo,오토 아도
Jan Schlaudraff,얀 슐라우드라프
Alexander von Schlippenbach,알렉산더 폰 슐리펜바흐
Maja Michailowna Plissezkaja,마이야 플리세츠카야
Patrick Mölzl,파트리크 묄츨
Hugo Kaun,후고 카운
Richard Golz,리하르트 골츠
Harald Spörl,하랄트 슈푀를
Hanno Balitsch,한노 발리치
Ottmar Walter,오트마어 발터
Ronald Maul,로날트 마울
Frank Neubarth,프랑크 노이바르트
Célia Šašić,첼리아 샤시치
Eduard Künneke,에두아르트 퀴네케
Harald Duschek,하랄트 두셰크
Jörg Heinrich,외어흐 하인리히
Tassilo Thierbach,타실로 티르바흐
Hermann Engelhard,헤르만 엥겔하르트
Şiir Eloğlu,쉬일 엘루 글루
Scooter Barry,스쿠터 배리
Bernd Herrmann,베른트 헤르만
Norbert Dobeleit,노르베르트 도벨라이트
Karlheinz Klotz,카를하인츠 클로츠
Agnes Freund,아그네스 프로인트
Rudolf Brandt,루돌프 브란트
Agnes Kraus,아그네스 크라우스
Agnes Plum,아그네스 플룸
Blixa Bargeld,블릭사 바르겔트
Amelie Plaas-Link,아멜리 플라스링크
Ingo Spelly,잉고 슈펠리
Uwe Hünemeier,우베 휘네마이어
Angela Lück,앙겔라 뤼크
Agnes Schwarzmaier,아그네스 슈바르츠마이어
Agnes Schultheiß,아그네스 슐트하이스
Michael Schulz,미하엘 슐츠
Agnes Ponizil,아그네스 포니칠
Agnes Sander-Plump,아그네스 잔더플룸프
Agnes Schmidt,아그네스 슈미트
Andreas Meyer-Lauber,안드레아스 마이어라우버
Hildrun Laufer,힐드룬 클라우스
Beate Peters,베아테 페터스
Andreas Mehl,안드레아스 멜
Clara Westhoff,클라라 베스트호프
Marcel Kittel,마르셀 키텔
Agnes Asche,아그네스 아슈
Helga Seidler,헬가 세이들러
Evelyn Klaudt,에벨린 그로스만
Martin Hess,마르틴 헤스
DJ Tomekk,DJ 토멕
Angela Steinbach,앙겔라 슈타인바흐
Annalena Baerbock,아날레나 베어보크
Reinhard Eiben,레인하르트 에이벤
Hannah Höch,하나 회히
John Tripp,존 트립
Manfred Bockenfeld,만프레트 보켄펠트
Andreas Pflüger,안드레아스 플뤼거
Christian Schreier,크리스티안 슈라이어
Alfred Harth,알프레드 하르트
Peter Rösel,페터 뢰젤
Anne Brendler,앤 브렌들러
Andreas Richter,안드레아스 리치터
Harald Genzmer,하랄트 겐츠머
Søren Nils Eichberg,쇠렌 닐스 아이히베르크
Andreas Scheuer,안드레아스 쇼이어
Fritz Spindler,프리츠 슈핀들러
Susianna Kentikian,수시아나 켄티키아 인
Lennart Thy,레나르트 티
Herman Oskarowitsch Gref,게르만 그레프
Xatar,하타르
Arthur Eisenmenger,아르투어 아이젠멩거
Amélie Niermeyer,아메리 니어 마이어
Kurt Doerry,쿠르트 되리
Angelika Klüssendorf,앙겔리카 클뤼센도르프
Thomas Wolter,토마스 볼터
Alfons Goppel,알폰스 고펠
Angelika Krüger-Leißner,앙겔리카 크뤼거라이스너
Angelika Richter,안젤리카 리히터
Willy Kaiser,빌리 카이서
Andreas Schockenhoff,안드레아스 쇼켄호프
Joachim Kunz,요아힘 쿤츠
Annike Krahn,아니케 크란
Danny da Costa,다니 다 코스타
Max Dauthendey,막스 다우텐다이
Christian Schenk,크리스티안 솅크
Anne Moll,앤 몰
Werner Dollinger,베르너 돌링거
Peggy Waleska,페기 발레스카
Angelika Schöttler,앙겔리카 쇠틀러
Angelika Sedlmeier,앙겔리카 제들마이어
Timo Schultz,티모 슐츠
Jens Carlowitz,옌스 카를로비츠
Johannes van den Bergh,요하네스 판덴베르크
Olaf Zinke,올라프 칭케
Erich Mende,에리히 멘데
Dieter Eckstein,디터 에크슈타인
Helga Masthoff,헬가 마스트호프
Andreas Stoch,안드레아스 슈토흐
Friedel Lutz,프리델 루츠
Gerhard Strack,게르하르트 슈트라크
Michael Bella,미하엘 벨라
Erhard Wunderlich,에르하르트 분더리히
Andre Eckardt,안드레 에카르트
Verena Faißt,페레나 파이스트
Georg Kulenkampff,게오르그 쿨렌캄프
Andreas Thom,안드레아스 톰
Andreas Voglsammer,안드레아스 포글자머
Andrea Hübner,안드레아 휘브너
Anneliese Kaplan,아넬리제 카플란
Nicky Adler,니키 아들러
Kuno Klötzer,쿠노 클뢰처
Christel Frese,크리스텔 프레제
Katrin Rutschow-Stomporowski,카트린 루초슈톰포로프스키
Dietmar Mögenburg,디트마르 뫼겐부르크
Rainer Barzel,라이너 바르첼
Emilia Müller,에밀리아 뮐러
Robert Kromm,로베르트 크롬
Amin Farhang,아민 파르항
Andreas Willers,안드레아스 빌러스
Barbara Stamm,바르바라 슈탐
Karl-Heinz Kunde,카를하인츠 쿤데
Andreas Wecker,안드레아스 베커
Andreas Wolf,안드레아스 볼프
Heidemarie Steiner,하이데마리 슈타이너
Felix Brych,펠릭스 브리히
Birgit Lorenz,비르기트 로렌츠
Friedrich Merz,프리드리히 메르츠
Annemarie Böll,아네마리 뵐
Annette Humpe,아네테 훔페
Andreas von Everdingen,안드레아스 폰 에베르딩겐
Max Davidson,맥스 데이비슨
Andrea Lüdke,안드레아 루드케
Johann Elias Bach,요한 엘리아스 바흐
Rainer Brüderle,라이너 브뤼덜레
Ernst Benda,에른스트 벤다
Tomma Abts,토마 압츠
Andrei Hoteev,안드레이 호테예프
Jan Hoffmann,얀 호프만
Annerose Baier,아네로제 바이어
Andrea Wicklein,안드레아 비클라인
Mona Steigauf,모나 슈타이가우프
Heinz Kubsch,하인츠 쿠브슈
Ulrich Biesinger,울리히 비징거
Max Lorenz,막스 로렌츠
Andrei Tivontschik,안드레이 티본치크
Wolfgang Rübsam,볼프강 뤼프잠
Liudolf,리우돌프
Arvid Kramer,아비드 크레이머
Thomas Schönlebe,토마스 쇤레베
Arthur Oncken Lovejoy,아서 옹켄 러브조이
Stephan Loboué,스테판 로부에
Katrin Meißner,카트린 메이스너
Uwe Gospodarek,우베 고스포다레크
Marco Rose,마르코 로제
Steffen Freund,슈테펜 프로인트
Dettmar Cramer,데트마어 크라머
Volker Beck,폴커 베크
Andreas Behm,안드레아스 벰
Tony Sheridan,토니 셰리던
Ina Bauer,이나 바우어 (피겨 스케이팅 선수)
Siegmund Lubin,지크문드 루빈
Anton Raubal,안톤 라우발
Annette Frier,아네테 프리어
Anica Röhlinger,아니카 로힝저
Holger Osieck,홀거 오지크
Andreas Bialas,안드레아스 비알라스
Andreas Bieber,안드레아스 비버
Uwe Gensheimer,우베 겐스하이머
Florian Hartherz,플로리안 하르테르츠
Erich Ribbeck,에리히 리베크
Horst-Dieter Höttges,호르스트디터 회트게스
Edgar Froese,에드가 프로에제
Andreas Borcherding,안드레아스 보체딩
Reinhard Saftig,라인하르트 자프티히
Lars Ricken,라르스 리켄
Richard Nowakowski,리하르트 노바코프스키
Thomas Helmer,토마스 헬머
Annette Schlünz,아네테 슐륀츠
Romy Kermer,로미 케르머
Anian Zollner,아니안 졸너
Klaus Toppmöller,클라우스 토프묄러
Johann Georg Pisendel,요한 게오르크 피젠델
Yunus Malli,유누스 말리
Andreas Bovenschulte,안드레아스 보벤슐테
Wolfgang Weber,볼프강 베버
Marlene Neubauer-Woerner,마를레네 노이바워뵈르너
Marius Müller-Westernhagen,마리우스 뮐러베슈테른하겐
Erich Beer,에리히 베어
Cornelia Sirch,코르넬리아 지르히
Konrad von Jungingen,콘라트 폰 융깅겐
Olaf Kölzig,올라프 쾰치크
Leon Balogun,레온 발로군
Pascal Groß,파스칼 그로스
Annie Markart,아니 마르카르트
Catherine Flemming,캐서린 플레밍
Sara Noxx,자라 녹스
Sigfried Held,지크프리트 헬트
