Marsilly (Moselle),马尔西伊·(摩泽尔省)
Pommeret,波姆雷
Le Tréhou,勒特雷乌
Plerneuf,普莱尔讷夫
Traité de Nice,尼斯条约
Fontaines-en-Duesmois,迪埃穆瓦地区丰坦
Pluduno,普吕迪诺
Saint-Divy,圣迪维
Vesvres,韦夫尔
Janvry (Essonne),让夫里
Nozay (Essonne),诺宰
Villemomble,维勒蒙布勒
Comps (Drôme),孔普斯·(德龙省)
Saint-Privat-du-Dragon,圣普里瓦迪德拉贡
Loc-Eguiner-Saint-Thégonnec,洛克埃吉内尔-圣泰戈内克
Collonges (Ain),科隆日
La Chapelle-d'Alagnon,拉沙佩勒达拉尼翁
Canton de Vic-le-Comte,维克勒孔特县
Magoar,马戈阿尔
Les Brulais,莱布吕莱
Arcis-sur-Aube,奥布河畔阿尔西
Arthez-de-Béarn,阿尔泰兹德贝阿恩
Ouilly-le-Tesson,乌伊勒泰松
Saint-Denis-Maisoncelles,圣但尼迈松塞勒
Tournières,图尼耶尔
Moutiers (Meurthe-et-Moselle),穆捷·(默尔特-摩泽尔省)
Azerailles,阿兹拉耶
Saint-Brieuc-de-Mauron,圣布里厄德莫龙
Forcelles-sous-Gugney,福尔塞勒苏居涅
Saint-Supplet,圣叙普莱
Soucy (Yonne),苏西
Coat-Méal,科阿特梅阿勒
Villey-le-Sec,维莱勒塞克·(默尔特-摩泽尔省)
L'Abergement-de-Varey,拉贝热芒德瓦雷
Arnay-sous-Vitteaux,阿尔奈苏维托
Arbigny,阿尔比尼
Lagney,拉涅·(默尔特-摩泽尔省)
Fréménil,弗雷梅尼勒
Trémorel,特雷莫雷勒
La Garde (Var),拉加爾德
Caluire-et-Cuire,卡吕尔和屈尔
Lapte,拉普特
La Courneuve,拉库尔讷沃
Sembadel,桑巴代勒
Fédération française de football,法國足球總會
Vazeilles-Limandre,瓦泽耶-利芒德尔
Chauffour-lès-Étréchy,绍富尔莱塞特雷希
Mussy-la-Fosse,米西拉福斯
Plougourvest,普卢古尔韦斯特
Lanvellec,朗韦莱克
Le Verger,勒韦尔热
Marainviller,马兰维莱
Berrien (Finistère),贝里安
Saint-Pierre-du-Fresne,圣皮埃尔迪弗雷讷
Pompogne,蓬波涅
Cérilly (Yonne),塞里伊·(约讷省)
Plélauff,普莱洛夫
Sept-Sorts,塞特索尔
Les Andelys,莱桑德利
Kernilis,凯尔尼利斯
Pierres (Calvados),皮埃尔·(卡尔瓦多斯省)
Villeneuve-les-Genêts,热内新城
Lamarche (Vosges),拉马什
Puxieux,皮克雪
Villefranche-sur-Saône,索恩河畔自由城
Saint-Omer (Pas-de-Calais),圣奥梅尔
Montastruc (Lot-et-Garonne),蒙塔斯特吕克·(洛特-加龙省)
Courson-Monteloup,库尔松-蒙特卢
Crosne (Essonne),克罗讷
La Seyne-sur-Mer,濱海拉塞訥
Saint-Ouen-sur-Seine,塞纳河畔圣旺
Chaillon,沙永
Dombasle-en-Argonne,阿戈讷地区栋巴勒
Louchy-Montfand,卢希-蒙方
Lagarrigue (Lot-et-Garonne),拉加里格·(洛特-加龙省)
Azannes-et-Soumazannes,阿扎讷和苏马扎讷
Avioth,阿维奥特
Nant-le-Petit,小楠村
Pompierre,蓬皮埃尔
Gland (Yonne),格朗·(约讷省)
Pontrieux,蓬特里约
Esquibien,埃斯基比安
Vaubadon,沃巴东
Autignac,欧蒂尼亚克
Vazeilles-près-Saugues,索格附近瓦泽耶
La Turbie,拉蒂尔比
Injoux-Génissiat,安茹-热尼西亚
Solignac-sous-Roche,索利尼亚克苏罗什
Tailhac,塔亚克·(上卢瓦尔省)
La Brède,拉布雷德
Attigny (Ardennes),阿蒂尼
Saint-Genès-la-Tourette,圣热内拉图雷特·(多姆山省)
Champs-sur-Tarentaine-Marchal,塔朗泰讷河畔尚-马尔沙勒
Orgon,奥尔贡
Congerville-Thionville,孔热维尔-蒂永维尔
Brouy,布鲁伊
Corps de réaction rapide européen,歐洲軍團
Castillon-la-Bataille,卡斯蒂永拉巴塔耶
Joué-lès-Tours,茹埃莱图尔
Chastreix,沙斯特雷
Le Brugeron,勒布吕日龙
Gajan (Gard),加让
Chirols,希罗勒
Motul (entreprise),MOTUL
Valframbert,瓦尔弗朗贝尔
Gif-sur-Yvette,伊韦特河畔日夫
Corbeil-Essonnes,科尔贝伊-埃松
Lunéville,吕内维尔
Cavaillon,卡瓦永
Plateau des Guyanes,圭亚那高地
Sougeal,苏热阿勒
Neuviller-lès-Badonviller,讷维莱莱巴东维莱
Saint-Jean-de-Maurienne,圣让德莫里耶讷
La Richardais,拉里沙尔代
Saint-Sauveur (Meurthe-et-Moselle),圣索沃尔·(默尔特-摩泽尔省)
Rostrenen,罗斯特勒南
Saint-Georges-Lagricol,圣乔治拉格里科勒
Bourg-lès-Valence,瓦朗斯堡
Roquebrun,罗克布兰
Verzée,韦尔泽河
Villabé,维拉贝
Roinvilliers,鲁万维利耶
Raucourt (Meurthe-et-Moselle),罗库尔·(默尔特-摩泽尔省)
Benney,贝内·(默尔特-摩泽尔省)
Serriera,塞列拉
Chalaines,沙莱讷
Villers-sur-Meuse,默兹河畔维莱
Ferrières-Saint-Mary,费里耶尔-圣玛丽
Villeneuve-le-Comte,孔特新城
Les Granges-le-Roi,莱格朗日勒鲁瓦
Bagnolet,巴尼奥莱
Rade de Brest,布雷斯特湾
Mer d'Iroise,伊鲁瓦斯海
Bernouil,贝尔努伊
Cachan,卡尚·(馬恩河谷省)
Andernos-les-Bains,昂代诺斯莱班
Billiat,比利亚
1er régiment de parachutistes d'infanterie de marine,第1海軍陸戰傘降團
Deauville,多維爾
Arbent,阿尔邦·(安省)
Lixy,利克西
Bourgoin-Jallieu,布尔关雅略
Neuilly-en-Donjon,讷伊昂东容
Saint-Genest (Allier),圣热内斯特·(阿列省)
Valignat,瓦利尼亚
Saint-Fargeol,圣法若勒
Bergues,贝尔格·(北部省)
Tasso,塔索
Paray-sous-Briailles,帕赖苏布里亚耶
Mont Ventoux,旺图山
Hanvec,昂韦克
Domrémy-la-Pucelle,栋雷米拉皮塞勒
Attignat,阿蒂尼亚
Coadout,科阿杜特
Die (Drôme),迪镇
Coincourt,宽库尔
Varès (Lot-et-Garonne),瓦雷斯·(洛特-加龙省)
Masquières,马斯基耶尔
Chalamont,沙拉蒙
Cesson-Sévigné,塞松塞维涅
Bulligny,比利尼
Pantin,庞坦
Bar-sur-Aube,奥布河畔巴尔
Territoires du royaume de France,法国行省
Villebramar,维勒布拉马尔
Tréveray,特雷沃赖
Heillecourt,埃耶库尔
Mécrin,梅克兰
Chouvigny,舒维尼
Souvigny,苏维尼
Brem-sur-Mer,滨海布雷姆
Bellerive-sur-Allier,阿列河畔贝尔里夫
Égliseneuve-d'Entraigues,埃格利斯讷沃当特赖格
Bois de Boulogne,布洛涅林苑
Lougratte,卢格拉特
2e arrondissement de Paris,巴黎第二区
Saint-Amand-Montrond,圣阿芒蒙龙
Sartrouville,萨特鲁维尔
Luvigny,吕维尼·(孚日省)
Beaulieu (Calvados),博略·(卡尔瓦多斯省)
Campeaux (Calvados),康波·(卡尔瓦多斯省)
Cléry-le-Petit,小克莱里
Gogney,戈涅
Urville (Vosges),于尔维尔·(孚日省)
Drouville,德鲁维尔
La Sauvetat-de-Savères,拉索沃塔德萨韦尔
Marmont-Pachas,马尔蒙-帕沙
Dammarie-les-Lys,达马里莱利斯
Bourbon-l'Archambault,波旁拉尔尚博
Batasuna,团结·(巴斯克)
Grenoble Foot 38,格勒诺布尔足球俱乐部
Châteauvieux (Var),沙托维约·(瓦尔省)
Ciadoux,锡亚杜
Plasnes,普拉讷
Clayeures,克莱约尔
Bettainvillers,贝坦维莱尔
Luc (Lozère),吕克·(洛泽尔省)
La Guyonnière,拉吉约尼耶尔
Einville-au-Jard,安维尔欧雅尔
Blénod-lès-Pont-à-Mousson,布莱诺莱蓬塔穆松
Saint-Colomb-de-Lauzun,圣科隆德洛赞
Deuxville,德克斯维尔
Teillet-Argenty,泰耶-阿尔让蒂
Saint-Bonnet-Tronçais,圣博内特龙赛
Foissac (Gard),富瓦萨克·(加尔省)
Riom-ès-Montagnes,里永埃斯蒙塔涅
Plaintel,普兰泰勒
Vervezelle,韦尔沃泽勒
Vaudeville (Meurthe-et-Moselle),沃德维尔
Fécamp,费康
La Tour-d'Auvergne,奥弗涅地区拉图尔
Souvignargues,苏维尼亚尔格
Ruynes-en-Margeride,吕讷昂马尔热里德
Colonne de Juillet,七月柱
Bussy-la-Pesle (Nièvre),比西拉佩勒·(涅夫勒省)
Tillay-le-Péneux,蒂耶勒佩讷
Vaujours,沃茹尔
Saint-Rémy-en-Rollat,圣雷米昂罗拉
Omps,翁·(康塔尔省)
Verrières (Puy-de-Dôme),韦里耶尔·(多姆山省)
Gailhan,加扬·(加尔省)
Pont-d'Ain,蓬丹
La Chapelle-sur-Usson,拉沙佩勒叙于松
Internationaux de France de tennis 2008,2008年法國網球公開賽
Saint-Fulgent-des-Ormes,圣菲尔让代索尔姆
Saint-Gaudens,圣戈当
Rethel,勒泰勒
Vacherauville,瓦什罗维尔
Lesparre-Médoc,莱斯帕尔梅多克
Condom (Gers),孔东
Guebwiller,盖布维莱尔
Louppy-le-Château,卢皮堡
Nyons,尼永斯
Villamée,维拉梅
Saint-Trimoël,圣特里莫埃勒
2e division blindée (France),法國第2裝甲師
Burcy (Calvados),比尔西·(卡尔瓦多斯省)
Hagnéville-et-Roncourt,阿涅维尔和龙库尔
Bonzée,邦泽
Ploulec'h,普卢莱克
Pamiers,帕米耶
Vigny (Val-d'Oise),维尼·(瓦兹河谷省)
Ronquerolles,龙克罗勒
Simple messieurs des Internationaux de France 2008,2008年法國網球公開賽男子單打比賽
La Garde-Adhémar,拉加尔德阿代马尔
Rignosot,里尼奥索
Tour T1,T1大樓
L'Estréchure,莱斯特雷许尔
Fouesnant,富埃南
Chambon-sur-Lac,滨湖尚邦
Noirefontaine (Doubs),努瓦尔方丹
Saint-Michel-de-Montjoie,圣米歇尔德蒙茹瓦
Saint-Jacut-de-la-Mer,滨海圣雅屈
Jailly-les-Moulins,雅伊莱穆兰
Ceyzériat,塞泽里亚
Champdor,尚多尔
Baulny,博尔尼
Bléneau,布莱诺
Ceintrey,桑特雷·(默尔特-摩泽尔省)
Laires,莱尔·(加来海峡省)
Thiembronne,蒂扬布罗讷
Montbard,蒙巴尔
Vervins,韦尔万
Université de Paris (1896-1970),巴黎大学
Cassaniouze,卡萨尼尤兹
Montpezat-sous-Bauzon,蒙珀扎苏博宗
Longuenesse,隆格内斯
Albarine,阿爾巴里訥河
Caissargues,凯萨尔格
Chauny,绍尼
Jou-sous-Monjou,茹苏蒙茹
Écrammeville,埃克拉姆维尔
Bislée,比莱·(默兹省)
Largentière,拉让蒂耶尔
Plouvorn,普卢沃恩
Aigne,艾涅·(埃罗省)
Cros-de-Montvert,克罗德蒙特韦尔
Croisances,克鲁瓦桑斯
Chomelix,绍姆利
Auvers (Haute-Loire),奥韦尔·(上卢瓦尔省)
Bellegarde (Gard),贝勒加德
Saint-Jean-en-Val,圣让昂瓦勒
Roumois,鲁穆瓦
Colleville-sur-Mer,滨海科勒维尔
Gabian (Hérault),加比扬
Athletic Club ajaccien,阿些斯奧體育會
Molompize,莫隆皮兹
Cabrerolles,卡布勒罗勒
Neussargues-Moissac,讷萨格穆瓦萨克
Allauch,阿洛
Graveson,格拉沃松
Aramon (Gard),阿拉蒙
Abaucourt,阿博库尔
Ustaritz,于斯塔里茨
Magny-Cours,马尼-库尔
Chaspinhac,沙斯皮尼亚克
Saint-Antoine (Cantal),圣安托万·(康塔尔省)
Saint-Martin-Valmeroux,圣马丹瓦尔默鲁
Giuncaggio,准卡焦
Thiolières,蒂奥利耶尔
Agnat (Haute-Loire),阿尼亚·(上卢瓦尔省)
Charix,沙里·(安省)
Bertrimoutier,贝尔特里穆捷
Abaucourt-Hautecourt,阿博库尔-欧特库尔
La Chapelle-Engerbold,拉沙佩勒昂热尔博
Brouennes,布鲁埃讷
Le Breuil-en-Bessin,贝桑地区勒布勒伊
Balléville,巴莱维尔
Île de Sein,桑岛·(法国)
Asnelles,阿内勒
Cazideroque,卡济德罗克
Le Plessis-Luzarches,勒普莱西吕扎什
Renty,朗蒂
Liernolles,列尔诺勒
Sansac-Veinazès,桑萨克韦纳泽斯
Vailhan,瓦扬·(埃罗省)
Anglards-de-Saint-Flour,昂格拉尔-德圣弗卢尔
Saint-Péray,圣佩赖
Élection présidentielle française de 2007,2007年法国总统选举
Neuvéglise,讷韦格利斯
Puimisson,皮米松
Vezels-Roussy,韦泽尔鲁西·(康塔尔省)
Brenat,布雷纳·(多姆山省)
Église Notre-Dame-de-Bonne-Nouvelle de Paris,圣母领报教堂·(巴黎)
Thouars,图阿尔·(德塞夫勒省)
Tain-l'Hermitage,坦莱尔米塔日
Nissan-lez-Enserune,尼桑莱藏塞吕讷
Université de Haute-Alsace,上阿尔萨斯大学
Centre national de la recherche scientifique,法國國家科學研究中心
Saint-Étienne-de-Carlat,圣艾蒂安德卡拉
Balazuc,巴拉聚克
Bessan,贝桑·(埃罗省)
Saint-Étienne-de-Baïgorry,圣艾蒂安德巴伊戈里
Marcigny,马尔西尼
Loue,卢河
Le Magnoray,勒马尼奥赖
Salignac (Alpes-de-Haute-Provence),萨利尼亚克·(上普罗旺斯阿尔卑斯省)
Ploumoguer,普卢莫盖尔
Laveissenet,拉韦斯内
Jardin du rocher des Doms,岩石公园·(阿维尼翁)
Capestang,卡佩斯唐
Saint-Jean-Pied-de-Port,圣让皮耶德波尔
Aubigné (Ille-et-Vilaine),欧比涅
Afrique-Occidentale française,法屬西非
Saumane (Gard),索马讷
Saint-Maximin (Gard),圣马克西曼·(加尔省)
Naucelles,诺塞勒
Saint-Uniac,圣于尼亚克
Cussy,屈西·(卡尔瓦多斯省)
Passel,帕塞勒
La Rouvière,拉鲁维耶尔
Martignargues,马蒂尼亚尔格
Belmont-de-la-Loire,卢瓦尔省贝尔蒙
Le Vigan (Gard),勒维冈
Gosné,戈内
Sochaux,索绍
Montignargues,蒙蒂尼亚尔格
Saint-Thonan,圣托南
Chilhac,希亚克·(上卢瓦尔省)
Saint-Hippolyte-de-Caton,圣伊波利特德卡通
6e arrondissement de Paris,巴黎第六区
Sardan,萨尔当
La Chapelle-Marcousse,拉沙佩勒马尔库斯
Gignat,日尼亚
Jurques,瑞尔克
Vaucelles (Calvados),沃塞勒
Danvou-la-Ferrière,当武-拉费里耶尔
Neuilly-la-Forêt,讷伊拉福雷
Trégastel,特雷加斯泰勒
Noron-la-Poterie,诺龙拉波特里
Nied,尼德河
Roucamps,鲁康
Mayenne (rivière),马耶讷河
Chardeny,沙尔德尼
Équitation aux Jeux olympiques de 1900,1900年夏季奥林匹克运动会马术比赛
Henvic,昂维克
Golfe du Lion,利翁灣
Pailloles,帕约勒
Bathelémont,巴泰莱蒙莱博泽蒙
Charmois (Meurthe-et-Moselle),沙尔穆瓦·(默尔特-摩泽尔省)
Saint-Vigor-le-Grand,大圣维戈尔
Corseul,科尔瑟勒
Hannonville-Suzémont,阿农维尔-叙泽蒙
Saint-Clément (Meurthe-et-Moselle),圣克莱芒·(默尔特-摩泽尔省)
Fontenoy-sur-Moselle,摩泽尔河畔丰特努瓦
Mars-la-Tour,马斯拉图尔
Chambley-Bussières,尚布莱-比西耶尔
Trungy,特兰日
Consenvoye,孔桑瓦
Milly-sur-Bradon,布拉东河畔米利·(默兹省)
Pouillenay,普耶奈
Roscoff,罗斯科夫
Briec,布列克
Trieux (Meurthe-et-Moselle),特里约
Burey-en-Vaux,比雷昂沃
Valigny,瓦利尼
Preures,普勒尔
La Sauvetat-sur-Lède,莱德河畔拉索沃塔
Charny (Yonne),沙尔尼·(约讷省)
Langourla,朗古尔拉
Saint-Mars-la-Réorthe,圣马尔拉雷奥尔特
Haute-Épine,欧特埃皮讷
Olcani,奥尔卡尼
Bourg-sous-Châtelet,布尔苏沙特莱
Changy (Saône-et-Loire),尚日·(沙罗勒区)
Celles (Cantal),塞勒·(康塔尔省)
Champagnac (Cantal),尚帕尼亚克
Gournay-sur-Marne,马恩河畔古尔奈
Chassagne (Puy-de-Dôme),沙萨涅·(多姆山省)
Cunlhat,坎亚
Achères (Yvelines),阿谢尔
Liouc,利乌克
Lacapelle-Viescamp,拉卡佩勒维耶斯康
La Croix-Blanche,拉克鲁瓦布朗什
Edern,埃代恩
Saint-Urcisse (Lot-et-Garonne),圣于尔西斯·(洛特-加龙省)
Les Iffs,莱西夫
Bréal-sous-Montfort,布雷阿勒苏蒙福尔
Breteil,布勒泰伊
Stainville,斯坦维尔
Paulhiac,波利亚克
Montignac-Toupinerie,蒙蒂尼亚克-图皮讷里
Bazouges-la-Pérouse,巴祖日拉佩鲁斯
Septmoncel,塞蒙塞勒
Blancfossé,布朗福塞
Simple messieurs des Internationaux de France 2004,2004年法国网球公开赛男子单打比赛
Plomodiern,普洛莫迪耶恩
Pompiey,蓬皮耶
Tréouergat,特雷韦尔加特
Auga,欧加
Granges-le-Bourg,格朗日堡
Ollé,奥莱·(厄尔-卢瓦省)
Autoroute A8 (France),A8高速公路
Fontaine Stravinsky,斯特拉文斯基喷泉
Rongères,龙热尔
Pouy-sur-Vannes,普伊叙瓦讷
Villers-le-Rond,维莱勒龙
Croismare,克鲁瓦马尔·(默尔特-摩泽尔省)
Malavillers,马拉维莱尔·(默尔特-摩泽尔省)
Salazac,萨拉扎克·(加尔省)
Chazelles-sur-Albe,阿尔布河畔沙泽勒
Bouillonville,布永维尔
Bazincourt-sur-Saulx,索河畔巴赞库尔
Mauressargues,莫雷萨尔格
Saint-Geniès-de-Malgoirès,圣热涅斯德马尔瓜雷斯
Baudignécourt,博迪涅库尔
Domptail-en-l'Air,栋塔伊昂莱尔
Saint-Théodorit,圣泰奥多里
Saint-Julien-de-la-Nef,圣于连德拉内夫
Lecques,莱克·(加尔省)
8e arrondissement de Paris,巴黎第八区
Saint-Saury,圣索里
Saint-Pons-de-Mauchiens,圣庞斯德莫希安
Nieudan,尼约当
Saint-Alyre-ès-Montagne,圣阿利尔埃斯蒙塔涅
Rézentières,雷藏蒂耶尔
Félines-Minervois,费利内米内尔瓦
Puisserguier,皮塞吉耶
Champfromier,尚弗罗米耶
Issoudun,伊苏丹
Nérac,内拉克
Beaumont (Yonne),博蒙·(约讷省)
Béon (Ain),贝翁·(安省)
Fauconnerie,鹰猎
Dagonville,达贡维尔
Ancerville (Meuse),昂塞维尔
Eclassan,埃克拉桑
Châteaubriant,沙托布里扬
Eu (Seine-Maritime),厄镇
Arras-sur-Rhône,罗讷河畔阿拉斯
Colombier-le-Jeune,新科隆比耶
Cheminas,谢米纳
Quartier du Montparnasse,蒙帕納斯
Beaulieu-sur-Mer,滨海博略
Saint-Flour (Cantal),圣弗卢尔
Saint-Girons (Ariège),圣日龙
Le Mans Football Club,勒芒足球俱乐部
Baneins,巴南·(安省)
Bellignat,贝利尼亚
Chanay,沙奈
Neufchâteau (Vosges),讷沙托
Marathon aux Jeux olympiques de 1900,1900年夏季奧林匹克運動會田徑男子馬拉松比賽
Aigurande,艾居朗德
Beaucaire (Gard),博凯尔
Coligny (Ain),科利尼
Bénonces,贝农斯
Dampvitoux,当维图
Saint-Joire,圣茹瓦尔·(默兹省)
Arandas,阿朗达斯
Audenge,欧当日
Coggia,科贾·(南科西嘉省)
Parc de la Villette,维莱特公园
Araules,阿罗勒
Bloye,布洛伊
Chambrecy,尚布雷西
Champougny,尚普尼
Île Saint-Louis,聖路易島·(巴黎)
Maxey-sur-Meuse,默兹河畔马克塞
Palasca,帕拉斯卡
Garches,加尔什
Tourzel-Ronzières,图尔泽勒-龙济耶尔
Glun,格兰
Les Très Riches Heures du duc de Berry,贝里公爵的豪华时祷书
Billom,比永
Lapeyrugue,拉佩吕格
Aubenas,欧布纳
Béligneux,贝利尼厄
La Londe-les-Maures,拉隆德莱莫尔
Mayres (Puy-de-Dôme),迈尔·(多姆山省)
Saâcy-sur-Marne,马恩河畔萨西
Brens (Ain),布朗斯·(安省)
Échirolles,埃希罗勒
Chiry-Ourscamp,希里-乌尔斯康
Les Pradeaux,莱普拉多
Novacelles,诺瓦塞勒
Grandval (Puy-de-Dôme),格朗瓦勒·(多姆山省)
Moussages,穆萨日
Lavastrie,拉瓦斯特里
Le Plessis-Bouchard,勒普莱西布沙尔
Chalo-Saint-Mars,沙洛圣马尔
Maison-Maugis,迈松莫日
Woimbey,万贝
Chenières,舍尼耶尔
Bezange-la-Grande,大伯藏日
Raon-sur-Plaine,普莱讷河畔拉翁
Mauvages,莫瓦日
Les Sables-d'Olonne (ancienne commune),莱萨布勒多洛讷·(旧市镇)
Brégnier-Cordon,布雷涅-科尔东
Montabard,蒙塔巴尔
Chanteuges,尚特日
Barfleur,巴夫勒尔
Iré-le-Sec,伊雷勒塞克
Andernay,昂代尔奈
Blamont,布拉蒙
Soisy-sur-École,埃科勒河畔苏瓦西
Aubazat,欧巴扎
Saint-Quentin-sur-le-Homme,圣康坦叙勒奥姆
Raid de Dieppe,迪耶普戰役
Bataille de Beaugency,博讓西戰役
Bey-sur-Seille,塞耶河畔贝
Ordre royal et militaire de Saint-Louis,圣路易勋章
Briis-sous-Forges,布里苏福尔日
Brandeville,布朗德维尔
Étival-Clairefontaine,埃蒂瓦勒-克莱尔方丹
Haironville,艾龙维尔
Nettancourt,内唐库尔
Romagne-sous-Montfaucon,罗马涅苏蒙福孔
Biziat,比济亚
Goulet de Brest,布雷斯特海峡
Annouville-Vilmesnil,阿努维尔-维尔梅尼勒
Le François,勒弗朗索瓦
Puiseux-en-Retz,皮瑟昂雷茨
La Celle (Cher),拉塞勒·(谢尔省)
Saint-Jean-de-Beauregard,圣让德博尔加尔
Doncourt-lès-Conflans,栋库尔莱孔夫朗
Gazeran,加兹朗
Lumio,卢米奥
Cerzat,塞尔扎
Reilhac (Cantal),雷亚克
Bernos-Beaulac,贝尔诺斯-博拉克
Saint-Hippolyte (Aveyron),圣伊波利特·(阿韦龙省)
Vy-lès-Filain,维莱菲兰
Sancerre (AOC),桑塞尔
Sougé (Loir-et-Cher),苏热
Assignat,指券
Saint-Pierre-lès-Elbeuf,圣皮埃尔莱塞尔伯夫
Société générale,法国兴业银行
Orbeil (Puy-de-Dôme),奥尔贝伊
Sivry-Courtry,锡夫里-库尔特里
Saint-Pierre-de-Mailloc,圣皮埃尔德马约
Verdes,韦尔德·(卢瓦-谢尔省)
Cintré,桑特雷
Zuyderzée,须德海省
Montgermont,蒙热尔蒙
Zutkerque,聚凯尔克
Saulxures-lès-Vannes,索叙尔莱瓦讷
Talensac,塔朗萨克
Montmerrei,蒙梅雷
Mont-Ormel,蒙托尔梅勒
Zuydcoote,聚伊德科特
Zuytpeene,聚伊佩讷
Nasbinals,纳斯比纳勒
Olliergues,奥列格·(多姆山省)
Saint-Jean-de-Muzols,圣让德米佐勒
Saint-Cirgues-de-Prades,圣西尔格德普拉德
Sarras,萨拉斯·(阿尔代什省)
Fresnes (Val-de-Marne),弗雷讷
Tourbes,图尔布
Montboudif,蒙布迪夫
Montmédy,蒙梅迪
Migennes,米热讷
Vexaincourt,韦克桑库尔
Forges-les-Bains,福尔日莱班
Chilly-Mazarin,希伊-马萨林
Bonnieux,博尼约
Ollainville (Essonne),奥兰维尔
Longpont-sur-Orge,奥尔日河畔隆蓬
Le Zénith Paris - La Villette,巴黎天頂體育館
Cliponville,克利蓬维尔
Fau-de-Peyre,福德佩尔
Buriville,比里维尔
Champigneulles,尚皮尼厄勒
Clémery,克莱默里
Bureau international des poids et mesures,國際度量衡局
Fains-Véel,凡-韦勒
Luzy-Saint-Martin,吕济圣马丹
Custines,屈斯蒂讷
Lavoûte-Chilhac,拉武特希亚克
Paulhaguet,波拉盖
Mousseaux-lès-Bray,穆索莱布赖
Conflans-sur-Seine,塞纳河畔孔夫朗
Lion-en-Beauce,博斯地区利永
Coubon,库邦
Courouvre,库鲁夫尔
20e arrondissement de Paris,巴黎二十区
Lastic (Puy-de-Dôme),拉斯蒂克·(多姆山省)
Craponne-sur-Arzon,阿尔宗河畔克拉波讷
Nouvron-Vingré,努夫龙-万格雷
Chef-Haut,谢夫欧
Celles-sur-Plaine,普莱讷河畔塞勒
Varnéville,瓦尔内维尔
Ricquebourg,里克堡
Bressuire,布雷敘爾
Arconce,阿爾孔斯河
Marmande,马尔芒德
Trévérien,特雷韦里安
Honfleur,翁弗勒尔
Blaymont,布莱蒙
Punerot,皮讷罗
Denipaire,德尼派尔
Ercé-en-Lamée,拉梅地区埃尔塞
La Ciotat,拉西奥塔
Poilley (Ille-et-Vilaine),波耶·(伊勒-维莱讷省)
Montfort-sur-Meu,默河畔蒙福尔
Sainte-Marie (Cantal),圣玛丽·(康塔尔省)
Morosaglia,莫罗萨利亚
Moulins-sur-Orne,奥恩河畔穆兰
Fontrailles,丰特拉耶
Saint-Sardos (Tarn-et-Garonne),圣萨尔多斯
Pouilly-sur-Meuse,默兹河畔普伊
Chaumont (Yonne),肖蒙·(约讷省)
Château de Saint-Ulrich,聖烏爾里克城堡
Darmannes,达尔马讷
Pont Marie (métro de Paris),马里桥站
Arrondissement de Forcalquier,福卡尔基耶区
Clérey-sur-Brenon,布雷农河畔克莱雷
Cerville,塞尔维尔·(默尔特-摩泽尔省)
Diarville,迪亚维尔
Montgaudry,蒙戈德里
Pussay,皮赛·(埃松省)
Tournoi de tennis de Paris-Bercy (ATP 2010),2010年巴黎大師賽
Suzette,叙泽特
Torigni-sur-Vire,维尔河畔托里尼
Riotord,里奥托尔
Saint-Arcons-de-Barges,圣阿尔孔德巴尔日
Vendel,旺代勒·(伊勒-维莱讷省)
Landéan,朗代昂
Saint-Christophe-des-Bois,圣克里斯托夫德布瓦
Erbéviller-sur-Amezule,阿姆聚勒河畔埃贝维莱尔
Perrou,佩鲁
Ménil-en-Xaintois,桑图瓦地区梅尼勒
Belleydoux,伯莱杜
Chéu,谢于
Lot (rivière),洛特河
Autrepierre,欧特勒皮埃尔
Rollainville,罗兰维尔
Moyenmoutier,穆瓦延穆捷
Givrauval,日夫罗瓦勒
Lisses,利斯·(埃松省)
Jutigny,瑞蒂尼
Bellevue-la-Montagne,贝勒维拉蒙塔涅
Briord,布里奥尔
4e arrondissement de Paris,巴黎第四区
Dommartin-la-Chaussée,多马坦拉绍塞
Érize-la-Petite,小埃里兹
Opéra de Paris,巴黎国家歌剧院
Cuzac,屈扎克
Cheylade,谢拉德
Internationaux de France de tennis 2010,2010年法國網球公開賽
Bouray-sur-Juine,瑞讷河畔布赖
Guibeville,吉布维尔
Aincreville,安克勒维尔
Abbaye Notre-Dame de Fontevraud,丰特夫罗修道院
Parti travailliste (Nouvelle-Calédonie),劳动党·(新喀里多尼亚)
Prieuré de Sion,郇山隐修会
Tronville,特龙维尔
Ville-au-Montois,蒙图瓦城
Valenciennes Football Club,瓦朗謝訥足球俱樂部
Nogent-sur-Marne,马恩河畔诺让
Livaie,利韦·(奥恩省)
Hermé,埃尔梅
Lironville,利龙维尔
Landos,朗多斯
Pinols,皮诺勒
Les Ormes-sur-Voulzie,武尔济河畔莱索尔姆
Véron (Yonne),韦龙
Thiraucourt,蒂罗库尔
Coutarnoux,库塔尔努
Blanzaguet-Saint-Cybard,布朗扎盖-圣西巴尔
Arrout,阿鲁·(阿列日省)
Équipe de Saint-Martin de football,法屬聖馬丁足球代表隊
Lunan,吕南
Lamothe-Fénelon,拉莫特费讷隆
Liste des communes des Alpes-de-Haute-Provence,上普罗旺斯阿尔卑斯省市镇列表
Freycenet-la-Cuche,弗雷斯内拉屈什
Gravon,格拉翁
Arrondissement de Lesparre-Médoc,莱斯帕尔梅多克区
Lapouyade,拉普亚德
Tourette-du-Château,图雷特迪沙托
Lonrai,隆赖
