код автора на ФантЛабе,ファントラブ 作者ID
Улица Бажова,バショワ通り
Фелисово,フェリソヴォ
Федотова коса,フェドトヴァ砂嘴
Уралтрансмаш,ウラル車両工場
Аэропорт Усть-Кут,ウスチ＝クート空港
Уральские локомотивы,ウラル機関車
Уральский военный округ,ウラル軍管区
Уральский государственный колледж имени И. И. Ползунова,I. I. ポルズノフ記念ウラル州立大学
Уральская республика,ウラル共和国
Уральская Сталь,ウラル・スチール
Уральская академия государственной службы,ウラル経営研究所
Физико-математический лицей № 239,サンクトペテルブルク第239高等学校
Усть-Луга,ウスト＝ルガ多目的団地
Уральское отделение Российской академии наук,ロシア科学アカデミー・ウラル支部
Усть-Чарышская Пристань,ウスチ＝チャリシスカヤ・プリスタン
Физматлит,フィズマトギス
филологический факультет МГУ,モスクワ大学文献学部
Финал Гран-при по фигурному катанию 2006/2007,2006/2007 ISUグランプリファイナル
Финансово-экономический кризис 2008—2010 годов в России,ロシア金融危機
Фирсово,小田寒駅
Утлюкский лиман,ウトリュクスキー潟
Флотский экипаж,艦隊乗員班
Утта,ウッタ
Уфимский федеральный исследовательский центр РАН,ロシア連邦アカデミーウファ連邦センター
Уфимский троллейбус,ウファ・トロリーバス
Уфимское моторостроительное производственное объединение,ウファ・エンジン製造合同
Ухра,ウフラ川
Фонвизинская,フォンヴィージンスカヤ駅
Фонд борьбы с коррупцией,反汚職財団
Фонд национального благосостояния России,ロシア国民福祉基金
Фонталовская,フォンタロフスカヤ
Уч-Дере,ウチ＝デレ駅
Ухтома,ウフトマ
Юрий Викторович Ушаков,ユーリ・ウシャコフ
Фрегат Экоджет,フレガート エコジェット
Фроловское,フローロフスコエ
Флаг Белгорода,ベルゴロドの旗
Фрунзенский район,フルンゼンスキー地区
Фрязево,フリヤーズェヴォ駅
"Фурсенко, Сергей Александрович",セルゲイ・フルセンコ
Фусса,茂寄川
Наш дом — Россия,我が家ロシア
ФГУП «Главкосмос»,グラブコスモス
Евгений Алексеевич Фёдоров,エフゲニー・アレクセーエヴィチ・フョードロフ
Фёдоровский сельсовет,フョードロフスキー・セルソヴィエト
Хабаровский регион Дальневосточной железной дороги,ハバロフスク地域部
факультет географии и геоэкологии Санкт-Петербургского государственного университета,サンクト・ペテルブルク大学地理学・地理生態学部
Факультет журналистики МГУ,モスクワ大学ジャーナリズム学部
Факультет психологии МГУ,モスクワ大学心理学部
Флаг Эвенкийского автономного округа,エヴェンキ自治管区の旗
Хабаровск II,ハバロフスクII駅
Хабаровские авиалинии,ハバロフスク航空
Хабаровский краевой музей имени Н. И. Гродекова,N.I.グロデコフ名称ハバロフスク地方考古博物館
Хибинский проезд,ヒビンスキー路地
Химик,FCヒミク・ジェルジンスク
Химический факультет МГУ,モスクワ大学化学部
Химкинский троллейбус,ヒムキ・トロリーバス
Хинганский заповедник,ヒンガンスキー自然保護区
Чемпионат мира по кёрлингу среди юниоров 2013,2013年世界ジュニアカーリング選手権
Христофоровка,豊南駅
«Хронос»,フローノス
Хлепень,フレペニ
Цукановка,ツカノフカ川
Цуриб,ツリブ
Часы на Спасской башне,クレムリンの時計
Чаяндинское газовое месторождение,チャヤンダ・ガス田
Хаптагай,ハプタガイ
Ханкала,ハンカラ
Художественная литература,フドージェストヴェンナヤ・リテラトゥーラ
Харасавэй,カラザウェイ
Чайво,チャイウォ
Хованское кладбище,ホヴァンスコーエ墓地
Ховринская больница,ホヴリノ廃病院
Чайка,チャイカ駅 (ウラジオストク)
ЦСКА,CSKA駅
Чекалов,チェカロフ
Челканское наречие,チェルカン方言
Россети,MRSK ホールディング
Чапаевка,チャパエフカ駅
Руслан Хаджисмелович Цаликов,ルスラン・ツァリコフ
Бату Сергеевич Хасиков,バツ・ハシコフ
Чамгу,チャムグ川
Цапко (платформа),蛯毛信号場
Царицыно,ツァリツィノ駅
Хасан,ハサン駅
Холмск-Северный,北真岡駅
Холмск-Сортировочный,手井駅
Холмск-Южный,真岡駅
Цаган Аман,ツァガン・アマン
Чапланово (станция),二股駅 (樺太)
чаплинский диалект,チャプリノ方言
Холодная река,ホロドナヤ
ЦКБ «Титан»,ティターン・バリカディ
Челобитьево,チェロビトエヴォ
Челси,チェルシー (グループ)
Челябинск-Главный,チェリャビンスク駅
Челябинский железнодорожный музей,チェリャビンスク鉄道博物館
Челябинский областной краеведческий музей,南ウラル州立歴史博物館
Главный центр разведки космической обстановки,総合宇宙監視センター
Музей современного искусства «Гараж»,現代美術ガレージセンター
Центральная музыкальная школа,中央音楽学校
Централ Партнершип,セントラル・パートナーシップ
Средняя полоса России,中央ロシア
Центральная Угловая,ツェントラーナヤ・ウグロヴァヤ空軍基地
Центральная пригородная пассажирская компания,中央郊外旅客会社
Чемпионат мира по конькобежному спорту на отдельных дистанциях 2013,2013年世界距離別スピードスケート選手権大会
Чемпионат мира по тяжёлой атлетике 1983,1983年ウエイトリフティング世界選手権
Ченцы,チェンツィ
Чижево,チジョヴォ
Шарья,シャリヤ駅
Шаталово,シャタロヴォ空軍基地
Центральный музей связи имени А. С. Попова,ポポフ名称中央通信博物館
Шарой,シャロイ
Чингалаш,チンガラシュ川
Хоста,ホスタ駅
Чисмена,チスメナ
Центральный сибирский ботанический сад,中央シベリア植物園
Червлённая,チェルヴリョーンナヤ
Черемшанка (аэропорт),チェレムシャンカ空港
Чистоводное,チストヴォドナヴェ
Чистоводное (станция),清水駅 (樺太)
Чита II,チタII駅
Церковь Георгия Победоносца на Псковской горе,聖ゲオルギイ教会
Церковь Георгия со Взвоза (Псков),丘の付近の聖ゲオルギイ教会
Шаховская,シャホフスカヤ駅
Шаховское,シャホブスコエ (パヴロフスキー地区)
Шахта-Сахалинская,内幌炭山駅
Хохлаоя,ホフラオヤ
Шахтинский трамвай,シャフティ市電
Шахтинский троллейбус,シャフティ・トロリーバス
Шахтёр,FCシャフチョール・プロコピエフスク
Церковь Николы со Усохи (Псков),乾燥地の聖ニコライ教会
Череповец I,チェレポヴェツI駅
Людмила Ивановна Швецова,リュドミラ・シュヴェツォヴァ
Шебунино,シェブニノ
Церковь Козьмы и Дамиана с Примостья (Псков),橋の近くの聖コジマと聖ダミアンの教会
Церковь Покрова и Рождества от Пролома (Псков),壁の裂け目の生神女庇護と生神女誕生の教会
Церковь Последнего Завета,最後の契約の教会
Храм Рождества Пресвятой Богородицы (Вослебово),キリスト降誕教会
Черноморское побережье России,チェルケス海岸
сенатор Совета Федерации России,連邦院議員
Чрезвычайный и полномочный посол СССР и России,ソビエト連邦とロシアの特命全権大使
Церковь Святой Рипсиме,聖リプシム教会
Чернецов,チェルネツォフ
Чувашский государственный институт гуманитарных наук,チュヴァシ国立人文科学研究所
Чувашский национальный музей,チュヴァシ国立博物館
Церковь Сурб Хач (Ростов-на-Дону),聖十字教会
Шелеховка,加熊別川
Шемахинское землетрясение (1859),シェマハ地震
Чернолесское,チェルノレススコエ
Шонга,ションガ
Шорда,ショルダ川
Шенкурская операция,シェンクルスクの戦い
Шеньга,シェンガ川
Южно-Курильский пролив,南千島海峡
Южно-Сахалинск-Грузовой,北豊原駅
Южно-Сахалинск,豊原駅
Южно-Сахалинская детская железная дорога,サハリン子供鉄道
Южно-Тамбейское газовое месторождение,南タンべイスコエガス田
Штурмовая инженерно-сапёрная бригада,Ru：Штурмоваяинженерно-сапёрнаябригада
Аэропорт Шереметьево,シェレメーチエヴォ空港駅
Южная Хандаса,ユジノハンダサ駅
Шубинский переулок,シュビン通り
Чертаново,チェルタノヴォ
Чертаново,チェルタノヴォ
Чертково,チェルトコヴォ
Южный,ユーシュニー
Шуда,シュダ川
Чесменская колонна,チェシュメの柱
Шуваловское кладбище,シュバーロフ墓地
Шувас,シュヴァス川
Чехов-Сахалинский,野田駅 (樺太)
Чёрный Мыс,チョールヌイ・ミス
"Юность (дворец спорта, Челябинск)",ユノスト・スポーツパレス
юридический факультет СПбГУ,サンクトペテルブルク大学法学部
Юность (озеро),ユーナスチ湖
Шагол (аэродром),チェリャビンスク・シャゴル空港
Яр (ресторан),ヤール・レストラン
Шайковка,シャイコフカ空軍基地
Юртовые татары,パオ・タタール人
"Шурчанов, Валентин Сергеевич",ヴァレンチン・シュルチャノフ
Юрьевка,ユーリエフカ
Юсуповский сад,ユスポフ庭園
Ярославль-Московский,モスコフスキー駅
Ярославская духовная семинария,ヤロスラヴリ神学校
Шалаш Ленина,シャラシュ・レーニナ
Юхово,ユコボ
Юхоть,ユホチ川
Юшанлы,ユシャンルィ川
Ябедино,ヤベジノ
Яблочное,ヤブロチヌイ
Школа Марьина Роща,第1414学校
Школа № 281,第281番学校
Ярославский троллейбус,ヤロスラヴリ・トロリーバス
Ярославское направление Московской железной дороги,モスクワ・ヤロスラブリ鉄道
Яблочная,蘭泊駅
«Пятьдесят седьмая школа»,モスクワ第57番学校
Явгес,ヤフゲス
Шолоховский,ショーロホフスキー
ЭД9,ロシア鉄道ED9形電車
ЭД4,ロシア鉄道ED4形電車
Ясногорск,ヤスノゴルスク＝ザバイカリスキー駅
Лариса Кужугетовна Шойгу,ラリサ・クズゲトフナ・ショイグ
Шарипово,シャリポヴォ
Языково,飯場
Яуза,ヤウザ駅
Яузская аллея,ヤウスカヤ路地
Эзоп,エゾプ山
Даргинский поход,ダルゴの戦い
Экспериментальная кольцевая железная дорога ВНИИЖТ,全ロシア鉄道研究所環状実験線
Яковлевка,ヤコヴレフカ
экономика Сахалинской области,サハリン州の経済
Элин,エリン
Чемпионат мира по тяжёлой атлетике 1975,1975年ウエイトリフティング世界選手権
Яйцо с бутоном розы,薔薇のつぼみ
Койла,コイラ
Касвера,カスヴェラ
Геотермальная энергетика России,ロシアの地熱発電
Магас (аэропорт),マガス
Энвижн Груп,エンビジョングループ
Феминизм в России,ロシアにおけるフェミニズム
Федерация фигурного катания на коньках России,ロシアフィギュアスケート連盟
Чемпионат мира по тяжёлой атлетике 1980,1980年ウエイトリフティング世界選手権
Шикотанское землетрясение,北海道東方沖地震
Землетрясение на Камчатке,1997年カムチャツカ地震
Максим Орешкин,マクシム・オレシュキン
глава Республики Калмыкия,カルムイクの首長
Молькин,モルキン
русский фольклор,ロシアの伝承
Грузино-российский кризис,2008年ジョージア外交危機
Кавра,カヴラ
Голосов овраг,ゴロソフ渓谷
глава Карачаево-Черкесской Республики,カラチャイ・チェルケスの首長
Глава Республики Алтай,アルタイの首長
глава Кабардино-Балкарской Республики,カバルダ・バルカルの首長
Западно-Сибирская подтайга,西シベリア広葉混合樹林
Адмирал флота,海軍上級大将
Владимир Владимирович Якушев,ウラジーミル・ヤクーシェフ
Энгельсский завод транспортного машиностроения,トランスマシュ
Чемпионат мира по самбо 2008,2008年世界サンボ選手権
Саммит G-20 в Санкт-Петербурге,第8回20か国・地域首脳会合
Чемпионат мира по кёрлингу на колясках 2013,2013年世界車椅子カーリング選手権大会
98-я гвардейская воздушно-десантная дивизия,第98親衛空挺師団
Эсто-Садок,エスト＝サドク駅
Московский международный автомобильный салон,モスクワ国際モーターショー
Икар,イカル航空
Независимая демократическая партия России,ロシア独立民主党
Комиавиатранс,コミアヴィアトランス
Ленинградская военно-морская база,レニングラード海軍基地
Константин Львович Эрнст,コンスタンティン・エルンスト
Sky Express,スカイ・エクスプレス
Russian Time,ロシアン・タイム
Ялтинская киностудия,ヤルタ映画スタジオ
старший матрос,上級水兵
Китат,キタット
А. Коркунов,A・コルクノフ
падение метеорита Челябинск,2013年チェリャビンスク州の隕石落下
Радио-1,ラジオ1
Ям-Алинь,ヤム＝アリニ山脈
Ямал СПГ,ヤマルLNG
Катат,カタット
Мордовия Арена,モルドヴィア・アリーナ
Федеральная служба по надзору в сфере защиты прав потребителей и благополучия человека,ロシア連邦消費者権利・人間福利保護管理庁
Яндекс Музыка,ヤンデックス・ミュージック
Яндекс Переводчик,ヤンデックス翻訳
интернет-цензура по странам,各国のインターネット検閲
Премия имени Юрия Казакова,ユーリ・カザコフ賞
Югорёнок,ユゴリョノク
Эхаби,エハビ
Пригородное,カディコイ
Dexter,エア・マネジメント・グループ
Алеутская котловина,アリューシャン海盆
Ямбургское нефтегазоконденсатное месторождение,ヤンブルグ・ガス田
КрасАвиа,クラスアビア
Крона-Н,クローナ-N
халх,ハルハ・モンゴル語
Камов Ка-40,Ka-40
Ка-92,カモフ Ka-92
Петсамо (регион),ペツァモ
Права ЛГБТ в Чечне,チェチェン共和国におけるLGBTの権利
Динамо,ディナモ・スタジアム
Конструкторское бюро «Арсенал» имени М.В. Фрунзе,アルセナル (企業)
Курганмашзавод,クルガン機械工場
Правоохранительная деятельность в России,ロシアの法執行機関
Россия и ООН,ロシアと国際連合
Российско-ангольские отношения,アンゴラとロシアの関係
Битва у Корсакова,コルサコフ海戦
Битва с факелами,たいまつの戦い
Центральная клиническая больница с поликлиникой,中央臨床病院
Большая российская энциклопедия,ロシア大百科事典出版社
Чирагский язык,チラグ語
Дубненский машиностроительный завод имени Н.П. Федорова,チェトヴェリコフ設計局
Мура,ムーラ川
Битва за Брянск,オリョール＝ブリャンスク作戦
Лиговский проспект,リゴフ大通り
Афонина,アフォニーナ
Чайка (часовой завод),チャイカ (時計メーカー)
Китайская деревня,中国村
Электроноргтехника,外国貿易協会
Томарикиси,泊岸村
Лумпун,ルムプン川
Шотогорка,ショトゴルカ
Командорская котловина,コマンダール海盆
Генеральное консульство Японии в Санкт-Петербурге,在サンクトペテルブルク日本国総領事館
Скрипучая беседка,Creaking Pagoda
Крокус сити молл,クロッカス・シティ・モール
Сабеттаяха,サベッタヤカ
Река Плотникова,プロトニコワ
Антонов,アントーノフ
даргинские языки,ダルギ諸語
Деловой центр,デロヴォイ・ツェントル駅
Ягодное,ヤゴドノエ
Затопление орбитальной станции «Мир»,ミールの軌道離脱
Посольство Саудовской Аравии в России,在ロシア・サウジアラビア王国大使館
Нембас,ネンバス
Сельденьга,セルデンガ川
Останкино,オスタンキノ・テレビ技術センター
Пятый канал,ペテルブルク - チャンネル5
Харыялах,ハリヤラフ
улица Большая Дмитровка,ボリシャヤ・ドミトロフカ通り
Дипломатическая академия МИД России,ロシア外務省外交アカデミー
Лодозера,ラドゼラ
Сылога,シロガ
постоянный член Совета Безопасности ООН,国際連合安全保障理事会常任理事国
Чирип,散布半島
Толстой-Юрт,トルストイ・ユルト
Мемориал Гранаткина,バレンティン・グラナトキン国際フットボールトーナメント
ЛВС-2009,LVS-2009
Калач-Куртлак,カラチ・クルトラク
Покровское,ポクロフスコエ村
Севастопольский художественный музей имени М. П. Крошицкого,ミハイルクロシツキー・セヴァストポリ美術館
Литозера,リトゼラ
Российско-литовские отношения,リトアニアとロシアの関係
Шелекша,シェレクシャ
Звезда,ズヴェズダ
Пильменьга,ピルメンガ
Косвей,コスヴェイ
Звёздочка,ズヴョズドチュカ
Рапина,ラピナ
Староверка,スタロヴェルカ
Билярск,ビリャルスク
хата,ハータ
Возобновляемая энергетика России,ロシアの再生可能エネルギー
Шилмуша,シルムシャ
Нелда,ネルダ
Российско-конголезские отношения,コンゴ共和国とロシアの関係
Чугуевка,Chuguyevka
регбилиг в России,ロシアのラグビーリーグ
регби в России,ロシアのラグビーユニオン
Радужный (аэропорт),ラードゥジヌイ空港
Муксора,ムクソラ
Кадь,カド川
Россия на летних Паралимпийских играх 2004,2004年アテネパラリンピックのロシア選手団
Россия на зимних Олимпийских играх 2014,2014年ソチオリンピックのロシア選手団
концерн «Калашников»,イジェフスク機械製作工場
Аэропорт Северо-Енисейск,セヴェロ・エニセイスク空港
Сборная России по регби-7,7人制ラグビー男子ロシア代表
Сборная России по регби U20,U-20ラグビーロシア代表
Женская сборная России по регби-7,7人制ラグビー女子ロシア代表
Единый государственный реестр объектов культурного наследия,ロシア文化遺産登録
Российско-угандские отношения,ウガンダとロシアの関係
10 км (разъезд),丸山駅 (樺太)
17 км (разъезд),中山駅 (樺太)
Георгиевская церковь,聖ゲオルギイ教会
Сормово,ソルモヴォ飛行場
Матч за звание чемпиона мира по шахматам 2014,世界チェス選手権2014
Левцово,ヤロスラヴリ・レベソボ空軍基地
Юрий Станиславович Бирюков,ユーリイ・ビリュコフ
Захаров (издательство),ザハロフ・ブックス
Завитинск,ザビチンスク空軍基地
Михайловский манеж,冬季体育場
Зональное (аэропорт),ゾナリノエ空港
Артык,アルティク
Сиверский (аэродром),シヴェルスキー空軍基地
Институт океанологии имени П. П. Ширшова РАН,ロシア科学アカデミー・ピョートル・ペトローヴィチ・シルショーフ記念海洋研究機構
Ветроэнергетика России,ロシアの風力発電
Marvel. Официальная коллекция комиксов,マーベル公式グラフィックノベルコレクション
Партия прогресса,進歩党 (ロシア)
Уни,ウニ川
Юкаменка,ユカメンカ川
Уссурийская астрофизическая обсерватория,ウスリースク天体物理観測所
Варфоломеевка,ヴァルフォロメエフカ
Вега (концерн),ベガラジオエンジニアリング
Государственная фельдъегерская служба Российской Федерации,ロシア連邦執達吏庁
Степь,ステップ空港
самоубийства в России,ロシアの自殺
бассейн в спорткомплексе Олимпийский,オリンピスキ・スポーツ・コンプレックス競泳場
Магдагачи (аэропорт),マグダガチ空港
BLITS,BLITS
Tinkoff Credit Systems,ティンコフ・クレジットシステム・プロフェッショナルサイクリングチーム
ЮТэйр Карго,UTエアー・カーゴ
Ука,ウカ空港
Пятницкое кладбище,ピャトニツコエ墓地
объект культурного наследия России,ロシアの文化遺産
Ороки,ウィルタ
Космонавтика России,ロシアの宇宙開発
Министерство экономического развития,ロシア経済開発貿易省
Младороссы,ムラドロッシ
Московские авиалинии,モスクワ・エアウェイズ
Мисс Россия 2006,アラン・バドエフ
Главный испытательный космический центр имени Г. С. Титова,チトフ記念総合宇宙試験管制センター
город районного значения в субъектах РФ,都市型集落都市型集落
Аэропорт Третьяково,ルホヴィツィ・トレチャコヴォ空港
Капля,ザ・ピップ
Осада Пскова (1615),プスコフ包囲戦
Шуховская башня,シューホフ・タワー (ポリビノ)
Универсальный ракетный модуль,ユニバーサル・ロケット・モジュール
Коренные народы Сибири,シベリアの先住民族
сету,セトゥ人
Битва при Далан-Балджутах,十三翼の戦い
Ука,ウカ
Красково,クラスコボ
Мельница,メルニッツア アニメーション スタジオ
прапорщик,旗手
Илисига,イルシンガ川
"Восток",ボストーク
Санкт-Петербургская митрополия,サンクトペテルブルク大司教管区
Большой Заяцкий остров,ボリショイ・ザヤツキー島
Кубань,クバーニ
Чемпионат мира по конькобежному спорту на отдельных дистанциях 2013 — командная гонка,2013年世界距離別スピードスケート選手権大会におけるスピードスケート競技 - 女子チームパシュート
монгольские народы,モンゴル系民族
Прасковеевка,プラスコヴェエフカ
Морской гидрофизический институт,海洋水文物理研究所
Мемориальный музей Леси Украинки,レーシャ・ウクライーンカ博物館
Горячее,一菱内湖
Орловка,オルロフカ空軍基地
Сражение при Куутерселькя,クーテルセルカの戦い
Северо-Корейское течение,北鮮海流
Антиамериканизм в России,ロシアにおける反米感情
площадка № 32,プレセツク宇宙基地
площадка № 43,プレセツク宇宙基地43番射点
доктор исторических наук,史学博士
Северо-Западное пароходство,北西船舶会社
Мугурдахский наслег,ムグルダフ農村居住区域
Дом Дружбы,日本人とロシア人の友好の家
Краскинское городище,クラスキノ土城
айнская культура,アイヌ文化
Енисей,エニセイ (列車)
Куанда,クァンダ駅
Забайкальск,ザバイカリスク駅
Юг (батальон),ユーク大隊
Центр специального назначения ФСБ,ロシア連邦保安庁特殊任務センター
Объединённая группировка войск на Северном Кавказе,北カフカーズ統合軍集団
Буссоль,北得撫水道
Келколово,ケルコルヴォ
Чингул,チィンフル川
Светляки (платформа),知根平駅
Артиллерийская бригада,砲兵旅団 (ロシア陸軍)
Гора Жданко,突岨山
112-я сессия МОК,第112次IOC総会
227-я артиллерийская бригада,第227砲兵旅団 (ロシア陸軍)
25-я дивизия подводных лодок,第25潜水艦師団 (ロシア海軍)
Инцидент с «Киссин Мару 31»,第31吉進丸事件
34-я отдельная мотострелковая бригада (горная),第34独立自動車化狙撃旅団 (ロシア陸軍)
46-я отдельная бригада оперативного назначения,第46独立作戦任務旅団 (ロシア国内軍)
4-й полк,第4連隊 (ロシア国内軍)
Землетрясение на Курильских островах (1969),色丹島沖地震
Храм Нисикубо,西久保神社
Дальнее,西久保駅
Русское озеро,遠幌湖
Командование Дальней Авиации,遠距離航空コマンド (ロシア空軍)
Курская-Сахалинская,鈴谷駅
Свободное,頭場湖
Осада Стародуба,スタロドゥーブ包囲戦
Осада Заволочья,ザヴォロツ要塞
Поток,ポトク
Кирха святого Михаила в Никулясах,聖ミハイル教会
Фетисов-Арена,フェティソフ・アリーナ
Лапландская железная дорога,北極海鉄道
Безвизовые обмены с Японией,北方四島交流事業
Южные Курилы,北方地域
Марково,大鵜取駅
Чёртов мост,宝台ループ線
Гора Матросовская,幌登岳
Щукинское,恩洞湖
Беловая,恵須取岳
Землетрясения на острове Итуруп,択捉島沖地震
Пик Журавлёва,敷香岳
Старый вокзал,楠渓町駅
Гора Маячная,樫保山
Железнодорожная линия Корсаков - Стародубское,樺太東線
Храм Карафуто,樺太神社
Федерация гандбола России,ロシアハンドボール連盟
Урасалахский наслег,ウラサラフ農村居住区域
Крым (пивобезалкогольный комбинат),クリミア
Уолбутский наслег,ウオルブト農村居住区域
Заветы Ильича,麻内駅
Престольный праздник,キルメス
Восточная Слобожанщина,東部スロボジャンシチナ
Фонтанный дом,噴水邸
Аккани,アッカニ
Великий,ヴェリキー
Токаревское сельское поселение,トカレフスコエ農村集落
Глубокий,グルボキー
Адмирал,アドミラル・ウラジオストク
Украина (станция),ウクライナ駅
Средний Сапач,スレドニー・サパチ
Prisma,プリスマ
Клязьма,クリャージマ川
Лапа,ラパ
Кен,ケン川
Нема,ネマ
Посольское,ポソリスコエ
Жуковка,ジュコーフカ
Усты,ウストィ
Кидеганис,キデガン尾根
Литературное кафе,文学カフェ (サンクトペテルブルク)
Быстрая Сосна,ビーストラヤ・ソスナ川
Битва на реке Вихре,ヴィフラ川の戦い
Восточный Кавказ,東コーカサス山脈
Министерство путей сообщения Российской Федерации,ロシア連邦運輸通信省
Оленегорская РЛС,オレネゴルスクレーダー基地
Азиатский маршрут AH30,アジアハイウェイ30号線
247-й гвардейский десантно-штурмовой полк,第247親衛空挺連隊
Тавра,タヴラ
Малый Иргиз,マーリ・イルギズ川
Корга,コルガ
Российско-малайзийские отношения,マレーシアとロシアの関係
Национальный музей Республики Алтай имени А. В. Анохина,Anokhin Museum
Ляхи,リャーヒ
Битва под Белёвом,ベリョーフの戦い
Интернет-цензура в России,ロシアのネット検閲
Евпаторийский радиотелескоп РТ-70,イェウパトーリヤRT-70電波望遠鏡
Московский международный кинофестиваль 2013,第35回モスクワ国際映画祭
Семенова Гора,セメノワ・ゴラ
Баранцево,バランツェヴォ
открытое акционерное общество,公開型株式会社
Землетрясение в Охотском море,サハリン近海深発地震
Большой Юган,ボリショイ・ユガン川
Чемпионат России по футболу 2013/2014,ロシア・プレミアリーグ 2013-14
Международный научно-технический центр,国際科学技術センター
Военный университет Министерства обороны Российской Федерации,ロシア連邦国防省軍事大学
Спасские ворота,スパースキエ門
Чемпионат мира по хоккею с шайбой 2016,2016年アイスホッケー世界選手権
Приморская государственная сельскохозяйственная академия,沿海州農業アカデミー
Ил-106,Il-106
Гнёздово,グニェズドヴォ
Тюменский государственный университет,チュメニ大学
Животный мир России,ロシアの動物相
русский фашизм,ロシアのファシズム
Выборы мэра Москвы (2013),モスクワ市長選挙
Икса,イクサ
Попово,ポポヴォ
Дзюдо на летней Универсиаде 2013,2013年夏季ユニバーシアードにおける柔道競技
Rostelecom Cup 2013,2013年ロステレコム杯
Белая,ベラヤ
Камелик,カメリク川
Помеловка,ポメロフカ
Шартаново,シャルタノヴォ村
Находка,ナホトカ
Лихая,リハヤ駅
Партия 5 декабря,12月5日党
Фили,フィリ駅
Северобайкальск,セヴェロバイカリスク駅
Тверь,トヴェリ駅
Оренбург,オレンブルグ駅
Нижний Тагил,ニジニ・タギル駅
Свеча,スヴェーチャ駅
Кипящее,一菱内湖
Ансамбль Казанского университета,カザン大学の建築物
Федеральное агентство (Россия),連邦機関 (ロシア連邦)
Лелювеем,レリュヴェイェム川
Икса,イクサ川
Дело Arctic Sunrise,アークティック・サンライズ号事件
Преображенская церковь на острове Кижи,顕栄聖堂
Биатлон на зимних Олимпийских играх 2014 — смешанная эстафета,2014年ソチオリンピックのバイアスロン競技・混合リレー
Северо-запад России,北西ロシア
районный суд в России,ロシア地方裁判所
Мировой суд (Россия),治安判事 (ロシア)
Суперкубок России по футболу 2013,ロシア・スーパーカップ 2013
Тамбов,FKタンボフ
Извоз,イズヴォス
Красная площадь (Курск),赤の広場
Надовражино,ナドヴラジュノ
"Никитин, Александр Валерьевич",アレクサンドル・ニキーチン
Косулино,コスリノ
Прыжки с трамплина на зимних Олимпийских играх 2014 — большой трамплин,2014年ソチオリンピックのスキージャンプ競技・男子ラージヒル個人
Юг России,南ロシア
Танда,タンダ
Иркутское театральное училище,イルクーツク演劇学校
посёлок городского типа России,都市型集落
Всемирные Игры боевых искусств 2013,2013年ワールドコンバットゲームズ
Военная академия имени М. В. Фрунзе,フルンゼ軍事大学
Андрей Валерьевич Картаполов,アンドレイ・カルタポロフ
"Тимофеева, Ольга Викторовна",オルガ・ティモフェーワ
Прыжки с трамплина на зимних Олимпийских играх 2014 — нормальный трамплин (мужчины),2014年ソチオリンピックのスキージャンプ競技・男子ノーマルヒル個人
Таксимо,タクシモ
Олимпийский парк,ソチ・オリンピック・パーク
Высшая лига чемпионата России по хоккею с шайбой,ロシアアイスホッケーメジャーリーグ
Тройка,トロイカカード
Министерство строительства и жилищно-коммунального хозяйства Российской Федерации,ロシア建設・住宅公営事業省
"Витко, Александр Викторович",アレクサンドル・ヴィトコ
Владимир Владимирович Владимиров,ウラジーミル・ウラジミロフ
Аврора,オーロラ
Уттинское сельское муниципальное образование,ウッティンスキー自治体
Могоча,モゴチャ川
Алаш,アラシュ川
Валерий Николаевич Фальков,ヴァレリー・ファルコフ
"Зейналова, Ирада Автандиловна",イラーダ・ゼイナロワ
Маральник-1,マラルニク＝1
Ряд,リャド (トヴェリ州)
катастрофа Boeing 737 в Казани,タタールスタン航空363便墜落事故
Калач-Куртлакское сельское поселение,カラチ・クルトラク農村集落
Маральник-2,マラルニク＝2
Битцевский парк,ビツェフスキー公園駅
Н036,N036
заместитель председателя Правительства Российской Федерации,ロシア連邦第一副首相
Калач,カラチ
Барано-Оренбургское,バラノ＝オレンビュルグスコエ
Сула,スラ川
Дмитриевское сельское поселение,ディミトリイェフスキー
кёрлинг на зимних Олимпийских играх 2014 (женщины),2014年ソチオリンピックのカーリング競技・女子
Тосно,FCトスノ
Чемпионат мира по шахматам среди женщин 2015,2015年世界女子チェス選手権
ОКБ «Факел»,ファケル実験設計局
Григорьевка,グリゴリエフカ
Кроуновка,クロウノフカ
Кубань,クバン
Саккырыр,サキリア空港
Волково,ヴォルコヴォ
Черемшаны,チェレムシャニ
Спасское,スパッスコエ
Федосова,フェドソワ
Лесопарковая,レソパルコヴァヤ駅
Липецкий авиацентр,リペツク空軍基地
Усманова,ウスマン
Пуциловка,プツィロフカ
Аэропорт Нюрба,ニュルバ空港
Власова,ヴラソワ
Журавлева,ジュラヴリョーワ
Окуневская,オクネフスカヤ
Красный Яр,クラースヌイ・ヤール村
Яя,ヤヤ島
Россия сегодня,ロシアの今日
Агата,アガタ気象観測所
Мыс Ловцова,安渡移矢岬
Белгородская крепость,ベルゴロド要塞
Дютьково,デューティコヴォ
"Савельев, Олег Генрихович",オレグ・サヴェリエフ
Калужский машиностроительный завод,カルーガ技術工場
Гран-при России 2014 года,2014年ロシアグランプリ
Олимпийский парк,オリンピックパーク駅
русский ирредентизм,大ロシア
Старица,スターリツァ
Завражье,ザヴラジェ
Исады,イサドィ (リャザン州)
